pXC50,IDE,MSD,AECC,IAC,TIC0,HVcpx,SAdon,VAR,SpMax5_Bh.e.,nROH,NsOH,SsOH,SpMax5_Bh.i.,P_VSA_v_2,ATS8e,TIC4,TIC5,TIC3,RBN,TPSA.Tot.,X1v,Sp,ATS3e,SpMax5_Bh.v.,ATS2i,CATS2D_07_NL,CATS2D_01_AN,CATS2D_01_DN,SAacc,SAtot,ECC,SpMin3_Bh.s.,X1Per,ATS2s,P_VSA_e_5,ATS7p,P_VSA_m_3,P_VSA_p_2,VvdwMG,Vx,Eta_epsi,X1MulPer,SpMax8_Bh.i.,SpMax4_Bh.p.,S1K,P_VSA_p_1,SpMin3_Bh.i.,SpMax6_Bh.e.,SpMax6_Bh.v.,ATS8i,TIC1,VvdwZAZ,nFuranes,LLS_01,Sv,CSI,ATS1m,MATS2s,UNIP,ATSC2e,ATS5e,nCsp3,ATS6i,SpMax6_Bh.i.,ATS8p
4.301,3.532,6.278,10.857,61.888,61.888,3.378,0.0,71.0,2.904,0,0,0.0,2.922,53.745,3.686,150.0,154.0,146.0,5,31.35,7.153,23.756,4.267,2.797,4.208,0,0,0,53.745,389.026,228.0,0.93,4.725,5.384,22.0,3.03,36.96,38.785,153.696,366.777,23.105,5.799,2.593,3.011,16.461,144.442,1.379,2.873,2.74,3.828,108.516,268.68,0,0.5,23.004,470.0,3.466,-0.129,81.0,0.515,4.117,3,4.156,2.908,3.113
4.301,3.442,5.984,10.2,59.677,59.677,3.295,0.0,58.0,2.899,0,0,0.0,2.922,38.785,3.643,147.245,151.245,143.245,5,31.35,7.447,24.313,4.246,2.797,4.187,0,0,0,38.785,392.552,204.0,0.931,4.646,5.239,22.0,3.057,22.0,38.785,156.078,372.591,20.971,5.645,2.582,3.044,15.734,141.253,1.38,2.871,2.74,3.798,107.129,266.68,0,0.5,22.819,422.0,3.533,0.013,74.0,0.285,4.079,3,4.143,2.906,3.161
4.301,3.476,6.241,10.391,66.862,66.862,3.288,0.0,71.0,3.111,0,0,0.0,3.177,95.202,3.725,150.219,154.219,148.219,6,77.17,7.538,24.972,4.343,2.9,4.25,0,0,0,89.532,424.119,239.0,0.931,5.031,5.584,72.747,3.096,72.747,95.202,164.357,392.791,25.324,6.131,2.612,3.11,18.072,129.482,1.381,2.901,2.815,3.859,119.812,288.55,0,0.17,24.545,489.0,3.547,0.165,89.0,0.598,4.259,3,4.426,2.918,3.178
4.301,3.442,5.984,10.2,58.246,58.246,3.295,0.0,58.0,2.879,0,0,0.0,2.921,38.785,3.421,132.881,136.881,128.881,5,31.35,7.929,23.904,4.163,2.786,4.059,0,0,0,38.785,394.237,204.0,0.883,4.397,5.216,22.0,3.064,22.0,38.785,158.4,378.256,20.138,5.399,2.47,2.953,16.206,105.94,1.365,2.824,2.735,3.479,95.662,268.66,0,0.5,22.317,422.0,3.68,-0.041,74.0,0.364,3.923,2,4.072,2.845,3.112
6.47,3.503,6.245,10.222,83.908,83.908,3.298,0.0,89.0,3.247,0,0,0.0,3.321,90.707,4.519,225.064,225.064,219.064,4,76.76,9.031,31.301,4.574,2.996,4.627,0,0,0,88.808,470.07,276.0,0.913,6.447,5.64,36.364,3.853,66.284,60.787,189.328,453.721,29.829,7.709,3.008,3.12,19.652,253.571,1.561,3.188,2.968,4.748,173.171,338.49,0,0.17,30.189,577.0,3.65,0.016,102.0,0.413,4.793,5,4.906,3.28,3.636
5.26,3.564,6.405,10.885,72.718,72.718,3.383,50.908,100.0,3.266,0,0,0.0,3.35,85.56,4.233,212.705,212.705,208.705,4,68.26,8.811,31.489,4.579,3.101,4.506,0,0,0,85.56,464.616,283.0,0.757,6.406,5.528,34.652,3.582,34.652,85.56,192.337,461.063,27.305,7.692,2.918,3.2,18.832,176.567,1.517,3.19,2.984,4.436,159.402,331.02,1,0.17,29.869,597.0,3.582,0.071,101.0,0.16,4.66,3,4.911,3.238,3.497
5.523,3.487,6.142,10.24,66.808,66.808,3.308,60.694,83.0,3.266,0,1,9.593,3.299,95.346,4.113,189.367,189.367,185.367,3,62.47,8.273,29.176,4.489,3.073,4.382,0,0,0,95.346,445.569,256.0,0.719,5.964,5.515,77.336,3.451,77.336,95.346,179.947,430.831,26.071,7.178,2.855,3.125,17.862,153.024,1.51,3.074,2.877,4.305,148.064,311.51,1,0.33,28.035,541.0,3.552,0.092,93.0,0.196,4.546,2,4.678,3.139,3.392
4.699,3.414,5.923,9.583,60.656,60.656,3.235,18.011,68.0,3.266,0,0,0.0,3.35,52.663,4.24,214.114,214.114,188.114,3,42.24,8.005,30.529,4.552,3.101,4.546,0,0,0,52.663,433.483,230.0,0.761,6.384,5.43,34.652,3.581,34.652,52.663,178.47,427.226,25.033,7.54,2.988,3.167,16.38,235.422,1.511,3.241,3.049,4.474,138.114,306.9,1,0.67,28.719,487.0,3.405,0.134,86.0,0.121,4.699,4,4.815,3.289,3.443
8.921,4.032,8.574,14.815,89.17,89.17,3.804,92.274,162.0,3.521,2,2,18.804,3.549,112.538,4.816,339.189,348.699,308.925,12,79.37,12.533,40.518,5.177,3.355,5.024,2,1,2,112.538,611.396,400.0,1.285,8.84,5.876,94.527,4.045,94.527,112.538,230.945,555.266,32.8,10.535,3.142,3.542,22.625,411.989,1.73,3.365,3.196,5.108,177.82,402.82,0,0.17,36.099,814.0,3.725,0.442,138.0,0.499,5.127,16,5.255,3.436,3.973
6.79,3.966,8.176,14.394,92.768,92.768,3.782,42.683,170.0,3.552,1,1,8.936,3.603,159.128,4.605,314.811,314.811,308.811,7,112.48,10.961,39.216,4.956,3.375,4.886,2,1,1,159.128,587.865,475.0,1.094,8.677,5.849,88.562,3.936,88.562,159.128,231.966,557.757,35.567,10.461,3.213,3.426,22.98,294.278,1.588,3.389,3.201,4.788,224.663,409.04,0,0.17,37.74,1008.0,3.752,0.201,161.0,0.363,5.086,9,5.258,3.434,3.872
7.7,3.919,7.966,13.788,95.073,95.073,3.734,85.367,149.0,3.547,2,2,19.006,3.601,176.666,4.651,319.51,319.51,317.51,7,115.64,11.071,39.978,5.003,3.369,4.925,0,0,0,176.666,611.624,455.0,1.11,8.752,5.787,106.101,3.962,106.101,176.666,234.894,564.9,36.167,10.561,3.212,3.427,23.256,306.049,1.604,3.336,3.161,4.837,231.562,411.68,0,0.17,38.266,965.0,3.756,-0.017,158.0,0.315,5.215,10,5.335,3.398,3.903
6.0,3.995,8.492,14.48,88.757,88.757,3.748,97.826,144.0,3.514,2,2,20.186,3.581,118.089,4.902,288.208,314.006,260.281,14,79.37,12.757,40.04,5.251,3.345,5.084,1,1,1,118.089,638.17,362.0,1.347,8.676,5.706,100.078,3.972,100.078,118.089,227.936,547.924,32.6,10.29,3.156,3.53,23.157,459.073,1.687,3.383,3.201,5.224,139.694,399.4,0,0.17,35.152,715.0,3.645,0.182,128.0,0.323,5.234,20,5.423,3.464,3.9
7.114,3.826,7.444,13.038,90.192,90.192,3.624,123.946,144.0,3.465,2,2,17.826,3.494,167.917,4.627,291.702,295.702,277.702,11,131.27,10.81,35.177,4.936,3.289,4.85,2,2,2,151.131,538.96,339.0,1.125,7.517,5.988,101.449,3.862,101.449,167.917,207.233,497.409,31.267,8.941,3.101,3.502,21.238,294.278,1.662,3.321,3.136,4.899,191.33,350.87,0,0.0,32.222,682.0,3.726,0.585,114.0,0.759,4.985,11,5.139,3.386,3.78
7.469,3.99,8.454,14.375,86.68,86.68,3.755,116.947,132.0,3.457,3,3,28.388,3.512,140.335,4.802,264.896,289.386,233.967,14,90.81,11.505,36.972,5.149,3.27,5.007,1,1,2,140.335,601.662,345.0,1.241,8.065,5.836,137.21,3.852,137.21,140.335,212.747,510.864,31.467,9.59,3.066,3.484,22.119,411.989,1.683,3.337,3.141,5.115,130.02,373.59,0,0.17,32.814,681.0,3.637,0.341,123.0,0.535,5.038,18,5.246,3.392,3.784
8.43,3.941,8.059,13.96,82.909,82.909,3.72,74.264,138.0,3.442,2,2,18.57,3.474,97.651,4.647,296.811,306.321,274.347,11,70.58,11.523,36.995,5.047,3.255,4.933,2,1,2,97.651,557.804,349.0,1.287,7.984,5.819,94.527,3.895,94.527,97.651,211.76,508.455,30.2,9.523,3.031,3.473,20.647,376.675,1.693,3.32,3.137,4.916,164.47,368.22,0,0.17,33.045,711.0,3.671,0.447,121.0,0.502,4.944,14,5.121,3.387,3.759
6.0,4.067,8.853,15.042,85.657,85.657,3.837,92.274,132.0,3.482,2,2,18.405,3.536,112.538,4.838,279.735,304.226,252.807,15,79.37,12.005,38.279,5.176,3.302,5.039,1,1,2,112.538,598.265,361.0,1.297,8.472,5.814,94.527,3.894,94.527,112.538,218.344,524.518,31.3,10.047,3.116,3.512,22.158,435.531,1.688,3.38,3.2,5.159,128.647,382.1,0,0.17,33.626,714.0,3.628,0.447,129.0,0.513,5.059,19,5.281,3.429,3.835
9.187,3.998,8.328,14.538,86.049,86.049,3.776,92.274,150.0,3.559,2,2,18.035,3.621,112.538,4.745,318.896,328.405,296.431,12,79.37,12.169,38.756,5.119,3.405,4.975,2,1,2,112.538,583.213,378.0,1.295,8.438,5.86,94.527,3.948,94.527,112.538,221.353,531.86,31.5,10.074,3.097,3.606,21.636,388.446,1.716,3.322,3.151,5.039,173.059,385.52,0,0.17,34.572,766.0,3.697,0.463,128.0,0.487,5.053,15,5.254,3.402,3.89
6.167,4.115,9.08,15.654,91.841,91.841,3.872,74.264,156.0,3.565,2,2,17.953,3.639,97.651,5.096,305.585,331.382,269.658,17,70.58,13.111,41.802,5.253,3.404,5.136,1,1,2,97.651,646.875,407.0,1.309,9.262,5.874,94.527,4.148,94.527,97.651,237.528,571.329,33.9,11.0,3.286,3.577,24.155,494.386,1.686,3.394,3.217,5.405,132.572,416.7,0,0.17,36.679,801.0,3.692,0.466,141.0,0.545,5.222,21,5.495,3.476,4.032
7.62,4.067,8.814,14.913,83.878,83.878,3.836,74.264,121.0,3.499,2,2,17.623,3.57,97.651,4.857,267.549,292.039,236.62,17,70.58,11.483,37.279,5.086,3.311,5.009,1,1,2,97.651,600.583,343.0,1.294,7.951,5.789,94.527,3.899,94.527,97.651,216.145,519.153,30.6,9.331,3.164,3.49,23.117,447.302,1.672,3.344,3.153,5.189,123.042,377.16,0,0.17,32.626,645.0,3.578,0.481,122.0,0.534,5.041,18,5.306,3.423,3.815
6.18,4.053,8.74,15.0,88.757,88.757,3.81,74.264,144.0,3.564,2,2,18.091,3.634,97.651,4.953,294.163,322.654,261.235,16,70.58,12.611,40.04,5.209,3.406,5.092,1,1,2,97.651,620.798,375.0,1.34,8.846,5.847,94.527,4.027,94.527,97.651,227.936,547.924,32.6,10.51,3.179,3.58,23.157,470.844,1.681,3.391,3.213,5.285,128.947,399.4,0,0.17,35.152,739.0,3.663,0.467,131.0,0.537,5.175,20,5.449,3.474,3.923
8.18,3.825,7.432,12.96,86.732,86.732,3.619,123.946,134.0,3.454,2,2,17.486,3.494,167.917,4.512,272.825,276.825,258.825,11,131.27,10.36,33.415,4.866,3.283,4.791,2,2,2,151.131,511.185,324.0,1.082,7.168,5.958,101.449,3.774,101.449,167.917,197.641,474.003,29.967,8.539,2.993,3.486,20.249,270.735,1.607,3.275,3.081,4.776,183.367,333.57,0,0.0,30.696,653.0,3.698,0.578,109.0,0.77,4.811,10,5.014,3.353,3.685
6.409,3.61,6.456,11.429,65.454,65.454,3.472,92.366,96.0,3.313,1,1,9.088,3.392,109.152,4.353,241.323,245.323,227.323,9,74.93,8.092,29.608,4.774,3.117,4.698,0,0,0,92.366,444.684,240.0,1.081,6.601,5.335,42.683,3.567,42.683,109.152,171.723,410.764,24.767,7.835,2.948,3.356,16.155,270.735,1.578,3.105,2.896,4.653,151.865,287.37,0,0.17,27.101,490.0,3.277,-0.012,80.0,0.152,4.655,10,4.827,3.191,3.422
6.923,4.075,8.917,15.16,88.757,88.757,3.843,92.274,144.0,3.512,2,2,18.655,3.555,112.538,4.902,300.163,324.654,263.566,15,79.37,12.505,40.04,5.233,3.345,5.085,1,1,2,112.538,624.342,379.0,1.359,8.889,5.841,94.527,3.966,94.527,112.538,227.936,547.924,32.6,10.537,3.2,3.54,23.157,459.073,1.687,3.407,3.227,5.224,132.297,399.4,0,0.17,35.152,750.0,3.659,0.445,135.0,0.521,5.161,20,5.378,3.471,3.9
6.638,4.039,8.633,14.923,91.841,91.841,3.806,74.264,156.0,3.542,2,2,18.043,3.618,97.651,5.151,314.785,343.275,272.187,16,70.58,13.111,41.802,5.265,3.381,5.136,2,1,2,97.651,646.875,388.0,1.331,9.262,5.874,94.527,4.212,94.527,97.651,237.528,571.329,33.9,11.0,3.263,3.564,24.155,494.386,1.673,3.364,3.188,5.457,132.572,416.7,0,0.17,36.679,763.0,3.692,0.466,132.0,0.545,5.257,21,5.542,3.448,4.093
7.77,4.121,9.116,15.64,88.757,88.757,3.892,92.274,144.0,3.559,2,2,17.907,3.626,112.538,4.915,282.963,312.76,245.526,16,79.37,12.614,40.04,5.223,3.399,5.084,1,1,2,112.538,622.236,391.0,1.34,8.874,5.852,94.527,3.99,94.527,112.538,227.936,547.924,32.6,10.528,3.155,3.576,23.157,459.073,1.712,3.394,3.219,5.24,130.297,399.4,0,0.17,35.152,770.0,3.659,0.466,137.0,0.519,5.127,20,5.399,3.472,3.906
6.569,4.055,8.805,15.08,88.757,88.757,3.817,79.815,144.0,3.514,2,2,19.922,3.581,103.203,4.902,287.408,311.899,254.97,14,70.58,12.747,40.04,5.237,3.345,5.092,1,1,1,103.203,636.731,377.0,1.352,8.636,5.702,100.078,3.938,100.078,103.203,227.936,547.924,32.6,10.263,3.206,3.519,23.157,470.844,1.686,3.37,3.191,5.224,133.493,399.4,0,0.17,35.152,744.0,3.649,0.182,133.0,0.342,5.227,20,5.351,3.449,3.9
7.52,4.045,8.664,14.92,87.035,87.035,3.825,55.143,144.0,3.543,1,1,9.458,3.617,75.406,5.032,304.959,338.959,261.606,15,59.14,13.355,41.347,5.265,3.385,5.12,1,1,1,75.406,631.229,373.0,1.348,9.05,5.685,57.395,4.122,57.395,75.406,233.532,561.578,32.433,10.704,3.245,3.566,23.196,494.386,1.705,3.375,3.205,5.357,129.011,407.91,0,0.5,35.964,734.0,3.64,0.289,129.0,0.307,5.19,21,5.481,3.455,4.012
7.432,3.988,8.268,14.481,91.803,91.803,3.773,123.946,159.0,3.52,2,2,17.482,3.583,167.917,4.669,293.72,297.72,279.72,12,131.27,11.021,36.177,4.92,3.357,4.847,1,2,2,151.131,554.905,391.0,1.078,7.715,5.997,101.449,3.848,101.449,167.917,213.898,513.671,31.967,9.178,3.004,3.609,21.97,294.278,1.602,3.325,3.136,4.943,202.162,365.53,0,0.0,33.222,789.0,3.75,0.571,131.0,0.78,4.907,10,5.07,3.383,3.783
7.538,3.988,8.268,14.481,95.048,95.048,3.773,123.946,159.0,3.517,2,2,18.222,3.572,147.654,4.664,293.72,297.72,279.72,12,146.29,12.116,37.37,4.915,3.364,4.839,0,0,0,130.868,572.658,391.0,1.078,7.715,5.859,81.185,3.907,81.185,147.654,221.033,531.08,31.467,9.178,3.004,3.615,22.381,294.278,1.61,3.314,3.153,4.939,202.162,375.25,0,0.0,33.695,789.0,3.828,0.496,131.0,0.557,4.901,10,5.061,3.366,3.82
7.585,3.982,8.247,14.536,95.22,95.22,3.757,123.946,170.0,3.524,2,2,17.71,3.583,167.917,4.768,310.904,314.904,296.904,12,131.27,11.383,37.938,4.986,3.36,4.903,1,2,2,151.131,587.273,407.0,1.108,7.982,6.028,101.449,3.946,101.449,167.917,223.49,537.076,33.267,9.457,3.005,3.622,22.959,317.82,1.673,3.41,3.227,5.047,210.432,382.83,0,0.0,34.749,820.0,3.777,0.587,136.0,0.792,4.987,11,5.19,3.456,3.875
5.351,3.938,8.057,13.923,89.119,89.119,3.696,149.844,148.0,3.518,3,3,26.971,3.528,177.029,4.716,301.659,309.659,281.659,14,122.82,10.985,36.904,5.016,3.338,4.899,2,2,2,177.029,602.039,362.0,1.228,7.675,5.988,144.132,3.94,144.132,177.029,217.554,522.591,32.433,9.111,3.008,3.558,23.299,341.362,1.672,3.286,3.114,5.007,187.911,380.86,0,0.0,33.475,704.0,3.702,0.456,124.0,0.802,5.031,13,5.22,3.362,3.805
6.066,3.794,7.27,12.87,70.076,70.076,3.635,92.366,115.0,3.42,1,1,9.07,3.492,109.152,4.536,261.668,265.668,247.668,10,74.93,8.753,32.37,4.833,3.214,4.759,0,0,0,92.366,488.404,296.0,1.078,7.147,5.406,42.683,3.684,42.683,109.152,187.98,450.432,26.767,8.475,2.952,3.394,17.867,294.278,1.57,3.219,3.024,4.829,170.11,319.33,0,0.0,29.627,603.0,3.356,-0.029,100.0,0.162,4.767,10,4.894,3.308,3.608
7.921,3.988,8.268,14.481,91.803,91.803,3.773,123.946,159.0,3.52,2,2,17.482,3.583,167.917,4.669,293.72,297.72,279.72,12,131.27,11.021,36.177,4.92,3.357,4.847,1,2,2,151.131,554.905,391.0,1.078,7.715,5.997,101.449,3.848,101.449,167.917,213.898,513.671,31.967,9.178,3.004,3.609,21.97,294.278,1.602,3.325,3.136,4.943,202.162,365.53,0,0.0,33.222,789.0,3.75,0.571,131.0,0.78,4.907,10,5.07,3.383,3.783
8.086,3.825,7.432,12.96,86.732,86.732,3.619,123.946,134.0,3.454,2,2,17.486,3.494,167.917,4.512,272.825,276.825,258.825,11,131.27,10.36,33.415,4.866,3.283,4.791,2,2,2,151.131,511.185,324.0,1.082,7.168,5.958,101.449,3.774,101.449,167.917,197.641,474.003,29.967,8.539,2.993,3.486,20.249,270.735,1.607,3.275,3.081,4.776,183.367,333.57,0,0.0,30.696,653.0,3.698,0.578,109.0,0.77,4.811,10,5.014,3.353,3.685
5.62,3.734,7.119,12.161,81.116,81.116,3.561,110.377,139.0,3.48,1,1,8.89,3.511,160.667,4.819,294.009,296.764,275.744,7,108.21,10.032,36.995,4.858,3.341,4.705,1,1,1,143.881,526.209,377.0,1.038,8.072,5.78,92.973,4.171,92.973,160.667,218.248,524.286,32.1,9.738,3.041,3.506,20.853,211.88,1.736,3.179,3.052,5.049,188.943,375.71,0,0.17,35.477,805.0,3.66,0.117,129.0,0.207,4.865,3,5.101,3.234,4.029
6.142,3.329,5.551,9.333,71.605,71.605,3.188,0.0,78.0,3.206,0,0,0.0,3.301,61.914,4.269,207.458,207.458,199.458,2,67.53,8.336,29.148,4.461,2.994,4.526,0,0,0,60.015,424.839,224.0,0.852,5.931,5.46,25.145,3.646,40.105,46.954,174.541,417.641,25.548,7.054,2.954,3.115,16.844,226.84,1.486,3.138,2.911,4.496,152.338,306.33,0,0.33,27.564,472.0,3.529,0.041,80.0,0.23,4.601,4,5.011,3.232,3.476
4.602,3.44,5.956,10.115,78.777,78.777,3.3,0.0,95.0,3.362,0,0,0.0,3.424,61.914,4.51,245.059,245.059,237.059,4,67.53,9.488,32.671,4.644,3.197,4.671,0,0,0,60.015,476.993,263.0,0.981,6.89,5.547,25.145,3.864,40.105,46.954,193.726,464.452,28.148,8.22,2.966,3.289,18.781,273.924,1.543,3.194,2.998,4.76,170.959,340.93,0,0.17,30.617,551.0,3.596,0.058,93.0,0.193,4.779,6,5.111,3.288,3.704
6.186,3.397,5.724,9.875,71.605,71.605,3.26,0.0,85.0,3.206,0,0,0.0,3.301,61.914,4.308,199.458,199.458,193.458,2,67.53,8.33,29.148,4.46,2.994,4.526,0,0,0,60.015,424.839,237.0,0.846,5.921,5.471,25.145,3.641,40.105,46.954,174.541,417.641,25.548,7.046,2.925,3.115,16.844,226.84,1.483,3.139,2.912,4.524,152.338,306.33,0,0.33,27.564,500.0,3.529,0.06,82.0,0.23,4.581,4,4.994,3.233,3.474
5.469,3.405,5.78,9.92,77.177,77.177,3.257,0.0,84.0,3.206,0,0,0.0,3.301,61.914,4.303,207.458,207.458,201.458,2,67.53,8.814,30.006,4.476,2.994,4.525,0,0,0,60.015,446.241,248.0,0.847,5.981,5.504,25.145,3.731,40.105,46.954,182.874,437.973,26.633,7.147,2.954,3.116,18.088,215.069,1.486,3.139,2.914,4.49,159.848,321.54,0,0.33,28.391,521.0,3.61,0.053,87.0,0.275,4.604,4,5.01,3.232,3.569
6.625,3.423,5.86,10.04,72.843,72.843,3.298,0.0,88.0,3.362,0,0,0.0,3.424,46.954,4.498,237.059,237.059,228.304,4,67.53,9.383,32.733,4.624,3.197,4.665,0,0,0,45.055,474.159,251.0,0.981,6.831,5.452,25.145,3.866,25.145,46.954,192.528,461.528,26.633,8.119,2.946,3.289,17.874,270.735,1.543,3.194,2.998,4.754,162.917,334.86,0,0.17,30.234,528.0,3.554,0.085,88.0,0.216,4.758,6,5.091,3.288,3.708
6.842,3.43,5.872,9.958,69.429,69.429,3.275,0.0,81.0,3.207,0,0,0.0,3.303,46.954,4.5,218.114,218.114,209.359,3,67.53,8.676,30.972,4.519,2.996,4.599,0,0,0,45.055,448.082,239.0,0.924,6.222,5.397,25.145,3.843,25.145,46.954,182.936,438.123,25.333,7.371,2.941,3.129,16.906,247.193,1.561,3.165,2.97,4.764,154.669,317.56,0,0.33,28.707,506.0,3.52,0.052,84.0,0.235,4.671,5,4.942,3.255,3.636
7.292,3.448,5.983,10.04,75.229,75.229,3.277,0.0,84.0,3.207,0,0,0.0,3.303,61.914,4.511,226.114,226.114,218.114,3,67.53,8.782,30.909,4.541,2.996,4.606,0,0,0,60.015,450.916,251.0,0.919,6.279,5.498,25.145,3.838,40.105,46.954,184.134,441.047,26.848,7.474,2.957,3.129,17.811,250.382,1.561,3.165,2.97,4.771,162.711,323.63,0,0.33,29.091,529.0,3.563,0.041,90.0,0.239,4.685,5,4.951,3.255,3.634
7.469,3.46,6.071,10.115,78.957,78.957,3.269,0.0,90.0,3.207,0,0,0.0,3.303,76.874,4.522,218.114,218.114,212.114,3,67.53,8.888,30.847,4.562,2.996,4.613,0,0,0,74.975,453.75,263.0,0.913,6.336,5.591,25.145,3.833,55.065,46.954,185.332,443.97,28.362,7.576,2.985,3.129,18.718,253.571,1.561,3.165,2.971,4.777,166.221,329.7,0,0.33,29.474,552.0,3.605,0.037,96.0,0.312,4.699,5,4.961,3.255,3.632
7.658,3.565,6.469,10.893,86.258,86.258,3.375,0.0,109.0,3.372,0,0,0.0,3.434,76.874,4.714,256.274,256.274,250.274,5,67.53,10.04,34.37,4.729,3.205,4.747,0,0,0,74.975,505.903,305.0,0.985,7.294,5.668,25.145,4.017,55.065,46.954,204.517,490.781,30.962,8.742,3.051,3.292,20.664,300.656,1.561,3.194,2.999,4.982,184.625,364.3,0,0.17,32.528,636.0,3.666,0.05,109.0,0.269,4.862,7,5.065,3.289,3.83
7.432,3.522,6.227,10.654,78.957,78.957,3.347,0.0,95.0,3.207,0,0,0.0,3.303,76.874,4.533,226.114,226.114,220.114,3,67.53,8.882,30.847,4.562,2.998,4.613,0,0,0,74.975,453.75,277.0,0.91,6.328,5.6,25.145,3.835,55.065,46.954,185.332,443.97,28.362,7.567,2.957,3.128,18.718,253.571,1.559,3.173,2.978,4.782,166.221,329.7,0,0.33,29.474,582.0,3.605,0.049,98.0,0.312,4.69,5,4.96,3.259,3.627
5.209,3.509,6.181,10.704,82.646,82.646,3.364,0.0,102.0,3.363,0,0,0.0,3.425,76.874,4.552,245.059,245.059,239.059,4,67.53,9.588,32.608,4.663,3.198,4.678,0,0,0,74.975,479.827,289.0,0.98,6.94,5.644,25.145,3.859,55.065,46.954,194.924,467.375,29.662,8.314,2.982,3.289,19.69,277.113,1.543,3.194,2.998,4.787,174.469,347.0,0,0.17,31.001,603.0,3.636,0.062,100.0,0.265,4.784,6,5.115,3.288,3.698
6.708,3.665,6.757,12.037,81.333,81.333,3.512,0.0,129.0,3.243,0,0,0.0,3.321,57.954,4.701,263.403,263.403,254.648,6,76.76,9.742,34.949,4.675,3.059,4.757,0,0,0,56.055,515.351,325.0,0.986,7.047,5.542,36.145,4.03,36.145,57.954,206.117,494.684,29.4,8.389,3.16,3.321,19.778,294.278,1.561,3.179,2.99,4.953,182.203,360.95,0,0.33,32.476,683.0,3.632,-0.004,108.0,0.318,4.818,7,5.047,3.266,3.848
4.602,3.65,6.683,12.036,87.689,87.689,3.495,0.0,138.0,3.232,0,0,0.0,3.314,87.874,4.557,252.101,252.101,246.101,5,76.76,9.502,33.063,4.646,3.044,4.701,0,0,0,85.975,494.942,337.0,0.977,6.805,5.689,36.145,3.864,66.065,57.954,198.921,477.126,31.129,8.165,2.985,3.317,20.626,277.113,1.52,3.166,2.954,4.764,183.511,355.79,0,0.17,31.716,704.0,3.679,0.022,111.0,0.437,4.763,6,5.113,3.25,3.715
6.963,3.962,8.241,14.029,94.045,94.045,3.746,42.683,174.0,3.427,1,1,8.775,3.453,229.153,4.453,262.366,262.366,262.366,6,129.55,9.932,33.438,4.747,3.197,4.698,2,1,1,229.153,520.64,477.0,1.086,7.845,6.386,113.707,3.739,158.588,184.273,207.853,498.92,37.076,9.621,3.167,3.412,23.444,209.676,1.623,3.364,3.125,4.611,206.591,381.5,0,0.17,34.497,1007.0,3.801,0.439,169.0,1.439,4.833,5,4.864,3.402,3.632
7.056,3.925,8.148,13.6,97.217,97.217,3.645,42.683,184.0,3.431,1,1,8.752,3.47,231.974,4.412,250.683,250.683,247.928,5,96.53,10.117,33.313,4.81,3.2,4.769,2,1,1,231.974,510.503,476.0,1.128,7.931,6.627,102.707,3.716,192.468,142.214,206.511,495.648,39.952,9.809,3.162,3.416,24.751,254.556,1.623,3.377,3.179,4.57,196.154,385.2,0,0.17,34.964,1002.0,3.843,0.423,173.0,1.804,4.843,6,5.083,3.415,3.627
9.0,4.014,8.383,14.966,81.116,81.116,3.839,42.683,158.0,3.54,1,1,8.962,3.592,117.069,4.481,272.009,272.009,264.009,8,79.46,10.096,35.756,4.834,3.364,4.781,2,1,1,117.069,519.131,434.0,1.133,8.114,5.694,77.562,3.762,77.562,117.069,207.846,498.904,31.3,9.745,2.975,3.51,19.658,282.506,1.745,3.228,3.023,4.683,190.764,359.93,0,0.17,34.003,937.0,3.629,0.224,144.0,0.272,4.738,8,4.803,3.252,3.662
5.367,3.704,7.097,11.833,83.581,83.581,3.515,36.022,112.0,3.31,0,0,0.0,3.353,158.977,4.286,236.574,236.574,231.064,4,80.32,8.663,31.284,4.611,3.068,4.576,0,0,0,158.977,475.519,355.0,0.957,6.903,6.203,61.29,3.498,106.17,114.097,193.794,464.618,32.643,8.331,2.925,3.222,21.348,209.676,1.737,3.227,2.933,4.464,165.236,350.62,0,0.33,31.573,745.0,3.649,0.352,129.0,1.022,4.758,2,4.976,3.301,3.422
9.0,3.989,8.299,14.448,81.116,81.116,3.795,42.683,138.0,3.533,1,1,8.962,3.581,117.069,4.42,263.254,263.254,255.254,7,79.46,9.952,35.756,4.837,3.359,4.782,2,1,1,117.069,522.887,419.0,1.133,7.962,5.697,77.562,3.724,77.562,117.069,207.846,498.904,31.3,9.53,3.009,3.529,19.658,282.506,1.745,3.224,3.0,4.596,190.764,359.93,0,0.17,34.003,904.0,3.629,0.233,143.0,0.275,4.717,8,4.874,3.239,3.641
8.796,3.947,8.037,14.286,77.634,77.634,3.777,42.683,140.0,3.47,1,1,8.952,3.535,117.069,4.384,252.539,252.539,244.539,7,79.46,9.596,33.995,4.766,3.296,4.718,2,1,1,117.069,493.055,400.0,1.133,7.697,5.662,77.562,3.658,77.562,117.069,198.253,475.498,30.0,9.255,2.948,3.456,18.702,258.964,1.745,3.222,2.992,4.564,181.991,342.63,0,0.17,32.477,867.0,3.598,0.22,134.0,0.279,4.663,7,4.749,3.238,3.592
