pXC50,P_VSA_e_5,P_VSA_m_3,MATS1e,CATS2D_04_AP,CATS2D_06_AN,P_VSA_p_2,SAacc,O.,CATS2D_02_DA,CATS2D_05_DP,CATS2D_05_PP,nPO4,O.056,P.117,P_VSA_MR_3,SdsssP,ATSC1e,CATS2D_01_AN,CATS2D_08_DD,Eig03_AEA.ri.,nO,CATS2D_08_AN,NsOH,SpMax7_Bh.s.,SpMax6_Bh.s.,P_VSA_v_2,Eta_epsi_A,IC1,ATSC2e,CATS2D_01_DN,CATS2D_02_DD,CATS2D_06_DN,NdsssP,nP,CATS2D_08_PN,nROH,SsssCH,nOHs,CATS2D_08_DP,nC..N.N2,ATSC1s,SaasN,nN.,nCconj,TPSA.NO.,CATS2D_02_AP,Eig03_EA.ri.,ATSC3e,CATS2D_09_DP,CATS2D_03_AP,Eta_betaS_A,Psi_i_s,TPSA.Tot.,P_VSA_s_6,SpMax5_Bh.s.,GATS1e,CATS2D_09_AP,CATS2D_09_DA,nHet,P_VSA_p_4,SAdon,IC3,P_VSA_LogP_3,Eig03_EA,SM11_AEA.bo.,CATS2D_07_DD,H.050,Hy,nHDon
4.301,50.29,50.29,-0.022,0,0,108.12,108.12,3.3,2,0,0,0,0,0,0.0,0.0,0.012,0,0,3.511,2,0,0,4.316,4.385,108.12,0.59,3.799,0.358,0,0,0,0,0,0,0,0.0,0,0,0,6.619,0.0,0,2,80.12,0,2.408,0.233,0,0,0.647,75.167,133.66,83.861,4.624,0.716,0,1,9,0.0,18.011,5.225,83.459,2.57,2.57,0,1,-0.334,1
4.194,0.0,0.0,0.106,0,0,52.011,33.326,0.0,0,0,0,0,0,0,0.0,0.0,0.053,0,0,3.325,0,0,0,3.664,3.88,52.011,0.574,3.829,0.138,0,0,0,0,0,0,0,0.0,0,0,0,9.013,1.937,0,0,46.5,0,2.251,0.11,0,0,0.638,41.889,85.3,87.657,4.0,0.852,0,0,5,0.0,16.786,4.795,37.905,2.371,2.371,0,2,0.361,1
4.194,25.145,25.145,-0.206,2,0,94.064,94.064,3.6,2,0,0,0,0,0,0.0,0.0,0.062,0,0,3.288,1,0,0,3.674,3.883,94.064,0.632,3.709,0.144,0,0,0,0,0,0,0,0.0,0,0,0,11.217,0.0,0,3,74.04,2,2.244,0.171,0,0,0.618,42.5,134.37,136.131,4.64,0.948,0,0,6,0.0,65.794,4.209,37.905,2.313,2.313,0,4,2.178,4
4.301,78.828,78.828,-0.063,0,0,113.012,113.012,7.5,0,0,0,0,0,0,0.0,0.0,0.05,0,0,3.648,3,0,1,4.045,4.401,113.012,0.618,3.689,0.194,0,0,0,0,0,0,0,0.0,0,0,0,12.095,0.0,0,3,73.56,0,2.619,0.267,0,0,0.625,59.667,73.56,109.888,4.746,0.801,0,0,5,0.0,42.683,5.053,75.81,2.656,2.656,0,1,-0.342,1
4.194,75.435,75.435,-0.038,0,0,113.355,113.355,7.5,2,0,0,0,0,0,0.0,0.0,0.049,0,0,3.554,3,0,0,3.887,4.03,113.355,0.618,3.497,0.264,0,0,0,0,0,0,0,0.01,0,0,0,10.232,0.0,0,0,79.37,0,2.492,0.387,0,0,0.674,57.0,79.37,92.22,4.529,0.607,0,0,6,0.0,18.011,4.772,47.381,2.592,2.592,0,1,-0.284,1
4.194,36.145,36.145,0.021,0,0,42.393,42.393,5.0,0,0,0,0,0,0,0.0,0.0,0.025,0,0,3.175,2,0,0,3.474,3.51,42.393,0.538,2.526,0.269,0,0,0,0,0,0,0,0.0,0,0,0,4.011,0.0,0,3,32.78,0,2.147,0.357,0,0,0.681,36.583,32.78,36.145,3.866,0.756,0,0,4,0.0,0.0,4.015,9.476,2.192,2.192,0,0,-0.763,0
4.194,69.458,69.458,0.057,0,0,120.659,120.659,7.5,3,0,0,0,0,0,0.0,0.0,0.107,0,0,3.409,3,0,0,3.938,4.1,120.659,0.631,3.639,0.381,0,0,0,0,0,0,0,0.0,0,0,0,16.932,0.0,0,0,88.16,0,2.239,0.413,0,0,0.609,59.417,121.84,86.243,4.712,0.552,0,0,8,0.0,34.416,4.853,88.546,2.52,2.52,0,2,0.407,2
4.194,0.0,0.0,0.207,0,0,67.877,66.101,0.0,0,0,0,0,0,0,0.0,0.0,0.07,0,0,2.568,0,0,0,3.25,3.448,67.877,0.591,3.376,0.14,0,0,0,0,0,0,0,0.0,0,0,0,8.841,1.433,0,0,56.73,0,1.526,0.105,0,2,0.6,32.333,82.03,66.101,3.803,0.758,0,0,5,0.0,32.775,4.208,70.68,1.636,1.636,0,2,0.561,2
4.194,0.0,0.0,0.092,0,0,51.337,51.337,0.0,1,0,0,0,0,0,0.0,0.0,0.04,0,0,2.957,0,0,0,3.157,3.633,51.337,0.597,3.507,0.101,0,0,0,0,0,0,0,0.0,0,0,0,5.825,0.0,0,0,37.81,0,1.881,0.082,0,0,0.6,31.889,104.85,71.89,3.9,0.796,0,0,5,0.0,18.011,4.104,28.429,2.029,2.029,0,2,0.561,1
4.301,0.0,0.0,0.017,0,0,63.025,63.025,0.0,0,0,0,0,0,0,0.0,0.0,0.057,0,0,2.995,0,0,0,3.299,3.59,63.025,0.743,3.406,0.111,0,0,0,0,0,0,0,0.0,0,0,0,5.525,0.0,0,2,49.04,0,1.942,0.171,0,0,0.617,36.944,105.52,102.173,3.876,0.601,0,0,6,0.0,0.0,4.248,37.905,2.032,2.032,0,0,-0.586,0
4.48,44.16,44.16,-0.085,0,0,113.752,113.752,7.0,2,0,0,0,0,0,0.0,0.0,0.086,0,0,3.683,3,0,0,4.084,4.301,113.752,0.642,3.664,0.277,0,1,0,0,0,0,0,0.298,0,0,0,7.556,0.0,0,0,93.19,0,2.634,0.511,0,0,0.694,60.667,93.19,77.731,4.397,0.845,0,1,7,0.0,36.022,4.729,89.813,2.708,2.708,0,2,0.267,2
4.583,133.699,133.699,0.012,3,1,184.607,184.607,9.8,2,1,0,0,1,0,39.096,0.0,0.158,2,0,4.01,5,0,1,4.76,5.067,184.607,0.639,3.695,0.448,1,0,0,0,0,0,1,0.0,0,0,0,30.764,0.0,0,2,126.56,0,2.979,0.258,0,0,0.613,83.083,134.94,166.596,6.312,0.596,0,0,8,0.0,90.004,4.603,139.666,3.024,3.024,0,4,1.6,4
4.194,0.0,0.0,0.039,0,0,68.122,66.346,0.0,1,0,0,0,0,0,0.0,0.0,0.045,0,0,3.29,0,0,0,3.594,3.674,68.122,0.605,3.692,0.071,0,0,0,0,0,0,0,0.0,0,0,0,6.484,2.008,0,0,56.73,1,2.195,0.113,0,0,0.658,38.833,84.97,66.346,3.81,0.872,0,0,5,0.0,32.897,4.414,80.278,2.349,2.349,0,2,0.393,2
4.301,25.145,40.105,-0.1,0,0,79.177,94.137,2.9,1,0,0,0,0,0,0.0,0.0,0.106,0,0,3.367,1,0,0,3.993,4.299,94.137,0.667,3.463,0.212,0,1,0,0,0,0,0,0.0,0,0,0,8.262,0.0,0,0,53.16,0,2.26,0.529,0,0,0.625,57.944,85.25,124.446,4.678,0.694,0,0,7,0.0,54.032,4.686,66.334,2.453,2.453,0,3,1.114,3
4.194,66.313,66.313,0.076,0,0,70.956,70.956,8.9,0,0,0,0,0,0,0.0,0.0,0.094,0,0,3.757,4,0,0,4.202,4.236,70.956,0.614,3.114,0.466,0,0,0,0,0,0,0,0.0,0,0,0,14.226,0.0,0,0,59.08,0,2.643,0.555,0,0,0.67,57.583,67.46,66.313,4.289,0.64,0,0,7,0.0,0.0,4.497,81.617,2.818,2.818,0,0,-0.711,0
4.364,11.0,11.0,-0.019,0,0,42.965,42.965,4.5,0,0,0,0,0,0,0.0,0.0,0.071,0,0,3.062,1,0,0,3.225,3.674,42.965,0.699,3.516,0.217,0,0,0,0,0,0,0,0.0,0,0,0,2.707,0.0,0,2,34.48,0,1.963,0.23,0,0,0.633,33.944,90.96,82.114,3.838,0.743,0,0,6,0.0,0.0,3.88,37.905,2.133,2.133,0,0,-0.586,0
4.194,25.145,25.145,0.078,0,0,63.494,61.718,2.5,0,0,0,0,0,0,0.0,0.0,0.032,0,0,3.393,1,0,0,3.689,3.74,63.494,0.606,3.34,0.192,0,0,0,0,0,0,0,0.0,0,0,0,4.884,1.72,0,0,51.02,0,2.35,0.216,0,0,0.656,51.667,76.32,58.593,4.037,0.636,0,0,6,0.0,0.0,4.594,85.286,2.44,2.44,0,0,-0.74,0
4.462,80.458,80.458,0.09,0,0,86.619,86.619,7.5,0,0,0,0,0,0,11.0,0.0,0.105,0,0,3.888,4,0,0,4.231,4.604,86.619,0.617,3.477,0.522,0,0,0,0,0,0,0,0.0,0,0,0,15.399,0.0,0,1,71.85,0,2.809,0.522,0,0,0.667,69.25,108.47,80.458,4.651,0.566,0,0,9,0.0,0.0,4.898,72.141,2.929,2.929,0,0,-0.693,0
4.194,11.0,11.0,0.113,0,0,62.765,60.989,3.0,0,0,0,0,0,0,0.0,0.0,0.08,0,0,3.323,1,0,0,3.674,4.001,62.765,0.642,3.642,0.201,0,0,0,0,0,0,0,0.0,0,0,0,6.687,1.61,0,1,52.3,0,2.162,0.228,0,0,0.631,45.889,119.34,99.553,4.212,0.74,0,0,7,0.0,0.0,4.658,64.507,2.43,2.43,0,1,-0.197,0
4.301,56.652,56.652,-0.024,0,0,80.911,80.911,6.7,1,0,0,0,0,0,22.0,0.0,0.026,0,0,3.692,4,0,0,3.91,4.116,80.911,0.582,3.435,0.445,0,0,0,0,0,0,0,0.0,0,0,0,7.893,0.0,0,0,67.18,0,2.626,0.706,0,0,0.669,66.75,99.27,101.844,4.727,0.848,0,0,8,0.0,18.011,4.982,66.334,2.726,2.726,0,1,-0.329,1
4.194,0.0,0.0,0.308,0,0,70.205,66.652,0.0,0,0,0,0,0,0,0.0,0.0,0.085,0,0,3.608,0,0,0,3.674,3.684,70.205,0.619,3.53,0.177,0,0,0,0,0,0,0,0.0,0,0,0,6.402,3.555,0,1,60.89,0,2.508,0.3,0,0,0.659,45.333,86.19,66.652,3.888,0.576,0,0,7,0.0,0.0,4.551,56.857,2.657,2.657,0,0,-0.672,0
4.301,9.734,24.694,0.103,0,0,49.241,64.201,2.2,0,0,0,0,0,0,0.0,0.0,0.058,0,0,3.471,1,0,0,3.728,3.899,64.201,0.591,3.289,0.153,0,0,0,0,0,0,0,0.282,0,0,0,6.885,0.0,0,0,42.16,0,2.438,0.334,0,0,0.65,54.667,42.16,61.076,4.238,0.563,0,0,5,0.0,0.0,4.764,85.286,2.492,2.492,0,0,-0.79,0
4.194,69.458,69.458,0.142,0,0,108.652,108.652,5.1,1,0,0,0,0,0,0.0,0.0,0.099,0,0,3.58,3,0,0,4.305,4.68,108.652,0.581,3.466,0.42,0,0,0,0,0,0,0,0.0,0,0,0,16.999,0.0,0,3,82.08,0,2.51,0.401,0,0,0.613,73.25,90.46,86.121,4.703,0.511,0,0,8,0.0,17.888,4.997,100.57,2.615,2.615,0,1,-0.329,1
4.194,154.825,154.825,-0.012,0,0,171.23,171.23,10.6,3,0,0,0,0,0,0.0,0.0,0.153,1,0,3.518,5,2,2,4.692,4.821,171.23,0.64,3.767,0.425,1,0,1,0,0,0,1,0.0,0,0,0,26.504,0.0,0,0,103.7,0,2.501,0.396,0,0,0.589,74.75,137.38,154.825,6.351,0.676,0,2,8,0.0,101.772,4.969,81.617,2.535,2.535,1,3,0.953,3
4.194,66.313,66.313,0.095,0,0,70.956,70.956,7.5,0,0,0,0,0,0,0.0,0.0,0.072,0,0,3.615,4,0,0,4.124,4.251,70.956,0.582,3.134,0.483,0,0,0,0,0,0,0,0.0,0,0,0,14.996,0.0,0,0,59.08,0,2.534,0.279,0,0,0.639,61.917,67.46,66.313,4.6,0.646,0,0,7,0.0,0.0,4.501,62.665,2.661,2.661,0,0,-0.733,0
4.194,0.0,0.0,0.193,0,0,68.551,66.775,0.0,0,0,0,0,0,0,0.0,0.0,0.07,0,0,3.358,0,0,0,3.702,3.811,68.551,0.64,3.884,0.142,0,0,0,0,0,0,0,0.0,0,0,0,6.455,1.597,0,1,55.96,0,2.27,0.17,0,0,0.638,43.389,123.0,105.338,4.021,0.651,0,0,7,0.0,0.0,4.801,36.078,2.412,2.412,0,1,-0.173,0
4.301,72.29,72.29,-0.059,0,0,108.311,108.311,8.3,2,0,0,0,0,0,0.0,0.0,0.067,0,0,3.584,4,0,0,4.2,4.603,108.311,0.619,3.507,0.322,0,0,0,0,0,0,0,0.0,0,0,0,7.643,0.0,0,1,76.66,0,2.508,0.389,0,0,0.625,66.667,104.9,72.29,4.66,0.784,0,0,7,0.0,36.022,4.788,92.935,2.632,2.632,0,2,0.247,2
4.301,11.0,11.0,0.084,0,0,44.326,44.326,3.6,0,0,0,0,0,0,0.0,0.0,0.036,0,0,3.112,1,0,0,3.449,3.674,44.326,0.604,3.463,0.108,0,0,0,0,0,0,0,0.0,0,0,0,5.532,0.0,0,0,35.01,0,1.987,0.192,0,0,0.594,34.222,102.05,82.89,3.749,0.749,0,0,5,0.0,0.0,4.209,37.905,2.19,2.19,0,1,-0.168,0
4.301,118.118,118.118,-0.1,0,0,141.152,139.253,9.3,3,0,0,0,0,0,0.0,0.0,0.155,1,0,3.712,4,0,1,4.569,4.869,141.152,0.685,3.496,0.399,1,0,0,0,0,0,1,0.0,0,0,0,16.805,1.778,0,4,97.09,0,2.684,0.504,0,0,0.664,76.611,97.09,157.267,4.941,0.731,0,0,8,0.0,60.694,5.176,113.286,2.718,2.718,0,2,0.262,2
4.194,0.0,0.0,-0.047,0,0,50.357,33.571,0.0,1,0,0,0,0,0,0.0,0.0,0.017,0,0,3.264,0,0,0,3.42,3.834,50.357,0.593,2.715,0.051,0,0,0,0,0,0,0,0.0,0,0,0,4.284,0.0,0,0,41.57,0,2.229,0.08,0,0,0.658,38.5,41.57,33.571,3.853,0.912,0,0,3,0.0,16.786,4.507,85.286,2.289,2.289,0,1,-0.353,1
4.194,50.29,50.29,0.067,0,0,137.832,136.055,5.3,2,0,0,0,0,0,0.0,0.0,0.14,0,0,3.391,2,0,0,3.891,4.044,137.832,0.642,3.69,0.32,0,0,0,0,0,0,0,0.0,0,0,0,9.438,1.62,0,0,101.8,0,2.353,0.483,0,0,0.625,55.167,127.1,100.034,4.046,0.63,0,2,9,0.0,36.022,4.682,37.905,2.409,2.409,0,2,0.483,2
4.194,0.0,0.0,-0.011,0,0,82.396,82.396,0.0,1,0,0,0,0,0,0.0,0.0,0.092,0,0,3.49,0,0,0,4.242,4.46,82.396,0.65,3.756,0.295,0,0,0,0,0,0,0,0.0,0,0,0,8.09,0.0,1,1,61.07,0,2.464,0.333,0,0,0.646,58.5,61.07,181.954,4.593,0.677,1,0,8,0.0,17.888,4.227,37.905,2.507,2.507,0,1,-0.219,1
4.194,0.0,0.0,0.137,0,0,69.838,66.775,0.0,0,0,0,0,0,0,0.0,0.0,0.083,0,0,3.602,0,0,0,3.56,3.868,69.838,0.668,3.665,0.197,0,0,0,0,0,0,0,0.0,0,0,0,5.195,2.065,0,0,60.9,0,2.423,0.257,0,0,0.696,47.167,117.38,66.775,4.313,0.711,0,0,8,0.0,0.0,4.923,64.507,2.695,2.695,0,0,-0.643,0
4.194,78.828,78.828,-0.02,0,0,115.278,98.615,6.3,0,0,0,0,0,0,0.0,0.0,0.071,0,1,3.69,3,0,1,3.961,4.341,115.278,0.598,3.688,0.178,0,0,0,0,0,0,0,-0.339,0,0,0,10.287,0.0,0,1,78.45,0,2.64,0.396,0,0,0.639,61.833,78.45,95.491,4.714,0.804,0,0,6,0.0,59.346,5.022,66.334,2.719,2.719,0,2,0.231,2
4.194,25.145,25.145,0.064,0,0,34.518,34.518,1.8,0,0,0,0,0,0,0.0,0.0,0.063,0,0,3.618,1,0,0,3.674,3.715,34.518,0.51,2.746,0.26,0,0,0,0,0,0,0,1.118,0,0,0,7.37,0.0,0,0,26.79,0,2.547,0.346,0,0,0.646,46.5,26.79,25.145,4.138,0.774,0,0,4,0.0,0.0,4.504,47.381,2.66,2.66,0,0,-0.823,0
4.301,97.435,97.435,-0.057,0,0,153.121,153.121,10.2,3,0,0,0,0,0,0.0,0.0,0.172,0,0,3.59,5,0,0,4.596,4.689,153.121,0.669,3.836,0.545,0,0,0,0,0,0,0,0.0,0,0,0,9.747,0.0,0,2,115.31,0,2.517,0.631,0,0,0.661,78.0,143.55,114.22,4.75,0.751,0,0,10,0.0,35.899,5.012,73.983,2.655,2.655,0,2,0.289,2
4.194,36.145,36.145,-0.036,0,0,87.727,87.727,4.1,1,0,0,0,0,0,0.0,0.0,0.024,0,0,3.666,2,0,0,4.19,4.333,87.727,0.622,3.208,0.106,0,0,0,0,0,0,0,-0.452,0,0,0,6.131,0.0,0,0,64.11,0,2.588,0.225,0,0,0.648,68.833,92.35,69.716,4.615,0.74,0,0,6,0.0,18.011,5.051,132.667,2.701,2.701,0,1,-0.403,1
4.301,50.29,50.29,-0.059,0,0,119.882,119.882,4.3,2,0,0,0,0,0,0.0,0.0,0.035,0,0,3.685,2,0,0,4.107,4.371,119.882,0.613,3.217,0.147,0,0,0,0,0,0,0,0.0,0,0,0,6.883,0.0,0,1,83.98,0,2.658,0.283,0,0,0.638,68.0,83.98,83.861,4.697,0.695,0,0,6,0.0,36.022,4.937,113.715,2.699,2.699,0,2,0.194,2
4.301,44.313,59.273,0.076,0,0,77.503,92.464,5.3,2,0,0,0,0,0,0.0,0.0,0.094,0,0,3.596,2,0,0,4.047,4.37,92.464,0.64,3.36,0.311,0,0,0,0,0,0,0,0.0,0,0,0,17.109,0.0,0,0,59.06,0,2.567,0.34,0,0,0.609,59.75,67.44,76.059,4.64,0.462,0,0,6,0.0,16.405,4.827,107.499,2.614,2.614,0,1,-0.284,1
4.301,118.575,118.575,0.103,0,0,177.481,169.912,8.9,2,0,0,0,0,0,50.747,0.0,0.22,1,0,3.743,4,0,1,4.629,4.826,177.481,0.661,3.854,0.416,1,0,0,0,0,0,1,0.0,0,0,0,10.553,1.997,0,2,125.33,0,2.673,0.422,0,0,0.643,74.833,125.33,152.024,4.961,0.577,0,0,9,0.0,60.572,4.864,66.334,2.748,2.748,0,2,0.318,2
4.194,0.0,0.0,0.119,0,0,70.021,68.245,0.0,1,0,0,0,0,0,0.0,0.0,0.054,0,0,3.619,0,0,0,3.883,3.931,70.021,0.573,3.27,0.11,0,0,0,0,0,0,0,0.0,0,0,0,7.482,1.839,0,0,55.63,0,2.585,0.292,0,0,0.65,50.833,55.63,50.234,4.12,0.815,0,0,5,0.0,18.011,4.726,85.286,2.641,2.641,0,1,-0.356,1
4.301,61.29,61.29,-0.021,0,0,97.066,97.066,10.0,3,0,0,0,0,0,0.0,0.0,0.084,0,0,3.24,3,0,0,3.674,3.977,97.066,0.617,3.374,0.396,0,0,0,0,0,0,0,0.0,0,0,0,6.521,0.0,0,1,67.43,0,2.159,0.311,0,0,0.594,42.667,67.43,61.29,4.149,0.722,0,0,5,0.0,35.776,4.257,37.905,2.275,2.275,0,2,0.512,2
4.301,64.683,64.683,-0.07,0,0,67.807,67.807,7.3,0,0,0,0,0,0,0.0,0.0,0.089,0,0,3.588,3,0,1,4.075,4.175,67.807,0.633,3.454,0.366,0,0,0,0,0,0,0,-0.1,0,0,0,8.186,0.0,0,0,41.93,0,2.355,0.404,0,0,0.667,53.722,41.93,142.98,4.405,0.814,0,0,6,0.0,42.683,4.723,47.381,2.703,2.703,0,1,-0.301,1
4.194,85.367,85.367,-0.157,0,0,103.377,103.377,6.1,0,0,0,0,0,0,0.0,0.0,0.049,0,1,3.024,2,0,2,3.643,3.739,103.377,0.585,3.259,0.062,0,0,0,0,0,0,0,0.0,0,0,0,10.486,0.0,0,0,52.49,0,1.934,0.124,0,0,0.583,42.167,77.79,85.367,4.28,1.052,0,0,4,0.0,103.377,4.658,84.344,2.092,2.092,1,3,1.142,3
4.301,0.0,0.0,0.011,0,0,31.965,31.965,0.0,0,0,0,0,0,0,0.0,0.0,0.059,0,0,2.926,0,0,0,2.691,3.464,31.965,0.727,3.281,0.117,0,0,0,0,0,0,0,0.0,0,0,0,2.243,0.0,0,2,25.25,0,1.673,0.191,0,0,0.607,31.194,81.73,71.114,3.674,0.602,0,0,6,0.0,0.0,3.725,37.905,2.055,2.055,0,0,-0.557,0
4.301,78.828,123.708,-0.055,0,0,130.839,173.82,6.4,1,0,0,0,0,0,0.0,0.0,0.299,1,0,3.989,3,0,1,4.999,5.092,175.719,0.732,3.927,1.05,1,0,0,0,0,0,1,0.0,0,0,0,42.268,1.363,0,0,90.13,0,2.759,0.826,0,0,0.656,90.917,115.43,173.82,6.351,0.661,0,0,11,0.0,42.683,5.283,85.286,3.025,3.025,0,1,-0.248,1
4.301,25.145,25.145,-0.048,0,0,45.055,45.055,4.3,0,0,0,0,0,0,0.0,0.0,0.054,0,0,3.065,1,0,0,3.466,3.662,45.055,0.688,3.584,0.187,0,0,0,0,0,0,0,0.0,0,0,0,4.451,0.0,0,4,34.37,0,1.979,0.224,0,0,0.672,37.778,62.61,81.079,3.736,0.616,0,0,5,0.0,0.0,4.35,47.381,2.121,2.121,0,0,-0.673,0
4.194,50.29,50.29,-0.025,0,0,121.536,119.637,3.8,2,0,0,0,0,0,0.0,0.0,0.11,0,0,3.748,2,0,0,4.329,4.491,121.536,0.638,3.815,0.338,0,0,0,0,0,0,0,-0.088,0,0,0,10.324,1.701,0,0,88.91,0,2.571,0.575,0,0,0.637,74.722,114.21,161.913,4.758,0.654,0,2,10,0.0,36.022,5.195,75.81,2.815,2.815,0,2,0.289,2
4.194,151.118,151.118,-0.075,0,0,186.894,186.894,14.3,3,0,0,0,0,0,0.0,0.0,0.21,1,0,3.595,7,0,1,4.462,4.58,186.894,0.646,3.622,0.673,1,0,0,0,0,0,1,-1.583,0,0,0,17.745,0.0,0,1,123.19,0,2.544,0.804,0,0,0.63,73.833,123.19,151.118,4.965,0.818,0,0,9,0.0,78.46,4.527,37.905,2.609,2.609,0,3,1.018,3
4.194,108.434,108.434,0.005,0,0,128.099,128.099,10.5,0,0,0,0,0,0,0.0,0.0,0.105,0,0,3.899,6,0,0,4.465,4.688,128.099,0.626,3.576,0.58,0,0,0,0,0,0,0,-2.629,0,0,0,12.254,0.0,0,1,94.5,0,2.888,0.708,0,0,0.652,80.667,94.5,125.097,4.836,0.677,0,0,8,0.0,0.0,5.03,75.81,2.905,2.905,0,0,-0.751,0
4.301,50.29,50.29,0.034,0,0,102.852,102.852,4.5,2,0,0,0,0,0,0.0,0.0,0.064,0,0,3.435,2,0,0,3.619,3.78,102.852,0.535,2.541,0.193,0,0,0,0,0,0,0,0.0,0,0,0,7.182,0.0,0,2,70.56,0,2.41,0.543,0,0,0.579,44.75,70.56,66.953,4.128,0.641,0,0,5,0.0,35.899,3.85,0.0,2.444,2.444,0,2,0.393,2
4.194,106.06,106.06,0.188,0,0,162.686,157.016,10.4,2,0,0,0,0,0,50.747,0.0,0.238,0,0,3.712,5,0,0,4.513,4.792,162.686,0.652,3.666,0.566,0,0,0,0,0,0,0,0.0,0,0,0,19.623,0.0,0,0,125.61,0,2.614,0.56,0,0,0.625,74.417,133.99,122.723,4.872,0.46,0,1,10,0.0,34.293,4.903,72.141,2.761,2.761,0,2,0.353,2
4.194,36.145,36.145,-0.028,0,0,69.103,67.204,7.1,0,0,0,0,0,0,0.0,0.0,0.034,0,0,3.171,2,0,0,3.56,3.838,69.103,0.64,3.692,0.196,0,0,0,0,0,0,0,0.0,0,0,0,6.48,1.996,0,2,55.02,0,2.117,0.221,0,0,0.653,44.5,55.02,67.204,4.251,0.701,0,0,4,0.0,0.0,4.566,46.952,2.205,2.205,0,0,-0.763,0
4.194,0.0,0.0,0.234,0,0,49.499,47.722,0.0,0,0,0,0,0,0,0.0,0.0,0.034,0,0,3.191,0,0,0,3.674,3.674,49.499,0.593,2.37,0.016,0,0,0,0,0,0,0,0.0,0,0,0,6.116,1.669,0,0,41.61,0,2.175,0.1,0,0,0.605,42.167,41.61,47.722,3.678,0.559,0,0,3,0.0,0.0,3.923,104.239,2.203,2.203,0,0,-0.828,0
4.301,25.145,25.145,-0.012,0,0,45.055,43.156,2.5,1,0,0,0,0,0,0.0,0.0,0.03,0,0,3.587,1,0,0,3.674,3.741,45.055,0.559,3.026,0.129,0,0,0,0,0,0,0,0.0,0,0,0,5.862,2.008,0,1,34.03,0,2.569,0.113,0,0,0.614,47.333,34.03,25.145,4.074,0.734,0,0,3,0.0,18.011,4.453,112.857,2.589,2.589,0,1,-0.399,1
4.194,30.695,30.695,0.195,2,0,139.167,139.167,7.5,1,0,0,0,0,0,0.0,0.0,0.214,0,0,3.459,3,0,0,3.838,4.157,139.167,0.638,3.74,0.322,0,0,0,0,0,0,0,0.352,0,0,0,14.763,0.0,0,0,113.09,1,2.385,0.5,0,2,0.674,53.0,113.09,139.167,4.313,0.666,0,0,8,0.0,32.897,4.615,61.326,2.506,2.506,0,2,0.407,2
4.194,70.797,70.797,-0.022,0,0,89.482,87.583,8.2,0,0,0,0,0,0,0.0,0.0,0.048,0,0,3.716,4,0,0,4.233,4.377,89.482,0.621,3.676,0.323,0,0,0,0,0,0,0,0.0,0,0,0,7.01,2.029,0,2,74.33,0,2.645,0.474,0,0,0.647,67.333,99.63,87.583,4.475,0.717,0,0,7,0.0,0.0,5.257,75.81,2.744,2.744,0,0,-0.751,0
4.301,69.458,69.458,0.095,0,0,88.987,88.987,7.3,1,0,0,0,0,0,0.0,0.0,0.086,0,0,3.443,3,0,0,3.874,4.246,88.987,0.613,3.543,0.358,0,0,0,0,0,0,0,0.0,0,0,0,15.557,0.0,0,0,66.48,0,2.358,0.33,0,0,0.62,56.417,103.1,69.458,4.654,0.49,0,0,7,0.0,18.011,4.577,70.314,2.499,2.499,0,1,-0.241,1
4.194,34.652,34.652,0.022,0,0,72.328,72.328,5.4,1,0,0,0,0,0,0.0,0.0,0.055,0,0,3.184,2,0,0,3.509,3.622,72.328,0.581,3.335,0.241,0,0,0,0,0,0,0,0.0,0,0,0,4.744,0.0,0,1,57.84,0,2.079,0.482,0,0,0.632,42.417,57.84,51.315,3.947,0.729,0,0,6,0.0,17.888,4.432,18.952,2.26,2.26,0,1,-0.198,1
4.301,0.0,0.0,0.121,0,0,5.023,3.124,0.0,0,0,0,0,0,0,0.0,0.0,0.053,0,0,3.746,0,0,0,3.993,4.154,5.023,0.536,2.656,0.125,0,0,0,0,0,0,0,0.0,0,0,0,11.173,2.34,1,2,7.12,0,2.689,0.157,0,0,0.613,59.333,7.12,0.0,4.278,0.968,0,0,2,0.0,0.0,4.787,180.049,2.782,2.782,0,0,-0.927,0
4.301,92.973,92.973,-0.034,0,0,114.537,112.761,6.8,1,0,0,0,0,0,0.0,0.0,0.108,1,0,3.636,3,0,1,4.544,4.694,114.537,0.661,4.031,0.3,1,0,0,0,0,0,1,0.0,0,0,0,11.674,1.784,0,3,77.12,0,2.556,0.379,0,0,0.629,70.667,165.69,154.828,4.751,0.71,0,0,9,0.0,42.683,5.124,92.506,2.685,2.685,0,1,-0.268,1
4.194,94.603,94.603,0.074,0,0,151.808,151.808,6.7,3,0,0,0,0,0,0.0,0.0,0.14,0,0,3.917,4,0,0,4.653,4.77,151.808,0.622,3.755,0.483,0,0,0,0,0,0,0,0.0,0,0,0,18.387,0.0,0,4,115.09,0,2.883,0.519,0,0,0.636,87.417,123.47,111.388,4.891,0.555,0,4,10,0.0,34.416,5.369,126.451,2.92,2.92,0,2,0.219,2
