pXC50,nCsp2,C.,SCBO,nBM,Mi,nC,H.,nBO,nSK,Mv,Sv,nAB,MW,Mp,Sp,O.,AMW,Me,N.,nAT,nB,nBR,nBT,nCL,nCsp,nCsp3
4.0,11,36.8,29.5,13,1.135,14,44.7,22,21,0.636,24.17,11,303.43,0.676,25.699,2.6,7.985,1.006,13.2,38,0,0,39,0,0,3
6.322,17,44.2,41.5,22,1.124,19,37.2,30,27,0.677,29.106,21,364.39,0.684,29.409,9.3,8.474,1.024,9.3,43,0,0,46,0,0,2
4.0,9,36.7,34.5,12,1.131,18,46.9,28,26,0.629,30.798,11,394.97,0.675,33.051,4.1,8.061,1.006,8.2,49,0,0,51,1,0,9
4.1,13,37.5,48.0,15,1.134,27,50.0,39,36,0.598,43.088,12,496.67,0.632,45.478,6.9,6.898,1.003,5.6,72,0,0,75,0,0,14
4.0,10,37.2,32.0,10,1.136,16,44.2,25,24,0.624,26.853,6,333.38,0.637,27.381,11.6,7.753,1.024,7.0,43,0,0,44,0,0,6
4.0,13,37.8,38.0,15,1.121,17,40.0,29,27,0.684,30.759,12,445.43,0.734,33.034,4.4,9.898,1.021,8.9,45,0,0,47,2,0,4
4.1,11,38.6,37.0,12,1.125,17,40.9,28,26,0.653,28.733,6,378.44,0.67,29.477,13.6,8.601,1.03,4.5,44,0,0,46,0,0,6
6.236,18,43.4,44.0,17,1.11,23,41.5,33,31,0.671,35.544,12,454.61,0.712,37.739,7.5,8.578,1.009,3.8,53,0,0,55,0,0,5
4.0,16,40.4,46.0,18,1.13,21,38.5,34,32,0.66,34.304,12,440.45,0.66,34.296,13.5,8.47,1.034,7.7,52,0,0,54,0,0,5
4.0,16,42.9,39.0,16,1.125,18,35.7,29,27,0.689,28.933,12,386.82,0.697,29.267,9.5,9.21,1.032,9.5,42,0,0,44,1,0,2
6.463,20,44.1,51.0,18,1.113,26,39.0,39,36,0.68,40.141,12,527.03,0.705,41.619,10.2,8.933,1.022,3.4,59,0,0,62,1,0,6
4.1,11,43.2,32.0,13,1.123,16,40.5,25,22,0.675,24.986,12,359.25,0.713,26.398,2.7,9.709,1.007,10.8,37,0,1,40,0,0,5
4.0,10,35.8,40.5,14,1.134,19,45.3,32,29,0.625,33.115,11,420.54,0.652,34.557,9.4,7.935,1.018,7.5,53,0,0,56,0,0,9
4.0,24,44.1,51.0,24,1.111,26,42.4,36,34,0.667,39.378,18,491.68,0.713,42.051,5.1,8.334,1.003,5.1,59,0,0,61,0,0,2
4.0,10,38.0,38.5,16,1.131,19,46.0,30,27,0.629,31.465,15,385.54,0.669,33.438,4.0,7.711,1.004,10.0,50,0,0,53,0,0,9
4.06,14,40.5,36.0,14,1.117,17,35.7,28,27,0.719,30.205,12,467.22,0.764,32.097,4.8,11.124,1.033,7.1,42,0,0,43,4,0,3
4.1,14,40.7,42.0,14,1.127,24,47.5,34,31,0.625,36.884,12,442.0,0.663,39.137,5.1,7.492,1.002,5.1,59,0,0,62,1,0,10
4.365,21,45.6,51.0,22,1.11,26,40.4,38,34,0.679,38.711,18,495.03,0.714,40.71,7.0,8.685,1.011,3.5,57,0,0,61,1,0,5
4.0,7,37.7,39.5,12,1.137,23,52.5,32,29,0.59,35.977,11,392.61,0.638,38.932,0.0,6.436,0.985,9.8,61,0,0,64,0,1,15
4.1,11,38.1,39.5,15,1.163,16,33.3,30,28,0.673,28.277,11,397.35,0.648,27.227,9.5,9.461,1.063,11.9,42,0,0,44,0,0,5
6.255,23,45.9,55.5,28,1.114,28,41.0,41,36,0.672,40.992,27,495.65,0.708,43.199,3.3,8.125,1.001,8.2,61,0,0,66,0,0,5
4.11,6,32.4,24.0,4,1.134,12,48.6,20,19,0.618,22.862,0,298.48,0.678,25.103,2.7,8.067,1.002,10.8,37,0,0,38,0,0,6
4.0,10,37.1,26.5,12,1.132,13,45.7,20,19,0.633,22.148,11,276.4,0.677,23.693,2.9,7.897,1.003,11.4,35,0,0,36,0,0,3
6.331,20,44.6,50.0,18,1.112,25,37.5,38,35,0.69,38.614,12,513.0,0.712,39.858,10.7,9.161,1.025,3.6,56,0,0,59,1,0,5
5.265,21,48.8,44.5,21,1.111,21,32.6,32,29,0.719,30.912,17,407.83,0.727,31.261,9.3,9.484,1.029,7.0,43,0,0,46,1,0,0
4.0,14,48.4,31.5,14,1.098,15,32.3,23,21,0.722,22.395,11,302.32,0.733,22.727,16.1,9.752,1.036,0.0,31,0,0,33,0,0,1
4.553,7,33.3,26.0,9,1.129,12,47.2,20,19,0.627,22.556,6,299.46,0.682,24.551,5.6,8.318,1.008,8.3,36,0,0,37,0,0,5
4.842,18,45.5,41.0,17,1.111,20,36.4,30,28,0.693,30.492,12,396.45,0.71,31.261,11.4,9.01,1.025,4.5,44,0,0,46,0,0,2
5.349,17,43.5,41.0,16,1.118,20,37.0,31,29,0.686,31.571,12,461.29,0.7,32.182,13.0,10.028,1.032,4.3,46,0,1,48,0,0,3
4.0,14,47.1,31.0,14,1.113,16,38.2,23,21,0.678,23.041,12,283.3,0.688,23.392,11.8,8.332,1.021,2.9,34,0,0,36,0,0,2
4.893,19,45.5,48.0,27,1.105,20,31.8,34,30,0.739,32.512,26,450.61,0.784,34.477,2.3,10.241,1.016,13.6,44,0,0,48,0,0,1
4.1,12,46.4,25.0,13,1.112,13,39.3,18,17,0.693,19.417,12,291.16,0.737,20.625,3.6,10.399,1.006,7.1,28,0,1,29,0,0,1
4.975,18,43.1,48.5,23,1.115,22,37.3,36,32,0.692,35.313,21,465.6,0.726,37.017,5.9,9.129,1.016,9.8,51,0,0,55,0,0,4
4.1,10,41.7,26.5,13,1.127,10,29.2,19,17,0.731,17.536,11,245.29,0.746,17.892,4.2,10.22,1.033,20.8,24,0,0,26,0,0,0
5.135,17,42.6,45.0,17,1.12,20,34.0,34,31,0.696,32.722,12,440.47,0.701,32.966,12.8,9.372,1.037,8.5,47,0,0,50,0,0,3
5.416,9,40.6,30.0,10,1.127,13,34.4,23,21,0.69,22.078,6,310.71,0.686,21.949,15.6,9.71,1.049,6.3,32,0,0,34,1,0,4
4.1,9,37.8,28.0,9,1.132,14,43.2,22,21,0.647,23.921,6,354.23,0.677,25.063,8.1,9.574,1.019,8.1,37,0,1,38,0,0,5
5.084,15,45.2,39.0,15,1.117,19,35.7,30,27,0.694,29.132,12,386.81,0.702,29.472,11.9,9.21,1.032,4.8,42,0,0,45,1,0,4
5.336,18,42.3,45.0,17,1.112,22,38.5,34,32,0.682,35.447,12,472.58,0.709,36.886,11.5,9.088,1.024,3.8,52,0,0,54,0,0,4
5.396,13,42.1,34.0,17,1.112,16,39.5,25,23,0.685,26.029,16,345.48,0.731,27.79,5.3,9.092,1.011,7.9,38,0,0,40,0,0,3
4.1,13,45.5,28.0,16,1.121,15,45.5,20,18,0.643,21.225,16,237.33,0.684,22.586,0.0,7.192,0.988,9.1,33,0,0,35,0,0,2
4.459,15,43.6,40.0,20,1.116,17,33.3,28,26,0.704,27.459,16,371.4,0.711,27.744,12.8,9.523,1.037,7.7,39,0,0,41,0,0,2
4.1,15,42.9,37.5,18,1.126,18,38.1,28,26,0.678,28.467,17,373.44,0.698,29.296,7.1,8.891,1.025,7.1,42,0,0,44,0,0,3
4.0,9,36.1,28.0,9,1.151,13,41.7,22,21,0.633,22.774,6,294.32,0.636,22.892,8.3,8.176,1.033,11.1,36,0,0,37,0,0,4
5.793,7,37.8,23.0,7,1.124,14,51.4,19,18,0.605,22.379,6,265.41,0.66,24.415,5.4,7.173,0.994,2.7,37,0,0,38,0,0,7
4.1,14,51.9,29.5,14,1.097,14,29.6,21,19,0.752,20.298,11,318.13,0.769,20.767,11.1,11.783,1.031,3.7,27,0,1,29,0,0,0
4.1,10,37.7,38.5,13,1.133,20,45.3,31,29,0.628,33.261,11,421.92,0.651,34.523,9.4,7.961,1.019,5.7,53,0,0,55,1,0,10
4.0,11,41.4,27.0,10,1.108,12,34.5,20,19,0.713,20.669,6,294.38,0.749,21.716,10.3,10.151,1.03,6.9,29,0,0,30,0,0,1
4.1,15,39.6,38.0,15,1.129,19,41.7,29,28,0.641,30.788,12,388.41,0.647,31.046,14.6,8.092,1.03,4.2,48,0,0,49,0,0,4
4.0,6,36.4,29.5,7,1.133,16,50.0,25,22,0.607,26.729,5,318.49,0.659,28.978,2.3,7.238,0.995,9.1,44,0,0,47,0,0,10
4.0,9,41.0,27.0,8,1.125,16,48.7,22,20,0.613,23.907,6,273.36,0.647,25.222,7.7,7.009,1.001,2.6,39,0,0,41,0,0,7
4.1,13,41.0,34.0,17,1.132,16,41.0,25,23,0.662,25.81,16,329.82,0.69,26.909,2.6,8.457,1.012,12.8,39,0,0,41,1,0,3
4.835,21,52.3,44.0,21,1.105,23,34.1,31,29,0.722,31.789,18,452.29,0.744,32.75,6.8,10.279,1.02,2.3,44,0,1,46,0,1,1
4.1,14,41.5,38.0,16,1.133,17,34.1,28,27,0.689,28.23,12,396.78,0.68,27.864,14.6,9.678,1.053,4.9,41,0,0,42,1,0,3
4.1,9,38.1,30.0,9,1.131,16,45.2,24,23,0.63,26.471,6,338.82,0.656,27.54,9.5,8.067,1.019,4.8,42,0,0,43,1,0,7
4.1,14,40.5,37.0,19,1.107,15,35.1,26,24,0.714,26.404,16,379.52,0.76,28.131,8.1,10.257,1.025,8.1,37,0,0,39,0,0,1
5.695,18,44.7,42.0,17,1.106,21,38.3,31,29,0.691,32.491,12,426.55,0.728,34.216,8.5,9.076,1.016,4.3,47,0,0,49,0,0,3
4.1,16,43.9,35.5,18,1.123,18,41.5,26,24,0.656,26.896,17,323.38,0.676,27.71,7.3,7.887,1.012,7.3,41,0,0,43,0,0,2
4.004,19,44.2,49.5,18,1.108,23,34.6,37,34,0.705,36.635,11,498.57,0.723,37.579,13.5,9.588,1.033,3.8,52,0,0,55,0,0,4
4.0,11,40.0,35.0,13,1.155,18,42.2,28,26,0.638,28.692,12,364.41,0.648,29.142,2.2,8.098,1.027,8.9,45,0,0,47,0,0,7
5.484,13,42.5,35.5,17,1.109,17,40.0,26,24,0.681,27.249,15,360.49,0.725,29.0,7.5,9.012,1.013,5.0,40,0,0,42,0,0,4
5.6,23,52.3,47.5,28,1.105,23,34.1,33,29,0.713,31.369,27,381.41,0.726,31.949,6.8,8.668,1.013,6.8,44,0,0,48,0,0,0
5.399,23,51.1,48.5,28,1.107,24,36.2,34,30,0.7,32.896,27,395.44,0.717,33.71,6.4,8.414,1.01,6.4,47,0,0,51,0,0,1
5.47,9,42.9,25.0,8,1.121,15,48.6,20,18,0.619,21.665,6,243.33,0.657,23.006,5.7,6.952,0.995,2.9,35,0,0,37,0,0,6
4.0,13,37.3,41.0,15,1.126,19,43.1,32,29,0.648,33.06,12,434.59,0.686,34.989,7.8,8.521,1.016,7.8,51,0,0,54,0,0,6
4.0,15,43.6,34.0,15,1.126,17,41.0,25,23,0.658,25.676,12,308.37,0.679,26.5,5.1,7.907,1.009,10.3,39,0,0,41,0,0,2
4.1,8,40.0,26.0,8,1.147,14,42.9,21,20,0.633,22.147,6,283.3,0.638,22.335,8.6,8.094,1.034,2.9,35,0,0,36,0,0,6
4.0,10,36.8,31.0,10,1.139,14,39.5,24,23,0.656,24.933,6,338.78,0.665,25.267,10.5,8.915,1.035,10.5,38,0,0,39,1,0,4
4.1,13,40.7,43.5,14,1.12,24,45.8,35,32,0.633,37.346,11,457.59,0.666,39.279,10.2,7.756,1.011,1.7,59,0,0,62,0,0,11
4.0,15,51.7,35.0,18,1.092,15,24.1,25,22,0.807,23.399,16,392.67,0.849,24.614,3.4,13.54,1.031,10.3,29,0,1,32,1,0,0
4.0,10,42.9,28.5,12,1.133,15,42.9,22,20,0.644,22.543,11,274.32,0.663,23.188,5.7,7.838,1.016,5.7,35,0,0,37,0,0,5
5.979,23,50.0,49.5,28,1.109,25,38.0,35,31,0.688,34.423,27,409.47,0.709,35.472,6.0,8.189,1.007,6.0,50,0,0,54,0,0,2
4.666,15,40.4,41.0,22,1.138,19,42.6,30,27,0.645,30.332,22,360.47,0.673,31.614,0.0,7.67,1.002,17.0,47,0,0,50,0,0,4
5.331,14,40.7,41.0,14,1.127,24,49.2,33,30,0.611,36.057,12,407.56,0.649,38.279,5.1,6.908,0.996,5.1,59,0,0,62,0,0,10
4.382,11,44.4,28.0,16,1.114,12,33.3,20,18,0.713,19.261,16,259.31,0.735,19.858,7.4,9.604,1.025,11.1,27,0,0,29,0,0,1
4.876,17,48.6,38.0,22,1.106,18,35.1,27,24,0.711,26.315,22,335.41,0.74,27.381,5.4,9.065,1.012,8.1,37,0,0,40,0,0,1
4.0,9,42.9,18.0,8,1.119,9,38.1,13,13,0.665,13.966,6,180.17,0.66,13.864,19.0,8.58,1.04,0.0,21,0,0,21,0,0,0
4.0,7,36.8,29.0,11,1.149,14,44.7,23,21,0.621,23.586,10,292.35,0.637,24.199,5.3,7.693,1.02,10.5,38,0,0,40,0,0,7
4.0,22,47.2,48.5,27,1.116,25,41.5,35,31,0.665,35.256,27,410.51,0.694,36.784,3.8,7.745,1.0,7.5,53,0,0,57,0,0,3
5.521,18,50.0,43.0,23,1.103,20,32.5,31,27,0.726,29.03,22,375.43,0.746,29.835,7.5,9.386,1.02,7.5,40,0,0,44,0,0,2
4.959,15,45.2,38.0,16,1.109,19,40.5,28,25,0.673,28.282,12,355.44,0.704,29.563,9.5,8.463,1.013,2.4,42,0,0,45,0,0,4
4.1,7,36.4,24.0,7,1.142,16,54.5,20,20,0.572,25.156,6,281.41,0.613,26.989,4.5,6.396,0.997,2.3,44,0,0,44,0,0,9
4.0,20,42.6,46.0,22,1.113,23,42.6,33,31,0.664,35.851,18,453.63,0.709,38.29,5.6,8.401,1.005,5.6,54,0,0,56,0,0,3
4.315,13,37.5,39.0,15,1.122,18,41.7,30,28,0.673,32.286,12,459.46,0.725,34.796,4.2,9.572,1.017,8.3,48,0,0,50,2,0,5
4.0,19,52.8,44.5,23,1.09,19,22.2,32,28,0.819,29.468,21,493.17,0.852,30.688,5.6,13.699,1.04,8.3,36,0,1,40,2,0,0
4.0,9,43.8,25.0,8,1.111,14,43.8,20,18,0.67,21.455,6,355.19,0.747,23.904,6.3,11.1,1.0,3.1,32,0,0,34,0,0,5
4.1,3,37.5,23.0,3,1.134,15,55.0,19,18,0.576,23.026,0,246.39,0.627,25.08,2.5,6.16,0.984,5.0,40,0,0,41,0,1,11
4.0,10,39.0,30.0,9,1.119,16,46.3,24,22,0.643,26.368,6,333.52,0.704,28.858,2.4,8.135,0.996,7.3,41,0,0,43,0,0,6
5.016,9,44.8,26.0,8,1.112,13,34.5,21,19,0.727,21.094,6,318.59,0.761,22.057,6.9,10.986,1.035,3.4,29,0,0,31,3,0,4
4.0,13,40.4,42.0,17,1.147,19,36.2,33,30,0.685,32.201,16,455.93,0.7,32.892,2.1,9.701,1.039,10.6,47,0,0,50,1,0,6
5.719,24,43.8,55.5,26,1.118,28,40.6,41,38,0.666,42.641,23,530.65,0.692,44.318,7.8,8.291,1.013,6.3,64,0,0,67,0,0,4
4.0,11,36.8,30.5,13,1.133,14,42.1,23,22,0.658,24.997,11,337.87,0.699,26.557,2.6,8.891,1.014,13.2,38,0,0,39,1,0,3
4.0,9,44.8,23.5,11,1.118,13,44.8,18,16,0.642,18.612,11,215.27,0.672,19.483,6.9,7.423,1.002,3.4,29,0,0,31,0,0,4
4.1,8,37.9,24.0,8,1.168,11,34.5,19,19,0.676,19.611,6,294.68,0.661,19.159,6.9,10.161,1.07,6.9,29,0,0,29,1,0,3
4.1,13,46.9,29.0,14,1.118,15,40.6,21,19,0.669,21.413,12,251.31,0.696,22.279,3.1,7.853,1.002,9.4,32,0,0,34,0,0,2
4.0,16,42.6,42.5,19,1.129,20,38.3,32,29,0.676,31.795,17,411.5,0.699,32.853,4.3,8.755,1.02,10.6,47,0,0,50,0,0,4
4.1,23,46.4,49.5,25,1.116,26,41.1,36,33,0.664,37.191,23,441.52,0.687,38.449,7.1,7.884,1.008,5.4,56,0,0,59,0,0,3
7.18,13,41.0,35.0,15,1.111,16,38.5,26,24,0.694,27.077,12,382.92,0.74,28.858,7.7,9.818,1.022,5.1,39,0,0,41,1,0,3
4.0,15,44.4,33.0,15,1.116,16,36.1,24,23,0.697,25.088,12,377.21,0.715,25.75,11.1,10.478,1.029,5.6,36,0,1,37,0,0,1
4.201,14,40.5,37.0,14,1.116,17,33.3,29,28,0.739,31.033,12,501.66,0.785,32.955,4.8,11.944,1.041,7.1,42,0,0,43,5,0,3
4.0,13,42.1,34.0,15,1.116,16,39.5,25,23,0.681,25.889,12,350.85,0.716,27.21,7.9,9.233,1.02,5.3,38,0,0,40,1,0,3
4.0,9,40.0,29.0,11,1.115,14,42.9,23,20,0.666,23.314,10,305.46,0.724,25.335,2.9,8.727,1.002,8.6,35,0,0,38,0,0,5
4.367,18,46.3,42.0,23,1.12,19,34.1,30,27,0.707,28.998,22,379.83,0.722,29.602,4.9,9.264,1.022,12.2,41,0,0,44,1,0,1
4.1,4,32.4,25.5,7,1.132,12,45.9,21,20,0.629,23.27,5,315.46,0.676,25.006,8.1,8.526,1.017,8.1,37,0,0,38,0,0,8
4.0,6,41.7,17.0,7,1.128,10,50.0,12,12,0.612,14.677,6,160.24,0.659,15.818,0.0,6.677,0.984,8.3,24,0,0,24,0,1,3
4.0,10,39.5,29.0,12,1.12,15,44.7,22,21,0.639,24.282,10,307.4,0.673,25.563,10.5,8.089,1.015,2.6,38,0,0,39,0,0,5
5.772,7,37.8,28.5,8,1.118,14,43.2,23,21,0.655,24.249,5,324.46,0.703,26.0,8.1,8.769,1.014,5.4,37,0,0,39,0,0,7
4.1,14,42.1,30.0,14,1.127,16,44.7,22,21,0.636,24.181,12,283.36,0.665,25.256,5.3,7.457,1.004,7.9,38,0,0,39,0,0,2
4.0,3,27.5,23.0,3,1.159,11,50.0,20,20,0.572,22.874,0,288.35,0.585,23.387,12.5,7.209,1.028,10.0,40,0,0,40,0,0,8
4.0,12,40.0,29.5,13,1.119,14,40.0,22,21,0.682,23.867,11,368.28,0.728,25.495,5.7,10.522,1.016,8.6,35,0,1,36,0,0,2
4.821,15,47.4,36.5,15,1.106,18,36.8,27,24,0.698,26.535,11,338.41,0.726,27.591,7.9,8.906,1.015,5.3,38,0,0,41,0,0,3
5.209,20,42.6,51.5,23,1.115,23,37.0,37,34,0.69,37.248,17,496.61,0.716,38.682,9.3,9.196,1.023,7.4,54,0,0,57,0,0,3
5.304,18,40.7,49.5,21,1.123,24,42.4,37,34,0.65,38.335,17,483.59,0.674,39.767,10.2,8.196,1.018,5.1,59,0,0,62,0,0,6
4.0,14,40.5,35.5,14,1.116,17,40.5,27,25,0.673,28.27,11,375.51,0.714,30.006,7.1,8.941,1.015,7.1,42,0,0,44,0,0,3
4.0,11,36.8,30.5,13,1.133,14,42.1,23,22,0.658,24.997,11,337.87,0.699,26.557,2.6,8.891,1.014,13.2,38,0,0,39,1,0,3
4.0,12,43.3,27.5,13,1.121,13,36.7,20,19,0.674,20.229,11,261.25,0.67,20.085,16.7,8.708,1.039,3.3,30,0,0,31,0,0,1
4.1,10,38.3,34.5,12,1.131,18,44.7,28,26,0.641,30.132,11,398.32,0.675,31.71,6.4,8.475,1.016,6.4,47,0,0,49,2,0,8
4.0,9,36.8,27.0,9,1.14,14,47.4,21,20,0.611,23.203,6,274.36,0.638,24.262,5.3,7.22,1.007,10.5,38,0,0,39,0,0,5
5.424,14,39.3,45.0,16,1.132,22,42.9,35,32,0.643,36.003,12,461.56,0.665,37.25,8.9,8.242,1.022,5.4,56,0,0,59,0,0,8
4.0,10,36.6,31.0,10,1.14,15,43.9,24,23,0.625,25.632,6,318.37,0.638,26.171,9.8,7.765,1.022,9.8,41,0,0,42,0,0,5
5.363,21,52.5,45.5,24,1.096,21,30.0,32,28,0.743,29.723,21,388.42,0.757,30.284,10.0,9.71,1.025,5.0,40,0,0,44,0,0,0
4.0,10,37.5,28.0,10,1.14,12,37.5,21,20,0.658,21.052,6,276.28,0.653,20.886,12.5,8.634,1.039,12.5,32,0,0,33,0,0,2
4.1,10,39.5,28.5,12,1.129,17,51.2,22,21,0.599,25.74,11,286.41,0.64,27.534,4.7,6.661,0.993,4.7,43,0,0,44,0,0,7
5.55,7,37.8,23.0,7,1.124,14,51.4,19,18,0.605,22.379,6,265.41,0.66,24.415,5.4,7.173,0.994,2.7,37,0,0,38,0,0,7
4.1,15,40.0,45.0,15,1.131,24,45.0,36,33,0.635,38.122,12,470.62,0.668,40.108,5.0,7.844,1.01,6.7,60,0,0,63,0,0,9
4.165,11,40.0,30.5,14,1.106,14,40.0,22,21,0.693,24.253,11,388.33,0.753,26.347,8.6,11.095,1.019,2.9,35,0,1,36,0,0,3
5.127,16,43.5,45.5,23,1.117,20,37.0,33,29,0.685,31.513,21,411.47,0.701,32.267,10.9,8.945,1.026,6.5,46,0,0,50,0,0,4
5.893,20,44.4,46.0,18,1.108,24,40.7,34,32,0.677,36.544,12,466.62,0.717,38.739,7.4,8.641,1.009,3.7,54,0,0,56,0,0,4
5.05,11,41.2,31.0,11,1.134,14,38.2,23,21,0.666,22.644,6,283.32,0.676,22.983,5.9,8.333,1.021,14.7,34,0,0,36,0,0,3
6.333,13,45.2,26.0,13,1.117,14,41.9,19,18,0.656,20.327,12,243.28,0.675,20.938,9.7,7.848,1.012,3.2,31,0,0,32,0,0,1
5.535,21,50.0,47.5,24,1.101,23,34.8,34,30,0.713,32.777,21,416.48,0.735,33.807,8.7,9.054,1.017,4.3,46,0,0,50,0,0,2
4.0,9,36.5,34.5,12,1.133,19,50.0,28,26,0.606,31.497,11,374.56,0.653,33.955,3.8,7.203,0.997,7.7,52,0,0,54,0,0,10
4.0,7,38.7,21.0,7,1.121,12,48.4,17,16,0.623,19.326,6,237.35,0.674,20.892,6.5,7.656,1.001,3.2,31,0,0,32,0,0,5
4.0,7,37.8,28.5,8,1.118,14,43.2,23,21,0.655,24.249,5,324.46,0.703,26.0,8.1,8.769,1.014,5.4,37,0,0,39,0,0,7
4.0,7,38.5,26.0,7,1.13,15,48.7,22,20,0.606,23.622,6,277.35,0.633,24.676,10.3,7.112,1.009,2.6,39,0,0,41,0,0,8
4.154,9,42.9,25.0,8,1.121,15,48.6,20,18,0.619,21.665,6,243.33,0.657,23.006,5.7,6.952,0.995,2.9,35,0,0,37,0,0,6
4.1,13,45.7,30.0,13,1.105,16,40.0,23,21,0.69,24.153,12,319.83,0.736,25.75,5.7,9.138,1.01,2.9,35,0,0,37,1,0,3
5.25,22,50.0,47.0,21,1.106,26,40.4,35,31,0.676,35.149,18,411.48,0.701,36.438,7.7,7.913,1.005,1.9,52,0,0,56,0,0,4
4.0,10,42.4,27.0,9,1.143,14,39.4,21,20,0.655,21.62,6,281.28,0.654,21.574,9.1,8.524,1.039,3.0,33,0,0,34,0,0,4
4.0,8,37.8,25.0,8,1.134,14,48.6,20,19,0.605,22.402,6,262.34,0.634,23.466,8.1,7.09,1.007,5.4,37,0,0,38,0,0,6
4.0,16,42.2,39.0,16,1.127,19,40.0,29,27,0.658,29.632,12,366.41,0.67,30.171,8.9,8.142,1.02,8.9,45,0,0,47,0,0,3
4.1,6,42.1,30.0,9,1.127,16,44.7,21,21,0.636,24.181,6,283.36,0.665,25.256,5.3,7.457,1.004,7.9,38,0,0,38,0,3,7
4.818,1,34.1,35.0,2,1.137,31,63.7,32,33,0.524,47.707,0,462.89,0.593,53.99,2.2,5.087,0.97,0.0,91,0,0,90,0,2,28
4.0,7,38.7,26.5,8,1.114,12,38.7,21,19,0.684,21.195,5,296.4,0.725,22.477,9.7,9.561,1.024,6.5,31,0,0,33,0,0,5
5.412,9,40.5,30.0,8,1.128,17,47.6,25,22,0.617,25.928,6,300.39,0.648,27.228,7.1,7.152,1.003,4.8,42,0,0,45,0,0,8
4.0,6,34.9,21.0,6,1.137,15,58.1,18,18,0.553,23.773,6,251.41,0.606,26.052,4.7,5.847,0.985,2.3,43,0,0,43,0,0,9
5.475,7,34.6,23.0,9,1.131,9,38.5,17,16,0.661,17.196,6,242.28,0.674,17.523,15.4,9.318,1.043,7.7,26,0,0,27,0,0,2
4.774,16,45.2,42.5,19,1.097,19,33.3,31,28,0.729,30.624,15,430.56,0.77,32.341,9.5,10.251,1.025,4.8,42,0,0,45,0,0,3
4.1,11,37.1,41.5,14,1.134,23,50.0,33,31,0.603,37.374,11,450.63,0.643,39.836,6.5,7.268,1.006,3.2,62,0,0,64,0,0,12
4.1,13,45.2,32.0,17,1.111,14,32.3,23,21,0.73,22.616,16,319.79,0.757,23.477,6.5,10.316,1.029,9.7,31,0,0,33,1,0,1
4.056,7,36.1,26.0,11,1.124,13,47.2,20,19,0.634,22.841,10,295.47,0.697,25.097,2.8,8.207,0.999,8.3,36,0,0,37,0,0,6
4.1,11,38.7,29.5,14,1.122,12,35.5,21,20,0.695,21.551,11,314.77,0.714,22.142,12.9,10.154,1.043,6.5,31,0,0,32,1,0,1
4.0,9,41.2,29.0,10,1.127,14,41.2,22,20,0.649,22.063,6,274.3,0.659,22.398,11.8,8.068,1.024,5.9,34,0,0,36,0,0,5
4.0,16,38.6,42.0,19,1.138,22,47.4,32,30,0.616,35.133,18,405.56,0.651,37.108,1.8,7.115,0.998,12.3,57,0,0,59,0,0,6
4.0,9,36.8,27.0,9,1.14,14,47.4,21,20,0.611,23.203,6,274.36,0.638,24.262,5.3,7.22,1.007,10.5,38,0,0,39,0,0,5
4.0,14,42.3,43.0,12,1.126,22,42.3,34,30,0.648,33.686,6,406.48,0.667,34.693,7.7,7.817,1.013,7.7,52,0,0,56,0,0,8
4.1,14,41.7,40.5,17,1.125,20,41.7,31,28,0.647,31.073,15,384.42,0.658,31.591,12.5,8.009,1.023,4.2,48,0,0,51,0,0,6
4.1,14,38.2,39.0,15,1.135,21,47.3,30,29,0.613,33.74,12,398.51,0.64,35.216,7.3,7.246,1.008,7.3,55,0,0,56,0,0,7
4.0,10,36.5,43.0,11,1.131,23,49.2,35,32,0.606,38.2,6,461.64,0.644,40.597,7.9,7.328,1.006,4.8,63,0,0,66,0,0,13
6.048,24,51.0,51.5,29,1.107,25,34.7,36,32,0.706,34.611,27,423.45,0.718,35.165,8.2,8.642,1.016,6.1,49,0,0,53,0,0,1
5.382,10,37.2,31.0,12,1.128,16,46.5,24,23,0.624,26.83,10,336.45,0.659,28.33,9.3,7.824,1.013,4.7,43,0,0,44,0,0,6
6.703,17,43.5,42.5,22,1.125,20,39.1,31,28,0.666,30.632,21,378.42,0.678,31.171,8.7,8.227,1.02,8.7,46,0,0,49,0,0,3
4.1,10,36.4,39.5,14,1.13,20,47.3,31,29,0.615,33.84,11,422.55,0.646,35.523,10.9,7.683,1.015,3.6,55,0,0,57,0,0,10
5.328,10,37.2,31.0,9,1.125,16,46.5,25,23,0.637,27.389,6,348.54,0.695,29.864,2.3,8.106,0.999,9.3,43,0,0,45,0,0,6
5.562,15,47.1,34.0,15,1.111,16,35.3,25,22,0.709,24.095,12,308.39,0.74,25.171,2.9,9.07,1.01,11.8,34,0,0,37,0,0,1
4.0,9,34.7,37.5,16,1.134,17,44.9,29,27,0.636,31.147,15,406.59,0.68,33.33,4.1,8.298,1.01,12.2,49,0,0,51,0,0,8
4.1,8,36.8,35.0,8,1.137,21,52.6,30,27,0.585,33.364,6,370.55,0.629,35.83,3.5,6.501,0.992,7.0,57,0,0,60,0,0,13
4.106,15,44.7,38.5,21,1.115,17,34.2,28,25,0.726,27.583,21,390.32,0.768,29.199,0.0,10.272,1.017,13.2,38,0,0,41,2,0,2
5.939,13,46.9,28.0,13,1.104,15,40.6,21,19,0.681,21.799,12,271.36,0.723,23.131,6.3,8.48,1.004,3.1,32,0,0,34,0,0,2
