pXC50,N.,X.,nN,nF,nX,nCL,nC,Me,nHet,H.,nBM,AMW,RBN,C.,nDB,Sp,nCsp2,Mv,nS,RBF,Mi,MW,nCsp3,nAB,Sv,nBO,Si,Se,nAT,nSK
5.013,1.6,0.0,1,0,0,0,29,1.002,6,45.3,21,7.369,10,45.3,3,42.938,21,0.64,0,0.149,1.115,471.59,8,18,40.971,38,71.358,64.109,64,35
5.745,1.5,0.0,1,0,0,0,30,1.0,6,46.3,21,7.248,11,44.8,3,44.699,21,0.634,0,0.157,1.116,485.62,9,18,42.497,39,74.773,66.992,67,36
4.824,1.5,4.6,1,3,3,0,29,1.03,10,40.0,24,8.332,8,44.6,2,43.205,22,0.659,0,0.118,1.132,541.56,7,22,42.835,42,73.587,66.974,65,39
5.822,0.0,1.7,0,0,1,1,26,1.013,7,43.1,20,8.086,12,44.8,2,39.483,20,0.655,0,0.2,1.114,468.96,6,18,37.965,35,64.598,58.774,58,33
5.405,0.0,0.0,0,0,0,0,26,1.004,5,43.6,20,7.573,9,47.3,1,37.409,19,0.653,0,0.158,1.11,416.5,5,18,35.896,33,61.029,55.24,55,31
5.718,0.0,0.0,0,0,0,0,25,1.008,6,45.6,19,7.412,12,43.9,1,37.625,19,0.634,0,0.203,1.117,422.51,6,18,36.137,33,63.654,57.451,57,31
4.301,0.0,1.4,0,0,1,1,28,0.998,6,50.7,13,7.059,8,40.6,1,44.836,13,0.607,0,0.111,1.123,487.08,15,12,41.884,37,77.465,68.865,69,34
5.385,0.0,0.0,0,0,0,0,27,1.002,5,44.8,20,7.423,10,46.6,1,39.171,19,0.645,0,0.167,1.111,430.53,6,18,37.422,34,64.445,58.123,58,32
5.0,5.6,3.7,3,0,2,2,25,1.0,6,42.6,23,8.378,6,46.3,1,38.563,20,0.671,0,0.105,1.114,452.41,5,22,36.229,34,60.16,54.0,54,31
5.857,0.0,0.0,0,0,0,0,25,1.002,5,46.4,19,7.259,11,44.6,1,37.171,19,0.633,0,0.19,1.115,406.51,6,18,35.422,32,62.445,56.123,56,30
4.824,0.0,7.5,0,3,4,1,22,1.037,9,41.5,13,8.658,9,41.5,1,34.841,13,0.649,0,0.164,1.14,458.89,9,12,34.4,33,60.408,54.985,53,31
6.079,0.0,8.0,0,3,4,1,21,1.042,9,40.0,13,8.897,8,42.0,1,33.08,13,0.657,0,0.154,1.14,444.86,8,12,32.873,32,56.993,52.102,50,30
4.301,0.0,1.6,0,0,1,1,25,1.002,6,50.0,13,7.21,10,40.3,1,40.313,13,0.61,0,0.156,1.123,447.01,12,12,37.83,33,69.634,62.098,62,31
4.824,0.0,7.8,0,3,4,1,21,1.048,10,39.2,13,9.036,9,41.2,1,33.534,13,0.659,0,0.17,1.141,460.86,8,12,33.588,33,58.202,53.429,51,31
4.824,0.0,1.7,0,0,1,1,24,1.004,6,49.2,13,7.339,9,40.7,1,38.551,13,0.615,0,0.148,1.122,432.98,11,12,36.303,32,66.219,59.214,59,30
4.824,0.0,7.1,0,3,4,1,23,1.033,9,42.9,13,8.445,10,41.1,1,36.602,13,0.642,0,0.172,1.14,472.92,10,12,35.927,34,63.823,57.869,56,32
4.301,0.0,7.4,0,3,4,1,22,1.043,10,40.7,13,8.794,8,40.7,1,35.296,13,0.65,0,0.143,1.141,474.89,9,12,35.115,34,61.617,56.312,54,32
4.301,0.0,7.8,0,3,4,1,21,1.048,10,39.2,13,9.036,9,41.2,1,33.534,13,0.659,0,0.17,1.141,460.86,8,12,33.588,33,58.202,53.429,51,31
5.281,0.0,5.0,0,3,3,0,24,1.025,9,45.0,13,8.076,11,40.0,1,39.154,13,0.63,1,0.177,1.137,484.58,11,12,37.813,35,68.214,61.505,60,33
4.824,0.0,7.8,0,3,4,1,21,1.048,10,39.2,13,9.036,9,41.2,1,33.534,13,0.659,0,0.17,1.141,460.86,8,12,33.588,33,58.202,53.429,51,31
6.399,0.0,14.0,0,6,7,1,21,1.073,12,34.0,13,9.977,8,42.0,1,32.892,13,0.68,0,0.154,1.16,498.83,8,12,34.023,35,58.012,53.64,50,33
4.824,0.0,7.4,0,3,4,1,22,1.043,10,40.7,13,8.794,10,40.7,1,35.296,13,0.65,0,0.179,1.141,474.89,9,12,35.115,34,61.617,56.312,54,32
7.26,2.1,8.3,1,4,4,0,21,1.044,10,35.4,18,9.824,7,43.8,1,34.029,16,0.695,2,0.14,1.135,471.53,5,17,33.341,33,54.477,50.123,48,31
6.538,2.0,7.8,1,4,4,0,22,1.039,10,37.3,18,9.521,8,43.1,1,35.79,16,0.684,2,0.151,1.135,485.56,6,17,34.868,34,57.893,53.007,51,32
6.237,1.9,7.4,1,4,4,0,23,1.035,10,38.9,18,9.252,8,42.6,1,37.551,16,0.674,2,0.143,1.135,499.59,7,17,36.395,35,61.308,55.891,54,33
6.0,0.0,0.0,0,0,0,0,20,0.981,2,56.0,7,6.01,12,40.0,7,31.569,13,0.576,0,0.245,1.125,300.48,7,0,28.805,21,56.232,49.025,50,22
4.301,0.0,6.9,0,3,4,1,26,1.04,10,37.9,19,9.016,10,44.8,1,39.296,19,0.674,0,0.164,1.131,522.93,7,18,39.115,39,65.617,60.312,58,36
4.824,0.0,7.4,0,3,4,1,22,1.043,10,40.7,13,8.794,9,40.7,1,35.296,13,0.65,0,0.161,1.141,474.89,9,12,35.115,34,61.617,56.312,54,32
5.0,5.3,3.5,3,0,2,2,20,1.014,10,47.4,14,8.359,11,35.1,3,38.097,10,0.625,1,0.19,1.132,476.47,10,11,35.614,31,64.538,57.825,57,30
5.0,4.8,6.3,3,3,4,1,22,1.029,12,46.0,14,8.318,12,34.9,3,40.574,10,0.619,1,0.188,1.15,524.06,12,11,38.99,35,72.444,64.807,63,34
5.0,4.8,3.2,3,0,2,2,22,1.009,10,49.2,14,8.008,13,34.9,3,41.62,10,0.614,1,0.203,1.133,504.53,12,11,38.667,33,71.369,63.592,63,32
5.0,5.0,3.3,3,0,2,2,21,1.012,10,48.3,14,8.175,11,35.0,3,39.858,10,0.619,1,0.18,1.133,490.5,11,11,37.141,32,67.953,60.709,60,31
5.0,4.9,3.3,3,0,2,2,22,1.012,10,47.5,14,8.238,9,36.1,3,40.858,10,0.625,1,0.143,1.13,502.51,12,11,38.141,34,68.953,61.709,61,32
5.0,5.5,3.6,3,0,2,2,22,1.019,10,41.8,20,9.026,9,40.0,3,38.574,16,0.665,1,0.158,1.122,496.45,6,17,36.56,34,61.708,56.058,55,32
5.0,4.8,3.2,3,0,2,2,22,1.009,10,49.2,14,8.008,14,34.9,3,41.62,10,0.614,1,0.219,1.133,504.53,12,11,38.667,33,71.369,63.592,63,32
5.0,4.9,3.3,3,0,2,2,21,1.017,11,47.5,14,8.303,14,34.4,3,40.313,10,0.621,1,0.226,1.134,506.5,11,11,37.855,33,69.163,62.036,61,32
5.0,4.7,3.1,3,0,2,2,25,1.011,10,45.3,20,8.415,13,39.1,3,43.858,16,0.643,1,0.197,1.124,538.54,9,17,41.141,37,71.953,64.709,64,35
5.0,6.3,3.2,4,0,2,2,24,1.015,11,44.4,20,8.564,13,38.1,3,43.102,15,0.645,1,0.2,1.128,539.53,9,17,40.635,37,71.036,63.927,63,35
5.0,5.1,3.4,3,0,2,2,21,1.006,9,49.2,14,8.042,11,35.6,3,39.404,10,0.617,1,0.183,1.131,474.5,11,11,36.426,31,66.744,59.382,59,30
5.0,4.8,6.5,3,3,4,1,22,1.024,11,46.8,14,8.195,11,35.5,3,40.12,10,0.617,1,0.175,1.149,508.06,12,11,38.275,34,71.234,63.48,62,33
5.0,5.0,6.7,3,3,4,1,22,1.027,11,45.0,14,8.434,11,36.7,3,39.358,10,0.629,1,0.177,1.147,506.04,12,11,37.748,35,68.819,61.596,60,33
5.0,5.0,3.3,3,0,2,2,24,1.008,9,45.0,20,8.475,11,40.0,3,41.642,16,0.648,1,0.177,1.122,508.51,8,17,38.899,35,67.329,60.498,60,33
5.0,5.2,3.4,3,0,2,2,21,1.014,10,46.6,15,8.422,11,36.2,4,39.097,12,0.631,1,0.186,1.13,488.48,9,11,36.614,32,65.538,58.825,58,31
5.0,4.9,6.6,3,3,4,1,22,1.032,12,44.3,15,8.558,11,36.1,4,39.813,12,0.631,1,0.177,1.148,522.04,10,11,38.463,35,70.028,62.923,61,34
5.0,4.9,6.6,3,3,4,1,22,1.032,12,44.3,15,8.558,10,36.1,4,39.813,12,0.631,1,0.161,1.148,522.04,10,11,38.463,35,70.028,62.923,61,34
5.0,4.8,6.5,3,3,4,1,22,1.036,13,43.5,15,8.678,12,35.5,4,40.267,12,0.632,1,0.19,1.149,538.04,10,11,39.178,36,71.238,64.251,62,35
5.0,5.3,3.5,3,0,2,2,21,1.009,9,47.4,15,8.289,10,36.8,4,38.642,12,0.63,1,0.172,1.129,472.48,9,11,35.899,31,64.329,57.498,57,30
5.0,5.2,6.9,3,3,4,1,22,1.03,11,43.1,15,8.69,10,37.9,4,38.597,12,0.642,1,0.167,1.145,504.02,10,11,37.221,35,66.404,59.712,58,33
6.0,1.7,0.0,1,0,0,0,28,0.985,3,48.3,20,6.86,5,46.7,2,40.574,21,0.63,0,0.079,1.112,411.58,7,18,37.826,34,66.73,59.127,60,31
6.328,1.8,0.0,1,0,0,0,28,1.008,6,40.4,26,7.956,8,49.1,2,39.654,26,0.674,0,0.133,1.107,453.52,2,24,38.39,37,63.113,57.458,57,34
4.77,5.6,1.9,3,0,1,1,23,1.016,9,40.7,19,8.741,6,42.6,2,37.955,17,0.67,1,0.105,1.118,472.0,6,17,36.206,35,60.349,54.851,54,32
5.377,5.7,1.9,3,0,1,1,23,1.01,8,41.5,19,8.604,5,43.4,2,37.5,17,0.67,1,0.089,1.116,456.0,6,17,35.491,34,59.139,53.523,53,31
4.886,5.6,1.9,3,0,1,1,23,1.001,7,44.4,18,8.186,6,42.6,1,37.807,16,0.654,1,0.105,1.117,442.02,7,17,35.303,33,60.345,54.08,54,30
5.201,3.8,1.9,2,0,1,1,23,1.006,7,43.4,18,8.358,6,43.4,1,37.256,16,0.66,1,0.107,1.114,443.0,7,17,34.997,33,59.056,53.305,53,30
5.092,3.8,1.9,2,0,1,1,24,1.0,6,43.4,19,8.283,5,45.3,2,37.801,18,0.666,1,0.089,1.11,439.01,6,17,35.282,33,58.847,52.978,53,30
5.167,3.6,1.8,2,0,1,1,24,0.997,6,45.5,18,8.019,6,43.6,1,38.563,16,0.651,1,0.103,1.114,441.03,8,17,35.809,33,61.262,54.862,55,30
5.523,5.7,1.9,3,0,1,1,23,1.01,8,41.5,19,8.604,5,43.4,2,37.5,17,0.67,1,0.089,1.116,456.0,6,17,35.491,34,59.139,53.523,53,31
4.886,5.7,1.9,3,0,1,1,23,1.015,8,41.5,19,8.301,5,43.4,2,36.307,17,0.661,0,0.089,1.121,439.93,6,17,35.019,34,59.429,53.774,53,31
5.149,5.7,0.0,3,0,0,0,23,1.004,7,43.4,19,7.954,5,43.4,2,36.642,17,0.654,1,0.089,1.117,421.56,6,17,34.664,33,59.195,53.2,53,30
5.62,5.7,1.9,3,0,1,1,23,1.01,8,41.5,19,8.604,5,43.4,2,37.5,17,0.67,1,0.089,1.116,456.0,6,17,35.491,34,59.139,53.523,53,31
5.721,5.7,1.9,3,0,1,1,23,1.01,8,41.5,19,8.604,5,43.4,2,37.5,17,0.67,1,0.089,1.116,456.0,6,17,35.491,34,59.139,53.523,53,31
5.056,5.7,1.9,3,1,1,0,23,1.013,8,41.5,19,8.293,5,43.4,2,36.58,17,0.661,1,0.089,1.123,439.55,6,17,35.047,34,59.535,53.712,53,31
5.509,5.4,0.0,3,0,0,0,24,1.001,7,44.6,19,7.778,5,42.9,2,38.404,17,0.646,1,0.085,1.118,435.59,7,17,36.19,34,62.61,56.083,56,31
5.745,5.3,0.0,3,0,0,0,24,1.007,8,43.9,19,7.923,6,42.1,2,38.858,17,0.647,1,0.1,1.12,451.59,7,17,36.905,35,63.82,57.411,57,32
4.959,7.3,0.0,4,0,0,0,23,1.02,10,40.0,21,8.483,6,41.8,4,37.796,17,0.665,1,0.103,1.122,466.56,6,17,36.588,36,61.697,56.073,55,33
4.824,0.0,5.6,0,3,3,0,22,1.037,9,42.6,13,8.156,10,40.7,1,34.438,13,0.635,0,0.179,1.142,440.45,9,12,34.287,33,61.673,55.989,54,31
4.301,3.6,9.1,2,3,5,2,25,1.044,11,34.5,20,9.807,7,45.5,2,38.733,20,0.7,0,0.121,1.133,539.36,5,18,38.502,39,62.309,57.418,55,36
4.301,3.7,9.3,2,3,5,2,25,1.053,12,31.5,21,10.247,6,46.3,3,38.426,21,0.716,0,0.105,1.132,553.34,4,18,38.69,40,61.103,56.862,54,37
4.301,3.1,6.3,2,3,4,1,28,1.027,10,40.6,20,8.547,7,43.8,2,43.159,20,0.66,0,0.104,1.135,547.01,8,18,42.255,41,72.61,65.745,64,38
4.301,5.6,9.3,3,3,5,2,25,1.052,13,29.6,24,10.785,6,46.3,2,39.864,21,0.734,1,0.103,1.128,582.41,4,22,39.657,42,60.896,56.829,54,38
4.301,5.6,9.3,3,3,5,2,25,1.057,13,29.6,24,10.488,6,46.3,2,38.67,21,0.726,0,0.103,1.133,566.34,4,22,39.184,42,61.186,57.08,54,38
4.301,5.3,7.0,3,3,4,1,26,1.046,12,33.3,24,9.578,6,45.6,2,39.574,21,0.7,0,0.098,1.134,545.93,5,22,39.884,42,64.657,59.64,57,38
4.301,5.3,7.0,3,3,4,1,26,1.046,12,33.3,24,9.578,6,45.6,2,39.574,21,0.7,0,0.098,1.134,545.93,5,22,39.884,42,64.657,59.64,57,38
4.301,5.3,7.0,3,3,4,1,26,1.046,12,33.3,24,9.578,6,45.6,2,39.574,21,0.7,0,0.098,1.134,545.93,5,22,39.884,42,64.657,59.64,57,38
4.301,5.6,9.3,3,3,5,2,25,1.057,13,29.6,24,10.488,6,46.3,2,38.67,21,0.726,0,0.103,1.133,566.34,4,22,39.184,42,61.186,57.08,54,38
4.301,5.2,6.9,3,3,4,1,26,1.051,13,32.8,24,9.688,7,44.8,2,40.028,21,0.7,0,0.113,1.136,561.93,5,22,40.598,43,65.866,60.967,58,39
4.301,5.1,6.8,3,3,4,1,26,1.056,14,32.2,24,9.795,8,44.1,2,40.483,21,0.7,0,0.127,1.137,577.93,5,22,41.313,44,67.076,62.294,59,40
4.301,5.2,6.9,3,3,4,1,26,1.051,13,32.8,24,9.688,7,44.8,2,40.028,21,0.7,0,0.113,1.136,561.93,5,22,40.598,43,65.866,60.967,58,39
4.301,5.1,6.8,3,3,4,1,26,1.056,14,32.2,24,9.795,8,44.1,2,40.483,21,0.7,0,0.127,1.137,577.93,5,22,41.313,44,67.076,62.294,59,40
4.301,5.2,6.9,3,3,4,1,26,1.051,13,32.8,24,9.688,7,44.8,2,40.028,21,0.7,0,0.113,1.136,561.93,5,22,40.598,43,65.866,60.967,58,39
4.301,5.2,6.9,3,3,4,1,26,1.051,13,32.8,24,9.688,7,44.8,2,40.028,21,0.7,0,0.113,1.136,561.93,5,22,40.598,43,65.866,60.967,58,39
4.301,5.2,5.2,3,3,3,0,26,1.046,12,34.5,24,9.095,7,44.8,2,39.171,21,0.686,0,0.113,1.137,527.49,5,22,39.771,42,65.922,60.643,58,38
4.301,4.9,4.9,3,3,3,0,27,1.041,12,36.1,24,8.877,8,44.3,2,40.932,21,0.677,0,0.123,1.137,541.52,6,22,41.298,43,69.338,63.527,61,39
4.301,6.8,5.1,4,3,3,0,27,1.049,13,32.2,25,9.364,5,45.8,3,40.415,22,0.699,0,0.078,1.136,552.5,5,22,41.265,45,67.006,61.862,59,40
4.301,6.8,5.1,4,3,3,0,27,1.049,13,32.2,25,9.364,5,45.8,3,40.415,22,0.699,0,0.078,1.136,552.5,5,22,41.265,45,67.006,61.862,59,40
4.301,6.8,5.1,4,3,3,0,27,1.049,13,32.2,25,9.364,5,45.8,3,40.415,22,0.699,0,0.078,1.136,552.5,5,22,41.265,45,67.006,61.862,59,40
4.301,7.1,5.4,4,3,3,0,26,1.053,13,30.4,25,9.616,4,46.4,3,38.653,22,0.71,0,0.066,1.136,538.47,4,22,39.739,44,63.59,58.978,56,39
4.301,6.8,6.8,4,3,4,1,27,1.054,14,30.5,25,9.948,5,45.8,3,41.273,22,0.713,0,0.078,1.135,586.94,5,22,42.093,46,66.95,62.185,59,41
4.301,5.5,1.8,3,0,1,1,25,1.028,10,36.4,24,8.981,7,45.5,2,38.455,21,0.689,0,0.119,1.117,493.93,4,22,37.922,39,61.432,56.545,55,35
4.301,7.1,0.0,4,0,0,0,26,1.026,10,35.7,25,8.652,5,46.4,3,38.841,22,0.689,0,0.082,1.117,484.5,4,22,38.589,41,62.571,57.44,56,36
4.301,7.7,1.9,4,0,1,1,25,1.03,10,32.7,25,9.402,4,48.1,3,37.483,22,0.715,0,0.07,1.113,488.91,3,22,37.175,40,57.891,53.553,52,35
4.301,5.5,1.8,3,0,1,1,25,1.028,10,36.4,24,8.981,7,45.5,2,38.455,21,0.689,0,0.119,1.117,493.93,4,22,37.922,39,61.432,56.545,55,35
4.301,7.1,1.8,4,0,1,1,26,1.031,11,33.9,25,9.267,5,46.4,3,39.699,22,0.704,0,0.082,1.116,518.94,4,22,39.416,42,62.515,57.764,56,37
7.367,1.6,0.0,1,0,0,0,30,0.998,5,43.5,27,7.509,8,48.4,2,42.722,24,0.657,0,0.121,1.109,465.58,6,25,40.729,39,68.734,61.898,62,35
6.495,3.1,0.0,2,0,0,0,29,1.005,7,43.8,27,7.572,11,45.3,1,43.182,22,0.648,0,0.162,1.116,484.59,7,26,41.465,40,71.441,64.327,64,36
4.0,5.0,2.5,2,0,1,1,15,0.986,4,52.5,7,7.422,2,37.5,1,27.131,7,0.608,1,0.049,1.125,296.9,8,6,24.325,20,45.013,39.44,40,19
7.097,3.1,0.0,2,0,0,0,29,1.005,7,43.8,27,7.572,11,45.3,1,43.182,22,0.648,0,0.162,1.116,484.59,7,26,41.465,40,71.441,64.327,64,36
5.672,1.5,0.0,1,0,0,0,30,1.002,6,44.6,27,7.44,11,46.2,1,43.938,23,0.646,0,0.159,1.113,483.6,7,26,41.971,40,72.358,65.109,65,36
5.476,3.0,0.0,2,0,0,0,30,0.998,6,45.5,27,7.312,11,45.5,1,44.489,23,0.641,0,0.157,1.116,482.62,7,26,42.277,40,73.647,65.883,66,36
6.432,10.2,5.1,6,3,3,0,24,1.033,12,39.0,25,8.484,10,40.7,0,38.824,16,0.656,0,0.159,1.149,500.53,8,25,38.691,40,67.789,60.967,59,36
4.0,6.1,3.0,2,0,1,1,12,0.99,4,51.5,7,7.783,3,36.4,1,22.608,7,0.614,1,0.091,1.127,256.83,5,6,20.272,16,37.182,32.673,33,16
4.0,5.0,2.5,2,0,1,1,15,0.986,4,52.5,7,7.422,2,37.5,1,27.131,7,0.608,1,0.049,1.125,296.9,8,6,24.325,20,45.013,39.44,40,19
4.0,6.7,3.3,2,0,1,1,11,0.993,4,50.0,7,8.093,3,36.7,1,20.847,7,0.625,1,0.1,1.126,242.8,4,6,18.745,15,33.767,29.789,30,15
7.018,3.5,5.3,2,3,3,0,24,1.035,10,40.4,21,8.359,10,42.1,1,37.233,16,0.651,0,0.167,1.141,476.49,8,20,37.088,37,65.045,58.981,57,34
6.377,3.6,0.0,2,0,0,0,24,1.002,6,46.4,21,7.259,10,42.9,1,36.966,17,0.629,0,0.169,1.122,406.52,7,20,35.224,33,62.817,56.116,56,30
5.0,1.8,1.8,1,1,1,0,26,1.018,7,40.0,24,8.136,10,47.3,2,37.591,22,0.669,0,0.172,1.117,447.49,4,22,36.773,36,61.452,55.971,55,33
5.269,1.4,0.0,1,0,0,0,33,1.0,6,44.3,29,7.452,12,47.1,2,47.699,26,0.65,0,0.162,1.111,521.65,7,27,45.497,43,77.773,69.992,70,39
4.322,0.0,0.0,0,0,0,0,21,1.02,7,44.0,12,7.729,4,42.0,0,32.557,12,0.636,0,0.074,1.121,386.43,9,12,31.798,32,56.033,51.011,50,28
4.275,0.0,0.0,0,0,0,0,20,1.017,6,43.5,12,7.748,3,43.5,0,30.341,12,0.643,0,0.06,1.118,356.4,8,12,29.557,30,51.408,46.8,46,26
4.47,0.0,0.0,0,0,0,0,20,1.017,6,43.5,12,7.748,3,43.5,0,30.341,12,0.643,0,0.06,1.118,356.4,8,12,29.557,30,51.408,46.8,46,26
4.314,0.0,0.0,0,0,0,0,10,0.998,3,58.1,1,6.009,1,32.3,1,18.216,2,0.545,0,0.032,1.141,186.28,8,0,16.886,13,35.365,30.934,31,13
4.646,0.0,0.0,0,0,0,0,11,1.022,5,50.0,6,7.133,5,34.4,0,19.364,6,0.587,0,0.156,1.137,228.27,5,6,18.788,16,36.369,32.705,32,16
5.31,2.6,0.0,1,0,0,0,14,0.978,2,59.0,4,5.676,7,35.9,4,23.836,7,0.552,0,0.184,1.135,221.38,7,0,21.531,15,44.275,38.149,39,16
4.292,2.3,0.0,1,0,0,0,16,0.977,2,58.1,5,5.754,8,37.2,5,26.597,9,0.559,0,0.19,1.132,247.42,7,0,24.058,17,48.69,42.032,43,18
5.35,2.4,0.0,2,0,0,0,36,0.988,6,48.8,26,7.084,12,43.9,2,55.489,26,0.627,1,0.141,1.115,580.85,10,24,51.383,45,91.434,81.05,82,42
5.501,1.8,1.8,1,1,1,0,26,1.018,7,40.0,24,8.136,10,47.3,2,37.591,22,0.669,0,0.172,1.117,447.49,4,22,36.773,36,61.452,55.971,55,33
5.487,1.6,1.6,1,1,1,0,29,1.01,7,43.8,24,7.65,12,45.3,2,42.875,22,0.646,0,0.179,1.12,489.58,7,22,41.354,39,71.698,64.621,64,36
6.301,2.0,7.8,1,4,4,0,21,1.04,9,41.2,14,8.381,8,41.2,2,32.711,14,0.642,0,0.154,1.151,427.43,7,12,32.735,31,58.677,53.065,51,30
6.0,2.0,7.8,1,4,4,0,21,1.04,9,41.2,14,8.381,8,41.2,2,32.711,14,0.642,0,0.154,1.151,427.43,7,12,32.735,31,58.677,53.065,51,30
6.652,1.4,0.0,1,0,0,0,33,1.0,6,44.3,29,7.452,12,47.1,2,47.699,26,0.65,0,0.162,1.111,521.65,7,27,45.497,43,77.773,69.992,70,39
7.518,2.0,7.8,1,4,4,0,21,1.04,9,41.2,14,8.381,8,41.2,2,32.711,14,0.642,0,0.154,1.151,427.43,7,12,32.735,31,58.677,53.065,51,30
5.118,1.6,1.6,1,1,1,0,29,1.01,7,43.8,24,7.65,12,45.3,2,42.875,22,0.646,0,0.179,1.12,489.58,7,22,41.354,39,71.698,64.621,64,36
5.0,1.8,1.8,1,1,1,0,26,1.018,7,40.0,24,8.136,10,47.3,2,37.591,22,0.669,0,0.172,1.117,447.49,4,22,36.773,36,61.452,55.971,55,33
5.62,1.4,0.0,1,0,0,0,33,1.0,6,44.3,29,7.452,12,47.1,2,47.699,26,0.65,0,0.162,1.111,521.65,7,27,45.497,43,77.773,69.992,70,39
5.0,3.2,6.5,2,3,4,1,23,1.04,13,41.9,16,8.888,13,37.1,4,40.716,14,0.643,1,0.206,1.144,551.03,9,12,39.871,37,70.949,64.476,62,36
5.59,1.6,0.0,1,0,0,0,30,1.006,6,41.0,29,7.862,10,49.2,2,42.415,26,0.671,0,0.154,1.107,479.56,4,27,40.917,40,67.528,61.342,61,36
7.921,2.0,7.8,1,4,4,0,21,1.04,9,41.2,14,8.381,8,41.2,2,32.711,14,0.642,0,0.154,1.151,427.43,7,12,32.735,31,58.677,53.065,51,30
5.354,1.6,0.0,1,0,0,0,30,1.006,6,41.0,29,7.862,10,49.2,2,42.415,26,0.671,0,0.154,1.107,479.56,4,27,40.917,40,67.528,61.342,61,36
5.873,0.0,3.2,0,1,2,1,30,1.013,7,41.3,25,8.27,12,47.6,1,43.727,25,0.669,0,0.182,1.113,521.01,5,24,42.16,40,70.144,63.843,63,37
5.0,3.9,0.0,3,0,0,0,30,0.99,7,51.3,15,6.866,12,39.5,2,49.733,14,0.604,1,0.154,1.125,521.79,15,12,45.878,39,85.517,75.269,76,37
5.963,0.0,3.2,0,1,2,1,27,1.012,7,45.2,19,7.855,12,43.5,1,41.489,19,0.64,0,0.188,1.122,487.0,8,18,39.687,36,69.559,62.727,62,34
5.617,0.0,3.2,0,1,2,1,27,1.012,7,45.2,19,7.855,12,43.5,1,41.489,19,0.64,0,0.188,1.122,487.0,8,18,39.687,36,69.559,62.727,62,34
8.959,1.7,5.2,1,3,3,0,25,1.022,9,41.4,18,8.752,9,43.1,1,40.375,16,0.664,2,0.148,1.127,507.64,9,17,38.538,37,65.383,59.261,58,34
8.921,1.6,10.9,1,7,7,0,29,1.05,13,34.4,24,9.838,9,45.3,1,44.887,22,0.697,2,0.134,1.143,629.66,7,23,44.598,45,73.157,67.196,64,42
8.553,1.6,8.2,1,3,5,2,28,1.031,11,36.1,24,10.042,9,45.9,1,45.091,22,0.708,2,0.141,1.119,612.55,6,23,43.193,42,68.271,62.909,61,39
8.337,1.6,8.2,1,5,5,0,28,1.037,11,36.1,24,9.502,9,45.9,1,43.25,22,0.694,2,0.141,1.132,579.65,6,23,42.305,42,69.063,63.287,61,39
7.777,1.6,8.2,1,5,5,0,28,1.037,11,36.1,24,9.502,9,45.9,1,43.25,22,0.694,2,0.141,1.132,579.65,6,23,42.305,42,69.063,63.287,61,39
8.174,1.6,9.8,1,6,6,0,28,1.046,12,34.4,24,9.797,9,45.9,1,43.188,22,0.7,2,0.141,1.138,597.64,6,23,42.688,43,69.402,63.8,61,40
8.092,1.6,13.1,1,8,8,0,28,1.063,14,31.1,24,10.387,9,45.9,1,43.063,22,0.712,2,0.141,1.149,633.62,6,23,43.455,45,70.082,64.825,61,42
8.357,1.4,4.2,1,3,3,0,34,1.014,9,39.4,30,8.729,10,47.9,1,50.898,28,0.684,2,0.133,1.116,619.77,6,29,48.592,47,79.214,72.029,71,43
6.31,1.5,4.5,1,3,3,0,32,1.017,9,38.8,29,8.862,9,47.8,1,48.137,26,0.688,2,0.127,1.116,593.73,6,28,46.065,45,74.798,68.145,67,41
6.281,1.4,4.2,1,3,3,0,34,1.014,9,39.4,30,8.729,10,47.9,1,50.898,28,0.684,2,0.133,1.116,619.77,6,29,48.592,47,79.214,72.029,71,43
8.745,1.9,5.6,1,3,3,0,23,1.026,9,40.7,18,8.919,8,42.6,1,37.614,16,0.667,2,0.143,1.129,481.6,7,17,36.011,34,60.968,55.378,54,32
9.0,1.8,5.3,1,3,3,0,24,1.022,9,42.1,18,8.695,9,42.1,1,39.375,16,0.659,2,0.153,1.13,495.63,8,17,37.538,35,64.383,58.261,57,33
8.638,1.7,5.0,1,3,3,0,25,1.019,9,43.3,18,8.494,10,41.7,1,41.137,16,0.651,2,0.161,1.13,509.66,9,17,39.065,36,67.798,61.145,60,34
8.959,1.7,5.0,1,3,3,0,25,1.019,9,43.3,18,8.494,9,41.7,1,41.137,16,0.651,2,0.145,1.13,509.66,9,17,39.065,36,67.798,61.145,60,34
8.097,0.0,0.0,0,0,0,0,29,0.99,4,50.7,19,6.666,12,43.3,1,43.762,19,0.609,0,0.174,1.118,446.63,10,18,40.815,35,74.896,66.33,67,33
8.301,0.0,0.0,0,0,0,0,29,1.002,6,47.8,20,7.114,12,43.3,2,43.909,20,0.623,0,0.174,1.118,476.61,9,18,41.718,37,74.9,67.101,67,35
8.222,0.0,0.0,0,0,0,0,30,0.995,5,49.3,20,6.879,13,43.5,2,45.216,20,0.616,0,0.183,1.117,474.64,10,18,42.53,37,77.105,68.658,69,35
5.141,1.4,0.0,1,0,0,0,31,0.998,6,47.1,24,7.138,13,44.3,1,46.461,22,0.629,0,0.178,1.117,499.65,9,23,44.024,40,78.189,69.876,70,37
