pXC50,nO,nH,SCBO,nCsp3,nCsp2,nHet,nN,RBN,Si,nAT,Sp,Se,nDB,AMW,nBT
5.359,0,16.0,23.5,5,9,2,2,0,35.903,32.0,21.341,31.389,0,6.635,34.0
4.579,5,22.0,36.5,8,11,8,2,7,55.116,49.0,32.546,49.753,2,7.969,51.0
4.456,0,33.0,25.0,16,3,2,2,1,61.432,54.0,32.813,52.399,2,5.362,56.0
5.003,4,17.0,32.5,5,11,8,2,8,46.02,41.0,28.426,41.982,2,8.997,42.0
5.379,2,18.0,35.5,3,15,6,4,6,47.318,42.0,28.262,42.247,1,7.676,44.0
4.456,4,24.0,44.5,7,16,7,2,5,60.321,54.0,36.852,54.309,3,7.862,57.0
5.503,4,16.0,42.5,2,19,7,2,6,48.661,44.0,31.807,44.774,3,8.92,47.0
4.644,3,10.0,39.0,3,11,10,5,4,39.229,35.0,26.182,36.542,5,10.738,37.0
4.456,2,34.0,44.0,10,18,4,2,10,74.059,66.0,43.103,64.996,0,6.525,69.0
4.456,0,14.0,27.5,4,10,5,3,3,36.748,33.0,24.586,32.913,1,10.19,35.0
4.456,4,32.0,39.5,12,12,6,2,7,70.062,62.0,39.25,61.767,2,6.655,64.0
4.863,5,27.0,48.0,10,15,9,3,8,68.444,61.0,41.074,61.622,2,7.895,65.0
4.451,1,20.0,39.5,4,17,5,4,4,51.524,46.0,31.569,45.803,2,7.488,49.0
4.607,2,16.0,38.0,1,19,4,2,3,44.322,40.0,28.25,40.043,0,7.909,43.0
5.305,1,13.0,32.5,0,18,2,1,3,36.199,33.0,24.029,32.731,2,7.858,35.0
5.361,4,23.0,49.5,4,22,7,3,6,62.485,56.0,38.449,56.451,1,7.884,60.0
5.182,3,18.0,39.0,5,13,10,3,4,52.008,46.0,32.534,47.476,3,9.703,48.0
4.451,5,22.0,39.5,7,14,7,2,8,56.196,50.0,32.898,50.676,4,7.649,52.0
4.456,2,18.0,38.5,3,17,6,3,5,49.179,44.0,30.875,44.353,1,8.36,47.0
5.034,0,3.0,14.5,0,3,6,4,1,14.857,13.0,10.528,13.807,0,13.433,13.0
5.207,4,18.0,37.0,7,11,8,2,5,48.996,44.0,31.216,44.734,3,8.875,47.0
4.513,3,12.0,34.0,0,16,7,2,3,38.541,35.0,26.477,35.756,3,9.841,37.0
4.451,2,12.0,34.0,0,15,7,4,3,37.993,34.0,24.625,34.673,2,9.188,36.0
4.892,2,15.0,31.5,4,12,6,2,4,41.083,37.0,27.25,37.349,2,10.251,39.0
4.921,2,21.0,41.5,5,17,7,3,4,55.954,50.0,35.256,50.443,1,8.607,53.0
4.862,3,15.0,34.5,4,8,13,6,8,45.296,40.0,29.5,41.469,3,11.686,41.0
4.805,3,16.0,42.0,1,19,8,2,6,49.15,44.0,31.909,45.167,3,9.52,46.0
5.372,3,15.0,33.5,3,14,6,2,5,42.475,38.0,26.563,38.694,0,8.705,40.0
5.705,3,27.0,39.0,6,18,4,1,10,61.524,55.0,36.267,54.571,0,6.864,57.0
4.451,7,23.0,44.0,8,14,10,2,9,61.974,55.0,36.426,56.538,4,8.417,57.0
5.007,4,22.0,37.0,4,15,8,4,7,55.568,49.0,31.693,49.669,3,7.56,50.0
4.917,4,9.0,39.0,1,15,11,3,6,41.269,36.0,25.807,38.8,5,12.338,37.0
4.451,3,13.0,35.0,2,12,9,4,4,40.561,36.0,25.699,37.207,2,9.801,38.0
5.294,1,11.0,32.0,0,16,4,2,3,34.226,31.0,23.131,31.273,2,9.121,33.0
4.761,1,11.0,36.5,1,15,7,3,5,37.125,34.0,27.46,34.396,0,10.515,37.0
4.592,5,23.0,53.0,5,19,12,3,7,66.233,59.0,41.756,60.651,5,9.357,62.0
4.999,2,18.0,31.0,4,13,5,2,3,44.657,40.0,27.659,40.003,1,7.861,42.0
4.946,0,12.0,28.0,2,12,5,3,2,34.831,31.0,22.409,31.313,1,8.818,33.0
4.451,1,18.0,32.5,5,11,5,4,3,45.109,40.0,26.807,39.92,1,7.36,42.0
4.456,3,26.0,52.5,6,20,9,6,9,68.77,61.0,41.012,61.429,0,7.714,65.0
5.382,3,19.0,36.5,4,15,5,1,4,47.783,43.0,29.87,43.113,2,7.941,45.0
4.613,0,31.0,36.5,14,7,7,6,6,67.727,59.0,36.87,58.61,0,6.552,62.0
4.456,4,25.0,48.5,9,15,10,5,7,66.401,59.0,40.108,59.731,2,8.129,63.0
5.092,1,13.0,33.5,1,16,5,2,5,38.561,35.0,26.54,35.233,1,9.395,37.0
4.456,2,33.0,47.0,10,19,5,2,7,75.003,67.0,44.961,66.32,1,7.121,70.0
5.724,2,29.0,51.0,8,18,8,5,7,70.813,63.0,42.722,62.843,2,7.55,67.0
5.0,2,27.0,42.0,10,12,9,5,7,65.781,58.0,38.79,58.414,0,8.008,61.0
5.262,5,65.0,95.0,19,36,13,8,22,149.867,133.0,87.018,132.134,6,6.904,139.0
6.151,5,64.0,99.0,15,40,15,9,26,150.87,134.0,88.91,133.428,7,7.189,139.0
5.0,1,16.0,43.0,4,17,9,4,3,52.883,46.0,31.319,47.854,4,9.052,49.0
7.602,2,29.0,46.0,8,18,7,4,6,69.754,62.0,41.688,61.872,1,7.501,65.0
8.222,2,36.0,60.0,9,25,8,5,9,87.893,78.0,52.057,77.814,2,7.253,82.0
6.62,3,30.0,56.0,6,25,7,4,8,76.019,68.0,46.284,67.876,2,7.451,72.0
7.432,3,29.0,57.0,6,25,8,4,8,76.359,68.0,46.222,68.389,2,7.715,72.0
6.276,3,31.0,56.0,6,26,6,3,8,76.936,69.0,47.04,68.658,2,7.328,73.0
7.284,3,30.0,57.0,6,26,7,3,8,77.276,69.0,46.978,69.17,2,7.589,73.0
7.602,3,30.0,60.0,6,26,7,4,8,78.019,70.0,48.284,69.876,2,7.581,74.0
7.0,3,33.0,57.0,7,26,6,3,8,80.351,72.0,48.802,71.541,2,7.218,76.0
6.658,3,30.0,56.0,6,25,7,4,8,76.019,68.0,46.284,67.876,2,7.451,72.0
7.398,3,29.0,57.0,6,25,8,4,8,76.359,68.0,46.222,68.389,2,7.715,72.0
6.276,3,33.0,41.0,11,14,6,3,9,72.351,64.0,40.802,63.541,2,6.619,66.0
6.783,3,32.0,42.0,11,14,7,3,9,72.691,64.0,40.739,64.054,2,6.9,66.0
7.456,2,33.0,58.0,7,26,7,4,8,81.98,73.0,49.29,72.829,2,7.352,77.0
7.959,2,33.0,61.0,7,26,7,5,8,82.723,74.0,50.597,73.534,2,7.348,78.0
7.377,2,32.0,58.0,7,25,8,5,8,81.063,72.0,48.535,72.047,2,7.468,76.0
7.523,2,32.0,61.0,7,25,8,6,8,81.806,73.0,49.841,72.752,2,7.462,77.0
6.432,2,35.0,43.0,12,14,7,4,9,77.395,68.0,43.052,67.712,2,6.686,70.0
6.824,2,35.0,46.0,12,14,7,5,9,78.138,69.0,44.358,68.418,2,6.691,71.0
7.432,2,37.0,63.0,9,26,7,5,9,89.554,80.0,54.12,79.301,2,7.147,84.0
8.0,2,37.0,60.0,9,26,7,4,9,88.81,79.0,52.813,78.596,2,7.149,83.0
6.699,2,39.0,48.0,14,14,7,5,10,84.969,75.0,47.881,74.185,2,6.53,77.0
7.301,2,39.0,45.0,14,14,7,4,10,84.225,74.0,46.574,73.479,2,6.523,76.0
8.046,2,36.0,60.0,9,25,8,5,9,87.893,78.0,52.057,77.814,2,7.253,82.0
7.854,2,36.0,60.0,9,25,8,5,9,87.893,78.0,52.057,77.814,2,7.253,82.0
6.0,3,31.0,49.5,11,15,9,3,7,73.696,66.0,45.983,65.887,2,8.027,70.0
6.0,2,25.0,45.0,9,13,9,3,6,62.161,56.0,40.892,55.985,2,8.782,60.0
6.0,2,25.0,37.5,10,9,8,3,5,58.241,52.0,36.245,51.909,2,8.148,55.0
6.0,2,27.0,38.5,11,9,8,3,6,61.656,55.0,38.006,54.792,2,7.958,58.0
4.456,3,12.0,37.5,0,18,7,2,4,40.799,37.0,28.648,37.945,2,12.544,39.0
4.456,4,25.0,32.0,9,7,8,3,12,55.82,49.0,30.858,49.411,5,7.255,49.0
4.715,4,17.0,36.5,3,14,9,3,6,48.079,43.0,30.46,43.953,3,9.105,45.0
4.456,4,12.0,37.0,1,14,8,4,6,40.492,36.0,24.886,37.251,4,9.009,37.0
4.637,3,17.0,35.5,3,14,8,3,4,46.87,42.0,30.006,42.625,3,8.941,44.0
5.1,3,23.0,33.0,6,14,4,1,6,52.694,47.0,30.745,46.803,2,6.924,48.0
4.451,1,7.0,26.0,1,8,9,4,4,30.387,26.0,18.222,28.0,2,11.088,26.0
4.451,5,36.0,55.0,15,17,7,2,11,84.102,75.0,49.228,74.861,6,7.049,80.0
5.921,1,33.0,48.0,10,19,5,3,5,74.852,67.0,45.54,65.963,1,7.041,71.0
5.752,2,32.0,46.0,9,19,5,2,6,72.563,65.0,43.989,64.189,1,7.088,68.0
5.98,2,25.0,47.0,7,19,8,2,5,66.752,59.0,40.279,59.96,1,8.247,62.0
6.11,1,32.0,45.0,9,19,4,2,6,71.354,64.0,43.535,62.861,1,6.948,67.0
6.75,1,25.0,46.0,7,19,7,2,4,65.543,58.0,39.824,58.632,1,8.114,61.0
6.213,1,31.0,45.0,8,19,5,3,5,70.437,63.0,42.779,62.08,1,7.074,66.0
7.143,1,35.0,47.0,10,19,5,3,7,77.268,69.0,46.302,67.847,1,6.866,72.0
6.567,1,35.0,49.0,11,19,5,3,5,78.268,70.0,47.302,68.847,1,6.939,74.0
6.684,3,30.0,48.0,8,20,6,2,7,71.358,64.0,43.682,63.632,2,7.417,67.0
5.848,2,29.0,47.0,7,20,6,3,5,69.231,62.0,42.472,61.523,2,7.414,65.0
6.686,2,31.0,48.0,8,20,6,3,6,72.647,65.0,44.233,64.407,2,7.288,68.0
6.521,2,31.0,48.0,8,20,6,3,5,72.647,65.0,44.233,64.407,2,7.288,68.0
7.108,2,35.0,50.0,10,20,6,3,7,79.477,71.0,47.756,70.174,2,7.067,74.0
7.721,3,31.0,50.0,8,19,8,3,6,73.776,66.0,45.336,65.811,3,7.723,69.0
6.866,3,35.0,52.0,10,19,8,3,8,80.606,72.0,48.858,71.578,3,7.47,75.0
6.932,3,33.0,53.0,10,19,8,3,6,78.191,70.0,48.097,69.694,3,7.654,74.0
6.917,3,31.0,50.0,8,19,8,3,7,73.776,66.0,45.336,65.811,3,7.723,69.0
5.088,2,28.0,44.0,7,19,5,2,5,65.733,59.0,40.466,58.421,1,7.333,62.0
6.623,3,30.0,48.0,8,20,6,2,7,71.358,64.0,43.682,63.632,2,7.417,67.0
5.216,2,27.0,48.0,8,19,8,2,5,70.167,62.0,42.04,62.843,1,8.075,65.0
7.071,1,34.0,48.0,10,19,6,3,7,77.212,69.0,47.16,68.17,1,7.365,72.0
6.491,2,29.0,49.0,8,19,6,3,6,70.231,63.0,43.472,62.523,1,7.487,66.0
6.046,2,31.0,50.0,9,19,6,3,6,73.647,66.0,45.233,65.407,1,7.359,69.0
5.87,2,29.0,46.0,8,19,6,2,6,69.488,62.0,42.165,61.818,1,7.494,65.0
5.0,1,30.0,44.0,8,19,4,2,6,67.939,61.0,41.773,59.978,1,7.06,64.0
5.17,2,30.0,47.0,8,20,5,2,7,70.148,63.0,43.228,62.305,2,7.28,66.0
6.431,1,29.0,44.0,7,19,5,3,6,67.022,60.0,41.017,59.196,1,7.194,63.0
6.316,2,30.0,49.0,7,19,8,4,6,71.65,64.0,44.125,63.701,3,7.73,67.0
7.009,3,30.0,50.0,8,18,9,4,6,72.859,65.0,44.58,65.029,3,7.858,68.0
6.606,3,29.0,48.5,8,17,9,3,6,70.281,63.0,44.222,63.003,3,8.187,66.0
5.481,3,31.0,45.5,10,16,7,3,6,71.856,64.0,42.688,63.734,1,7.276,67.0
7.051,3,30.0,51.0,8,19,9,3,6,74.116,66.0,45.273,66.323,3,7.996,69.0
7.174,3,29.0,54.0,7,20,10,5,4,73.942,66.0,45.824,66.247,4,8.117,70.0
5.572,4,27.0,44.0,7,19,5,1,6,64.734,58.0,38.722,57.898,1,7.199,61.0
5.801,4,29.0,45.0,8,19,5,1,7,68.149,61.0,40.483,60.781,1,7.075,64.0
7.215,5,30.0,50.0,8,19,8,2,7,72.776,65.0,43.591,65.287,3,7.61,68.0
7.921,5,34.0,52.0,10,19,8,2,9,79.607,71.0,47.114,71.054,3,7.362,74.0
7.31,5,32.0,53.0,10,19,8,2,7,77.192,69.0,46.353,69.171,3,7.546,73.0
6.851,5,27.0,48.0,7,19,7,1,6,66.863,60.0,40.824,60.302,3,7.76,63.0
7.229,5,29.0,49.0,8,19,7,1,7,70.278,63.0,42.585,63.185,3,7.613,66.0
6.658,4,34.0,50.0,10,20,6,2,8,78.477,70.0,46.012,69.65,2,6.952,73.0
6.405,5,28.0,49.0,7,19,8,2,7,69.361,62.0,41.83,62.403,3,7.752,65.0
4.921,2,32.0,52.0,9,21,6,4,6,76.225,68.0,45.591,67.432,3,7.069,72.0
5.276,1,33.0,49.0,9,21,4,3,6,74.932,67.0,44.893,65.887,2,6.741,71.0
5.721,4,32.0,57.0,9,22,8,4,7,79.644,71.0,47.5,71.087,5,7.39,75.0
5.553,2,32.0,56.0,10,22,8,3,6,81.576,72.0,47.921,72.636,3,7.607,76.0
8.594,57,287.0,376.5,109,81,112,55,131,676.505,589.0,359.542,599.753,48,7.223,598.0
4.523,3,33.0,54.0,9,21,7,3,7,78.271,70.0,47.449,69.618,4,7.368,74.0
5.051,2,32.0,56.0,10,22,8,3,6,81.576,72.0,47.921,72.636,3,7.607,76.0
5.0,2,35.0,53.0,10,22,5,3,6,80.557,72.0,48.108,71.098,3,6.857,76.0
6.152,22,178.0,257.0,54,78,60,36,79,421.865,370.0,235.559,372.754,22,7.258,381.0
6.007,24,170.0,210.0,62,48,58,34,58,388.201,338.0,206.877,341.401,24,6.962,344.0
7.248,22,138.0,181.5,47,44,52,30,62,322.977,281.0,172.286,284.969,21,7.134,285.0
7.1,2,38.0,53.0,15,16,6,4,7,85.47,76.0,49.876,75.083,3,6.72,80.0
8.857,21,140.0,179.5,48,43,51,30,63,324.182,282.0,172.592,285.525,20,7.059,286.0
4.523,2,32.0,52.0,9,21,6,4,6,76.225,68.0,45.591,67.432,3,7.069,72.0
6.222,2,41.0,50.0,16,16,5,3,7,87.803,78.0,50.393,76.748,3,6.407,82.0
4.523,2,30.0,55.0,9,22,8,3,6,78.161,69.0,46.16,69.752,3,7.734,73.0
4.523,2,32.0,56.0,10,22,8,3,6,81.576,72.0,47.921,72.636,3,7.607,76.0
5.602,2,31.0,54.0,9,22,7,3,6,77.821,69.0,46.222,69.239,3,7.473,73.0
4.523,3,32.0,54.0,9,21,7,4,6,77.434,69.0,46.046,68.76,4,7.198,73.0
5.409,2,37.0,54.0,11,22,5,3,6,83.972,75.0,49.87,73.981,3,6.77,79.0
4.796,2,33.0,52.0,9,22,5,3,6,77.142,69.0,46.347,68.214,3,6.952,73.0
5.495,2,31.0,50.5,9,20,6,3,6,73.647,66.0,45.233,65.407,3,7.359,70.0
5.959,2,39.0,49.0,15,16,5,3,6,84.387,75.0,48.631,73.865,3,6.476,79.0
4.523,2,31.0,54.0,7,24,5,3,6,74.727,67.0,45.586,66.33,3,7.129,71.0
5.444,2,32.0,53.0,9,22,6,3,6,77.086,69.0,47.205,68.538,3,7.451,73.0
6.979,21,141.0,166.5,51,35,50,29,63,319.099,277.0,167.348,280.307,20,6.923,279.0
6.0,2,32.0,56.0,9,22,6,4,6,78.225,70.0,47.591,69.432,3,7.21,74.0
5.444,2,32.0,53.0,9,22,6,3,6,77.481,69.0,46.285,68.727,3,7.212,73.0
5.959,2,40.0,51.0,16,16,6,3,7,87.747,78.0,51.251,77.072,3,6.849,82.0
6.456,4,38.0,54.0,15,16,8,4,8,86.889,77.0,49.785,76.738,5,6.893,81.0
4.538,3,31.0,54.0,8,23,6,3,5,75.936,68.0,46.04,67.658,4,7.26,72.0
4.757,2,31.0,51.0,8,22,5,3,6,73.727,66.0,44.586,65.33,3,7.055,70.0
5.553,2,35.0,55.0,9,24,5,3,7,81.557,73.0,49.108,72.098,4,6.928,77.0
5.523,2,32.0,53.0,9,22,6,3,6,77.086,69.0,47.205,68.538,3,7.451,73.0
4.745,2,35.0,51.0,11,20,5,3,7,79.557,71.0,47.108,70.098,2,6.784,75.0
4.824,3,33.0,54.0,9,21,7,3,7,78.271,70.0,47.449,69.618,4,7.368,74.0
4.921,2,35.0,53.0,8,24,5,3,11,80.557,72.0,48.108,71.098,4,6.857,75.0
4.523,2,29.0,42.0,9,16,5,3,5,66.311,59.0,38.824,58.447,3,6.84,62.0
8.461,18,121.0,156.5,40,39,45,27,54,281.738,245.0,150.121,248.169,18,7.091,248.0
6.301,4,40.0,55.0,16,16,8,4,8,90.304,80.0,51.546,79.621,5,6.809,84.0
8.491,6,57.0,92.0,18,31,17,11,17,139.287,123.0,80.302,123.406,7,7.286,130.0
6.395,27,203.0,231.5,76,49,64,37,79,450.553,392.0,237.679,394.943,27,6.777,396.0
7.481,20,136.0,163.5,49,35,49,28,61,309.481,269.0,164.013,272.187,20,7.028,271.0
7.959,21,137.0,164.5,49,35,50,29,61,312.269,271.0,163.825,274.54,20,6.972,273.0
8.461,18,121.0,156.5,40,39,45,27,54,281.738,245.0,150.121,248.169,18,7.091,248.0
5.0,2,29.0,35.0,13,8,7,3,3,65.406,57.0,35.461,57.356,2,6.904,59.0
5.325,4,17.0,36.0,5,11,9,5,4,47.82,42.0,27.415,43.12,0,8.176,45.0
8.0,21,143.0,177.5,50,42,50,29,63,327.515,285.0,174.11,288.191,21,6.988,288.0
6.73,21,139.0,169.5,51,36,50,29,59,317.684,276.0,167.587,279.424,21,6.984,279.0
8.854,40,227.0,292.5,86,62,87,45,91,530.423,462.0,284.019,469.233,35,7.232,470.0
8.678,44,250.0,314.5,93,70,90,46,112,577.486,503.0,306.923,510.211,37,7.075,510.0
6.097,2,39.0,49.0,15,16,5,3,7,84.387,75.0,48.631,73.865,3,6.476,79.0
5.783,11,93.0,104.0,34,23,28,17,37,204.552,178.0,108.03,178.908,11,6.7,180.0
5.468,26,192.0,251.0,64,66,66,38,87,444.19,388.0,241.957,391.568,26,7.133,395.0
8.292,55,291.0,374.5,111,80,110,55,131,679.917,592.0,361.156,601.865,47,7.159,601.0
9.097,37,208.0,263.5,76,59,77,40,95,482.557,420.0,256.002,426.405,32,7.104,425.0
7.244,22,139.0,168.5,50,36,51,29,66,317.894,276.0,167.041,279.751,21,6.998,278.0
6.796,19,119.0,147.5,42,33,44,25,54,273.951,238.0,144.564,241.293,18,7.039,240.0
8.509,26,160.0,200.5,59,44,58,32,70,368.963,321.0,195.729,325.318,23,7.05,326.0
8.31,18,123.0,157.5,41,39,45,27,54,285.153,248.0,151.882,251.053,18,7.062,251.0
9.523,57,287.0,376.5,109,81,112,55,131,676.505,589.0,359.542,599.753,48,7.223,598.0
6.595,17,116.0,142.5,40,32,43,26,52,266.2,231.0,140.138,233.973,17,7.005,233.0
8.31,19,123.0,153.5,46,33,44,25,52,282.781,246.0,150.087,249.06,18,7.021,250.0
5.0,21,143.0,177.5,50,42,50,29,63,327.515,285.0,174.11,288.191,21,6.988,288.0
5.237,3,32.0,59.0,10,22,10,3,7,83.705,74.0,50.023,75.039,4,8.051,78.0
8.466,22,139.0,168.5,50,36,51,29,62,317.894,276.0,167.041,279.751,21,6.998,278.0
10.155,58,287.0,374.5,110,80,111,53,131,675.133,588.0,358.747,598.76,47,7.215,597.0
4.523,2,32.0,52.0,9,21,6,4,6,76.225,68.0,45.591,67.432,3,7.069,72.0
4.523,1,35.0,50.0,10,21,4,3,7,78.348,70.0,46.654,68.77,2,6.653,74.0
5.456,2,31.0,51.0,8,22,5,3,6,73.727,66.0,44.586,65.33,3,7.055,70.0
4.585,2,35.0,53.0,10,22,5,3,7,80.557,72.0,48.108,71.098,3,6.857,76.0
4.523,2,29.0,50.0,7,22,5,3,6,70.311,63.0,42.824,62.447,3,7.168,67.0
4.658,2,33.0,52.0,9,22,5,3,6,77.142,69.0,46.347,68.214,3,6.952,73.0
5.854,2,35.0,53.0,10,22,5,3,6,80.557,72.0,48.108,71.098,3,6.857,76.0
4.77,2,31.0,50.0,10,18,7,5,6,74.308,66.0,43.836,65.65,5,7.116,70.0
4.658,1,31.0,48.0,8,21,4,3,6,71.517,64.0,43.131,63.003,2,6.838,68.0
5.481,2,32.0,53.0,9,22,6,3,6,76.983,69.0,47.699,68.443,3,8.095,73.0
4.108,3,45.0,66.0,12,27,8,5,14,103.424,92.0,60.62,91.163,3,6.868,96.0
5.0,3,26.0,41.0,5,19,5,2,7,61.607,55.0,36.512,54.789,1,7.1,57.0
5.0,2,26.0,48.0,3,25,4,2,7,64.398,58.0,40.057,57.461,1,7.286,61.0
5.0,5,23.0,45.0,4,19,8,3,7,60.694,54.0,35.904,54.778,3,7.805,56.0
4.523,3,29.0,40.5,13,10,7,3,4,66.441,59.0,38.926,58.851,1,7.248,63.0
5.0,3,23.0,41.0,4,19,6,2,6,58.532,52.0,34.688,52.418,1,7.586,54.0
5.0,2,23.0,40.0,4,19,5,2,6,57.322,51.0,34.233,51.091,1,7.421,53.0
4.523,2,29.0,37.5,12,10,6,3,4,64.231,57.0,37.472,56.523,1,7.011,60.0
5.0,1,26.0,45.0,5,21,4,2,7,62.108,56.0,39.25,55.211,1,7.404,59.0
5.0,1,27.0,48.0,6,21,6,2,9,66.388,60.0,43.517,59.494,1,8.252,63.0
5.0,1,26.0,46.0,5,21,5,2,8,63.028,57.0,40.898,56.287,1,7.836,60.0
6.0,6,42.0,57.0,14,19,10,4,11,96.138,85.0,54.216,85.159,5,6.95,88.0
5.0,1,30.0,44.0,6,21,4,2,10,67.939,61.0,41.773,59.978,2,7.06,63.0
6.0,1,32.0,43.0,8,19,4,2,10,70.354,63.0,42.535,61.861,1,6.868,65.0
5.0,2,47.0,56.0,20,15,7,4,11,100.49,89.0,57.54,87.825,1,6.644,94.0
5.0,3,32.0,49.0,12,16,7,3,6,75.295,67.0,44.659,66.865,2,7.374,71.0
5.0,2,47.0,56.0,20,15,7,4,11,100.49,89.0,57.54,87.825,1,6.644,94.0
5.0,3,31.0,49.0,6,21,8,5,12,74.517,66.0,43.29,65.978,3,7.176,68.0
5.0,2,45.0,55.0,19,15,7,4,10,97.075,86.0,55.779,84.941,1,6.713,91.0
8.979,20,142.0,171.5,51,37,50,30,63,322.388,280.0,169.899,283.082,20,6.931,283.0
8.444,27,168.0,202.5,64,40,61,34,58,383.414,333.0,201.479,337.5,25,6.988,337.0
6.921,19,120.0,148.0,43,35,41,22,50,274.286,239.0,146.069,241.755,17,6.988,242.0
7.947,12,91.0,106.0,33,24,29,17,36,203.346,177.0,107.723,178.351,12,6.817,179.0
7.546,18,118.0,146.5,41,33,44,26,53,271.824,236.0,143.354,239.184,18,7.035,238.0
6.748,20,136.0,163.5,49,35,49,28,61,309.481,269.0,164.013,272.187,20,7.028,271.0
6.271,17,106.0,133.5,37,31,39,22,47,244.961,213.0,129.831,215.915,16,7.061,215.0
8.373,18,121.0,156.5,40,39,45,27,54,281.738,245.0,150.121,248.169,18,7.091,248.0
6.959,18,127.0,153.5,46,33,45,27,54,288.983,251.0,152.405,253.82,18,6.946,254.0
8.251,21,143.0,177.5,50,42,50,29,64,327.515,285.0,174.11,288.191,21,6.988,288.0
6.444,28,169.0,218.5,59,52,63,35,64,394.122,343.0,209.939,347.929,25,7.12,348.0
7.387,21,141.0,166.5,51,35,50,29,63,319.099,277.0,167.348,280.307,20,6.923,279.0
6.0,19,111.0,140.0,41,30,42,23,35,257.708,224.0,136.268,227.439,18,7.103,227.0
5.979,12,107.0,146.0,32,42,37,25,48,249.994,218.0,135.814,219.7,14,7.06,223.0
8.745,27,174.0,218.5,60,52,63,36,78,401.241,349.0,213.013,353.47,25,7.041,353.0
8.569,38,227.0,283.5,86,60,83,43,91,523.423,456.0,279.86,462.259,33,7.143,463.0
9.398,42,230.0,302.5,84,69,88,46,82,540.915,471.0,288.4,478.721,36,7.19,479.0
6.205,22,174.0,206.0,64,46,56,34,60,390.613,340.0,207.491,342.514,22,6.839,346.0
9.046,42,249.0,316.5,93,70,90,48,105,576.441,502.0,306.883,508.935,37,7.079,511.0
6.207,22,178.0,257.0,54,78,60,36,79,421.865,370.0,235.559,372.754,22,7.258,381.0
8.963,22,139.0,183.0,47,46,51,29,62,324.894,283.0,174.041,286.751,21,7.122,287.0
8.682,22,138.0,181.5,47,44,52,30,62,322.977,281.0,172.286,284.969,21,7.134,285.0
5.985,26,172.0,212.0,64,48,58,32,60,392.454,342.0,209.297,345.619,24,6.968,348.0
8.428,22,138.0,181.5,47,44,52,30,65,322.977,281.0,172.286,284.969,21,7.134,285.0
8.499,22,137.0,194.5,44,52,53,31,62,328.06,286.0,177.53,290.187,21,7.264,292.0
8.412,19,123.0,158.5,41,39,46,27,55,286.362,249.0,152.337,252.38,18,7.098,252.0
7.733,18,123.0,159.5,42,39,45,27,54,286.153,249.0,152.882,252.053,18,7.082,253.0
7.317,18,119.0,151.5,42,34,45,27,43,276.323,240.0,146.359,243.286,19,7.08,243.0
7.284,21,141.0,166.5,51,35,50,29,63,319.099,277.0,167.348,280.307,20,6.923,279.0
8.602,40,227.0,292.5,86,62,87,45,89,530.423,462.0,284.019,469.233,35,7.232,470.0
9.523,26,155.0,192.5,58,39,59,33,56,358.216,311.0,188.45,315.769,24,7.073,315.0
8.757,21,140.0,179.5,48,43,51,30,66,324.182,282.0,172.592,285.525,20,7.059,286.0
7.848,21,143.0,177.5,50,42,50,29,63,327.515,285.0,174.11,288.191,21,6.988,288.0
9.009,22,138.0,181.5,47,44,52,30,62,322.977,281.0,172.286,284.969,21,7.134,285.0
8.879,21,141.0,166.5,51,35,50,29,63,319.099,277.0,167.348,280.307,20,6.923,279.0
6.063,21,141.0,166.5,51,35,50,29,63,319.099,277.0,167.348,280.307,20,6.923,279.0
8.959,26,157.0,193.5,59,39,59,33,56,361.631,314.0,190.212,318.652,24,7.051,318.0
5.951,26,170.0,211.0,62,48,60,32,75,389.879,340.0,209.831,343.889,24,7.121,345.0
6.085,22,172.0,205.0,62,46,58,34,75,388.038,338.0,208.025,340.783,22,6.992,343.0
8.738,21,139.0,167.5,50,36,50,29,62,316.684,275.0,166.587,278.424,21,6.966,277.0
8.824,26,155.0,192.5,58,39,59,33,56,358.216,311.0,188.45,315.769,24,7.073,315.0
9.523,26,157.0,193.5,59,39,59,33,56,361.631,314.0,190.212,318.652,24,7.051,318.0
6.0,27,167.0,207.5,61,46,60,33,64,383.916,334.0,203.473,338.398,25,7.03,338.0
5.928,18,159.0,219.0,48,63,55,37,74,372.534,325.0,202.837,327.558,21,7.077,333.0
9.046,26,162.0,201.5,60,44,58,32,70,372.378,324.0,197.49,328.201,23,7.028,329.0
8.638,25,156.0,187.5,58,38,57,32,56,355.923,309.0,186.752,313.223,23,6.987,312.0
7.745,19,121.0,150.5,44,33,44,25,53,278.366,242.0,147.325,245.177,18,7.03,245.0
4.013,2,30.0,49.0,6,21,8,5,12,73.252,65.0,43.694,64.974,3,7.57,67.0
5.319,3,35.0,56.0,10,23,6,3,8,82.766,74.0,49.563,73.425,4,7.05,78.0
8.921,26,174.0,210.5,65,45,60,34,74,395.451,344.0,209.309,347.823,24,6.945,349.0
7.796,19,121.0,150.5,44,33,44,25,53,278.366,242.0,147.325,245.177,18,7.03,245.0
6.051,18,122.0,153.0,40,40,42,24,55,280.073,244.0,149.626,246.631,16,7.001,247.0
7.0,21,142.0,174.5,51,38,51,30,62,324.598,282.0,171.354,285.409,21,6.981,285.0
5.398,2,33.0,52.0,9,22,5,3,6,77.142,69.0,46.347,68.214,3,6.952,73.0
