pXC50,Chi0_EA.dm.,Eig08_AEA.dm.,Eig09_EA,SM03_AEA.dm.,Chi1_EA.dm.,Eig09_AEA.ed.,Eig09_AEA.dm.,Eig09_EA.ed.,SM04_AEA.ri.,Eig08_AEA.ri.,Eig09_AEA.ri.,Eig08_EA.ed.,SM03_AEA.ri.,Eig10_EA.ed.,SM05_AEA.ri.,Eig08_EA.ri.,Eig10_AEA.dm.,Eig08_EA,SM02_AEA.dm.,Eig07_AEA.dm.,Eig10_AEA.ed.,Eig08_AEA.bo.,Eig09_EA.ri.,Eig09_AEA.bo.,Eig15_AEA.dm.,Eta_betaS,ZM2Mad,Eig08_AEA.ed.,Eig15_AEA.bo.,SpMax7_Bh.i.,ATS2m,X3,SpMax8_Bh.v.,Sv,SpMax8_Bh.m.,IVDM,X1,Eig07_EA.bo.,MW,Psi_i_0,Eig15_EA.bo.,Eig07_EA,SM15_AEA.bo.,Eta_FL,Eig13_AEA.bo.,Eig15_EA.ed.,SM10_AEA.ri.,Eig07_AEA.bo.,ATS1m,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi1_EA.ri.,SpMax8_Bh.p.,X4,Eig15_EA,SM09_AEA.dm.,Eig14_AEA.bo.,Psi_e_0,Eig13_EA.bo.,Chi0_EA.ri.,SpMaxA_AEA.bo.,SpMax7_Bh.m.,X0sol,CID,SMTIV
5.8,16.238,1.425,0.916,0.916,21.865,3.396,1.046,2.222,2.222,1.947,1.865,2.361,2.361,0.979,0.979,0.945,1.0,1.0,1.0,1.547,3.068,2.5,0.867,2.103,-0.587,15.5,154.173,3.658,0.2,3.097,3.746,8.478,2.537,25.751,2.607,4.376,10.613,1.522,303.41,15.62,-1.29,1.414,1.414,4.924,0.772,-2.46,-2.46,2.56,3.383,14.853,14.853,14.853,14.853,14.853,12.333,2.522,6.762,-1.0,-1.0,0.5,8.151,-0.793,15.238,0.19,2.746,15.69,3.823,7394.0
7.1,6.063,1.367,1.009,1.009,5.882,3.563,1.01,2.536,2.536,2.347,1.972,3.402,3.402,1.159,1.159,1.339,0.478,1.364,1.364,1.534,3.18,2.817,0.969,2.506,-0.927,14.0,160.992,4.006,0.555,3.009,3.778,8.57,2.57,25.773,2.499,4.378,10.521,2.24,290.4,15.807,-1.097,1.534,1.534,5.57,0.68,-2.722,-2.722,3.031,3.364,14.643,14.643,14.643,14.643,14.643,12.672,2.618,7.3,-0.935,-0.935,0.614,8.097,-1.0,14.817,0.186,2.756,15.32,3.843,7053.0
5.8,26.286,2.29,1.862,1.862,33.219,4.891,2.238,5.171,5.171,3.015,2.823,5.873,5.873,4.831,4.831,1.961,1.944,2.066,2.066,2.461,4.609,3.474,1.793,3.28,1.0,24.5,281.385,4.959,2.296,3.352,4.321,14.493,2.986,43.034,3.052,5.171,18.334,2.826,525.69,26.521,1.208,2.147,2.147,10.457,2.5,2.175,2.175,3.514,3.946,25.61,25.61,25.61,25.61,25.61,21.33,3.0,11.835,0.889,0.889,2.5,14.008,1.5,26.098,0.113,3.385,27.164,4.369,39514.0
5.8,14.014,1.401,0.547,0.547,15.265,3.321,1.194,1.09,1.09,2.03,1.507,2.626,2.626,-0.22,-0.22,1.021,0.625,1.076,1.076,1.659,2.736,2.599,0.519,2.161,-0.889,12.75,153.663,3.608,-0.059,2.921,3.723,7.682,2.277,21.735,2.462,4.231,9.63,1.668,286.74,13.602,-1.558,1.225,1.225,5.415,0.551,-3.459,-3.459,2.859,3.318,13.491,13.491,13.491,13.491,13.491,11.373,2.269,6.806,-1.349,-1.349,0.332,7.318,-0.973,13.835,0.212,2.736,14.776,3.733,5782.0
5.8,27.256,2.129,1.681,1.681,39.769,4.511,2.086,4.629,4.629,2.856,2.68,4.963,4.963,3.575,3.575,1.718,1.757,1.879,1.879,2.147,4.205,3.232,1.666,3.117,0.519,20.25,224.856,4.618,1.193,3.199,4.129,10.951,2.819,34.433,2.904,4.877,14.885,2.641,432.55,21.345,-0.202,1.978,1.978,8.896,2.154,-0.445,-0.445,3.363,3.752,20.618,20.618,20.618,20.618,20.618,17.53,2.825,9.867,-0.161,-0.161,1.492,11.421,0.988,21.08,0.137,3.067,22.311,4.164,24354.0
5.8,15.446,1.494,1.085,1.085,19.526,3.576,1.151,2.639,2.639,2.28,2.061,2.927,2.927,2.275,2.275,1.269,1.109,1.292,1.292,1.619,3.457,2.733,1.056,2.55,-0.373,15.75,161.148,3.724,0.821,3.19,3.798,9.354,2.715,30.74,2.687,4.628,12.58,2.003,346.46,18.31,-0.854,1.414,1.414,7.319,1.221,-1.382,-1.382,2.859,3.482,17.577,17.577,17.577,17.577,17.577,14.043,2.735,7.379,-0.617,-0.617,0.854,9.577,-0.121,17.858,0.156,2.948,18.518,3.984,13082.0
5.8,5.987,1.117,0.715,0.715,4.851,3.365,0.869,1.776,1.776,2.092,1.7,2.525,2.525,-0.731,-0.731,1.091,0.14,1.092,1.092,1.341,2.686,2.589,0.7,2.227,-0.982,12.25,130.325,3.479,0.388,2.868,3.577,7.198,2.362,22.413,2.368,4.248,9.648,1.945,263.32,13.741,-1.524,1.325,1.325,6.164,0.639,-2.618,-2.618,2.805,3.225,13.43,13.43,13.43,13.43,13.43,10.976,2.37,6.163,-1.0,-1.0,0.525,7.332,-1.143,13.489,0.209,2.694,14.113,3.738,5783.0
6.0,19.675,2.239,1.704,1.704,25.279,4.534,1.878,4.651,4.651,2.768,2.67,5.151,5.151,3.927,3.927,1.691,1.413,1.848,1.848,2.293,4.388,3.251,1.611,3.132,0.697,21.5,250.887,4.818,2.151,3.224,4.205,12.339,2.755,36.101,2.861,4.979,15.974,2.772,458.56,22.81,0.988,2.089,2.089,9.634,2.5,1.653,1.653,3.465,3.827,22.325,22.325,22.325,22.325,22.325,19.089,2.775,10.928,0.675,0.675,2.261,12.151,1.5,22.806,0.128,3.039,22.432,4.238,28354.0
5.8,5.319,0.71,-0.362,-0.362,3.663,2.549,-0.057,-0.833,-0.833,1.676,0.612,1.668,1.668,-1.235,-1.235,0.678,-0.356,0.683,0.683,1.122,2.275,2.146,-0.344,1.023,-1.682,10.75,118.7,3.304,-0.291,2.572,3.464,6.383,1.854,18.58,2.085,4.023,8.254,1.648,226.25,11.617,-2.33,1.112,1.112,5.28,0.179,-4.75,-4.75,2.6,3.111,11.569,11.569,11.569,11.569,11.569,9.551,1.771,5.663,-1.716,-1.716,-0.078,6.208,-1.708,11.669,0.245,2.277,11.828,3.586,3888.0
5.8,14.539,1.545,1.0,1.0,15.157,3.247,1.035,2.136,2.136,2.191,2.0,3.01,3.01,0.963,0.963,1.136,1.0,1.264,1.264,1.981,3.003,2.754,1.0,2.5,-0.431,14.5,169.63,3.584,0.584,2.925,3.866,8.169,2.595,25.535,2.687,4.458,11.152,1.927,326.4,15.762,-1.164,1.387,1.387,6.599,0.976,-2.192,-2.192,2.814,3.483,15.61,15.61,15.61,15.61,15.61,13.043,2.618,6.614,-0.848,-0.848,0.717,8.452,-0.486,16.095,0.174,2.784,16.587,3.869,10306.0
5.8,13.592,1.131,0.691,0.691,17.987,3.195,1.0,1.598,1.598,2.0,1.624,2.275,2.275,1.088,1.088,1.0,0.655,1.0,1.0,1.251,3.014,2.5,0.622,1.965,-0.902,13.25,160.002,3.414,0.496,2.925,3.879,7.337,2.322,23.46,2.687,4.338,10.204,1.628,345.22,14.577,-1.464,1.103,1.103,5.817,0.637,-2.583,-2.583,2.588,3.481,14.24,14.24,14.24,14.24,14.24,11.94,2.37,5.839,-1.0,-1.0,0.5,7.699,-1.147,14.564,0.192,2.759,15.656,3.785,8801.0
5.8,11.017,1.596,1.509,1.509,9.41,4.146,1.546,3.709,3.709,2.518,2.468,4.157,4.157,3.176,3.176,1.501,1.283,1.546,1.546,1.965,4.01,3.045,1.443,2.951,0.676,19.25,207.175,4.357,1.687,3.129,4.023,11.557,2.818,34.563,2.852,4.859,14.67,2.319,397.52,21.41,0.585,1.834,1.834,8.309,2.111,1.149,1.149,3.141,3.668,20.67,20.67,20.67,20.67,20.67,17.333,2.821,9.805,0.497,0.497,2.086,11.044,0.94,21.002,0.134,2.926,20.501,4.153,20032.0
5.8,14.557,1.353,1.013,1.013,19.474,3.383,1.347,1.79,1.79,2.203,2.017,2.964,2.964,1.333,1.333,1.199,0.991,1.204,1.204,1.494,3.046,2.664,1.013,2.134,-0.491,14.75,157.201,3.618,0.638,3.029,3.759,8.358,2.608,26.203,2.681,4.443,11.135,2.028,310.39,16.072,-1.003,1.394,1.394,5.699,1.013,-1.776,-1.776,2.867,3.392,15.671,15.671,15.671,15.671,15.671,12.493,2.596,7.043,-0.705,-0.705,0.808,8.525,-0.692,15.82,0.189,2.873,16.397,3.869,8154.0
5.8,28.774,2.147,1.637,1.637,43.022,4.538,2.129,4.62,4.62,2.798,2.642,4.963,4.963,3.703,3.703,1.764,1.732,1.815,1.815,2.234,4.353,3.202,1.632,3.085,0.51,20.25,224.626,4.618,1.19,3.333,4.183,11.283,2.918,34.912,2.941,4.896,15.113,2.481,439.47,21.724,-0.242,1.879,1.879,8.662,1.968,-0.516,-0.516,3.232,3.717,20.728,20.728,20.728,20.728,20.728,17.96,2.918,10.214,-0.189,-0.189,1.375,12.495,0.885,21.108,0.133,3.067,20.543,4.19,23967.0
5.8,16.973,1.383,1.13,1.13,24.07,3.479,1.24,2.585,2.585,2.183,2.134,2.781,2.781,2.322,2.322,1.182,1.116,1.185,1.185,2.002,3.435,2.66,1.131,2.625,-0.132,15.75,157.818,3.705,0.823,3.008,3.806,8.773,2.715,29.708,2.687,4.628,12.508,2.251,345.43,17.91,-0.837,1.591,1.591,7.798,1.183,-1.524,-1.524,3.069,3.47,17.309,17.309,17.309,17.309,17.309,13.955,2.735,7.204,-0.62,-0.62,0.887,9.553,-0.311,17.385,0.154,2.835,18.518,3.985,14280.0
5.8,17.322,2.042,1.438,1.438,21.88,4.366,1.888,3.574,3.574,2.615,2.417,4.818,4.818,3.37,3.37,1.544,1.491,1.695,1.695,2.439,4.163,3.116,1.386,2.891,0.438,21.75,232.349,4.749,1.361,3.204,4.146,12.186,2.735,34.539,2.869,4.896,15.17,2.441,438.48,21.67,0.063,1.802,1.802,8.656,2.184,0.124,0.124,3.189,3.731,20.886,20.886,20.886,20.886,20.886,18.122,2.733,9.493,0.05,0.05,1.722,11.906,1.05,21.4,0.136,2.994,21.303,4.191,22776.0
5.8,17.439,1.475,1.343,1.343,30.662,3.601,1.419,3.027,3.027,2.355,2.283,3.962,3.962,2.57,2.57,1.325,1.142,1.414,1.414,1.729,3.492,2.887,1.257,2.626,0.206,20.0,203.831,4.402,1.169,3.199,4.016,10.707,2.715,30.914,2.728,4.769,13.776,2.097,378.45,19.803,0.0,1.499,1.499,7.509,2.0,0.0,0.0,2.904,3.639,19.516,19.516,19.516,19.516,19.516,16.689,2.735,9.399,0.0,0.0,1.698,10.344,1.0,19.986,0.148,2.866,18.054,4.09,15405.0
6.0,24.418,1.725,1.484,1.484,40.887,4.234,1.593,3.817,3.817,2.477,2.468,4.368,4.368,3.256,3.256,1.461,1.469,1.523,1.523,2.114,4.014,3.003,1.444,2.957,0.516,22.75,226.507,4.557,1.982,3.206,4.117,11.973,2.893,36.1,2.904,4.943,15.581,2.357,428.55,22.605,0.733,1.978,1.978,9.062,2.466,1.297,1.297,3.267,3.747,21.878,21.878,21.878,21.878,21.878,18.736,2.873,10.375,0.498,0.498,2.0,11.797,1.458,22.419,0.131,3.012,22.079,4.213,22079.0
5.8,17.267,1.801,1.388,1.388,22.095,4.109,1.601,3.604,3.604,2.549,2.362,4.138,4.138,2.967,2.967,1.527,1.322,1.583,1.583,1.948,3.639,3.061,1.342,2.821,0.287,18.75,195.159,4.407,1.177,3.184,3.976,10.752,2.752,31.893,2.785,4.788,14.008,2.559,387.45,19.882,-0.182,1.842,1.842,8.874,1.546,-0.383,-0.383,3.268,3.61,19.516,19.516,19.516,19.516,19.516,16.264,2.752,8.952,-0.149,-0.149,1.484,10.693,0.363,19.799,0.144,2.977,19.51,4.104,19677.0
6.4,23.916,2.035,1.77,1.77,38.556,4.618,1.902,4.963,4.963,2.755,2.671,5.184,5.184,2.804,2.804,1.678,1.452,1.879,1.879,2.244,3.882,3.232,1.46,3.165,0.159,19.5,212.271,4.737,1.0,3.056,4.081,10.278,2.753,29.071,2.913,4.723,13.402,2.481,402.82,18.702,-0.445,1.879,1.879,8.283,1.21,-0.898,-0.898,3.232,3.657,18.549,18.549,18.549,18.549,18.549,16.581,2.73,9.465,-0.347,-0.347,1.0,10.369,-0.083,19.246,0.149,2.917,18.596,4.067,18375.0
5.8,26.632,1.618,1.306,1.306,39.846,4.077,1.544,3.531,3.531,2.585,2.283,3.76,3.76,2.797,2.797,1.556,1.438,1.618,1.618,2.222,3.54,2.922,1.268,2.776,0.51,20.75,212.73,4.264,1.18,3.206,4.13,10.53,2.725,31.901,2.842,4.832,14.415,2.427,417.43,20.339,-0.302,1.687,1.687,8.18,2.0,-0.571,-0.571,3.118,3.692,20.04,20.04,20.04,20.04,20.04,17.585,2.704,9.261,-0.227,-0.227,1.372,11.621,1.0,20.773,0.142,2.866,18.64,4.136,22036.0
5.8,13.045,1.975,1.546,1.546,11.877,4.303,1.576,3.964,3.964,2.757,2.518,4.316,4.316,3.706,3.706,1.758,1.546,1.748,1.748,2.163,4.145,3.133,1.501,3.045,1.0,21.75,230.586,4.486,2.338,3.216,4.134,13.112,2.898,40.31,2.964,5.076,17.081,2.474,462.59,24.681,1.11,1.839,1.839,10.127,2.589,1.744,1.744,3.216,3.79,23.999,23.999,23.999,23.999,23.999,19.657,2.889,10.889,0.713,0.713,2.5,12.928,1.631,24.243,0.116,3.149,24.2,4.296,30514.0
6.9,7.745,1.406,1.098,1.098,9.649,3.474,1.155,2.511,2.511,2.239,2.089,3.003,3.003,2.323,2.323,1.23,1.055,1.257,1.257,1.534,3.426,2.737,1.085,2.57,-0.475,15.75,161.655,3.604,0.793,2.942,3.788,9.312,2.682,28.467,2.687,4.606,12.293,2.095,327.41,17.651,-0.758,1.501,1.501,7.633,1.754,-1.351,-1.351,2.924,3.459,17.361,17.361,17.361,17.361,17.361,14.07,2.669,7.589,-0.592,-0.592,0.922,9.208,0.532,17.511,0.16,2.769,17.062,3.969,11985.0
5.8,11.544,1.442,1.316,1.316,16.058,3.871,1.346,3.093,3.093,2.415,2.291,3.301,3.301,2.952,2.952,1.412,1.169,1.422,1.422,1.611,3.585,2.882,1.279,2.78,0.186,17.5,197.656,4.043,1.279,2.995,3.951,10.882,2.715,31.289,2.687,4.769,13.793,2.167,366.46,19.777,0.009,1.552,1.552,8.551,2.296,0.02,0.02,2.977,3.601,19.568,19.568,19.568,19.568,19.568,16.154,2.735,9.508,0.008,0.008,2.108,10.262,1.197,19.754,0.145,2.795,18.924,4.09,14325.0
5.8,13.507,1.273,1.116,1.116,13.959,3.593,1.212,2.275,2.275,2.173,2.109,3.23,3.23,1.904,1.904,1.167,1.012,1.193,1.193,1.549,3.414,2.659,1.106,2.5,0.033,16.5,216.658,4.06,1.0,3.143,3.998,9.331,2.715,31.158,2.728,4.663,12.914,2.193,386.52,18.889,-0.577,1.503,1.503,6.662,1.362,-0.885,-0.885,2.975,3.745,17.98,17.98,17.98,17.98,17.98,14.645,2.735,7.708,-0.522,-0.522,1.09,10.154,0.062,18.247,0.162,2.914,19.691,4.018,15340.0
5.8,9.121,1.0,0.468,0.468,11.333,3.051,0.649,1.128,1.128,2.0,1.45,2.275,2.275,-0.333,-0.333,1.0,0.451,1.0,1.0,1.132,2.744,2.5,0.458,1.951,-1.0,12.0,133.33,3.414,0.007,2.696,3.633,6.969,2.153,20.714,2.321,4.189,9.22,1.595,271.72,13.018,-1.594,1.072,1.072,5.7,0.5,-3.0,-3.0,2.575,3.265,12.878,12.878,12.878,12.878,12.878,10.78,2.128,5.587,-1.236,-1.236,0.487,6.958,-1.431,13.111,0.211,2.687,13.742,3.689,6324.0
5.8,24.83,2.087,1.425,1.425,32.993,4.205,1.757,3.576,3.576,2.747,2.38,4.77,4.77,2.574,2.574,1.707,1.14,1.748,1.748,2.216,3.757,3.186,1.349,2.936,0.628,19.75,217.856,4.559,1.393,3.15,4.094,10.81,2.715,32.906,2.841,4.839,14.491,2.694,418.52,20.571,0.041,1.983,1.983,8.856,2.154,0.073,0.073,3.395,3.724,20.17,20.17,20.17,20.17,20.17,17.016,2.735,9.125,0.032,0.032,1.504,11.042,0.988,20.632,0.141,2.963,21.441,4.135,22847.0
7.5,33.225,2.327,1.942,1.942,40.174,5.07,2.294,5.666,5.666,3.173,2.893,6.765,6.765,5.292,5.292,2.133,2.059,2.203,2.203,2.622,4.954,3.584,1.842,3.249,1.313,30.25,324.247,5.334,2.544,3.494,4.467,17.611,3.086,50.997,3.206,5.396,21.368,2.975,591.79,31.719,1.538,2.46,2.46,10.709,2.788,2.793,2.793,3.716,4.066,30.015,30.015,30.015,30.015,30.015,25.563,3.054,15.15,1.148,1.148,2.639,16.34,1.796,30.58,0.095,3.328,30.371,4.53,55703.0
5.8,16.025,1.618,1.272,1.272,17.39,3.651,1.447,2.833,2.833,2.549,2.271,3.753,3.753,2.748,2.748,1.544,1.284,1.555,1.555,1.713,3.591,2.943,1.271,2.767,0.123,16.0,178.457,4.129,1.02,3.156,3.888,10.255,2.759,31.74,2.78,4.694,13.131,2.414,358.47,19.304,-0.435,1.618,1.618,6.982,1.437,-0.876,-0.876,3.118,3.534,18.413,18.413,18.413,18.413,18.413,14.901,2.769,8.492,-0.35,-0.35,1.312,10.006,0.275,18.492,0.151,2.929,18.803,4.04,13880.0
5.8,8.912,1.673,1.455,1.455,6.882,4.603,1.46,4.411,4.411,2.574,2.395,4.872,4.872,3.305,3.305,1.536,1.366,1.62,1.62,2.067,4.125,3.053,1.364,2.951,0.384,20.75,240.62,4.772,1.381,3.063,4.145,12.243,2.648,31.485,2.753,4.818,14.386,2.349,410.42,20.42,0.29,1.713,1.713,8.074,2.063,0.444,0.444,3.109,3.712,20.135,20.135,20.135,20.135,20.135,17.491,2.645,10.516,0.215,0.215,1.688,11.141,0.882,20.57,0.14,2.84,19.303,4.144,18761.0
5.8,13.776,1.309,1.0,1.0,15.016,3.247,1.02,2.136,2.136,2.106,2.0,2.61,2.61,0.626,0.626,1.072,1.0,1.153,1.153,1.546,2.928,2.616,1.0,2.5,-0.432,13.75,159.194,3.494,0.583,2.925,3.811,7.642,2.593,24.82,2.687,4.407,10.742,1.826,310.4,15.287,-1.232,1.312,1.312,6.344,0.813,-2.223,-2.223,2.794,3.44,15.11,15.11,15.11,15.11,15.11,12.518,2.617,6.305,-0.877,-0.877,0.666,8.079,-0.864,15.568,0.18,2.737,15.717,3.829,8850.0
5.8,10.189,0.941,-0.383,-0.383,8.549,2.278,0.836,-0.883,-0.883,1.036,0.543,0.279,0.279,-1.375,-1.375,0.116,0.545,0.131,0.131,1.692,2.0,1.346,-0.339,1.0,-1.261,10.5,137.147,2.84,-0.5,2.607,3.77,5.916,1.649,18.647,2.237,3.989,8.097,0.63,267.35,11.397,-2.0,0.543,0.543,4.372,-0.037,-4.895,-4.895,1.74,3.276,11.179,11.179,11.179,11.179,11.179,9.616,1.76,4.725,-1.716,-1.716,-0.414,6.223,-1.899,11.717,0.24,2.565,13.267,3.554,4792.0
5.8,11.831,0.864,-0.15,-0.15,15.227,2.706,0.569,-0.409,-0.409,0.915,0.754,0.423,0.423,-2.0,-2.0,0.11,0.213,0.19,0.19,1.344,2.378,1.465,-0.126,1.154,-1.229,11.25,173.168,2.803,-0.17,2.466,3.848,6.261,1.838,19.422,2.243,4.036,8.414,1.199,303.18,11.931,-1.906,0.851,0.851,4.43,0.099,-4.349,-4.349,2.313,3.372,11.414,11.414,11.414,11.414,11.414,10.097,1.879,5.208,-1.421,-1.421,-0.02,6.609,-1.576,11.769,0.25,2.706,14.801,3.604,5134.0
5.8,20.473,2.058,1.226,1.226,29.218,4.239,1.286,3.492,3.492,2.717,2.193,4.642,4.642,2.586,2.586,1.696,1.24,1.719,1.719,2.094,3.587,3.143,1.185,2.687,-0.129,18.25,207.03,4.516,1.092,3.189,4.046,10.059,2.727,31.191,2.793,4.736,13.491,2.613,390.51,19.353,-0.426,1.969,1.969,8.153,1.342,-0.816,-0.816,3.333,3.662,18.756,18.756,18.756,18.756,18.756,16.072,2.735,9.118,-0.316,-0.316,1.184,10.273,0.104,19.21,0.151,2.955,20.027,4.07,17682.0
6.3,27.434,2.136,1.689,1.689,33.376,4.505,2.064,4.594,4.594,2.777,2.663,4.97,4.97,3.333,3.333,1.741,1.842,1.829,1.829,2.295,4.192,3.368,1.606,3.177,0.955,22.25,250.367,4.717,2.206,3.314,4.218,12.753,2.968,40.804,2.983,5.076,17.064,2.656,481.67,25.037,1.054,2.089,2.089,9.061,2.5,1.862,1.862,3.465,3.864,23.947,23.947,23.947,23.947,23.947,20.025,2.985,11.101,0.778,0.778,2.292,12.92,1.5,24.402,0.121,3.291,24.554,4.295,30778.0
5.8,14.646,1.976,1.546,1.546,12.518,4.37,1.906,4.0,4.0,2.818,2.518,5.204,5.204,3.943,3.943,1.798,1.576,1.838,1.838,2.374,4.299,3.136,1.501,3.045,1.125,22.5,247.345,4.798,2.344,3.215,4.222,13.439,2.899,41.137,3.06,5.109,17.474,2.743,497.03,25.242,1.12,2.071,2.071,10.2,2.618,1.817,1.817,3.44,3.853,24.447,24.447,24.447,24.447,24.447,20.407,2.891,11.188,0.721,0.721,2.589,13.291,1.671,24.827,0.113,3.256,25.57,4.321,34448.0
5.8,20.633,1.8,1.38,1.38,28.555,4.131,1.499,3.639,3.639,2.431,2.336,4.234,4.234,2.539,2.539,1.375,1.189,1.493,1.493,1.845,3.49,2.876,1.293,2.81,0.51,18.75,203.898,4.43,0.752,3.009,4.152,9.47,2.562,27.261,2.641,4.685,13.037,2.375,400.31,17.787,-0.957,1.648,1.648,7.863,1.177,-1.964,-1.964,3.109,3.612,17.684,17.684,17.684,17.684,17.684,16.153,2.545,7.649,-0.717,-0.717,1.0,11.404,-0.352,18.4,0.153,2.867,15.527,4.047,21483.0
5.9,15.046,1.766,1.41,1.41,15.28,4.198,1.538,3.519,3.519,2.654,2.384,4.825,4.825,3.026,3.026,1.632,1.403,1.677,1.677,1.921,3.615,3.175,1.371,2.876,0.502,20.5,287.149,4.712,1.966,3.074,4.263,11.964,2.715,33.26,2.752,4.889,15.01,2.54,449.55,21.401,0.672,1.764,1.764,9.276,2.5,1.092,1.092,3.217,3.939,21.04,21.04,21.04,21.04,21.04,18.391,2.735,10.314,0.444,0.444,2.198,11.676,1.5,21.698,0.139,2.992,22.028,4.18,24710.0
5.8,9.121,1.0,0.468,0.468,11.333,3.051,0.649,1.128,1.128,2.0,1.436,2.275,2.275,-0.333,-0.333,1.0,0.451,1.0,1.0,1.132,2.744,2.5,0.451,1.951,-1.0,12.0,133.33,3.414,0.007,2.68,3.633,6.969,2.057,20.714,2.233,4.189,9.22,1.595,271.72,13.018,-1.594,1.072,1.072,5.706,0.5,-3.0,-3.0,2.575,3.265,12.878,12.878,12.878,12.878,12.878,10.781,2.053,5.587,-1.236,-1.236,0.487,6.957,-1.431,13.111,0.211,2.687,13.742,3.689,6345.0
5.8,7.215,0.818,0.618,0.618,11.409,3.0,0.618,1.372,1.372,1.624,1.496,1.652,1.652,0.486,0.486,0.635,0.617,0.691,0.691,0.99,2.618,2.163,0.529,2.118,-1.27,11.75,133.582,3.226,0.015,2.61,3.594,6.795,2.276,22.106,2.351,4.207,9.365,1.356,270.38,13.519,-1.686,0.95,0.95,5.113,0.431,-3.388,-3.388,2.394,3.316,13.301,13.301,13.301,13.301,13.301,10.956,2.362,5.639,-1.317,-1.317,0.2,6.98,-1.21,13.679,0.213,2.553,13.433,3.695,5618.0
5.8,12.295,1.272,1.116,1.116,13.234,3.593,1.211,2.275,2.275,2.164,2.109,3.181,3.181,1.903,1.903,1.157,1.0,1.183,1.183,1.549,3.414,2.656,1.105,2.5,-0.087,16.0,211.159,4.014,0.753,3.035,3.973,8.703,2.715,29.632,2.687,4.606,12.376,2.193,372.49,18.072,-0.871,1.503,1.503,6.721,1.091,-1.937,-1.937,2.975,3.717,17.11,17.11,17.11,17.11,17.11,14.235,2.735,7.63,-0.669,-0.669,1.0,9.764,-0.312,17.369,0.168,2.853,18.984,3.981,14126.0
5.8,18.955,1.539,1.303,1.303,24.276,4.255,1.428,3.601,3.601,2.461,2.264,4.133,4.133,2.587,2.587,1.439,1.274,1.474,1.474,2.278,3.607,2.953,1.248,2.719,0.18,17.5,215.695,4.422,1.135,2.954,4.134,10.301,2.715,31.535,2.725,4.736,13.508,2.385,436.34,19.48,-0.397,1.751,1.751,7.942,1.465,-0.701,-0.701,3.169,3.716,18.809,18.809,18.809,18.809,18.809,15.915,2.735,8.938,-0.299,-0.299,1.197,10.275,0.215,19.162,0.152,3.02,20.673,4.07,17717.0
6.0,34.471,2.575,1.831,1.831,50.483,4.73,2.126,5.194,5.194,2.802,2.787,5.253,5.253,4.963,4.963,1.763,1.934,1.879,1.879,2.592,4.618,3.232,1.685,3.203,0.939,23.75,251.127,4.903,2.0,3.311,4.231,13.352,2.916,40.625,2.953,5.099,17.389,2.481,491.59,25.257,1.0,2.073,2.073,9.619,2.499,1.704,1.704,3.332,3.86,24.298,24.298,24.298,24.298,24.298,20.614,2.941,11.601,0.713,0.713,2.168,13.4,1.471,24.923,0.114,3.085,23.493,4.32,33688.0
7.7,23.439,2.241,1.756,1.756,29.144,4.628,1.879,4.896,4.896,2.845,2.703,5.181,5.181,3.934,3.934,1.8,1.519,1.894,1.894,2.353,4.399,3.311,1.626,3.182,0.85,22.75,259.967,4.823,2.19,3.306,4.242,12.957,2.927,39.486,3.034,5.067,17.012,2.849,484.63,24.514,1.154,2.149,2.149,9.857,2.5,1.917,1.917,3.507,3.88,23.903,23.903,23.903,23.903,23.903,20.181,2.94,11.318,0.806,0.806,2.261,12.869,1.5,24.538,0.122,3.237,24.717,4.294,32432.0
5.8,8.463,1.129,1.0,1.0,11.475,3.414,1.0,2.275,2.275,2.0,2.0,2.386,2.386,2.136,2.136,1.0,1.0,1.0,1.0,1.348,3.247,2.5,1.0,2.5,-0.703,14.5,144.875,3.446,0.596,2.925,3.693,8.453,2.715,27.687,2.687,4.536,11.775,1.593,318.4,16.744,-1.224,1.157,1.157,7.091,1.044,-1.963,-1.963,2.57,3.397,16.629,16.629,16.629,16.629,16.629,12.965,2.735,6.759,-0.889,-0.889,0.794,8.853,-0.466,16.753,0.165,2.687,16.778,3.913,10844.0
5.8,4.452,1.0,0.517,0.517,3.014,3.265,0.608,1.389,1.389,1.958,1.41,2.275,2.275,-0.338,-0.338,0.933,0.262,1.0,1.0,1.319,2.554,2.5,0.451,1.985,-1.009,11.75,152.564,3.414,0.084,2.669,3.728,7.057,2.017,20.435,2.25,4.171,9.148,1.5,272.32,12.919,-1.613,1.0,1.0,5.429,0.5,-3.119,-3.119,2.543,3.316,12.723,12.723,12.723,12.723,12.723,10.847,2.074,5.732,-1.21,-1.21,0.479,6.987,-1.5,12.987,0.22,2.652,12.889,3.688,5949.0
8.5,25.341,1.447,1.185,1.185,44.488,3.597,1.407,2.718,2.718,2.386,2.182,2.971,2.971,2.585,2.585,1.372,1.202,1.414,1.414,1.52,3.481,2.642,1.18,2.433,-0.193,16.25,159.374,3.695,0.659,3.208,3.821,8.612,2.821,29.584,2.844,4.569,12.025,1.738,340.48,17.686,-0.758,1.414,1.414,5.734,0.948,-1.705,-1.705,2.683,3.469,16.654,16.654,16.654,16.654,16.654,13.741,2.821,7.121,-0.679,-0.679,0.85,9.243,-0.372,16.872,0.162,2.928,17.811,3.948,10395.0
