pXC50,O.,nN,nBM,RBF,N.,nB,nC,Sp,nO,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAB,nAT,nBO,nBR,nBT
4.523,6.0,3,19,0.111,4.5,0,29,44.495,4,7.248,43.3,46.3,1.0,1.122,0.664,0.631,485.63,17,67.0,41,0,72.0
5.921,6.8,2,14,0.111,3.4,0,25,38.728,4,7.128,42.4,47.5,1.0,1.123,0.656,0.623,420.55,12,59.0,35,0,63.0
4.523,7.1,2,14,0.1,3.6,0,24,36.966,4,7.259,42.9,46.4,1.002,1.122,0.66,0.629,406.52,12,56.0,34,0,60.0
4.924,5.3,3,14,0.098,5.3,0,24,37.517,3,7.115,42.1,47.4,0.998,1.125,0.658,0.623,405.54,12,57.0,34,0,61.0
4.955,4.1,5,19,0.128,6.8,0,30,47.813,3,7.037,41.1,47.9,0.997,1.128,0.655,0.619,513.7,17,73.0,43,0,78.0
4.456,4.3,3,17,0.061,6.5,0,20,30.779,2,7.292,43.5,45.7,0.998,1.123,0.669,0.636,335.44,16,46.0,28,0,49.0
4.678,8.2,1,14,0.108,1.6,0,26,39.938,5,7.14,42.6,47.5,1.002,1.121,0.655,0.622,435.56,12,61.0,36,0,65.0
6.049,7.1,2,14,0.1,3.6,0,24,36.966,4,7.259,42.9,46.4,1.002,1.122,0.66,0.629,406.52,12,56.0,34,0,60.0
4.523,5.0,3,17,0.093,7.5,0,18,27.256,2,7.684,45.0,42.5,1.004,1.121,0.681,0.655,307.38,17,40.0,26,0,43.0
4.114,10.6,25,40,0.218,7.8,0,104,195.609,34,7.155,32.3,49.4,1.018,1.147,0.607,0.587,2303.88,12,322.0,166,0,325.0
5.469,11.0,25,40,0.231,7.8,0,102,193.302,35,7.191,32.0,49.2,1.02,1.148,0.606,0.587,2293.84,12,319.0,164,0,321.0
4.75,9.2,6,5,0.267,6.9,0,25,50.66,8,6.446,28.7,55.2,1.009,1.154,0.582,0.551,560.79,0,87.0,38,0,86.0
4.301,10.5,25,40,0.227,7.7,0,104,196.371,34,7.117,32.1,49.7,1.018,1.148,0.606,0.585,2305.9,12,324.0,165,0,326.0
4.796,10.6,25,40,0.226,7.8,0,103,194.609,34,7.14,32.1,49.5,1.018,1.148,0.606,0.586,2291.87,12,321.0,164,0,323.0
4.824,11.3,25,41,0.231,7.9,0,102,192.995,36,7.257,32.1,48.7,1.021,1.148,0.607,0.59,2307.82,12,318.0,165,0,320.0
4.237,10.5,25,40,0.227,7.7,0,104,196.371,34,7.117,32.1,49.7,1.018,1.148,0.606,0.585,2305.9,12,324.0,165,0,326.0
5.432,10.9,25,40,0.22,7.8,0,103,194.302,35,7.206,32.2,49.1,1.02,1.147,0.607,0.589,2305.85,12,320.0,166,0,323.0
7.971,11.9,0,16,0.022,0.0,0,19,28.125,5,7.771,45.2,42.9,1.014,1.114,0.67,0.65,326.37,16,42.0,27,0,45.0
5.237,10.7,25,40,0.22,7.8,0,103,193.785,34,7.235,32.3,48.9,1.02,1.148,0.607,0.589,2307.84,12,319.0,166,0,322.0
4.745,11.0,25,40,0.227,7.8,0,102,193.302,35,7.191,32.0,49.2,1.02,1.148,0.606,0.587,2293.84,12,319.0,164,0,321.0
4.886,11.0,26,41,0.231,8.2,0,102,193.547,35,7.231,32.0,48.9,1.02,1.148,0.607,0.589,2306.84,12,319.0,165,0,321.0
5.319,0.0,5,24,0.109,11.6,0,21,30.597,0,7.894,48.8,39.5,0.996,1.116,0.712,0.681,339.43,24,43.0,29,0,46.0
4.0,11.1,1,19,0.128,2.2,1,20,31.472,5,8.071,44.4,40.0,1.013,1.107,0.699,0.644,363.2,18,45.0,29,0,47.0
4.072,9.8,1,13,0.113,2.0,1,20,33.756,5,7.24,39.2,47.1,1.004,1.119,0.662,0.644,369.26,12,51.0,29,0,53.0
4.0,13.2,1,13,0.128,2.6,1,15,25.71,5,7.924,39.5,42.1,1.018,1.116,0.677,0.644,301.13,12,38.0,23,0,39.0
4.395,10.6,1,13,0.125,2.1,1,18,30.995,5,7.303,38.3,46.8,1.007,1.12,0.659,0.644,343.22,12,47.0,26,0,48.0
4.0,12.2,1,13,0.143,2.4,1,16,27.472,5,7.687,39.0,43.9,1.014,1.117,0.67,0.644,315.16,12,41.0,24,0,42.0
4.0,8.2,1,19,0.094,1.6,1,26,41.279,5,7.301,42.6,45.9,1.0,1.113,0.677,0.644,445.36,18,61.0,36,0,64.0
4.152,7.5,1,13,0.086,1.5,1,26,43.563,5,6.738,38.8,50.7,0.995,1.121,0.65,0.644,451.42,12,67.0,36,0,70.0
5.337,8.5,1,13,0.095,1.7,1,24,39.279,5,7.141,40.7,47.5,1.0,1.117,0.666,0.644,421.34,12,59.0,35,0,63.0
5.509,6.7,1,13,0.075,1.3,1,30,49.086,5,6.713,40.0,50.7,0.992,1.12,0.654,0.644,503.5,12,75.0,42,0,80.0
4.043,9.3,1,13,0.089,1.9,1,21,35.517,5,7.098,38.9,48.1,1.002,1.12,0.658,0.644,383.29,12,54.0,30,0,56.0
4.037,8.8,1,13,0.102,1.8,1,22,37.279,5,6.971,38.6,49.1,1.0,1.121,0.654,0.644,397.32,12,57.0,31,0,59.0
4.452,7.9,1,13,0.092,1.6,1,24,40.801,5,6.752,38.1,50.8,0.996,1.123,0.648,0.644,425.38,12,63.0,33,0,65.0
5.523,9.3,3,15,0.052,5.6,0,23,35.904,5,7.805,42.6,42.6,1.014,1.124,0.665,0.646,421.49,11,54.0,35,0,58.0
