pXC50,C.016,NdsCH,nR.Cs,SdsCH,SpMin1_Bh.s.,JGI4,ATSC6p,nCrs,N.,ATSC5p,Hy,CATS2D_06_LL,CATS2D_03_AA,Eta_sh_y,BIC3,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,SM09_EA.ri.,P_VSA_LogP_6,Eta_C_A,H.050,nHDon,SAdon,SpMin2_Bh.m.,SpMin1_Bh.m.,ATSC6v,MCD,P_VSA_e_3,ATSC5v,nCs,SpMin1_Bh.v.,MPC10,X5v,SM05_EA.ri.,SM04_AEA.ed.,MWC07,PCD,SM05_EA,SM07_EA.ri.,SM05_AEA.ed.,DBI,Eig03_EA.bo.,SM13_AEA.ri.,SM08_EA.ri.,SpMin3_Bh.i.,Eig01_AEA.ed.,SpMax_AEA.ed.,SssssC,CATS2D_05_LL,MATS1m,SM03_EA.ri.,CIC3,MWC08,SM15_EA.ri.,Eig02_EA.ed.,SM11_AEA.dm.,GATS3s,ATS6i,MWC09,SM06_AEA.ed.,SM08_AEA.ed.,SM07_AEA.ed.,SpMin3_Bh.v.,P_VSA_i_4,D.Dtr05,SpMin3_Bh.m.
4.921,0,0,0,0.0,1.384,0.048,8.353,2,3.0,10.95,-0.835,1,0,0.332,0.807,3.035,4.98,3.035,10.071,13.13,1.073,0,0,0.0,1.853,2.04,10.922,0.643,3.124,13.307,2,2.033,2.303,2.463,5.658,8.452,8.72,0.953,5.916,7.878,10.219,2.449,2.049,2.049,9.078,1.391,6.856,6.856,0.0,8,0.099,3.295,0.857,9.617,16.676,7.799,7.799,0.989,4.787,10.509,12.027,15.717,13.862,1.69,3.124,25.477,1.757
6.187,0,0,0,0.0,1.223,0.0,0.193,1,10.5,0.748,1.936,0,0,0.479,0.876,3.025,4.828,3.025,9.965,0.0,0.724,3,3,75.703,1.546,1.91,0.43,0.556,32.897,1.593,1,1.876,0.0,0.354,5.509,8.023,8.051,0.176,5.602,7.748,9.784,1.414,1.632,1.632,8.913,0.811,6.523,6.523,0.0,0,-0.024,3.167,0.461,8.91,16.606,5.687,5.687,0.818,2.115,9.763,11.573,15.203,13.381,1.322,32.897,22.367,1.361
4.0,0,0,0,0.0,1.113,0.086,1.58,0,11.1,1.832,0.686,0,1,0.435,0.687,2.866,4.866,2.866,9.575,0.0,0.572,2,2,85.367,1.378,1.992,1.276,0.714,33.571,1.593,0,2.066,2.197,0.957,5.406,8.464,8.679,2.38,5.943,7.497,10.188,1.732,3.0,3.0,8.704,0.878,6.354,6.354,0.0,0,-0.057,3.228,1.0,9.561,15.829,7.935,7.935,0.686,2.954,10.441,11.938,15.484,13.705,1.119,33.571,0.0,1.112
6.0,0,0,0,0.0,1.478,0.049,10.155,2,2.1,11.145,-0.383,5,0,0.29,0.799,2.761,4.761,2.761,9.832,14.96,0.916,1,1,42.683,2.01,2.109,13.658,0.75,3.124,15.573,4,2.09,4.29,2.717,5.757,8.678,8.965,1.904,6.019,7.817,10.316,2.828,2.878,2.878,9.101,1.731,6.058,6.058,0.0,6,0.014,3.549,0.936,9.806,15.818,7.802,7.802,0.793,4.956,10.64,11.982,15.371,13.669,1.929,18.084,0.0,1.942
5.155,0,0,0,0.0,1.25,0.06,0.845,0,4.5,1.705,2.763,0,0,0.423,0.878,2.754,4.632,2.754,9.357,0.0,0.738,4,4,118.264,1.612,1.955,1.73,0.0,32.897,3.276,2,1.945,0.0,0.26,5.335,7.82,7.678,0.273,5.398,7.363,9.516,3.606,1.535,1.535,8.45,0.814,5.903,5.903,0.0,0,-0.112,3.175,0.489,8.456,15.324,6.784,6.784,0.85,3.646,9.233,11.235,14.708,12.968,1.234,32.897,0.0,1.199
5.481,0,0,0,0.0,1.542,0.022,15.033,7,2.2,14.289,-0.931,18,0,0.149,0.784,3.517,5.517,3.517,11.335,0.0,1.125,0,0,0.0,2.012,2.156,21.455,0.947,3.124,20.759,7,2.134,3.497,3.371,6.305,8.872,9.076,0.921,6.447,8.829,10.748,2.121,2.296,2.296,10.16,1.697,7.97,7.97,0.347,21,0.075,3.678,1.076,9.99,18.867,6.623,6.623,0.942,5.394,10.897,12.695,16.709,14.687,1.921,3.124,0.0,1.964
4.0,0,0,0,0.0,1.481,0.034,10.73,2,5.7,11.884,-0.382,2,0,0.296,0.818,2.969,4.969,2.969,10.243,17.104,0.891,1,1,42.683,2.027,2.11,15.607,0.778,21.809,17.362,4,2.09,4.605,3.039,5.989,8.917,9.248,2.896,6.275,8.133,10.602,2.828,2.995,2.995,9.406,1.748,6.717,6.717,0.0,7,0.053,3.705,0.821,10.117,16.584,7.82,7.82,0.702,5.152,10.982,12.327,15.862,14.082,1.953,36.769,65.873,1.963
8.155,2,2,2,4.581,1.517,0.017,12.624,6,2.4,12.932,-0.404,11,0,0.152,0.823,3.507,5.507,3.507,11.31,0.0,0.979,1,1,42.683,1.965,2.14,18.04,0.947,3.124,18.588,6,2.122,3.555,2.869,6.28,8.871,9.065,1.183,6.447,8.807,10.747,2.121,2.454,2.454,10.137,1.672,7.963,7.963,0.155,17,0.051,3.647,0.798,9.974,18.824,7.07,7.07,0.733,5.249,10.88,12.692,16.704,14.684,1.896,3.124,0.0,1.93
6.636,2,2,2,4.698,1.517,0.017,15.973,6,2.2,15.085,-0.886,13,0,0.137,0.818,3.507,5.507,3.507,11.308,0.0,1.088,0,0,0.0,1.964,2.138,20.784,0.9,3.124,20.797,6,2.121,3.761,3.357,6.275,8.899,9.103,1.211,6.463,8.804,10.77,2.345,2.471,2.471,10.135,1.674,7.963,7.963,0.3,19,0.095,3.632,0.85,10.011,18.822,7.391,7.391,0.874,5.291,10.918,12.712,16.717,14.699,1.892,3.124,0.0,1.92
6.943,3,3,3,6.639,1.518,0.017,14.098,6,2.2,14.2,-0.935,18,0,0.141,0.825,3.508,5.508,3.508,11.334,0.0,0.98,0,0,0.0,1.981,2.147,20.199,0.9,3.124,20.403,6,2.127,3.761,3.002,6.323,8.899,9.103,1.325,6.463,8.84,10.77,2.345,2.494,2.494,10.167,1.677,7.963,7.963,0.266,22,0.068,3.678,0.789,10.011,18.834,7.391,7.391,0.704,5.302,10.918,12.712,16.717,14.699,1.912,3.124,0.0,1.959
4.523,0,0,0,0.0,1.206,0.049,5.706,0,10.8,6.725,0.431,0,3,0.423,0.849,3.153,5.153,3.153,10.777,23.542,0.652,2,2,60.694,1.798,2.022,5.898,0.6,28.704,7.092,1,2.097,4.844,1.695,6.367,9.067,9.361,2.219,6.538,8.578,10.823,3.464,3.478,3.478,9.781,1.438,6.837,6.837,0.0,3,0.014,4.016,0.432,10.275,17.465,10.34,10.34,0.732,4.746,11.187,12.616,16.269,14.433,1.658,28.704,59.22,1.67
7.481,2,2,2,4.651,1.517,0.017,13.401,6,2.2,13.945,-0.886,11,0,0.144,0.818,3.507,5.507,3.507,11.315,0.0,1.007,0,0,0.0,1.965,2.14,19.167,0.9,3.124,20.058,6,2.123,3.761,2.963,6.29,8.899,9.103,1.211,6.463,8.814,10.77,2.345,2.471,2.471,10.144,1.672,7.963,7.963,0.234,17,0.079,3.647,0.85,10.011,18.825,7.391,7.391,0.796,5.304,10.918,12.712,16.717,14.699,1.9,3.124,0.0,1.934
7.921,2,2,2,4.689,1.508,0.01,12.325,6,2.6,13.974,-0.865,9,0,0.103,0.802,3.454,5.454,3.454,11.153,13.13,1.068,0,0,0.0,1.963,2.109,15.968,1.0,3.124,17.551,6,2.09,3.045,3.133,6.136,8.787,8.978,0.89,6.382,8.663,10.681,2.0,2.351,2.351,9.979,1.429,7.962,7.962,0.372,14,0.102,3.459,0.882,9.886,18.593,6.646,6.646,0.886,5.052,10.794,12.644,16.68,14.649,1.611,3.124,43.548,1.655
7.092,2,2,2,4.693,1.518,0.017,13.589,6,2.3,13.622,-0.931,16,0,0.149,0.805,3.508,5.508,3.508,11.322,0.0,1.043,0,0,0.0,1.984,2.148,19.542,0.947,3.124,19.621,6,2.127,3.555,2.997,6.305,8.871,9.065,1.183,6.447,8.823,10.747,2.121,2.454,2.454,10.151,1.676,7.963,7.963,0.315,21,0.073,3.678,0.915,9.974,18.829,7.07,7.07,1.018,5.295,10.88,12.692,16.704,14.684,1.912,3.124,0.0,1.96
5.569,0,0,0,0.0,1.244,0.052,5.285,0,3.6,5.787,1.251,1,0,0.437,0.902,3.203,5.203,3.203,10.578,4.901,0.793,3,3,102.152,1.836,1.972,4.718,0.474,16.786,5.574,2,1.995,3.497,1.607,6.036,8.772,9.053,2.312,6.275,8.305,10.528,3.317,2.891,2.891,9.548,1.375,6.97,6.97,0.0,4,-0.041,3.692,0.143,9.976,17.484,8.41,8.41,0.899,4.258,10.883,12.322,15.99,14.145,1.616,16.786,38.328,1.519
4.42,0,0,0,0.0,1.479,0.035,8.429,2,6.3,10.107,-0.412,7,0,0.214,0.803,2.719,4.719,2.719,9.553,45.832,0.868,1,1,16.786,2.003,2.119,12.388,0.739,36.695,14.906,4,2.092,4.111,2.345,5.578,8.457,8.803,2.483,5.707,7.596,10.049,2.739,2.789,2.789,8.879,1.609,5.629,5.629,0.0,9,0.061,3.359,0.891,9.624,15.362,7.026,7.026,0.855,4.82,10.44,11.672,14.973,13.316,1.781,36.695,77.56,1.813
7.26,0,0,0,0.0,1.482,0.044,11.827,2,2.0,13.112,0.173,8,0,0.294,0.799,2.919,4.919,2.919,10.14,0.0,0.94,2,2,85.367,2.03,2.118,17.044,0.75,3.124,19.002,5,2.096,4.234,2.662,5.934,8.754,9.019,1.849,6.111,8.059,10.438,3.082,3.003,3.003,9.32,1.74,6.528,6.528,0.0,10,0.025,3.647,0.971,9.871,16.371,7.857,7.857,0.785,5.183,10.719,12.16,15.678,13.909,1.938,3.124,0.0,1.963
6.398,0,0,0,0.0,1.152,0.066,1.586,0,18.2,1.795,0.702,0,2,0.5,0.761,3.072,5.072,3.072,10.334,0.0,0.447,2,2,85.367,1.494,2.047,0.965,0.556,44.911,1.213,0,2.142,3.401,0.926,6.009,8.758,8.987,2.732,6.256,8.174,10.508,3.0,3.648,3.648,9.36,1.257,6.707,6.707,0.0,0,-0.072,3.739,0.636,9.888,16.909,8.203,8.203,0.641,3.675,10.787,12.288,15.902,14.088,1.65,44.911,0.0,1.309
5.044,0,0,0,0.0,1.57,0.058,11.737,3,2.0,14.951,-0.432,10,0,0.283,0.865,3.639,5.639,3.639,11.7,0.0,1.21,1,1,42.683,1.996,2.183,17.15,0.619,3.124,22.12,6,2.168,4.71,3.552,6.656,9.123,9.338,1.219,6.723,9.172,10.986,3.162,2.722,2.722,10.49,1.61,7.9,7.9,0.234,10,0.052,4.053,0.645,10.278,19.388,9.502,9.502,0.721,5.296,11.216,12.903,16.836,14.856,1.828,3.124,0.0,1.851
4.0,0,0,0,0.0,1.212,0.064,2.501,0,14.3,2.84,-0.107,0,2,0.427,0.871,3.032,5.032,3.032,10.102,13.915,0.602,1,1,42.683,1.542,2.047,2.604,0.813,34.858,2.529,0,2.132,3.97,1.34,5.725,8.742,9.048,3.25,6.217,7.923,10.504,1.871,3.127,3.127,9.145,1.328,6.83,6.83,0.0,0,-0.024,3.406,0.095,9.965,16.677,8.677,8.677,0.782,3.432,10.879,12.299,15.952,14.117,1.565,34.858,23.393,1.458
5.921,0,0,0,0.0,1.215,0.052,7.211,0,7.9,8.064,0.403,1,2,0.378,0.858,3.189,5.189,3.189,10.923,23.542,0.759,2,2,60.694,1.796,2.017,6.421,0.577,23.034,7.728,1,2.072,4.927,1.778,6.475,9.243,9.447,2.095,6.858,8.703,11.047,3.873,3.391,3.391,9.906,1.438,7.298,7.298,-4.702,3,-0.011,4.12,0.441,10.373,17.674,10.995,10.995,0.675,4.876,11.287,12.892,16.654,14.763,1.653,67.914,60.979,1.67
5.638,0,0,0,0.0,1.202,0.046,10.051,1,4.7,10.244,0.29,6,0,0.263,0.776,3.863,5.863,3.863,12.184,0.0,0.998,2,2,32.897,1.91,2.025,15.24,0.474,36.022,15.076,2,2.005,2.197,1.806,6.831,9.102,9.288,1.041,6.858,9.504,11.039,3.873,2.735,2.735,10.872,1.518,8.362,8.362,-0.374,10,0.027,4.082,1.093,10.254,20.273,8.266,8.266,1.049,5.121,11.221,13.036,17.135,15.072,1.825,36.022,0.0,1.852
5.0,0,0,0,0.0,1.403,0.035,10.347,4,6.7,11.503,-0.823,8,0,0.416,0.876,3.391,5.391,3.391,11.255,16.672,0.908,0,0,0.0,2.04,2.106,14.372,0.875,20.584,16.028,4,2.104,5.649,3.534,6.539,9.211,9.597,2.895,6.661,8.904,10.994,2.449,3.521,3.521,10.179,1.56,7.243,7.243,0.0,10,0.09,4.036,0.372,10.54,18.409,9.796,9.796,0.925,5.025,11.482,12.817,16.539,14.668,1.812,20.584,78.209,1.801
5.602,0,0,0,0.0,1.143,0.0,0.076,2,12.5,0.322,2.119,0,0,0.404,0.887,2.885,4.685,2.885,9.523,0.0,0.61,3,3,75.703,1.541,1.825,0.183,0.625,32.897,0.788,2,1.806,0.0,0.218,5.193,7.746,7.772,0.19,5.303,7.379,9.478,1.225,1.34,1.34,8.524,0.45,6.287,6.287,0.0,0,-0.035,2.876,0.375,8.602,15.894,4.726,4.726,0.879,1.365,9.429,11.241,14.823,13.025,1.081,32.897,19.067,1.007
5.456,0,0,0,0.0,1.352,0.062,0.142,4,10.0,0.88,0.839,0,0,0.425,0.902,3.053,4.997,3.053,10.045,0.0,0.729,2,2,60.816,1.544,1.978,0.299,0.8,18.011,1.684,4,1.965,0.0,1.063,5.534,8.187,8.416,0.166,5.673,7.805,9.941,1.414,1.886,1.886,9.02,1.002,6.61,6.61,0.0,0,0.031,3.142,0.3,9.304,16.742,6.61,6.61,0.713,1.682,10.191,11.729,15.366,13.539,1.383,18.011,16.664,1.417
4.0,0,0,0,0.0,1.22,0.073,0.477,2,5.0,1.105,1.749,0,0,0.423,0.902,2.867,4.745,2.867,9.641,0.0,0.666,3,3,103.377,1.693,1.845,0.887,0.455,18.011,1.82,2,1.833,0.0,0.519,5.446,7.994,8.103,0.283,5.525,7.562,9.702,2.646,1.765,1.765,8.705,0.828,6.118,6.118,0.0,0,-0.074,3.175,0.3,8.944,15.869,7.299,7.299,0.819,2.807,9.781,11.439,14.962,13.195,1.218,18.011,30.167,1.073
4.0,0,0,0,0.0,1.115,0.08,2.87,0,9.5,3.567,-0.069,0,2,0.46,0.816,3.072,5.072,3.072,10.244,0.0,0.651,1,1,18.011,1.605,1.955,2.771,0.667,21.135,3.269,0,2.024,2.639,1.185,5.842,8.649,8.841,1.483,6.155,8.049,10.412,1.871,2.901,2.901,9.25,1.063,6.723,6.723,0.0,0,-0.01,3.524,0.512,9.74,16.883,8.317,8.317,0.766,3.418,10.636,12.203,15.835,14.012,1.437,21.135,0.0,1.337
4.409,0,0,0,0.0,1.248,0.047,11.049,1,4.3,11.461,0.262,8,0,0.249,0.786,3.865,5.865,3.865,12.19,0.0,1.043,2,2,32.897,1.925,2.026,16.709,0.45,36.022,16.877,3,2.006,2.565,2.007,6.84,9.124,9.324,1.023,6.868,9.512,11.057,4.0,2.753,2.753,10.881,1.577,8.364,8.364,-0.372,11,0.027,4.082,1.066,10.29,20.28,8.366,8.366,0.995,5.207,11.259,13.051,17.144,15.084,1.883,36.022,0.0,1.909
7.398,0,0,0,0.0,1.46,0.034,12.075,3,3.8,14.049,0.175,7,0,0.353,0.827,3.027,5.027,3.027,10.688,0.0,0.941,2,2,60.694,2.024,2.118,17.494,0.808,21.135,20.056,5,2.1,4.691,2.954,6.312,9.022,9.314,2.131,6.431,8.523,10.741,3.082,3.209,3.209,9.764,1.681,6.547,6.547,0.0,7,0.044,3.941,0.774,10.196,17.147,9.379,9.379,0.91,5.247,11.074,12.497,16.074,14.277,1.895,21.135,66.435,1.917
4.0,0,0,0,0.0,1.236,0.045,0.587,2,22.7,0.97,1.688,0,0,0.353,0.905,2.884,4.835,2.884,9.728,0.0,0.655,3,3,77.235,1.694,1.847,1.56,0.769,84.418,2.175,2,1.832,1.609,0.727,5.49,8.181,8.445,0.952,5.638,7.635,9.881,2.121,2.235,2.235,8.817,0.941,6.232,6.232,0.0,0,0.004,3.136,0.182,9.304,15.984,7.842,7.842,0.801,3.409,10.161,11.618,15.155,13.379,1.518,84.418,67.003,1.248
5.0,0,0,0,0.0,1.537,0.05,10.575,4,2.2,12.689,-0.858,7,0,0.236,0.767,3.215,5.215,3.215,10.753,0.0,0.901,0,0,0.0,2.038,2.108,14.298,0.913,3.124,17.072,4,2.127,4.868,4.859,6.199,9.06,9.291,2.169,6.608,8.489,10.878,2.55,3.365,3.365,9.756,1.716,7.686,7.686,0.015,9,0.167,3.764,1.068,10.196,17.602,9.341,9.341,0.817,4.921,11.1,12.755,16.623,14.674,1.905,3.124,0.0,1.934
5.0,0,0,0,0.0,1.471,0.052,9.545,4,2.2,11.206,-0.896,7,0,0.177,0.765,3.219,5.219,3.219,10.768,0.0,0.861,0,0,0.0,2.04,2.119,13.642,0.955,3.124,16.23,4,2.113,4.779,3.01,6.199,8.894,9.159,2.092,6.431,8.499,10.658,2.449,3.258,3.258,9.77,1.711,7.234,7.234,0.085,9,0.087,3.751,1.092,10.049,17.625,8.873,8.873,1.421,4.908,10.932,12.478,16.22,14.335,1.905,3.124,0.0,1.934
5.0,0,0,0,0.0,1.584,0.049,10.669,4,2.1,13.206,-0.823,7,0,0.16,0.763,3.413,5.413,3.413,11.215,0.0,0.895,0,0,0.0,2.04,2.119,14.373,0.875,3.124,17.397,4,2.186,4.949,5.185,6.471,9.338,9.456,2.229,6.995,8.842,11.26,3.0,3.455,3.455,10.118,1.722,8.53,8.53,-0.547,9,0.231,3.997,1.088,10.385,18.454,10.096,10.096,0.812,4.94,11.312,13.25,17.354,15.286,1.905,3.124,0.0,1.934
5.0,0,0,0,0.0,1.501,0.052,10.476,4,2.2,12.131,-0.896,8,0,0.169,0.765,3.135,5.135,3.135,10.575,0.0,0.929,0,0,0.0,2.036,2.101,14.219,0.955,3.124,16.734,4,2.1,4.779,4.532,6.1,8.894,9.159,2.092,6.431,8.356,10.658,2.449,3.258,3.258,9.621,1.712,7.234,7.234,0.502,9,0.095,3.693,1.092,10.049,17.261,8.873,8.873,0.953,4.901,10.932,12.478,16.22,14.335,1.905,3.124,0.0,1.934
6.086,0,0,0,0.0,1.542,0.022,15.033,7,2.2,14.289,-0.931,18,0,0.149,0.784,3.517,5.517,3.517,11.335,0.0,1.125,0,0,0.0,2.012,2.156,21.455,0.947,3.124,20.759,7,2.134,3.497,3.371,6.305,8.872,9.076,0.921,6.447,8.829,10.748,2.121,2.296,2.296,10.16,1.697,7.97,7.97,0.347,21,0.075,3.678,1.076,9.99,18.867,6.623,6.623,0.942,5.394,10.897,12.695,16.709,14.687,1.921,3.124,0.0,1.964
7.036,2,2,2,4.635,1.517,0.016,14.177,6,2.0,14.312,-0.851,11,0,0.132,0.829,3.507,5.507,3.507,11.318,23.542,1.021,0,0,0.0,1.965,2.14,20.348,0.818,3.124,20.536,6,2.122,4.06,3.038,6.292,8.918,9.142,1.248,6.463,8.817,10.782,2.739,2.476,2.476,10.151,1.673,7.963,7.963,0.19,17,0.082,3.647,0.822,10.047,18.826,7.463,7.463,0.679,5.36,10.951,12.719,16.719,14.703,1.9,3.124,0.0,1.932
5.0,0,0,0,0.0,1.516,0.05,9.855,4,2.2,11.987,-0.901,9,0,0.214,0.767,3.578,5.578,3.578,11.593,0.0,0.88,0,0,0.0,2.044,2.151,14.072,0.913,3.124,16.884,4,2.136,4.868,3.314,6.615,9.06,9.291,2.169,6.608,9.107,10.878,2.55,3.365,3.365,10.427,1.715,7.686,7.686,-0.096,11,0.069,4.0,1.068,10.196,19.148,9.341,9.341,0.825,4.923,11.1,12.755,16.623,14.674,1.905,3.124,0.0,1.934
5.071,1,1,1,2.022,1.381,0.043,9.02,2,2.9,11.078,-0.846,5,0,0.31,0.823,3.037,4.981,3.037,10.077,13.13,1.006,0,0,0.0,1.853,2.038,12.055,0.6,3.124,13.492,2,2.032,2.708,2.419,5.658,8.468,8.757,1.057,5.916,7.881,10.23,2.646,2.111,2.111,9.089,1.489,6.857,6.857,0.0,10,0.094,3.295,0.75,9.655,16.684,7.832,7.832,0.846,4.831,10.547,12.035,15.722,13.868,1.713,3.124,28.788,1.769
5.167,0,0,0,0.0,1.542,0.022,15.033,7,2.2,14.289,-0.931,18,0,0.149,0.784,3.517,5.517,3.517,11.335,0.0,1.125,0,0,0.0,2.012,2.156,21.455,0.947,3.124,20.759,7,2.134,3.497,3.371,6.305,8.872,9.076,0.921,6.447,8.829,10.748,2.121,2.296,2.296,10.16,1.697,7.97,7.97,0.347,21,0.075,3.678,1.076,9.99,18.867,6.623,6.623,0.942,5.394,10.897,12.695,16.709,14.687,1.921,3.124,0.0,1.964
6.955,0,0,0,0.0,1.482,0.041,12.908,3,3.6,14.329,0.157,9,0,0.339,0.832,3.025,5.025,3.025,10.592,0.0,0.976,2,2,60.694,2.03,2.118,18.529,0.778,21.135,20.538,6,2.096,4.691,3.136,6.276,9.002,9.304,2.098,6.399,8.454,10.704,3.24,3.211,3.211,9.698,1.742,6.546,6.546,0.0,10,0.044,3.941,0.768,10.18,17.007,9.365,9.365,0.904,5.272,11.052,12.441,15.985,14.204,1.938,21.135,70.749,1.963
5.668,0,0,0,0.0,1.533,0.017,14.696,7,2.2,14.24,-0.931,18,0,0.149,0.778,3.506,5.506,3.506,11.316,0.0,1.12,0,0,0.0,2.03,2.152,20.98,0.947,3.124,20.523,7,2.132,3.555,3.325,6.303,8.871,9.065,0.921,6.447,8.82,10.747,2.121,2.415,2.415,10.146,1.689,7.963,7.963,0.355,22,0.075,3.678,1.109,9.974,18.821,7.07,7.07,0.895,5.38,10.88,12.692,16.704,14.684,1.904,3.124,0.0,1.951
5.672,0,0,0,0.0,1.497,0.027,11.47,3,3.6,12.657,0.154,1,0,0.206,0.849,3.098,5.098,3.098,10.303,0.0,0.911,2,2,36.022,2.023,2.144,17.199,0.64,36.022,18.536,5,2.115,3.989,2.786,5.797,8.645,8.999,2.013,5.889,8.071,10.331,3.24,2.816,2.816,9.398,1.62,6.691,6.691,0.0,5,0.052,3.374,0.705,9.853,17.002,7.667,7.667,0.839,5.263,10.707,12.071,15.653,13.848,1.89,36.022,0.0,1.91
4.444,0,0,0,0.0,1.412,0.024,7.489,2,7.0,9.615,0.259,3,0,0.133,0.808,3.322,5.322,3.322,10.873,45.832,0.809,2,2,59.469,1.938,2.094,11.071,0.773,36.695,14.116,3,2.083,4.007,1.987,6.132,8.779,8.945,2.463,6.347,8.51,10.569,2.915,2.818,2.818,9.794,1.579,7.471,7.471,-0.668,4,0.039,3.616,0.808,9.805,18.019,7.006,7.006,1.329,4.802,10.661,12.426,16.266,14.33,1.753,36.695,72.618,1.778
4.097,0,0,0,0.0,1.478,0.035,8.54,2,6.7,9.815,-0.369,5,0,0.21,0.821,2.698,4.698,2.698,9.41,45.832,0.864,1,1,16.786,1.957,2.106,12.141,0.739,36.695,14.164,4,2.084,4.111,2.374,5.437,8.457,8.803,2.483,5.707,7.455,10.049,2.739,2.789,2.789,8.77,1.606,5.629,5.629,0.0,8,0.03,3.226,0.756,9.624,15.198,7.026,7.026,0.782,4.794,10.44,11.672,14.973,13.316,1.774,36.695,77.56,1.803
6.046,0,0,0,0.0,1.357,0.033,7.325,1,2.9,7.893,-0.389,6,0,0.286,0.853,3.155,5.155,3.155,10.489,0.0,0.683,1,1,18.011,1.947,2.123,10.244,0.889,18.011,10.983,1,2.112,4.025,1.897,5.88,8.6,8.949,2.435,5.943,8.21,10.343,1.871,2.578,2.578,9.503,1.377,6.792,6.792,0.0,8,0.06,3.395,0.5,9.838,17.299,8.807,8.807,0.767,4.659,10.727,12.131,15.792,13.951,1.655,18.011,0.0,1.68
4.0,0,0,0,0.0,1.483,0.03,10.273,2,5.6,11.123,-0.356,6,0,0.236,0.801,2.857,4.857,2.857,9.98,4.276,0.97,1,1,18.011,2.009,2.117,15.428,0.68,24.259,16.943,6,2.09,4.043,2.733,5.804,8.656,8.951,1.092,5.969,7.916,10.31,3.0,2.638,2.638,9.177,1.648,6.409,6.409,0.0,8,0.058,3.528,1.005,9.786,16.13,7.788,7.788,0.805,5.127,10.614,12.006,15.481,13.732,1.903,24.259,84.784,1.94
6.77,0,0,0,0.0,1.542,0.022,15.033,7,2.2,14.289,-0.931,18,0,0.149,0.784,3.517,5.517,3.517,11.335,0.0,1.125,0,0,0.0,2.012,2.156,21.455,0.947,3.124,20.759,7,2.134,3.497,3.371,6.305,8.872,9.076,0.921,6.447,8.829,10.748,2.121,2.296,2.296,10.16,1.697,7.97,7.97,0.347,21,0.075,3.678,1.076,9.99,18.867,6.623,6.623,0.942,5.394,10.897,12.695,16.709,14.687,1.921,3.124,0.0,1.964
5.0,0,0,0,0.0,1.39,0.041,8.77,2,7.3,9.978,-0.807,5,0,0.408,0.863,3.35,5.35,3.35,11.095,16.672,0.82,0,0,0.0,2.011,2.053,12.204,0.818,20.584,14.005,2,2.043,5.03,2.633,6.409,9.073,9.406,2.911,6.538,8.758,10.852,2.345,3.332,3.332,10.022,1.531,7.144,7.144,0.0,7,0.082,3.924,0.427,10.333,18.2,9.252,9.252,1.005,4.894,11.26,12.669,16.376,14.513,1.806,20.584,81.467,1.78
6.58,0,0,0,0.0,1.482,0.044,11.827,2,2.0,13.112,0.173,8,0,0.294,0.799,2.919,4.919,2.919,10.14,0.0,0.94,2,2,85.367,2.03,2.118,17.044,0.75,3.124,19.002,5,2.096,4.234,2.662,5.934,8.754,9.019,1.849,6.111,8.059,10.438,3.082,3.003,3.003,9.32,1.74,6.528,6.528,0.0,10,0.025,3.647,0.971,9.871,16.371,7.857,7.857,0.785,5.183,10.719,12.16,15.678,13.909,1.938,3.124,0.0,1.963
5.074,1,1,1,2.472,1.403,0.028,12.336,2,3.6,13.687,-0.913,1,1,0.219,0.774,3.03,5.03,3.03,10.24,0.0,0.91,0,0,0.0,2.063,2.134,18.095,0.846,6.249,20.039,4,2.106,4.477,3.196,5.872,8.746,9.11,2.294,5.994,8.076,10.405,2.646,2.823,2.823,9.4,1.706,6.505,6.505,0.0,6,0.081,3.519,1.127,9.961,16.741,7.788,7.788,1.007,5.23,10.807,12.108,15.603,13.844,1.958,6.249,0.0,1.971
5.079,0,0,0,0.0,1.503,0.026,15.109,6,4.6,16.257,-0.848,3,1,0.244,0.84,3.098,5.098,3.098,10.448,0.0,1.15,0,0,0.0,2.049,2.147,22.721,0.786,23.034,24.202,9,2.117,4.522,4.027,6.013,8.917,9.257,1.375,6.217,8.249,10.618,2.915,2.816,2.816,9.547,1.677,6.691,6.691,0.0,8,0.091,3.622,0.842,10.122,17.073,9.054,9.054,0.923,5.552,10.986,12.366,15.946,14.145,1.945,23.034,0.0,1.971
4.69,0,0,0,0.0,1.497,0.028,11.429,3,1.9,12.64,-0.465,5,0,0.213,0.834,3.098,5.098,3.098,10.331,0.0,0.926,1,1,18.011,2.059,2.145,16.737,0.667,18.011,18.287,6,2.115,4.007,2.822,5.826,8.633,8.983,2.044,5.889,8.101,10.323,3.082,2.816,2.816,9.424,1.612,6.691,6.691,0.0,7,0.054,3.395,0.783,9.839,17.016,7.667,7.667,0.832,5.208,10.696,12.066,15.65,13.845,1.87,18.011,0.0,1.895
4.602,0,0,0,0.0,1.497,0.027,12.132,3,1.8,13.484,-0.475,4,0,0.204,0.815,3.098,5.098,3.098,10.331,0.0,0.959,1,1,18.011,2.069,2.144,17.86,0.64,18.011,19.421,7,2.115,3.989,2.945,5.826,8.645,8.999,2.013,5.889,8.101,10.331,3.24,2.816,2.816,9.43,1.624,6.691,6.691,0.0,8,0.053,3.395,0.92,9.853,17.017,7.667,7.667,0.827,5.286,10.707,12.071,15.653,13.848,1.89,18.011,0.0,1.912
