pXC50,ATSC3i,IC5,TIC5,ATSC4i,TIC4,ATSC4m,CATS2D_08_LL,ATS2e,ATS4e,ATSC2p,ATS3e,ATS2i,ATS2v,SpMin4_Bh.e.,SpMin8_Bh.p.,SpMin4_Bh.v.,SpMin4_Bh.i.,ATS3v,TIC3,ATSC5i,ATSC2i,SpMin3_Bh.p.,ATS8v,X2v,ATSC4p,ATS1i,ATS1v,X1Kup,BLTA96,BLTD48,BLTF96,MLOGP,MLOGP2,IC4,X1v,CATS2D_09_LL,X1MulPer,ATS1e,ATSC1i,ATS3p,SpMax6_Bh.m.,X1Per,CATS2D_07_LL,ATS5e,Chi1_EA.bo.,Psi_i_1,ATS5i,SpMin4_Bh.p.,ATS2p,Sv,ATSC8i,ATS4i,SpMin2_Bh.v.,SpMax8_Bh.i.,ATSC3v,ATSC2m,ATS1p,SpMin4_Bh.s.,Si,ATSC4v,nBT,SpMin3_Bh.v.,SpMax6_Bh.e.,SpMax7_Bh.i.,H.046
7.032,1.27,5.164,232.379,1.325,232.379,27.389,7,4.464,4.789,7.532,4.732,4.619,3.883,1.407,1.012,1.622,1.347,4.015,232.379,1.285,0.992,1.851,3.341,7.042,10.532,4.004,3.49,8.58,-5.05,-4.95,-4.64,3.82,14.596,5.164,9.001,5,8.305,3.903,0.572,4.096,3.076,6.818,9,4.801,10.824,15.291,5.042,1.589,3.94,29.547,0.695,4.982,1.99,2.921,12.594,17.44,3.529,0.915,50.013,13.398,48,1.858,3.153,2.997,5
7.077,1.674,5.012,240.568,1.837,240.568,29.381,6,4.575,4.915,8.397,4.797,4.726,3.943,1.408,1.106,1.624,1.349,4.079,236.568,1.57,1.779,1.856,3.387,7.17,11.683,4.083,3.545,9.102,-5.37,-5.25,-4.91,4.141,17.15,5.012,9.251,5,8.912,3.983,0.86,4.117,3.07,7.278,9,4.89,12.356,16.55,5.14,1.598,3.955,31.396,0.865,5.111,2.014,2.965,12.531,18.985,3.55,0.916,54.503,13.383,51,1.86,3.216,3.094,5
6.42,1.303,5.031,226.379,1.352,224.379,25.774,9,4.427,4.762,7.477,4.711,4.594,3.868,1.434,1.062,1.634,1.381,4.002,216.869,1.326,0.986,1.857,3.291,6.529,10.49,3.997,3.482,8.548,-5.27,-5.16,-4.83,4.045,16.359,4.986,8.588,6,8.292,3.883,0.564,4.102,2.96,6.858,12,4.771,10.233,14.926,5.032,1.599,3.944,29.004,0.726,4.973,2.007,2.925,13.533,17.235,3.536,0.941,49.86,14.307,48,1.869,3.154,2.982,5
6.461,0.947,4.607,142.825,0.961,142.825,20.166,0,4.112,4.446,5.264,4.425,4.277,3.542,1.02,0.651,1.272,0.964,3.687,142.825,0.849,0.721,1.675,1.447,5.252,7.606,3.641,3.125,5.944,-4.23,-4.17,-3.94,2.996,8.977,4.607,6.331,0,5.733,3.534,0.409,3.788,2.795,4.704,2,4.394,7.617,10.656,4.624,1.221,3.611,20.251,0.069,4.665,1.835,2.512,9.53,12.22,3.174,0.499,34.558,10.252,33,1.711,2.925,2.711,5
7.848,1.303,5.031,226.379,1.352,224.379,25.774,9,4.427,4.762,7.477,4.711,4.594,3.868,1.434,1.062,1.634,1.381,4.002,216.869,1.326,0.986,1.857,3.291,6.529,10.49,3.997,3.482,8.548,-5.27,-5.16,-4.83,4.045,16.359,4.986,8.588,6,8.292,3.883,0.564,4.102,2.96,6.858,12,4.771,10.233,14.926,5.032,1.599,3.944,29.004,0.726,4.973,2.007,2.925,13.533,17.235,3.536,0.941,49.86,14.307,48,1.869,3.154,2.982,5
6.893,1.218,4.851,198.905,1.27,198.905,23.846,6,4.356,4.698,6.901,4.641,4.522,3.802,1.401,1.012,1.612,1.339,3.952,193.395,1.284,0.921,1.796,3.061,6.106,9.723,3.913,3.401,7.888,-4.91,-4.81,-4.52,3.678,13.531,4.851,7.927,6,7.654,3.8,0.521,4.044,2.871,6.309,6,4.74,9.523,13.93,4.996,1.575,3.873,26.477,0.611,4.896,1.99,2.845,12.425,15.946,3.452,0.879,45.445,13.158,44,1.811,2.989,2.925,5
6.136,1.22,4.722,203.065,1.262,203.065,26.477,2,4.427,4.752,7.239,4.69,4.607,3.743,1.412,1.07,1.624,1.352,3.904,203.065,1.203,0.973,1.8,3.031,6.194,9.685,3.953,3.356,7.732,-4.04,-3.99,-3.78,2.812,7.909,4.722,7.815,0,7.433,3.841,0.579,3.965,2.919,6.158,3,4.751,9.739,13.229,4.98,1.59,3.793,26.434,0.594,4.948,1.896,2.912,12.094,18.364,3.391,0.931,48.279,12.99,45,1.823,3.089,3.009,5
6.896,2.044,4.961,287.724,2.252,287.724,49.706,3,4.778,5.385,10.816,5.176,4.981,4.081,1.614,1.239,1.804,1.558,4.315,287.724,2.032,1.467,1.878,3.683,9.963,18.274,4.261,3.6,10.149,-4.17,-4.11,-3.89,2.94,8.646,4.961,10.219,3,9.715,4.123,0.829,4.444,3.08,8.035,12,5.321,13.036,17.822,5.591,1.773,4.169,33.374,1.426,5.663,1.97,3.058,22.187,27.581,3.665,1.146,65.643,26.958,61,1.895,3.203,3.215,12
7.854,1.106,4.682,173.24,1.149,173.24,22.762,3,4.272,4.604,6.482,4.54,4.469,3.619,1.356,0.87,1.587,1.283,3.782,173.24,1.121,0.871,1.656,2.458,5.213,8.858,3.807,3.219,6.787,-4.21,-4.15,-3.92,2.978,8.866,4.682,6.827,1,6.54,3.681,0.503,3.88,2.83,5.416,3,4.649,7.879,11.445,4.926,1.546,3.702,22.477,0.385,4.813,1.912,2.688,11.63,15.918,3.28,0.821,41.445,12.446,39,1.692,2.936,2.843,10
5.979,1.334,5.012,235.556,1.407,235.556,27.999,8,4.495,4.845,7.824,4.757,4.653,3.905,1.417,1.072,1.628,1.362,4.049,235.556,1.332,1.042,1.867,3.383,6.943,10.77,4.044,3.516,8.869,-4.98,-4.88,-4.58,3.749,14.055,5.012,8.95,5,8.578,3.943,0.606,4.108,3.0,7.093,10,4.819,11.116,15.694,5.055,1.6,3.95,30.434,0.742,5.034,2.004,2.925,12.732,18.018,3.546,0.933,52.279,13.648,50,1.872,3.184,3.109,8
5.275,1.044,4.631,157.464,1.081,157.464,21.381,0,4.19,4.554,5.895,4.479,4.379,3.565,1.167,0.832,1.414,1.098,3.725,157.464,0.983,0.806,1.687,1.84,5.171,8.717,3.728,3.156,6.225,-3.96,-3.91,-3.71,2.728,7.443,4.631,6.264,0,5.977,3.606,0.462,3.829,2.722,4.961,2,4.484,7.621,10.822,4.738,1.378,3.64,20.951,0.231,4.792,1.874,2.639,10.747,14.409,3.211,0.619,38.029,12.337,36,1.724,2.898,2.838,7
7.842,0.946,4.607,142.825,0.945,142.825,19.834,0,4.112,4.441,5.264,4.425,4.277,3.542,1.113,0.731,1.366,1.037,3.691,142.825,0.863,0.721,1.657,1.495,5.248,7.827,3.641,3.125,5.944,-4.23,-4.17,-3.94,2.996,8.977,4.607,6.331,0,5.733,3.534,0.409,3.793,2.803,4.703,2,4.399,7.621,10.656,4.637,1.316,3.611,20.251,0.095,4.655,1.838,2.591,9.52,12.22,3.174,0.616,34.558,10.546,33,1.694,2.8,2.684,4
6.903,1.372,5.134,256.683,1.452,256.683,28.367,6,4.564,4.905,8.059,4.798,4.706,3.958,1.417,1.152,1.628,1.363,4.113,253.928,1.411,1.087,1.867,3.47,7.145,10.913,4.106,3.578,9.38,-4.64,-4.56,-4.29,3.41,11.63,5.134,9.516,3,9.115,4.017,0.646,4.142,3.142,7.52,9,4.889,12.293,16.831,5.102,1.62,3.978,32.863,0.761,5.064,1.989,3.012,12.315,18.567,3.585,0.932,55.697,12.569,53,1.871,3.268,3.169,5
6.58,1.442,4.851,198.905,1.53,198.905,32.291,0,4.464,4.943,8.039,4.837,4.648,3.825,1.415,0.997,1.637,1.352,4.024,198.905,1.449,1.058,1.754,2.67,6.907,12.342,3.925,3.341,7.803,-3.43,-3.41,-3.26,2.203,4.853,4.851,7.856,0,7.593,3.805,0.576,4.128,2.818,6.152,4,4.944,9.926,13.991,5.24,1.6,3.902,24.719,0.455,5.17,1.906,2.844,15.404,19.163,3.394,1.017,46.069,17.272,44,1.773,3.002,2.942,10
4.0,1.398,4.851,198.905,1.484,198.905,31.484,0,4.449,4.919,8.178,4.81,4.63,3.83,1.403,0.968,1.627,1.336,4.027,198.905,1.43,1.037,1.752,2.625,6.836,12.225,3.924,3.346,7.777,-3.43,-3.41,-3.26,2.203,4.853,4.851,7.824,0,7.566,3.808,0.568,4.127,2.777,6.129,2,4.933,9.713,13.965,5.216,1.588,3.909,24.719,0.477,5.133,1.897,2.789,15.348,18.804,3.399,1.014,46.069,16.838,44,1.772,2.971,2.954,12
7.237,2.781,5.59,447.225,3.355,443.225,68.038,24,5.088,5.763,16.543,5.514,5.308,4.337,1.687,1.495,1.882,1.63,4.611,409.741,3.501,1.942,1.901,4.364,12.819,28.742,4.557,3.852,13.694,-7.43,-7.21,-6.66,6.204,38.489,5.54,13.725,16,13.091,4.406,1.091,4.787,3.264,10.971,31,5.854,16.042,22.464,6.163,1.851,4.477,43.379,2.714,6.049,2.026,3.31,34.034,38.009,3.955,1.268,90.673,41.556,83,1.926,3.422,3.414,45
6.0,2.985,5.655,469.354,3.66,465.354,73.783,34,5.126,5.827,17.283,5.564,5.334,4.421,1.753,1.529,1.932,1.699,4.693,422.36,3.873,2.046,1.956,4.553,13.7,31.313,4.598,3.933,14.549,-7.82,-7.58,-6.99,6.588,43.397,5.607,14.581,21,13.966,4.454,1.131,4.863,3.28,11.621,43,5.923,17.409,24.673,6.228,1.905,4.551,46.379,3.199,6.109,2.029,3.323,36.238,39.594,4.029,1.274,93.673,45.121,87,1.974,3.435,3.463,38
5.854,0.842,4.556,132.127,0.875,132.127,16.165,0,4.002,4.318,4.676,4.26,4.163,3.452,1.214,0.714,1.471,1.137,3.587,130.127,0.803,0.654,1.551,1.359,4.25,6.294,3.577,3.064,5.529,-3.89,-3.84,-3.65,2.658,7.063,4.556,5.566,0,5.356,3.467,0.38,3.659,2.538,4.433,1,4.288,6.826,9.811,4.551,1.426,3.508,18.897,0.15,4.517,1.848,2.548,7.996,10.792,3.104,0.583,32.199,8.38,31,1.583,2.738,2.642,5
5.041,0.979,4.672,144.825,1.032,144.825,22.726,0,4.113,4.526,5.259,4.458,4.274,3.548,1.033,0.656,1.274,0.971,3.707,144.825,0.861,0.724,1.665,1.447,5.352,8.408,3.641,3.125,5.919,-4.23,-4.17,-3.94,2.996,8.977,4.672,6.305,0,5.71,3.534,0.409,3.814,2.795,4.696,2,4.414,7.715,10.715,4.66,1.229,3.617,20.251,0.069,4.767,1.833,2.518,9.936,12.076,3.174,0.497,34.558,11.451,33,1.694,2.924,2.697,5
8.076,2.869,5.613,465.844,3.504,461.844,71.365,24,5.124,5.802,16.846,5.537,5.35,4.366,1.692,1.529,1.887,1.634,4.653,428.36,3.72,2.01,1.909,4.445,13.195,29.995,4.592,3.88,14.075,-7.63,-7.4,-6.83,6.397,40.918,5.564,14.119,16,13.41,4.441,1.131,4.823,3.276,11.255,31,5.91,16.509,23.08,6.215,1.856,4.503,44.906,2.927,6.08,2.027,3.375,35.078,39.438,3.984,1.273,94.088,43.293,86,1.931,3.437,3.415,45
8.071,1.022,4.631,157.464,1.098,157.464,22.798,1,4.2,4.584,5.914,4.493,4.377,3.611,1.268,0.779,1.53,1.188,3.79,157.464,1.068,0.789,1.658,1.867,5.641,8.706,3.727,3.19,6.366,-4.48,-4.4,-4.15,3.246,10.534,4.631,6.754,0,6.089,3.615,0.45,3.884,2.82,5.017,2,4.613,7.971,11.308,4.869,1.481,3.684,21.778,0.173,4.785,1.86,2.665,10.507,14.179,3.245,0.758,37.973,11.649,36,1.695,2.837,2.835,7
7.801,1.124,4.662,172.485,1.233,172.485,24.654,1,4.272,4.683,6.487,4.544,4.469,3.633,1.286,0.97,1.543,1.207,3.82,172.485,1.186,0.872,1.687,2.109,5.564,9.607,3.807,3.219,6.648,-4.21,-4.15,-3.92,2.978,8.866,4.662,6.687,0,6.333,3.681,0.503,3.917,2.73,5.275,3,4.683,7.971,11.474,4.95,1.496,3.711,22.477,0.309,4.907,1.894,2.827,11.733,15.918,3.28,0.774,41.445,13.571,39,1.725,2.928,2.869,10
8.022,2.79,5.556,444.47,3.423,440.47,69.773,22,5.09,5.776,16.275,5.504,5.315,4.339,1.682,1.484,1.874,1.625,4.631,406.986,3.616,1.947,1.909,4.29,12.815,29.272,4.557,3.848,13.575,-7.43,-7.21,-6.66,6.204,38.489,5.506,13.619,14,12.921,4.406,1.092,4.798,3.272,10.832,25,5.886,15.971,22.413,6.194,1.845,4.473,43.379,2.537,6.053,2.027,3.33,34.046,38.157,3.951,1.267,90.673,42.263,83,1.931,3.434,3.38,43
7.807,1.024,4.631,157.464,1.113,157.464,23.148,1,4.2,4.589,5.914,4.494,4.377,3.611,1.251,0.781,1.521,1.168,3.786,157.464,1.07,0.789,1.675,1.835,5.65,8.478,3.727,3.19,6.366,-4.48,-4.4,-4.15,3.246,10.534,4.631,6.754,0,6.089,3.615,0.45,3.879,2.807,5.019,2,4.613,7.971,11.308,4.847,1.471,3.684,21.778,0.148,4.795,1.856,2.616,10.511,14.179,3.245,0.735,37.973,11.371,36,1.711,2.955,2.787,8
6.69,0.963,4.607,142.825,0.944,142.825,19.854,0,4.113,4.441,5.268,4.431,4.276,3.537,1.194,0.742,1.44,1.137,3.687,142.825,0.85,0.723,1.608,1.591,5.235,7.825,3.641,3.125,5.953,-4.23,-4.17,-3.94,2.996,8.977,4.607,6.338,0,5.743,3.534,0.409,3.784,2.787,4.708,3,4.407,7.615,10.652,4.624,1.417,3.604,20.251,0.053,4.655,1.86,2.556,9.237,12.178,3.174,0.587,34.558,10.549,33,1.646,2.787,2.697,2
5.569,1.0,4.672,144.825,1.02,144.825,20.49,0,4.103,4.499,5.304,4.443,4.275,3.499,1.251,0.773,1.499,1.173,3.657,142.825,0.873,0.741,1.568,1.377,4.649,7.749,3.643,3.088,5.816,-3.7,-3.67,-3.49,2.472,6.111,4.672,5.855,0,5.655,3.524,0.421,3.756,2.551,4.667,1,4.395,7.27,10.235,4.671,1.46,3.57,19.424,0.147,4.731,1.875,2.598,10.165,12.794,3.137,0.606,34.614,10.78,33,1.601,2.753,2.7,5
6.0,2.949,5.648,474.425,3.647,470.425,73.395,34,5.128,5.807,17.064,5.54,5.338,4.432,1.755,1.533,1.931,1.702,4.708,436.187,3.926,2.049,1.953,4.62,13.679,31.083,4.608,3.949,14.659,-7.92,-7.67,-7.07,6.687,44.719,5.6,14.703,21,14.016,4.465,1.139,4.867,3.285,11.698,43,5.914,17.538,24.895,6.211,1.908,4.556,47.379,3.409,6.077,2.029,3.376,35.725,39.57,4.043,1.265,94.673,44.648,88,1.97,3.441,3.443,38
6.338,0.876,4.593,128.606,0.831,128.606,17.906,0,4.016,4.32,4.583,4.353,4.166,3.468,1.032,0.488,1.264,0.969,3.592,128.606,0.673,0.652,1.561,1.397,4.795,6.882,3.547,3.056,5.508,-3.97,-3.92,-3.72,2.74,7.508,4.593,5.895,0,5.365,3.446,0.368,3.695,2.785,4.374,2,4.184,7.221,10.019,4.428,1.228,3.532,18.725,0.045,4.542,1.829,2.231,8.556,10.047,3.097,0.475,31.143,9.133,30,1.592,2.666,2.687,2
5.275,0.947,4.607,142.825,0.961,142.825,20.166,0,4.112,4.446,5.264,4.425,4.277,3.542,1.02,0.651,1.272,0.964,3.687,142.825,0.849,0.721,1.675,1.447,5.252,7.606,3.641,3.125,5.944,-4.23,-4.17,-3.94,2.996,8.977,4.607,6.331,0,5.733,3.534,0.409,3.788,2.795,4.704,2,4.394,7.617,10.656,4.624,1.221,3.611,20.251,0.069,4.665,1.835,2.512,9.53,12.22,3.174,0.499,34.558,10.252,33,1.711,2.925,2.711,5
6.506,1.075,4.69,159.464,1.136,159.464,23.153,1,4.191,4.616,5.911,4.51,4.375,3.571,1.278,0.812,1.516,1.204,3.743,159.464,0.967,0.808,1.599,2.057,5.152,8.829,3.728,3.156,6.227,-3.96,-3.91,-3.71,2.728,7.443,4.69,6.265,0,5.991,3.606,0.462,3.845,2.724,4.975,3,4.495,7.681,10.879,4.766,1.481,3.646,20.951,0.266,4.857,1.899,2.623,11.127,14.395,3.211,0.636,38.029,12.452,36,1.632,2.878,2.781,8
8.367,2.599,5.446,402.97,3.147,398.97,64.6,19,5.018,5.703,15.103,5.432,5.24,4.274,1.675,1.451,1.867,1.617,4.557,367.486,3.185,1.816,1.909,4.119,12.103,26.916,4.482,3.781,12.61,-7.04,-6.84,-6.33,5.81,33.759,5.391,12.654,12,12.015,4.333,1.015,4.725,3.229,10.04,21,5.784,15.022,21.051,6.101,1.837,4.406,40.326,2.035,5.984,2.026,3.266,31.63,35.545,3.881,1.263,83.842,38.914,77,1.931,3.402,3.377,39
6.851,0.977,4.672,144.825,1.006,144.825,21.8,1,4.113,4.509,5.259,4.458,4.274,3.548,1.249,0.756,1.496,1.173,3.71,144.825,0.852,0.724,1.562,1.801,5.23,8.035,3.641,3.125,5.946,-4.23,-4.17,-3.94,2.996,8.977,4.672,6.332,0,5.748,3.534,0.409,3.809,2.788,4.717,2,4.411,7.681,10.713,4.669,1.456,3.617,20.251,0.127,4.729,1.862,2.597,9.967,12.076,3.174,0.604,34.558,10.609,33,1.594,2.758,2.698,5
8.796,2.65,5.5,406.97,3.22,396.97,65.643,20,5.017,5.731,15.349,5.455,5.234,4.281,1.675,1.435,1.857,1.62,4.565,354.996,3.257,1.821,1.899,4.095,12.294,27.676,4.483,3.785,12.63,-7.04,-6.84,-6.33,5.81,33.759,5.364,12.662,13,12.043,4.333,1.013,4.74,3.238,10.084,23,5.801,15.198,21.17,6.117,1.832,4.415,40.326,2.001,6.021,2.026,3.264,32.352,35.559,3.886,1.241,83.842,40.035,77,1.924,3.405,3.319,39
7.699,2.979,5.641,479.514,3.664,471.514,75.137,24,5.158,5.869,17.316,5.584,5.387,4.383,1.701,1.561,1.895,1.642,4.679,422.23,3.869,2.07,1.916,4.46,13.631,31.496,4.616,3.891,14.342,-7.73,-7.5,-6.92,6.504,42.305,5.547,14.387,16,13.672,4.463,1.159,4.855,3.276,11.462,31,5.977,16.852,23.481,6.29,1.862,4.524,45.433,2.951,6.155,2.028,3.378,36.499,40.784,3.998,1.289,96.503,45.502,88,1.938,3.437,3.434,45
8.244,2.901,5.586,458.035,3.583,454.035,73.568,22,5.125,5.846,16.749,5.552,5.353,4.356,1.689,1.504,1.881,1.631,4.657,406.551,3.758,2.007,1.915,4.307,13.251,30.778,4.582,3.859,13.842,-7.54,-7.32,-6.75,6.311,39.834,5.537,13.887,14,13.184,4.429,1.121,4.831,3.273,11.039,25,5.955,16.314,22.814,6.27,1.85,4.495,43.906,2.561,6.13,2.028,3.347,35.484,39.517,3.965,1.279,93.088,44.482,85,1.938,3.435,3.38,43
7.377,2.933,5.646,468.599,3.627,458.599,74.398,24,5.126,5.849,16.774,5.558,5.349,4.368,1.689,1.526,1.88,1.631,4.666,407.38,3.807,2.022,1.921,4.328,13.39,30.901,4.592,3.88,13.994,-7.63,-7.4,-6.83,6.397,40.918,5.525,14.034,18,13.353,4.441,1.131,4.837,3.321,11.17,28,5.948,16.664,23.205,6.257,1.848,4.504,44.906,2.546,6.134,2.029,3.323,35.57,39.673,3.984,1.276,94.088,44.723,86,1.943,3.504,3.463,41
8.699,2.741,5.523,425.258,3.385,415.258,69.328,20,5.056,5.78,15.653,5.48,5.279,4.312,1.68,1.445,1.866,1.624,4.611,373.284,3.471,1.889,1.907,4.172,12.698,29.076,4.52,3.815,13.008,-7.24,-7.03,-6.5,6.009,36.102,5.393,13.053,13,12.355,4.37,1.053,4.78,3.256,10.365,23,5.859,15.663,21.793,6.172,1.839,4.444,41.853,2.139,6.064,2.027,3.264,33.44,37.0,3.916,1.249,87.257,41.985,80,1.93,3.423,3.367,39
7.678,1.481,5.054,242.568,1.699,242.568,33.23,13,4.516,4.997,8.273,4.845,4.693,3.947,1.436,1.062,1.641,1.381,4.143,235.059,1.648,1.087,1.857,3.327,7.465,13.612,4.058,3.528,8.994,-5.7,-5.57,-5.19,4.473,20.008,5.054,9.039,11,8.672,3.941,0.607,4.253,3.033,7.188,15,4.987,11.025,15.855,5.261,1.604,4.027,30.531,0.691,5.228,1.993,2.925,16.165,19.416,3.586,0.944,53.275,18.784,51,1.863,3.135,3.16,7
5.0,1.405,4.926,211.82,1.61,211.82,33.538,0,4.436,4.988,7.561,4.784,4.628,3.781,1.367,1.043,1.619,1.301,4.021,209.82,1.511,1.04,1.696,2.859,6.611,12.794,3.967,3.337,7.51,-3.35,-3.34,-3.19,2.121,4.5,4.926,7.579,0,7.234,3.835,0.617,4.122,2.912,5.965,1,4.998,9.604,13.324,5.277,1.59,3.855,25.74,0.557,5.229,1.911,2.878,14.799,18.814,3.384,0.763,48.567,18.364,45,1.693,3.132,2.929,7
8.222,1.567,5.134,256.683,1.815,254.683,36.014,13,4.556,5.069,8.822,4.895,4.736,3.967,1.449,1.062,1.65,1.395,4.169,247.173,1.765,1.146,1.864,3.39,7.637,14.708,4.099,3.543,9.155,-5.7,-5.57,-5.19,4.473,20.008,5.094,9.2,11,8.829,3.977,0.649,4.287,3.058,7.321,15,5.071,11.158,16.07,5.353,1.614,4.054,31.058,0.822,5.308,2.011,2.925,17.43,20.813,3.607,0.962,55.69,20.566,53,1.872,3.194,3.227,7
5.0,1.721,4.926,270.955,1.953,270.955,41.674,4,4.681,5.193,9.226,5.001,4.898,3.947,1.442,1.399,1.654,1.381,4.196,268.955,1.91,1.307,1.848,3.468,7.711,15.699,4.196,3.523,9.473,-4.27,-4.21,-3.98,3.042,9.252,4.926,9.56,4,9.083,4.058,0.775,4.3,3.05,7.545,5,5.27,11.452,15.794,5.557,1.62,4.034,31.848,0.975,5.423,1.951,3.227,18.611,25.077,3.586,1.01,62.228,22.54,57,1.859,3.306,3.254,7
8.469,1.757,5.463,300.465,2.032,300.465,39.156,14,4.661,5.162,9.332,4.992,4.833,4.104,1.547,1.268,1.692,1.51,4.302,296.465,1.942,1.292,1.887,3.599,8.688,15.738,4.206,3.673,10.404,-5.34,-5.23,-4.88,4.111,16.899,5.463,10.465,13,10.056,4.088,0.731,4.405,3.174,8.316,14,5.149,12.803,18.669,5.425,1.67,4.176,35.079,0.946,5.396,2.117,3.16,18.358,22.16,3.725,0.986,61.188,21.872,59,1.894,3.33,3.227,7
7.229,1.372,5.019,215.82,1.608,215.82,32.308,3,4.454,4.961,7.673,4.77,4.627,3.846,1.411,1.051,1.607,1.36,4.04,215.82,1.602,1.026,1.625,3.038,6.826,12.8,3.968,3.4,7.949,-4.41,-4.34,-4.09,3.178,10.103,5.019,8.024,1,7.683,3.855,0.58,4.137,2.912,6.328,4,4.999,10.114,14.319,5.273,1.587,3.907,26.719,0.578,5.184,1.886,2.814,14.557,18.606,3.441,0.742,48.069,17.613,46,1.654,3.132,2.902,7
6.495,1.21,4.658,153.71,1.206,153.71,23.725,0,4.209,4.637,5.977,4.555,4.392,3.562,1.228,0.819,1.524,1.137,3.742,153.71,1.094,0.919,1.597,1.596,5.099,9.086,3.712,3.129,6.135,-4.32,-4.26,-4.02,3.093,9.566,4.658,6.206,0,5.986,3.593,0.533,3.835,2.641,4.894,0,4.605,7.907,10.951,4.895,1.49,3.624,20.334,0.258,4.868,1.86,2.636,11.176,14.371,3.167,0.674,37.369,12.311,35,1.631,2.781,2.777,4
5.638,0.992,4.522,126.606,0.909,126.606,15.108,0,4.015,4.266,4.993,4.32,4.167,3.448,0.997,0.52,1.202,0.961,3.554,126.606,0.817,0.769,1.569,1.043,4.307,6.229,3.56,3.043,5.489,-3.98,-3.93,-3.73,2.747,7.548,4.522,5.545,0,5.395,3.452,0.455,3.624,2.534,4.392,0,4.207,6.992,9.9,4.461,1.219,3.495,18.28,0.082,4.475,1.834,2.26,7.973,10.232,3.066,0.414,31.539,7.951,30,1.597,2.654,2.712,4
6.222,0.992,4.522,126.606,0.909,126.606,15.108,0,4.015,4.266,4.993,4.32,4.167,3.448,0.99,0.518,1.198,0.957,3.554,126.606,0.83,0.769,1.569,1.178,4.307,6.229,3.56,3.043,5.489,-3.98,-3.93,-3.73,2.747,7.548,4.522,5.545,0,5.395,3.452,0.455,3.624,2.631,4.392,0,4.214,6.992,9.9,4.466,1.22,3.495,18.28,0.18,4.475,1.834,2.25,7.973,10.232,3.066,0.411,31.539,7.951,30,1.599,2.693,2.694,4
7.959,1.153,4.684,168.608,1.234,168.608,25.79,0,4.274,4.727,6.511,4.595,4.474,3.609,1.266,0.836,1.552,1.182,3.799,166.608,1.107,0.876,1.62,2.059,5.458,10.078,3.785,3.178,6.472,-4.18,-4.12,-3.9,2.952,8.715,4.684,6.517,0,6.229,3.656,0.499,3.921,2.768,5.152,1,4.669,7.907,11.225,4.962,1.517,3.7,21.477,0.287,4.972,1.894,2.645,12.732,16.269,3.241,0.702,40.445,14.3,38,1.655,2.956,2.857,7
7.222,0.974,4.64,139.207,0.944,139.207,21.726,0,4.108,4.47,5.515,4.482,4.268,3.521,1.045,0.515,1.265,1.009,3.659,139.207,0.782,0.716,1.587,1.397,5.137,8.083,3.616,3.089,5.813,-4.19,-4.14,-3.91,2.964,8.785,4.64,6.193,0,5.673,3.504,0.405,3.788,2.771,4.614,1,4.346,7.45,10.437,4.611,1.278,3.61,19.251,0.04,4.71,1.836,2.249,10.743,12.282,3.141,0.589,33.558,10.945,32,1.624,2.704,2.704,4
5.444,0.961,4.607,142.825,1.068,142.825,22.055,0,4.107,4.55,5.487,4.445,4.261,3.576,1.241,0.697,1.507,1.176,3.758,142.825,0.955,0.704,1.525,1.397,5.44,8.551,3.643,3.133,5.888,-4.36,-4.3,-4.05,3.134,9.823,4.607,6.267,0,5.664,3.534,0.408,3.862,2.753,4.643,1,4.509,7.562,10.751,4.781,1.479,3.65,20.251,0.043,4.772,1.831,2.548,9.993,11.943,3.183,0.705,34.558,11.535,33,1.558,2.81,2.681,7
6.921,1.04,4.631,157.464,1.205,157.464,24.814,0,4.202,4.675,5.935,4.512,4.376,3.637,1.302,0.779,1.541,1.231,3.854,157.464,1.169,0.789,1.562,1.801,5.816,9.647,3.727,3.19,6.269,-4.61,-4.53,-4.27,3.384,11.449,4.631,6.661,0,5.983,3.615,0.45,3.951,2.883,4.928,1,4.706,8.029,11.366,4.975,1.513,3.71,21.778,0.123,4.882,1.847,2.679,11.015,14.196,3.245,0.714,37.973,12.932,36,1.597,2.814,2.8,7
5.0,1.778,5.157,263.029,2.193,263.029,44.036,3,4.626,5.272,10.303,5.017,4.812,4.021,1.437,1.219,1.661,1.369,4.289,259.029,2.246,1.242,1.789,3.281,8.564,18.532,4.126,3.528,9.216,-5.08,-4.98,-4.66,3.849,14.818,5.157,9.257,2,8.844,4.003,0.69,4.411,3.021,7.277,8,5.379,11.485,16.493,5.679,1.626,4.113,30.299,0.879,5.504,1.919,3.061,20.567,22.783,3.596,0.929,57.315,26.17,54,1.796,3.203,3.187,18
5.222,2.171,5.223,313.394,2.517,313.394,55.006,2,4.822,5.488,11.786,5.251,5.026,4.118,1.582,1.337,1.792,1.513,4.386,309.394,2.39,1.525,1.873,3.656,10.037,20.134,4.295,3.619,10.482,-4.26,-4.2,-3.97,3.031,9.185,5.223,10.548,2,10.065,4.153,0.857,4.523,3.097,8.313,10,5.528,13.356,18.323,5.829,1.757,4.219,33.901,1.355,5.757,1.957,3.179,24.778,29.046,3.691,1.09,68.059,29.961,63,1.892,3.248,3.239,18
