pXC50,nCsp3,H.,Mv,nCsp2,nBM,RBF,nAB,AMW,N.,Mp,nH,SCBO,nC,nN,nDB,RBN,Sp,C.,Me,Mi,MW,nAT,nB,nBO,nBR,nBT
4.192,11,45.5,0.643,13,11,0.102,5,7.701,1.8,0.684,25,42.5,24,1,6,6,37.608,43.6,1.002,1.113,423.57,55,0,34,0,59
4.097,4,39.1,0.658,15,17,0.213,12,8.4,4.3,0.658,18,40.0,19,2,5,10,30.284,41.3,1.034,1.126,386.39,46,0,29,0,47
4.097,4,35.1,0.702,9,14,0.103,11,11.712,10.8,0.738,13,34.5,13,4,3,4,27.296,35.1,1.041,1.124,433.34,37,0,26,1,39
4.536,12,53.3,0.588,6,6,0.0,6,6.409,0.0,0.633,24,27.0,18,0,0,0,28.5,40.0,0.991,1.125,288.42,45,0,24,0,48
4.666,3,36.4,0.703,11,13,0.143,11,9.71,6.1,0.742,12,30.5,14,2,2,5,24.477,42.4,1.023,1.107,320.42,33,0,23,0,35
4.656,0,38.5,0.708,13,14,0.074,12,10.621,3.8,0.755,10,25.0,13,1,2,2,19.62,50.0,1.003,1.101,276.14,26,0,17,1,27
4.097,10,44.9,0.624,16,22,0.123,22,7.56,10.1,0.644,31,53.0,26,7,0,9,44.449,37.7,1.014,1.138,521.64,69,0,42,0,73
4.097,8,45.3,0.623,12,14,0.107,11,7.481,11.3,0.646,24,40.5,20,6,3,6,34.25,37.7,1.01,1.139,396.5,53,0,32,0,56
4.097,2,38.2,0.672,13,17,0.083,15,8.333,8.8,0.682,13,32.5,15,3,2,3,23.188,44.1,1.021,1.124,283.31,34,0,23,0,36
4.097,7,47.7,0.623,12,12,0.043,12,7.077,2.3,0.659,21,32.0,19,1,0,2,28.983,43.2,0.998,1.12,311.41,44,0,26,0,47
4.097,7,36.4,0.676,12,13,0.149,6,8.736,4.5,0.671,16,41.0,19,2,7,7,29.523,43.2,1.038,1.122,384.37,44,0,31,0,47
4.097,2,29.7,0.728,13,22,0.15,20,10.526,13.5,0.741,11,41.0,15,5,2,6,27.426,40.5,1.044,1.119,389.45,37,0,29,0,40
4.097,3,38.1,0.71,18,19,0.022,17,8.965,4.8,0.764,16,40.5,21,2,2,1,32.091,50.0,0.997,1.094,376.53,42,0,30,0,46
4.097,5,43.2,0.638,13,11,0.133,6,7.85,2.3,0.65,19,34.0,18,1,5,6,28.585,40.9,1.023,1.125,345.38,44,0,26,0,45
4.097,2,33.3,0.686,13,16,0.216,11,9.23,5.6,0.667,12,35.5,15,2,5,8,24.0,41.7,1.053,1.126,332.29,36,0,25,0,37
4.32,2,33.3,0.683,11,15,0.086,11,9.13,15.2,0.671,11,33.5,13,5,4,3,22.131,39.4,1.045,1.139,301.29,33,0,24,0,35
4.231,2,36.8,0.655,11,18,0.15,16,8.693,21.1,0.65,14,36.0,13,8,2,6,24.693,34.2,1.038,1.154,330.35,38,0,26,0,40
4.097,2,32.4,0.67,9,15,0.143,11,9.45,20.6,0.642,11,33.5,11,7,4,5,21.835,32.4,1.062,1.158,321.29,34,0,24,0,35
4.379,3,41.5,0.668,15,18,0.116,16,8.279,7.3,0.705,17,36.0,18,3,2,5,28.904,43.9,1.005,1.116,339.45,41,0,26,0,43
4.097,2,31.4,0.737,13,17,0.139,12,12.363,2.9,0.763,11,36.0,15,1,5,5,26.705,42.9,1.048,1.107,432.69,35,0,25,1,36
4.097,3,34.9,0.684,14,17,0.227,11,9.428,7.0,0.684,15,40.5,17,3,6,10,29.415,39.5,1.046,1.125,405.42,43,0,29,0,44
4.272,3,44.2,0.638,15,17,0.156,16,7.567,7.0,0.662,19,35.0,18,3,1,7,28.472,41.9,1.008,1.127,325.4,43,0,26,0,45
4.097,4,41.5,0.647,13,11,0.143,6,8.082,2.4,0.654,17,33.0,17,1,5,6,26.824,41.5,1.028,1.124,331.35,41,0,25,0,42
4.097,4,40.9,0.657,13,18,0.152,17,8.42,13.6,0.685,18,37.5,17,6,1,7,30.159,38.6,1.015,1.132,370.48,44,0,28,0,46
4.097,2,34.6,0.708,8,12,0.111,11,10.337,15.4,0.741,9,24.5,10,4,1,3,19.267,38.5,1.03,1.127,268.75,26,0,18,0,27
4.097,4,46.8,0.627,16,15,0.188,12,7.201,4.3,0.659,22,35.0,20,2,3,9,30.989,42.6,1.0,1.123,338.44,47,0,26,0,48
4.308,4,40.0,0.685,13,14,0.071,12,10.158,7.5,0.731,16,34.0,17,3,2,3,29.256,42.5,1.011,1.115,406.33,40,0,26,1,42
4.097,7,41.9,0.655,9,13,0.133,10,8.928,7.0,0.684,18,35.0,16,3,3,6,29.432,37.2,1.025,1.128,383.89,43,0,27,0,45
4.097,6,45.7,0.652,7,7,0.083,6,9.122,5.7,0.712,16,24.0,13,2,1,3,24.921,37.1,1.009,1.124,319.28,35,0,20,0,36
4.097,2,37.8,0.692,15,18,0.1,17,8.714,10.8,0.728,14,35.5,17,4,1,4,26.932,45.9,1.006,1.113,322.42,37,0,26,0,40
4.097,3,30.0,0.704,9,9,0.129,6,10.656,10.0,0.68,9,28.0,12,3,3,4,20.404,40.0,1.075,1.165,319.69,30,0,22,0,31
4.202,3,41.5,0.649,14,17,0.14,15,7.985,7.3,0.663,17,35.5,17,3,2,6,27.165,41.5,1.02,1.128,327.37,41,0,26,0,43
4.097,4,38.3,0.677,16,19,0.14,17,8.734,8.5,0.698,18,42.5,20,4,2,7,32.818,42.6,1.021,1.12,410.49,47,0,32,0,50
4.097,2,37.0,0.701,19,22,0.082,17,9.251,4.3,0.736,17,45.5,21,2,5,4,33.835,45.7,1.017,1.104,425.54,46,0,32,0,49
4.097,6,52.6,0.592,9,11,0.154,11,6.431,5.3,0.64,20,24.5,15,2,0,6,24.319,39.5,0.986,1.13,244.37,38,0,19,0,39
4.097,2,42.9,0.641,8,8,0.143,6,8.632,10.7,0.664,12,21.0,10,3,2,4,18.591,35.7,1.025,1.14,241.7,28,0,16,0,28
4.381,0,33.3,0.713,15,21,0.03,21,8.743,13.3,0.725,10,33.5,15,4,0,1,21.762,50.0,1.013,1.115,262.29,30,0,23,0,33
4.097,6,45.7,0.646,14,17,0.082,16,7.642,6.5,0.695,21,37.0,20,3,1,4,31.972,43.5,0.993,1.117,351.51,46,0,28,0,49
4.097,4,41.5,0.668,14,14,0.023,12,8.279,7.3,0.705,17,35.0,18,3,2,1,28.904,43.9,1.005,1.116,339.45,41,0,27,0,44
4.097,5,42.5,0.659,12,16,0.023,15,8.186,7.5,0.698,17,34.5,17,3,1,1,27.904,42.5,1.006,1.119,327.44,40,0,26,0,43
4.097,2,48.4,0.627,12,12,0.094,12,6.881,3.2,0.671,15,23.0,14,1,0,3,20.79,45.2,0.988,1.117,213.3,31,0,17,0,32
4.097,3,34.4,0.671,9,13,0.152,10,9.164,9.4,0.65,11,30.0,12,3,3,5,20.79,37.5,1.056,1.138,293.26,32,0,22,0,33
4.097,11,46.6,0.638,13,14,0.048,11,7.476,5.2,0.685,27,44.5,25,3,2,3,39.711,43.1,0.994,1.118,433.62,58,0,35,0,62
4.097,5,40.6,0.627,5,9,0.091,5,8.353,15.6,0.622,13,26.5,10,5,4,3,19.892,31.3,1.042,1.156,267.28,32,0,20,0,33
4.097,9,51.3,0.615,7,10,0.0,10,6.986,5.1,0.68,20,27.0,16,2,0,0,26.512,41.0,0.98,1.119,272.45,39,0,22,0,42
4.097,4,44.2,0.652,15,17,0.089,17,7.973,4.7,0.689,19,34.5,19,2,0,4,29.631,44.2,1.003,1.119,342.85,43,0,26,0,45
4.097,2,28.1,0.719,9,15,0.152,11,11.193,21.9,0.708,9,33.5,11,7,4,5,22.642,34.4,1.066,1.151,358.17,32,0,24,0,33
4.097,5,46.2,0.652,12,12,0.098,12,8.238,5.1,0.707,18,29.0,17,2,0,4,27.58,43.6,0.995,1.118,321.27,39,0,23,0,41
4.516,4,40.0,0.68,13,14,0.071,12,9.047,7.5,0.719,16,34.0,17,3,2,3,28.762,42.5,1.014,1.117,361.88,40,0,26,0,42
4.097,7,46.2,0.638,19,21,0.103,18,7.858,6.2,0.686,30,50.0,26,4,3,7,44.58,40.0,1.0,1.121,510.74,65,0,38,0,68
4.097,1,36.4,0.707,18,21,0.13,17,9.863,6.8,0.747,16,42.5,19,3,4,6,32.864,43.2,1.022,1.109,433.97,44,0,30,0,46
4.301,2,37.5,0.693,17,16,0.071,12,8.87,5.0,0.714,15,37.0,19,2,4,3,28.563,47.5,1.017,1.112,354.81,40,0,27,0,42
4.312,1,35.1,0.707,17,16,0.077,12,9.21,5.4,0.724,13,36.0,18,2,4,3,26.801,48.6,1.022,1.11,340.78,37,0,26,0,39
4.097,0,27.6,0.747,13,15,0.1,12,11.28,6.9,0.745,8,31.0,13,2,3,3,21.591,44.8,1.058,1.117,327.13,29,0,22,0,30
4.17,4,38.9,0.666,12,12,0.0,12,8.397,0.0,0.668,14,31.0,16,0,0,0,24.057,44.4,1.032,1.116,302.3,36,0,25,0,39
4.097,5,42.9,0.675,14,14,0.089,11,8.441,4.8,0.735,18,35.5,19,2,3,4,30.853,45.2,0.994,1.104,354.53,42,0,27,0,45
4.097,3,51.4,0.607,12,12,0.111,12,6.467,5.7,0.66,18,24.0,15,2,0,4,23.103,42.9,0.979,1.123,226.35,35,0,18,0,36
4.097,4,41.9,0.665,15,19,0.065,16,8.243,4.7,0.7,18,39.0,19,2,3,3,30.114,44.2,1.008,1.113,354.46,43,0,28,0,46
4.305,9,43.1,0.661,21,21,0.1,15,7.887,3.1,0.698,28,55.5,30,2,6,7,45.375,46.2,1.001,1.11,512.67,65,0,42,0,70
4.376,6,39.3,0.678,22,19,0.141,12,9.286,1.6,0.7,24,53.0,28,1,7,9,42.676,45.9,1.02,1.111,566.43,61,0,40,1,64
4.524,7,41.4,0.662,18,14,0.167,6,9.145,1.7,0.684,24,47.0,25,1,8,10,39.676,43.1,1.021,1.117,530.4,58,0,36,1,60
4.264,5,40.0,0.662,9,14,0.095,11,9.212,10.0,0.693,16,34.5,14,4,3,4,27.705,35.0,1.029,1.129,368.48,40,0,26,0,42
4.097,5,41.9,0.675,14,17,0.087,16,8.649,7.0,0.723,18,37.0,19,3,1,4,31.068,44.2,1.002,1.114,371.92,43,0,28,0,46
4.097,8,47.5,0.622,7,8,0.071,6,7.636,7.5,0.667,19,28.0,15,3,2,3,26.665,37.5,1.003,1.129,305.44,40,0,23,0,42
4.097,3,48.6,0.619,12,12,0.139,12,6.952,2.9,0.657,17,25.0,15,1,0,5,23.006,42.9,0.995,1.121,243.33,35,0,19,0,36
4.097,4,38.8,0.665,14,18,0.18,12,9.284,8.2,0.681,19,43.0,18,4,6,9,33.347,36.7,1.038,1.131,454.93,49,0,31,0,50
4.097,4,41.2,0.663,10,12,0.056,10,8.54,5.9,0.694,14,29.0,14,2,2,2,23.591,41.2,1.017,1.119,290.37,34,0,22,0,36
4.097,3,42.9,0.652,19,22,0.135,22,7.662,6.1,0.678,21,42.0,22,3,0,7,33.233,44.9,1.005,1.12,375.46,49,0,31,0,52
4.097,1,34.3,0.723,16,18,0.026,16,9.154,5.7,0.754,12,37.0,18,2,1,1,26.375,51.4,1.01,1.097,320.39,35,0,26,0,38
4.097,3,40.9,0.655,16,18,0.13,18,8.077,6.8,0.668,18,37.0,19,3,0,6,29.409,43.2,1.02,1.131,355.4,44,0,28,0,46
4.097,0,27.3,0.803,11,15,0.042,15,14.255,9.1,0.871,6,25.5,11,2,0,1,19.154,50.0,1.022,1.089,313.61,22,0,18,1,24
4.097,1,33.3,0.728,14,14,0.063,11,11.072,3.3,0.751,10,30.5,15,1,3,2,22.529,50.0,1.024,1.101,332.16,30,0,22,1,32
4.097,1,37.8,0.685,17,19,0.077,17,8.279,5.4,0.701,14,35.5,18,2,2,3,25.943,48.6,1.013,1.111,306.34,37,0,25,0,39
4.097,5,39.1,0.664,15,17,0.146,12,8.313,4.3,0.67,18,41.0,20,2,5,7,30.83,43.5,1.027,1.121,382.4,46,0,30,0,48
4.097,7,44.4,0.628,14,16,0.143,12,7.639,7.4,0.646,24,42.0,21,4,4,8,34.909,38.9,1.016,1.133,412.49,54,0,32,0,56
4.097,2,45.2,0.647,18,18,0.136,18,7.271,2.4,0.685,19,34.0,20,1,0,6,28.767,47.6,0.993,1.111,305.4,42,0,25,0,44
4.097,3,36.4,0.694,12,13,0.086,11,9.253,3.0,0.713,12,30.5,15,1,2,3,23.523,45.5,1.03,1.117,305.35,33,0,23,0,35
4.439,0,23.8,0.806,9,9,0.045,5,15.105,9.5,0.861,5,23.5,9,2,4,1,18.091,42.9,1.048,1.092,317.2,21,0,17,1,22
4.097,4,42.3,0.668,5,8,0.077,6,8.358,11.5,0.72,11,22.0,11,3,0,2,18.71,42.3,0.997,1.118,217.32,26,0,15,0,26
4.676,2,37.8,0.687,17,20,0.149,17,9.322,2.2,0.714,17,41.5,19,1,3,7,32.119,42.2,1.029,1.109,419.51,45,0,30,0,47
4.097,5,42.3,0.657,19,21,0.091,18,7.74,3.8,0.682,22,45.0,24,2,3,5,35.443,46.2,1.007,1.115,402.48,52,0,33,0,55
4.097,8,47.4,0.632,16,15,0.083,12,7.397,5.3,0.679,27,42.0,24,3,3,5,38.711,42.1,0.994,1.12,421.61,57,0,33,0,60
4.097,7,43.8,0.647,11,10,0.14,6,8.491,6.3,0.687,21,36.0,18,3,4,7,32.983,37.5,1.015,1.123,407.56,48,0,29,0,50
4.097,0,35.0,0.705,19,20,0.119,17,9.195,7.5,0.72,14,39.5,19,3,3,5,28.807,47.5,1.023,1.114,367.81,40,0,28,0,42
4.097,3,40.8,0.669,19,22,0.135,22,8.365,6.1,0.696,20,43.0,22,3,0,7,34.091,44.9,1.011,1.118,409.9,49,0,32,0,52
4.097,6,50.0,0.606,12,12,0.111,12,6.873,0.0,0.641,22,29.0,18,0,0,5,28.193,40.9,1.001,1.123,302.4,44,0,23,0,45
4.097,6,41.7,0.659,14,22,0.058,20,8.261,8.3,0.69,20,44.0,20,4,2,3,33.125,41.7,1.011,1.122,396.51,48,0,32,0,52
4.097,1,29.6,0.769,12,16,0.138,15,11.474,3.7,0.819,8,29.5,13,1,1,4,22.114,48.1,1.028,1.087,309.81,27,0,21,0,29
4.87,11,47.8,0.629,8,8,0.06,6,7.446,4.3,0.678,22,33.0,19,2,2,3,31.182,41.3,0.995,1.119,342.5,46,0,28,0,50
4.252,4,34.2,0.688,9,16,0.125,11,10.091,13.2,0.701,13,37.5,13,5,5,5,26.642,34.2,1.048,1.133,383.45,38,0,27,0,40
4.432,13,50.9,0.6,7,8,0.052,6,7.065,7.3,0.649,28,35.0,20,4,2,3,35.716,36.4,0.995,1.133,388.59,55,0,30,0,58
4.097,8,48.7,0.62,5,7,0.049,6,7.936,12.8,0.683,19,26.0,13,5,1,2,26.654,33.3,0.996,1.134,309.51,39,0,22,0,41
4.622,2,40.0,0.683,12,16,0.122,12,10.115,5.0,0.744,16,35.0,14,2,4,5,29.75,35.0,1.025,1.111,404.6,40,0,25,0,41
4.097,5,38.5,0.687,9,14,0.098,11,11.061,10.3,0.733,15,34.5,14,4,3,4,28.602,35.9,1.028,1.123,431.37,39,0,26,1,41
4.097,3,33.3,0.718,8,12,0.103,11,10.399,14.8,0.751,9,26.5,11,4,1,3,20.267,40.7,1.029,1.123,280.76,27,0,20,0,29
4.097,2,42.9,0.653,14,15,0.139,12,7.695,2.9,0.677,15,30.0,16,1,3,5,23.699,45.7,1.008,1.115,269.32,35,0,21,0,36
4.097,2,43.2,0.653,15,17,0.103,17,7.577,5.4,0.682,16,31.5,17,2,0,4,25.25,45.9,1.001,1.117,280.35,37,0,23,0,39
4.521,7,40.0,0.671,22,19,0.147,12,9.176,1.5,0.691,26,55.0,29,1,7,10,44.892,44.6,1.022,1.114,596.46,65,0,42,1,68
4.097,5,43.2,0.65,13,17,0.152,15,8.124,6.8,0.685,19,36.5,18,3,2,7,30.12,40.9,1.01,1.122,357.47,44,0,27,0,46
4.097,4,44.4,0.633,9,13,0.135,11,8.233,5.6,0.661,16,28.5,13,2,2,5,23.807,36.1,1.022,1.129,296.38,36,0,21,0,37
4.097,1,40.0,0.663,10,13,0.038,11,8.089,8.0,0.679,10,23.5,11,2,2,1,16.966,44.0,1.016,1.123,202.23,25,0,16,0,26
4.177,4,38.9,0.666,12,12,0.0,12,8.397,0.0,0.668,14,31.0,16,0,0,0,24.057,44.4,1.032,1.116,302.3,36,0,25,0,39
4.097,8,58.6,0.556,1,1,0.069,0,6.46,3.4,0.628,17,13.0,9,1,1,2,18.199,31.0,0.985,1.136,187.34,29,0,12,0,29
4.097,2,40.0,0.679,19,22,0.125,22,8.442,6.7,0.708,18,41.0,21,3,0,6,31.875,46.7,1.008,1.115,379.87,45,0,30,0,48
4.815,2,38.3,0.704,20,20,0.08,18,10.941,8.5,0.75,18,43.0,22,4,2,4,35.273,46.8,1.006,1.111,514.24,47,0,32,2,50
4.364,7,52.1,0.593,12,12,0.163,12,6.572,2.1,0.636,25,30.0,19,1,0,8,30.506,39.6,0.993,1.127,315.45,48,0,24,0,49
4.097,5,44.4,0.641,13,14,0.174,11,8.01,4.4,0.674,20,34.5,18,2,3,8,30.33,40.0,1.012,1.122,360.47,45,0,26,0,46
4.299,4,42.9,0.629,11,13,0.114,11,7.866,14.3,0.642,18,33.5,15,6,2,5,26.966,35.7,1.021,1.145,330.39,42,0,26,0,44
4.097,8,47.3,0.617,12,16,0.123,12,7.61,7.3,0.652,26,41.0,20,4,4,7,35.864,36.4,1.009,1.133,418.57,55,0,31,0,57
4.097,5,41.1,0.665,18,21,0.119,18,8.697,7.1,0.696,23,48.0,23,4,3,7,38.96,41.1,1.017,1.122,487.02,56,0,36,0,59
4.097,1,33.3,0.699,16,23,0.111,21,9.392,19.0,0.712,14,43.5,17,8,2,5,29.887,40.5,1.028,1.133,394.46,42,0,31,0,45
4.097,2,42.1,0.652,13,15,0.128,11,8.432,5.3,0.679,16,32.5,15,2,4,5,25.807,39.5,1.02,1.123,320.4,38,0,23,0,39
4.097,7,49.2,0.628,19,19,0.097,16,7.079,3.4,0.685,29,44.0,26,2,3,6,40.392,44.1,0.984,1.114,417.64,59,0,33,0,62
4.097,6,47.1,0.65,7,7,0.057,6,8.92,5.9,0.72,16,23.0,13,2,1,2,24.466,38.2,1.0,1.121,303.28,34,0,19,0,35
4.097,1,27.6,0.731,11,12,0.065,5,10.493,13.8,0.725,8,32.5,12,4,7,2,21.011,41.4,1.054,1.123,304.31,29,0,23,0,31
4.097,12,50.8,0.609,14,14,0.103,12,6.949,4.6,0.661,33,43.0,26,3,2,7,42.995,40.0,0.989,1.124,451.69,65,0,35,0,68
4.097,9,45.0,0.633,13,15,0.095,12,8.251,6.7,0.666,27,45.0,22,4,3,6,39.938,36.7,1.017,1.131,495.05,60,0,36,0,63
4.097,5,46.8,0.627,15,17,0.122,16,7.201,4.3,0.659,22,36.0,20,2,1,6,30.989,42.6,1.0,1.123,338.44,47,0,27,0,49
4.097,0,31.4,0.737,18,24,0.079,22,9.525,8.6,0.761,11,40.0,18,3,2,3,26.619,51.4,1.016,1.1,333.39,35,0,27,0,38
4.097,6,51.4,0.605,7,7,0.056,6,7.154,5.7,0.663,18,22.0,13,2,1,2,23.205,37.1,0.991,1.127,250.4,35,0,18,0,36
4.385,3,48.0,0.616,7,7,0.038,6,7.05,8.0,0.651,12,18.0,10,2,1,1,16.273,40.0,0.998,1.131,176.24,25,0,14,0,26
4.357,2,40.6,0.657,10,9,0.061,6,8.73,9.4,0.682,13,26.0,12,3,3,2,21.835,37.5,1.024,1.129,279.35,32,0,20,0,33
4.097,3,29.5,0.719,19,20,0.085,17,9.781,0.0,0.696,13,45.5,22,0,3,4,30.631,50.0,1.058,1.127,430.35,44,0,34,0,47
4.097,4,41.5,0.661,15,14,0.068,12,7.887,2.4,0.681,17,35.0,19,1,2,3,27.915,46.3,1.012,1.114,323.37,41,0,27,0,44
4.175,1,36.8,0.668,14,18,0.125,16,8.588,15.8,0.67,14,36.0,15,6,2,5,25.443,39.5,1.03,1.139,326.35,38,0,26,0,40
4.097,10,52.6,0.597,6,6,0.024,6,6.431,0.0,0.645,20,24.0,16,0,0,1,24.523,42.1,0.987,1.12,244.36,38,0,21,0,41
4.41,4,38.2,0.683,9,12,0.111,11,9.513,8.8,0.72,13,29.5,13,3,1,4,24.483,38.2,1.025,1.119,323.43,34,0,23,0,36
4.097,4,41.5,0.663,14,15,0.047,12,7.79,7.3,0.689,17,36.0,19,3,2,2,28.256,46.3,1.004,1.118,319.39,41,0,26,0,43
4.097,1,32.1,0.729,13,16,0.032,16,9.739,7.1,0.744,9,30.0,14,2,0,1,20.824,50.0,1.026,1.108,272.7,28,0,22,0,31
4.217,10,47.5,0.613,13,15,0.131,12,7.263,3.4,0.638,28,42.0,23,2,3,8,37.637,39.0,1.011,1.13,428.53,59,0,33,0,61
4.097,6,43.2,0.648,12,13,0.087,11,8.215,2.3,0.677,19,34.5,18,1,2,4,29.779,40.9,1.017,1.118,361.45,44,0,27,0,46
4.097,1,37.9,0.715,13,13,0.065,11,9.428,3.4,0.778,11,27.5,14,1,2,2,22.563,48.3,1.0,1.09,273.4,29,0,20,0,31
4.097,7,48.7,0.601,7,11,0.125,10,7.112,7.7,0.627,19,27.0,14,3,1,5,24.472,35.9,1.009,1.14,277.36,39,0,21,0,40
4.097,6,50.0,0.594,6,10,0.086,10,6.921,8.8,0.625,17,23.0,12,3,0,3,21.256,35.3,1.004,1.142,235.32,34,0,18,0,35
4.333,4,40.0,0.68,13,14,0.071,12,9.047,7.5,0.719,16,34.0,17,3,2,3,28.762,42.5,1.014,1.117,361.88,40,0,26,0,42
4.097,4,33.3,0.704,14,23,0.188,20,9.9,11.1,0.72,15,46.0,18,5,3,9,32.403,40.0,1.038,1.121,445.52,45,0,33,0,48
4.327,10,46.9,0.62,8,9,0.098,6,7.704,6.1,0.655,23,34.0,18,3,3,5,32.097,36.7,1.011,1.131,377.51,49,0,28,0,51
4.356,1,40.6,0.648,11,16,0.088,15,7.979,21.9,0.666,13,29.5,12,7,1,3,21.324,37.5,1.011,1.148,255.32,32,0,21,0,34
4.097,5,45.7,0.648,8,8,0.056,6,9.78,8.6,0.709,16,25.0,13,3,2,2,24.801,37.1,1.004,1.125,342.29,35,0,20,1,36
4.097,1,34.0,0.707,23,24,0.173,18,9.298,4.0,0.714,17,50.0,24,2,6,9,35.687,48.0,1.031,1.11,464.88,50,0,35,0,52
4.097,2,37.0,0.702,19,23,0.143,21,9.208,6.5,0.739,17,44.5,21,3,2,7,34.006,45.7,1.014,1.106,423.55,46,0,32,0,49
4.097,4,32.6,0.702,16,18,0.13,12,9.171,4.7,0.692,14,44.0,20,2,6,6,29.761,46.5,1.042,1.115,394.36,43,0,32,0,46
4.097,4,44.4,0.644,14,14,0.152,12,9.029,6.7,0.68,20,34.0,18,3,2,7,30.586,40.0,1.01,1.127,406.31,45,0,26,1,46
4.656,3,37.8,0.682,13,14,0.077,12,8.957,8.1,0.705,14,33.0,16,3,2,3,26.08,43.2,1.023,1.126,331.4,37,0,25,0,39
4.097,2,38.0,0.671,20,22,0.135,16,8.429,6.0,0.677,19,47.0,22,3,6,7,33.835,44.0,1.027,1.121,421.44,50,0,33,0,52
4.097,7,44.4,0.64,9,14,0.085,11,8.456,8.9,0.684,20,35.5,16,4,3,4,30.773,35.6,1.014,1.129,380.54,45,0,27,0,47
4.097,1,28.6,0.739,14,22,0.105,22,10.664,22.9,0.751,10,39.0,15,8,0,4,26.284,42.9,1.035,1.134,373.23,35,0,28,0,38
4.5,2,41.0,0.667,15,15,0.15,12,8.457,7.7,0.695,16,33.0,17,3,3,6,27.114,43.6,1.012,1.122,329.81,39,0,24,0,40
4.219,1,34.4,0.686,13,15,0.152,11,9.039,3.1,0.673,11,31.5,14,1,4,5,21.54,43.8,1.046,1.12,289.26,32,0,22,0,33
4.996,1,40.6,0.684,14,14,0.059,12,8.356,9.4,0.733,13,29.0,15,3,2,2,23.472,46.9,0.994,1.109,267.38,32,0,21,0,34
4.097,13,52.0,0.594,7,7,0.019,6,6.609,0.0,0.634,26,31.0,20,0,1,1,31.716,40.0,0.996,1.125,330.46,50,0,27,0,53
4.097,7,42.6,0.655,15,15,0.088,12,8.103,5.6,0.687,23,44.0,23,3,2,5,37.097,42.6,1.01,1.119,437.56,54,0,34,0,57
4.097,1,34.2,0.703,16,23,0.073,21,9.379,10.5,0.719,13,40.5,17,4,2,3,27.324,44.7,1.028,1.125,356.41,38,0,28,0,41
4.097,2,40.6,0.686,13,16,0.059,16,9.912,6.3,0.731,13,29.0,15,2,0,2,23.387,46.9,1.002,1.111,317.2,32,0,21,1,34
4.097,4,50.0,0.617,10,11,0.0,11,6.635,6.3,0.667,16,23.5,14,2,0,0,21.341,43.8,0.981,1.122,212.32,32,0,18,0,34
4.097,5,46.2,0.641,12,12,0.098,12,7.816,5.1,0.684,18,29.0,17,2,0,4,26.659,43.6,1.0,1.129,304.82,39,0,23,0,41
4.097,6,42.9,0.642,14,16,0.121,12,8.607,8.9,0.668,24,44.0,20,5,4,7,37.421,35.7,1.025,1.135,482.01,56,0,34,0,58
4.513,6,39.5,0.685,9,9,0.075,5,9.797,7.9,0.727,15,31.5,15,3,4,3,27.619,39.5,1.023,1.122,372.3,38,0,25,0,40
4.955,2,43.8,0.642,12,12,0.03,12,7.696,0.0,0.661,14,25.0,14,0,0,1,21.148,43.8,1.015,1.117,246.28,32,0,19,0,33
4.268,7,45.5,0.628,11,10,0.087,6,7.464,4.5,0.652,20,33.0,18,2,4,4,28.682,40.9,1.011,1.127,328.4,44,0,26,0,46
4.485,4,33.3,0.649,6,6,0.133,6,10.141,6.7,0.596,10,23.0,10,2,0,4,17.875,33.3,1.104,1.212,304.22,30,0,20,0,30
4.097,5,43.2,0.638,13,11,0.133,6,7.85,2.3,0.65,19,34.0,18,1,5,6,28.585,40.9,1.023,1.125,345.38,44,0,26,0,45
4.301,3,37.1,0.675,10,17,0.108,16,9.011,20.0,0.698,13,33.0,13,7,1,4,24.426,37.1,1.022,1.139,315.4,35,0,24,0,37
4.097,5,44.2,0.655,14,17,0.087,16,7.848,7.0,0.703,19,36.0,19,3,1,4,30.211,44.2,0.995,1.115,337.48,43,0,27,0,46
4.097,5,41.9,0.669,13,15,0.065,12,8.71,4.7,0.715,18,37.0,18,2,3,3,30.762,41.9,1.009,1.111,374.52,43,0,28,0,46
4.097,5,38.3,0.681,14,22,0.078,20,9.161,8.5,0.712,18,45.0,19,4,2,4,33.466,40.4,1.022,1.119,430.55,47,0,33,0,51
4.213,5,41.5,0.656,15,20,0.145,17,8.728,7.5,0.688,22,44.5,20,4,3,8,36.443,37.7,1.022,1.125,462.6,53,0,33,0,55
4.097,0,26.7,0.757,7,7,0.0,6,11.279,6.7,0.771,4,16.0,7,1,1,0,11.568,46.7,1.052,1.12,169.19,15,0,12,0,16
4.223,6,45.3,0.634,15,19,0.145,16,7.859,3.8,0.666,24,42.0,21,2,3,8,35.307,39.6,1.012,1.123,416.54,53,0,31,0,55
4.097,1,35.9,0.703,18,19,0.098,17,9.113,2.6,0.725,14,37.5,19,1,2,4,28.284,48.7,1.022,1.11,355.41,39,0,27,0,41
4.097,2,38.3,0.683,19,21,0.1,18,8.649,8.5,0.71,18,44.0,21,4,3,5,33.364,44.7,1.014,1.116,406.5,47,0,32,0,50
4.097,2,40.5,0.675,17,19,0.136,17,8.368,7.1,0.712,17,37.5,19,3,2,6,29.904,45.2,1.005,1.113,351.46,42,0,27,0,44
4.097,7,47.1,0.625,13,15,0.075,11,7.618,3.9,0.664,24,38.5,20,2,4,4,33.853,39.2,1.006,1.124,388.53,51,0,29,0,53
