pXC50,SpMax1_Bh.v.,piPC06,piPC07,Eta_betaP,Eta_F,piPC09,piPC10,Ui,SpMax1_Bh.p.,piPC08,SpMax2_Bh.m.,AMR,ATS4v,SpMax2_Bh.p.,Eta_beta,Eta_FL,PCD,piPC03,piPC04,piPC05,Eig07_AEA.bo.,Eig07_EA.bo.,P_VSA_m_2,SM03_AEA.bo.,Eig11_AEA.dm.,GGI8,Chi0_EA.ri.,Eig01_EA.ri.,Eta_alpha,SpDiam_EA.ri.,SpMax_EA.ri.,S0K,NaasC,SM06_EA.bo.,Eig04_AEA.ed.,Eig01_EA.bo.,Eig02_EA.bo.,SM11_AEA.ri.,SM12_AEA.ri.,SpAD_AEA.dm.,SpDiam_EA.bo.,SpMax7_Bh.m.,SpMax_EA.bo.,X0sol,Eta_betaP_A,piID,SM05_EA.bo.,SpMAD_AEA.dm.,ATS5v,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,SpMax8_Bh.m.,X1v,Eig12_AEA.dm.,Eig10_AEA.bo.,SM02_AEA.bo.,SM07_EA.bo.
7.097,3.988,6.342,6.745,22.5,34.56,7.519,7.947,3.755,4.077,7.084,4.128,104.443,3.88,3.894,40.75,7.796,3.126,4.965,5.536,6.027,3.077,2.123,188.245,6.353,1.405,0.566,19.479,3.135,13.79,5.135,3.135,130.127,6,10.143,5.792,4.663,4.405,4.663,4.405,53.441,7.663,2.995,4.663,19.337,0.776,10.389,8.383,1.724,3.808,12.974,14.09,15.176,16.29,17.393,2.687,10.922,1.021,2.511,5.07,11.398
6.301,3.982,6.138,6.521,13.5,25.897,7.163,7.451,3.087,4.075,6.766,4.006,90.905,3.854,3.801,30.0,5.554,2.24,4.715,5.26,5.727,2.68,1.726,124.355,6.159,0.625,0.443,17.007,3.134,11.89,5.08,3.134,111.457,5,10.016,5.73,4.663,4.369,4.663,4.369,42.283,7.663,2.826,4.663,17.448,0.519,9.047,8.324,1.566,3.834,12.948,14.061,15.155,16.269,17.378,2.627,9.877,0.618,1.618,4.866,11.339
6.854,3.983,6.277,6.665,17.5,31.87,7.376,7.783,3.524,4.075,6.969,4.014,100.248,3.88,3.82,36.25,6.806,2.506,4.857,5.42,5.899,3.077,2.006,171.62,6.314,1.35,0.566,19.421,3.151,13.29,5.151,3.151,134.127,5,10.061,5.792,4.663,4.405,4.663,4.405,51.333,7.663,3.006,4.663,18.984,0.603,9.769,8.341,1.656,3.784,13.019,14.139,15.23,16.349,17.459,2.804,10.547,1.117,2.511,5.042,11.363
6.26,3.983,6.29,6.678,16.5,28.643,7.351,7.746,3.392,4.075,6.962,4.019,85.198,3.724,3.819,33.75,6.229,2.34,4.809,5.375,5.87,3.055,1.92,148.075,6.25,1.0,0.491,17.302,3.154,11.79,5.154,3.154,113.457,5,10.052,5.803,4.663,4.407,4.663,4.407,46.889,7.663,2.628,4.663,16.863,0.635,9.337,8.343,1.675,3.711,13.016,14.137,15.231,16.352,17.463,2.518,9.436,0.792,2.5,4.961,11.365
7.301,3.985,6.264,6.635,16.5,27.617,7.295,7.695,3.392,4.076,6.9,4.127,93.521,3.822,3.85,32.75,5.818,2.35,4.776,5.361,5.856,3.036,1.895,156.964,6.225,1.0,0.451,17.105,3.135,12.29,5.082,3.135,115.457,5,10.044,5.798,4.663,4.406,4.663,4.406,47.242,7.663,2.931,4.663,17.802,0.635,9.162,8.338,1.75,3.79,12.937,14.052,15.15,16.266,17.377,2.655,10.192,0.819,2.5,4.925,11.362
7.097,3.983,6.259,6.651,16.5,29.255,7.338,7.728,3.392,4.075,6.947,4.015,89.93,3.762,3.822,34.25,6.263,2.332,4.817,5.37,5.854,3.07,1.957,152.668,6.264,1.0,0.521,18.007,3.151,12.29,5.151,3.151,119.627,5,10.052,5.792,4.663,4.405,4.663,4.405,48.062,7.663,2.858,4.663,17.57,0.611,9.39,8.343,1.657,3.706,13.035,14.153,15.243,16.361,17.469,2.628,9.897,0.846,2.5,4.982,11.364
6.699,3.984,6.314,6.711,16.5,30.803,7.403,7.811,3.392,4.075,7.007,4.019,98.872,3.959,3.827,35.25,6.223,2.314,4.849,5.416,5.906,3.065,1.946,159.435,6.312,1.414,0.553,19.209,3.155,13.29,5.155,3.155,134.127,5,10.061,6.025,4.663,4.407,4.663,4.407,51.629,7.663,3.044,4.663,19.147,0.569,9.618,8.357,1.665,3.899,13.093,14.21,15.299,16.415,17.522,2.904,10.847,1.0,2.5,5.035,11.371
6.301,3.976,6.024,6.387,13.5,24.203,6.98,7.275,3.087,4.074,6.63,3.981,81.522,3.599,3.755,29.0,5.527,2.251,4.616,5.156,5.62,2.55,1.555,117.588,6.069,0.665,0.41,15.875,2.979,10.89,4.925,2.979,103.284,4,9.92,5.28,4.662,4.196,4.662,4.196,39.125,7.662,2.63,4.662,15.708,0.563,8.904,8.218,1.565,3.52,12.555,13.632,14.678,15.749,16.807,2.541,8.983,0.51,1.738,4.785,11.227
6.387,4.025,6.784,7.266,24.5,43.213,8.176,8.564,3.907,4.082,7.683,4.062,113.054,4.094,3.97,46.0,9.296,4.008,5.186,5.794,6.306,3.381,2.691,208.771,6.5,1.314,0.867,21.726,3.169,15.124,5.169,3.169,159.71,8,10.306,6.594,4.663,4.326,4.663,4.326,57.933,7.663,3.162,4.663,21.716,0.742,11.895,8.557,1.609,4.086,13.411,14.536,15.63,16.75,17.86,2.687,11.159,1.042,2.537,5.212,11.542
7.187,4.017,6.7,7.17,23.0,37.974,8.075,8.468,3.807,4.081,7.583,4.054,107.31,4.013,3.956,43.5,8.651,4.023,5.134,5.738,6.229,3.27,2.563,186.446,6.44,1.042,0.669,20.602,3.122,14.29,5.122,3.122,146.825,8,10.268,6.447,4.663,4.312,4.663,4.312,54.194,7.663,2.941,4.663,20.139,0.742,11.798,8.513,1.594,3.983,13.233,14.344,15.422,16.528,17.621,2.687,10.776,1.0,2.529,5.15,11.502
7.886,4.023,6.784,7.266,26.0,41.591,8.176,8.564,4.0,4.082,7.683,4.059,110.211,4.036,3.969,46.75,9.246,4.063,5.186,5.794,6.306,3.384,2.609,218.831,6.5,1.359,0.743,21.42,3.133,14.79,5.133,3.133,153.245,8,10.291,6.492,4.663,4.32,4.663,4.32,57.568,7.663,3.094,4.663,20.846,0.813,11.895,8.526,1.645,4.007,13.295,14.411,15.494,16.605,17.703,2.687,10.89,1.042,2.665,5.212,11.52
6.745,4.015,6.645,7.116,23.0,35.478,8.024,8.408,3.807,4.082,7.524,4.229,109.113,3.945,3.979,42.5,8.227,4.049,5.098,5.693,6.181,3.204,2.487,175.731,6.404,1.0,0.657,20.319,3.094,14.29,5.094,3.094,136.452,7,10.22,6.144,4.663,4.291,4.663,4.291,52.449,7.663,2.687,4.663,19.622,0.767,11.764,8.453,1.589,3.879,13.018,14.118,15.18,16.275,17.355,2.686,11.229,1.0,2.5,5.121,11.443
6.959,4.022,6.784,7.266,26.0,40.505,8.176,8.564,4.0,4.083,7.683,4.233,114.45,4.039,3.986,46.75,8.957,4.063,5.186,5.794,6.306,3.384,2.609,217.101,6.5,1.359,0.743,21.694,3.119,15.19,5.119,3.119,153.245,8,10.291,6.492,4.663,4.32,4.663,4.32,57.568,7.663,3.095,4.663,21.199,0.813,11.895,8.526,1.645,4.0,13.188,14.297,15.373,16.477,17.568,2.687,11.63,1.042,2.665,5.212,11.52
7.699,4.015,6.645,7.116,23.0,36.527,8.024,8.408,3.807,4.08,7.524,4.048,104.473,3.936,3.953,42.5,8.515,4.049,5.098,5.693,6.181,3.204,2.487,177.46,6.404,1.0,0.657,20.04,3.096,13.89,5.096,3.096,136.452,7,10.22,6.144,4.663,4.291,4.663,4.291,52.449,7.663,2.687,4.663,19.268,0.767,11.764,8.453,1.589,3.887,13.111,14.215,15.279,16.375,17.456,2.687,10.5,1.0,2.5,5.121,11.443
6.301,4.017,6.664,7.148,23.0,36.433,8.055,8.456,3.807,4.082,7.564,4.23,113.704,4.012,3.979,43.0,8.284,4.127,5.134,5.731,6.216,3.265,2.546,178.266,6.44,1.045,0.675,20.841,3.097,14.79,5.097,3.097,142.825,8,10.27,6.453,4.663,4.294,4.663,4.294,54.527,7.663,2.826,4.663,20.492,0.742,11.948,8.513,1.604,3.96,13.131,14.233,15.299,16.395,17.477,2.76,11.656,1.0,2.529,5.15,11.503
6.538,4.015,6.709,7.178,23.0,37.948,8.069,8.472,3.807,4.081,7.58,4.209,109.08,3.97,3.966,43.25,8.431,4.031,5.134,5.738,6.233,3.218,2.52,175.376,6.44,1.04,0.677,20.877,3.127,14.576,5.127,3.127,146.825,8,10.268,6.204,4.663,4.336,4.663,4.336,54.204,7.663,2.876,4.663,19.622,0.742,11.806,8.513,1.594,3.926,13.156,14.263,15.337,16.44,17.531,2.754,11.395,1.0,2.526,5.15,11.502
6.886,4.014,6.605,7.082,23.0,33.983,7.984,8.338,3.807,4.08,7.49,4.042,103.584,3.921,3.954,41.75,8.36,4.086,5.08,5.678,6.158,3.195,2.465,177.815,6.341,1.0,0.591,19.688,3.065,13.605,5.065,3.065,132.881,7,10.176,5.846,4.663,4.263,4.663,4.263,51.176,7.663,2.687,4.663,19.268,0.793,11.751,8.389,1.599,3.872,12.974,14.077,15.133,16.226,17.301,2.684,10.408,1.0,2.5,5.078,11.392
5.91,3.976,6.124,6.446,16.0,25.748,6.748,6.903,3.322,3.958,6.78,3.871,123.668,4.077,3.857,37.25,6.862,2.782,4.906,5.445,5.909,3.03,2.285,158.169,6.242,1.38,0.367,22.474,2.956,15.414,4.956,2.956,152.0,3,9.635,5.873,4.441,3.446,4.441,3.446,55.258,7.441,3.076,4.441,22.416,0.5,11.024,7.756,1.535,4.031,12.706,13.793,14.805,15.874,16.909,2.918,11.803,1.266,2.5,5.075,10.649
6.523,3.984,6.237,6.613,16.5,27.719,7.288,7.677,3.392,4.076,6.895,4.119,98.304,3.842,3.844,33.25,5.814,2.344,4.776,5.356,5.84,2.85,1.83,154.107,6.215,1.033,0.56,18.069,3.134,12.79,5.081,3.134,121.627,5,10.039,5.791,4.663,4.405,4.663,4.405,48.382,7.663,3.005,4.663,18.346,0.611,9.224,8.326,1.728,3.785,12.928,14.045,15.143,16.26,17.371,2.75,10.865,1.0,2.5,4.933,11.357
6.201,4.015,6.473,6.914,19.5,31.447,7.73,8.013,3.524,4.067,7.287,4.035,94.167,3.855,3.906,36.5,7.505,3.331,4.937,5.515,6.052,2.853,1.979,171.91,6.241,1.0,0.572,18.068,3.083,12.39,5.083,3.083,120.382,7,10.114,5.842,4.663,4.276,4.663,4.276,45.869,7.663,2.816,4.663,17.57,0.722,10.583,8.361,1.582,3.793,13.054,14.169,15.247,16.354,17.448,2.687,9.104,0.824,2.324,4.965,11.364
6.398,4.006,6.419,6.859,19.0,28.178,7.677,7.938,3.524,4.079,7.221,4.028,95.699,3.838,3.935,35.25,6.822,3.307,4.893,5.471,6.012,2.848,1.961,153.034,6.197,1.0,0.56,17.489,3.058,12.271,5.058,3.058,114.211,6,10.058,5.778,4.663,4.259,4.663,4.259,44.745,7.663,2.687,4.663,17.57,0.731,10.469,8.292,1.598,3.76,12.773,13.874,14.93,16.023,17.099,2.631,9.824,0.67,2.322,4.929,11.3
7.222,4.003,6.529,6.953,19.5,34.158,7.777,8.109,3.524,4.078,7.306,4.042,93.626,3.847,3.914,37.75,7.699,3.318,4.958,5.544,6.089,3.054,2.245,153.905,6.311,1.0,0.646,18.571,3.12,12.676,5.12,3.12,127.851,7,10.161,6.07,4.663,4.329,4.663,4.329,47.975,7.663,2.801,4.663,17.57,0.696,10.629,8.427,1.599,3.79,13.021,14.13,15.206,16.312,17.405,2.631,9.573,0.885,2.5,5.012,11.419
6.481,4.003,6.473,6.914,19.5,30.62,7.73,8.013,3.524,4.079,7.287,4.077,97.325,3.858,3.923,37.0,7.412,3.331,4.937,5.515,6.052,2.853,1.979,148.64,6.241,1.0,0.572,18.275,3.061,12.819,5.061,3.061,124.382,7,10.114,5.842,4.663,4.276,4.663,4.276,46.824,7.663,2.988,4.663,18.94,0.722,10.583,8.361,1.615,3.789,12.779,13.88,14.938,16.032,17.109,2.631,9.859,0.878,2.324,4.965,11.364
6.77,4.01,6.449,6.901,19.0,30.126,7.699,7.986,3.524,4.08,7.247,4.047,91.988,3.851,3.929,35.5,7.067,3.177,4.915,5.518,6.047,2.923,2.079,150.145,6.256,1.0,0.545,17.069,3.233,12.057,5.233,3.233,111.457,6,10.14,5.862,4.664,4.442,4.664,4.442,44.882,7.664,2.687,4.664,16.863,0.731,10.27,8.388,1.603,3.822,13.229,14.375,15.498,16.645,17.785,2.656,9.367,0.756,2.5,4.958,11.413
6.921,4.003,6.419,6.859,19.5,28.059,7.677,7.938,3.524,4.079,7.221,4.064,98.963,3.815,3.933,35.75,6.769,3.307,4.893,5.471,6.012,2.848,1.961,147.23,6.197,1.0,0.56,17.778,3.056,12.605,5.056,3.056,114.211,6,10.058,5.778,4.663,4.259,4.663,4.259,47.105,7.663,2.687,4.663,17.923,0.75,10.469,8.292,1.682,3.746,12.731,13.834,14.892,15.988,17.066,2.631,10.6,1.0,2.322,4.929,11.3
6.62,4.001,6.441,6.865,19.0,30.813,7.691,7.97,3.524,4.078,7.236,4.033,87.163,3.719,3.913,35.75,7.199,3.246,4.893,5.471,6.023,3.007,2.178,147.255,6.256,1.0,0.594,17.033,3.09,11.843,5.09,3.09,111.457,6,10.101,5.773,4.663,4.287,4.663,4.287,44.855,7.663,2.687,4.663,15.992,0.731,10.375,8.357,1.602,3.665,12.899,14.004,15.071,16.171,17.256,2.629,9.044,0.666,2.489,4.958,11.35
7.161,4.003,6.468,6.901,19.5,30.471,7.732,8.032,3.524,4.079,7.264,4.068,99.853,3.832,3.933,36.5,6.925,3.268,4.915,5.49,6.039,3.012,2.185,146.875,6.27,1.0,0.625,18.13,3.09,12.89,5.09,3.09,117.627,6,10.107,5.778,4.663,4.288,4.663,4.288,48.372,7.663,2.687,4.663,17.923,0.722,10.491,8.362,1.668,3.764,12.903,14.007,15.074,16.173,17.259,2.631,10.692,1.0,2.5,4.978,11.355
6.77,4.006,6.473,6.914,19.5,30.506,7.73,8.013,3.524,4.079,7.287,4.032,97.561,3.9,3.931,36.75,7.381,3.331,4.937,5.515,6.052,2.853,1.979,157.15,6.241,1.0,0.572,18.16,3.074,12.605,5.074,3.074,124.382,7,10.114,5.842,4.663,4.276,4.663,4.276,46.753,7.663,2.935,4.663,18.44,0.722,10.583,8.361,1.612,3.84,12.879,13.98,15.042,16.136,17.216,2.631,9.792,0.877,2.324,4.965,11.364
6.721,4.009,6.4,6.854,19.0,27.705,7.65,7.903,3.524,4.08,7.202,4.039,91.098,3.828,3.929,34.75,6.912,3.216,4.893,5.493,6.02,2.757,1.835,150.5,6.183,1.0,0.504,16.716,3.195,11.771,5.195,3.195,108.096,6,10.092,5.819,4.663,4.411,4.663,4.411,43.661,7.663,2.687,4.663,16.863,0.76,10.245,8.319,1.617,3.799,13.073,14.214,15.327,16.466,17.597,2.651,9.275,0.756,2.5,4.907,11.359
6.409,4.002,6.483,6.91,19.5,31.648,7.725,8.023,3.524,4.078,7.261,4.035,92.736,3.83,3.914,37.0,7.544,3.356,4.937,5.527,6.063,2.999,2.165,154.26,6.241,1.0,0.58,18.219,3.094,12.39,5.094,3.094,124.382,7,10.115,5.838,4.663,4.307,4.663,4.307,46.81,7.663,2.801,4.663,17.57,0.722,10.609,8.361,1.614,3.773,12.87,13.979,15.049,16.152,17.241,2.63,9.481,0.885,2.336,4.965,11.367
6.745,4.004,6.391,6.821,19.0,27.548,7.634,7.877,3.524,4.079,7.191,4.026,91.098,3.761,3.929,34.75,6.88,3.286,4.87,5.452,5.995,2.835,1.947,150.5,6.183,1.0,0.529,16.619,3.057,11.771,5.057,3.057,108.096,6,10.052,5.773,4.663,4.259,4.663,4.259,43.633,7.663,2.687,4.663,16.863,0.76,10.351,8.286,1.616,3.685,12.752,13.853,14.911,16.005,17.083,2.629,9.263,0.663,2.311,4.907,11.294
6.509,4.002,6.519,6.953,19.5,34.045,7.785,8.103,3.524,4.078,7.331,4.039,93.626,3.843,3.914,37.75,7.698,3.293,4.958,5.533,6.079,3.012,2.186,153.905,6.311,1.0,0.638,18.565,3.098,12.676,5.098,3.098,127.851,7,10.16,6.062,4.663,4.302,4.663,4.302,47.976,7.663,2.817,4.663,17.57,0.696,10.604,8.427,1.599,3.778,12.979,14.081,15.148,16.245,17.33,2.631,9.573,0.879,2.5,5.012,11.416
7.208,4.007,6.538,6.991,19.5,31.8,7.819,8.093,3.524,4.079,7.369,4.145,102.129,3.934,3.931,37.75,7.515,3.293,4.99,5.579,6.114,2.968,2.083,142.664,6.283,1.052,0.646,18.908,3.108,13.533,5.108,3.108,130.606,8,10.186,6.053,4.664,4.422,4.664,4.422,48.854,7.664,3.121,4.664,20.31,0.696,10.606,8.441,1.628,3.866,12.896,14.008,15.083,16.191,17.285,2.965,10.349,1.0,2.5,4.999,11.458
7.222,4.004,6.449,6.901,19.0,30.252,7.699,7.986,3.524,4.079,7.247,4.129,91.751,3.8,3.922,35.75,7.098,3.177,4.915,5.518,6.047,2.923,2.079,141.634,6.256,1.0,0.545,17.157,3.139,12.271,5.139,3.139,111.457,6,10.14,5.862,4.664,4.442,4.664,4.442,45.019,7.664,2.687,4.664,17.363,0.731,10.27,8.388,1.608,3.742,12.997,14.117,15.205,16.321,17.426,2.658,9.434,0.774,2.5,4.958,11.413
7.523,3.989,6.31,6.704,16.5,27.96,7.416,7.742,3.392,4.076,7.004,4.024,97.076,3.962,3.845,34.25,6.187,2.34,4.825,5.414,5.907,3.09,1.995,159.57,6.229,1.164,0.537,18.14,3.158,12.571,5.104,3.158,124.382,5,10.016,5.848,4.663,4.39,4.663,4.39,49.154,7.663,3.004,4.663,18.44,0.611,9.534,8.292,1.695,3.929,12.999,14.124,15.222,16.346,17.461,2.758,10.338,1.0,2.484,4.968,11.327
6.444,3.965,6.208,6.606,16.5,27.74,7.249,7.623,3.392,4.033,6.867,4.009,93.957,3.807,3.808,33.0,6.105,2.36,4.75,5.328,5.805,3.055,1.939,209.033,6.225,0.969,0.443,16.594,3.135,11.971,5.082,3.135,113.457,5,10.023,6.122,4.663,4.366,4.663,4.366,45.761,7.663,2.763,4.663,18.371,0.635,9.169,8.321,1.695,3.726,13.451,14.577,15.689,16.813,17.931,2.627,9.027,0.51,2.378,4.925,11.333
6.796,4.014,6.645,7.116,23.0,35.626,8.024,8.408,3.807,4.081,7.524,4.208,108.863,3.94,3.967,42.5,8.212,4.049,5.098,5.693,6.181,3.204,2.487,175.731,6.404,1.0,0.657,20.325,3.095,14.29,5.095,3.095,136.452,7,10.22,6.144,4.663,4.291,4.663,4.291,52.449,7.663,2.797,4.663,19.622,0.767,11.764,8.453,1.589,3.888,13.055,14.156,15.219,16.313,17.394,2.687,11.289,1.0,2.5,5.121,11.443
7.046,3.983,6.282,6.661,17.5,32.789,7.371,7.781,3.524,4.075,6.966,4.015,103.458,3.956,3.83,36.75,6.766,2.381,4.865,5.416,5.899,3.289,2.326,174.155,6.348,1.173,0.641,19.868,3.151,13.79,5.151,3.151,136.452,5,10.073,5.792,4.663,4.405,4.663,4.405,53.121,7.663,3.03,4.663,19.854,0.583,9.734,8.373,1.66,3.839,13.056,14.172,15.259,16.375,17.481,2.866,10.958,1.147,2.512,5.074,11.378
6.301,4.015,6.656,7.128,23.0,35.928,8.009,8.386,3.807,4.081,7.54,4.209,108.863,3.951,3.969,42.5,8.212,4.112,5.098,5.701,6.195,3.167,2.429,175.731,6.404,1.0,0.649,20.325,3.104,14.29,5.104,3.104,140.452,7,10.221,6.164,4.663,4.299,4.663,4.299,52.486,7.663,2.831,4.663,19.622,0.767,11.826,8.453,1.59,3.929,13.072,14.176,15.243,16.34,17.425,2.666,11.289,0.887,2.5,5.121,11.445
7.301,4.017,6.7,7.17,23.0,36.829,8.075,8.468,3.807,4.082,7.583,4.224,113.668,4.003,3.975,43.25,8.3,4.023,5.134,5.738,6.229,3.27,2.563,169.755,6.44,1.042,0.669,20.936,3.101,15.005,5.101,3.101,146.825,8,10.268,6.447,4.663,4.312,4.663,4.312,54.236,7.663,3.167,4.663,20.992,0.742,11.798,8.513,1.595,3.961,13.104,14.206,15.272,16.369,17.452,2.792,11.773,1.0,2.529,5.15,11.502
6.301,3.978,6.046,6.42,13.5,23.934,7.027,7.32,3.087,4.074,6.683,3.986,79.591,3.57,3.815,29.5,5.517,2.257,4.636,5.167,5.635,2.744,1.803,108.763,6.138,0.667,0.406,15.882,2.98,10.89,4.926,2.98,101.284,4,9.936,5.502,4.662,4.196,4.662,4.196,41.858,7.662,2.629,4.662,15.285,0.563,9.051,8.248,1.61,3.515,12.692,13.759,14.795,15.856,16.906,2.531,9.001,0.51,1.85,4.842,11.239
8.0,4.023,6.7,7.17,23.0,37.67,8.075,8.468,3.807,4.082,7.583,4.056,109.515,4.038,3.97,43.0,8.572,4.023,5.134,5.738,6.229,3.27,2.563,179.995,6.44,1.042,0.669,20.54,3.126,14.39,5.126,3.126,146.825,8,10.268,6.447,4.663,4.312,4.663,4.312,54.194,7.663,2.941,4.663,20.139,0.742,11.798,8.513,1.594,4.009,13.268,14.383,15.463,16.571,17.666,2.687,10.917,1.0,2.529,5.15,11.502
7.301,4.016,6.7,7.17,23.0,38.8,8.075,8.468,3.807,4.08,7.583,4.056,104.69,3.965,3.953,43.25,8.734,4.023,5.134,5.738,6.229,3.27,2.563,177.105,6.44,1.042,0.669,20.591,3.112,14.176,5.112,3.112,146.825,8,10.268,6.447,4.663,4.312,4.663,4.312,54.225,7.663,2.821,4.663,19.268,0.742,11.798,8.513,1.595,3.921,13.207,14.316,15.389,16.492,17.581,2.687,10.606,1.0,2.529,5.15,11.502
8.0,4.018,6.662,7.138,23.0,35.213,8.034,8.4,3.807,4.081,7.549,4.103,108.389,3.984,3.963,42.5,8.448,4.059,5.116,5.723,6.207,3.233,2.502,171.84,6.379,1.042,0.603,20.298,3.075,14.319,5.075,3.075,143.207,8,10.226,5.847,4.663,4.289,4.663,4.289,52.965,7.663,3.093,4.663,20.639,0.767,11.785,8.452,1.605,3.943,13.029,14.134,15.196,16.293,17.372,2.684,10.892,1.0,2.5,5.109,11.454
7.0,3.987,6.297,6.688,16.5,28.215,7.383,7.785,3.392,4.077,6.981,4.135,100.844,3.913,3.873,34.25,5.818,2.322,4.825,5.402,5.892,3.054,1.922,149.452,6.277,1.052,0.541,18.775,3.136,13.29,5.136,3.136,123.851,5,10.051,5.802,4.663,4.407,4.663,4.407,51.594,7.663,2.982,4.663,18.63,0.589,9.532,8.341,1.72,3.861,12.951,14.071,15.16,16.277,17.384,2.866,11.316,1.0,2.5,5.002,11.363
7.721,4.022,6.662,7.138,23.0,34.143,8.034,8.4,3.807,4.082,7.549,4.21,113.015,4.029,3.982,42.25,8.114,4.059,5.116,5.723,6.207,3.233,2.502,178.621,6.379,1.042,0.603,20.473,3.098,14.505,5.098,3.098,143.207,8,10.226,5.847,4.663,4.289,4.663,4.289,52.896,7.663,2.935,4.663,20.492,0.767,11.785,8.452,1.603,3.998,13.093,14.202,15.275,16.378,17.467,2.784,11.614,1.0,2.5,5.109,11.454
6.939,3.988,6.38,6.753,22.5,36.988,7.546,7.989,3.755,4.076,7.101,4.023,106.771,3.921,3.89,41.75,8.232,3.156,4.996,5.562,6.067,3.4,2.555,211.203,6.391,1.069,0.641,19.813,3.17,13.857,5.17,3.17,136.452,7,10.178,5.792,4.663,4.405,4.663,4.405,52.712,7.663,3.019,4.663,19.854,0.75,10.509,8.432,1.647,3.831,13.104,14.226,15.319,16.441,17.554,2.708,10.458,1.0,2.512,5.101,11.432
6.301,3.979,6.148,6.534,19.5,31.092,7.256,7.613,3.524,4.074,6.851,3.987,92.262,3.694,3.853,37.0,7.485,3.147,4.843,5.376,5.852,2.933,2.099,154.26,6.241,1.0,0.439,18.003,2.98,12.39,4.98,2.98,117.627,5,10.037,5.373,4.662,4.196,4.662,4.196,45.582,7.662,2.687,4.662,17.406,0.722,10.286,8.282,1.572,3.609,12.626,13.704,14.734,15.802,16.851,2.63,9.54,0.873,2.5,4.965,11.274
6.301,3.978,6.148,6.534,19.5,31.352,7.256,7.613,3.524,4.074,6.851,3.986,90.105,3.678,3.799,37.5,7.566,3.147,4.843,5.376,5.852,2.933,2.099,160.712,6.241,1.0,0.439,18.077,2.98,12.29,4.926,2.98,117.627,5,10.037,5.373,4.662,4.196,4.662,4.196,45.582,7.662,2.687,4.662,17.406,0.722,10.286,8.282,1.572,3.594,12.623,13.698,14.731,15.797,16.847,2.63,9.39,0.873,2.5,4.965,11.274
7.222,3.989,6.422,6.854,22.5,34.227,7.656,8.083,3.755,4.078,7.215,4.148,99.608,3.823,3.905,40.25,7.808,3.158,4.958,5.547,6.063,3.073,2.124,185.711,6.341,1.052,0.541,18.775,3.136,13.29,5.136,3.136,123.851,6,10.143,5.802,4.663,4.41,4.663,4.41,51.594,7.663,2.962,4.663,18.63,0.804,10.368,8.383,1.72,3.788,12.951,14.071,15.16,16.277,17.384,2.687,10.315,1.0,2.509,5.051,11.399
6.721,3.965,6.25,6.633,16.5,29.906,7.296,7.69,3.392,4.033,6.915,4.017,95.05,3.833,3.804,33.75,6.266,2.344,4.784,5.356,5.846,3.062,1.939,202.387,6.239,0.98,0.517,17.579,3.17,12.257,5.117,3.17,121.627,5,10.044,5.792,4.663,4.405,4.663,4.405,45.434,7.663,2.932,4.663,18.155,0.611,9.224,8.338,1.623,3.755,13.206,14.334,15.446,16.574,17.698,2.69,9.367,0.51,2.5,4.947,11.361
7.155,3.983,6.31,6.69,16.5,30.567,7.387,7.791,3.392,4.075,6.983,4.017,99.001,3.958,3.814,35.25,6.229,2.313,4.833,5.407,5.895,3.054,1.923,155.679,6.29,1.247,0.575,19.423,3.153,13.29,5.1,3.153,128.127,5,10.051,5.802,4.663,4.407,4.663,4.407,50.951,7.663,3.057,4.663,18.984,0.569,9.618,8.341,1.644,3.863,13.005,14.126,15.222,16.343,17.456,3.005,10.936,1.0,2.502,5.022,11.363
6.796,3.984,6.301,6.698,16.5,30.081,7.401,7.793,3.392,4.075,6.999,4.019,94.348,3.851,3.828,34.75,6.229,2.322,4.833,5.411,5.887,3.077,2.001,156.9,6.299,1.0,0.644,18.456,3.154,12.79,5.1,3.154,125.851,5,10.057,5.806,4.663,4.407,4.663,4.407,50.224,7.663,2.93,4.663,18.44,0.589,9.532,8.355,1.674,3.809,13.063,14.176,15.269,16.384,17.494,2.637,10.33,0.908,2.504,5.016,11.369
7.222,3.983,6.263,6.654,16.5,29.87,7.348,7.744,3.392,4.075,6.953,4.014,94.531,3.818,3.818,34.75,6.263,2.323,4.825,5.393,5.86,3.069,1.957,155.202,6.277,1.0,0.555,18.714,3.151,12.79,5.097,3.151,123.851,5,10.051,5.792,4.663,4.405,4.663,4.405,49.241,7.663,2.945,4.663,18.277,0.589,9.487,8.343,1.641,3.746,13.027,14.142,15.236,16.352,17.463,2.628,10.397,0.979,2.5,5.002,11.364
7.523,4.019,6.7,7.17,23.0,37.995,8.075,8.468,3.807,4.081,7.583,4.053,107.461,4.026,3.962,43.5,8.647,4.023,5.134,5.738,6.229,3.27,2.563,186.446,6.44,1.042,0.669,20.602,3.122,14.29,5.122,3.122,146.825,8,10.268,6.447,4.663,4.312,4.663,4.312,54.194,7.663,2.941,4.663,20.139,0.742,11.798,8.513,1.594,3.984,13.233,14.344,15.422,16.528,17.621,2.68,10.763,1.0,2.529,5.15,11.502
