pXC50,Sv,MW,nSK,SCBO,RBN,nBO
4.0,47.018,500.8,36,43.0,19,37
5.167,43.976,458.75,33,39.0,2,37
5.167,44.69,474.75,34,40.0,2,38
5.167,43.449,456.73,33,40.0,2,37
5.167,44.69,474.75,34,40.0,3,38
5.167,43.976,458.75,33,39.0,2,37
5.085,31.303,410.5,28,38.5,5,30
4.475,30.656,429.52,28,40.0,9,29
4.585,33.183,455.56,30,43.0,7,32
5.143,35.49,469.47,29,41.0,3,32
5.342,34.848,408.57,29,41.0,3,32
7.292,40.43,579.52,37,57.0,7,41
4.523,30.046,318.5,23,28.0,2,25
4.523,30.761,334.5,24,29.0,2,26
4.523,30.573,320.52,23,27.0,1,26
7.292,41.452,578.64,39,59.0,7,43
6.959,39.542,546.62,37,57.0,7,41
4.796,46.314,470.81,34,40.0,2,38
6.796,40.43,579.52,37,57.0,7,41
4.932,45.502,472.78,34,40.0,2,38
7.745,39.158,528.63,36,56.0,7,40
4.523,39.11,420.65,30,35.0,6,33
4.347,24.853,293.34,22,34.0,3,25
4.561,27.095,323.37,24,36.0,4,27
5.043,38.728,447.64,32,45.0,4,35
7.301,39.602,545.08,36,56.0,7,40
5.071,48.029,498.82,36,43.0,3,40
5.201,44.976,470.76,34,41.0,2,38
4.0,33.577,413.53,29,42.5,9,31
4.0,36.631,441.59,31,44.5,11,33
4.0,35.576,443.63,30,43.5,11,32
4.611,41.346,505.63,36,53.5,11,39
4.0,42.872,519.66,37,54.5,12,40
4.0,45.926,547.72,39,56.5,14,42
4.0,43.345,535.73,37,54.5,12,40
4.416,41.818,521.7,36,53.5,12,39
4.0,24.754,323.47,21,30.5,6,22
4.073,37.819,467.58,33,49.5,10,36
4.0,30.524,385.47,27,40.5,8,29
4.353,34.292,429.53,30,43.5,10,32
4.0,33.544,430.59,29,42.5,10,31
4.606,35.071,444.62,30,43.5,11,32
4.658,36.598,458.65,31,44.5,12,33
4.821,40.366,502.71,34,47.5,13,36
5.585,45.893,564.78,39,56.5,14,42
5.481,38.839,488.68,33,46.5,13,35
5.292,45.893,564.78,39,56.5,14,42
5.013,40.366,502.71,34,47.5,13,36
5.237,38.125,472.68,32,45.5,12,34
5.018,43.651,534.75,37,54.5,13,40
5.721,43.651,534.75,37,54.5,13,40
5.066,35.258,464.68,30,43.0,12,32
5.824,36.092,459.64,31,44.5,12,33
5.62,41.125,508.71,35,52.0,12,38
5.699,38.839,488.68,33,46.5,13,35
4.983,38.839,488.68,33,46.5,13,35
5.886,37.623,537.54,32,45.5,12,34
5.854,37.425,493.09,32,45.5,12,34
5.602,36.981,476.64,32,45.5,12,34
5.886,36.981,476.64,32,45.5,12,34
5.319,37.446,512.62,34,48.0,8,36
5.301,20.642,302.29,20,29.0,3,21
4.759,45.69,486.76,35,42.0,2,39
4.745,45.69,486.76,35,42.0,2,39
4.86,44.976,470.76,34,41.0,1,38
6.721,47.355,600.77,42,66.0,8,47
6.62,40.43,579.52,37,57.0,7,41
7.097,40.302,524.67,36,56.0,7,40
7.114,39.8,589.53,36,56.0,7,40
6.77,39.8,589.53,36,56.0,7,40
6.796,39.542,546.62,37,57.0,7,41
6.886,41.452,578.64,39,59.0,7,43
6.959,39.602,545.08,36,56.0,7,40
7.143,39.542,546.62,37,57.0,7,41
7.495,38.775,510.64,35,55.0,7,39
6.921,39.158,528.63,36,56.0,7,40
7.102,40.43,579.52,37,57.0,7,41
5.284,44.788,456.78,33,39.0,1,37
7.097,45.829,586.74,41,65.0,8,46
6.337,51.936,642.86,45,69.0,9,50
7.071,40.302,524.67,36,56.0,7,40
7.027,41.017,540.67,37,57.0,8,41
6.222,40.927,502.64,36,55.0,8,40
6.229,33.248,448.57,30,46.0,6,33
7.745,41.796,549.68,38,60.0,7,42
5.633,55.039,584.92,42,50.0,6,46
7.456,45.19,559.7,40,60.0,9,44
6.796,39.602,545.08,36,56.0,7,40
7.222,39.602,545.08,36,56.0,7,40
6.222,31.21,476.32,29,42.5,7,31
7.347,40.27,535.65,37,59.0,7,41
5.602,31.21,476.32,29,42.5,7,31
6.469,39.8,589.53,36,56.0,7,40
5.796,22.442,372.21,21,29.5,5,22
4.893,36.458,480.54,33,45.0,13,34
6.0,22.135,373.19,21,29.5,5,22
5.691,21.42,357.19,20,28.5,5,21
6.086,30.705,477.31,29,42.5,7,31
6.523,22.135,373.19,21,29.5,5,22
6.131,26.585,450.31,25,35.5,7,26
6.301,25.683,414.25,24,33.5,6,25
6.602,37.183,510.49,31,40.5,7,33
5.481,25.947,407.25,24,36.0,5,26
5.301,24.135,397.21,23,34.5,5,25
6.8,28.113,458.26,27,37.5,8,28
5.398,20.915,358.18,20,28.5,5,21
6.26,45.313,564.65,41,62.0,9,45
5.108,34.708,390.51,29,41.0,5,31
4.86,30.557,368.41,27,38.0,2,30
5.337,30.369,354.43,26,36.0,4,28
4.759,35.422,406.51,30,42.0,5,32
4.616,36.137,422.51,31,43.0,4,34
4.523,39.094,468.54,34,46.0,5,37
6.301,25.418,333.35,24,34.5,2,26
4.222,20.815,289.68,20,30.5,3,22
5.554,23.456,281.35,21,31.5,3,23
5.863,23.138,296.32,22,34.5,3,24
5.622,23.644,295.33,22,33.5,3,24
6.276,22.239,330.21,20,30.5,2,22
5.936,22.042,285.76,20,30.5,2,22
5.928,22.869,320.2,21,31.5,2,23
6.215,22.869,320.2,21,31.5,2,23
6.018,22.869,320.2,21,31.5,2,23
6.292,22.869,320.2,21,31.5,2,23
6.585,24.274,337.31,24,34.5,2,26
6.252,26.133,349.35,25,35.5,3,27
4.879,38.68,400.66,29,35.0,4,32
5.033,42.911,468.7,34,43.5,5,38
5.044,43.195,470.79,33,41.5,5,37
5.254,41.669,456.76,32,40.5,4,36
4.404,40.142,442.73,31,39.5,4,35
5.064,41.482,436.7,32,41.0,4,36
4.549,43.008,450.73,33,42.0,5,37
5.442,42.503,451.72,33,42.0,4,37
4.398,45.557,479.78,35,44.0,6,39
5.04,43.008,450.73,33,42.0,4,37
4.934,41.482,436.7,32,41.0,4,36
5.04,40.175,425.67,31,39.5,4,35
5.79,47.535,500.79,37,49.5,5,42
5.386,40.482,424.69,31,39.5,4,35
4.718,43.535,452.75,33,41.5,6,37
4.879,40.207,414.69,30,36.0,5,33
6.456,26.605,365.42,25,35.5,3,27
6.699,31.659,411.42,30,44.5,4,33
5.939,31.208,404.44,29,40.5,3,32
5.87,32.02,402.47,29,40.5,3,32
6.367,30.493,388.44,28,39.5,3,31
6.086,28.644,354.88,25,36.5,3,28
6.208,28.199,338.43,25,36.5,3,28
6.569,28.471,361.41,26,36.5,4,28
6.602,26.321,363.33,26,37.5,3,28
6.0,28.034,397.42,27,39.5,3,29
6.319,23.891,319.32,23,33.5,2,25
5.873,25.418,333.35,24,34.5,3,26
5.614,26.945,347.38,25,35.5,4,27
5.733,26.133,349.35,25,35.5,4,27
5.78,22.741,265.35,20,30.5,2,22
4.717,25.487,279.42,20,24.0,10,20
4.903,27.961,313.43,23,31.0,8,24
5.081,28.675,329.43,24,32.0,9,25
4.69,37.981,437.59,31,37.0,17,31
4.616,46.741,852.29,41,56.0,12,44
4.631,44.07,568.73,39,54.0,12,42
4.384,41.211,504.73,35,50.0,12,38
4.57,51.124,644.83,45,64.0,16,48
4.547,38.06,494.64,34,49.0,9,37
4.686,39.587,508.67,35,50.0,10,38
4.907,41.114,522.7,36,51.0,11,39
4.514,42.641,536.73,37,52.0,12,40
4.936,44.167,550.76,38,53.0,13,41
5.208,45.694,564.79,39,54.0,14,42
4.73,40.507,463.63,33,40.0,17,34
5.046,43.641,548.74,38,54.0,8,42
5.041,42.06,542.68,38,57.0,8,42
4.337,45.683,578.78,40,56.0,10,44
4.857,31.288,336.52,24,28.0,8,24
4.222,19.988,255.24,19,29.5,3,21
4.222,21.515,269.27,20,30.5,3,22
5.117,30.063,370.38,28,44.5,3,32
5.553,31.088,449.27,29,45.5,3,33
5.008,31.59,384.41,29,45.5,3,33
5.272,31.987,415.38,31,49.5,4,35
5.356,30.89,404.82,29,45.5,3,33
5.173,31.59,384.41,29,45.5,3,33
5.281,32.615,463.3,30,46.5,3,34
5.244,33.116,398.44,30,46.5,3,34
5.461,32.417,418.85,30,46.5,3,34
5.338,30.89,404.82,29,45.5,3,33
5.472,32.417,418.85,30,46.5,3,34
5.638,31.718,439.26,30,46.5,3,34
6.319,35.996,461.59,32,48.0,7,35
5.523,47.56,624.53,46,69.0,5,51
4.303,24.02,292.3,22,35.0,2,25
4.222,27.976,350.34,26,41.0,3,29
4.344,27.976,350.34,26,41.0,3,29
4.62,36.18,428.53,31,41.5,5,33
4.699,36.557,440.47,33,50.0,6,36
4.721,36.557,440.47,33,50.0,6,36
4.174,32.933,420.39,31,47.0,6,34
4.569,33.877,452.53,31,47.0,6,34
4.222,28.315,338.38,25,36.0,1,28
4.804,36.664,424.53,31,42.0,6,33
4.848,36.137,422.51,31,43.0,3,34
4.712,29.557,356.4,26,36.0,3,28
4.244,26.359,304.36,23,35.0,4,25
4.842,36.664,424.53,31,42.0,5,33
4.041,27.886,318.39,24,36.0,5,26
4.222,29.03,354.38,26,37.0,1,29
4.717,30.369,354.43,26,36.0,4,28
4.573,28.315,338.38,25,36.0,3,27
4.783,29.654,338.43,25,35.0,4,27
4.772,28.127,324.4,24,34.0,5,25
4.519,44.976,470.76,34,41.0,1,38
8.155,41.887,588.52,37,51.5,9,40
7.886,41.58,589.5,37,51.5,9,40
7.42,42.595,644.0,38,53.5,10,41
8.301,42.595,644.0,38,53.5,10,41
8.222,44.444,677.56,41,56.5,10,44
8.222,44.821,637.62,39,54.5,10,42
8.699,42.789,624.58,38,53.5,10,41
8.699,46.03,666.62,41,57.5,11,44
5.097,30.84,392.37,29,45.0,4,32
4.818,45.841,460.82,33,37.0,5,36
4.301,45.841,460.82,33,37.0,4,36
4.301,45.841,460.82,33,37.0,5,36
4.301,46.556,476.82,34,38.0,5,37
4.556,45.502,472.78,34,40.0,2,38
5.076,45.502,472.78,34,40.0,2,38
4.883,35.154,362.61,26,30.0,1,29
4.638,45.502,472.78,34,40.0,3,38
4.31,45.502,472.78,34,40.0,3,38
4.611,48.744,514.82,37,44.0,5,41
5.131,33.277,426.41,31,46.0,5,34
5.076,33.992,442.41,32,47.0,6,35
5.097,38.369,450.51,34,53.0,7,38
4.921,33.465,440.39,32,48.0,5,35
4.222,30.984,376.4,28,43.0,5,31
4.301,49.771,564.72,42,61.0,2,48
4.0,24.735,308.3,23,36.0,2,25
4.301,22.493,278.27,21,34.0,2,23
5.174,32.224,422.37,31,48.0,2,34
4.836,29.547,354.37,27,44.0,2,30
4.921,29.93,372.36,28,45.0,2,31
5.201,30.374,388.81,28,45.0,2,31
5.347,30.313,390.35,29,46.0,2,32
5.292,32.938,438.37,32,49.0,3,35
5.921,37.315,446.47,34,55.0,4,38
4.523,31.788,384.4,29,46.0,3,32
5.284,30.313,390.35,29,46.0,2,32
4.565,28.38,331.39,25,38.0,4,27
4.824,40.137,470.55,35,51.0,8,38
4.409,33.46,422.41,31,46.0,6,34
4.815,40.304,396.72,29,35.0,5,32
4.71,42.885,414.79,30,34.0,5,33
4.644,46.841,472.83,34,39.0,7,37
4.866,26.6,310.37,23,34.0,3,25
4.804,28.127,324.4,24,35.0,4,26
4.757,28.127,324.4,24,35.0,4,26
4.451,29.149,339.42,25,35.0,5,27
4.203,26.074,308.35,23,35.0,1,26
4.341,22.224,234.37,17,21.0,0,18
4.447,22.939,250.37,18,22.0,0,19
4.983,30.046,318.5,23,28.0,5,24
4.833,26.09,260.46,19,23.0,2,20
4.372,24.181,268.39,19,22.0,0,19
4.453,24.181,268.39,19,22.0,0,19
4.455,23.466,252.39,18,21.0,0,19
3.678,63.782,846.84,58,72.0,25,58
4.188,26.074,308.35,23,35.0,1,26
4.13,22.547,270.3,20,30.0,3,22
5.444,20.456,214.33,16,22.5,0,18
4.592,22.547,270.3,20,29.0,4,21
5.081,39.039,503.64,35,54.5,8,38
5.092,39.007,514.62,36,57.5,8,39
5.366,40.28,521.66,36,54.5,10,39
4.745,33.997,431.49,31,47.0,6,34
5.796,35.524,445.52,32,48.0,7,35
5.959,35.524,445.52,32,48.0,7,35
5.187,30.755,389.45,28,43.5,4,31
5.585,29.185,385.42,27,39.0,5,29
4.137,25.964,421.18,25,33.0,6,26
4.991,26.943,355.39,25,37.0,4,27
4.77,31.992,418.39,30,42.0,7,32
5.658,31.992,418.39,30,42.0,7,32
5.268,34.669,486.39,34,46.0,7,36
4.398,33.798,410.45,30,42.0,9,32
5.301,34.669,486.39,34,46.0,7,36
5.244,34.669,486.39,34,46.0,7,36
5.829,37.345,554.39,38,50.0,7,40
5.367,42.542,560.78,37,54.5,7,41
4.382,27.788,336.36,25,37.0,1,28
4.824,37.958,461.71,31,42.5,4,34
6.481,31.25,409.34,26,39.5,5,29
7.409,46.512,576.65,42,67.0,8,47
7.0,40.177,608.36,35,54.0,7,39
7.022,46.707,540.71,40,63.0,9,45
6.268,37.422,430.53,32,47.0,9,35
6.239,35.599,424.54,31,49.0,4,35
5.66,35.181,400.5,30,45.0,8,33
5.337,42.027,576.57,36,49.0,7,39
5.854,35.206,467.38,30,44.5,8,33
6.038,41.917,491.57,37,57.0,8,41
6.523,43.37,633.6,39,57.0,10,43
4.642,21.694,373.27,20,30.5,2,22
6.337,41.39,489.55,37,58.0,7,41
5.924,32.751,356.49,27,41.0,6,30
7.071,51.19,600.77,44,67.0,11,49
4.854,31.152,426.0,27,38.5,4,30
5.886,30.224,330.45,25,38.5,5,28
7.0,45.18,526.68,39,62.0,8,44
6.349,36.22,550.32,31,49.0,4,35
6.921,48.136,572.71,42,65.0,9,47
8.523,44.128,618.55,39,53.5,10,42
8.523,44.94,616.58,39,53.5,9,42
7.553,53.619,644.78,47,73.0,9,53
5.77,22.442,372.21,21,29.5,5,22
5.699,27.21,428.28,25,34.5,7,26
5.678,29.758,457.33,27,36.5,7,28
5.699,26.398,430.25,25,34.5,7,26
6.328,31.022,462.34,28,40.5,8,30
6.699,32.603,468.4,28,37.5,8,30
6.959,42.707,492.67,36,55.0,9,40
6.678,31.076,454.37,27,36.5,7,29
6.921,32.603,468.4,28,37.5,7,30
7.515,37.183,510.49,31,40.5,7,33
5.42,30.57,455.36,27,36.5,7,29
6.409,34.527,513.4,31,41.5,8,33
7.357,34.714,533.46,31,42.5,8,33
7.26,40.241,595.53,36,51.5,9,39
8.097,42.269,544.7,37,52.5,10,40
5.81,46.201,541.7,40,63.0,9,45
9.167,41.57,565.11,37,52.5,10,40
7.62,41.461,610.54,37,52.5,10,40
7.398,53.807,658.76,48,75.0,9,54
6.131,33.886,390.45,30,49.0,4,34
6.886,42.758,620.35,37,56.0,8,41
7.469,49.566,604.71,44,69.0,8,49
6.481,41.517,571.65,39,60.0,6,44
6.292,38.31,438.57,33,50.5,9,37
6.658,47.761,538.67,41,64.0,10,46
7.495,45.511,570.72,40,61.5,8,44
6.131,41.517,571.65,39,60.0,6,44
6.229,45.729,525.63,40,63.0,9,45
6.377,39.223,521.64,36,57.0,6,41
6.18,39.223,521.64,36,57.0,6,41
5.971,35.195,471.43,30,48.0,4,34
7.329,50.688,665.63,44,67.0,10,49
6.357,39.667,538.09,36,57.0,6,41
6.013,39.667,538.09,36,57.0,6,41
5.62,39.667,538.09,36,57.0,6,41
6.456,41.082,533.68,37,58.0,7,42
5.959,40.335,528.66,37,60.0,6,42
6.42,31.541,456.34,26,39.5,5,29
6.301,39.865,582.54,36,57.0,6,41
5.959,39.865,582.54,36,57.0,6,41
6.77,44.233,506.7,37,56.0,10,41
6.824,41.517,571.65,39,60.0,6,44
6.638,39.223,521.64,36,57.0,6,41
6.282,36.803,644.32,31,49.0,4,35
6.337,40.367,517.68,36,57.0,6,41
7.476,40.302,524.67,36,56.0,7,40
7.099,47.421,556.71,41,64.0,9,46
6.319,38.84,503.65,35,56.0,6,40
5.509,42.608,578.04,39,54.5,10,42
4.921,44.85,608.07,41,56.5,11,44
4.638,42.992,596.03,40,55.5,10,43
6.451,37.932,486.52,35,56.0,6,39
4.921,41.662,558.06,37,48.5,12,39
6.328,37.349,611.22,35,50.5,6,38
7.252,47.26,603.53,41,64.0,9,46
5.431,35.648,460.41,34,52.5,4,38
5.77,38.979,540.48,38,58.5,6,42
5.936,41.173,528.56,38,60.0,8,42
7.638,48.865,676.47,41,60.0,12,45
6.398,44.708,510.61,39,62.0,8,44
6.523,45.505,618.71,42,62.5,9,46
7.26,53.342,592.77,45,69.0,10,51
6.432,43.786,557.51,37,55.5,10,41
5.879,39.181,448.54,34,53.0,7,38
4.222,21.02,256.27,19,28.0,1,21
6.824,46.032,620.73,42,61.0,9,46
6.268,38.978,544.63,36,51.0,7,39
6.092,38.978,544.63,36,51.0,7,39
6.097,50.124,678.85,45,66.0,11,49
7.602,48.757,698.49,42,65.0,9,47
6.745,55.45,799.56,49,74.0,12,54
6.032,40.505,558.66,37,52.0,7,40
7.284,48.559,646.77,44,64.5,11,48
6.959,55.232,716.88,49,69.0,15,53
6.796,41.685,554.67,38,58.5,8,42
6.678,43.739,570.72,39,58.0,9,43
7.638,51.651,692.88,46,67.0,12,50
6.796,53.177,706.91,47,68.0,13,51
6.585,47.792,610.79,42,62.5,12,46
7.367,46.265,596.76,41,61.5,11,45
6.456,53.178,700.83,48,69.5,14,52
7.553,46.985,592.72,42,67.0,8,47
5.616,23.121,547.81,21,28.0,2,22
7.0,51.905,616.77,45,68.0,11,50
5.886,46.032,620.73,42,61.0,9,46
6.62,36.925,528.58,35,51.5,7,38
7.357,54.208,781.54,48,74.0,10,54
6.538,50.284,712.52,43,66.0,10,48
3.638,17.847,256.16,17,24.0,2,18
6.569,46.234,524.64,40,63.0,9,45
6.77,42.205,557.53,36,55.0,9,40
4.524,35.949,408.53,30,41.0,5,32
7.268,56.976,813.59,50,75.0,13,55
7.552,48.447,635.6,42,65.0,9,47
5.959,30.939,346.45,26,39.5,5,29
6.456,46.234,524.64,40,63.0,9,45
4.269,38.581,530.06,35,52.5,10,38
4.108,44.217,684.53,42,60.5,13,45
4.225,42.425,569.66,39,57.5,13,42
4.602,33.473,485.3,32,45.0,8,34
5.886,43.879,543.57,40,59.5,8,44
6.292,22.789,381.12,21,28.5,4,22
7.046,22.042,376.1,21,30.5,3,22
4.286,37.805,515.6,35,52.5,9,38
4.239,43.252,604.1,40,58.5,13,43
5.824,24.811,408.15,23,31.5,4,24
5.886,24.691,429.19,23,32.5,4,24
4.752,42.477,589.64,40,58.5,12,43
4.093,39.28,509.65,35,52.5,10,38
5.357,44.854,613.67,42,61.5,14,45
4.996,40.678,552.63,38,57.5,10,41
6.469,51.685,607.69,46,72.0,10,52
6.921,20.515,362.07,20,29.5,2,21
5.969,34.885,408.54,30,48.0,4,34
5.936,44.862,547.73,39,61.5,9,44
4.301,19.017,273.19,18,25.5,2,19
4.42,49.388,613.81,43,64.5,12,47
6.509,20.515,362.07,20,29.5,2,21
4.118,43.952,583.69,40,58.5,13,43
6.602,21.252,381.08,21,29.5,3,22
4.13,45.666,611.7,42,61.5,13,45
4.928,43.928,532.59,40,63.0,8,45
4.536,43.191,605.64,41,59.5,13,44
6.155,36.808,491.42,32,49.0,8,36
7.601,56.717,662.84,49,76.0,11,55
7.347,29.832,471.21,28,40.5,5,30
4.013,38.52,531.6,36,53.5,10,39
7.114,52.19,612.78,45,69.0,9,51
7.569,28.688,475.17,28,40.5,4,30
7.222,28.305,457.18,27,39.5,4,29
6.796,28.096,440.19,26,38.5,4,28
4.701,43.191,605.64,41,59.5,13,44
4.22,37.227,493.6,34,52.5,9,37
6.886,45.929,701.35,42,61.5,8,46
6.292,45.233,518.71,38,57.5,9,42
5.77,54.002,715.71,49,70.0,16,52
7.284,45.812,648.41,39,58.0,10,43
4.197,38.227,505.61,35,55.5,8,39
3.955,26.066,371.26,25,34.0,7,26
3.833,21.803,314.2,21,29.0,5,22
6.854,39.542,546.62,37,57.0,7,41
7.276,47.323,611.75,43,69.0,8,48
4.086,38.956,557.37,37,51.0,11,39
6.538,47.761,538.67,41,64.0,9,46
6.921,51.7,643.72,46,61.5,16,49
6.479,46.813,636.5,43,61.0,11,46
5.51,65.766,826.83,58,85.5,14,64
4.796,32.344,416.38,29,42.0,7,31
6.921,47.875,685.49,46,66.0,10,50
5.886,36.781,493.37,33,45.0,10,35
4.699,44.788,456.78,33,39.0,1,37
5.77,43.65,563.53,40,60.0,10,44
6.796,48.134,728.4,45,65.0,10,49
5.796,48.274,595.62,43,66.0,9,48
6.268,53.011,724.57,49,68.0,16,52
5.143,51.266,672.68,46,66.0,15,49
6.658,57.417,740.68,52,79.5,10,58
7.518,51.065,707.55,48,69.0,12,52
6.62,51.869,675.6,47,71.0,10,52
7.454,51.13,700.56,48,71.5,10,53
6.921,49.636,675.55,46,67.0,11,50
6.796,54.705,714.86,49,70.5,15,53
5.886,49.581,668.55,45,62.0,14,48
6.921,47.109,649.51,44,64.0,10,48
6.432,50.779,649.64,47,73.5,9,53
7.125,45.797,560.65,41,66.0,8,46
6.638,48.159,569.64,43,68.0,10,48
5.47,64.288,845.85,58,72.0,25,58
7.539,48.447,635.6,42,65.0,9,47
6.75,48.624,635.63,46,74.0,9,51
6.319,31.964,425.34,27,40.5,5,30
7.131,49.288,552.7,42,65.0,9,47
6.357,43.761,490.63,37,56.0,10,41
5.939,36.708,414.53,31,46.0,9,34
6.921,51.19,600.77,44,67.0,11,49
7.237,47.732,619.6,41,64.0,9,46
6.387,47.761,538.67,41,64.0,9,46
6.852,50.309,567.72,43,66.0,12,48
6.187,33.393,553.18,31,45.5,3,34
8.688,71.204,805.12,57,67.0,10,63
6.638,33.466,372.49,28,42.0,6,31
5.854,35.516,530.27,30,44.0,6,33
6.442,44.708,510.61,39,62.0,8,44
5.921,43.974,571.49,38,57.5,10,42
5.796,43.879,543.57,40,59.5,8,44
7.268,45.812,648.41,39,58.0,9,43
6.097,35.298,453.44,33,48.5,6,36
6.038,33.698,376.47,29,47.0,4,33
6.77,44.761,502.64,38,58.0,8,43
6.495,44.078,604.51,37,55.5,10,41
5.886,33.797,506.29,32,47.0,5,35
7.276,56.002,646.84,48,75.0,11,54
6.442,39.151,529.47,34,53.0,7,38
7.284,54.588,651.25,47,74.0,10,53
6.798,45.917,539.61,41,65.0,7,46
7.601,56.717,662.84,49,76.0,11,55
6.158,31.697,358.53,26,40.0,5,29
7.088,48.783,553.69,42,65.0,11,47
7.282,48.948,570.74,42,65.0,10,47
6.046,36.901,477.48,35,53.0,6,39
7.523,49.035,750.5,44,69.0,8,49
7.62,48.01,671.61,43,68.0,8,48
6.131,31.224,342.46,26,40.0,5,29
6.959,46.949,540.64,41,64.0,9,46
7.42,48.285,682.42,42,65.0,9,47
6.886,46.618,542.63,41,64.0,9,46
6.975,45.797,560.65,41,66.0,8,46
7.114,48.948,570.74,42,65.0,10,47
4.215,24.03,315.38,22,33.0,4,24
6.547,36.948,668.3,32,49.5,4,36
7.215,43.202,711.27,38,60.0,6,43
5.873,32.095,383.42,29,45.0,5,32
6.921,54.243,654.79,47,61.0,19,48
5.848,21.59,248.29,19,30.0,2,21
5.996,35.654,410.49,31,47.0,7,34
5.268,40.582,448.73,31,39.0,9,33
5.971,27.788,336.36,25,37.0,6,27
6.075,55.264,669.81,48,62.0,20,49
6.364,55.333,704.83,49,65.0,19,50
6.602,56.77,680.83,49,64.0,17,51
5.886,57.023,687.82,50,68.0,18,52
5.469,54.286,644.79,47,64.0,17,49
4.0,31.556,386.5,27,39.5,9,29
6.367,54.243,654.79,47,61.0,18,48
5.041,40.818,519.63,36,49.0,13,37
5.684,36.337,437.47,33,52.0,6,37
5.699,50.507,599.75,43,55.0,18,44
4.721,27.305,324.34,25,42.0,1,29
4.102,9.913,140.1,10,14.5,2,10
5.523,25.515,317.31,24,39.0,2,27
4.745,24.974,302.31,23,37.0,1,26
5.812,24.02,292.3,22,34.0,3,24
5.812,33.315,398.43,30,46.0,6,33
6.252,64.566,694.53,49,60.0,9,54
6.367,28.6,334.39,25,37.0,6,27
4.879,41.868,450.67,33,43.0,1,37
5.387,31.538,471.46,32,51.0,5,35
5.959,44.443,533.63,39,54.5,12,41
4.959,38.77,438.69,30,37.5,9,32
4.194,30.226,476.81,28,41.5,5,30
4.959,27.492,354.34,26,38.0,6,27
4.685,27.471,351.33,26,39.5,4,28
4.301,25.283,313.33,23,33.0,5,24
4.456,32.067,429.83,30,43.0,6,33
5.0,12.505,159.15,12,19.0,0,13
5.824,69.636,854.96,62,85.0,23,66
6.155,59.958,730.84,53,72.0,19,56
5.854,58.295,722.81,52,70.0,18,55
5.851,68.04,848.91,60,82.0,21,64
5.337,66.823,792.96,58,80.0,22,62
4.658,18.305,216.25,16,23.0,2,17
5.398,58.243,702.83,51,69.0,18,54
4.041,15.649,219.16,16,25.0,2,17
5.509,68.921,838.96,61,84.0,22,65
4.538,60.672,746.84,54,73.0,20,57
4.194,24.514,311.38,22,33.0,4,24
4.143,58.77,704.85,51,68.0,22,53
4.712,71.494,867.0,63,86.0,25,67
5.081,69.253,836.97,61,84.0,23,65
4.398,33.88,401.53,30,45.0,4,34
4.252,12.231,217.04,11,15.0,1,11
4.481,33.88,401.53,30,45.0,4,34
4.292,29.128,426.92,27,40.5,5,29
5.343,43.281,546.58,39,51.0,16,40
4.0,43.749,516.78,36,53.5,11,39
4.237,34.985,463.57,32,51.5,7,35
4.036,16.374,249.11,14,21.5,1,15
4.579,24.875,379.3,24,34.5,4,25
4.0,40.318,528.66,36,53.5,8,39
4.0,34.588,432.6,30,47.5,6,33
4.009,39.641,484.68,34,54.5,7,38
6.839,35.787,657.11,32,50.0,4,36
4.337,46.562,625.64,42,58.5,10,45
4.699,46.094,650.03,43,63.5,7,47
4.818,59.178,721.83,52,69.0,20,54
4.0,37.544,478.63,33,50.5,8,36
5.745,55.178,673.79,48,61.0,20,49
6.456,57.47,726.85,49,65.5,22,51
5.367,36.852,438.51,32,44.0,5,34
4.456,18.71,274.17,18,25.5,3,19
4.0,33.588,420.59,29,46.0,6,32
7.089,42.73,695.2,38,60.0,6,43
4.114,38.408,496.64,34,51.5,8,37
7.658,59.168,719.8,53,77.0,16,57
6.911,54.071,677.72,49,67.0,19,51
4.495,32.942,433.03,28,41.5,7,30
4.86,48.883,603.69,43,55.0,18,44
4.456,38.469,495.1,33,50.5,8,36
8.62,44.683,657.45,43,56.0,14,44
7.959,48.653,794.32,44,69.0,7,50
6.252,60.936,739.84,54,75.0,18,57
6.409,54.908,742.63,49,66.0,17,51
4.745,46.879,610.67,41,56.5,14,43
5.0,29.912,395.82,28,43.0,5,31
5.0,14.16,228.03,14,21.0,0,15
5.097,26.398,452.11,24,35.0,4,26
4.89,26.997,347.42,24,33.5,6,25
4.43,13.836,215.2,14,19.5,3,14
5.05,23.131,321.33,22,31.5,5,23
4.85,16.493,335.06,16,22.0,3,16
2.96,16.703,223.2,16,22.0,3,16
4.0,24.724,321.79,22,30.0,4,24
2.77,16.703,223.2,16,22.0,3,16
5.0,24.724,321.79,22,30.0,4,24
5.77,37.947,550.36,36,49.0,10,38
5.35,21.605,307.3,21,30.5,4,22
4.886,47.899,612.57,45,66.0,15,48
5.699,53.636,637.82,46,60.0,18,48
4.0,25.875,308.36,23,34.0,4,25
5.0,27.482,351.81,25,39.0,4,28
5.009,24.218,322.78,22,30.0,4,24
5.046,41.566,518.57,37,48.0,15,38
4.721,34.46,434.42,32,47.0,10,34
5.658,24.9,341.37,23,30.5,4,25
4.745,18.197,248.21,18,27.0,3,19
5.046,27.679,380.48,25,35.0,6,27
5.1,18.197,248.21,18,27.0,3,19
5.06,28.513,375.44,26,36.5,6,28
3.97,13.836,215.2,14,19.5,3,14
5.22,20.506,319.34,20,28.5,3,21
