pXC50,SaaNH,NaaNH,C.035,Eig02_EA.ed.,SM11_AEA.dm.,Eig02_AEA.ed.,SpMax1_Bh.s.,Eig02_EA.ri.,nN.CO.2,PCR,PCD,Eig01_AEA.dm.,SpMax_AEA.dm.,Eig02_AEA.ri.,nCONN,piID,H.049,MPC09,SpMax2_Bh.s.,N.072,Eig02_EA.bo.,SM12_AEA.ri.,Eig02_EA,SM10_AEA.bo.,TWC,MPC06,Rperim,MWC09,X4A,MWC08,SsssN,MWC10,SM08_EA,SdO,nCIC,TRS,O.058,SM14_EA,SM15_EA,MPC08,SM06_EA,MWC07,SM04_EA.ed.,SM05_AEA.ed.,Eig03_AEA.ed.,SM06_AEA.ed.,SM08_EA.bo.,SaaN,SM13_EA,X5A,SM03_EA.ed.,SM07_AEA.ed.,MPC07,nCIR,SM11_EA,SM12_EA,MATS2e,NdssC,X3A,SM04_AEA.ed.,D.Dtr05,MPC10,SM10_EA,SM08_EA.ed.,SM07_EA,N.075,NaaN,nAB
9.625,3.251,1,1,9.293,9.293,6.23,7.444,2.743,1,1.188,1.318,3.988,3.988,3.804,1,8.313,0,4.868,7.411,2,3.321,3.321,2.838,2.838,12.597,4.663,14,11.166,0.106,10.241,2.815,12.092,10.056,25.29,3,16,2,17.02,18.206,4.898,7.885,9.318,10.761,10.75,5.976,12.562,11.747,4.563,15.829,0.065,7.585,14.399,4.779,4,13.468,14.659,0.316,2,0.171,8.977,105.138,4.71,12.33,20.057,8.79,1,1,5
5.174,0.0,0,0,8.115,8.115,5.814,5.237,2.585,0,1.563,4.175,3.243,3.243,3.638,0,11.585,1,4.82,5.109,0,3.628,3.628,2.672,2.672,12.381,4.443,21,10.962,0.115,10.08,0.0,11.849,9.734,0.0,4,23,0,16.295,17.415,4.771,7.715,9.197,10.392,10.522,5.414,12.259,12.554,17.037,15.152,0.076,7.273,14.027,4.605,5,12.904,14.058,0.153,0,0.181,8.828,47.912,4.883,11.862,19.322,8.438,4,4,22
5.777,0.0,0,0,7.97,7.97,5.78,5.233,2.586,0,1.554,4.139,3.222,3.222,3.626,0,11.606,1,4.787,4.77,0,3.626,3.626,2.654,2.654,12.368,4.419,21,10.951,0.117,10.075,0.0,11.831,9.729,0.0,4,23,0,16.268,17.384,4.736,7.721,9.198,10.381,10.527,5.377,12.26,12.551,17.196,15.126,0.078,7.273,14.025,4.564,5,12.884,14.037,0.225,0,0.184,8.837,51.755,4.868,11.849,19.298,8.432,4,4,22
5.231,0.0,0,0,8.739,8.739,6.061,5.236,2.645,0,1.566,4.256,3.296,3.296,3.749,0,11.771,1,4.883,4.923,0,3.781,3.781,2.804,2.804,12.462,4.511,21,11.041,0.115,10.158,0.0,11.932,9.859,0.0,4,23,0,16.42,17.536,4.828,7.818,9.269,10.519,10.64,5.749,12.39,12.631,17.099,15.284,0.074,7.402,14.169,4.654,5,13.045,14.192,0.134,0,0.179,8.93,49.276,4.97,11.997,19.432,8.582,4,4,22
5.812,0.0,0,0,7.916,7.916,5.769,5.233,2.601,0,1.547,4.107,3.234,3.234,3.614,0,11.622,1,4.718,5.11,0,3.614,3.614,2.624,2.624,12.368,4.407,21,10.951,0.119,10.08,0.0,11.828,9.733,0.0,4,23,0,16.265,17.382,4.663,7.73,9.207,10.384,10.534,5.412,12.265,12.551,17.16,15.124,0.079,7.273,14.028,4.533,5,12.882,14.036,0.139,0,0.185,8.848,55.393,4.812,11.849,19.297,8.432,4,4,22
9.155,3.155,1,1,9.288,9.288,6.229,7.444,2.732,1,1.299,2.107,3.987,3.987,3.795,1,9.146,0,4.852,7.411,2,3.609,3.609,2.83,2.83,12.59,4.644,15,11.159,0.107,10.236,2.902,12.084,10.053,25.215,3,17,2,17.015,18.2,4.868,7.885,9.314,10.76,10.75,5.975,12.562,11.975,4.461,15.823,0.068,7.585,14.398,4.771,4,13.46,14.654,0.321,2,0.17,8.977,45.92,4.771,12.325,20.056,8.777,1,1,11
6.917,0.0,0,0,8.106,8.106,5.812,5.232,2.553,0,1.435,3.174,3.243,3.243,3.604,0,10.478,1,4.754,4.75,0,3.473,3.473,2.64,2.64,12.33,4.394,21,10.91,0.116,10.028,0.0,11.798,9.675,0.0,4,23,0,16.267,17.39,4.718,7.646,9.145,10.341,10.447,5.378,12.19,12.411,17.335,15.119,0.076,7.195,13.966,4.564,5,12.86,14.022,0.196,0,0.18,8.751,44.735,4.804,11.815,19.31,8.36,4,4,16
6.924,0.0,0,0,8.737,8.737,6.061,5.236,2.633,0,1.565,4.245,3.296,3.296,3.746,0,11.761,1,4.883,4.923,0,3.78,3.78,2.802,2.802,12.456,4.5,21,11.037,0.114,10.152,0.0,11.925,9.853,0.0,4,23,0,16.41,17.526,4.828,7.816,9.267,10.51,10.639,5.739,12.388,12.627,17.08,15.274,0.075,7.402,14.166,4.654,5,13.034,14.181,0.134,0,0.181,8.93,49.866,4.963,11.988,19.423,8.577,4,4,22
5.479,0.0,0,0,8.033,8.033,5.788,5.234,2.543,0,1.556,4.149,3.225,3.225,3.626,0,11.616,1,4.787,4.943,0,3.658,3.658,2.681,2.681,12.374,4.431,21,10.955,0.119,10.081,0.0,11.839,9.736,0.0,4,23,0,16.279,17.396,4.736,7.724,9.201,10.392,10.529,5.447,12.263,12.555,17.087,15.138,0.077,7.273,14.03,4.564,5,12.896,14.049,0.118,0,0.182,8.838,51.165,4.875,11.859,19.308,8.438,4,4,22
7.678,0.0,0,0,8.736,8.736,6.06,5.233,2.624,0,1.444,3.242,3.296,3.296,3.745,0,10.537,1,4.771,4.923,0,3.779,3.779,2.801,2.801,12.401,4.431,20,10.981,0.114,10.093,0.0,11.872,9.799,0.0,4,22,0,16.389,17.508,4.745,7.745,9.205,10.462,10.567,5.736,12.324,12.495,17.192,15.251,0.073,7.334,14.111,4.595,5,13.005,14.152,0.12,0,0.179,8.851,99.91,4.828,11.948,19.413,8.525,4,4,16
6.24,0.0,0,0,8.062,8.062,5.803,5.232,2.61,0,1.541,4.043,3.243,3.243,3.64,0,11.514,1,4.745,4.757,0,3.475,3.475,2.664,2.664,12.393,4.431,21,10.973,0.119,10.1,0.0,11.857,9.746,0.0,4,23,0,16.294,17.413,4.727,7.735,9.22,10.407,10.537,5.475,12.27,12.513,17.314,15.152,0.078,7.273,14.037,4.585,5,12.905,14.061,0.203,0,0.182,8.849,54.608,4.828,11.869,19.326,8.441,4,4,22
7.137,0.0,0,0,8.73,8.73,6.06,5.234,2.634,0,1.543,4.115,3.296,3.296,3.744,0,11.69,1,4.812,4.923,0,3.779,3.779,2.8,2.8,12.467,4.489,21,11.047,0.118,10.17,0.0,11.933,9.863,0.0,4,23,0,16.41,17.524,4.787,7.834,9.289,10.524,10.652,5.724,12.398,12.59,17.261,15.273,0.077,7.402,14.174,4.635,5,13.036,14.184,0.133,0,0.182,8.949,56.561,4.913,11.994,19.427,8.579,4,4,22
5.359,0.0,0,0,8.033,8.033,5.788,5.233,2.616,0,1.556,4.149,3.223,3.223,3.654,0,11.616,1,4.787,4.77,0,3.658,3.658,2.681,2.681,12.374,4.431,21,10.955,0.119,10.081,0.0,11.839,9.736,0.0,4,23,0,16.279,17.396,4.736,7.724,9.201,10.392,10.529,5.447,12.263,12.555,17.215,15.138,0.077,7.273,14.03,4.564,5,12.896,14.049,0.225,0,0.182,8.838,51.165,4.875,11.859,19.308,8.438,4,4,22
7.268,0.0,0,0,10.177,10.177,6.499,7.428,3.0,0,1.469,4.007,3.956,3.956,4.005,1,12.545,0,5.717,4.959,2,3.727,3.727,3.008,3.008,13.022,5.142,31,11.592,0.108,10.675,3.068,12.514,10.411,13.484,6,35,1,17.323,18.503,5.565,8.276,9.758,11.126,11.116,6.338,12.913,12.313,0.0,16.132,0.069,7.941,14.74,5.366,9,13.776,14.973,0.31,3,0.17,9.365,58.867,5.832,12.66,20.455,9.102,0,0,24
6.991,0.0,0,0,8.739,8.739,6.061,5.233,2.645,0,1.432,3.246,3.296,3.296,3.749,0,10.761,1,4.883,4.923,0,3.779,3.779,2.804,2.804,12.462,4.511,21,11.041,0.115,10.158,0.0,11.932,9.859,0.0,4,23,0,16.42,17.536,4.828,7.818,9.269,10.519,10.64,5.749,12.39,12.499,17.357,15.284,0.074,7.402,14.169,4.654,5,13.045,14.192,0.147,0,0.179,8.93,49.276,4.97,11.997,19.432,8.582,4,4,16
5.959,0.0,0,0,8.156,8.156,5.82,5.234,2.624,0,1.565,4.185,3.244,3.244,3.666,0,11.595,1,4.82,4.773,0,3.66,3.66,2.694,2.694,12.387,4.454,21,10.966,0.116,10.087,0.0,11.856,9.741,0.0,4,23,0,16.306,17.426,4.771,7.717,9.2,10.403,10.523,5.478,12.262,12.558,17.152,15.164,0.075,7.273,14.031,4.605,5,12.915,14.07,0.213,0,0.179,8.828,47.323,4.89,11.873,19.331,8.444,4,4,22
5.554,0.0,0,0,7.93,7.93,5.773,5.232,2.543,0,1.431,3.17,3.235,3.235,3.576,0,10.532,1,4.727,4.751,0,3.472,3.472,2.601,2.601,12.317,4.369,21,10.899,0.119,10.023,0.0,11.78,9.67,0.0,4,23,0,16.24,17.36,4.673,7.653,9.146,10.33,10.453,5.35,12.192,12.409,17.327,15.094,0.078,7.195,13.964,4.533,5,12.84,14.0,0.182,0,0.183,8.762,48.309,4.787,11.801,19.286,8.353,4,4,16
5.143,0.0,0,0,7.97,7.97,5.78,5.235,2.57,0,1.554,4.139,3.222,3.222,3.621,0,11.606,1,4.787,5.109,0,3.626,3.626,2.654,2.654,12.368,4.419,21,10.951,0.117,10.075,0.0,11.831,9.729,0.0,4,23,0,16.268,17.384,4.736,7.721,9.198,10.381,10.527,5.377,12.26,12.551,17.1,15.126,0.078,7.273,14.025,4.564,5,12.884,14.037,0.17,0,0.184,8.837,51.755,4.868,11.849,19.298,8.432,4,4,22
6.611,0.0,0,0,8.229,8.229,5.93,7.815,2.718,0,1.562,4.327,3.778,3.778,3.761,0,12.023,1,4.82,6.999,0,3.951,3.951,2.785,2.785,12.433,4.489,21,11.018,0.12,10.148,0.0,11.892,9.842,21.479,4,23,0,16.335,17.442,4.71,7.835,9.278,10.487,10.654,5.727,12.393,12.682,16.988,15.203,0.078,7.405,14.163,4.595,5,12.98,14.123,0.17,0,0.185,8.956,62.297,4.934,11.951,19.349,8.561,4,4,22
5.658,0.0,0,0,8.676,8.676,6.05,5.231,2.735,0,1.541,4.04,3.252,3.252,3.77,0,11.515,1,4.754,4.764,0,3.544,3.544,2.791,2.791,12.397,4.419,21,10.979,0.119,10.104,0.0,11.859,9.797,0.0,4,23,0,16.35,17.465,4.7,7.769,9.228,10.457,10.584,5.693,12.333,12.525,17.325,15.212,0.078,7.334,14.114,4.564,5,12.97,14.121,0.203,0,0.184,8.88,54.785,4.836,11.929,19.385,8.5,4,4,22
6.666,0.0,0,0,7.953,7.953,5.777,5.23,2.534,0,1.426,3.137,3.222,3.222,3.571,0,10.5,1,4.718,4.75,0,3.448,3.448,2.608,2.608,12.316,4.369,21,10.898,0.119,10.022,0.0,11.779,9.67,0.0,4,23,0,16.239,17.359,4.682,7.653,9.146,10.33,10.453,5.349,12.192,12.407,17.399,15.093,0.078,7.195,13.964,4.522,5,12.84,14.0,0.203,0,0.183,8.762,48.577,4.787,11.801,19.286,8.353,4,4,16
5.022,0.0,0,0,7.932,7.932,5.773,5.234,2.597,0,1.555,4.14,3.237,3.237,3.621,0,11.603,1,4.779,5.11,0,3.616,3.616,2.638,2.638,12.367,4.419,21,10.95,0.117,10.074,0.0,11.83,9.729,0.0,4,23,0,16.269,17.386,4.71,7.721,9.198,10.381,10.527,5.412,12.26,12.551,17.104,15.127,0.078,7.273,14.025,4.554,5,12.884,14.038,0.124,0,0.184,8.837,51.616,4.852,11.849,19.298,8.432,4,4,22
6.33,0.0,0,0,8.817,8.817,6.084,5.234,2.742,0,1.551,4.147,3.304,3.304,3.791,0,11.67,1,4.852,4.923,0,3.779,3.779,2.828,2.828,12.483,4.5,21,11.063,0.116,10.179,0.0,11.951,9.913,0.0,4,23,0,16.482,17.596,4.796,7.859,9.295,10.576,10.69,6.018,12.452,12.604,17.209,15.348,0.076,7.455,14.243,4.654,5,13.109,14.255,0.12,0,0.181,8.969,52.897,4.934,12.059,19.501,8.636,4,4,22
6.359,0.0,0,0,8.693,8.693,6.052,5.233,2.739,0,1.55,4.076,3.266,3.266,3.775,0,11.494,1,4.787,4.762,0,3.547,3.547,2.796,2.796,12.409,4.443,21,10.99,0.117,10.109,0.0,11.876,9.802,0.0,4,23,0,16.375,17.493,4.736,7.763,9.227,10.466,10.579,5.738,12.332,12.528,17.262,15.235,0.077,7.334,14.115,4.605,5,12.989,14.141,0.192,0,0.181,8.871,50.943,4.852,11.942,19.407,8.506,4,4,22
6.896,0.0,0,0,8.109,8.109,5.813,5.232,2.558,0,1.442,3.173,3.243,3.243,3.61,0,10.359,1,4.7,4.75,0,3.473,3.473,2.647,2.647,12.321,4.369,20,10.901,0.115,10.017,0.0,11.791,9.673,0.0,4,22,0,16.271,17.395,4.682,7.637,9.131,10.338,10.44,5.384,12.186,12.41,17.244,15.126,0.074,7.195,13.964,4.543,5,12.87,14.025,0.186,0,0.179,8.74,95.499,4.736,11.817,19.311,8.379,4,4,16
6.354,0.0,0,0,8.537,8.537,5.985,7.815,2.733,0,1.583,4.429,3.78,3.78,3.79,0,12.023,1,4.913,6.999,0,3.977,3.977,2.821,2.821,12.468,4.522,21,11.049,0.115,10.167,0.0,11.936,9.857,21.843,4,23,0,16.403,17.517,4.836,7.826,9.282,10.517,10.646,5.791,12.393,12.691,16.768,15.267,0.076,7.405,14.169,4.7,5,13.03,14.177,0.172,0,0.179,8.939,52.82,5.004,11.987,19.411,8.577,4,4,22
7.367,0.0,0,0,8.736,8.736,6.06,5.233,2.623,0,1.438,3.244,3.296,3.296,3.744,0,10.655,1,4.82,4.923,0,3.779,3.779,2.8,2.8,12.409,4.454,21,10.989,0.115,10.104,0.0,11.878,9.801,0.0,4,23,0,16.385,17.504,4.779,7.754,9.218,10.465,10.573,5.735,12.328,12.495,17.283,15.245,0.075,7.334,14.113,4.615,5,12.997,14.149,0.132,0,0.18,8.861,46.688,4.89,11.947,19.413,8.509,4,4,16
6.0,0.0,0,0,8.715,8.715,6.058,7.815,2.719,0,1.573,4.434,3.778,3.778,3.764,0,12.177,1,4.905,6.999,0,3.951,3.951,2.8,2.8,12.516,4.564,21,11.099,0.117,10.22,0.0,11.981,9.953,21.479,4,23,0,16.469,17.576,4.804,7.92,9.341,10.603,10.753,5.929,12.506,12.75,16.872,15.34,0.075,7.519,14.286,4.682,5,13.118,14.256,0.118,0,0.183,9.038,60.408,5.011,12.077,19.468,8.689,4,4,22
5.648,0.0,0,0,8.525,8.525,5.984,7.815,2.731,0,1.574,4.394,3.78,3.78,3.788,0,12.044,1,4.883,6.999,0,3.977,3.977,2.819,2.819,12.456,4.5,21,11.038,0.117,10.162,0.0,11.92,9.853,21.873,4,23,0,16.378,17.489,4.804,7.832,9.283,10.508,10.65,5.754,12.395,12.689,16.831,15.244,0.077,7.405,14.168,4.663,5,13.013,14.158,0.187,0,0.182,8.948,56.663,4.99,11.975,19.389,8.571,4,4,22
7.538,3.14,1,1,9.302,9.302,6.232,7.475,2.758,1,1.364,2.993,3.987,3.987,3.822,1,11.206,0,5.485,7.444,2,3.869,3.869,2.857,2.857,12.887,4.984,21,11.46,0.11,10.554,2.777,12.371,10.325,37.014,4,23,3,17.129,18.297,5.323,8.231,9.649,11.001,11.088,5.983,12.864,12.379,4.51,15.952,0.069,7.883,14.666,5.124,5,13.632,14.808,0.191,3,0.179,9.349,81.076,5.568,12.531,20.125,9.071,1,1,17
5.445,3.154,1,1,9.305,9.305,6.233,7.475,2.76,1,1.369,3.177,3.988,3.988,3.823,1,11.779,0,5.677,7.444,2,3.703,3.703,2.857,2.857,12.967,5.1,27,11.541,0.112,10.643,2.756,12.446,10.352,37.908,5,29,3,17.107,18.274,5.472,8.299,9.745,11.021,11.139,5.98,12.895,12.446,4.565,15.93,0.071,7.917,14.679,5.247,6,13.615,14.791,0.182,3,0.182,9.423,97.0,5.799,12.53,20.106,9.086,1,1,23
7.747,0.0,0,0,9.586,9.586,6.338,7.428,2.724,0,1.468,3.825,3.956,3.956,3.797,1,12.001,0,5.429,4.955,2,3.647,3.647,2.836,2.836,12.828,4.942,25,11.396,0.109,10.478,3.063,12.319,10.206,13.218,5,29,1,17.172,18.363,5.323,8.072,9.562,10.91,10.905,5.963,12.695,12.119,0.0,15.969,0.069,7.719,14.519,5.147,8,13.592,14.799,0.32,3,0.173,9.161,49.117,5.489,12.466,20.289,8.891,0,0,18
6.334,0.0,0,0,8.156,8.156,5.82,5.235,2.563,0,1.565,4.185,3.246,3.246,3.643,0,11.595,1,4.82,4.943,0,3.66,3.66,2.694,2.694,12.387,4.454,21,10.966,0.116,10.087,0.0,11.856,9.741,0.0,4,23,0,16.306,17.426,4.771,7.717,9.2,10.403,10.523,5.478,12.262,12.558,17.023,15.164,0.075,7.273,14.031,4.605,5,12.915,14.07,0.097,0,0.179,8.828,47.323,4.89,11.873,19.331,8.444,4,4,22
6.0,0.0,0,0,8.715,8.715,6.057,5.235,2.622,0,1.556,4.211,3.293,3.293,3.738,0,11.779,1,4.844,5.11,0,3.779,3.779,2.795,2.795,12.444,4.477,21,11.026,0.116,10.147,0.0,11.909,9.849,0.0,4,23,0,16.387,17.5,4.771,7.821,9.268,10.5,10.643,5.685,12.389,12.625,17.051,15.252,0.077,7.402,14.164,4.605,5,13.017,14.163,0.068,0,0.183,8.938,53.57,4.927,11.976,19.402,8.571,4,4,22
5.585,0.0,0,0,9.591,9.591,6.339,7.432,2.727,0,1.469,3.904,3.959,3.959,3.801,2,12.234,0,5.533,7.427,4,3.648,3.648,2.841,2.841,12.919,5.043,25,11.488,0.108,10.57,2.73,12.412,10.294,25.89,5,29,2,17.212,18.399,5.434,8.176,9.652,10.995,11.014,5.984,12.797,12.221,0.0,16.015,0.068,7.832,14.61,5.257,8,13.654,14.851,0.225,4,0.172,9.274,53.583,5.62,12.535,20.313,9.002,0,0,18
5.371,0.0,0,0,8.715,8.715,6.057,5.233,2.616,0,1.434,3.242,3.293,3.293,3.738,0,10.71,1,4.796,4.923,0,3.779,3.779,2.794,2.794,12.397,4.431,21,10.979,0.118,10.099,0.0,11.862,9.797,0.0,4,23,0,16.361,17.477,4.736,7.76,9.219,10.455,10.578,5.684,12.329,12.494,17.274,15.222,0.077,7.334,14.111,4.585,5,12.979,14.13,0.124,0,0.183,8.87,50.263,4.868,11.934,19.391,8.503,4,4,16
6.288,0.0,0,0,9.565,9.565,6.333,7.435,2.727,0,1.372,2.725,3.991,3.991,3.796,1,10.06,0,5.056,7.423,3,3.644,3.644,2.831,2.831,12.653,4.71,19,11.219,0.103,10.289,2.568,12.153,10.095,24.704,4,23,2,17.125,18.321,5.011,7.907,9.358,10.801,10.759,5.894,12.574,11.873,0.0,15.922,0.066,7.609,14.416,4.868,7,13.535,14.742,0.277,3,0.166,8.986,29.764,5.004,12.389,20.235,8.8,0,0,12
6.114,0.0,0,0,8.156,8.156,5.82,5.232,2.624,0,1.428,3.174,3.244,3.244,3.666,0,10.584,1,4.82,4.75,0,3.473,3.473,2.694,2.694,12.387,4.454,21,10.966,0.116,10.087,0.0,11.856,9.741,0.0,4,23,0,16.306,17.426,4.771,7.717,9.2,10.403,10.523,5.478,12.262,12.415,17.409,15.164,0.075,7.273,14.031,4.605,5,12.915,14.07,0.211,0,0.179,8.828,47.323,4.89,11.873,19.331,8.444,4,4,16
5.738,0.0,0,0,8.739,8.739,6.061,5.236,2.625,0,1.566,4.256,3.297,3.297,3.747,0,11.771,1,4.883,4.943,0,3.781,3.781,2.804,2.804,12.462,4.511,21,11.041,0.115,10.158,0.0,11.932,9.859,0.0,4,23,0,16.42,17.536,4.828,7.818,9.269,10.519,10.64,5.749,12.39,12.631,16.971,15.284,0.074,7.402,14.169,4.654,5,13.045,14.192,0.046,0,0.179,8.93,49.276,4.97,11.997,19.432,8.582,4,4,22
7.294,0.0,0,0,9.591,9.591,6.339,7.432,2.727,0,1.47,3.843,3.959,3.959,3.801,2,12.019,0,5.509,7.427,4,3.647,3.647,2.84,2.84,12.873,4.99,25,11.44,0.108,10.52,2.747,12.367,10.246,25.718,5,29,2,17.195,18.385,5.407,8.115,9.599,10.951,10.95,5.984,12.738,12.149,0.0,15.995,0.068,7.766,14.558,5.215,8,13.625,14.827,0.382,4,0.17,9.206,48.008,5.583,12.501,20.304,8.944,0,0,18
6.018,3.044,1,0,9.35,9.35,6.242,7.475,2.769,1,1.401,3.336,3.993,3.993,3.846,1,11.652,0,5.545,7.444,2,3.931,3.931,2.897,2.897,12.932,5.043,21,11.504,0.11,10.595,2.627,12.418,10.351,37.344,4,23,3,17.162,18.33,5.394,8.252,9.686,11.038,11.108,6.075,12.886,12.428,4.533,15.985,0.069,7.91,14.69,5.204,5,13.663,14.839,0.18,3,0.176,9.367,87.755,5.635,12.56,20.163,9.091,1,1,17
7.26,3.103,1,1,9.307,9.307,6.233,7.475,2.761,1,1.401,3.336,3.991,3.991,3.831,1,11.652,0,5.583,7.444,2,3.93,3.93,2.881,2.881,12.935,5.05,21,11.506,0.11,10.596,2.64,12.422,10.351,37.124,4,23,3,17.162,18.331,5.429,8.252,9.687,11.038,11.108,6.084,12.886,12.428,4.488,15.985,0.069,7.91,14.69,5.226,5,13.663,14.839,0.18,3,0.176,9.367,83.938,5.673,12.56,20.164,9.091,1,1,17
5.509,3.074,1,0,9.305,9.305,6.233,7.475,2.76,1,1.364,2.993,3.987,3.987,3.825,1,11.206,0,5.447,7.444,2,3.869,3.869,2.862,2.862,12.886,4.984,21,11.459,0.11,10.554,2.764,12.37,10.325,37.2,4,23,3,17.129,18.297,5.293,8.231,9.649,11.001,11.088,5.98,12.864,12.379,4.552,15.952,0.069,7.883,14.666,5.112,5,13.632,14.807,0.191,3,0.179,9.349,84.382,5.537,12.531,20.125,9.071,1,1,17
6.796,3.062,1,0,9.346,9.346,6.242,7.475,2.768,1,1.369,3.018,3.993,3.993,3.84,1,11.191,0,5.493,7.444,2,3.873,3.873,2.883,2.883,12.899,5.004,21,11.471,0.108,10.56,2.702,12.386,10.328,37.208,4,23,3,17.145,18.314,5.352,8.228,9.65,11.007,11.085,6.008,12.863,12.381,4.542,15.967,0.068,7.883,14.667,5.159,5,13.643,14.82,0.184,3,0.177,9.343,80.046,5.576,12.539,20.139,9.074,1,1,17
5.638,3.066,1,0,9.305,9.305,6.233,7.475,2.76,1,1.364,2.96,3.987,3.987,3.822,1,11.096,0,5.421,7.444,2,3.703,3.703,2.857,2.857,12.841,4.956,21,11.413,0.11,10.508,2.753,12.324,10.253,37.054,4,23,3,17.076,18.249,5.268,8.166,9.604,10.934,11.015,5.978,12.787,12.279,4.541,15.893,0.07,7.813,14.587,5.088,5,13.562,14.744,0.192,3,0.179,9.283,81.182,5.497,12.46,20.088,8.988,1,1,17
8.367,0.0,0,0,9.59,9.59,6.339,7.432,2.726,0,1.418,3.171,3.959,3.959,3.8,1,10.75,0,5.268,7.427,3,3.647,3.647,2.838,2.838,12.748,4.868,19,11.313,0.103,10.382,2.759,12.249,10.152,24.385,4,23,2,17.168,18.364,5.236,7.98,9.448,10.865,10.829,5.977,12.635,11.981,0.0,15.964,0.065,7.678,14.471,5.081,7,13.579,14.785,0.313,4,0.164,9.064,35.242,5.247,12.437,20.287,8.86,0,0,12
7.357,3.052,1,0,9.34,9.34,6.241,7.475,2.768,1,1.369,2.985,3.993,3.993,3.831,1,11.079,0,5.451,7.444,2,3.71,3.71,2.866,2.866,12.853,4.97,21,11.424,0.108,10.514,2.687,12.339,10.256,37.026,4,23,3,17.092,18.266,5.323,8.162,9.605,10.941,11.012,5.992,12.786,12.281,4.529,15.908,0.069,7.813,14.588,5.124,5,13.574,14.757,0.185,3,0.177,9.277,76.98,5.525,12.469,20.104,8.992,1,1,17
6.506,0.0,0,0,9.574,9.574,6.336,7.428,2.738,0,1.42,3.167,3.954,3.954,3.811,1,10.711,0,5.198,5.174,2,3.727,3.727,2.849,2.849,12.716,4.796,19,11.283,0.104,10.354,2.779,12.214,10.15,12.798,4,23,1,17.144,18.337,5.1,7.982,9.426,10.852,10.837,5.895,12.642,12.03,0.0,15.944,0.066,7.687,14.475,4.956,7,13.568,14.769,0.13,3,0.168,9.07,35.064,5.209,12.428,20.245,8.868,0,0,12
7.62,3.122,1,1,9.302,9.302,6.232,7.475,2.758,1,1.396,3.311,3.987,3.987,3.823,1,11.662,0,5.513,7.444,2,3.929,3.929,2.872,2.872,12.92,5.024,21,11.494,0.112,10.589,2.714,12.404,10.348,37.114,4,23,3,17.146,18.313,5.357,8.256,9.685,11.032,11.111,6.07,12.887,12.426,4.501,15.971,0.07,7.91,14.689,5.17,5,13.652,14.827,0.189,3,0.177,9.373,88.012,5.613,12.552,20.148,9.088,1,1,17
7.048,0.0,0,0,9.597,9.597,6.341,7.431,2.811,0,1.476,3.869,3.959,3.959,3.833,1,12.001,0,5.553,7.427,3,3.677,3.677,2.857,2.857,12.884,4.997,25,11.451,0.106,10.527,2.775,12.38,10.281,25.856,5,29,2,17.229,18.416,5.429,8.134,9.603,10.986,10.978,6.092,12.777,12.2,0.0,16.032,0.067,7.803,14.605,5.231,8,13.666,14.865,0.303,4,0.17,9.222,45.094,5.613,12.54,20.336,8.983,0,0,18
6.51,0.0,0,0,10.022,10.022,6.495,7.434,2.79,0,1.364,2.704,4.023,4.023,3.876,1,10.129,0,5.153,7.422,3,3.658,3.658,2.918,2.918,12.764,4.812,19,11.328,0.101,10.389,4.125,12.269,10.241,25.188,4,23,2,17.349,18.558,5.094,8.023,9.45,10.955,10.892,5.993,12.723,11.943,0.0,16.135,0.064,7.753,14.579,4.97,7,13.726,14.941,0.245,3,0.166,9.1,31.749,5.112,12.563,20.455,8.953,0,0,12
8.319,0.0,0,0,9.586,9.586,6.338,7.428,2.724,0,1.474,3.851,3.956,3.956,3.797,1,11.983,0,5.46,4.955,2,3.647,3.647,2.836,2.836,12.824,4.942,25,11.392,0.108,10.472,3.048,12.317,10.204,13.198,5,29,1,17.172,18.364,5.338,8.066,9.554,10.909,10.9,5.963,12.693,12.119,0.0,15.969,0.069,7.719,14.518,5.153,8,13.593,14.798,0.315,3,0.172,9.154,46.101,5.533,12.466,20.289,8.891,0,0,18
7.26,0.0,0,0,9.586,9.586,6.338,7.428,2.725,0,1.48,3.878,3.956,3.956,3.798,1,11.964,0,5.505,4.958,2,3.647,3.647,2.836,2.836,12.824,4.949,25,11.392,0.107,10.469,3.028,12.319,10.201,13.177,5,29,1,17.173,18.365,5.371,8.059,9.548,10.907,10.895,5.965,12.69,12.119,0.0,15.97,0.068,7.719,14.516,5.17,8,13.593,14.799,0.307,3,0.171,9.146,43.188,5.565,12.465,20.289,8.891,0,0,18
7.545,0.0,0,0,9.615,9.615,6.343,8.201,2.742,0,1.424,3.159,3.954,3.954,3.819,1,10.603,0,5.136,7.428,2,3.743,3.743,2.858,2.858,12.701,4.762,19,11.266,0.103,10.337,2.492,12.2,10.139,12.664,4,23,1,17.147,18.34,5.081,7.962,9.406,10.841,10.815,5.898,12.623,12.025,0.0,15.945,0.066,7.662,14.458,4.913,7,13.566,14.768,0.157,3,0.165,9.047,31.693,5.112,12.424,20.247,8.856,0,0,12
