pXC50,H.050,nHDon,CATS2D_08_DA,ATSC8s,Hy,CATS2D_08_AP,Eig10_EA.bo.,Eig11_EA.bo.,DLS_07,P_VSA_MR_5,ATS8s,DBI,PHI,Eig13_EA.bo.,GGI9,CATS2D_09_DL,CATS2D_02_DP,GGI8,S2K,Uindex,CATS2D_09_DA,CATS2D_03_DA,Eig04_EA.dm.,RBN,Eig04_AEA.dm.,Eig06_AEA.dm.,S3K,BAC,SAdon,Eig05_EA.dm.,Eig09_EA.dm.,CATS2D_02_DA,IC3,GGI10,DLS_02,TPSA.NO.,TPSA.Tot.,TIE,IAC,IDDE,TIC0,LLS_02,Eig08_EA.dm.,ON0V,SpMax6_Bh.v.,SpMin6_Bh.i.,SpMin6_Bh.p.,SpMin6_Bh.v.,SsNH2,Eig07_EA.dm.,S1K,SpMax7_Bh.e.,SpMax7_Bh.i.,SpMax8_Bh.e.,SpMax8_Bh.i.,SpMin7_Bh.p.,SpMin8_Bh.e.,SpMin8_Bh.i.,SpMin8_Bh.v.,TIC2,VvdwZAZ,ATSC5s,SpMin6_Bh.e.,Chi1_EA.ed.,Eig09_EA.bo.,Eig10_EA.dm.,Eig11_EA.dm.,Eta_F,Eta_FL
4.262,2,2,0,17.678,0.214,0,0.874,0.17,1.0,24.777,5.162,2.646,3.587,-0.479,0.147,3,0,0.27,5.537,33.961,1,0,0.0,1,2.646,2.142,2.819,17.0,85.367,0.0,0.0,0,4.834,0.173,1.0,58.92,58.92,41.451,59.338,4.335,59.338,1.0,0.0,8.4,2.761,0.841,1.239,1.308,0.0,0.0,15.548,2.89,2.98,2.875,2.95,1.166,0.869,0.804,1.133,199.096,300.0,54.681,0.934,4.226,1.449,0.0,0.0,21.442,5.73
4.262,1,1,0,34.164,-0.346,0,1.663,1.5,1.0,31.825,5.298,2.828,3.891,0.521,0.109,2,0,0.197,6.541,36.103,0,0,0.0,3,2.663,2.073,3.076,2.0,18.011,0.0,0.0,1,4.949,0.136,1.0,73.59,73.59,34.21,64.118,4.106,64.118,0.88,0.0,7.533,2.878,1.051,1.339,1.287,0.0,0.0,16.062,2.894,2.949,2.854,2.925,1.092,0.886,0.821,1.084,166.851,294.58,47.683,1.068,5.258,1.879,0.0,0.0,28.963,8.375
4.262,1,1,0,293.375,-0.342,0,2.072,2.054,1.0,66.476,6.912,4.899,8.607,1.602,0.507,0,0,0.785,11.777,72.432,0,0,1.435,8,3.43,2.795,6.887,92.0,18.011,1.109,0.0,2,4.901,0.565,0.67,53.93,53.93,133.326,112.211,4.684,112.211,0.75,0.359,12.257,3.112,1.189,1.55,1.553,0.0,0.506,29.235,3.328,3.377,3.229,3.3,1.458,1.151,1.078,1.398,275.209,483.44,200.031,1.247,7.02,2.198,0.0,0.0,51.147,10.358
4.262,0,0,0,26.343,-0.836,0,-0.112,-0.297,1.0,97.243,5.138,3.464,4.777,-0.926,0.08,0,0,0.18,6.554,36.302,0,0,0.172,3,3.016,1.883,3.031,37.0,0.0,0.0,0.0,0,4.296,0.0,1.0,50.82,50.82,36.047,53.179,2.822,53.179,1.0,0.0,8.1,2.993,1.079,1.3,1.325,0.0,0.0,14.575,2.912,2.981,2.841,2.931,1.092,0.754,0.692,0.97,168.15,292.46,41.694,1.137,3.391,0.618,0.0,0.0,13.254,3.752
5.365,1,1,0,54.192,-0.372,0,1.515,1.375,1.0,68.354,5.846,3.742,5.987,0.986,0.202,1,0,0.278,9.048,46.063,0,0,0.0,7,2.948,2.615,4.332,10.0,18.011,0.0,0.0,1,5.429,0.198,1.0,90.27,90.27,58.097,89.843,4.688,89.843,0.88,0.0,10.983,3.214,1.262,1.53,1.539,0.0,0.0,21.173,3.158,3.197,3.109,3.169,1.495,1.134,1.102,1.367,290.811,390.96,62.639,1.324,6.21,1.81,0.0,0.0,28.061,7.108
4.252,1,1,1,37.664,-0.256,0,1.0,0.753,1.0,60.107,5.376,3.24,6.568,0.021,0.172,0,0,0.214,8.89,44.673,0,0,0.86,6,2.985,2.406,5.229,17.0,18.011,0.172,0.0,1,4.765,0.149,1.0,72.28,97.58,43.042,84.529,4.133,84.529,1.0,0.0,10.05,2.958,1.104,1.42,1.472,0.0,0.0,19.21,3.111,3.206,3.099,3.191,1.376,1.139,1.059,1.408,236.274,336.33,51.012,1.191,4.939,1.435,0.0,0.0,20.628,5.884
4.667,2,2,1,107.87,0.193,0,2.0,1.908,1.0,55.057,6.015,3.937,4.984,0.101,0.299,1,0,0.266,7.348,43.644,0,1,0.0,5,3.072,2.719,3.7,39.0,60.694,0.0,0.0,1,4.976,0.119,1.0,84.22,84.22,72.777,92.921,4.26,92.921,0.75,0.0,11.076,3.101,1.192,1.452,1.489,0.0,0.0,21.025,3.228,3.304,3.122,3.178,1.445,1.09,1.021,1.346,267.792,407.16,114.756,1.262,5.421,2.229,0.0,0.0,23.706,5.419
4.262,2,2,1,28.748,0.228,0,1.901,1.537,1.0,62.942,5.435,3.464,5.475,0.521,0.231,1,0,0.223,8.195,45.016,1,1,0.0,4,2.877,2.314,4.392,17.0,36.022,0.0,0.0,2,5.253,0.111,0.83,84.23,84.23,50.79,75.516,4.582,75.516,1.0,0.0,8.51,2.969,1.071,1.358,1.36,0.0,0.0,19.372,3.084,3.117,2.914,2.962,1.213,0.916,0.886,1.121,201.849,343.09,48.043,1.127,5.463,1.962,0.0,0.0,30.848,8.394
4.761,1,1,0,24.008,-0.22,0,0.927,0.367,1.0,48.591,5.089,2.828,4.298,-0.764,0.14,0,0,0.145,6.365,34.563,0,0,0.0,4,2.436,1.76,3.251,11.0,18.011,0.0,0.0,1,4.844,0.078,1.0,72.7,100.94,30.531,63.933,4.096,63.933,1.0,0.0,7.383,2.754,0.88,1.383,1.274,0.0,0.0,14.855,2.797,2.866,2.689,2.736,1.104,0.741,0.648,1.04,167.63,259.46,31.605,0.938,4.107,1.175,0.0,0.0,18.899,5.735
4.724,0,0,0,27.772,-0.717,0,0.891,-0.273,1.0,36.156,5.118,2.828,4.693,-0.655,0.112,0,0,0.152,6.713,34.561,0,0,0.13,3,2.544,1.804,3.308,13.0,0.0,0.0,0.0,0,4.453,0.087,1.0,45.67,45.67,31.477,67.064,3.789,67.064,1.0,0.0,7.493,2.91,0.993,1.356,1.314,0.0,0.0,15.379,2.959,3.003,2.684,2.748,1.114,0.674,0.638,0.965,166.122,276.43,49.734,1.041,4.133,1.0,0.0,0.0,18.183,5.368
4.262,1,1,0,73.2,-0.219,0,0.47,0.293,1.0,84.756,5.74,3.24,4.204,-0.56,0.102,1,0,0.398,6.174,38.838,1,1,0.925,4,3.314,2.427,3.111,41.0,18.011,0.6,0.0,3,4.665,0.0,1.0,106.94,106.94,48.366,68.877,3.939,68.877,1.0,0.0,8.433,2.945,1.084,1.397,1.41,0.0,0.286,16.342,3.027,3.047,2.825,2.897,1.177,0.748,0.678,1.035,174.348,295.42,67.487,1.16,4.293,1.186,0.0,0.0,24.25,6.306
4.262,1,1,0,33.971,-0.401,0,1.743,1.693,1.0,69.725,5.781,3.162,7.26,1.247,0.208,2,0,0.414,10.393,52.646,0,0,0.8,3,2.969,2.591,5.46,26.0,18.011,0.566,0.0,1,4.822,0.243,0.83,37.88,69.97,47.042,100.399,4.651,100.399,0.75,0.0,14.0,3.16,1.261,1.529,1.577,0.0,0.0,24.448,3.244,3.333,3.229,3.3,1.484,1.176,1.105,1.429,295.432,459.21,47.032,1.333,6.456,2.342,0.0,0.0,31.799,8.155
4.262,1,1,0,42.645,-0.284,0,0.524,0.032,1.0,37.971,5.305,3.808,6.684,-0.471,0.071,0,0,0.115,8.312,44.777,0,1,0.826,5,2.723,1.755,3.807,32.0,18.011,0.244,0.0,1,5.012,0.033,1.0,41.57,73.66,58.415,76.555,4.437,76.555,1.0,0.0,8.676,2.928,1.05,1.36,1.389,0.0,0.0,18.494,3.005,3.078,2.879,2.934,1.227,0.868,0.824,1.117,213.064,327.14,91.496,1.119,4.21,0.9,0.0,0.0,17.347,4.473
4.262,2,2,0,135.388,0.296,0,1.351,1.0,1.0,90.279,5.858,4.301,6.604,0.069,0.277,0,0,0.597,8.658,52.323,0,0,0.575,5,2.762,2.126,5.738,54.0,32.897,0.056,0.0,2,4.574,0.215,0.83,41.62,41.62,98.041,87.964,3.909,87.964,0.88,0.0,9.257,3.069,1.151,1.519,1.429,5.953,0.0,22.121,3.111,3.206,3.035,3.105,1.376,1.092,1.015,1.36,223.97,365.44,165.454,1.179,5.067,1.5,0.0,0.0,23.421,4.777
4.253,2,2,1,55.71,0.146,0,1.5,1.3,0.5,77.432,5.995,4.743,7.99,0.833,0.25,1,0,0.498,10.519,61.047,3,1,0.4,11,2.915,2.509,6.355,65.0,60.694,0.0,0.0,0,5.112,0.24,0.83,72.72,72.72,75.196,93.745,4.539,93.745,0.88,0.0,13.15,3.267,1.397,1.701,1.728,0.0,0.0,24.308,3.21,3.26,3.061,3.137,1.401,1.042,0.973,1.314,303.646,424.62,67.928,1.467,5.857,2.047,0.0,0.0,29.397,7.029
4.262,4,4,0,18.208,2.105,0,-0.445,-0.643,1.0,6.185,4.654,2.449,4.669,-1.5,0.102,4,0,0.107,6.471,31.354,0,0,0.0,5,2.439,1.737,4.392,5.0,65.794,0.0,0.0,2,4.101,0.05,1.0,87.05,112.35,22.108,55.677,3.017,55.677,1.0,0.0,5.4,2.715,0.813,1.062,1.107,11.158,0.0,12.988,2.776,2.858,2.452,2.587,1.006,0.415,0.249,0.829,119.735,225.1,27.012,0.875,3.687,-0.388,0.0,0.0,14.887,4.961
4.262,0,0,0,73.971,-0.607,0,1.434,1.169,1.0,43.772,5.791,4.796,7.516,0.476,0.283,0,0,0.453,9.461,58.49,0,0,0.0,7,2.913,2.227,4.999,70.0,0.0,0.0,0.0,0,4.607,0.177,0.67,112.14,137.28,124.695,109.85,4.414,109.85,0.75,0.0,11.267,3.255,1.392,1.583,1.643,0.0,0.0,24.626,3.334,3.332,3.119,3.206,1.399,1.153,1.064,1.429,254.431,422.63,213.522,1.439,4.917,1.5,0.0,0.0,30.258,5.523
4.262,4,4,0,47.406,1.874,0,0.105,-0.369,1.0,7.127,4.953,2.646,2.547,-0.744,0.051,0,0,0.094,4.131,27.775,0,1,0.0,0,2.642,2.249,1.764,17.0,170.733,0.0,0.0,0,4.708,0.0,0.83,90.15,90.15,44.476,50.612,4.202,50.612,1.0,0.0,5.967,2.659,0.77,1.064,1.06,0.0,0.0,12.948,2.793,2.829,2.535,2.589,0.998,0.614,0.552,0.928,150.405,242.23,67.407,0.82,3.633,0.788,0.0,0.0,19.725,5.293
5.843,0,0,0,92.959,-0.671,0,1.558,1.262,1.0,29.829,6.135,3.24,5.88,1.0,0.205,0,0,0.419,8.639,43.166,0,0,0.8,4,3.2,2.569,3.939,10.0,0.0,0.4,0.0,0,4.755,0.052,0.83,81.08,117.7,64.012,96.119,4.567,96.119,0.63,0.0,9.6,3.119,1.143,1.376,1.429,0.0,0.0,21.099,3.111,3.206,3.111,3.206,1.376,1.152,1.064,1.348,225.112,383.75,102.083,1.153,5.885,1.857,0.0,0.0,32.09,7.429
4.88,1,1,0,21.105,-0.271,0,-0.293,-0.528,1.0,93.602,5.076,4.243,6.338,-1.014,0.08,2,0,0.211,7.763,49.559,0,0,0.0,6,2.466,1.901,4.72,60.0,18.011,0.0,0.0,1,4.26,0.066,1.0,69.27,69.27,51.869,62.063,3.184,62.063,1.0,0.0,8.567,2.726,1.088,1.399,1.342,0.0,0.0,16.327,2.874,3.009,2.757,2.844,1.239,0.811,0.757,1.104,160.64,279.54,72.306,1.097,3.391,0.531,0.0,0.0,15.989,4.392
4.262,1,1,0,16.434,-0.326,0,1.185,0.277,1.0,3.124,4.754,2.236,3.064,-0.518,0.07,2,0,0.188,4.999,31.608,0,0,0.0,1,2.93,2.284,2.006,17.0,42.683,0.0,0.0,0,4.56,0.054,1.0,59.3,59.3,46.556,53.432,3.828,53.432,1.0,0.0,6.126,2.728,0.819,1.062,1.025,0.0,0.0,14.097,2.854,2.902,2.702,2.745,1.004,0.698,0.65,0.882,125.936,264.0,65.138,0.844,4.1,1.5,0.0,0.0,25.911,6.918
4.674,2,2,0,14.665,0.348,0,0.927,0.62,1.0,29.654,4.92,2.55,3.292,-0.528,0.059,0,0,0.104,5.442,29.901,0,3,0.0,4,2.463,1.566,2.379,3.0,34.796,0.0,0.0,1,4.982,0.033,1.0,75.97,75.97,22.486,58.814,4.096,58.814,1.0,0.0,6.817,2.795,0.906,1.276,1.272,0.0,0.0,13.31,2.896,2.957,2.614,2.686,1.208,0.794,0.72,1.065,167.753,232.78,24.108,0.996,4.28,0.998,0.0,0.0,21.089,6.678
5.082,1,1,0,46.778,-0.349,0,1.694,1.5,1.0,44.787,5.667,3.937,7.175,0.494,0.175,2,0,0.284,10.012,55.761,2,1,0.313,8,2.891,2.315,5.669,27.0,18.011,0.0,0.0,1,5.105,0.153,1.0,82.45,82.45,57.54,82.741,4.707,82.741,1.0,0.0,10.483,2.992,1.259,1.543,1.545,0.0,0.0,21.5,3.196,3.293,2.951,3.026,1.482,0.917,0.839,1.196,238.031,375.8,71.16,1.302,5.663,1.752,0.0,0.0,32.081,8.602
4.327,3,3,1,74.346,0.792,1,1.78,1.5,1.0,85.703,6.177,3.606,8.209,1.398,0.254,2,1,0.512,11.515,59.292,0,0,1.087,9,2.969,2.642,5.919,32.0,50.908,0.86,0.0,2,5.324,0.173,0.83,95.17,95.17,70.19,98.427,4.901,98.427,0.88,0.0,11.426,3.077,1.143,1.51,1.528,6.137,0.0,24.953,3.24,3.289,3.21,3.251,1.429,1.107,1.046,1.371,287.736,445.21,63.586,1.196,6.636,2.057,0.0,0.0,39.976,9.543
5.039,1,1,2,25.866,-0.256,0,1.0,0.953,1.0,52.513,5.373,3.162,4.763,0.383,0.187,0,0,0.233,7.193,38.114,0,3,0.655,4,2.711,2.059,3.172,16.0,16.786,0.13,0.0,0,4.714,0.111,1.0,83.58,83.58,35.825,77.404,4.393,77.404,1.0,0.0,9.133,2.922,1.064,1.376,1.429,0.0,0.0,17.218,3.111,3.206,3.038,3.132,1.36,0.996,0.906,1.272,212.801,300.71,58.955,1.153,4.835,1.396,0.0,0.0,24.202,6.695
4.262,1,1,0,70.447,-0.155,0,0.498,-0.245,1.0,26.836,5.018,3.536,3.618,-1.096,0.114,2,0,0.288,5.253,36.779,0,0,0.0,2,2.871,1.96,2.48,39.0,18.011,0.0,0.0,1,4.079,0.046,1.0,100.62,117.38,64.936,67.593,3.567,67.593,1.0,0.0,6.533,2.715,0.821,1.104,1.119,0.0,0.0,15.841,2.854,2.925,2.74,2.795,1.062,0.744,0.687,1.001,126.77,276.37,159.416,0.886,3.922,1.5,0.0,0.0,27.872,6.629
4.262,1,1,1,30.062,-0.356,0,1.389,1.19,1.0,8.755,5.27,2.236,3.287,0.012,0.152,0,0,0.182,5.532,32.104,0,0,0.0,1,2.705,2.282,2.401,5.0,42.683,0.0,0.0,0,5.037,0.062,1.0,63.33,91.57,35.778,60.122,4.214,60.122,0.88,0.0,7.067,2.808,0.964,1.149,1.138,0.0,0.0,14.852,2.818,2.862,2.729,2.77,1.067,0.678,0.646,0.914,167.77,289.54,29.544,0.958,4.74,1.976,0.0,0.0,24.129,6.801
4.262,1,1,0,138.013,-0.25,0,1.583,1.192,1.0,57.242,6.063,3.808,4.681,0.874,0.268,0,0,0.566,7.258,41.311,1,0,0.532,3,3.007,2.542,3.563,18.0,18.011,0.0,0.0,1,4.943,0.119,1.0,77.75,77.75,66.424,87.63,4.507,87.63,0.88,0.0,8.529,2.925,1.129,1.519,1.485,0.0,0.0,19.347,3.056,3.117,2.869,2.979,1.366,0.919,0.856,1.2,214.311,327.52,103.78,1.162,5.485,2.02,0.0,0.0,31.554,7.184
5.525,1,1,0,58.042,-0.412,0,1.855,1.615,1.0,55.83,5.798,3.317,5.839,1.362,0.208,4,0,0.223,8.794,48.173,0,2,0.293,5,2.974,2.716,3.996,26.0,18.011,0.0,0.0,0,5.176,0.194,1.0,69.72,69.72,68.905,90.387,4.718,90.387,0.88,0.0,11.733,3.156,1.224,1.494,1.511,0.0,0.0,21.912,3.19,3.277,3.111,3.206,1.437,1.153,1.064,1.429,292.896,425.03,87.866,1.271,6.02,1.968,0.0,0.0,31.239,7.416
4.262,0,0,0,31.186,-0.717,0,1.0,0.0,1.0,57.937,5.159,2.236,4.408,-0.609,0.108,0,0,0.107,6.634,34.51,0,0,0.8,3,2.603,2.233,3.676,6.0,0.0,0.0,0.0,0,4.386,0.062,1.0,71.27,71.27,27.932,61.421,3.823,61.421,1.0,0.0,7.3,2.878,0.975,1.276,1.243,0.0,0.0,14.618,2.896,2.953,2.854,2.925,1.106,0.794,0.732,1.097,159.057,266.94,37.884,1.049,4.323,1.08,0.0,0.0,20.144,6.123
4.262,1,1,0,33.505,-0.28,0,-0.433,-0.845,1.0,3.124,4.227,2.236,2.301,-1.537,0.0,0,0,0.0,3.737,25.384,0,0,0.0,1,2.373,1.661,1.372,18.0,18.011,0.0,0.0,0,4.323,0.0,1.0,51.1,51.1,30.345,46.884,3.155,46.884,1.0,0.0,6.2,2.671,0.739,1.024,0.962,0.0,0.0,11.087,2.682,2.742,2.54,2.572,0.875,0.445,0.413,0.687,112.087,212.98,24.855,0.744,3.031,0.432,0.0,0.0,17.911,5.2
5.207,2,2,3,48.347,0.312,0,0.654,0.63,1.0,16.786,5.452,2.828,5.433,-0.075,0.116,0,0,0.254,7.74,41.982,0,1,0.86,5,3.046,2.402,4.227,21.0,60.694,0.507,0.0,1,4.668,0.115,1.0,80.68,108.92,42.692,70.601,4.484,70.601,1.0,0.0,7.983,2.887,1.078,1.375,1.397,0.0,0.0,17.547,2.899,2.942,2.854,2.925,1.101,0.838,0.805,1.069,173.743,312.99,42.519,1.148,4.559,1.5,0.0,0.0,25.026,7.117
4.449,1,1,0,57.958,-0.434,0,2.059,1.937,1.0,61.88,6.113,3.808,9.077,1.553,0.336,0,0,0.348,12.867,61.868,2,1,0.8,8,3.212,2.811,6.938,18.0,18.011,0.8,0.0,1,5.222,0.239,0.83,57.58,85.82,71.839,111.044,4.978,111.044,0.75,0.0,13.933,3.331,1.42,1.644,1.652,0.0,0.0,27.513,3.371,3.45,3.263,3.328,1.591,1.279,1.214,1.486,328.965,516.07,68.172,1.472,7.468,2.202,0.0,0.0,39.947,9.531
4.252,0,0,0,54.957,-0.758,0,2.004,1.609,1.0,47.631,6.018,3.391,6.936,1.444,0.304,0,0,0.403,10.416,49.681,0,0,0.545,7,3.039,2.554,4.754,7.0,0.0,0.0,0.0,0,5.429,0.178,0.83,73.14,98.44,52.989,95.158,4.712,95.158,0.63,0.0,11.0,3.246,1.381,1.593,1.619,0.0,0.0,22.64,3.391,3.438,2.976,3.05,1.457,1.067,1.008,1.299,287.102,412.37,58.333,1.433,6.735,2.09,0.0,0.0,36.483,9.052
4.262,2,2,0,36.919,0.312,0,0.927,0.624,1.0,27.491,5.553,3.606,5.961,0.065,0.157,1,0,0.253,8.188,41.551,1,0,0.359,5,2.781,2.159,4.331,22.0,60.694,0.129,0.0,2,5.152,0.07,1.0,57.62,117.95,38.505,75.691,4.244,75.691,1.0,0.0,8.433,2.914,1.112,1.422,1.469,0.0,0.0,18.201,2.994,3.046,2.798,2.884,1.21,0.953,0.9,1.165,207.195,316.66,27.93,1.185,4.603,1.195,0.0,0.0,23.238,6.519
4.252,0,0,0,99.224,-0.721,0,2.056,1.723,1.0,25.777,6.07,4.243,6.647,0.971,0.321,0,0,0.512,9.321,54.243,0,0,0.616,6,3.147,2.644,4.997,50.0,0.0,0.106,0.0,0,5.374,0.284,0.83,93.64,102.02,90.923,97.521,4.802,97.521,0.88,0.0,10.793,3.09,1.327,1.592,1.605,0.0,0.0,23.532,3.11,3.129,3.035,3.109,1.425,1.028,0.963,1.279,272.947,414.89,137.896,1.366,5.823,2.127,0.0,0.0,36.928,8.251
4.911,1,1,0,52.944,-0.336,0,1.555,1.319,1.0,19.545,5.912,3.873,5.861,0.458,0.194,2,0,0.422,8.386,44.652,0,0,0.0,6,2.539,2.178,4.447,24.0,39.096,0.0,0.0,2,5.263,0.111,1.0,63.18,99.8,46.505,85.519,4.556,85.519,1.0,0.0,9.483,3.212,1.3,1.523,1.559,0.0,0.0,20.268,3.187,3.238,2.956,3.013,1.322,0.932,0.893,1.149,243.668,369.97,47.514,1.332,5.31,1.882,0.0,0.0,27.74,7.012
4.262,1,1,0,63.803,-0.272,0,1.228,1.133,1.0,40.822,5.676,3.24,4.66,0.431,0.244,0,0,0.323,7.118,40.017,0,1,0.657,5,2.97,2.468,3.101,21.0,18.011,0.532,0.0,0,5.079,0.138,1.0,98.31,98.31,53.556,73.653,4.385,73.653,1.0,0.0,8.317,2.9,1.098,1.497,1.465,0.0,0.0,17.675,3.072,3.126,2.89,2.947,1.301,0.882,0.84,1.096,201.809,319.21,77.584,1.14,4.899,1.588,0.0,0.0,29.964,7.637
4.262,2,2,2,64.883,0.483,0,0.957,0.151,1.0,22.299,5.467,3.162,3.546,-1.105,0.124,0,0,0.249,5.52,34.321,1,1,0.0,4,2.676,1.795,2.562,21.0,60.694,0.0,0.0,1,4.548,0.025,0.83,134.07,134.07,46.194,55.491,4.096,55.491,1.0,0.0,5.467,2.765,0.839,1.157,1.145,0.0,0.0,14.133,2.701,2.763,2.495,2.535,1.078,0.571,0.522,0.923,118.942,227.87,113.547,0.895,3.996,1.476,0.0,0.0,25.106,7.023
4.262,4,4,2,117.382,1.697,0,1.517,1.035,1.0,31.672,6.118,2.828,3.76,-0.112,0.245,0,0,0.34,5.985,37.596,0,0,0.0,1,2.81,2.419,2.769,27.0,159.722,0.0,0.0,1,4.721,0.0,1.0,114.75,114.75,54.101,59.977,3.767,59.977,1.0,0.0,6.933,2.831,0.902,1.151,1.143,0.0,0.0,16.332,2.837,2.902,2.833,2.882,1.056,0.753,0.699,1.041,167.111,309.23,68.393,0.933,4.67,1.814,0.0,0.0,30.705,7.672
4.262,2,2,0,67.335,0.257,0,1.5,1.476,1.0,28.31,5.632,4.0,7.985,0.661,0.299,1,0,0.29,10.687,58.592,1,0,1.192,8,3.55,2.854,6.017,41.0,60.694,0.86,0.0,2,5.211,0.234,0.83,97.63,157.96,83.616,89.138,4.696,89.138,1.0,0.0,9.4,3.065,1.121,1.429,1.42,0.0,0.149,23.163,3.185,3.248,2.97,3.024,1.396,1.017,0.982,1.225,245.784,404.21,89.941,1.163,5.67,1.949,0.0,0.0,31.848,7.951
4.531,2,2,0,40.433,0.16,0,1.226,1.099,1.0,47.248,5.785,3.391,6.377,0.603,0.204,3,0,0.379,8.986,45.004,1,1,0.0,7,2.858,2.127,4.735,11.0,59.469,0.0,0.0,0,5.108,0.13,1.0,48.49,48.49,48.548,84.842,4.418,84.842,1.0,0.0,10.376,2.976,1.108,1.456,1.463,0.0,0.0,20.579,3.111,3.206,3.109,3.197,1.376,1.089,1.027,1.38,266.743,377.93,66.454,1.174,5.371,1.5,0.0,0.0,21.785,6.242
4.262,1,1,1,61.659,-0.22,0,0.903,0.682,1.0,10.824,5.243,3.0,3.611,-0.985,0.1,1,0,0.177,5.582,34.496,1,0,0.0,3,2.547,2.157,2.721,17.0,42.683,0.0,0.0,0,4.954,0.061,1.0,85.33,85.33,54.574,56.447,3.971,56.447,1.0,0.0,5.66,2.754,0.865,1.159,1.105,0.0,0.0,14.233,2.566,2.6,2.427,2.513,1.083,0.384,0.369,0.735,141.97,237.75,116.711,0.901,4.008,0.927,0.0,0.0,24.159,6.739
4.262,1,1,0,79.859,-0.241,0,0.854,-0.206,1.0,79.615,5.491,4.0,5.844,-0.698,0.054,1,0,0.206,7.655,45.379,0,2,0.304,5,3.151,2.209,4.589,27.0,18.011,0.0,0.0,1,4.571,0.087,1.0,92.08,92.08,67.224,71.091,3.882,71.091,1.0,0.0,7.626,2.91,1.034,1.284,1.24,0.0,0.0,17.56,2.961,3.034,2.763,2.847,1.19,0.719,0.643,0.995,172.931,305.84,142.785,1.035,4.012,1.0,0.0,0.0,19.295,4.765
4.262,1,1,0,74.257,-0.302,0,1.644,1.362,1.0,44.594,5.689,3.873,5.699,0.618,0.155,0,0,0.203,8.397,44.94,0,1,0.141,6,2.672,2.367,4.363,10.0,18.011,0.0,0.0,1,5.084,0.164,1.0,88.6,96.98,61.747,84.961,4.444,84.961,1.0,0.0,8.817,3.243,1.338,1.558,1.572,0.0,0.0,19.683,3.034,3.078,2.869,2.979,1.3,0.968,0.924,1.191,225.663,352.63,85.937,1.379,5.501,1.903,0.0,0.0,31.135,7.746
5.684,1,1,1,41.619,-0.356,0,1.441,0.897,1.0,0.0,5.429,3.391,4.727,-0.208,0.148,0,0,0.238,6.954,41.997,0,0,0.0,3,2.821,2.355,3.491,27.0,42.683,0.0,0.0,0,4.672,0.128,1.0,70.75,70.75,55.59,62.552,4.404,62.552,1.0,0.0,8.233,2.853,0.912,1.239,1.308,0.0,0.0,16.994,2.874,3.009,2.854,2.925,1.182,0.886,0.804,1.107,174.213,315.44,62.742,0.934,4.504,1.5,0.0,0.0,27.309,7.297
4.513,0,0,0,32.769,-0.692,0,-0.615,-0.989,1.0,24.354,4.897,2.449,3.84,-1.717,0.025,0,0,0.087,5.188,28.521,0,0,0.318,2,2.37,1.718,2.527,18.0,0.0,0.172,0.0,0,4.514,0.0,1.0,38.38,70.47,26.819,55.445,4.087,55.445,1.0,0.0,6.567,2.722,0.869,1.197,1.233,0.0,0.0,12.583,2.681,2.723,2.472,2.582,0.91,0.363,0.231,0.766,142.955,238.97,36.881,0.949,2.917,-0.406,0.0,0.0,11.11,3.373
4.262,2,2,1,24.783,0.214,0,0.632,0.343,1.0,33.174,5.165,4.0,6.52,-0.587,0.071,4,0,0.263,8.403,49.026,0,1,0.0,8,2.618,1.756,6.028,30.0,60.694,0.0,0.0,0,4.456,0.099,1.0,50.72,50.72,47.798,69.718,3.97,69.718,1.0,0.0,10.033,2.777,0.913,1.303,1.316,0.0,0.0,18.622,2.874,3.009,2.874,3.009,1.239,0.934,0.821,1.308,209.255,329.57,36.765,0.997,4.303,0.949,0.0,0.0,19.229,5.453
4.843,3,3,1,44.553,1.372,0,-1.026,-1.353,1.0,38.506,4.879,3.391,4.496,-1.929,0.089,1,0,0.123,5.657,34.846,1,0,0.0,6,2.136,1.227,3.977,32.0,102.152,0.0,0.0,3,4.348,0.0,1.0,103.28,103.28,45.539,50.684,3.625,50.684,1.0,0.0,5.433,2.311,0.565,1.009,1.015,0.0,0.0,12.718,2.393,2.472,2.238,2.377,0.8,0.11,0.001,0.651,122.452,204.9,111.323,0.654,2.925,-0.773,0.0,0.0,11.579,3.486
4.655,0,0,0,51.742,-0.689,0,-0.531,-0.784,1.0,25.367,5.148,4.183,5.711,-1.27,0.04,0,0,0.253,7.057,49.404,0,0,0.8,6,2.603,1.821,4.639,66.0,0.0,0.0,0.0,0,4.425,0.033,1.0,76.82,76.82,63.766,58.35,4.022,58.35,1.0,0.0,8.033,2.711,0.967,1.297,1.308,0.0,0.0,16.185,2.874,2.929,2.708,2.722,1.239,0.56,0.519,0.93,159.73,277.51,69.762,0.981,3.492,-0.271,0.0,0.0,18.241,4.812
5.049,1,1,0,102.009,-0.301,0,0.94,0.23,1.0,29.96,5.754,3.808,5.718,-0.725,0.114,0,0,0.197,7.753,48.271,0,2,0.8,5,2.713,2.217,4.672,43.0,18.011,0.0,0.0,1,4.606,0.078,1.0,79.62,79.62,63.386,66.36,3.887,66.36,1.0,0.0,8.533,2.945,1.031,1.279,1.308,0.0,0.0,17.701,2.874,3.009,2.854,2.925,1.239,0.886,0.804,1.107,183.848,317.74,89.812,1.064,4.41,1.488,0.0,0.0,25.258,6.606
