pXC50,MSD,Yindex,IDE,Eig07_EA,SM15_AEA.bo.,DECC,AECC,Eig07_AEA.ri.,UNIP,Eig08_EA.ri.,HVcpx,Eig07_EA.ed.,SM02_AEA.ri.,Vindex,Chi0_EA.dm.,Eig07_EA.ri.,SpMax3_Bh.i.,Eig08_EA.ed.,SM03_AEA.ri.,RDCHI,Eig08_AEA.ri.,X4sol,Eig06_EA,SM14_AEA.bo.,SpMax8_Bh.e.,Eig08_AEA.ed.,CSI,Xindex,ICR,Eig09_EA.ri.,X0v,ECC,IDMT,Eig11_AEA.ri.,Eig07_AEA.ed.,GMTI,X4v,SpMax5_Bh.m.,CATS2D_08_DP,SMTI,AMR,MDDD,SpMax3_Bh.v.,IDET,SpMax8_Bh.v.,SpMin3_Bh.v.,Eta_alpha,Xu,Eig06_AEA.ed.,SpMax8_Bh.m.,X2sol,SpAD_AEA.ed.,SpMax3_Bh.p.,SpMax8_Bh.p.,SpMax7_Bh.p.,Eig11_EA.ri.,Eig10_EA.ri.,MW,Eig11_EA.ed.,SM06_AEA.ri.,SpMin3_Bh.p.,CATS2D_04_DL,Psi_i_1,SMTIV,X1sol,X3sol,Eig09_AEA.ed.,ATSC5m,Eig12_EA.ed.
5.7,5.142,0.647,3.229,1.072,1.072,1.335,8.632,2.039,59.0,1.0,3.123,2.411,2.411,0.236,9.121,1.029,3.545,2.275,2.275,3.245,2.0,5.754,1.293,1.293,2.384,3.414,359.0,0.368,2.55,0.458,10.608,164.0,5439.43,0.58,3.44,3544.0,1.942,2.935,0,3401.0,73.883,12.404,3.297,552.086,2.153,1.655,9.248,19.146,4.026,2.321,8.771,31.903,3.267,2.128,2.434,-0.299,-0.105,271.72,-0.823,-0.823,1.7,4,10.544,6324.0,9.509,7.257,3.051,11.09,-2.344
6.5,8.107,0.397,3.93,1.983,1.983,2.307,13.967,2.859,149.0,1.707,3.724,5.674,5.674,0.154,24.83,1.745,3.919,4.77,4.77,4.278,2.747,10.011,2.063,2.063,2.961,4.559,914.0,0.252,3.244,1.349,16.787,419.0,25225.1,2.0,4.941,13878.0,3.726,3.431,0,13053.0,117.735,33.333,3.815,1709.46,2.715,1.928,14.4,29.084,5.033,2.841,13.84,50.911,3.818,2.735,2.892,1.0,1.0,418.52,2.275,2.275,1.948,7,16.595,22847.0,14.945,11.484,4.205,26.006,2.275
7.2,10.025,0.286,4.262,2.46,2.46,3.175,17.341,3.435,259.0,2.133,4.016,7.822,7.822,0.109,33.225,2.381,3.976,6.765,6.765,5.336,3.173,15.15,2.559,2.559,3.299,5.334,1709.0,0.177,3.519,1.842,25.109,763.0,77162.3,2.578,5.806,39724.0,6.935,3.62,1,36069.0,171.243,69.483,3.79,4031.8,3.086,2.024,20.767,39.308,5.888,3.206,19.767,79.458,3.791,3.054,3.204,1.555,1.74,591.79,4.373,4.373,2.021,3,27.269,55703.0,21.368,17.611,5.07,59.701,4.213
5.7,6.643,0.478,3.589,1.618,1.618,1.523,11.111,2.618,111.0,1.544,3.425,4.026,4.026,0.178,16.025,1.618,3.672,3.753,3.753,3.92,2.549,8.492,1.844,1.844,2.94,4.129,660.0,0.284,2.82,1.271,15.327,300.0,16472.4,1.906,4.339,9522.0,3.809,3.299,0,8927.0,107.157,21.152,3.475,1259.74,2.759,1.762,12.967,26.033,4.836,2.78,11.75,46.048,3.468,2.769,2.901,0.906,1.203,358.47,2.124,2.124,1.772,7,16.208,13880.0,13.131,10.255,3.651,29.257,1.354
5.7,5.904,0.594,3.447,1.312,1.312,1.69,9.955,2.271,77.0,1.072,3.309,3.01,3.01,0.219,13.776,1.245,3.695,2.61,2.61,3.552,2.106,7.195,1.388,1.388,2.759,3.494,469.0,0.345,2.754,1.0,12.762,219.0,8933.43,0.91,3.584,5285.0,2.825,3.026,0,5120.0,89.416,18.719,3.563,796.371,2.593,1.614,10.8,21.971,4.123,2.687,10.026,35.771,3.594,2.617,2.735,0.0,0.368,310.4,0.0,0.0,1.651,3,12.085,8850.0,11.15,8.411,3.247,18.887,-0.336
5.7,4.52,0.9,2.995,0.543,0.543,1.073,7.235,1.43,46.0,0.116,2.899,0.961,0.961,0.316,10.189,0.476,3.321,0.279,0.279,2.892,1.036,5.906,1.265,1.265,2.083,2.84,252.0,0.482,2.257,-0.339,10.523,123.0,3699.83,0.121,2.993,2189.0,2.401,2.941,0,2278.0,72.369,10.201,3.05,407.317,1.649,1.518,8.567,17.037,4.124,2.237,8.613,28.243,3.102,1.76,2.359,-0.757,-0.506,267.35,-2.131,-2.131,1.507,2,8.916,4792.0,8.793,6.931,2.278,13.654,-2.608
5.7,3.975,1.223,2.701,0.851,0.851,0.87,5.833,1.713,42.0,0.11,2.58,2.203,2.203,0.384,11.831,0.695,3.502,0.423,0.423,2.789,0.915,6.696,1.308,1.308,2.168,2.803,210.0,0.554,1.907,-0.126,11.541,105.0,3897.69,0.07,3.638,2098.0,3.085,3.27,0,2274.0,72.492,10.679,3.282,413.317,1.838,1.623,9.229,17.301,4.213,2.243,9.508,31.289,3.277,1.879,2.174,-0.914,-0.579,303.18,-2.0,-2.0,1.641,3,9.604,5134.0,9.399,8.141,2.706,9.596,-2.236
7.0,7.329,0.44,3.772,1.969,1.969,2.041,12.429,2.858,128.0,1.696,3.569,5.633,5.633,0.167,20.473,1.729,3.869,4.642,4.642,4.045,2.717,10.036,2.0,2.0,2.885,4.516,760.0,0.27,3.098,1.185,15.878,348.0,19446.0,2.0,4.889,10960.0,3.91,3.38,1,10337.0,114.23,28.143,3.75,1425.72,2.727,1.895,13.567,27.174,5.026,2.793,13.179,48.139,3.76,2.735,2.83,1.0,1.146,390.51,2.275,2.275,1.916,11,15.787,17682.0,13.945,10.714,4.239,28.239,2.05
8.2,8.93,0.35,4.093,2.089,2.089,2.684,15.314,3.055,185.0,1.741,3.867,5.71,5.71,0.135,27.434,2.014,3.921,4.97,4.97,4.761,2.777,12.043,2.227,2.227,3.144,4.717,1177.0,0.219,3.386,1.606,20.414,536.0,40111.1,2.18,4.903,21411.0,5.359,3.499,1,19852.0,145.456,50.743,3.782,2435.55,2.968,1.931,17.167,33.004,5.35,2.983,15.898,58.988,3.788,2.985,3.111,1.179,1.406,481.67,2.931,2.931,1.929,10,20.753,30778.0,17.518,13.472,4.505,33.628,2.586
7.7,7.647,0.387,3.824,1.764,1.764,2.106,12.742,2.701,146.0,1.632,3.585,5.27,5.27,0.147,15.046,1.643,3.876,4.825,4.825,4.317,2.654,12.169,2.037,2.037,2.854,4.712,887.0,0.236,3.063,1.371,17.483,395.0,25977.1,2.0,4.903,14893.0,5.068,3.701,0,13650.0,121.292,30.947,3.733,1777.97,2.715,1.938,15.167,29.468,5.295,2.752,15.995,54.078,3.728,2.735,2.823,1.0,1.176,449.55,2.422,2.422,1.938,5,18.088,24710.0,16.285,13.742,4.198,25.719,2.275
5.7,5.142,0.647,3.229,1.072,1.072,1.335,8.632,2.044,59.0,1.0,3.123,2.411,2.411,0.236,9.121,1.035,3.529,2.275,2.275,3.245,2.0,5.754,1.293,1.293,2.279,3.414,359.0,0.368,2.55,0.451,10.608,164.0,5439.43,0.582,3.44,3544.0,1.951,2.93,0,3401.0,74.133,12.404,3.282,552.086,2.057,1.597,9.248,19.146,4.026,2.233,8.771,31.903,3.25,2.053,2.397,-0.302,-0.105,271.72,-0.823,-0.823,1.647,2,10.547,6345.0,9.509,7.257,3.051,10.518,-2.344
5.7,5.015,0.698,3.201,0.95,0.95,1.396,8.526,1.859,56.0,0.635,3.107,2.155,2.155,0.249,7.215,0.846,3.639,1.652,1.652,3.255,1.624,6.236,1.411,1.411,2.44,3.226,350.0,0.383,2.55,0.529,11.152,162.0,5331.39,0.558,3.328,3362.0,2.695,2.944,0,3284.0,81.244,14.476,3.39,547.397,2.276,1.632,9.467,19.033,3.468,2.351,8.457,30.964,3.387,2.362,2.371,-0.368,0.256,270.38,-0.844,-0.844,1.623,2,11.036,5618.0,9.865,7.309,3.0,16.978,-1.322
5.7,6.729,0.566,3.652,1.503,1.503,1.917,11.577,2.486,105.0,1.157,3.474,4.254,4.254,0.211,12.295,1.475,3.819,3.181,3.181,3.754,2.164,8.513,1.758,1.758,2.854,4.014,631.0,0.335,2.93,1.105,15.352,301.0,15079.6,1.669,4.388,7901.0,3.82,3.249,0,7864.0,102.713,26.592,3.703,1186.99,2.715,1.861,12.433,25.305,4.529,2.687,13.172,43.413,3.74,2.735,2.844,0.672,1.0,372.49,1.635,1.635,1.836,5,14.841,14126.0,13.23,9.587,3.593,25.369,0.158
7.3,7.199,0.45,3.726,1.751,1.751,1.944,11.929,2.691,126.0,1.439,3.502,4.713,4.713,0.17,18.955,1.544,3.88,4.133,4.133,4.022,2.461,9.475,2.1,2.1,2.864,4.422,730.0,0.273,2.918,1.248,16.67,334.0,19168.0,2.0,4.562,10800.0,3.517,3.379,1,10188.0,114.011,27.214,3.769,1408.38,2.715,1.9,14.167,27.089,4.902,2.725,13.326,48.39,3.768,2.735,2.862,1.0,1.122,436.34,2.275,2.275,1.891,14,15.934,17717.0,14.085,10.825,4.255,27.877,2.14
5.9,8.442,0.381,4.001,2.073,2.073,2.367,14.611,3.015,183.0,1.763,3.811,6.047,6.047,0.143,34.471,1.94,3.941,5.253,5.253,4.664,2.802,10.718,2.293,2.293,3.12,4.903,1152.0,0.23,3.266,1.685,20.146,526.0,41039.0,2.412,5.047,21341.0,4.521,3.42,0,19946.0,135.444,45.602,3.828,2520.35,2.916,1.931,16.738,33.288,5.205,2.953,14.818,62.297,3.82,2.941,2.972,1.383,1.678,491.59,3.897,3.897,1.938,7,20.938,33688.0,16.602,12.801,4.73,39.454,3.498
6.0,5.992,0.703,3.461,1.333,1.333,1.595,10.045,2.331,77.0,1.0,3.318,3.004,3.004,0.261,12.962,1.321,3.667,2.136,2.136,3.454,2.0,5.313,1.414,1.414,2.854,3.247,456.0,0.413,2.754,0.482,11.653,221.0,9116.16,0.969,3.6,4971.0,1.819,2.921,0,5007.0,82.833,18.182,3.525,799.428,2.691,1.719,10.3,22.065,4.035,2.687,9.096,34.517,3.501,2.644,2.735,0.037,0.383,294.33,0.074,0.074,1.747,6,11.394,9247.0,10.597,7.427,2.988,14.579,-1.224
7.8,8.871,0.352,4.086,2.149,2.149,2.4,16.0,3.091,187.0,1.8,3.905,6.308,6.308,0.136,23.439,2.024,3.937,5.181,5.181,4.673,2.845,12.287,2.239,2.239,3.131,4.823,1233.0,0.221,3.401,1.626,20.096,560.0,39651.1,2.022,5.172,20903.0,4.993,3.438,1,19531.0,140.7,45.788,3.804,2430.92,2.927,1.933,16.9,32.867,5.247,3.034,15.936,60.496,3.801,2.94,3.087,1.005,1.311,484.63,2.893,2.893,1.931,8,20.006,32432.0,17.466,13.661,4.628,37.743,2.275
5.7,6.366,0.561,3.562,1.157,1.157,1.778,10.833,2.129,92.0,1.0,3.414,2.666,2.666,0.209,8.463,1.12,3.782,2.386,2.386,3.714,2.0,6.759,1.405,1.405,2.854,3.446,556.0,0.332,2.872,1.0,13.093,260.0,11830.3,1.98,3.499,6792.0,2.52,3.099,0,6544.0,93.09,22.139,3.644,982.977,2.715,1.849,11.467,23.782,3.968,2.687,9.852,38.93,3.638,2.735,2.735,0.973,0.983,318.4,2.136,2.136,1.85,6,13.44,10844.0,11.775,8.453,3.414,22.908,0.359
5.7,4.575,0.814,3.038,1.0,1.0,1.175,7.684,2.0,51.0,0.933,2.951,2.459,2.459,0.276,4.452,1.0,3.515,2.275,2.275,3.102,1.958,6.409,1.463,1.463,2.341,3.414,312.0,0.414,2.42,0.451,10.577,146.0,4946.57,0.293,3.669,3046.0,2.848,2.917,0,3023.0,72.996,12.188,3.309,519.437,2.017,1.68,9.252,18.624,4.023,2.25,8.535,33.212,3.298,2.074,2.491,-0.564,-0.134,272.32,-1.565,-1.565,1.696,1,10.696,5949.0,9.162,7.522,3.265,10.789,-2.0
6.4,6.166,0.533,3.495,1.414,1.414,1.556,10.231,2.386,97.0,1.306,3.355,3.571,3.571,0.193,9.723,1.365,3.858,3.278,3.278,3.806,2.323,7.646,1.741,1.741,2.854,4.028,582.0,0.302,2.749,1.241,13.462,266.0,14074.5,2.0,4.225,8170.0,2.806,3.123,0,7714.0,93.764,21.183,3.743,1135.97,2.715,1.927,12.105,24.999,4.635,2.687,10.353,45.133,3.745,2.73,2.735,1.0,1.023,349.36,2.136,2.136,1.938,4,14.595,14094.0,11.81,8.992,3.817,15.665,1.446
6.5,6.649,0.472,3.605,1.604,1.604,1.55,11.154,2.521,106.0,1.28,3.45,4.124,4.124,0.177,12.326,1.461,3.711,3.071,3.071,3.89,2.291,8.485,1.612,1.612,2.92,3.813,639.0,0.283,2.855,1.242,14.354,290.0,14963.8,1.61,4.366,8713.0,2.827,3.064,0,8218.0,101.44,21.775,3.533,1171.55,2.782,1.944,12.167,25.306,4.509,2.807,10.909,44.5,3.519,2.788,2.878,0.631,1.01,347.41,1.379,1.379,1.971,4,14.372,13799.0,12.796,9.845,3.606,20.896,1.097
5.7,3.65,1.088,2.598,0.881,0.881,0.851,5.529,1.717,39.0,0.093,2.544,2.481,2.481,0.337,11.76,0.685,3.308,0.372,0.372,2.786,0.9,7.944,1.351,1.351,1.765,2.789,201.0,0.482,1.933,-0.164,11.741,94.0,3098.75,-0.047,3.855,1985.0,3.647,3.07,0,2012.0,70.518,8.394,3.14,353.292,1.649,1.442,9.448,16.233,4.411,2.117,9.592,31.484,3.19,1.732,2.112,-0.529,-0.464,330.59,-2.378,-2.378,1.41,0,9.752,4375.0,9.35,8.861,2.748,17.369,-3.049
6.8,7.34,0.431,3.767,1.806,1.806,1.929,12.0,2.732,124.0,1.438,3.566,4.86,4.86,0.164,12.618,1.599,3.877,4.147,4.147,4.112,2.465,8.749,1.883,1.883,2.878,4.352,737.0,0.265,2.955,1.182,16.279,336.0,19636.4,2.041,4.583,11180.0,3.415,3.321,0,10477.0,111.899,27.704,3.732,1423.8,2.757,1.864,13.648,27.238,4.951,2.824,12.809,47.406,3.716,2.777,2.825,1.034,1.142,392.92,2.543,2.543,1.868,4,16.251,17440.0,13.869,10.413,4.01,26.855,1.552
5.7,7.753,0.395,3.863,1.546,1.546,2.143,13.214,2.518,132.0,1.399,3.676,3.711,3.711,0.153,8.592,1.501,3.855,3.152,3.152,4.258,2.433,8.179,1.821,1.821,2.878,3.642,815.0,0.251,3.098,1.15,15.454,370.0,20652.7,1.984,4.147,11968.0,3.118,3.268,0,11098.0,111.736,29.531,3.711,1460.24,2.715,1.926,13.433,27.561,4.774,2.749,11.944,45.856,3.702,2.735,2.829,0.983,1.114,370.49,2.136,2.136,1.931,2,16.125,17454.0,13.776,9.854,3.583,24.043,1.62
5.7,5.699,0.56,3.384,1.317,1.317,1.679,9.391,2.294,78.0,1.104,3.213,3.233,3.233,0.201,11.612,1.281,3.828,2.954,2.954,3.607,2.119,8.68,1.532,1.532,2.687,3.816,482.0,0.313,2.682,1.0,14.228,216.0,9617.2,1.643,4.045,6052.0,3.199,3.285,0,5644.0,99.612,18.805,3.643,856.222,2.362,1.696,12.043,22.538,4.499,2.687,11.152,40.489,3.8,2.647,2.735,0.631,0.773,416.25,1.578,1.578,1.748,4,13.354,9751.0,12.086,10.418,3.583,29.386,0.199
6.6,6.612,0.597,3.598,1.571,1.571,1.571,11.214,2.557,108.0,1.317,3.414,3.646,3.646,0.218,18.565,1.529,3.841,2.901,2.901,3.907,2.317,7.793,1.896,1.896,2.854,3.669,666.0,0.341,2.843,1.0,15.541,314.0,18069.2,2.0,4.13,9500.0,2.856,3.406,0,9257.0,109.528,26.306,3.743,1360.0,2.715,1.926,13.486,26.797,4.696,2.687,11.767,45.993,3.753,2.735,2.735,1.0,1.0,395.49,2.136,2.136,1.905,12,15.156,16842.0,13.392,9.847,3.43,27.558,2.136
5.7,5.897,0.729,3.444,1.0,1.0,1.512,10.136,1.917,78.0,0.703,3.294,2.275,2.275,0.269,20.274,0.915,3.513,1.971,1.971,3.378,1.731,5.87,1.608,1.608,2.701,3.414,456.0,0.425,2.754,0.531,12.601,223.0,8936.78,0.819,3.49,4751.0,1.805,3.101,0,4859.0,80.166,17.355,3.253,795.529,2.489,1.591,10.381,21.904,4.461,2.575,9.597,35.237,3.211,2.473,2.657,-0.079,0.15,317.76,-0.192,-0.192,1.619,3,10.919,9734.0,10.817,7.898,2.936,16.846,-0.917
5.7,6.064,0.559,3.448,1.336,1.336,1.541,9.731,2.292,90.0,1.158,3.225,3.061,3.061,0.199,12.198,1.266,3.797,2.811,2.811,3.861,2.178,9.612,1.536,1.536,2.478,3.732,557.0,0.307,2.676,1.096,14.568,253.0,13958.2,1.6,3.901,8121.0,3.468,3.303,0,7648.0,103.978,23.722,3.626,1120.68,2.297,1.617,12.533,25.029,4.398,2.681,12.351,44.148,3.611,2.376,2.376,0.598,0.853,386.46,1.598,1.598,1.623,2,13.971,14886.0,13.645,11.007,3.536,9.646,1.502
5.7,8.173,0.455,3.964,2.075,2.075,2.623,14.294,3.047,168.0,1.561,3.762,5.185,5.185,0.17,29.191,2.007,3.806,4.191,4.191,4.409,2.586,9.996,2.228,2.228,3.169,4.401,1032.0,0.272,3.293,1.451,18.691,486.0,34382.9,2.331,4.66,16937.0,3.632,3.378,0,16472.0,125.906,46.81,3.692,2223.91,2.964,1.873,15.767,31.748,5.171,3.041,14.913,57.38,3.687,2.952,2.973,1.325,1.408,460.53,3.612,3.612,1.882,8,18.846,29209.0,16.351,12.363,4.253,33.745,2.838
5.7,4.436,1.0,2.963,1.105,1.105,1.025,7.222,1.991,47.0,0.147,2.87,2.539,2.539,0.339,10.63,0.855,3.482,0.228,0.228,2.892,1.055,6.526,1.177,1.177,2.329,2.729,265.0,0.507,2.241,-0.099,11.65,130.0,4221.44,0.124,3.618,2348.0,2.572,2.952,1,2494.0,75.987,11.444,3.183,453.399,2.072,1.683,9.31,17.713,3.866,2.254,8.833,30.951,3.412,2.113,2.281,-0.417,-0.188,363.19,-1.449,-1.449,1.685,1,9.883,4935.0,9.407,7.506,2.434,50.702,-2.787
5.7,5.353,0.655,3.271,1.347,1.347,1.283,8.81,2.316,67.0,1.052,3.14,2.987,2.987,0.236,13.35,1.298,3.569,2.43,2.43,3.391,2.066,5.969,1.458,1.458,2.614,3.436,400.0,0.366,2.512,0.914,10.747,185.0,7310.79,0.771,3.574,4459.0,1.883,2.964,0,4306.0,72.629,14.34,3.383,686.839,2.33,1.642,9.619,20.83,4.082,2.524,8.48,34.567,3.376,2.284,2.569,-0.16,0.124,283.29,-0.417,-0.417,1.66,3,11.045,8186.0,9.826,6.889,3.247,11.456,-0.968
5.7,6.008,0.594,3.458,1.414,1.414,1.49,10.087,2.306,81.0,1.199,3.33,3.525,3.525,0.218,17.812,1.241,3.808,2.971,2.971,3.597,2.26,6.728,1.58,1.58,2.686,3.604,494.0,0.343,2.752,0.983,13.28,232.0,10213.4,1.121,4.043,5841.0,2.357,3.377,0,5702.0,91.283,18.836,3.679,874.949,2.49,1.847,11.295,22.772,4.822,2.687,10.738,39.101,3.664,2.483,2.615,0.152,0.656,348.2,0.448,0.448,1.866,1,12.571,11429.0,11.636,9.59,3.316,16.853,-0.129
6.6,3.365,1.141,2.468,0.657,0.657,0.747,5.067,1.503,32.0,-0.184,2.454,1.638,1.638,0.351,6.325,0.546,3.147,-0.472,-0.472,2.69,0.7,6.346,1.207,1.207,1.955,2.48,166.0,0.497,1.566,-0.325,8.323,76.0,2088.11,-0.177,3.261,1489.0,2.45,2.779,0,1486.0,60.671,6.569,2.894,259.172,1.621,1.269,7.233,14.464,3.781,1.792,7.333,27.428,2.954,1.591,1.994,-0.95,-0.718,218.27,-3.005,-3.005,1.277,2,8.341,2896.0,7.679,6.861,2.356,9.659,-3.502
5.7,6.8,0.539,3.643,2.007,2.007,1.692,11.548,2.917,122.0,1.435,3.451,4.824,4.824,0.193,14.469,1.824,3.883,4.389,4.389,4.107,2.469,9.375,2.111,2.111,2.894,4.552,765.0,0.299,2.906,1.429,18.172,358.0,23787.4,2.065,4.601,12157.0,3.767,3.279,0,11809.0,120.439,31.994,3.702,1694.16,2.746,1.982,14.586,28.852,5.031,2.793,13.677,52.772,3.698,2.748,2.859,1.053,1.137,419.56,2.634,2.634,1.982,1,17.726,19144.0,14.427,10.345,4.411,28.888,2.275
6.2,4.498,0.673,3.002,1.113,1.113,1.136,7.222,2.069,49.0,0.965,2.917,2.467,2.467,0.234,0.0,1.061,3.556,2.296,2.296,3.201,1.967,6.334,1.532,1.532,2.308,3.416,300.0,0.356,2.281,0.459,9.513,130.0,4207.15,0.455,3.458,3167.0,2.211,2.784,0,2879.0,69.842,10.173,3.37,459.265,2.09,1.687,8.6,17.88,4.258,2.121,8.048,31.864,3.358,2.087,2.276,-0.507,0.333,234.28,-1.42,-1.42,1.701,3,10.782,4687.0,8.899,7.327,3.072,10.774,-2.304
7.9,7.122,0.444,3.718,1.743,1.743,1.953,11.852,2.684,119.0,1.44,3.514,4.688,4.688,0.169,16.529,1.536,3.864,4.009,4.009,3.994,2.467,10.068,1.99,1.99,2.865,4.38,703.0,0.272,2.94,1.122,16.472,320.0,17354.7,2.0,4.542,10041.0,4.185,3.452,1,9415.0,113.392,26.123,3.765,1304.95,2.717,1.913,14.1,26.359,4.901,2.771,13.349,46.346,3.776,2.735,2.86,0.993,1.0,439.36,2.275,2.275,1.909,10,15.434,16947.0,14.129,11.012,3.81,29.87,1.81
5.7,6.744,0.548,3.654,1.339,1.339,1.84,11.577,2.32,105.0,1.099,3.503,3.077,3.077,0.205,12.88,1.306,3.783,2.594,2.594,3.846,2.103,7.285,1.563,1.563,2.854,3.49,639.0,0.327,2.95,1.0,14.554,301.0,15198.4,1.984,3.912,8302.0,2.737,3.131,0,8062.0,101.21,25.207,3.645,1187.4,2.715,1.85,12.367,25.447,4.354,2.687,10.655,42.18,3.639,2.735,2.735,0.979,0.983,347.45,2.136,2.136,1.853,5,14.402,13288.0,12.707,9.204,3.469,27.23,0.622
6.1,5.831,0.644,3.405,1.399,1.399,1.451,9.583,2.349,82.0,1.281,3.238,3.414,3.414,0.231,16.178,1.324,3.639,2.996,2.996,3.567,2.309,6.177,1.686,1.686,2.612,3.576,488.0,0.359,2.685,0.915,12.003,230.0,11034.8,1.006,4.073,6150.0,2.065,3.112,0,6027.0,78.386,18.972,3.451,939.779,2.348,1.676,10.69,23.354,4.628,2.523,9.114,39.273,3.433,2.311,2.644,0.067,0.877,333.3,0.192,0.192,1.71,4,12.408,12555.0,10.22,7.231,3.4,12.426,-0.553
5.7,6.322,0.532,3.559,1.071,1.071,1.884,10.773,2.037,83.0,1.0,3.414,2.61,2.61,0.202,7.745,1.031,3.782,2.275,2.275,3.637,2.0,6.001,1.391,1.391,2.854,3.414,512.0,0.324,2.88,1.0,12.068,237.0,9412.96,1.439,3.486,5738.0,2.239,2.926,0,5469.0,87.127,20.727,3.644,822.174,2.715,1.848,10.633,22.301,3.607,2.687,9.132,35.36,3.638,2.735,2.735,0.439,0.983,288.37,1.008,1.008,1.849,4,12.33,8834.0,10.826,7.693,3.247,17.184,-0.865
8.5,8.992,0.356,4.113,2.167,2.167,2.551,16.417,3.114,193.0,1.793,3.943,6.395,6.395,0.137,23.252,2.05,3.94,5.361,5.361,4.743,2.841,12.531,2.267,2.267,3.199,4.941,1292.0,0.222,3.507,1.649,20.25,591.0,43030.2,2.037,5.156,22216.0,5.034,3.446,1,20863.0,142.245,50.284,3.806,2591.05,2.942,1.934,17.233,33.6,5.366,3.059,16.105,61.86,3.803,2.938,3.1,1.022,1.407,500.63,2.946,2.946,1.932,8,20.448,35835.0,18.005,14.085,4.636,39.384,2.275
5.7,6.892,0.478,3.7,1.496,1.496,1.94,12.074,2.483,110.0,1.286,3.555,3.955,3.955,0.178,16.433,1.476,3.838,3.226,3.226,4.023,2.297,8.378,1.831,1.831,2.863,4.042,708.0,0.282,3.069,1.137,15.015,326.0,16964.8,2.0,4.297,9568.0,2.972,3.276,0,9087.0,105.211,29.015,3.615,1298.77,2.721,1.895,12.733,26.223,4.817,2.75,11.643,45.371,3.581,2.735,2.871,1.0,1.002,360.46,1.861,1.861,1.888,6,15.484,14697.0,13.225,9.729,3.576,21.406,1.677
5.7,3.824,0.969,2.721,1.0,1.0,0.934,6.294,2.003,43.0,0.206,2.692,2.564,2.564,0.313,16.723,0.996,3.315,0.71,0.71,2.882,1.212,6.082,1.364,1.364,1.973,2.991,234.0,0.456,1.971,0.0,10.725,107.0,3209.82,0.164,3.594,2161.0,2.071,2.902,0,2118.0,72.832,8.512,3.086,370.017,1.729,1.378,9.076,16.482,3.842,2.341,8.82,29.325,3.378,1.992,2.252,-0.727,-0.215,338.12,-2.142,-2.142,1.419,2,9.503,4181.0,9.103,7.174,2.785,14.041,-2.458
5.7,4.594,0.815,3.043,1.206,1.206,1.28,7.684,2.143,52.0,0.904,2.956,2.959,2.959,0.277,5.985,1.11,3.603,2.455,2.455,3.101,1.912,6.503,1.414,1.414,2.373,3.578,311.0,0.415,2.439,0.234,10.845,146.0,4959.53,0.608,3.788,3027.0,2.857,2.832,0,3022.0,73.567,12.925,3.308,520.308,2.272,1.61,9.152,18.625,4.061,2.565,8.322,33.812,3.274,2.372,2.413,-0.247,0.155,275.33,-0.662,-0.662,1.619,3,10.641,5772.0,9.2,7.751,3.08,12.97,-2.035
5.7,7.597,0.407,3.854,1.93,1.93,2.306,13.484,2.883,142.0,1.608,3.689,5.772,5.772,0.152,25.777,1.834,3.919,4.937,4.937,4.332,2.633,10.072,2.153,2.153,3.076,4.77,929.0,0.243,3.272,1.433,17.478,418.0,25736.9,2.057,5.011,14535.0,4.176,3.345,0,13421.0,124.203,36.959,3.723,1792.28,2.91,1.998,14.633,29.45,5.055,2.866,13.836,54.429,3.721,2.928,2.941,1.051,1.139,415.55,2.787,2.787,1.989,2,18.737,20726.0,15.081,12.04,4.219,31.505,2.275
7.2,8.271,0.49,3.966,2.079,2.079,2.475,14.094,3.034,157.0,1.758,3.736,5.729,5.729,0.187,30.639,1.969,3.84,5.528,5.528,4.276,2.819,8.812,2.227,2.227,2.99,4.901,936.0,0.303,3.204,1.294,18.033,451.0,30254.4,2.0,4.929,14596.0,3.429,3.527,0,14483.0,117.971,39.637,3.657,1967.18,2.768,1.868,14.852,30.486,5.142,2.827,15.345,52.172,3.639,2.762,2.913,1.0,1.142,460.54,2.275,2.275,1.895,3,16.994,27894.0,15.635,11.13,4.168,31.997,1.678
5.7,6.529,0.58,3.565,1.812,1.812,1.596,10.839,2.751,114.0,1.544,3.322,5.322,5.322,0.203,16.821,1.696,3.887,4.818,4.818,4.031,2.615,8.833,2.148,2.148,2.904,4.748,715.0,0.312,2.845,1.342,17.395,336.0,22976.0,2.067,4.941,11619.0,3.273,3.272,0,11350.0,113.817,31.453,3.665,1657.88,2.735,1.958,14.305,28.646,5.179,2.868,13.356,53.427,3.649,2.733,3.004,1.058,1.23,424.5,2.719,2.719,1.957,3,17.463,20058.0,13.922,10.173,4.169,26.62,2.38
5.9,6.658,0.422,3.612,1.544,1.544,1.808,11.038,2.533,109.0,1.474,3.424,4.312,4.312,0.158,17.232,1.525,3.848,3.703,3.703,3.975,2.495,9.098,1.705,1.705,2.854,4.163,657.0,0.253,2.903,1.338,13.913,287.0,14843.8,2.0,4.414,9498.0,3.406,3.264,0,8543.0,100.096,22.769,3.737,1173.81,2.715,1.877,12.433,25.344,4.839,2.696,11.636,46.372,3.737,2.735,2.777,1.0,1.166,340.41,2.275,2.275,1.876,9,15.667,13734.0,12.776,10.363,4.031,18.968,1.771
