pXC50,ATSC1i,Eig12_EA.bo.,Eig12_EA.ri.,ATS7e,ATSC6i,ATSC2i,ATSC7i,Eig06_AEA.dm.,Eig15_AEA.bo.,ATS8i,Eta_betaS,Chi1_EA.ed.,ATSC8i,Eig06_EA,SM14_AEA.bo.,SpMaxA_AEA.bo.,Chi0_EA.bo.,S1K,Chi0_EA.ed.,Uindex,ATS7i,GMTI,RDCHI,Eig15_EA.ri.,ATS6v,CENT,S2K,Eig12_EA,Eig12_EA.ed.,SM06_AEA.dm.,SM07_AEA.ri.,SpMaxA_EA.bo.,Eig14_EA.ri.,ATS6e,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.ri.,ATS5m,ATS8v,LPRS,ATS1s,IDMT,SMTI,ATS7v,ATSC8m,Xu,X1,ATS6i,SpMaxA_EA.ri.,Eta_epsi,ATS4m,ATS8p,SpMax8_Bh.s.,X0,Dz,IDDM,XMOD,TIC1,SpMin3_Bh.v.,Se,ATS1i,CID,GMTIV,SMTIV,ATS3s
5.4,0.77,1.5,0.926,4.417,1.061,1.182,1.04,2.246,1.188,4.614,19.75,5.675,1.024,2.022,2.022,0.141,17.222,20.106,11.887,47.482,4.602,13774.0,4.266,-0.158,3.703,1472.0,8.674,1.0,2.275,1.0,2.275,0.14,0.184,4.49,20.17,20.17,20.17,20.17,20.17,20.632,3.881,3.616,157.95,5.229,25039.3,12955.0,3.691,18.368,29.033,14.491,4.692,0.094,30.6,4.126,3.712,4.075,21.087,65.0,4.88,95.065,180.985,1.928,48.643,4.11,4.135,41502.0,22707.0,5.862
4.0,0.435,-0.063,-0.042,4.149,0.873,0.745,0.658,2.115,0.648,4.05,14.25,4.321,0.483,1.794,1.794,0.18,13.402,14.376,9.043,31.73,4.34,5384.0,3.452,-0.707,3.563,623.0,5.449,-0.048,-0.128,-0.048,-0.128,0.177,-0.52,4.391,15.585,15.585,15.585,15.585,15.585,15.769,3.73,3.121,105.022,4.898,8752.64,5091.0,3.343,12.624,22.027,11.131,4.598,0.125,22.919,3.941,3.221,3.674,15.974,48.833,4.495,71.525,131.14,1.794,37.265,3.814,3.888,15811.0,8834.0,5.707
4.0,0.615,-0.568,-0.465,4.308,0.898,0.975,0.809,1.489,0.408,4.398,14.75,4.359,0.673,1.435,1.435,0.181,13.457,14.793,9.17,34.421,4.556,4946.0,3.469,-0.946,3.488,624.0,6.754,-0.49,-1.151,-0.49,-1.151,0.165,-0.844,4.35,15.052,15.052,15.052,15.052,15.052,15.347,3.55,3.19,101.014,4.923,8412.38,4809.0,3.345,14.782,21.64,10.737,4.569,0.122,23.933,3.655,3.294,3.612,15.364,48.0,4.435,67.423,143.784,1.833,40.247,3.92,3.831,13111.0,7981.0,5.571
6.0,0.63,1.108,0.835,4.599,1.384,0.979,1.208,2.361,0.719,4.625,16.75,5.32,1.005,1.896,1.896,0.16,16.274,20.297,11.263,49.629,4.831,9500.0,3.907,-0.458,3.864,1320.0,9.168,0.879,2.136,0.879,2.136,0.138,0.023,4.723,18.747,18.747,18.747,18.747,18.747,19.11,4.147,3.613,140.664,5.139,18069.2,9257.0,3.743,25.295,26.797,13.497,4.929,0.119,28.686,4.105,3.762,4.022,19.985,59.833,4.777,89.438,138.723,1.926,46.429,4.032,4.053,30915.0,16842.0,6.005
4.0,1.125,2.013,1.407,5.209,2.465,1.83,2.39,2.657,2.654,5.424,28.75,8.362,2.266,2.408,2.408,0.099,25.509,28.841,17.565,63.721,5.412,33352.0,5.189,1.136,4.492,4449.0,12.942,1.443,3.945,1.443,3.945,0.098,1.246,5.269,29.488,29.488,29.488,29.488,29.488,30.343,4.565,4.41,248.419,5.537,67935.8,31093.0,4.446,42.762,38.153,20.962,5.484,0.066,44.0,4.462,4.5,4.221,29.761,91.5,5.392,135.411,282.533,1.994,74.047,4.525,4.501,85171.0,49967.0,6.153
4.0,0.465,-1.5,-0.971,3.245,0.461,0.721,0.394,1.064,-0.334,2.964,11.0,3.096,0.247,1.048,1.048,0.248,9.166,9.134,6.493,21.877,3.477,2115.0,2.942,-1.679,2.661,242.0,3.474,-1.0,-3.0,-1.0,-3.0,0.244,-1.454,3.433,11.016,11.016,11.016,11.016,11.016,11.316,2.836,1.726,63.875,4.606,2944.1,2036.0,2.333,3.498,16.066,7.826,3.65,0.16,16.014,3.036,1.693,3.089,10.958,35.5,3.975,49.716,72.39,1.581,23.687,3.424,3.532,7312.0,3882.0,5.174
4.0,0.373,-1.015,-0.63,3.438,0.483,0.594,0.338,1.7,0.032,3.453,12.5,3.479,0.265,1.513,1.513,0.221,10.761,12.055,7.431,27.738,3.639,3058.0,3.087,-1.267,2.954,355.0,4.592,-0.753,-2.0,-0.753,-2.0,0.217,-1.04,3.828,12.776,12.776,12.776,12.776,12.776,13.053,3.442,2.577,80.8,4.768,4901.82,3016.0,2.691,5.093,18.614,9.165,4.022,0.148,19.019,3.824,2.633,3.319,13.405,41.333,4.22,60.347,96.996,1.622,28.716,3.559,3.686,10945.0,5813.0,5.366
6.0,0.939,1.5,1.0,4.607,1.353,1.479,1.207,2.414,1.632,4.827,22.25,6.13,1.143,2.214,2.214,0.123,19.531,21.161,12.98,46.042,4.828,17141.0,4.537,0.475,3.91,1882.0,9.427,1.0,2.275,1.0,2.275,0.121,0.504,4.795,22.143,22.143,22.143,22.143,22.143,22.825,4.009,3.783,171.755,5.228,30326.4,15705.0,3.839,27.032,30.614,15.674,5.054,0.08,33.786,4.033,3.876,3.984,21.916,68.333,4.969,101.041,209.069,1.94,57.091,4.3,4.214,41755.0,24854.0,5.897
4.0,0.264,-3.0,-1.867,0.0,0.02,0.363,0.0,0.248,0.0,0.0,8.25,1.975,0.0,-0.283,-0.283,0.384,6.091,6.67,4.254,15.01,0.0,579.0,2.265,0.0,0.517,74.0,2.236,-2.0,-6.671,-2.0,-6.671,0.381,0.0,1.907,7.345,7.345,7.345,7.345,7.345,7.741,1.344,0.0,35.143,4.307,766.962,633.0,0.0,0.0,10.551,5.288,2.298,0.235,11.586,3.111,0.0,1.687,7.845,24.833,3.441,37.099,50.603,1.131,15.833,3.076,3.148,2599.0,1412.0,4.803
5.4,0.782,1.225,0.852,4.634,1.437,1.278,1.243,2.269,1.311,4.692,19.5,5.656,1.023,2.083,2.083,0.14,17.885,19.164,11.997,41.864,4.882,13044.0,4.19,0.066,3.858,1344.0,7.785,0.893,2.222,0.893,2.222,0.139,0.43,4.739,20.627,20.627,20.627,20.627,20.627,21.047,4.02,3.58,154.987,5.172,22759.4,12050.0,3.692,20.944,28.47,14.619,4.972,0.096,30.333,4.197,3.694,3.924,20.665,63.5,4.878,94.384,194.358,1.896,50.982,4.166,4.153,33310.0,19445.0,5.815
4.0,0.391,-1.544,-1.143,2.805,0.317,0.609,0.138,1.248,-0.601,2.097,10.5,2.916,0.04,1.0,1.0,0.26,9.22,8.738,6.124,19.796,3.092,1579.0,2.754,-1.803,2.382,180.0,3.241,-1.14,-3.003,-1.14,-3.003,0.231,-1.708,3.537,10.361,10.361,10.361,10.361,10.361,10.614,2.903,0.582,56.54,4.533,2155.97,1545.0,1.523,1.63,14.638,7.343,3.779,0.174,15.933,3.185,0.733,3.139,10.251,33.5,3.886,46.991,86.039,1.466,24.611,3.465,3.477,4936.0,2811.0,5.307
4.0,0.431,-1.5,-1.0,3.492,0.491,0.667,0.364,1.0,-0.414,3.329,11.0,3.145,0.188,1.0,1.0,0.259,9.231,9.218,6.658,21.656,3.78,1923.0,2.872,-1.739,2.84,240.0,3.524,-1.0,-2.509,-1.0,-2.509,0.257,-1.423,3.702,11.121,11.121,11.121,11.121,11.121,11.369,2.968,1.635,62.635,4.603,2739.22,1878.0,2.406,5.353,15.739,7.86,3.947,0.168,15.8,3.285,1.921,3.284,10.958,34.0,3.976,48.858,76.702,1.506,26.058,3.529,3.533,5082.0,3138.0,5.087
4.0,0.638,-0.409,-0.313,4.374,0.918,1.046,0.914,1.87,0.648,4.458,15.75,4.322,0.804,1.86,1.86,0.176,13.504,14.949,8.978,33.905,4.628,6268.0,3.554,-0.843,3.598,726.0,5.201,-0.328,-0.95,-0.328,-0.95,0.18,-0.524,4.3,15.773,15.773,15.773,15.773,15.773,15.967,3.621,3.282,112.824,4.961,10588.8,5997.0,3.47,15.097,23.111,11.405,4.488,0.116,24.567,3.771,3.376,3.64,16.897,51.0,4.556,70.612,145.135,1.939,41.92,3.97,3.925,14889.0,9387.0,5.75
4.0,0.961,1.298,1.036,5.105,1.92,1.575,1.909,2.504,2.0,5.301,21.75,6.439,1.815,2.063,2.063,0.126,21.105,23.984,13.842,56.733,5.346,16386.0,4.407,0.463,4.227,2130.0,10.847,1.039,2.451,1.039,2.451,0.124,0.817,5.105,23.223,23.223,23.223,23.223,23.223,23.503,4.188,4.156,182.235,5.313,32877.8,15800.0,4.208,35.754,31.464,16.512,5.337,0.083,36.633,4.207,4.279,4.139,24.079,72.5,5.054,102.554,226.458,2.002,64.65,4.375,4.254,38701.0,24533.0,6.107
4.0,1.249,2.075,1.408,5.316,2.742,2.054,2.606,2.611,2.657,5.559,31.5,9.074,2.667,2.49,2.49,0.091,27.81,30.36,18.93,64.169,5.517,41136.0,5.442,1.194,4.583,5242.0,13.592,1.446,4.137,1.446,4.137,0.09,1.282,5.381,31.739,31.739,31.739,31.739,31.739,32.691,4.638,4.548,270.466,5.584,82158.5,37538.0,4.542,47.98,40.206,22.513,5.602,0.061,47.4,4.547,4.624,4.221,31.459,98.0,5.49,145.141,302.894,2.003,80.032,4.613,4.575,101903.0,59350.0,6.238
7.7,1.184,2.159,1.496,5.143,2.279,1.923,2.429,2.686,2.663,5.33,28.5,8.321,2.296,2.351,2.351,0.097,25.519,26.907,17.457,58.07,5.344,34328.0,5.187,1.276,4.418,4336.0,11.373,1.519,4.308,1.519,4.308,0.095,1.313,5.084,29.67,29.67,29.67,29.67,29.67,30.151,4.423,4.349,247.224,5.548,65979.6,31084.0,4.414,32.923,37.992,21.03,5.275,0.066,43.395,4.523,4.396,4.499,29.338,93.5,5.395,131.651,257.625,2.026,68.901,4.466,4.513,95947.0,52301.0,6.292
4.0,1.11,1.833,1.177,4.688,2.249,2.123,1.622,2.578,2.5,4.874,24.0,6.728,1.569,2.341,2.341,0.116,21.121,24.82,14.167,57.147,4.87,23312.0,4.688,0.983,4.055,2501.0,9.89,1.25,3.175,1.25,3.175,0.115,0.989,4.827,24.557,24.557,24.557,24.557,24.557,25.269,4.386,3.866,206.538,5.436,45507.0,21875.0,3.938,21.558,34.123,17.703,5.011,0.078,38.49,4.456,3.931,4.772,26.156,83.5,5.183,116.509,202.619,1.975,56.032,4.231,4.343,87568.0,42695.0,6.184
4.0,0.617,-0.819,-0.585,4.124,0.906,1.001,0.772,1.546,0.555,4.2,14.0,3.964,0.606,1.546,1.546,0.186,12.478,13.382,8.316,29.946,4.356,5005.0,3.41,-0.912,3.431,556.0,4.604,-0.599,-1.688,-0.599,-1.688,0.184,-0.845,4.267,14.643,14.643,14.643,14.643,14.643,14.817,3.457,3.112,99.845,4.865,7973.99,4745.0,3.303,11.362,21.356,10.521,4.518,0.133,22.4,3.649,3.249,3.467,15.32,46.0,4.433,64.851,136.29,1.816,39.592,3.929,3.843,10558.0,7053.0,5.532
4.0,0.499,-0.098,-0.072,4.109,0.827,0.798,0.7,2.244,0.584,4.028,14.5,4.385,0.56,1.531,1.531,0.174,13.576,15.654,9.289,36.95,4.291,5884.0,3.597,-0.804,3.464,741.0,6.898,-0.077,-0.198,-0.077,-0.198,0.158,-0.719,4.224,15.61,15.61,15.61,15.61,15.61,16.095,3.704,3.113,108.715,4.974,10236.5,5728.0,3.281,13.05,22.808,11.152,4.393,0.113,23.667,3.711,3.176,3.674,16.234,50.0,4.495,74.082,133.466,1.613,37.564,3.814,3.869,18561.0,10306.0,5.614
4.0,0.936,1.473,1.083,4.844,1.642,1.475,1.481,2.429,1.982,4.977,22.75,6.161,1.291,2.223,2.223,0.131,19.216,20.583,12.905,45.768,5.094,14955.0,4.325,0.473,4.051,1714.0,8.672,1.101,2.528,1.101,2.528,0.129,0.965,4.893,21.878,21.878,21.878,21.878,21.878,22.419,4.129,3.77,168.085,5.268,27075.8,13865.0,3.898,25.672,29.87,15.581,5.115,0.087,33.567,4.137,3.851,3.988,22.079,69.0,4.974,97.837,208.429,1.935,56.211,4.283,4.213,37038.0,22079.0,5.942
4.0,0.273,-2.819,-1.885,2.394,0.192,0.409,0.125,0.347,0.0,1.365,7.5,2.256,0.02,0.347,0.347,0.345,6.719,7.528,4.747,17.082,2.733,792.0,2.418,0.0,1.737,76.0,2.736,-1.884,-5.548,-1.884,-5.548,0.34,0.0,2.758,8.0,8.0,8.0,8.0,8.0,8.21,2.209,0.13,41.124,4.335,1101.24,848.0,0.952,1.096,11.872,5.771,2.934,0.218,12.033,2.762,0.255,1.873,8.552,26.0,3.559,40.074,61.059,1.246,18.375,3.13,3.231,3007.0,1712.0,4.838
4.0,0.58,0.609,0.422,4.315,0.91,0.933,0.887,1.646,0.793,4.466,15.75,4.983,0.815,1.534,1.534,0.16,14.721,15.462,10.436,36.062,4.511,8123.0,3.889,-0.589,3.614,913.0,6.817,0.429,1.013,0.429,1.013,0.157,-0.494,4.359,17.361,17.361,17.361,17.361,17.361,17.511,3.577,3.438,121.867,4.99,13293.0,7524.0,3.556,14.699,24.601,12.293,4.56,0.107,24.567,3.63,3.548,3.674,17.062,52.5,4.615,75.697,131.563,1.876,41.818,3.955,3.969,20222.0,11985.0,5.617
4.0,0.431,-1.5,-1.0,3.446,0.426,0.664,0.369,1.042,-0.422,3.402,11.0,3.191,0.264,1.038,1.038,0.251,9.166,9.218,6.601,21.82,3.707,2065.0,2.933,-1.756,2.784,230.0,3.524,-1.0,-2.636,-1.0,-2.636,0.248,-1.329,3.522,11.016,11.016,11.016,11.016,11.016,11.262,2.873,2.077,63.64,4.6,2907.23,2000.0,2.529,5.066,16.005,7.826,3.729,0.162,15.8,3.101,2.221,3.129,10.958,34.0,3.973,48.685,78.702,1.516,26.058,3.529,3.533,5480.0,3345.0,5.088
4.0,0.428,-1.259,-0.851,3.669,0.445,0.644,0.436,1.534,0.007,3.778,12.0,3.623,0.399,1.293,1.293,0.211,10.873,12.055,7.588,27.969,3.856,3544.0,3.245,-1.008,3.035,397.0,4.938,-0.858,-2.344,-0.858,-2.344,0.208,-1.0,3.683,12.878,12.878,12.878,12.878,12.878,13.111,3.167,2.807,82.907,4.735,5439.43,3401.0,2.972,7.634,19.146,9.22,3.838,0.138,18.952,3.359,2.903,3.541,13.242,40.833,4.223,60.437,95.23,1.655,29.491,3.61,3.689,11901.0,6324.0,5.375
4.0,0.456,-1.387,-0.91,3.613,0.578,0.689,0.414,1.358,0.0,3.489,11.75,3.433,0.264,1.208,1.208,0.234,10.346,10.781,7.326,25.577,3.857,2593.0,3.017,-1.381,3.046,322.0,4.148,-0.93,-2.112,-0.93,-2.112,0.232,-1.035,3.881,12.328,12.328,12.328,12.328,12.328,12.454,3.237,2.156,74.482,4.742,4055.37,2564.0,2.648,5.94,17.617,8.771,4.101,0.156,17.967,3.499,2.237,3.408,12.535,39.0,4.142,54.937,89.096,1.682,28.385,3.595,3.64,7963.0,4591.0,5.313
4.0,0.53,-1.0,-0.946,3.928,0.647,0.807,0.576,1.571,-0.138,4.017,12.0,3.351,0.468,1.372,1.372,0.225,10.248,13.686,6.935,30.959,4.163,2612.0,3.023,-1.258,3.228,390.0,5.934,-1.0,-2.008,-1.0,-2.008,0.207,-1.007,3.928,11.671,11.671,11.671,11.671,11.671,12.352,4.063,2.822,76.528,4.663,4535.35,2705.0,3.069,48.898,18.087,8.542,4.118,0.136,19.133,3.718,3.127,3.386,13.121,38.25,4.14,65.837,114.026,1.701,32.233,3.699,3.609,8098.0,4923.0,5.214
4.0,0.333,-2.102,-1.68,2.611,0.202,0.521,0.107,1.146,0.0,1.922,8.25,2.269,0.029,0.695,0.695,0.324,7.694,8.691,4.924,19.004,2.902,913.0,2.436,0.0,1.84,125.0,3.106,-1.855,-5.407,-1.855,-5.407,0.301,-1.948,3.111,8.552,8.552,8.552,8.552,8.552,8.722,2.388,0.245,45.849,4.423,1376.06,993.0,1.084,1.927,12.668,6.198,3.352,0.219,14.1,3.31,0.457,2.585,9.422,29.0,3.675,43.629,77.484,1.291,21.585,3.29,3.301,3609.0,2025.0,5.185
4.0,0.373,-0.75,-0.476,3.53,0.579,0.548,0.319,2.467,-0.024,2.63,13.25,3.403,0.085,1.783,1.783,0.216,11.635,12.733,7.431,29.491,3.715,2944.0,2.974,-1.029,3.141,438.0,4.375,-0.638,-1.485,-0.638,-1.485,0.198,-1.005,3.96,13.232,13.232,13.232,13.232,13.232,13.526,3.79,1.089,84.311,4.87,5102.6,2995.0,2.462,6.965,18.805,9.524,4.108,0.152,19.986,3.925,1.325,3.867,14.439,44.833,4.298,63.342,101.947,1.483,27.378,3.51,3.732,13209.0,6415.0,5.641
4.0,0.336,-1.5,-1.0,3.476,0.416,0.558,0.37,1.221,-0.5,3.491,9.75,3.131,0.287,1.102,1.102,0.247,9.565,9.314,6.582,21.792,3.689,2039.0,2.915,-1.749,2.839,230.0,3.582,-1.0,-2.569,-1.0,-2.569,0.228,-1.687,3.623,11.069,11.069,11.069,11.069,11.069,11.1,2.88,1.997,63.375,4.532,2857.94,1971.0,2.561,6.106,15.929,7.843,3.833,0.172,15.667,3.088,2.166,3.062,10.958,33.5,3.976,48.091,73.627,1.626,26.847,3.509,3.533,5186.0,3209.0,5.178
4.0,0.457,-0.672,-0.464,3.901,0.661,0.749,0.594,1.56,0.015,4.004,11.75,3.871,0.547,1.411,1.411,0.213,11.503,12.425,8.176,27.849,4.118,3362.0,3.255,-1.156,3.219,422.0,5.574,-0.48,-1.322,-0.48,-1.322,0.209,-1.013,4.011,13.301,13.301,13.301,13.301,13.301,13.679,3.365,2.782,82.393,4.723,5331.39,3284.0,3.055,12.238,19.033,9.365,4.225,0.143,19.333,3.456,2.931,3.242,13.079,40.0,4.214,62.802,116.855,1.632,32.909,3.707,3.695,9620.0,5618.0,5.278
6.0,0.725,0.075,0.059,4.452,1.069,1.111,1.002,2.016,0.753,4.6,16.0,4.674,0.879,1.758,1.758,0.168,14.775,18.428,10.029,44.567,4.691,7901.0,3.754,-0.661,3.677,1006.0,7.481,0.061,0.158,0.061,0.158,0.161,-0.47,4.539,17.11,17.11,17.11,17.11,17.11,17.369,3.794,3.404,128.583,5.033,15079.6,7864.0,3.54,20.823,25.305,12.376,4.752,0.109,28.367,3.934,3.534,3.974,18.734,57.0,4.668,86.067,172.807,1.861,46.534,4.041,3.981,25047.0,14126.0,5.851
6.0,0.7,1.237,0.846,4.439,1.178,1.068,0.998,2.341,1.135,4.529,17.5,5.218,0.856,2.1,2.1,0.152,15.97,18.689,10.965,42.765,4.69,10800.0,4.022,-0.211,3.717,1102.0,7.757,0.864,2.14,0.864,2.14,0.151,-0.085,4.588,18.809,18.809,18.809,18.809,18.809,19.162,3.938,3.454,142.501,5.132,19168.0,10188.0,3.561,17.759,27.089,13.508,4.82,0.104,27.833,4.15,3.585,3.878,19.673,59.25,4.78,92.011,165.281,1.9,46.251,4.068,4.07,32138.0,17717.0,5.763
5.5,1.009,1.738,1.128,5.134,2.036,1.622,2.051,2.512,2.466,5.31,24.5,7.11,1.896,2.305,2.305,0.115,22.139,24.907,15.021,56.728,5.365,21358.0,4.693,0.968,4.346,2927.0,11.096,1.192,2.794,1.192,2.794,0.114,1.0,5.068,25.317,25.317,25.317,25.317,25.317,25.822,4.309,4.181,203.96,5.423,42863.9,20308.0,4.291,35.781,33.752,18.012,5.266,0.077,38.833,4.264,4.263,4.264,25.777,79.0,5.172,112.356,247.245,2.018,66.869,4.426,4.35,52031.0,31929.0,6.124
4.0,0.412,-0.307,-0.182,3.844,0.614,0.675,0.49,1.596,0.496,3.864,13.75,3.993,0.425,1.442,1.442,0.193,12.29,12.539,8.344,27.953,4.004,4345.0,3.344,-1.0,3.306,463.0,4.672,-0.236,-0.538,-0.236,-0.538,0.181,-0.875,4.016,14.378,14.378,14.378,14.378,14.378,14.632,3.445,2.904,92.888,4.782,6684.87,4090.0,3.139,8.032,20.384,10.22,4.206,0.131,20.252,3.66,3.024,3.614,14.397,44.333,4.363,66.021,94.251,1.63,32.273,3.7,3.805,13272.0,7239.0,5.498
4.0,0.446,-1.269,-0.913,3.717,0.699,0.702,0.642,1.554,0.084,3.518,11.75,3.509,0.462,1.463,1.463,0.22,10.737,12.092,7.396,27.698,3.926,3046.0,3.102,-1.113,3.175,405.0,4.614,-1.0,-2.0,-1.0,-2.0,0.218,-1.017,3.915,12.723,12.723,12.723,12.723,12.723,12.987,3.421,2.31,80.946,4.775,4946.57,3023.0,2.794,7.01,18.624,9.148,4.084,0.147,18.948,3.538,2.252,3.654,13.405,41.5,4.218,61.202,97.345,1.68,28.654,3.556,3.688,11490.0,5949.0,5.435
5.5,0.347,-0.445,-0.255,4.049,0.651,0.529,0.519,2.354,0.192,3.607,14.0,3.796,0.25,1.942,1.942,0.196,12.238,15.491,8.015,33.983,4.206,3904.0,3.14,-0.894,3.589,604.0,5.663,-0.357,-0.959,-0.357,-0.959,0.183,-0.652,4.307,14.223,14.223,14.223,14.223,14.223,14.694,4.189,2.351,96.95,4.914,7047.63,3943.0,3.157,17.67,20.658,10.38,4.388,0.136,22.557,4.254,2.58,4.11,16.016,48.5,4.435,73.946,108.478,1.551,31.473,3.616,3.818,18384.0,8627.0,5.801
4.0,0.721,0.986,0.645,4.65,1.27,1.126,1.21,1.948,0.958,4.713,17.75,5.712,1.031,1.821,1.821,0.146,16.693,18.268,11.876,42.751,4.911,11968.0,4.258,-0.299,3.768,1294.0,8.723,0.691,1.62,0.691,1.62,0.144,0.445,4.67,19.43,19.43,19.43,19.43,19.43,19.756,3.679,3.592,144.615,5.131,20652.7,11098.0,3.699,19.871,27.561,13.776,4.907,0.098,28.567,3.71,3.686,3.797,19.184,59.0,4.781,85.307,178.874,1.926,49.687,4.128,4.077,29213.0,17454.0,5.726
4.0,0.527,-1.014,-0.706,3.647,0.542,0.779,0.476,1.411,-0.104,3.834,12.5,3.431,0.392,1.375,1.375,0.227,10.213,10.989,7.154,25.868,3.88,2965.0,3.124,-1.288,2.962,338.0,4.274,-0.728,-2.073,-0.728,-2.073,0.225,-1.191,3.856,12.171,12.171,12.171,12.171,12.171,12.481,2.998,2.576,76.367,4.75,4467.0,2865.0,2.813,7.966,18.079,8.72,4.124,0.149,18.6,3.231,2.644,3.454,12.535,39.0,4.145,54.995,110.187,1.723,30.262,3.692,3.64,8416.0,4927.0,5.227
4.0,0.703,-0.164,-0.119,4.512,1.2,1.111,0.929,2.282,0.485,4.504,17.0,4.28,0.723,1.955,1.955,0.175,14.373,17.522,9.127,41.739,4.751,6244.0,3.483,-0.849,3.617,815.0,6.543,-0.131,-0.332,-0.131,-0.332,0.174,-0.345,4.622,16.137,16.137,16.137,16.137,16.137,16.436,3.905,3.22,119.007,5.136,11936.4,6291.0,3.429,17.216,23.878,11.791,4.852,0.119,28.381,4.07,3.263,4.19,18.301,57.5,4.609,75.765,166.372,1.739,43.414,3.978,3.938,22929.0,12174.0,5.977
4.0,0.452,-1.5,-1.0,3.527,0.503,0.682,0.371,1.428,-0.383,3.426,11.25,3.169,0.236,1.183,1.183,0.237,10.089,10.112,6.731,23.653,3.77,2278.0,2.941,-1.597,2.875,293.0,3.75,-1.0,-3.0,-1.0,-3.0,0.21,-1.265,3.758,11.569,11.569,11.569,11.569,11.569,11.743,3.097,1.895,68.791,4.695,3404.53,2239.0,2.477,5.913,16.735,8.254,3.986,0.162,17.267,3.287,1.949,3.119,11.828,37.0,4.061,51.836,93.976,1.509,27.385,3.577,3.586,6945.0,4003.0,5.339
4.0,1.101,1.601,1.138,5.076,2.035,1.751,1.909,2.63,2.301,5.323,25.5,6.723,1.859,2.349,2.349,0.113,22.464,25.305,14.313,56.822,5.304,21514.0,4.609,0.965,4.278,2766.0,10.191,1.153,2.557,1.153,2.557,0.102,1.0,5.145,24.72,24.72,24.72,24.72,24.72,25.336,4.317,4.186,203.86,5.424,42616.4,20325.0,4.233,36.821,33.735,17.741,5.378,0.079,40.233,4.336,4.27,4.105,26.156,80.0,5.176,111.509,264.317,1.935,69.072,4.472,4.345,50929.0,31542.0,6.23
4.0,0.457,-1.25,-0.816,3.57,0.501,0.715,0.47,1.532,-0.102,3.685,12.0,3.519,0.377,1.532,1.532,0.214,10.46,9.715,7.403,22.741,3.782,3167.0,3.201,-1.521,2.97,316.0,3.603,-0.833,-2.304,-0.833,-2.304,0.211,-0.967,3.644,12.671,12.671,12.671,12.671,12.671,12.854,2.995,2.41,75.287,4.663,4207.15,2879.0,2.79,7.082,17.88,8.899,3.852,0.143,17.2,3.219,2.501,3.077,11.949,38.0,4.148,55.256,90.996,1.687,28.058,3.616,3.666,8062.0,4687.0,5.155
4.0,0.38,-1.329,-0.892,3.351,0.435,0.594,0.346,1.13,-0.187,3.352,11.25,3.354,0.27,1.13,1.13,0.238,9.776,9.882,7.065,23.73,3.56,2415.0,3.006,-1.507,2.797,259.0,3.927,-0.926,-2.347,-0.926,-2.347,0.235,-1.288,3.595,11.776,11.776,11.776,11.776,11.776,11.993,2.965,2.195,69.37,4.676,3514.54,2333.0,2.563,4.715,16.929,8.343,3.83,0.157,16.567,3.243,2.232,3.251,11.665,36.5,4.062,52.046,77.457,1.496,26.284,3.499,3.592,7299.0,4138.0,5.269
5.7,0.575,-0.58,-0.344,4.035,0.716,0.859,0.693,1.758,0.388,4.067,14.25,4.172,0.538,1.565,1.565,0.186,12.066,14.046,8.597,32.196,4.258,4586.0,3.448,-0.994,3.393,565.0,6.244,-0.48,-1.176,-0.48,-1.176,0.171,-0.731,4.032,14.24,14.24,14.24,14.24,14.24,14.697,3.88,3.025,95.417,4.834,7524.63,4425.0,3.256,24.236,20.972,10.204,4.209,0.115,21.067,3.715,3.164,3.629,14.656,44.75,4.364,72.423,122.609,1.78,34.374,3.791,3.784,13851.0,7835.0,5.361
4.0,0.741,1.135,0.645,4.349,1.208,1.171,1.102,2.274,0.979,4.456,18.25,5.067,0.965,1.858,1.858,0.154,15.863,16.997,10.86,40.237,4.573,9065.0,3.895,-0.303,3.672,1067.0,7.052,0.679,1.539,0.679,1.539,0.152,-0.098,4.464,18.524,18.524,18.524,18.524,18.524,18.925,3.791,3.476,133.794,5.122,16009.5,8593.0,3.564,13.339,25.869,13.152,4.696,0.1,26.914,3.912,3.534,3.975,18.803,58.5,4.729,82.441,156.852,1.893,42.542,3.98,4.038,27677.0,15145.0,5.782
4.0,0.929,1.5,1.0,4.77,1.567,1.443,1.504,2.446,2.156,5.022,23.5,6.778,1.489,2.267,2.267,0.119,21.508,24.249,14.576,54.854,4.972,22216.0,4.743,0.658,4.057,2612.0,10.66,1.0,2.275,1.0,2.275,0.118,0.905,4.837,24.773,24.773,24.773,24.773,24.773,25.422,4.277,3.974,200.061,5.414,43030.2,20863.0,4.01,29.738,33.6,17.55,5.04,0.08,37.367,4.387,4.077,4.409,25.07,78.0,5.134,114.869,245.742,1.934,60.622,4.329,4.321,65012.0,35835.0,6.002
