pXC50,ATSC6v,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m
6.319,12.641,1.621,9.179,3.058,9.351,107.239,8.372,0.387,3.998,4.081,3.643,3.551,5.185,3.547,4.526,4.657,4.068,3.981,5.672,3.964,4.86,5.01,4.257,4.182,6.024,4.146,4.993,5.169,4.32,4.174,6.329,4.136,4.957,5.122,4.179,4.12,6.224,4.086,4.873,5.039,4.168,4.068,6.187,4.031,4.776,4.936,4.086,3.998,6.148,3.954,4.756,4.918,3.985,3.903,6.093,3.826,0.15,0.625,8.515,4.62,23.107,5.139,0.27,1.055,16.568
5.0,9.034,1.606,10.207,3.447,11.883,105.223,8.543,0.697,3.957,4.051,3.643,3.535,5.176,3.553,4.434,4.545,4.02,3.915,5.695,3.921,4.594,4.749,4.013,3.993,5.775,3.97,4.636,4.811,3.971,3.955,5.818,3.931,4.634,4.841,3.904,3.946,5.704,3.9,4.537,4.718,3.938,3.936,5.626,3.901,4.564,4.719,3.968,3.968,5.784,3.929,4.65,4.842,3.824,3.933,5.743,3.866,0.091,0.655,6.777,3.634,10.769,3.86,0.358,1.025,12.66
9.022,6.381,1.842,10.12,1.599,2.557,95.872,9.102,0.407,3.859,3.982,3.576,3.39,5.015,3.383,4.388,4.548,3.967,3.795,5.554,3.756,4.68,4.897,4.075,3.91,5.81,3.833,4.655,4.867,4.232,3.795,6.037,3.747,4.505,4.704,3.776,3.629,5.817,3.6,4.35,4.516,3.873,3.634,5.752,3.61,4.413,4.599,3.951,3.659,5.635,3.611,4.405,4.639,3.707,3.471,5.673,3.399,0.148,0.646,6.342,3.323,12.313,4.067,0.331,0.991,13.408
6.056,24.792,1.709,15.419,5.69,32.372,171.59,8.333,0.354,4.444,4.548,4.198,4.062,5.463,4.009,5.04,5.2,4.583,4.506,6.166,4.438,5.321,5.513,4.683,4.666,6.394,4.564,5.408,5.607,4.83,4.684,6.545,4.57,5.401,5.596,4.765,4.644,6.664,4.572,5.397,5.589,4.677,4.71,6.491,4.618,5.514,5.744,4.543,4.69,6.624,4.552,5.394,5.657,4.505,4.555,6.445,4.424,0.103,1.119,16.315,7.664,19.103,9.196,0.432,1.915,33.013
5.0,17.538,1.705,13.282,3.582,12.832,146.018,7.833,0.512,4.338,4.466,3.94,3.803,5.502,3.818,4.868,5.055,4.32,4.196,6.012,4.197,5.056,5.235,4.419,4.335,6.24,4.322,5.189,5.394,4.486,4.357,6.484,4.341,5.204,5.413,4.396,4.351,6.39,4.335,5.181,5.389,4.423,4.424,6.317,4.38,5.271,5.504,4.445,4.439,6.349,4.386,5.233,5.467,4.417,4.344,6.455,4.302,0.14,1.145,13.017,5.346,11.905,7.044,0.598,1.77,26.231
6.481,12.335,1.811,13.294,3.881,15.065,120.223,8.255,0.486,4.181,4.287,3.819,3.59,5.41,3.639,4.696,4.852,4.212,3.93,5.928,3.987,4.871,5.003,4.354,4.072,6.256,4.124,4.965,5.15,4.237,4.11,6.19,4.106,4.971,5.17,4.157,4.096,6.144,4.074,4.931,5.145,4.061,4.021,6.123,3.982,4.857,5.115,4.009,3.875,5.993,3.849,4.682,4.9,3.99,3.738,5.985,3.776,0.241,0.916,9.999,4.578,11.947,5.41,0.752,1.357,21.622
5.0,12.541,1.719,11.968,3.864,14.932,122.737,8.103,0.647,4.104,4.224,3.876,3.648,5.22,3.62,4.618,4.794,4.174,4.016,5.962,3.99,4.786,4.955,4.224,4.173,5.958,4.124,4.937,5.132,4.161,4.214,6.076,4.121,5.003,5.255,4.006,4.116,6.109,4.009,4.823,5.085,3.915,3.953,5.83,3.865,4.627,4.861,3.942,3.859,5.821,3.799,4.578,4.779,3.856,3.88,5.703,3.799,0.138,0.904,12.929,4.722,20.395,5.743,0.473,1.378,22.161
5.0,15.156,1.549,16.286,4.201,17.647,136.188,7.574,0.605,4.219,4.334,3.798,3.75,5.372,3.741,4.713,4.881,4.114,4.088,5.834,4.065,4.892,5.066,4.171,4.211,6.035,4.164,4.97,5.189,4.054,4.205,5.978,4.122,4.93,5.153,4.037,4.194,5.95,4.11,4.912,5.13,4.015,4.194,5.905,4.104,4.919,5.161,3.979,4.16,5.887,4.063,4.817,5.03,3.921,4.071,5.859,3.981,0.036,0.9,12.045,5.384,9.303,6.875,0.31,1.382,22.644
5.0,14.538,1.62,13.576,4.761,22.67,124.882,7.509,0.568,4.211,4.322,3.792,3.709,5.292,3.709,4.775,4.948,4.155,4.097,5.811,4.084,4.983,5.18,4.213,4.194,6.059,4.156,5.01,5.231,4.148,4.152,6.061,4.1,4.934,5.142,4.089,4.104,6.004,4.047,4.941,5.159,4.06,4.078,5.997,4.026,4.887,5.106,4.015,4.038,5.957,3.996,4.778,4.973,3.993,4.034,5.831,3.979,0.058,0.944,12.288,5.569,7.222,7.017,0.379,1.51,24.914
5.0,13.487,1.633,10.226,1.839,3.383,117.484,7.337,0.441,4.177,4.306,3.724,3.613,5.301,3.615,4.724,4.917,4.099,4.009,5.793,3.997,4.962,5.18,4.127,4.137,6.028,4.082,5.008,5.256,4.141,4.13,5.989,4.073,4.865,5.063,4.153,4.107,5.923,4.086,4.962,5.152,4.205,4.179,6.093,4.151,5.06,5.28,4.191,4.198,6.178,4.144,5.003,5.247,3.964,4.127,5.95,4.031,0.189,0.894,12.784,4.687,19.748,6.664,0.323,1.386,24.179
6.092,26.67,1.669,16.976,5.342,28.539,170.073,7.491,0.391,4.496,4.621,4.163,4.017,5.479,3.968,5.087,5.281,4.512,4.43,6.136,4.363,5.368,5.577,4.642,4.636,6.374,4.539,5.512,5.748,4.531,4.679,6.503,4.55,5.508,5.768,4.534,4.659,6.41,4.527,5.461,5.721,4.567,4.606,6.38,4.475,5.352,5.6,4.534,4.505,6.362,4.394,5.262,5.504,4.401,4.44,6.273,4.314,0.076,1.264,20.736,7.815,18.574,10.317,0.513,2.034,39.117
5.0,24.641,1.525,14.237,3.655,13.36,148.213,6.776,0.286,4.432,4.57,3.921,3.892,5.424,3.869,5.038,5.248,4.303,4.321,5.967,4.272,5.327,5.562,4.434,4.515,6.261,4.439,5.431,5.678,4.445,4.554,6.405,4.474,5.442,5.683,4.457,4.572,6.485,4.487,5.406,5.644,4.35,4.546,6.381,4.44,5.411,5.686,4.183,4.452,6.3,4.321,5.263,5.539,4.107,4.326,6.139,4.205,0.032,1.179,18.11,6.578,11.145,9.87,0.476,1.902,35.32
5.0,16.735,1.78,12.029,2.892,8.361,136.875,8.286,0.5,4.265,4.373,4.076,3.821,5.256,3.78,4.867,5.038,4.41,4.247,6.005,4.193,5.085,5.279,4.431,4.39,6.061,4.298,5.148,5.363,4.399,4.418,6.122,4.302,5.146,5.383,4.367,4.396,6.121,4.26,4.99,5.187,4.34,4.365,5.882,4.246,4.978,5.161,4.376,4.342,5.958,4.235,5.064,5.284,4.373,4.333,5.977,4.213,0.138,1.053,14.833,6.041,15.843,7.068,0.636,1.735,30.612
5.523,11.245,1.644,11.483,1.782,3.174,110.583,7.85,0.485,4.047,4.179,3.661,3.564,5.18,3.569,4.589,4.768,4.07,3.99,5.696,3.982,4.85,5.047,4.167,4.158,5.955,4.124,4.961,5.19,4.158,4.149,6.204,4.082,4.929,5.188,3.955,4.015,6.03,3.953,4.683,4.915,3.899,3.876,5.946,3.823,4.553,4.765,3.733,3.765,5.709,3.722,4.466,4.715,3.529,3.669,5.461,3.571,0.083,0.886,9.549,4.013,10.718,5.212,0.281,1.433,18.687
5.0,10.631,1.571,9.36,2.407,5.796,95.753,7.777,0.607,3.887,3.997,3.491,3.444,5.086,3.433,4.376,4.534,3.818,3.851,5.433,3.817,4.601,4.805,3.851,3.954,5.622,3.889,4.61,4.801,3.855,3.935,5.719,3.874,4.636,4.853,3.777,3.9,5.678,3.828,4.539,4.74,3.71,3.879,5.524,3.791,4.612,4.842,3.659,3.849,5.599,3.744,4.589,4.841,3.498,3.676,5.628,3.571,0.128,0.648,8.273,3.802,17.434,4.705,0.141,1.043,14.684
5.921,15.545,1.584,11.655,2.998,8.987,113.678,7.117,0.355,4.101,4.238,3.612,3.603,5.199,3.578,4.649,4.852,3.983,3.985,5.735,3.943,4.864,5.08,4.051,4.122,5.954,4.066,4.978,5.196,4.03,4.168,6.076,4.077,5.06,5.324,3.954,4.095,6.164,3.994,4.949,5.221,3.905,4.029,6.047,3.935,4.824,5.053,3.867,3.978,5.943,3.895,4.825,5.057,3.837,3.927,6.073,3.851,0.042,0.89,12.112,4.992,8.39,6.881,0.257,1.392,22.895
5.0,11.875,1.568,11.345,4.31,18.575,110.749,7.567,0.548,4.05,4.152,3.627,3.526,5.216,3.534,4.559,4.716,3.895,3.835,5.642,3.833,4.683,4.845,3.989,3.966,5.793,3.938,4.733,4.933,3.953,3.987,5.768,3.933,4.809,5.016,3.978,3.993,5.841,3.949,4.756,4.929,4.008,4.017,5.839,3.974,4.81,5.008,3.969,4.04,5.839,3.981,4.868,5.089,3.861,3.961,5.891,3.89,0.054,0.714,10.332,4.677,11.647,5.733,0.454,1.069,20.708
5.0,14.715,1.816,17.4,6.255,39.126,152.448,8.805,0.636,4.306,4.395,4.109,3.908,5.446,3.881,4.829,4.958,4.397,4.268,6.123,4.239,5.076,5.243,4.42,4.346,6.269,4.299,5.076,5.278,4.34,4.305,6.187,4.234,5.025,5.23,4.277,4.306,6.114,4.221,4.952,5.129,4.381,4.311,6.078,4.24,4.986,5.172,4.433,4.32,6.18,4.243,4.938,5.12,4.341,4.213,6.171,4.146,0.16,1.011,12.31,6.42,21.401,6.763,0.486,1.617,26.002
5.0,10.334,1.859,15.514,6.607,43.648,120.68,9.782,0.659,4.14,4.241,3.906,3.631,5.441,3.695,4.683,4.815,4.421,3.997,6.599,4.072,4.805,4.965,4.34,4.068,6.253,4.114,4.895,5.085,4.275,4.037,6.334,4.074,4.791,4.996,4.103,4.001,6.06,3.997,4.741,4.935,4.143,4.003,6.101,3.988,4.747,4.941,4.074,3.937,6.053,3.946,4.679,4.874,4.136,3.832,6.21,3.859,0.433,1.298,4.994,4.463,58.0,3.926,1.625,2.602,13.283
5.126,13.463,1.625,12.697,4.445,19.761,134.268,7.617,0.459,4.223,4.36,3.852,3.746,5.264,3.713,4.754,4.955,4.209,4.106,5.761,4.045,4.954,5.18,4.195,4.222,5.917,4.121,5.007,5.26,4.138,4.196,5.957,4.072,4.907,5.156,4.169,4.155,5.872,4.06,4.828,5.024,4.211,4.193,5.828,4.088,4.877,5.098,4.185,4.188,5.82,4.069,4.879,5.109,4.1,4.188,5.766,4.061,0.058,1.019,13.326,5.246,8.981,7.112,0.337,1.582,26.662
5.0,11.076,1.481,11.607,2.721,7.405,112.492,7.324,0.581,4.026,4.158,3.583,3.584,5.127,3.56,4.543,4.722,3.947,3.989,5.597,3.943,4.804,5.002,3.986,4.133,5.824,4.048,4.944,5.207,3.872,4.072,5.953,3.953,4.791,5.051,3.727,3.926,5.79,3.819,4.617,4.86,3.735,3.836,5.672,3.762,4.517,4.719,3.767,3.836,5.639,3.782,4.591,4.81,3.688,3.821,5.705,3.736,0.04,0.782,10.48,4.319,8.837,5.92,0.184,1.248,19.045
5.0,7.574,1.643,8.038,2.634,6.936,93.122,8.295,0.7,3.901,3.993,3.57,3.427,5.053,3.451,4.429,4.567,3.953,3.814,5.57,3.831,4.632,4.81,4.004,3.906,5.74,3.897,4.601,4.8,3.93,3.856,5.661,3.843,4.552,4.727,3.948,3.85,5.691,3.845,4.563,4.716,3.948,3.915,5.647,3.901,4.608,4.774,3.86,3.933,5.677,3.88,4.659,4.872,3.658,3.843,5.7,3.738,0.093,0.64,7.051,3.599,8.919,4.003,0.347,1.055,14.419
7.824,15.218,1.737,17.421,4.513,20.37,141.564,7.789,0.439,4.326,4.457,3.911,3.768,5.463,3.782,4.887,5.079,4.318,4.137,6.358,4.135,5.094,5.307,4.297,4.305,6.174,4.264,5.208,5.442,4.301,4.321,6.33,4.256,5.246,5.511,4.289,4.258,6.458,4.203,5.069,5.294,4.205,4.184,6.242,4.15,5.071,5.299,4.255,4.121,6.562,4.093,4.978,5.224,4.019,4.011,6.218,3.971,0.176,1.234,13.199,5.62,23.129,7.372,1.167,2.182,28.269
5.0,13.458,1.664,19.05,5.719,32.712,154.689,7.788,0.556,4.397,4.508,4.039,3.919,5.471,3.899,4.952,5.118,4.449,4.327,5.997,4.293,5.17,5.359,4.416,4.461,6.168,4.373,5.269,5.512,4.326,4.417,6.213,4.304,5.153,5.405,4.221,4.254,6.148,4.156,4.877,5.083,4.138,4.153,5.874,4.067,4.826,5.007,4.166,4.191,5.877,4.113,4.957,5.158,4.128,4.199,6.038,4.11,0.11,1.104,14.964,6.645,11.579,8.276,0.499,1.806,31.117
5.0,11.785,1.778,11.767,3.694,13.646,118.112,8.661,0.515,4.068,4.188,3.755,3.612,5.194,3.597,4.613,4.779,4.164,4.02,5.709,3.988,4.9,5.103,4.332,4.171,6.028,4.108,4.921,5.125,4.366,4.168,6.033,4.081,4.893,5.122,4.105,4.074,6.038,3.981,4.725,4.942,4.013,3.993,5.803,3.908,4.692,4.901,4.129,3.992,5.855,3.904,4.731,4.963,3.976,3.926,5.886,3.828,0.124,0.843,8.72,4.5,12.631,5.562,0.295,1.327,18.794
5.0,13.507,1.741,12.182,4.455,19.85,127.416,8.357,0.486,4.115,4.23,3.765,3.654,5.338,3.648,4.613,4.785,4.116,4.002,5.798,3.984,4.834,5.005,4.271,4.151,6.105,4.119,4.919,5.142,4.193,4.161,6.08,4.103,4.857,5.044,4.198,4.183,6.093,4.131,4.91,5.104,4.252,4.211,6.133,4.168,4.947,5.136,4.283,4.194,6.265,4.149,4.882,5.08,4.226,4.09,6.218,4.042,0.095,0.876,9.303,4.733,12.354,5.74,0.345,1.33,19.526
5.0,8.973,1.716,8.731,2.737,7.493,98.273,8.947,0.724,3.849,3.95,3.571,3.435,5.058,3.438,4.334,4.472,3.963,3.819,5.516,3.813,4.508,4.644,4.123,3.947,5.74,3.933,4.608,4.76,4.124,3.954,5.859,3.923,4.66,4.842,4.045,3.912,5.908,3.857,4.542,4.731,4.015,3.825,5.792,3.79,4.455,4.606,3.916,3.776,5.711,3.739,4.424,4.589,3.766,3.745,5.642,3.67,0.082,0.605,5.726,3.248,6.403,3.636,0.262,0.945,12.328
5.0,25.88,1.502,9.743,3.479,12.106,135.851,7.438,0.5,4.257,4.372,3.84,3.811,5.311,3.796,4.831,5.002,4.238,4.25,5.851,4.221,5.087,5.269,4.344,4.446,6.081,4.384,5.26,5.47,4.46,4.561,6.273,4.488,5.371,5.576,4.55,4.626,6.383,4.562,5.455,5.667,4.625,4.699,6.486,4.634,5.519,5.746,4.566,4.705,6.531,4.625,5.405,5.634,4.318,4.565,6.422,4.453,0.01,0.931,12.794,5.704,8.109,7.426,0.33,1.576,25.693
5.0,13.425,1.765,12.935,4.203,17.668,117.539,8.126,0.5,4.125,4.233,3.763,3.608,5.232,3.614,4.683,4.851,4.108,3.975,5.763,3.967,4.893,5.085,4.228,4.114,6.01,4.075,4.91,5.131,4.063,4.094,5.891,4.01,4.924,5.162,3.998,4.066,5.867,3.975,4.855,5.07,4.024,4.022,5.847,3.955,4.822,5.037,4.035,4.0,5.867,3.93,4.743,4.957,4.007,3.938,5.802,3.875,0.111,0.856,10.201,4.964,8.62,6.061,0.52,1.327,22.65
5.0,15.945,1.468,16.73,4.221,17.813,146.651,7.26,0.585,4.309,4.443,3.863,3.85,5.388,3.826,4.838,5.033,4.197,4.233,5.866,4.187,5.077,5.286,4.239,4.395,6.061,4.31,5.205,5.466,4.145,4.367,6.139,4.247,5.13,5.402,4.135,4.291,6.073,4.196,4.967,5.186,4.111,4.268,6.004,4.179,5.016,5.264,4.026,4.248,5.971,4.136,4.9,5.125,3.986,4.166,5.937,4.067,0.042,1.057,14.153,5.707,10.591,7.967,0.335,1.689,26.501
