pXC50,SM03_EA.ri.,SpMin8_Bh.s.,JGI2,SpMAD_AEA.ed.,Eig03_EA.ed.,SM12_AEA.dm.,SpDiam_AEA.ri.,PW2,SpMAD_EA.ed.,StsC,SpMin7_Bh.m.,Eig01_AEA.ri.,SpMax_AEA.ri.,P_VSA_e_2,P_VSA_m_2,SpMin3_Bh.s.,P_VSA_i_2,SpMin3_Bh.m.,SpMin7_Bh.p.,SpMin7_Bh.v.,IVDE,JGI6,CATS2D_08_LL,Eig03_AEA.ed.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,X5A,C.022,nCsp,nR.C.,NtsC,P_VSA_LogP_6,JGT,SaaCH,Eig03_EA,GGI2,GGI4,SM11_AEA.bo.,JGI3,CIC0,Eta_sh_y,ATSC4e,ATSC7e,ATSC7s,DELS,GGI5,GGI6,P_VSA_LogP_4,SPI,ZM1Mad,ZM2Mad,Eig02_EA.ed.,RCI,RFD,SM06_EA.ri.,SM11_AEA.dm.,ATSC2v,SpMax8_Bh.i.,SpMin3_Bh.e.,ATSC3e,ATSC4s,ATSC5e
4.0,3.96,0.239,0.058,1.507,6.995,6.995,5.3,0.583,4.231,6.378,1.395,4.265,4.265,134.451,171.147,1.107,134.451,1.963,1.33,1.354,1.326,0.016,6,5.357,15.295,16.431,17.551,0.08,2,2,2,2,36.205,0.431,15.848,2.483,2.444,1.213,2.483,0.046,4.178,0.225,0.296,0.184,33.994,22.808,0.591,0.417,59.469,9.713,155.338,176.509,9.514,1.095,0.095,7.801,9.514,10.551,2.974,1.788,0.268,51.0,0.236
6.609,4.053,0.187,0.098,1.643,8.477,8.477,5.741,0.602,4.951,0.0,1.236,4.7,4.7,60.509,63.633,1.033,60.509,1.806,1.132,1.167,1.578,0.031,0,6.021,16.998,18.3,19.601,0.061,0,0,0,0,0.0,0.495,6.149,2.62,3.333,1.524,2.62,0.05,4.132,0.314,0.191,0.185,23.833,9.811,0.653,0.403,42.683,7.152,116.185,145.326,9.368,1.412,0.471,8.17,9.368,11.774,2.782,1.557,0.182,19.563,0.239
7.097,4.184,0.105,0.071,1.656,8.465,8.465,5.355,0.605,4.791,0.0,1.046,4.295,4.295,88.902,111.936,0.98,88.902,1.773,1.194,1.164,1.53,0.022,3,6.046,15.619,16.768,17.906,0.064,0,0,0,0,9.177,0.539,7.384,2.687,3.556,2.243,2.687,0.08,3.403,0.457,1.137,1.384,193.334,55.849,1.535,1.101,123.733,19.933,244.65,258.813,11.322,1.1,0.1,7.958,11.322,4.558,2.918,1.658,0.907,147.585,1.135
7.244,4.304,0.172,0.078,1.646,8.512,8.512,5.355,0.602,4.759,0.0,1.181,4.295,4.295,108.521,131.555,0.98,108.521,1.773,1.231,1.205,1.54,0.023,3,6.048,15.722,16.863,17.996,0.066,0,0,0,0,9.177,0.512,9.21,2.76,4.0,2.212,2.76,0.073,3.678,0.46,0.991,1.501,235.168,58.024,1.518,1.194,154.011,20.505,219.715,245.957,11.311,1.1,0.1,8.086,11.311,6.703,2.964,1.658,0.781,143.723,1.063
7.237,3.995,0.13,0.076,1.604,8.442,8.442,5.346,0.594,4.624,0.0,1.181,4.287,4.287,98.254,121.288,1.025,98.254,1.796,1.197,1.165,1.506,0.02,3,6.044,15.441,16.587,17.721,0.067,0,0,0,0,9.177,0.457,12.564,2.628,3.333,1.816,2.628,0.065,3.591,0.404,0.715,1.111,149.571,37.179,1.174,0.798,93.883,14.56,193.063,214.914,10.513,1.1,0.1,7.833,10.513,6.538,2.925,1.66,0.511,81.775,0.718
7.444,4.202,0.177,0.079,1.643,8.452,8.452,5.354,0.602,4.745,0.0,1.181,4.295,4.295,103.387,126.422,0.98,103.387,1.773,1.227,1.186,1.538,0.023,3,6.045,15.625,16.772,17.909,0.066,0,0,0,0,9.177,0.518,10.08,2.632,3.778,2.212,2.632,0.074,3.632,0.451,0.887,1.161,158.241,48.195,1.362,1.055,123.733,18.25,207.611,232.296,11.289,1.1,0.1,7.98,11.289,6.764,2.925,1.658,0.622,117.574,0.896
6.886,4.108,0.163,0.072,1.622,8.451,8.451,5.354,0.597,4.692,0.0,1.299,4.294,4.294,63.388,86.422,0.98,63.388,1.773,1.269,1.29,1.531,0.021,3,6.045,15.605,16.754,17.893,0.066,0,0,0,0,9.177,0.479,3.115,2.629,3.333,2.021,2.629,0.076,3.748,0.431,0.977,1.279,176.979,48.326,1.251,0.908,123.733,16.28,201.611,225.296,11.287,1.1,0.1,7.928,11.287,9.455,3.068,1.658,0.715,135.579,0.985
8.097,4.033,0.0,0.101,1.599,7.831,7.831,5.349,0.612,4.679,0.0,0.765,4.279,4.279,95.799,90.599,0.656,39.017,1.508,0.899,0.881,1.782,0.029,0,5.826,15.652,16.814,17.971,0.071,0,0,0,0,11.771,0.639,3.436,2.594,3.333,1.529,2.594,0.045,3.015,0.318,0.826,0.657,88.493,37.921,0.819,0.671,139.201,14.729,307.572,228.023,10.492,1.2,0.2,7.768,10.492,5.496,2.578,1.393,0.823,123.455,0.614
7.347,4.202,0.125,0.074,1.643,8.455,8.455,5.354,0.601,4.743,0.0,1.181,4.295,4.295,103.387,126.422,0.98,103.387,1.773,1.23,1.204,1.538,0.021,4,6.046,15.633,16.78,17.918,0.066,0,0,0,0,9.177,0.512,10.12,2.635,3.556,2.132,2.635,0.077,3.632,0.451,0.885,1.379,197.524,48.332,1.393,1.004,123.733,18.16,207.611,232.296,11.304,1.1,0.1,7.982,11.304,6.764,2.963,1.658,0.622,120.617,0.904
7.409,4.147,0.118,0.085,1.595,8.408,8.408,5.489,0.605,4.72,0.0,1.091,4.404,4.404,61.456,93.189,0.988,55.649,1.655,1.19,1.161,1.75,0.024,3,6.02,15.562,16.712,17.856,0.068,0,0,0,0,0.0,0.553,1.359,2.695,3.556,2.871,2.695,0.053,3.406,0.348,0.955,1.493,226.7,53.28,1.681,1.119,115.012,16.316,223.38,256.339,10.549,1.125,0.125,7.867,10.549,8.182,2.827,1.667,1.224,112.784,1.306
6.78,4.068,0.129,0.089,1.575,8.407,8.407,5.472,0.585,4.431,0.0,1.092,4.399,4.399,76.455,108.188,0.989,70.648,1.761,1.199,1.172,1.747,0.025,0,6.02,15.536,16.685,17.83,0.069,0,0,0,0,0.0,0.539,1.332,2.695,3.556,2.64,2.695,0.055,3.513,0.301,0.852,1.338,197.979,55.155,1.507,1.034,126.012,18.5,221.594,249.944,10.541,1.2,0.2,7.792,10.541,8.041,2.832,1.563,1.345,100.589,1.526
6.55,4.068,0.0,0.096,1.618,8.407,8.407,5.469,0.595,4.656,0.0,1.034,4.399,4.399,67.27,99.003,0.924,61.463,1.611,1.097,1.098,1.766,0.027,0,6.02,15.537,16.687,17.832,0.067,0,0,0,0,0.0,0.588,1.343,2.695,3.556,2.64,2.695,0.059,3.207,0.335,0.937,1.338,186.795,50.012,1.507,1.034,115.012,16.783,206.051,234.788,10.541,1.2,0.2,7.787,10.541,6.623,2.797,1.536,1.025,111.704,1.139
7.634,4.238,0.0,0.106,1.65,9.953,9.953,5.497,0.616,4.944,0.0,0.976,4.427,4.427,62.089,93.822,1.032,56.282,1.762,1.127,1.081,1.826,0.026,0,6.394,15.624,16.774,17.922,0.064,0,0,0,0,23.542,0.67,1.153,3.085,4.444,2.72,3.085,0.057,2.911,0.321,1.555,2.285,357.415,75.009,2.007,1.34,104.012,19.815,238.194,260.026,10.822,1.2,0.2,7.894,10.822,5.905,2.798,1.524,1.528,273.626,1.413
6.138,4.026,0.0,0.089,1.576,7.867,7.867,5.433,0.59,4.543,0.0,1.075,4.363,4.363,73.246,104.979,0.925,67.439,1.611,1.098,1.104,1.771,0.026,0,5.843,15.475,16.621,17.761,0.068,0,0,0,0,0.0,0.584,2.86,2.568,3.111,2.129,2.568,0.057,3.294,0.312,0.813,1.167,171.503,45.162,1.368,0.913,115.012,15.414,184.531,205.874,10.219,1.2,0.2,7.752,10.219,6.901,2.801,1.536,0.906,92.154,0.916
7.721,4.068,0.096,0.094,1.602,8.407,8.407,5.469,0.591,4.576,0.0,1.044,4.399,4.399,69.805,101.538,0.947,63.998,1.763,1.141,1.119,1.764,0.027,0,6.02,15.537,16.687,17.832,0.067,0,0,0,0,0.0,0.571,1.348,2.695,3.556,2.64,2.695,0.058,3.361,0.322,0.875,1.375,190.541,51.117,1.507,1.034,115.012,17.356,210.715,239.12,10.541,1.2,0.2,7.79,10.541,7.621,2.798,1.566,1.12,100.875,1.137
7.387,4.068,0.0,0.099,1.634,8.407,8.407,5.469,0.599,4.746,0.0,0.811,4.399,4.399,51.795,83.528,0.92,45.988,1.598,0.946,0.971,1.762,0.025,0,6.02,15.537,16.687,17.832,0.066,0,0,0,0,0.0,0.597,1.312,2.695,3.556,2.64,2.695,0.061,3.041,0.35,0.93,1.417,223.184,52.075,1.507,0.912,104.012,16.211,201.276,229.791,10.541,1.2,0.2,7.784,10.541,5.894,2.75,1.519,1.078,131.893,1.135
7.237,4.127,0.0,0.099,1.645,8.632,8.632,5.484,0.594,4.761,0.0,0.997,4.414,4.414,60.305,92.038,0.868,54.498,1.731,1.047,1.043,1.762,0.026,0,6.07,15.706,16.866,18.024,0.066,0,0,0,0,0.0,0.582,1.454,2.718,3.556,2.68,2.718,0.063,3.294,0.357,0.736,1.602,257.202,49.259,1.569,0.973,104.012,16.206,185.757,213.051,10.642,1.2,0.2,7.877,10.642,7.219,2.767,1.518,0.936,102.928,1.116
8.699,4.162,0.0,0.096,1.655,8.408,8.408,5.473,0.613,4.896,0.0,0.712,4.403,4.403,50.17,81.903,0.702,44.363,1.539,0.839,0.841,1.695,0.028,0,6.02,15.557,16.707,17.853,0.068,0,0,0,0,0.0,0.63,1.21,2.695,3.556,2.88,2.695,0.061,2.776,0.401,0.971,1.298,219.47,58.655,1.451,0.975,172.75,17.112,206.265,233.73,10.547,1.2,0.2,7.819,10.547,4.082,2.642,1.379,1.128,171.472,1.382
7.854,4.127,0.0,0.102,1.646,8.407,8.407,5.477,0.604,4.839,0.0,0.943,4.407,4.407,57.771,89.503,0.852,51.963,1.611,1.047,1.038,1.75,0.028,0,6.02,15.672,16.831,17.987,0.068,0,0,0,0,0.0,0.602,1.423,2.695,3.556,2.64,2.695,0.063,3.13,0.374,0.795,1.424,231.355,48.103,1.34,0.871,104.012,15.642,181.757,208.051,10.541,1.2,0.2,7.85,10.541,6.249,2.694,1.441,0.918,112.887,1.073
7.77,3.786,0.389,0.054,1.499,7.03,7.03,4.998,0.579,4.09,6.512,1.447,3.963,3.963,136.986,173.681,1.114,136.986,1.986,1.376,1.429,1.218,0.017,8,5.364,14.273,15.329,16.329,0.082,2,2,2,2,36.205,0.396,14.728,2.547,2.222,1.053,2.547,0.037,4.325,0.299,0.183,0.171,24.643,15.607,0.521,0.418,59.469,10.224,150.57,171.183,7.821,1.095,0.095,7.542,7.821,11.744,3.045,1.807,0.185,32.686,0.19
5.959,4.28,0.269,0.074,1.645,9.024,9.024,5.427,0.599,4.784,0.0,1.343,4.367,4.367,116.398,139.432,1.07,116.398,1.94,1.239,1.308,1.54,0.023,11,6.221,15.932,17.099,18.259,0.064,0,0,0,0,9.177,0.487,11.745,2.649,3.778,2.591,2.649,0.08,3.871,0.454,0.955,1.172,158.705,51.447,1.504,1.312,123.733,19.955,217.944,247.294,11.803,1.1,0.1,8.106,11.803,8.946,3.009,1.749,0.603,118.778,1.049
8.398,4.127,0.0,0.102,1.646,8.407,8.407,5.472,0.604,4.839,0.0,0.949,4.402,4.402,57.771,89.503,0.852,51.963,1.606,1.038,1.037,1.75,0.028,0,6.02,15.598,16.749,17.897,0.068,0,0,0,0,0.0,0.602,1.526,2.695,3.556,2.64,2.695,0.063,3.13,0.374,0.804,1.322,228.388,48.256,1.34,0.871,104.012,15.642,181.757,210.327,10.541,1.2,0.2,7.83,10.541,6.249,2.683,1.444,0.919,122.845,1.189
5.979,4.108,0.038,0.081,1.68,8.436,8.436,5.352,0.607,4.837,0.0,1.106,4.293,4.293,68.365,91.399,0.98,68.365,1.773,1.228,1.186,1.499,0.023,0,6.044,15.559,16.707,17.847,0.064,0,0,0,0,9.177,0.566,3.071,2.626,3.333,1.829,2.626,0.086,3.434,0.485,0.96,1.162,160.601,45.659,1.077,0.848,123.733,17.531,183.611,202.963,11.038,1.143,0.143,7.845,11.038,6.902,2.914,1.655,0.696,134.815,1.084
7.276,4.175,0.101,0.079,1.643,8.452,8.452,5.354,0.602,4.745,0.0,1.151,4.295,4.295,100.498,123.532,0.98,100.498,1.773,1.196,1.164,1.538,0.023,2,6.045,15.615,16.763,17.901,0.066,0,0,0,0,24.137,0.518,7.926,2.632,3.778,2.212,2.632,0.074,3.378,0.458,1.113,1.515,237.866,57.774,1.362,1.055,123.733,18.25,211.442,235.206,11.289,1.1,0.1,7.958,11.289,5.122,2.925,1.658,0.898,162.625,1.085
4.74,4.081,0.757,0.056,1.5,8.477,8.477,5.324,0.566,4.148,0.0,1.647,4.255,4.255,157.543,227.135,1.223,157.543,2.001,1.61,1.625,1.018,0.013,9,6.004,15.792,16.954,18.099,0.071,0,0,0,0,4.288,0.288,20.766,2.61,3.333,1.942,2.61,0.043,4.832,0.287,0.533,0.339,35.231,21.863,0.782,0.582,34.796,9.145,234.278,268.406,11.364,1.296,0.296,8.112,11.364,17.84,3.318,1.864,0.365,46.506,0.37
4.886,4.081,0.758,0.055,1.495,8.477,8.477,5.322,0.565,4.113,0.0,1.728,4.255,4.255,160.077,229.67,1.226,160.077,2.018,1.666,1.689,1.005,0.013,11,6.004,15.792,16.954,18.099,0.072,0,0,0,0,4.288,0.282,20.798,2.61,3.333,1.942,2.61,0.043,4.9,0.28,0.545,0.43,39.558,21.974,0.782,0.582,34.796,9.333,238.278,272.406,11.364,1.296,0.296,8.118,11.364,18.803,3.347,1.864,0.377,47.657,0.38
6.131,4.081,0.645,0.057,1.511,8.477,8.477,5.33,0.57,4.224,0.0,1.486,4.255,4.255,152.474,222.066,1.219,152.474,1.974,1.484,1.489,1.043,0.014,7,6.004,15.792,16.953,18.099,0.071,0,0,0,0,4.288,0.299,20.681,2.61,3.333,1.942,2.61,0.045,4.686,0.303,0.559,0.349,36.1,21.535,0.782,0.582,34.796,8.76,226.278,260.406,11.364,1.296,0.296,8.1,11.364,15.876,3.277,1.864,0.34,45.996,0.315
4.519,4.081,0.75,0.056,1.506,8.477,8.477,5.326,0.568,4.186,0.0,1.549,4.255,4.255,155.008,224.601,1.221,155.008,1.984,1.546,1.552,1.03,0.014,7,6.004,15.792,16.953,18.099,0.071,0,0,0,0,4.288,0.294,20.728,2.61,3.333,1.942,2.61,0.044,4.761,0.295,0.52,0.35,36.385,21.722,0.782,0.582,34.796,8.954,230.278,264.406,11.364,1.296,0.296,8.106,11.364,16.865,3.293,1.864,0.353,45.289,0.411
5.021,4.346,0.325,0.049,1.643,10.925,10.925,5.682,0.648,5.648,0.0,1.079,4.682,4.682,32.858,65.755,0.983,32.858,1.665,0.997,1.031,1.776,0.0,0,6.714,16.989,18.271,19.554,0.055,0,0,0,0,0.0,0.75,0.0,2.935,1.333,1.0,2.935,0.134,3.978,0.078,0.159,0.0,0.0,6.861,0.0,0.0,0.0,6.076,85.36,103.166,10.925,1.8,1.2,8.284,10.925,10.849,2.66,1.379,0.144,16.201,0.121
7.495,4.199,0.0,0.105,1.611,8.167,8.167,5.349,0.613,4.696,0.0,0.908,4.279,4.279,40.114,97.366,0.658,40.114,1.512,1.025,0.983,1.762,0.027,0,5.914,15.74,16.899,18.054,0.069,0,0,0,0,11.771,0.63,2.213,2.687,3.778,1.769,2.687,0.041,3.161,0.374,1.253,1.109,175.546,52.418,1.056,0.793,139.201,16.815,174.839,198.011,10.564,1.2,0.2,7.898,10.564,5.297,2.673,1.452,1.042,200.479,0.986
8.097,4.287,0.0,0.108,1.624,10.308,10.308,5.352,0.625,4.944,0.0,0.874,4.282,4.282,48.302,99.884,0.666,48.302,1.51,1.025,0.982,1.848,0.028,0,6.54,15.824,16.98,18.134,0.068,0,0,0,0,11.771,0.692,1.379,3.04,4.222,1.969,3.04,0.045,3.034,0.326,1.67,1.517,255.441,65.409,1.285,0.897,139.201,18.242,193.68,211.669,11.338,1.2,0.2,7.974,11.338,5.395,2.669,1.428,1.231,273.206,1.273
8.301,4.054,0.0,0.101,1.599,7.831,7.831,5.349,0.612,4.679,0.0,0.767,4.279,4.279,40.412,91.994,0.653,86.366,1.508,0.908,0.885,1.782,0.029,0,5.826,15.66,16.821,17.978,0.071,0,0,0,0,11.771,0.639,3.296,2.594,3.333,1.529,2.594,0.045,3.015,0.327,0.898,0.753,93.676,38.768,0.819,0.671,139.201,14.729,224.534,208.456,10.492,1.2,0.2,7.777,10.492,5.434,2.579,1.391,0.881,126.896,0.711
