pXC50,nDB,nBO,nN,nO,N.,O.,MW,Se,nAT,nBT,Si,C.,Sv
6.017,1,33,1,3,2.2,6.7,385.41,45.665,45,49,49.788,53.3,31.764
6.686,2,33,1,3,2.3,7.0,403.45,43.858,43,47,47.293,53.5,31.424
6.721,1,31,1,3,2.4,7.3,359.37,41.782,41,45,45.373,53.7,29.237
4.301,0,25,3,0,8.1,0.0,317.34,38.029,37,39,42.42,45.9,24.902
4.917,0,17,4,0,14.3,0.0,212.28,27.942,28,29,31.654,42.9,18.193
4.301,0,21,4,0,12.9,0.0,280.28,32.363,31,32,36.088,41.9,20.87
4.301,0,24,4,0,12.9,0.0,334.25,33.901,31,32,37.107,41.9,22.019
4.301,0,20,4,1,15.4,3.8,268.22,27.923,26,27,30.467,42.3,18.531
5.046,2,19,5,2,18.5,7.4,243.25,27.931,27,28,30.741,40.7,18.59
4.712,0,17,4,0,16.0,0.0,216.24,25.571,25,26,28.579,44.0,17.049
4.301,0,22,5,0,15.2,0.0,295.3,34.465,33,34,38.587,39.4,21.891
5.585,0,20,4,0,14.3,0.0,266.25,29.48,28,29,32.673,42.9,19.343
4.301,2,43,4,3,6.0,4.5,516.64,66.992,67,71,74.604,47.8,44.552
4.301,2,34,5,2,10.2,4.1,431.91,49.673,49,52,54.761,46.9,34.052
4.301,3,37,5,3,9.3,5.6,473.95,54.883,54,57,60.385,46.3,37.293
7.745,3,28,1,3,2.5,7.5,377.79,41.502,40,42,45.072,47.5,27.974
6.134,3,27,1,3,2.5,7.5,404.25,40.894,40,42,44.629,47.5,27.789
7.699,3,31,1,4,2.3,9.1,425.81,46.225,44,46,50.036,45.5,30.599
7.046,3,31,1,5,2.1,10.4,403.41,49.6,48,50,54.377,43.8,31.63
6.215,3,27,1,4,2.4,9.8,341.36,41.993,41,43,45.997,46.3,27.478
8.097,3,31,1,4,2.3,9.1,409.36,46.414,44,46,50.432,45.5,30.155
5.77,3,28,1,4,2.3,9.1,355.39,44.876,44,46,49.412,45.5,29.005
6.387,3,25,1,3,2.5,7.5,307.37,40.153,40,42,44.448,47.5,26.38
7.155,3,27,1,3,2.5,7.5,420.7,40.705,40,42,44.234,47.5,28.233
6.745,3,34,1,3,2.0,6.1,425.43,50.458,49,52,55.298,49.0,33.584
7.77,3,30,1,4,2.1,8.5,387.41,48.272,47,49,53.167,44.7,30.915
5.076,3,28,1,4,2.3,9.1,371.84,44.687,44,46,49.017,45.5,29.449
4.301,3,43,5,4,7.4,5.9,523.64,68.421,68,72,76.312,44.1,44.288
7.523,1,31,1,2,2.2,4.3,371.43,46.222,46,49,50.994,52.2,31.576
7.222,1,29,1,2,2.0,3.9,365.48,50.872,51,53,57.239,45.1,32.156
5.699,3,27,1,4,2.3,9.1,337.4,44.363,44,46,49.073,45.5,28.622
6.469,2,28,1,5,2.5,12.5,355.34,41.436,40,42,44.791,47.5,27.666
5.301,2,26,1,3,2.6,7.7,317.36,39.269,39,41,43.033,51.3,26.853
6.0,3,31,1,6,2.3,14.0,415.42,44.84,43,45,47.921,46.5,30.568
7.357,2,28,1,4,2.5,10.0,371.41,41.185,40,42,44.502,47.5,28.139
6.176,3,25,1,3,2.6,7.9,325.41,38.345,38,40,41.953,47.4,26.041
4.252,1,25,1,3,2.7,8.1,372.23,37.498,37,39,40.875,48.6,25.879
5.31,1,25,1,3,2.7,8.1,327.78,37.593,37,39,40.977,48.6,25.681
6.519,2,25,1,3,2.8,8.3,323.39,36.462,36,38,39.538,50.0,25.514
4.301,2,27,1,3,2.4,7.1,331.39,42.153,42,44,46.448,50.0,28.38
7.42,1,31,1,2,2.3,4.7,436.29,43.567,43,46,47.42,53.5,31.074
4.699,2,26,1,3,2.6,7.7,317.36,39.269,39,41,43.033,51.3,26.853
8.0,2,30,1,4,2.3,9.3,403.43,44.582,43,45,48.257,46.5,30.049
7.62,1,31,1,2,2.2,4.3,371.43,46.222,46,49,50.994,52.2,31.576
8.16,1,31,1,2,2.3,4.7,375.39,43.851,43,46,47.918,53.5,30.432
6.398,1,31,1,2,2.2,4.3,371.43,46.222,46,49,50.994,52.2,31.576
6.638,1,34,1,2,2.2,4.3,425.4,47.76,46,49,52.013,52.2,32.725
7.538,1,31,1,3,2.3,6.8,373.4,44.665,44,47,48.788,52.3,30.764
8.155,1,31,1,4,2.4,9.5,375.37,43.109,42,45,46.582,52.4,29.952
6.301,2,33,2,3,4.0,6.0,396.47,50.138,50,53,55.362,50.0,33.928
6.854,1,31,1,2,2.3,4.7,391.84,43.662,43,46,47.522,53.5,30.876
6.678,1,27,1,2,2.7,5.4,331.41,37.134,37,40,40.328,54.1,26.799
6.569,1,27,1,3,2.9,8.8,367.72,36.247,34,36,38.581,50.0,25.304
8.076,1,33,1,2,2.2,4.3,407.41,47.247,46,49,51.673,52.2,32.342
7.569,2,23,2,2,5.3,5.3,292.36,38.043,38,39,42.322,47.4,25.16
6.301,1,27,2,3,5.6,8.3,316.33,36.604,36,39,39.701,52.8,25.821
6.301,0,33,5,0,11.1,0.0,381.44,45.323,45,49,50.322,51.1,31.651
7.301,1,31,1,2,2.3,4.7,375.39,43.851,43,46,47.918,53.5,30.432
7.699,1,30,1,2,2.3,4.7,373.85,43.149,43,46,47.183,53.5,30.493
6.301,2,33,1,4,2.0,8.2,397.45,49.363,49,52,54.073,51.0,33.622
6.301,0,29,1,1,2.3,2.3,343.42,43.894,44,47,48.784,52.3,29.861
6.699,1,30,2,2,4.8,4.8,358.39,42.556,42,45,46.662,52.4,29.543
8.0,1,29,1,2,2.5,5.0,343.37,40.454,40,43,44.163,55.0,28.522
6.301,1,27,1,2,2.2,4.4,337.42,45.105,45,47,50.409,46.7,29.102
6.678,1,31,1,2,2.3,4.7,375.39,43.851,43,46,47.918,53.5,30.432
6.301,0,28,1,1,2.4,2.4,329.39,41.011,41,44,45.369,53.7,28.334
6.377,1,30,2,2,4.8,4.8,358.39,42.556,42,45,46.662,52.4,29.543
7.553,1,30,1,2,2.0,4.1,363.46,48.989,49,52,54.824,46.9,31.629
6.301,1,30,1,2,2.3,4.7,357.4,43.338,43,46,47.578,53.5,30.049
8.77,1,29,1,2,2.3,4.7,339.41,42.825,43,46,47.239,53.5,29.665
7.886,1,31,1,2,2.3,4.5,389.47,44.414,44,47,48.498,52.3,31.236
7.319,1,30,2,2,4.8,4.8,358.39,42.556,42,45,46.662,52.4,29.543
7.886,1,31,1,3,2.3,6.8,373.4,44.665,44,47,48.788,52.3,30.764
6.824,1,30,1,2,2.3,4.7,373.85,43.149,43,46,47.183,53.5,30.493
6.658,1,30,1,2,2.3,4.7,373.85,43.149,43,46,47.183,53.5,30.493
7.602,1,30,1,2,2.3,4.7,373.85,43.149,43,46,47.183,53.5,30.493
4.445,3,20,1,4,2.6,10.3,277.35,39.363,39,39,44.073,38.5,23.622
7.398,1,27,1,2,2.2,4.4,337.42,45.105,45,47,50.409,46.7,29.102
7.398,1,30,1,3,2.4,7.3,359.37,41.782,41,44,45.373,53.7,29.237
7.569,1,35,2,2,4.0,4.0,410.47,50.323,50,54,55.492,52.0,34.597
7.252,1,29,1,2,2.5,5.0,363.43,40.531,40,43,44.083,52.5,28.709
6.301,1,30,1,3,2.3,6.8,355.41,44.153,44,47,48.448,52.3,30.38
5.187,1,23,3,1,9.1,3.0,295.29,34.472,33,35,38.215,42.4,22.09
4.394,1,20,3,1,8.3,2.8,275.41,35.894,36,37,40.531,38.9,22.654
6.0,3,31,1,6,2.3,14.0,415.42,44.84,43,45,47.921,46.5,30.568
6.62,1,32,2,2,4.2,4.2,386.45,48.323,48,51,53.492,50.0,32.597
4.301,1,22,5,0,14.3,0.0,297.32,36.349,35,36,41.002,37.1,22.418
6.569,1,31,1,2,2.1,4.3,385.51,46.785,47,50,51.574,51.1,32.379
4.821,3,23,3,4,7.7,10.3,303.35,39.8,39,40,44.239,38.5,24.611
6.301,1,23,1,2,3.0,6.1,281.3,33.571,33,35,36.748,51.5,22.995
6.301,1,28,1,2,2.6,5.1,331.36,39.454,39,42,43.163,53.8,27.522
7.959,1,32,1,3,2.3,6.8,391.39,45.178,44,47,49.128,52.3,31.147
4.0,0,24,5,0,14.7,0.0,307.31,35.465,34,36,39.587,41.2,22.891
6.301,1,29,3,2,7.5,5.0,347.37,40.774,40,43,44.745,50.0,28.038
7.26,1,34,1,3,2.1,6.3,399.44,48.549,48,52,53.203,52.1,33.29
4.301,3,42,5,5,7.2,7.2,517.64,69.632,69,73,77.936,40.6,43.529
4.301,0,26,4,0,11.4,0.0,328.32,36.363,35,37,40.088,48.6,24.87
4.0,0,21,5,0,14.7,0.0,253.34,33.927,34,36,38.568,41.2,21.741
4.0,0,24,5,0,16.1,0.0,327.72,32.905,31,33,36.115,41.9,22.192
4.0,0,20,5,0,17.9,0.0,259.72,28.484,28,30,31.681,42.9,19.515
6.699,1,32,1,3,2.1,6.4,387.43,47.549,47,50,52.203,51.1,32.29
7.602,1,35,2,2,3.8,3.8,412.49,52.207,52,56,57.907,50.0,35.124
6.699,2,25,2,3,5.1,7.7,342.8,39.694,39,40,43.475,46.2,26.702
6.745,2,24,2,2,5.7,5.7,347.21,35.807,35,36,38.795,48.6,25.288
6.495,2,23,2,2,5.7,5.7,312.77,35.484,35,36,38.851,48.6,24.461
6.886,2,25,2,3,4.8,7.1,322.39,42.254,42,43,46.946,45.2,27.402
6.886,2,23,2,2,5.7,5.7,312.77,35.484,35,36,38.851,48.6,24.461
4.783,2,25,2,2,5.7,5.7,381.65,36.131,35,36,38.739,48.6,26.116
5.818,2,24,2,2,5.7,5.7,347.21,35.807,35,36,38.795,48.6,25.288
4.517,2,27,2,2,5.3,5.3,380.77,39.905,38,39,43.285,47.4,27.137
7.658,2,24,2,2,5.7,5.7,347.21,35.807,35,36,38.795,48.6,25.288
7.658,1,36,2,3,3.8,5.7,428.49,53.534,53,57,59.117,49.1,35.838
6.0,1,24,1,3,2.9,8.8,297.3,34.898,34,36,37.957,50.0,23.71
7.585,1,35,1,2,2.0,4.1,407.46,49.222,49,53,53.994,55.1,34.575
7.638,1,39,2,2,3.8,3.8,478.47,54.745,53,57,59.926,50.9,37.274
7.678,1,31,1,3,2.3,6.8,373.4,44.665,44,47,48.788,52.3,30.764
7.523,1,36,2,3,3.8,5.7,428.49,53.534,53,57,59.117,49.1,35.838
4.0,0,20,5,0,17.9,0.0,304.17,28.389,28,30,31.579,42.9,19.713
4.0,0,23,5,0,16.1,0.0,293.28,32.582,31,33,36.171,41.9,21.364
4.0,0,24,5,1,15.6,3.1,309.28,33.909,32,34,37.381,40.6,22.079
4.0,0,21,5,0,16.1,0.0,257.3,31.556,31,33,35.492,41.9,20.598
4.0,0,24,5,0,16.1,0.0,311.27,33.094,31,33,36.511,41.9,21.747
6.699,1,24,2,2,5.7,5.7,296.32,35.673,35,37,39.246,48.6,24.017
7.149,1,34,3,2,6.5,4.3,397.43,46.658,46,50,51.16,52.2,32.565
6.0,1,31,1,3,2.3,6.8,373.4,44.665,44,47,48.788,52.3,30.764
6.367,1,31,2,2,4.4,4.4,372.42,45.44,45,48,50.077,51.1,31.07
7.62,1,35,2,2,4.1,4.1,416.45,49.836,49,53,54.832,51.0,33.98
7.398,1,37,2,3,3.7,5.6,440.5,54.534,54,58,60.117,50.0,36.838
7.62,1,38,2,2,3.8,3.8,466.46,53.745,52,56,58.926,50.0,36.274
4.0,0,20,5,0,17.9,0.0,259.72,28.484,28,30,31.681,42.9,19.515
7.469,1,36,2,3,3.8,5.7,428.49,53.534,53,57,59.117,49.1,35.838
7.081,1,31,2,2,4.4,4.4,372.42,45.44,45,48,50.077,51.1,31.07
6.886,1,34,2,2,4.3,4.3,396.44,47.44,47,51,52.077,53.2,33.07
8.347,1,34,2,2,4.3,4.3,396.44,47.44,47,51,52.077,53.2,33.07
6.699,2,24,2,2,5.7,5.7,347.21,35.807,35,36,38.795,48.6,25.288
7.824,1,34,2,2,4.1,4.1,398.46,49.323,49,53,54.492,51.0,33.597
7.523,1,35,2,2,4.1,4.1,416.45,49.836,49,53,54.832,51.0,33.98
7.503,2,22,2,2,5.7,5.7,278.33,35.16,35,36,38.907,48.6,23.633
6.481,1,32,1,3,2.1,6.4,387.43,47.549,47,50,52.203,51.1,32.29
6.721,2,24,2,2,5.7,5.7,347.21,35.807,35,36,38.795,48.6,25.288
6.77,2,27,2,2,5.3,5.3,380.77,39.905,38,39,43.285,47.4,27.137
6.481,2,25,2,2,5.7,5.7,381.65,36.131,35,36,38.739,48.6,26.116
4.0,0,22,6,0,16.7,0.0,268.36,36.029,36,38,41.066,38.9,22.762
4.0,0,23,5,0,14.3,0.0,265.35,34.927,35,38,39.568,42.9,22.741
4.0,0,22,5,0,13.5,0.0,267.37,36.811,37,39,41.983,40.5,23.268
4.301,1,21,3,1,8.6,2.9,285.4,35.011,35,36,39.116,42.9,23.127
4.301,1,26,2,2,4.5,4.5,372.45,45.309,44,45,50.507,38.6,28.077
4.301,1,20,2,1,7.1,3.6,286.3,29.563,28,29,32.221,42.9,19.729
4.301,1,19,3,1,9.1,3.0,261.38,33.011,33,34,37.116,39.4,21.127
5.143,1,21,2,2,6.9,6.9,302.3,30.891,29,30,33.431,41.4,20.443
6.097,2,19,2,1,7.1,3.6,286.3,29.563,28,28,32.221,42.9,19.729
5.495,1,23,2,1,6.3,3.1,312.34,33.447,32,34,36.636,43.8,22.255
4.959,1,19,3,1,10.3,3.4,257.34,29.244,29,30,32.285,44.8,20.073
4.301,1,24,3,1,7.7,2.6,311.44,38.894,39,41,43.531,43.6,25.654
4.301,1,26,2,1,4.9,2.4,354.43,42.098,41,43,46.882,41.5,26.836
4.301,1,24,3,1,6.3,2.1,331.53,47.429,48,49,54.192,37.5,28.761
4.301,1,24,2,2,5.3,5.3,344.39,39.542,38,39,43.676,39.5,25.024
4.301,1,23,3,1,7.3,2.4,313.46,40.778,41,42,45.946,41.5,26.181
4.886,1,20,2,2,7.1,7.1,270.23,29.814,28,29,32.511,42.9,19.256
6.584,2,19,2,2,7.1,7.1,270.23,29.814,28,28,32.511,42.9,19.256
6.531,2,19,2,2,7.1,7.1,270.23,29.814,28,28,32.511,42.9,19.256
