pXC50,N.,nCsp,nTB,Mp,AMW,Mv,nH,Si,nHM,X.,H.,Se,nAT,nBR,nBT,Sp,Mi,Sv,C.
5.2,3.3,0,0,0.711,9.442,0.723,9,33.206,0,0.0,30.0,31.273,30,0,32,21.324,1.107,21.703,50.0
5.2,8.2,0,0,0.719,8.174,0.678,20,54.444,1,0.0,40.8,48.88,49,0,53,35.216,1.111,33.202,46.9
5.2,13.0,0,0,0.682,8.922,0.684,16,52.579,0,4.3,34.8,47.592,46,0,50,31.387,1.143,31.485,43.5
7.2,5.6,0,0,0.726,8.622,0.689,14,39.827,1,0.0,38.9,36.236,36,0,38,26.137,1.106,24.82,47.2
5.4,7.7,0,0,0.782,11.661,0.747,8,28.884,3,7.7,30.8,27.116,26,0,27,20.33,1.111,19.422,42.3
5.2,13.0,0,0,0.711,8.489,0.678,18,51.61,1,0.0,39.1,46.316,46,0,49,32.705,1.122,31.191,43.5
5.2,8.1,2,1,0.702,7.769,0.658,27,69.188,1,0.0,43.5,61.632,62,0,66,43.506,1.116,40.804,45.2
5.2,6.6,0,0,0.708,8.148,0.674,25,67.923,1,1.6,41.0,61.105,61,0,65,43.165,1.113,41.137,47.5
5.2,10.0,0,0,0.67,7.36,0.637,18,45.109,0,0.0,45.0,39.92,40,0,43,26.807,1.128,25.488,42.5
5.2,10.5,0,0,0.676,10.534,0.717,10,44.732,0,15.8,26.3,41.112,38,0,40,25.671,1.177,27.261,44.7
6.3,10.9,0,0,0.75,9.773,0.723,15,51.036,2,0.0,32.6,47.062,46,0,50,34.494,1.109,33.26,45.7
6.6,11.5,1,1,0.76,11.064,0.773,6,28.898,1,3.8,23.1,27.378,26,0,28,19.761,1.111,20.09,50.0
5.2,10.3,0,0,0.737,9.37,0.714,10,32.309,1,3.4,34.5,29.491,29,0,31,21.375,1.114,20.714,48.3
5.2,6.1,0,0,0.718,8.193,0.67,14,36.617,1,0.0,42.4,32.909,33,0,35,23.682,1.11,22.106,45.5
5.2,8.7,0,0,0.677,8.098,0.644,20,51.863,1,0.0,43.5,46.534,46,0,48,31.125,1.127,29.632,39.1
5.2,10.9,0,0,0.721,9.486,0.686,18,51.449,1,2.2,39.1,46.251,46,1,49,33.165,1.118,31.535,45.7
5.2,7.9,0,0,0.666,7.803,0.645,27,71.572,0,3.2,42.9,63.792,63,0,67,41.949,1.136,40.625,42.9
5.2,5.6,1,1,0.693,8.176,0.676,14,40.116,0,0.0,38.9,36.487,36,0,37,24.943,1.114,24.348,47.2
5.2,10.2,0,0,0.702,8.214,0.669,24,66.065,1,0.0,40.7,59.294,59,0,63,41.443,1.12,39.486,44.1
5.2,4.8,0,0,0.691,7.581,0.659,18,46.737,0,0.0,42.9,41.927,42,0,44,29.012,1.113,27.687,47.6
5.3,7.1,0,0,0.753,9.726,0.73,9,31.127,1,3.6,32.1,28.654,28,0,30,21.097,1.112,20.435,50.0
5.3,12.2,0,0,0.64,6.949,0.604,24,55.936,0,0.0,49.0,48.891,49,0,51,31.341,1.142,29.584,36.7
5.2,7.7,0,0,0.716,8.958,0.71,13,43.875,0,5.1,33.3,39.96,39,0,42,27.915,1.125,27.706,51.3
5.7,3.7,0,0,0.761,10.122,0.746,8,29.838,1,3.7,29.6,27.88,27,0,29,20.546,1.105,20.129,51.9
5.2,11.6,0,0,0.686,8.079,0.667,17,48.402,0,0.0,39.5,43.465,43,0,46,29.506,1.126,28.697,44.2
7.3,4.5,0,0,0.866,15.027,0.821,5,23.868,3,9.1,22.7,23.036,22,1,24,19.057,1.085,18.071,50.0
5.4,3.3,0,0,0.792,11.886,0.776,8,33.035,3,10.0,26.7,31.473,30,0,32,23.75,1.101,23.282,50.0
5.4,8.2,0,0,0.698,8.019,0.661,21,54.883,1,2.0,42.9,49.011,49,0,52,34.188,1.12,32.369,44.9
5.2,8.0,0,0,0.687,7.41,0.651,22,55.939,0,0.0,44.0,49.687,50,0,53,34.33,1.119,32.542,46.0
5.2,4.4,0,0,0.684,7.387,0.649,20,50.152,0,0.0,44.4,44.811,45,0,47,30.773,1.114,29.214,46.7
6.6,16.7,0,0,0.771,11.562,0.71,13,40.371,1,2.8,36.1,36.214,36,0,39,27.739,1.121,25.552,44.4
5.2,6.5,0,0,0.709,8.598,0.68,18,51.495,1,2.2,39.1,46.618,46,0,48,32.603,1.119,31.279,45.7
5.2,9.5,0,0,0.645,8.295,0.643,17,48.077,0,2.4,40.5,43.414,42,0,44,27.108,1.145,27.016,38.1
5.2,14.7,1,1,0.701,9.346,0.69,12,38.515,1,2.9,35.3,35.022,34,0,35,23.841,1.133,23.471,41.2
5.2,22.2,0,0,0.75,10.735,0.736,10,40.66,2,0.0,27.8,37.505,36,0,39,27.011,1.129,26.502,38.9
5.8,12.2,0,0,0.697,7.693,0.665,17,45.983,0,0.0,41.5,40.811,41,0,45,28.597,1.122,27.268,46.3
5.2,7.5,0,0,0.684,7.821,0.66,22,59.358,0,0.0,41.5,53.342,53,0,57,36.239,1.12,34.971,45.3
5.9,6.9,0,0,0.671,7.94,0.654,24,65.192,0,0.0,41.4,58.88,58,0,61,38.909,1.124,37.928,43.1
5.2,15.6,0,0,0.7,11.35,0.64,14,36.707,1,3.1,43.8,32.651,32,0,33,22.404,1.147,20.487,31.3
5.4,16.1,0,0,0.7,9.138,0.703,10,35.286,0,3.2,32.3,32.0,31,0,33,21.705,1.138,21.786,45.2
5.3,7.1,0,0,0.751,10.368,0.744,8,31.466,1,7.1,28.6,29.167,28,0,30,21.034,1.124,20.819,50.0
5.2,8.8,0,0,0.748,10.241,0.729,11,37.878,2,5.9,32.4,35.025,34,0,36,25.449,1.114,24.783,47.1
6.1,28.6,0,0,0.747,10.394,0.729,6,23.91,1,0.0,28.6,21.687,21,0,23,15.682,1.139,15.316,38.1
5.2,12.3,0,0,0.659,7.361,0.628,26,64.98,0,1.8,45.6,57.061,57,0,60,37.591,1.14,35.801,40.4
5.8,14.3,0,0,0.725,8.367,0.702,10,31.239,0,0.0,35.7,28.058,28,0,31,20.307,1.116,19.666,50.0
5.2,9.5,0,0,0.763,10.461,0.718,15,46.455,2,2.4,35.7,42.342,42,1,45,32.046,1.106,30.174,47.6
5.2,6.4,0,0,0.676,7.393,0.643,21,52.651,0,0.0,44.7,46.912,47,0,49,31.779,1.12,30.235,44.7
5.2,8.3,0,0,0.713,8.094,0.671,20,53.444,1,0.0,41.7,47.88,48,0,51,34.216,1.113,32.202,45.8
5.2,7.5,0,0,0.664,7.035,0.625,19,45.026,0,0.0,47.5,39.702,40,0,42,26.563,1.126,24.993,42.5
6.8,14.7,0,0,0.687,9.803,0.708,10,39.381,0,8.8,29.4,35.909,34,0,36,23.341,1.158,24.079,44.1
5.2,13.0,0,0,0.682,8.922,0.684,16,52.579,0,4.3,34.8,47.592,46,0,50,31.387,1.143,31.485,43.5
5.2,11.8,0,0,0.681,8.166,0.666,20,57.524,0,0.0,39.2,51.778,51,0,54,34.728,1.128,33.96,43.1
5.2,5.3,0,0,0.705,7.589,0.67,16,42.112,0,0.0,42.1,37.716,38,0,40,26.796,1.108,25.445,50.0
5.2,10.0,0,0,0.698,8.344,0.67,24,67.275,1,0.0,40.0,60.622,60,0,64,41.898,1.121,40.201,43.3
6.5,12.8,0,0,0.677,7.669,0.65,20,53.106,0,0.0,42.6,47.123,47,0,50,31.819,1.13,30.531,42.6
5.2,16.7,0,0,0.819,14.088,0.757,7,26.754,1,4.2,29.2,24.571,24,0,26,19.659,1.115,18.171,45.8
5.2,13.0,0,0,0.679,8.27,0.665,18,52.576,0,4.3,39.1,46.821,46,0,50,31.239,1.143,30.583,43.5
5.2,7.0,0,0,0.674,8.871,0.66,17,49.044,1,4.7,39.5,44.458,43,0,46,28.995,1.141,28.377,39.5
6.0,10.3,0,0,0.728,9.494,0.705,10,32.625,1,3.4,34.5,29.756,29,0,31,21.102,1.125,20.457,44.8
5.2,7.5,0,0,0.672,7.995,0.638,18,45.179,1,2.5,45.0,40.353,40,0,42,26.875,1.129,25.536,40.0
5.2,12.5,0,0,0.667,7.421,0.636,25,63.434,0,0.0,44.6,55.992,56,0,60,37.347,1.133,35.606,41.1
5.6,11.3,0,0,0.67,8.689,0.656,21,60.409,1,1.9,39.6,54.578,53,0,55,35.529,1.14,34.772,37.7
5.2,11.3,0,0,0.664,8.009,0.648,22,60.615,0,3.8,41.5,53.916,53,0,56,35.216,1.144,34.351,41.5
7.8,7.5,0,0,0.684,8.286,0.652,17,44.95,1,0.0,42.5,40.549,40,0,43,27.358,1.124,26.083,40.0
5.2,9.5,0,0,0.702,8.2,0.683,16,46.903,0,0.0,38.1,42.363,42,0,45,29.5,1.117,28.676,47.6
5.2,9.5,0,0,0.715,8.105,0.69,16,46.694,0,0.0,38.1,42.036,42,0,46,30.046,1.112,28.961,50.0
5.2,8.2,0,0,0.682,8.295,0.67,19,55.283,0,2.0,38.8,49.971,49,0,52,33.415,1.128,32.828,44.9
5.2,10.3,0,0,0.675,9.291,0.688,13,44.922,0,7.7,33.3,40.902,39,0,41,26.313,1.152,26.826,43.6
5.2,8.1,0,0,0.684,9.387,0.697,12,42.424,0,8.1,32.4,38.8,37,0,39,25.307,1.147,25.805,45.9
5.2,12.9,1,1,0.78,12.2,0.717,11,34.584,1,3.2,35.5,31.338,31,0,33,24.182,1.116,22.224,45.2
5.2,8.2,0,0,0.691,7.234,0.65,22,54.73,0,0.0,44.9,48.36,49,0,52,33.875,1.117,31.827,46.9
5.2,9.6,0,0,0.704,8.645,0.679,20,58.492,1,1.9,38.5,52.822,52,0,55,36.614,1.125,35.321,44.2
5.2,10.5,0,0,0.749,10.191,0.732,12,42.376,2,5.3,31.6,39.127,38,0,41,28.455,1.115,27.804,47.4
5.2,8.6,2,1,0.702,7.856,0.66,25,64.773,1,0.0,43.1,57.749,58,0,61,40.745,1.117,38.277,44.8
5.2,11.1,0,0,0.685,7.676,0.656,19,50.607,0,0.0,42.2,45.022,45,0,48,30.813,1.125,29.509,44.4
5.2,9.8,1,1,0.681,7.649,0.653,26,68.561,0,0.0,42.6,61.101,61,0,64,41.557,1.124,39.826,44.3
5.2,8.6,2,1,0.702,7.856,0.66,25,64.773,1,0.0,43.1,57.749,58,0,61,40.745,1.117,38.277,44.8
5.3,13.9,0,0,0.671,8.815,0.673,13,41.456,0,5.6,36.1,37.28,36,0,38,24.165,1.152,24.222,41.7
5.2,10.5,0,0,0.676,10.534,0.717,10,44.732,0,15.8,26.3,41.112,38,0,40,25.671,1.177,27.261,44.7
5.2,12.5,0,0,0.712,8.719,0.686,18,53.82,1,0.0,37.5,48.643,48,0,51,34.159,1.121,32.906,43.8
5.2,7.1,0,0,0.71,7.795,0.678,17,46.611,0,0.0,40.5,41.818,42,0,45,29.801,1.11,28.467,50.0
5.2,10.7,0,0,0.707,8.725,0.685,21,62.99,1,1.8,37.5,56.923,56,0,60,39.62,1.125,38.343,44.6
5.6,10.3,0,0,0.714,9.149,0.697,14,43.978,1,5.1,35.9,39.873,39,0,42,27.841,1.128,27.172,46.2
5.2,8.8,0,0,0.723,9.228,0.705,12,37.934,1,2.9,35.3,34.702,34,0,36,24.591,1.116,23.955,47.1
7.3,11.4,0,0,0.713,10.479,0.726,10,40.242,1,11.4,28.6,37.014,35,0,37,24.955,1.15,25.412,45.7
6.0,12.5,0,0,0.737,8.636,0.698,15,44.488,1,0.0,37.5,40.003,40,0,44,29.483,1.112,27.928,47.5
5.2,9.5,0,0,0.602,5.978,0.552,36,72.427,0,0.0,57.1,62.192,63,0,63,37.91,1.15,34.745,31.7
5.2,12.2,1,1,0.682,9.556,0.686,14,46.559,1,2.4,34.1,42.887,41,0,43,27.966,1.136,28.143,39.0
5.2,9.5,0,0,0.783,11.281,0.738,14,46.399,3,4.8,33.3,42.665,42,1,45,32.904,1.105,31.001,47.6
5.8,6.6,0,0,0.685,7.649,0.656,26,68.189,0,0.0,42.6,61.109,61,0,68,41.762,1.118,40.025,45.9
5.2,3.7,0,0,0.66,7.46,0.634,37,92.019,0,0.0,45.1,82.618,82,0,87,54.142,1.122,52.023,42.7
5.2,9.2,0,0,0.654,7.302,0.625,30,73.6,0,0.0,46.2,65.196,65,0,69,42.534,1.132,40.594,40.0
6.4,14.7,0,0,0.715,9.758,0.71,11,38.645,1,5.9,32.4,35.207,34,0,36,24.324,1.137,24.14,44.1
4.8,9.5,0,0,0.643,7.152,0.613,10,23.867,0,0.0,47.6,21.065,21,0,22,13.511,1.137,12.865,38.1
5.2,13.2,0,0,0.668,8.594,0.665,20,61.038,0,5.7,37.7,54.647,53,0,56,35.398,1.152,35.229,41.5
5.7,16.1,0,0,0.702,8.558,0.69,11,34.947,0,0.0,35.5,31.487,31,0,33,21.767,1.127,21.402,45.2
5.2,10.1,0,0,0.688,7.757,0.66,33,88.933,0,1.3,41.8,79.141,79,0,85,54.336,1.126,52.118,45.6
5.5,11.8,0,0,0.735,9.859,0.709,12,38.167,2,5.9,35.3,34.8,34,0,36,25.0,1.123,24.089,44.1
5.2,6.7,0,0,0.716,8.033,0.671,19,49.946,1,0.0,42.2,44.778,45,0,48,32.211,1.11,30.181,46.7
5.2,10.4,0,0,0.718,8.365,0.681,19,53.527,1,0.0,39.6,48.098,48,0,52,34.461,1.115,32.697,45.8
5.2,8.7,0,0,0.689,8.14,0.672,18,51.528,0,0.0,39.1,46.574,46,0,49,31.716,1.12,30.918,45.7
5.2,8.8,0,0,0.696,8.744,0.692,12,38.329,0,2.9,35.3,34.891,34,0,36,23.671,1.127,23.511,47.1
5.2,12.1,0,0,0.656,7.51,0.63,26,66.189,0,1.7,44.8,58.389,58,0,61,38.046,1.141,36.516,39.7
5.2,7.9,2,1,0.698,7.9,0.659,27,70.398,1,0.0,42.9,62.96,63,0,67,43.961,1.117,41.518,44.4
5.2,10.9,0,0,0.713,8.265,0.677,22,61.441,1,0.0,40.0,55.083,55,0,59,39.228,1.117,37.245,45.5
5.2,10.2,0,0,0.73,9.224,0.699,18,54.681,2,2.0,36.7,49.749,49,0,52,35.773,1.116,34.239,44.9
5.2,6.9,0,0,0.685,8.905,0.69,10,32.495,0,0.0,34.5,30.047,29,0,31,19.875,1.121,20.009,44.8
5.2,8.2,1,1,0.647,7.56,0.626,22,55.568,0,0.0,44.9,49.669,49,0,50,31.693,1.134,30.686,38.8
5.2,10.7,0,0,0.661,7.51,0.634,25,63.691,0,1.8,44.6,56.287,56,0,59,37.04,1.137,35.494,41.1
5.8,12.0,0,0,0.851,14.863,0.78,7,27.615,2,8.0,28.0,25.676,25,0,27,21.273,1.105,19.504,48.0
5.5,10.3,0,0,0.675,9.291,0.688,13,44.922,0,7.7,33.3,40.902,39,0,41,26.313,1.152,26.826,43.6
5.8,10.3,0,0,0.737,9.37,0.714,10,32.309,1,3.4,34.5,29.491,29,0,31,21.375,1.114,20.714,48.3
5.2,10.8,0,0,0.7,8.508,0.67,15,41.638,1,2.7,40.5,37.36,37,0,39,25.904,1.125,24.789,43.2
5.2,10.6,0,0,0.722,8.586,0.689,18,52.658,1,2.1,38.3,47.283,47,0,52,33.944,1.12,32.365,46.8
6.0,11.6,0,0,0.686,8.079,0.667,17,48.402,0,0.0,39.5,43.465,43,0,46,29.506,1.126,28.697,44.2
5.5,7.0,0,0,0.704,7.986,0.679,17,47.82,0,0.0,39.5,43.145,43,0,46,30.256,1.112,29.181,48.8
6.3,7.7,0,0,0.719,8.035,0.691,15,43.196,0,0.0,38.5,38.934,39,0,42,28.04,1.108,26.94,51.3
5.2,1.9,0,0,0.697,8.315,0.657,23,57.997,2,3.8,44.2,52.334,52,0,54,36.222,1.115,34.142,44.2
6.0,11.5,0,0,0.779,10.683,0.745,8,28.814,2,3.8,30.8,26.684,26,0,28,20.261,1.108,19.374,46.2
5.2,14.7,1,1,0.706,10.228,0.717,10,38.519,1,2.9,29.4,35.793,34,0,35,23.989,1.133,24.374,41.2
5.2,7.8,2,1,0.692,7.558,0.646,29,71.603,1,0.0,45.3,63.516,64,0,67,44.267,1.119,41.33,43.8
5.8,10.2,0,0,0.646,8.043,0.636,25,67.995,0,5.1,42.4,60.523,59,0,63,38.131,1.152,37.503,39.0
5.8,8.3,0,0,0.677,7.843,0.655,20,53.943,0,0.0,41.7,48.458,48,0,51,32.478,1.124,31.444,43.8
5.2,8.0,0,0,0.657,7.476,0.63,34,85.316,0,2.7,45.3,75.545,75,0,80,49.239,1.138,47.227,41.3
5.2,5.6,0,0,0.735,9.69,0.705,13,39.98,2,2.8,36.1,36.887,36,0,38,26.449,1.111,25.363,44.4
5.2,7.5,0,0,0.681,7.684,0.655,17,44.82,0,0.0,42.5,40.145,40,0,42,27.256,1.121,26.181,45.0
5.2,7.9,0,0,0.743,8.354,0.695,15,41.906,1,0.0,39.5,37.683,38,0,41,28.233,1.103,26.412,50.0
5.2,13.2,0,0,0.658,7.085,0.621,25,60.225,0,0.0,47.2,52.665,53,0,56,34.893,1.136,32.891,39.6
5.2,11.1,0,0,0.725,10.368,0.699,13,40.33,1,2.8,36.1,36.709,36,1,38,26.091,1.12,25.174,44.4
5.2,10.0,0,0,0.691,7.67,0.661,21,56.023,0,0.0,42.0,49.905,50,0,53,34.574,1.12,33.036,46.0
5.2,11.4,0,0,0.693,8.169,0.675,17,49.402,0,0.0,38.6,44.465,44,0,47,30.506,1.123,29.697,45.5
5.2,4.5,0,0,0.69,8.268,0.665,27,73.654,1,0.0,40.9,66.949,66,0,70,45.529,1.116,43.862,43.9
5.2,4.9,0,0,0.681,7.436,0.648,27,68.106,0,0.0,44.3,60.891,61,0,65,41.517,1.116,39.53,45.9
5.2,8.0,0,0,0.651,7.05,0.616,24,56.564,0,0.0,48.0,49.898,50,0,52,32.546,1.131,30.783,40.0
5.2,9.7,0,0,0.657,7.329,0.627,33,81.514,0,0.0,45.8,72.181,72,0,77,47.302,1.132,45.143,40.3
5.2,14.8,0,0,0.779,10.783,0.753,8,30.127,2,7.4,29.6,27.705,27,0,29,21.023,1.116,20.321,48.1
5.5,13.5,1,1,0.669,8.036,0.653,15,41.986,0,0.0,40.5,37.582,37,0,38,24.745,1.135,24.171,40.5
5.2,12.5,0,0,0.713,8.843,0.706,16,53.694,0,0.0,33.3,49.011,48,0,52,34.205,1.119,33.907,47.9
5.2,8.5,0,0,0.692,7.967,0.668,19,52.864,0,2.1,40.4,47.316,47,0,50,32.506,1.125,31.398,46.8
5.2,8.5,0,0,0.707,8.011,0.664,20,52.444,1,0.0,42.6,46.88,47,0,50,33.216,1.116,31.202,44.7
5.2,12.5,0,0,0.69,7.585,0.657,17,44.983,0,0.0,42.5,39.811,40,0,43,27.597,1.125,26.268,45.0
5.6,3.1,0,0,0.728,8.744,0.67,14,35.478,2,3.1,43.8,32.014,32,0,34,23.296,1.109,21.438,43.8
5.2,11.4,0,0,0.693,8.169,0.675,17,49.402,0,0.0,38.6,44.465,44,0,47,30.506,1.123,29.697,45.5
5.2,7.3,0,0,0.705,8.279,0.668,17,45.74,1,0.0,41.5,41.222,41,0,43,28.904,1.116,27.369,43.9
5.2,10.5,0,0,0.657,7.974,0.642,24,65.24,0,3.5,42.1,58.127,57,0,60,37.432,1.145,36.593,40.4
5.4,8.6,0,0,0.642,7.337,0.617,27,65.896,0,0.0,46.6,58.538,58,0,61,37.222,1.136,35.761,37.9
5.2,9.1,0,0,0.69,8.474,0.664,18,49.808,1,4.5,40.9,44.64,44,0,47,30.364,1.132,29.226,43.2
5.2,9.5,0,0,0.651,7.375,0.623,29,71.731,0,1.6,46.0,63.381,63,0,66,41.017,1.139,39.263,39.7
6.3,6.9,0,0,0.751,9.613,0.704,11,32.146,2,3.4,37.9,29.349,29,0,31,21.779,1.108,20.406,44.8
5.2,7.0,0,0,0.724,8.787,0.698,16,47.764,1,2.3,37.2,43.469,43,0,46,31.114,1.111,30.009,48.8
5.2,14.3,0,0,0.734,8.97,0.708,17,54.694,1,0.0,34.7,49.534,49,0,54,35.949,1.116,34.686,46.9
5.6,10.6,0,0,0.685,8.329,0.673,18,53.156,0,2.1,38.3,47.862,47,0,50,32.205,1.131,31.608,44.7
5.2,7.9,0,0,0.676,8.299,0.664,15,43.29,0,5.3,39.5,38.843,38,0,40,25.676,1.139,25.233,44.7
5.2,5.4,1,1,0.682,7.577,0.653,32,82.644,0,0.0,43.2,74.087,74,0,79,50.5,1.117,48.32,45.9
5.2,7.7,0,0,0.699,7.587,0.664,22,57.939,0,0.0,42.3,51.687,52,0,55,36.33,1.114,34.542,48.1
5.7,12.0,0,0,0.792,10.47,0.746,8,27.605,2,4.0,32.0,25.356,25,0,27,19.807,1.104,18.659,48.0
5.2,7.7,0,0,0.641,7.009,0.608,19,44.235,0,0.0,48.7,39.029,39,0,40,25.017,1.134,23.708,38.5
5.5,9.5,0,0,0.688,8.154,0.652,18,47.238,1,0.0,42.9,42.323,42,0,44,28.909,1.125,27.39,40.5
5.8,9.5,0,0,0.689,8.295,0.676,16,47.113,0,0.0,38.1,42.691,42,0,45,28.955,1.122,28.391,45.2
6.4,13.0,0,0,0.707,8.358,0.689,17,51.821,0,2.2,37.0,46.425,46,0,50,32.54,1.127,31.673,47.8
5.2,10.3,0,0,0.664,7.734,0.642,25,65.9,0,1.7,43.1,58.614,58,0,62,38.495,1.136,37.209,41.4
5.8,8.5,0,0,0.692,8.569,0.671,23,66.195,1,0.0,39.0,60.174,59,0,63,40.801,1.122,39.609,42.4
5.2,13.2,0,0,0.686,8.52,0.664,21,59.943,1,0.0,39.6,53.956,53,0,56,36.381,1.131,35.169,39.6
5.2,11.5,0,0,0.673,8.086,0.657,21,59.07,0,1.9,40.4,52.847,52,0,56,34.972,1.136,34.156,42.3
5.2,13.2,0,0,0.759,9.671,0.719,13,42.202,2,0.0,34.2,38.524,38,0,41,28.824,1.111,27.303,44.7
6.8,11.9,0,0,0.683,8.187,0.651,18,47.551,1,2.4,42.9,42.345,42,0,45,28.671,1.132,27.337,40.5
5.2,11.8,0,0,0.667,7.657,0.643,22,57.73,0,0.0,43.1,51.334,51,0,54,34.034,1.132,32.772,41.2
5.2,9.1,0,0,0.687,7.738,0.641,20,49.444,1,0.0,45.5,43.88,44,0,47,30.216,1.124,28.202,40.9
5.2,7.0,0,0,0.719,8.453,0.683,17,47.74,1,0.0,39.5,43.222,43,0,46,30.904,1.11,29.369,46.5
8.4,13.6,1,1,0.732,10.804,0.707,15,49.456,2,2.3,34.1,45.316,44,1,46,32.205,1.124,31.119,40.9
5.2,10.1,0,0,0.672,7.943,0.644,30,78.043,1,1.4,43.5,69.621,69,0,74,46.398,1.131,44.443,40.6
5.7,5.9,0,0,0.642,6.97,0.608,25,57.69,0,0.0,49.0,51.007,51,0,53,32.756,1.131,31.003,39.2
5.2,9.4,0,0,0.723,8.93,0.695,12,35.724,1,3.1,37.5,32.374,32,0,34,23.137,1.116,22.241,46.9
5.2,11.3,0,0,0.666,7.67,0.641,23,60.276,0,1.9,43.4,53.403,53,0,56,35.279,1.137,33.968,41.5
5.3,8.0,0,0,0.69,8.009,0.669,20,55.943,0,0.0,40.0,50.458,50,0,54,34.478,1.119,33.444,46.0
5.2,6.4,0,0,0.719,9.498,0.669,20,52.412,2,2.1,42.6,47.218,47,1,49,33.779,1.115,31.447,42.6
5.2,1.7,0,0,0.698,7.509,0.664,25,64.109,0,0.0,43.1,57.687,58,0,62,40.506,1.105,38.487,50.0
5.2,8.9,0,0,0.717,9.522,0.707,15,51.048,1,6.7,33.3,46.534,45,0,48,32.267,1.134,31.825,46.7
5.2,9.3,0,0,0.725,8.696,0.696,20,60.282,1,1.9,37.0,54.494,54,0,58,39.159,1.116,37.607,48.1
5.4,8.3,0,0,0.728,10.483,0.735,10,40.929,1,8.3,27.8,37.993,36,0,39,26.193,1.137,26.465,47.2
7.4,12.2,0,0,0.717,8.913,0.692,15,45.906,1,0.0,36.6,41.658,41,0,44,29.392,1.12,28.358,43.9
5.3,6.1,0,0,0.72,8.693,0.679,20,54.515,2,2.0,40.8,49.313,49,0,51,35.284,1.113,33.25,44.9
5.2,11.1,0,0,0.739,8.522,0.699,17,49.903,1,0.0,37.8,44.887,45,0,49,33.245,1.109,31.455,48.9
5.2,7.7,0,0,0.667,6.979,0.626,31,73.099,0,0.0,47.7,64.323,65,0,70,43.381,1.125,40.67,43.1
5.2,10.7,0,0,0.706,9.046,0.692,20,63.33,1,3.6,35.7,57.436,56,0,60,39.557,1.131,38.726,44.6
5.5,8.7,0,0,0.727,8.402,0.689,18,51.029,1,0.0,39.1,45.996,46,0,49,33.455,1.109,31.675,47.8
5.6,5.3,0,0,0.763,9.707,0.728,13,41.771,2,2.6,34.2,38.56,38,0,41,28.994,1.099,27.648,50.0
5.2,13.3,0,0,0.72,8.989,0.697,16,50.405,1,0.0,35.6,45.76,45,0,48,32.398,1.12,31.379,44.4
5.5,11.1,0,0,0.688,8.343,0.676,17,50.611,0,0.0,37.8,45.793,45,0,48,30.96,1.125,30.412,44.4
5.2,14.5,0,0,0.684,8.955,0.686,19,63.121,0,5.5,34.5,56.865,55,0,59,37.642,1.148,37.723,43.6
6.2,12.0,0,0,0.677,8.57,0.657,20,56.654,1,0.0,40.0,51.182,50,0,52,33.83,1.133,32.862,38.0
5.2,14.3,0,0,0.695,9.057,0.696,14,47.955,0,4.8,33.3,43.382,42,0,46,29.171,1.142,29.244,45.2
5.4,8.6,0,0,0.671,7.695,0.647,15,39.405,0,0.0,42.9,35.262,35,0,37,23.495,1.126,22.655,42.9
5.2,9.5,0,0,0.756,9.822,0.724,7,23.502,1,4.8,33.3,21.444,21,0,23,15.881,1.119,15.194,47.6
5.2,7.0,0,0,0.676,8.452,0.651,18,48.704,1,2.3,41.9,43.945,43,0,46,29.057,1.133,27.993,39.5
5.2,13.3,0,0,0.7,8.476,0.686,11,33.994,0,3.3,36.7,30.454,30,0,32,21.006,1.133,20.576,46.7
5.2,9.1,0,0,0.668,7.313,0.635,15,37.196,0,0.0,45.5,32.934,33,0,34,22.04,1.127,20.94,42.4
5.5,9.1,0,0,0.66,7.373,0.63,20,49.734,0,0.0,45.5,44.131,44,0,46,29.023,1.13,27.73,40.9
5.8,15.4,0,0,0.688,7.805,0.661,16,44.066,0,0.0,41.0,39.029,39,0,42,26.841,1.13,25.762,43.6
5.2,9.7,0,0,0.697,8.043,0.662,26,69.481,1,0.0,41.9,62.178,62,0,66,43.205,1.121,41.013,43.5
5.8,10.3,1,1,0.732,9.754,0.724,12,43.412,1,0.0,30.8,40.327,39,0,42,28.534,1.113,28.239,46.2
7.2,10.7,1,1,0.722,8.974,0.717,9,31.159,0,0.0,32.1,28.611,28,0,30,20.21,1.113,20.074,50.0
5.3,11.6,0,0,0.706,8.88,0.687,16,48.346,1,2.3,37.2,43.789,43,0,46,30.364,1.124,29.525,44.2
5.2,7.0,0,0,0.688,7.382,0.651,19,48.026,0,0.0,44.2,42.702,43,0,45,29.563,1.117,27.993,46.5
5.2,10.4,0,0,0.703,8.322,0.685,18,53.947,0,2.1,37.5,48.534,48,0,52,33.75,1.124,32.893,47.9
5.3,11.1,0,0,0.756,10.673,0.711,10,29.997,1,3.7,37.0,27.069,27,1,29,20.415,1.111,19.197,48.1
5.4,15.2,0,0,0.72,8.767,0.709,11,36.947,0,0.0,33.3,33.487,33,0,36,23.767,1.12,23.402,48.5
5.2,14.3,0,0,0.706,8.51,0.692,10,31.448,0,0.0,35.7,28.385,28,0,30,19.762,1.123,19.381,46.4
5.2,8.1,0,0,0.691,7.445,0.655,27,69.268,0,0.0,43.5,61.556,62,0,66,42.858,1.117,40.617,46.8
5.2,15.2,0,0,0.689,8.814,0.687,16,52.323,0,2.2,34.8,47.298,46,0,49,31.693,1.137,31.597,43.5
