pXC50,nCIR,LLS_02,TRS,nCIC,SssNH,ATSC5e,nR.Cs,Eig04_AEA.dm.,DELS,SpMax3_Bh.i.,X1A,CATS2D_04_DL,Eig02_AEA.bo.,C.003,nCrt,ATSC5s,Eig09_EA.bo.,Eig09_AEA.bo.,nHDon,MATS4e,N.067,nRNHR,Hy,MATS4s,ATS8e,CATS2D_03_DL,MATS1v,Eig09_EA.ed.,SM04_AEA.ri.,ATSC8v,H.050,SpMax3_Bh.m.,Eig08_AEA.bo.,Eig11_AEA.ri.,DLS_02,Eig10_EA,SM04_AEA.dm.,ATSC7p,Eig10_AEA.ri.,ATS7s,Eig10_EA.ri.,Eig10_EA.ed.,SM05_AEA.ri.,nCt,ATSC8p,CATS2D_05_DL,ATS4s,NssNH,ATSC7i,ATSC7e,Xindex,MPC10,Eig14_AEA.ed.,Eig11_EA.bo.,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,CATS2D_04_DA,CATS2D_07_DD,Vindex,ATS5s,CATS2D_02_DL,Eig12_AEA.ed.,SM02_AEA.bo.,ATS6v
6.481,10,0.88,23,4,0.0,0.426,0,2.722,17.757,3.831,0.43,0,4.558,7,5,39.02,1.565,2.571,0,-0.081,0,0,-0.927,-0.053,5.675,0,0.04,4.318,4.318,32.607,0,3.615,2.669,1.913,0.83,1.309,1.309,26.517,2.309,6.332,1.309,3.41,3.41,7,22.356,0,6.402,0,3.028,0.384,0.331,5.872,3.191,0.914,3.739,5.739,3.739,0,0,0.217,6.455,0,3.558,4.97,4.656
5.886,10,0.88,23,4,0.0,0.444,1,2.698,20.173,3.834,0.432,0,4.562,7,5,53.153,1.65,2.651,0,-0.064,0,0,-0.929,-0.014,5.607,0,0.038,4.304,4.304,32.184,0,3.62,2.809,2.148,0.83,1.309,1.309,26.517,2.309,6.329,1.309,3.412,3.412,7,22.147,0,6.425,0,3.028,0.386,0.323,5.916,3.179,1.304,3.738,5.738,3.738,0,0,0.211,6.511,0,3.624,5.011,4.666
6.903,10,0.88,23,4,0.0,0.4,2,2.719,17.537,3.83,0.427,0,4.573,7,5,41.759,1.617,2.629,0,-0.065,0,0,-0.924,-0.044,5.419,0,0.041,4.119,4.119,26.882,0,3.615,2.736,1.898,0.83,1.307,1.307,22.418,2.307,6.168,1.307,3.41,3.41,7,18.457,0,6.357,0,2.571,0.348,0.329,5.805,3.178,0.901,3.738,5.738,3.738,0,0,0.215,6.397,0,3.541,4.97,4.519
7.284,7,0.88,24,4,0.0,0.194,0,2.797,15.386,3.782,0.431,0,4.235,0,0,37.824,1.5,2.629,0,-0.201,0,0,-0.909,-0.161,4.124,0,0.033,2.166,2.166,8.122,0,3.673,2.728,1.649,0.83,0.9,0.9,7.141,1.887,5.272,0.887,2.136,2.136,0,5.903,0,5.869,0,0.828,0.089,0.308,5.094,2.817,0.985,3.619,5.619,3.619,0,0,0.197,5.789,0,3.2,4.92,3.702
6.06,6,1.0,18,3,0.0,0.27,0,2.785,24.212,3.534,0.431,2,4.082,0,0,60.533,0.355,1.62,1,-0.068,0,0,-0.338,-0.026,4.025,1,0.04,0.683,0.683,5.523,1,3.424,2.038,0.963,1.0,0.0,0.0,5.276,0.983,5.209,0.0,0.0,0.0,0,3.939,2,5.886,0,0.622,0.157,0.418,4.779,2.177,-0.051,3.619,5.619,3.619,0,0,0.279,5.871,1,2.581,4.677,3.453
5.0,6,1.0,18,3,0.0,0.252,0,2.781,21.729,3.572,0.431,2,4.082,0,0,52.213,0.355,1.62,2,-0.088,0,0,0.284,-0.039,4.075,1,0.052,0.683,0.683,6.055,2,3.441,2.038,0.967,1.0,0.0,0.0,5.295,0.984,5.18,0.0,0.0,0.0,0,3.957,2,5.874,0,0.668,0.142,0.418,4.779,2.177,-0.051,3.619,5.619,3.619,0,0,0.279,5.85,1,2.581,4.677,3.477
5.854,7,0.88,24,4,0.0,0.209,2,2.526,14.157,3.788,0.431,0,4.098,0,0,36.857,1.5,2.5,0,-0.186,0,0,-0.909,-0.156,4.301,0,0.036,2.166,2.166,9.803,0,3.676,2.68,1.649,1.0,0.9,0.9,8.038,1.887,5.295,0.887,2.136,2.136,0,6.989,0,5.896,0,0.926,0.102,0.308,5.094,2.817,0.97,3.619,5.619,3.619,0,0,0.197,5.828,0,3.2,4.883,3.744
5.0,6,1.0,18,3,0.0,0.393,0,2.8,22.79,3.752,0.441,0,4.106,0,0,66.869,0.994,2.038,0,-0.142,0,0,-0.83,-0.083,4.587,0,-0.008,2.16,2.16,11.446,0,3.592,2.609,1.339,1.0,0.618,0.618,8.651,1.591,5.488,0.6,0.791,0.791,0,7.64,0,6.119,0,1.053,0.171,0.374,5.056,2.618,0.353,3.619,5.619,3.619,0,0,0.242,6.097,0,2.853,4.8,3.812
6.495,9,0.88,30,5,0.0,0.234,2,2.757,17.2,3.811,0.426,0,4.41,0,0,41.718,2.087,2.91,0,-0.199,0,0,-0.888,-0.16,4.41,0,0.034,3.684,3.684,10.606,0,3.7,3.031,1.89,1.0,1.37,1.37,8.727,2.361,5.427,1.355,3.02,3.02,0,7.598,0,6.02,0,1.066,0.127,0.249,5.308,3.151,1.24,3.619,5.619,3.619,0,0,0.156,5.93,0,3.337,5.07,3.859
5.0,7,1.0,23,4,0.0,0.218,0,2.551,16.102,3.698,0.424,0,4.243,0,0,37.447,0.987,2.118,0,-0.152,0,0,-0.851,-0.144,4.038,0,0.024,2.026,2.026,6.213,0,3.592,2.321,1.323,1.0,0.618,0.618,5.888,1.618,5.095,0.618,1.372,1.372,0,4.707,0,5.828,0,0.692,0.122,0.356,5.147,2.417,0.334,3.62,5.62,3.62,0,0,0.236,5.774,0,3.0,4.777,3.545
8.174,10,1.0,23,4,6.808,0.596,2,3.321,26.77,3.746,0.423,8,4.584,4,4,77.993,1.2,2.244,2,0.012,1,1,0.175,0.014,5.064,6,0.065,2.897,2.897,17.861,2,3.549,2.627,1.617,1.0,0.922,0.922,14.482,1.917,5.891,0.913,2.488,2.488,4,11.739,6,6.253,2,1.677,0.383,0.348,5.617,2.784,0.637,3.714,5.714,3.714,1,1,0.23,6.268,6,3.174,4.875,4.136
5.0,10,1.0,23,4,0.0,0.39,2,3.439,19.581,3.62,0.422,2,4.626,3,3,52.774,1.065,2.112,1,-0.041,0,0,-0.424,-0.039,4.535,2,0.083,2.623,2.623,10.586,1,3.474,2.525,1.233,1.0,0.644,0.644,10.526,1.647,5.615,0.646,1.541,1.541,3,7.2,4,6.07,0,1.253,0.267,0.366,5.509,2.664,0.239,3.718,5.718,3.718,0,0,0.246,6.131,0,2.981,4.836,3.956
5.932,10,1.0,23,4,0.0,0.424,1,3.432,19.32,3.628,0.422,2,4.585,4,4,53.53,1.056,2.106,1,-0.044,0,0,-0.424,-0.041,4.662,2,0.084,2.623,2.623,11.876,1,3.473,2.328,1.233,1.0,0.644,0.644,11.062,1.647,5.641,0.646,1.541,1.541,4,7.959,4,6.113,0,1.31,0.273,0.366,5.509,2.664,0.238,3.718,5.718,3.718,0,0,0.246,6.173,0,2.981,4.812,3.987
9.237,11,0.88,29,5,6.879,0.562,2,3.317,27.975,3.909,0.424,10,4.583,4,4,76.028,1.627,2.633,2,-0.019,1,1,0.111,-0.021,5.054,8,0.073,3.443,3.443,19.791,2,3.791,2.917,2.0,1.0,1.196,1.196,15.098,2.194,5.967,1.19,2.988,2.988,4,13.75,7,6.294,2,1.788,0.408,0.272,5.74,3.176,1.256,3.714,5.714,3.714,1,1,0.175,6.3,5,3.531,5.047,4.201
6.287,10,1.0,23,4,0.0,0.373,1,3.432,17.85,3.627,0.425,1,4.554,4,4,46.766,1.101,2.137,1,-0.026,0,0,-0.424,-0.024,4.703,1,0.084,2.483,2.483,12.398,1,3.46,2.526,1.306,1.0,0.672,0.672,11.096,1.675,5.731,0.673,1.582,1.582,4,8.32,2,6.049,0,1.325,0.335,0.357,5.485,2.664,0.314,3.709,5.709,3.709,0,0,0.238,6.099,0,2.981,4.796,3.988
6.217,10,1.0,23,4,0.0,0.588,1,3.467,30.075,3.68,0.424,1,4.575,4,4,105.848,1.32,2.452,1,-0.032,0,0,-0.408,-0.029,4.809,2,0.079,3.058,3.058,14.007,1,3.521,2.63,1.376,1.0,0.852,0.852,12.65,1.866,5.973,0.862,2.138,2.138,4,9.432,2,6.227,0,1.51,0.505,0.355,5.635,2.788,0.398,3.731,5.731,3.731,0,0,0.237,6.337,0,3.078,4.898,4.12
8.553,10,1.0,23,4,3.644,0.574,2,3.365,25.738,3.73,0.424,4,4.59,4,4,70.289,1.143,2.194,1,-0.043,1,1,-0.408,-0.042,4.977,4,0.042,2.766,2.766,16.464,1,3.549,2.588,1.6,1.0,0.8,0.8,14.784,1.808,5.892,0.799,1.862,1.862,4,10.838,4,6.281,1,1.692,0.415,0.352,5.624,2.784,0.62,3.716,5.716,3.716,1,0,0.234,6.26,3,3.174,4.875,4.159
6.328,10,0.88,23,4,0.0,0.379,1,3.432,18.918,3.68,0.424,1,4.557,4,4,46.116,1.102,2.137,1,-0.054,0,0,-0.435,-0.047,4.822,2,0.08,2.74,2.74,14.169,1,3.521,2.539,1.375,1.0,0.672,0.672,13.195,1.675,5.842,0.674,1.602,1.602,4,9.545,2,6.118,0,1.551,0.368,0.351,5.549,2.783,0.398,3.71,5.71,3.71,0,0,0.233,6.141,0,3.008,4.836,4.103
9.444,10,1.0,23,4,3.669,0.698,2,3.398,28.611,3.827,0.425,4,4.596,4,4,94.24,1.619,2.626,1,0.008,1,1,-0.439,0.029,5.423,4,0.038,4.0,4.0,25.554,1,3.647,2.732,1.92,1.0,1.141,1.141,20.062,2.146,6.141,1.144,2.916,2.916,4,16.91,4,6.417,1,2.292,0.438,0.339,5.765,2.986,0.992,3.717,5.717,3.717,1,0,0.224,6.483,3,3.532,4.97,4.405
10.155,17,0.75,41,7,7.461,0.682,2,3.44,30.611,3.917,0.405,11,4.593,7,8,75.221,2.0,3.0,2,0.041,1,1,0.072,0.023,5.472,9,0.102,6.076,6.076,30.032,2,3.797,3.101,2.586,0.67,1.862,1.862,19.973,2.841,6.147,1.816,5.325,5.325,8,20.579,6,6.458,2,2.346,0.479,0.228,6.131,3.534,1.624,3.715,5.715,3.715,1,1,0.147,6.445,7,4.271,5.176,4.407
10.398,17,0.75,41,7,3.726,0.599,2,3.402,28.904,3.911,0.404,4,4.599,9,9,71.568,2.0,3.0,1,0.026,1,1,-0.496,0.008,5.465,4,0.105,6.0,6.0,29.533,1,3.786,3.0,2.578,0.67,1.841,1.841,22.128,2.832,6.138,1.811,5.321,5.321,9,20.363,4,6.449,1,2.518,0.407,0.238,6.26,3.535,1.617,3.724,5.724,3.724,1,0,0.155,6.43,3,4.289,5.147,4.467
9.484,10,0.88,23,4,3.245,0.657,2,3.392,31.987,3.806,0.42,6,4.595,4,4,105.765,1.61,2.634,2,0.005,0,0,0.125,0.013,5.316,4,0.071,3.088,3.088,23.414,2,3.622,2.755,1.946,1.0,1.149,1.149,17.851,2.154,6.178,1.15,2.954,2.954,5,15.634,4,6.396,1,2.094,0.46,0.33,5.82,3.0,0.984,3.722,5.722,3.722,0,0,0.216,6.385,5,3.519,5.004,4.314
5.046,11,0.75,26,5,3.536,0.312,1,2.851,15.305,3.839,0.411,2,4.552,4,4,30.584,1.066,2.068,1,-0.032,1,1,-0.465,-0.014,4.747,1,0.094,2.75,2.75,13.641,1,3.662,2.546,1.305,1.0,0.678,0.678,12.509,1.68,5.575,0.679,1.627,1.627,4,9.26,4,6.025,1,1.463,0.219,0.32,5.602,2.784,0.32,3.71,5.71,3.71,0,0,0.213,6.055,1,3.144,4.828,4.044
4.337,10,1.0,23,4,0.0,0.301,1,2.812,21.173,3.552,0.417,0,4.159,2,2,41.624,0.69,1.772,0,-0.072,0,0,-0.836,-0.075,3.903,0,0.054,1.523,1.523,5.412,0,3.405,2.228,0.75,0.83,0.0,0.0,6.121,1.034,5.182,0.0,0.0,0.0,2,3.873,0,5.891,0,0.687,0.174,0.385,5.176,2.362,-0.311,3.651,5.651,3.651,0,0,0.261,5.726,0,2.491,4.654,3.477
8.886,10,1.0,23,4,3.25,0.65,3,3.066,32.975,3.81,0.42,6,4.595,4,4,102.792,1.61,2.634,2,0.007,0,0,0.16,0.014,5.336,4,0.069,3.088,3.088,24.182,3,3.763,2.755,1.946,1.0,1.149,1.149,20.421,2.153,6.187,1.151,2.954,2.954,5,18.333,4,6.399,1,2.182,0.473,0.33,5.82,3.0,0.984,3.722,5.722,3.722,0,0,0.216,6.386,4,3.519,5.004,4.335
5.0,6,1.0,17,3,0.0,0.088,0,2.005,14.029,3.318,0.431,2,4.073,0,0,25.294,-0.731,0.858,1,-0.088,0,0,-0.352,-0.079,2.77,2,0.091,-1.47,-1.47,0.772,1,3.247,1.629,0.088,1.0,-0.703,-0.703,2.02,0.297,4.39,-0.703,-1.897,-1.897,0,1.152,2,5.235,0,0.235,0.031,0.451,4.078,1.28,-1.255,3.215,5.215,3.215,0,0,0.307,4.963,1,2.0,4.489,2.639
4.0,10,1.0,23,4,0.0,0.316,0,2.813,21.675,3.572,0.417,0,4.121,2,2,36.31,0.649,1.672,0,-0.078,0,0,-0.836,-0.071,4.091,0,0.057,1.523,1.523,6.427,0,3.41,2.067,0.75,0.83,0.0,0.0,6.822,1.034,5.212,0.0,0.0,0.0,2,4.474,0,5.92,0,0.76,0.187,0.385,5.176,2.362,-0.311,3.651,5.651,3.651,0,0,0.261,5.755,0,2.491,4.625,3.537
6.569,6,0.63,29,5,3.172,0.725,0,3.194,37.305,3.888,0.442,5,4.291,0,0,85.695,2.278,3.023,2,-0.086,0,0,0.071,-0.107,5.075,7,0.045,4.133,4.133,18.87,2,3.811,3.127,2.353,0.5,1.523,1.523,15.432,2.522,6.206,1.504,3.488,3.488,0,14.723,3,6.185,1,1.836,0.332,0.229,5.46,3.433,1.908,3.126,5.126,3.126,0,0,0.143,6.262,4,3.605,5.288,4.381
6.469,6,0.63,29,5,2.966,0.936,0,3.194,58.9,3.888,0.44,5,4.308,0,0,100.738,2.509,3.239,2,-0.129,0,0,0.099,-0.127,5.114,7,0.046,5.176,5.176,17.324,2,3.812,3.323,2.525,0.5,1.581,1.581,15.595,2.544,6.362,1.527,4.397,4.397,0,14.941,1,6.284,1,2.152,0.695,0.227,5.541,3.603,2.113,3.126,5.126,3.126,0,0,0.142,6.29,4,4.023,5.338,4.401
6.032,6,0.63,29,5,3.166,0.855,0,3.194,45.113,3.889,0.444,5,4.311,0,0,96.238,2.569,3.294,2,-0.117,0,0,0.078,-0.14,5.248,7,0.022,5.176,5.176,20.714,2,3.812,3.323,2.526,0.67,1.582,1.582,16.325,2.544,6.306,1.528,4.402,4.402,0,16.43,1,6.311,1,1.997,0.471,0.224,5.602,3.603,2.113,3.126,5.126,3.126,0,0,0.14,6.359,4,4.025,5.366,4.457
4.0,6,0.63,29,5,3.183,0.549,0,3.194,37.253,3.888,0.442,6,4.291,0,0,75.338,2.278,3.023,2,-0.098,0,0,0.071,-0.112,5.079,7,0.045,4.133,4.133,19.078,2,3.811,3.127,2.353,0.5,1.523,1.523,15.548,2.522,6.185,1.504,3.488,3.488,0,14.838,3,6.181,1,1.829,0.305,0.229,5.46,3.433,1.908,3.126,5.126,3.126,0,0,0.143,6.238,4,3.605,5.288,4.383
7.699,10,0.88,23,4,0.0,0.658,0,3.233,30.888,3.83,0.429,2,4.394,4,4,104.59,1.732,2.732,1,-0.018,0,0,-0.448,0.022,5.358,2,0.048,3.931,3.931,25.213,1,3.658,2.806,2.067,0.83,1.232,1.232,19.572,2.241,6.164,1.229,2.961,2.961,4,17.019,2,6.385,0,2.274,0.404,0.322,5.826,3.021,1.223,3.674,5.674,3.674,0,0,0.209,6.429,1,3.748,5.007,4.387
9.398,10,0.88,23,4,3.229,0.585,0,3.238,29.913,3.805,0.423,6,4.39,4,4,96.07,1.55,2.572,2,0.024,0,0,0.141,0.042,5.143,4,0.074,3.062,3.062,20.274,2,3.622,2.807,1.946,1.0,1.069,1.069,15.669,2.074,6.011,1.067,2.809,2.809,5,13.71,4,6.28,1,1.844,0.354,0.324,5.743,2.988,1.032,3.67,5.67,3.67,0,0,0.21,6.256,5,3.433,4.966,4.192
5.301,10,0.88,23,4,0.0,1.207,0,3.472,47.943,3.834,0.43,4,4.528,4,4,240.814,1.732,2.748,2,0.001,0,0,0.132,0.031,5.471,4,0.055,4.0,4.0,27.514,2,3.667,2.997,2.189,0.83,1.44,1.44,21.048,2.443,6.407,1.441,3.85,3.85,4,18.511,4,6.534,0,2.469,0.603,0.32,6.011,3.469,1.541,3.674,5.674,3.674,0,0,0.208,6.743,2,3.877,5.109,4.495
7.149,10,1.0,24,4,3.285,0.456,2,3.317,28.414,3.613,0.42,4,4.473,3,4,82.269,1.106,2.121,2,-0.045,0,0,0.214,-0.028,4.554,5,0.087,2.817,2.817,10.355,2,3.5,2.603,1.089,1.0,0.666,0.666,9.295,1.663,5.791,0.663,1.63,1.63,4,7.034,4,6.13,1,1.164,0.423,0.36,5.521,2.757,0.081,3.66,5.66,3.66,0,0,0.24,6.099,5,2.962,4.836,3.896
6.0,10,1.0,24,4,3.282,0.334,0,2.63,19.269,3.571,0.419,4,4.319,3,4,49.608,0.724,1.768,2,-0.018,0,0,0.237,-0.003,3.936,5,0.096,1.622,1.622,5.477,2,3.422,2.217,0.742,0.83,0.098,0.098,6.588,1.102,5.296,0.097,0.238,0.238,4,3.903,4,5.83,1,0.791,0.21,0.373,5.22,2.37,-0.259,3.491,5.491,3.491,0,0,0.251,5.827,6,2.804,4.696,3.595
6.0,10,1.0,24,4,3.233,0.705,0,3.212,35.082,3.718,0.42,4,4.569,3,4,115.081,1.192,2.218,2,0.035,0,0,0.312,0.067,4.314,3,0.068,2.721,2.721,6.989,2,3.773,2.608,1.139,1.0,0.675,0.675,8.851,1.67,5.654,0.67,1.631,1.631,4,6.317,4,6.019,1,0.978,0.499,0.33,5.509,2.794,0.17,3.491,5.491,3.491,0,0,0.215,6.096,4,3.019,4.894,3.791
6.342,6,1.0,18,3,0.0,0.157,1,2.518,13.487,3.44,0.43,0,4.077,0,0,27.066,-0.162,1.12,0,-0.206,0,0,-0.807,-0.197,2.884,0,0.017,-0.356,-0.356,2.032,0,3.409,1.619,0.205,0.83,-0.347,-0.347,3.414,0.614,4.609,-0.317,-0.905,-0.905,0,1.79,0,5.397,0,0.314,0.136,0.456,4.234,1.496,-0.886,3.181,5.181,3.181,0,0,0.312,5.279,0,2.0,4.494,2.989
7.0,10,1.0,23,4,0.0,0.549,0,3.182,24.581,3.798,0.432,0,4.566,3,3,72.19,1.299,2.406,0,-0.119,0,0,-0.853,-0.055,5.346,0,0.019,3.048,3.048,22.893,0,3.608,2.636,1.73,1.0,1.06,1.06,18.937,2.071,6.099,1.063,2.526,2.526,3,15.029,0,6.391,0,2.223,0.393,0.343,5.82,3.047,0.752,3.711,5.711,3.711,0,0,0.227,6.504,0,3.367,4.934,4.44
4.0,10,0.88,23,4,0.0,0.639,0,3.304,27.398,3.838,0.424,0,4.552,5,6,84.32,1.589,2.591,0,-0.079,0,0,-0.858,-0.021,5.36,0,0.019,4.0,4.0,25.885,0,3.663,2.732,2.098,1.0,1.177,1.177,18.775,2.166,6.119,1.162,3.078,3.078,6,17.52,0,6.484,0,2.265,0.443,0.333,5.832,3.113,1.17,3.692,5.692,3.692,0,0,0.219,6.522,0,3.761,4.984,4.421
7.0,10,1.0,23,4,0.0,0.48,0,3.109,23.82,3.777,0.426,0,4.56,4,3,62.383,1.314,2.406,0,-0.112,0,0,-0.848,-0.053,5.278,0,0.02,3.182,3.182,21.184,0,3.577,2.643,1.73,1.0,1.1,1.1,16.96,2.098,6.016,1.092,2.887,2.887,4,13.83,0,6.346,0,2.014,0.359,0.344,5.771,3.048,0.755,3.709,5.709,3.709,0,0,0.228,6.405,0,3.367,4.913,4.351
6.0,11,0.63,29,5,0.0,0.584,0,3.416,30.83,3.879,0.426,0,4.584,4,3,74.68,1.783,2.771,0,-0.15,0,0,-0.85,-0.087,5.624,0,0.019,5.13,5.13,32.244,0,3.754,2.989,2.202,0.67,1.565,1.565,25.905,2.548,6.428,1.534,4.649,4.649,4,21.672,0,6.522,0,3.077,0.622,0.284,6.084,3.414,1.5,3.713,5.713,3.713,0,0,0.186,6.561,0,4.043,5.168,4.707
6.0,10,1.0,23,4,3.304,0.432,0,3.07,21.795,3.634,0.422,2,4.531,3,3,53.528,1.031,2.071,1,-0.09,0,0,-0.383,-0.045,4.733,4,0.046,2.623,2.623,11.662,1,3.47,2.398,1.293,1.0,0.644,0.644,10.204,1.648,5.659,0.644,1.541,1.541,3,7.379,2,6.172,1,1.269,0.294,0.366,5.509,2.664,0.293,3.702,5.702,3.702,0,0,0.246,6.194,3,2.981,4.787,3.986
5.699,6,1.0,18,3,0.0,0.303,0,2.608,21.431,3.472,0.437,0,4.237,1,1,61.432,0.493,1.611,0,-0.056,0,0,-0.787,0.0,3.653,0,0.029,0.744,0.744,4.24,0,3.289,1.961,0.736,1.0,0.127,0.127,4.456,1.14,5.088,0.128,0.266,0.266,1,2.726,0,5.905,0,0.568,0.205,0.457,4.564,2.17,-0.314,3.654,5.654,3.654,0,0,0.315,5.867,0,2.475,4.659,3.379
7.0,11,0.63,29,5,0.0,0.577,0,3.407,28.029,3.901,0.431,0,4.572,3,3,69.665,1.669,2.669,0,-0.122,0,0,-0.879,-0.056,5.69,0,0.031,4.039,4.039,36.532,0,3.771,2.947,2.225,0.67,1.537,1.537,26.142,2.535,6.388,1.531,3.385,3.385,3,24.923,0,6.491,0,3.089,0.452,0.278,6.035,3.367,1.5,3.711,5.711,3.711,0,0,0.182,6.544,0,3.569,5.145,4.677
7.0,10,0.88,23,4,0.0,0.561,0,3.146,25.134,3.85,0.425,0,4.56,3,3,61.339,1.329,2.406,0,-0.066,0,0,-0.858,-0.039,5.395,0,0.019,3.535,3.535,25.691,0,3.653,2.646,1.786,1.0,1.136,1.136,18.929,2.125,6.21,1.12,2.976,2.976,3,17.168,0,6.423,0,2.258,0.489,0.328,5.811,3.172,0.894,3.709,5.709,3.709,0,0,0.215,6.432,0,3.367,4.984,4.426
7.0,11,0.75,29,5,0.0,0.555,0,3.187,24.316,3.878,0.423,0,4.566,3,3,62.426,1.362,2.406,0,-0.099,0,0,-0.858,-0.048,5.359,0,0.038,3.298,3.298,24.154,0,3.694,2.644,2.028,1.0,1.193,1.193,19.694,2.183,6.118,1.178,2.991,2.991,3,16.018,0,6.393,0,2.322,0.42,0.296,5.927,3.247,1.154,3.711,5.711,3.711,0,0,0.195,6.468,0,3.459,4.99,4.463
4.398,10,0.88,23,4,0.0,0.639,0,3.304,27.398,3.838,0.424,0,4.552,5,6,84.32,1.589,2.591,0,-0.079,0,0,-0.858,-0.021,5.36,0,0.019,4.0,4.0,25.885,0,3.663,2.732,2.098,1.0,1.177,1.177,18.775,2.166,6.119,1.162,3.078,3.078,6,17.52,0,6.484,0,2.265,0.443,0.333,5.832,3.113,1.17,3.692,5.692,3.692,0,0,0.219,6.522,0,3.761,4.984,4.421
6.699,10,0.88,23,4,0.0,0.735,1,3.436,32.95,3.833,0.427,2,4.595,5,5,105.009,1.622,2.63,1,-0.028,0,0,-0.457,0.004,5.528,2,0.048,4.0,4.0,28.191,1,3.654,2.732,2.138,0.83,1.271,1.271,22.338,2.279,6.328,1.263,2.994,2.994,5,18.8,2,6.498,0,2.581,0.521,0.327,5.905,3.173,1.192,3.724,5.724,3.724,0,0,0.214,6.546,1,3.83,5.024,4.519
6.0,10,1.0,23,4,0.0,0.425,2,3.074,21.157,3.639,0.422,0,4.573,3,3,58.307,1.196,2.288,0,-0.111,0,0,-0.83,-0.066,4.758,0,0.019,2.86,2.86,12.512,0,3.482,2.447,1.341,1.0,0.73,0.73,10.801,1.73,5.702,0.728,1.802,1.802,3,8.092,0,6.23,0,1.345,0.294,0.365,5.624,2.682,0.431,3.709,5.709,3.709,0,0,0.245,6.244,0,3.172,4.852,4.042
6.244,10,0.88,23,4,0.0,0.735,1,3.436,32.95,3.833,0.427,2,4.595,5,5,105.009,1.622,2.63,1,-0.028,0,0,-0.457,0.004,5.528,2,0.048,4.0,4.0,28.191,1,3.654,2.732,2.138,0.83,1.271,1.271,22.338,2.279,6.328,1.263,2.994,2.994,5,18.8,2,6.498,0,2.581,0.521,0.327,5.905,3.173,1.192,3.724,5.724,3.724,0,0,0.214,6.546,1,3.83,5.024,4.519
6.102,10,1.0,23,4,0.0,0.381,2,3.49,24.78,3.615,0.422,2,4.573,4,4,80.584,1.115,2.348,1,-0.042,0,0,-0.424,-0.036,4.54,2,0.086,2.742,2.742,10.865,1,3.501,2.644,1.343,1.0,0.679,0.679,9.719,1.673,5.744,0.674,1.58,1.58,4,7.471,2,6.152,0,1.185,0.323,0.361,5.557,2.755,0.523,3.708,5.708,3.708,0,0,0.241,6.095,1,2.971,4.875,3.884
6.0,10,1.0,23,4,0.0,0.448,0,3.07,21.289,3.648,0.422,0,4.558,3,3,55.266,1.162,2.202,0,-0.119,0,0,-0.83,-0.065,4.849,0,0.021,2.86,2.86,13.447,0,3.485,2.406,1.341,1.0,0.73,0.73,11.418,1.73,5.726,0.728,1.802,1.802,3,8.623,0,6.255,0,1.403,0.307,0.365,5.624,2.682,0.351,3.709,5.709,3.709,0,0,0.245,6.27,0,3.172,4.828,4.08
6.0,10,0.88,23,4,0.0,0.528,0,3.407,26.309,3.803,0.435,0,4.567,3,3,57.208,1.566,2.571,0,-0.148,0,0,-0.863,-0.085,5.556,0,0.018,3.441,3.441,29.139,0,3.613,2.668,2.021,0.83,1.211,1.211,22.335,2.199,6.265,1.194,3.016,3.016,3,19.441,0,6.415,0,2.616,0.451,0.329,5.864,3.172,1.044,3.711,5.711,3.711,0,0,0.215,6.47,0,3.48,4.977,4.549
7.208,10,0.88,23,4,0.0,0.726,3,3.428,32.666,3.83,0.427,2,4.584,5,5,111.358,1.732,2.732,1,-0.013,0,0,-0.457,0.015,5.491,2,0.048,4.0,4.0,27.69,1,3.657,2.853,2.138,0.83,1.271,1.271,21.828,2.279,6.315,1.263,2.994,2.994,5,18.511,2,6.481,0,2.53,0.51,0.327,5.905,3.173,1.232,3.724,5.724,3.724,0,0,0.214,6.532,1,3.83,5.043,4.495
7.854,10,0.88,23,4,0.0,0.528,0,3.1,24.179,3.832,0.437,0,4.56,3,3,58.016,1.364,2.406,0,-0.103,0,0,-0.863,-0.057,5.373,0,0.018,3.311,3.311,24.174,0,3.608,2.646,2.091,0.83,1.222,1.222,18.203,2.217,6.116,1.213,2.972,2.972,3,16.024,0,6.392,0,2.208,0.42,0.31,5.799,3.171,1.16,3.709,5.709,3.709,0,0,0.2,6.447,0,3.367,4.963,4.414
7.0,10,1.0,23,4,0.0,0.538,0,3.101,24.241,3.806,0.429,0,4.56,4,3,59.423,1.325,2.406,0,-0.091,0,0,-0.853,-0.051,5.313,0,0.019,3.436,3.436,23.193,0,3.596,2.645,1.731,1.0,1.128,1.128,17.681,2.118,6.12,1.113,2.964,2.964,4,15.391,0,6.369,0,2.11,0.444,0.334,5.784,3.05,0.818,3.709,5.709,3.709,0,0,0.219,6.409,0,3.367,4.934,4.377
7.284,10,0.88,23,4,0.0,0.73,2,3.435,32.267,3.83,0.427,2,4.605,4,4,109.832,1.732,2.732,1,-0.016,0,0,-0.457,0.011,5.491,2,0.048,4.0,4.0,27.69,1,3.657,2.821,2.138,0.83,1.271,1.271,21.828,2.279,6.313,1.263,2.994,2.994,4,18.511,2,6.471,0,2.53,0.51,0.327,5.905,3.173,1.193,3.724,5.724,3.724,0,0,0.214,6.534,1,3.83,5.043,4.496
