pXC50,S.107,C.044,NaaS,nR05,SRW05,CATS2D_04_PL,NaaN,CATS2D_05_AA,TPSA.Tot.,CATS2D_04_AP,nS,CATS2D_01_AA,P_VSA_i_1,CATS2D_02_AL,D.Dtr05,SM13_EA.bo.,MATS2m,SM12_EA.bo.,Eig01_AEA.bo.,SpMax_AEA.bo.,CATS2D_03_AP,SpMax4_Bh.m.,CATS2D_04_AA,CATS2D_03_DA,CATS2D_07_AA,SpDiam_EA.bo.,nThiazoles,SaaN,SpDiam_AEA.dm.,P_VSA_m_4,Eig02_EA.bo.,SM12_AEA.ri.,Eig01_AEA.dm.,SpMax_AEA.dm.,C.034,SaaS,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,NaaaC,JGI5,SpMax1_Bh.m.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,nHM,SpMax2_Bh.m.,D.Dtr09,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,P_VSA_MR_8,Eig01_AEA.ed.,SpMax_AEA.ed.,CATS2D_07_DA,TRS,P_VSA_MR_7,SM15_EA.bo.,Rperim,CATS2D_04_DL,SRW09,SpDiam_EA.ed.,X2sol,SpMin1_Bh.v.,DLS_06,X5v,SRW07
6.222,1,2,1,1,2.398,0,2,2,177.11,1,3,1,42.893,2,53.488,20.779,-0.046,19.239,5.0,5.0,1,3.081,4,2,4,7.358,0,5.815,7.256,42.893,4.659,4.659,5.419,5.419,0,0.057,4.71,4.71,4.71,0,0.033,4.798,3.691,3.691,3.691,3,4.723,0.0,14.439,14.439,14.439,31.278,8.104,8.104,2,5,61.346,23.865,5,0,6.605,22.671,10.98,1.905,0.83,1.784,4.595
4.013,0,0,0,0,0.0,2,0,0,123.09,0,2,0,11.615,0,0.0,20.82,0.021,19.279,5.007,5.007,0,3.09,0,0,0,7.744,0,0.0,7.419,11.615,4.653,4.653,5.419,5.419,0,0.0,4.744,4.744,4.744,0,0.05,4.77,3.695,3.695,3.695,2,4.7,0.0,14.45,14.45,14.45,0.0,8.105,8.105,0,6,28.02,23.915,6,3,0.0,22.737,10.533,2.083,1.0,1.708,0.0
4.216,0,0,0,0,0.0,2,0,0,135.12,0,2,0,11.615,0,0.0,20.747,0.034,19.213,4.991,4.991,0,3.1,0,2,0,7.688,0,0.0,7.418,11.615,4.66,4.66,5.418,5.418,0,0.0,4.688,4.688,4.688,0,0.056,4.747,3.683,3.683,3.683,2,4.723,0.0,14.385,14.385,14.385,0.0,8.099,8.099,2,6,29.503,23.828,6,4,0.0,22.5,10.975,2.069,1.0,1.182,0.0
4.19,0,0,0,0,0.0,2,0,0,123.09,0,2,0,11.615,0,0.0,20.76,0.021,19.224,4.999,4.999,0,3.083,0,0,0,7.701,0,0.0,7.419,11.615,4.656,4.656,5.419,5.419,0,0.0,4.701,4.701,4.701,0,0.042,4.754,3.69,3.69,3.69,2,4.718,0.0,14.438,14.438,14.438,0.0,8.104,8.104,0,6,28.02,23.844,6,2,0.0,22.666,10.618,2.078,1.0,1.29,0.0
6.056,0,0,0,0,0.0,1,0,0,123.09,0,2,0,11.615,0,0.0,20.933,-0.092,19.399,5.252,5.252,0,3.781,0,0,0,7.765,0,0.0,7.429,50.764,4.668,4.668,5.429,5.429,0,0.0,4.765,4.765,4.765,0,0.035,4.757,4.162,4.162,4.162,3,4.718,0.0,18.719,18.719,18.719,0.0,9.14,9.14,0,6,67.169,24.016,6,1,0.0,29.653,12.152,2.071,1.0,2.304,0.0
6.222,0,0,0,0,0.0,1,0,0,97.64,0,1,0,5.807,0,0.0,20.486,-0.068,19.0,5.278,5.278,0,3.782,0,0,0,7.671,0,0.0,7.033,44.956,4.283,4.283,5.033,5.033,0,0.0,4.671,4.671,4.671,0,0.037,4.73,4.276,4.276,4.276,2,3.99,0.0,19.649,19.649,19.649,0.0,9.33,9.33,0,6,44.956,23.486,6,1,0.0,31.202,11.269,2.054,0.83,1.885,0.0
7.538,1,0,0,1,2.398,0,0,4,198.58,1,3,1,43.834,4,115.903,21.032,0.123,19.508,4.89,4.89,1,3.824,4,1,4,7.761,0,0.0,7.233,43.834,4.628,4.628,5.233,5.233,0,0.0,4.761,4.761,4.761,0,0.03,4.774,3.417,3.417,3.417,3,4.713,0.0,12.534,12.534,12.534,32.22,7.313,7.313,2,17,11.615,24.102,17,0,6.823,20.534,17.158,2.063,0.67,3.703,4.727
2.02,0,0,0,1,2.398,2,1,0,129.73,0,1,1,5.807,5,54.676,20.217,-0.04,18.72,4.801,4.801,0,3.385,3,0,0,7.66,0,3.879,6.661,5.807,4.146,4.146,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.035,4.728,3.313,3.313,3.313,1,3.967,106.204,11.689,11.689,11.689,0.0,7.111,7.111,0,17,22.593,23.253,15,2,7.195,18.826,12.396,2.076,1.0,1.773,4.949
7.62,1,0,0,1,2.398,0,0,4,224.03,1,4,1,49.642,3,135.685,21.314,0.107,19.774,5.252,5.252,1,3.822,4,1,4,7.77,0,0.0,7.428,49.642,4.751,4.751,5.428,5.428,0,0.0,4.77,4.77,4.77,0,0.032,4.781,4.162,4.162,4.162,4,4.74,0.0,18.719,18.719,18.719,32.22,9.14,9.14,2,11,33.827,24.408,11,0,6.823,29.653,18.328,2.078,0.5,4.139,4.727
8.046,1,1,1,1,2.398,0,1,0,138.77,0,2,0,37.085,2,126.734,20.749,0.034,19.251,5.278,5.278,1,3.796,0,1,1,7.748,1,3.413,7.033,37.085,4.284,4.284,5.033,5.033,1,0.149,4.748,4.748,4.748,2,0.034,4.784,4.276,4.276,4.276,2,4.158,221.821,19.649,19.649,19.649,31.278,9.33,9.33,2,11,22.593,23.773,9,1,6.862,31.202,12.696,1.998,0.83,2.872,4.727
1.88,0,0,0,0,0.0,1,1,0,135.8,0,1,0,5.807,3,0.0,20.221,-0.03,18.725,4.811,4.811,0,3.624,0,1,2,7.673,0,3.748,6.663,5.807,4.034,4.034,4.663,4.663,0,0.0,4.673,4.673,4.673,0,0.033,6.88,3.333,3.333,3.333,2,4.726,0.0,11.708,11.708,11.708,45.954,7.12,7.12,1,12,22.593,23.258,12,2,0.0,18.97,12.436,2.064,1.0,2.069,0.0
7.268,0,0,0,0,0.0,3,0,0,166.18,0,2,0,11.615,1,0.0,21.064,-0.176,19.535,4.917,4.917,0,3.838,0,0,0,7.804,0,0.0,6.743,50.764,4.598,4.598,4.743,4.743,0,0.0,4.804,4.804,4.804,0,0.05,4.777,3.466,3.466,3.466,3,4.681,0.0,12.543,12.543,12.543,0.0,7.322,7.322,0,12,50.764,24.144,12,4,0.0,20.543,14.872,2.097,0.83,2.671,0.0
6.171,0,0,0,0,0.0,1,0,0,123.09,0,2,0,68.397,0,0.0,21.072,-0.047,19.532,4.966,4.966,0,3.847,0,0,0,7.84,0,0.0,6.753,11.615,4.67,4.67,4.753,4.753,0,0.0,4.84,4.84,4.84,0,0.03,10.695,3.54,3.54,3.54,3,4.75,0.0,13.556,13.556,13.556,56.782,7.556,7.556,0,12,28.02,24.175,12,1,0.0,21.64,13.941,2.08,0.83,3.397,0.0
7.398,1,2,1,1,2.398,0,2,1,206.21,1,3,1,42.893,3,75.729,20.767,0.181,19.229,4.991,4.991,1,3.5,3,2,2,7.334,0,6.45,7.212,42.893,4.673,4.673,5.418,5.418,0,0.426,4.687,4.687,4.687,0,0.035,4.778,3.682,3.682,3.682,3,4.741,0.0,14.384,14.384,14.384,31.278,8.099,8.099,2,5,44.941,23.849,5,0,6.605,22.491,13.032,1.965,0.83,1.726,4.595
8.097,1,1,1,1,2.398,0,1,0,164.22,0,3,0,42.893,2,48.705,20.992,0.082,19.457,4.999,4.999,1,3.413,0,1,2,7.752,1,3.676,7.419,42.893,4.694,4.694,5.419,5.419,1,0.612,4.752,4.752,4.752,2,0.032,4.789,3.69,3.69,3.69,3,4.74,87.818,14.439,14.439,14.439,31.278,8.104,8.104,2,11,44.805,24.077,9,1,6.862,22.669,12.945,2.027,0.83,2.688,4.727
7.481,0,0,0,0,0.0,1,0,0,177.64,0,3,0,17.422,0,0.0,21.371,-0.045,19.843,5.32,5.32,0,3.938,0,0,4,7.764,0,0.0,7.429,17.422,4.711,4.711,5.429,5.429,0,0.0,4.764,4.764,4.764,0,0.035,4.767,4.29,4.29,4.29,3,4.732,0.0,19.749,19.749,19.749,0.0,9.351,9.351,2,12,50.232,24.445,12,4,0.0,31.37,18.889,2.109,0.5,3.723,0.0
6.26,0,0,0,0,0.0,1,0,0,123.09,0,2,0,11.615,0,0.0,21.072,-0.085,19.532,4.966,4.966,0,3.847,0,0,0,7.84,0,0.0,6.753,11.615,4.67,4.67,4.753,4.753,0,0.0,4.84,4.84,4.84,0,0.03,6.88,3.54,3.54,3.54,3,4.749,0.0,13.556,13.556,13.556,45.954,7.556,7.556,0,12,28.02,24.175,12,1,0.0,21.64,13.57,2.081,1.0,3.089,0.0
7.469,0,0,0,0,0.0,2,2,0,160.9,0,2,0,11.615,2,0.0,21.034,-0.015,19.517,5.32,5.32,0,3.83,4,0,0,7.763,0,5.955,7.429,11.615,4.66,4.66,5.429,5.429,0,0.0,4.763,4.763,4.763,0,0.035,4.749,4.29,4.29,4.29,2,4.725,0.0,19.749,19.749,19.749,0.0,9.351,9.351,0,12,61.591,24.094,12,3,0.0,31.37,15.8,2.073,0.5,2.517,0.0
7.745,1,0,0,1,2.398,0,0,3,144.03,1,2,1,38.027,3,143.22,20.396,0.128,18.911,5.278,5.278,1,3.762,3,1,2,7.272,0,0.0,7.162,38.027,4.285,4.285,5.233,5.233,0,0.0,4.632,4.632,4.632,0,0.034,4.748,4.276,4.276,4.276,2,3.982,0.0,19.649,19.649,19.649,32.22,9.33,9.33,1,5,5.807,23.384,5,0,6.823,31.202,11.234,1.886,0.67,2.202,4.727
1.84,0,0,0,0,0.0,0,2,4,271.6,0,2,0,11.615,6,0.0,21.087,-0.093,19.558,4.977,4.977,0,3.861,0,2,6,7.864,0,7.198,6.748,50.764,4.608,4.608,4.748,4.748,0,0.0,4.864,4.864,4.864,0,0.038,4.777,3.554,3.554,3.554,3,4.68,0.0,13.268,13.268,13.268,0.0,7.463,7.463,2,18,84.335,24.18,18,2,0.0,21.329,20.845,2.113,0.33,4.096,0.0
5.983,0,0,0,0,0.0,1,0,0,123.09,0,2,0,68.397,0,0.0,20.933,-0.042,19.399,5.252,5.252,0,3.785,0,0,0,7.765,0,0.0,7.429,11.615,4.668,4.668,5.429,5.429,0,0.0,4.765,4.765,4.765,0,0.035,10.695,4.162,4.162,4.162,3,4.753,0.0,18.719,18.719,18.719,56.782,9.14,9.14,0,6,28.02,24.016,6,1,0.0,29.653,12.894,2.068,0.83,3.058,0.0
6.029,0,0,0,0,0.0,1,0,0,97.64,0,1,0,5.807,0,0.0,20.451,-0.033,18.963,5.278,5.278,0,3.708,0,0,2,7.665,0,0.0,7.033,5.807,4.283,4.283,5.033,5.033,0,0.0,4.665,4.665,4.665,0,0.036,4.728,4.276,4.276,4.276,1,3.972,0.0,19.649,19.649,19.649,0.0,9.33,9.33,1,6,5.807,23.454,6,2,0.0,31.202,10.38,2.066,0.83,1.607,0.0
6.301,0,0,0,0,0.0,2,0,0,135.12,0,2,0,11.615,0,0.0,21.037,-0.146,19.496,4.957,4.957,0,3.713,0,2,0,7.833,0,0.0,6.749,11.615,4.66,4.66,4.749,4.749,0,0.0,4.833,4.833,4.833,0,0.037,4.745,3.529,3.529,3.529,2,4.722,0.0,13.495,13.495,13.495,0.0,7.546,7.546,2,12,29.503,24.141,12,4,0.0,21.495,12.656,2.076,1.0,2.043,0.0
4.921,0,0,0,0,0.0,2,0,0,94.84,0,1,0,5.807,1,0.0,20.441,0.052,18.954,5.278,5.278,0,3.746,0,0,0,7.66,0,0.0,7.034,5.807,4.283,4.283,5.034,5.034,0,0.0,4.66,4.66,4.66,0,0.037,4.728,4.276,4.276,4.276,1,3.97,0.0,19.649,19.649,19.649,0.0,9.33,9.33,0,6,5.807,23.442,6,2,0.0,31.202,11.063,2.076,0.67,1.695,0.0
8.155,1,1,1,1,2.398,0,1,3,170.65,0,3,0,44.835,4,83.714,21.217,0.052,19.678,4.957,4.957,1,3.844,0,1,2,7.832,1,3.811,7.268,44.835,4.748,4.748,5.268,5.268,1,0.75,4.832,4.832,4.832,2,0.027,4.785,3.528,3.528,3.528,3,4.732,147.642,13.493,13.493,13.493,31.278,7.546,7.546,1,17,30.343,24.318,15,0,6.862,21.493,15.691,2.017,0.67,3.396,4.727
8.222,1,1,1,1,2.398,0,1,0,164.22,0,3,0,42.893,2,82.116,21.107,0.009,19.573,5.252,5.252,1,3.784,0,1,2,7.77,1,3.505,7.428,42.893,4.74,4.74,5.428,5.428,1,0.302,4.77,4.77,4.77,2,0.033,4.789,4.162,4.162,4.162,3,4.741,144.723,18.719,18.719,18.719,31.278,9.14,9.14,2,11,44.805,24.194,9,1,6.862,29.653,13.579,2.037,0.67,3.199,4.727
7.602,1,0,0,1,2.398,0,0,4,224.03,1,4,1,49.642,3,190.679,21.391,0.082,19.858,5.32,5.32,1,3.938,4,1,4,7.771,0,0.0,7.429,49.642,4.752,4.752,5.429,5.429,0,0.0,4.771,4.771,4.771,0,0.034,4.781,4.29,4.29,4.29,4,4.74,0.0,19.749,19.749,19.749,32.22,9.351,9.351,2,11,33.827,24.47,11,0,6.823,31.37,19.742,2.078,0.33,4.538,4.727
7.444,0,0,0,0,0.0,2,2,0,135.45,0,1,0,5.807,2,0.0,20.472,0.005,18.996,5.278,5.278,0,3.781,2,0,0,7.66,0,6.181,7.033,5.807,4.283,4.283,5.033,5.033,0,0.0,4.66,4.66,4.66,0,0.034,4.728,4.276,4.276,4.276,1,3.977,0.0,19.649,19.649,19.649,0.0,9.33,9.33,0,12,39.378,23.464,12,3,0.0,31.202,13.502,2.071,0.67,1.91,0.0
1.72,0,0,0,0,0.0,1,0,0,149.11,0,2,0,11.615,0,0.0,20.785,-0.045,19.254,4.861,4.861,0,3.661,0,0,4,7.713,0,0.0,6.687,11.615,4.657,4.657,4.687,4.687,0,0.0,4.713,4.713,4.713,0,0.036,4.752,3.398,3.398,3.398,2,4.711,0.0,12.51,12.51,12.51,0.0,7.308,7.308,2,12,28.02,23.87,12,4,0.0,19.873,12.933,2.102,0.83,2.264,0.0
8.046,1,2,1,1,2.398,0,2,1,206.21,1,3,1,42.893,3,169.876,21.023,0.082,19.497,5.319,5.319,1,3.937,3,2,2,7.401,0,5.945,7.352,42.893,4.673,4.673,5.428,5.428,0,0.023,4.754,4.754,4.754,0,0.035,4.778,4.29,4.29,4.29,3,4.743,0.0,19.748,19.748,19.748,31.278,9.351,9.351,2,5,44.941,24.087,5,0,6.605,31.367,15.08,1.995,0.5,2.674,4.595
7.854,1,0,0,1,2.398,0,0,4,169.48,1,3,1,43.834,3,147.029,21.052,0.118,19.521,5.323,5.323,1,3.818,4,1,4,7.461,0,0.0,7.356,43.834,4.629,4.629,5.432,5.432,0,0.0,4.809,4.809,4.809,0,0.034,4.779,4.29,4.29,4.29,3,4.718,0.0,19.749,19.749,19.749,32.22,9.351,9.351,2,5,11.615,24.128,5,0,6.823,31.37,13.532,1.953,0.67,3.165,4.727
8.155,1,1,1,1,2.398,0,1,1,161.42,0,3,0,44.835,4,82.116,21.107,0.052,19.573,5.252,5.252,1,3.783,0,1,4,7.77,1,3.477,7.683,44.835,4.74,4.74,5.683,5.683,1,0.262,4.77,4.77,4.77,2,0.033,4.788,4.162,4.162,4.162,3,4.735,144.723,18.719,18.719,18.719,31.278,9.14,9.14,1,11,30.343,24.194,9,0,6.862,29.653,13.579,2.003,0.67,3.018,4.727
1.66,0,0,0,0,0.0,1,1,0,135.8,0,1,0,5.807,3,0.0,20.221,-0.08,18.725,4.811,4.811,0,3.277,0,1,2,7.673,0,3.602,6.663,5.807,4.034,4.034,4.663,4.663,0,0.0,4.673,4.673,4.673,0,0.033,4.729,3.333,3.333,3.333,1,3.923,0.0,11.708,11.708,11.708,0.0,7.12,7.12,1,12,22.593,23.258,12,2,0.0,18.97,11.155,2.07,1.0,1.434,0.0
6.152,0,0,0,0,0.0,2,0,0,123.09,0,2,0,11.615,0,0.0,21.007,-0.003,19.485,5.319,5.319,0,3.733,0,0,0,7.755,0,0.0,7.428,11.615,4.66,4.66,5.428,5.428,0,0.0,4.755,4.755,4.755,0,0.039,4.75,4.29,4.29,4.29,2,4.723,0.0,19.748,19.748,19.748,0.0,9.351,9.351,2,6,11.615,24.07,6,4,0.0,31.367,13.024,2.083,0.67,2.379,0.0
7.523,1,0,0,0,0.0,2,0,0,141.2,0,3,0,82.98,1,0.0,20.027,0.13,18.506,4.801,4.801,0,3.395,0,1,0,7.66,0,0.0,6.661,82.98,3.428,3.428,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.033,4.728,3.313,3.313,3.313,3,4.119,0.0,11.657,11.657,11.657,77.173,7.111,7.111,0,6,5.807,23.097,6,4,0.0,18.533,11.234,2.077,0.83,1.719,0.0
6.14,0,0,0,0,0.0,1,0,0,191.63,0,3,0,17.422,0,0.0,21.301,-0.173,19.753,5.021,5.021,0,3.984,0,0,0,7.848,0,0.0,7.419,95.72,4.687,4.687,5.419,5.419,0,0.0,4.848,4.848,4.848,0,0.055,4.801,3.701,3.701,3.701,5,4.725,0.0,14.463,14.463,14.463,0.0,8.106,8.106,0,6,112.125,24.408,6,2,0.0,22.755,16.113,2.097,0.83,3.586,0.0
4.618,0,0,0,0,0.0,2,0,0,120.29,0,2,0,13.557,1,0.0,20.747,0.111,19.213,4.991,4.991,0,3.097,0,0,2,7.688,0,0.0,7.694,13.557,4.66,4.66,5.694,5.694,0,0.0,4.688,4.688,4.688,0,0.056,4.743,3.683,3.683,3.683,2,4.722,0.0,14.385,14.385,14.385,0.0,8.099,8.099,1,6,13.557,23.828,6,2,0.0,22.5,10.975,2.072,1.0,1.316,0.0
8.222,1,1,1,1,2.398,0,1,1,161.42,0,3,0,44.835,4,68.692,21.226,-0.015,19.686,4.964,4.964,1,3.843,0,1,4,7.84,1,3.681,7.274,44.835,4.747,4.747,5.274,5.274,1,0.537,4.84,4.84,4.84,2,0.03,4.788,3.538,3.538,3.538,3,4.731,120.787,13.549,13.549,13.549,31.278,7.554,7.554,1,17,30.343,24.329,15,0,6.862,21.616,14.626,2.034,0.83,3.347,4.727
6.284,0,0,0,0,0.0,2,0,0,97.64,0,1,0,5.807,0,0.0,20.441,0.067,18.954,5.278,5.278,0,3.746,0,0,0,7.66,0,0.0,7.033,5.807,4.283,4.283,5.033,5.033,0,0.0,4.66,4.66,4.66,0,0.037,4.728,4.276,4.276,4.276,1,3.971,0.0,19.649,19.649,19.649,0.0,9.33,9.33,0,6,5.807,23.442,6,4,0.0,31.202,11.063,2.079,0.67,1.766,0.0
1.73,0,0,0,0,0.0,2,1,0,135.8,0,1,0,5.807,3,0.0,20.113,-0.024,18.615,4.801,4.801,0,3.412,0,1,0,7.66,0,3.786,6.661,5.807,3.877,3.877,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.046,4.728,3.313,3.313,3.313,1,3.898,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,12,22.593,23.158,12,3,0.0,18.533,11.956,2.081,1.0,1.641,0.0
6.509,0,0,0,0,0.0,2,0,0,97.64,0,1,0,5.807,1,0.0,20.439,-0.026,18.937,4.801,4.801,0,3.419,0,0,0,7.66,0,0.0,6.661,5.807,4.427,4.427,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.036,4.728,3.313,3.313,3.313,1,3.988,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,12,5.807,23.476,12,4,0.0,19.657,10.777,2.079,1.0,1.619,0.0
7.114,0,0,0,0,0.0,2,1,0,137.58,0,2,0,50.999,3,0.0,20.043,-0.021,18.534,4.801,4.801,0,3.644,0,0,0,7.66,0,4.22,6.661,50.999,3.461,3.461,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.033,4.728,3.313,3.313,3.313,2,3.95,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,12,22.593,23.106,12,6,0.0,18.535,11.655,2.064,1.0,1.537,0.0
7.509,0,0,0,0,0.0,2,0,0,177.64,0,3,0,17.422,0,0.0,21.289,-0.035,19.754,5.252,5.252,0,3.787,0,0,0,7.763,0,0.0,7.428,17.422,4.707,4.707,5.428,5.428,0,0.0,4.763,4.763,4.763,0,0.036,4.764,4.162,4.162,4.162,3,4.73,0.0,18.719,18.719,18.719,0.0,9.14,9.14,0,12,50.232,24.377,12,4,0.0,29.653,17.463,2.107,0.67,3.182,0.0
8.046,0,0,0,1,2.398,2,1,2,219.77,0,2,0,50.999,1,126.626,20.075,-0.03,18.58,4.801,4.801,0,3.828,0,2,0,7.66,0,4.12,6.661,50.999,3.51,3.51,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.024,4.728,3.314,3.314,3.314,2,3.974,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,17,22.593,23.125,17,8,6.26,18.536,17.559,2.064,0.33,2.491,4.443
7.745,0,0,0,0,0.0,2,0,0,202.45,0,2,0,50.999,0,0.0,20.114,-0.01,18.616,4.801,4.801,0,3.652,0,1,0,7.66,0,0.0,6.661,50.999,3.873,3.873,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.031,4.728,3.313,3.313,3.313,2,3.968,0.0,11.657,11.657,11.657,45.192,7.111,7.111,1,12,5.807,23.158,12,11,0.0,18.535,14.329,2.065,0.67,1.894,0.0
7.959,0,0,0,0,0.0,2,0,1,205.08,0,2,0,50.999,1,0.0,20.033,0.013,18.513,4.801,4.801,0,3.582,0,1,0,7.66,0,0.0,6.661,50.999,3.463,3.463,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.03,4.728,3.313,3.313,3.313,2,3.956,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,6,5.807,23.1,6,5,0.0,18.535,12.089,2.064,0.67,1.321,0.0
7.886,0,0,0,0,0.0,2,0,0,161.99,0,2,0,50.999,0,0.0,20.048,-0.023,18.542,4.801,4.801,0,3.65,0,1,0,7.66,0,0.0,6.661,50.999,3.478,3.478,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.029,4.728,3.313,3.313,3.313,2,3.965,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,12,5.807,23.109,12,8,0.0,18.535,13.199,2.065,0.83,1.83,0.0
7.796,0,0,0,0,0.0,2,0,0,182.22,0,2,0,50.999,0,0.0,20.033,0.024,18.513,4.801,4.801,0,3.555,0,1,0,7.66,0,0.0,6.661,50.999,3.463,3.463,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.028,4.728,3.314,3.314,3.314,2,3.956,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,6,5.807,23.1,6,5,0.0,18.535,11.608,2.064,0.67,1.3,0.0
7.824,0,0,0,1,2.398,2,1,1,190.67,0,2,0,50.999,1,83.31,20.053,-0.029,18.541,4.801,4.801,0,3.65,0,1,0,7.66,0,3.971,6.661,50.999,3.505,3.505,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.03,4.728,3.313,3.313,3.313,2,3.966,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,11,22.593,23.112,11,5,6.26,18.535,12.846,2.064,0.67,1.551,4.443
7.481,0,0,0,0,0.0,2,0,0,161.99,0,2,0,50.999,1,0.0,20.028,0.011,18.506,4.801,4.801,0,3.548,0,0,0,7.66,0,0.0,6.661,50.999,3.46,3.46,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.031,4.728,3.313,3.313,3.313,2,3.945,0.0,11.657,11.657,11.657,45.192,7.111,7.111,1,6,5.807,23.097,6,5,0.0,18.535,10.898,2.064,0.83,1.259,0.0
8.0,0,0,0,1,2.398,2,1,2,219.77,0,2,0,50.999,2,107.226,20.055,-0.012,18.544,4.801,4.801,0,3.656,0,1,0,7.66,0,3.942,6.661,50.999,3.502,3.502,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.029,4.728,3.313,3.313,3.313,2,3.949,0.0,11.657,11.657,11.657,45.192,7.111,7.111,2,11,22.593,23.112,11,5,6.26,18.535,14.882,2.064,0.5,1.767,4.443
7.824,0,0,0,0,0.0,2,0,0,161.99,0,2,0,50.999,0,0.0,20.061,-0.038,18.557,4.801,4.801,0,3.642,0,1,0,7.66,0,0.0,6.661,50.999,3.621,3.621,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.027,4.728,3.314,3.314,3.314,2,3.975,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,12,5.807,23.118,12,9,0.0,18.536,12.762,2.065,0.83,1.731,0.0
7.167,0,0,0,1,2.398,2,0,0,153.2,0,2,0,50.999,2,66.622,20.039,0.01,18.521,4.801,4.801,0,3.564,0,1,0,7.66,0,0.0,6.661,50.999,3.492,3.492,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.031,4.728,3.314,3.314,3.314,2,3.995,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,11,5.807,23.104,11,5,6.605,18.618,11.557,2.063,0.83,1.718,4.595
7.119,0,0,0,0,0.0,2,1,0,137.58,0,2,0,50.999,2,0.0,20.043,-0.033,18.535,4.801,4.801,0,3.64,0,1,0,7.66,0,4.166,6.661,50.999,3.469,3.469,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.03,4.728,3.313,3.313,3.313,2,3.956,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,12,22.593,23.106,12,5,0.0,18.535,11.301,2.064,1.0,1.465,0.0
8.0,0,0,0,0,0.0,2,0,0,200.79,0,3,0,89.563,0,0.0,20.031,-0.102,18.51,4.801,4.801,0,3.629,0,1,0,7.66,0,0.0,6.661,89.563,3.462,3.462,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.031,4.728,3.313,3.313,3.313,3,3.965,0.0,11.657,11.657,11.657,83.756,7.111,7.111,0,6,5.807,23.099,6,4,0.0,18.535,11.072,2.064,0.83,1.332,0.0
7.538,0,0,0,0,0.0,2,0,0,161.99,0,2,0,50.999,1,0.0,20.128,-0.028,18.629,4.801,4.801,0,3.633,0,0,0,7.66,0,0.0,6.661,50.999,3.937,3.937,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.037,4.728,3.314,3.314,3.314,2,3.988,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,12,5.807,23.172,12,9,0.0,18.536,12.408,2.065,0.83,1.581,0.0
7.886,0,0,0,0,0.0,2,0,1,191.09,0,2,0,50.999,0,0.0,20.034,0.068,18.514,4.801,4.801,0,3.618,0,2,0,7.66,0,0.0,6.661,50.999,3.463,3.463,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.031,4.728,3.313,3.313,3.313,2,3.959,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,6,5.807,23.1,6,8,0.0,18.536,13.794,2.064,0.67,1.74,0.0
6.523,0,0,0,0,0.0,2,0,0,112.99,0,2,0,50.999,2,0.0,20.031,-0.096,18.511,4.801,4.801,0,2.687,0,0,0,7.661,0,0.0,6.661,50.999,3.517,3.517,4.661,4.661,0,0.0,4.661,4.661,4.661,0,0.063,4.728,3.313,3.313,3.313,2,3.909,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,6,5.807,23.101,6,2,0.0,18.532,7.509,2.058,1.0,0.832,0.0
8.046,0,0,0,0,0.0,2,0,0,182.22,0,2,0,50.999,0,0.0,20.06,-0.045,18.556,4.801,4.801,0,3.651,0,1,0,7.66,0,0.0,6.661,50.999,3.588,3.588,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.028,4.728,3.314,3.314,3.314,2,3.969,0.0,11.657,11.657,11.657,45.192,7.111,7.111,0,12,5.807,23.117,12,9,0.0,18.646,13.621,2.065,0.67,1.84,0.0
