pXC50,N.,nH,Si,nAT,Se,nN,nBT,H.,Sp,AMW,nCsp3,Sv,Mp,nAB,RBN,RBF,Mv,Me,nDB,nBM,nHet,nC
6.426,5.9,23,57.369,51,51.327,3,54,45.1,35.017,8.243,9,32.944,0.687,12,4,0.074,0.646,1.006,1,13,7,21
6.147,5.5,26,62.05,55,55.214,3,58,47.3,36.375,7.563,10,34.358,0.661,12,5,0.086,0.625,1.004,1,13,7,22
4.735,5.6,26,60.84,54,53.887,3,57,48.1,35.921,7.407,10,33.643,0.665,12,4,0.07,0.623,0.998,1,13,6,22
6.327,5.9,22,57.313,51,51.651,3,54,43.1,35.875,8.918,9,33.771,0.703,12,4,0.074,0.662,1.013,1,13,8,21
6.384,5.6,24,60.844,54,54.658,3,58,44.4,36.068,7.962,10,34.546,0.668,12,4,0.069,0.64,1.012,1,13,8,22
5.266,7.3,20,46.595,41,41.236,3,43,48.8,26.637,7.557,9,25.063,0.65,6,3,0.07,0.611,1.006,1,7,6,15
6.028,5.6,26,60.84,54,53.887,3,57,48.1,35.921,7.407,10,33.643,0.665,12,4,0.07,0.623,0.998,1,13,6,22
5.496,6.8,29,66.754,59,58.872,4,62,49.2,38.688,7.271,11,36.191,0.656,12,5,0.081,0.613,0.998,1,13,7,23
5.606,5.5,26,62.05,55,55.214,3,58,47.3,36.375,7.563,10,34.358,0.661,12,5,0.086,0.625,1.004,1,13,7,22
5.573,5.8,24,58.634,52,52.331,3,55,46.2,34.614,7.729,9,32.831,0.666,6,4,0.073,0.631,1.006,4,10,7,21
4.292,5.5,26,62.05,55,55.214,3,58,47.3,36.375,7.563,10,34.358,0.661,6,4,0.069,0.625,1.004,4,10,7,22
5.506,6.3,21,53.954,48,48.443,3,51,43.8,33.256,8.465,8,31.417,0.693,12,4,0.078,0.655,1.009,1,13,7,20
5.58,6.7,19,50.539,45,45.56,3,48,42.2,31.495,8.718,7,29.89,0.7,12,4,0.083,0.664,1.012,1,13,7,19
6.189,5.6,25,60.784,54,54.211,3,57,46.3,36.779,8.044,10,34.47,0.681,12,4,0.07,0.638,1.004,1,13,7,22
5.606,6.1,21,55.163,49,49.771,3,52,42.9,33.71,8.619,8,32.132,0.688,12,4,0.077,0.656,1.016,1,13,8,20
6.297,5.6,25,60.784,54,54.211,3,57,46.3,36.779,8.044,10,34.47,0.681,12,4,0.07,0.638,1.004,1,13,7,22
6.793,5.6,25,60.784,54,54.211,3,57,46.3,36.779,8.044,10,34.47,0.681,12,4,0.07,0.638,1.004,1,13,7,22
6.9,5.6,25,60.784,54,54.211,3,57,46.3,36.779,8.044,10,34.47,0.681,12,4,0.07,0.638,1.004,1,13,7,22
5.339,7.5,24,59.867,53,53.429,4,56,45.3,36.023,8.215,9,33.965,0.68,12,4,0.071,0.641,1.008,1,13,8,21
6.625,4.7,29,71.615,64,63.978,3,68,45.3,44.301,7.977,10,41.524,0.692,18,6,0.088,0.649,1.0,1,19,7,28
6.432,6.3,28,70.698,63,63.196,4,67,44.4,43.546,8.119,9,41.019,0.691,18,6,0.09,0.651,1.003,1,19,8,27
5.541,5.8,23,58.578,52,52.654,3,55,44.2,35.472,8.392,9,33.658,0.682,12,4,0.073,0.647,1.013,1,13,8,21
5.281,5.8,23,58.578,52,52.654,3,55,44.2,35.472,8.392,9,33.658,0.682,12,4,0.073,0.647,1.013,1,13,8,21
5.83,5.5,25,61.994,55,55.538,3,58,45.5,37.233,8.189,10,35.185,0.677,12,5,0.086,0.64,1.01,1,13,8,22
6.411,5.9,22,57.709,51,51.84,3,54,43.1,34.955,8.595,9,33.327,0.685,12,4,0.074,0.653,1.016,1,13,8,21
6.069,5.9,21,58.048,51,52.352,3,54,41.2,34.892,8.948,9,33.71,0.684,12,4,0.074,0.661,1.027,1,13,9,21
5.275,6.0,23,56.369,50,50.327,3,52,46.0,34.017,8.167,8,31.944,0.68,12,6,0.115,0.639,1.007,1,13,7,20
4.527,5.9,23,57.578,51,51.654,3,53,45.1,34.472,8.321,8,32.658,0.676,12,7,0.132,0.64,1.013,1,13,8,20
6.616,5.6,23,60.369,54,54.327,3,57,42.6,38.017,8.452,6,35.944,0.704,18,6,0.105,0.666,1.006,1,19,7,24
6.167,5.3,25,63.784,57,57.211,3,60,43.9,39.779,8.253,7,37.47,0.698,18,7,0.117,0.657,1.004,1,19,7,25
4.939,5.9,21,56.954,51,51.443,3,54,41.2,36.256,8.674,5,34.417,0.711,18,6,0.111,0.675,1.009,1,19,7,23
5.267,4.7,27,71.199,64,64.094,3,68,42.2,45.54,8.32,6,42.997,0.712,24,8,0.118,0.672,1.001,1,25,7,30
5.399,5.8,21,57.954,52,52.443,3,56,40.4,37.256,8.738,6,35.417,0.716,18,4,0.071,0.681,1.009,1,19,7,24
6.275,5.5,23,61.369,55,55.327,3,59,41.8,39.017,8.517,7,36.944,0.709,18,4,0.068,0.672,1.006,1,19,7,25
5.344,5.6,23,60.369,54,54.327,3,57,42.6,38.017,8.452,6,35.944,0.704,18,6,0.105,0.666,1.006,1,19,7,24
7.027,5.6,23,60.369,54,54.327,3,57,42.6,38.017,8.452,6,35.944,0.704,18,6,0.105,0.666,1.006,1,19,7,24
4.602,1.3,43,85.846,76,74.639,1,76,56.6,47.359,5.97,14,43.229,0.623,6,18,0.237,0.569,0.982,5,11,4,29
4.602,1.3,47,89.676,79,77.407,1,79,59.5,47.881,5.643,19,43.282,0.606,6,20,0.253,0.548,0.98,2,8,4,28
4.602,1.3,47,89.676,79,77.407,1,79,59.5,47.881,5.643,19,43.282,0.606,6,20,0.253,0.548,0.98,2,8,4,28
4.602,1.3,45,85.052,75,73.196,1,75,60.0,45.665,5.543,18,41.041,0.609,6,19,0.253,0.547,0.976,2,8,3,27
4.602,2.6,44,88.135,78,76.414,2,79,56.4,48.91,5.958,15,44.535,0.627,6,16,0.203,0.571,0.98,5,11,4,30
4.602,1.4,41,78.221,69,67.428,1,69,59.4,42.143,5.618,16,37.987,0.611,6,17,0.246,0.551,0.977,2,8,3,25
4.602,2.6,43,87.265,77,75.599,2,78,55.8,48.393,6.062,15,44.204,0.628,6,15,0.192,0.574,0.982,5,11,4,30
4.0,0.0,16,39.95,36,36.051,0,38,44.4,24.455,7.454,4,23.359,0.679,12,6,0.158,0.649,1.001,1,13,3,17
4.0,0.0,18,43.365,39,38.934,0,41,46.2,26.216,7.24,5,24.886,0.672,12,7,0.171,0.638,0.998,1,13,3,18
4.0,0.0,20,46.78,42,41.818,0,44,47.6,27.978,7.057,6,26.412,0.666,12,8,0.182,0.629,0.996,1,13,3,19
5.583,0.0,22,50.195,45,44.702,0,47,48.9,29.739,6.898,7,27.939,0.661,12,9,0.191,0.621,0.993,1,13,3,20
5.738,0.0,24,53.611,48,47.585,0,50,50.0,31.5,6.759,8,29.466,0.656,12,10,0.2,0.614,0.991,1,13,3,21
4.0,0.0,26,57.026,51,50.469,0,53,51.0,33.262,6.637,9,30.993,0.652,12,11,0.208,0.608,0.99,1,13,3,22
4.0,0.0,22,50.195,45,44.702,0,47,48.9,29.739,6.898,7,27.939,0.661,12,6,0.128,0.621,0.993,1,13,3,20
4.0,0.0,24,53.611,48,47.585,0,50,50.0,31.5,6.759,8,29.466,0.656,12,7,0.14,0.614,0.991,1,13,3,21
4.0,0.0,28,60.441,54,53.352,0,56,51.9,35.023,6.528,10,32.52,0.649,12,9,0.161,0.602,0.988,1,13,3,23
4.0,0.0,30,63.856,57,56.236,0,59,52.6,36.785,6.431,11,34.046,0.645,12,10,0.169,0.597,0.987,1,13,3,24
4.0,0.0,32,67.271,60,59.12,0,62,53.3,38.546,6.343,12,35.573,0.642,12,11,0.177,0.593,0.985,1,13,3,25
4.0,0.0,24,54.611,49,48.585,0,51,49.0,32.5,6.867,7,30.466,0.663,12,7,0.137,0.622,0.992,2,14,3,22
4.0,0.0,24,54.611,49,48.585,0,51,49.0,32.5,6.867,7,30.466,0.663,12,7,0.137,0.622,0.992,2,14,3,22
4.99,0.0,18,43.365,39,38.934,0,41,46.2,26.216,7.24,5,24.886,0.672,12,7,0.171,0.638,0.998,1,13,3,18
4.726,0.0,20,46.78,42,41.818,0,44,47.6,27.978,7.057,6,26.412,0.666,12,8,0.182,0.629,0.996,1,13,3,19
5.099,0.0,22,50.195,45,44.702,0,47,48.9,29.739,6.898,7,27.939,0.661,12,9,0.191,0.621,0.993,1,13,3,20
4.0,0.0,18,43.365,39,38.934,0,41,46.2,26.216,7.24,5,24.886,0.672,12,7,0.171,0.638,0.998,1,13,3,18
4.0,0.0,24,53.611,48,47.585,0,50,50.0,31.5,6.759,8,29.466,0.656,12,7,0.14,0.614,0.991,1,13,3,21
4.0,0.0,26,57.026,51,50.469,0,53,51.0,33.262,6.637,9,30.993,0.652,12,8,0.151,0.608,0.99,1,13,3,22
4.0,0.0,28,60.441,54,53.352,0,56,51.9,35.023,6.528,10,32.52,0.649,12,9,0.161,0.602,0.988,1,13,3,23
5.31,0.0,24,53.611,48,47.585,0,50,50.0,31.5,6.759,8,29.466,0.656,12,10,0.2,0.614,0.991,1,13,3,21
5.291,0.0,24,53.611,48,47.585,0,50,50.0,31.5,6.759,8,29.466,0.656,12,10,0.2,0.614,0.991,1,13,3,21
6.169,0.0,18,43.365,39,38.934,0,41,46.2,26.216,7.24,5,24.886,0.672,12,7,0.171,0.638,0.998,1,13,3,18
4.153,0.0,18,43.365,39,38.934,0,41,46.2,26.216,7.24,5,24.886,0.672,12,7,0.171,0.638,0.998,1,13,3,18
5.817,0.0,26,57.235,51,50.796,0,52,51.0,32.716,6.715,8,30.708,0.641,12,11,0.212,0.602,0.996,1,13,4,21
4.0,0.0,20,46.99,42,42.145,0,43,47.6,27.432,7.152,5,26.127,0.653,12,8,0.186,0.622,1.003,1,13,4,18
4.301,1.3,44,86.982,77,75.592,1,77,57.1,49.779,7.398,18,44.072,0.646,6,19,0.247,0.572,0.982,3,9,5,28
4.301,1.1,47,101.398,90,89.592,1,91,52.2,58.268,7.03,18,53.894,0.647,12,23,0.253,0.599,0.995,4,16,8,35
6.886,0.0,11,28.439,26,25.844,0,27,42.3,18.818,7.617,0,31.873,0.724,12,2,0.074,0.638,0.994,0,12,3,12
5.194,3.2,32,70.853,63,62.44,2,65,50.8,40.796,6.676,10,38.089,0.648,16,13,0.2,0.605,0.991,2,18,5,26
5.886,0.0,11,24.439,22,21.844,0,22,50.0,14.818,6.818,2,31.873,0.674,6,3,0.136,0.638,0.993,0,6,3,8
4.301,1.3,44,87.205,77,75.847,1,77,57.1,47.978,6.21,18,43.583,0.623,6,19,0.247,0.566,0.985,3,9,5,28
5.036,2.7,36,84.102,75,74.861,2,78,48.0,49.228,7.049,10,46.572,0.656,18,14,0.179,0.621,0.998,3,21,7,32
5.368,2.7,36,83.102,74,73.861,2,77,48.6,48.228,6.982,11,45.572,0.652,18,14,0.182,0.616,0.998,2,20,7,31
5.441,2.6,38,86.517,77,76.745,2,80,49.4,49.989,6.892,12,47.099,0.649,18,15,0.188,0.612,0.997,2,20,7,32
6.553,2.7,36,84.102,75,74.861,2,78,48.0,49.228,7.049,10,46.572,0.656,18,15,0.192,0.621,0.998,3,21,7,32
5.497,3.6,43,95.055,84,83.941,3,87,51.2,52.972,6.735,16,49.889,0.631,12,17,0.195,0.594,0.999,3,15,9,32
6.432,3.8,37,89.6,80,79.963,3,84,46.3,53.233,7.247,10,50.594,0.665,24,15,0.179,0.632,1.0,2,26,8,35
5.467,4.5,44,100.554,89,89.043,4,93,49.4,56.978,6.931,16,53.91,0.64,18,17,0.183,0.606,1.0,2,20,10,35
4.301,5.5,35,82.404,73,73.25,4,74,47.9,49.137,8.693,12,45.405,0.673,12,18,0.243,0.622,1.003,5,17,10,28
5.553,1.6,31,69.564,62,61.665,1,64,50.0,40.245,6.8,10,37.783,0.649,16,13,0.203,0.609,0.995,2,18,5,26
4.301,1.4,37,80.019,71,70.643,1,72,52.1,44.983,6.587,12,42.078,0.634,12,17,0.236,0.593,0.995,3,15,6,28
5.0,1.6,33,70.77,63,62.221,1,65,52.4,40.552,6.47,11,37.595,0.644,16,13,0.2,0.597,0.988,1,17,4,26
5.0,3.3,30,67.228,60,59.229,2,62,50.0,39.58,6.71,10,36.848,0.66,16,12,0.194,0.614,0.987,1,18,4,26
5.0,1.6,31,69.564,62,61.665,1,64,50.0,40.245,6.8,10,37.783,0.649,16,13,0.203,0.609,0.995,2,18,5,26
5.398,11.9,13,46.83,42,43.505,5,45,31.0,31.188,10.179,1,30.448,0.743,22,7,0.156,0.725,1.036,2,24,11,18
5.398,5.1,16,43.242,39,39.12,2,41,41.0,27.898,8.319,2,26.347,0.715,16,4,0.098,0.676,1.003,2,18,5,18
6.575,2.1,23,52.484,47,46.476,1,49,48.9,31.29,6.839,6,29.246,0.666,12,5,0.102,0.622,0.989,2,14,3,21
6.161,8.9,18,49.74,45,44.745,4,48,40.0,33.648,8.679,2,31.147,0.748,22,5,0.104,0.692,0.994,1,23,6,21
4.658,4.4,20,50.202,45,45.291,2,46,44.4,31.523,8.368,5,29.303,0.701,11,10,0.217,0.651,1.006,3,14,7,18
5.699,0.0,9,22.234,20,20.287,0,20,45.0,13.511,7.599,1,31.873,0.676,6,2,0.1,0.638,1.014,0,6,4,7
5.585,0.0,7,17.609,16,16.076,0,16,43.8,11.295,7.621,0,31.873,0.706,6,1,0.063,0.638,1.005,0,6,3,6
5.252,7.0,20,48.385,43,42.909,3,45,46.5,29.182,7.671,5,27.348,0.679,12,3,0.067,0.636,0.998,1,13,5,18
5.0,7.0,20,48.781,43,43.098,3,45,46.5,28.262,7.289,5,26.904,0.657,12,3,0.067,0.626,1.002,1,13,5,18
5.0,7.0,20,48.781,43,43.098,3,45,46.5,28.262,7.289,5,26.904,0.657,12,3,0.067,0.626,1.002,1,13,5,18
5.0,9.1,20,49.524,44,43.803,4,46,45.5,29.569,7.282,5,28.015,0.672,12,3,0.065,0.637,0.996,1,14,5,19
5.115,9.1,20,49.524,44,43.803,4,46,45.5,29.569,7.282,5,28.015,0.672,12,3,0.065,0.637,0.996,1,14,5,19
6.081,6.5,20,52.875,46,47.007,3,48,43.5,29.898,7.9,6,29.197,0.65,12,3,0.063,0.635,1.022,1,13,7,19
6.585,6.5,20,52.875,46,47.007,3,48,43.5,29.898,7.9,6,29.197,0.65,12,3,0.063,0.635,1.022,1,13,7,19
5.0,6.4,23,53.066,47,46.796,3,49,48.9,30.54,6.924,6,28.762,0.65,12,4,0.082,0.612,0.996,1,13,5,19
5.0,6.4,23,53.066,47,46.796,3,49,48.9,30.54,6.924,6,28.762,0.65,12,4,0.082,0.612,0.996,1,13,5,19
5.176,5.6,25,60.481,54,53.68,3,57,46.3,36.302,7.176,5,34.289,0.672,18,5,0.088,0.635,0.994,1,19,5,24
5.0,5.6,25,60.481,54,53.68,3,57,46.3,36.302,7.176,5,34.289,0.672,18,5,0.088,0.635,0.994,1,19,5,24
6.523,5.6,24,60.425,54,54.003,3,57,44.4,37.159,7.814,5,35.116,0.688,18,5,0.088,0.65,1.0,1,19,6,24
5.398,5.6,24,60.425,54,54.003,3,57,44.4,37.159,7.814,5,35.116,0.688,18,5,0.088,0.65,1.0,1,19,6,24
6.194,5.3,27,63.896,57,56.563,3,60,47.4,38.063,7.045,6,35.815,0.668,18,5,0.083,0.628,0.992,1,19,5,25
6.876,5.2,27,65.106,58,57.891,3,61,46.6,38.517,7.199,6,36.53,0.664,18,6,0.098,0.63,0.998,1,19,6,25
7.125,4.5,33,74.142,66,65.214,3,69,50.0,43.347,6.722,9,40.396,0.657,18,6,0.087,0.612,0.988,1,19,5,28
6.284,7.5,23,59.508,53,53.222,4,56,43.4,36.404,7.98,5,34.611,0.687,18,5,0.089,0.653,1.004,1,19,7,23
7.481,7.5,23,59.508,53,53.222,4,56,43.4,36.404,7.98,5,34.611,0.687,18,5,0.089,0.653,1.004,1,19,7,23
6.328,7.5,23,59.508,53,53.222,4,56,43.4,36.404,7.98,5,34.611,0.687,18,5,0.089,0.653,1.004,1,19,7,23
5.824,9.6,22,58.591,52,52.44,5,55,42.3,35.648,8.153,5,34.105,0.686,18,5,0.091,0.656,1.008,1,19,8,22
6.614,6.3,22,54.117,48,48.352,3,50,45.8,32.347,8.757,6,30.502,0.674,12,4,0.08,0.635,1.007,1,13,7,19
5.0,7.0,20,48.385,43,42.909,3,45,46.5,29.182,7.671,5,27.348,0.679,12,3,0.067,0.636,0.998,1,13,5,18
4.488,2.1,20,53.223,48,48.243,1,51,41.7,33.841,8.206,4,32.261,0.705,21,5,0.098,0.672,1.005,1,22,5,23
4.51,2.3,15,47.732,43,43.989,1,46,34.9,31.256,9.205,2,30.591,0.727,21,3,0.065,0.711,1.023,2,23,6,22
4.975,2.1,18,52.017,47,47.687,1,50,38.3,33.534,8.678,3,32.449,0.713,21,4,0.08,0.69,1.015,2,23,6,23
4.697,2.3,15,47.336,43,43.8,1,46,34.9,32.176,9.588,2,31.035,0.748,21,3,0.065,0.722,1.019,2,23,6,22
4.225,2.3,15,47.336,43,43.8,1,46,34.9,32.176,9.588,2,31.035,0.748,21,3,0.065,0.722,1.019,2,23,6,22
4.0,2.3,14,47.28,43,44.124,1,46,32.6,33.034,10.389,2,31.863,0.768,21,3,0.065,0.741,1.026,2,23,7,22
4.072,5.1,13,43.269,39,40.138,2,42,33.3,28.256,9.456,2,27.89,0.725,20,3,0.071,0.715,1.029,2,22,7,19
5.252,7.5,14,44.558,40,40.913,3,43,35.0,28.807,9.195,2,28.197,0.72,20,3,0.07,0.705,1.023,2,22,7,19
4.0,5.1,13,42.98,39,39.887,2,42,33.3,29.449,9.868,2,28.363,0.755,20,3,0.071,0.727,1.023,2,22,7,19
4.192,3.2,12,34.352,31,31.382,1,33,38.7,22.341,8.83,2,21.439,0.721,15,2,0.061,0.692,1.012,1,16,4,15
4.0,3.2,12,34.352,31,31.382,1,33,38.7,22.341,8.83,2,21.439,0.721,15,2,0.061,0.692,1.012,1,16,4,15
4.0,2.3,15,47.336,43,43.8,1,46,34.9,32.176,9.588,2,31.035,0.748,21,3,0.065,0.722,1.019,2,23,6,22
4.827,2.3,15,47.336,43,43.8,1,46,34.9,32.176,9.588,2,31.035,0.748,21,3,0.065,0.722,1.019,2,23,6,22
4.0,5.1,13,43.269,39,40.138,2,42,33.3,28.256,9.456,2,27.89,0.725,20,3,0.071,0.715,1.029,2,22,7,19
4.274,5.1,13,43.269,39,40.138,2,42,33.3,28.256,9.456,2,27.89,0.725,20,3,0.071,0.715,1.029,2,22,7,19
4.81,2.9,14,37.768,34,34.265,1,36,41.2,24.102,8.464,3,22.966,0.709,15,2,0.056,0.675,1.008,1,16,4,16
4.633,2.3,18,48.598,44,44.033,1,47,40.9,31.625,8.27,3,30.02,0.719,21,4,0.085,0.682,1.001,1,22,4,22
4.476,4.4,17,49.681,45,45.251,2,48,37.8,32.87,8.642,3,31.514,0.73,21,4,0.083,0.7,1.006,1,23,5,23
4.991,2.3,17,48.542,44,44.356,1,47,38.6,32.483,9.052,3,30.847,0.738,21,4,0.085,0.701,1.008,1,22,5,22
5.076,2.1,20,53.223,48,48.243,1,51,41.7,33.841,8.206,4,32.261,0.705,21,5,0.098,0.672,1.005,1,22,5,23
4.0,2.1,20,53.223,48,48.243,1,51,41.7,33.841,8.206,4,32.261,0.705,21,5,0.098,0.672,1.005,1,22,5,23
4.298,1.9,24,58.182,52,52.414,1,54,46.2,35.466,8.115,8,33.217,0.682,15,8,0.148,0.639,1.008,3,18,7,21
5.495,3.8,25,59.551,53,53.112,2,55,47.2,35.37,7.565,8,33.336,0.667,15,7,0.127,0.629,1.002,2,17,6,22
4.0,5.3,15,42.475,38,38.694,2,40,39.5,26.563,8.705,3,25.702,0.699,15,2,0.05,0.676,1.018,2,17,6,17
4.0,4.3,21,52.721,47,47.345,2,49,44.7,31.847,7.934,6,30.283,0.678,15,5,0.102,0.644,1.007,2,17,6,20
4.572,3.4,29,66.382,59,58.88,2,61,49.2,38.892,7.271,10,36.39,0.659,15,9,0.148,0.617,0.998,2,17,6,24
4.0,3.6,27,62.966,56,55.996,2,58,48.2,37.131,7.41,9,34.863,0.663,15,7,0.121,0.623,1.0,2,17,6,23
4.0,3.9,23,57.136,51,51.229,2,54,45.1,34.608,7.822,8,32.81,0.679,15,3,0.056,0.643,1.004,2,17,6,22
4.5,1.9,24,58.262,52,52.338,1,54,46.2,34.818,7.729,8,33.03,0.67,15,8,0.148,0.635,1.006,2,17,6,22
4.0,2.8,14,39.977,36,36.593,1,38,38.9,25.557,8.771,3,24.681,0.71,15,2,0.053,0.686,1.016,2,17,5,17
4.595,2.3,16,47.392,43,43.476,1,46,37.2,31.318,8.787,2,30.208,0.728,21,3,0.065,0.703,1.011,2,23,5,22
4.658,2.3,15,47.336,43,43.8,1,46,34.9,32.176,9.588,2,31.035,0.748,21,3,0.065,0.722,1.019,2,23,6,22
5.337,3.2,13,34.408,31,31.058,1,33,41.9,21.483,7.719,2,20.612,0.693,15,2,0.061,0.665,1.002,1,16,3,15
4.656,2.9,14,37.768,34,34.265,1,36,41.2,24.102,8.464,3,22.966,0.709,15,3,0.083,0.675,1.008,1,16,4,16
4.0,5.1,17,43.681,39,39.251,2,41,43.6,26.87,8.123,4,25.514,0.689,15,4,0.098,0.654,1.006,1,16,5,17
5.538,4.8,17,46.472,42,41.923,2,45,40.5,30.415,8.306,2,28.8,0.724,21,3,0.067,0.686,0.998,1,22,4,21
9.222,4.0,24,55.983,50,49.578,2,52,48.0,33.296,6.97,7,31.267,0.666,17,9,0.173,0.625,0.992,1,18,4,22
8.097,3.8,24,59.401,53,53.232,2,55,45.3,35.205,7.405,7,33.697,0.664,17,11,0.2,0.636,1.004,2,19,6,23
7.769,4.0,22,55.986,50,50.349,2,52,44.0,33.443,7.569,6,32.17,0.669,17,10,0.192,0.643,1.007,2,19,6,22
5.602,2.6,19,42.654,38,37.709,1,39,50.0,24.767,6.773,6,23.192,0.652,11,8,0.205,0.61,0.992,1,12,3,16
7.276,10.7,23,63.089,56,56.542,6,60,41.1,38.654,8.267,5,37.127,0.69,22,5,0.083,0.663,1.01,1,23,9,24
6.886,3.8,24,59.401,53,53.232,2,55,45.3,35.205,7.405,7,33.697,0.664,17,11,0.2,0.636,1.004,2,19,6,23
9.097,3.9,24,57.192,51,50.905,2,53,47.1,33.75,7.147,7,31.982,0.662,17,10,0.189,0.627,0.998,1,18,5,22
6.046,2.4,19,46.073,41,41.363,1,42,46.3,26.676,7.35,6,25.622,0.651,11,9,0.214,0.625,1.009,2,13,5,17
7.602,9.1,22,61.511,55,55.516,5,59,40.0,39.296,8.728,5,37.292,0.714,22,5,0.085,0.678,1.009,1,23,9,24
5.222,8.8,24,64.006,57,57.323,5,61,42.1,39.409,8.105,5,37.632,0.691,22,5,0.082,0.66,1.006,1,23,8,25
6.699,6.8,25,66.133,59,59.432,4,63,42.4,40.62,8.085,6,38.852,0.688,22,5,0.079,0.659,1.007,1,23,8,26
8.081,6.8,25,65.923,59,59.105,4,63,42.4,41.165,8.017,5,39.137,0.698,23,5,0.079,0.663,1.002,1,24,7,27
7.678,8.8,24,64.006,57,57.323,5,61,42.1,39.409,8.105,5,37.632,0.691,22,5,0.082,0.66,1.006,1,23,8,25
5.959,8.8,24,64.006,57,57.323,5,61,42.1,39.409,8.105,5,37.632,0.691,22,5,0.082,0.66,1.006,1,23,8,25
8.092,7.1,23,62.717,56,56.549,4,60,41.1,38.858,8.267,5,37.325,0.694,22,5,0.083,0.667,1.01,1,23,8,25
7.854,9.1,22,61.801,55,55.767,5,59,40.0,38.102,8.436,5,36.82,0.693,22,5,0.085,0.669,1.014,1,23,9,24
9.155,9.1,22,61.801,55,55.767,5,59,40.0,38.102,8.436,5,36.82,0.693,22,5,0.085,0.669,1.014,1,23,9,24
5.658,9.1,22,61.801,55,55.767,5,59,40.0,38.102,8.436,5,36.82,0.693,22,5,0.085,0.669,1.014,1,23,9,24
7.658,9.1,22,61.801,55,55.767,5,59,40.0,38.102,8.436,5,36.82,0.693,22,5,0.085,0.669,1.014,1,23,9,24
6.921,8.8,24,64.006,57,57.323,5,61,42.1,39.409,8.105,5,37.632,0.691,22,5,0.082,0.66,1.006,1,23,8,25
5.0,8.8,24,64.006,57,57.323,5,61,42.1,39.409,8.105,5,37.632,0.691,22,5,0.082,0.66,1.006,1,23,8,25
5.456,8.8,24,64.006,57,57.323,5,61,42.1,39.409,8.105,5,37.632,0.691,22,5,0.082,0.66,1.006,1,23,8,25
5.585,8.8,24,64.006,57,57.323,5,61,42.1,39.409,8.105,5,37.632,0.691,22,5,0.082,0.66,1.006,1,23,8,25
5.444,8.8,24,64.006,57,57.323,5,61,42.1,39.409,8.105,5,37.632,0.691,22,5,0.082,0.66,1.006,1,23,8,25
8.244,8.8,24,64.006,57,57.323,5,61,42.1,39.409,8.105,5,37.632,0.691,22,5,0.082,0.66,1.006,1,23,8,25
6.328,10.7,23,63.089,56,56.542,6,60,41.1,38.654,8.267,5,37.127,0.69,22,5,0.083,0.663,1.01,1,23,9,24
7.62,10.7,23,63.089,56,56.542,6,60,41.1,38.654,8.267,5,37.127,0.69,22,5,0.083,0.663,1.01,1,23,9,24
5.62,10.7,23,63.089,56,56.542,6,60,41.1,38.654,8.267,5,37.127,0.69,22,5,0.083,0.663,1.01,1,23,9,24
6.824,9.6,22,58.591,52,52.44,5,55,42.3,35.648,8.153,5,34.105,0.686,18,5,0.091,0.656,1.008,1,19,8,22
7.032,9.6,22,58.591,52,52.44,5,55,42.3,35.648,8.153,5,34.105,0.686,18,5,0.091,0.656,1.008,1,19,8,22
6.824,9.8,22,57.591,51,51.44,5,54,43.1,34.648,8.077,5,33.105,0.679,17,5,0.093,0.649,1.009,1,18,8,21
7.337,14.3,20,55.757,49,49.876,7,52,40.8,33.137,8.447,5,32.095,0.676,17,5,0.096,0.655,1.018,1,18,10,19
6.143,8.0,21,56.302,50,50.665,4,53,42.0,34.097,8.258,5,32.799,0.682,17,5,0.094,0.656,1.013,1,18,8,21
7.699,8.0,20,56.246,50,50.989,4,53,40.0,34.955,8.947,5,33.626,0.699,17,5,0.094,0.673,1.02,1,18,9,21
6.921,9.1,22,61.801,55,55.767,5,59,40.0,38.102,8.436,5,36.82,0.693,22,5,0.085,0.669,1.014,1,23,9,24
8.171,5.1,18,43.737,39,38.927,2,40,46.2,26.012,7.24,6,24.687,0.667,11,8,0.2,0.633,0.998,1,13,4,17
7.523,2.3,21,49.488,44,44.247,1,45,47.7,28.438,7.168,7,27.149,0.646,11,10,0.222,0.617,1.006,2,13,5,18
7.097,2.4,21,46.069,41,40.592,1,42,51.2,26.529,6.619,7,24.719,0.647,11,8,0.19,0.603,0.99,1,12,3,17
4.745,1.3,43,87.055,77,75.967,1,78,55.8,47.813,6.1,16,43.943,0.621,12,18,0.231,0.571,0.987,1,13,5,29
4.301,1.3,43,87.055,77,75.967,1,78,55.8,47.813,6.1,16,43.943,0.621,12,18,0.231,0.571,0.987,1,13,5,29
7.886,4.7,17,47.681,43,43.251,2,45,39.5,30.87,8.485,4,29.514,0.718,17,6,0.133,0.686,1.006,1,19,5,21
8.155,4.7,17,47.681,43,43.251,2,45,39.5,30.87,8.485,4,29.514,0.718,17,6,0.133,0.686,1.006,1,19,5,21
8.301,4.7,16,47.625,43,43.574,2,45,37.2,31.727,9.286,4,30.342,0.738,17,6,0.133,0.706,1.013,1,19,6,21
7.222,4.4,20,50.362,45,45.138,2,47,44.4,30.228,7.476,5,28.928,0.672,17,9,0.191,0.643,1.003,1,18,5,20
7.602,4.1,20,54.571,49,49.465,2,51,40.8,33.682,7.928,5,32.643,0.687,17,8,0.157,0.666,1.009,2,20,6,23
