pXC50,SsssCH,CATS2D_09_AA,CATS2D_07_AA,CATS2D_04_DL,MATS7e,MATS5e,GATS8s,Eig02_AEA.dm.,SpAD_EA.dm.,ATSC8s,MATS7s,SpMAD_EA.dm.,ATSC6e,GATS8e,SpMax4_Bh.e.,MATS3i,ATSC6s,CATS2D_06_AL,ATSC5s,SpMin2_Bh.e.,SsssN,CATS2D_06_AA,SpMin5_Bh.s.,SpMax4_Bh.v.,SaaS,SpMaxA_EA,SpMax4_Bh.m.,SssssC,SM08_EA.dm.,SM10_EA.dm.,GATS7e,ATSC7s,SpMaxA_EA.ed.,SaaaC,SM06_EA.dm.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,Eig05_EA.ri.,MATS8p,MATS5s,ATS7m,Eig10_EA.ri.,HDcpx,IDM,Psi_e_0,Psi_e_1,Eig09_EA.bo.,GATS7s,C.008,MATS8i,Eig11_EA.ri.,MAXDP,SM02_EA.dm.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,ON1,SpMax4_Bh.p.,GATS4v,Eig09_AEA.bo.,IDE
7.4,-2.468,0,0,4,-0.117,0.162,1.304,3.8,15.748,133.384,-0.118,0.463,0.474,1.27,3.654,0.03,84.388,6,172.239,1.905,0.0,0,0.939,3.496,0.0,0.09,3.573,0.0,7.997,9.716,1.336,118.629,0.303,1.948,6.32,4.139,6.139,4.139,2.266,-0.034,0.186,3.918,1.146,1.742,8.683,11.906,5.099,1.698,1.457,3,-0.031,1.042,5.534,3.342,16.672,16.672,16.672,16.672,16.672,7.222,3.486,1.002,2.774,3.937
7.4,-1.609,0,0,4,-0.015,0.091,1.483,3.662,10.902,110.469,-0.017,0.33,0.415,1.373,3.654,0.036,69.271,4,149.502,1.905,0.0,0,0.941,3.489,0.0,0.093,3.55,0.0,6.171,7.468,1.134,91.546,0.312,2.191,4.918,3.806,5.806,3.806,2.21,-0.028,0.099,3.852,1.139,1.732,8.582,11.545,4.902,1.69,1.191,3,-0.032,1.022,5.526,2.799,16.244,16.244,16.244,16.244,16.244,6.889,3.485,0.981,2.664,3.941
7.9,-1.224,2,0,4,-0.16,0.091,1.278,3.707,11.781,121.381,-0.158,0.281,0.604,1.319,3.772,-0.059,90.117,9,141.51,1.904,1.665,1,0.993,3.634,0.0,0.074,3.693,0.0,6.229,7.543,1.742,140.022,0.247,1.969,4.958,3.868,5.868,3.868,2.495,-0.073,0.15,4.369,1.501,1.797,9.29,14.563,6.22,2.239,1.964,2,0.01,1.393,6.457,2.837,20.683,20.683,20.683,20.683,20.683,8.611,3.623,0.933,3.046,3.988
9.3,-2.968,0,0,7,-0.234,0.208,1.167,3.784,22.473,232.106,-0.181,0.468,0.99,1.164,3.796,-0.01,145.652,13,234.835,1.925,1.422,0,1.001,3.627,0.0,0.064,3.719,0.0,7.065,8.37,1.693,174.319,0.215,1.795,5.794,3.873,5.873,3.873,2.569,-0.055,0.226,4.612,1.726,1.834,9.72,16.962,7.347,2.318,1.743,3,-0.044,1.501,6.8,3.528,23.646,23.646,23.646,23.646,23.646,10.028,3.605,0.959,3.046,4.086
8.0,0.03,0,3,3,0.054,0.035,0.86,3.686,10.227,84.714,0.048,0.244,0.544,0.869,3.747,-0.064,88.817,7,84.009,1.938,4.088,0,0.961,3.612,0.0,0.082,3.675,-0.792,5.285,6.514,0.918,114.902,0.314,0.0,4.128,3.8,5.8,3.8,2.282,-0.013,0.007,4.407,1.367,1.797,9.288,14.52,6.2,2.171,0.871,0,0.004,1.223,6.311,2.49,20.663,20.663,20.663,20.663,20.663,8.528,3.615,1.044,3.047,3.994
8.5,0.037,1,1,2,-0.001,-0.003,0.871,3.708,9.509,76.174,-0.057,0.232,0.549,0.848,3.747,-0.099,94.785,7,80.717,1.937,4.1,0,0.96,3.612,0.0,0.084,3.746,-0.786,4.979,6.007,0.945,82.566,0.322,0.0,3.992,3.8,5.8,3.8,2.265,-0.098,0.023,4.395,1.308,1.792,9.218,14.102,5.993,1.98,0.962,0,-0.06,1.21,6.359,2.466,20.122,20.122,20.122,20.122,20.122,8.472,3.615,1.021,2.878,3.92
8.0,0.003,0,1,3,0.012,-0.014,0.934,3.718,11.191,92.77,-0.032,0.26,0.77,0.892,3.747,-0.096,123.206,7,86.517,1.938,4.061,2,0.961,3.612,0.0,0.08,3.886,-0.8,6.035,7.437,0.931,105.331,0.307,0.0,4.69,3.8,5.8,3.8,2.28,-0.036,-0.001,4.658,1.387,1.804,9.368,14.91,6.376,2.02,0.952,0,-0.044,1.303,6.513,2.644,21.067,21.067,21.067,21.067,21.067,8.889,3.615,1.029,2.882,3.982
8.5,-0.073,1,1,2,-0.082,0.111,0.736,3.8,11.34,88.93,-0.121,0.277,0.694,0.778,3.747,-0.134,101.893,7,160.707,1.943,3.853,0,0.96,3.613,0.0,0.084,3.679,-0.822,7.797,9.67,1.038,134.426,0.322,0.0,5.962,3.846,5.846,3.846,2.279,-0.054,0.132,4.354,1.311,1.792,9.219,14.176,6.167,1.979,1.076,0,-0.05,1.21,6.206,2.845,20.13,20.13,20.13,20.13,20.13,8.333,3.615,1.064,2.877,3.902
9.1,0.081,0,1,3,-0.027,0.006,0.898,3.683,6.115,70.768,-0.065,0.157,0.526,0.875,3.747,-0.126,81.636,6,67.018,1.937,4.146,0,0.96,3.612,0.0,0.088,3.673,-0.771,2.046,2.289,1.062,79.94,0.338,0.0,1.851,3.8,5.8,3.8,2.277,-0.087,-0.004,4.309,1.216,1.778,9.056,13.389,5.734,1.95,1.086,0,-0.037,1.192,6.056,1.793,19.146,19.146,19.146,19.146,19.146,7.861,3.615,1.063,2.821,3.895
8.0,0.062,0,1,2,0.01,0.001,0.858,3.683,9.509,81.32,-0.009,0.232,0.532,0.894,3.747,-0.091,83.361,6,75.893,1.937,4.133,2,0.96,3.613,0.0,0.084,3.767,-0.78,4.979,6.007,0.988,81.06,0.322,0.0,3.992,3.8,5.8,3.8,2.281,-0.067,-0.009,4.371,1.217,1.79,9.207,14.092,5.978,1.988,0.97,0,-0.031,1.193,6.188,2.466,20.111,20.111,20.111,20.111,20.111,8.444,3.615,1.039,2.942,4.003
8.55,-0.008,0,5,2,0.16,-0.01,0.643,3.78,11.34,80.918,0.148,0.277,0.659,0.737,3.747,-0.126,89.18,6,103.465,1.942,3.985,2,0.961,3.613,0.0,0.084,3.69,-0.807,7.797,9.67,0.695,145.822,0.322,0.0,5.962,3.8,5.8,3.8,2.283,-0.083,-0.019,4.39,1.25,1.79,9.209,14.143,6.122,1.983,0.629,0,-0.038,1.205,6.097,2.845,20.114,20.114,20.114,20.114,20.114,8.306,3.616,1.077,2.906,3.983
9.4,0.064,0,1,3,0.018,-0.031,0.834,3.702,6.115,67.988,-0.031,0.157,0.508,0.832,3.747,-0.134,79.09,6,77.397,1.937,4.113,0,0.96,3.612,0.0,0.088,3.672,-0.775,2.046,2.289,0.919,78.066,0.338,0.0,1.851,3.8,5.8,3.8,2.25,-0.055,-0.027,4.308,1.304,1.778,9.059,13.397,5.748,1.956,0.922,0,-0.05,1.21,6.126,1.793,19.146,19.146,19.146,19.146,19.146,7.889,3.615,1.074,2.845,3.861
9.4,0.074,0,1,3,-0.032,0.059,0.786,3.684,6.115,69.5,-0.087,0.157,0.532,0.782,3.747,-0.126,79.695,6,79.338,1.937,4.133,0,0.96,3.612,0.0,0.088,3.672,-0.773,2.046,2.289,1.011,79.335,0.338,0.0,1.851,3.8,5.8,3.8,2.272,-0.006,0.058,4.299,1.223,1.778,9.058,13.392,5.739,1.95,1.031,0,-0.01,1.198,6.082,1.793,19.163,19.163,19.163,19.163,19.163,7.861,3.615,1.049,2.821,3.876
9.7,0.0,0,0,0,-0.029,0.077,0.572,3.591,9.22,42.874,-0.05,0.288,0.535,0.622,3.548,-0.03,73.98,4,74.229,1.922,2.417,1,0.825,3.412,0.0,0.105,3.61,-0.332,9.348,11.511,0.786,40.54,0.397,1.938,7.186,4.798,6.798,4.798,2.08,-0.021,0.06,3.779,0.994,1.715,8.387,10.85,4.701,1.511,0.613,0,-0.054,0.983,5.775,3.037,15.671,15.671,15.671,15.671,15.671,6.417,3.435,1.194,2.557,3.795
8.8,0.511,0,1,3,0.013,-0.057,0.857,3.682,9.838,63.334,-0.017,0.281,0.573,0.833,3.641,-0.106,74.128,5,75.534,1.898,4.255,0,0.965,3.498,0.0,0.086,3.611,0.0,6.533,8.007,0.884,65.626,0.274,0.0,5.088,3.809,5.809,3.809,2.16,-0.077,-0.075,4.238,1.192,1.757,8.808,12.234,5.067,1.75,0.864,0,-0.054,1.0,5.932,2.637,17.066,17.066,17.066,17.066,17.066,7.556,3.505,1.051,2.753,3.792
7.6,0.171,1,0,6,-0.129,0.104,1.415,3.72,13.302,133.153,-0.109,0.289,0.8,1.36,3.879,-0.001,110.512,10,156.536,1.919,2.435,1,1.152,3.707,1.426,0.076,3.765,-1.03,6.171,7.469,1.511,100.362,0.302,2.047,4.92,4.089,6.089,4.089,2.412,0.038,0.164,4.474,1.544,1.816,9.507,15.807,6.891,2.123,1.602,3,0.062,1.51,6.894,2.874,22.725,22.725,22.725,22.725,22.725,9.208,3.701,0.866,3.032,4.055
7.229,0.0,2,1,0,-0.147,0.088,0.976,3.932,20.227,107.572,-0.152,0.405,1.131,0.899,3.75,-0.019,108.669,11,142.869,1.932,4.239,2,1.017,3.619,0.0,0.073,3.744,-1.069,10.761,13.278,1.212,125.841,0.305,0.0,8.247,5.161,7.161,5.161,2.434,-0.026,0.047,4.653,1.615,1.832,9.711,16.853,7.419,2.401,1.314,0,0.0,1.504,6.989,3.62,24.341,24.341,24.341,24.341,24.341,9.958,3.624,1.182,3.244,3.998
6.0,0.0,2,1,0,-0.147,0.088,0.976,3.932,20.227,107.572,-0.152,0.405,1.131,0.899,3.75,-0.019,108.669,11,142.869,1.932,4.239,2,1.017,3.619,0.0,0.073,3.744,-1.069,10.761,13.278,1.212,125.841,0.305,0.0,8.247,5.161,7.161,5.161,2.434,-0.026,0.047,4.653,1.615,1.832,9.711,16.853,7.419,2.401,1.314,0,0.0,1.504,6.989,3.62,24.341,24.341,24.341,24.341,24.341,9.958,3.624,1.182,3.244,3.998
9.1,0.511,0,1,3,0.013,-0.057,0.857,3.682,9.838,63.334,-0.017,0.281,0.573,0.833,3.641,-0.106,74.128,5,75.534,1.898,4.255,0,0.965,3.498,0.0,0.086,3.611,0.0,6.533,8.007,0.884,65.626,0.274,0.0,5.088,3.809,5.809,3.809,2.16,-0.077,-0.075,4.238,1.192,1.757,8.808,12.234,5.067,1.75,0.864,0,-0.054,1.0,5.932,2.637,17.066,17.066,17.066,17.066,17.066,7.556,3.505,1.051,2.753,3.792
8.1,0.521,0,1,0,0.002,0.036,0.854,3.598,4.586,60.898,-0.024,0.127,0.531,0.833,3.673,-0.081,65.262,6,69.068,1.903,4.295,0,0.974,3.523,0.0,0.095,3.621,-0.533,2.015,2.275,1.01,67.144,0.362,0.0,1.786,3.682,5.682,3.682,2.183,-0.074,0.001,4.26,1.193,1.764,8.894,12.691,5.317,1.763,0.966,0,-0.065,1.0,5.97,1.577,17.472,17.472,17.472,17.472,17.472,7.694,3.53,1.08,2.748,3.807
8.509,0.0,2,1,0,-0.147,0.088,0.976,3.932,20.227,107.572,-0.152,0.405,1.131,0.899,3.75,-0.019,108.669,11,142.869,1.932,4.239,2,1.017,3.619,0.0,0.073,3.744,-1.069,10.761,13.278,1.212,125.841,0.305,0.0,8.247,5.161,7.161,5.161,2.434,-0.026,0.047,4.653,1.615,1.832,9.711,16.853,7.419,2.401,1.314,0,0.0,1.504,6.989,3.62,24.341,24.341,24.341,24.341,24.341,9.958,3.624,1.182,3.244,3.998
6.0,0.0,2,1,0,-0.147,0.088,0.976,3.932,20.227,107.572,-0.152,0.405,1.131,0.899,3.75,-0.019,108.669,11,142.869,1.932,4.239,2,1.017,3.619,0.0,0.073,3.744,-1.069,10.761,13.278,1.212,125.841,0.305,0.0,8.247,5.161,7.161,5.161,2.434,-0.026,0.047,4.653,1.615,1.832,9.711,16.853,7.419,2.401,1.314,0,0.0,1.504,6.989,3.62,24.341,24.341,24.341,24.341,24.341,9.958,3.624,1.182,3.244,3.998
5.432,-15.436,1,0,13,-0.173,0.181,0.949,3.886,54.097,903.669,-0.138,0.676,3.593,0.938,3.851,0.028,566.231,14,739.504,1.804,0.0,1,1.219,3.681,0.0,0.038,3.797,0.0,9.6,11.64,1.334,616.598,0.121,0.0,7.678,4.093,6.093,4.093,2.787,0.005,0.21,5.35,2.366,1.953,11.325,30.382,13.552,2.964,1.327,10,-0.028,2.282,7.081,4.528,39.235,39.235,39.235,39.235,39.235,18.139,3.666,0.885,3.81,4.857
7.8,0.045,1,0,6,-0.109,0.096,1.325,3.731,14.222,138.091,-0.076,0.29,0.757,1.24,3.887,-0.058,107.409,10,166.876,1.919,2.519,1,1.19,3.754,1.432,0.071,3.786,-1.03,6.173,7.469,1.308,105.485,0.284,2.054,4.925,4.089,6.089,4.089,2.455,0.05,0.162,4.56,1.511,1.826,9.637,16.596,7.335,2.223,1.369,2,0.046,1.488,7.018,2.937,24.225,24.225,24.225,24.225,24.225,9.625,3.755,0.904,3.032,4.121
7.87,-1.482,0,1,1,-0.051,0.105,1.178,3.748,20.478,228.926,-0.017,0.499,1.862,1.197,3.719,-0.072,337.25,6,185.153,1.914,1.202,12,0.953,3.582,0.0,0.076,3.681,0.0,8.537,10.39,0.874,175.217,0.249,0.0,6.733,3.829,5.829,3.829,2.393,0.033,-0.003,4.437,1.503,1.802,9.317,14.608,6.462,2.195,0.814,2,0.019,1.43,6.336,3.574,20.133,20.133,20.133,20.133,20.133,8.611,3.579,1.03,3.08,3.803
6.6,-0.752,2,0,7,-0.1,0.064,1.659,3.72,14.222,147.717,-0.087,0.303,0.651,1.41,3.824,0.008,97.916,9,166.721,1.927,2.334,1,1.176,3.684,0.0,0.075,3.705,-1.055,6.173,7.469,1.408,112.412,0.296,0.0,4.925,4.089,6.089,4.089,2.403,0.023,0.118,4.47,1.457,1.821,9.567,16.149,6.974,2.077,1.594,1,0.031,1.453,6.89,2.937,23.209,23.209,23.209,23.209,23.209,9.625,3.691,0.958,2.927,4.156
7.5,-0.746,2,0,6,-0.143,0.064,1.598,3.72,14.222,138.442,-0.115,0.309,0.69,1.353,3.824,0.006,97.907,10,159.405,1.909,2.335,1,1.108,3.661,1.412,0.076,3.74,-1.042,6.173,7.469,1.498,110.809,0.302,0.0,4.925,4.089,6.089,4.089,2.403,0.031,0.132,4.481,1.456,1.816,9.504,15.786,6.842,2.067,1.696,1,0.045,1.382,6.881,2.937,22.725,22.725,22.725,22.725,22.725,9.375,3.697,0.932,2.924,4.094
7.0,-0.75,3,0,6,-0.142,0.039,1.449,3.721,14.222,143.892,-0.118,0.316,0.814,1.211,3.824,0.03,108.225,11,172.517,1.927,2.334,2,1.153,3.631,0.0,0.078,3.702,-1.056,6.173,7.469,1.396,106.879,0.309,1.925,4.925,4.09,6.09,4.09,2.401,-0.025,0.12,4.481,1.515,1.811,9.441,15.421,6.712,2.118,1.587,1,-0.013,1.456,6.902,2.937,22.199,22.199,22.199,22.199,22.199,9.097,3.621,0.998,2.993,3.999
6.8,-0.085,1,1,6,-0.147,0.115,1.397,3.72,15.822,125.722,-0.111,0.31,0.922,1.144,3.889,0.019,112.877,11,161.202,1.919,5.072,1,1.19,3.752,1.43,0.069,3.801,-1.032,6.173,7.469,1.479,104.298,0.272,2.05,4.927,4.089,6.089,4.089,2.413,-0.023,0.188,4.533,1.547,1.834,9.751,17.327,7.574,2.226,1.601,2,0.005,1.51,6.969,2.987,25.197,25.197,25.197,25.197,25.197,10.153,3.749,0.985,3.032,4.276
5.0,-0.714,2,0,10,-0.07,0.042,1.554,3.76,16.093,122.255,-0.074,0.374,0.769,1.156,3.823,0.006,96.472,6,142.41,1.877,2.337,1,1.09,3.63,0.0,0.081,3.728,-0.911,6.367,7.634,1.161,105.65,0.323,0.0,5.144,4.105,6.105,4.105,2.305,-0.027,0.112,4.578,1.456,1.805,9.367,14.947,6.381,2.041,1.514,1,-0.022,1.255,6.797,3.094,21.211,21.211,21.211,21.211,21.211,8.931,3.621,0.905,2.922,4.033
6.0,-0.732,0,0,9,-0.204,0.11,1.194,3.72,10.902,124.965,-0.158,0.26,0.699,1.201,3.772,-0.01,107.938,12,159.487,1.919,0.0,0,1.055,3.617,1.426,0.083,3.635,-1.039,6.171,7.468,1.686,114.189,0.331,2.046,4.918,4.087,6.087,4.087,2.393,-0.042,0.153,4.47,1.425,1.8,9.301,14.673,6.323,2.048,1.706,1,-0.008,1.394,6.898,2.799,20.725,20.725,20.725,20.725,20.725,8.875,3.63,0.914,2.925,3.94
6.9,-0.787,2,0,8,-0.187,0.176,1.362,3.723,14.102,125.722,-0.148,0.282,0.731,1.241,3.856,-0.005,106.936,14,154.739,1.919,4.756,1,1.141,3.67,1.411,0.071,3.737,-1.215,6.172,7.469,1.761,119.454,0.282,2.01,4.922,4.12,6.12,4.12,2.417,-0.027,0.256,4.641,1.532,1.835,9.722,16.912,7.431,2.225,1.909,1,-0.043,1.522,7.33,2.909,24.717,24.717,24.717,24.717,24.717,9.819,3.662,0.976,3.059,4.038
6.7,-0.735,1,0,7,-0.1,0.125,1.283,3.72,12.502,134.383,-0.082,0.266,0.832,1.254,3.822,-0.006,108.723,11,156.249,1.919,2.495,1,1.168,3.652,1.435,0.074,3.687,-1.042,6.171,7.469,1.441,107.481,0.296,2.057,4.92,4.087,6.087,4.087,2.394,-0.009,0.194,4.592,1.516,1.828,9.649,16.575,7.022,2.115,1.492,1,-0.013,1.461,7.075,2.856,23.156,23.156,23.156,23.156,23.156,10.125,3.656,0.922,2.984,4.102
6.0,-0.721,1,0,7,-0.185,0.126,1.409,3.72,12.502,125.038,-0.142,0.284,0.759,1.328,3.86,-0.017,105.997,11,153.611,1.919,2.432,1,1.136,3.693,1.434,0.079,3.731,-1.031,6.171,7.469,1.654,101.641,0.316,2.059,4.92,4.087,6.087,4.087,2.395,-0.057,0.182,4.493,1.466,1.806,9.376,15.076,6.589,2.115,1.72,1,-0.043,1.413,6.959,2.856,21.742,21.742,21.742,21.742,21.742,8.875,3.695,0.901,2.984,3.94
8.2,-0.19,3,0,6,-0.114,0.066,1.444,3.733,19.214,153.447,-0.095,0.363,0.855,1.332,3.889,-0.01,135.338,12,186.673,1.919,4.333,2,1.191,3.744,1.403,0.066,3.8,-1.092,6.545,7.84,1.351,133.53,0.262,2.002,5.294,4.089,6.089,4.089,2.531,0.034,0.107,4.611,1.562,1.844,9.874,18.12,7.975,2.25,1.402,1,0.042,1.51,6.979,3.241,26.17,26.17,26.17,26.17,26.17,10.569,3.741,0.966,3.099,4.329
6.4,-0.31,1,3,6,-0.067,0.074,1.312,3.723,19.214,143.085,-0.019,0.363,0.912,1.113,3.889,0.025,125.38,11,192.767,1.919,4.435,1,1.189,3.756,1.407,0.066,3.803,-1.079,6.545,7.84,1.302,146.931,0.262,2.009,5.294,4.089,6.089,4.089,2.554,-0.013,0.102,4.592,1.587,1.844,9.872,18.116,7.968,2.226,1.33,2,0.027,1.51,6.968,3.241,26.158,26.158,26.158,26.158,26.158,10.597,3.75,1.0,3.032,4.338
7.7,-0.85,3,0,6,-0.157,0.06,1.332,3.733,17.494,142.09,-0.144,0.38,0.772,1.269,3.861,0.0,129.028,10,179.588,1.919,4.017,2,1.135,3.674,1.4,0.076,3.762,-1.083,6.544,7.84,1.481,123.264,0.302,2.001,5.289,4.089,6.089,4.089,2.412,-0.02,0.093,4.489,1.51,1.816,9.509,15.834,6.961,2.225,1.553,1,-0.02,1.441,6.859,3.181,22.67,22.67,22.67,22.67,22.67,9.236,3.657,0.963,3.032,4.049
8.3,-0.874,3,1,6,-0.087,0.045,1.471,3.733,17.494,153.431,-0.081,0.336,0.821,1.383,3.889,0.006,138.567,11,186.891,1.919,3.975,2,1.135,3.778,1.396,0.067,3.803,-1.101,6.544,7.84,1.358,131.835,0.267,1.991,5.289,4.089,6.089,4.089,2.549,-0.021,0.064,4.58,1.561,1.84,9.818,17.678,7.788,2.298,1.42,1,-0.01,1.51,6.957,3.181,25.658,25.658,25.658,25.658,25.658,10.347,3.772,0.989,3.099,4.269
7.6,-0.739,2,0,6,-0.149,0.08,1.39,3.72,14.222,127.938,-0.135,0.323,0.723,1.184,3.824,0.005,103.09,10,157.803,1.919,2.335,1,1.135,3.631,1.423,0.08,3.702,-1.029,6.173,7.469,1.421,103.121,0.316,2.043,4.925,4.089,6.089,4.089,2.394,-0.017,0.165,4.441,1.456,1.805,9.368,15.051,6.57,2.117,1.61,1,-0.01,1.398,6.827,2.937,21.742,21.742,21.742,21.742,21.742,8.875,3.621,0.94,2.984,3.993
8.4,0.428,0,1,6,-0.147,0.122,1.054,3.721,14.222,122.446,-0.119,0.284,0.688,1.04,3.888,-0.085,102.146,10,161.843,1.919,2.57,0,1.191,3.766,1.432,0.07,3.793,-1.028,6.173,7.469,1.474,119.416,0.278,2.055,4.925,4.089,6.089,4.089,2.455,0.036,0.19,4.556,1.516,1.831,9.696,16.969,7.468,2.225,1.61,1,0.054,1.507,7.001,2.937,24.709,24.709,24.709,24.709,24.709,9.875,3.769,0.914,3.05,4.196
7.2,0.628,0,0,8,-0.15,0.105,1.298,3.72,14.222,137.039,-0.113,0.279,0.738,1.206,3.889,-0.063,97.113,12,165.101,1.919,2.606,0,1.191,3.772,1.433,0.069,3.798,-1.027,6.173,7.469,1.492,113.166,0.272,2.056,4.925,4.089,6.089,4.089,2.454,0.018,0.182,4.566,1.531,1.835,9.752,17.344,7.606,2.226,1.667,1,0.034,1.509,6.992,2.937,25.209,25.209,25.209,25.209,25.209,10.125,3.775,0.935,3.07,4.268
7.9,0.308,0,1,6,-0.177,0.124,1.077,3.721,14.222,118.807,-0.146,0.29,0.778,1.004,3.889,-0.044,111.818,12,159.469,1.919,2.591,0,1.191,3.769,1.431,0.071,3.803,-1.028,6.173,7.469,1.556,116.207,0.284,2.054,4.925,4.089,6.089,4.089,2.435,0.018,0.188,4.52,1.514,1.826,9.636,16.591,7.327,2.223,1.73,2,0.055,1.506,6.987,2.937,24.197,24.197,24.197,24.197,24.197,9.653,3.77,0.954,3.032,4.129
6.5,-0.75,2,0,9,-0.09,0.086,1.5,4.089,21.78,146.609,-0.083,0.507,0.777,1.236,3.823,0.002,104.129,6,175.787,1.888,2.33,1,1.09,3.63,0.0,0.081,3.702,-1.061,9.394,11.53,1.314,98.309,0.323,0.0,7.298,4.327,6.327,4.327,2.305,-0.043,0.147,4.479,1.456,1.805,9.363,15.025,6.404,2.042,1.511,1,-0.011,1.263,6.725,3.659,21.17,21.17,21.17,21.17,21.17,9.069,3.621,0.982,2.922,4.063
9.0,0.397,0,1,6,-0.073,0.106,1.024,3.721,14.222,128.065,-0.064,0.279,0.686,0.98,3.889,-0.085,105.43,9,166.025,1.914,2.566,0,1.191,3.766,1.362,0.069,3.795,-1.058,6.173,7.469,1.299,137.32,0.272,1.862,4.925,4.089,6.089,4.089,2.455,0.037,0.182,4.628,1.763,1.836,9.758,17.333,7.646,2.291,1.492,1,0.055,1.513,7.028,2.937,25.192,25.192,25.192,25.192,25.192,10.042,3.769,0.896,3.108,4.227
6.4,-0.748,2,0,9,-0.095,0.07,1.451,3.72,15.88,145.649,-0.074,0.378,0.755,1.203,3.823,-0.001,104.228,6,174.224,1.887,2.329,1,1.09,3.63,0.0,0.083,3.753,-1.057,6.291,7.559,1.282,100.505,0.331,0.0,5.073,4.089,6.089,4.089,2.305,-0.023,0.146,4.668,1.456,1.799,9.294,14.65,6.265,2.041,1.465,1,0.004,1.26,6.688,3.064,20.743,20.743,20.743,20.743,20.743,8.736,3.621,0.926,2.922,4.01
8.7,0.414,0,1,6,-0.096,0.114,1.052,3.721,14.222,124.906,-0.088,0.279,0.685,1.016,3.889,-0.082,102.512,9,163.677,1.915,2.569,0,1.191,3.766,1.417,0.069,3.802,-1.041,6.173,7.469,1.378,126.026,0.272,2.002,4.925,4.089,6.089,4.089,2.455,0.036,0.19,4.715,1.709,1.836,9.758,17.336,7.627,2.291,1.568,1,0.057,1.513,7.04,2.937,25.192,25.192,25.192,25.192,25.192,10.042,3.769,0.885,3.108,4.227
7.1,-0.759,2,0,6,-0.153,0.055,1.352,3.72,14.222,128.87,-0.144,0.316,0.849,1.122,3.824,0.011,116.853,11,160.181,1.913,2.329,1,1.135,3.631,1.353,0.078,3.748,-1.067,6.173,7.469,1.331,109.154,0.309,1.739,4.925,4.089,6.089,4.089,2.4,0.018,0.138,4.477,1.51,1.811,9.439,15.42,6.756,2.12,1.558,1,-0.003,1.456,6.86,2.937,22.209,22.209,22.209,22.209,22.209,9.069,3.621,0.921,2.995,4.016
7.6,-0.755,2,0,6,-0.068,0.068,1.348,3.72,14.222,133.128,-0.074,0.316,0.751,1.116,3.824,0.006,103.97,9,162.569,1.913,2.33,1,1.135,3.631,1.373,0.078,3.783,-1.059,6.173,7.469,1.247,118.2,0.309,1.85,4.925,4.089,6.089,4.089,2.399,-0.018,0.147,4.522,1.46,1.811,9.438,15.415,6.747,2.131,1.489,1,-0.01,1.456,6.854,2.937,22.225,22.225,22.225,22.225,22.225,9.042,3.621,0.924,3.027,4.032
8.0,-0.755,2,0,6,-0.068,0.065,1.348,3.72,14.222,133.128,-0.074,0.316,0.763,1.116,3.824,0.006,105.148,9,161.475,1.914,2.33,1,1.135,3.631,1.353,0.078,3.774,-1.059,6.173,7.469,1.247,118.2,0.309,1.85,4.925,4.089,6.089,4.089,2.399,-0.018,0.156,4.522,1.456,1.811,9.438,15.415,6.747,2.131,1.489,1,-0.01,1.404,6.854,2.937,22.225,22.225,22.225,22.225,22.225,9.042,3.621,0.918,3.027,4.032
9.3,0.424,0,1,6,-0.129,0.121,1.228,3.721,14.222,131.39,-0.096,0.279,0.692,1.183,3.889,-0.098,99.51,10,161.981,1.928,2.571,0,1.191,3.766,1.447,0.069,3.793,-1.032,6.173,7.469,1.469,117.67,0.272,2.079,4.925,4.089,6.089,4.089,2.475,0.044,0.193,4.582,1.778,1.836,9.758,17.347,7.62,2.291,1.603,1,0.075,1.513,7.046,2.937,25.192,25.192,25.192,25.192,25.192,10.042,3.769,0.909,3.108,4.227
8.3,0.81,0,1,2,0.027,-0.029,0.826,3.344,4.586,61.007,-0.02,0.139,0.523,0.81,3.628,-0.096,65.113,4,60.929,1.898,4.299,0,0.928,3.487,0.0,0.091,3.598,0.0,2.015,2.275,0.871,58.808,0.291,0.0,1.786,3.682,5.682,3.682,2.069,-0.048,-0.029,4.201,1.033,1.742,8.63,11.524,4.79,1.621,0.882,0,-0.04,1.0,5.884,1.577,16.205,16.205,16.205,16.205,16.205,7.028,3.496,1.009,2.61,3.713
8.167,-0.351,1,1,2,-0.136,0.096,1.012,3.887,12.047,104.671,-0.156,0.241,1.1,0.902,3.75,-0.029,108.661,11,140.575,1.933,4.269,2,1.02,3.618,0.0,0.073,3.74,-0.975,2.738,2.955,1.205,122.214,0.305,0.0,2.568,3.932,5.932,3.932,2.461,-0.033,0.065,4.636,1.74,1.832,9.711,16.818,7.374,2.394,1.392,1,-0.001,1.505,6.994,2.479,24.341,24.341,24.341,24.341,24.341,9.958,3.62,1.171,3.244,3.998
