pXC50,nHet,Me,nS,nN,O.,nDB,nH,nC,nBT,N.,nO,nAB,H.,nCsp3,nHM
6.703,3,0.977,0,0,3.5,4,50,32,88,0.0,3,0,58.8,24,0
7.656,5,0.989,0,0,6.7,0,42,28,76,0.0,5,12,56.0,16,0
7.676,5,0.989,0,0,6.7,0,42,28,76,0.0,5,12,56.0,16,0
7.412,4,0.987,0,0,5.8,5,38,27,72,0.0,4,0,55.1,18,0
8.114,4,0.986,0,0,5.6,5,40,28,75,0.0,4,0,55.6,19,0
8.022,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
6.409,5,0.983,0,1,4.2,4,53,37,99,1.1,4,6,55.8,24,0
6.523,3,0.978,0,0,3.5,5,50,33,89,0.0,3,0,58.1,23,0
6.523,4,0.987,0,0,5.8,5,38,27,72,0.0,4,0,55.1,18,0
6.066,7,0.99,0,1,6.2,4,53,37,101,1.0,6,6,54.6,24,0
7.046,7,0.989,0,1,6.0,4,55,38,104,1.0,6,6,55.0,25,0
6.745,7,0.988,0,1,5.7,4,59,40,110,0.9,6,6,55.7,27,0
6.155,5,0.985,0,1,4.7,4,47,34,90,1.2,4,6,54.7,21,0
6.712,5,0.984,0,1,4.5,4,49,35,93,1.1,4,6,55.1,22,0
7.572,3,0.977,0,0,3.2,4,54,36,98,0.0,3,0,58.1,28,0
6.268,7,0.986,0,1,5.4,4,63,42,116,0.9,6,6,56.3,29,0
5.523,7,0.991,0,1,6.4,4,51,36,98,1.1,6,6,54.3,23,0
5.658,5,0.984,0,1,4.3,4,51,36,96,1.1,4,6,55.4,23,0
8.523,3,0.977,0,0,3.3,4,52,35,95,0.0,3,0,57.8,27,0
10.699,3,0.978,0,0,3.4,4,50,34,92,0.0,3,0,57.5,26,0
5.523,7,0.991,0,1,6.4,4,51,36,98,1.1,6,6,54.3,23,0
6.523,7,0.991,0,1,6.4,4,51,36,98,1.1,6,6,54.3,23,0
9.161,4,0.986,0,0,5.6,5,40,28,75,0.0,4,0,55.6,19,0
9.167,3,0.98,0,0,4.1,4,42,28,76,0.0,3,0,57.5,20,0
6.108,7,0.989,0,1,6.0,4,55,38,104,1.0,6,6,55.0,25,0
5.523,7,0.991,0,1,6.4,4,51,36,98,1.1,6,6,54.3,23,0
6.409,5,0.983,0,1,4.2,4,53,37,99,1.1,4,6,55.8,24,0
8.484,3,0.979,0,0,4.1,3,44,27,76,0.0,3,0,59.5,21,0
