pXC50,SpMax4_Bh.p.,SpMin3_Bh.s.,SpMax4_Bh.v.,SpMin4_Bh.s.,nCrs,NssNH,SsssN,MATS6m,SssNH,ATSC5v,SM11_EA.dm.,ON1V,Eig04_EA.ri.,ATSC2v,C.008,SpMin4_Bh.i.,ATSC5p,X1Kup,ATSC1p,SM09_EA.dm.,nCONN,X1MulPer,Eig04_AEA.ri.,CATS2D_04_DA,SM15_EA.dm.,X1Per,ATSC4v,Eig04_EA,SM12_AEA.bo.,ATSC3v,ATSC4p,SpMin8_Bh.s.,ATSC2p,ATS1v,Hy,ATSC3i,SM07_EA.dm.,CATS2D_07_AL,SpMax3_Bh.m.,ATS2v,Sp,C.041,ATS2p,P_VSA_p_1,CATS2D_02_DD,CATS2D_05_LL,P_VSA_e_1,P_VSA_m_1,P_VSA_s_2,P_VSA_v_1,Psi_i_1,NRS,C.031,ATSC3p,nBT,X1v,ATS3e,ATSC5i,ATS3p,SpMin5_Bh.s.,SpMin1_Bh.e.,ISIZ,nAT,P_VSA_LogP_7,ATSC4i,P_VSA_e_3,SpMin7_Bh.i.,SpMin8_Bh.m.
6.0,3.589,1.185,3.577,1.142,8,1,4.554,-0.014,3.032,20.223,5.823,3.907,2.217,13.972,2,1.507,13.873,10.699,5.737,4.729,1,10.521,3.233,0,7.981,8.672,19.177,2.245,2.245,18.891,13.046,0.555,9.695,3.645,-0.405,1.943,3.619,4,3.774,4.029,38.069,1,4.111,356.322,0,8,341.362,341.362,341.362,341.362,18.128,4,0,12.778,62,10.811,5.089,1.862,4.251,1.052,1.928,347.076,59,341.362,1.883,24.259,1.064,1.293
6.252,3.305,1.134,3.324,0.98,3,1,4.22,-0.032,2.97,17.959,5.823,3.526,2.311,12.109,1,1.402,12.057,9.704,5.244,4.729,1,9.492,3.396,0,7.981,7.856,17.597,2.445,2.445,16.174,12.089,0.487,8.445,3.566,0.212,1.73,3.619,2,3.71,3.925,35.762,1,3.989,321.009,0,4,306.049,306.049,306.049,306.049,16.318,3,0,11.089,58,9.84,4.957,1.64,4.159,0.825,1.939,325.212,56,306.049,1.726,24.259,1.064,1.266
6.0,3.323,1.143,3.342,1.007,6,1,6.812,-0.011,3.072,22.833,5.823,4.245,2.274,14.598,2,1.423,14.536,10.796,5.873,4.73,1,10.594,3.381,0,7.981,8.705,22.224,2.453,2.453,19.894,14.504,0.671,9.392,3.624,0.228,1.936,3.625,0,3.671,4.003,39.052,1,4.082,403.406,0,0,388.446,388.446,388.446,388.446,17.705,3,0,12.753,66,10.965,5.172,1.883,4.292,0.965,1.911,384.0,64,388.446,1.952,27.384,1.064,1.513
6.0,3.221,1.056,3.259,0.825,3,2,1.806,-0.073,6.257,12.216,5.823,2.787,2.104,9.493,1,1.307,8.925,8.334,4.159,4.728,1,8.168,3.164,1,7.981,6.731,12.808,2.201,2.201,13.149,9.448,0.218,7.066,3.439,0.273,1.438,3.614,1,3.729,3.799,30.881,1,3.862,238.611,0,4,223.651,223.651,223.651,223.651,14.457,3,0,9.735,48,8.789,4.783,1.294,3.994,0.669,1.921,254.084,46,223.651,1.362,39.146,0.821,1.181
5.99,2.465,0.502,2.463,0.314,2,0,0.0,-0.058,0.0,3.849,5.726,1.228,0.891,4.293,2,1.007,2.279,3.843,1.702,4.619,0,3.807,1.891,1,7.895,3.139,4.331,0.938,0.938,5.267,2.71,0.0,2.965,2.703,1.555,0.473,3.491,0,3.061,3.041,14.517,0,3.056,94.169,0,0,94.169,94.169,94.169,94.169,6.734,2,0,3.427,24,3.924,3.931,0.351,2.995,0.038,1.644,104.042,23,70.627,0.416,66.468,0.0,0.33
6.0,3.638,1.075,3.634,1.02,3,1,4.202,-0.085,2.988,17.319,5.824,3.495,2.296,11.61,1,1.702,12.499,10.676,5.212,4.732,1,10.444,3.386,0,7.981,8.607,17.635,2.449,2.449,16.245,12.909,0.44,8.605,3.684,-0.372,1.856,3.626,4,3.834,4.047,39.409,1,4.104,309.238,0,6,294.278,294.278,294.278,294.278,18.692,4,0,12.083,61,11.155,5.002,1.812,4.254,0.825,1.928,339.763,58,282.506,1.852,41.045,1.064,1.215
7.796,3.633,1.095,3.629,1.039,3,1,4.242,-0.065,2.991,17.928,5.824,3.484,2.309,11.604,1,1.696,12.999,10.664,5.212,4.732,1,10.43,3.39,0,7.981,8.597,18.146,2.449,2.449,16.447,13.268,0.38,8.611,3.684,-0.372,1.849,3.626,7,3.837,4.05,39.409,1,4.108,309.238,0,8,294.278,294.278,294.278,294.278,18.701,4,0,12.263,61,11.144,4.999,1.82,4.265,0.825,1.93,339.763,58,270.735,1.87,41.045,1.064,1.187
6.205,3.632,1.093,3.63,1.037,3,1,4.108,-0.033,2.969,17.944,5.824,3.489,2.336,11.559,1,1.696,13.147,10.795,5.297,4.732,1,10.569,3.425,0,7.981,8.7,18.214,2.484,2.484,16.262,13.411,0.369,8.715,3.7,0.192,1.868,3.626,7,3.846,4.068,39.864,1,4.116,297.467,0,8,282.506,282.506,282.506,282.506,19.104,4,0,12.285,62,11.289,5.02,1.839,4.276,0.825,1.929,347.076,59,270.735,1.887,41.045,1.064,1.186
8.523,3.635,1.096,3.632,1.039,3,1,4.184,-0.026,2.983,18.466,5.824,3.523,2.341,12.019,1,1.698,13.232,10.865,5.228,4.732,1,10.628,3.427,0,7.981,8.761,18.718,2.484,2.484,16.612,13.49,0.374,8.851,3.706,0.832,1.908,3.626,7,3.848,4.075,40.415,1,4.129,297.467,0,8,282.506,282.506,282.506,282.506,19.175,4,0,12.223,63,11.354,5.03,1.881,4.29,0.825,1.93,354.413,60,270.735,1.92,73.942,1.064,1.275
5.237,3.014,1.016,3.012,0.715,2,1,2.186,-0.162,3.296,8.545,0.082,2.263,1.996,7.109,1,1.284,6.308,7.137,3.014,0.125,0,6.959,3.083,1,0.035,5.718,9.599,2.182,2.182,9.4,7.041,0.074,5.412,3.3,1.114,1.099,0.188,2,3.673,3.708,25.909,0,3.723,153.024,0,0,153.024,153.024,153.024,153.024,13.255,2,0,6.914,41,7.608,4.559,1.008,3.824,0.616,1.938,199.421,38,153.024,1.072,87.603,0.897,0.967
8.155,3.295,1.069,3.311,0.969,3,1,4.236,0.01,2.972,16.692,5.823,3.337,2.194,11.153,1,1.392,11.657,9.275,4.833,4.729,1,9.04,3.317,0,7.981,7.467,16.155,2.396,2.396,15.085,11.59,0.218,7.997,3.527,-0.346,1.612,3.619,3,3.756,3.89,34.404,1,3.958,297.467,0,4,282.506,282.506,282.506,282.506,15.734,3,0,10.862,54,9.738,4.899,1.55,4.12,0.825,1.924,296.423,52,282.506,1.602,24.259,0.993,1.181
7.387,3.295,0.999,3.311,0.915,3,1,4.104,-0.015,2.932,15.379,5.823,3.259,2.164,10.534,1,1.391,10.464,9.119,4.547,4.729,1,8.898,3.309,1,7.981,7.347,15.026,2.396,2.396,14.134,10.587,0.218,7.512,3.505,-0.309,1.566,3.619,4,3.756,3.864,33.648,1,3.922,285.695,0,2,270.735,270.735,270.735,270.735,15.542,3,0,9.994,53,9.597,4.876,1.487,4.072,0.825,1.908,289.294,51,258.964,1.547,41.045,0.99,1.181
6.35,3.291,1.06,3.309,0.967,3,1,4.089,-0.021,2.911,16.596,5.823,3.337,2.249,10.982,1,1.391,11.244,9.22,4.89,4.729,1,9.04,3.339,0,7.981,7.467,15.721,2.396,2.396,14.533,11.088,0.218,7.892,3.514,-0.346,1.742,3.619,2,3.706,3.871,33.483,1,3.922,312.427,0,4,282.506,282.506,282.506,282.506,15.626,3,0,10.368,54,9.36,4.904,1.556,4.078,0.825,1.923,296.423,52,282.506,1.657,24.259,0.987,1.181
8.699,3.637,1.099,3.63,1.046,3,1,4.395,0.004,3.115,18.109,5.824,3.504,2.299,12.103,1,1.697,13.166,10.609,5.236,4.732,1,10.336,3.383,0,7.981,8.548,18.8,2.444,2.444,17.347,13.834,0.383,8.789,3.68,-0.393,1.748,3.626,9,3.824,4.043,39.966,1,4.126,306.049,0,8,306.049,306.049,306.049,306.049,18.417,4,0,12.843,61,11.46,4.983,1.829,4.287,0.825,1.931,339.763,58,282.506,1.839,86.999,1.064,1.192
8.0,3.614,1.084,3.612,1.017,3,1,4.343,0.006,3.107,17.443,5.824,3.433,2.297,11.593,1,1.672,12.689,10.462,5.061,4.732,1,10.203,3.382,0,7.981,8.438,18.073,2.444,2.444,16.628,13.282,0.359,8.454,3.662,-0.361,1.726,3.626,8,3.819,4.025,39.211,1,4.101,294.278,0,6,294.278,294.278,294.278,294.278,18.25,4,0,12.319,60,11.326,4.967,1.784,4.261,0.825,1.929,332.475,57,270.735,1.805,103.539,1.064,1.191
7.638,3.304,1.078,3.317,0.971,3,1,4.32,0.026,3.041,17.052,5.823,3.324,2.178,11.068,1,1.393,12.973,9.484,4.67,4.729,1,9.14,3.322,0,7.981,7.529,16.761,2.407,2.407,15.769,13.022,0.218,8.277,3.57,-0.323,1.495,3.619,5,3.864,3.948,36.677,1,4.041,270.735,0,4,270.735,270.735,270.735,270.735,16.409,3,0,12.354,54,11.014,4.901,1.56,4.228,0.825,1.924,296.423,52,270.735,1.554,70.213,1.001,1.181
7.066,3.295,1.071,3.318,0.977,3,1,3.989,-0.017,2.943,16.382,5.823,3.187,2.198,10.959,1,1.392,11.624,9.362,4.899,4.729,1,9.177,3.323,0,7.981,7.534,16.25,2.402,2.402,15.229,11.644,0.218,8.045,3.546,0.247,1.627,3.619,3,3.758,3.909,34.858,1,3.968,285.695,0,4,270.735,270.735,270.735,270.735,16.157,3,0,11.031,55,9.847,4.927,1.56,4.132,0.825,1.924,303.58,53,270.735,1.614,24.259,0.995,1.181
7.31,3.611,1.077,3.611,1.014,3,1,4.19,-0.06,2.983,17.257,5.824,3.413,2.306,11.093,1,1.672,12.523,10.518,5.031,4.732,1,10.297,3.39,0,7.981,8.486,17.407,2.449,2.449,15.718,12.711,0.356,8.259,3.667,-0.341,1.821,3.626,6,3.827,4.032,38.654,1,4.082,297.467,0,6,282.506,282.506,282.506,282.506,18.534,4,0,11.724,60,11.011,4.983,1.778,4.24,0.825,1.927,332.475,57,258.964,1.827,57.585,1.064,1.186
7.328,3.596,1.186,3.582,1.151,8,1,4.625,0.052,3.134,22.26,5.823,4.059,2.253,14.74,2,1.507,15.553,11.254,6.145,4.729,1,10.956,3.367,0,7.981,9.047,20.993,2.443,2.443,20.159,14.963,0.568,10.574,3.71,-0.393,1.906,3.619,5,3.833,4.097,41.699,1,4.188,364.904,0,8,364.904,364.904,364.904,364.904,19.209,4,0,14.397,66,12.127,5.121,2.0,4.35,1.059,1.926,376.569,63,364.904,1.953,70.213,1.112,1.503
8.0,3.596,1.186,3.582,1.149,8,1,4.645,0.049,3.137,20.403,5.823,3.907,2.251,14.228,2,1.507,14.385,10.772,5.728,4.729,1,10.521,3.362,0,7.981,8.672,19.869,2.435,2.435,19.791,14.183,0.556,10.034,3.661,-0.405,1.854,3.619,7,3.815,4.052,39.483,1,4.156,341.362,0,8,341.362,341.362,341.362,341.362,18.322,4,0,14.086,62,11.604,5.082,1.876,4.306,1.059,1.928,347.076,59,341.362,1.853,70.213,1.064,1.28
7.854,3.594,1.184,3.58,1.067,8,1,4.615,0.05,3.08,19.027,5.808,3.719,2.246,13.363,2,1.507,13.604,10.319,5.377,4.718,1,10.085,3.35,0,7.96,8.311,18.8,2.42,2.42,18.519,13.524,0.294,9.493,3.621,-0.394,1.784,3.613,5,3.802,4.012,37.722,1,4.112,317.82,0,8,317.82,317.82,317.82,317.82,17.663,4,0,13.233,59,11.147,5.037,1.793,4.258,1.053,1.927,325.212,56,317.82,1.756,70.213,1.064,1.206
8.155,3.596,1.185,3.582,1.142,8,1,4.543,0.048,3.034,20.282,5.823,3.887,2.252,13.825,2,1.507,14.383,10.847,5.761,4.729,1,10.614,3.366,0,7.981,8.72,19.511,2.442,2.442,19.277,14.219,0.554,10.085,3.671,-0.382,1.962,3.619,5,3.836,4.065,39.421,1,4.154,344.551,0,8,329.591,329.591,329.591,329.591,18.691,4,0,14.147,62,11.704,5.094,1.881,4.303,1.059,1.926,347.076,59,329.591,1.907,70.213,1.064,1.274
5.35,3.401,1.165,3.389,0.845,5,2,0.0,0.054,5.635,15.798,7.104,3.69,1.964,13.633,0,1.407,9.892,9.282,5.319,5.785,0,8.933,3.015,2,9.719,7.485,18.304,2.043,2.043,17.229,12.53,0.54,9.455,3.496,2.607,1.521,4.454,2,3.611,3.855,35.029,1,3.991,306.049,3,2,306.049,306.049,306.049,306.049,14.947,2,0,11.84,57,10.111,4.964,1.368,4.127,0.825,1.922,325.212,56,337.326,1.519,117.376,1.064,1.391
5.56,3.401,1.165,3.389,0.845,5,2,0.0,0.054,5.635,15.798,7.104,3.69,1.964,13.633,0,1.407,9.892,9.282,5.319,5.785,0,8.933,3.015,2,9.719,7.485,18.304,2.043,2.043,17.229,12.53,0.54,9.455,3.496,2.607,1.521,4.454,2,3.611,3.855,35.029,1,3.991,306.049,3,2,306.049,306.049,306.049,306.049,14.947,2,0,11.84,57,10.111,4.964,1.368,4.127,0.825,1.922,325.212,56,337.326,1.519,117.376,1.064,1.391
7.432,3.512,1.177,3.506,1.101,8,1,4.579,0.032,3.292,17.629,7.507,3.622,2.292,12.344,3,1.488,11.68,9.724,5.17,6.104,0,9.606,3.379,0,10.276,7.823,17.1,2.433,2.433,16.5,11.58,0.325,8.216,3.531,-0.332,1.663,4.678,7,3.729,3.9,33.762,0,3.96,332.78,0,3,317.82,317.82,317.82,317.82,16.708,4,0,11.146,57,9.873,5.039,1.548,4.116,1.013,1.894,310.764,54,317.82,1.572,24.259,0.808,1.126
7.703,3.303,0.919,3.297,0.805,1,1,0.0,0.05,3.588,13.546,0.0,2.805,1.853,9.954,0,1.248,9.053,7.685,4.016,0.0,0,7.456,3.012,0,0.0,6.198,13.552,2.113,2.113,13.276,9.191,0.218,6.88,3.343,0.284,1.121,0.0,0,3.661,3.668,28.489,0,3.779,235.422,0,4,235.422,235.422,235.422,235.422,13.112,3,0,9.252,45,8.092,4.624,1.145,3.882,0.708,1.909,233.329,43,211.88,1.182,51.582,0.845,1.181
6.889,3.303,0.919,3.297,0.805,1,1,0.0,0.05,3.588,13.546,0.0,2.805,1.853,9.954,0,1.248,9.053,7.685,4.016,0.0,0,7.456,3.012,0,0.0,6.198,13.552,2.113,2.113,13.276,9.191,0.218,6.88,3.343,0.284,1.121,0.0,0,3.661,3.668,28.489,0,3.779,235.422,0,4,235.422,235.422,235.422,235.422,13.112,3,0,9.252,45,8.092,4.624,1.145,3.882,0.708,1.909,233.329,43,211.88,1.182,51.582,0.845,1.181
5.0,3.401,1.165,3.389,0.845,5,2,0.0,0.054,5.635,15.798,7.104,3.69,1.964,13.633,0,1.407,9.892,9.282,5.319,5.785,0,8.933,3.015,2,9.719,7.485,18.304,2.043,2.043,17.229,12.53,0.54,9.455,3.496,2.607,1.521,4.454,2,3.611,3.855,35.029,1,3.991,306.049,3,2,306.049,306.049,306.049,306.049,14.947,2,0,11.84,57,10.111,4.964,1.368,4.127,0.825,1.922,325.212,56,337.326,1.519,117.376,1.064,1.391
7.77,3.601,1.234,3.598,1.177,12,0,7.138,0.009,0.0,23.761,7.524,4.48,2.495,15.229,4,1.632,15.763,11.725,6.37,6.118,0,11.572,3.594,0,10.3,9.408,21.872,2.645,2.645,20.15,14.955,0.462,10.06,3.703,-0.792,2.011,4.691,7,3.79,4.068,40.046,0,4.142,415.178,0,5,400.217,400.217,400.217,400.217,20.193,5,0,13.502,68,11.88,5.211,2.021,4.313,1.1,1.895,384.0,64,400.217,2.009,9.373,1.278,1.2
8.824,3.521,1.177,3.518,1.104,8,0,6.083,0.043,0.0,20.857,8.109,3.922,2.452,13.181,3,1.502,13.793,10.565,5.641,6.72,0,10.377,3.53,0,10.858,8.461,19.132,2.574,2.574,17.368,13.321,0.462,8.84,3.617,-0.751,1.823,5.308,10,3.762,3.987,36.978,0,4.036,368.093,0,4,353.133,353.133,353.133,353.133,18.222,4,0,11.945,62,10.733,5.114,1.772,4.22,1.017,1.894,347.076,59,353.133,1.806,9.373,1.145,1.2
7.796,3.518,1.177,3.515,1.103,8,0,5.87,0.049,0.0,20.163,8.943,4.297,2.449,13.811,3,1.489,13.623,11.231,5.994,7.371,0,11.065,3.551,0,12.07,9.032,18.814,2.606,2.606,18.192,13.012,0.462,9.35,3.668,-0.735,1.861,5.779,17,3.761,4.028,39.194,1,4.073,391.635,0,3,376.675,376.675,376.675,376.675,19.102,4,0,12.492,66,11.433,5.161,1.858,4.248,1.015,1.894,376.569,63,376.675,1.824,9.373,1.324,1.201
7.051,3.513,1.177,3.508,1.102,8,1,4.621,0.041,3.341,18.093,7.507,3.699,2.339,12.523,3,1.491,11.965,10.027,5.121,6.104,0,9.879,3.423,0,10.276,8.072,17.662,2.465,2.465,17.113,11.915,0.325,8.302,3.563,-0.346,1.65,4.678,7,3.734,3.929,35.069,0,3.997,317.82,0,4,317.82,317.82,317.82,317.82,17.182,4,0,11.432,58,10.158,5.042,1.587,4.166,1.037,1.895,317.975,55,317.82,1.618,55.319,1.047,1.181
8.463,3.511,1.174,3.504,1.098,8,1,4.671,-0.007,3.367,17.491,7.507,3.419,2.186,12.121,3,1.466,12.252,9.204,5.205,6.104,0,8.986,3.283,0,10.276,7.316,16.435,2.346,2.346,15.614,11.404,0.462,8.536,3.485,-0.301,1.492,4.678,5,3.746,3.851,32.711,0,3.948,306.049,0,3,306.049,306.049,306.049,306.049,15.883,4,0,10.688,54,10.188,4.963,1.528,4.045,0.914,1.894,289.294,51,313.784,1.477,24.259,1.271,1.201
7.491,3.522,1.178,3.519,1.106,8,0,6.241,0.062,0.0,22.803,8.109,4.094,2.458,14.711,3,1.504,15.669,11.121,6.437,6.72,0,10.719,3.54,0,10.858,8.788,21.117,2.589,2.589,18.907,15.254,0.643,10.524,3.683,-0.759,1.874,5.308,10,3.778,4.045,40.449,0,4.137,388.446,0,4,388.446,388.446,388.446,388.446,19.042,4,0,13.564,66,12.381,5.134,1.986,4.316,1.057,1.894,376.569,63,420.666,1.935,9.373,1.172,1.514
6.144,3.521,1.177,3.518,1.104,8,0,6.05,0.041,0.0,20.687,8.109,3.922,2.462,13.181,3,1.502,13.821,10.565,5.641,6.72,0,10.377,3.54,0,10.858,8.463,19.189,2.585,2.585,17.368,13.316,0.462,8.84,3.617,-0.751,1.823,5.308,11,3.762,3.987,36.978,0,4.036,368.093,0,3,353.133,353.133,353.133,353.133,18.222,4,0,11.945,62,10.733,5.114,1.819,4.22,1.017,1.894,347.076,59,353.133,1.807,9.373,1.146,1.2
7.26,3.589,1.177,3.587,1.111,11,0,7.092,0.004,0.0,22.357,7.524,4.23,2.5,14.178,4,1.488,14.764,11.225,6.033,6.118,0,11.082,3.605,0,10.3,8.991,20.785,2.663,2.663,18.711,14.353,0.617,9.364,3.665,-0.785,1.904,4.691,7,3.798,4.014,38.285,0,4.082,391.635,0,4,376.675,376.675,376.675,376.675,19.527,5,0,12.651,65,11.38,5.147,1.896,4.26,1.045,1.894,361.775,61,376.675,1.921,9.373,1.064,1.278
8.602,3.513,1.178,3.507,1.103,8,1,4.676,0.057,3.389,19.725,7.507,3.794,2.299,13.864,3,1.49,13.464,10.28,5.96,6.104,0,9.948,3.398,0,10.276,8.149,19.031,2.465,2.465,18.039,13.564,0.462,9.892,3.602,-0.346,1.727,4.678,7,3.751,3.963,37.233,0,4.067,353.133,0,4,353.133,353.133,353.133,353.133,17.528,4,0,12.832,61,11.521,5.06,1.703,4.222,1.057,1.894,339.763,58,385.353,1.71,24.259,1.152,1.201
8.575,3.512,1.177,3.506,1.101,8,1,4.579,0.032,3.292,17.629,7.507,3.622,2.292,12.344,3,1.488,11.68,9.724,5.17,6.104,0,9.606,3.379,0,10.276,7.823,17.1,2.433,2.433,16.5,11.58,0.325,8.216,3.531,-0.332,1.663,4.678,7,3.729,3.9,33.762,0,3.96,332.78,0,3,317.82,317.82,317.82,317.82,16.708,4,0,11.146,57,9.873,5.039,1.548,4.116,1.013,1.894,310.764,54,317.82,1.572,24.259,0.808,1.126
8.848,3.512,1.177,3.507,1.101,8,1,4.593,0.033,3.308,17.79,7.507,3.622,2.291,12.344,3,1.488,11.652,9.724,5.17,6.104,0,9.606,3.378,0,10.276,7.822,17.048,2.431,2.431,16.5,11.584,0.325,8.216,3.531,-0.332,1.663,4.678,7,3.73,3.9,33.762,0,3.96,332.78,0,4,317.82,317.82,317.82,317.82,16.708,4,0,11.146,57,9.873,5.039,1.5,4.116,1.013,1.894,310.764,54,317.82,1.571,24.259,0.821,1.181
8.699,3.512,1.177,3.507,1.101,8,1,4.645,0.048,3.356,17.92,7.507,3.622,2.263,12.556,3,1.489,12.109,9.779,5.171,6.104,0,9.606,3.365,0,10.276,7.822,17.522,2.431,2.431,17.123,12.205,0.325,8.479,3.544,-0.332,1.56,4.678,7,3.748,3.917,34.682,0,3.994,317.82,0,4,317.82,317.82,317.82,317.82,16.816,4,0,11.793,57,10.251,5.034,1.535,4.157,1.025,1.894,310.764,54,317.82,1.521,24.259,0.821,1.181
8.602,3.512,1.177,3.507,1.101,8,1,4.641,0.044,3.353,18.02,7.507,3.622,2.267,12.556,3,1.489,12.253,9.779,5.171,6.104,0,9.606,3.369,0,10.276,7.823,17.488,2.433,2.433,17.123,12.18,0.325,8.479,3.544,-0.332,1.56,4.678,7,3.746,3.917,34.682,0,3.994,317.82,0,3,317.82,317.82,317.82,317.82,16.816,4,0,11.793,57,10.251,5.034,1.527,4.157,1.025,1.894,310.764,54,317.82,1.521,24.259,0.824,1.12
6.076,3.521,1.177,3.518,1.104,8,0,6.05,0.041,0.0,20.687,8.109,3.922,2.462,13.181,3,1.502,13.821,10.565,5.641,6.72,0,10.377,3.54,0,10.858,8.463,19.189,2.585,2.585,17.368,13.316,0.462,8.84,3.617,-0.751,1.823,5.308,11,3.762,3.987,36.978,0,4.036,368.093,0,3,353.133,353.133,353.133,353.133,18.222,4,0,11.945,62,10.733,5.114,1.819,4.22,1.017,1.894,347.076,59,353.133,1.807,9.373,1.146,1.2
7.34,3.372,0.929,3.375,0.713,0,2,0.0,0.035,5.488,11.298,7.104,2.728,1.955,9.706,0,1.347,7.062,7.703,3.727,5.785,0,7.513,3.006,2,9.719,6.306,12.244,2.032,2.032,12.056,7.745,0.218,6.603,3.344,1.822,1.152,4.454,2,3.623,3.659,29.336,1,3.74,223.651,3,2,223.651,223.651,223.651,223.651,12.607,2,0,7.755,47,7.798,4.665,1.067,3.824,0.556,1.939,254.084,46,200.109,1.127,101.265,0.9,1.181
8.73,3.372,0.929,3.375,0.713,0,2,0.0,0.035,5.488,11.298,7.104,2.728,1.955,9.706,0,1.347,7.062,7.703,3.727,5.785,0,7.513,3.006,2,9.719,6.306,12.244,2.032,2.032,12.056,7.745,0.218,6.603,3.344,1.822,1.152,4.454,2,3.623,3.659,29.336,1,3.74,223.651,3,2,223.651,223.651,223.651,223.651,12.607,2,0,7.755,47,7.798,4.665,1.067,3.824,0.556,1.939,254.084,46,200.109,1.127,101.265,0.9,1.181
8.541,3.377,1.165,3.38,0.825,5,2,0.0,0.025,5.597,13.976,7.104,3.478,1.955,12.371,0,1.354,8.392,8.653,4.514,5.785,0,8.462,3.006,2,9.719,7.09,15.885,2.032,2.032,15.807,9.808,0.47,8.2,3.399,1.822,1.316,4.454,2,3.606,3.752,31.62,1,3.866,294.278,3,2,294.278,294.278,294.278,294.278,13.671,2,0,9.923,53,8.748,4.915,1.151,3.995,0.721,1.922,296.423,52,270.735,1.274,101.265,1.064,1.396
8.23,3.377,1.165,3.38,0.825,5,2,0.0,0.025,5.597,13.976,7.104,3.478,1.955,12.371,0,1.354,8.392,8.653,4.514,5.785,0,8.462,3.006,2,9.719,7.09,15.885,2.032,2.032,15.807,9.808,0.47,8.2,3.399,1.822,1.316,4.454,2,3.606,3.752,31.62,1,3.866,294.278,3,2,294.278,294.278,294.278,294.278,13.671,2,0,9.923,53,8.748,4.915,1.151,3.995,0.721,1.922,296.423,52,270.735,1.274,101.265,1.064,1.396
5.633,2.941,0.825,2.91,0.799,6,1,0.0,0.109,3.606,7.286,0.0,2.283,1.271,8.0,1,1.133,4.572,5.603,2.936,0.0,0,5.516,2.291,1,0.0,4.599,8.746,1.338,1.338,9.882,5.442,0.0,5.051,2.967,0.477,0.808,0.0,2,3.263,3.314,20.108,0,3.439,200.109,0,2,200.109,200.109,200.109,200.109,8.742,2,0,6.108,34,5.66,4.458,0.566,3.49,0.532,1.877,166.465,33,176.567,0.689,51.582,0.258,0.785
6.495,2.738,0.544,2.732,0.351,0,1,0.0,0.184,3.329,5.45,0.0,1.54,1.271,5.285,0,1.046,3.57,4.66,2.175,0.0,0,4.573,2.291,1,0.0,3.832,5.852,1.338,1.338,6.591,3.832,0.0,3.543,2.882,0.477,0.647,0.0,2,3.246,3.169,17.824,0,3.243,129.482,0,2,129.482,129.482,129.482,129.482,7.698,2,0,4.279,28,4.716,4.039,0.49,3.215,0.218,1.893,128.382,27,105.94,0.556,51.582,0.194,0.523
7.455,2.972,0.621,2.952,0.525,0,1,0.0,0.067,3.356,6.536,0.0,1.735,1.331,6.202,0,1.162,4.249,5.071,2.506,0.0,0,4.91,2.358,1,0.0,4.139,7.417,1.414,1.414,7.486,4.864,0.0,4.112,2.964,0.431,0.729,0.0,2,3.281,3.268,19.586,0,3.347,153.024,0,2,153.024,153.024,153.024,153.024,8.342,2,0,4.889,31,5.126,4.138,0.561,3.364,0.321,1.918,147.207,30,129.482,0.664,51.582,0.45,0.769
8.796,3.162,0.917,3.16,0.541,0,1,0.0,0.254,3.408,10.929,0.0,2.297,1.638,8.888,0,1.275,7.232,6.321,3.51,0.0,0,6.003,2.653,1,0.0,5.11,12.944,1.673,1.673,11.402,8.587,0.218,5.872,3.176,0.32,1.041,0.0,2,3.467,3.534,24.87,0,3.627,223.651,0,2,223.651,223.651,223.651,223.651,10.384,2,0,7.558,40,6.376,4.482,0.882,3.759,0.469,1.957,206.131,39,200.109,1.058,51.582,0.804,1.181
8.498,3.175,0.917,3.176,0.543,0,1,0.0,-0.133,3.442,10.828,0.0,2.297,1.605,8.888,0,1.276,7.058,6.321,3.51,0.0,0,6.002,2.622,1,0.0,5.111,12.93,1.647,1.647,11.402,8.561,0.176,5.872,3.176,0.32,1.041,0.0,2,3.453,3.534,24.87,0,3.627,223.651,0,5,223.651,223.651,223.651,223.651,10.384,2,0,7.558,40,6.376,4.482,0.923,3.759,0.469,1.958,206.131,39,200.109,1.063,51.582,0.804,1.11
8.921,3.592,1.177,3.568,1.134,8,0,5.556,0.049,0.0,21.3,7.507,3.836,2.503,13.501,3,1.617,14.945,10.711,6.139,6.104,0,10.358,3.614,0,10.276,8.436,19.616,2.675,2.675,17.93,14.56,0.462,9.946,3.652,-0.693,1.908,4.678,13,3.82,4.028,38.08,0,4.088,368.093,0,4,353.133,353.133,353.133,353.133,19.1,4,0,13.539,63,12.578,5.154,1.842,4.279,1.079,1.894,354.413,60,353.133,1.89,7.767,1.201,1.2
6.456,3.523,1.217,3.517,1.116,7,1,4.659,-0.007,3.417,18.937,7.507,3.816,2.333,13.66,2,1.529,12.669,10.076,5.499,6.104,0,9.916,3.393,0,10.276,8.111,19.744,2.433,2.433,18.744,13.239,0.462,8.999,3.563,-0.37,1.828,4.678,7,3.73,3.946,35.069,0,4.034,356.322,0,4,341.362,341.362,341.362,341.362,17.17,4,0,12.543,59,10.195,5.077,1.7,4.218,1.034,1.922,325.212,56,341.362,1.778,24.259,0.924,1.2
