pXC50,Hy,ATSC8s,H.050,nHDon,CATS2D_05_DL,SpMin2_Bh.s.,Eig05_EA.dm.,MCD,CATS2D_04_DL,SsssCH,ATSC5m,Eta_C_A,CATS2D_06_DL,CATS2D_09_DA,BAC,ATS5i,ATSC5v,SpMin4_Bh.s.,CATS2D_03_DA,ATSC6m,X3A,Eig04_EA.dm.,Eig09_EA.dm.,CATS2D_03_DD,CATS2D_05_DA,SsNH2,CATS2D_08_DL,ATSC7m,PW4,SpMAD_EA.ed.,CATS2D_09_AP,nCsp3,SdssC,ATS8s,H.046,ATSC5s,TPSA.Tot.,CATS2D_07_DP,DBI,TPSA.NO.,ATSC2m,ATSC1v,ATSC2v,ATSC8m,NdssC,CATS2D_09_DL,DLS_05,X5A,CATS2D_02_DA,ATSC4v,CATS2D_04_PL,SpMAD_AEA.ri.,ATSC8v,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,NsNH2,RBF,ATS7s,CATS2D_07_DD,X4A,CATS2D_02_DP,P_VSA_e_3,NsssCH
6.699,5.264,260.757,9,9,15,1.294,1.2,0.354,13,-3.122,62.983,1.216,9,6,133.0,5.708,24.017,1.15,3,66.488,0.198,1.38,0.129,2,4,10.843,9,70.86,0.154,3.992,4,12,-2.304,6.961,7,242.888,242.16,2,6.403,213.92,34.583,9.84,17.79,70.419,5,6,1.0,0.085,6,24.571,2,1.461,30.795,2,2,2,2,0.189,6.831,3,0.126,2,171.408,4
6.149,4.442,231.142,8,8,14,1.294,1.2,0.362,12,-2.921,62.273,1.21,10,5,112.0,5.694,23.734,1.15,3,66.484,0.198,1.38,0.129,2,4,10.856,9,70.127,0.157,3.943,4,12,-2.118,6.9,7,233.714,221.93,2,6.364,193.69,34.822,9.947,17.894,69.811,5,7,1.0,0.085,6,24.352,2,1.455,30.769,2,2,2,2,0.191,6.803,2,0.127,2,171.408,4
7.347,4.591,246.696,8,8,8,1.295,1.2,0.256,13,-3.09,61.104,1.3,10,5,161.0,5.669,22.545,1.15,3,65.392,0.196,1.38,0.129,2,4,10.776,7,68.962,0.158,4.015,4,14,-2.06,6.856,13,248.598,221.93,2,6.481,193.69,35.761,9.806,17.496,74.169,5,6,1.0,0.085,6,23.76,2,1.466,31.203,2,2,2,2,0.19,6.683,2,0.129,2,171.408,5
8.0,4.491,256.664,8,8,11,1.297,1.2,0.378,14,-3.318,70.197,1.383,10,5,109.0,5.834,26.767,1.199,3,75.158,0.193,1.38,0.129,2,4,10.841,8,86.286,0.165,4.042,4,17,-1.766,6.946,16,259.84,221.93,2,6.325,193.69,40.431,11.289,20.318,86.095,5,6,1.0,0.082,6,27.603,2,1.472,35.562,2,2,2,2,0.163,6.76,2,0.127,2,217.363,6
5.635,4.005,212.668,7,7,7,1.236,0.566,0.314,10,-2.438,48.801,1.095,3,5,90.0,5.468,18.208,0.83,2,48.232,0.198,1.2,0.0,1,3,10.689,3,49.233,0.157,3.998,4,10,-1.44,6.597,6,205.509,192.83,2,5.701,164.59,28.303,7.814,13.62,51.867,4,5,1.0,0.084,5,17.893,2,1.461,21.295,2,2,2,2,0.176,6.409,2,0.13,2,153.398,4
6.372,4.072,171.783,7,7,7,1.238,0.884,0.333,9,-3.544,45.047,1.05,5,5,73.0,5.371,16.497,0.83,3,44.948,0.198,1.2,0.0,2,2,10.67,3,47.662,0.16,3.987,4,9,-1.622,6.466,6,201.904,201.03,2,5.568,172.79,26.213,7.357,12.754,48.489,4,4,1.0,0.084,4,16.602,2,1.461,20.304,2,2,2,2,0.188,6.366,2,0.129,2,135.387,4
4.607,1.977,14.91,4,4,4,1.165,0.0,0.55,2,0.0,22.884,1.007,4,4,40.0,4.909,20.1535,0.676,0,15.455,0.187,0.0,0.0,0,0,10.634,0,20.742,0.138,4.82,4,7,0.097,4.668,0,31.251,82.86,0,3.536,82.86,17.879,8.222,14.5405,13.554,1,0,1.0,0.074,2,19.93,2,1.54,23.442,2,2,2,2,0.07,5.281,0,0.111,2,151.6455,0
6.796,5.322,265.038,9,9,14,1.253,1.2,0.37,12,-3.259,59.164,1.136,15,7,90.0,5.693,22.841,1.143,4,61.992,0.2,1.38,0.129,3,2,10.801,7,66.781,0.155,3.902,4,11,-2.15,6.88,6,218.728,233.96,2,6.325,205.72,34.638,9.839,17.136,71.655,5,11,1.0,0.086,6,22.691,2,1.452,29.384,2,2,2,2,0.193,6.742,3,0.129,2,189.174,4
6.395,5.264,246.751,9,9,14,1.298,1.38,0.229,12,-4.153,70.443,1.32,14,9,185.0,5.843,26.413,1.215,6,76.192,0.198,1.629,0.14,3,4,10.822,8,79.369,0.16,3.889,4,17,-2.882,6.941,13,278.639,260.26,2,7.071,232.02,42.646,11.902,20.242,85.086,6,10,1.0,0.086,6,26.661,2,1.446,34.873,2,2,2,2,0.214,6.865,3,0.13,2,189.174,6
5.717,5.383,207.066,9,9,15,1.253,1.2,0.386,12,-3.143,57.184,1.104,14,7,73.0,5.65,21.695,1.061,4,60.005,0.198,1.38,0.129,3,2,10.805,8,64.678,0.161,3.873,4,10,-2.018,6.798,6,210.351,233.96,2,6.205,205.72,33.473,9.568,16.669,68.76,5,11,1.0,0.086,6,21.981,2,1.448,29.1,2,2,2,2,0.188,6.687,3,0.13,2,189.174,4
7.119,4.551,245.355,8,8,11,1.304,1.2,0.25,12,-3.007,67.444,1.33,8,5,166.0,5.751,24.662,1.15,3,68.37,0.2,1.38,0.129,2,4,10.806,8,72.366,0.156,3.982,4,15,-1.998,6.888,15,253.452,221.93,2,6.557,193.69,37.476,10.34,18.396,77.243,5,5,1.0,0.085,6,24.91,2,1.452,33.39,2,2,2,2,0.195,6.75,2,0.127,2,171.408,5
6.879,4.491,256.664,8,8,11,1.297,1.2,0.378,14,-3.318,70.197,1.383,10,5,109.0,5.834,26.767,1.199,3,75.158,0.193,1.38,0.129,2,4,10.841,8,86.286,0.165,4.042,4,17,-1.766,6.946,16,259.84,221.93,2,6.325,193.69,40.431,11.289,20.318,86.095,5,6,1.0,0.082,6,27.603,2,1.472,35.562,2,2,2,2,0.163,6.76,2,0.127,2,217.363,6
5.658,4.608,215.969,8,8,11,1.253,0.98,0.381,11,-3.154,54.218,1.109,10,6,73.0,5.596,20.601,0.897,5,56.676,0.197,1.2,0.0,2,2,10.783,4,62.242,0.162,3.945,4,10,-2.033,6.791,6,212.64,235.07,2,6.124,206.83,31.521,8.825,15.29,66.857,5,6,1.0,0.084,5,20.057,2,1.457,27.94,2,2,2,2,0.2,6.692,3,0.129,2,171.163,4
8.155,8.047,287.685,12,12,9,1.287,1.2,0.239,13,-3.691,67.58,1.312,7,8,170.0,5.802,25.606,1.198,3,73.81,0.199,1.38,0.188,2,5,21.645,6,84.923,0.152,3.932,6,14,-2.247,6.982,6,274.838,286.33,4,6.819,258.09,38.67,10.437,18.552,83.295,6,5,1.0,0.085,8,24.759,4,1.457,32.086,4,4,4,4,0.198,6.778,4,0.131,4,299.942,5
5.175,0.276,104.458,2,2,2,1.212,0.293,0.629,3,-1.268,37.418,0.951,6,1,52.0,5.223,15.104,0.901,2,41.177,0.185,0.4,0.0,1,6,0.0,3,40.373,0.171,4.506,0,6,-1.005,6.319,0,152.913,154.2,0,4.416,117.58,24.864,5.892,10.713,42.137,3,1,0.5,0.074,2,13.258,0,1.515,14.015,0,0,0,0,0.115,6.463,0,0.115,0,40.664,2
4.993,0.252,102.226,2,2,4,1.112,0.555,0.667,3,-0.911,34.112,0.9,4,1,38.0,5.159,14.119,0.882,2,32.392,0.184,1.058,0.0,1,4,0.0,3,31.911,0.176,4.376,0,5,-0.951,6.171,0,133.843,128.75,0,3.937,100.51,20.616,5.302,9.405,33.156,4,1,0.5,0.076,2,12.725,0,1.513,11.658,0,0,0,0,0.088,6.23,0,0.117,0,42.27,2
4.824,0.792,80.912,3,3,3,1.159,0.0,0.771,6,-0.328,37.228,0.892,4,1,17.0,5.25,16.165,0.887,0,29.985,0.181,0.293,0.0,1,3,0.0,5,31.764,0.186,4.349,0,6,-0.518,6.057,4,107.044,95.99,0,3.606,95.99,20.343,6.483,11.848,33.411,3,2,0.5,0.076,2,16.833,0,1.507,16.706,0,0,0,0,0.078,6.106,0,0.118,0,55.931,2
5.0,0.243,79.827,2,2,2,1.212,0.0,0.733,3,-0.215,32.833,0.983,4,1,17.0,5.077,14.056,1.075,0,32.901,0.185,0.555,0.0,1,2,0.0,3,33.212,0.181,4.273,0,9,-0.194,5.887,4,104.552,106.75,0,3.464,78.51,24.893,6.407,11.961,32.397,3,1,0.5,0.079,2,14.357,0,1.501,12.77,0,0,0,0,0.088,5.828,0,0.12,0,39.146,2
4.959,0.892,94.695,3,3,2,1.212,0.293,0.667,3,-1.764,31.103,0.912,4,1,38.0,5.091,12.571,0.882,0,30.337,0.184,1.058,0.0,1,4,0.0,7,30.937,0.176,4.376,0,5,-1.912,6.174,0,153.643,145.74,0,3.937,117.5,18.202,5.029,9.345,32.735,4,4,0.5,0.076,3,12.332,0,1.514,12.124,0,0,0,0,0.107,6.34,0,0.117,0,39.146,3
4.824,0.222,88.276,2,2,0,1.083,0.293,0.697,0,0.0,25.822,0.747,3,1,41.0,5.044,12.6,0.781,1,22.938,0.181,0.86,0.0,0,0,5.347,1,23.473,0.181,4.397,1,2,-1.558,5.994,0,109.78,109.21,0,3.606,109.21,14.763,4.758,7.931,22.273,3,2,0.0,0.072,1,10.352,0,1.507,10.03,1,1,1,1,0.127,6.125,0,0.113,0,54.461,0
6.929,4.052,180.798,7,7,7,1.238,0.884,0.324,8,-3.72,47.913,1.094,6,5,90.0,5.37,16.418,0.83,3,46.911,0.197,1.2,0.0,2,2,10.672,2,48.692,0.16,4.054,4,9,-1.724,6.478,6,217.538,201.03,2,5.612,172.79,25.574,7.085,12.566,49.912,4,5,1.0,0.083,4,16.602,2,1.473,20.339,2,2,2,2,0.188,6.376,2,0.128,2,135.387,4
7.538,5.206,259.182,9,9,9,1.256,1.2,0.408,13,-3.692,66.219,1.252,11,6,109.0,5.808,26.457,1.198,3,72.053,0.189,1.38,0.129,2,4,10.869,11,84.053,0.169,4.144,4,12,-2.06,6.988,6,253.109,237.72,2,6.481,209.48,36.495,10.452,18.891,81.329,5,11,1.0,0.079,6,25.885,2,1.483,32.718,2,2,2,2,0.17,6.836,3,0.123,2,234.148,5
8.222,5.282,282.832,9,9,12,1.254,1.2,0.362,14,-3.803,64.008,1.239,11,6,130.0,5.762,25.1,1.197,3,69.38,0.196,1.38,0.129,2,4,10.822,8,82.428,0.158,4.041,4,12,-2.197,6.984,6,259.898,242.16,2,6.442,213.92,35.286,10.124,18.09,79.126,5,7,1.0,0.083,6,24.937,2,1.47,31.888,2,2,2,2,0.178,6.803,3,0.127,2,217.363,5
4.112,2.675,22.064,4,4,2,0.648,0.0,0.545,6,0.0,8.804,0.569,0,0,14.0,3.848,20.1535,0.029,0,4.014,0.213,0.0,0.0,0,0,5.351,0,3.066,0.139,3.78,0,1,0.0,3.611,0,34.244,66.48,2,2.236,66.48,6.788,8.222,14.5405,3.153,0,0,0.5,0.087,0,19.93,2,1.436,23.442,1,1,1,1,0.095,4.365,2,0.141,0,151.6455,0
5.301,0.911,72.456,3,3,4,1.066,0.4,0.611,3,0.0,25.374,0.914,3,0,54.0,5.048,11.714,0.7,1,39.401,0.181,0.522,0.0,0,1,0.0,2,31.116,0.19,4.336,0,3,-1.061,6.174,0,84.904,138.41,0,4.062,110.17,15.32,4.317,7.742,40.489,2,1,0.0,0.076,5,9.587,0,1.492,11.724,0,0,0,0,0.138,6.23,0,0.116,0,89.502,0
6.599,3.203,179.637,6,6,4,1.236,0.233,0.324,7,-2.331,43.138,1.046,4,4,90.0,5.293,14.526,0.83,3,41.916,0.197,1.058,0.0,1,2,10.657,1,43.872,0.16,4.054,4,8,-2.81,6.471,6,219.958,197.87,2,5.612,169.63,23.798,6.631,11.87,46.015,5,4,1.0,0.083,4,15.3,2,1.474,18.716,2,2,2,2,0.194,6.352,2,0.128,2,135.387,3
5.132,0.247,90.023,2,2,2,1.111,0.655,0.629,3,-1.068,32.498,0.929,4,1,40.0,5.153,12.805,0.927,2,35.477,0.184,1.058,0.0,1,6,0.0,3,39.098,0.18,4.288,0,6,-1.402,6.228,0,141.639,137.98,0,4.183,109.74,23.157,5.784,10.197,38.49,4,1,0.5,0.076,2,12.215,0,1.498,13.573,0,0,0,0,0.115,6.352,0,0.118,0,42.27,2
5.0,0.177,62.729,2,2,3,1.211,0.0,0.75,3,-0.103,41.23,1.098,5,0,10.0,5.319,19.43,1.205,0,42.545,0.179,0.0,0.0,1,2,0.0,2,41.507,0.176,4.472,0,13,-0.184,5.888,6,79.393,89.68,0,3.937,61.44,31.199,8.226,14.923,40.45,2,1,1.0,0.074,2,19.803,0,1.514,16.813,0,0,0,0,0.106,5.983,0,0.116,0,39.146,2
4.569,5.54,72.425,8,8,5,1.17,0.219,0.24,5,0.0,28.961,1.061,2,4,80.0,4.778,8.9,0.674,0,43.815,0.199,0.366,0.0,0,3,15.601,0,30.628,0.149,3.933,4,5,-1.303,5.375,0,104.201,166.05,3,4.416,166.05,11.428,4.127,8.034,45.991,3,2,0.5,0.08,5,10.449,2,1.452,8.545,3,3,3,3,0.205,5.989,4,0.124,2,225.396,0
6.947,5.52,264.679,9,9,9,1.238,1.416,0.293,14,-2.987,69.057,1.081,6,4,166.0,5.689,22.563,1.162,2,61.107,0.194,1.437,0.061,2,4,10.7,8,56.535,0.157,4.189,1,10,-3.48,6.757,8,323.183,243.01,1,6.325,234.63,32.171,8.899,15.91,60.788,5,10,1.0,0.083,6,22.138,2,1.474,25.608,2,2,2,2,0.205,6.646,2,0.124,1,149.893,3
7.481,5.52,274.183,9,9,9,1.234,1.416,0.293,14,-2.916,64.302,1.074,6,2,166.0,5.661,22.333,1.162,2,60.772,0.196,1.437,0.061,2,4,10.702,7,58.675,0.151,4.181,1,10,-3.36,6.738,8,299.789,243.01,1,6.325,234.63,32.171,8.899,15.91,61.07,5,9,1.0,0.083,6,22.085,2,1.475,25.384,2,2,2,2,0.205,6.848,3,0.125,1,149.893,3
7.77,5.52,346.79,9,9,9,1.234,1.416,0.293,14,-2.865,65.195,1.069,6,2,166.0,5.665,22.28,1.162,2,56.017,0.197,1.437,0.061,2,4,10.703,7,58.34,0.149,4.177,1,10,-3.27,6.924,8,306.791,243.01,1,6.325,234.63,32.171,8.899,15.91,63.21,5,8,1.0,0.083,6,22.083,2,1.474,25.615,2,2,2,2,0.205,6.651,2,0.126,1,149.893,3
6.587,6.497,308.666,10,10,8,1.234,1.416,0.3,12,-4.537,55.983,1.0,7,3,163.0,5.531,18.941,1.096,2,52.119,0.194,1.437,0.061,3,6,10.612,7,51.97,0.15,4.222,1,8,-3.83,6.713,0,349.54,263.24,1,6.245,254.86,28.576,7.702,13.864,54.262,5,9,1.0,0.084,6,18.976,2,1.489,20.422,2,2,2,2,0.205,6.848,4,0.126,1,149.893,3
6.491,4.738,251.934,8,8,9,1.233,1.416,0.308,12,-4.032,59.093,1.072,6,2,140.0,5.525,19.651,1.096,2,54.32,0.195,1.437,0.061,3,5,5.447,7,56.369,0.156,4.164,1,9,-2.681,6.633,0,311.317,245.45,1,6.083,211.77,34.133,8.219,14.718,60.96,4,6,1.0,0.084,5,19.704,2,1.472,21.624,1,1,1,1,0.205,6.755,4,0.126,1,116.996,3
5.886,4.575,104.475,7,7,8,1.165,0.242,0.24,4,0.0,45.392,1.051,1,4,80.0,4.759,8.648,0.669,0,39.451,0.195,0.366,0.0,0,2,5.142,0,37.33,0.155,3.943,2,5,-1.952,5.683,0,132.906,157.76,1,4.416,157.76,9.079,3.915,7.605,36.542,3,1,0.5,0.083,3,10.333,1,1.459,7.162,1,1,1,1,0.233,5.782,3,0.127,2,192.499,0
6.939,3.821,229.821,7,7,10,1.234,1.416,0.3,14,-2.412,67.423,1.147,5,2,143.0,5.655,23.022,1.162,2,62.959,0.197,1.437,0.061,2,3,5.475,5,62.954,0.157,4.123,1,11,-2.263,6.659,8,269.473,225.22,1,6.164,191.54,37.407,9.411,16.736,67.276,4,5,1.0,0.084,5,22.786,2,1.458,26.619,1,1,1,1,0.205,6.755,3,0.125,1,116.996,3
4.456,2.311,71.49,5,5,7,1.221,0.6,0.636,9,-1.225,47.134,1.011,3,2,41.0,5.509,20.176,1.101,3,43.811,0.178,0.68,0.0,0,1,5.483,3,42.703,0.185,4.515,1,10,-0.671,6.035,0,160.282,128.74,1,4.123,128.74,25.689,7.736,13.635,35.127,3,4,1.0,0.07,1,20.388,2,1.511,17.323,1,1,1,1,0.106,6.223,2,0.109,1,85.704,3
4.921,0.895,142.624,3,3,3,1.124,0.0,0.658,1,0.0,24.709,0.836,2,0,70.0,5.141,11.104,0.761,2,26.45,0.171,0.172,0.0,0,2,5.751,0,31.872,0.182,4.756,0,4,-1.006,6.403,0,131.123,120.03,0,4.472,120.03,17.797,4.79,8.012,24.864,1,0,0.0,0.069,2,13.017,1,1.559,10.586,1,1,1,1,0.097,6.432,0,0.107,0,110.753,0
5.0,4.505,818.572,9,9,11,1.316,2.012,0.133,9,-17.767,146.35,1.84,9,8,1032.0,6.569,55.532,1.262,6,155.582,0.188,2.028,1.918,5,9,5.546,15,172.179,0.173,4.276,1,41,-9.161,7.877,32,783.609,351.81,1,10.075,351.81,79.783,23.003,38.387,189.826,11,16,1.0,0.08,6,56.145,0,1.488,78.207,1,1,1,1,0.201,7.744,3,0.126,0,132.324,17
