pXC50,RBN,Se,nBT,Si,Sv,nCsp2,Sp,nH,nHet,nC,nCsp3,nAT,nS,MW,nBO,nAB,nSK,nO,nDB,SCBO,Mv,nBM,RBF,N.,O.,nN,X.,H.,Mp,C.
4.0,2,30.502,32,33.836,21.265,10,22.779,11,7,12,2,30,0,385.08,21,15,19,0,0,28.5,0.709,15,0.063,16.7,0.0,5,6.7,36.7,0.759,40.0
4.0,2,30.502,32,33.836,21.265,10,22.779,11,7,12,2,30,0,385.08,21,15,19,0,0,28.5,0.709,15,0.063,16.7,0.0,5,6.7,36.7,0.759,40.0
4.0,1,24.276,26,27.322,16.161,10,16.551,9,5,10,0,24,0,199.24,17,15,15,0,0,24.5,0.673,15,0.038,20.8,0.0,5,0.0,37.5,0.69,41.7
4.0,1,27.618,29,30.42,19.738,10,21.017,9,7,11,1,27,0,371.05,20,15,18,0,0,27.5,0.731,15,0.034,18.5,0.0,5,7.4,33.3,0.778,40.7
5.437,1,24.734,26,27.005,18.211,10,19.256,7,7,10,0,24,0,357.02,19,15,17,0,0,26.5,0.759,15,0.038,20.8,0.0,5,8.3,29.2,0.802,41.7
4.0,1,24.505,26,27.164,17.186,10,17.904,8,6,10,0,24,0,278.13,18,15,16,0,0,25.5,0.716,15,0.038,20.8,0.0,5,4.2,33.3,0.746,41.7
7.81,17,79.138,79,86.881,50.084,20,52.023,32,16,29,9,77,0,707.52,47,17,45,10,6,61.5,0.65,23,0.215,5.2,13.0,4,1.3,41.6,0.676,37.7
9.553,12,76.152,78,83.987,50.053,24,53.063,31,13,31,7,75,0,701.98,47,23,44,6,4,62.5,0.667,27,0.154,5.3,8.0,4,2.7,41.3,0.708,41.3
7.833,11,66.062,67,73.213,42.172,18,44.682,28,12,25,7,65,0,591.44,39,17,37,6,4,51.5,0.649,21,0.164,6.2,9.2,4,1.5,43.1,0.687,38.5
7.357,7,49.062,50,53.459,32.412,19,33.472,19,7,22,3,48,1,414.48,31,18,29,5,3,43.0,0.675,21,0.14,0.0,10.4,0,2.1,39.6,0.697,45.8
6.398,5,41.967,43,45.419,28.644,19,29.494,15,6,20,1,41,1,370.42,28,18,26,4,3,40.0,0.699,21,0.116,0.0,9.8,0,2.4,36.6,0.719,48.8
6.301,6,49.28,50,53.542,32.907,20,33.716,18,8,22,2,48,1,427.48,32,18,30,5,4,45.0,0.686,22,0.12,2.1,10.4,1,2.1,37.5,0.702,45.8
5.678,15,74.756,77,82.318,48.147,28,49.818,32,8,34,6,74,0,568.66,45,24,42,8,3,60.0,0.651,27,0.195,0.0,10.8,0,0.0,43.2,0.673,45.9
5.638,15,74.756,77,82.318,48.147,28,49.818,32,8,34,6,74,0,568.66,45,24,42,8,3,60.0,0.651,27,0.195,0.0,10.8,0,0.0,43.2,0.673,45.9
9.032,5,51.516,53,55.588,35.2,19,36.5,18,10,22,3,50,1,493.39,35,18,32,5,3,47.0,0.704,21,0.094,4.0,10.0,2,4.0,36.0,0.73,44.0
5.77,4,44.105,47,49.155,28.895,14,30.665,19,6,19,5,44,1,353.48,28,12,25,2,2,36.0,0.657,14,0.085,6.8,4.5,3,0.0,43.2,0.697,43.2
5.252,4,48.105,52,53.155,32.895,20,34.665,19,6,23,3,48,1,401.52,33,18,29,2,2,44.0,0.685,20,0.077,6.3,4.2,3,0.0,39.6,0.722,47.9
4.658,3,50.989,55,56.571,34.422,20,36.426,21,6,24,4,51,1,415.55,34,18,30,2,2,45.0,0.675,20,0.055,5.9,3.9,3,0.0,41.2,0.714,47.1
6.678,7,58.88,61,65.192,37.928,19,38.909,24,9,25,6,58,0,460.53,37,17,34,5,4,49.5,0.654,21,0.115,6.9,8.6,4,0.0,41.4,0.671,43.1
7.301,8,80.829,84,90.474,50.319,20,52.182,36,12,32,12,80,0,600.74,48,17,44,6,5,61.5,0.629,22,0.095,7.5,7.5,6,0.0,45.0,0.652,40.0
5.22,8,81.61,86,91.391,50.825,19,52.938,37,11,33,14,81,0,599.75,49,17,44,6,4,61.5,0.627,21,0.093,6.2,7.4,5,0.0,45.7,0.654,40.7
5.22,9,82.938,86,92.601,51.539,20,53.392,37,12,33,13,82,0,615.75,49,17,45,7,5,62.5,0.629,22,0.105,6.1,8.5,5,0.0,45.1,0.651,40.2
5.22,7,61.763,64,68.607,39.454,19,40.671,26,9,26,7,61,0,474.56,38,17,35,5,4,50.5,0.647,21,0.109,6.6,8.2,4,0.0,42.6,0.667,42.6
5.22,7,67.749,71,75.521,43.003,19,44.438,29,10,28,9,67,0,515.62,42,17,38,5,4,54.5,0.642,21,0.099,7.5,7.5,5,0.0,43.3,0.663,41.8
5.22,7,70.632,74,78.936,44.529,19,46.199,31,10,29,10,70,0,529.65,43,17,39,5,4,55.5,0.636,21,0.095,7.1,7.1,5,0.0,44.3,0.66,41.4
5.387,9,79.618,84,88.85,51.078,25,52.966,34,11,34,9,79,0,606.74,50,23,45,5,4,65.5,0.647,27,0.107,7.6,6.3,6,0.0,43.0,0.67,43.0
5.333,8,78.28,82,86.727,50.76,25,51.904,31,13,33,8,77,0,621.71,51,23,46,6,5,67.5,0.659,28,0.098,9.1,7.8,7,0.0,40.3,0.674,42.9
5.22,6,55.996,58,61.777,36.401,19,37.148,22,9,24,5,55,0,446.5,36,17,33,5,4,48.5,0.662,21,0.103,7.3,9.1,4,0.0,40.0,0.675,43.6
5.22,8,75.618,79,84.85,47.078,19,48.966,34,11,30,11,75,0,558.7,45,17,41,5,4,57.5,0.628,21,0.101,8.0,6.7,6,0.0,45.3,0.653,40.0
5.561,8,46.571,46,50.412,29.46,16,29.489,18,8,19,3,45,0,374.37,28,12,27,8,3,37.0,0.655,15,0.174,0.0,17.8,0,0.0,40.0,0.655,42.2
6.652,7,62.287,66,69.607,40.233,18,42.415,27,9,26,8,62,1,489.65,39,22,35,3,1,51.0,0.649,23,0.106,8.1,4.8,5,0.0,43.5,0.684,41.9
5.449,8,72.483,76,81.145,46.023,19,48.398,32,11,29,10,72,1,560.74,44,22,40,4,2,57.0,0.639,24,0.105,8.3,5.6,6,0.0,44.4,0.672,40.3
5.22,6,62.505,66,69.69,40.728,19,42.659,26,10,26,7,62,1,502.65,40,22,36,3,2,53.0,0.657,24,0.091,9.7,4.8,6,0.0,41.9,0.688,41.9
5.22,6,59.403,63,66.192,38.706,18,40.654,25,9,25,7,59,1,475.62,38,22,34,3,1,50.0,0.656,23,0.095,8.5,5.1,5,0.0,42.4,0.689,42.4
5.22,6,60.178,64,67.481,39.013,18,41.205,26,9,25,7,60,1,474.64,38,22,34,2,1,50.0,0.65,23,0.094,10.0,3.3,6,0.0,43.3,0.687,41.7
5.22,8,75.367,79,84.56,47.55,19,50.159,34,11,30,11,75,1,574.77,45,22,41,4,2,58.0,0.634,24,0.101,8.0,5.3,6,0.0,45.3,0.669,40.0
5.22,6,65.389,69,73.105,42.255,19,44.421,28,10,27,8,65,1,516.68,41,22,37,3,2,54.0,0.65,24,0.087,9.2,4.6,6,0.0,43.1,0.683,41.5
5.22,8,68.829,73,77.726,43.593,18,46.489,32,9,28,10,69,1,516.73,41,22,37,2,1,53.0,0.632,23,0.11,8.7,2.9,6,0.0,46.4,0.674,40.6
5.22,7,66.792,70,74.235,43.157,18,45.523,28,12,26,8,66,2,552.74,42,22,38,4,3,56.0,0.654,25,0.1,9.1,6.1,6,0.0,42.4,0.69,39.4
5.22,7,68.829,73,77.726,43.593,18,46.489,32,9,28,10,69,1,516.73,41,22,37,2,1,53.0,0.632,23,0.096,8.7,2.9,6,0.0,46.4,0.674,40.6
5.22,7,65.061,69,72.896,42.54,18,44.966,28,9,28,8,65,1,512.69,41,22,37,2,1,55.0,0.654,24,0.101,9.2,3.1,6,0.0,43.1,0.692,43.1
5.22,7,72.178,75,80.229,45.739,20,46.898,30,12,29,9,71,0,558.65,45,17,41,6,5,58.5,0.644,22,0.093,8.5,8.5,6,0.0,42.3,0.661,40.8
5.22,8,68.829,73,77.726,43.593,18,46.489,32,9,28,10,69,1,516.73,41,22,37,2,1,53.0,0.632,23,0.11,8.7,2.9,6,0.0,46.4,0.674,40.6
5.394,5,58.323,61,63.986,38.116,19,38.602,22,10,25,6,57,0,474.51,39,17,35,6,4,51.5,0.669,21,0.082,7.0,10.5,4,0.0,38.6,0.677,43.9
6.237,5,64.309,67,70.9,41.664,20,42.369,25,11,27,7,63,0,515.57,42,17,38,6,5,55.5,0.661,22,0.075,7.9,9.5,5,0.0,39.7,0.673,42.9
5.22,7,51.309,54,57.152,33.938,18,35.676,21,8,22,4,51,1,419.55,33,22,30,2,1,45.0,0.665,23,0.13,9.8,3.9,5,0.0,41.2,0.7,43.1
5.22,8,51.309,54,57.152,33.938,18,35.676,21,8,22,4,51,1,419.55,33,22,30,2,1,45.0,0.665,23,0.148,9.8,3.9,5,0.0,41.2,0.7,43.1
5.22,7,57.076,60,63.982,36.992,18,39.199,25,8,24,6,57,1,447.61,35,22,32,2,1,47.0,0.649,23,0.117,8.8,3.5,5,0.0,43.9,0.688,42.1
4.215,4,33.153,35,37.279,21.434,11,22.284,14,5,14,3,33,0,254.32,21,11,19,1,2,28.5,0.65,13,0.114,12.1,3.0,4,0.0,42.4,0.675,42.4
4.149,6,39.345,41,42.953,27.041,18,28.347,15,5,19,1,39,1,337.42,26,18,24,3,1,36.0,0.693,19,0.146,2.6,7.7,1,0.0,38.5,0.727,48.7
4.284,5,38.018,40,41.744,26.326,18,27.892,15,4,19,1,38,1,321.42,25,18,23,2,1,35.0,0.693,19,0.125,2.6,5.3,1,0.0,39.5,0.734,50.0
4.292,3,25.502,26,28.203,15.8,6,16.176,11,4,10,4,25,0,193.22,15,0,14,3,4,19.0,0.632,4,0.115,4.0,12.0,1,0.0,44.0,0.647,40.0
4.167,6,30.269,30,34.033,17.853,6,18.699,15,4,11,5,30,0,209.27,15,0,15,3,4,19.0,0.595,4,0.2,3.3,10.0,1,0.0,50.0,0.623,36.7
4.071,6,34.018,35,37.744,22.326,12,23.892,15,4,15,3,34,1,273.38,20,12,19,2,1,27.0,0.657,13,0.171,2.9,5.9,1,0.0,44.1,0.703,44.1
7.0,6,57.662,60,64.109,36.433,17,37.665,25,8,24,7,57,0,435.52,35,17,32,5,2,45.5,0.639,19,0.1,5.3,8.8,3,0.0,43.9,0.661,42.1
4.161,5,32.713,33,35.827,21.041,12,21.392,13,5,14,2,32,0,259.28,20,6,19,4,4,27.0,0.658,10,0.152,3.1,12.5,1,0.0,40.6,0.669,43.8
4.013,3,31.502,33,34.203,21.8,16,22.176,11,4,16,0,31,0,265.28,22,11,20,3,4,31.5,0.703,15,0.091,3.2,9.7,1,0.0,35.5,0.715,51.6
5.097,5,56.091,57,62.002,35.363,15,35.267,21,11,22,7,54,0,462.47,36,16,33,4,2,46.0,0.655,18,0.088,7.4,7.4,4,5.6,38.9,0.653,40.7
4.086,8,38.48,39,42.658,24.095,12,24.915,17,5,16,4,38,0,287.34,22,6,21,4,4,29.0,0.634,10,0.205,2.6,10.5,1,0.0,44.7,0.656,42.1
4.167,4,29.014,29,31.542,19.183,12,19.114,10,5,13,1,28,0,247.24,19,6,18,3,4,26.0,0.685,10,0.138,3.6,10.7,1,3.6,35.7,0.683,46.4
4.187,4,29.014,29,31.542,19.183,12,19.114,10,5,13,1,28,0,247.24,19,6,18,3,4,26.0,0.685,10,0.138,3.6,10.7,1,3.6,35.7,0.683,46.4
4.222,4,29.527,29,31.882,19.566,12,19.051,9,6,13,1,28,0,265.23,20,6,19,3,4,27.0,0.699,10,0.138,3.6,10.7,1,7.1,32.1,0.68,46.4
4.509,4,30.04,29,32.222,19.95,12,18.989,8,7,13,1,28,0,283.22,21,6,20,3,4,28.0,0.712,10,0.138,3.6,10.7,1,10.7,28.6,0.678,46.4
4.161,4,31.385,32,34.618,20.327,12,20.938,13,4,14,2,31,0,243.28,19,6,18,3,4,26.0,0.656,10,0.125,3.2,9.7,1,0.0,41.9,0.675,45.2
4.201,4,31.065,29,32.901,20.716,12,18.864,6,9,13,1,28,0,319.2,23,6,22,3,4,30.0,0.74,10,0.138,3.6,10.7,1,17.9,21.4,0.674,46.4
4.337,4,28.825,29,31.147,19.627,12,20.034,10,5,13,1,28,0,263.69,19,6,18,3,4,26.0,0.701,10,0.138,3.6,10.7,1,3.6,35.7,0.716,46.4
4.004,5,38.269,40,42.033,25.853,18,26.699,15,4,19,1,38,0,305.35,25,12,23,3,4,35.0,0.68,16,0.125,2.6,7.9,1,0.0,39.5,0.703,50.0
4.086,4,32.923,32,35.637,21.477,12,20.75,10,7,14,2,31,0,297.25,22,6,21,3,4,29.0,0.693,10,0.125,3.2,9.7,1,9.7,32.3,0.669,45.2
4.187,3,22.811,23,24.292,15.933,10,16.301,7,5,10,0,22,1,221.25,16,5,15,3,4,22.5,0.724,9,0.13,4.5,13.6,1,0.0,31.8,0.741,45.5
4.328,4,28.825,29,31.147,19.627,12,20.034,10,5,13,1,28,0,263.69,19,6,18,3,4,26.0,0.701,10,0.138,3.6,10.7,1,3.6,35.7,0.716,46.4
4.357,4,28.731,29,31.044,19.825,12,20.529,10,5,13,1,28,0,308.14,19,6,18,3,4,26.0,0.708,10,0.138,3.6,10.7,1,3.6,35.7,0.733,46.4
4.509,4,28.731,29,31.044,19.825,12,20.529,10,5,13,1,28,0,308.14,19,6,18,3,4,26.0,0.708,10,0.138,3.6,10.7,1,3.6,35.7,0.733,46.4
4.155,4,31.134,32,34.328,20.799,12,22.131,13,4,14,2,31,1,259.35,19,12,18,2,1,26.0,0.671,13,0.125,3.2,6.5,1,0.0,41.9,0.714,45.2
4.092,4,31.134,32,34.328,20.799,12,22.131,13,4,14,2,31,1,259.35,19,12,18,2,1,26.0,0.671,13,0.125,3.2,6.5,1,0.0,41.9,0.714,45.2
4.108,5,32.462,33,35.538,21.514,12,22.585,13,5,14,2,32,1,275.35,20,12,19,3,1,27.0,0.672,13,0.152,3.1,9.4,1,0.0,40.6,0.706,43.8
4.108,8,38.229,39,42.368,24.567,12,26.108,17,5,16,4,38,1,303.41,22,12,21,3,1,29.0,0.647,13,0.205,2.6,7.9,1,0.0,44.7,0.687,42.1
4.174,4,28.385,28,31.618,17.327,8,17.938,13,4,11,3,28,0,207.25,15,0,15,3,5,20.0,0.619,5,0.143,3.6,10.7,1,0.0,46.4,0.641,39.3
4.155,5,32.385,33,35.618,21.327,14,21.938,13,4,15,1,32,0,255.29,20,6,19,3,5,28.0,0.666,11,0.152,3.1,9.4,1,0.0,40.6,0.686,46.9
4.119,3,23.062,23,24.582,15.461,10,15.108,7,5,10,0,22,0,205.18,16,5,15,4,4,22.5,0.703,9,0.13,4.5,18.2,1,0.0,31.8,0.687,45.5
4.149,3,23.618,23,25.787,15.273,6,15.415,9,4,10,2,23,0,191.2,14,0,14,3,4,20.0,0.664,5,0.13,4.3,13.0,1,0.0,39.1,0.67,43.5
4.149,3,31.269,32,35.033,18.853,6,19.699,15,4,12,6,31,0,221.28,17,0,16,3,4,21.0,0.608,4,0.094,3.2,9.7,1,0.0,48.4,0.635,38.7
4.167,5,31.385,32,34.618,20.327,12,20.938,13,4,14,2,31,0,243.28,19,6,18,3,4,26.0,0.656,10,0.156,3.2,9.7,1,0.0,41.9,0.675,45.2
5.489,5,56.091,57,62.002,35.363,15,35.267,21,11,22,7,54,0,462.47,36,16,33,4,2,46.0,0.655,18,0.088,7.4,7.4,4,5.6,38.9,0.653,40.7
7.155,6,58.109,61,65.189,37.025,16,38.762,26,7,25,7,58,0,430.55,35,16,32,3,2,47.0,0.638,19,0.098,6.9,5.2,4,0.0,44.8,0.668,43.1
7.276,5,54.56,57,60.611,34.412,16,35.659,24,7,23,7,54,0,408.49,33,16,30,5,2,43.0,0.637,18,0.088,3.7,9.3,2,0.0,44.4,0.66,42.6
7.921,7,38.44,38,42.993,22.809,7,24.324,19,6,13,6,38,1,285.4,19,6,19,4,3,25.0,0.6,9,0.184,2.6,10.5,1,0.0,50.0,0.64,34.2
4.0,2,29.673,29,33.464,16.513,1,17.841,15,7,7,6,29,0,222.21,14,0,14,4,2,16.0,0.569,2,0.069,6.9,13.8,2,0.0,51.7,0.615,24.1
4.0,2,29.673,29,33.464,16.513,1,17.841,15,7,7,6,29,0,222.21,14,0,14,4,2,16.0,0.569,2,0.069,6.9,13.8,2,0.0,51.7,0.615,24.1
6.796,6,63.203,66,71.228,38.793,15,40.739,30,8,25,10,63,0,450.59,36,16,33,4,2,46.0,0.616,18,0.091,6.3,6.3,4,0.0,47.6,0.647,39.7
7.921,7,60.436,63,67.398,38.74,17,40.216,26,8,26,7,60,0,458.56,37,17,34,4,2,49.5,0.646,20,0.111,6.7,6.7,4,0.0,43.3,0.67,43.3
6.268,6,58.436,62,65.398,36.74,15,38.216,26,8,24,9,58,0,434.54,36,16,32,4,2,46.0,0.633,18,0.097,6.9,6.9,4,0.0,44.8,0.659,41.4
8.0,6,60.327,63,67.441,37.465,16,39.182,28,7,25,9,60,0,436.55,35,16,32,5,2,45.0,0.624,18,0.095,3.3,8.3,2,0.0,46.7,0.653,41.7
7.187,5,55.334,58,61.9,34.718,16,36.211,25,7,23,7,55,0,407.51,33,16,30,4,2,43.0,0.631,18,0.086,5.5,7.3,3,0.0,45.5,0.658,41.8
6.971,6,58.218,61,65.315,36.245,16,37.972,27,7,24,8,58,0,421.54,34,16,31,4,2,44.0,0.625,18,0.098,5.2,6.9,3,0.0,46.6,0.655,41.4
8.086,13,79.159,82,89.862,48.362,20,52.739,41,7,32,12,80,0,548.72,41,18,39,4,3,53.0,0.605,21,0.159,2.5,5.0,2,0.0,51.3,0.659,40.0
4.0,2,28.145,28,30.728,18.143,8,18.284,10,7,10,2,27,0,255.68,18,6,17,3,2,23.0,0.672,8,0.071,11.1,11.1,3,3.7,37.0,0.677,37.0
4.0,2,29.549,29,31.857,19.045,7,19.386,10,9,9,2,28,1,291.74,19,6,18,4,3,25.0,0.68,9,0.069,10.7,14.3,3,3.6,35.7,0.692,32.1
8.301,14,83.694,86,94.431,51.431,20,55.813,42,9,33,13,84,0,613.19,44,18,42,5,3,56.0,0.612,21,0.163,2.4,6.0,2,1.2,50.0,0.664,39.3
8.367,7,41.869,41,46.7,24.545,7,25.784,20,8,13,6,41,1,316.42,21,6,21,5,3,27.0,0.599,9,0.171,4.9,12.2,2,0.0,48.8,0.629,31.7
6.552,7,48.6,49,52.87,32.216,15,33.165,17,12,18,3,47,2,447.54,32,12,30,5,7,45.0,0.685,19,0.143,10.6,10.6,5,0.0,36.2,0.706,38.3
6.458,6,46.24,47,50.708,30.675,15,31.949,17,10,18,3,45,2,420.53,30,12,28,3,5,41.0,0.682,17,0.128,8.9,6.7,4,2.2,37.8,0.71,40.0
5.699,7,94.338,95,105.49,56.511,17,57.705,42,16,34,17,92,0,705.81,53,12,50,8,5,64.0,0.614,17,0.074,5.4,8.7,5,3.3,45.7,0.627,37.0
5.24,1,35.593,36,37.957,23.164,13,22.75,12,7,15,2,34,0,304.27,24,12,22,7,1,31.0,0.681,13,0.028,0.0,20.6,0,0.0,35.3,0.669,44.1
5.114,4,45.313,46,49.495,28.733,13,29.477,18,9,17,4,44,1,378.44,28,12,26,6,3,37.0,0.653,15,0.087,4.5,13.6,2,0.0,40.9,0.67,38.6
7.244,7,57.963,60,63.74,37.313,19,38.761,24,9,24,5,57,1,468.57,36,18,33,6,3,48.0,0.655,21,0.117,3.5,10.5,2,0.0,42.1,0.68,42.1
4.0,4,30.931,31,33.91,19.536,9,19.636,12,6,12,3,30,0,248.26,19,6,18,4,4,26.0,0.651,10,0.129,6.7,13.3,2,0.0,40.0,0.655,40.0
9.022,6,50.953,51,54.924,33.135,13,34.165,19,11,19,6,49,1,476.36,32,12,30,7,3,41.0,0.676,15,0.118,2.0,14.3,1,4.1,38.8,0.697,38.8
6.398,6,47.978,48,52.012,31.959,18,32.137,16,9,21,3,46,1,435.45,32,17,30,4,2,42.5,0.695,19,0.125,2.2,8.7,1,6.5,34.8,0.699,45.7
6.398,6,51.654,55,57.903,33.454,17,35.944,24,5,23,6,52,1,392.56,31,17,28,2,1,40.5,0.643,18,0.109,3.8,3.8,2,0.0,46.2,0.691,44.2
4.904,10,48.469,49,55.026,28.993,8,31.262,26,3,20,10,49,0,314.46,23,6,23,3,2,30.0,0.592,9,0.204,0.0,6.1,0,0.0,53.1,0.638,40.8
5.943,6,48.331,50,53.12,32.796,20,33.915,19,4,25,3,48,0,386.44,31,18,29,3,2,44.0,0.683,21,0.12,0.0,6.3,0,2.1,39.6,0.707,52.1
6.495,6,50.585,53,56.611,32.466,14,34.5,24,3,24,8,51,0,360.48,29,12,27,3,2,39.0,0.637,15,0.113,0.0,5.9,0,0.0,47.1,0.676,47.1
5.299,7,55.073,57,60.697,35.588,17,36.796,22,10,22,5,54,1,454.55,35,17,32,5,4,47.5,0.659,21,0.123,7.4,9.3,4,0.0,40.7,0.681,40.7
5.299,8,72.734,76,81.434,45.551,19,47.205,32,11,29,10,72,0,544.67,44,17,40,5,4,56.5,0.633,21,0.105,8.3,6.9,6,0.0,44.4,0.656,40.3
6.886,6,70.411,74,77.398,46.685,25,47.375,26,12,31,6,69,0,578.63,48,23,43,6,5,64.5,0.677,28,0.081,8.7,8.7,6,0.0,37.7,0.687,44.9
5.987,7,74.287,77,82.355,46.959,20,48.108,31,12,30,10,73,0,573.66,46,17,42,7,5,59.5,0.643,22,0.091,6.8,9.6,5,0.0,42.5,0.659,41.1
5.22,6,48.425,51,53.737,32.411,18,33.915,19,8,21,3,48,1,405.52,32,22,29,2,1,44.0,0.675,23,0.118,10.4,4.2,5,0.0,39.6,0.707,43.8
5.22,6,60.178,64,67.481,39.013,18,41.205,26,9,25,7,60,1,474.64,38,22,34,2,1,50.0,0.65,23,0.094,10.0,3.3,6,0.0,43.3,0.687,41.7
6.019,6,63.061,67,70.896,40.54,18,42.966,28,9,26,8,63,1,488.67,39,22,35,2,1,51.0,0.643,23,0.09,9.5,3.2,6,0.0,44.4,0.682,41.3
5.22,6,58.076,62,64.982,37.992,18,40.199,25,8,25,7,58,1,459.62,37,22,33,2,1,49.0,0.655,23,0.097,8.6,3.4,5,0.0,43.1,0.693,43.1
5.22,6,72.96,76,81.146,46.244,20,47.654,31,11,30,10,72,0,557.66,45,17,41,6,5,58.5,0.642,22,0.079,6.9,8.3,5,0.0,43.1,0.662,41.7
5.22,9,78.25,82,87.975,49.077,19,51.921,36,11,31,12,78,1,588.8,46,22,42,4,2,59.0,0.629,24,0.11,7.7,5.1,6,0.0,46.2,0.666,39.7
5.22,8,71.851,75,80.019,46.024,19,47.443,30,11,30,9,71,0,554.66,45,17,41,5,4,59.5,0.648,22,0.107,8.5,7.0,6,0.0,42.3,0.668,42.3
5.22,6,57.294,61,64.065,37.486,18,39.443,24,9,24,6,57,1,460.61,37,22,33,2,1,49.0,0.658,23,0.098,10.5,3.5,6,0.0,42.1,0.692,42.1
5.22,8,65.945,70,74.311,42.067,18,44.728,30,9,27,9,66,1,502.7,40,22,36,2,1,52.0,0.637,23,0.114,9.1,3.0,6,0.0,45.5,0.678,40.9
4.245,1,27.618,29,30.42,19.738,10,21.017,9,7,11,1,27,0,371.05,20,15,18,0,0,27.5,0.731,15,0.034,18.5,0.0,5,7.4,33.3,0.778,40.7
4.361,1,22.633,24,24.507,17.19,10,18.25,6,6,10,0,22,0,342.0,18,15,16,0,0,25.5,0.781,15,0.042,18.2,0.0,4,9.1,27.3,0.83,45.5
4.983,2,27.618,29,30.42,19.738,10,21.017,9,7,11,1,27,0,371.05,20,15,18,0,0,27.5,0.731,15,0.069,18.5,0.0,5,7.4,33.3,0.778,40.7
4.0,1,24.505,26,27.164,17.186,10,17.904,8,6,10,0,24,0,278.13,18,15,16,0,0,25.5,0.716,15,0.038,20.8,0.0,5,4.2,33.3,0.746,41.7
5.22,8,74.363,77,82.275,47.146,19,48.756,31,13,29,10,73,1,593.72,46,17,42,7,6,60.5,0.646,23,0.104,6.8,9.6,5,0.0,42.5,0.668,39.7
5.22,8,81.61,85,91.391,50.825,20,52.938,37,11,33,13,81,0,599.75,48,17,44,6,5,61.5,0.627,22,0.094,6.2,7.4,5,0.0,45.7,0.654,40.7
5.991,8,73.582,76,81.358,46.641,19,48.0,30,14,28,9,72,1,594.71,46,17,42,7,6,60.5,0.648,23,0.105,8.3,9.7,6,0.0,41.7,0.667,38.9
4.252,4,30.04,29,32.222,19.95,12,18.989,8,7,13,1,28,0,283.22,21,6,20,3,4,28.0,0.712,10,0.138,3.6,10.7,1,10.7,28.6,0.678,46.4
4.027,4,32.673,32,35.347,21.949,12,21.943,10,7,14,2,31,1,313.32,22,12,21,2,1,29.0,0.708,13,0.125,3.2,6.5,1,9.7,32.3,0.708,45.2
4.208,3,22.811,23,24.292,15.933,10,16.301,7,5,10,0,22,1,221.25,16,5,15,3,4,22.5,0.724,9,0.13,4.5,13.6,1,0.0,31.8,0.741,45.5
4.796,4,29.014,29,31.542,19.183,12,19.114,10,5,13,1,28,0,247.24,19,6,18,3,4,26.0,0.685,10,0.138,3.6,10.7,1,3.6,35.7,0.683,46.4
4.161,4,28.502,29,31.203,18.8,12,19.176,11,4,13,1,28,0,229.25,18,6,17,3,4,25.0,0.671,10,0.138,3.6,10.7,1,0.0,39.3,0.685,46.4
4.0,4,29.527,29,31.882,19.566,12,19.051,9,6,13,1,28,0,265.23,20,6,19,3,4,27.0,0.699,10,0.138,3.6,10.7,1,7.1,32.1,0.68,46.4
4.699,4,29.527,29,31.882,19.566,12,19.051,9,6,13,1,28,0,265.23,20,6,19,3,4,27.0,0.699,10,0.138,3.6,10.7,1,7.1,32.1,0.68,46.4
4.167,4,28.825,29,31.147,19.627,12,20.034,10,5,13,1,28,0,263.69,19,6,18,3,4,26.0,0.701,10,0.138,3.6,10.7,1,3.6,35.7,0.716,46.4
4.018,5,32.462,33,35.538,21.514,12,22.585,13,5,14,2,32,1,275.35,20,12,19,3,1,27.0,0.672,13,0.152,3.1,9.4,1,0.0,40.6,0.706,43.8
4.032,3,22.56,23,24.003,16.406,10,17.494,7,5,10,0,22,2,237.32,16,11,15,2,1,22.5,0.746,12,0.13,4.5,9.1,1,0.0,31.8,0.795,45.5
4.77,4,29.276,29,31.593,20.039,12,20.244,9,6,13,1,28,1,281.3,20,12,19,2,1,27.0,0.716,13,0.138,3.6,7.1,1,7.1,32.1,0.723,46.4
4.658,4,50.989,55,56.571,34.422,20,36.426,21,6,24,4,51,1,415.55,34,18,30,2,2,45.0,0.675,20,0.073,5.9,3.9,3,0.0,41.2,0.714,47.1
7.071,6,58.218,61,65.315,36.245,16,37.972,27,7,24,8,58,0,421.54,34,16,31,4,2,44.0,0.625,18,0.098,5.2,6.9,3,0.0,46.6,0.655,41.4
5.22,5,56.091,57,62.002,35.363,15,35.267,21,11,22,7,54,0,462.47,36,16,33,4,2,46.0,0.655,18,0.088,7.4,7.4,4,5.6,38.9,0.653,40.7
6.268,8,68.709,71,76.856,42.716,16,44.847,31,11,26,10,68,1,525.69,40,16,37,5,3,51.0,0.628,19,0.113,7.4,7.4,5,0.0,45.6,0.66,38.2
7.367,5,52.451,55,58.485,33.191,16,34.449,23,7,22,6,52,0,393.48,32,16,29,4,2,42.0,0.638,18,0.091,5.8,7.7,3,0.0,44.2,0.662,42.3
4.086,4,28.251,29,30.913,19.272,12,20.369,11,4,13,1,28,1,245.32,18,12,17,2,1,25.0,0.688,13,0.138,3.6,7.1,1,0.0,39.3,0.727,46.4
6.602,7,67.632,70,75.936,41.529,16,43.199,31,10,26,10,67,0,493.62,39,16,36,5,3,50.0,0.62,19,0.1,7.5,7.5,5,0.0,46.3,0.645,38.8
