pXC50,Sp,nAT,nBT,nH,nCsp3,nHM,nS,SCBO,nBM,nN,nDB,nC,Sv,nSK,nBO,Se,MW,nO,nHet,Me,nAB,O.
5.0,144.12,222.0,229.0,105,33,2,2,156.5,53,13,12,85,137.037,117,124,223.686,1645.17,17,32,1.008,41,7.7
5.0,144.12,222.0,229.0,105,33,2,2,156.5,53,13,12,85,137.037,117,124,223.686,1645.17,17,32,1.008,41,7.7
7.377,94.978,145.0,150.0,68,21,2,2,104.0,36,10,8,55,90.013,77,82,146.068,1093.47,10,22,1.007,28,6.9
6.0,137.069,216.0,222.0,104,37,2,2,145.0,41,16,13,76,130.762,112,118,218.551,1594.1,18,36,1.012,28,8.3
5.692,109.365,164.0,171.0,76,21,2,2,123.0,48,12,8,66,103.207,88,95,164.268,1229.68,8,22,1.002,40,4.9
6.0,134.081,208.0,214.0,98,31,2,2,145.5,47,14,12,77,127.951,110,116,210.253,1556.03,17,33,1.011,35,8.2
7.886,105.49,163.0,168.0,78,25,2,2,113.0,37,12,9,60,99.878,85,90,164.134,1207.64,11,25,1.007,28,6.7
9.6,95.683,147.0,154.0,68,20,0,0,110.0,41,10,7,59,91.639,79,86,147.915,1077.37,10,20,1.006,34,6.8
5.737,104.848,158.0,165.0,73,21,2,2,119.0,46,13,8,62,99.175,85,92,158.603,1192.62,8,23,1.004,38,5.1
6.329,93.075,143.0,149.0,69,25,2,2,99.0,30,11,8,53,87.605,74,80,143.515,1052.47,8,21,1.004,22,5.6
6.886,108.268,163.0,170.0,75,22,2,2,123.0,47,11,9,65,102.615,88,95,163.821,1234.65,10,23,1.005,38,6.1
7.114,94.387,147.0,151.0,68,21,2,2,104.0,32,14,10,51,90.475,79,83,149.363,1133.47,12,28,1.016,22,8.2
8.431,88.461,137.0,141.0,65,21,2,2,95.0,30,11,8,49,83.981,72,76,138.403,1032.39,10,23,1.01,22,7.3
6.273,41.529,60.0,66.0,23,5,0,0,58.5,31,8,0,27,40.484,37,43,60.723,494.58,1,10,1.012,31,1.7
6.498,49.114,74.0,78.0,36,10,0,0,55.0,24,4,2,32,45.944,38,42,73.199,508.72,2,6,0.989,22,2.7
8.921,51.574,78.0,82.0,37,10,0,0,59.0,25,5,3,33,48.68,41,45,77.629,551.75,3,8,0.995,22,3.8
7.174,99.734,157.0,162.0,77,25,0,0,107.0,36,11,8,59,94.768,80,85,157.552,1100.47,10,21,1.004,28,6.4
7.235,99.842,150.0,156.0,68,20,3,2,112.5,41,11,8,58,94.862,82,88,151.494,1178.96,10,24,1.01,33,6.7
6.287,105.052,158.0,165.0,73,21,2,2,119.0,46,11,8,63,99.374,85,92,158.61,1192.61,9,22,1.004,38,5.7
6.52,105.052,158.0,165.0,73,21,2,2,119.0,46,11,8,63,99.374,85,92,158.61,1192.61,9,22,1.004,38,5.7
6.524,35.517,55.0,58.0,27,9,0,0,39.0,16,3,0,22,33.53,28,31,54.891,381.52,3,6,0.998,16,5.5
7.638,39.04,61.0,64.0,31,11,0,0,41.0,16,3,0,24,36.584,30,33,60.658,409.58,3,6,0.994,16,4.9
5.0,40.796,61.0,65.0,28,8,0,0,48.0,22,4,0,27,38.701,33,37,60.919,446.59,0,6,0.999,22,0.0
5.0,45.381,68.0,73.0,33,11,0,0,51.0,22,4,0,30,42.371,35,40,67.174,468.67,0,5,0.988,22,0.0
5.0,42.62,64.0,68.0,31,9,0,0,48.0,22,4,0,28,39.844,33,37,63.29,442.63,0,5,0.989,22,0.0
6.947,34.159,51.0,54.0,24,8,1,0,38.0,16,3,0,21,32.116,27,30,51.003,385.93,2,6,1.0,16,3.9
7.432,35.063,54.0,57.0,27,9,0,0,38.0,16,3,0,22,32.815,27,30,53.563,365.52,2,5,0.992,16,3.7
6.281,35.33,55.0,58.0,24,9,0,0,42.0,16,3,0,22,34.68,31,34,56.429,435.49,3,9,1.026,16,5.5
5.213,39.097,58.0,62.0,27,7,0,0,46.0,22,4,0,26,36.79,31,35,57.523,414.57,0,5,0.992,22,0.0
5.788,42.313,63.0,68.0,29,9,0,0,50.0,22,4,0,28,40.032,34,39,62.734,456.61,1,6,0.996,22,1.6
5.403,42.103,62.0,67.0,28,7,0,0,52.0,26,5,0,28,39.812,34,39,61.625,453.61,0,6,0.994,26,0.0
7.886,41.847,65.0,68.0,31,10,1,1,47.0,18,5,2,23,39.716,34,37,65.709,489.66,5,11,1.011,16,7.7
7.18,33.756,52.0,55.0,25,8,0,0,38.0,16,3,0,21,32.003,27,30,52.007,367.49,3,6,1.0,16,5.8
5.842,43.864,65.0,70.0,30,8,0,0,53.0,26,5,0,29,41.339,35,40,64.509,467.64,0,6,0.992,26,0.0
6.166,39.711,58.0,62.0,27,8,1,1,45.5,21,3,0,25,37.002,31,35,57.64,433.62,2,6,0.994,21,3.4
5.29,33.188,49.0,52.0,23,7,1,1,37.0,16,3,0,20,30.949,26,29,48.872,369.53,2,6,0.997,16,4.1
6.827,34.949,52.0,55.0,25,8,1,1,38.0,16,3,0,21,32.476,27,30,51.756,383.56,2,6,0.995,16,3.8
6.487,36.711,55.0,58.0,27,9,1,1,39.0,16,3,0,22,34.003,28,31,54.64,397.59,2,6,0.993,16,3.6
6.1,38.517,58.0,62.0,27,8,0,0,45.5,21,3,0,25,36.53,31,35,57.891,417.55,3,6,0.998,21,5.2
7.398,39.279,60.0,63.0,29,9,0,0,43.5,18,3,1,25,37.057,31,34,59.774,419.57,3,6,0.996,17,5.0
7.762,34.921,53.0,55.0,26,9,1,0,36.0,13,3,1,21,32.643,27,29,52.887,387.95,2,6,0.998,12,3.8
7.222,38.233,57.0,59.0,27,9,2,1,41.0,15,2,3,22,35.765,30,32,57.4,451.03,4,8,1.007,12,7.0
5.75,42.5,66.0,70.0,32,13,0,0,47.0,15,4,3,26,40.32,34,38,66.087,464.62,4,8,1.001,12,6.1
5.19,42.671,62.0,68.0,27,11,1,0,52.0,21,6,1,26,40.378,35,41,62.214,535.49,2,9,1.003,20,3.2
4.16,43.188,64.0,69.0,30,12,1,0,48.0,14,5,4,26,40.41,34,39,63.88,524.51,2,8,0.998,10,3.1
4.63,42.671,62.0,68.0,27,11,1,0,52.0,21,6,1,26,40.378,35,41,62.214,535.49,2,9,1.003,20,3.2
7.553,87.683,139.0,143.0,68,22,0,0,94.0,30,10,8,51,83.639,71,75,139.915,981.29,10,20,1.007,22,7.2
9.398,50.569,76.0,80.0,36,9,0,0,59.0,28,4,2,33,47.659,40,44,75.527,536.73,3,7,0.994,26,3.9
6.686,92.99,145.0,150.0,70,21,0,0,102.0,36,10,8,56,88.451,75,80,145.472,1027.36,9,19,1.003,28,6.2
4.25,43.188,64.0,69.0,30,12,1,0,48.0,14,5,4,26,40.41,34,39,63.88,524.51,2,8,0.998,10,3.1
6.0,111.7,170.0,176.0,79,23,2,2,123.5,44,11,9,66,106.098,91,97,171.243,1282.7,12,25,1.007,35,7.1
5.627,87.705,136.0,140.0,64,21,2,2,95.0,30,12,8,48,83.476,72,76,137.621,1033.38,10,24,1.012,22,7.4
7.883,89.217,138.0,142.0,66,22,2,2,95.0,30,10,8,50,84.487,72,76,139.185,1031.4,10,22,1.009,22,7.2
6.0,135.331,210.0,217.0,98,32,2,2,149.0,47,16,13,77,129.467,112,119,212.573,1584.05,17,35,1.012,34,8.1
6.0,137.365,212.0,218.0,103,37,3,2,141.0,40,16,12,75,128.935,109,115,213.639,1659.98,15,34,1.008,28,7.1
8.319,120.58,189.0,194.0,90,30,2,2,129.0,39,14,11,67,115.129,99,104,191.392,1411.85,16,32,1.013,28,8.5
6.0,145.2,227.0,233.0,111,37,2,2,151.5,47,15,12,83,137.418,116,122,228.329,1639.23,16,33,1.006,35,7.0
6.0,145.683,226.0,233.0,108,34,2,2,157.0,52,16,12,84,138.386,118,125,227.664,1662.22,16,34,1.007,40,7.1
7.342,101.109,154.0,160.0,69,22,2,2,115.5,41,12,8,59,97.018,85,91,156.366,1211.54,9,26,1.015,33,5.8
5.0,97.739,149.0,154.0,70,21,2,2,106.5,37,10,8,57,92.54,79,84,149.952,1119.51,10,22,1.006,29,6.7
8.469,91.228,142.0,146.0,68,22,2,2,97.0,30,12,8,50,86.529,74,78,143.388,1061.44,10,24,1.01,22,7.0
6.0,102.114,157.0,162.0,72,22,2,2,114.0,38,12,10,58,97.727,85,90,159.137,1209.56,13,27,1.014,28,8.3
6.996,97.739,149.0,154.0,70,21,2,2,106.5,37,10,8,57,92.54,79,84,149.952,1119.51,10,22,1.006,29,6.7
6.0,134.984,206.0,212.0,96,31,3,2,145.0,46,15,12,75,127.762,110,116,208.541,1670.9,17,35,1.012,34,8.3
5.904,105.052,158.0,165.0,73,21,2,2,119.0,46,11,8,63,99.374,85,92,158.61,1192.61,9,22,1.004,38,5.7
7.509,101.66,156.0,161.0,72,22,2,2,113.0,38,12,10,58,97.013,84,89,157.81,1193.56,12,26,1.012,28,7.7
9.4,95.228,146.0,153.0,68,20,0,0,109.0,41,10,7,59,90.924,78,85,146.588,1061.37,9,19,1.004,34,6.2
7.553,93.768,143.0,148.0,67,20,2,2,103.0,36,11,8,54,88.793,76,81,143.959,1078.46,9,22,1.007,28,6.3
6.656,100.745,153.0,159.0,71,21,2,2,112.5,41,11,8,59,95.562,82,88,154.054,1158.55,10,23,1.007,33,6.5
7.319,99.637,144.0,149.0,66,21,4,2,105.0,36,12,8,54,91.733,78,83,144.872,1329.26,8,24,1.006,28,5.6
6.199,85.694,132.0,136.0,62,20,2,2,93.0,30,10,8,48,81.433,70,74,133.417,1003.34,10,22,1.011,22,7.6
5.0,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
6.607,112.404,172.0,178.0,79,23,2,2,126.0,44,13,10,65,107.329,93,99,173.89,1314.71,13,28,1.011,34,7.6
9.187,96.546,142.0,146.0,66,22,4,2,99.0,30,12,8,50,89.163,76,80,143.526,1313.22,10,26,1.011,22,7.0
8.3,98.535,150.0,156.0,70,21,2,2,110.0,40,12,8,57,93.341,80,86,150.945,1131.53,9,23,1.006,32,6.0
6.541,92.768,142.0,148.0,67,19,0,0,105.0,41,9,7,58,88.188,75,81,142.159,1018.34,8,17,1.001,34,5.6
6.162,112.336,169.0,176.0,79,22,2,2,125.0,48,11,8,68,105.954,90,97,169.261,1258.72,9,22,1.002,40,5.3
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
6.0,131.172,204.0,210.0,98,32,2,2,140.0,45,14,11,75,124.521,106,112,205.599,1500.01,15,31,1.008,34,7.4
5.0,143.37,222.0,229.0,105,33,2,2,156.0,52,15,12,83,136.553,117,124,224.006,1649.17,17,34,1.009,40,7.7
6.504,90.222,140.0,144.0,67,22,2,2,96.0,30,11,8,50,85.508,73,77,141.286,1046.42,10,23,1.009,22,7.1
6.0,114.774,176.0,182.0,84,26,2,2,124.0,43,12,9,67,108.459,92,98,176.784,1297.77,11,25,1.004,34,6.3
6.0,137.069,216.0,222.0,104,37,2,2,145.0,41,16,13,76,130.762,112,118,218.551,1594.1,18,36,1.012,28,8.3
6.721,124.126,192.0,198.0,90,28,2,2,136.0,45,14,11,71,118.414,102,108,194.064,1443.89,15,31,1.011,34,7.8
7.34,93.217,142.0,147.0,66,20,2,2,103.0,36,10,8,54,88.487,76,81,143.185,1079.44,10,22,1.008,28,7.0
6.466,109.944,168.0,174.0,78,23,2,2,122.0,43,12,9,64,104.593,90,96,169.461,1271.68,12,26,1.009,34,7.1
6.614,107.813,162.0,169.0,75,21,2,2,121.5,47,11,8,65,101.9,87,94,162.494,1218.65,9,22,1.003,39,5.6
6.0,135.331,210.0,217.0,98,32,2,2,149.0,47,16,13,77,129.467,112,119,212.573,1584.05,17,35,1.012,34,8.1
8.38,86.262,135.0,139.0,64,21,1,1,94.0,30,10,8,49,82.488,71,75,136.552,1001.3,11,22,1.011,22,8.1
7.337,93.217,142.0,147.0,66,20,2,2,103.0,36,10,8,54,88.487,76,81,143.185,1079.44,10,22,1.008,28,7.0
6.996,100.745,153.0,159.0,71,21,2,2,112.5,41,11,8,59,95.562,82,88,154.054,1158.55,10,23,1.007,33,6.5
6.693,88.444,141.0,145.0,70,24,0,0,93.0,29,10,7,51,84.166,71,75,141.799,983.31,10,20,1.006,22,7.1
7.1,131.251,209.0,213.0,100,35,2,2,139.0,37,18,15,70,125.939,109,113,212.432,1562.02,19,39,1.016,22,9.1
6.0,95.677,146.0,151.0,67,20,2,2,107.0,37,11,9,55,91.223,79,84,147.614,1122.47,11,24,1.011,28,7.5
6.921,38.273,58.0,61.0,28,8,0,0,42.5,18,2,1,25,36.036,30,33,57.672,404.55,3,5,0.994,17,5.2
7.337,93.217,142.0,147.0,66,20,2,2,103.0,36,10,8,54,88.487,76,81,143.185,1079.44,10,22,1.008,28,7.0
6.0,129.865,202.0,208.0,96,31,2,2,140.0,45,14,11,74,123.709,106,112,204.042,1501.98,16,32,1.01,34,7.9
6.0,131.172,204.0,210.0,98,32,2,2,140.0,45,14,11,75,124.521,106,112,205.599,1500.01,15,31,1.008,34,7.4
5.0,126.62,195.0,202.0,89,27,2,2,143.5,50,17,11,72,121.425,106,113,197.603,1496.92,15,34,1.013,39,7.7
6.272,106.95,161.0,168.0,75,25,3,3,117.5,41,12,8,62,100.777,86,93,161.857,1231.7,8,24,1.005,33,5.0
6.0,146.598,229.0,236.0,109,37,2,2,158.0,48,17,14,83,139.837,120,127,231.42,1697.23,18,37,1.011,34,7.9
5.0,130.183,205.0,210.0,100,34,2,2,136.0,40,16,12,72,123.564,105,110,206.802,1494.02,15,33,1.009,28,7.3
8.252,89.915,139.0,143.0,65,21,2,2,98.0,31,11,9,50,85.696,74,78,140.73,1060.4,11,24,1.012,22,7.9
6.072,105.052,158.0,165.0,73,22,2,2,119.0,46,11,8,63,99.374,85,92,158.61,1192.61,9,22,1.004,38,5.7
6.0,79.932,125.0,128.0,60,21,2,2,84.0,24,10,8,43,75.906,65,68,126.534,941.27,10,22,1.012,16,8.0
5.292,55.273,86.0,90.0,44,15,0,0,57.0,22,2,0,35,51.68,42,46,85.396,572.81,5,7,0.993,22,5.8
5.886,65.563,101.0,106.0,51,16,0,0,69.0,28,3,0,42,61.281,50,55,100.148,677.96,5,8,0.992,28,5.0
5.432,65.012,100.0,105.0,50,16,0,0,69.0,28,2,0,42,60.975,50,55,99.374,678.94,6,8,0.994,28,6.0
5.469,65.012,100.0,105.0,50,16,0,0,69.0,28,2,0,42,60.975,50,55,99.374,678.94,6,8,0.994,28,6.0
5.398,52.762,83.0,87.0,42,15,0,0,55.5,21,4,0,32,49.669,41,45,82.832,562.78,5,9,0.998,21,6.0
5.523,52.722,83.0,86.0,43,15,0,0,52.0,18,1,0,33,49.373,40,43,82.621,549.77,6,7,0.995,18,7.2
5.409,65.012,100.0,105.0,50,16,0,0,69.0,28,2,0,42,60.975,50,55,99.374,678.94,6,8,0.994,28,6.0
5.39,43.074,65.0,69.0,31,9,0,0,49.0,22,4,0,28,40.559,34,38,64.618,458.63,1,6,0.994,22,1.5
5.0,46.358,71.0,75.0,35,11,0,0,51.0,19,5,3,29,43.439,36,40,70.418,485.69,2,7,0.992,16,2.8
5.3,52.643,81.0,86.0,41,15,0,0,56.0,19,5,3,33,49.019,40,45,80.068,539.79,2,7,0.988,16,2.5
4.0,55.472,88.0,90.0,43,13,0,0,60.0,21,7,5,32,52.921,45,47,88.581,621.82,6,13,1.007,16,6.8
7.092,73.501,115.0,119.0,56,18,0,0,80.0,28,8,6,44,69.818,59,63,115.312,809.08,7,15,1.003,22,6.1
5.0,62.518,100.0,102.0,51,17,0,0,64.0,21,7,5,36,59.028,49,51,100.116,677.94,6,13,1.001,16,6.0
5.0,46.967,72.0,76.0,38,13,0,0,48.5,21,4,0,30,43.041,34,38,70.428,454.72,0,4,0.978,21,0.0
5.544,56.052,91.0,93.0,49,20,0,0,53.0,14,5,4,32,52.271,42,44,90.585,583.86,5,10,0.995,10,5.5
6.478,58.597,93.0,96.0,49,18,0,0,58.0,19,5,3,35,54.556,44,47,92.257,603.89,4,9,0.992,16,4.3
6.268,42.029,63.0,66.0,31,10,1,1,46.0,21,5,1,25,38.857,32,35,62.4,449.68,1,7,0.99,20,1.6
6.161,38.739,54.0,58.0,22,2,1,0,50.5,28,5,1,26,36.676,32,36,53.785,439.98,0,6,0.996,27,0.0
7.357,40.233,58.0,62.0,25,6,1,1,50.0,26,6,0,25,37.967,33,37,58.036,460.63,0,8,1.001,26,0.0
7.155,42.813,62.0,66.0,29,7,1,1,50.0,26,5,0,27,39.616,33,37,61.189,455.68,0,6,0.987,26,0.0
8.108,40.233,58.0,62.0,25,6,1,1,50.0,26,6,0,25,37.967,33,37,58.036,460.63,0,8,1.001,26,0.0
7.585,39.813,59.0,62.0,29,8,1,1,43.5,21,5,0,24,36.616,30,33,58.189,419.65,0,6,0.986,21,0.0
6.0,79.711,122.0,126.0,57,18,2,2,87.0,29,9,7,45,75.643,65,69,123.221,932.25,9,20,1.01,22,7.4
5.674,39.455,57.0,61.0,22,3,0,0,53.5,28,5,1,27,38.525,35,39,57.883,473.54,0,8,1.015,27,0.0
5.0,37.858,57.0,60.0,27,6,0,0,44.5,22,5,1,24,35.617,30,33,56.556,401.56,1,6,0.992,21,1.8
5.438,38.211,55.0,59.0,21,2,0,0,52.5,28,5,1,26,37.33,34,38,55.814,457.52,1,8,1.015,27,1.8
6.0,79.711,122.0,126.0,57,18,2,2,87.0,29,9,7,45,75.643,65,69,123.221,932.25,9,20,1.01,22,7.4
5.79,40.097,58.0,62.0,25,3,0,0,51.5,28,5,1,27,38.09,33,37,57.672,435.57,1,6,0.994,27,1.7
5.0,40.665,59.0,63.0,23,4,0,0,54.5,28,4,1,28,39.745,36,40,59.992,488.55,1,8,1.017,27,1.7
8.097,60.859,91.0,96.0,43,11,0,0,70.0,31,5,3,40,57.261,48,53,90.279,641.88,3,8,0.992,28,3.3
6.801,80.938,127.0,130.0,61,21,2,2,85.0,24,11,8,43,76.928,66,69,128.636,956.29,10,23,1.013,16,7.9
7.201,93.671,143.0,148.0,66,20,2,2,104.0,36,10,8,54,89.201,77,82,144.512,1095.44,11,23,1.011,28,7.7
6.0,148.359,232.0,239.0,111,38,2,2,159.0,48,17,14,84,141.364,121,128,234.304,1711.26,18,37,1.01,34,7.8
7.08,90.222,140.0,144.0,67,22,2,2,96.0,30,11,8,50,85.508,73,77,141.286,1046.42,10,23,1.009,22,7.1
6.0,133.382,207.0,213.0,99,32,2,2,142.5,46,13,11,77,126.742,108,114,208.708,1527.03,16,31,1.008,35,7.7
5.975,90.222,140.0,144.0,67,22,2,2,96.0,30,11,8,50,85.508,73,77,141.286,1046.42,10,23,1.009,22,7.1
6.517,96.808,146.0,151.0,66,21,2,2,111.0,38,14,8,56,92.089,80,85,147.17,1127.5,8,24,1.008,28,5.5
6.0,106.603,160.0,167.0,74,21,2,2,120.5,47,12,8,64,100.68,86,93,160.384,1203.64,8,22,1.002,39,5.0
8.5,92.717,143.0,150.0,66,20,0,0,107.5,40,12,7,56,88.914,77,84,144.025,1051.34,9,21,1.007,33,6.3
6.987,96.683,148.0,153.0,68,20,2,2,108.0,37,12,9,55,92.244,80,85,149.716,1137.49,11,25,1.012,28,7.4
7.772,90.677,141.0,145.0,67,22,2,2,97.0,30,11,8,50,86.223,74,78,142.614,1062.42,11,24,1.011,22,7.8
6.0,134.836,206.0,212.0,98,32,3,2,142.0,45,15,11,75,126.86,108,114,207.77,1640.92,15,33,1.009,34,7.3
6.2,111.774,167.0,175.0,78,25,3,3,124.0,46,12,8,66,104.921,89,97,167.228,1263.77,8,23,1.001,38,4.8
7.482,88.915,138.0,142.0,65,21,2,2,96.0,30,11,8,49,84.696,73,77,139.73,1048.39,11,24,1.013,22,8.0
6.425,99.018,150.0,156.0,69,21,2,2,111.5,41,12,8,58,94.01,81,87,151.13,1145.53,8,23,1.008,33,5.3
6.69,98.631,148.0,154.0,67,20,3,2,111.5,41,12,8,57,93.642,81,87,149.385,1163.95,9,24,1.009,33,6.1
7.155,98.631,148.0,154.0,67,20,3,2,111.5,41,12,8,57,93.642,81,87,149.385,1163.95,9,24,1.009,33,6.1
6.0,143.922,223.0,230.0,106,33,2,2,156.0,52,16,12,83,136.859,117,124,224.78,1648.19,16,34,1.008,40,7.2
6.0,129.41,201.0,207.0,96,31,2,2,139.0,45,14,11,74,122.995,105,111,202.715,1485.98,15,31,1.009,34,7.5
7.022,90.677,141.0,145.0,67,22,2,2,97.0,30,11,8,50,86.223,74,78,142.614,1062.42,11,24,1.011,22,7.8
7.367,101.416,156.0,161.0,73,23,2,2,111.0,37,11,9,58,96.518,83,88,157.592,1180.56,12,25,1.01,28,7.7
7.854,91.228,142.0,146.0,68,22,2,2,97.0,30,12,8,50,86.529,74,78,143.388,1061.44,10,24,1.01,22,7.0
6.0,132.524,202.0,208.0,95,31,3,2,141.0,45,14,11,74,125.026,107,113,204.112,1627.87,16,33,1.01,34,7.9
6.115,95.677,146.0,151.0,67,20,2,2,107.0,37,11,9,55,91.223,79,84,147.614,1122.47,11,24,1.011,28,7.5
6.0,133.842,206.0,212.0,99,35,3,2,139.0,40,16,12,73,125.881,107,113,207.871,1631.92,15,34,1.009,28,7.3
6.0,133.546,210.0,216.0,100,35,2,2,143.0,41,16,13,74,127.709,110,116,212.784,1566.04,18,36,1.013,28,8.6
6.155,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
6.611,39.83,61.0,64.0,30,9,0,0,44.0,18,4,2,25,37.364,31,34,60.549,418.59,2,6,0.993,16,3.3
7.77,37.722,56.0,59.0,25,8,2,1,44.0,18,4,2,21,35.754,31,34,56.836,465.02,4,10,1.015,16,7.1
5.747,34.949,52.0,55.0,25,8,1,1,38.0,16,3,0,21,32.476,27,30,51.756,383.56,2,6,0.995,16,3.8
6.533,37.279,58.0,61.0,29,10,0,0,40.0,16,3,0,23,35.057,29,32,57.774,395.55,3,6,0.996,16,5.2
7.081,40.04,62.0,66.0,31,12,0,0,43.0,16,3,0,25,37.584,31,35,61.658,421.59,3,6,0.994,16,4.8
6.712,33.239,51.0,54.0,24,8,0,0,38.0,16,3,0,21,31.672,27,30,51.192,369.48,2,6,1.004,16,3.9
5.91,48.29,72.0,77.0,33,9,0,0,57.5,27,4,0,32,45.8,39,44,71.829,524.69,2,7,0.998,27,2.8
6.505,39.08,60.0,63.0,28,9,1,1,45.0,18,4,2,22,37.168,32,35,60.723,460.61,5,10,1.012,16,8.3
5.0,42.887,65.0,69.0,28,9,0,0,52.0,22,4,0,28,41.709,37,41,66.156,512.6,1,9,1.018,22,1.5
5.403,41.313,62.0,66.0,29,8,0,0,48.0,22,4,0,27,39.032,33,37,61.734,444.6,1,6,0.996,22,1.6
7.699,45.319,70.0,73.0,36,12,0,0,46.5,18,2,1,29,42.143,34,37,69.207,460.67,3,5,0.989,17,4.3
6.0,143.444,225.0,231.0,110,37,2,2,150.0,46,16,12,81,135.913,115,121,226.548,1628.21,16,34,1.007,34,7.1
6.656,94.978,145.0,150.0,68,21,2,2,104.0,36,10,8,55,90.013,77,82,146.068,1093.47,10,22,1.007,28,6.9
6.201,101.416,156.0,161.0,73,23,2,2,111.0,37,11,9,58,96.518,83,88,157.592,1180.56,12,25,1.01,28,7.7
5.0,102.501,155.0,161.0,72,21,2,2,114.0,42,10,8,61,97.067,83,89,155.835,1169.57,10,22,1.005,34,6.5
7.625,90.222,140.0,144.0,67,22,2,2,96.0,30,11,8,50,85.508,73,77,141.286,1046.42,10,23,1.009,22,7.1
5.854,109.007,162.0,170.0,75,22,3,3,123.0,47,11,9,65,102.373,87,95,162.243,1234.72,8,22,1.001,38,4.9
6.943,90.677,141.0,145.0,67,22,2,2,97.0,30,11,8,50,86.223,74,78,142.614,1062.42,11,24,1.011,22,7.8
6.62,94.677,145.0,150.0,67,20,2,2,105.0,36,11,8,54,90.223,78,83,146.614,1110.46,11,24,1.011,28,7.6
6.0,145.126,224.0,231.0,106,33,2,2,157.5,53,14,12,85,138.058,118,125,225.788,1660.19,17,33,1.008,41,7.6
9.0,100.217,156.0,162.0,74,23,0,0,113.0,41,12,9,60,95.736,82,88,156.886,1123.46,10,22,1.006,32,6.4
8.553,97.529,148.0,154.0,69,21,2,2,109.0,40,11,8,57,92.32,79,85,148.843,1116.51,9,22,1.006,32,6.1
6.0,143.075,223.0,230.0,105,35,2,2,156.0,48,17,14,81,136.784,118,125,225.653,1669.17,18,37,1.012,34,8.1
6.126,94.194,144.0,149.0,66,21,2,2,105.0,36,12,8,54,89.866,78,83,145.759,1113.46,8,24,1.012,28,5.6
6.0,132.177,206.0,212.0,99,32,2,2,141.0,45,15,11,75,125.543,107,113,207.701,1515.03,15,32,1.008,34,7.3
6.114,99.08,150.0,156.0,70,21,2,2,110.5,41,12,8,58,93.627,80,86,150.617,1127.54,8,22,1.004,33,5.3
7.041,118.564,179.0,187.0,83,24,2,2,134.5,52,13,9,71,112.238,96,104,179.675,1342.81,10,25,1.004,43,5.6
7.638,99.393,147.0,152.0,68,21,3,2,106.5,37,9,8,57,92.836,79,84,147.919,1230.38,10,22,1.006,29,6.8
6.406,108.938,166.0,172.0,77,23,2,2,121.0,43,11,9,64,103.572,89,95,167.359,1256.66,12,25,1.008,34,7.2
6.0,95.677,146.0,151.0,67,20,2,2,107.0,37,11,9,55,91.223,79,84,147.614,1122.47,11,24,1.011,28,7.5
6.012,92.438,142.0,147.0,65,21,2,2,103.5,35,13,8,52,88.361,77,82,143.977,1102.44,8,25,1.014,27,5.6
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
6.089,107.365,162.0,169.0,76,23,2,2,120.0,46,12,8,64,101.207,86,93,162.268,1205.66,8,22,1.002,38,4.9
7.301,112.404,172.0,178.0,79,23,2,2,126.0,44,13,10,65,107.329,93,99,173.89,1314.71,13,28,1.011,34,7.6
6.0,138.853,216.0,223.0,102,34,2,2,151.0,47,16,13,79,132.521,114,121,218.341,1612.11,17,35,1.011,34,7.9
7.292,99.654,153.0,158.0,71,22,2,2,110.0,37,11,9,57,94.991,82,87,154.708,1166.53,12,25,1.011,28,7.8
7.854,93.217,142.0,147.0,66,20,2,2,103.0,36,10,8,54,88.487,76,81,143.185,1079.44,10,22,1.008,28,7.0
7.854,93.217,142.0,147.0,66,20,2,2,103.0,36,10,8,54,88.487,76,81,143.185,1079.44,10,22,1.008,28,7.0
8.921,98.535,150.0,156.0,70,21,2,2,110.0,40,12,8,57,93.341,80,86,150.945,1131.53,9,23,1.006,32,6.0
9.8,136.314,215.0,220.0,103,35,2,2,145.0,42,17,14,75,130.257,112,117,217.77,1595.09,18,37,1.013,28,8.4
8.319,93.671,143.0,148.0,66,20,2,2,104.0,36,10,8,54,89.201,77,82,144.512,1095.44,11,23,1.011,28,7.7
6.0,138.853,216.0,223.0,102,34,2,2,151.0,47,16,13,79,132.521,114,121,218.341,1612.11,17,35,1.011,34,7.9
6.0,134.285,205.0,211.0,97,32,3,2,142.0,45,14,11,75,126.553,108,114,206.995,1641.9,16,33,1.01,34,7.8
6.0,129.865,202.0,208.0,96,31,2,2,140.0,45,14,11,74,123.709,106,112,204.042,1501.98,16,32,1.01,34,7.9
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
6.281,103.842,156.0,163.0,72,21,2,2,118.0,46,12,8,62,98.153,84,91,156.501,1177.6,8,22,1.003,38,5.1
