pXC50,LOC,MATS3p,Chi1_EA.ed.,Eig11_EA.bo.,Eig12_AEA.bo.,Eig12_AEA.ri.,Eig15_EA.bo.,Vindex,Xindex,Eig05_AEA.ed.,Eig05_EA.ed.,SM14_AEA.dm.,JGI5,GNar,HNar,IVDE,X0A,SpMax5_Bh.e.,Eig12_EA,Eig12_EA.bo.,Eig12_EA.ri.,Eig13_AEA.bo.,SM06_AEA.dm.,SpMAD_AEA.ed.,ZM2V,PDI,Yindex,CIC5,SIC5,MATS3v,JGT,D.Dtr06,Eig14_AEA.bo.,Eig14_EA.bo.,Eig15_AEA.bo.,Eta_beta,Eta_betaP,Eta_FL,NaaCH,nAB,nBM,nCar,nCsp2,piPC01,piPC02,piPC03,SaaCH,SCBO,SM02_AEA.bo.,SM02_EA.bo.,SM03_AEA.bo.,SpAD_EA.bo.,SpMax4_Bh.e.,SpMax4_Bh.i.,SpMax4_Bh.p.,SpMax4_Bh.v.,SpMax5_Bh.v.,SpMin4_Bh.e.,SpMin4_Bh.i.,SpMin4_Bh.p.
9.284,0.985,-0.004,8.042,2.107,2.881,2.436,1.5,0.181,0.276,5.531,7.407,7.407,0.026,2.057,1.913,1.451,0.709,3.58,1.482,1.944,1.399,2.751,1.482,1.578,680.0,0.962,0.531,0.602,0.904,0.012,0.397,642.669,2.662,1.733,2.5,59.75,30.5,12.539,11,24,27,21,25,4.159,4.754,5.366,19.294,63.0,5.403,5.442,6.613,91.837,3.846,3.861,3.734,3.75,3.404,1.787,1.772,1.926
9.658,0.997,-0.021,7.819,2.089,2.913,2.472,1.5,0.179,0.273,5.519,7.4,7.4,0.026,2.058,1.911,1.461,0.71,3.584,1.491,2.027,1.459,2.668,1.491,1.582,677.0,0.964,0.52,0.6,0.903,-0.03,0.415,645.146,2.555,1.525,2.5,59.25,30.5,12.498,11,24,27,21,25,4.143,4.745,5.354,19.202,62.0,5.389,5.434,6.604,90.8,3.837,3.856,3.726,3.739,3.421,1.782,1.763,1.918
9.638,0.997,-0.007,7.816,2.089,2.874,2.42,1.5,0.187,0.283,5.532,7.407,7.407,0.026,2.058,1.911,1.461,0.71,3.571,1.464,1.944,1.387,2.74,1.464,1.586,690.0,0.962,0.554,0.691,0.888,-0.009,0.402,615.771,2.661,1.733,2.5,59.75,30.5,12.594,10,24,27,20,24,4.143,4.745,5.361,16.688,62.0,5.389,5.434,6.604,90.769,3.819,3.853,3.657,3.679,3.397,1.748,1.701,1.913
8.921,1.011,-0.043,7.577,2.087,2.859,2.383,1.5,0.182,0.277,5.544,7.135,7.135,0.027,2.059,1.909,1.471,0.71,3.573,1.428,1.892,1.35,2.539,1.428,1.595,643.0,0.98,0.532,0.764,0.876,-0.024,0.416,618.798,2.5,1.5,2.5,58.5,31.5,12.351,14,24,27,24,28,4.127,4.736,5.359,25.02,61.0,5.375,5.425,6.594,89.539,3.841,3.857,3.764,3.77,3.422,1.811,1.799,1.916
9.409,0.973,-0.031,7.426,2.087,2.852,2.375,1.492,0.183,0.278,5.537,7.131,7.131,0.027,2.061,1.907,1.48,0.71,3.575,1.414,1.883,1.345,2.536,1.414,1.596,631.0,0.985,0.535,0.672,0.89,-0.02,0.423,599.342,2.5,1.5,2.5,57.5,31.0,11.992,13,24,27,23,27,4.111,4.727,5.345,22.733,60.0,5.361,5.416,6.585,88.36,3.838,3.864,3.752,3.756,3.43,1.816,1.785,1.918
9.538,0.997,-0.017,7.819,2.089,2.913,2.436,1.5,0.179,0.273,5.519,7.4,7.4,0.026,2.058,1.911,1.461,0.71,3.582,1.491,2.027,1.405,2.668,1.491,1.582,689.0,0.962,0.52,0.608,0.901,-0.039,0.415,645.146,2.555,1.525,2.5,59.75,30.5,12.578,10,24,27,20,24,4.143,4.745,5.354,16.666,62.0,5.389,5.434,6.604,90.8,3.821,3.852,3.661,3.684,3.418,1.748,1.704,1.913
8.585,1.34,0.075,6.962,1.81,2.662,2.174,0.717,0.227,0.339,5.531,7.407,7.407,0.027,2.007,1.843,1.522,0.721,3.49,1.233,1.733,1.153,2.44,1.233,1.608,596.0,0.936,0.684,0.663,0.891,0.077,0.425,429.581,2.195,1.162,1.988,50.5,24.5,10.765,7,18,21,16,20,4.007,4.6,5.227,11.852,54.0,5.26,5.288,6.477,78.816,3.612,3.655,3.393,3.426,3.28,1.519,1.472,1.777
7.745,1.124,0.08,7.874,2.088,2.878,2.434,1.5,0.183,0.277,5.55,7.149,7.149,0.027,2.058,1.911,1.461,0.71,3.606,1.479,1.923,1.394,2.541,1.479,1.583,665.0,0.975,0.535,0.662,0.893,0.075,0.41,636.093,2.5,1.5,2.5,59.5,31.5,12.39,13,24,27,23,27,4.143,4.745,5.364,22.496,62.0,5.389,5.434,6.604,90.978,3.835,3.855,3.748,3.752,3.437,1.803,1.78,1.913
9.42,0.981,-0.027,7.769,2.087,2.861,2.354,1.5,0.179,0.273,5.444,7.123,7.123,0.026,2.074,1.938,1.418,0.706,3.58,1.419,1.957,1.321,2.555,1.419,1.571,665.0,0.966,0.521,0.672,0.89,-0.024,0.39,627.58,2.5,1.5,2.5,58.75,30.5,12.449,12,24,27,21,25,4.127,4.718,5.333,20.651,61.0,5.366,5.407,6.574,88.966,3.83,3.853,3.722,3.734,3.416,1.779,1.758,1.913
8.721,0.997,0.012,7.819,2.089,2.913,2.463,1.5,0.179,0.273,5.519,7.4,7.4,0.026,2.058,1.911,1.461,0.71,3.583,1.491,2.027,1.445,2.668,1.491,1.582,691.0,0.962,0.52,0.691,0.888,-0.014,0.415,645.146,2.555,1.525,2.5,59.75,30.5,12.579,10,24,27,20,24,4.143,4.745,5.354,16.865,62.0,5.389,5.434,6.604,90.8,3.821,3.853,3.659,3.68,3.42,1.749,1.702,1.914
8.071,0.973,-0.011,7.419,2.087,2.859,2.382,1.5,0.182,0.277,5.543,7.134,7.134,0.027,2.061,1.907,1.48,0.71,3.571,1.427,1.892,1.349,2.539,1.427,1.597,647.0,0.972,0.53,0.386,0.937,-0.015,0.424,601.795,2.5,1.5,2.5,58.25,31.5,12.191,13,24,27,23,27,4.111,4.727,5.345,21.734,60.0,5.361,5.416,6.585,88.373,3.833,3.852,3.747,3.751,3.419,1.801,1.779,1.91
6.31,0.894,0.021,7.415,2.086,2.807,2.319,1.489,0.181,0.275,5.479,7.104,7.104,0.028,2.061,1.907,1.48,0.71,3.566,1.333,1.807,1.303,2.535,1.333,1.591,639.0,0.992,0.525,0.642,0.895,-0.001,0.422,602.42,2.5,1.5,2.5,58.25,31.5,12.184,13,24,27,23,27,4.111,4.727,5.345,22.282,60.0,5.361,5.416,6.585,88.567,3.835,3.855,3.748,3.752,3.422,1.803,1.78,1.913
7.699,1.165,0.034,6.135,1.502,2.5,2.0,0.452,0.234,0.347,5.541,7.009,7.009,0.029,2.007,1.831,1.542,0.722,3.344,1.0,1.5,1.0,2.182,1.0,1.636,569.0,0.961,0.71,0.803,0.865,0.035,0.458,385.627,1.838,0.656,1.63,49.0,25.5,10.472,9,18,21,18,22,3.951,4.57,5.214,15.132,51.0,5.212,5.257,6.444,75.038,3.58,3.587,3.392,3.425,3.091,1.469,1.459,1.711
5.721,0.894,0.016,7.415,2.086,2.807,2.308,1.489,0.181,0.275,5.479,7.104,7.104,0.028,2.061,1.907,1.48,0.71,3.549,1.333,1.807,1.285,2.535,1.333,1.591,647.0,0.973,0.525,0.622,0.898,-0.002,0.422,602.42,2.5,1.5,2.5,58.25,31.5,12.208,13,24,27,23,27,4.111,4.727,5.345,21.793,60.0,5.361,5.416,6.585,88.567,3.835,3.855,3.748,3.752,3.409,1.803,1.78,1.913
8.959,1.011,-0.051,7.577,2.087,2.859,2.381,1.5,0.182,0.277,5.544,7.135,7.135,0.027,2.059,1.909,1.471,0.71,3.572,1.428,1.892,1.348,2.539,1.428,1.595,655.0,0.978,0.532,0.662,0.892,-0.036,0.416,618.798,2.5,1.5,2.5,59.0,31.5,12.431,13,24,27,23,27,4.127,4.736,5.359,22.317,61.0,5.375,5.425,6.594,89.539,3.835,3.855,3.751,3.755,3.42,1.803,1.782,1.913
7.678,1.189,0.047,6.367,1.822,2.5,2.0,0.55,0.235,0.349,5.99,8.33,8.33,0.03,1.992,1.81,1.552,0.725,3.364,1.11,1.5,1.0,2.183,1.11,1.647,606.0,0.952,0.717,1.129,0.813,0.048,0.466,413.025,1.959,0.833,1.79,51.0,26.0,10.972,8,18,21,18,22,3.989,4.61,5.261,13.18,53.0,5.255,5.298,6.489,78.102,3.593,3.598,3.398,3.434,3.117,1.472,1.465,1.72
7.569,1.308,0.187,6.975,1.847,2.5,2.0,1.103,0.231,0.345,6.002,8.405,8.405,0.03,1.992,1.818,1.544,0.724,3.473,1.126,1.5,1.0,2.255,1.126,1.628,622.0,0.948,0.703,1.007,0.837,0.186,0.449,443.04,2.185,1.15,2.12,52.0,26.0,10.857,8,18,21,18,22,4.025,4.63,5.272,13.351,55.0,5.286,5.318,6.51,80.755,3.614,3.632,3.417,3.45,3.25,1.517,1.491,1.754
6.658,1.011,0.03,7.577,2.087,2.859,2.399,1.5,0.182,0.277,5.544,7.135,7.135,0.027,2.059,1.909,1.471,0.71,3.602,1.428,1.892,1.379,2.539,1.428,1.595,647.0,0.984,0.532,0.653,0.894,0.03,0.416,618.798,2.5,1.5,2.5,59.0,31.5,12.382,13,24,27,23,27,4.127,4.736,5.359,22.648,61.0,5.375,5.425,6.594,89.539,3.835,3.855,3.748,3.752,3.443,1.803,1.78,1.914
9.0,1.011,0.006,7.577,2.087,2.859,2.382,1.5,0.182,0.277,5.544,7.135,7.135,0.027,2.059,1.909,1.471,0.71,3.573,1.428,1.892,1.349,2.539,1.428,1.595,657.0,0.978,0.532,0.662,0.892,0.003,0.416,618.798,2.5,1.5,2.5,59.0,31.5,12.435,13,24,27,23,27,4.127,4.736,5.359,22.404,61.0,5.375,5.425,6.594,89.539,3.835,3.855,3.748,3.752,3.421,1.803,1.78,1.913
9.292,1.011,0.014,7.577,2.087,2.859,2.378,1.5,0.182,0.277,5.544,7.135,7.135,0.027,2.059,1.909,1.471,0.71,3.564,1.428,1.892,1.342,2.539,1.428,1.595,673.0,0.975,0.532,0.672,0.89,0.014,0.416,618.798,2.5,1.5,2.5,59.5,31.5,12.515,12,24,27,22,26,4.127,4.736,5.359,20.344,61.0,5.375,5.425,6.594,89.539,3.823,3.846,3.72,3.732,3.401,1.776,1.756,1.906
8.509,1.011,-0.033,7.577,2.087,2.859,2.377,1.5,0.182,0.277,5.544,7.135,7.135,0.027,2.059,1.909,1.471,0.71,3.572,1.428,1.892,1.344,2.539,1.428,1.595,655.0,0.978,0.532,0.775,0.874,-0.025,0.416,618.798,2.5,1.5,2.5,59.0,31.5,12.432,13,24,27,23,27,4.127,4.736,5.359,22.287,61.0,5.375,5.425,6.594,89.539,3.835,3.855,3.751,3.756,3.419,1.803,1.782,1.913
7.523,1.185,0.066,6.33,1.772,2.5,2.0,0.515,0.238,0.352,5.99,8.329,8.329,0.029,2.007,1.835,1.536,0.721,3.361,1.104,1.5,1.0,2.18,1.104,1.631,588.0,0.947,0.729,1.133,0.811,0.078,0.434,398.065,1.959,0.832,1.732,49.75,25.5,10.749,9,18,21,18,22,3.97,4.58,5.238,15.522,52.0,5.228,5.268,6.455,76.252,3.588,3.591,3.395,3.431,3.114,1.47,1.464,1.715
6.77,1.189,0.035,6.367,1.822,2.5,2.0,0.55,0.235,0.349,5.99,8.33,8.33,0.03,1.992,1.81,1.552,0.725,3.362,1.11,1.5,1.0,2.183,1.11,1.647,622.0,0.947,0.717,1.133,0.811,0.041,0.466,413.025,1.959,0.833,1.79,50.5,25.5,10.822,8,18,21,18,22,3.989,4.61,5.261,13.137,53.0,5.255,5.298,6.489,78.102,3.589,3.59,3.399,3.434,3.116,1.469,1.464,1.712
5.0,1.204,0.078,6.506,1.823,2.5,2.0,0.683,0.231,0.345,5.99,8.33,8.33,0.031,1.992,1.814,1.549,0.725,3.369,1.111,1.5,1.0,2.184,1.111,1.64,624.0,0.939,0.701,1.137,0.813,0.076,0.457,428.758,1.959,0.835,1.863,51.75,26.0,11.234,8,18,21,18,22,4.007,4.62,5.277,13.375,54.0,5.27,5.308,6.499,79.29,3.594,3.596,3.397,3.434,3.121,1.472,1.466,1.721
6.959,1.189,0.058,6.367,1.822,2.5,2.0,0.55,0.235,0.349,5.99,8.33,8.33,0.03,1.992,1.81,1.552,0.725,3.362,1.11,1.5,1.0,2.183,1.11,1.647,614.0,0.931,0.717,1.116,0.815,0.055,0.466,413.025,1.959,0.833,1.79,51.0,26.0,10.99,8,18,21,18,22,3.989,4.61,5.261,12.401,53.0,5.255,5.298,6.489,78.102,3.59,3.591,3.395,3.432,3.115,1.469,1.464,1.716
6.638,1.28,0.062,5.137,0.839,1.928,1.508,0.348,0.28,0.416,5.979,8.263,8.263,0.031,1.94,1.745,1.567,0.737,3.303,0.534,0.665,0.507,1.576,0.534,1.667,513.0,0.92,0.854,1.216,0.792,0.069,0.494,255.877,1.486,0.358,1.459,40.25,19.0,8.906,4,12,15,12,16,3.784,4.394,5.059,6.632,43.0,5.056,5.081,6.292,63.198,3.384,3.412,3.097,3.136,3.057,1.263,1.219,1.594
6.638,1.185,0.095,6.33,1.37,2.173,2.0,0.504,0.238,0.352,5.99,8.329,8.329,0.029,2.007,1.835,1.536,0.721,3.368,1.104,1.152,1.0,2.0,1.104,1.631,551.0,0.932,0.729,1.236,0.798,0.132,0.434,398.065,1.958,0.831,1.649,43.25,19.0,8.841,4,12,15,12,16,3.912,4.489,5.133,6.897,49.0,5.187,5.176,6.398,72.089,3.594,3.603,3.4,3.433,3.122,1.481,1.47,1.727
5.0,1.275,0.1,6.921,1.986,2.812,2.34,0.833,0.223,0.335,5.99,8.33,8.33,0.03,1.978,1.796,1.557,0.728,3.502,1.409,1.822,1.295,2.5,1.409,1.636,654.0,0.942,0.665,1.089,0.823,0.063,0.47,461.488,2.183,1.161,1.959,54.5,27.5,11.716,8,18,22,18,23,4.06,4.668,5.292,13.021,57.0,5.325,5.357,6.556,83.508,3.611,3.627,3.407,3.444,3.303,1.492,1.475,1.744
8.301,0.997,0.039,7.805,2.107,2.865,2.387,1.5,0.176,0.27,5.542,7.038,7.038,0.028,2.058,1.911,1.461,0.71,3.583,1.435,1.895,1.353,2.541,1.435,1.587,661.0,0.975,0.507,0.662,0.893,0.038,0.411,646.397,2.5,1.5,2.5,59.5,31.5,12.461,13,24,27,23,27,4.143,4.745,5.364,22.704,62.0,5.389,5.434,6.604,90.65,3.845,3.861,3.762,3.768,3.429,1.812,1.794,1.922
7.268,1.185,0.108,6.33,1.37,2.173,1.984,0.504,0.238,0.352,5.99,8.329,8.329,0.029,2.007,1.835,1.536,0.721,3.365,1.104,1.152,0.983,2.0,1.104,1.631,569.0,0.936,0.729,1.254,0.795,0.138,0.434,398.065,1.958,0.831,1.649,43.5,19.0,9.143,4,12,15,12,16,3.912,4.489,5.133,6.815,49.0,5.187,5.176,6.398,72.089,3.594,3.602,3.398,3.432,3.114,1.476,1.468,1.726
9.509,0.997,-0.039,7.816,2.089,2.874,2.422,1.5,0.187,0.283,5.532,7.407,7.407,0.026,2.058,1.911,1.461,0.71,3.572,1.464,1.944,1.389,2.74,1.464,1.586,676.0,0.964,0.554,0.6,0.903,-0.025,0.402,615.771,2.661,1.733,2.5,59.25,30.5,12.513,11,24,27,21,25,4.143,4.745,5.361,19.002,62.0,5.389,5.434,6.604,90.769,3.837,3.856,3.729,3.741,3.397,1.783,1.764,1.918
7.027,1.036,-0.001,7.414,1.95,2.805,2.353,1.159,0.196,0.294,5.854,7.886,7.886,0.027,2.045,1.881,1.51,0.713,3.556,1.417,1.902,1.323,2.663,1.417,1.617,631.0,0.962,0.59,0.864,0.862,-0.002,0.431,579.987,2.484,1.446,2.194,53.25,24.5,11.161,7,18,21,16,20,4.078,4.668,5.284,12.381,58.0,5.349,5.357,6.562,85.636,3.768,3.817,3.581,3.593,3.38,1.711,1.652,1.895
9.0,1.011,0.006,7.577,2.087,2.859,2.382,1.5,0.182,0.277,5.544,7.135,7.135,0.027,2.059,1.909,1.471,0.71,3.573,1.428,1.892,1.349,2.539,1.428,1.595,657.0,0.978,0.532,0.662,0.892,0.003,0.416,618.798,2.5,1.5,2.5,59.0,31.5,12.435,13,24,27,23,27,4.127,4.736,5.359,22.404,61.0,5.375,5.425,6.594,89.539,3.835,3.855,3.748,3.752,3.421,1.803,1.78,1.913
