pXC50,MW,Sv,SCBO,Sp,nSK,nBO,nBM,nBT,Se,nAT,Si,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBR,nCL,nCsp,nCsp2
5.1,296.45,27.552,30.0,29.841,22,24,12,48,45.251,46,51.773,19,6.445,41.3,52.2,0.984,1.126,0.649,0.599,4.3,12,0,0,0,0,11
5.1,386.52,31.158,40.0,32.887,27,29,19,51,49.418,49,55.278,19,7.888,38.8,44.9,1.009,1.128,0.671,0.636,8.2,16,0,0,0,0,14
5.1,312.35,25.908,39.5,26.523,24,27,19,39,36.269,36,39.863,19,8.676,52.8,33.3,1.007,1.107,0.737,0.72,11.1,17,0,0,0,3,14
5.1,255.35,22.467,27.0,23.801,19,20,13,37,35.818,36,40.611,15,7.093,41.7,47.2,0.995,1.128,0.661,0.624,8.3,12,0,0,0,0,12
5.1,366.52,32.111,38.0,34.103,27,29,17,55,52.774,53,60.351,20,6.915,37.7,49.1,0.996,1.139,0.643,0.606,11.3,16,0,0,0,0,13
5.1,271.72,20.714,30.0,21.375,19,21,17,31,29.491,29,32.309,14,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,0,0,1,0,14
5.1,212.27,18.392,24.0,19.273,16,17,13,29,27.949,28,31.282,13,7.581,46.4,42.9,0.998,1.117,0.688,0.657,7.1,12,0,0,0,0,12
6.3,418.52,32.906,46.0,34.159,30,33,24,51,48.643,48,53.82,21,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,0,0,0,0,20
5.9,591.79,50.997,65.0,53.62,44,50,28,87,80.941,81,91.716,33,7.306,40.7,45.7,0.999,1.132,0.662,0.63,11.1,26,0,0,0,0,21
5.1,358.47,31.74,40.5,33.534,27,30,19,52,48.694,49,54.567,23,7.316,46.9,44.9,0.994,1.114,0.684,0.648,4.1,17,0,0,0,0,18
5.1,283.25,21.703,32.0,21.324,21,23,15,32,31.273,30,33.206,15,9.442,50.0,30.0,1.042,1.107,0.711,0.723,3.3,12,0,0,0,0,15
5.8,400.54,33.202,46.0,35.216,29,33,26,53,48.88,49,54.444,23,8.174,46.9,40.8,0.998,1.111,0.719,0.678,8.2,26,0,0,0,0,20
5.1,310.4,24.82,33.0,26.137,22,24,15,38,36.236,36,39.827,17,8.622,47.2,38.9,1.007,1.106,0.726,0.689,5.6,12,0,0,0,0,16
5.1,267.35,18.647,24.0,19.71,17,18,9,27,26.771,26,28.627,11,10.283,42.3,34.6,1.03,1.101,0.758,0.717,3.8,6,0,0,0,0,10
5.1,303.18,19.422,26.0,20.33,18,19,12,27,27.116,26,28.884,11,11.661,42.3,30.8,1.043,1.111,0.782,0.747,7.7,10,0,0,2,0,10
5.1,390.51,31.191,43.0,32.705,28,31,23,49,46.316,46,51.61,20,8.489,43.5,39.1,1.007,1.122,0.711,0.678,13.0,22,0,0,0,0,19
6.2,481.67,40.804,53.0,43.506,35,39,24,66,61.632,62,69.188,28,7.769,45.2,43.5,0.994,1.116,0.702,0.658,8.1,22,0,0,0,2,20
6.9,294.39,25.488,33.0,26.807,22,25,16,43,39.92,40,45.109,17,7.36,42.5,45.0,0.998,1.128,0.67,0.637,10.0,16,0,0,0,0,12
7.2,449.55,33.26,51.0,34.494,31,35,29,50,47.062,46,51.036,21,9.773,45.7,32.6,1.023,1.109,0.75,0.723,10.9,26,0,0,0,0,21
5.1,287.67,20.09,31.0,19.761,20,22,11,28,27.378,26,28.898,13,11.064,50.0,23.1,1.053,1.111,0.76,0.773,11.5,6,0,0,1,1,12
5.1,271.72,20.714,30.0,21.375,19,21,17,31,29.491,29,32.309,14,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,0,0,1,0,14
5.1,270.38,22.106,29.0,23.682,19,21,16,35,32.909,33,36.617,15,8.193,45.5,42.4,0.997,1.11,0.718,0.67,6.1,16,0,0,0,0,13
5.1,372.49,29.632,39.0,31.125,26,28,19,48,46.534,46,51.863,18,8.098,39.1,43.5,1.012,1.127,0.677,0.644,8.7,16,0,0,0,0,14
5.5,436.34,31.535,43.0,33.165,28,31,23,49,46.251,46,51.449,21,9.486,45.7,39.1,1.005,1.118,0.721,0.686,10.9,22,0,1,0,0,20
5.9,294.33,24.348,33.0,24.943,22,23,15,37,36.487,36,40.116,17,8.176,47.2,38.9,1.014,1.114,0.693,0.676,5.6,12,0,0,0,1,15
5.2,484.63,39.486,53.5,41.443,35,39,28,63,59.294,59,66.065,26,8.214,44.1,40.7,1.005,1.12,0.702,0.669,10.2,27,0,0,0,0,23
5.1,318.4,27.687,36.0,29.012,24,26,19,44,41.927,42,46.737,20,7.581,47.6,42.9,0.998,1.113,0.691,0.659,4.8,18,0,0,0,0,18
5.1,272.32,20.435,30.0,21.097,19,21,17,30,28.654,28,31.127,14,9.726,50.0,32.1,1.023,1.112,0.753,0.73,7.1,16,0,0,0,0,14
5.9,349.36,27.706,41.0,27.915,26,29,23,42,39.96,39,43.875,20,8.958,51.3,33.3,1.025,1.125,0.716,0.71,7.7,22,0,0,0,0,20
5.1,273.3,20.129,30.0,20.546,19,21,17,29,27.88,27,29.838,14,10.122,51.9,29.6,1.033,1.105,0.761,0.746,3.7,16,0,0,0,0,14
5.1,347.41,28.697,40.5,29.506,26,29,22,46,43.465,43,48.402,19,8.079,44.2,39.5,1.011,1.126,0.686,0.667,11.6,21,0,0,0,0,17
5.1,330.59,18.071,26.0,19.057,17,19,12,24,23.036,22,23.868,11,15.027,50.0,22.7,1.047,1.085,0.866,0.821,4.5,10,0,1,1,0,10
5.1,356.59,23.282,32.0,23.75,22,24,14,32,31.473,30,33.035,15,11.886,50.0,26.7,1.049,1.101,0.792,0.776,3.3,12,0,0,3,0,15
6.6,392.92,32.369,42.0,34.188,28,31,22,52,49.011,49,54.883,22,8.019,44.9,42.9,1.0,1.12,0.698,0.661,8.2,22,0,0,1,0,18
5.1,370.49,32.542,43.0,34.33,28,31,23,53,49.687,50,55.939,23,7.41,46.0,44.0,0.994,1.119,0.687,0.651,8.0,22,0,0,0,0,20
5.1,332.43,29.214,37.0,30.773,25,27,19,47,44.811,45,50.152,21,7.387,46.7,44.4,0.996,1.114,0.684,0.649,4.4,18,0,0,0,0,18
6.5,416.25,25.552,36.5,27.739,23,26,21,39,36.214,36,40.371,16,11.562,44.4,36.1,1.006,1.121,0.771,0.71,16.7,21,0,0,0,0,15
5.1,395.49,31.279,41.0,32.603,28,30,20,48,46.618,46,51.495,21,8.598,45.7,39.1,1.013,1.119,0.709,0.68,6.5,18,0,0,0,0,20
5.1,348.37,27.016,34.5,27.108,25,27,13,44,43.414,42,48.077,16,8.295,38.1,40.5,1.034,1.145,0.645,0.643,9.5,11,0,0,0,0,10
5.2,317.76,23.471,32.0,23.841,22,23,14,35,35.022,34,38.515,14,9.346,41.2,35.3,1.03,1.133,0.701,0.69,14.7,12,0,0,1,1,11
5.1,386.46,26.502,41.0,27.011,26,29,22,39,37.505,36,40.66,14,10.735,38.9,27.8,1.042,1.129,0.75,0.736,22.2,20,0,0,0,0,14
5.6,460.53,37.928,49.0,38.909,34,37,21,61,58.88,58,65.192,25,7.94,43.1,41.4,1.015,1.124,0.671,0.654,6.9,18,0,0,0,0,21
5.9,363.19,20.487,24.0,22.404,18,19,10,33,32.651,32,36.707,10,11.35,31.3,43.8,1.02,1.147,0.7,0.64,15.6,10,0,0,0,0,6
5.1,283.29,21.786,32.5,21.705,21,23,18,33,32.0,31,35.286,14,9.138,45.2,32.3,1.032,1.138,0.7,0.703,16.1,17,0,0,0,0,14
5.6,290.31,20.819,31.0,21.034,20,22,17,30,29.167,28,31.466,14,10.368,50.0,28.6,1.042,1.124,0.751,0.744,7.1,16,0,0,0,0,14
5.1,348.2,24.783,34.0,25.449,23,25,15,36,35.025,34,37.878,16,10.241,47.1,32.4,1.03,1.114,0.748,0.729,8.8,12,0,0,2,0,15
5.5,218.27,15.316,24.5,15.682,15,17,15,23,21.687,21,23.91,8,10.394,38.1,28.6,1.033,1.139,0.747,0.729,28.6,15,0,0,0,0,8
5.1,419.56,35.801,45.0,37.591,31,34,22,60,57.061,57,64.98,23,7.361,40.4,45.6,1.001,1.14,0.659,0.628,12.3,22,0,0,0,0,16
6.7,234.28,19.666,31.0,20.307,18,21,20,31,28.058,28,31.239,14,8.367,50.0,35.7,1.002,1.116,0.725,0.702,14.3,20,0,0,0,0,14
5.4,439.36,30.174,42.0,32.046,27,30,23,45,42.342,42,46.455,20,10.461,47.6,35.7,1.008,1.106,0.763,0.718,9.5,22,0,1,0,0,20
5.1,347.45,30.235,38.0,31.779,26,28,19,49,46.912,47,52.651,21,7.393,44.7,44.7,0.998,1.12,0.676,0.643,6.4,18,0,0,0,0,18
5.1,388.53,32.202,43.0,34.216,28,31,23,51,47.88,48,53.444,22,8.094,45.8,41.7,0.997,1.113,0.713,0.671,8.3,22,0,0,0,0,20
5.2,333.3,24.079,35.5,23.341,24,26,18,36,35.909,34,39.381,15,9.803,44.1,29.4,1.056,1.158,0.687,0.708,14.7,17,0,0,0,0,14
6.1,416.48,33.96,47.0,34.728,31,34,24,54,51.778,51,57.524,22,8.166,43.1,39.2,1.015,1.128,0.681,0.666,11.8,22,0,0,0,0,20
5.1,288.37,25.445,34.0,26.796,22,24,19,40,37.716,38,42.112,19,7.589,50.0,42.1,0.993,1.108,0.705,0.67,5.3,18,0,0,0,0,18
5.1,500.63,40.201,54.5,41.898,36,40,28,64,60.622,60,67.275,26,8.344,43.3,40.0,1.01,1.121,0.698,0.67,10.0,27,0,0,0,0,23
5.9,360.46,30.531,41.5,31.819,27,30,22,50,47.123,47,53.106,20,7.669,42.6,42.6,1.003,1.13,0.677,0.65,12.8,21,0,0,0,0,16
5.1,338.12,18.171,26.0,19.659,17,19,13,26,24.571,24,26.754,11,14.088,45.8,29.2,1.024,1.115,0.819,0.757,16.7,12,0,0,0,0,11
5.1,380.44,30.583,42.5,31.239,28,32,21,50,46.821,46,52.576,20,8.27,43.5,39.1,1.018,1.143,0.679,0.665,13.0,21,0,0,0,0,14
5.1,381.44,28.377,35.0,28.995,26,29,9,46,44.458,43,49.044,17,8.871,39.5,39.5,1.034,1.141,0.674,0.66,7.0,6,0,0,0,0,10
5.9,275.33,20.457,29.5,21.102,19,21,16,31,29.756,29,32.625,13,9.494,44.8,34.5,1.026,1.125,0.728,0.705,10.3,15,0,0,0,0,12
5.1,300.77,23.262,32.0,24.142,21,23,17,36,34.476,34,38.223,15,8.846,44.1,38.2,1.014,1.124,0.71,0.684,11.8,16,0,0,1,0,14
5.1,319.82,25.536,30.5,26.875,22,24,12,42,40.353,40,45.179,16,7.995,40.0,45.0,1.009,1.129,0.672,0.638,7.5,11,0,0,1,0,10
5.1,415.55,35.606,46.5,37.347,31,35,22,60,55.992,56,63.434,23,7.421,41.1,44.6,1.0,1.133,0.667,0.636,12.5,21,0,0,0,0,16
5.6,460.54,34.772,46.0,35.529,32,34,21,55,54.578,53,60.409,20,8.689,37.7,39.6,1.03,1.14,0.67,0.656,11.3,18,0,0,0,0,17
5.1,424.5,34.351,45.0,35.216,31,34,22,56,53.916,53,60.615,22,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,22,0,0,0,0,16
5.7,540.7,48.089,63.5,50.796,41,46,34,78,72.44,73,80.853,36,7.407,49.3,43.8,0.992,1.108,0.696,0.659,2.7,33,0,0,0,0,31
5.1,344.4,28.676,41.0,29.5,26,29,23,45,42.363,42,46.903,20,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,22,0,0,0,0,19
5.5,340.41,28.961,42.0,30.046,26,30,23,46,42.036,42,46.694,21,8.105,50.0,38.1,1.001,1.112,0.715,0.69,9.5,22,0,0,0,0,20
5.7,406.45,32.828,45.0,33.415,30,33,23,52,49.971,49,55.283,22,8.295,44.9,38.8,1.02,1.128,0.682,0.67,8.2,22,0,0,0,0,20
5.1,347.32,25.805,36.0,25.307,25,27,15,39,38.8,37,42.424,17,9.387,45.9,32.4,1.049,1.147,0.684,0.697,8.1,12,0,0,0,0,15
5.1,378.19,22.224,30.5,24.182,20,22,13,33,31.338,31,34.584,14,12.2,45.2,35.5,1.011,1.116,0.78,0.717,12.9,11,0,0,0,1,11
5.1,354.49,31.827,42.0,33.875,27,30,23,52,48.36,49,54.73,23,7.234,46.9,44.9,0.987,1.117,0.691,0.65,8.2,22,0,0,0,0,20
6.4,449.55,35.321,48.0,36.614,32,35,24,55,52.822,52,58.492,23,8.645,44.2,38.5,1.016,1.125,0.704,0.679,9.6,22,0,0,0,0,21
6.4,455.63,38.277,50.0,40.745,33,36,24,61,57.749,58,64.773,26,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,22,0,0,0,2,20
5.1,345.44,29.509,40.5,30.813,26,29,22,48,45.022,45,50.607,20,7.676,44.4,42.2,1.0,1.125,0.685,0.656,11.1,21,0,0,0,0,17
6.1,455.63,38.277,50.0,40.745,33,36,24,61,57.749,58,64.773,26,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,22,0,0,0,2,20
5.1,317.33,24.222,34.0,24.165,23,25,17,38,37.28,36,41.456,15,8.815,41.7,36.1,1.036,1.152,0.671,0.673,13.9,16,0,0,0,0,12
5.2,418.52,32.906,46.0,34.159,30,33,24,51,48.643,48,53.82,21,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,0,0,0,0,20
5.1,327.41,28.467,39.5,29.801,25,28,23,45,41.818,42,46.611,21,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,23,0,0,0,0,20
6.6,488.59,38.343,53.5,39.62,35,39,28,60,56.923,56,62.99,25,8.725,44.6,37.5,1.016,1.125,0.707,0.685,10.7,27,0,0,0,0,23
5.1,313.76,23.955,33.0,24.591,22,24,15,36,34.702,34,37.934,16,9.228,47.1,35.3,1.021,1.116,0.723,0.705,8.8,12,0,0,1,0,15
5.1,366.75,25.412,36.5,24.955,25,27,18,37,37.014,35,40.242,16,10.479,45.7,28.6,1.058,1.15,0.713,0.726,11.4,17,0,0,1,0,15
5.1,345.46,27.928,41.5,29.483,25,29,25,44,40.003,40,44.488,19,8.636,47.5,37.5,1.0,1.112,0.737,0.698,12.5,25,0,0,0,0,17
5.1,376.62,34.745,32.0,37.91,27,27,8,63,62.192,63,72.427,20,5.978,31.7,57.1,0.987,1.15,0.602,0.552,9.5,6,0,0,0,0,8
5.1,391.8,28.143,38.0,27.966,27,29,14,43,42.887,41,46.559,16,9.556,39.0,34.1,1.046,1.136,0.682,0.686,12.2,12,0,0,1,1,11
5.1,473.8,31.001,43.0,32.904,28,31,23,45,42.665,42,46.399,20,11.281,47.6,33.3,1.016,1.105,0.783,0.738,9.5,22,0,1,1,0,19
8.1,466.58,40.025,55.0,41.762,35,42,25,68,61.109,61,68.189,28,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,24,0,0,0,0,19
5.4,611.75,52.023,63.0,54.142,45,50,25,87,82.618,82,92.019,35,7.46,42.7,45.1,1.008,1.122,0.66,0.634,3.7,24,0,0,0,0,25
7.2,474.62,40.594,49.5,42.534,35,39,19,69,65.196,65,73.6,26,7.302,40.0,46.2,1.003,1.132,0.654,0.625,9.2,17,0,0,0,0,17
6.0,455.49,35.229,47.0,35.398,33,36,20,56,54.647,53,61.038,22,8.594,41.5,37.7,1.031,1.152,0.668,0.665,13.2,18,0,0,0,0,18
5.1,265.3,21.402,31.5,21.767,20,22,18,33,31.487,31,34.947,14,8.558,45.2,35.5,1.016,1.127,0.702,0.69,16.1,17,0,0,0,0,14
5.4,335.21,24.089,33.0,25.0,22,24,17,36,34.8,34,38.167,15,9.859,44.1,35.3,1.024,1.123,0.735,0.709,11.8,16,0,0,2,0,14
5.1,361.5,30.181,40.0,32.211,26,29,22,48,44.778,45,49.946,21,8.033,46.7,42.2,0.995,1.11,0.716,0.671,6.7,22,0,0,0,0,18
5.1,401.53,32.697,45.0,34.461,29,33,23,52,48.098,48,53.527,22,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,22,0,0,0,0,19
5.1,374.43,30.918,43.0,31.716,28,31,23,49,46.574,46,51.528,21,8.14,45.7,39.1,1.012,1.12,0.689,0.672,8.7,22,0,0,0,0,19
5.1,297.31,23.511,33.0,23.671,22,24,15,36,34.891,34,38.329,16,8.744,47.1,35.3,1.026,1.127,0.696,0.692,8.8,12,0,0,0,0,15
5.1,435.56,36.516,46.0,38.046,32,35,22,61,58.389,58,66.189,23,7.51,39.7,44.8,1.007,1.141,0.656,0.63,12.1,22,0,0,0,0,16
6.2,497.67,41.518,54.0,43.961,36,40,24,67,62.96,63,70.398,28,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,22,0,0,0,2,20
5.1,454.6,37.245,51.5,39.228,33,37,28,59,55.083,55,61.441,25,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,27,0,0,0,0,23
6.4,451.97,34.239,47.0,35.773,31,34,24,52,49.749,49,54.681,22,9.224,44.9,36.7,1.015,1.116,0.73,0.699,10.2,22,0,0,1,0,21
5.2,258.25,20.009,28.5,19.875,19,21,13,31,30.047,29,32.495,13,8.905,44.8,34.5,1.036,1.121,0.685,0.69,6.9,11,0,0,0,0,11
5.1,370.45,30.686,37.0,31.693,27,28,14,50,49.669,49,55.568,19,7.56,38.8,44.9,1.014,1.134,0.647,0.626,8.2,12,0,0,0,1,12
5.1,420.54,35.494,45.0,37.04,31,34,22,59,56.287,56,63.691,23,7.51,41.1,44.6,1.005,1.137,0.661,0.634,10.7,22,0,0,0,0,16
5.1,371.57,19.504,27.5,21.273,18,20,13,27,25.676,25,27.615,12,14.863,48.0,28.0,1.027,1.105,0.851,0.78,12.0,11,0,0,1,0,12
6.8,271.72,20.714,30.0,21.375,19,21,17,31,29.491,29,32.309,14,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,0,0,1,0,14
5.1,314.8,24.789,32.5,25.904,22,24,17,39,37.36,37,41.638,16,8.508,43.2,40.5,1.01,1.125,0.7,0.67,10.8,17,0,0,1,0,13
5.1,403.52,32.365,46.5,33.944,29,34,25,52,47.283,47,52.658,22,8.586,46.8,38.3,1.006,1.12,0.722,0.689,10.6,25,0,0,0,0,18
5.1,347.41,28.697,40.0,29.506,26,29,22,46,43.465,43,48.402,19,8.079,44.2,39.5,1.011,1.126,0.686,0.667,11.6,22,0,0,0,0,17
5.9,343.41,29.181,41.0,30.256,26,29,23,46,43.145,43,47.82,21,7.986,48.8,39.5,1.003,1.112,0.704,0.679,7.0,22,0,0,0,0,20
7.1,313.38,26.94,39.0,28.04,24,27,23,42,38.934,39,43.196,20,8.035,51.3,38.5,0.998,1.108,0.719,0.691,7.7,22,0,0,0,0,20
5.7,432.37,34.142,41.0,36.222,29,31,18,54,52.334,52,57.997,23,8.315,44.2,44.2,1.006,1.115,0.697,0.657,1.9,16,0,0,2,0,17
5.1,277.75,19.374,28.0,20.261,18,20,16,28,26.684,26,28.814,12,10.683,46.2,30.8,1.026,1.108,0.779,0.745,11.5,16,0,0,1,0,12
5.1,347.74,24.374,35.0,23.989,24,25,15,35,35.793,34,38.519,14,10.228,41.2,29.4,1.053,1.133,0.706,0.717,14.7,12,0,0,1,1,12
6.3,483.69,41.33,52.0,44.267,35,38,24,67,63.516,64,71.603,28,7.558,43.8,45.3,0.992,1.119,0.692,0.646,7.8,22,0,0,0,2,20
5.1,376.45,31.444,42.5,32.478,28,31,22,51,48.458,48,53.943,21,7.843,43.8,41.7,1.01,1.124,0.677,0.655,8.3,21,0,0,0,0,17
5.1,348.83,25.363,34.0,26.449,23,25,17,38,36.887,36,39.98,16,9.69,44.4,36.1,1.025,1.111,0.735,0.705,5.6,16,0,0,1,0,14
5.1,307.38,26.181,34.0,27.256,23,25,15,42,40.145,40,44.82,18,7.684,45.0,42.5,1.004,1.121,0.681,0.655,7.5,12,0,0,0,0,15
5.1,317.44,26.412,37.0,28.233,23,26,22,41,37.683,38,41.906,19,8.354,50.0,39.5,0.992,1.103,0.743,0.695,7.9,22,0,0,0,0,18
5.6,383.49,33.036,45.0,34.574,29,32,24,53,49.905,50,56.023,23,7.67,46.0,42.0,0.998,1.12,0.691,0.661,10.0,22,0,0,0,0,21
5.8,359.42,29.697,42.0,30.506,27,30,23,47,44.465,44,49.402,20,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,22,0,0,0,0,19
5.1,545.66,43.862,58.0,45.529,39,43,27,70,66.949,66,73.654,29,8.268,43.9,40.9,1.014,1.116,0.69,0.665,4.5,24,0,0,0,0,25
5.4,453.58,39.53,52.0,41.517,34,38,27,65,60.891,61,68.106,28,7.436,45.9,44.3,0.998,1.116,0.681,0.648,4.9,26,0,0,0,0,22
5.5,352.48,30.783,37.0,32.546,26,28,17,52,49.898,50,56.564,20,7.05,40.0,48.0,0.998,1.131,0.651,0.616,8.0,16,0,0,0,0,14
7.8,527.69,45.143,57.0,47.302,39,44,26,77,72.181,72,81.514,29,7.329,40.3,45.8,1.003,1.132,0.657,0.627,9.7,26,0,0,0,0,18
5.1,291.15,20.321,29.5,21.023,19,21,17,29,27.705,27,30.127,13,10.783,48.1,29.6,1.026,1.116,0.779,0.753,14.8,17,0,0,2,0,13
5.1,297.35,24.171,32.0,24.745,22,23,14,38,37.582,37,41.986,15,8.036,40.5,40.5,1.016,1.135,0.669,0.653,13.5,12,0,0,0,1,11
5.5,424.45,33.907,50.5,34.205,32,36,26,52,49.011,48,53.694,23,8.843,47.9,33.3,1.021,1.119,0.713,0.706,12.5,23,0,0,0,0,23
5.6,374.45,31.398,43.0,32.506,28,31,23,50,47.316,47,52.864,22,7.967,46.8,40.4,1.007,1.125,0.692,0.668,8.5,22,0,0,0,0,20
5.1,376.52,31.202,41.5,33.216,27,30,22,50,46.88,47,52.444,21,8.011,44.7,42.6,0.997,1.116,0.707,0.664,8.5,21,0,0,0,0,18
5.1,303.4,26.268,36.5,27.597,23,26,21,43,39.811,40,44.983,18,7.585,45.0,42.5,0.995,1.125,0.69,0.657,12.5,21,0,0,0,0,15
5.1,279.81,21.438,25.0,23.296,18,20,8,34,32.014,32,35.478,14,8.744,43.8,43.8,1.0,1.109,0.728,0.67,3.1,6,0,0,1,0,9
5.2,359.42,29.697,42.0,30.506,27,30,23,47,44.465,44,49.402,20,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,22,0,0,0,0,19
5.1,454.53,36.593,47.0,37.432,33,36,22,60,58.127,57,65.24,23,7.974,40.4,42.1,1.02,1.145,0.657,0.642,10.5,22,0,0,0,0,16
5.4,425.54,35.761,42.5,37.222,31,34,17,61,58.538,58,65.896,22,7.337,37.9,46.6,1.009,1.136,0.642,0.617,8.6,17,0,0,0,0,13
5.1,372.86,29.226,38.0,30.364,26,29,17,47,44.64,44,49.808,19,8.474,43.2,40.9,1.015,1.132,0.69,0.664,9.1,16,0,0,1,0,14
5.9,342.43,29.488,41.0,30.807,26,29,23,47,43.92,44,49.109,21,7.782,47.7,40.9,0.998,1.116,0.7,0.67,9.1,22,0,0,0,0,19
5.1,278.78,20.406,26.5,21.779,18,20,12,31,29.349,29,32.146,13,9.613,44.8,37.9,1.012,1.108,0.751,0.704,6.9,11,0,0,1,0,10
5.5,377.85,30.009,41.5,31.114,27,30,23,46,43.469,43,47.764,21,8.787,48.8,37.2,1.011,1.111,0.724,0.698,7.0,23,0,0,1,0,21
6.7,439.54,34.686,53.0,35.949,32,37,31,54,49.534,49,54.694,23,8.97,46.9,34.7,1.011,1.116,0.734,0.708,14.3,30,0,0,0,0,22
5.3,391.44,31.608,44.0,32.205,29,32,23,50,47.862,47,53.156,21,8.329,44.7,38.3,1.018,1.131,0.685,0.673,10.6,22,0,0,0,0,20
5.6,315.35,25.233,34.0,25.676,23,25,17,40,38.843,38,43.29,17,8.299,44.7,39.5,1.022,1.139,0.676,0.664,7.9,16,0,0,0,0,14
5.4,270.29,21.291,30.5,21.46,20,22,13,33,31.782,31,35.203,14,8.719,45.2,35.5,1.025,1.136,0.692,0.687,12.9,11,0,0,0,1,11
5.1,560.7,48.32,62.0,50.5,42,47,26,79,74.087,74,82.644,34,7.577,45.9,43.2,1.001,1.117,0.682,0.653,5.4,24,0,0,0,1,25
5.1,394.51,34.542,46.5,36.33,30,33,25,55,51.687,52,57.939,25,7.587,48.1,42.3,0.994,1.114,0.699,0.664,7.7,23,0,0,0,0,23
5.1,261.75,18.659,27.0,19.807,17,19,16,27,25.356,25,27.605,12,10.47,48.0,32.0,1.014,1.104,0.792,0.746,12.0,16,0,0,1,0,12
5.3,273.37,23.708,27.0,25.017,20,21,9,40,39.029,39,44.235,15,7.009,38.5,48.7,1.001,1.134,0.641,0.608,7.7,6,0,0,0,0,9
6.2,342.46,27.39,34.0,28.909,24,26,14,44,42.323,42,47.238,17,8.154,40.5,42.9,1.008,1.125,0.688,0.652,9.5,12,0,0,0,0,13
5.1,348.39,28.391,40.5,28.955,26,29,22,45,42.691,42,47.113,19,8.295,45.2,38.1,1.016,1.122,0.689,0.676,9.5,21,0,0,0,0,17
5.1,420.49,34.156,46.5,34.972,31,35,22,56,52.847,52,59.07,22,8.086,42.3,40.4,1.016,1.136,0.673,0.657,11.5,21,0,0,0,0,16
5.1,367.49,27.303,39.5,28.824,25,28,22,41,38.524,38,42.202,17,9.671,44.7,34.2,1.014,1.111,0.759,0.719,13.2,21,0,0,0,0,16
5.6,390.49,32.772,43.5,34.034,29,32,22,54,51.334,51,57.73,21,7.657,41.2,43.1,1.007,1.132,0.667,0.643,11.8,21,0,0,0,0,16
5.6,315.38,24.03,32.0,24.835,22,23,11,36,35.782,35,39.119,15,9.011,42.9,37.1,1.022,1.118,0.71,0.687,8.6,6,0,0,0,1,12
5.1,340.49,28.202,35.5,30.216,24,27,16,47,43.88,44,49.444,18,7.738,40.9,45.5,0.997,1.124,0.687,0.641,9.1,15,0,0,0,0,12
5.8,363.47,29.369,40.5,30.904,26,29,22,46,43.222,43,47.74,20,8.453,46.5,39.5,1.005,1.11,0.719,0.683,7.0,21,0,0,0,0,18
7.4,475.36,31.119,44.0,32.205,29,31,21,46,45.316,44,49.456,18,10.804,40.9,34.1,1.03,1.124,0.732,0.707,13.6,18,0,1,0,1,16
7.3,548.1,44.443,57.0,46.398,39,44,26,74,69.621,69,78.043,28,7.943,40.6,43.5,1.009,1.131,0.672,0.644,10.1,26,0,0,1,0,18
5.1,285.75,22.241,31.0,23.137,20,22,17,34,32.374,32,35.724,15,8.93,46.9,37.5,1.012,1.116,0.723,0.695,9.4,16,0,0,1,0,14
5.2,400.47,33.444,46.0,34.478,30,34,23,54,50.458,50,55.943,23,8.009,46.0,40.0,1.009,1.119,0.69,0.669,8.0,22,0,0,0,0,20
5.5,446.4,31.447,40.5,33.779,27,29,20,49,47.218,47,52.412,20,9.498,42.6,42.6,1.005,1.115,0.719,0.669,6.4,17,0,1,0,0,17
5.7,435.55,38.487,51.5,40.506,33,37,28,62,57.687,58,64.109,29,7.509,50.0,43.1,0.995,1.105,0.698,0.664,1.7,27,0,0,0,0,25
5.1,428.47,31.825,45.0,32.267,30,33,23,48,46.534,45,51.048,21,9.522,46.7,33.3,1.034,1.134,0.717,0.707,8.9,22,0,0,0,0,20
5.4,469.58,37.607,53.0,39.159,34,38,29,58,54.494,54,60.282,26,8.696,48.1,37.0,1.009,1.116,0.725,0.696,9.3,28,0,0,0,0,25
5.1,377.37,26.465,39.5,26.193,26,29,21,39,37.993,36,40.929,17,10.483,47.2,27.8,1.055,1.137,0.728,0.735,8.3,21,0,0,0,0,15
6.1,365.45,28.358,42.0,29.392,26,29,24,44,41.658,41,45.906,18,8.913,43.9,36.6,1.016,1.12,0.717,0.692,12.2,22,0,0,0,0,18
