pXC50,Eig11_AEA.bo.,Eig12_AEA.bo.,SpMax8_Bh.m.,Eig11_EA.bo.,nCrs,CATS2D_05_DA,ATS3m,Eig12_AEA.ri.,ZM2Per,ZM1Mad,SpMax4_Bh.e.,ATSC8s,X4sol,SM04_AEA.bo.,ATSC5m,CATS2D_05_AA,Eig10_AEA.bo.,MPC03,Eig15_AEA.bo.,MWC03,ZM2,ATS8s,MWC04,MWC05,Eig01_AEA.bo.,SpMax_AEA.bo.,Eig14_AEA.bo.,piPC02,SM02_EA.bo.,Eig12_AEA.ed.,Eig13_AEA.bo.,O.058,MAXDP,MATS4e,SM04_EA.bo.,Eta_B,ATSC7m,NdO,Eig03_AEA.dm.,Eig09_AEA.bo.,MAXDN,Eig09_EA.bo.,MWC06,Eig12_AEA.dm.,Eta_C_A,TIC1,Eig11_EA.ed.,SM06_AEA.ri.,Eig11_EA,SM05_AEA.dm.,nCs,GATS1p,Eig04_AEA.dm.,X4,X0sol,ATSC8e,X1sol,Eig01_AEA.ed.,Eig01_EA.ed.,SM10_AEA.dm.,SpDiam_EA.ed.,SpMax_AEA.ed.,SpMax_EA.ed.,SM15_EA.ed.,SM11_EA.bo.
7.921,2.5,2.435,3.175,1.5,7,4,4.497,2.111,788.72,251.155,3.675,281.283,11.228,7.621,66.988,3,2.616,4.22,1.991,6.075,217.0,6.749,6.938,7.784,4.549,4.549,2.067,4.324,5.011,3.772,2.392,5,6.178,-0.162,6.937,1.08,80.703,5,3.816,2.836,2.791,1.825,8.647,1.893,1.289,258.221,3.013,3.013,1.339,1.339,9,0.926,3.71,9.785,28.416,1.821,19.217,7.614,13.808,13.808,21.127,7.614,13.808,39.381,15.109
8.301,2.379,2.353,3.033,1.349,6,2,4.427,2.0,713.4,229.914,3.673,189.19,10.17,7.526,58.284,2,2.5,4.143,1.603,5.984,198.0,6.37,6.847,7.698,4.551,4.551,1.618,4.227,4.913,3.618,2.045,4,5.975,-0.181,6.858,0.974,68.105,4,3.815,2.6,2.777,1.557,8.562,1.802,1.228,237.415,2.733,2.733,1.108,1.108,8,0.857,3.674,8.727,25.424,1.231,17.323,7.615,13.81,13.81,21.135,7.615,13.81,39.382,15.08
6.193,2.454,2.402,3.108,1.432,12,3,4.323,2.0,652.88,200.03,3.732,249.722,9.165,7.546,59.692,2,2.5,4.174,1.643,6.023,206.0,6.634,6.88,7.725,4.549,4.549,2.016,4.256,4.942,3.618,2.186,4,6.086,-0.176,6.87,0.974,68.563,4,3.724,2.667,2.704,1.642,8.584,1.577,1.234,244.024,2.86,2.86,1.179,1.179,14,1.18,3.63,9.165,26.131,1.454,17.198,7.614,13.808,13.808,21.127,7.614,13.808,39.38,15.078
4.523,2.5,2.173,2.687,1.5,0,0,4.037,1.943,569.03,172.581,3.657,26.834,9.312,7.445,30.013,0,2.5,4.025,0.882,5.814,167.0,5.407,6.696,7.577,4.726,4.726,1.202,4.36,5.047,3.247,1.985,0,2.352,0.022,7.293,0.538,25.657,0,2.579,2.531,0.803,1.545,8.475,1.0,0.779,146.007,2.275,2.275,1.0,1.0,0,0.903,2.564,8.305,18.993,0.141,13.629,7.016,12.043,12.043,19.386,7.016,12.043,37.332,17.028
4.583,2.5,2.439,2.687,1.5,2,0,4.085,2.0,602.33,187.247,3.811,25.519,10.491,7.495,32.638,0,2.5,4.143,1.618,5.916,185.0,5.486,6.795,7.676,4.726,4.726,1.93,4.41,5.097,3.341,2.057,0,2.504,0.011,7.317,0.462,26.348,0,2.798,2.536,0.74,1.552,8.568,1.0,0.833,160.023,2.275,2.275,1.0,1.0,2,0.894,2.577,9.484,19.822,0.141,14.79,7.016,12.043,12.043,19.386,7.016,12.043,37.332,17.028
7.456,2.623,2.5,3.227,1.586,11,4,4.532,2.349,809.11,254.907,3.735,320.2,12.235,7.728,77.3,3,2.819,4.407,2.143,6.213,249.0,6.891,7.096,7.969,4.549,4.549,2.227,4.413,5.1,3.864,2.453,5,6.706,-0.158,7.031,1.149,80.629,5,3.927,2.9,2.729,1.913,8.857,2.088,1.348,278.073,3.396,3.396,1.476,1.476,11,1.1,3.726,11.74,29.924,1.946,20.109,7.614,13.808,13.808,21.127,7.614,13.808,39.461,15.313
4.63,2.782,2.503,2.933,1.811,0,0,4.16,2.0,775.67,196.861,3.568,39.732,9.411,7.606,23.844,0,2.834,4.094,1.847,5.932,188.0,5.584,6.783,7.624,4.496,4.496,1.924,4.503,5.19,3.341,2.5,2,5.203,-0.114,7.38,0.677,19.239,2,3.247,2.873,2.132,2.017,8.479,1.322,0.682,174.784,2.889,2.889,1.298,1.298,0,0.884,2.883,9.078,22.838,0.384,15.869,6.338,9.745,9.745,16.257,6.338,9.745,34.38,16.641
4.307,2.302,2.118,2.687,1.216,2,0,4.059,1.71,617.84,202.189,3.786,20.197,10.93,7.473,30.811,0,2.453,4.127,1.618,5.894,181.0,5.28,6.777,7.662,4.726,4.726,1.929,4.382,5.069,3.215,2.044,0,2.493,0.027,7.296,0.462,29.677,0,2.798,2.5,0.735,1.5,8.556,0.826,0.879,164.181,2.165,2.165,0.953,0.953,2,0.827,2.59,9.307,19.468,0.137,14.79,7.016,12.043,12.043,19.391,7.016,12.043,37.333,17.039
4.536,2.5,2.174,2.882,1.5,0,0,4.121,1.946,626.81,185.46,3.657,33.846,9.831,7.512,33.966,0,2.526,4.094,1.202,5.883,179.0,5.642,6.767,7.649,4.728,4.728,1.583,4.41,5.097,3.414,1.985,0,2.366,0.001,7.349,0.606,31.126,0,2.862,2.764,0.817,1.883,8.548,1.0,0.821,165.864,2.284,2.284,1.0,1.0,0,0.961,2.565,8.835,20.571,0.211,14.56,7.017,12.049,12.049,19.414,7.017,12.049,37.341,17.063
4.367,2.5,2.439,2.951,1.5,2,0,4.165,2.0,660.11,200.126,3.812,32.869,11.01,7.558,36.599,0,2.531,4.205,1.618,5.979,197.0,5.705,6.86,7.742,4.728,4.728,1.93,4.457,5.145,3.414,2.057,0,2.517,-0.006,7.372,0.53,31.802,0,2.872,2.764,0.789,1.884,8.635,1.021,0.87,179.611,2.511,2.511,1.039,1.039,2,0.948,2.795,10.014,21.399,0.209,15.722,7.017,12.049,12.049,19.414,7.017,12.049,37.341,17.064
4.244,2.5,2.179,2.875,1.5,0,0,4.121,1.982,626.53,185.46,3.657,29.544,9.774,7.512,33.582,0,2.5,4.094,1.199,5.883,179.0,5.558,6.765,7.646,4.726,4.726,1.654,4.41,5.097,3.414,1.989,0,2.364,-0.028,7.349,0.606,27.374,0,2.846,2.675,0.815,1.755,8.543,1.0,0.815,165.864,2.275,2.275,1.0,1.0,0,0.961,2.565,8.767,20.571,0.165,14.56,7.016,12.043,12.043,19.389,7.016,12.043,37.333,17.056
6.951,2.377,2.131,2.955,1.29,3,3,4.384,1.904,685.84,219.914,3.642,177.99,8.782,7.484,57.441,2,2.5,4.007,1.294,5.9,182.0,6.342,6.749,7.575,4.439,4.439,1.346,4.182,4.868,3.38,2.028,4,5.724,-0.207,6.817,1.095,73.742,4,3.803,2.616,2.804,1.582,8.42,1.804,1.234,235.984,2.275,2.275,1.0,1.0,5,0.885,3.673,7.339,25.303,1.226,16.616,7.252,12.166,12.166,19.27,7.252,12.166,37.492,14.96
6.658,2.571,2.5,3.22,1.526,10,4,4.537,2.301,804.35,250.907,3.727,302.871,12.195,7.719,72.945,3,2.791,4.394,2.096,6.196,245.0,6.839,7.083,7.958,4.549,4.549,2.143,4.401,5.088,3.863,2.432,5,6.669,-0.147,7.026,1.149,82.489,5,3.927,2.895,2.77,1.909,8.848,2.069,1.32,271.854,3.249,3.249,1.44,1.44,10,1.088,3.724,11.563,29.217,1.897,19.609,7.614,13.808,13.808,21.127,7.614,13.808,39.461,15.313
4.633,2.291,2.0,2.921,1.274,2,1,4.202,1.952,703.11,192.59,3.654,68.255,9.639,7.531,30.589,2,2.544,4.159,1.471,5.943,190.0,5.916,6.83,7.707,4.489,4.489,1.524,4.317,5.004,3.496,1.935,3,6.203,0.028,7.118,0.822,28.26,3,3.317,2.82,2.002,1.948,8.598,1.256,0.884,189.29,2.618,2.618,1.031,1.031,2,1.053,3.181,9.389,21.75,0.619,14.724,6.772,11.054,11.054,18.187,6.772,11.054,36.44,16.029
4.156,2.313,2.137,2.866,1.238,3,0,4.118,1.984,623.6,206.189,3.786,20.386,11.106,7.484,34.507,0,2.5,4.143,1.98,5.916,185.0,5.326,6.795,7.676,4.726,4.726,2.0,4.394,5.081,3.309,2.118,0,2.534,0.002,7.3,0.462,32.102,0,2.786,2.563,0.735,1.564,8.568,1.0,0.915,172.613,2.275,2.275,1.0,1.0,3,0.845,2.59,9.484,20.175,0.14,15.29,7.016,12.043,12.043,19.391,7.016,12.043,37.333,17.039
6.488,2.88,2.828,3.253,1.946,3,1,4.449,2.361,1031.98,261.148,3.845,215.642,10.788,7.846,46.378,2,2.903,4.382,2.5,6.225,252.0,6.468,7.107,7.96,4.539,4.539,2.583,4.61,5.298,4.047,2.747,3,6.287,-0.083,7.394,1.319,35.048,3,3.576,3.242,5.911,2.345,8.841,1.943,0.925,272.52,3.995,3.995,1.538,1.538,4,1.112,3.571,11.976,27.07,1.599,18.334,7.248,12.24,12.24,19.754,7.248,12.24,37.649,16.127
6.572,2.88,2.812,3.063,1.918,3,2,4.374,2.354,901.14,233.009,3.844,144.881,11.177,7.741,45.5,3,2.902,4.331,2.073,6.159,236.0,6.381,7.026,7.877,4.302,4.302,2.5,4.559,5.247,3.841,2.747,3,6.299,-0.143,7.326,0.992,37.768,3,3.576,2.917,2.712,2.089,8.744,1.926,0.889,266.678,3.675,3.675,1.495,1.495,4,1.154,3.117,11.478,27.777,1.212,18.872,6.503,10.18,10.18,16.979,6.503,10.18,35.19,15.927
6.057,2.88,2.823,3.253,1.935,3,1,4.398,2.36,881.01,236.131,3.846,133.841,11.452,7.772,50.679,2,2.903,4.357,2.334,6.188,243.0,6.382,7.059,7.911,4.312,4.312,2.5,4.58,5.268,3.841,2.747,3,6.328,-0.091,7.345,1.12,42.068,3,3.576,3.129,2.708,2.29,8.782,1.941,0.972,285.86,3.893,3.893,1.533,1.533,4,1.138,3.145,11.753,28.648,0.9,19.244,6.503,10.18,10.18,16.979,6.503,10.18,35.421,15.975
6.206,2.837,2.784,3.252,1.893,3,0,4.517,2.303,854.55,285.123,3.847,117.326,10.982,7.721,48.043,1,2.879,4.277,2.072,6.116,226.0,6.249,6.982,7.829,4.281,4.281,2.5,4.538,5.226,3.839,2.747,3,6.246,-0.128,7.308,1.068,31.009,3,3.576,2.882,2.702,2.046,8.694,1.653,0.958,254.486,3.423,3.423,1.414,1.414,4,0.908,3.094,10.775,27.363,0.781,18.373,6.503,10.179,10.179,16.978,6.503,10.179,35.044,15.882
6.55,2.864,2.795,3.126,1.9,3,0,4.329,2.354,825.45,223.252,3.85,123.616,10.788,7.731,46.835,1,2.88,4.304,2.073,6.138,231.0,6.324,7.004,7.854,4.3,4.3,2.5,4.549,5.236,3.841,2.747,3,6.304,-0.107,7.317,1.03,38.406,3,3.576,2.903,2.699,2.06,8.72,1.668,0.949,269.956,3.491,3.491,1.414,1.414,5,1.088,3.086,11.089,27.07,0.72,18.334,6.503,10.18,10.18,16.979,6.503,10.18,35.129,15.906
6.313,2.874,2.805,3.179,1.914,3,0,4.415,2.374,989.43,254.269,3.851,208.889,10.475,7.837,45.474,1,2.881,4.357,2.5,6.205,247.0,6.476,7.088,7.94,4.563,4.563,2.583,4.6,5.288,4.019,2.747,3,6.257,-0.063,7.385,1.357,32.898,3,3.576,3.201,6.075,2.324,8.822,1.669,0.949,266.224,3.624,3.624,1.414,1.414,4,1.073,3.568,11.518,26.363,1.282,17.796,7.254,12.28,12.28,19.805,7.254,12.28,37.686,16.114
7.292,2.837,2.784,3.286,1.893,3,0,4.579,2.288,893.13,300.642,3.842,129.479,11.364,7.721,54.872,1,2.879,4.277,2.072,6.116,226.0,6.254,6.982,7.829,4.281,4.281,2.5,4.538,5.226,3.839,2.747,3,6.234,-0.152,7.308,1.068,27.223,3,3.576,2.882,2.708,2.046,8.694,1.856,0.964,249.079,3.423,3.423,1.414,1.414,4,0.841,3.159,10.775,27.863,1.022,18.662,6.503,10.179,10.179,16.978,6.503,10.179,35.044,15.882
7.022,2.837,2.784,3.294,1.893,3,0,4.695,2.285,893.13,350.994,3.841,124.589,11.618,7.721,59.526,1,2.879,4.277,2.072,6.116,226.0,6.233,6.982,7.829,4.281,4.281,2.5,4.538,5.226,3.839,2.747,3,6.239,-0.146,7.308,1.068,24.649,3,3.576,2.882,2.705,2.046,8.694,1.848,1.013,245.079,3.423,3.423,1.414,1.414,4,0.785,3.153,10.775,28.363,0.965,18.95,6.503,10.179,10.179,16.978,6.503,10.179,35.044,15.882
6.292,2.5,2.5,2.995,1.5,0,2,4.369,2.0,765.1,221.952,3.693,66.429,11.031,7.599,41.891,2,2.698,4.205,2.0,6.019,205.0,5.849,6.884,7.738,4.447,4.447,2.3,4.437,5.124,3.488,2.413,2,5.599,0.126,7.209,0.839,37.778,2,3.202,2.808,2.809,1.88,8.606,1.199,0.886,215.126,2.641,2.641,1.095,1.095,2,0.931,3.023,10.121,25.079,0.553,16.996,6.681,10.61,10.61,17.294,6.681,10.61,35.628,15.929
7.377,2.668,2.5,3.153,1.622,0,1,4.449,2.065,850.74,240.992,3.701,83.938,11.892,7.716,48.601,1,2.807,4.29,2.303,6.107,224.0,5.917,6.98,7.839,4.505,4.505,2.417,4.527,5.215,3.61,2.5,3,5.761,0.047,7.32,1.035,39.083,3,3.549,3.216,2.916,2.396,8.713,1.61,0.924,228.244,2.905,2.905,1.177,1.177,2,0.897,3.202,10.885,27.526,0.609,18.301,6.705,10.724,10.724,17.558,6.705,10.724,35.775,16.153
6.77,2.924,2.699,3.136,1.949,3,3,4.597,2.31,963.43,291.347,3.831,208.781,13.98,7.915,59.988,3,2.951,4.489,2.433,6.29,269.0,6.559,7.174,8.047,4.951,4.951,2.5,4.677,5.366,4.163,2.5,4,6.268,-0.12,7.552,1.194,56.898,4,3.663,3.168,4.808,2.347,8.934,1.663,1.012,291.84,4.082,4.082,1.522,1.522,5,1.256,3.216,12.736,30.812,1.151,21.439,7.733,13.965,13.965,22.343,7.733,13.965,39.554,17.324
6.452,2.923,2.5,3.136,1.948,3,3,4.571,2.229,921.82,284.468,3.832,203.189,13.605,7.906,58.624,3,2.945,4.466,2.494,6.271,264.0,6.545,7.155,8.028,4.951,4.951,2.5,4.668,5.357,4.169,2.5,4,6.259,-0.136,7.544,1.232,54.107,4,3.663,3.168,4.801,2.347,8.914,1.663,1.022,279.312,4.082,4.082,1.522,1.522,5,1.226,3.205,12.362,30.105,1.063,20.901,7.733,13.965,13.965,22.343,7.733,13.965,39.554,17.317
6.347,2.972,2.925,3.458,2.074,3,3,4.666,2.52,1032.02,312.468,3.837,199.093,15.541,8.024,62.477,3,3.168,4.595,2.5,6.392,298.0,6.594,7.274,8.148,4.951,4.951,2.5,4.812,5.501,4.407,2.672,4,6.308,-0.138,7.687,1.245,57.434,4,3.663,3.358,4.811,2.685,9.033,1.725,0.992,301.714,4.376,4.376,1.664,1.664,5,1.159,3.206,14.298,33.218,1.027,23.473,7.733,13.965,13.965,22.343,7.733,13.965,39.555,17.375
6.622,2.806,2.5,3.136,1.877,3,3,4.55,2.109,951.04,282.076,3.826,209.457,13.454,7.871,52.946,5,2.927,4.443,2.43,6.244,257.0,6.513,7.127,7.999,4.951,4.951,2.5,4.64,5.328,3.826,2.5,4,6.241,-0.208,7.505,1.126,52.994,4,3.663,3.168,4.806,2.347,8.885,1.609,0.972,280.73,3.891,3.891,1.497,1.497,5,1.27,3.202,12.21,29.235,1.185,20.507,7.733,13.965,13.965,22.343,7.733,13.965,39.554,17.298
7.125,2.806,2.5,3.136,1.877,3,3,4.55,2.108,946.6,281.632,3.827,208.139,13.454,7.871,54.537,4,2.927,4.443,2.43,6.244,257.0,6.513,7.127,7.999,4.951,4.951,2.5,4.64,5.328,3.826,2.5,4,6.241,-0.174,7.505,1.126,51.594,4,3.663,3.168,4.805,2.347,8.885,1.609,0.972,282.504,3.891,3.891,1.497,1.497,5,1.27,3.202,12.21,29.235,1.167,20.507,7.733,13.965,13.965,22.343,7.733,13.965,39.554,17.298
6.747,2.806,2.5,3.136,1.877,3,3,4.548,2.113,927.94,280.244,3.829,204.637,13.454,7.871,54.648,4,2.927,4.443,2.43,6.244,257.0,6.51,7.127,7.999,4.951,4.951,2.5,4.64,5.328,3.826,2.5,4,6.244,-0.179,7.505,1.126,53.126,4,3.663,3.168,4.802,2.347,8.885,1.609,0.98,277.921,3.891,3.891,1.497,1.497,5,1.244,3.202,12.21,29.235,1.122,20.507,7.733,13.965,13.965,22.343,7.733,13.965,39.554,17.298
7.119,2.681,2.5,3.136,1.724,3,3,4.519,2.116,889.46,272.468,3.815,204.033,13.315,7.834,54.058,3,2.806,4.419,2.43,6.217,250.0,6.489,7.098,7.97,4.95,4.95,2.5,4.61,5.298,3.615,2.5,4,6.137,-0.164,7.465,1.019,50.157,4,3.663,3.028,4.782,2.061,8.854,1.399,0.949,254.225,2.876,2.876,1.222,1.222,5,1.213,3.202,12.053,28.364,1.096,20.113,7.733,13.964,13.964,22.341,7.733,13.964,39.553,17.278
7.097,2.681,2.5,3.136,1.723,5,3,4.517,2.103,881.23,272.683,3.817,216.818,12.674,7.83,53.007,4,2.787,4.394,2.267,6.217,250.0,6.507,7.106,7.986,4.95,4.95,2.403,4.543,5.231,3.812,2.5,5,6.112,-0.245,7.387,1.109,50.586,5,3.827,3.028,4.791,2.061,8.876,1.573,1.013,258.392,2.878,2.878,1.221,1.221,7,1.264,3.663,11.412,27.82,1.178,19.524,7.733,13.964,13.964,22.341,7.733,13.964,39.556,17.264
7.553,2.848,2.805,3.466,1.893,3,3,4.646,2.379,996.94,315.507,3.822,239.514,14.858,7.906,60.055,3,3.102,4.466,2.43,6.271,264.0,6.607,7.16,8.033,4.957,4.957,2.5,4.668,5.357,4.249,2.5,4,6.323,-0.113,7.544,1.232,58.671,4,3.663,3.216,4.996,2.4,8.923,1.611,1.033,270.792,3.917,3.917,1.499,1.499,5,1.104,3.202,12.761,31.105,1.489,21.478,7.736,13.983,13.983,22.396,7.736,13.983,39.573,17.337
6.708,2.806,2.5,3.234,1.877,1,3,4.606,2.101,935.64,297.966,3.799,183.538,14.416,7.871,55.012,3,2.927,4.443,2.43,6.244,257.0,6.448,7.127,7.999,4.951,4.951,2.5,4.64,5.328,3.826,2.5,4,6.234,-0.115,7.505,1.126,56.731,4,3.798,3.168,4.82,2.347,8.885,1.938,1.009,270.239,3.891,3.891,1.497,1.497,3,1.122,3.611,12.21,29.588,0.987,21.007,7.733,13.965,13.965,22.343,7.733,13.965,39.554,17.298
5.365,2.647,2.5,2.991,1.659,0,1,4.347,2.061,880.72,228.373,3.699,291.704,9.5,7.73,44.769,1,2.808,4.29,2.293,6.116,226.0,6.606,7.0,7.861,4.637,4.637,2.406,4.505,5.193,3.548,2.5,2,6.135,-0.023,7.294,1.128,32.475,2,3.567,2.885,6.226,2.012,8.745,1.338,0.9,224.312,2.953,2.953,1.233,1.233,2,1.056,3.202,10.701,23.209,1.659,16.008,7.325,12.627,12.627,20.413,7.325,12.627,38.065,16.161
6.818,2.924,2.507,3.137,1.949,3,3,4.597,2.243,963.14,291.347,3.831,205.567,13.916,7.915,59.86,4,2.958,4.489,2.5,6.29,269.0,6.561,7.172,8.045,4.951,4.951,2.5,4.677,5.366,4.191,2.5,4,6.266,-0.153,7.552,1.194,54.908,4,3.663,3.168,4.807,2.347,8.93,1.663,1.008,291.84,4.082,4.082,1.522,1.522,5,1.256,3.207,12.672,30.812,1.205,21.439,7.733,13.965,13.965,22.343,7.733,13.965,39.554,17.32
7.161,2.807,2.681,3.412,1.879,3,3,4.611,2.21,1024.98,294.645,3.817,224.504,14.267,7.949,56.033,3,3.028,4.5,2.5,6.293,270.0,6.527,7.182,8.059,4.95,4.95,2.5,4.714,5.403,3.889,2.613,4,6.158,-0.14,7.602,1.198,53.739,6,3.812,3.199,4.818,2.39,8.949,1.62,0.944,275.208,3.743,3.743,1.497,1.497,5,1.202,3.663,13.005,30.812,1.273,21.435,7.733,13.964,13.964,22.341,7.733,13.964,39.567,17.422
6.886,2.693,2.5,3.183,1.709,3,3,4.551,2.087,912.12,282.003,3.794,212.889,12.866,7.827,60.733,3,2.926,4.394,2.149,6.221,251.0,6.562,7.096,7.958,4.951,4.951,2.372,4.564,5.252,3.826,2.5,5,6.24,-0.12,7.401,1.18,56.969,5,3.683,3.168,4.813,2.347,8.838,1.665,1.084,293.848,4.081,4.081,1.492,1.492,6,1.347,3.663,11.622,30.527,1.172,20.866,7.733,13.965,13.965,22.343,7.733,13.965,39.552,17.271
6.625,2.927,2.633,3.218,2.062,6,2,4.579,2.313,967.06,300.573,3.835,213.718,14.425,7.91,56.902,2,3.038,4.419,2.5,6.225,252.0,6.623,7.117,7.992,4.953,4.953,2.5,4.707,5.396,3.983,2.562,3,6.857,-0.006,7.653,1.142,53.742,3,3.113,3.232,4.917,2.481,8.888,1.413,1.034,257.236,4.342,4.342,1.575,1.575,7,1.027,3.035,12.342,29.527,1.24,20.568,7.728,13.94,13.94,22.276,7.728,13.94,39.531,17.486
5.596,2.916,2.829,3.158,2.078,0,2,4.521,2.382,922.64,280.24,3.702,264.975,13.077,7.889,50.611,2,2.964,4.344,2.181,6.138,231.0,6.669,7.047,7.933,4.952,4.952,2.309,4.666,5.354,4.052,2.399,3,6.448,-0.037,7.689,1.291,44.572,3,3.3,3.118,4.943,2.427,8.843,1.427,1.025,237.231,4.312,4.312,1.575,1.575,2,1.045,3.056,11.169,27.448,1.554,18.333,7.715,13.823,13.823,22.254,7.715,13.823,39.418,17.653
5.678,2.5,2.371,2.917,1.5,2,1,4.44,2.0,808.74,257.372,3.635,227.595,12.147,7.693,41.492,5,2.759,4.248,1.0,6.019,205.0,6.392,6.94,7.844,4.964,4.964,1.705,4.407,5.094,3.512,1.896,4,6.25,-0.157,7.322,1.078,43.169,4,3.685,2.921,4.946,2.071,8.771,1.21,0.978,191.24,3.016,3.016,1.095,1.095,4,1.079,3.069,10.066,23.586,1.368,16.046,7.754,14.11,14.11,22.628,7.754,14.11,39.745,17.296
6.319,2.5,2.38,3.141,1.485,8,2,4.455,2.0,723.96,237.914,3.675,243.287,10.598,7.546,64.212,2,2.516,4.174,1.618,6.023,206.0,6.621,6.88,7.725,4.549,4.549,2.068,4.256,4.942,3.618,2.177,4,6.023,-0.174,6.87,0.974,81.258,4,3.806,2.643,2.764,1.62,8.583,1.807,1.291,251.624,2.807,2.807,1.175,1.175,10,0.897,3.673,9.155,26.838,1.451,18.323,7.614,13.808,13.808,21.126,7.614,13.808,39.38,15.078
7.796,2.864,2.795,3.255,1.9,3,1,4.548,2.306,897.13,292.001,3.844,143.508,11.295,7.731,48.433,2,2.88,4.304,2.073,6.138,231.0,6.344,7.004,7.854,4.3,4.3,2.5,4.549,5.236,3.841,2.747,3,6.281,-0.143,7.317,1.03,34.135,3,3.576,2.903,2.71,2.06,8.72,1.863,0.945,259.962,3.491,3.491,1.414,1.414,4,0.943,3.126,11.089,28.07,1.156,18.911,6.503,10.18,10.18,16.979,6.503,10.18,35.129,15.906
8.824,2.571,2.5,3.22,1.526,9,4,4.592,2.299,848.15,269.849,3.701,298.997,13.006,7.719,75.367,3,2.791,4.394,2.096,6.196,245.0,6.821,7.083,7.958,4.549,4.549,2.143,4.401,5.088,3.863,2.432,5,6.66,-0.146,7.026,1.149,83.467,5,3.878,2.895,2.783,1.909,8.848,1.919,1.348,271.076,3.249,3.249,1.44,1.44,9,0.944,3.774,11.563,29.57,1.978,20.234,7.614,13.808,13.808,21.127,7.614,13.808,39.461,15.313
7.699,2.571,2.5,3.211,1.526,10,4,4.537,2.307,804.35,250.907,3.729,308.093,12.171,7.719,74.042,3,2.791,4.394,2.096,6.196,245.0,6.85,7.083,7.958,4.549,4.549,2.143,4.401,5.088,3.863,2.432,5,6.667,-0.151,7.026,1.149,76.747,5,3.921,2.895,2.762,1.909,8.848,2.06,1.321,271.854,3.249,3.249,1.44,1.44,10,1.088,3.728,11.563,29.217,1.999,19.609,7.614,13.808,13.808,21.127,7.614,13.808,39.461,15.313
8.409,2.377,2.195,3.044,1.291,3,3,4.457,1.993,705.0,227.914,3.656,249.52,9.91,7.514,70.721,2,2.5,4.111,1.351,5.964,194.0,6.593,6.815,7.654,4.531,4.531,1.618,4.212,4.898,3.414,2.037,4,5.962,-0.185,6.847,0.974,78.329,4,3.808,2.616,2.79,1.582,8.505,1.804,1.309,252.817,2.275,2.275,1.015,1.015,7,0.924,3.673,8.467,26.717,1.603,17.737,7.6,13.676,13.676,20.926,7.6,13.676,39.237,15.059
7.62,2.434,2.376,3.106,1.413,7,3,4.439,2.0,718.24,233.914,3.674,224.814,10.431,7.536,62.531,2,2.5,4.159,1.618,6.004,202.0,6.51,6.864,7.711,4.549,4.549,1.991,4.241,4.927,3.618,2.065,4,6.002,-0.18,6.864,0.974,76.082,4,3.808,2.616,2.77,1.582,8.571,1.804,1.261,244.705,2.769,2.769,1.134,1.134,9,0.878,3.673,8.988,26.131,1.478,17.823,7.614,13.808,13.808,21.127,7.614,13.808,39.38,15.078
6.796,2.44,2.4,3.072,1.42,9,3,4.296,2.0,672.37,196.03,3.705,224.208,8.988,7.573,53.745,2,2.5,4.159,1.618,6.004,202.0,6.525,6.864,7.711,4.55,4.55,2.013,4.284,4.97,3.618,2.089,4,6.005,-0.187,6.946,0.974,60.623,4,3.725,2.649,2.756,1.607,8.571,1.537,1.145,252.51,2.769,2.769,1.134,1.134,11,1.125,3.536,8.988,25.424,1.389,16.698,7.614,13.808,13.808,21.127,7.614,13.808,39.38,15.24
9.194,2.846,2.634,3.136,1.887,3,3,4.564,2.194,944.98,289.556,3.786,249.64,13.485,7.848,46.629,3,2.917,4.357,1.935,6.159,236.0,6.539,7.054,7.93,4.957,4.957,2.374,4.61,5.298,3.815,2.5,4,6.262,-0.169,7.544,1.163,53.58,4,3.663,3.102,5.0,2.206,8.825,1.601,0.976,245.787,3.362,3.362,1.409,1.409,5,1.068,3.143,11.388,28.699,1.512,19.461,7.736,13.983,13.983,22.396,7.736,13.983,39.579,17.41
8.824,3.102,2.846,3.517,2.206,3,4,4.741,2.38,1103.96,339.372,3.818,297.641,15.394,7.938,44.012,4,3.232,4.419,2.394,6.232,254.0,6.628,7.128,7.999,4.957,4.957,2.5,4.687,5.375,4.368,2.66,5,6.265,-0.091,7.617,1.397,51.16,5,3.681,3.232,5.048,2.481,8.894,1.918,1.017,264.414,4.901,4.901,1.817,1.817,5,0.964,3.663,12.387,32.147,1.932,21.304,7.736,13.983,13.983,22.396,7.736,13.983,39.586,17.453
8.854,2.362,1.935,2.916,1.252,3,3,4.355,1.766,757.7,242.678,3.628,248.41,10.692,7.604,36.234,3,2.5,4.078,1.0,5.9,182.0,6.419,6.792,7.662,4.957,4.957,1.137,4.344,5.03,3.312,1.862,4,6.077,-0.2,7.266,0.992,43.066,4,3.663,2.844,4.953,1.885,8.556,1.0,0.939,188.974,2.136,2.136,1.0,1.0,5,1.076,3.065,8.595,23.139,1.47,15.546,7.736,13.983,13.983,22.396,7.736,13.983,39.57,17.275
