pXC50,nROH,SsOH,NsOH,O.057,Eig10_AEA.dm.,ATS5s,nArNHR,nPyrimidines,IC4,C.035,Eig08_AEA.bo.,nDB,nTriazoles,SpMax8_Bh.v.,Eig12_AEA.bo.,CATS2D_02_AA,SpMin3_Bh.i.,CATS2D_04_AN,nCconj,nBnz,IC5,NdO,O.058,Eig12_EA.bo.,Eig12_EA.ri.,Eig12_AEA.ri.,Eig12_EA.ed.,SM07_AEA.ri.,SpMax3_Bh.p.,ATS1s,ATS5m,C.044,P_VSA_i_2,CATS2D_03_DA,CATS2D_01_AN,CATS2D_01_DN,CATS2D_02_NL,CATS2D_01_AA,H.051,SpAD_AEA.ed.,Eig10_AEA.ri.,ATS3v,ATS6v,P_VSA_e_5,Eig06_AEA.dm.,CATS2D_03_AA,Eig10_EA.ri.,N.075,NaaN,Eig08_AEA.dm.,SpAD_AEA.dm.,CATS2D_09_NL,SpMax7_Bh.m.,CATS2D_08_NL,Eig11_AEA.bo.,P_VSA_i_3,Eig10_EA,SM04_AEA.dm.,nCbH,RDSQ,CATS2D_03_NL,ATS5v,Pol,MPC01,MWC01,nBO
4.301,0,0.0,0,0,1.876,6.185,0,0,5.167,0,3.211,3,0,2.951,2.5,1,1.672,0,3,2,5.167,3,3,1.5,1.0,2.0,2.3,2.3,3.671,5.399,4.196,0,158.776,2,0,0,0,1,0,60.021,2.325,4.221,4.179,86.435,2.581,2,1.32,1,1,2.244,61.771,0,3.167,0,2.5,427.797,1.322,1.322,8,336.544,0,4.192,54,3.689,3.689,39
5.301,0,0.0,0,0,1.458,5.947,0,0,5.299,0,2.919,2,0,2.76,2.5,0,1.815,0,2,2,5.299,2,2,1.5,1.0,2.0,2.207,2.207,3.775,5.291,4.025,0,173.664,2,0,0,0,1,0,52.861,2.025,4.013,3.971,61.29,2.529,2,1.015,2,2,1.646,53.9,0,3.027,0,2.5,284.941,1.064,1.064,9,286.933,0,3.967,47,3.584,3.584,35
4.301,0,0.0,0,0,1.439,5.89,0,0,5.084,0,2.918,2,0,2.715,2.5,0,1.85,0,2,3,5.124,2,2,1.5,1.0,2.0,2.197,2.197,3.815,5.218,4.027,0,171.372,2,0,0,0,1,0,51.401,2.0,4.001,3.96,50.29,2.529,2,1.0,1,1,1.646,52.604,0,3.084,0,2.5,289.547,1.037,1.037,14,275.505,0,3.918,45,3.555,3.555,34
4.301,0,0.0,0,0,1.439,5.92,0,0,5.148,0,3.052,2,0,2.725,2.5,0,1.85,0,2,3,5.148,2,2,1.5,1.0,2.0,2.275,2.275,3.815,5.25,4.048,0,173.906,2,0,0,0,1,0,53.535,2.019,4.062,3.993,50.29,2.529,2,1.0,1,1,2.086,54.151,0,3.134,0,2.5,313.089,1.062,1.062,13,287.353,0,3.955,47,3.584,3.584,35
4.839,1,10.415,1,1,1.261,6.11,0,0,4.736,0,2.613,3,0,2.715,2.0,0,1.727,0,4,2,4.825,2,2,0.867,0.575,1.618,1.339,1.339,3.679,5.02,3.884,0,112.458,1,0,0,0,0,0,46.485,2.0,4.112,3.779,92.973,2.307,0,1.0,0,0,1.554,46.977,0,2.866,0,2.266,344.002,1.0,1.0,8,229.169,0,3.95,47,3.401,3.401,29
7.377,1,9.122,1,1,1.439,6.431,0,0,5.033,0,2.917,3,0,2.753,1.734,0,1.635,1,4,2,5.033,2,2,0.582,0.445,1.409,0.995,0.995,3.676,5.185,3.99,0,119.943,0,1,1,2,0,0,46.056,1.83,3.92,3.705,103.973,2.555,0,0.825,0,0,1.657,46.133,1,2.913,1,1.88,280.54,0.847,0.847,6,229.27,2,3.829,44,3.401,3.401,29
7.301,1,9.197,1,1,1.198,6.146,0,0,4.929,0,2.753,3,0,2.721,1.858,0,1.642,1,4,2,4.929,2,2,0.778,0.72,1.729,1.742,1.742,3.704,5.114,3.874,0,118.101,0,1,1,2,0,0,45.74,2.0,4.007,3.654,92.973,2.427,0,1.0,0,0,1.591,45.684,1,3.094,2,2.104,355.773,1.0,1.0,7,222.664,2,3.839,42,3.401,3.401,29
5.244,1,9.114,1,1,1.475,6.452,0,0,5.033,0,2.865,3,0,2.728,1.863,0,1.637,1,4,2,5.033,2,2,0.784,0.721,1.731,1.742,1.742,3.677,5.246,3.978,0,119.233,0,1,1,2,0,0,48.317,2.0,3.914,3.615,103.973,2.562,0,1.0,0,0,1.874,47.779,1,2.872,1,2.106,256.997,1.0,1.0,7,244.104,2,3.784,43,3.466,3.466,31
6.432,1,9.184,1,1,1.535,6.403,0,0,5.253,0,2.943,3,0,2.774,2.105,0,1.642,1,4,2,5.253,2,2,0.917,0.722,1.731,1.742,1.742,3.701,5.276,4.039,0,129.899,0,1,1,2,0,0,49.786,2.105,3.964,3.8,103.973,2.76,0,1.104,0,0,2.42,51.371,1,3.141,1,2.587,256.997,1.108,1.108,7,259.658,2,3.9,45,3.497,3.497,32
6.77,1,9.232,1,1,1.148,6.203,0,0,5.137,0,2.815,3,0,2.774,1.739,0,1.639,1,4,2,5.262,2,2,0.597,0.456,1.417,0.896,0.896,3.679,5.158,3.888,0,127.304,1,1,1,2,0,0,45.152,1.795,3.95,3.797,114.973,2.524,0,0.789,0,0,1.612,45.22,1,3.022,1,1.868,338.624,0.791,0.791,7,224.948,2,3.883,42,3.401,3.401,29
6.553,1,9.116,1,1,1.475,6.454,0,0,5.215,0,2.865,3,0,2.733,1.862,0,1.637,1,4,2,5.215,2,2,0.783,0.721,1.73,1.742,1.742,3.677,5.246,4.019,0,119.233,0,1,1,2,0,0,48.281,2.104,3.914,3.691,103.973,2.557,0,1.103,0,0,1.874,47.827,1,2.875,1,2.105,256.997,1.108,1.108,7,246.538,2,3.814,43,3.466,3.466,31
7.347,1,9.075,1,1,1.439,6.419,0,0,4.972,0,2.861,3,0,2.734,1.681,0,1.635,1,4,2,4.972,2,2,0.454,0.347,1.325,0.938,0.938,3.674,5.154,3.925,0,112.938,0,1,1,2,0,0,44.705,1.829,3.859,3.552,92.973,2.555,0,0.824,0,0,1.603,44.897,1,2.882,1,1.878,234.226,0.846,0.846,6,217.739,2,3.682,42,3.367,3.367,28
6.215,1,9.135,1,1,1.436,6.44,0,0,4.762,0,2.892,3,0,2.729,1.876,0,1.64,1,4,2,4.762,2,2,0.8,0.723,1.733,1.743,1.743,3.694,5.21,3.948,0,123.366,0,1,1,2,0,0,47.947,2.0,4.0,3.674,92.973,2.592,0,1.0,0,0,1.73,48.046,1,2.913,1,2.109,304.853,1.0,1.0,6,237.771,2,3.833,45,3.434,3.434,30
8.155,1,9.065,1,1,1.86,6.852,0,0,5.033,0,3.052,3,0,2.787,1.877,0,1.633,1,4,2,5.033,2,2,0.8,0.723,1.733,1.743,1.743,3.675,5.395,4.341,0,118.167,0,1,1,2,0,0,55.367,2.166,3.99,3.799,103.973,2.907,0,1.16,0,0,2.543,54.405,1,3.047,1,2.109,221.684,1.177,1.177,4,295.647,2,3.917,54,3.555,3.555,34
5.538,1,9.168,1,1,1.03,6.066,0,0,4.972,0,2.78,3,0,2.715,1.529,0,1.638,1,4,2,4.972,2,2,0.239,0.157,1.124,0.448,0.448,3.714,4.995,3.976,0,147.561,0,1,1,2,0,0,42.335,1.796,3.891,3.593,92.973,2.549,0,0.788,0,0,1.549,42.729,1,3.138,1,1.862,285.146,0.793,0.793,7,201.256,2,3.687,38,3.332,3.332,27
6.409,1,9.17,1,1,1.476,6.486,0,0,5.246,0,2.943,5,0,2.775,2.105,1,1.644,1,4,2,5.246,4,2,0.948,0.782,1.789,1.979,1.979,3.699,5.336,4.131,0,112.868,1,1,1,2,2,0,51.767,2.105,3.976,3.835,154.72,2.673,0,1.104,0,0,2.38,51.54,1,3.142,1,2.587,307.744,1.108,1.108,7,274.21,2,3.928,47,3.526,3.526,33
6.538,1,9.164,1,1,1.475,6.366,0,0,5.215,0,2.865,3,0,2.754,1.862,0,1.638,1,4,2,5.215,2,2,0.783,0.721,1.73,1.742,1.742,3.689,5.211,4.122,0,113.612,0,1,1,2,0,0,48.281,2.104,3.94,3.74,103.973,2.557,0,1.103,0,0,1.887,47.846,1,3.142,1,2.105,296.146,1.108,1.108,7,246.538,2,3.852,43,3.466,3.466,31
6.824,1,9.19,1,1,1.475,6.354,0,0,5.225,0,2.865,3,0,2.773,1.862,0,1.643,1,4,2,5.225,2,2,0.783,0.721,1.73,1.742,1.742,3.701,5.224,3.987,0,122.122,0,1,1,2,0,0,48.281,2.104,3.965,3.803,103.973,2.553,0,1.103,0,0,1.663,47.682,1,2.978,1,2.105,292.311,1.108,1.108,7,246.538,2,3.902,43,3.466,3.466,31
6.648,1,9.213,1,1,1.17,6.165,0,0,5.215,0,2.832,3,0,2.758,1.744,0,1.638,1,4,2,5.215,2,2,0.599,0.458,1.419,0.903,0.903,3.685,5.088,3.913,0,114.678,1,1,1,2,0,0,44.047,1.796,3.926,3.713,103.973,2.273,0,0.79,0,0,1.603,43.904,1,3.069,1,1.869,331.459,0.792,0.792,7,215.297,2,3.82,41,3.367,3.367,28
6.076,1,9.139,1,1,1.476,6.577,0,0,5.225,0,2.943,3,0,2.774,2.105,0,1.642,1,4,2,5.225,2,2,0.949,0.784,1.791,1.988,1.988,3.7,5.34,4.221,0,121.057,0,1,1,2,0,0,53.302,2.121,4.008,3.9,103.973,2.692,0,1.107,0,0,2.387,51.893,1,3.142,1,2.582,256.997,1.158,1.158,7,290.188,2,3.981,49,3.555,3.555,34
7.481,1,9.097,1,1,1.476,6.59,0,0,5.033,0,2.954,3,0,2.753,1.876,0,1.636,1,4,2,5.033,2,2,0.8,0.723,1.733,1.743,1.743,3.676,5.298,4.132,0,118.877,0,1,1,2,0,0,50.399,2.11,3.937,3.733,103.973,2.592,0,1.108,0,0,2.451,50.138,1,2.913,1,2.109,245.226,1.115,1.115,6,262.194,2,3.847,46,3.497,3.497,32
7.097,1,9.216,1,1,1.245,6.196,0,0,4.791,0,2.888,3,0,2.726,1.858,0,1.653,1,4,2,4.791,2,2,0.778,0.72,1.73,1.742,1.742,3.758,5.14,3.906,0,128.213,0,1,1,2,0,0,47.303,2.0,4.119,3.721,92.973,2.458,0,1.0,0,0,1.732,48.144,1,3.101,2,2.104,391.086,1.0,1.0,7,235.534,2,3.917,44,3.434,3.434,30
6.509,1,9.189,1,1,1.173,6.173,0,0,5.215,0,2.796,3,0,2.754,1.689,0,1.638,1,4,2,5.215,2,2,0.565,0.43,1.379,0.793,0.793,3.689,5.088,3.98,0,114.678,0,1,1,2,0,0,43.898,1.794,3.924,3.712,103.973,2.274,0,0.787,0,0,1.652,44.069,1,3.062,1,1.863,331.459,0.79,0.79,7,214.228,2,3.834,41,3.367,3.367,28
4.921,0,9.785,1,1,0.489,5.043,0,1,4.736,1,2.2,0,1,2.232,0.752,4,1.302,0,0,1,4.736,0,0,-0.657,-0.521,0.403,-1.321,-1.321,3.361,4.79,3.453,1,68.529,1,0,0,0,1,3,34.13,0.708,3.541,3.015,42.683,2.088,1,-0.098,3,3,1.409,36.107,0,2.67,0,1.024,199.543,-0.137,-0.137,4,148.699,0,3.144,29,3.135,3.135,22
4.301,1,12.089,1,0,3.574,7.911,0,0,5.791,0,3.918,12,0,3.574,3.499,7,1.782,0,0,0,6.194,11,11,2.564,2.322,3.34,7.001,7.001,3.712,6.314,5.6,0,296.82,11,0,0,0,0,0,141.064,3.494,5.304,5.704,319.278,3.793,11,2.485,0,0,3.673,138.631,0,3.642,0,3.612,1567.01,2.496,2.496,0,1137.18,0,5.589,150,4.454,4.454,85
4.409,0,9.778,1,1,0.563,5.024,0,1,4.478,1,2.201,0,1,2.236,0.752,4,1.303,0,0,1,4.478,0,0,-0.657,-0.521,0.403,-1.322,-1.322,3.368,4.789,3.445,1,68.529,1,0,0,0,1,3,33.957,0.715,3.523,3.023,42.683,2.163,1,-0.097,3,3,1.0,36.051,0,2.687,0,1.034,199.543,-0.135,-0.135,4,147.316,0,3.135,28,3.135,3.135,22
4.0,0,0.0,0,0,0.084,5.152,1,1,4.514,1,2.207,0,1,2.331,0.721,4,1.352,0,0,1,4.514,0,0,-0.77,-0.603,0.356,-1.434,-1.434,3.26,4.748,3.209,1,88.498,1,0,0,0,1,3,32.007,0.924,3.515,3.22,0.0,1.149,1,-0.03,3,3,0.897,31.011,0,2.541,0,0.925,164.795,-0.032,-0.032,4,139.837,0,3.326,27,3.091,3.091,21
4.0,0,0.0,0,0,0.899,5.775,1,1,4.554,1,2.707,0,1,2.38,0.989,4,1.497,0,0,1,4.554,0,0,-0.503,-0.358,0.551,-1.029,-1.029,3.413,5.072,3.71,1,89.257,1,0,0,0,1,3,43.035,1.741,3.685,3.518,0.0,2.157,1,0.749,3,3,1.579,41.663,0,2.687,0,1.358,129.482,0.794,0.794,4,209.261,0,3.524,39,3.332,3.332,27
4.0,0,0.0,0,0,0.304,5.242,1,1,4.628,1,2.241,0,1,2.361,0.785,4,1.479,0,0,1,4.628,0,0,-0.589,-0.466,0.475,-1.112,-1.112,3.39,4.792,3.305,1,91.033,1,0,0,0,1,3,33.402,1.094,3.582,3.338,0.0,1.167,1,0.123,3,3,1.0,32.398,0,2.687,0,1.033,188.338,0.128,0.128,4,148.425,0,3.443,28,3.135,3.135,22
4.0,0,0.0,0,0,0.528,5.303,1,1,4.734,1,2.478,0,1,2.494,0.932,4,1.563,0,0,1,4.734,0,0,-0.528,-0.383,0.534,-0.983,-0.983,3.479,4.835,3.38,1,93.567,1,0,0,0,1,3,34.642,1.381,3.645,3.453,0.0,1.424,1,0.387,3,3,1.0,33.566,0,2.687,0,1.217,211.88,0.391,0.391,4,156.811,0,3.525,29,3.178,3.178,23
4.0,0,0.0,0,0,0.761,5.362,1,1,4.833,1,2.5,0,1,2.627,1.031,4,1.619,0,0,1,4.833,0,0,-0.307,-0.252,0.705,-0.552,-0.552,3.54,4.876,3.425,1,96.102,1,0,0,0,1,3,35.902,1.685,3.704,3.534,0.0,1.602,1,0.694,3,3,1.0,34.921,0,2.687,0,1.371,235.422,0.72,0.72,4,165.086,0,3.591,30,3.219,3.219,24
4.0,0,0.0,0,0,0.194,5.373,1,1,4.171,1,2.5,0,1,2.57,0.741,4,1.529,0,0,1,4.171,0,0,-0.751,-0.584,0.375,-1.531,-1.531,3.46,4.855,3.332,1,103.614,1,0,0,0,1,3,35.51,0.994,3.749,3.352,0.0,1.607,1,0.038,3,3,1.0,35.106,0,2.547,0,0.97,211.88,0.039,0.039,4,162.062,0,3.528,31,3.178,3.178,23
4.0,0,0.0,0,0,0.312,5.184,1,1,4.479,1,2.5,0,1,2.33,0.786,4,1.195,0,0,1,4.479,0,0,-0.586,-0.462,0.478,-1.17,-1.17,3.579,4.759,3.258,1,82.208,1,0,0,0,1,3,35.263,1.095,3.57,3.258,0.0,1.693,1,0.124,3,3,1.0,34.721,0,2.576,0,1.033,164.795,0.129,0.129,4,155.97,0,3.388,29,3.178,3.178,23
4.0,0,0.0,0,0,0.083,5.125,1,1,4.539,1,2.321,1,1,2.323,0.751,4,1.323,0,2,1,4.539,0,0,-0.83,-0.603,0.356,-1.434,-1.434,3.257,4.772,3.198,1,102.382,1,0,0,0,1,3,32.007,0.924,3.483,3.196,0.0,1.148,1,-0.03,3,3,0.87,30.915,0,2.505,0,0.984,141.253,-0.032,-0.032,4,139.837,0,3.287,27,3.091,3.091,21
4.0,0,0.0,0,0,0.084,5.096,1,1,4.482,1,2.5,0,1,2.315,0.76,4,1.244,0,0,1,4.482,0,0,-0.858,-0.603,0.356,-1.434,-1.434,3.236,4.779,3.186,1,117.49,1,0,0,0,1,3,32.007,0.924,3.454,3.171,0.0,1.15,1,-0.03,3,3,0.928,31.187,0,2.481,0,1.004,117.711,-0.032,-0.032,4,139.837,0,3.246,27,3.091,3.091,21
4.301,0,0.0,0,0,0.9,5.669,1,1,4.453,1,2.5,0,1,2.332,0.815,4,1.186,0,0,1,4.453,0,0,-0.579,-0.433,0.472,-1.16,-1.16,3.236,4.914,3.59,1,81.628,1,0,0,0,1,3,36.486,1.127,3.52,3.282,0.0,2.014,1,0.202,3,3,1.148,37.647,0,2.687,0,1.093,105.94,0.232,0.232,4,169.875,0,3.403,30,3.219,3.219,24
4.0,0,0.0,0,0,0.535,5.651,1,1,4.306,1,2.5,0,1,2.314,0.743,4,1.4,0,0,1,4.306,0,0,-0.747,-0.568,0.364,-1.537,-1.537,3.52,4.839,3.527,1,75.504,1,0,0,0,1,3,41.902,0.992,3.592,3.233,0.0,1.935,1,0.046,3,3,1.0,40.222,0,2.527,0,0.976,105.94,0.049,0.049,4,189.952,0,3.353,35,3.258,3.258,25
4.301,0,0.0,0,0,0.15,5.142,1,1,4.638,1,2.202,0,1,2.048,0.717,4,1.173,0,0,1,4.638,0,0,-0.84,-0.563,0.276,-1.741,-1.741,3.233,4.769,3.291,1,77.098,1,0,0,0,1,3,32.661,0.692,3.43,3.155,0.0,1.951,1,-0.153,3,3,0.898,32.454,0,2.462,0,0.861,133.317,-0.181,-0.181,3,142.173,0,3.184,28,3.091,3.091,21
4.0,0,0.0,0,0,0.844,6.841,1,1,4.491,1,2.598,0,1,2.345,0.995,4,1.197,0,0,1,4.668,0,0,-0.505,-0.356,0.548,-1.017,-1.017,3.234,5.086,4.138,1,86.367,1,0,0,0,1,3,42.981,1.707,3.677,3.346,0.0,2.239,1,0.719,3,3,1.296,40.786,0,2.575,0,1.363,94.169,0.768,0.768,3,213.41,0,3.563,40,3.332,3.332,27
4.523,0,0.0,0,0,0.827,5.621,1,1,4.389,1,2.598,0,1,2.294,1.0,4,1.189,0,0,1,4.389,0,0,-0.445,-0.303,0.557,-0.898,-0.898,3.234,5.031,3.462,1,84.188,1,0,0,0,1,3,40.046,1.055,3.576,3.238,0.0,2.339,1,0.121,3,3,1.146,38.796,0,2.582,0,1.094,82.398,0.135,0.135,2,188.753,0,3.319,37,3.258,3.258,25
4.0,0,0.0,0,0,0.755,5.279,1,1,4.649,1,2.478,0,1,2.487,0.947,4,1.48,0,0,1,4.807,0,0,-0.528,-0.382,0.534,-1.029,-1.029,3.411,4.799,3.355,1,80.986,1,0,0,0,1,3,36.565,1.649,3.735,3.378,0.0,1.895,1,0.656,3,3,1.146,36.139,0,2.589,0,1.298,188.338,0.668,0.668,3,169.573,0,3.487,32,3.219,3.219,24
4.0,0,0.0,0,0,0.752,5.134,1,1,4.736,1,2.243,0,1,2.313,0.887,5,1.174,0,0,1,4.736,0,0,-0.564,-0.416,0.5,-1.095,-1.095,3.233,4.81,3.27,1,81.614,1,0,0,0,1,3,35.066,1.398,3.482,3.215,22.0,1.987,1,0.429,3,3,1.147,35.434,0,2.461,0,1.225,139.711,0.464,0.464,3,159.565,0,3.27,29,3.178,3.178,23
4.301,0,0.0,0,0,0.762,5.361,1,1,4.765,1,2.596,0,1,2.31,0.893,4,1.494,0,0,1,4.879,0,0,-0.504,-0.366,0.514,-1.042,-1.042,3.336,4.84,3.398,1,82.281,1,0,0,0,1,3,37.231,1.456,3.666,3.379,0.0,1.854,1,0.461,3,3,1.145,36.985,0,2.501,0,1.206,153.024,0.472,0.472,3,170.888,0,3.44,31,3.219,3.219,24
4.301,0,0.0,0,0,0.759,5.234,1,1,4.765,1,2.596,0,1,2.323,0.893,4,1.494,0,0,1,4.879,0,0,-0.504,-0.248,0.499,-1.042,-1.042,3.389,4.768,3.711,1,122.169,1,0,0,0,1,3,37.231,1.439,3.707,3.413,0.0,1.854,1,0.43,3,3,1.145,36.964,0,2.763,0,1.206,153.024,0.472,0.472,3,170.888,0,3.491,31,3.219,3.219,24
4.0,0,0.0,0,0,0.51,5.498,1,1,4.514,1,2.5,0,1,2.291,0.901,4,1.342,0,0,1,4.514,0,0,-0.651,-0.463,0.456,-1.279,-1.279,3.345,4.928,3.469,1,87.433,1,0,0,0,1,2,37.007,1.358,3.576,3.338,0.0,1.821,1,0.374,3,3,1.0,35.895,0,2.687,0,1.352,129.482,0.384,0.384,4,172.527,0,3.399,33,3.219,3.219,24
4.0,0,0.0,0,0,0.826,5.938,1,1,4.389,1,2.533,0,1,2.285,0.917,4,1.177,0,0,1,4.389,0,0,-0.646,-0.453,0.459,-1.304,-1.304,3.229,5.048,3.787,1,83.832,1,0,0,0,1,0,40.723,1.662,3.563,3.318,0.0,1.947,1,0.677,3,3,1.103,39.034,0,2.687,0,1.353,70.627,0.729,0.729,4,197.731,0,3.37,37,3.296,3.296,26
4.0,0,0.0,0,0,0.51,5.399,1,1,4.352,1,2.5,0,1,2.206,0.741,4,1.164,0,0,1,4.352,0,0,-0.751,-0.508,0.223,-1.531,-1.531,3.165,4.871,3.522,1,76.388,1,0,0,0,1,0,35.51,0.979,3.468,3.089,0.0,1.821,1,0.037,3,3,1.0,34.838,0,2.575,0,0.97,109.775,0.039,0.039,4,162.062,0,3.216,31,3.178,3.178,23
4.0,0,0.0,0,0,0.78,5.584,1,1,4.565,1,2.468,0,1,2.57,0.962,4,1.46,0,0,1,4.565,0,0,-0.516,-0.385,0.531,-0.897,-0.897,3.376,4.891,3.567,1,99.858,1,0,0,0,1,3,38.01,1.626,3.787,3.627,0.0,1.428,1,0.641,3,3,1.13,36.073,0,2.687,0,1.262,235.422,0.677,0.677,4,174.822,0,3.741,35,3.219,3.219,24
4.0,0,0.0,0,0,0.881,5.902,1,1,4.609,1,2.5,0,1,2.547,1.082,4,1.316,0,0,1,4.609,0,0,-0.207,-0.163,0.743,-0.386,-0.386,3.363,5.027,3.778,1,94.083,1,0,0,0,1,3,40.573,1.652,3.67,3.606,11.0,2.066,1,0.667,3,3,1.134,39.065,0,2.687,0,1.422,164.024,0.713,0.713,4,195.22,0,3.711,36,3.296,3.296,26
4.0,0,0.0,0,0,0.647,5.476,1,1,4.665,1,2.414,0,1,2.48,0.986,4,1.458,0,0,1,4.665,0,0,-0.496,-0.351,0.555,-0.943,-0.943,3.438,4.843,3.606,1,93.567,1,0,0,0,1,3,35.785,1.376,3.688,3.675,0.0,1.519,1,0.397,3,3,1.0,34.296,0,2.687,0,1.165,211.88,0.414,0.414,4,164.603,0,3.686,32,3.178,3.178,23
4.0,0,0.0,0,0,0.797,5.336,1,1,4.822,1,2.342,0,1,2.362,1.103,4,1.491,0,0,1,4.822,0,0,-0.278,-0.201,0.703,-0.584,-0.584,3.464,4.839,3.494,1,78.096,1,0,0,0,1,2,37.591,1.553,3.654,3.455,0.0,1.864,1,0.571,3,3,1.223,37.368,0,2.772,0,1.412,153.024,0.601,0.601,3,174.481,0,3.501,33,3.219,3.219,24
6.824,1,9.417,1,1,1.0,6.016,0,0,4.515,0,2.5,4,0,2.461,1.0,3,1.642,0,3,1,4.515,3,3,-0.716,-0.485,0.513,-1.296,-1.296,3.635,5.082,3.746,0,87.882,0,0,0,0,0,0,38.686,1.135,3.58,3.334,120.687,2.665,0,0.175,0,0,1.505,40.116,0,2.692,0,1.051,226.627,0.187,0.187,4,174.504,0,3.487,37,3.219,3.219,24
7.032,1,9.524,1,1,1.468,6.228,0,0,4.912,0,3.122,5,0,2.597,1.455,4,1.649,0,4,1,4.912,4,4,0.134,0.102,1.062,0.172,0.172,3.641,5.253,4.156,0,99.665,0,0,0,0,0,0,45.963,1.281,3.771,3.737,156.831,2.823,0,0.327,0,0,2.292,47.217,0,3.013,0,1.585,286.314,0.361,0.361,3,225.404,0,3.801,46,3.367,3.367,28
7.137,1,9.662,1,1,1.397,6.018,0,0,5.016,0,2.651,3,0,2.715,1.48,1,1.677,0,4,2,5.016,2,2,0.26,0.2,1.144,0.315,0.315,3.633,5.157,3.889,0,142.05,0,0,0,0,0,0,42.171,2.0,3.868,3.772,103.973,2.448,0,1.0,0,0,1.505,43.671,0,2.791,0,1.83,292.311,1.0,1.0,8,206.609,0,3.862,41,3.332,3.332,27
6.959,1,9.654,1,1,1.461,6.043,0,0,5.016,0,2.844,3,0,2.715,1.49,1,1.675,0,4,2,5.016,2,2,0.286,0.222,1.169,0.35,0.35,3.633,5.213,3.919,0,141.694,0,0,0,0,0,0,44.337,2.0,3.888,3.789,103.973,2.762,0,1.0,0,0,1.736,45.604,0,2.855,0,1.831,280.54,1.0,1.0,7,218.208,0,3.87,43,3.367,3.367,28
7.284,1,9.678,1,1,1.462,6.063,0,0,5.198,0,2.861,3,0,2.759,1.49,1,1.677,0,4,2,5.198,2,2,0.284,0.217,1.163,0.349,0.349,3.635,5.177,4.059,0,136.074,0,0,0,0,0,0,44.513,2.041,3.923,3.826,103.973,2.629,0,1.035,0,0,1.641,45.673,0,3.031,0,1.831,319.688,1.047,1.047,7,220.225,0,3.921,44,3.367,3.367,28
7.509,1,9.675,1,1,1.461,6.047,0,0,5.198,0,2.85,3,0,2.758,1.48,1,1.677,0,4,2,5.198,2,2,0.26,0.201,1.144,0.317,0.317,3.636,5.177,4.004,0,136.074,0,0,0,0,0,0,44.324,2.04,3.91,3.832,103.973,2.733,0,1.035,0,0,1.72,45.743,0,3.014,0,1.83,319.688,1.046,1.046,7,219.015,0,3.9,43,3.367,3.367,28
7.347,1,9.674,1,1,1.461,6.027,0,0,5.016,0,2.844,3,0,2.715,1.49,1,1.677,0,4,2,5.016,2,2,0.286,0.219,1.164,0.35,0.35,3.636,5.177,3.946,0,136.074,0,0,0,0,0,0,44.337,2.0,3.91,3.809,103.973,2.77,0,1.0,0,0,1.738,45.623,0,2.991,0,1.831,319.688,1.0,1.0,7,218.208,0,3.879,43,3.367,3.367,28
7.569,1,9.677,1,1,1.505,6.331,0,0,5.246,0,3.187,3,0,2.759,1.83,1,1.677,0,4,2,5.246,2,2,0.373,0.281,1.252,0.382,0.382,3.634,5.349,4.156,0,147.634,0,0,0,0,0,0,50.474,2.089,3.969,3.943,114.973,2.811,0,1.077,0,0,2.353,50.985,0,3.03,0,2.559,291.54,1.111,1.111,7,265.707,0,4.02,48,3.497,3.497,32
6.703,1,9.652,1,1,1.461,6.089,0,0,5.198,0,2.85,3,0,2.735,1.48,1,1.676,0,4,2,5.198,2,2,0.26,0.201,1.144,0.317,0.317,3.633,5.213,3.951,0,141.694,0,0,0,0,0,0,44.324,2.04,3.888,3.8,103.973,2.724,0,1.035,0,0,1.717,45.727,0,2.847,0,1.83,280.54,1.046,1.046,7,219.015,0,3.88,43,3.367,3.367,28
7.509,1,9.643,1,1,1.504,6.153,0,0,5.198,0,3.056,3,0,2.735,1.535,1,1.675,0,4,2,5.198,2,2,0.325,0.255,1.213,0.361,0.361,3.633,5.266,4.009,0,141.339,0,0,0,0,0,0,46.484,2.065,3.913,3.814,103.973,2.77,0,1.056,0,0,2.218,47.681,0,2.898,0,1.832,268.769,1.079,1.079,6,232.404,0,3.897,46,3.401,3.401,29
7.398,1,9.655,1,1,1.397,6.022,0,0,5.159,0,2.651,3,0,2.693,1.48,1,1.654,0,4,1,5.159,2,2,0.26,0.2,1.143,0.315,0.315,3.609,5.168,3.896,0,131.716,0,0,0,0,0,0,42.171,1.956,3.842,3.735,103.973,2.448,0,0.953,1,1,1.505,43.671,0,2.785,0,1.83,280.54,1.0,1.0,3,206.609,0,3.832,41,3.332,3.332,27
7.31,1,9.684,1,1,1.469,6.148,0,0,5.209,0,3.056,3,0,2.759,1.535,1,1.679,0,4,2,5.209,2,2,0.325,0.257,1.222,0.361,0.361,3.637,5.245,3.997,0,144.229,0,0,0,0,0,0,46.484,2.065,3.966,3.895,103.973,2.767,0,1.056,0,0,2.07,47.553,0,2.984,0,1.832,304.082,1.079,1.079,6,232.404,0,3.982,46,3.401,3.401,29
