pXC50,Eig10_AEA.ri.,Eig10_EA.ri.,Eig10_EA.ed.,SM05_AEA.ri.,Eig08_AEA.bo.,Eig08_EA.bo.,Eig04_EA.bo.,SM14_AEA.ri.,Wap,Eig12_EA.ri.,Eig08_EA.ri.,Eig12_AEA.ri.,Eig08_EA,SM02_AEA.dm.,Eig08_AEA.ri.,GGI9,Eig08_AEA.ed.,Eig10_AEA.bo.,Eig08_EA.ed.,SM03_AEA.ri.,Eig09_EA.bo.,Eig10_EA,SM04_AEA.dm.,Eig07_EA.bo.,Eig10_AEA.ed.,Eig08_AEA.dm.,Eig12_EA.ed.,SM07_AEA.ri.,SpMin3_Bh.e.,Eig12_EA.bo.,Eig13_AEA.ed.,SpMaxA_AEA.bo.,Eig10_EA.bo.,Eig12_AEA.bo.,SpMax3_Bh.p.,Xindex,IC5,D.Dtr06,Eig07_AEA.bo.,nAB,Eta_beta,Eig06_EA.ed.,SM15_AEA.dm.,Eig04_AEA.bo.,SpMin3_Bh.i.,Eig11_AEA.ri.,Ui,Eig04_EA.ri.,Eig11_EA.ri.,Eig09_AEA.ri.,Eig09_AEA.bo.,nCsp2,Eig05_AEA.bo.,PCD,MDDD,X2sol,Eta_betaP,HVcpx,Eig05_AEA.ri.,Eig06_EA,SM14_AEA.bo.,SpMax3_Bh.v.,Eig09_EA.ed.,SM04_AEA.ri.,TPC
5.523,2.062,1.038,2.667,2.667,2.781,1.828,3.006,3.006,17408.0,0.937,1.365,1.952,1.473,1.473,2.399,0.114,4.504,2.249,4.022,4.022,1.52,1.153,1.153,2.055,3.585,1.883,1.934,1.934,1.684,1.0,3.176,0.145,1.234,2.046,3.536,0.419,4.759,188.632,2.995,10,32.0,5.724,5.724,3.767,1.625,1.953,3.0,2.397,0.946,2.296,2.524,9,3.718,2.236,29.289,13.982,11.5,3.097,3.369,1.951,1.951,3.544,3.4,3.4,7.643
5.523,2.078,1.057,2.669,2.669,2.789,1.84,3.004,3.004,21089.0,0.945,1.428,1.952,1.482,1.482,2.441,0.171,4.474,2.25,4.057,4.057,1.591,1.157,1.157,2.055,3.587,1.885,1.988,1.988,1.722,1.0,3.211,0.14,1.235,2.046,3.564,0.349,5.003,186.491,2.995,10,32.5,5.518,5.518,3.738,1.683,1.962,3.0,2.376,0.946,2.352,2.591,9,3.656,2.238,29.891,13.365,11.5,3.123,3.342,1.958,1.958,3.58,3.508,3.508,7.796
6.796,2.33,1.319,2.797,2.797,2.924,2.046,3.108,3.108,28409.0,1.0,1.595,2.0,1.611,1.611,2.603,0.249,4.46,2.546,4.075,4.075,1.791,1.35,1.35,2.062,3.66,1.886,2.286,2.286,1.744,1.319,3.247,0.129,1.549,2.344,3.573,0.346,5.142,302.693,2.998,16,40.0,5.47,5.47,3.762,1.714,2.044,3.459,2.372,1.026,2.375,2.751,15,3.717,3.013,34.167,14.425,17.5,3.153,3.332,1.971,1.971,3.589,3.579,3.579,8.024
6.658,2.374,1.32,3.075,3.075,2.931,2.047,3.108,3.108,30248.0,1.0,1.634,2.0,1.681,1.681,2.677,0.285,4.461,2.646,4.087,4.087,1.792,1.441,1.441,2.064,3.72,1.886,2.457,2.457,1.752,1.377,3.3,0.125,1.654,2.403,3.581,0.342,5.216,314.192,2.998,16,40.5,5.472,5.472,3.762,1.717,2.051,3.459,2.372,1.039,2.428,2.751,15,3.717,3.006,36.556,14.779,17.5,3.188,3.332,1.976,1.976,3.591,3.594,3.594,8.073
5.523,2.096,1.08,2.671,2.671,2.794,1.845,3.004,3.004,23785.0,0.946,1.47,1.952,1.502,1.502,2.481,0.195,4.464,2.25,4.055,4.055,1.619,1.161,1.161,2.055,3.592,1.885,2.136,2.136,1.671,1.0,3.247,0.136,1.236,2.06,3.566,0.35,4.995,190.913,2.995,10,33.0,5.48,5.48,3.737,1.614,1.98,3.0,2.372,0.963,2.365,2.617,9,3.646,2.238,30.718,13.718,11.5,3.121,3.336,1.961,1.961,3.582,3.533,3.533,7.888
5.523,2.16,1.154,2.692,2.692,2.799,1.85,3.004,3.004,26721.0,1.0,1.53,2.0,1.557,1.557,2.542,0.229,4.459,2.26,4.053,4.053,1.651,1.182,1.182,2.055,3.611,1.886,2.136,2.136,1.733,1.087,3.247,0.132,1.247,2.126,3.568,0.348,5.076,291.669,2.995,10,33.5,5.462,5.462,3.737,1.704,2.038,3.0,2.37,1.016,2.374,2.649,9,3.642,2.237,32.367,14.072,11.5,3.136,3.331,1.963,1.963,3.584,3.562,3.562,7.973
6.208,2.346,1.32,3.393,3.393,2.996,2.054,3.181,3.181,29649.0,1.0,1.635,2.0,1.778,1.778,2.707,0.191,4.545,2.742,4.619,4.619,1.851,1.376,1.376,2.431,4.187,1.904,2.385,2.385,1.674,1.325,3.322,0.129,1.764,2.357,3.652,0.308,4.969,289.425,3.216,16,40.0,6.698,6.698,3.855,1.67,2.042,3.459,2.534,1.022,2.376,2.761,15,3.723,3.008,31.536,14.534,17.5,3.125,3.347,2.247,2.247,3.65,3.83,3.83,8.071
5.602,2.369,1.32,3.412,3.412,2.996,2.054,3.169,3.169,33028.0,1.0,1.635,2.0,1.78,1.78,2.708,0.239,4.544,2.746,4.619,4.619,1.858,1.402,1.402,2.396,4.183,1.906,2.437,2.437,1.762,1.342,3.359,0.126,1.768,2.374,3.663,0.307,5.052,298.553,3.205,16,40.5,6.563,6.563,3.838,1.722,2.044,3.459,2.526,1.026,2.384,2.769,15,3.723,2.996,32.584,14.888,17.5,3.124,3.346,2.234,2.234,3.658,3.834,3.834,8.161
6.42,2.284,1.253,3.479,3.479,2.98,2.046,3.404,3.404,36782.0,1.0,1.627,2.0,1.786,1.786,2.701,0.258,4.536,2.669,4.608,4.608,2.003,1.352,1.352,2.474,4.226,2.119,2.578,2.578,1.73,1.455,3.398,0.126,1.719,2.467,3.581,0.305,5.246,295.887,3.233,21,43.5,6.332,6.332,3.982,1.704,2.123,3.644,2.484,1.117,2.533,2.886,16,3.751,3.453,32.749,14.984,20.0,3.143,3.415,2.116,2.116,3.606,3.927,3.927,8.235
6.959,2.316,1.283,3.535,3.535,2.983,2.047,3.408,3.408,40484.0,1.0,1.631,2.009,1.788,1.788,2.704,0.303,4.556,2.701,4.617,4.617,2.018,1.382,1.382,2.502,4.241,2.135,2.591,2.591,1.731,1.46,3.418,0.122,1.756,2.471,3.589,0.302,5.316,307.534,3.259,21,44.0,6.721,6.721,3.983,1.705,2.138,3.644,2.514,1.136,2.536,2.893,16,3.752,3.485,35.179,15.153,20.0,3.204,3.416,2.158,2.158,3.617,4.014,4.014,8.309
6.0,2.309,1.287,2.797,2.797,2.924,2.046,3.108,3.108,28409.0,1.0,1.575,2.0,1.611,1.611,2.592,0.249,4.46,2.546,4.075,4.075,1.791,1.35,1.35,2.062,3.66,1.887,2.286,2.286,1.729,1.319,3.247,0.129,1.549,2.344,3.57,0.346,5.143,302.693,2.998,16,40.25,5.47,5.47,3.762,1.709,2.043,3.459,2.372,1.024,2.375,2.751,15,3.717,3.013,34.167,14.425,17.5,3.153,3.332,1.971,1.971,3.588,3.579,3.579,8.024
6.62,2.095,1.075,2.692,2.692,2.915,2.041,3.108,3.108,26721.0,1.0,1.487,2.0,1.557,1.557,2.516,0.229,4.459,2.5,4.053,4.053,1.79,1.182,1.182,2.059,3.611,1.898,2.136,2.136,1.684,1.234,3.247,0.132,1.5,2.249,3.566,0.348,5.021,291.669,2.998,16,40.0,5.462,5.462,3.761,1.68,2.032,3.459,2.362,1.006,2.374,2.751,15,3.717,3.02,32.367,14.072,17.5,3.136,3.331,1.963,1.963,3.585,3.562,3.562,7.973
7.187,2.354,1.323,3.556,3.556,2.985,2.047,3.408,3.408,44479.0,1.034,1.633,2.051,1.788,1.788,2.705,0.323,4.56,2.716,4.62,4.62,2.024,1.412,1.412,2.508,4.243,2.136,2.603,2.603,1.733,1.464,3.434,0.119,1.773,2.474,3.604,0.297,5.383,319.57,3.265,21,44.5,6.803,6.803,3.983,1.706,2.164,3.644,2.522,1.162,2.538,2.896,16,3.752,3.512,38.058,15.534,20.0,3.268,3.417,2.172,2.172,3.629,4.048,4.048,8.379
7.268,2.429,1.394,3.628,3.628,2.999,2.084,3.416,3.416,44188.0,1.039,1.638,2.058,1.789,1.789,2.709,0.388,4.611,2.784,4.632,4.632,2.044,1.485,1.485,2.574,4.257,2.139,2.67,2.67,1.735,1.479,3.512,0.119,1.85,2.485,3.622,0.299,5.258,319.181,3.322,21,44.5,7.456,7.456,3.984,1.707,2.182,3.644,2.568,1.177,2.548,2.921,16,3.752,3.512,37.153,15.883,20.0,3.231,3.42,2.289,2.289,3.645,4.211,4.211,8.379
6.569,2.372,1.32,3.075,3.075,2.931,2.047,3.108,3.108,30248.0,1.0,1.602,2.0,1.681,1.681,2.635,0.285,4.461,2.646,4.087,4.087,1.792,1.441,1.441,2.064,3.72,2.084,2.457,2.457,1.73,1.377,3.3,0.125,1.654,2.403,3.57,0.342,5.177,314.191,2.998,16,41.0,5.472,5.472,3.762,1.71,2.047,3.459,2.372,1.03,2.391,2.751,15,3.717,3.006,36.556,14.779,17.5,3.188,3.332,1.976,1.976,3.588,3.594,3.594,8.073
6.0,2.374,1.32,3.566,3.566,2.997,2.056,3.108,3.108,32089.0,1.016,1.635,2.038,1.789,1.789,2.708,0.421,4.556,2.751,4.62,4.62,2.025,1.462,1.462,2.232,4.237,2.135,2.67,2.67,1.742,1.448,3.446,0.122,1.789,2.462,3.572,0.339,5.135,325.69,3.218,16,41.75,5.491,5.491,3.762,1.713,2.14,3.459,2.374,1.133,2.523,2.903,15,3.717,2.999,38.65,15.608,17.5,3.202,3.333,2.221,2.221,3.589,4.054,4.054,8.119
7.149,2.451,1.431,3.568,3.568,2.985,2.048,3.408,3.408,48768.0,1.111,1.635,2.118,1.788,1.788,2.706,0.368,4.561,2.731,4.62,4.62,2.026,1.483,1.483,2.509,4.244,2.137,2.651,2.651,1.738,1.479,3.474,0.117,1.786,2.484,3.623,0.292,5.446,331.949,3.267,21,45.0,6.812,6.812,3.983,1.707,2.252,3.644,2.524,1.231,2.543,2.898,16,3.752,3.534,41.169,15.887,20.0,3.339,3.417,2.177,2.177,3.64,4.061,4.061,8.445
7.092,2.374,1.32,3.465,3.465,2.998,2.14,3.401,3.401,40704.0,1.017,1.635,2.038,1.783,1.783,2.708,0.264,4.542,2.752,4.619,4.619,2.053,1.462,1.462,2.605,4.178,1.909,2.692,2.692,1.763,1.5,3.495,0.12,1.806,2.5,3.714,0.306,5.082,416.745,3.298,22,47.5,6.497,6.497,3.906,1.722,2.189,3.807,2.517,1.181,2.504,2.954,21,3.725,3.655,34.992,15.595,23.5,3.139,3.345,2.218,2.218,3.715,3.842,3.842,8.321
7.52,2.511,1.484,3.799,3.799,3.076,2.25,3.436,3.436,47894.0,1.07,1.65,2.087,1.791,1.791,2.715,0.492,4.74,2.849,4.814,4.814,2.045,1.538,1.538,2.713,4.358,2.141,2.686,2.686,1.763,1.5,3.513,0.117,1.934,2.5,3.681,0.298,5.138,330.828,3.401,21,45.0,7.866,7.866,3.984,1.72,2.218,3.644,2.568,1.202,2.599,2.96,16,3.79,3.534,38.62,16.942,20.0,3.243,3.436,2.433,2.433,3.693,4.572,4.572,8.445
6.328,2.375,1.32,3.76,3.76,3.163,2.435,3.434,3.434,48408.0,1.142,1.682,2.146,1.795,1.795,2.712,0.4,4.734,2.785,4.73,4.73,2.054,1.465,1.465,2.661,4.382,2.241,2.692,2.692,1.763,1.662,3.513,0.114,1.899,2.619,3.716,0.304,5.297,444.496,3.417,22,49.5,7.159,7.159,3.949,1.722,2.326,3.807,2.536,1.31,2.699,2.996,21,3.74,3.734,38.393,16.398,24.0,3.185,3.367,2.361,2.361,3.72,4.616,4.616,8.46
6.959,2.529,1.517,3.577,3.577,2.986,2.048,3.408,3.408,53352.0,1.132,1.641,2.135,1.789,1.789,2.708,0.368,4.561,2.75,4.621,4.621,2.028,1.544,1.544,2.509,4.244,2.137,2.688,2.688,1.754,1.5,3.512,0.114,1.799,2.5,3.643,0.286,5.508,344.633,3.268,21,45.5,6.813,6.813,3.983,1.71,2.298,3.644,2.524,1.268,2.6,2.9,16,3.752,3.554,45.064,16.241,20.0,3.416,3.417,2.179,2.179,3.651,4.067,4.067,8.507
6.538,2.375,1.32,3.747,3.747,3.14,2.403,3.432,3.432,44403.0,1.122,1.635,2.135,1.793,1.793,2.709,0.364,4.676,2.768,4.651,4.651,2.054,1.464,1.464,2.651,4.371,2.239,2.692,2.692,1.763,1.659,3.513,0.117,1.88,2.616,3.723,0.306,5.234,430.205,3.397,22,48.25,6.856,6.856,3.942,1.722,2.29,3.807,2.524,1.247,2.665,2.996,21,3.732,3.698,36.435,16.637,23.5,3.149,3.351,2.34,2.34,3.723,4.605,4.605,8.393
6.722,2.536,1.526,3.85,3.85,3.201,2.463,3.45,3.45,79702.0,1.169,1.718,2.172,1.794,1.794,2.747,0.391,4.683,2.909,4.727,4.727,2.076,1.549,1.549,2.795,4.321,2.14,2.71,2.71,1.785,1.509,3.515,0.109,2.044,2.507,3.786,0.257,5.396,473.5,3.431,27,52.5,7.723,7.723,3.984,1.737,2.363,3.954,2.568,1.335,2.694,2.987,22,3.776,4.574,44.155,17.037,26.0,3.388,3.423,2.37,2.37,3.783,4.548,4.548,8.812
7.167,2.375,1.32,3.763,3.763,3.178,2.47,3.431,3.431,44403.0,1.019,1.643,2.04,1.796,1.796,2.711,0.4,4.735,2.755,4.757,4.757,2.054,1.465,1.465,2.68,4.384,2.269,2.692,2.692,1.763,1.5,3.513,0.117,1.848,2.5,3.724,0.304,5.112,432.11,3.436,22,48.25,6.677,6.677,3.938,1.722,2.273,3.807,2.522,1.244,2.696,2.996,21,3.737,3.69,37.205,16.625,23.5,3.175,3.35,2.35,2.35,3.724,4.617,4.617,8.393
6.921,2.538,1.528,4.011,4.011,3.249,2.498,3.448,3.448,86354.0,1.24,1.808,2.264,1.864,1.864,2.837,0.396,4.912,2.917,5.29,5.29,2.09,1.55,1.55,2.849,4.454,2.15,2.998,2.998,1.786,1.706,3.572,0.106,2.045,2.657,3.791,0.25,5.486,496.854,3.5,27,53.0,7.423,7.423,3.984,1.738,2.436,3.954,2.568,1.425,2.703,2.987,22,3.849,4.55,48.623,17.485,26.0,3.47,3.438,2.437,2.437,3.789,4.616,4.616,8.856
6.244,2.375,1.32,3.763,3.763,3.178,2.47,3.431,3.431,44403.0,1.019,1.693,2.04,1.796,1.796,2.715,0.4,4.735,2.755,4.757,4.757,2.054,1.465,1.465,2.68,4.384,2.233,2.692,2.692,1.763,1.5,3.513,0.117,1.848,2.5,3.713,0.304,5.148,432.11,3.436,22,48.75,6.677,6.677,3.938,1.722,2.279,3.807,2.53,1.263,2.703,2.996,21,3.737,3.69,37.205,16.217,24.0,3.175,3.356,2.35,2.35,3.717,4.617,4.617,8.393
7.421,2.531,1.519,3.845,3.845,3.064,2.192,3.418,3.418,69932.0,1.14,1.688,2.142,1.792,1.792,2.729,0.382,4.687,2.859,4.739,4.739,2.045,1.546,1.546,2.621,4.327,2.141,2.69,2.69,1.733,1.5,3.513,0.111,1.941,2.5,3.769,0.261,5.351,337.986,3.366,21,46.0,7.725,7.725,3.984,1.707,2.302,3.644,2.568,1.274,2.677,2.962,16,3.753,3.611,41.314,16.684,20.0,3.322,3.424,2.375,2.375,3.763,4.555,4.555,8.719
7.284,2.375,1.32,3.772,3.772,3.194,2.491,3.434,3.434,48408.0,1.02,1.705,2.041,1.798,1.798,2.726,0.43,4.771,2.757,4.808,4.808,2.054,1.465,1.465,2.694,4.389,2.269,2.692,2.692,1.763,1.5,3.513,0.114,1.854,2.5,3.716,0.3,5.183,448.213,3.458,22,49.5,6.985,6.985,3.946,1.722,2.29,3.807,2.532,1.273,2.706,2.996,21,3.755,3.719,39.808,16.386,24.0,3.234,3.377,2.365,2.365,3.72,4.618,4.618,8.46
7.381,2.536,1.526,3.85,3.85,3.061,2.186,3.418,3.418,79702.0,1.169,1.718,2.172,1.794,1.794,2.747,0.391,4.683,2.862,4.727,4.727,2.045,1.549,1.549,2.616,4.321,2.14,2.71,2.71,1.785,1.5,3.515,0.109,1.942,2.5,3.767,0.257,5.416,473.5,3.363,21,46.5,7.723,7.723,3.984,1.737,2.363,3.644,2.568,1.335,2.694,2.962,16,3.753,3.631,44.155,17.037,20.0,3.388,3.423,2.37,2.37,3.761,4.548,4.548,8.812
4.699,2.312,1.3,3.009,3.009,2.861,2.01,3.51,3.51,23391.0,1.021,1.401,2.027,1.414,1.414,2.41,0.258,4.189,2.767,3.611,3.611,1.929,1.323,1.323,2.098,3.811,1.883,2.354,2.354,1.575,1.474,3.341,0.134,1.852,2.519,3.638,0.277,5.444,222.187,2.942,22,45.0,6.237,6.237,3.982,1.551,2.07,3.807,2.545,1.059,2.382,2.847,20,3.76,3.744,32.221,13.049,24.5,3.596,3.342,2.107,2.107,3.659,3.47,3.47,7.643
5.703,2.034,1.024,2.54,2.54,2.792,1.877,3.015,3.015,13872.0,0.878,1.262,1.901,1.414,1.414,2.328,0.226,3.848,2.537,3.058,3.058,1.589,1.038,1.038,2.016,3.565,1.81,2.273,2.273,1.613,1.181,2.809,0.15,1.5,2.302,3.647,0.316,5.121,207.311,2.861,17,37.5,5.023,5.023,3.814,1.585,2.0,3.524,2.415,1.0,2.091,2.564,16,3.555,3.109,30.633,12.939,20.0,3.575,3.171,1.863,1.863,3.623,2.791,2.791,7.256
6.441,2.366,1.339,3.626,3.626,3.271,2.32,3.31,3.31,43280.0,1.0,1.815,2.0,1.846,1.846,2.838,0.223,4.692,2.754,4.904,4.904,1.959,1.378,1.378,2.613,4.283,2.243,2.494,2.494,1.738,1.5,3.479,0.119,1.771,2.5,3.8,0.224,5.022,395.908,3.333,17,42.5,6.917,6.917,4.114,1.688,2.0,3.524,2.68,1.0,2.538,2.867,17,3.887,2.988,43.704,14.136,19.5,3.791,3.609,2.357,2.357,3.796,4.217,4.217,8.139
6.301,2.177,1.152,3.221,3.221,2.941,2.006,3.125,3.125,33212.0,1.0,1.623,2.0,1.679,1.679,2.651,0.244,4.451,2.5,4.406,4.406,1.904,1.227,1.227,2.609,4.032,2.235,2.275,2.275,1.731,1.389,3.414,0.126,1.5,2.427,3.635,0.261,4.995,384.119,3.31,17,42.0,6.887,6.887,3.949,1.681,2.0,3.524,2.551,1.0,2.386,2.833,17,3.867,2.995,41.529,13.325,19.5,3.771,3.577,2.299,2.299,3.66,3.651,3.651,7.941
5.754,2.507,1.479,4.185,4.185,3.316,2.611,3.281,3.281,90246.0,1.21,1.994,2.231,2.097,2.097,3.055,0.265,5.213,2.865,6.263,6.263,2.221,1.54,1.54,2.88,4.383,2.398,3.067,3.067,1.859,1.5,3.774,0.103,1.955,2.5,3.765,0.206,5.344,645.562,3.616,17,49.25,8.14,8.14,4.1,1.815,2.373,3.644,2.68,1.345,2.833,3.183,17,3.893,3.033,60.484,16.717,21.5,4.05,3.684,2.624,2.624,3.771,4.9,4.9,8.687
5.627,2.524,1.505,4.185,4.185,3.316,2.611,3.281,3.281,90246.0,1.225,2.002,2.243,2.097,2.097,3.058,0.265,5.213,2.865,6.263,6.263,2.221,1.54,1.54,2.88,4.383,2.403,3.067,3.067,1.884,1.5,3.774,0.103,1.955,2.5,3.785,0.206,5.376,645.562,3.616,17,48.0,8.14,8.14,4.1,1.844,2.374,3.644,2.682,1.346,2.834,3.183,17,3.893,3.033,60.484,16.717,21.0,4.05,3.685,2.624,2.624,3.782,4.9,4.9,8.687
5.971,2.518,1.495,4.185,4.185,3.316,2.611,3.281,3.281,90246.0,1.216,2.001,2.236,2.097,2.097,3.058,0.265,5.213,2.865,6.263,6.263,2.221,1.54,1.54,2.88,4.383,2.398,3.067,3.067,1.893,1.5,3.774,0.103,1.955,2.5,3.797,0.206,5.261,645.562,3.616,17,48.75,8.14,8.14,4.1,1.854,2.374,3.644,2.68,1.346,2.833,3.183,18,3.893,3.033,60.484,16.717,21.5,4.05,3.686,2.624,2.624,3.793,4.9,4.9,8.687
6.438,2.518,1.495,4.185,4.185,3.316,2.611,3.281,3.281,90246.0,1.216,2.001,2.236,2.097,2.097,3.058,0.265,5.213,2.865,6.263,6.263,2.221,1.54,1.54,2.88,4.383,2.398,3.067,3.067,1.893,1.5,3.774,0.103,1.955,2.5,3.797,0.206,5.261,645.562,3.616,17,48.75,8.14,8.14,4.1,1.854,2.374,3.644,2.68,1.346,2.833,3.183,18,3.893,3.033,60.484,16.717,21.5,4.05,3.686,2.624,2.624,3.793,4.9,4.9,8.687
6.307,2.535,1.524,4.185,4.185,3.316,2.611,3.281,3.281,90246.0,1.231,2.008,2.247,2.097,2.097,3.061,0.265,5.213,2.865,6.263,6.263,2.221,1.54,1.54,2.88,4.383,2.403,3.067,3.067,1.896,1.5,3.774,0.103,1.955,2.5,3.799,0.206,5.294,645.562,3.616,17,47.5,8.14,8.14,4.1,1.856,2.375,3.644,2.682,1.347,2.835,3.183,18,3.893,3.033,60.484,16.717,21.0,4.05,3.686,2.624,2.624,3.795,4.9,4.9,8.687
6.658,2.535,1.524,4.185,4.185,3.316,2.611,3.281,3.281,90246.0,1.231,2.008,2.247,2.097,2.097,3.061,0.265,5.213,2.865,6.263,6.263,2.221,1.54,1.54,2.88,4.383,2.403,3.067,3.067,1.896,1.5,3.774,0.103,1.955,2.5,3.799,0.206,5.294,645.562,3.616,17,47.5,8.14,8.14,4.1,1.856,2.375,3.644,2.682,1.347,2.835,3.183,18,3.893,3.033,60.484,16.717,21.0,4.05,3.686,2.624,2.624,3.795,4.9,4.9,8.687
6.18,2.0,1.0,2.344,2.344,2.761,1.792,3.085,3.085,14269.0,0.884,1.343,1.891,1.407,1.407,2.378,0.187,4.206,2.5,3.61,3.61,1.5,1.0,1.0,1.962,3.48,1.656,2.136,2.136,1.573,1.236,3.247,0.145,1.5,2.27,3.605,0.329,5.079,223.401,2.869,17,38.75,4.881,4.881,3.88,1.542,1.955,3.392,2.438,0.951,2.035,2.5,15,3.594,2.877,33.809,11.384,18.5,3.601,3.242,1.851,1.851,3.639,2.497,2.497,7.318
4.712,1.73,0.733,2.126,2.126,2.5,1.5,2.952,2.952,6099.0,-0.139,0.998,0.814,1.132,1.132,2.021,0.202,3.77,2.226,2.366,2.366,1.239,0.779,0.779,1.646,3.263,1.546,-0.332,-0.332,1.497,-0.179,2.298,0.178,1.103,1.075,3.373,0.416,4.844,90.937,2.65,11,29.75,4.036,4.036,3.675,1.458,1.072,2.907,2.2,0.148,1.954,2.271,9,3.434,2.007,23.744,9.331,12.5,3.384,3.058,1.645,1.645,3.384,2.275,2.275,6.662
4.605,2.0,1.0,2.492,2.492,2.763,1.797,3.202,3.202,14729.0,0.912,1.371,1.918,1.461,1.461,2.411,0.222,4.24,2.5,3.701,3.701,1.5,1.0,1.0,2.035,3.49,1.674,2.156,2.156,1.592,1.261,3.247,0.141,1.5,2.312,3.607,0.338,5.104,231.97,2.926,17,39.5,5.129,5.129,3.969,1.556,1.958,3.392,2.527,0.955,2.085,2.5,15,3.634,2.848,35.236,11.783,18.5,3.594,3.281,1.885,1.885,3.64,2.776,2.776,7.361
6.272,2.0,0.997,2.344,2.344,2.761,1.792,3.085,3.085,14269.0,0.884,1.342,1.891,1.407,1.407,2.377,0.187,4.206,2.5,3.61,3.61,1.5,1.0,1.0,1.962,3.48,1.656,2.136,2.136,1.573,1.236,3.247,0.145,1.5,2.27,3.589,0.329,4.913,223.401,2.869,17,39.25,4.881,4.881,3.88,1.537,1.917,3.392,2.427,0.916,2.022,2.5,14,3.594,2.877,33.809,11.384,18.5,3.601,3.239,1.851,1.851,3.626,2.497,2.497,7.318
5.744,2.0,1.0,2.344,2.344,2.761,1.792,3.085,3.085,14269.0,0.885,1.345,1.892,1.407,1.407,2.378,0.187,4.206,2.5,3.61,3.61,1.5,1.0,1.0,1.962,3.48,1.656,2.136,2.136,1.574,1.236,3.247,0.145,1.5,2.27,3.61,0.329,4.959,223.401,2.869,17,38.25,4.881,4.881,3.88,1.544,2.0,3.392,2.446,1.0,2.04,2.5,16,3.594,2.877,33.809,11.384,18.5,3.601,3.245,1.851,1.851,3.644,2.497,2.497,7.318
6.642,2.0,1.0,2.496,2.496,2.848,1.943,3.113,3.113,23750.0,0.893,1.361,1.899,1.433,1.433,2.397,0.194,4.292,2.5,3.696,3.696,1.5,1.0,1.0,2.427,3.767,1.717,2.248,2.248,1.694,1.325,3.247,0.137,1.5,2.386,3.622,0.271,5.054,229.623,3.256,17,39.75,6.454,6.454,3.918,1.65,1.958,3.392,2.504,0.956,2.216,2.5,15,3.703,2.915,36.47,12.151,18.5,3.671,3.368,2.123,2.123,3.653,3.306,3.306,7.693
5.247,2.0,1.0,2.496,2.496,2.849,1.944,3.099,3.099,20858.0,0.888,1.363,1.894,1.431,1.431,2.399,0.192,4.293,2.5,3.726,3.726,1.5,1.0,1.0,2.358,3.768,1.656,2.244,2.244,1.56,1.319,3.268,0.141,1.5,2.379,3.624,0.282,4.985,215.175,3.242,17,39.5,6.02,6.02,3.901,1.518,1.917,3.392,2.486,0.916,2.164,2.5,14,3.662,2.908,31.889,11.943,18.5,3.551,3.338,2.123,2.123,3.652,3.427,3.427,7.599
4.602,2.0,1.0,2.496,2.496,2.851,1.948,3.307,3.307,20558.0,0.885,1.363,1.892,1.429,1.429,2.399,0.218,4.296,2.5,3.751,3.751,1.5,1.0,1.0,2.585,3.769,1.656,2.237,2.237,1.667,1.314,3.414,0.141,1.5,2.371,3.619,0.28,4.851,219.445,3.295,17,39.25,6.831,6.831,4.042,1.621,1.956,3.392,2.551,0.953,2.121,2.5,15,3.837,2.909,32.529,10.955,18.5,3.549,3.495,2.232,2.232,3.652,3.452,3.452,7.598
4.602,2.064,1.042,3.186,3.186,3.237,2.389,3.114,3.114,30144.0,0.952,1.795,1.955,1.824,1.824,2.814,0.214,4.624,2.5,4.845,4.845,1.942,1.154,1.154,2.627,4.037,2.24,2.275,2.275,1.691,1.351,3.414,0.129,1.5,2.402,3.622,0.258,5.149,249.864,3.355,17,42.75,6.489,6.489,3.919,1.649,2.0,3.524,2.505,1.0,2.392,2.847,16,3.712,3.002,42.347,13.333,20.0,3.762,3.381,2.234,2.234,3.653,3.684,3.684,7.862
6.86,2.361,1.334,3.626,3.626,3.271,2.32,3.31,3.31,43280.0,0.973,1.811,1.982,1.846,1.846,2.835,0.223,4.692,2.754,4.904,4.904,1.959,1.378,1.378,2.613,4.283,2.245,2.494,2.494,1.706,1.5,3.479,0.119,1.771,2.5,3.763,0.224,5.083,395.908,3.333,17,44.25,6.917,6.917,4.114,1.65,2.0,3.524,2.661,1.0,2.506,2.867,16,3.887,2.988,43.704,14.136,20.0,3.791,3.599,2.357,2.357,3.77,4.217,4.217,8.139
6.666,2.148,1.12,3.221,3.221,2.941,2.006,3.125,3.125,33212.0,0.965,1.58,1.967,1.679,1.679,2.629,0.244,4.451,2.5,4.406,4.406,1.904,1.227,1.227,2.609,4.032,2.233,2.275,2.275,1.696,1.389,3.414,0.126,1.5,2.427,3.615,0.261,5.06,384.119,3.31,17,43.75,6.887,6.887,3.949,1.639,2.0,3.524,2.54,1.0,2.385,2.833,16,3.867,2.995,41.529,13.325,20.0,3.771,3.561,2.299,2.299,3.648,3.651,3.651,7.941
