pXC50,nHet,MW,nCsp2,O.,nBO,X.,Sv,nX,N.,nO,nSK,SCBO,nAB,Se,Si,nBT,nBM,nC,nAT,nCsp3,Mv,Sp,H.,RBF,nCL,nDB,Mp,nN,Me,nH
7.23,6,483.66,17,4.3,41,0.0,43.111,0,4.3,3,36,51.5,17,68.541,77.351,74.0,19,30,69.0,13,0.625,45.802,47.8,0.095,0,2,0.664,3,0.993,33
8.06,6,511.72,17,4.0,43,0.0,46.164,0,4.0,3,38,53.5,17,74.309,84.182,80.0,19,32,75.0,15,0.616,49.324,49.3,0.088,0,2,0.658,3,0.991,37
7.58,6,391.51,17,5.6,31,0.0,34.003,0,5.6,3,29,41.5,17,54.007,60.69,56.0,19,23,54.0,6,0.63,35.756,46.3,0.125,0,2,0.662,3,1.0,25
7.96,6,449.65,11,4.4,37,0.0,40.637,0,4.4,3,33,44.5,11,67.425,76.766,72.0,13,27,68.0,16,0.598,43.563,51.5,0.097,0,2,0.641,3,0.992,35
5.93,6,425.52,23,5.5,35,0.0,36.477,0,5.5,3,32,48.5,23,55.123,61.275,58.0,25,26,55.0,3,0.663,37.995,41.8,0.121,0,2,0.691,3,1.002,23
7.87,7,513.69,17,5.5,43,0.0,45.352,0,4.1,4,38,53.5,17,72.752,81.976,78.0,19,31,73.0,14,0.621,48.017,47.9,0.09,0,2,0.658,3,0.997,35
6.3,6,511.72,17,4.0,43,0.0,46.164,0,4.0,3,38,53.5,17,74.309,84.182,80.0,19,32,75.0,15,0.616,49.324,49.3,0.113,0,2,0.658,3,0.991,37
7.06,7,501.65,17,4.3,42,1.4,43.494,1,4.3,3,37,52.5,17,69.054,77.691,74.0,19,30,69.0,13,0.63,45.739,46.4,0.095,0,2,0.663,3,1.001,32
5.0,13,717.9,27,6.3,59,0.0,60.921,0,7.3,6,53,77.0,26,96.581,108.218,102.0,31,40,96.0,13,0.635,63.472,44.8,0.118,0,5,0.661,7,1.006,43
9.15,7,503.7,11,5.4,43,0.0,44.879,0,4.1,4,37,50.5,11,73.636,83.391,80.0,13,30,74.0,19,0.606,47.779,50.0,0.088,0,2,0.646,3,0.995,37
6.13,7,526.74,17,3.9,44,0.0,47.186,0,5.2,3,39,54.5,17,76.41,86.68,82.0,19,32,77.0,15,0.613,50.33,49.4,0.098,0,2,0.654,4,0.992,38
8.611,6,501.73,11,3.9,43,0.0,45.691,0,3.9,3,37,50.5,11,75.192,85.597,82.0,13,31,76.0,20,0.601,49.086,51.3,0.085,0,2,0.646,3,0.989,39
5.0,13,648.86,19,7.0,50,0.0,53.56,0,7.0,6,46,63.0,16,86.672,97.225,90.0,21,33,86.0,14,0.623,56.353,46.5,0.133,0,5,0.655,6,1.008,40
5.0,13,717.9,27,6.3,59,0.0,60.921,0,7.3,6,53,77.0,26,96.581,108.218,102.0,31,40,96.0,13,0.635,63.472,44.8,0.118,0,5,0.661,7,1.006,43
7.44,8,489.68,16,4.2,39,0.0,43.153,0,7.0,3,36,49.0,12,70.745,80.348,74.0,16,28,71.0,12,0.608,45.813,49.3,0.095,0,4,0.645,5,0.996,35
8.879,8,503.71,16,4.1,40,0.0,44.68,0,6.8,3,37,50.0,12,73.629,83.763,77.0,16,29,74.0,13,0.604,47.574,50.0,0.104,0,4,0.643,5,0.995,37
7.3,9,532.65,27,4.4,44,0.0,45.068,0,8.8,3,40,60.0,24,68.312,76.185,72.0,28,31,68.0,4,0.663,46.773,41.2,0.111,0,4,0.688,6,1.005,28
7.77,8,504.69,16,5.5,40,0.0,44.374,0,5.5,4,37,50.0,12,72.854,82.474,76.0,16,29,73.0,13,0.608,47.023,49.3,0.105,0,4,0.644,4,0.998,36
7.886,10,616.83,18,6.7,49,0.0,53.91,0,4.5,6,45,61.0,16,89.043,100.554,93.0,20,35,89.0,17,0.606,56.978,49.4,0.14,0,4,0.64,4,1.0,44
8.009,10,616.83,18,6.7,49,0.0,53.91,0,4.5,6,45,61.0,16,89.043,100.554,93.0,20,35,89.0,17,0.606,56.978,49.4,0.14,0,4,0.64,4,1.0,44
5.98,10,511.64,21,4.5,42,0.0,43.089,0,10.4,3,38,55.0,18,67.414,75.684,71.0,22,28,67.0,7,0.643,44.779,43.3,0.099,0,4,0.668,7,1.006,29
9.01,9,518.67,17,6.9,41,0.0,44.562,0,5.6,5,38,52.0,12,72.298,81.268,75.0,17,29,72.0,12,0.619,46.716,47.2,0.107,0,5,0.649,4,1.004,34
7.55,7,502.72,16,4.0,40,0.0,45.186,0,5.3,3,37,50.0,12,74.41,84.68,78.0,16,30,75.0,14,0.602,48.33,50.7,0.103,0,4,0.644,4,0.992,38
7.04,8,517.74,16,3.9,41,0.0,46.207,0,6.5,3,38,51.0,12,76.512,87.178,80.0,16,30,77.0,14,0.6,49.336,50.6,0.1,0,4,0.641,5,0.994,39
6.98,9,561.8,16,4.8,44,0.0,49.975,0,6.0,4,41,54.0,12,83.607,95.218,87.0,16,32,84.0,16,0.595,53.313,51.2,0.138,0,4,0.635,5,0.995,43
7.9,10,614.81,18,6.9,50,0.0,53.384,0,4.6,6,45,62.0,16,87.159,98.138,92.0,20,35,87.0,17,0.614,56.216,48.3,0.141,0,4,0.646,4,1.002,42
6.57,10,614.81,18,6.9,50,0.0,53.384,0,4.6,6,45,62.0,16,87.159,98.138,92.0,20,35,87.0,17,0.614,56.216,48.3,0.141,0,4,0.646,4,1.002,42
6.88,8,497.65,22,4.4,40,0.0,43.1,0,7.4,3,37,53.0,18,67.978,76.517,71.0,22,29,68.0,7,0.634,45.29,45.6,0.113,0,4,0.666,5,1.0,31
5.0,10,551.76,12,6.2,44,0.0,48.163,0,6.2,5,40,53.0,10,81.05,92.012,85.0,14,30,81.0,18,0.595,51.006,50.6,0.094,0,4,0.63,5,1.001,41
5.0,11,588.78,18,6.0,47,0.0,50.658,0,7.2,5,43,59.0,16,83.269,94.095,87.0,20,32,83.0,14,0.61,53.25,48.2,0.103,0,4,0.642,6,1.003,40
5.0,13,590.7,18,9.1,47,0.0,48.507,0,7.8,7,43,61.0,16,78.272,87.268,81.0,22,30,77.0,12,0.63,49.875,44.2,0.111,0,6,0.648,6,1.017,34
5.0,13,590.7,18,9.1,47,0.0,48.507,0,7.8,7,43,61.0,16,78.272,87.268,81.0,22,30,77.0,12,0.63,49.875,44.2,0.111,0,6,0.648,6,1.017,34
5.0,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.098,0,4,0.647,5,1.004,37
5.0,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.098,0,4,0.647,5,1.004,37
5.0,10,573.76,18,6.2,46,0.0,49.637,0,6.2,5,42,58.0,16,81.167,91.597,85.0,20,32,81.0,14,0.613,52.245,48.1,0.106,0,4,0.645,5,1.002,39
5.0,10,545.7,18,6.7,44,0.0,46.583,0,6.7,5,40,56.0,16,75.4,84.767,79.0,20,30,75.0,12,0.621,48.722,46.7,0.101,0,4,0.65,5,1.005,35
5.553,7,447.02,9,6.5,34,1.6,37.631,1,3.2,4,31,40.0,6,62.091,70.006,65.0,9,24,62.0,15,0.607,40.108,50.0,0.138,1,3,0.647,2,1.001,31
5.638,9,456.41,9,7.0,32,3.5,35.427,2,5.3,4,30,38.0,6,57.749,64.618,59.0,9,21,57.0,12,0.622,37.449,47.4,0.119,2,3,0.657,3,1.013,27
5.523,9,456.41,9,7.0,32,3.5,35.427,2,5.3,4,30,38.0,6,57.749,64.618,59.0,9,21,57.0,12,0.622,37.449,47.4,0.119,2,3,0.657,3,1.013,27
5.237,8,421.97,9,7.0,31,1.8,34.599,1,5.3,4,29,37.0,6,57.425,64.674,59.0,9,21,57.0,12,0.607,36.591,49.1,0.119,1,3,0.642,3,1.007,28
4.357,7,368.9,9,8.0,25,2.0,30.051,1,4.0,4,25,31.0,6,50.44,56.761,50.0,9,18,50.0,9,0.601,31.824,50.0,0.18,1,3,0.636,2,1.009,25
5.0,10,573.76,18,6.2,46,0.0,49.637,0,6.2,5,42,58.0,16,81.167,91.597,85.0,20,32,81.0,14,0.613,52.245,48.1,0.106,0,4,0.645,5,1.002,39
5.0,13,590.7,18,9.1,47,0.0,48.507,0,7.8,7,43,61.0,16,78.272,87.268,81.0,22,30,77.0,12,0.63,49.875,44.2,0.111,0,6,0.648,6,1.017,34
5.0,11,588.78,18,6.0,47,0.0,50.658,0,7.2,5,43,59.0,16,83.269,94.095,87.0,20,32,83.0,14,0.61,53.25,48.2,0.103,0,4,0.642,6,1.003,40
5.0,12,603.74,19,8.6,48,0.0,50.539,0,6.2,7,44,61.0,16,81.938,91.601,85.0,21,32,81.0,13,0.624,52.392,45.7,0.118,0,5,0.647,5,1.012,37
5.145,10,551.76,12,6.2,44,0.0,48.163,0,6.2,5,40,53.0,10,81.05,92.012,85.0,14,30,81.0,18,0.595,51.006,50.6,0.094,0,4,0.63,5,1.001,41
5.879,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.098,0,4,0.647,5,1.004,37
5.0,13,590.7,18,9.1,47,0.0,48.507,0,7.8,7,43,61.0,16,78.272,87.268,81.0,22,30,77.0,12,0.63,49.875,44.2,0.111,0,6,0.648,6,1.017,34
5.0,10,483.63,12,7.4,38,0.0,41.056,0,7.4,5,35,47.0,10,68.516,77.351,71.0,14,25,68.0,13,0.604,42.961,48.5,0.099,0,4,0.632,5,1.008,33
5.0,10,573.76,18,6.2,46,0.0,49.637,0,6.2,5,42,58.0,16,81.167,91.597,85.0,20,32,81.0,14,0.613,52.245,48.1,0.106,0,4,0.645,5,1.002,39
5.0,11,546.69,17,6.8,44,0.0,46.078,0,8.1,5,40,56.0,16,74.618,83.85,78.0,20,29,74.0,12,0.623,47.966,45.9,0.103,0,4,0.648,6,1.008,34
5.635,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.098,0,4,0.647,5,1.004,37
5.0,10,573.76,18,6.2,46,0.0,49.637,0,6.2,5,42,58.0,16,81.167,91.597,85.0,20,32,81.0,14,0.613,52.245,48.1,0.106,0,4,0.645,5,1.002,39
5.465,10,637.85,18,5.6,54,0.0,55.69,0,5.6,5,47,66.0,16,89.934,101.427,97.0,20,37,90.0,19,0.619,58.768,47.8,0.093,0,4,0.653,5,0.999,43
5.0,10,570.76,17,5.0,46,0.0,49.416,0,7.5,4,42,59.0,16,80.058,90.471,84.0,20,32,80.0,14,0.618,52.035,47.5,0.119,0,3,0.65,6,1.001,38
5.0,10,570.76,17,5.0,46,0.0,49.416,0,7.5,4,42,59.0,16,80.058,90.471,84.0,20,32,80.0,14,0.618,52.035,47.5,0.119,0,3,0.65,6,1.001,38
5.0,10,558.75,18,5.1,45,0.0,48.416,0,7.6,4,41,57.0,16,79.058,89.471,83.0,20,31,79.0,13,0.613,51.035,48.1,0.096,0,4,0.646,6,1.001,38
5.0,9,557.76,18,5.0,45,0.0,48.922,0,6.3,4,41,57.0,16,79.839,90.388,84.0,20,32,80.0,14,0.612,51.79,48.8,0.107,0,4,0.647,5,0.998,39
5.0,11,588.78,18,6.0,47,0.0,50.658,0,7.2,5,43,59.0,16,83.269,94.095,87.0,20,32,83.0,14,0.61,53.25,48.2,0.103,0,4,0.642,6,1.003,40
5.0,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.098,0,4,0.647,5,1.004,37
5.0,12,645.83,19,7.8,51,0.0,55.12,0,5.6,7,47,64.0,16,90.589,101.846,94.0,21,35,90.0,16,0.612,57.677,47.8,0.138,0,5,0.641,5,1.007,43
5.0,10,595.76,22,6.2,49,0.0,51.11,0,6.2,5,44,63.5,21,81.283,91.182,86.0,25,34,81.0,12,0.631,53.483,45.7,0.093,0,4,0.66,5,1.003,37
5.0,10,573.76,18,6.2,46,0.0,49.637,0,6.2,5,42,58.0,16,81.167,91.597,85.0,20,32,81.0,14,0.613,52.245,48.1,0.106,0,4,0.645,5,1.002,39
5.983,11,668.67,17,7.1,52,2.4,54.017,2,3.5,6,46,63.0,16,85.705,95.528,91.0,19,35,85.0,18,0.635,56.926,45.9,0.099,2,3,0.67,3,1.008,39
5.635,11,588.78,18,6.0,47,0.0,50.658,0,7.2,5,43,59.0,16,83.269,94.095,87.0,20,32,83.0,14,0.61,53.25,48.2,0.103,0,4,0.642,6,1.003,40
5.0,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.098,0,4,0.647,5,1.004,37
5.0,12,645.83,19,7.8,51,0.0,55.12,0,5.6,7,47,64.0,16,90.589,101.846,94.0,21,35,90.0,16,0.612,57.677,47.8,0.138,0,5,0.641,5,1.007,43
5.0,10,595.76,22,6.2,49,0.0,51.11,0,6.2,5,44,63.5,21,81.283,91.182,86.0,25,34,81.0,12,0.631,53.483,45.7,0.093,0,4,0.66,5,1.003,37
6.0,17,841.08,27,7.7,64,0.0,71.248,0,6.8,9,61,82.0,22,117.967,132.836,120.0,29,44,117.0,17,0.609,74.41,47.9,0.183,0,7,0.636,8,1.008,56
7.921,20,1018.37,27,8.4,75,0.0,85.772,0,4.9,12,72,95.0,22,143.992,162.207,146.0,31,52,143.0,25,0.6,90.506,49.7,0.212,0,9,0.633,7,1.007,71
6.301,23,1049.34,28,9.9,77,0.0,86.17,0,5.6,14,74,98.0,22,143.981,161.294,145.0,32,51,142.0,23,0.607,89.898,47.9,0.214,0,10,0.633,8,1.014,68
7.824,20,1018.37,27,8.4,75,0.0,85.772,0,4.9,12,72,95.0,22,143.992,162.207,146.0,31,52,143.0,25,0.6,90.506,49.7,0.212,0,9,0.633,7,1.007,71
7.796,21,1020.34,27,9.2,75,0.0,84.96,0,5.0,13,72,95.0,22,142.436,160.002,144.0,31,51,141.0,24,0.603,89.2,48.9,0.215,0,9,0.633,7,1.01,69
8.11,11,542.71,17,4.1,44,0.0,46.164,0,10.8,3,40,56.5,17,74.283,84.012,78.0,21,29,74.0,12,0.624,48.307,45.9,0.103,0,4,0.653,8,1.004,34
8.02,11,558.7,18,6.7,45,0.0,47.078,0,8.0,5,41,57.5,17,75.618,84.85,79.0,21,30,75.0,12,0.628,48.966,45.3,0.101,0,4,0.653,6,1.008,34
8.71,9,530.68,17,6.8,43,0.0,45.562,0,5.5,5,39,54.0,12,73.298,82.268,77.0,17,30,73.0,13,0.624,47.716,46.6,0.104,0,5,0.654,4,1.004,34
8.01,9,532.7,17,6.7,42,0.0,46.088,0,5.3,5,39,53.0,12,75.181,84.683,78.0,17,30,75.0,13,0.615,48.478,48.0,0.115,0,5,0.646,4,1.002,36
8.35,9,546.73,17,6.4,43,0.0,47.615,0,5.1,5,40,54.0,12,78.065,88.099,81.0,17,31,78.0,14,0.61,50.239,48.7,0.123,0,5,0.644,4,1.001,38
7.62,12,571.76,17,3.8,46,0.0,48.712,0,11.4,3,42,58.5,17,79.269,89.926,83.0,21,30,79.0,13,0.617,51.074,46.8,0.108,0,4,0.647,9,1.003,37
8.74,11,570.71,18,6.6,47,0.0,48.078,0,7.9,5,42,59.0,12,76.618,85.85,81.0,18,31,76.0,13,0.633,49.966,44.7,0.099,0,6,0.657,6,1.008,34
8.91,9,558.74,17,6.3,45,0.0,48.615,0,5.1,5,41,56.0,12,79.065,89.099,83.0,17,32,79.0,15,0.615,51.239,48.1,0.12,0,5,0.649,4,1.001,38
8.83,10,576.78,17,6.5,45,0.0,48.275,0,5.2,5,41,56.0,12,77.258,86.603,81.0,17,31,77.0,14,0.627,51.125,46.8,0.123,0,5,0.664,4,1.003,36
7.64,12,675.8,24,8.0,57,0.0,56.539,0,5.7,7,50,73.0,22,87.938,97.601,94.0,27,38,87.0,14,0.65,58.392,42.5,0.085,0,5,0.671,5,1.011,37
9.08,12,663.79,24,8.1,55,0.0,55.539,0,5.8,7,49,71.0,22,86.938,96.601,92.0,27,37,86.0,13,0.646,57.392,43.0,0.12,0,5,0.667,5,1.011,37
5.523,8,459.46,9,6.5,30,3.2,36.986,2,3.2,4,30,36.0,6,62.298,70.365,62.0,9,22,62.0,13,0.597,39.728,51.6,0.226,2,3,0.641,2,1.005,32
9.4,11,679.85,25,8.1,55,0.0,56.21,0,3.5,7,49,71.0,22,86.694,95.939,92.0,27,38,86.0,13,0.654,58.79,43.0,0.12,0,5,0.684,3,1.008,37
6.6,6,455.6,17,4.8,39,0.0,40.057,0,4.8,3,34,49.5,17,62.774,70.521,68.0,19,28,63.0,11,0.636,42.279,46.0,0.088,0,2,0.671,3,0.996,29
9.1,12,788.69,25,8.0,56,1.1,57.362,1,4.6,7,50,72.0,22,87.789,97.238,93.0,27,38,87.0,13,0.659,60.807,42.5,0.118,0,5,0.699,4,1.009,37
7.06,12,602.76,18,7.3,48,0.0,50.846,0,7.3,6,44,60.5,17,82.712,92.889,86.0,21,32,82.0,14,0.62,52.944,46.3,0.116,0,4,0.646,6,1.009,38
8.35,11,594.8,17,7.5,45,0.0,49.517,0,5.0,6,42,56.0,12,80.469,90.228,83.0,17,31,80.0,14,0.619,52.341,47.5,0.12,0,5,0.654,4,1.006,38
7.58,10,562.73,17,7.6,44,0.0,48.33,0,5.1,6,41,55.0,12,79.392,89.308,82.0,17,31,79.0,14,0.612,50.694,48.1,0.122,0,5,0.642,4,1.005,38
6.15,11,541.61,23,9.0,44,0.0,44.191,0,7.5,6,40,58.0,18,68.192,75.315,71.0,23,29,67.0,6,0.66,45.131,40.3,0.099,0,5,0.674,5,1.018,27
7.7,10,587.81,19,5.1,46,0.0,49.582,0,6.3,4,42,58.5,17,79.032,88.892,83.0,21,32,79.0,13,0.628,52.677,46.8,0.096,0,4,0.667,5,1.0,37
7.71,9,519.71,16,5.3,41,0.0,45.395,0,6.7,4,38,51.0,12,74.956,84.972,78.0,16,29,75.0,13,0.605,48.029,49.3,0.103,0,4,0.64,5,0.999,37
9.13,12,717.89,24,7.3,60,0.0,61.12,0,5.2,7,53,76.0,22,96.589,107.846,103.0,27,41,96.0,17,0.637,63.677,44.8,0.078,0,5,0.663,5,1.006,43
7.886,21,1020.34,27,9.2,75,0.0,84.96,0,5.0,13,72,95.0,22,142.436,160.002,144.0,31,51,141.0,24,0.603,89.2,48.9,0.215,0,9,0.633,7,1.01,69
9.262,15,678.82,21,9.9,51,0.0,56.044,0,6.6,9,49,66.0,16,92.461,103.348,93.0,23,34,91.0,13,0.616,57.83,46.2,0.204,0,7,0.635,6,1.016,42
5.0,10,580.69,24,8.0,48,0.0,48.75,0,5.3,6,43,63.0,22,75.741,84.062,80.0,26,33,75.0,9,0.65,50.409,42.7,0.125,0,4,0.672,4,1.01,32
6.102,11,668.67,17,7.1,52,2.4,54.017,2,3.5,6,46,63.0,16,85.705,95.528,91.0,19,35,85.0,18,0.635,56.926,45.9,0.099,2,3,0.67,3,1.008,39
7.854,20,1018.37,27,8.4,75,0.0,85.772,0,4.9,12,72,95.0,22,143.992,162.207,146.0,31,52,143.0,25,0.6,90.506,49.7,0.212,0,9,0.633,7,1.007,71
7.93,12,703.86,24,7.5,59,0.0,59.593,0,5.4,7,52,75.0,22,93.705,104.431,100.0,27,40,93.0,16,0.641,61.915,44.1,0.08,0,5,0.666,5,1.008,41
7.9,13,587.76,17,5.0,47,0.0,49.427,0,11.3,4,43,59.5,17,80.596,91.135,84.0,21,30,80.0,13,0.618,51.529,46.3,0.107,0,4,0.644,9,1.007,37
6.155,23,1125.44,34,9.2,84,0.0,93.223,0,5.3,14,80,108.0,28,153.748,172.124,156.0,38,57,152.0,23,0.613,97.421,47.4,0.205,0,10,0.641,8,1.012,72
5.0,12,589.71,19,9.0,47,0.0,49.013,0,6.4,7,43,60.0,16,79.054,88.185,82.0,21,31,78.0,12,0.628,50.631,44.9,0.11,0,5,0.649,5,1.014,35
6.699,22,1073.34,36,8.2,82,0.0,90.069,0,6.8,12,78,106.0,28,147.57,165.537,150.0,38,56,146.0,20,0.617,93.592,46.6,0.193,0,10,0.641,10,1.011,68
5.658,23,1125.44,34,9.2,84,0.0,93.223,0,5.3,14,80,108.0,28,153.748,172.124,156.0,38,57,152.0,23,0.613,97.421,47.4,0.205,0,10,0.641,8,1.012,72
8.72,12,704.84,26,8.7,58,0.0,59.286,0,4.3,8,52,75.0,22,92.93,103.142,98.0,28,40,92.0,14,0.644,61.364,43.5,0.112,0,6,0.667,4,1.01,40
6.86,11,718.92,25,7.1,59,0.0,62.152,0,4.0,7,53,75.0,22,99.254,111.178,105.0,27,42,99.0,17,0.628,65.194,46.5,0.133,0,5,0.659,4,1.003,46
5.0,10,580.69,24,8.0,48,0.0,48.75,0,5.3,6,43,63.0,22,75.741,84.062,80.0,26,33,75.0,9,0.65,50.409,42.7,0.125,0,4,0.672,4,1.01,32
8.523,22,1034.32,28,10.0,76,0.0,85.148,0,5.0,14,73,97.0,22,141.879,158.796,143.0,32,51,140.0,23,0.608,88.893,47.9,0.217,0,10,0.635,7,1.013,67
8.95,12,677.82,24,7.9,56,0.0,57.066,0,5.6,7,50,72.0,22,89.821,100.016,95.0,27,38,89.0,14,0.641,59.154,43.8,0.116,0,5,0.665,5,1.009,39
6.91,26,1153.41,36,10.0,86,0.0,93.4,0,6.7,15,82,112.0,28,152.628,170.085,154.0,40,56,150.0,20,0.623,96.603,45.3,0.201,0,12,0.644,10,1.018,68
5.0,13,694.86,25,7.5,56,0.0,58.614,0,6.5,7,51,72.0,22,93.807,104.929,98.0,27,38,93.0,13,0.63,60.921,45.2,0.143,0,5,0.655,6,1.009,42
5.0,10,566.66,24,8.3,47,0.0,47.223,0,5.6,6,42,62.0,22,72.858,80.647,77.0,26,32,72.0,8,0.656,48.648,41.7,0.117,0,4,0.676,4,1.012,30
6.9,12,635.84,19,7.7,48,0.0,54.647,0,5.5,7,46,61.0,16,91.472,103.261,93.0,21,34,91.0,15,0.601,57.438,49.5,0.183,0,5,0.631,5,1.005,45
8.57,11,676.83,25,7.8,56,0.0,57.572,0,4.4,7,50,72.0,22,90.603,100.933,96.0,27,39,90.0,14,0.64,59.909,44.4,0.115,0,5,0.666,4,1.007,40
9.26,11,662.8,25,8.0,55,0.0,56.045,0,4.6,7,49,71.0,22,87.72,97.517,93.0,27,38,87.0,13,0.644,58.148,43.7,0.118,0,5,0.668,4,1.008,38
6.756,11,668.67,17,7.1,52,2.4,54.017,2,3.5,6,46,63.0,16,85.705,95.528,91.0,19,35,85.0,18,0.635,56.926,45.9,0.099,2,3,0.67,3,1.008,39
5.813,11,682.7,17,6.8,53,2.3,55.544,2,3.4,6,47,64.0,16,88.589,98.943,94.0,19,36,88.0,19,0.631,58.688,46.6,0.106,2,3,0.667,3,1.007,41
7.66,12,689.83,24,7.8,58,0.0,58.066,0,5.6,7,51,74.0,22,90.821,101.016,97.0,27,39,90.0,15,0.645,60.154,43.3,0.082,0,5,0.668,5,1.009,39
7.62,9,599.79,17,7.1,50,0.0,52.362,0,3.5,6,44,61.0,16,85.058,95.64,91.0,19,35,85.0,18,0.616,55.211,48.2,0.11,0,3,0.65,3,1.001,41
6.664,9,592.19,17,6.3,47,1.3,49.948,1,3.8,5,42,58.0,16,80.17,89.96,85.0,19,33,80.0,16,0.624,52.853,47.5,0.129,1,3,0.661,3,1.002,38
7.621,11,654.64,17,7.3,51,2.4,52.49,2,3.7,6,45,62.0,16,82.821,92.113,88.0,19,34,82.0,17,0.64,55.165,45.1,0.102,2,3,0.673,3,1.01,37
5.6,4,441.61,14,4.7,39,0.0,40.068,0,1.6,3,33,47.0,12,63.338,71.355,70.0,14,29,64.0,15,0.626,42.79,48.4,0.057,0,2,0.669,1,0.99,31
8.2,10,673.82,27,7.9,56,0.0,57.55,0,3.4,7,50,72.5,23,89.501,99.434,95.0,28,40,89.0,13,0.647,59.904,43.8,0.116,0,5,0.673,3,1.006,39
6.41,11,621.74,17,7.3,51,2.4,51.602,2,3.7,6,45,62.0,16,83.199,92.904,88.0,19,34,82.0,17,0.629,53.324,45.1,0.102,0,3,0.65,3,1.015,37
6.103,11,668.67,17,7.1,52,2.4,54.017,2,3.5,6,46,63.0,16,85.705,95.528,91.0,19,35,85.0,18,0.635,56.926,45.9,0.099,2,3,0.67,3,1.008,39
5.469,7,567.79,17,4.8,48,0.0,50.933,0,3.6,4,42,59.0,16,82.403,93.221,89.0,19,35,83.0,18,0.614,54.302,49.4,0.09,0,3,0.654,3,0.993,41
5.0,12,617.77,19,8.3,49,0.0,52.066,0,6.0,7,45,62.0,16,84.821,95.016,88.0,21,33,84.0,14,0.62,54.154,46.4,0.125,0,5,0.645,5,1.01,39
6.018,18,897.15,28,8.0,68,0.0,76.016,0,6.4,10,65,87.0,22,126.061,141.876,128.0,30,47,125.0,19,0.608,79.387,48.0,0.203,0,8,0.635,8,1.008,60
6.824,24,999.27,28,10.7,71,0.0,77.141,0,6.6,13,68,92.0,22,124.621,138.018,125.0,32,44,122.0,16,0.632,80.409,44.3,0.224,0,10,0.659,8,1.021,54
6.0,4,380.55,15,1.8,30,1.8,34.516,1,3.5,1,28,39.0,16,56.414,64.359,59.0,17,24,57.0,9,0.606,37.063,50.9,0.153,0,1,0.65,2,0.99,29
7.444,11,692.88,23,7.4,57,0.0,59.625,0,4.2,7,51,71.0,18,95.37,106.763,101.0,23,40,95.0,17,0.628,62.432,46.3,0.069,0,5,0.657,4,1.004,44
6.0,4,380.95,17,1.9,29,1.9,32.907,1,3.8,1,27,39.0,16,51.458,58.132,54.0,18,23,52.0,6,0.633,35.461,48.1,0.13,1,2,0.682,2,0.99,25
9.155,13,644.8,20,8.0,51,0.0,54.088,0,6.9,7,47,65.0,16,87.923,98.514,91.0,22,34,87.0,14,0.622,56.159,46.0,0.132,0,6,0.646,6,1.011,40
7.398,8,557.75,17,6.3,46,0.0,49.121,0,3.8,5,41,57.0,16,79.847,90.016,85.0,19,33,80.0,16,0.614,51.995,48.8,0.129,0,3,0.65,3,0.998,39
7.569,11,652.81,23,8.0,53,0.0,55.572,0,4.5,7,48,67.0,18,88.603,98.933,93.0,23,37,88.0,14,0.631,57.909,45.5,0.086,0,5,0.658,4,1.007,40
7.553,9,611.61,17,6.4,47,2.6,49.754,2,2.6,5,42,58.0,16,78.392,87.405,83.0,19,33,78.0,16,0.638,52.705,46.2,0.133,2,3,0.676,2,1.005,36
6.0,4,408.61,15,1.6,32,1.6,37.57,1,3.2,1,30,41.0,16,62.181,71.189,65.0,17,26,63.0,11,0.596,40.586,52.4,0.169,0,1,0.644,2,0.987,33
6.0,4,352.49,15,2.0,28,2.0,31.463,1,3.9,1,26,37.0,16,50.647,57.528,53.0,17,22,51.0,7,0.617,33.54,49.0,0.132,0,1,0.658,2,0.993,25
6.0,3,275.38,15,0.0,24,0.0,24.752,0,7.9,0,21,33.0,16,37.491,42.401,41.0,17,18,38.0,3,0.651,26.347,44.7,0.073,0,1,0.693,3,0.987,17
6.0,3,278.38,15,2.6,23,0.0,24.972,0,5.1,1,21,32.0,16,38.6,43.528,41.0,17,18,39.0,3,0.64,26.557,46.2,0.073,0,1,0.681,2,0.99,18
6.237,17,827.05,27,7.9,63,0.0,69.721,0,7.0,9,60,81.0,22,115.083,129.421,117.0,29,43,114.0,16,0.612,72.648,47.4,0.188,0,7,0.637,8,1.009,54
8.699,15,692.85,21,9.6,52,0.0,57.571,0,6.4,9,50,67.0,16,95.345,106.763,96.0,23,35,94.0,14,0.612,59.591,46.8,0.208,0,7,0.634,6,1.014,44
