pXC50,CATS2D_03_DD,CATS2D_01_DD,nN.N,P_VSA_v_2,SAacc,P_VSA_p_2,O.057,CATS2D_03_DA,Eig08_AEA.dm.,SaasC,Psi_e_A,Psi_i_A,SpMax3_Bh.s.,SpMax4_Bh.s.,P_VSA_LogP_4,SpMax2_Bh.s.,nBeta.Lactams,TPSA.NO.,SsssCH,P_VSA_e_5,SdssC,ATS5s,Hy,P_VSA_e_3,CATS2D_04_DA,nDB,P_VSA_s_6,P_VSA_m_3,D.Dtr04,Eig07_AEA.dm.,ATSC1e,SsOH,O.,MATS1s,CATS2D_05_DL,NsOH,TPSA.Tot.,MAXDN,SAdon,nR04,nHDon,CATS2D_07_DL,H.050,MATS1i,CATS2D_02_DL,CATS2D_03_DL,P_VSA_s_5,CATS2D_04_DL,NssNH,Eig09_AEA.dm.,Eig05_AEA.dm.,ALOGP2,Eig10_AEA.dm.,GGI3,Me,CATS2D_06_DL,MATS1p,SpMax5_Bh.s.,C.009,N.072,ATS4s,CATS2D_09_DL,ATS4m,Eig06_AEA.dm.,ATSC1s,NdssC,nArOH,nN.CO.2,CATS2D_02_DA,ATSC3e,SM03_EA.ri.,CATS2D_05_DA,MATS1m,GGI4,SpAD_EA.dm.,ATSC5s,P_VSA_MR_2,Eig06_AEA.ed.,MATS1v,nHAcc,C.008,Eig04_EA.dm.,SpMax1_Bh.s.,Eig07_EA.dm.,JGI2,ATSC4e,ATS5e,nHet,AAC,IC0,MAXDP,Eig11_AEA.dm.,PDI,Ram,BIC3,Eta_epsi_A,ATS6s,ATSC3s,SssNH,Eig03_AEA.dm.,Eta_sh_p,P_VSA_i_4,CATS2D_08_DL,BAC,BIC0,SdS,BIC4,Eig05_EA.ed.,SM14_AEA.dm.,DELS,SM05_EA,Eig12_AEA.dm.,CATS2D_05_DN,ATSC4s,H.054,SIC0,GGI5,ATS3m,SssCH2,SM05_EA.ri.,BIC5,CATS2D_06_DA,Eig06_EA.ed.,SM15_AEA.dm.,SIC4,SM06_EA.ri.,Eig03_EA.dm.,SpMax7_Bh.s.,ATS4v,P_VSA_MR_8,H.047,Eig13_AEA.dm.,SpDiam_EA.ed.,MLOGP2,Eig05_EA.dm.,ALOGP,SM03_EA,CATS2D_02_AN,BLTA96,BLTD48,BLTF96,MLOGP
6.857,1,1,1,144.997,144.997,115.077,0,1,1.905,-1.642,8.491,2.991,7.431,7.427,59.699,8.161,0,79.46,0.0,61.29,-1.654,6.051,1.088,53.787,2,3,175.551,91.21,0.0,2.132,0.275,0.0,7.9,-0.069,7,0,111.55,2.835,53.787,0,3,2,3,0.022,2,4,53.787,4,3,1.505,2.971,13.03,1.276,1.875,1.053,6,0.03,4.961,0,3,5.998,0,4.021,2.687,27.256,3,0,1,2,0.927,3.806,3,-0.014,1.827,9.148,122.214,61.29,4.941,0.042,8,0,0.86,8.24,0.0,0.102,0.954,4.381,10,2.129,2.129,5.143,1.118,0.952,9,0.908,0.749,5.811,126.399,6.782,3.477,0.267,83.707,2,51.0,0.381,4.861,0.917,5.839,5.839,49.082,6.33,0.856,0,120.056,0,0.406,0.813,4.089,0.0,6.085,0.917,0,5.54,5.54,0.976,7.499,0.98,4.624,3.638,45.192,9,0.694,16.62,10.022,0.0,3.61,4.007,0,-4.4,-4.33,-4.08,3.166
7.018,2,0,0,324.873,324.873,324.873,3,0,2.463,-0.536,8.427,2.927,7.415,6.529,218.456,7.427,0,181.62,-3.494,288.851,-6.394,6.973,4.093,36.022,6,5,321.749,288.851,0.0,2.722,0.289,55.161,14.3,-0.168,8,5,181.62,3.924,246.314,0,7,8,7,0.157,9,12,0.0,10,0,2.116,3.39,1.233,2.028,5.938,1.028,8,0.206,6.47,0,1,6.915,3,4.687,2.873,56.177,7,1,0,1,0.937,4.811,7,-0.045,5.173,12.202,419.294,262.34,6.376,0.14,10,1,0.765,7.449,0.0,0.115,1.791,5.474,10,1.626,1.626,6.322,1.642,0.845,18,0.874,0.652,6.877,184.722,0.0,3.737,0.316,36.022,5,149.0,0.268,0.0,0.88,9.446,9.446,87.441,7.534,1.334,0,358.401,0,0.28,2.91,4.559,-0.2,7.412,0.88,4,9.227,9.227,0.919,8.806,0.98,6.444,4.541,0.0,10,1.263,24.853,0.766,0.744,-1.111,4.89,0,-0.35,-0.49,-0.65,-0.875
5.22,0,0,0,181.216,181.216,181.216,1,0,2.32,3.994,7.932,2.432,7.425,6.351,166.473,7.429,0,129.12,0.0,137.36,-1.142,6.372,0.189,43.856,2,3,156.956,137.36,0.0,2.4,0.189,9.014,9.8,-0.022,2,1,129.12,2.535,60.694,0,2,3,2,-0.106,4,3,18.011,1,1,2.124,2.898,10.744,1.782,2.743,1.02,2,-0.014,5.249,0,1,6.339,1,4.463,2.73,18.283,3,0,0,1,0.808,4.399,3,0.049,2.782,10.067,132.733,160.902,5.352,0.022,10,0,0.4,7.474,0.0,0.073,0.791,5.178,10,1.637,1.637,6.602,1.691,1.01,14,0.836,0.644,6.143,77.806,3.292,3.596,0.078,43.856,1,22.0,0.259,0.0,0.867,8.472,8.472,51.383,6.967,1.463,0,95.771,0,0.276,1.577,4.394,2.95,6.904,0.872,0,6.49,6.49,0.923,8.364,0.8,4.66,4.372,0.0,17,1.319,20.939,2.309,0.293,3.278,4.443,0,-2.75,-2.76,-2.68,1.52
5.136,0,0,0,79.122,62.337,79.122,0,1,1.624,4.088,7.547,2.047,4.807,4.405,20.767,4.889,0,61.77,0.0,11.0,1.798,5.533,0.273,68.122,1,2,44.326,11.0,0.0,2.169,0.044,0.0,2.3,-0.011,2,0,87.07,0.869,34.796,0,2,2,2,0.044,7,4,34.796,1,1,1.388,2.543,23.353,1.162,1.917,1.0,1,0.048,4.308,0,0,5.556,3,3.893,2.361,8.691,2,0,0,1,0.181,3.757,2,0.068,1.352,12.47,27.694,11.0,4.881,0.041,4,0,0.327,5.026,0.0,0.063,0.182,4.576,6,1.618,1.618,1.673,1.0,1.027,8,0.848,0.594,5.377,19.829,3.292,3.012,0.082,68.122,2,6.0,0.279,0.0,0.856,5.873,5.873,13.19,6.33,0.995,0,22.446,0,0.298,0.504,3.96,0.782,6.132,0.856,0,5.345,5.345,0.916,7.612,0.86,3.721,3.83,32.22,13,0.603,18.738,9.635,0.0,4.833,3.892,0,-4.33,-4.27,-4.03,3.104
5.665,0,0,0,124.624,124.624,124.624,1,0,1.661,4.103,7.897,2.397,4.94,4.835,91.805,6.471,0,84.59,0.0,89.828,-0.051,5.623,0.289,34.796,0,2,106.614,89.828,0.0,2.032,0.121,9.335,10.0,-0.141,1,1,112.83,2.107,60.694,0,2,2,2,-0.024,5,4,18.011,1,1,1.192,2.602,16.568,1.046,1.535,1.022,1,0.047,4.609,0,0,5.738,2,3.934,2.415,10.054,2,1,0,1,0.35,3.858,0,0.034,1.685,5.869,40.963,89.828,4.93,0.048,6,0,0.0,7.433,0.0,0.065,0.49,4.421,7,1.722,1.722,5.312,1.0,0.993,9,0.845,0.663,5.411,28.447,3.14,2.922,0.094,34.796,1,11.0,0.3,0.0,0.871,6.417,6.417,28.715,6.382,0.761,0,43.487,0,0.323,0.764,3.965,0.0,6.143,0.871,2,5.659,5.659,0.94,7.579,0.4,3.991,3.765,31.278,11,0.667,17.239,6.381,0.0,4.07,4.007,0,-3.76,-3.72,-3.54,2.526
5.819,0,0,0,124.327,107.664,124.327,0,1,2.027,3.53,7.964,2.464,5.093,4.936,79.9,6.82,0,94.46,0.0,25.145,-0.324,5.45,0.352,99.182,1,1,128.801,25.145,0.0,2.41,0.098,0.0,2.7,-0.018,4,0,119.76,1.991,34.674,0,2,5,2,0.074,1,3,51.276,4,1,1.865,2.87,16.859,1.0,1.069,1.021,5,0.081,4.658,0,1,5.662,1,3.762,2.509,8.982,1,0,0,3,0.273,3.574,0,0.014,1.129,12.731,50.564,25.145,4.838,0.05,5,0,0.0,7.429,0.0,0.068,0.438,4.162,8,1.855,1.855,5.133,1.0,0.991,7,0.835,0.671,5.335,27.26,2.64,3.571,0.117,99.182,2,11.0,0.328,0.0,0.835,5.806,5.806,24.534,6.066,0.957,0,51.75,0,0.356,0.663,3.94,0.692,5.813,0.835,0,5.521,5.521,0.907,7.286,1.058,3.867,3.543,32.22,10,0.546,14.986,15.349,0.0,4.106,3.761,0,-5.15,-5.04,-4.72,3.918
6.177,0,0,0,103.795,103.795,103.795,1,1,1.115,2.066,7.81,2.31,4.881,4.654,71.24,5.062,0,67.07,0.0,53.683,0.0,5.339,-0.291,50.112,0,1,103.795,53.683,0.0,1.296,0.072,9.808,5.9,-0.125,1,1,67.07,1.54,42.683,0,1,0,1,0.009,1,2,0.0,1,0,0.941,1.919,16.826,0.801,1.25,1.011,0,-0.003,4.375,0,0,5.489,2,3.556,1.528,8.995,0,1,0,0,0.251,3.49,1,0.035,0.929,1.72,33.639,53.683,3.738,0.014,5,0,0.0,6.47,0.0,0.086,0.296,4.161,5,1.592,1.592,3.808,0.29,0.964,6,0.866,0.627,5.082,26.466,0.0,2.491,0.084,50.112,1,6.0,0.289,0.0,0.898,4.237,4.237,18.324,6.066,-0.195,0,28.747,0,0.313,0.507,3.712,0.0,5.879,0.898,1,3.068,3.068,0.973,7.393,0.0,3.844,3.465,0.0,11,-0.521,17.866,7.562,0.0,4.102,3.611,0,-3.98,-3.93,-3.73,2.75
4.571,0,0,0,154.738,154.738,154.738,1,1,1.694,2.798,8.082,2.582,6.469,5.007,155.668,6.999,0,104.21,0.0,86.996,0.0,5.883,1.059,67.742,0,2,198.62,86.996,0.0,2.208,0.198,9.982,6.8,-0.163,5,1,140.83,4.671,77.099,0,3,2,3,0.041,5,8,34.416,3,2,1.44,2.698,21.579,1.0,2.444,1.031,2,0.012,4.959,0,0,6.05,1,4.333,2.424,24.67,0,1,0,3,0.611,3.951,0,0.069,1.667,1.315,92.327,86.996,4.982,0.063,7,0,0.0,7.717,0.0,0.088,0.837,4.56,11,2.045,2.045,5.454,0.877,0.972,10,0.865,0.686,5.545,60.185,5.504,2.867,0.206,67.742,2,38.0,0.351,0.0,0.865,5.844,5.844,41.631,6.746,0.78,0,87.213,0,0.375,1.0,4.342,0.953,6.239,0.865,2,5.7,5.7,0.922,7.616,0.0,4.611,3.858,31.278,8,0.414,19.859,6.651,0.0,4.645,4.29,0,-3.81,-3.77,-3.58,2.579
5.573,0,0,0,88.032,86.256,88.032,0,0,1.433,3.975,7.714,2.214,4.938,4.613,63.72,4.94,0,67.66,0.0,0.0,0.0,5.479,0.327,88.032,4,0,128.531,0.0,0.0,2.009,0.097,0.0,0.0,-0.15,0,0,67.66,1.229,36.022,0,2,2,2,-0.125,5,2,36.022,5,2,1.273,2.572,29.697,1.239,2.069,1.017,4,-0.018,4.391,0,0,5.612,0,3.964,2.17,5.65,0,0,0,3,0.338,3.727,1,0.007,1.249,1.6,28.383,0.0,4.754,0.007,5,0,0.0,5.157,0.0,0.054,0.466,4.379,8,1.675,1.675,1.962,1.071,1.033,9,0.817,0.654,5.559,27.678,6.461,2.976,0.15,88.032,4,10.0,0.291,0.0,0.835,6.475,6.475,19.553,6.365,0.227,0,30.717,0,0.315,0.726,4.021,0.0,5.995,0.869,0,5.238,5.238,0.903,7.481,0.0,4.058,3.706,0.0,11,0.222,18.067,22.883,0.0,5.45,4.007,0,-6.01,-5.86,-5.46,4.784
4.301,0,0,0,36.022,36.022,36.022,0,0,1.272,4.344,7.606,2.106,4.632,4.338,36.022,4.902,0,24.06,-0.147,0.0,0.0,5.373,0.284,36.022,0,0,78.297,0.0,0.0,1.325,0.028,0.0,0.0,-0.143,4,0,24.06,1.48,36.022,0,2,0,2,0.079,6,4,36.022,14,2,1.265,2.272,27.946,0.794,2.188,1.005,0,0.08,4.238,1,0,5.596,0,4.132,1.969,4.698,0,0,0,0,0.127,3.675,0,-0.002,1.204,2.62,26.83,0.0,4.841,0.071,2,0,0.0,5.028,0.0,0.07,0.363,4.384,4,1.514,1.514,2.217,0.173,1.066,8,0.762,0.62,5.129,17.067,6.958,2.623,0.133,36.022,0,5.0,0.276,0.0,0.777,5.331,5.331,13.69,6.365,0.138,0,33.058,0,0.3,0.694,4.023,0.0,6.093,0.777,0,5.104,5.104,0.844,7.603,0.0,3.566,3.779,0.0,9,-0.224,18.356,21.724,0.0,5.286,3.892,0,-5.89,-5.75,-5.35,4.661
6.674,0,1,1,123.538,123.538,123.538,0,2,1.942,2.233,7.841,2.341,6.999,4.973,108.836,7.429,0,91.4,0.668,69.458,-0.361,6.107,0.257,54.081,0,3,86.243,69.458,0.0,1.967,0.115,0.0,5.3,-0.105,7,0,128.02,4.484,35.776,0,2,0,2,-0.022,2,4,35.776,6,2,1.903,2.452,22.86,1.444,3.069,1.005,3,-0.008,4.661,0,1,6.252,2,4.274,2.216,17.023,1,0,0,2,0.29,4.279,0,0.177,1.992,2.76,82.763,93.0,5.164,0.041,7,0,0.0,7.715,0.0,0.093,0.715,4.923,9,1.709,1.709,5.989,1.29,0.991,12,0.811,0.595,5.968,50.223,5.475,3.138,0.164,54.081,0,37.0,0.278,0.0,0.811,6.696,6.696,39.182,6.938,1.0,0,118.431,0,0.293,1.021,4.356,2.091,6.637,0.811,0,5.81,5.81,0.855,8.013,0.0,4.335,4.144,31.278,11,0.918,21.656,11.467,0.0,4.781,4.443,0,-4.62,-4.54,-4.27,3.386
5.311,0,0,0,66.223,49.56,66.223,0,1,0.026,3.964,7.578,2.078,4.561,4.077,16.663,4.766,0,54.7,0.0,0.0,0.0,4.844,1.247,66.223,0,0,49.56,0.0,0.0,0.695,0.069,0.0,0.0,-0.148,4,0,54.7,1.067,49.56,0,3,2,3,0.235,2,1,16.663,3,0,-0.534,1.04,8.984,-0.837,0.597,0.987,3,0.116,3.674,0,0,4.969,2,2.981,1.0,8.09,0,0,0,0,0.129,3.147,0,0.019,0.512,0.0,14.978,0.0,3.271,0.071,2,0,0.0,5.218,0.0,0.074,0.095,3.976,3,1.361,1.361,1.575,-1.0,0.988,4,0.825,0.54,4.644,19.015,0.0,2.262,0.125,66.223,2,7.0,0.262,0.0,0.825,2.275,2.275,7.115,5.565,-1.361,0,16.271,0,0.277,0.431,3.138,2.303,5.459,0.825,0,1.852,1.852,0.873,6.949,0.0,3.315,3.184,0.0,5,-1.577,15.466,6.692,0.0,2.997,3.219,0,-3.82,-3.78,-3.59,2.587
5.439,0,0,0,198.396,198.396,153.516,0,1,2.557,-0.804,8.533,3.033,7.999,7.437,108.637,7.999,0,108.29,-1.515,86.435,-2.345,6.45,0.231,67.081,1,3,201.523,131.315,0.0,2.791,0.303,0.0,7.5,-0.065,3,0,108.29,5.907,36.022,0,2,2,2,-0.022,4,6,52.623,4,2,2.057,3.541,24.345,1.935,2.5,1.046,3,0.007,7.428,0,2,6.413,2,4.308,3.139,51.263,3,0,0,2,1.028,4.199,1,-0.002,2.147,26.151,207.906,131.315,5.072,0.027,10,1,1.713,8.513,0.147,0.088,1.377,4.827,11,1.896,1.896,6.028,1.856,0.961,12,0.844,0.728,6.424,144.088,4.77,3.914,0.179,111.961,1,72.0,0.31,0.0,0.867,7.298,7.298,75.832,6.868,1.756,0,211.916,0,0.331,1.618,4.343,-0.34,6.487,0.867,2,5.832,5.832,0.925,7.903,2.261,6.817,4.08,0.0,13,1.513,18.709,14.087,1.625,4.934,4.443,0,-4.98,-4.89,-4.58,3.753
5.253,0,0,0,53.683,53.683,53.683,0,0,1.311,4.154,7.542,2.042,4.819,4.562,0.0,4.954,0,29.46,0.0,53.683,0.0,5.501,-0.446,0.0,0,0,53.683,53.683,0.0,1.57,0.044,10.785,4.2,-0.087,1,1,57.7,2.085,42.683,0,1,4,1,0.07,3,3,34.061,2,0,1.233,2.258,38.262,1.0,1.764,0.989,3,0.082,4.367,0,0,5.677,0,3.898,1.682,10.643,0,0,0,0,0.2,3.963,0,0.062,1.357,3.976,26.34,58.084,4.463,0.064,2,0,0.0,6.45,0.0,0.076,0.208,4.546,3,1.332,1.332,4.785,1.0,0.968,8,0.793,0.554,5.507,35.46,0.0,2.852,0.064,0.0,3,6.0,0.225,0.0,0.82,5.923,5.923,17.265,6.661,0.929,0,35.372,0,0.238,0.896,4.046,4.865,6.43,0.82,0,4.166,4.166,0.87,7.89,0.0,3.925,3.952,31.278,11,0.648,19.132,21.188,0.0,6.186,4.111,0,-5.83,-5.69,-5.3,4.603
5.299,0,0,0,36.022,36.022,36.022,0,0,1.265,4.672,7.454,1.954,4.338,4.23,36.022,4.731,0,24.06,0.075,0.0,0.0,5.242,0.262,81.976,0,0,0.0,0.0,0.0,1.283,0.029,0.0,0.0,-0.204,4,0,24.06,1.258,36.022,0,2,0,2,0.079,6,6,81.976,12,2,1.165,2.01,22.146,0.397,1.625,0.992,0,0.066,3.78,1,0,5.38,0,4.045,1.593,5.886,0,0,0,0,0.098,3.596,0,-0.002,1.093,2.62,19.977,0.0,4.0,0.07,2,0,0.0,4.94,0.0,0.067,0.174,4.359,3,1.42,1.42,1.077,0.138,1.08,7,0.788,0.569,4.984,14.853,7.155,2.554,0.125,36.022,0,2.0,0.259,0.0,0.822,5.296,5.296,8.138,6.236,-0.181,0,19.958,0,0.282,0.556,4.068,0.0,6.024,0.822,0,3.162,3.162,0.892,7.554,0.0,3.566,3.714,45.954,10,-0.612,18.266,20.66,0.0,4.706,3.761,0,-5.78,-5.64,-5.25,4.545
5.448,0,0,0,92.973,92.973,92.973,1,0,1.21,3.178,8.056,2.556,6.467,4.76,103.24,7.352,0,54.37,0.0,92.973,-1.552,5.674,-0.385,0.0,1,6,92.973,92.973,0.0,1.611,0.022,10.035,8.1,-0.098,4,1,54.37,2.372,42.683,0,1,1,1,0.079,2,2,0.0,2,0,0.793,2.311,10.443,0.485,1.813,1.001,3,0.075,4.523,0,0,5.836,0,3.559,1.744,8.797,4,0,0,0,0.17,3.789,1,-0.005,1.138,0.0,73.399,92.973,4.14,0.048,3,0,0.0,7.497,0.0,0.104,0.261,4.377,3,1.323,1.323,4.806,0.133,0.931,7,0.853,0.589,5.341,50.109,0.0,2.944,0.2,0.0,1,26.0,0.238,0.0,0.892,4.069,4.069,26.666,6.111,-0.165,0,65.66,0,0.254,0.528,3.735,0.0,6.166,0.892,0,3.602,3.602,0.951,7.585,0.0,3.923,3.623,0.0,9,-0.423,17.084,8.084,0.0,3.232,3.761,0,-4.07,-4.02,-3.81,2.843
5.709,0,0,0,70.205,66.652,70.205,0,0,1.796,6.986,7.577,2.077,4.724,4.635,83.954,4.99,0,60.89,0.0,0.0,0.0,5.694,-0.329,70.205,0,1,105.216,0.0,0.0,2.0,0.083,0.0,0.0,-0.044,0,0,127.93,1.244,0.0,0,0,0,1,0.063,0,0,0.0,0,0,1.518,2.547,42.053,1.124,1.854,1.001,0,-0.026,4.602,0,0,5.742,0,4.144,2.238,8.846,0,0,0,0,0.198,3.951,0,-0.002,1.413,0.0,25.279,0.0,4.931,-0.012,4,0,0.0,5.155,0.0,0.077,0.253,4.634,8,1.602,1.602,1.843,1.048,1.035,10,0.845,0.613,5.665,24.028,0.0,2.88,0.086,70.205,0,5.0,0.264,0.0,0.854,6.616,6.616,14.838,6.594,1.0,0,28.483,0,0.285,0.931,4.171,0.0,6.33,0.854,0,5.667,5.667,0.925,7.801,0.0,4.002,3.973,69.841,11,1.0,17.812,31.726,0.0,6.485,4.111,0,-6.86,-6.67,-6.18,5.633
4.254,0,0,0,42.683,42.683,42.683,1,0,1.293,4.249,7.477,1.977,4.573,4.418,42.683,4.886,0,20.23,0.0,42.683,1.496,5.313,-0.444,0.0,0,1,42.683,42.683,0.0,1.482,0.04,9.577,2.5,-0.077,1,1,48.47,1.346,42.683,0,1,3,1,0.121,2,2,0.0,1,0,1.089,1.844,38.136,1.0,1.604,0.984,1,0.121,4.013,0,0,5.378,3,3.856,1.53,7.048,1,1,0,0,0.121,3.643,0,0.059,1.371,0.0,10.993,42.683,4.526,0.088,1,0,0.0,6.471,0.0,0.063,0.125,4.447,2,1.284,1.284,3.577,0.599,1.026,7,0.837,0.546,5.414,21.565,0.0,2.667,0.03,0.0,4,2.0,0.225,0.0,0.863,4.425,4.425,9.478,6.256,0.079,0,17.465,0,0.241,0.58,3.894,4.967,6.071,0.863,0,4.396,4.396,0.925,7.606,0.0,3.674,3.863,31.278,9,-0.412,19.386,20.786,0.0,6.175,3.761,0,-5.79,-5.65,-5.27,4.559
4.301,0,1,1,157.019,157.019,157.019,1,2,1.285,0.955,8.107,2.607,7.412,6.465,132.232,7.427,0,100.43,0.0,118.118,-2.536,6.142,1.005,38.901,5,4,118.118,118.118,0.0,1.694,0.098,10.372,8.3,-0.05,5,1,100.43,2.501,78.46,0,3,6,3,0.005,4,4,35.776,5,2,1.216,2.53,2.615,1.162,2.5,1.009,7,0.013,4.723,0,3,6.282,1,4.022,1.797,13.685,5,0,0,2,0.439,3.85,2,0.009,1.969,8.717,118.025,153.431,3.974,0.017,7,0,0.293,7.446,0.0,0.089,0.874,4.793,7,1.588,1.588,5.561,0.988,0.914,8,0.885,0.597,5.986,64.2,4.494,3.39,0.202,38.901,2,48.0,0.273,0.0,0.892,4.938,4.938,39.966,6.365,0.784,0,138.969,0,0.284,1.035,3.958,3.275,6.279,0.892,0,3.178,3.178,0.927,7.713,0.98,4.148,3.888,0.0,6,0.261,20.05,7.855,0.0,1.617,3.892,0,-4.03,-3.98,-3.77,2.803
5.034,0,0,0,72.166,72.166,72.166,0,0,1.302,2.949,7.899,2.399,4.881,4.663,32.336,4.956,0,50.36,0.0,36.145,0.084,5.392,0.348,36.022,0,2,120.485,36.145,0.0,1.461,0.056,0.0,5.4,-0.082,4,0,82.45,2.052,36.022,0,2,0,2,-0.046,3,4,36.022,6,2,1.182,2.576,15.592,1.0,1.0,1.012,4,-0.006,4.464,0,2,5.556,0,3.662,1.826,6.261,2,0,0,0,0.182,3.4,2,0.0,1.004,8.275,31.58,36.145,4.057,0.012,4,0,0.134,7.433,0.0,0.074,0.367,4.24,6,1.788,1.788,4.48,0.632,0.955,6,0.871,0.627,5.317,24.004,6.12,2.964,0.216,36.022,1,19.0,0.324,5.234,0.871,5.292,5.292,20.159,5.861,0.375,0,50.88,0,0.343,0.528,3.784,0.583,5.6,0.871,0,3.415,3.415,0.923,7.1,0.565,3.768,3.527,45.192,13,-0.154,14.789,12.134,0.0,3.949,3.611,0,-4.71,-4.63,-4.35,3.483
5.274,0,0,0,137.906,136.252,122.945,0,1,2.054,3.819,7.851,2.351,7.423,5.185,109.566,7.432,0,93.01,0.0,50.29,-0.629,6.354,-0.365,72.656,0,2,115.116,65.25,0.0,2.45,0.112,0.0,3.1,0.005,3,0,93.01,2.138,18.011,0,1,3,1,0.04,1,2,18.011,2,1,1.832,2.724,26.383,1.647,2.347,1.008,3,-0.003,4.761,0,2,6.306,1,4.297,2.667,11.384,2,0,0,1,0.536,4.13,1,0.058,1.974,10.42,102.845,50.29,5.073,0.01,8,0,0.535,8.201,0.0,0.067,0.699,5.109,9,1.617,1.617,6.565,1.592,1.003,11,0.826,0.61,6.259,66.105,2.905,3.217,0.055,87.616,1,10.0,0.255,0.0,0.881,7.013,7.013,44.481,6.635,1.579,0,93.02,0,0.27,1.195,4.272,3.911,6.5,0.891,1,5.918,5.918,0.932,8.002,0.649,4.607,4.235,0.0,18,1.274,18.523,24.778,0.085,5.136,4.205,0,-6.21,-6.05,-5.62,4.978
6.121,1,1,1,119.037,119.037,104.077,0,1,1.437,0.756,8.113,2.613,7.427,4.857,59.699,7.431,0,70.23,0.093,50.29,-0.796,5.875,1.005,53.787,1,3,110.442,65.25,0.0,1.905,0.106,0.0,4.9,-0.035,8,0,102.32,2.222,53.787,0,3,6,3,0.108,2,5,53.787,5,3,1.276,2.88,9.82,1.192,1.951,1.018,9,0.074,4.757,0,3,5.823,2,3.8,2.13,12.04,3,0,1,2,0.432,3.943,2,0.0,1.348,9.24,92.385,50.29,4.609,0.065,6,0,0.0,8.201,0.0,0.082,0.496,4.423,7,1.801,1.801,5.106,1.0,0.977,8,0.871,0.644,5.575,65.233,7.372,3.466,0.149,68.747,4,17.0,0.316,4.96,0.897,5.602,5.602,32.829,6.399,0.848,0,79.621,0,0.336,0.569,3.867,0.778,6.338,0.897,0,4.665,4.665,0.954,7.779,0.985,4.187,3.634,45.192,9,0.453,18.335,9.775,0.0,3.134,4.007,0,-4.36,-4.29,-4.05,3.126
5.363,0,0,0,51.655,51.655,36.695,0,0,1.564,5.565,7.641,2.141,4.735,4.637,45.659,5.052,0,29.02,0.0,0.0,0.0,5.569,-0.798,36.695,0,0,48.531,14.96,0.0,1.667,0.005,0.0,0.0,-0.008,0,0,57.26,1.891,0.0,0,0,0,0,-0.088,0,0,0.0,0,0,1.416,2.339,25.562,1.09,1.375,1.002,0,0.011,4.238,0,0,5.65,0,4.026,1.921,4.815,0,0,0,0,0.117,3.876,0,0.068,1.471,2.178,21.653,23.542,4.668,0.023,4,0,0.0,8.201,0.0,0.072,0.226,4.668,5,1.559,1.559,5.323,1.0,1.077,9,0.843,0.609,5.6,23.839,0.0,2.908,0.022,51.655,0,2.0,0.267,0.0,0.859,6.012,6.012,18.803,6.494,0.801,0,28.598,0,0.289,0.841,4.049,2.792,6.295,0.867,0,4.644,4.644,0.929,7.783,0.0,3.798,3.969,31.278,12,0.685,19.322,24.186,0.0,5.056,4.007,0,-6.15,-5.99,-5.57,4.918
4.693,0,0,0,222.535,220.759,222.535,1,4,2.014,2.029,7.904,2.404,5.443,5.01,165.748,6.469,0,160.58,0.663,77.789,-0.558,6.002,1.725,190.7,4,2,199.746,77.789,0.0,2.172,0.296,9.908,5.6,-0.018,2,1,160.58,2.225,93.469,0,4,2,4,0.071,2,3,63.842,1,1,1.725,2.637,9.132,1.377,2.16,1.024,2,0.04,4.848,0,1,6.111,2,4.287,2.562,22.148,1,1,0,2,0.75,4.022,2,0.004,1.846,4.137,74.007,124.874,4.919,0.019,11,0,0.0,7.43,0.0,0.086,1.005,4.87,13,1.827,1.827,5.847,1.323,0.955,11,0.861,0.648,5.971,62.879,2.431,3.077,0.188,144.746,3,26.0,0.301,0.0,0.861,6.412,6.412,36.352,6.621,1.202,0,85.052,0,0.317,1.053,4.315,4.333,6.371,0.861,2,5.67,5.67,0.907,7.807,0.172,4.497,3.997,45.954,9,1.077,18.902,8.927,0.0,3.022,4.205,0,-4.22,-4.16,-3.93,2.988
5.505,0,0,0,61.84,61.84,61.84,0,0,1.63,4.058,7.6,2.1,4.91,4.344,75.621,4.965,0,46.09,1.359,25.145,0.114,5.837,-0.798,36.695,0,1,97.865,25.145,0.0,1.903,0.02,0.0,2.0,0.008,0,0,46.09,1.553,0.0,0,0,0,0,-0.159,0,0,0.0,0,0,1.517,2.433,22.726,1.372,2.125,0.994,0,-0.034,4.33,0,0,5.967,0,4.05,2.287,6.428,1,0,0,0,0.189,4.003,0,0.039,1.773,4.155,44.775,48.687,5.028,0.008,4,0,0.0,7.427,0.0,0.074,0.506,4.863,5,1.503,1.503,5.636,1.123,0.974,10,0.822,0.561,5.798,32.862,0.0,3.168,0.161,36.695,0,17.0,0.254,0.0,0.828,5.793,5.793,24.108,6.494,0.612,0,62.089,0,0.266,1.035,4.107,4.404,6.332,0.828,0,5.685,5.685,0.867,7.775,0.0,3.903,4.058,0.0,8,0.397,17.451,18.56,0.0,4.767,4.111,0,-5.54,-5.41,-5.05,4.308
