pXC50,SM05_AEA.bo.,SM04_EA.bo.,P_VSA_s_3,SM03_AEA.bo.,SM04_AEA.bo.,SM06_AEA.bo.,SM07_AEA.bo.,SM08_AEA.bo.,X4A,Eig07_AEA.bo.,Eig08_AEA.ed.,ATS2m,ATS3m,piPC02,SM02_EA.bo.,ZM1Mad,ZM2Mad,Eig04_EA.bo.,Eta_F,SM14_AEA.ri.,Eig07_EA.bo.,Eta_sh_y,GGI10,IDE,SMTIV,ZM2MulPer,ZM2V,SM02_AEA.bo.,ATS2s,CATS2D_03_AL,Eig06_AEA.ed.,Eig06_EA.ed.,Eig06_EA.ri.,SM04_EA,SM15_AEA.dm.,Vindex,Xindex,Yindex,ZM1MulPer,ZM1Per,ZM1V,AECC,Eig05_AEA.ri.,Eig08_EA.ed.,HVcpx,SM03_AEA.ri.,Eig09_AEA.bo.,ATS1m,ZM2Per,MSD,SM06_AEA.ed.,UNIP,DLS_04,GMTIV,MW,O.060,P_VSA_LogP_5,S1K,ZM1Kup,Eig08_AEA.bo.,Psi_i_s,SM02_AEA.ed.,SM03_AEA.ed.,SM04_AEA.ed.,SM05_AEA.ed.,SM06_EA,GATS1i,X3A,Eig04_AEA.bo.,Eig04_AEA.ri.,Eig04_EA,Eig05_EA.ri.,SM12_AEA.bo.,X4sol,Eig07_EA,Eig08_EA.bo.,Eig12_AEA.bo.,Eig12_AEA.ri.,Eig12_EA.bo.,Eig12_EA.ri.,Eig13_AEA.bo.,Eig13_EA.bo.,Eig13_EA.ed.,Eig15_AEA.bo.,Eig15_AEA.ri.,Eig15_EA,Eig15_EA.bo.,Eig15_EA.ed.,Eig15_EA.ri.,GATS6e,IDET,IDMT,LPRS,piPC01,piPC03,S3K,SCBO,SM08_AEA.ri.,SM09_AEA.dm.,SM10_AEA.ri.,SM15_AEA.bo.,X0,X1sol,X1v,X4,XMOD,Eig12_AEA.ed.,piID,Eta_FL,ZM2Kup,Dz,Eig07_AEA.dm.,Eta_beta,Eta_epsi,MATS6m,ON0,SM02_EA.ed.,SpAD_EA.bo.,SpAD_EA.ed.,SPI,SRW06,SRW08,X2,D.Dtr09,DELS,AAC
7.796,9.248,7.489,35.83,6.476,7.842,10.687,12.153,13.638,0.108,3.425,4.986,4.429,4.493,4.557,5.244,277.231,311.984,3.608,42.627,3.608,2.708,0.298,0.478,3.78,33934.0,667.092,626.0,5.211,6.272,7,5.399,6.94,2.092,6.521,6.94,0.184,0.287,0.511,737.504,962.21,678.0,12.314,3.417,5.7,3.551,5.7,3.092,4.017,1002.79,7.538,13.406,151.0,0.3,70400.0,525.87,1,74.72,25.456,787.145,3.347,100.667,6.188,7.842,9.622,11.485,8.688,1.186,0.178,4.011,3.551,2.618,2.362,2.618,10.594,2.114,2.542,2.5,2.0,1.5,1.0,2.42,1.375,2.275,1.608,1.352,0.452,0.488,0.748,0.405,0.758,2248.81,35145.8,188.525,3.922,5.105,5.164,49.5,2.275,0.452,0.748,2.114,25.38,16.946,12.111,10.087,116.9,3.515,11.429,9.1,639.075,80.5,2.63,45.5,38.748,0.017,19.333,7.114,74.654,180.696,22.84,7.288,8.942,16.264,158.712,69.97,2.085
5.87,9.124,7.434,37.593,6.398,7.741,10.54,11.98,13.439,0.113,3.421,4.889,4.317,4.375,4.514,5.201,254.327,289.447,3.507,38.469,3.507,2.669,0.299,0.389,3.779,28907.0,608.029,573.0,5.16,6.042,10,5.087,5.885,1.942,6.361,5.885,0.183,0.286,0.507,624.028,838.79,580.0,12.676,3.249,5.613,3.583,5.613,2.985,3.989,902.5,7.478,13.008,144.0,0.7,54737.0,503.92,1,41.971,24.613,616.509,3.182,84.417,6.08,7.683,9.397,11.18,8.385,1.471,0.177,4.011,3.55,2.618,2.147,2.618,11.448,1.997,2.362,2.48,2.0,1.451,1.0,2.22,1.161,2.275,1.608,1.352,0.452,0.488,0.748,0.405,0.722,2120.12,32545.7,181.781,3.902,5.081,5.441,48.5,2.275,0.452,0.748,1.997,24.294,17.428,12.427,10.383,114.133,3.414,11.364,8.83,568.316,75.5,2.433,44.75,37.019,0.054,18.083,6.95,71.796,164.599,19.608,7.197,8.823,15.031,152.405,48.449,1.879
5.503,8.973,7.327,36.739,6.303,7.621,10.356,11.762,13.186,0.111,3.366,4.886,4.131,4.192,4.446,5.133,200.279,224.247,3.317,35.164,3.317,2.576,0.371,0.299,3.654,22918.0,545.86,514.0,5.083,5.847,8,5.085,5.874,1.9,6.184,5.874,0.189,0.294,0.53,569.931,761.62,530.0,11.548,3.21,5.339,3.468,5.339,2.813,3.738,803.85,6.915,12.694,120.0,0.4,44532.0,439.89,1,44.8,21.215,567.161,3.103,78.278,5.958,7.529,9.198,10.926,8.085,1.37,0.178,3.952,3.549,2.609,2.109,2.609,9.612,1.96,2.247,2.441,2.0,1.374,0.994,2.22,1.157,2.275,1.37,1.026,0.133,0.156,0.286,0.109,0.847,1699.26,24266.8,160.447,3.839,5.03,4.525,45.5,2.275,0.133,0.286,1.96,21.957,15.245,9.742,9.446,97.876,3.414,11.139,8.781,535.437,68.833,2.457,42.75,32.852,0.018,16.167,6.786,67.149,148.102,16.901,7.088,8.7,13.599,133.01,40.844,1.8
4.155,9.075,7.403,15.642,6.45,7.746,10.441,11.835,13.254,0.106,3.322,4.73,4.374,4.455,4.572,5.26,260.04,295.833,3.11,44.114,3.11,2.703,0.388,0.366,3.734,36393.0,603.65,567.0,5.257,6.213,0,5.16,6.341,2.044,6.392,6.341,0.201,0.308,0.579,622.449,838.0,582.0,12.35,3.223,5.166,3.554,5.166,3.136,4.08,892.04,7.425,12.924,172.0,0.8,62013.0,574.66,0,7.229,30.503,663.629,3.268,95.259,6.172,7.738,9.408,11.143,8.307,1.594,0.17,3.748,3.394,2.482,2.153,2.482,12.009,2.186,2.427,2.95,2.55,2.006,1.499,2.629,1.635,3.29,2.203,1.847,0.882,1.152,1.893,0.847,1.239,2912.3,48287.2,221.022,4.007,5.096,7.854,54.0,3.29,0.882,1.893,2.186,28.811,19.915,14.453,11.735,129.144,4.163,12.542,9.153,588.364,89.167,2.336,46.5,46.267,-0.038,21.667,7.006,79.816,183.9,24.532,7.279,8.866,17.826,163.958,53.704,1.69
4.071,9.019,7.326,15.642,6.368,7.677,10.395,11.799,13.226,0.103,3.268,4.731,4.314,4.361,4.474,5.162,244.04,279.833,3.113,36.714,3.113,2.289,0.434,0.272,3.548,27253.0,565.457,531.0,5.165,6.146,0,5.164,6.35,2.045,6.351,6.35,0.212,0.321,0.623,584.257,786.16,546.0,10.889,3.224,5.166,3.382,5.166,3.069,4.003,840.2,6.685,12.915,140.0,0.8,47067.0,522.58,0,7.229,27.109,627.629,3.137,87.259,6.12,7.702,9.385,11.129,8.29,1.674,0.165,3.75,3.394,2.482,2.153,2.482,11.301,2.188,2.263,2.626,2.34,1.632,1.325,2.5,1.5,2.936,1.74,1.514,0.645,0.676,1.55,0.555,1.258,2235.42,34256.4,191.505,3.892,5.01,6.324,48.0,2.936,0.645,1.55,2.188,25.982,17.915,13.119,11.028,117.144,4.163,11.046,7.82,552.364,81.167,2.34,40.5,42.267,-0.049,19.667,6.976,72.314,173.892,22.808,7.231,8.842,16.412,148.882,52.503,1.735
5.398,9.244,7.447,12.885,6.41,7.814,10.696,12.163,13.643,0.114,3.592,4.999,4.515,4.549,4.434,5.121,327.059,386.857,3.39,36.625,3.39,2.801,0.29,0.333,3.772,29240.0,706.059,656.0,5.103,6.573,0,5.891,7.991,2.209,6.524,7.991,0.209,0.332,0.563,757.607,984.84,686.0,12.094,3.727,5.365,3.501,5.365,2.969,4.241,1059.21,7.455,13.194,145.0,0.5,63351.0,522.26,0,4.043,25.773,794.465,2.992,105.083,6.146,7.796,9.548,11.356,8.65,2.025,0.166,4.079,3.849,2.919,2.683,2.919,14.237,2.25,2.148,1.59,1.417,0.552,0.468,1.18,-0.17,-0.36,1.0,0.542,-0.452,-0.489,-1.165,-0.403,0.715,1871.02,27627.8,168.768,3.761,4.821,6.399,42.0,-0.36,-0.452,-1.165,2.25,24.06,17.202,13.044,10.276,121.153,3.759,9.803,6.875,618.915,78.5,2.38,36.5,39.467,-0.103,19.25,7.079,64.82,170.675,24.931,7.21,8.839,16.422,145.288,78.569,2.08
4.347,8.865,7.133,12.457,6.19,7.511,10.255,11.671,13.111,0.101,3.137,4.714,4.192,4.249,4.266,4.952,216.04,247.5,2.962,27.554,2.962,2.224,0.474,0.161,3.329,18005.0,495.293,465.0,4.98,6.059,0,4.981,5.605,2.005,6.225,5.605,0.265,0.397,0.793,520.935,696.71,486.0,8.871,3.196,4.949,3.13,4.949,2.951,3.884,740.21,5.917,12.844,106.0,0.9,30768.0,460.51,0,4.043,24.486,567.629,3.054,77.593,5.984,7.585,9.286,11.045,8.194,1.91,0.162,3.642,3.235,2.321,2.083,2.321,9.636,2.066,2.157,1.741,1.517,0.676,0.556,1.564,0.465,0.646,1.07,0.656,-0.243,-0.305,-0.618,-0.217,1.284,1547.88,21433.7,156.533,3.689,4.805,5.435,39.0,0.646,-0.243,-0.618,2.066,22.87,15.398,11.562,9.362,102.038,3.301,9.704,5.884,486.364,71.167,2.274,31.5,38.167,-0.114,17.833,6.864,59.34,150.703,21.892,7.081,8.703,14.081,127.213,50.092,1.762
4.26,8.853,7.122,10.351,6.175,7.499,10.242,11.658,13.097,0.102,3.136,4.638,4.169,4.217,4.252,4.938,211.707,242.334,2.954,27.2,2.954,2.157,0.492,0.128,3.312,16907.0,490.166,459.0,4.959,6.036,0,4.981,5.604,1.999,6.205,5.604,0.265,0.397,0.791,517.197,690.01,482.0,8.8,3.166,4.906,3.12,4.906,2.95,3.86,730.77,5.823,12.824,101.0,0.9,29431.0,446.48,0,4.043,23.506,563.629,2.983,76.093,5.964,7.566,9.267,11.026,8.175,1.928,0.162,3.619,3.226,2.299,2.049,2.299,9.445,2.065,2.147,1.74,1.514,0.676,0.554,1.258,0.138,0.34,0.901,0.438,-0.454,-0.515,-1.165,-0.403,1.206,1440.56,19484.6,149.95,3.664,4.78,5.2,38.0,0.34,-0.454,-1.165,2.065,22.162,14.86,11.001,9.172,98.895,3.3,9.63,5.901,480.083,69.167,2.272,31.0,36.867,-0.074,17.333,6.843,58.159,147.715,21.357,7.059,8.68,13.89,122.433,49.163,1.787
9.301,9.45,7.309,66.188,6.829,8.126,10.808,12.189,13.589,0.121,3.805,5.84,4.798,5.033,4.762,5.451,366.509,425.368,3.251,63.944,3.251,2.867,0.361,1.128,4.153,122330.0,779.859,727.0,5.663,6.583,18,6.048,8.671,2.701,6.932,8.671,0.178,0.28,0.488,893.167,1158.7,830.0,17.077,3.806,7.557,4.029,7.557,3.569,4.409,1148.48,10.349,13.608,448.0,0.8,191250.0,914.31,1,17.371,54.591,975.45,3.692,155.583,6.671,8.28,9.997,11.78,8.926,1.456,0.192,4.02,3.895,2.916,2.772,2.916,17.7,2.667,2.841,3.15,3.091,2.155,2.054,3.119,2.14,5.165,2.919,2.639,1.66,1.906,4.192,1.627,1.324,8638.89,208619.0,414.436,4.357,5.106,14.497,77.0,5.165,1.66,4.192,2.667,48.172,30.75,23.924,17.7,194.501,5.152,11.568,9.033,779.563,143.5,3.195,52.25,79.567,-0.092,37.583,7.525,110.692,295.849,49.752,7.775,9.379,27.856,0.0,126.575,1.369
5.301,9.277,7.466,10.351,6.441,7.846,10.73,12.199,13.679,0.112,3.598,5.195,4.544,4.615,4.457,5.145,335.163,399.29,3.392,39.205,3.392,2.9,0.316,0.383,3.765,31303.0,728.61,677.0,5.133,6.597,0,5.966,8.144,2.21,6.569,8.144,0.215,0.339,0.585,790.877,1024.66,716.0,12.061,3.732,5.927,3.506,5.927,2.979,4.261,1096.41,7.407,13.277,148.0,0.5,68704.0,538.26,0,4.043,26.717,832.614,3.046,110.917,6.192,7.853,9.615,11.431,8.709,2.018,0.166,4.164,3.993,3.055,2.726,3.055,14.591,2.251,2.149,1.757,1.574,0.729,0.608,1.212,0.007,0.016,1.0,0.696,-0.216,-0.237,-0.734,-0.206,0.762,1987.76,29629.6,174.952,3.784,4.853,6.222,43.0,0.016,-0.216,-0.734,2.251,24.93,17.629,13.152,10.63,124.296,3.792,9.843,7.125,642.188,81.5,2.383,37.25,40.933,-0.038,20.083,7.138,66.312,177.484,26.405,7.255,8.895,16.831,149.012,86.701,2.077
4.301,8.896,7.175,10.351,6.12,7.493,10.326,11.777,13.242,0.104,2.979,4.636,4.078,4.079,4.193,4.879,198.573,234.392,3.102,25.125,3.102,2.115,0.43,0.161,3.316,12823.0,478.32,447.0,4.848,6.086,0,5.195,5.924,1.734,6.201,5.924,0.256,0.389,0.74,515.568,675.08,472.0,8.8,3.158,4.556,3.104,4.556,2.22,3.765,716.84,5.561,12.879,82.0,0.8,26070.0,378.3,0,4.043,18.592,550.148,2.726,76.306,5.889,7.529,9.267,11.057,8.267,1.902,0.168,3.729,3.34,2.428,2.038,2.428,8.1,1.652,1.746,0.985,0.703,-0.213,-0.158,0.898,-0.574,-1.165,0.462,0.047,-0.86,-0.956,-2.5,-0.775,0.899,994.931,11683.4,118.484,3.526,4.72,3.54,33.0,-1.165,-0.86,-2.5,1.652,18.516,12.508,8.666,7.79,85.032,2.71,9.354,5.591,454.071,60.167,2.071,28.25,30.533,-0.033,14.583,6.806,51.395,133.796,17.68,6.969,8.609,12.149,98.738,54.754,1.984
4.0,8.907,7.186,12.457,6.135,7.505,10.338,11.788,13.254,0.102,3.029,4.761,4.103,4.115,4.208,4.894,202.906,239.558,3.123,25.563,3.123,2.118,0.411,0.211,3.333,13799.0,483.448,453.0,4.871,6.108,0,5.23,5.926,1.734,6.221,5.926,0.256,0.389,0.743,519.306,681.78,476.0,8.885,3.202,4.755,3.109,4.755,2.229,3.792,726.28,5.664,12.898,87.0,0.8,27335.0,392.33,0,4.043,19.564,554.148,2.729,77.806,5.911,7.549,9.286,11.076,8.285,1.878,0.168,3.737,3.34,2.428,2.079,2.428,8.29,1.745,1.75,1.168,0.844,-0.01,-0.008,0.979,-0.325,-0.665,0.629,0.106,-0.814,-0.85,-2.38,-0.74,0.981,1083.08,13116.8,124.811,3.555,4.746,3.776,34.0,-0.665,-0.814,-2.38,1.745,19.223,13.046,9.226,7.981,88.176,2.815,9.432,5.574,460.353,62.167,2.088,28.75,31.833,-0.115,15.083,6.828,52.575,136.782,18.236,6.993,8.633,12.34,103.519,55.886,1.951
