pXC50,NNRS,RCI,Eig02_AEA.bo.,RFD,Eig02_AEA.dm.,SM03_AEA.bo.,SM04_AEA.bo.,Eig02_AEA.ri.,Eig04_AEA.bo.,Eig02_EA,SM10_AEA.bo.,piPC02,SM02_EA.bo.,P_VSA_LogP_4,P_VSA_e_2,SM02_AEA.bo.,Eig02_EA.bo.,SM12_AEA.ri.,X2sol,TIE,Eig02_EA.ri.,Eig04_EA.bo.,SM14_AEA.ri.,ATS7m,SpAD_EA.bo.,Rperim,SpMax2_Bh.m.,SM02_EA.ri.,X0sol,SpMax3_Bh.m.,MW,Eta_alpha,SpMax8_Bh.s.,Eig04_AEA.ri.,IDDM,Eig09_AEA.dm.,XMOD,SM05_AEA.bo.,SpMax2_Bh.e.,P_VSA_p_3,P_VSA_v_3,HDcpx,SpAD_EA.ri.,SpMax4_Bh.m.,X2v,Eig09_AEA.ed.,X2,P_VSA_i_2,NRS,Eig11_AEA.bo.,nC..N.N2,Eig08_AEA.ed.,Eig08_AEA.bo.,SpAD_AEA.ri.,SpMax6_Bh.v.,piPC01,SCBO,SMTIV,Eig14_AEA.ed.,SpMaxA_EA.bo.,Eig14_AEA.bo.,ATS1m,Eta_betaP,SpMin2_Bh.i.,Eig04_EA,SM12_AEA.bo.,Eig08_EA.ri.,SpAD_AEA.bo.
4.034,1.0,1.0,4.099,0.0,3.051,5.989,7.28,3.65,3.461,2.748,2.748,4.073,4.758,32.336,153.519,4.826,3.647,3.647,12.167,53.192,2.468,2.541,2.541,3.829,51.145,17,3.862,4.259,19.468,3.784,387.59,13.233,3.674,3.266,4.72,1.305,85.749,8.608,3.884,153.519,153.519,1.702,39.822,3.406,8.573,3.569,11.412,122.241,3,2.059,0,3.802,2.5,42.279,2.999,3.597,35.5,13705.0,2.762,0.128,1.017,3.636,12.0,1.829,2.353,2.353,1.042,42.731
4.034,1.0,1.0,4.446,0.0,3.37,6.258,7.583,4.134,3.889,3.168,3.168,4.398,5.085,102.382,148.697,5.026,3.858,3.858,12.463,52.223,3.043,3.406,3.406,3.672,63.234,22,3.892,4.468,19.836,3.739,373.44,13.2,3.893,3.464,4.778,1.674,83.892,8.945,3.936,148.697,148.697,1.711,46.358,3.625,6.653,4.372,12.463,148.697,4,2.5,0,4.54,3.001,47.339,2.86,3.773,42.5,15656.0,2.754,0.14,1.299,3.583,21.5,1.856,2.481,2.481,1.588,48.391
4.034,1.0,1.0,4.172,0.0,3.225,5.882,7.17,3.775,3.366,2.833,2.833,3.989,4.673,0.0,111.613,4.718,3.464,3.464,10.468,40.799,2.648,2.412,2.412,3.529,46.238,18,3.869,4.197,17.33,3.741,343.93,11.948,3.674,3.215,4.554,1.077,74.732,8.492,3.905,150.762,150.762,1.666,36.248,3.329,7.418,3.496,10.097,111.613,3,1.64,0,3.601,2.5,37.836,2.91,3.497,32.0,10085.0,2.445,0.145,0.728,3.466,12.0,1.883,2.301,2.301,1.0,37.85
4.034,1.0,1.0,4.072,0.0,3.37,6.022,7.294,3.649,3.581,2.668,2.668,4.159,4.844,29.85,194.858,4.852,3.676,3.676,11.673,56.96,2.622,2.872,2.872,3.687,52.891,12,3.869,4.219,20.855,3.853,400.54,13.467,4.041,3.252,4.78,1.192,88.97,8.599,3.921,194.858,194.858,1.702,38.672,3.452,6.199,3.414,11.265,149.666,2,1.885,0,3.427,2.5,40.828,2.962,3.664,38.0,19394.0,2.455,0.135,1.109,3.603,17.5,1.89,2.279,2.279,1.052,41.398
4.034,0.75,1.091,4.28,0.091,3.269,6.132,7.423,3.88,3.671,2.932,2.932,4.22,4.905,32.336,143.033,4.977,3.648,3.648,13.111,58.446,2.783,2.922,2.922,3.947,59.408,22,3.84,4.434,21.52,3.78,425.57,14.567,4.181,3.454,4.922,1.805,95.918,8.752,3.907,143.033,143.033,1.736,47.073,3.445,8.166,3.802,13.111,143.033,3,2.222,0,3.806,2.921,49.681,3.198,3.738,41.0,20990.0,3.176,0.115,1.918,3.716,15.0,1.858,2.514,2.514,1.467,49.967
4.034,0.6,1.227,4.128,0.273,3.414,6.072,7.345,3.78,3.527,2.791,2.791,4.159,4.844,32.336,122.246,4.927,3.447,3.447,11.927,40.966,2.754,2.614,2.614,3.681,56.683,21,3.837,4.45,18.217,3.828,361.52,13.067,3.674,3.398,4.718,1.408,81.763,8.646,3.91,122.246,122.246,1.697,46.405,3.465,8.464,3.724,11.927,122.246,3,2.5,0,3.866,2.776,47.335,3.06,3.664,38.0,13517.0,3.099,0.119,1.618,3.577,13.5,1.875,2.432,2.432,1.455,47.613
4.034,0.6,1.16,4.528,0.16,3.73,6.544,7.891,4.074,4.199,3.149,3.149,4.684,5.373,90.948,202.822,5.306,4.445,4.445,19.226,85.675,2.952,3.722,3.722,4.405,84.259,25,4.325,4.715,27.467,3.885,548.79,18.767,4.313,3.826,5.218,2.052,125.137,9.281,4.052,202.822,202.822,1.789,61.106,3.785,12.91,4.551,17.265,165.737,3,2.923,0,4.663,3.214,64.144,3.346,4.043,56.0,35062.0,3.603,0.113,2.5,4.093,25.0,1.91,2.842,2.842,1.843,64.603
4.034,0.8,1.074,4.445,0.074,3.635,6.56,7.861,4.047,3.979,3.061,3.061,4.694,5.382,89.549,200.287,5.368,3.97,3.97,18.451,107.703,3.018,3.361,3.361,4.752,89.242,27,3.957,4.825,30.346,3.833,582.76,20.267,4.338,3.644,5.393,2.315,130.964,9.197,4.005,200.287,200.287,1.831,67.929,3.73,10.889,4.878,18.451,200.287,4,3.045,0,4.939,3.337,69.46,3.327,4.127,61.0,41681.0,3.596,0.095,2.5,4.008,26.5,1.906,2.67,2.67,1.916,70.138
4.034,1.0,1.0,4.173,0.0,3.116,6.231,7.535,3.832,3.851,2.861,2.861,4.413,5.1,45.097,158.482,5.014,3.76,3.76,12.306,43.583,2.779,3.414,3.414,3.919,64.476,22,3.891,4.448,19.51,3.825,389.52,13.786,3.745,3.406,4.825,1.304,87.402,8.874,3.945,158.482,158.482,1.725,46.569,3.649,7.34,4.037,12.928,158.482,4,2.5,0,4.272,2.769,48.212,3.01,3.784,43.0,16599.0,2.98,0.132,1.498,3.629,20.0,1.884,2.436,2.436,1.355,48.778
4.034,1.0,1.0,4.197,0.0,3.572,6.103,7.389,3.807,3.683,2.847,2.847,4.266,4.952,59.699,174.352,4.907,3.745,3.745,12.301,49.823,2.726,2.954,2.954,3.496,56.808,17,3.901,4.296,19.579,3.846,380.5,13.133,3.91,3.326,4.727,1.321,85.469,8.705,3.923,174.352,174.352,1.692,40.754,3.475,7.062,3.414,11.718,143.074,3,2.118,0,4.158,2.845,42.21,3.032,3.701,39.5,16993.0,2.485,0.134,1.199,3.612,20.5,1.868,2.35,2.35,1.425,43.068
4.034,1.0,1.0,3.953,0.0,3.023,5.914,7.198,3.626,3.373,2.657,2.657,4.003,4.687,32.336,123.772,4.76,3.489,3.489,10.424,46.703,2.585,2.424,2.424,3.662,47.838,17,3.831,4.249,17.537,3.742,341.49,11.9,3.658,3.168,4.609,1.077,76.304,8.522,3.899,123.772,123.772,1.683,38.311,3.39,6.842,3.395,10.424,123.772,3,2.0,0,3.51,2.5,39.194,2.966,3.541,33.5,10658.0,2.492,0.135,0.743,3.479,11.5,1.81,2.218,2.218,1.0,39.719
4.034,1.0,1.0,4.576,0.0,4.115,6.494,7.806,4.476,3.736,3.497,3.497,4.595,5.283,59.699,234.851,5.298,3.707,3.707,16.807,87.212,3.418,3.298,3.298,4.436,82.962,29,3.87,4.781,27.133,3.809,516.73,18.967,4.034,3.349,5.251,1.84,116.174,9.164,3.948,234.851,234.851,1.797,63.794,3.729,10.692,4.292,16.807,234.851,5,2.781,0,4.401,3.184,64.186,3.388,4.06,57.0,33108.0,3.385,0.098,2.5,3.882,27.0,1.894,2.386,2.386,1.764,65.211
4.034,1.0,1.0,4.259,0.0,3.778,6.343,7.637,3.912,3.969,2.952,2.952,4.469,5.156,87.485,170.335,5.155,3.834,3.834,15.177,84.667,2.844,3.389,3.389,4.221,71.772,22,3.915,4.55,24.432,3.889,480.59,16.1,4.557,3.595,5.053,2.035,109.063,8.966,3.956,170.335,170.335,1.762,52.677,3.741,8.799,4.143,14.626,139.057,4,2.5,0,4.209,2.929,54.957,3.105,3.922,49.5,29400.0,3.277,0.11,2.33,3.856,22.5,1.881,2.627,2.627,1.512,55.926
4.034,0.667,1.143,4.55,0.143,3.777,6.311,7.646,4.057,3.891,3.099,3.099,4.425,5.112,143.071,126.236,5.067,4.336,4.336,12.719,80.248,2.965,3.199,3.199,3.81,64.175,14,3.991,4.432,21.836,3.64,408.45,13.767,4.384,3.547,4.881,1.813,91.327,9.02,4.024,126.236,126.236,1.727,45.691,3.422,6.458,4.106,12.719,126.236,2,2.487,0,4.414,3.032,47.625,3.053,3.818,44.5,20671.0,2.811,0.139,1.847,3.644,19.5,1.7,2.565,2.565,1.474,49.656
4.034,0.75,1.15,4.124,0.2,3.374,6.086,7.37,3.913,3.788,2.945,2.945,4.19,4.875,32.606,132.736,4.913,3.458,3.458,12.221,43.397,2.85,3.047,3.047,3.991,55.653,19,3.906,4.373,19.303,3.823,380.95,13.348,3.674,3.414,4.725,1.484,83.597,8.684,3.91,171.884,171.884,1.709,43.2,3.552,7.962,3.707,11.812,132.736,3,2.257,0,3.845,2.816,45.077,2.974,3.664,38.0,12636.0,2.746,0.127,1.114,3.594,14.5,1.871,2.46,2.46,1.352,45.49
4.034,0.8,1.077,4.174,0.077,3.449,6.348,7.648,3.795,4.035,2.839,2.839,4.505,5.193,81.309,184.709,5.15,3.709,3.709,14.876,50.311,2.733,3.635,3.635,4.171,72.568,26,4.024,4.546,23.139,3.832,461.59,15.833,4.046,3.592,5.007,1.727,106.358,8.982,3.891,184.709,184.709,1.759,52.332,3.767,8.577,4.411,14.292,153.431,4,2.5,0,4.635,3.07,55.322,3.038,3.912,49.0,24501.0,3.223,0.111,2.118,3.846,23.5,1.859,2.64,2.64,1.537,56.092
4.322,0.5,1.211,4.457,0.211,3.341,6.078,7.407,4.067,3.604,3.099,3.099,4.259,4.945,0.0,123.818,4.86,4.149,4.149,10.72,29.491,2.996,2.952,2.952,3.439,54.287,19,3.911,4.318,17.389,3.551,336.47,11.967,3.74,3.231,4.618,1.413,76.494,8.776,3.957,123.818,123.818,1.679,40.058,3.223,6.674,3.6,10.72,123.818,2,1.85,0,3.818,2.809,41.81,3.019,3.611,36.0,10332.0,2.335,0.163,0.937,3.502,15.0,1.903,2.27,2.27,1.349,42.076
4.034,1.0,1.0,4.07,0.0,3.403,5.917,7.17,3.776,3.515,2.832,2.832,4.021,4.705,29.85,145.223,4.785,3.548,3.548,11.385,44.072,2.675,2.674,2.674,3.722,49.576,17,3.872,4.218,18.709,3.671,371.6,12.867,3.674,3.165,4.666,1.205,82.792,8.455,3.883,145.223,145.223,1.694,38.911,3.563,7.904,3.414,10.802,113.945,3,2.109,0,3.488,2.5,40.814,2.927,3.57,34.5,11240.0,2.425,0.13,0.814,3.596,12.0,1.75,2.248,2.248,1.042,41.465
4.034,0.75,1.091,4.26,0.091,3.665,6.389,7.728,4.111,4.064,3.12,3.12,4.454,5.142,110.623,165.327,5.153,3.775,3.775,14.979,85.368,3.091,3.484,3.484,4.154,68.778,22,3.856,4.647,23.75,3.789,445.56,15.533,4.229,3.673,5.01,1.761,98.441,9.096,3.92,165.327,165.327,1.759,53.577,3.615,9.092,4.31,14.979,165.327,3,2.721,0,4.895,3.161,54.226,3.047,3.871,47.0,21638.0,3.387,0.114,1.802,3.741,21.0,1.881,2.689,2.689,1.781,55.583
4.034,1.0,1.0,4.408,0.0,3.27,6.147,7.446,4.021,3.496,3.055,3.055,4.216,4.902,71.77,117.789,4.982,3.657,3.657,12.692,68.922,2.952,2.698,2.698,4.001,59.091,23,3.85,4.468,20.813,3.677,429.59,14.486,3.808,3.37,4.926,1.596,95.461,8.784,3.935,117.789,117.789,1.74,47.761,3.619,8.693,3.802,13.326,117.789,4,2.118,0,4.124,2.798,50.151,3.179,3.726,40.5,19279.0,3.196,0.12,2.0,3.721,11.5,1.849,2.431,2.431,1.42,50.68
4.034,1.0,1.0,4.159,0.0,3.634,6.103,7.394,3.782,3.659,2.789,2.789,4.266,4.952,83.505,167.708,4.907,3.746,3.746,12.863,52.715,2.754,3.014,3.014,3.903,57.251,17,4.265,4.264,20.579,3.854,445.38,14.067,3.696,3.189,4.725,1.393,93.801,8.721,3.908,213.662,213.662,1.695,40.207,3.792,8.048,3.544,11.496,182.385,3,2.5,0,3.831,2.624,42.874,2.952,3.701,39.5,17151.0,2.46,0.14,1.114,3.748,18.0,1.875,2.29,2.29,1.126,43.247
4.034,0.75,1.05,4.842,0.0,4.676,6.237,7.654,4.32,3.674,3.393,3.393,4.256,4.942,88.626,79.644,4.959,4.671,4.671,15.479,73.335,3.153,3.114,3.114,3.86,55.586,21,4.703,4.445,19.623,3.815,412.63,13.3,4.021,3.555,4.725,1.174,95.88,9.112,4.006,79.644,79.644,1.7,44.044,3.69,12.022,3.732,12.86,68.029,3,2.0,0,3.888,2.54,45.88,3.174,3.638,37.0,13336.0,2.977,0.159,1.0,3.945,12.0,1.908,2.58,2.58,1.295,45.658
4.034,1.0,1.0,4.249,0.0,3.271,5.969,7.27,3.855,3.462,2.894,2.894,3.998,4.682,43.336,103.587,4.816,3.656,3.656,11.234,72.652,2.774,2.475,2.475,3.758,49.227,18,3.822,4.323,19.115,3.625,393.55,13.019,3.766,3.333,4.774,1.589,86.34,8.607,3.892,103.587,103.587,1.712,41.33,3.405,7.927,3.706,11.764,103.587,3,2.0,0,3.802,2.43,43.672,3.016,3.555,34.0,14763.0,2.714,0.13,1.105,3.614,8.0,1.841,2.404,2.404,1.331,43.846
4.034,1.0,1.0,4.353,0.0,3.69,6.057,7.394,4.005,3.59,3.093,3.093,4.171,4.856,74.084,178.027,4.81,3.709,3.709,11.531,38.643,2.831,2.88,2.88,3.671,50.029,16,4.009,4.195,17.577,3.715,344.49,11.633,3.825,3.17,4.495,1.689,74.525,8.766,3.822,178.027,178.027,1.658,35.809,3.388,7.095,3.414,10.356,100.615,3,1.348,0,4.412,2.619,38.36,2.755,3.541,33.5,9512.0,2.152,0.174,0.558,3.528,14.5,1.694,2.225,2.225,1.158,39.04
4.034,0.6,1.16,4.541,0.16,4.095,6.534,7.889,4.186,4.033,3.221,3.221,4.541,5.228,66.239,179.804,5.282,4.102,4.102,16.362,84.054,3.131,3.486,3.486,4.455,74.332,25,3.986,4.717,25.259,3.78,484.67,17.1,4.314,3.672,5.097,2.462,108.013,9.275,3.956,179.804,179.804,1.779,57.349,3.588,11.34,4.924,15.746,148.527,3,2.834,0,5.199,3.433,59.211,3.152,3.961,51.5,22497.0,3.481,0.112,2.409,3.865,21.0,1.823,2.711,2.711,1.927,62.704
4.034,1.0,1.0,4.082,0.0,3.71,6.343,7.629,3.845,3.852,2.86,2.86,4.431,5.118,87.601,160.809,5.17,3.545,3.545,15.364,95.957,2.826,3.114,3.114,4.433,72.148,24,3.848,4.639,25.493,3.787,486.67,17.1,4.121,3.512,5.138,1.809,108.117,8.947,3.92,160.809,160.809,1.784,56.991,3.741,9.484,3.942,15.364,160.809,4,2.5,0,4.428,3.09,57.772,3.257,3.932,50.0,26505.0,3.247,0.101,2.276,3.815,19.0,1.888,2.513,2.513,1.739,58.652
4.034,1.0,1.0,4.072,0.0,3.594,6.095,7.393,3.666,3.626,2.71,2.71,4.174,4.86,62.186,133.518,4.92,3.661,3.661,13.074,67.244,2.587,2.869,2.869,3.754,55.908,18,3.944,4.367,21.692,3.778,459.42,14.633,3.795,3.207,4.828,1.295,95.64,8.731,3.908,179.472,179.472,1.717,43.361,3.65,8.234,3.664,12.257,179.472,3,2.069,0,3.802,2.66,45.54,3.028,3.689,39.0,18259.0,2.812,0.128,1.186,3.74,15.5,1.861,2.242,2.242,1.203,45.782
4.034,1.0,1.0,4.21,0.0,3.564,6.315,7.643,3.932,3.894,2.962,2.962,4.449,5.136,90.568,181.941,5.097,3.791,3.791,15.653,87.846,2.879,3.436,3.436,4.049,67.885,18,3.897,4.497,24.097,3.831,467.64,15.867,4.308,3.458,5.014,1.637,107.057,9.015,3.95,181.941,181.941,1.751,49.474,3.725,9.373,3.726,14.352,176.134,3,2.5,0,4.162,2.862,51.456,3.214,3.871,47.0,25714.0,3.247,0.134,2.118,3.899,23.5,1.9,2.508,2.508,1.428,51.782
4.034,0.5,1.211,4.194,0.211,3.338,6.228,7.559,4.012,3.72,3.015,3.015,4.321,5.007,75.813,114.486,5.001,3.584,3.584,12.583,57.319,3.007,3.075,3.075,3.86,59.683,19,3.853,4.485,19.999,3.644,380.49,13.1,3.925,3.323,4.778,1.927,84.384,8.922,3.95,114.486,114.486,1.71,46.18,3.331,7.729,4.463,12.583,114.486,2,2.205,0,4.879,2.908,47.289,3.096,3.714,40.0,14401.0,2.711,0.149,1.122,3.608,14.5,1.904,2.375,2.375,1.836,48.245
4.034,0.75,1.095,4.528,0.095,3.73,6.426,7.773,4.073,3.783,3.149,3.149,4.541,5.228,90.948,169.979,5.198,4.445,4.445,17.488,104.546,2.949,3.207,3.207,4.353,75.051,21,4.326,4.61,25.605,3.79,532.77,17.552,4.296,3.516,5.139,1.819,119.716,9.164,4.043,169.979,169.979,1.777,55.884,3.69,12.566,4.504,16.137,132.894,3,2.567,0,4.662,3.192,59.396,3.29,3.932,50.0,30445.0,3.403,0.122,2.0,4.053,19.0,1.875,2.56,2.56,1.744,59.515
4.034,0.4,1.273,4.571,0.273,3.141,6.336,7.687,4.05,3.731,3.107,3.107,4.57,5.257,65.4,124.599,5.083,4.538,4.538,12.667,37.08,2.934,3.196,3.196,4.023,69.906,22,4.02,4.476,19.957,3.748,386.5,13.733,3.941,3.303,4.823,1.535,88.995,9.085,4.051,124.599,124.599,1.729,47.693,3.439,7.126,3.764,12.667,124.599,2,2.623,0,4.46,2.966,50.192,2.959,3.839,45.5,14514.0,3.134,0.147,1.739,3.656,20.5,1.889,2.35,2.35,1.537,50.385
4.034,0.75,1.095,4.134,0.095,3.09,6.116,7.4,3.804,3.603,2.85,2.85,4.287,4.973,34.796,127.934,4.956,3.691,3.691,12.384,38.651,2.726,2.911,2.911,3.886,60.235,21,3.878,4.395,20.761,3.707,405.65,14.5,3.88,3.405,4.875,1.417,91.264,8.726,3.942,127.934,127.934,1.729,46.05,3.478,8.17,3.625,12.384,127.934,3,2.284,0,3.822,2.759,48.198,3.118,3.738,41.0,16186.0,3.0,0.139,1.618,3.667,15.0,1.892,2.434,2.434,1.468,48.215
4.034,1.0,1.0,4.231,0.0,2.992,6.176,7.463,3.852,3.733,2.865,2.865,4.376,5.063,45.097,157.186,4.987,3.862,3.862,12.401,35.951,2.827,3.262,3.262,3.781,63.13,22,3.858,4.415,20.054,3.825,385.56,14.0,3.674,3.303,4.824,1.343,87.771,8.791,3.923,157.186,157.186,1.722,45.817,3.636,7.403,3.735,12.401,157.186,4,2.451,0,3.903,2.78,47.029,3.141,3.784,43.0,16196.0,2.974,0.133,1.806,3.62,20.0,1.888,2.314,2.314,1.477,47.562
4.034,1.0,1.0,4.099,0.0,3.045,5.989,7.28,3.708,3.461,2.748,2.748,4.073,4.758,60.77,119.842,4.826,3.647,3.647,11.412,52.312,2.639,2.541,2.541,3.755,51.145,17,3.846,4.313,19.115,3.774,369.56,12.867,3.675,3.277,4.72,1.114,81.91,8.608,3.917,119.842,119.842,1.702,40.962,3.401,7.638,3.569,11.412,119.842,3,2.059,0,3.802,2.5,42.237,3.057,3.597,35.5,13198.0,2.762,0.128,1.017,3.554,11.5,1.836,2.353,2.353,1.095,42.731
4.034,1.0,1.0,4.058,0.0,3.194,6.054,7.302,3.796,3.59,2.828,2.828,4.212,4.898,0.0,162.229,4.916,3.54,3.54,11.765,40.314,2.74,2.685,2.685,3.643,58.138,24,3.85,4.363,19.184,3.729,372.55,13.633,3.674,3.278,4.777,1.179,84.623,8.581,3.921,162.229,162.229,1.711,44.396,3.652,7.487,3.45,11.765,162.229,4,2.5,0,3.555,2.781,45.722,3.01,3.714,40.0,14142.0,3.239,0.121,1.663,3.576,18.0,1.89,2.278,2.278,1.317,46.151
4.034,0.667,1.133,4.18,0.133,3.316,6.14,7.441,3.935,3.709,2.967,2.967,4.301,4.987,48.35,144.793,4.934,3.701,3.701,12.313,48.724,2.874,2.989,2.989,3.652,58.348,15,3.891,4.306,20.596,3.612,398.93,13.481,3.986,3.341,4.783,1.432,87.954,8.782,3.954,183.941,183.941,1.707,41.562,3.569,6.906,3.614,11.942,144.793,2,2.185,0,3.718,2.83,44.422,3.005,3.714,40.0,17064.0,2.547,0.153,1.24,3.626,17.5,1.864,2.348,2.348,1.243,45.026
4.034,0.6,1.154,4.565,0.154,3.327,6.344,7.674,4.12,3.762,3.15,3.15,4.543,5.231,45.342,132.043,5.115,4.485,4.485,13.385,44.494,3.057,3.095,3.095,3.622,70.685,26,4.034,4.524,20.665,3.663,399.49,14.167,3.943,3.414,4.882,1.562,91.596,9.043,4.066,132.043,132.043,1.727,49.845,3.574,7.535,4.03,13.385,132.043,3,2.714,0,4.509,3.074,51.667,3.135,3.871,47.0,18871.0,3.414,0.136,2.0,3.681,24.0,2.014,2.47,2.47,1.411,51.826
7.367,0.5,1.2,3.793,0.2,3.014,5.417,6.748,3.318,3.082,2.442,2.442,3.57,4.248,18.011,35.901,4.182,3.11,3.11,6.46,14.814,2.087,2.284,2.284,1.634,27.054,10,3.603,3.517,10.422,3.392,216.08,6.629,2.629,2.682,3.677,-0.435,44.591,8.111,3.481,114.198,114.198,1.489,18.552,3.109,3.499,1.747,5.756,35.901,1,-0.17,1,2.34,0.593,20.972,1.898,2.944,18.0,2141.0,0.706,0.297,-0.821,3.014,8.0,1.322,1.736,1.736,-0.521,21.154
4.034,1.0,1.0,4.38,0.0,3.168,5.989,7.288,4.027,3.389,3.031,3.031,4.073,4.758,43.336,130.422,4.826,3.647,3.647,11.088,53.422,3.021,2.458,2.458,3.621,50.907,17,3.826,4.317,19.115,3.651,371.52,12.733,3.633,3.116,4.725,1.414,83.304,8.632,3.91,130.422,130.422,1.703,40.746,3.402,7.154,3.617,11.088,130.422,3,2.067,0,3.773,2.447,42.035,3.05,3.597,35.5,13135.0,2.781,0.139,1.209,3.563,11.5,1.83,2.14,2.14,1.243,42.52
4.034,0.75,1.095,4.531,0.095,3.73,6.438,7.782,4.076,3.803,3.151,3.151,4.551,5.239,90.948,175.404,5.215,4.447,4.447,18.291,98.258,2.952,3.235,3.235,4.362,76.159,21,4.326,4.641,27.182,3.79,542.84,18.267,4.29,3.52,5.178,1.819,122.078,9.173,4.05,175.404,175.404,1.784,57.41,3.69,13.11,4.508,16.307,138.318,3,2.567,0,4.663,3.199,60.47,3.401,3.951,51.0,30347.0,3.403,0.119,2.007,4.068,19.0,1.917,2.562,2.562,1.758,60.545
4.034,1.0,1.0,4.205,0.0,3.781,6.257,7.546,3.905,3.941,2.942,2.942,4.401,5.088,29.85,161.734,5.066,3.631,3.631,14.454,79.414,2.845,3.461,3.461,4.367,66.61,18,3.939,4.46,24.087,3.871,497.43,15.933,4.105,3.443,4.972,1.855,104.633,8.868,3.946,207.688,207.688,1.751,48.26,3.829,8.407,3.778,13.713,207.688,3,2.5,0,3.941,2.892,50.434,3.14,3.85,46.0,22922.0,3.247,0.12,1.839,3.819,23.0,1.891,2.497,2.497,1.39,50.838
4.034,0.75,1.1,4.223,0.1,3.915,5.993,7.333,3.8,3.597,2.869,2.869,4.094,4.779,0.0,141.263,4.771,3.749,3.749,10.487,29.632,2.681,2.926,2.926,3.273,48.602,20,3.835,4.2,15.51,3.762,311.46,10.967,3.674,3.215,4.427,1.133,70.189,8.716,3.886,141.263,141.263,1.651,36.258,3.351,7.093,3.414,9.93,109.044,3,1.619,0,3.474,2.5,38.477,2.715,3.497,32.0,6669.0,2.318,0.165,0.5,3.475,13.5,1.871,2.282,2.282,1.0,38.815
4.034,0.75,1.105,4.653,0.105,3.779,6.222,7.586,4.101,3.871,3.21,3.21,4.363,5.05,74.163,130.691,4.968,4.486,4.486,14.302,60.273,2.829,3.367,3.367,4.349,59.624,19,4.387,4.32,19.415,3.85,409.94,13.114,3.866,3.46,4.674,1.5,93.482,8.991,4.05,169.84,169.84,1.699,41.399,3.562,9.969,3.725,12.043,93.368,3,2.118,0,3.791,2.686,44.929,2.838,3.701,39.5,13066.0,2.657,0.158,1.0,3.841,16.5,1.806,2.464,2.464,1.31,44.825
4.034,0.8,1.074,4.381,0.074,3.117,6.318,7.624,3.98,3.824,3.01,3.01,4.491,5.179,111.541,129.638,5.115,3.966,3.966,14.137,48.671,2.918,3.381,3.381,4.193,70.315,27,3.913,4.56,22.079,3.763,429.58,15.133,3.883,3.416,4.969,1.594,97.825,8.968,3.962,129.638,129.638,1.755,51.974,3.646,8.47,4.286,14.137,129.638,4,2.555,0,4.568,2.944,54.013,3.04,3.871,47.0,18815.0,3.337,0.125,2.0,3.751,20.5,1.885,2.48,2.48,1.515,54.484
4.034,1.0,1.0,4.341,0.0,3.22,6.09,7.378,3.981,3.7,3.04,3.04,4.223,4.909,40.328,137.583,4.922,3.464,3.464,11.828,41.651,2.861,3.197,3.197,3.702,57.446,23,3.866,4.381,19.236,3.747,375.56,13.533,3.674,3.373,4.777,1.162,85.029,8.704,3.949,137.583,137.583,1.707,43.975,3.633,8.001,3.548,11.828,137.583,4,2.269,0,3.764,2.567,45.392,2.99,3.701,39.5,15040.0,3.247,0.131,1.595,3.587,16.0,1.829,2.431,2.431,1.152,45.847
4.034,0.75,1.095,4.162,0.095,3.11,6.165,7.448,3.763,3.594,2.8,2.8,4.311,4.997,0.0,159.847,4.987,3.774,3.774,12.479,47.054,2.697,2.888,2.888,3.804,61.489,21,3.852,4.403,20.217,3.798,387.52,13.867,3.892,3.321,4.827,1.49,87.635,8.767,3.916,159.847,159.847,1.721,45.6,3.492,7.225,3.673,12.479,159.847,3,2.5,1,3.793,2.877,47.594,3.001,3.761,42.0,16220.0,2.999,0.126,1.652,3.619,21.0,1.88,2.371,2.371,1.428,48.254
4.034,0.8,1.071,4.655,0.071,3.824,6.571,7.912,4.233,3.943,3.275,3.275,4.677,5.366,140.233,182.702,5.34,4.259,4.259,18.933,108.755,3.055,3.457,3.457,4.462,85.026,28,3.995,4.778,27.82,3.851,544.68,18.6,4.683,3.58,5.246,2.279,125.271,9.294,3.986,182.702,182.702,1.798,63.492,3.756,11.17,4.815,17.632,176.894,4,2.897,0,4.961,3.446,64.971,3.339,4.078,58.0,38105.0,3.482,0.11,2.5,4.057,27.5,1.935,2.605,2.605,2.039,65.705
4.034,1.0,1.0,4.12,0.0,3.11,6.161,7.434,3.801,3.643,2.819,2.819,4.311,4.997,0.0,191.884,4.994,3.684,3.684,13.288,57.539,2.768,2.911,2.911,3.941,62.311,18,3.867,4.439,22.924,3.771,433.64,15.4,3.899,3.341,4.966,1.553,96.571,8.742,3.929,191.884,191.884,1.749,47.377,3.479,8.268,3.885,13.288,191.884,3,2.5,0,4.221,2.883,49.23,3.21,3.784,43.0,20398.0,2.752,0.116,1.629,3.696,19.5,1.892,2.399,2.399,1.451,49.684
4.034,0.8,1.071,4.271,0.071,3.847,6.378,7.677,3.884,3.894,2.909,2.909,4.543,5.231,76.417,220.978,5.182,3.908,3.908,14.603,61.179,2.84,3.442,3.442,4.347,74.996,28,3.964,4.583,22.976,3.804,471.59,16.486,4.036,3.454,5.056,1.829,108.275,9.009,3.898,220.978,220.978,1.767,53.936,3.795,8.768,4.385,14.647,188.759,4,2.71,0,4.61,2.988,56.633,3.081,3.951,51.0,25601.0,3.247,0.107,2.434,3.849,27.5,1.865,2.524,2.524,1.54,57.168
