pXC50,Se,Si,Sv,nBT,Sp,nH,MW,nC,nBO,nAT,RBN
9.595,91.174,101.84,56.803,93,59.665,41,714.33,35,52,90,15
7.398,62.898,69.734,41.729,67,43.722,27,477.59,31,40,63,6
9.658,77.97,86.889,52.901,84,55.086,31,617.76,38,53,78,9
7.097,61.571,68.524,41.014,66,43.267,27,461.59,31,39,62,6
6.222,50.247,55.488,33.149,53,34.438,21,387.46,24,32,50,4
9.783,88.196,98.323,55.474,90,58.398,39,744.75,34,51,87,14
5.051,54.571,61.355,36.068,59,38.091,24,408.54,26,35,55,4
6.721,78.898,86.029,52.409,80,52.972,27,714.17,33,53,76,11
7.77,78.465,85.87,52.592,81,54.773,30,693.65,34,51,77,12
8.854,90.661,101.501,56.42,93,59.728,42,696.34,35,51,90,15
8.638,85.007,93.99,55.952,88,58.847,35,720.73,36,53,84,13
6.873,90.45,100.876,58.178,94,61.512,40,714.35,38,54,90,14
6.971,90.778,100.271,60.086,94,62.108,35,774.32,40,59,89,13
7.0,86.221,95.065,56.274,88,57.801,33,740.26,36,55,84,12
6.409,74.029,81.535,49.657,77,52.108,29,650.63,32,48,73,10
8.638,87.891,97.405,57.479,91,60.608,37,734.76,37,54,87,13
8.357,83.123,91.575,55.425,87,58.085,33,718.71,36,54,82,12
8.0,86.68,95.78,58.237,91,61.392,35,740.76,39,56,86,13
6.848,73.705,81.591,48.829,77,51.25,30,616.19,32,47,73,10
7.237,78.127,86.025,51.506,80,52.824,29,684.19,33,51,76,10
6.733,90.774,100.82,59.005,94,62.37,39,748.79,38,55,90,15
7.469,81.8,90.631,53.598,85,56.228,34,672.26,35,51,81,12
8.538,91.891,101.405,61.479,96,64.608,37,782.8,41,59,91,14
7.237,90.774,100.82,59.005,94,62.37,39,748.79,38,55,90,14
6.301,80.025,90.434,48.329,82,51.648,40,568.81,30,42,80,17
5.097,64.505,71.86,40.674,67,42.835,29,495.65,26,38,64,11
4.301,52.334,58.73,33.772,55,35.034,22,402.5,22,33,52,8
5.745,69.607,77.358,44.695,72,46.841,30,546.7,29,42,69,12
5.237,61.622,68.444,39.147,64,41.074,27,481.62,25,37,61,10
5.699,63.178,70.65,39.959,66,42.381,29,479.65,26,37,63,10
5.638,77.141,87.019,46.802,79,49.887,38,554.78,29,41,77,16
5.276,67.829,74.804,44.501,70,46.693,28,566.12,29,42,67,11
7.367,86.469,96.228,55.517,90,58.341,38,666.86,37,52,86,12
5.0,66.607,74.358,41.695,69,43.841,30,510.67,26,39,66,12
4.824,56.934,63.65,38.738,62,41.426,23,485.69,25,39,57,6
5.678,78.814,88.809,49.087,82,52.432,38,574.81,32,44,79,10
8.301,83.912,93.022,53.705,87,56.034,36,656.82,35,51,83,13
8.678,86.469,96.228,55.517,90,58.341,38,666.86,37,52,86,13
8.276,85.352,95.643,53.044,88,56.103,40,632.85,34,48,85,15
7.886,85.898,95.936,53.253,88,55.801,39,649.84,33,49,85,14
5.678,78.341,87.235,50.923,82,53.603,34,611.79,35,48,78,10
4.301,52.658,58.674,34.6,55,35.892,21,436.94,22,34,52,8
7.921,84.36,94.102,54.297,88,57.131,37,651.85,36,51,84,11
7.0,86.363,97.557,53.646,91,57.711,43,613.89,36,48,87,12
8.796,93.221,104.972,57.119,96,60.631,45,675.93,36,51,93,14
8.444,84.57,94.726,52.538,87,55.347,39,633.84,33,48,84,13
9.131,75.411,83.418,52.202,81,54.182,28,638.17,37,53,75,8
8.337,87.454,98.142,54.065,90,57.108,41,647.87,34,49,87,15
8.481,87.454,98.142,54.065,90,57.108,41,647.87,34,49,87,14
7.824,88.57,98.726,56.538,92,59.347,39,681.88,37,53,88,13
8.357,87.454,98.142,54.065,90,57.108,41,647.87,34,49,87,13
8.051,83.131,92.105,53.2,86,55.279,35,657.81,34,51,82,12
5.699,71.163,79.564,45.507,75,48.148,32,544.73,30,43,71,9
6.208,99.77,112.719,60.678,103,64.91,50,703.0,39,53,100,17
8.538,90.338,101.557,55.592,93,58.87,43,661.9,35,50,90,15
6.523,75.021,83.401,49.2,79,52.551,33,599.83,33,46,75,10
6.26,77.712,87.311,49.066,82,52.427,37,571.8,33,45,78,10
9.0,77.189,85.972,52.396,83,54.33,30,618.75,37,53,77,9
6.456,94.909,105.849,61.856,100,65.41,42,726.96,43,58,95,14
6.699,76.93,86.394,48.561,81,51.671,36,572.79,32,45,77,2
7.62,85.581,96.64,53.141,90,56.955,42,614.88,35,48,86,4
5.585,53.785,60.342,34.622,56,36.915,25,408.96,24,31,54,9
8.839,54.633,60.265,35.711,56,37.71,23,459.0,23,33,54,10
7.481,86.832,97.76,55.723,92,58.586,39,641.84,38,53,87,13
5.0,64.912,73.274,39.979,67,43.341,32,488.74,24,35,65,10
5.0,61.254,68.57,38.146,63,41.029,29,475.69,23,34,61,10
9.959,141.414,160.118,83.364,143,87.586,69,1008.36,47,74,140,28
5.0,61.331,68.49,38.333,63,41.676,29,495.75,22,34,61,11
5.0,59.698,66.364,37.334,61,39.722,27,477.66,22,34,59,11
5.0,55.487,61.74,35.092,57,37.506,25,447.63,21,32,55,9
5.0,61.254,68.57,38.146,63,41.029,29,475.69,23,34,61,9
5.0,59.927,67.361,37.431,62,40.574,29,459.69,23,33,60,10
4.921,40.134,45.096,25.041,41,26.631,19,306.82,16,22,40,7
5.222,54.309,60.321,34.884,56,36.852,24,424.56,23,32,54,10
8.42,77.814,87.809,48.087,81,51.432,38,562.8,31,43,78,12
7.678,54.865,61.527,34.696,57,37.159,26,410.58,23,31,55,9
6.658,80.123,88.017,52.334,81,52.534,28,702.73,34,53,77,10
7.31,89.025,99.434,57.329,94,60.648,40,676.9,39,54,89,3
7.125,93.236,104.058,59.571,98,62.864,42,706.93,40,56,93,5
6.42,75.912,84.207,47.899,77,49.176,31,616.72,30,46,74,12
4.699,53.0,59.893,34.859,57,36.375,22,410.53,23,35,53,6
6.367,78.778,86.503,52.844,82,54.608,29,690.82,35,53,77,10
6.523,77.239,84.602,50.807,78,50.773,26,688.7,33,52,74,10
9.236,90.85,101.896,55.975,93,58.807,42,679.89,35,51,90,14
8.523,94.734,106.312,58.502,97,61.569,44,705.93,37,53,94,17
7.699,75.04,84.52,45.781,77,48.881,37,539.76,29,40,75,13
6.097,68.658,76.936,44.584,73,47.04,31,505.66,32,42,69,9
5.699,65.781,73.149,43.256,70,45.483,29,491.62,32,41,66,7
5.699,61.571,68.524,41.014,66,43.267,27,461.59,31,39,62,6
7.022,82.949,93.344,53.196,88,55.824,37,615.8,36,51,83,13
6.523,81.956,91.803,54.449,88,56.853,34,634.8,38,54,82,11
9.341,89.072,99.342,55.781,91,58.659,40,699.31,35,51,88,15
4.301,55.218,62.145,35.299,58,36.796,24,416.53,23,34,55,9
5.824,74.047,82.979,47.034,78,49.909,34,558.76,31,44,74,10
5.0,66.723,73.943,43.168,69,45.08,28,532.67,28,41,66,11
4.721,62.549,70.81,39.364,66,41.83,30,442.61,27,36,63,7
4.959,62.549,70.81,39.364,66,41.83,30,442.61,27,36,63,7
10.0,101.618,113.727,64.029,105,67.33,46,768.0,42,59,101,18
7.921,72.48,81.049,45.082,74,47.978,34,560.17,28,40,72,13
8.699,69.785,78.03,43.111,71,45.296,32,529.69,27,39,69,13
6.367,95.447,106.683,59.812,99,63.08,44,712.94,39,55,95,17
7.125,73.029,80.792,46.372,74,47.415,29,602.69,29,45,71,11
6.886,84.236,94.244,52.764,87,55.006,37,654.82,34,50,83,10
8.0,58.396,64.918,37.647,60,38.767,23,488.58,24,37,57,6
7.337,80.352,89.828,50.237,82,52.245,35,628.78,32,47,79,11
9.658,100.836,112.81,63.524,104,66.574,45,768.99,41,59,100,18
6.585,73.218,80.032,49.145,75,50.705,26,675.2,31,49,71,10
8.252,90.774,100.82,59.005,94,62.37,39,748.79,38,55,90,13
9.282,89.618,99.635,55.991,91,58.358,39,716.3,34,52,88,15
9.756,82.429,91.492,52.42,84,54.875,35,716.69,32,49,81,12
5.523,54.403,61.276,34.968,57,36.279,23,418.52,23,34,54,8
4.523,62.65,71.138,40.439,68,42.66,28,464.63,27,40,63,6
5.0,57.781,63.844,37.216,58,36.483,19,506.48,23,39,55,8
9.214,89.618,99.635,55.991,91,58.358,39,716.3,34,52,88,15
6.292,82.73,93.092,54.756,89,57.404,35,633.82,38,54,83,10
7.432,74.93,84.394,46.561,78,49.671,36,548.77,30,42,75,11
8.0,66.069,73.524,43.739,70,46.171,28,524.69,30,42,66,7
4.699,53.0,59.893,34.859,57,36.375,22,410.53,23,35,53,6
4.699,53.0,59.893,34.859,57,36.375,22,410.53,23,35,53,6
6.886,71.912,80.274,46.979,76,50.341,32,572.81,31,44,72,9
6.824,75.912,84.274,50.979,81,54.341,32,620.85,35,49,76,9
4.602,63.262,70.029,42.399,67,45.057,26,530.72,28,41,63,7
7.523,50.974,57.315,34.025,55,36.017,21,415.57,22,34,51,5
5.398,66.145,73.444,43.926,70,46.818,28,544.75,29,42,66,7
6.046,69.029,76.859,45.453,73,48.58,30,558.78,30,43,69,8
7.097,72.156,81.105,44.254,74,47.12,35,525.73,28,39,72,13
8.0,69.272,77.69,42.727,71,45.358,33,511.7,27,38,69,13
7.699,76.356,84.816,46.893,77,48.727,34,586.73,28,43,75,15
7.155,72.967,83.886,42.998,76,46.637,40,464.72,28,36,74,10
8.347,76.621,87.304,45.427,79,48.546,40,508.73,29,39,77,11
6.301,66.178,73.65,42.959,69,45.381,29,515.68,29,40,66,10
6.155,54.12,60.778,35.61,57,37.694,23,479.42,23,34,54,8
9.398,76.945,87.248,46.255,79,49.404,39,543.17,29,40,77,11
7.699,71.97,81.059,44.847,75,47.262,34,514.68,30,41,72,8
8.046,72.156,81.105,44.254,74,47.12,35,525.73,28,39,72,13
8.262,72.669,81.445,44.637,74,47.057,34,543.72,28,40,72,13
7.699,73.712,82.156,45.994,75,48.926,34,620.62,28,41,73,14
8.0,76.367,85.73,46.496,78,49.336,37,555.76,29,41,76,14
6.301,54.214,60.88,35.412,57,37.199,23,434.97,23,34,54,8
6.0,56.774,64.351,36.111,60,38.103,26,414.56,24,34,57,8
7.086,85.923,99.796,46.588,87,51.114,52,496.83,27,35,87,17
8.569,76.85,87.146,46.452,79,49.898,39,587.62,29,40,77,11
8.155,76.69,87.025,46.744,79,51.205,39,634.62,29,40,77,11
8.108,80.832,91.929,47.669,83,50.762,42,538.76,30,41,81,12
8.0,69.432,78.225,44.89,74,47.591,32,504.68,32,42,70,4
7.824,80.061,91.925,46.766,83,50.614,44,508.78,30,39,81,12
8.854,76.621,87.304,45.427,79,48.546,40,508.73,29,39,77,11
6.111,66.683,74.278,41.882,68,44.489,30,530.73,25,38,66,11
7.824,65.087,73.644,39.32,67,41.5,32,452.61,25,35,65,7
8.398,73.996,82.654,45.352,75,47.512,34,559.72,28,41,73,14
7.456,86.043,97.554,50.91,88,53.978,44,580.8,32,44,86,14
6.745,80.276,90.723,47.857,82,50.455,40,552.74,30,42,80,12
6.77,60.436,67.398,38.74,63,40.216,26,458.56,26,37,60,4
9.222,76.85,87.146,46.452,79,49.898,39,587.62,29,40,77,11
8.77,76.621,87.304,45.427,79,48.546,40,508.73,29,39,77,11
8.569,86.683,98.138,53.162,90,56.961,43,617.89,34,47,87,16
8.377,79.36,89.102,49.297,82,52.131,37,591.8,31,45,79,14
8.0,53.781,60.81,35.364,58,37.131,23,409.54,24,35,54,5
8.252,82.243,92.517,50.824,85,53.892,39,605.83,32,46,82,14
9.347,90.567,102.553,55.689,95,59.722,45,643.93,36,50,91,15
7.481,74.603,84.185,46.846,79,50.216,36,544.78,31,43,75,9
7.757,83.799,94.723,51.636,87,55.199,41,603.86,33,46,84,15
6.046,85.279,96.839,54.315,91,57.682,40,612.85,37,51,86,13
8.652,85.127,95.932,52.35,88,55.654,41,619.86,33,47,85,15
8.69,60.447,68.311,38.342,64,40.824,29,427.59,27,35,61,7
8.0,51.796,58.066,33.762,55,35.54,23,385.5,24,32,52,5
6.854,82.73,93.092,54.756,89,57.404,35,633.82,38,54,83,10
9.262,86.083,96.066,53.922,89,56.284,38,663.84,34,51,85,12
8.745,83.316,92.236,53.868,86,55.762,34,671.81,35,52,82,12
9.611,87.967,98.481,54.449,90,57.046,40,665.86,34,50,87,12
8.62,90.338,101.557,55.592,93,58.87,43,661.9,35,50,90,14
9.668,93.734,105.312,57.502,96,60.569,44,693.92,36,52,93,14
8.979,85.083,95.066,52.922,87,55.284,38,651.83,33,49,84,11
4.5,53.781,60.81,35.364,58,37.131,23,409.54,24,35,54,5
8.983,86.083,96.066,53.922,88,56.284,38,663.84,34,50,85,11
9.0,54.309,60.321,34.884,56,36.852,24,424.56,23,32,54,10
7.495,80.065,89.929,51.669,85,54.063,35,601.77,35,50,80,12
7.328,82.949,93.344,53.196,88,55.824,37,615.8,36,51,83,13
6.824,74.298,83.099,48.616,79,50.54,31,573.71,33,48,74,10
5.0,68.189,76.972,43.396,72,45.33,30,510.66,28,42,68,9
6.854,81.4,90.767,52.583,86,54.722,35,617.76,36,51,81,12
4.301,52.658,58.674,34.6,55,35.892,21,436.94,22,34,52,8
7.155,83.167,93.427,53.691,89,56.069,36,628.8,36,53,83,10
6.783,80.389,89.873,52.497,85,54.921,34,636.21,35,51,80,12
6.903,77.956,87.803,50.449,83,52.853,34,586.76,34,49,78,10
8.377,79.309,87.962,49.809,80,50.875,32,648.74,31,48,77,11
7.0,82.454,92.327,51.259,84,53.25,36,643.8,32,48,81,14
8.517,82.123,90.575,54.425,85,57.085,33,706.7,35,52,81,12
6.569,75.912,84.207,47.899,77,49.176,31,616.72,30,46,74,12
7.097,77.738,85.838,50.558,80,53.017,31,676.87,31,49,76,10
6.301,76.701,84.583,50.657,80,51.961,29,646.74,34,51,75,9
5.824,78.24,86.417,49.613,79,50.631,31,644.73,31,48,76,13
6.0,64.825,71.626,42.383,66,43.228,24,555.63,27,42,63,9
6.347,66.258,72.696,43.431,67,44.296,24,593.07,27,43,64,9
8.31,93.658,104.235,60.532,97,64.131,41,762.82,39,56,93,15
6.796,81.352,90.828,51.237,84,53.245,35,640.79,33,49,80,10
6.824,74.585,82.998,47.184,76,48.722,31,600.72,30,45,73,10
6.523,72.894,80.088,48.317,75,49.847,27,640.76,31,48,71,10
6.959,76.029,83.792,49.372,78,50.415,29,638.72,32,49,74,10
6.921,73.145,80.377,47.845,75,48.654,27,624.69,31,48,71,10
6.284,76.025,83.527,50.484,78,51.818,28,669.17,33,50,74,10
8.796,87.891,97.405,57.479,91,60.608,37,734.76,37,54,87,14
8.708,85.189,94.112,55.448,87,57.04,33,729.25,36,54,83,12
8.092,87.447,97.868,54.006,89,56.222,39,672.84,34,50,86,13
7.347,75.93,83.424,50.682,78,52.313,28,713.62,33,50,74,10
6.77,78.796,87.623,49.425,80,50.938,33,630.75,31,47,77,12
7.222,80.45,88.226,52.048,81,51.989,28,706.72,33,53,77,10
7.06,73.542,79.976,49.972,75,51.563,25,709.64,31,50,71,10
4.959,71.043,79.713,45.147,74,48.313,33,553.18,29,41,71,10
6.284,72.818,80.168,48.13,75,49.199,27,620.7,32,48,71,9
5.62,77.105,84.712,50.559,79,52.063,29,670.79,32,50,75,11
7.456,74.854,82.423,49.031,77,51.256,29,662.84,30,48,73,10
7.523,73.218,80.032,49.145,75,50.705,26,675.2,31,49,71,10
6.721,88.352,97.828,58.237,92,60.245,35,724.86,40,57,87,12
6.481,85.469,94.413,56.711,89,58.483,33,710.83,39,56,84,11
5.187,88.334,97.457,56.382,90,57.608,35,724.82,36,55,86,13
6.523,75.701,83.583,49.657,78,50.961,29,634.73,33,49,74,10
6.398,76.92,84.666,51.152,79,52.205,28,659.74,34,51,75,10
6.824,76.025,83.527,50.484,78,51.818,28,669.17,33,50,74,10
7.097,75.778,83.503,49.844,78,51.608,29,654.79,32,49,74,10
4.62,59.509,66.053,39.039,62,41.267,25,497.06,25,37,59,8
6.553,76.912,85.207,48.899,79,50.176,31,628.73,31,48,75,10
6.796,77.469,86.413,48.711,79,50.483,33,614.75,31,46,76,10
6.155,73.145,80.377,47.845,75,48.654,27,624.69,31,48,71,10
9.824,101.283,114.059,62.061,104,65.847,49,733.0,40,55,101,19
6.796,79.029,86.792,52.372,82,53.415,29,674.75,35,53,77,10
6.959,72.701,80.583,46.657,75,47.961,29,598.7,30,46,71,10
6.886,79.57,88.911,49.732,81,51.489,34,629.77,31,47,78,10
7.0,75.585,83.998,48.184,78,49.722,31,612.73,31,47,74,10
7.076,73.352,79.771,50.368,75,52.551,25,798.54,31,50,71,10
9.745,102.399,114.644,64.534,106,68.086,47,767.01,43,59,102,18
9.0,100.501,113.142,61.556,103,65.091,48,733.99,39,55,100,18
9.0,99.988,112.802,61.172,103,65.154,49,716.0,39,54,100,19
8.398,101.283,114.059,62.061,104,65.847,49,733.0,40,55,101,19
5.0,53.214,59.88,34.412,56,36.199,23,422.96,22,33,53,8
