pXC50,Mi,C.,nHet,nAT,nN,nCsp3,Mp,nBM,Mv,nC,nBO,Sp,Sv,Se,Si,nSK,nCsp2,nBT,nAB,MW,RBN,nH
5.398,1.152,34.0,10,50,9,5,0.637,17,0.612,17,29,31.836,30.595,50.429,57.601,27,12,52,17,369.49,8,23
5.8,1.115,46.9,5,49,3,3,0.689,20,0.658,23,31,33.779,32.235,48.912,54.651,28,20,52,18,371.47,3,21
5.8,1.115,46.9,5,49,3,3,0.689,20,0.658,23,31,33.779,32.235,48.912,54.651,28,20,52,18,371.47,3,21
5.8,1.114,47.8,5,46,3,2,0.696,20,0.668,22,30,32.017,30.708,46.029,51.235,27,20,49,18,357.44,3,19
5.6,1.151,34.9,10,43,8,6,0.646,16,0.633,15,28,27.762,27.235,43.887,49.481,25,9,46,15,342.41,3,18
5.8,1.109,50.8,6,59,5,4,0.718,30,0.688,30,41,42.336,40.563,58.789,65.438,36,25,64,28,469.58,3,23
5.6,1.137,38.7,9,62,7,11,0.65,15,0.619,24,37,40.324,38.374,62.087,70.474,33,13,66,12,447.6,5,29
5.0,1.123,42.4,8,66,6,7,0.686,24,0.642,28,40,45.273,42.352,65.618,74.102,36,21,70,23,498.71,7,30
7.854,1.124,43.3,7,67,5,7,0.669,24,0.633,29,40,44.836,42.385,66.65,75.308,36,22,71,22,481.65,6,31
5.824,1.134,41.5,12,82,4,13,0.653,21,0.635,34,51,53.569,52.097,83.418,92.987,46,21,87,17,634.74,12,36
5.0,1.14,40.9,11,66,5,9,0.671,22,0.647,27,42,44.296,42.722,67.265,75.247,38,18,70,21,543.67,7,28
8.004,1.133,39.4,8,66,6,12,0.649,15,0.612,26,37,42.841,40.406,65.752,74.806,34,13,69,11,460.64,6,32
5.0,1.123,41.4,10,58,4,5,0.682,23,0.657,24,37,39.557,38.115,58.956,65.112,34,19,61,22,480.59,8,24
7.119,1.123,44.4,5,45,4,4,0.679,18,0.645,20,28,30.569,29.015,44.803,50.524,25,16,48,16,332.44,3,20
6.658,1.151,38.5,12,39,6,0,0.691,20,0.701,15,29,26.966,27.334,41.229,44.878,27,15,41,17,394.4,4,12
8.824,1.131,38.5,10,78,6,12,0.657,24,0.614,30,44,51.228,47.889,77.807,88.181,40,18,82,22,562.81,9,38
8.943,1.133,38.0,11,71,7,9,0.661,24,0.624,27,42,46.949,44.33,71.258,80.434,38,18,75,22,535.74,8,33
9.301,1.121,45.5,6,44,4,2,0.688,22,0.664,20,29,30.262,29.203,44.247,49.318,26,18,47,22,346.42,5,18
9.77,1.125,43.6,8,55,5,5,0.677,23,0.654,24,36,37.245,35.993,55.443,61.857,32,19,59,22,429.52,5,23
8.678,1.125,41.2,9,51,5,3,0.689,24,0.66,21,33,35.131,33.653,51.636,57.361,30,18,54,22,423.54,6,21
9.638,1.125,43.4,7,53,5,5,0.675,22,0.647,23,34,35.79,34.278,53.116,59.647,30,18,57,22,401.51,5,23
9.328,1.131,40.6,8,64,6,8,0.657,22,0.623,26,38,42.08,39.88,63.869,72.391,34,18,68,22,458.62,7,30
9.456,1.125,43.4,7,53,5,5,0.675,22,0.647,23,34,35.79,34.278,53.116,59.647,30,18,57,22,401.51,5,23
9.097,1.129,42.1,7,57,6,6,0.668,22,0.634,24,35,38.103,36.111,56.774,64.351,31,18,61,22,414.56,5,26
9.268,1.131,40.6,8,64,6,8,0.657,22,0.623,26,38,42.08,39.88,63.869,72.391,34,18,68,22,458.62,7,30
9.0,1.138,38.0,12,71,7,9,0.66,24,0.63,27,43,46.887,44.713,71.77,80.774,39,18,75,22,553.73,8,32
9.301,1.136,40.6,9,64,6,8,0.657,22,0.629,26,39,42.017,40.263,64.381,72.731,35,18,68,22,476.61,7,29
9.444,1.138,37.7,12,77,7,11,0.655,24,0.62,29,45,50.41,47.767,77.538,87.604,41,18,81,22,581.79,9,36
8.432,1.136,39.1,11,64,7,7,0.67,24,0.64,25,40,42.909,40.945,64.676,72.734,36,18,68,22,509.67,6,28
8.959,1.13,39.1,11,64,7,7,0.685,24,0.647,25,40,43.83,41.389,64.487,72.338,36,18,68,22,526.12,6,28
9.456,1.135,42.1,8,57,6,6,0.667,22,0.64,24,36,38.04,36.494,57.287,64.691,32,18,61,22,432.55,5,25
9.301,1.128,42.1,8,57,6,6,0.684,22,0.648,24,36,38.961,36.939,57.098,64.295,32,18,61,22,449.0,5,25
9.481,1.132,38.6,10,70,7,9,0.664,24,0.623,27,41,46.495,43.615,69.93,79.225,37,18,74,22,519.74,7,33
9.0,1.137,38.6,11,70,7,9,0.663,24,0.629,27,42,46.432,43.998,70.443,79.564,38,18,74,22,537.73,7,32
8.921,1.131,38.6,11,70,7,9,0.676,24,0.635,27,42,47.353,44.442,70.254,79.169,38,18,74,22,554.18,7,32
9.523,1.133,41.1,8,56,7,6,0.667,22,0.636,23,35,37.347,35.606,55.992,63.434,31,17,60,22,415.55,5,25
9.398,1.139,41.1,9,56,7,6,0.666,22,0.643,23,36,37.284,35.989,56.505,63.774,32,17,60,22,433.54,5,24
9.398,1.132,41.1,9,56,7,6,0.682,22,0.651,23,36,38.205,36.433,56.316,63.378,32,17,60,22,449.99,5,24
6.319,1.13,39.1,11,64,7,7,0.685,24,0.647,25,40,43.83,41.389,64.487,72.338,36,18,68,22,526.12,6,28
9.046,1.13,38.9,10,72,6,10,0.663,24,0.623,28,42,47.705,44.835,72.04,81.351,38,18,76,22,534.75,8,34
9.222,1.128,41.5,7,65,5,9,0.659,22,0.621,27,38,42.836,40.385,64.65,73.308,34,18,69,22,457.63,7,31
9.301,1.131,40.6,8,64,6,9,0.657,22,0.623,26,38,42.08,39.88,63.869,72.391,34,17,68,22,458.62,7,30
4.523,1.133,36.2,11,69,5,12,0.669,14,0.623,25,38,46.176,42.995,69.469,78.156,36,13,71,11,554.6,7,33
6.745,1.123,43.6,5,55,4,6,0.67,19,0.629,24,32,36.853,34.595,54.454,61.77,29,18,58,18,386.54,0,26
6.347,1.126,43.6,7,55,6,5,0.679,23,0.647,24,35,37.341,35.584,54.891,61.936,31,19,59,22,412.54,0,24
6.081,1.12,47.2,7,36,5,0,0.733,22,0.715,17,27,26.387,25.757,36.694,40.306,24,17,39,22,337.79,3,12
6.481,1.135,40.4,10,52,7,3,0.668,23,0.653,21,34,34.733,33.982,52.88,59.023,31,18,55,22,419.49,7,21
5.0,1.157,37.9,12,58,7,7,0.644,18,0.638,22,37,37.375,36.997,59.741,67.078,34,15,61,17,475.53,6,24
5.0,1.153,38.7,12,62,7,9,0.647,18,0.637,24,40,40.137,39.524,63.625,71.493,36,15,66,17,501.57,5,26
6.602,1.13,40.9,9,66,6,8,0.66,23,0.63,27,40,43.534,41.594,66.196,74.6,36,19,70,22,486.63,8,30
7.387,1.129,41.9,8,62,6,7,0.666,23,0.635,26,38,41.319,39.353,61.985,69.976,34,19,66,22,456.6,7,28
7.824,1.131,39.1,11,69,7,8,0.669,25,0.635,27,42,46.188,43.803,69.374,78.019,38,19,73,22,533.72,8,31
7.046,1.131,38.7,11,75,7,10,0.663,25,0.625,29,44,49.711,46.856,75.141,84.849,40,19,79,22,561.78,9,35
7.208,1.132,41.0,9,61,7,7,0.665,23,0.637,25,38,40.563,38.847,61.203,69.059,34,18,65,22,457.59,7,27
7.222,1.13,39.4,11,66,7,7,0.673,25,0.641,26,41,44.426,42.276,66.491,74.604,37,19,70,22,519.69,8,29
7.347,1.131,39.1,11,69,7,8,0.669,25,0.635,27,42,46.188,43.803,69.374,78.019,38,19,73,22,533.72,8,31
7.569,1.129,41.9,8,62,6,7,0.666,23,0.635,26,38,41.319,39.353,61.985,69.976,34,19,66,22,456.6,7,28
7.538,1.127,40.6,10,64,6,7,0.678,25,0.645,26,40,43.421,41.255,64.389,72.105,36,19,68,22,504.67,7,28
7.237,1.127,40.6,10,64,6,7,0.678,25,0.645,26,40,43.421,41.255,64.389,72.105,36,19,68,22,504.67,7,28
7.42,1.134,38.2,12,68,8,8,0.668,25,0.637,26,42,45.432,43.297,68.592,77.102,38,18,72,22,534.71,8,30
5.943,1.132,41.0,9,61,7,7,0.665,23,0.637,25,38,40.563,38.847,61.203,69.059,34,18,65,22,457.59,7,27
7.071,1.134,41.1,9,56,8,6,0.671,23,0.645,23,36,37.591,36.1,56.211,63.517,32,17,60,22,428.55,6,24
6.55,1.134,41.1,9,56,8,6,0.671,23,0.645,23,36,37.591,36.1,56.211,63.517,32,17,60,22,428.55,6,24
6.0,1.139,42.6,11,61,6,7,0.67,23,0.661,26,42,40.887,40.307,62.454,69.449,37,19,66,22,506.56,6,24
5.538,1.132,40.6,8,69,7,9,0.658,23,0.619,28,40,45.393,42.713,68.527,78.095,36,19,73,22,483.68,8,33
7.796,1.129,40.0,11,70,7,9,0.674,25,0.64,28,44,47.188,44.803,70.374,79.019,39,19,75,22,545.73,7,31
6.77,1.125,44.4,8,63,7,6,0.684,28,0.653,28,41,43.108,41.133,62.876,70.85,36,22,68,27,477.62,6,27
7.409,1.131,38.9,11,72,7,9,0.666,25,0.63,28,43,47.949,45.33,72.258,81.434,39,19,76,22,547.75,8,33
7.921,1.13,39.1,12,69,7,8,0.682,25,0.647,27,43,47.046,44.63,69.698,77.963,39,19,73,22,568.16,8,30
4.602,1.122,41.9,7,43,4,4,0.696,17,0.66,18,28,29.909,28.39,43.323,48.238,25,14,46,16,354.47,3,18
5.405,1.123,41.3,7,46,4,5,0.688,17,0.65,19,29,31.671,29.917,46.207,51.654,26,14,49,16,368.5,3,20
7.319,1.124,40.8,7,49,4,6,0.682,17,0.642,20,30,33.432,31.444,49.091,55.069,27,14,52,16,382.53,4,22
7.143,1.115,45.3,7,53,4,4,0.706,23,0.669,24,35,37.432,35.443,53.091,59.069,31,20,57,22,430.57,4,22
7.0,1.116,44.6,7,56,4,5,0.7,23,0.66,25,36,39.193,36.97,55.974,62.484,32,20,60,22,444.6,5,24
5.932,1.125,40.0,7,55,4,8,0.672,17,0.627,22,32,36.955,34.497,54.858,61.899,29,14,58,16,410.59,4,26
5.932,1.124,40.8,7,49,4,6,0.682,17,0.642,20,30,33.432,31.444,49.091,55.069,27,14,52,16,382.53,3,22
7.237,1.112,45.5,5,33,3,1,0.725,17,0.685,15,22,23.926,22.6,33.127,36.7,20,14,35,16,283.38,2,13
4.9,1.114,44.4,5,36,3,2,0.714,17,0.67,16,23,25.688,24.127,36.011,40.116,21,14,38,16,297.41,2,15
8.0,1.119,42.2,5,45,3,5,0.688,17,0.638,19,26,30.972,28.707,44.662,50.361,24,14,47,16,339.5,3,21
5.539,1.144,43.2,9,37,3,2,0.701,17,0.702,16,27,25.955,25.992,38.876,42.344,25,14,39,16,367.38,3,12
5.863,1.117,44.2,6,43,4,4,0.708,18,0.667,19,27,30.455,28.675,42.996,48.029,25,14,45,16,350.48,3,18
5.913,1.124,38.0,9,50,4,5,0.691,19,0.647,19,30,34.534,32.345,50.494,56.198,28,14,52,16,418.59,5,22
8.097,1.126,37.0,10,54,4,6,0.681,19,0.64,20,32,36.75,34.587,54.705,60.823,30,14,56,16,448.62,7,24
6.444,1.127,36.8,10,57,4,7,0.676,19,0.634,21,33,38.512,36.114,57.589,64.238,31,14,59,16,462.65,8,26
5.363,1.13,36.1,10,61,5,8,0.669,19,0.622,22,34,40.824,37.947,61.247,68.942,32,14,63,16,475.7,8,29
5.672,1.129,36.8,10,68,5,11,0.667,19,0.618,25,38,45.347,42.001,68.014,76.773,35,14,71,16,515.77,8,33
5.725,1.13,36.4,11,66,5,10,0.667,19,0.624,24,38,44.04,41.189,66.458,74.567,35,14,69,16,517.74,8,31
5.326,1.13,36.2,11,69,5,11,0.664,19,0.619,25,39,45.801,42.716,69.341,77.982,36,14,72,16,531.77,9,33
7.137,1.122,44.2,5,52,4,5,0.675,19,0.636,23,31,35.091,33.068,51.571,58.355,28,18,55,18,372.51,0,24
5.77,1.122,44.2,5,52,4,5,0.675,19,0.636,23,31,35.091,33.068,51.571,58.355,28,18,55,18,372.51,0,24
6.638,1.122,44.2,5,52,4,5,0.675,19,0.636,23,31,35.091,33.068,51.571,58.355,28,18,55,18,372.51,0,24
7.046,1.121,44.6,5,56,4,7,0.676,19,0.636,25,34,37.853,35.595,55.454,62.77,30,18,60,18,398.55,1,26
5.824,1.125,42.6,5,61,4,8,0.662,19,0.617,26,34,40.375,37.649,60.221,68.6,31,18,64,18,414.6,2,30
5.824,1.122,44.1,5,59,4,8,0.671,19,0.629,26,35,39.614,37.122,58.338,66.185,31,18,63,18,412.58,2,28
5.0,1.125,42.2,5,64,4,9,0.658,19,0.612,27,35,42.137,39.176,63.105,72.015,32,18,67,18,428.63,2,32
5.87,1.119,45.9,6,61,5,5,0.686,25,0.649,28,38,41.858,39.617,60.556,68.268,34,23,65,24,449.6,2,27
5.796,1.125,42.4,6,59,4,7,0.662,19,0.624,25,34,39.069,36.837,58.665,66.394,31,18,62,18,416.57,3,28
6.143,1.125,42.9,6,56,4,6,0.666,19,0.631,24,33,37.307,35.31,55.781,62.979,30,18,59,18,402.54,2,26
5.0,1.14,44.4,9,54,4,5,0.673,20,0.665,24,36,36.358,35.933,55.436,61.583,33,19,57,18,454.49,0,21
6.921,1.128,41.5,7,65,5,8,0.659,20,0.621,27,37,42.836,40.385,64.65,73.308,34,19,68,18,457.63,3,31
6.553,1.125,42.9,6,56,4,6,0.666,19,0.631,24,33,37.307,35.31,55.781,62.979,30,18,59,18,402.54,1,26
7.086,1.121,44.2,6,52,4,5,0.691,19,0.652,23,32,35.949,33.896,51.894,58.299,29,18,55,18,406.95,0,23
6.824,1.143,42.9,9,56,4,6,0.663,19,0.651,24,36,37.12,36.46,57.32,63.998,33,18,59,18,456.51,1,23
5.0,1.125,42.5,7,40,4,7,0.713,12,0.679,17,27,28.523,27.143,40.567,44.997,24,9,43,10,363.27,0,16
7.208,1.127,41.3,7,63,4,8,0.655,19,0.62,26,36,41.284,39.078,62.876,71.019,33,18,66,18,446.6,4,30
7.0,1.123,41.0,8,61,4,7,0.675,21,0.635,25,36,41.171,38.739,61.069,68.524,33,18,64,18,464.64,2,28
6.959,1.126,39.7,9,68,4,9,0.664,21,0.625,27,39,45.148,42.507,68.163,76.564,36,18,71,18,508.7,5,32
6.854,1.128,41.4,8,70,5,10,0.658,20,0.623,29,41,46.052,43.627,69.861,78.933,37,19,74,18,499.67,3,33
7.31,1.128,41.5,7,65,5,9,0.659,19,0.621,27,38,42.836,40.385,64.65,73.308,34,18,69,18,457.63,1,31
7.319,1.131,39.7,7,73,5,11,0.645,19,0.602,29,39,47.12,43.965,72.301,82.554,36,18,76,18,487.71,6,37
7.252,1.129,40.8,7,71,5,11,0.653,19,0.612,29,40,46.358,43.439,70.418,80.138,36,18,75,18,485.69,4,35
6.921,1.13,40.3,8,72,5,11,0.65,19,0.613,29,41,46.813,44.153,71.745,81.348,37,18,76,18,501.69,4,35
6.658,1.132,39.5,8,76,6,12,0.646,19,0.605,30,42,49.126,45.987,75.403,86.052,38,18,80,18,514.74,4,38
7.208,1.129,40.5,7,74,5,12,0.65,19,0.608,30,41,48.12,44.965,73.301,83.554,37,18,78,18,499.72,4,37
6.658,1.143,40.5,10,74,5,12,0.648,19,0.623,30,44,47.932,46.115,74.839,84.573,40,18,78,18,553.69,5,34
6.824,1.128,41.7,8,72,6,11,0.661,20,0.624,30,42,47.603,44.933,71.636,81.221,38,18,76,18,510.7,5,34
6.678,1.13,40.0,8,75,5,12,0.648,19,0.609,30,42,48.574,45.68,74.629,84.763,38,18,79,18,515.72,5,37
7.301,1.144,42.4,10,59,5,6,0.663,20,0.652,25,38,39.125,38.481,60.421,67.497,35,19,62,18,483.54,1,24
7.301,1.127,42.6,6,54,5,5,0.668,19,0.631,23,32,36.097,34.09,53.672,60.853,29,18,57,18,387.53,0,25
7.745,1.128,39.4,9,66,5,8,0.666,21,0.626,26,38,43.938,41.287,66.054,74.437,35,18,69,18,493.69,4,31
7.357,1.131,40.6,9,69,6,9,0.656,20,0.625,28,41,45.296,43.121,69.08,78.016,37,19,73,18,500.66,1,32
5.0,1.123,43.6,5,55,4,6,0.67,19,0.629,24,32,36.853,34.595,54.454,61.77,29,18,58,18,386.54,0,26
5.0,1.127,42.2,6,64,5,9,0.662,19,0.62,27,37,42.381,39.67,63.323,72.099,33,18,68,18,441.63,1,31
6.796,1.129,44.2,6,52,4,5,0.674,19,0.643,23,32,35.029,33.452,52.083,58.694,29,18,55,18,390.5,0,23
6.292,1.125,42.9,6,56,4,6,0.666,19,0.631,24,33,37.307,35.31,55.781,62.979,30,18,59,18,402.54,1,26
5.757,1.119,45.8,6,48,4,3,0.688,20,0.661,22,31,33.023,31.73,48.131,53.734,28,19,51,18,372.46,0,20
5.0,1.124,44.2,6,52,5,4,0.68,20,0.645,23,32,35.336,33.563,51.789,58.438,29,19,55,18,385.51,0,23
5.0,1.124,44.2,6,52,5,4,0.68,20,0.645,23,32,35.336,33.563,51.789,58.438,29,19,55,18,385.51,0,23
5.481,1.12,45.7,5,46,4,3,0.686,19,0.652,21,29,31.569,30.015,45.803,51.524,26,18,49,18,344.45,0,20
6.824,1.121,44.9,5,49,4,4,0.68,19,0.644,22,30,33.33,31.542,48.687,54.939,27,18,52,18,358.48,0,22
4.8,1.116,47.1,4,17,2,0,0.756,8,0.743,8,13,12.847,12.639,17.622,18.98,12,8,18,6,180.6,0,5
5.8,1.134,39.5,5,38,4,6,0.653,9,0.618,15,22,24.807,23.488,37.92,43.109,20,9,40,6,270.37,3,18
6.4,1.116,45.5,7,44,5,1,0.72,23,0.686,20,30,31.699,30.17,44.214,49.112,27,19,47,22,375.49,3,17
5.9,1.13,42.5,6,40,5,2,0.676,18,0.65,17,25,27.051,25.983,40.138,45.192,23,15,42,17,307.39,3,17
6.2,1.118,46.8,5,47,4,2,0.693,23,0.66,22,30,32.569,31.015,46.803,52.524,27,20,50,22,356.46,4,20
5.6,1.087,45.5,6,33,0,3,0.91,12,0.768,15,22,30.023,25.328,33.32,35.865,21,12,34,12,637.87,2,12
5.8,1.136,37.9,9,58,5,8,0.642,15,0.617,22,33,37.222,35.761,58.538,65.896,31,14,60,12,425.54,7,27
5.8,1.176,45.0,11,40,5,3,0.681,21,0.714,18,32,27.222,28.568,42.887,47.021,29,15,43,21,411.34,3,11
5.6,1.116,45.5,7,55,5,3,0.709,24,0.668,25,35,38.983,36.75,54.865,61.358,32,20,58,22,441.6,4,23
5.7,1.15,44.7,8,38,4,2,0.68,18,0.687,17,27,25.858,26.111,39.574,43.713,25,15,40,17,346.34,2,13
5.8,1.131,37.9,8,29,4,1,0.701,14,0.69,11,20,20.318,19.998,30.116,32.787,19,10,30,11,278.32,4,10
5.8,1.117,45.1,7,51,5,4,0.71,23,0.671,23,34,36.222,34.223,50.982,56.943,30,19,55,22,415.56,2,21
7.1,1.148,43.8,10,48,6,2,0.68,23,0.681,21,34,32.631,32.681,49.661,55.125,31,19,51,22,426.44,3,17
5.8,1.121,41.5,7,41,3,3,0.692,19,0.661,17,26,28.358,27.083,41.549,45.95,24,14,43,17,343.44,6,17
5.6,1.118,45.0,8,60,3,5,0.678,25,0.657,27,38,40.665,39.433,60.662,67.109,35,22,63,22,471.55,8,25
5.8,1.125,42.9,6,49,4,5,0.669,18,0.638,21,30,32.784,31.256,49.014,55.149,27,16,52,16,362.47,4,22
5.6,1.131,40.3,8,77,6,10,0.651,24,0.61,31,42,50.126,46.987,76.403,87.052,39,21,80,22,526.75,9,38
5.6,1.155,44.2,10,43,4,2,0.675,16,0.692,19,31,29.012,29.736,45.298,49.677,29,17,45,12,406.37,3,14
5.8,1.103,47.2,7,36,2,1,0.774,18,0.735,17,26,27.852,26.475,36.884,39.715,24,16,38,16,379.28,3,12
5.6,1.111,48.1,4,27,3,1,0.756,16,0.711,13,19,20.415,19.197,27.069,29.997,17,12,29,16,288.16,1,10
5.6,1.123,42.2,11,64,6,4,0.689,28,0.663,27,42,44.114,42.443,64.832,71.899,38,23,68,27,530.66,8,26
5.6,1.123,44.3,9,61,6,3,0.695,28,0.666,27,40,42.415,40.653,61.425,68.505,36,24,65,27,501.03,8,25
5.8,1.124,44.9,7,49,5,4,0.708,25,0.671,22,33,34.705,32.892,49.167,55.073,29,18,53,25,405.54,4,20
5.8,1.116,50.0,4,28,4,1,0.725,17,0.702,14,20,20.307,19.666,28.058,31.239,18,12,30,16,234.28,1,10
5.8,1.121,43.8,9,48,6,1,0.712,24,0.686,21,33,34.159,32.906,48.643,53.82,30,20,51,22,418.52,4,18
5.8,1.114,49.0,8,49,4,0,0.732,28,0.71,24,36,35.847,34.773,49.836,54.578,32,24,53,27,444.52,4,17
5.8,1.141,43.8,9,48,6,5,0.681,22,0.673,21,34,32.694,32.297,49.149,54.785,30,16,52,22,408.45,5,18
5.6,1.131,40.0,7,40,3,5,0.654,13,0.64,16,25,26.165,25.611,40.8,45.239,23,11,42,12,315.36,4,17
5.8,1.135,40.8,8,49,7,4,0.67,22,0.644,20,31,32.824,31.552,49.225,55.604,28,16,52,21,375.48,6,21
7.7,1.125,44.1,8,34,5,0,0.742,18,0.723,15,25,25.244,24.584,35.018,38.25,23,15,36,17,348.21,3,11
5.8,1.143,43.4,9,53,4,5,0.667,22,0.659,23,35,35.358,34.933,54.436,60.583,32,18,56,22,442.48,7,21
5.8,1.126,42.3,6,52,4,6,0.664,18,0.63,22,31,34.546,32.783,51.898,58.564,28,16,55,16,376.5,4,24
5.8,1.125,42.6,6,68,5,11,0.664,22,0.621,29,40,45.143,42.197,67.207,76.514,35,18,73,22,467.67,6,33
6.5,1.114,46.2,7,52,5,2,0.716,24,0.677,24,34,37.222,35.223,51.982,57.943,31,20,55,22,427.57,3,21
5.8,1.134,44.4,8,36,8,1,0.71,25,0.701,16,28,25.568,25.225,36.582,40.817,24,15,40,25,316.36,3,12
9.1,1.135,40.5,7,42,6,7,0.668,16,0.643,17,27,28.057,27.004,42.24,47.69,24,9,45,14,322.41,2,18
5.8,1.123,42.1,10,57,5,3,0.69,23,0.665,24,37,39.347,37.894,57.847,63.986,34,21,60,18,477.59,8,23
6.8,1.134,40.0,5,35,4,4,0.658,15,0.627,14,21,23.046,21.961,35.036,39.694,19,10,37,15,256.34,3,16
6.3,1.114,49.0,8,49,4,0,0.732,28,0.71,24,36,35.847,34.773,49.836,54.578,32,24,53,27,444.52,4,17
6.0,1.111,46.9,6,49,4,3,0.719,26,0.678,23,33,35.216,33.202,48.88,54.444,29,20,53,26,400.54,6,20
6.6,1.137,39.5,6,43,6,6,0.66,16,0.624,17,26,28.364,26.816,42.796,48.896,23,11,46,16,308.43,3,20
5.8,1.131,43.2,5,44,3,7,0.665,13,0.634,19,27,29.262,27.904,44.098,49.781,24,12,47,11,325.42,1,20
5.8,1.111,45.7,7,46,3,1,0.729,20,0.69,21,30,33.523,31.723,46.429,51.099,28,20,48,18,411.94,5,18
5.8,1.119,44.4,7,36,5,4,0.727,17,0.698,16,27,26.176,25.116,36.447,40.282,23,12,40,16,323.41,1,13
5.8,1.161,45.7,9,35,4,1,0.687,18,0.713,16,27,24.034,24.968,37.203,40.637,25,15,37,17,350.3,2,10
5.6,1.119,44.6,10,74,7,5,0.699,34,0.663,33,48,51.733,49.088,74.047,82.809,43,28,79,33,589.78,10,31
5.8,1.104,48.7,6,39,3,1,0.758,22,0.717,19,28,29.546,27.954,39.334,43.06,25,18,42,21,367.88,4,14
7.2,1.117,45.5,8,55,6,2,0.713,28,0.677,25,37,39.228,37.245,55.083,61.441,33,23,59,27,454.6,4,22
4.0,1.138,47.8,5,23,4,0,0.717,16,0.718,11,18,16.483,16.523,23.687,26.163,16,11,25,16,214.22,1,7
5.1,1.117,48.1,3,27,3,1,0.706,16,0.673,13,18,19.063,18.171,26.84,30.156,16,12,29,16,209.27,1,11
5.8,1.118,46.2,6,52,4,4,0.688,23,0.659,24,34,35.784,34.256,52.014,58.149,30,20,56,22,398.5,6,22
5.6,1.149,45.2,8,31,5,0,0.698,18,0.715,14,24,21.642,22.169,32.513,35.626,22,14,33,17,301.28,2,9
5.6,1.15,45.7,9,35,4,1,0.713,18,0.726,16,27,24.955,25.412,37.014,40.242,25,15,37,17,366.75,2,10
5.8,1.115,46.3,7,41,5,0,0.73,23,0.699,19,29,29.938,28.643,41.331,45.697,26,19,44,22,361.46,3,15
5.8,1.117,44.4,8,63,5,4,0.698,30,0.659,28,40,43.961,41.518,62.96,70.398,36,24,67,28,497.67,7,27
5.8,1.143,35.5,11,76,8,15,0.629,14,0.595,27,42,47.83,45.218,76.05,86.843,38,12,80,12,522.73,7,38
5.8,1.13,42.4,5,33,4,3,0.675,16,0.65,14,21,22.284,21.434,33.153,37.279,19,11,35,15,254.32,3,14
8.0,1.143,38.1,9,63,7,11,0.644,14,0.612,24,37,40.569,38.569,63.156,72.02,33,13,67,12,451.61,6,30
5.8,1.13,41.7,5,36,4,3,0.668,16,0.638,15,22,24.046,22.961,36.036,40.694,20,12,38,16,268.35,4,16
5.6,1.108,51.4,3,37,3,1,0.719,19,0.682,19,24,26.586,25.225,36.607,40.986,22,17,39,18,285.37,4,15
8.6,1.135,40.4,9,57,8,6,0.68,22,0.645,23,36,38.756,36.74,57.091,64.667,32,17,61,22,449.01,6,25
5.8,1.132,42.9,8,28,5,0,0.726,14,0.729,12,22,20.318,20.418,29.255,31.685,20,12,30,12,289.7,1,8
5.8,1.14,40.0,8,55,6,7,0.655,21,0.627,22,33,36.04,34.494,55.287,62.691,30,15,58,21,408.53,7,25
4.5,1.162,33.3,6,15,5,0,0.726,10,0.729,5,12,10.886,10.935,15.833,17.436,11,5,16,10,169.59,0,4
5.8,1.117,46.2,7,26,5,0,0.765,17,0.751,12,22,19.892,19.536,26.796,29.036,19,12,29,16,269.31,1,7
5.8,1.118,46.0,6,50,4,3,0.704,23,0.667,23,32,35.188,33.369,50.011,55.883,29,20,53,22,404.93,7,21
5.8,1.14,36.4,10,77,7,16,0.631,14,0.594,28,42,48.586,45.723,76.832,87.76,38,12,81,12,521.74,7,39
5.8,1.117,45.1,7,51,5,4,0.71,23,0.671,23,34,36.222,34.223,50.982,56.943,30,19,55,22,415.56,3,21
5.8,1.108,45.2,7,42,4,2,0.746,22,0.698,19,29,31.341,29.335,42.189,46.534,26,17,45,20,380.53,3,16
5.6,1.127,42.5,9,73,7,9,0.669,28,0.636,31,45,48.847,46.428,72.854,82.305,40,22,78,27,535.71,10,33
5.8,1.125,42.6,6,68,5,11,0.664,22,0.621,29,40,45.143,42.197,67.207,76.514,35,18,73,22,467.67,7,33
5.8,1.124,45.8,6,24,4,0,0.744,13,0.737,11,19,17.858,17.682,24.825,26.977,17,11,26,12,246.67,0,7
5.6,1.149,47.2,9,36,5,1,0.704,19,0.724,17,28,25.341,26.079,37.909,41.381,26,15,38,17,357.32,2,10
5.8,1.114,47.7,6,44,3,0,0.698,23,0.679,21,30,30.71,29.896,44.473,49.03,27,21,47,23,359.41,4,17
5.8,1.116,45.8,4,48,2,4,0.678,19,0.64,22,28,32.534,30.74,47.694,53.567,26,18,50,18,346.46,5,22
7.1,1.116,46.2,8,52,6,1,0.721,28,0.687,24,36,37.466,35.718,52.2,58.026,32,23,56,27,440.57,4,20
5.8,1.137,46.5,8,43,5,3,0.696,25,0.692,20,32,29.926,29.749,44.163,48.872,28,17,47,25,379.4,3,15
5.9,1.136,38.8,7,49,6,8,0.668,16,0.626,19,29,32.745,30.697,48.887,55.671,26,11,52,16,370.93,4,23
4.8,1.125,46.2,4,26,4,0,0.704,16,0.679,12,18,18.307,17.666,26.058,29.239,16,12,28,16,210.26,1,10
5.8,1.135,45.7,9,46,4,1,0.687,23,0.689,21,33,31.591,31.684,47.6,52.207,30,20,49,22,410.41,4,16
