pXC50,nC,O.,RBN,nH,nAT,Se,RBF,nBT,AMW,nO,MW,N.,Sv,Si,Sp,SCBO,nCsp2
6.917,25,3.8,8,22,53,52.865,0.145,55,9.875,2,523.4,5.7,36.079,58.786,39.199,46.0,20
6.86,35,6.6,13,33,76,76.196,0.165,79,7.575,5,575.71,3.9,49.54,84.77,51.711,63.0,27
7.772,27,5.0,10,25,60,60.727,0.161,62,8.233,3,494.0,5.0,39.741,67.389,41.313,50.0,20
7.377,27,5.0,10,25,60,60.916,0.161,62,7.959,3,477.55,5.0,39.297,67.785,40.392,50.0,20
7.204,26,3.6,8,25,56,55.68,0.138,58,7.349,2,411.54,5.4,36.289,62.481,38.301,46.0,20
4.469,19,4.7,7,19,43,43.029,0.159,44,7.475,2,321.41,7.0,27.708,48.235,29.017,35.0,14
6.228,19,4.7,6,17,43,44.054,0.136,44,8.311,2,357.39,7.0,28.475,48.915,28.892,37.0,14
7.447,26,7.7,13,31,65,65.312,0.197,66,7.163,5,465.6,4.6,40.013,73.355,41.949,46.0,15
7.143,19,4.7,6,17,43,43.865,0.136,44,8.694,2,373.84,7.0,28.919,48.519,29.813,37.0,14
4.403,9,15.0,1,6,20,20.953,0.048,21,9.509,3,190.17,10.0,14.241,22.455,13.898,22.5,9
4.824,40,5.0,20,47,100,100.098,0.194,103,7.38,5,738.01,7.0,62.447,112.759,66.188,73.0,29
6.252,42,3.9,20,48,103,102.872,0.187,107,7.389,4,761.05,7.8,64.753,116.048,68.739,78.0,31
6.952,28,5.5,14,38,73,72.494,0.189,74,6.832,4,498.75,2.7,43.571,82.228,47.182,45.0,15
6.222,31,5.3,15,37,76,75.712,0.192,78,7.208,4,547.78,3.9,47.066,85.311,50.427,53.0,20
7.347,31,5.4,14,36,74,73.61,0.184,76,7.199,4,532.76,2.7,46.045,82.813,49.421,52.0,21
7.37,32,7.8,18,36,77,77.265,0.228,79,7.491,6,576.77,2.6,48.474,86.231,51.33,56.0,22
5.0,19,7.8,8,26,51,51.116,0.154,52,6.794,4,346.47,3.9,30.224,57.817,31.966,32.0,9
6.867,33,5.0,17,40,80,79.378,0.207,82,7.01,4,560.82,2.5,49.098,89.643,52.944,54.0,21
5.0,19,9.6,8,26,52,52.443,0.151,53,6.971,5,362.47,3.8,30.938,59.026,32.421,33.0,9
5.279,22,7.3,7,26,55,55.192,0.123,57,7.538,4,414.57,3.6,34.411,61.737,36.614,41.0,14
5.137,25,6.9,12,38,72,72.065,0.164,73,6.593,5,474.67,5.6,41.615,82.099,44.239,42.0,10
6.076,13,8.3,6,16,36,36.691,0.167,36,7.676,3,276.33,11.1,22.391,41.113,22.955,27.0,8
7.26,14,7.7,6,18,39,39.574,0.154,39,7.445,3,290.36,10.3,23.918,44.528,24.716,28.0,8
8.367,16,6.7,7,22,45,45.342,0.156,45,7.076,3,318.42,8.9,26.971,51.358,28.239,30.0,8
8.62,19,5.6,7,25,54,54.647,0.127,55,7.398,3,399.51,13.0,33.035,61.853,34.256,39.5,10
8.62,22,5.2,8,25,58,58.723,0.133,60,8.062,3,467.61,12.1,37.222,65.773,38.904,47.0,14
9.056,17,6.3,8,24,48,48.225,0.167,48,6.926,3,332.45,8.3,28.498,54.773,30.0,31.0,8
9.319,20,5.5,8,28,55,54.992,0.143,56,6.773,3,372.52,7.3,32.552,62.604,34.523,35.0,8
9.42,20,8.0,8,22,50,50.669,0.157,51,7.649,4,382.46,8.0,31.686,56.568,32.693,39.0,14
9.187,17,4.1,7,25,49,49.0,0.143,49,6.765,2,331.47,10.2,28.805,56.062,30.552,31.0,8
8.886,16,4.3,6,23,46,46.116,0.13,46,6.901,2,317.44,10.9,27.278,52.647,28.79,30.0,8
8.553,20,5.3,8,27,57,57.531,0.138,58,7.255,3,413.54,12.3,34.562,65.268,36.017,40.5,10
8.886,23,4.9,9,27,61,61.607,0.143,63,7.896,3,481.64,11.5,38.749,69.188,40.665,48.0,14
4.658,21,5.7,8,22,53,53.738,0.145,55,8.275,3,438.56,11.3,34.674,59.86,36.137,45.0,14
4.658,21,5.9,8,21,51,51.636,0.151,53,8.305,3,423.54,9.8,33.653,57.361,35.131,44.0,14
4.658,22,5.6,8,23,54,54.52,0.143,56,8.103,3,437.57,9.3,35.18,60.777,36.892,45.0,14
9.444,22,5.4,8,24,56,56.622,0.138,58,8.082,3,452.59,10.7,36.201,63.275,37.898,46.0,14
6.292,23,5.1,8,26,59,59.505,0.131,61,7.909,3,466.62,10.2,37.728,66.69,39.659,47.0,14
2.495,40,7.3,17,56,110,110.319,0.149,114,6.809,8,749.02,5.5,65.017,125.045,68.705,69.0,17
5.0,23,1.8,5,24,56,57.094,0.085,59,7.92,1,443.52,8.9,35.766,64.287,36.671,45.0,12
5.0,26,3.0,7,29,66,67.29,0.101,69,7.797,2,514.61,9.1,41.556,75.825,42.654,51.0,13
5.0,28,2.9,7,29,68,69.29,0.097,72,7.921,2,538.63,8.8,43.556,77.825,44.654,55.5,15
5.0,26,3.2,7,25,62,63.523,0.106,66,8.235,2,510.57,9.7,40.503,70.995,41.131,53.5,15
5.0,26,3.1,7,26,64,65.625,0.103,68,8.212,2,525.59,10.9,41.524,73.493,42.137,54.5,14
5.0,26,3.1,7,26,64,65.625,0.103,68,8.212,2,525.59,10.9,41.524,73.493,42.137,54.5,14
5.0,24,3.4,5,24,58,59.421,0.082,61,8.13,2,471.53,8.6,37.481,66.497,38.125,48.0,13
5.0,23,5.1,6,24,59,60.825,0.097,62,8.603,3,507.59,8.5,38.383,67.626,39.228,50.0,12
5.3,13,0.0,3,16,31,30.389,0.094,32,6.462,0,200.31,6.5,18.73,34.903,20.341,21.0,6
5.4,11,6.7,3,13,30,30.454,0.097,31,8.378,2,251.34,10.0,19.315,33.91,20.381,25.0,6
5.0,11,6.7,3,13,30,30.454,0.097,31,8.378,2,251.34,10.0,19.315,33.91,20.381,25.0,6
5.4,12,3.4,2,12,29,29.563,0.067,30,8.044,1,233.27,10.3,18.796,33.12,19.216,24.0,7
5.9,12,3.2,2,14,31,31.153,0.063,32,7.429,1,230.3,12.9,19.434,35.279,20.284,24.0,7
5.2,11,6.7,3,12,30,30.684,0.097,31,11.008,2,330.23,10.0,20.34,33.751,21.733,26.0,6
4.9,13,10.5,5,17,38,38.876,0.128,39,8.195,4,311.4,7.9,23.798,43.159,24.813,29.0,6
5.8,11,6.7,3,11,30,30.913,0.097,31,13.637,2,409.12,10.0,21.365,33.593,23.085,27.0,6
4.6,11,9.7,3,13,31,31.793,0.094,32,10.749,3,333.23,6.5,20.56,34.878,21.943,25.0,7
4.6,15,9.1,5,21,44,44.654,0.111,45,9.213,4,405.35,4.5,27.382,49.748,29.443,30.0,7
4.6,12,6.1,3,14,33,33.567,0.088,34,10.432,2,344.26,9.1,21.867,37.167,23.495,27.0,6
4.6,14,9.8,5,19,41,41.76,0.119,42,7.937,4,325.43,7.3,25.325,46.574,26.574,30.0,6
4.6,12,6.1,3,14,33,33.567,0.088,34,10.432,2,344.26,9.1,21.867,37.167,23.495,27.0,6
4.6,14,9.8,5,19,41,41.76,0.119,42,7.937,4,325.43,7.3,25.325,46.574,26.574,30.0,6
4.6,12,6.1,3,13,33,33.796,0.088,34,12.823,2,423.15,9.1,22.892,37.008,24.847,28.0,6
7.108,17,8.0,9,25,50,50.705,0.18,50,7.45,4,372.51,4.0,29.794,57.076,31.551,32.0,8
6.777,38,3.4,15,44,89,88.061,0.161,93,6.796,3,604.86,4.5,54.766,99.925,58.614,63.0,26
6.975,38,4.4,15,44,90,89.388,0.16,94,6.898,4,620.86,4.4,55.481,101.135,59.069,64.0,26
5.015,39,3.3,16,46,92,90.945,0.167,96,6.727,3,618.89,4.3,56.293,103.341,60.376,64.0,26
5.0,31,3.9,13,38,76,75.41,0.165,79,6.773,3,514.73,5.3,46.186,85.68,49.33,52.0,20
5.0,34,3.6,12,42,83,82.178,0.138,87,6.684,3,554.8,4.8,50.239,93.51,53.853,56.0,20
8.155,34,3.5,14,44,85,84.061,0.159,88,6.551,3,556.82,4.7,50.766,95.925,54.614,55.0,20
7.921,34,3.5,16,44,86,85.138,0.18,89,6.848,3,588.89,4.7,51.953,96.845,56.262,56.0,20
7.07,26,8.5,11,26,59,59.443,0.18,61,7.568,5,446.54,3.4,37.938,66.026,39.421,47.0,21
6.432,28,4.6,9,30,65,64.876,0.132,68,7.24,3,470.62,6.2,41.078,73.019,43.284,51.5,21
6.569,25,4.8,10,30,62,61.876,0.156,64,7.01,3,434.59,6.5,38.078,70.019,40.284,45.0,17
6.658,25,4.8,9,27,62,63.414,0.141,64,7.88,3,488.56,6.5,39.228,71.038,40.097,48.0,17
6.237,21,5.2,9,30,58,57.876,0.153,59,6.665,3,386.55,6.9,34.078,66.019,36.285,37.0,11
5.824,27,6.3,10,29,64,64.178,0.149,67,7.682,4,491.66,4.7,40.959,71.65,43.381,52.5,20
6.509,28,3.1,9,30,65,64.625,0.132,68,7.488,2,486.69,6.2,41.551,72.73,44.478,51.5,21
6.387,25,3.2,10,30,62,61.625,0.156,64,7.269,2,450.66,6.5,38.551,69.73,41.478,45.0,17
7.284,24,5.3,9,27,57,56.891,0.153,59,7.115,3,405.54,5.3,35.53,64.106,37.517,43.0,17
6.569,25,4.8,9,30,62,61.876,0.141,64,7.01,3,434.59,6.5,38.078,70.019,40.284,45.0,17
6.276,25,6.6,11,29,61,61.101,0.175,63,7.14,4,435.57,4.9,37.772,68.73,39.733,45.0,17
6.959,24,6.6,10,29,61,61.178,0.159,63,7.469,4,455.63,4.9,37.959,68.65,40.381,46.0,16
6.357,24,3.4,9,28,59,58.741,0.148,61,7.401,2,436.63,6.8,37.024,66.314,39.716,44.0,17
6.337,22,6.7,10,31,60,59.985,0.164,61,6.693,4,401.56,5.0,35.299,68.145,37.495,38.0,11
7.638,27,6.3,10,29,64,64.178,0.149,67,7.682,4,491.66,4.7,40.959,71.65,43.381,52.5,20
5.301,33,6.9,15,43,87,87.556,0.167,90,7.021,6,610.8,4.6,52.294,98.893,54.915,57.0,16
6.509,15,4.7,5,24,43,42.578,0.114,44,6.149,2,264.41,4.7,24.267,48.983,26.296,23.0,1
5.301,27,5.8,13,36,69,68.534,0.186,70,6.56,4,452.65,2.9,40.858,77.893,43.773,43.0,15
6.91,22,1.7,8,29,58,57.516,0.133,60,7.097,1,411.63,8.6,35.33,65.603,38.267,39.5,11
5.742,24,1.6,8,31,61,60.323,0.127,63,6.649,1,405.6,8.2,36.67,69.099,39.381,41.0,13
4.807,18,4.8,7,17,42,42.298,0.159,44,8.846,2,371.52,7.1,28.556,46.66,30.551,36.0,15
4.773,18,4.8,7,17,42,42.298,0.159,44,8.846,2,371.52,7.1,28.556,46.66,30.551,36.0,15
4.971,18,4.8,7,17,42,42.298,0.159,44,8.846,2,371.52,7.1,28.556,46.66,30.551,36.0,15
5.034,17,2.6,6,14,38,38.6,0.15,40,9.46,1,359.48,7.9,26.697,42.375,28.273,35.0,15
4.991,17,2.6,6,14,38,38.6,0.15,40,9.46,1,359.48,7.9,26.697,42.375,28.273,35.0,15
4.82,17,2.6,6,14,38,38.6,0.15,40,9.46,1,359.48,7.9,26.697,42.375,28.273,35.0,15
4.924,17,7.5,7,14,40,40.96,0.167,42,9.662,3,386.49,10.0,28.238,44.537,29.489,39.0,15
4.947,17,7.5,7,14,40,40.96,0.167,42,9.662,3,386.49,10.0,28.238,44.537,29.489,39.0,15
5.199,17,7.5,7,14,40,40.96,0.167,42,9.662,3,386.49,10.0,28.238,44.537,29.489,39.0,15
5.294,17,2.6,6,14,38,38.411,0.15,40,9.893,1,375.93,7.9,27.142,41.98,29.193,35.0,15
5.308,17,2.6,6,14,38,38.411,0.15,40,9.893,1,375.93,7.9,27.142,41.98,29.193,35.0,15
5.48,17,2.6,6,14,38,38.411,0.15,40,9.893,1,375.93,7.9,27.142,41.98,29.193,35.0,15
4.685,18,2.6,6,14,39,39.305,0.146,41,9.397,1,366.5,10.3,27.809,43.119,29.58,38.0,15
4.331,18,2.6,6,14,39,39.305,0.146,41,9.397,1,366.5,10.3,27.809,43.119,29.58,38.0,15
4.791,18,2.6,6,14,39,39.305,0.146,41,9.397,1,366.5,10.3,27.809,43.119,29.58,38.0,15
4.638,18,2.6,6,13,39,39.818,0.146,41,9.859,1,384.49,10.3,28.192,43.458,29.517,39.0,15
4.013,12,3.2,5,13,31,31.204,0.156,32,9.014,1,279.42,9.7,20.787,34.62,22.574,25.0,9
4.306,13,2.9,6,15,34,34.087,0.171,35,8.631,1,293.45,8.8,22.314,38.036,24.335,26.0,9
4.491,14,2.7,7,17,37,36.971,0.184,38,8.31,1,307.48,8.1,23.841,41.451,26.097,27.0,9
4.287,12,3.4,5,10,29,29.538,0.167,30,10.014,1,290.4,13.8,20.755,32.288,22.057,28.0,9
4.548,14,2.9,6,15,35,35.087,0.162,37,8.727,1,305.46,8.6,23.314,39.036,25.335,28.0,9
4.731,15,2.6,6,17,38,37.971,0.15,40,8.408,1,319.49,7.9,24.841,42.451,27.097,29.0,9
4.638,16,2.4,6,19,41,40.854,0.14,43,8.135,1,333.52,7.3,26.368,45.866,28.858,30.0,9
4.924,17,2.3,6,21,44,43.738,0.13,46,7.899,1,347.55,6.8,27.894,49.281,30.62,31.0,9
6.167,15,4.4,5,25,45,44.68,0.109,46,6.21,2,279.43,6.7,25.289,51.481,27.302,24.0,1
8.62,14,5.0,5,22,40,39.694,0.122,41,6.259,2,250.38,5.0,22.74,45.567,24.534,22.0,1
5.699,29,5.5,14,38,73,72.418,0.187,75,6.557,4,478.69,2.7,43.384,82.308,46.535,46.0,15
5.301,29,5.5,13,38,73,72.418,0.173,75,6.557,4,478.69,2.7,43.384,82.308,46.535,46.0,15
5.403,24,1.7,7,30,59,58.221,0.115,61,6.62,1,390.58,6.8,35.649,66.6,38.375,40.0,13
5.137,33,7.3,15,49,96,96.559,0.152,99,6.832,7,655.89,7.3,56.216,109.673,59.211,59.0,10
5.523,36,5.9,14,53,102,101.999,0.132,106,6.666,6,679.96,6.9,59.555,116.294,63.279,62.0,10
4.886,37,5.6,15,57,107,106.766,0.136,110,6.505,6,696.01,6.5,61.609,122.125,65.802,62.0,10
7.585,24,1.6,8,31,61,60.323,0.127,63,6.649,1,405.6,8.2,36.67,69.099,39.381,41.0,13
6.301,23,6.6,12,29,61,61.716,0.19,63,7.288,4,444.56,6.6,37.176,69.568,38.676,42.5,12
7.032,24,1.6,8,31,61,60.323,0.127,63,6.649,1,405.6,8.2,36.67,69.099,39.381,41.0,13
5.301,28,7.6,17,38,79,80.083,0.21,81,7.491,6,591.78,6.3,47.922,90.066,50.284,54.0,14
4.921,30,6.5,14,38,77,77.065,0.177,79,6.944,5,534.72,5.2,46.615,87.099,49.239,52.5,17
5.699,30,5.3,15,40,76,75.301,0.192,78,6.483,4,492.72,2.6,44.911,85.723,48.296,47.0,15
4.347,26,7.0,13,31,71,73.156,0.178,73,7.953,5,564.63,8.5,44.227,81.869,44.779,53.0,14
5.009,30,6.5,14,37,77,77.578,0.177,79,7.178,5,552.71,5.2,46.998,87.438,49.177,53.5,17
4.252,31,6.3,15,40,80,79.949,0.183,82,6.859,5,548.75,5.0,48.142,90.514,51.0,53.5,17
5.585,13,5.1,6,22,39,38.694,0.154,39,6.112,2,238.37,5.1,21.74,44.567,23.534,20.0,1
4.745,28,6.8,14,34,73,73.912,0.187,75,7.393,5,539.67,6.8,44.966,83.106,46.659,52.5,16
4.509,29,6.8,14,36,74,74.181,0.184,76,7.036,5,520.69,5.4,45.088,83.683,47.478,51.5,17
5.0,27,5.5,13,33,73,74.712,0.173,75,7.708,4,562.66,8.2,45.039,84.075,46.086,53.0,15
10.114,12,5.3,5,21,38,37.912,0.132,38,6.299,2,239.36,7.9,21.235,43.651,22.779,20.0,1
4.222,27,6.6,13,35,76,77.923,0.167,78,7.641,5,580.68,7.9,46.281,87.699,47.302,52.5,13
9.602,13,5.7,6,17,35,35.145,0.171,35,7.067,2,247.33,8.6,21.181,39.82,22.256,24.0,7
4.569,27,5.5,13,33,73,74.712,0.173,75,7.708,4,562.66,8.2,45.039,84.075,46.086,53.0,15
4.921,26,5.7,10,38,70,69.418,0.139,72,6.324,4,442.66,2.9,40.384,79.308,43.535,40.0,9
5.854,22,8.2,10,31,61,61.312,0.161,62,6.845,5,417.56,4.9,36.013,69.355,37.949,38.0,10
6.824,35,6.5,8,32,77,77.491,0.098,82,8.062,5,620.78,5.2,51.222,85.773,53.603,69.0,28
7.62,33,8.1,8,30,74,74.934,0.101,79,8.253,6,610.74,5.4,49.41,82.567,51.296,67.5,26
5.0,27,1.5,7,32,68,68.628,0.099,71,7.348,1,499.64,7.4,41.874,77.948,43.716,48.0,13
6.301,30,5.7,18,43,87,87.574,0.205,88,7.009,5,609.82,10.3,51.722,99.59,54.268,57.0,18
4.0,27,6.2,8,30,65,65.203,0.118,68,7.302,4,474.61,6.2,40.793,73.228,42.739,49.0,18
4.0,28,4.5,8,32,67,66.76,0.114,70,7.054,3,472.64,6.0,41.605,75.434,44.046,49.0,18
4.0,27,4.5,10,32,66,65.76,0.147,68,6.979,3,460.63,6.1,40.605,74.434,43.046,47.0,18
4.886,24,6.1,10,36,66,65.534,0.149,67,6.312,4,416.62,3.0,37.858,74.893,40.773,37.0,9
5.954,26,1.5,9,32,67,67.628,0.13,69,7.278,1,487.63,7.5,40.874,76.948,42.716,46.0,13
5.0,26,1.5,9,32,67,67.628,0.13,69,7.278,1,487.63,7.5,40.874,76.948,42.716,46.0,13
5.699,26,6.3,10,32,64,63.767,0.152,66,6.822,4,436.6,3.1,38.804,72.062,41.25,43.0,15
6.0,27,7.2,8,31,69,69.709,0.111,72,7.793,5,537.7,7.2,43.716,77.856,45.847,54.5,17
4.886,25,6.6,10,30,61,60.883,0.159,63,6.927,4,422.57,3.3,37.277,68.647,39.489,42.0,15
4.886,23,6.6,10,32,61,60.767,0.159,63,6.567,4,400.57,3.3,35.804,69.062,38.25,37.0,9
6.301,22,10.0,10,30,60,60.538,0.164,61,6.976,6,418.54,3.3,35.707,68.066,37.398,38.0,10
4.252,28,5.5,8,32,73,74.687,0.105,76,8.106,4,591.72,6.8,46.205,83.496,47.728,56.0,14
5.301,26,5.9,10,36,68,67.534,0.141,71,6.48,4,440.64,2.9,39.858,76.893,42.773,41.0,9
4.0,30,5.4,11,34,74,75.174,0.143,77,7.536,4,557.67,4.1,46.029,84.41,47.591,53.5,18
6.161,29,2.6,7,38,76,75.479,0.088,80,7.037,2,534.8,7.9,46.174,85.972,49.773,51.5,11
6.229,28,4.3,8,34,69,68.643,0.111,72,6.879,3,474.66,5.8,42.132,77.849,44.807,48.0,14
5.284,18,4.2,5,24,48,47.898,0.102,49,6.843,2,328.46,8.3,28.783,54.564,30.546,32.0,8
7.0,25,5.6,14,36,71,71.112,0.194,72,7.637,4,542.23,4.2,43.081,80.175,46.932,43.0,10
6.921,26,5.4,15,38,74,73.996,0.2,75,7.517,4,556.26,4.1,44.607,83.59,48.694,44.0,10
5.745,25,5.4,6,24,56,56.225,0.102,59,7.652,3,428.53,7.1,36.498,62.773,38.0,47.5,17
4.119,31,2.5,8,41,79,78.068,0.098,82,6.529,2,515.77,6.3,47.019,89.384,50.643,51.0,14
6.268,30,5.3,10,38,76,75.738,0.127,79,6.825,4,518.72,5.3,45.9,85.889,48.785,51.0,14
5.509,23,5.1,6,27,59,59.287,0.097,62,7.688,3,453.62,8.5,37.233,66.607,39.415,44.5,11
5.77,25,3.0,7,32,66,65.829,0.101,69,7.283,2,480.7,9.1,40.593,74.726,43.489,46.5,11
4.886,22,5.1,5,29,59,59.094,0.082,61,6.976,3,411.56,8.5,35.573,67.102,37.529,40.0,9
5.509,21,6.7,6,29,60,60.498,0.097,62,7.46,4,447.62,8.3,36.475,68.232,38.631,42.0,8
5.0,10,0.0,1,10,26,26.316,0.037,27,10.455,0,271.82,11.5,18.373,28.94,20.216,22.0,8
4.194,17,6.8,6,21,44,44.24,0.133,45,7.168,3,315.41,6.8,26.95,49.86,28.233,31.0,8
5.959,26,3.0,6,33,67,66.61,0.086,70,7.16,2,479.71,7.5,41.099,75.643,44.245,46.5,11
5.509,14,5.4,4,16,37,37.451,0.105,38,10.008,2,370.3,8.1,24.394,41.582,26.256,28.5,6
5.0,16,4.8,4,20,42,42.131,0.093,43,7.152,2,300.4,9.5,25.73,47.734,27.023,30.0,8
7.398,25,5.6,14,36,71,71.018,0.194,72,8.263,4,586.68,4.2,43.278,80.073,47.427,43.0,10
6.119,27,2.8,8,36,72,71.596,0.107,75,7.066,2,508.76,8.3,43.647,81.557,47.012,48.5,11
5.081,22,4.0,5,23,50,49.796,0.096,52,7.23,2,361.48,6.0,31.762,56.066,33.54,39.0,14
5.212,20,5.7,5,26,53,53.109,0.091,55,6.991,3,370.5,7.5,32.025,60.189,33.762,36.0,8
6.276,28,4.3,7,34,69,68.643,0.097,72,6.879,3,474.66,5.8,42.132,77.849,44.807,48.0,14
5.854,25,3.1,6,31,64,63.727,0.09,67,7.276,2,465.68,7.8,39.572,72.228,42.483,45.5,11
5.102,16,5.0,4,18,40,40.258,0.098,41,9.107,2,364.27,7.5,25.733,45.077,27.37,30.0,8
6.174,28,4.1,7,36,74,73.923,0.09,78,7.254,3,536.77,8.1,45.362,83.766,48.466,51.5,11
5.824,25,3.0,7,32,66,65.829,0.101,69,7.283,2,480.7,9.1,40.593,74.726,43.489,46.5,11
5.523,23,3.3,6,28,60,60.061,0.095,63,7.544,2,452.64,10.0,37.54,67.896,39.966,44.5,11
4.201,17,6.5,8,23,46,46.123,0.174,46,6.901,3,317.43,6.5,27.477,52.275,28.995,30.0,8
6.076,28,4.1,7,36,74,73.923,0.09,78,7.254,3,536.77,8.1,45.362,83.766,48.466,51.5,11
5.854,28,2.7,8,38,75,74.479,0.103,78,6.971,2,522.79,8.0,45.174,84.972,48.773,49.5,11
5.959,18,4.8,4,19,42,42.029,0.093,43,7.367,2,309.4,7.1,26.708,47.235,28.017,33.0,8
5.886,26,4.3,9,34,70,70.04,0.123,73,7.296,3,510.73,8.6,42.835,79.351,45.705,48.5,11
5.886,22,4.0,5,23,50,49.796,0.096,52,7.23,2,361.48,6.0,31.762,56.066,33.54,39.0,14
6.292,30,2.6,7,39,76,75.185,0.089,79,6.602,2,501.74,6.6,45.492,85.969,48.881,50.0,14
6.041,27,2.8,7,36,72,71.596,0.093,75,7.066,2,508.76,8.3,43.647,81.557,47.012,48.5,11
6.131,24,4.8,7,29,62,62.171,0.108,65,7.543,3,467.65,8.1,38.76,70.022,41.176,45.5,11
6.553,27,3.1,6,31,65,64.945,0.088,68,7.117,2,462.62,6.2,40.274,73.565,42.529,47.0,14
6.187,26,5.4,15,38,74,73.901,0.2,75,8.118,4,600.71,4.1,44.805,83.488,49.188,44.0,10
4.721,18,4.3,6,23,46,45.796,0.128,47,6.814,2,313.44,6.5,27.762,52.066,29.54,31.0,8
5.523,23,6.0,8,21,50,50.24,0.154,52,7.749,3,387.47,6.0,32.95,55.86,34.233,43.5,18
7.495,27,8.6,8,32,70,70.818,0.11,73,7.724,6,540.7,5.7,43.937,78.982,46.057,54.0,16
7.886,49,6.9,29,74,145,145.886,0.197,147,6.837,10,991.35,8.3,84.736,165.945,89.217,90.0,23
10.056,38,7.4,25,64,121,121.821,0.207,121,6.654,9,805.12,8.3,68.871,139.078,72.705,68.0,14
8.137,31,7.9,21,51,101,102.41,0.208,101,6.989,8,705.93,10.9,58.49,116.461,60.927,61.0,14
9.921,34,7.3,22,57,110,111.061,0.2,110,6.8,8,748.02,10.0,63.07,126.706,66.211,64.0,14
9.886,39,8.0,22,57,112,112.748,0.195,113,6.857,9,768.03,6.3,65.753,127.753,69.165,69.0,19
9.523,36,8.1,22,59,111,111.632,0.198,111,6.613,9,734.02,6.3,63.28,127.168,66.927,62.0,13
8.851,40,8.6,23,59,116,116.959,0.197,117,6.88,10,798.06,6.0,67.995,132.377,71.381,71.0,19
7.367,45,6.7,26,67,134,135.126,0.191,136,6.972,9,934.25,9.7,78.935,153.573,82.722,86.0,23
9.602,42,6.6,23,64,122,122.174,0.187,123,6.632,8,809.14,6.6,70.64,139.287,75.001,72.0,19
8.801,43,7.6,22,59,118,118.632,0.183,120,6.933,9,818.09,5.9,70.28,134.168,73.927,76.5,23
10.523,36,8.3,22,55,109,110.185,0.2,110,6.954,9,758.0,8.3,63.742,124.919,66.654,67.5,16
6.77,29,6.3,15,36,79,80.781,0.185,81,7.896,5,623.77,6.3,48.974,90.536,50.705,57.5,16
6.0,27,8.6,8,32,70,70.818,0.11,73,7.724,6,540.7,5.7,43.937,78.982,46.057,54.0,16
7.745,23,6.0,11,36,67,66.854,0.162,68,6.457,4,432.63,6.0,38.374,76.474,41.023,38.0,9
7.87,27,8.6,8,32,70,70.818,0.11,73,7.724,6,540.7,5.7,43.937,78.982,46.057,54.0,16
5.276,16,2.5,5,20,40,39.56,0.122,41,7.211,1,288.45,5.0,24.686,44.863,26.966,27.0,7
6.0,27,8.6,8,32,70,70.818,0.11,73,7.724,6,540.7,5.7,43.937,78.982,46.057,54.0,16
5.78,23,3.5,9,26,57,57.985,0.155,58,7.606,2,433.52,5.3,35.492,65.33,36.637,41.0,13
6.0,27,8.6,8,32,70,70.818,0.11,73,7.724,6,540.7,5.7,43.937,78.982,46.057,54.0,16
5.0,16,2.3,7,20,43,44.007,0.163,43,7.614,1,327.39,7.0,26.197,49.875,26.898,29.0,7
5.524,16,2.3,7,19,43,44.236,0.163,43,9.448,1,406.28,7.0,27.222,49.717,28.25,30.0,7
6.569,21,6.6,10,32,61,61.087,0.161,62,6.632,4,404.57,6.6,35.32,69.644,37.5,36.0,9
4.0,25,4.7,10,32,64,63.76,0.149,67,6.822,3,436.61,6.3,38.605,72.434,41.046,44.0,14
5.795,22,1.9,8,24,53,53.774,0.148,54,7.613,1,403.49,5.7,33.251,60.706,34.421,39.0,13
4.495,16,7.4,8,30,54,54.203,0.148,54,6.343,4,342.5,7.4,29.793,62.228,31.739,27.0,3
4.478,23,5.2,11,30,58,57.556,0.186,59,6.596,3,382.55,3.4,34.562,65.438,37.035,37.0,14
5.052,22,1.9,8,22,53,54.799,0.148,54,8.292,1,439.47,5.7,34.017,61.385,34.296,41.0,13
5.226,22,1.9,8,23,53,54.287,0.148,54,7.952,1,421.48,5.7,33.634,61.046,34.358,40.0,13
5.625,21,1.9,8,23,52,52.992,0.151,53,7.778,1,404.48,7.7,32.745,59.789,33.665,39.0,12
5.0,10,3.0,6,16,33,34.24,0.188,32,7.615,1,251.29,9.1,19.143,39.045,19.375,19.0,1
5.0,14,2.2,9,24,45,45.774,0.205,44,6.831,1,307.41,6.7,25.251,52.706,26.421,23.0,1
7.699,22,7.7,10,25,52,52.014,0.189,53,7.067,4,367.48,1.9,32.202,58.318,33.961,37.0,15
5.0,11,3.3,2,10,30,31.742,0.065,31,10.713,1,321.38,10.0,20.937,34.639,21.387,26.0,8
5.0,10,0.0,1,10,26,26.505,0.037,27,9.822,0,255.37,11.5,17.929,29.335,19.296,22.0,8
5.0,10,0.0,1,10,26,26.222,0.037,27,12.164,0,316.27,11.5,18.571,28.837,20.71,22.0,8
5.0,10,0.0,1,9,26,27.018,0.037,27,10.514,0,273.36,11.5,18.312,29.675,19.233,23.0,8
5.0,10,0.0,1,9,26,27.018,0.037,27,10.514,0,273.36,11.5,18.312,29.675,19.233,23.0,8
5.0,10,0.0,1,9,26,26.734,0.037,27,12.856,0,334.26,11.5,18.954,29.177,20.648,23.0,8
5.0,10,0.0,1,9,26,26.734,0.037,27,12.856,0,334.26,11.5,18.954,29.177,20.648,23.0,8
5.0,11,0.0,1,13,29,28.876,0.033,30,8.669,0,251.41,10.3,19.072,32.411,21.12,22.0,8
