pXC50,nBM,nAB,nBT,Si,nAT,SCBO,nBO,MW,Sv,Sp,Se,nC,RBF,nSK,nN,nH,nCsp2,nDB,C.,X.,O.,nF,N.,nO
7.721,27,25,69,70.481,63,57.5,43,510.67,42.013,44.205,63.178,28,0.058,37,6,26,21,2,44.4,0.0,3.2,0,9.5,2
8.222,28,26,72,73.92,66,60.0,45,539.08,44.18,46.176,66.309,30,0.056,39,6,27,23,2,45.5,1.5,3.0,0,9.1,2
6.613,25,24,71,76.75,67,58.0,45,566.61,44.413,44.83,68.919,29,0.099,41,6,26,22,1,43.3,6.0,3.0,4,9.0,2
8.0,25,23,52,54.962,49,49.5,35,430.45,34.649,35.131,50.021,26,0.038,32,2,17,22,1,53.1,6.1,2.0,3,4.1,1
7.367,25,24,58,62.666,55,51.0,38,479.5,37.428,37.603,56.654,25,0.103,35,5,20,22,1,45.5,5.5,3.6,3,9.1,2
6.399,25,24,67,71.706,63,56.0,43,535.57,42.196,42.58,64.749,28,0.09,39,5,24,22,1,44.4,4.8,4.8,3,7.9,3
7.921,27,25,67,67.982,61,56.5,42,495.65,40.992,43.199,61.076,28,0.06,36,5,25,21,2,45.9,0.0,3.3,0,8.2,2
6.076,25,22,68,71.974,64,59.0,44,579.1,43.939,45.455,65.342,28,0.118,40,6,24,20,2,43.8,3.1,4.7,1,9.4,3
6.602,20,18,59,63.872,56,49.0,37,465.52,37.24,37.909,57.21,25,0.051,34,5,22,17,1,44.6,5.4,1.8,3,8.9,1
7.72,20,18,64,70.125,61,52.0,40,512.56,40.171,40.614,62.709,26,0.063,37,6,24,17,1,42.6,6.6,1.6,4,9.8,1
7.071,37,36,84,88.518,79,72.0,53,641.74,53.045,54.449,79.952,36,0.143,48,7,31,33,1,45.6,0.0,6.3,0,8.9,5
6.987,25,24,57,61.377,54,51.0,38,480.48,37.121,37.051,55.88,25,0.105,35,4,19,22,1,46.3,5.6,5.6,3,7.4,3
7.796,25,24,76,80.933,72,56.0,43,523.69,45.627,48.052,71.861,31,0.105,39,5,33,22,1,43.1,0.0,4.2,0,6.9,3
7.437,25,24,75,80.016,71,56.0,43,524.68,45.121,47.296,71.08,30,0.107,39,6,32,21,1,42.3,0.0,4.2,0,8.5,3
5.292,23,22,45,47.922,42,44.0,32,398.37,29.826,29.313,43.902,20,0.089,29,4,13,19,1,47.6,7.1,4.8,3,9.5,2
6.854,20,18,64,70.125,61,52.0,40,512.56,40.171,40.614,62.709,26,0.063,37,6,24,17,1,42.6,6.6,1.6,4,9.8,1
8.523,20,18,47,51.045,45,43.0,31,395.41,31.143,31.375,46.24,22,0.043,29,3,16,18,1,48.9,6.7,2.2,3,6.7,1
7.071,25,23,51,54.045,48,49.5,35,431.44,34.143,34.375,49.24,25,0.039,32,3,16,21,1,52.1,6.3,2.1,3,6.3,1
6.07,25,24,70,75.833,66,58.0,45,567.6,43.907,44.074,68.138,28,0.1,41,7,25,21,1,42.4,6.1,3.0,4,10.6,2
6.434,25,24,71,76.41,67,57.0,44,548.62,44.029,44.892,68.407,29,0.099,40,6,27,22,1,43.3,4.5,3.0,3,9.0,2
5.914,25,24,51,53.607,48,45.0,32,381.47,32.509,33.813,48.022,23,0.098,29,5,19,22,1,47.9,0.0,2.1,0,10.4,1
6.208,20,18,67,73.54,64,53.0,41,526.59,41.698,42.375,65.592,27,0.06,38,6,26,17,1,42.2,6.3,1.6,4,9.4,1
9.0,25,24,71,77.616,68,55.0,42,534.64,43.841,45.199,68.963,29,0.127,39,6,29,22,1,42.6,4.4,1.5,3,8.8,1
6.658,20,18,64,70.125,61,52.0,40,512.56,40.171,40.614,62.709,26,0.063,37,6,24,17,1,42.6,6.6,1.6,4,9.8,1
5.0,12,10,45,49.106,43,33.0,25,312.42,26.531,27.819,43.123,16,0.067,23,6,20,7,1,37.2,0.0,2.3,0,14.0,1
6.298,25,24,54,58.042,51,49.0,36,449.47,35.186,35.387,52.443,24,0.093,33,5,18,22,1,47.1,5.9,2.0,3,9.8,1
6.559,23,22,49,51.947,46,43.0,31,375.44,30.893,31.75,46.534,21,0.061,28,5,18,20,1,45.7,2.2,2.2,1,10.9,1
5.092,22,21,56,58.152,52,47.5,35,431.56,34.938,36.676,52.309,23,0.125,31,5,21,15,0,44.2,0.0,3.8,0,9.6,2
5.0,23,23,43,45.069,40,40.5,29,346.38,27.665,27.989,40.8,18,0.047,26,6,14,18,0,45.0,0.0,5.0,0,15.0,2
6.201,25,24,61,60.069,54,53.0,40,439.5,36.665,37.688,54.567,26,0.016,33,3,21,19,1,48.1,0.0,7.4,0,5.6,4
5.721,32,30,81,81.228,73,68.0,51,570.69,48.793,50.739,73.203,35,0.037,43,4,30,26,2,47.9,0.0,5.5,0,5.5,4
5.498,23,22,66,69.84,62,52.0,40,508.02,40.588,42.08,62.862,26,0.121,36,5,26,19,1,41.9,1.6,6.5,0,8.1,4
4.301,28,26,76,80.643,72,58.0,43,539.76,46.099,49.245,71.61,31,0.118,39,5,33,24,2,43.1,0.0,2.8,0,6.9,2
5.0,19,16,52,53.155,48,45.0,33,401.52,32.895,34.665,48.105,23,0.058,29,3,19,16,2,47.9,0.0,4.2,0,6.3,2
5.0,18,16,43,44.032,40,38.0,27,332.45,27.632,29.443,39.793,20,0.047,24,2,16,15,1,50.0,0.0,2.5,0,5.0,1
6.222,42,36,124,132.687,119,104.0,80,1412.41,83.447,87.353,122.352,51,0.169,75,6,44,42,6,42.9,5.0,10.1,0,5.0,12
4.996,28,26,79,82.853,74,61.0,46,567.77,47.814,50.699,73.938,32,0.089,41,5,33,24,2,43.2,0.0,4.1,0,6.8,3
5.0,24,22,61,63.721,57,52.0,39,508.04,39.007,40.75,57.843,25,0.115,35,5,22,21,2,43.9,1.8,5.3,0,8.8,3
5.796,28,28,52,53.366,48,48.0,34,395.46,33.377,34.5,48.214,25,0.077,30,3,18,24,0,52.1,2.1,2.1,1,6.3,1
6.804,28,28,52,52.97,48,48.0,34,411.91,33.821,35.421,48.025,25,0.077,30,3,18,24,0,52.1,2.1,2.1,0,6.3,1
7.086,28,28,52,52.868,48,48.0,34,456.36,34.019,35.915,47.931,25,0.077,30,3,18,24,0,52.1,2.1,2.1,0,6.3,1
7.108,28,28,52,52.914,48,49.0,35,446.35,34.648,36.279,48.349,25,0.077,31,3,17,24,0,52.1,4.2,2.1,0,6.3,1
6.461,28,28,58,59.856,54,49.0,35,405.53,36.047,38.086,53.469,27,0.086,31,3,23,24,0,50.0,0.0,1.9,0,5.6,1
6.078,28,28,61,63.272,57,50.0,36,419.56,37.574,39.847,56.352,28,0.082,32,3,25,24,0,49.1,0.0,1.8,0,5.3,1
6.412,28,28,55,56.441,51,48.0,34,391.5,34.52,36.324,50.585,26,0.073,30,3,21,24,0,51.0,0.0,2.0,0,5.9,1
5.886,28,28,59,60.776,55,50.0,36,437.6,37.234,39.733,54.545,27,0.085,32,3,23,24,0,49.1,0.0,1.8,0,5.5,1
7.444,29,28,60,61.986,56,52.0,37,453.6,37.949,40.188,55.872,27,0.083,33,3,23,24,1,48.2,0.0,3.6,0,5.4,2
5.824,28,28,56,57.305,52,50.0,36,458.01,36.535,38.83,51.985,26,0.089,32,3,20,24,0,50.0,1.9,1.9,0,5.8,1
7.292,29,28,57,58.515,53,52.0,37,474.01,37.25,39.284,53.313,26,0.088,33,3,20,24,1,49.1,1.9,3.8,0,5.7,2
5.26,35,34,64,64.776,59,59.0,41,485.64,41.234,43.733,58.545,31,0.078,36,3,23,30,1,52.5,0.0,1.7,0,5.1,1
4.699,29,28,57,58.571,53,51.0,36,439.57,36.422,38.426,52.989,26,0.088,32,3,21,24,1,49.1,0.0,3.8,0,5.7,2
5.27,29,28,63,65.401,59,53.0,38,467.63,39.476,41.949,58.756,28,0.095,34,3,25,24,1,47.5,0.0,3.4,0,5.1,2
4.699,29,28,60,61.986,56,52.0,37,453.6,37.949,40.188,55.872,27,0.083,33,3,23,24,1,48.2,0.0,3.6,0,5.4,2
6.475,28,28,62,64.192,58,51.0,37,451.63,38.761,41.495,57.429,28,0.081,33,3,25,24,0,48.3,0.0,1.7,0,5.2,1
5.41,29,28,69,72.231,65,55.0,40,495.69,42.529,45.472,64.523,30,0.101,36,3,29,24,1,46.2,0.0,3.1,0,4.6,2
6.36,29,28,66,68.816,62,54.0,39,481.66,41.002,43.711,61.64,29,0.106,35,3,27,24,1,46.8,0.0,3.2,0,4.8,2
7.921,29,28,63,65.401,59,53.0,38,467.63,39.476,41.949,58.756,28,0.079,34,3,25,24,1,47.5,0.0,3.4,0,5.1,2
6.943,30,28,64,66.61,60,55.0,39,483.63,40.19,42.404,60.083,28,0.078,35,3,25,24,2,46.7,0.0,5.0,0,5.0,3
4.699,24,22,44,45.529,41,44.0,31,433.94,30.24,31.585,42.251,19,0.068,28,3,13,19,2,46.3,4.9,4.9,1,7.3,2
7.337,29,28,59,62.508,55,56.0,41,506.49,38.79,38.534,57.065,27,0.068,37,4,18,26,1,49.1,7.3,3.6,4,7.3,2
7.77,31,28,64,68.345,60,62.0,45,585.58,42.428,42.097,62.898,27,0.078,41,5,19,26,3,45.0,6.7,6.7,4,8.3,4
5.495,24,22,53,56.236,50,47.0,34,417.46,33.654,34.176,51.003,22,0.113,31,5,19,21,2,44.0,0.0,8.0,0,10.0,4
6.77,24,22,59,63.066,56,49.0,36,445.52,36.707,37.699,56.771,24,0.119,33,5,23,21,2,42.9,0.0,7.1,0,8.9,4
7.886,24,22,53,56.077,50,48.0,35,496.35,34.679,35.529,51.233,22,0.113,32,5,18,21,2,44.0,2.0,8.0,0,10.0,4
6.409,24,22,53,56.915,50,49.0,36,453.44,34.42,34.051,52.029,22,0.113,33,5,17,21,2,44.0,4.0,8.0,2,10.0,4
7.396,24,22,55,60.093,52,52.0,39,504.44,36.208,34.932,55.156,22,0.109,36,6,16,20,2,42.3,7.7,7.7,4,11.5,4
8.366,24,22,54,58.883,51,51.0,38,488.44,35.494,34.478,53.829,22,0.093,35,6,16,20,2,43.1,7.8,5.9,4,11.8,3
7.119,24,22,56,60.72,53,52.0,39,519.52,37.186,36.881,55.687,23,0.107,36,5,17,21,2,43.4,7.5,5.7,4,9.4,3
8.242,24,22,55,59.721,52,52.0,39,504.43,36.407,35.137,55.163,23,0.109,36,4,16,21,2,44.2,7.7,9.6,4,7.7,5
8.647,24,22,56,61.01,53,52.0,39,503.45,36.714,35.688,55.938,23,0.107,36,5,17,21,2,43.4,7.5,7.5,4,9.4,4
8.533,24,22,55,59.8,52,51.0,38,487.45,35.999,35.233,54.611,23,0.091,35,5,17,21,2,44.2,7.7,5.8,4,9.6,3
6.921,30,28,63,67.215,59,60.0,44,549.52,41.526,40.995,61.494,28,0.095,40,5,19,27,2,47.5,6.8,5.1,4,8.5,3
5.886,35,33,72,76.129,67,68.5,50,614.6,47.074,46.762,69.48,32,0.097,45,6,22,31,2,47.8,6.0,4.5,4,9.0,3
8.435,24,22,56,60.67,53,51.0,38,485.46,36.33,35.75,55.425,23,0.107,35,5,18,21,2,43.4,5.7,7.5,3,9.4,4
7.387,24,22,57,61.59,54,52.0,39,517.53,37.518,37.398,56.502,23,0.123,36,5,18,21,2,42.6,5.6,7.4,3,9.3,4
7.245,24,22,57,60.571,54,49.0,36,463.56,36.368,37.585,54.963,23,0.123,33,5,21,21,2,42.6,0.0,7.4,0,9.3,4
5.0,25,22,56,59.654,53,51.0,37,461.47,36.083,36.085,54.658,23,0.125,34,5,19,22,3,43.4,0.0,11.3,0,9.4,6
7.192,25,22,57,61.93,54,54.0,40,535.52,37.901,37.335,57.014,23,0.105,37,5,17,21,3,42.6,7.4,7.4,4,9.3,4
6.859,26,22,58,63.139,55,56.0,41,551.52,38.616,37.79,58.342,23,0.103,38,5,17,21,4,41.8,7.3,9.1,4,9.1,5
7.959,25,22,57,62.01,54,54.0,40,515.46,37.714,36.688,56.938,24,0.105,37,5,17,22,3,44.4,7.4,7.4,4,9.3,4
8.22,24,22,55,60.093,52,52.0,39,504.44,36.208,34.932,55.156,22,0.109,36,6,16,20,2,42.3,7.7,7.7,4,11.5,4
8.538,24,22,66,72.465,63,56.0,43,561.54,42.009,41.426,65.916,26,0.152,40,5,23,21,2,41.3,6.3,7.9,4,7.9,5
8.101,24,22,56,60.614,53,52.0,39,519.9,37.158,36.608,55.749,23,0.107,36,5,17,21,2,43.4,7.5,7.5,3,9.4,4
5.495,24,22,56,60.38,53,51.0,38,501.53,36.803,36.943,55.174,23,0.107,35,5,18,21,2,43.4,5.7,5.7,3,9.4,3
5.268,24,22,57,61.926,54,52.0,39,502.46,37.219,36.443,56.72,24,0.123,36,4,18,21,2,44.4,7.4,7.4,4,7.4,4
7.323,24,22,56,61.01,53,52.0,39,503.45,36.714,35.688,55.938,23,0.107,36,5,17,21,2,43.4,7.5,7.5,4,9.4,4
7.305,24,22,59,64.425,56,53.0,40,517.48,38.241,37.449,58.821,24,0.102,37,5,19,21,2,42.9,7.1,7.1,4,8.9,4
8.246,29,27,60,64.01,56,58.5,43,539.48,39.714,38.688,58.938,26,0.1,39,5,17,25,2,46.4,7.1,7.1,4,8.9,4
5.495,25,22,55,59.351,52,53.0,39,540.56,37.067,36.977,54.989,22,0.109,36,4,16,20,3,42.3,7.7,7.7,4,7.7,4
5.252,24,22,59,64.425,56,53.0,40,517.48,38.241,37.449,58.821,24,0.102,37,5,19,21,2,42.9,7.1,7.1,4,8.9,4
8.165,24,22,55,59.431,52,52.0,39,520.5,36.879,36.33,54.912,23,0.109,36,4,16,21,2,44.2,7.7,7.7,4,7.7,4
7.748,30,28,62,66.298,58,60.0,44,550.51,41.02,40.239,60.712,27,0.097,40,6,18,26,2,46.6,6.9,5.2,4,10.3,3
5.312,24,22,72,74.813,67,57.0,43,523.71,44.045,46.722,66.843,30,0.083,38,5,29,20,1,44.8,0.0,3.0,0,7.5,2
7.77,25,24,54,58.042,51,49.0,36,449.47,35.186,35.387,52.443,24,0.093,33,5,18,22,1,47.1,5.9,2.0,3,9.8,1
9.0,25,24,63,67.561,60,50.0,37,454.58,38.826,40.557,60.101,26,0.111,34,6,26,21,1,43.3,0.0,3.3,0,10.0,2
8.523,25,24,65,69.394,62,50.0,37,452.6,39.837,42.069,61.665,28,0.108,34,4,28,23,1,45.2,0.0,3.2,0,6.5,2
8.301,25,24,63,67.561,60,50.0,37,454.58,38.826,40.557,60.101,26,0.111,34,6,26,21,1,43.3,0.0,3.3,0,10.0,2
4.392,24,22,58,59.78,54,51.0,37,455.57,37.137,38.881,54.316,26,0.103,33,3,21,20,1,48.1,0.0,5.6,0,5.6,3
7.959,25,24,65,69.394,62,50.0,37,452.6,39.837,42.069,61.665,28,0.108,34,4,28,23,1,45.2,0.0,3.2,0,6.5,2
7.071,25,24,60,64.145,57,49.0,36,440.55,37.299,38.796,57.218,25,0.117,33,6,24,21,1,43.9,0.0,3.5,0,10.5,2
7.26,25,24,63,68.58,60,53.0,40,508.55,39.976,40.37,61.64,26,0.111,37,6,23,21,1,43.3,5.0,3.3,3,10.0,2
4.885,24,22,65,67.82,61,54.0,40,499.63,40.905,42.858,61.411,28,0.138,36,3,25,20,1,45.9,0.0,6.6,0,4.9,4
8.398,25,24,62,65.979,59,49.0,36,438.57,38.31,40.307,58.781,27,0.113,33,4,26,23,1,45.8,0.0,3.4,0,6.8,2
8.222,25,24,62,65.923,59,50.0,37,473.01,39.137,41.165,59.105,27,0.113,34,4,25,23,1,45.8,1.7,3.4,0,6.8,2
7.824,25,24,58,62.959,55,52.0,39,496.49,37.637,37.301,57.2,24,0.121,36,6,19,21,1,43.6,5.5,5.5,3,10.9,3
4.606,25,22,57,58.574,53,53.0,38,469.55,37.325,38.574,53.76,26,0.105,34,3,19,21,2,49.1,0.0,7.5,0,5.7,4
7.704,30,29,63,66.229,59,55.5,40,477.57,39.794,41.04,59.436,27,0.111,36,7,23,25,1,45.8,0.0,3.4,0,11.9,2
7.639,25,24,61,66.714,58,54.0,41,528.51,39.547,39.0,60.596,25,0.131,38,6,20,21,1,43.1,6.9,5.2,4,10.3,3
7.738,23,22,47,50.76,44,46.0,34,431.38,31.231,30.256,46.516,20,0.064,31,5,13,19,1,45.5,9.1,4.5,4,11.4,2
4.602,22,22,79,83.637,74,54.0,43,512.72,45.46,48.364,73.519,30,0.127,38,6,36,18,0,40.5,0.0,2.7,0,8.1,2
5.079,22,22,67,70.81,63,48.0,37,442.61,39.364,41.83,62.549,27,0.119,33,4,30,18,0,42.9,0.0,3.2,0,6.3,2
5.523,17,17,57,61.161,54,41.5,33,475.4,34.718,36.597,54.523,22,0.105,30,4,24,14,0,40.7,3.7,3.7,1,7.4,2
5.0,15,15,38,40.983,36,28.5,21,255.36,22.268,23.597,35.811,14,0.079,19,5,17,10,0,38.9,0.0,0.0,0,13.9,0
6.523,19,18,61,66.864,59,45.0,35,489.45,38.008,40.034,59.632,23,0.164,33,6,26,17,1,39.0,3.4,3.4,0,10.2,2
6.208,13,11,58,64.128,56,41.5,34,532.46,36.025,37.642,57.541,20,0.172,32,5,24,11,2,35.7,5.4,5.4,2,8.9,3
4.602,20,18,75,83.865,73,53.0,42,558.67,45.325,46.631,74.385,28,0.147,40,6,33,18,2,38.4,4.1,4.1,3,8.2,3
7.032,22,20,65,67.478,60,50.0,38,441.58,38.331,40.313,59.883,26,0.046,33,5,27,17,2,43.3,0.0,3.3,0,8.3,2
6.46,22,20,59,60.647,54,48.0,36,413.52,35.278,36.79,54.116,24,0.034,31,5,23,17,2,44.4,0.0,3.7,0,9.3,2
6.523,22,20,62,64.062,57,49.0,37,427.55,36.805,38.551,57.0,25,0.048,32,5,25,17,2,43.9,0.0,3.5,0,8.8,2
6.139,22,20,60,61.564,55,48.0,36,412.53,35.783,37.546,54.898,25,0.033,31,4,24,17,2,45.5,0.0,3.6,0,7.3,2
6.565,22,20,60,61.564,55,48.0,36,412.53,35.783,37.546,54.898,25,0.05,31,4,24,17,2,45.5,0.0,3.6,0,7.3,2
6.523,22,20,63,64.979,58,49.0,37,426.56,37.31,39.307,57.781,26,0.063,32,4,26,17,2,44.8,0.0,3.4,0,6.9,2
4.602,20,18,55,61.215,53,47.0,36,477.46,35.526,34.995,55.494,22,0.109,34,5,19,18,2,41.5,7.5,5.7,4,9.4,3
6.0,30,29,65,69.453,61,58.5,43,529.57,41.756,42.159,62.53,28,0.092,39,7,22,25,1,45.9,4.9,1.6,3,11.5,1
7.585,27,25,65,65.484,59,55.5,41,480.63,39.97,42.193,58.974,28,0.062,35,4,24,21,2,47.5,0.0,3.4,0,6.8,2
4.602,20,18,82,90.779,79,57.0,46,599.73,48.873,50.398,80.37,30,0.122,43,7,36,18,2,38.0,3.8,3.8,3,8.9,3
6.83,22,20,53,53.817,48,46.0,34,385.46,32.224,33.267,48.349,22,0.038,29,5,19,17,2,45.8,0.0,4.2,0,10.4,2
6.578,22,20,56,57.232,51,47.0,35,399.49,33.751,35.029,51.232,23,0.054,30,5,21,17,2,45.1,0.0,3.9,0,9.8,2
7.149,22,20,56,57.232,51,47.0,35,399.49,33.751,35.029,51.232,23,0.036,30,5,21,17,2,45.1,0.0,3.9,0,9.8,2
6.578,22,20,62,64.062,57,49.0,37,427.55,36.805,38.551,57.0,25,0.048,32,5,25,17,2,43.9,0.0,3.5,0,8.8,2
7.036,22,20,65,67.478,60,50.0,38,441.58,38.331,40.313,59.883,26,0.062,33,5,27,17,2,43.3,0.0,3.3,0,8.3,2
5.463,26,24,81,88.288,77,64.0,50,637.7,50.203,50.813,79.116,32,0.099,46,7,31,24,2,41.6,5.2,3.9,4,9.1,3
7.553,22,20,62,64.062,57,49.0,37,427.55,36.805,38.551,57.0,25,0.048,32,5,25,17,2,43.9,0.0,3.5,0,8.8,2
7.523,22,20,65,67.478,60,50.0,38,441.58,38.331,40.313,59.883,26,0.062,33,5,27,17,2,43.3,0.0,3.3,0,8.3,2
7.523,22,20,68,70.893,63,51.0,39,455.61,39.858,42.074,62.767,27,0.059,34,5,29,17,2,42.9,0.0,3.2,0,7.9,2
7.638,22,20,77,81.138,72,54.0,42,497.7,44.439,47.358,71.418,30,0.078,37,5,35,17,2,41.7,0.0,2.8,0,6.9,2
8.0,22,20,65,67.478,60,50.0,38,441.58,38.331,40.313,59.883,26,0.062,33,5,27,17,2,43.3,0.0,3.3,0,8.3,2
7.337,22,20,74,77.723,69,53.0,41,483.67,42.912,45.597,68.534,29,0.068,36,5,33,17,2,42.0,0.0,2.9,0,7.2,2
5.877,21,20,46,45.694,41,41.0,30,328.4,27.961,29.046,41.036,20,0.0,25,4,16,16,1,48.8,0.0,2.4,0,9.8,1
6.523,26,24,53,54.942,49,52.0,38,476.89,35.797,35.995,50.596,25,0.075,34,4,15,24,2,51.0,6.1,4.1,2,8.2,2
4.602,20,18,46,50.338,44,42.0,31,400.39,30.353,30.074,45.785,20,0.087,29,4,15,18,2,45.5,6.8,4.5,3,9.1,2
5.398,23,22,60,62.401,56,48.0,36,428.52,36.697,38.205,56.232,26,0.1,32,2,24,20,1,46.4,0.0,7.1,0,3.6,4
4.602,20,18,71,78.035,68,53.0,42,542.62,43.271,44.108,69.618,27,0.127,39,6,29,18,2,39.7,4.4,4.4,3,8.8,3
5.081,24,22,59,62.694,56,49.0,36,445.51,36.906,37.904,56.778,25,0.136,33,3,23,21,2,44.6,0.0,8.9,0,5.4,5
5.276,24,22,49,51.239,46,45.0,32,387.42,31.611,32.165,46.8,22,0.102,29,3,17,21,2,47.8,0.0,8.7,0,6.5,4
5.0,12,11,34,35.411,32,28.5,21,287.44,22.072,24.12,31.876,14,0.029,19,3,13,9,0,43.8,0.0,0.0,0,9.4,0
4.699,18,18,51,55.358,49,38.0,29,366.46,30.971,32.239,49.342,20,0.137,27,4,22,16,0,40.8,0.0,6.1,0,8.2,3
7.721,23,22,46,48.535,43,43.0,31,394.47,30.048,30.881,43.945,19,0.065,28,6,15,18,1,44.2,2.3,2.3,1,14.0,1
7.959,28,26,71,73.027,65,60.0,45,523.61,43.429,44.705,65.723,30,0.07,39,5,26,23,2,46.2,1.5,4.6,1,7.7,3
8.097,28,26,79,82.016,73,62.0,47,548.7,47.121,49.296,73.08,32,0.063,41,6,32,23,2,43.8,0.0,4.1,0,8.2,3
7.602,25,24,82,89.973,79,58.0,45,572.76,48.886,51.313,79.236,31,0.146,42,8,37,21,1,39.2,1.3,2.5,1,10.1,2
4.602,23,22,55,57.986,52,45.0,33,402.48,34.17,35.443,52.349,24,0.109,30,2,22,20,1,46.2,0.0,7.7,0,3.8,4
6.0,23,22,49,51.472,46,44.0,32,408.87,31.745,32.574,46.898,21,0.082,29,4,17,20,1,45.7,2.2,6.5,0,8.7,3
7.886,27,25,68,68.843,62,57.5,43,529.1,42.325,44.813,62.182,29,0.059,37,4,25,21,2,46.8,1.6,3.2,0,6.5,2
4.602,20,18,56,62.504,54,47.0,36,476.48,35.832,35.546,56.269,22,0.107,34,6,20,18,2,40.7,7.4,3.7,4,11.1,2
9.0,24,23,64,67.109,60,51.5,39,471.55,39.433,40.665,60.662,27,0.078,35,3,25,22,1,45.0,0.0,8.3,0,5.0,5
5.796,24,23,64,67.109,60,51.5,39,471.55,39.433,40.665,60.662,27,0.078,35,3,25,22,1,45.0,0.0,8.3,0,5.0,5
6.604,23,22,52,55.283,49,45.0,33,406.45,32.828,33.415,49.971,22,0.077,30,4,19,20,1,44.9,2.0,6.1,1,8.2,3
5.824,24,23,67,70.524,63,52.5,40,485.58,40.96,42.426,63.545,28,0.09,36,3,27,22,1,44.4,0.0,7.9,0,4.8,5
6.585,24,23,67,70.524,63,52.5,40,485.58,40.96,42.426,63.545,28,0.09,36,3,27,22,1,44.4,0.0,7.9,0,4.8,5
5.081,23,22,53,54.362,49,45.0,33,384.46,32.928,34.228,49.138,24,0.094,29,2,20,20,1,49.0,0.0,6.1,0,4.1,3
5.398,18,17,59,63.109,56,43.5,34,423.51,35.433,36.665,56.662,23,0.085,31,3,25,16,1,41.1,0.0,8.9,0,5.4,5
6.959,24,23,61,63.638,57,51.5,39,491.96,38.734,39.761,58.102,26,0.082,35,3,22,22,1,45.6,1.8,8.8,0,5.3,5
5.658,24,23,61,63.638,57,51.5,39,491.96,38.734,39.761,58.102,26,0.082,35,3,22,22,1,45.6,1.8,8.8,0,5.3,5
5.081,23,22,48,50.239,45,43.0,31,375.41,30.611,31.165,45.8,21,0.104,28,3,17,19,1,46.7,0.0,8.9,0,6.7,4
4.602,23,22,52,54.571,49,44.0,32,388.45,32.643,33.682,49.465,23,0.096,29,2,20,20,1,46.9,0.0,8.2,0,4.1,4
5.027,23,22,60,62.401,56,48.0,36,428.52,36.697,38.205,56.232,26,0.117,32,2,24,20,1,46.4,0.0,7.1,0,3.6,4
4.602,26,24,81,86.403,76,64.0,50,615.7,49.624,50.631,77.534,32,0.099,45,7,31,24,2,42.1,2.6,5.3,2,9.2,4
4.602,20,18,72,79.244,69,54.0,43,558.62,43.986,44.563,70.945,27,0.125,40,6,29,18,2,39.1,4.3,5.8,3,8.7,4
6.429,21,20,58,59.355,53,45.0,34,384.52,34.068,36.091,52.571,24,0.034,29,4,24,16,1,45.3,0.0,1.9,0,7.5,1
5.958,21,20,52,52.524,47,43.0,32,356.46,31.015,32.569,46.803,22,0.019,27,4,20,16,1,46.8,0.0,2.1,0,8.5,1
5.398,23,22,50,51.555,46,46.0,34,421.87,32.24,32.818,47.116,21,0.06,30,5,16,19,1,45.7,2.2,6.5,0,10.9,3
6.367,25,23,64,67.192,60,53.5,40,484.55,39.928,40.909,60.88,27,0.078,36,4,24,23,2,45.0,0.0,8.3,0,6.7,5
4.602,20,18,55,60.876,53,46.0,35,459.47,35.142,35.057,54.981,22,0.109,33,5,20,18,2,41.5,5.7,5.7,3,9.4,3
6.866,21,20,55,55.939,50,44.0,33,370.49,32.542,34.33,49.687,23,0.036,28,4,22,16,1,46.0,0.0,2.0,0,8.0,1
4.602,26,24,63,68.291,60,55.0,41,521.54,40.669,40.818,61.865,27,0.111,38,5,22,24,2,45.0,5.0,5.0,3,8.3,3
4.602,20,18,58,64.291,56,47.0,36,473.5,36.669,36.818,57.865,23,0.103,34,5,22,18,2,41.1,5.4,5.4,3,8.9,3
5.081,26,24,80,86.739,76,62.0,48,603.71,49.104,50.421,77.276,32,0.088,44,7,32,24,2,42.1,3.9,2.6,3,9.2,2
5.081,26,24,78,82.988,73,63.0,49,601.67,48.097,48.87,74.65,31,0.09,44,7,29,24,2,42.5,2.7,5.5,2,9.6,4
5.301,26,24,75,79.516,70,63.0,49,622.08,47.398,47.966,72.091,30,0.093,44,7,26,24,2,42.9,4.3,5.7,2,10.0,4
4.602,23,22,59,62.611,56,47.0,35,432.51,36.412,37.659,56.56,25,0.136,32,2,24,20,1,44.6,0.0,8.9,0,3.6,5
5.081,23,22,62,66.026,59,48.0,36,446.54,37.938,39.421,59.443,26,0.145,33,2,26,20,1,44.1,0.0,8.5,0,3.4,5
4.602,20,18,66,71.474,63,48.0,37,459.61,39.374,41.324,63.087,25,0.091,34,7,29,18,2,39.7,0.0,3.2,0,11.1,2
5.0,22,20,54,54.734,49,46.0,34,384.47,32.73,34.023,49.131,23,0.019,29,4,20,17,2,46.9,0.0,4.1,0,8.2,2
4.602,20,18,67,73.41,64,51.0,40,512.59,41.029,41.892,65.407,26,0.09,37,6,27,18,2,40.6,4.7,3.1,3,9.4,2
4.602,20,18,50,55.334,48,44.0,33,430.43,32.396,32.086,49.989,20,0.08,31,6,17,18,2,41.7,6.3,4.2,3,12.5,2
4.602,20,18,71,78.035,68,53.0,42,542.62,43.271,44.108,69.618,27,0.099,39,6,29,18,2,39.7,4.4,4.4,3,8.8,3
