pXC50,SpMAD_EA.ed.,Hy,GATS2v,SpMax3_Bh.p.,SpMin1_Bh.s.,JGI3,P_VSA_LogP_2,Eta_epsi_A,MATS1p,Eta_B_A,MATS2p,CATS2D_03_AA,SpMAD_AEA.ri.,SpMAD_EA,X3A,H.050,nHDon,CATS2D_04_DL,P_VSA_i_4,Me,P_VSA_MR_5,P_VSA_e_3,MATS2v,CATS2D_02_AA,H.052,H.,CATS2D_07_AA,GATS7e,Eig01_AEA.ri.,SpMax_AEA.ri.,GATS1e,Eta_L_A,C.003,nCt,GATS2p,O.,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,MATS1m,CATS2D_05_DL,SpMAD_AEA.ed.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,X4A,MATS4s,ATSC2e,SpDiam_AEA.ri.,Psi_e_A,Psi_i_A,CATS2D_03_AL,NssO,SssO,AAC,IC0,NddssS,S.110,SddssS,CATS2D_03_DL,SM13_EA.ed.,GATS1m,MATS1i,MAXDN,Eig01_AEA.ed.,Eig01_EA.ed.
4.967,3.911,3.875,1.141,3.683,1.3,0.042,100.973,0.613,0.195,0.025,-0.125,0,1.446,1.446,0.198,7,7,9,86.929,1.013,100.973,86.929,-0.126,0,2,45.7,0,1.125,3.886,3.886,0.816,0.279,0,0,1.18,8.6,2.872,4.872,2.872,0.131,11,1.5,2.894,2.894,2.894,0.129,-0.091,0.452,4.968,8.105,2.605,2,0,0.0,1.733,1.733,0,0,0.0,7,29.402,0.685,0.112,2.631,6.163,9.131
4.311,3.835,3.145,1.151,3.682,1.3,0.04,98.438,0.594,0.187,0.023,-0.145,0,1.441,1.442,0.204,6,6,6,86.929,1.006,98.438,86.929,-0.144,0,2,46.9,0,1.184,3.842,3.842,0.808,0.286,0,0,1.182,6.3,2.803,4.803,2.803,0.152,9,1.483,2.86,2.86,2.86,0.132,-0.133,0.283,4.924,7.946,2.446,1,0,0.0,1.699,1.699,0,0,0.0,6,28.721,0.682,0.102,2.034,6.054,8.718
5.035,3.835,3.174,1.135,3.677,1.3,0.04,98.438,0.605,0.175,0.023,-0.134,0,1.441,1.442,0.204,6,6,5,103.715,1.009,116.533,103.715,-0.133,0,2,46.0,0,1.117,3.842,3.842,0.819,0.283,0,0,1.172,6.3,2.803,4.803,2.803,0.152,8,1.483,2.86,2.86,2.86,0.132,-0.14,0.329,4.924,7.975,2.475,2,0,0.0,1.747,1.747,0,0,0.0,5,28.721,0.671,0.048,2.055,6.054,8.718
5.265,3.875,3.835,1.152,3.69,1.305,0.042,103.507,0.606,0.188,0.025,-0.128,0,1.441,1.441,0.199,7,7,9,86.929,1.011,103.507,86.929,-0.128,0,2,46.6,0,1.004,3.887,3.887,0.812,0.285,0,0,1.187,8.2,2.873,4.873,2.873,0.13,11,1.491,2.894,2.894,2.894,0.129,-0.093,0.442,4.971,8.077,2.577,3,0,0.0,1.712,1.712,0,0,0.0,8,29.402,0.697,0.107,2.628,6.163,9.131
4.924,3.875,3.835,1.152,3.69,1.305,0.042,103.507,0.606,0.188,0.025,-0.128,0,1.441,1.441,0.199,7,7,9,86.929,1.011,103.507,86.929,-0.128,0,2,46.6,0,1.004,3.887,3.887,0.812,0.285,0,0,1.187,8.2,2.873,4.873,2.873,0.13,11,1.491,2.894,2.894,2.894,0.129,-0.093,0.442,4.971,8.077,2.577,3,0,0.0,1.712,1.712,0,0,0.0,8,29.402,0.697,0.107,2.628,6.163,9.131
4.102,3.849,1.054,1.158,3.504,1.343,0.047,40.501,0.549,0.084,0.03,-0.074,0,1.452,1.451,0.207,3,3,4,32.897,0.995,58.151,32.897,-0.055,0,2,53.5,0,1.59,3.892,3.892,0.759,0.282,2,2,1.228,7.0,2.903,4.903,2.903,-0.029,3,1.515,2.883,2.883,2.883,0.135,-0.123,0.165,4.892,8.075,2.575,4,0,0.0,1.408,1.408,0,0,0.0,4,28.43,0.984,0.131,2.612,6.078,8.775
4.745,3.706,1.25,1.176,3.357,1.308,0.069,58.083,0.518,-0.034,0.036,-0.074,1,1.43,1.427,0.227,3,3,5,50.908,0.989,93.384,50.908,-0.021,0,4,60.0,0,2.485,3.924,3.924,0.738,0.345,2,2,1.282,5.0,2.956,4.854,2.956,-0.042,1,1.523,2.902,2.902,2.902,0.155,0.023,0.155,4.902,8.021,2.521,1,0,0.0,1.395,1.395,0,0,0.0,2,28.636,1.14,-0.039,2.214,6.265,9.059
4.979,3.706,1.25,1.176,3.357,1.308,0.069,58.083,0.518,-0.034,0.036,-0.074,1,1.43,1.427,0.227,3,3,5,50.908,0.989,93.384,50.908,-0.021,0,4,60.0,0,2.485,3.924,3.924,0.738,0.345,2,2,1.282,5.0,2.956,4.854,2.956,-0.042,1,1.523,2.902,2.902,2.902,0.155,0.023,0.155,4.902,8.021,2.521,1,0,0.0,1.395,1.395,0,0,0.0,2,28.636,1.14,-0.039,2.214,6.265,9.059
4.62,3.706,2.137,1.243,3.359,1.327,0.069,58.083,0.508,-0.007,0.036,-0.089,0,1.424,1.427,0.227,4,4,6,50.908,0.987,93.384,50.908,-0.048,0,4,61.9,0,2.158,3.878,3.878,0.948,0.366,2,2,1.344,4.8,2.824,4.721,2.824,-0.054,4,1.523,2.902,2.902,2.902,0.155,0.029,0.176,4.858,7.938,2.438,0,0,0.0,1.363,1.363,0,0,0.0,3,28.636,1.229,-0.02,2.422,6.265,9.059
5.602,3.689,1.096,1.134,3.485,1.304,0.052,58.083,0.542,0.038,0.026,-0.086,1,1.429,1.426,0.218,3,3,5,50.908,0.993,75.733,50.908,-0.056,0,4,53.7,0,2.2,3.933,3.933,0.72,0.274,1,1,1.204,4.9,2.964,4.964,2.964,-0.015,3,1.489,2.913,2.913,2.913,0.142,-0.005,0.134,4.933,7.956,2.456,1,0,0.0,1.438,1.438,0,0,0.0,2,28.721,0.985,0.052,2.246,6.27,9.095
4.541,5.045,-0.733,0.734,3.478,1.329,0.071,3.124,0.679,-0.008,0.04,0.083,0,1.562,1.565,0.164,0,0,0,62.965,1.032,38.425,3.124,0.221,1,0,38.6,0,0.771,4.476,4.476,0.513,0.241,2,2,0.799,2.3,3.371,5.371,3.371,0.013,0,1.737,3.516,3.516,3.516,0.098,0.245,0.372,5.5,8.451,2.951,5,0,0.0,1.734,1.734,0,0,0.0,0,33.692,0.552,-0.033,3.689,7.348,13.183
4.007,5.045,-0.733,0.706,3.478,1.33,0.071,3.124,0.668,-0.009,0.04,0.066,0,1.565,1.565,0.164,0,0,0,62.965,1.026,38.425,3.124,0.216,0,0,38.6,0,0.55,4.461,4.461,0.51,0.245,2,2,0.738,0.0,3.321,5.321,3.321,0.009,0,1.737,3.516,3.516,3.516,0.098,0.233,0.276,5.486,8.327,2.827,4,0,0.0,1.688,1.688,0,0,0.0,0,33.692,0.522,-0.032,3.556,7.348,13.183
4.462,4.628,-0.354,0.866,3.342,1.285,0.076,8.193,0.595,0.035,0.026,0.059,0,1.503,1.501,0.165,1,1,1,3.124,1.004,25.844,3.124,0.099,2,0,43.6,0,1.355,4.415,4.415,0.689,0.226,0,0,0.938,7.7,3.363,5.363,3.363,0.022,0,1.651,3.435,3.435,3.435,0.104,0.229,0.146,5.434,7.97,2.47,8,0,0.0,1.457,1.457,0,0,0.0,2,33.17,0.767,-0.045,2.117,7.23,12.744
6.301,4.18,0.509,1.038,3.001,1.338,0.037,37.966,0.559,0.152,0.026,-0.063,0,1.473,1.471,0.191,2,2,2,32.897,0.993,37.966,32.897,-0.044,0,2,47.8,0,1.468,4.005,4.005,0.701,0.241,0,0,1.096,4.3,3.015,5.015,3.015,0.001,2,1.534,3.0,3.0,3.0,0.119,-0.115,0.031,5.005,7.861,2.361,2,0,0.0,1.425,1.425,0,0,0.0,2,29.271,0.855,0.235,1.611,6.274,9.486
4.699,4.419,0.573,0.987,2.879,1.164,0.084,35.432,0.578,0.175,0.027,-0.046,0,1.51,1.512,0.183,2,2,2,32.897,0.998,35.432,32.897,-0.028,0,0,45.0,0,0.0,4.148,4.148,0.698,0.223,0,0,1.048,5.0,3.153,5.153,3.153,-0.005,1,1.596,3.145,3.145,3.145,0.115,-0.07,0.019,5.148,7.939,2.439,2,0,0.0,1.469,1.469,0,0,0.0,3,30.654,0.806,0.266,1.703,6.649,10.572
5.699,4.06,0.455,1.08,3.136,1.284,0.03,40.501,0.545,0.134,0.024,-0.078,0,1.458,1.459,0.196,2,2,2,32.897,0.99,40.501,32.897,-0.059,0,2,50.0,0,1.233,3.951,3.951,0.706,0.261,0,0,1.134,3.8,2.962,4.962,2.962,0.005,2,1.513,2.945,2.945,2.945,0.123,-0.128,0.041,4.951,7.795,2.295,2,0,0.0,1.387,1.387,0,0,0.0,2,29.008,0.898,0.21,1.59,6.208,9.259
4.222,4.06,1.314,1.143,3.139,1.286,0.03,40.501,0.527,0.181,0.024,-0.075,0,1.46,1.459,0.196,3,3,5,32.897,0.986,40.501,32.897,-0.073,0,4,53.6,0,1.04,3.934,3.934,1.09,0.29,0,0,1.188,3.6,2.915,4.915,2.915,-0.011,4,1.513,2.945,2.945,2.945,0.123,-0.111,0.064,4.934,7.692,2.192,0,0,0.0,1.355,1.355,0,0,0.0,4,29.008,1.016,0.247,1.705,6.208,9.259
4.0,4.294,2.266,1.062,3.714,1.272,0.048,64.212,0.64,0.07,0.032,-0.085,1,1.499,1.499,0.189,5,5,6,116.923,1.023,81.863,72.043,-0.029,1,3,44.9,0,0.805,4.028,4.028,0.661,0.266,1,1,1.209,5.8,2.893,4.893,2.893,0.018,4,1.572,3.097,3.097,3.097,0.124,-0.009,0.581,5.135,8.333,2.833,2,0,0.0,1.811,1.811,0,0,0.0,9,30.95,0.745,-0.021,2.968,6.636,10.549
4.0,3.911,2.217,1.13,3.719,1.355,0.038,89.356,0.565,0.039,0.023,-0.102,1,1.45,1.447,0.202,5,5,7,72.043,0.998,89.356,72.043,-0.091,1,6,50.0,0,1.329,4.078,4.078,0.792,0.26,0,0,1.185,5.6,3.012,5.012,3.012,0.01,9,1.503,3.108,3.108,3.108,0.128,-0.141,0.281,5.124,7.903,2.403,5,0,0.0,1.493,1.493,0,0,0.0,8,30.609,0.906,-0.017,2.204,6.643,10.441
5.305,3.892,3.784,1.186,3.717,1.353,0.034,106.777,0.591,0.095,0.024,-0.15,0,1.444,1.443,0.2,7,7,13,86.929,1.007,106.777,86.929,-0.137,0,6,48.0,0,1.311,3.935,3.935,0.81,0.257,0,0,1.262,8.0,2.902,4.902,2.902,-0.012,15,1.496,2.949,2.949,2.949,0.127,-0.103,0.394,4.982,8.085,2.585,4,0,0.0,1.555,1.555,0,0,0.0,11,29.686,0.877,0.071,2.64,6.197,9.205
4.921,3.892,3.784,1.201,3.709,1.42,0.034,111.846,0.583,0.09,0.024,-0.149,0,1.444,1.443,0.2,7,7,13,86.929,1.005,111.846,86.929,-0.133,0,6,49.4,0,1.297,3.935,3.935,0.807,0.27,0,0,1.28,7.8,2.902,4.902,2.902,-0.01,15,1.496,2.949,2.949,2.949,0.127,-0.091,0.389,4.982,8.06,2.56,4,0,0.0,1.542,1.542,0,0,0.0,11,29.686,0.896,0.065,2.631,6.197,9.205
5.484,3.925,3.822,1.191,3.704,1.406,0.035,109.311,0.589,0.095,0.025,-0.145,0,1.448,1.447,0.199,7,7,13,86.929,1.007,109.311,86.929,-0.13,0,6,48.6,0,1.322,3.936,3.936,0.809,0.264,0,0,1.271,8.1,2.902,4.902,2.902,-0.011,15,1.504,2.949,2.949,2.949,0.127,-0.098,0.399,4.977,8.088,2.588,4,0,0.0,1.558,1.558,0,0,0.0,11,29.686,0.884,0.067,2.632,6.197,9.205
5.079,3.849,3.087,1.205,3.703,1.406,0.031,106.777,0.569,0.079,0.022,-0.169,0,1.443,1.442,0.204,6,6,10,86.929,1.0,106.777,86.929,-0.147,0,6,50.0,0,1.469,3.932,3.932,0.807,0.269,0,0,1.28,5.9,2.896,4.896,2.896,0.001,13,1.489,2.946,2.946,2.946,0.13,-0.141,0.237,4.97,7.926,2.426,3,0,0.0,1.511,1.511,0,0,0.0,10,29.221,0.91,0.054,2.228,6.193,9.188
5.969,3.925,3.822,1.176,3.713,1.292,0.035,104.242,0.597,0.1,0.025,-0.147,0,1.448,1.447,0.199,7,7,13,86.929,1.009,104.242,86.929,-0.135,0,6,47.2,0,1.278,3.936,3.936,0.813,0.25,0,0,1.253,8.3,2.902,4.902,2.902,-0.014,15,1.504,2.949,2.949,2.949,0.127,-0.119,0.403,4.977,8.114,2.614,4,0,0.0,1.571,1.571,0,0,0.0,11,29.686,0.864,0.074,2.639,6.197,9.205
5.267,3.925,3.822,1.176,3.713,1.292,0.035,104.242,0.597,0.1,0.025,-0.147,0,1.448,1.447,0.199,7,7,13,86.929,1.009,104.242,86.929,-0.135,0,6,47.2,0,1.278,3.936,3.936,0.813,0.25,0,0,1.253,8.3,2.902,4.902,2.902,-0.014,15,1.504,2.949,2.949,2.949,0.127,-0.119,0.403,4.977,8.114,2.614,4,0,0.0,1.571,1.571,0,0,0.0,11,29.686,0.864,0.074,2.639,6.197,9.205
6.62,3.875,3.784,1.186,3.715,1.317,0.042,106.777,0.591,0.095,0.025,-0.15,0,1.441,1.441,0.199,7,7,13,86.929,1.007,106.777,86.929,-0.137,0,6,48.0,0,1.054,3.887,3.887,0.81,0.255,0,0,1.262,8.0,2.873,4.873,2.873,-0.012,15,1.491,2.894,2.894,2.894,0.129,-0.077,0.394,4.929,8.085,2.585,3,0,0.0,1.555,1.555,0,0,0.0,10,29.402,0.877,0.071,2.631,6.163,9.131
5.886,3.875,4.661,1.17,3.683,1.303,0.042,103.814,0.6,0.091,0.025,-0.139,0,1.441,1.441,0.199,8,8,14,104.94,1.01,121.824,104.94,-0.134,0,4,47.3,0,1.096,3.884,3.884,0.842,0.246,0,0,1.242,8.1,2.87,4.87,2.87,-0.015,17,1.491,2.894,2.894,2.894,0.129,-0.066,0.467,4.934,8.111,2.611,2,0,0.0,1.598,1.598,0,0,0.0,9,29.402,0.87,0.042,2.643,6.163,9.131
5.804,3.779,2.281,1.195,3.712,1.291,0.031,101.708,0.563,0.061,0.02,-0.175,0,1.437,1.437,0.204,5,5,9,86.929,0.996,101.708,86.929,-0.165,0,6,49.2,0,1.62,3.93,3.93,0.746,0.256,0,0,1.25,4.6,2.894,4.894,2.894,0.01,12,1.474,2.944,2.944,2.944,0.131,-0.168,0.25,4.969,7.859,2.359,3,0,0.0,1.484,1.484,0,0,0.0,8,29.211,0.893,0.043,2.163,6.192,9.187
4.921,3.779,2.281,1.195,3.712,1.291,0.031,101.708,0.563,0.061,0.02,-0.175,0,1.437,1.437,0.204,5,5,9,86.929,0.996,101.708,86.929,-0.165,0,6,49.2,0,1.62,3.93,3.93,0.746,0.256,0,0,1.25,4.6,2.894,4.894,2.894,0.01,12,1.474,2.944,2.944,2.944,0.131,-0.168,0.25,4.969,7.859,2.359,3,0,0.0,1.484,1.484,0,0,0.0,8,29.211,0.893,0.043,2.163,6.192,9.187
4.0,3.911,2.217,1.13,3.719,1.355,0.038,89.356,0.565,0.039,0.023,-0.102,1,1.45,1.447,0.202,5,5,7,72.043,0.998,89.356,72.043,-0.091,1,6,50.0,0,1.329,4.078,4.078,0.792,0.26,0,0,1.185,5.6,3.012,5.012,3.012,0.01,9,1.503,3.108,3.108,3.108,0.128,-0.141,0.281,5.124,7.903,2.403,5,0,0.0,1.493,1.493,0,0,0.0,8,30.609,0.906,-0.017,2.204,6.643,10.441
4.0,3.911,2.217,1.13,3.719,1.331,0.038,89.356,0.565,0.039,0.023,-0.102,1,1.45,1.447,0.202,5,5,7,72.043,0.998,89.356,72.043,-0.091,1,6,50.0,0,1.254,4.078,4.078,0.792,0.26,0,0,1.185,5.6,3.012,5.012,3.012,0.01,9,1.503,3.108,3.108,3.108,0.128,-0.154,0.281,5.124,7.903,2.403,5,0,0.0,1.493,1.493,0,0,0.0,8,30.609,0.906,-0.017,2.198,6.643,10.441
4.0,3.911,2.217,1.13,3.719,1.331,0.038,89.356,0.565,0.039,0.023,-0.102,1,1.45,1.447,0.202,5,5,7,72.043,0.998,89.356,72.043,-0.091,1,6,50.0,0,1.254,4.078,4.078,0.792,0.26,0,0,1.185,5.6,3.012,5.012,3.012,0.01,9,1.503,3.108,3.108,3.108,0.128,-0.154,0.281,5.124,7.903,2.403,5,0,0.0,1.493,1.493,0,0,0.0,8,30.609,0.906,-0.017,2.198,6.643,10.441
4.178,4.005,5.023,1.172,3.555,1.252,0.044,108.562,0.629,0.17,0.027,-0.123,0,1.453,1.455,0.206,8,8,8,107.486,1.02,108.562,107.486,-0.121,1,2,45.8,0,1.064,3.939,3.939,0.756,0.228,0,0,1.278,10.2,2.886,4.886,2.886,-0.026,9,1.544,2.964,2.964,2.964,0.129,-0.149,0.482,4.963,8.349,2.849,7,0,0.0,1.684,1.684,0,0,0.0,5,29.699,0.845,0.177,2.785,6.336,9.408
4.404,3.982,5.861,1.153,3.66,1.303,0.046,108.991,0.555,0.128,0.029,-0.083,0,1.46,1.46,0.205,9,9,12,134.713,0.996,126.641,134.713,-0.06,0,4,52.2,0,1.461,3.928,3.928,0.957,0.261,1,1,1.238,4.5,2.879,4.879,2.879,-0.026,11,1.529,2.952,2.952,2.952,0.13,-0.129,0.23,4.954,7.953,2.453,2,0,0.0,1.5,1.5,0,0,0.0,9,29.625,0.997,0.144,2.308,6.332,9.391
7.959,4.213,0.238,1.024,3.473,1.319,0.034,40.501,0.544,0.122,0.022,-0.056,0,1.484,1.483,0.183,2,2,2,32.897,0.986,40.501,32.897,-0.047,0,2,47.2,0,1.275,4.147,4.147,0.7,0.236,0,0,1.056,2.8,3.151,5.151,3.151,0.022,2,1.524,3.145,3.145,3.145,0.114,-0.135,0.055,5.147,7.667,2.167,2,0,0.0,1.31,1.31,0,0,0.0,2,31.063,0.858,0.186,1.643,6.703,10.887
5.463,3.823,0.451,1.016,3.268,1.285,0.021,15.372,0.619,0.201,0.018,-0.033,0,1.429,1.43,0.2,2,2,1,14.473,1.009,15.372,14.473,-0.082,0,0,40.7,0,1.588,3.912,3.912,0.66,0.219,0,0,1.085,7.4,2.893,4.893,2.893,0.032,2,1.487,2.924,2.924,2.924,0.124,-0.079,0.114,5.001,7.969,2.469,1,0,0.0,1.678,1.678,0,0,0.0,1,28.898,0.734,0.284,2.057,6.183,9.226
4.486,4.094,1.777,1.086,3.449,1.333,0.034,37.124,0.605,0.135,0.02,-0.081,0,1.47,1.468,0.188,4,4,8,50.494,1.008,55.134,50.494,-0.114,0,2,44.2,0,1.631,4.029,4.029,0.723,0.222,0,0,1.114,7.0,2.999,4.999,2.999,0.005,9,1.53,3.041,3.041,3.041,0.119,-0.088,0.214,5.072,7.979,2.479,2,0,0.0,1.583,1.583,0,0,0.0,6,30.369,0.804,0.13,2.342,6.475,10.047
9.456,4.316,0.262,0.92,3.492,1.326,0.04,40.501,0.556,0.091,0.025,-0.003,0,1.5,1.486,0.181,2,2,2,32.897,0.992,40.501,78.851,-0.014,0,2,44.4,0,1.402,4.19,4.19,0.655,0.254,0,0,0.837,2.8,3.164,5.164,3.164,-0.002,1,1.549,3.202,3.202,3.202,0.111,-0.16,0.042,5.19,7.679,2.179,2,0,0.0,1.462,1.462,0,0,0.0,2,31.437,0.489,0.191,1.669,6.797,11.198
4.87,3.834,13.666,1.247,3.63,1.296,0.042,291.379,0.63,0.094,0.029,-0.172,0,1.436,1.436,0.208,18,18,10,317.957,1.023,324.95,302.997,-0.133,0,12,48.5,2,1.138,3.954,3.954,0.898,0.257,0,0,1.405,8.2,2.913,4.913,2.913,-0.052,11,1.512,2.97,2.97,2.97,0.131,-0.164,0.954,5.006,8.467,2.967,7,0,0.0,1.765,1.765,0,0,0.0,9,29.681,0.903,-0.028,3.06,6.225,9.292
5.095,3.783,13.727,1.259,3.63,1.296,0.043,291.379,0.615,0.095,0.028,-0.171,0,1.43,1.432,0.208,18,18,10,302.997,1.018,324.95,302.997,-0.141,0,12,49.5,2,1.235,3.953,3.953,0.947,0.258,0,0,1.405,8.2,2.912,4.912,2.912,-0.051,11,1.502,2.969,2.969,2.969,0.133,-0.162,0.874,5.005,8.371,2.871,7,0,0.0,1.693,1.693,0,0,0.0,9,29.675,0.937,-0.01,3.03,6.225,9.291
4.432,3.803,12.0,1.232,3.625,1.294,0.042,253.413,0.609,0.077,0.028,-0.152,0,1.434,1.435,0.208,16,16,9,270.1,1.016,295.809,270.1,-0.122,0,13,50.0,2,1.281,3.951,3.951,0.957,0.258,0,0,1.369,7.8,2.91,4.91,2.91,-0.047,11,1.505,2.967,2.967,2.967,0.132,-0.164,0.79,5.002,8.322,2.822,6,0,0.0,1.678,1.678,0,0,0.0,7,29.629,0.946,-0.038,3.009,6.223,9.286
4.187,3.858,10.149,1.232,3.617,1.284,0.043,218.41,0.621,0.082,0.029,-0.165,0,1.439,1.441,0.209,14,14,7,220.417,1.02,244.021,220.417,-0.129,0,11,48.8,1,1.286,3.943,3.943,0.901,0.255,0,0,1.378,9.5,2.902,4.902,2.902,-0.047,9,1.519,2.96,2.96,2.96,0.132,-0.177,0.782,4.995,8.419,2.919,6,0,0.0,1.697,1.697,0,0,0.0,8,29.524,0.913,-0.006,3.013,6.208,9.225
4.155,3.787,14.27,1.279,3.563,1.292,0.046,288.845,0.623,0.058,0.031,-0.197,0,1.43,1.43,0.214,18,18,7,302.997,1.023,331.241,302.997,-0.133,0,13,50.6,2,1.176,3.921,3.921,0.972,0.269,0,0,1.483,9.2,2.878,4.784,2.878,-0.062,7,1.515,2.938,2.938,2.938,0.137,-0.185,0.919,4.973,8.512,3.012,7,0,0.0,1.716,1.716,0,0,0.0,8,29.43,0.958,-0.105,3.024,6.175,9.068
4.328,3.806,12.783,1.242,3.63,1.296,0.042,291.379,0.606,0.08,0.029,-0.167,0,1.441,1.44,0.209,17,17,10,302.997,1.015,333.776,302.997,-0.125,0,15,50.0,2,1.238,3.945,3.945,0.919,0.259,0,0,1.39,7.3,2.906,4.906,2.906,-0.044,12,1.503,2.961,2.961,2.961,0.132,-0.205,0.799,4.997,8.316,2.816,8,0,0.0,1.672,1.672,0,0,0.0,10,29.546,0.942,-0.016,2.955,6.207,9.229
4.155,3.858,10.149,1.232,3.581,1.296,0.041,218.41,0.621,0.082,0.029,-0.165,0,1.439,1.441,0.209,14,14,7,220.417,1.02,244.021,220.417,-0.129,0,11,48.8,1,1.22,3.951,3.951,0.901,0.255,0,0,1.378,9.5,2.91,4.91,2.91,-0.047,9,1.519,2.967,2.967,2.967,0.131,-0.179,0.782,4.999,8.419,2.919,6,0,0.0,1.697,1.697,0,0,0.0,8,29.583,0.913,-0.006,2.993,6.222,9.28
4.357,3.843,13.666,1.247,3.63,1.296,0.043,291.379,0.63,0.094,0.029,-0.172,0,1.436,1.436,0.206,18,18,9,317.957,1.023,324.95,302.997,-0.133,0,12,48.5,2,1.141,3.969,3.969,0.898,0.257,0,0,1.405,8.2,2.925,4.925,2.925,-0.052,10,1.516,2.987,2.987,2.987,0.131,-0.184,0.954,5.021,8.467,2.967,7,0,0.0,1.765,1.765,0,0,0.0,9,29.863,0.903,-0.028,3.071,6.251,9.38
4.187,3.843,13.666,1.189,3.63,1.296,0.043,291.379,0.62,0.097,0.029,-0.103,0,1.438,1.436,0.206,18,18,9,302.997,1.02,324.95,348.951,-0.111,0,12,48.5,2,1.217,3.965,3.965,0.944,0.265,0,0,1.211,8.2,2.915,4.915,2.915,-0.026,11,1.516,2.987,2.987,2.987,0.131,-0.173,0.905,5.017,8.362,2.862,7,0,0.0,1.765,1.765,0,0,0.0,9,29.863,0.639,0.001,3.035,6.251,9.38
4.0,3.833,13.666,1.247,3.63,1.296,0.046,291.379,0.63,0.094,0.029,-0.172,0,1.437,1.436,0.206,18,18,10,317.957,1.023,324.95,302.997,-0.133,0,12,48.5,2,1.123,3.955,3.955,0.898,0.257,0,0,1.405,8.2,2.914,4.914,2.914,-0.052,10,1.512,2.972,2.972,2.972,0.132,-0.155,0.954,5.007,8.467,2.967,7,0,0.0,1.765,1.765,0,0,0.0,9,29.694,0.903,-0.028,3.065,6.226,9.296
6.301,3.834,13.666,1.247,3.63,1.296,0.042,291.379,0.63,0.094,0.029,-0.172,0,1.436,1.436,0.208,18,18,10,317.957,1.023,324.95,302.997,-0.133,0,12,48.5,2,1.138,3.954,3.954,0.898,0.257,0,0,1.405,8.2,2.913,4.913,2.913,-0.052,11,1.512,2.97,2.97,2.97,0.131,-0.164,0.954,5.006,8.467,2.967,7,0,0.0,1.765,1.765,0,0,0.0,9,29.681,0.903,-0.028,3.06,6.225,9.292
4.319,3.834,13.666,1.212,3.63,1.296,0.042,291.379,0.626,0.101,0.029,-0.133,0,1.438,1.436,0.208,18,18,10,302.997,1.021,324.95,302.997,-0.118,0,12,48.5,2,1.202,3.954,3.954,0.933,0.26,0,0,1.314,8.2,2.912,4.912,2.912,-0.046,11,1.512,2.97,2.97,2.97,0.131,-0.17,0.92,5.006,8.389,2.889,7,0,0.0,1.765,1.765,0,0,0.0,9,29.681,0.826,-0.006,3.041,6.225,9.292
4.523,3.834,13.666,1.151,3.63,1.296,0.042,291.379,0.616,0.072,0.029,-0.04,0,1.44,1.436,0.208,18,18,10,302.997,1.019,324.95,302.997,-0.099,0,12,48.5,2,1.238,3.954,3.954,0.95,0.266,0,0,0.942,8.2,2.912,4.912,2.912,-0.014,11,1.512,2.97,2.97,2.97,0.131,-0.166,0.88,5.006,8.349,2.849,7,0,0.0,1.765,1.765,0,0,0.0,9,29.681,0.557,0.008,3.03,6.225,9.292
4.0,4.08,13.44,1.204,3.63,1.295,0.05,291.379,0.693,0.089,0.033,-0.179,0,1.46,1.459,0.202,18,18,8,377.798,1.044,324.95,302.997,-0.097,0,12,44.3,2,0.916,4.206,4.206,0.804,0.252,0,0,1.407,8.2,3.062,5.062,3.062,-0.057,7,1.573,3.265,3.265,3.265,0.125,-0.037,1.379,5.258,8.815,3.315,7,0,0.0,1.931,1.931,0,0,0.0,9,31.576,0.796,-0.072,4.196,6.877,11.213
6.301,3.783,13.727,1.259,3.63,1.296,0.043,291.379,0.615,0.095,0.028,-0.171,0,1.43,1.432,0.208,18,18,10,302.997,1.018,324.95,302.997,-0.141,0,12,49.5,2,1.235,3.953,3.953,0.947,0.258,0,0,1.405,8.2,2.912,4.912,2.912,-0.051,11,1.502,2.969,2.969,2.969,0.133,-0.162,0.874,5.005,8.371,2.871,7,0,0.0,1.693,1.693,0,0,0.0,9,29.675,0.937,-0.01,3.03,6.225,9.291
4.155,3.79,13.727,1.259,3.632,1.297,0.045,291.379,0.615,0.095,0.028,-0.171,0,1.433,1.435,0.206,18,18,10,302.997,1.018,324.95,302.997,-0.141,0,10,49.5,2,1.057,3.944,3.944,0.947,0.258,0,0,1.405,8.2,2.906,4.906,2.906,-0.051,13,1.502,2.961,2.961,2.961,0.133,-0.14,0.874,4.992,8.371,2.871,6,0,0.0,1.693,1.693,0,0,0.0,9,29.804,0.937,-0.01,3.012,6.237,9.384
4.268,3.764,13.647,1.267,3.63,1.31,0.04,293.914,0.609,0.091,0.027,-0.174,0,1.43,1.431,0.209,18,18,9,302.997,1.016,327.485,302.997,-0.145,0,12,50.0,2,1.217,3.941,3.941,0.941,0.263,0,0,1.409,8.0,2.898,4.898,2.898,-0.048,10,1.498,2.958,2.958,2.958,0.135,-0.159,0.866,4.993,8.343,2.843,7,0,0.0,1.68,1.68,0,0,0.0,9,29.613,0.945,-0.006,3.027,6.213,9.231
