pXC50,Eta_betaS_A,N.,Hy,Eig11_EA.dm.,GATS8v,ATSC7m,ATSC7v,JGI8,Eig12_EA.ed.,SM07_AEA.ri.,BIC0,SpMin5_Bh.i.,CATS2D_03_LL,ATSC5p,SpMax3_Bh.m.,Eig07_EA.bo.,GATS8p,ATSC1v,ATSC6p,Eta_FL,ATSC5v,P_VSA_i_4,P_VSA_LogP_7,ATS7i,SpMax5_Bh.v.,piPC04,SM04_EA.bo.,CATS2D_08_LL,X1Per,X1MulPer,piID,SpMax2_Bh.i.,Eig06_EA.bo.,ATS5p,Chi1_EA.bo.,Eig07_AEA.bo.,ATSC5i,Eta_beta,ATSC3p,ATS6s,SpMax6_Bh.v.,ATSC6v,P_VSA_s_3,Eig04_AEA.bo.,Eig05_EA.bo.,SM15_AEA.ri.,piPC02,SM02_EA.bo.,Eig06_AEA.bo.,GATS8m,ATS5m,SpMax4_Bh.m.,ATS6e,ATS6v,piPC03,ATS1v,nCt,SpMax6_Bh.p.,X5Av,Eta_betaP,Psi_i_s,ICR,Eig08_AEA.bo.,SpMax6_Bh.m.,Eig12_EA.dm.,piPC01,SCBO,X1Kup
5.89,0.587,2.0,-0.455,0.0,1.024,27.729,15.417,0.002,-0.248,-0.248,0.21,1.136,16,12.858,3.715,1.5,0.994,7.281,12.362,4.693,18.175,3.124,306.049,5.098,3.049,4.892,6.633,11,7.15,8.608,8.102,3.915,1.631,4.112,10.384,2.5,1.501,25.5,11.862,5.629,2.91,17.813,25.361,3.323,1.908,1.908,3.932,4.615,2.618,1.089,3.668,3.392,4.912,3.863,4.425,3.467,1,2.941,0.042,12.0,44.583,2.446,2.5,2.866,0.0,3.466,31.0,8.8
4.19,0.641,6.3,0.321,0.0,0.854,23.745,11.201,0.007,-0.704,-0.704,0.264,1.121,3,7.392,3.489,1.5,0.836,6.162,7.46,4.834,11.385,39.146,270.735,4.919,3.054,4.438,6.327,4,6.559,7.904,7.409,3.921,1.618,3.69,10.281,2.5,1.011,23.75,8.447,5.433,2.917,11.799,32.737,3.289,1.738,1.738,3.773,4.454,2.623,0.967,3.411,3.371,4.633,3.481,4.139,3.354,0,2.941,0.04,9.0,53.333,3.088,2.344,2.988,0.0,3.401,29.0,8.055
4.619,0.635,5.9,0.296,0.0,0.8,25.422,12.213,0.01,-0.5,-0.5,0.257,1.138,5,8.223,3.492,1.609,0.763,6.672,8.172,4.89,12.779,39.146,294.278,5.0,3.057,4.563,6.462,4,6.869,8.25,7.583,3.931,1.725,3.793,10.67,2.609,1.133,24.25,9.177,5.486,2.992,12.863,35.923,3.413,2.017,2.017,3.839,4.522,2.721,0.957,3.475,3.372,4.71,3.55,4.23,3.406,0,3.0,0.04,9.0,55.0,3.074,2.35,2.993,0.0,3.434,30.0,8.472
4.523,0.65,6.3,-0.283,0.0,1.047,28.577,10.667,0.01,2.078,2.078,0.305,1.373,6,10.308,3.931,2.421,1.222,4.69,10.947,8.405,10.439,39.506,188.338,4.86,3.268,5.735,7.592,6,7.228,8.747,11.186,3.931,2.738,4.06,11.747,3.137,1.312,42.5,9.798,6.121,3.073,11.269,28.441,4.104,2.784,2.784,4.543,5.231,3.393,1.298,4.201,3.848,4.772,4.008,5.097,3.593,0,3.059,0.034,23.0,75.361,2.921,3.007,3.304,0.0,3.861,46.5,9.157
4.638,0.661,12.0,-0.626,0.0,0.0,14.287,2.818,0.0,-4.171,-4.171,0.347,0.789,2,6.837,3.515,0.699,0.0,2.902,2.642,2.538,6.914,33.076,192.528,3.275,2.712,4.699,6.407,0,3.679,4.459,7.505,3.663,1.002,3.149,6.534,1.783,0.73,15.25,5.938,4.144,2.232,2.632,80.941,2.882,1.607,1.607,3.59,4.27,2.106,0.0,3.059,2.964,3.244,2.373,4.149,2.937,0,2.312,0.052,6.0,26.333,1.809,0.89,2.427,0.0,3.02,19.5,4.781
5.0,0.662,7.4,-0.392,0.0,0.875,37.758,19.348,0.008,3.077,3.077,0.237,1.384,18,15.134,3.824,2.584,0.904,8.096,14.078,10.038,21.063,60.642,353.133,5.347,3.51,5.75,7.464,4,9.787,11.736,12.57,4.0,2.887,4.414,15.801,3.444,2.063,49.5,12.509,6.063,3.15,19.741,47.16,4.079,3.086,3.086,4.603,5.291,3.589,0.961,4.205,3.651,5.136,4.229,5.185,3.825,0,3.118,0.026,25.0,78.833,3.399,3.293,3.277,0.0,3.998,53.5,12.166
4.0,0.654,13.6,-0.127,0.0,0.0,3.466,0.659,0.0,-4.847,-4.847,0.34,0.689,2,4.029,3.227,0.709,0.0,2.256,2.317,3.062,4.572,47.963,124.995,2.054,2.514,5.032,6.696,0,3.497,4.256,8.201,3.66,0.992,2.804,5.645,1.892,0.52,16.5,4.615,3.728,1.995,2.278,48.232,2.647,1.527,1.527,3.695,4.376,2.086,0.0,2.714,2.891,3.0,1.827,4.384,2.841,0,2.144,0.033,8.0,25.5,1.826,0.795,2.329,0.0,3.045,20.0,4.398
5.678,0.625,11.1,-0.626,0.0,1.251,18.977,4.591,0.0,-4.281,-4.281,0.335,0.857,1,6.522,3.607,0.335,0.817,3.353,4.336,2.53,6.716,33.076,216.07,3.823,2.789,4.498,6.234,0,3.598,4.267,6.825,3.681,1.0,3.294,6.035,1.47,0.741,14.75,5.71,4.472,2.344,4.54,76.856,2.662,1.369,1.369,3.474,4.151,2.068,0.498,3.238,3.043,3.62,2.745,3.996,2.912,0,2.386,0.053,6.0,27.167,1.924,0.741,2.38,0.0,2.97,18.5,4.661
4.523,0.635,5.9,0.296,0.0,0.8,25.422,12.213,0.01,-0.5,-0.5,0.257,1.138,5,8.223,3.492,1.609,0.763,6.672,8.172,4.89,12.779,39.146,294.278,5.0,3.057,4.563,6.462,4,6.869,8.25,7.583,3.931,1.725,3.793,10.67,2.609,1.133,24.25,9.177,5.486,2.992,12.863,35.923,3.413,2.017,2.017,3.839,4.522,2.721,0.957,3.475,3.372,4.71,3.55,4.23,3.406,0,3.0,0.04,9.0,55.0,3.074,2.35,2.993,0.0,3.434,30.0,8.472
8.149,0.604,2.0,-0.864,0.0,1.141,31.266,15.984,0.007,-0.278,-0.278,0.231,1.332,16,13.896,3.756,1.5,1.144,7.031,12.597,4.987,19.19,3.124,306.049,5.021,3.114,4.956,6.749,11,6.961,8.386,8.222,3.94,1.692,4.128,10.75,2.5,1.536,26.5,11.697,5.665,2.877,17.381,24.173,3.534,2.204,2.204,4.007,4.691,2.663,1.221,3.742,3.457,4.901,3.903,4.5,3.486,1,2.899,0.036,12.0,46.694,2.534,2.5,2.976,0.0,3.497,32.0,8.714
7.653,0.607,2.4,-0.891,0.0,1.064,21.315,11.997,0.012,-0.755,-0.755,0.225,1.141,17,10.138,3.545,1.839,1.057,5.688,9.443,5.505,14.042,3.124,247.193,4.808,3.043,5.146,6.811,0,5.928,7.054,9.759,3.822,2.03,3.963,8.915,2.736,1.191,26.75,9.217,5.371,2.831,13.324,27.218,3.205,2.157,2.157,3.989,4.673,2.867,1.074,3.587,3.241,4.614,3.674,4.57,3.341,0,2.854,0.027,14.0,40.333,2.201,2.598,2.802,0.0,3.434,30.0,7.335
6.8,0.696,13.7,1.698,0.0,1.129,26.537,13.195,0.007,2.275,2.275,0.26,1.321,3,10.863,3.716,2.05,1.102,5.58,9.855,7.549,16.055,108.738,211.88,5.017,3.25,5.307,7.006,0,7.319,8.876,10.294,3.923,2.348,4.19,12.434,2.917,1.733,37.0,8.811,5.995,3.047,14.219,30.916,3.825,2.625,2.625,4.248,4.934,3.227,1.02,4.106,3.45,4.913,3.963,4.758,3.523,0,3.009,0.024,17.5,63.667,2.633,2.881,3.189,0.0,3.714,40.0,9.042
9.155,0.674,2.1,-0.326,0.0,1.066,20.905,10.102,0.018,-0.094,-0.094,0.251,1.282,5,9.657,3.505,1.963,1.031,6.318,6.944,4.385,13.752,0.0,270.735,4.703,3.142,4.789,6.611,2,6.694,8.203,8.115,3.961,2.0,3.752,11.512,2.869,1.127,23.0,11.574,5.578,2.892,9.352,15.446,3.639,2.302,2.302,3.942,4.625,3.0,1.069,3.584,3.276,4.513,3.52,4.353,3.42,1,2.917,0.037,7.5,51.333,2.525,2.5,2.86,0.0,3.434,30.0,8.388
10.222,0.63,2.1,-0.396,0.0,1.166,27.163,14.459,0.006,2.005,2.005,0.238,1.064,10,10.161,3.729,1.908,1.112,6.269,9.642,5.643,12.566,3.124,258.964,5.001,2.924,5.095,6.813,11,7.136,8.698,8.47,3.98,2.034,3.951,11.601,2.781,1.245,29.25,11.617,5.911,2.91,12.022,24.949,3.537,2.214,2.214,4.094,4.779,2.975,1.078,3.942,3.391,4.737,3.926,4.61,3.5,2,2.933,0.033,13.5,54.917,2.407,2.524,2.866,0.0,3.584,35.0,8.855
5.6,0.672,12.2,-0.2,0.0,1.054,29.568,9.826,0.009,2.136,2.136,0.312,1.346,0,11.665,3.87,2.32,1.209,4.999,9.533,7.356,13.892,69.391,230.935,4.772,3.28,5.467,7.385,0,7.288,8.889,10.239,3.994,2.393,3.98,12.286,3.047,1.451,38.5,10.509,5.909,3.09,12.678,57.19,3.914,2.487,2.487,4.391,5.078,3.183,1.37,4.068,3.665,4.755,3.655,4.919,3.551,0,3.158,0.04,19.0,70.583,3.069,2.793,3.353,0.0,3.784,43.0,9.212
5.0,0.656,4.5,-0.372,0.0,0.958,38.245,19.077,0.007,2.275,2.275,0.234,1.418,5,13.858,3.612,2.115,0.995,9.055,12.81,5.975,20.712,23.034,400.217,5.359,3.341,5.436,7.1,7,9.552,11.582,10.133,3.969,2.288,4.266,14.835,3.028,1.819,32.5,14.03,6.051,3.26,18.937,57.476,3.638,2.657,2.657,4.266,4.952,3.232,0.857,4.012,3.519,5.144,4.069,4.831,3.726,1,3.251,0.034,11.5,68.333,3.207,2.872,3.325,0.0,3.761,42.0,11.804
5.0,0.653,4.7,0.193,0.0,0.948,36.435,17.981,0.007,2.275,2.275,0.238,1.406,5,13.159,3.596,2.114,0.978,8.561,12.105,5.748,19.61,23.034,364.904,5.303,3.333,5.432,7.088,7,9.265,11.273,10.084,3.968,2.288,4.222,14.429,3.028,1.742,31.75,13.723,6.038,3.244,17.806,51.194,3.629,2.656,2.656,4.252,4.938,3.231,0.861,3.987,3.519,5.095,4.028,4.807,3.694,1,3.239,0.033,11.5,68.833,3.229,2.872,3.302,0.0,3.738,41.0,11.442
5.738,0.655,2.3,-0.432,0.0,0.913,16.383,9.719,0.011,0.217,0.217,0.223,1.36,14,8.31,3.371,1.763,0.939,6.531,7.217,2.594,11.931,32.971,247.193,4.561,3.04,5.008,6.611,14,6.937,8.635,9.357,3.958,2.149,3.593,11.803,2.684,1.126,19.75,13.182,5.06,2.955,10.15,22.016,3.537,2.517,2.517,3.961,4.644,3.148,0.849,3.098,3.115,4.354,3.339,4.491,3.462,8,2.971,0.042,6.0,39.833,2.344,2.507,2.94,0.0,3.401,29.0,8.759
5.22,0.615,4.0,-0.864,0.0,1.255,32.632,17.585,0.013,0.522,0.522,0.224,1.239,18,12.854,3.555,2.046,1.246,6.921,12.555,5.707,18.544,19.91,294.278,5.24,3.123,5.228,6.922,2,6.779,8.045,9.431,3.89,2.124,4.189,10.18,2.901,1.601,28.75,10.264,5.711,2.935,18.381,27.917,3.355,2.295,2.295,4.094,4.779,3.047,1.239,3.815,3.384,4.95,4.008,4.654,3.468,1,2.937,0.031,14.0,46.333,2.519,2.5,2.981,0.0,3.526,33.0,8.449
6.14,0.609,4.3,-0.858,0.0,1.265,34.737,16.764,0.015,-0.97,-0.97,0.232,1.232,20,12.126,3.662,2.046,1.327,6.247,11.829,5.295,17.116,19.91,258.964,5.138,3.118,5.204,6.908,3,6.452,7.703,9.333,3.889,2.121,4.137,9.758,2.901,1.439,27.5,9.979,5.638,2.842,16.948,26.174,3.312,2.295,2.295,4.078,4.762,3.045,1.417,3.835,3.45,4.859,3.942,4.625,3.432,1,2.869,0.032,13.5,44.944,2.442,2.5,3.031,0.0,3.497,32.0,8.097
5.0,0.603,9.5,-0.692,0.0,1.0,4.974,1.944,0.015,-2.469,-2.469,0.356,0.875,6,1.441,3.294,0.957,1.302,1.036,1.464,5.011,1.036,77.765,66.591,3.351,2.541,5.062,6.795,1,3.612,4.351,8.995,3.807,1.269,2.709,6.192,2.71,0.465,25.25,2.536,4.638,2.316,1.051,56.392,3.523,2.341,2.341,3.907,4.59,2.862,1.561,3.04,3.123,3.158,2.699,4.507,2.944,0,2.302,0.023,15.0,50.667,2.419,2.189,2.508,0.0,3.35,27.5,4.513
4.38,0.625,6.4,-0.383,0.0,1.133,26.042,12.578,0.011,-0.194,-0.194,0.24,1.166,16,9.23,3.591,2.023,1.105,6.067,9.044,6.193,13.302,37.921,235.422,4.952,3.055,5.168,6.888,0,6.602,7.88,9.425,3.883,2.081,3.933,10.12,2.872,1.274,30.0,9.463,5.735,2.905,12.647,29.913,3.293,2.209,2.209,4.094,4.779,2.923,1.118,3.715,3.432,4.655,3.851,4.62,3.434,0,2.918,0.028,15.0,50.5,2.69,2.686,2.908,0.0,3.555,34.0,8.178
5.68,0.594,3.8,-0.905,0.0,1.114,31.163,18.074,0.008,0.791,0.791,0.2,1.278,20,14.638,3.6,1.952,1.12,7.552,13.608,5.189,21.313,19.91,317.82,5.209,3.157,5.17,6.855,9,7.351,8.779,9.343,3.889,2.047,4.255,10.185,2.828,1.776,27.75,10.864,5.721,3.089,20.028,26.885,3.42,2.238,2.238,4.06,4.745,2.901,1.083,3.77,3.398,5.029,4.022,4.62,3.502,1,3.123,0.032,13.5,44.167,2.519,2.5,3.04,0.0,3.526,33.0,9.128
6.04,0.609,4.3,-0.858,0.0,1.203,36.926,16.816,0.014,-0.741,-0.741,0.232,1.233,20,12.054,3.661,1.989,1.225,6.247,12.146,5.295,17.079,19.91,258.964,5.137,3.122,5.204,6.908,3,6.452,7.703,9.331,3.889,2.129,4.14,9.758,2.875,1.443,27.5,9.979,5.691,2.858,17.105,26.174,3.351,2.286,2.286,4.078,4.762,3.022,1.202,3.885,3.449,4.869,3.97,4.625,3.432,1,2.886,0.033,13.5,44.944,2.426,2.5,3.008,0.0,3.497,32.0,8.097
5.49,0.598,4.1,-0.901,0.0,0.957,27.792,16.375,0.01,-0.299,-0.299,0.204,1.274,22,12.669,3.564,1.96,0.938,7.029,12.593,5.223,18.261,19.91,294.278,5.092,3.154,5.159,6.84,4,6.818,8.1,9.286,3.889,2.047,4.158,9.847,2.834,1.528,27.25,10.606,5.656,2.973,18.529,25.208,3.231,2.2,2.2,4.043,4.727,2.901,0.998,3.702,3.389,4.953,3.944,4.59,3.454,1,2.995,0.033,13.5,42.667,2.509,2.5,2.949,0.0,3.497,32.0,8.467
5.44,0.607,4.7,-0.891,0.0,1.048,24.208,13.967,0.012,-1.449,-1.449,0.214,1.104,17,9.582,3.536,1.932,1.052,5.971,8.59,5.272,13.985,19.91,247.193,4.95,2.978,5.085,6.79,3,6.052,7.212,9.201,3.883,2.023,3.888,8.865,2.819,1.215,26.25,8.878,5.407,2.837,12.581,25.208,3.2,2.112,2.112,3.989,4.673,2.872,1.032,3.536,3.32,4.584,3.76,4.516,3.353,0,2.863,0.032,13.5,39.333,2.453,2.5,2.804,0.0,3.434,30.0,7.52
4.95,0.625,4.3,-0.823,0.0,1.244,25.006,11.226,0.011,-0.194,-0.194,0.245,1.14,16,9.005,3.573,2.023,1.241,5.868,8.316,6.238,11.863,19.91,235.422,4.882,3.021,5.168,6.888,1,6.491,7.762,9.425,3.883,2.081,3.856,10.12,2.872,1.11,30.0,9.242,5.736,2.934,10.976,34.886,3.293,2.209,2.209,4.094,4.779,2.923,1.146,3.722,3.431,4.578,3.804,4.62,3.425,0,2.95,0.027,15.0,51.5,2.69,2.686,2.92,0.0,3.555,34.0,8.054
4.99,0.607,4.7,-0.891,0.0,0.93,25.276,14.801,0.012,-1.449,-1.449,0.214,1.058,19,9.885,3.536,1.932,0.908,5.971,9.229,5.268,14.355,19.91,235.422,5.002,2.92,5.085,6.79,0,6.042,7.198,9.201,3.883,2.023,3.916,8.865,2.819,1.224,26.25,9.157,5.388,2.837,13.26,25.637,3.2,2.112,2.112,3.989,4.673,2.872,1.011,3.524,3.317,4.586,3.788,4.516,3.353,0,2.863,0.033,13.5,39.333,2.453,2.5,2.804,0.0,3.434,30.0,7.508
6.52,0.594,3.8,-0.905,0.0,1.036,39.55,23.295,0.013,0.661,0.661,0.2,1.373,22,13.523,3.54,1.932,1.038,7.552,14.613,5.223,19.734,19.91,317.82,5.471,3.26,5.198,6.851,4,7.288,8.636,9.272,3.895,2.051,4.294,10.346,2.819,1.729,27.75,11.422,5.855,2.961,21.424,27.743,3.238,2.17,2.17,4.06,4.745,2.907,1.026,3.932,3.43,5.079,4.2,4.61,3.502,1,2.983,0.034,13.5,44.167,2.413,2.547,2.932,0.0,3.526,33.0,9.005
6.51,0.58,2.1,-0.941,0.0,1.14,29.525,17.731,0.012,-1.467,-1.467,0.193,1.232,28,12.594,3.538,1.932,1.132,6.864,12.603,5.139,18.046,3.124,294.278,5.19,3.115,5.153,6.834,4,6.527,7.75,9.225,3.906,2.047,4.144,9.347,2.819,1.496,26.25,10.686,5.602,2.837,18.064,23.103,3.224,2.161,2.161,4.025,4.71,2.901,1.158,3.678,3.35,4.874,3.95,4.58,3.429,1,2.863,0.033,13.5,40.167,2.431,2.5,2.804,0.0,3.466,31.0,8.124
5.6,0.669,8.1,-0.361,0.0,0.96,44.006,22.997,0.007,2.449,2.449,0.24,1.353,2,14.631,3.717,2.074,0.955,7.981,14.297,6.909,22.171,44.169,341.362,5.512,3.288,5.332,6.993,8,9.01,10.857,10.41,3.956,2.333,4.419,14.094,2.942,2.174,36.75,12.186,6.316,3.113,21.122,38.568,3.743,2.56,2.56,4.263,4.949,3.276,0.937,4.314,3.515,5.262,4.273,4.783,3.673,0,3.123,0.028,16.0,66.833,2.608,2.881,3.24,0.0,3.761,42.0,11.123
7.18,0.602,3.8,-0.916,0.0,1.091,41.849,25.036,0.011,2.136,2.136,0.198,1.396,27,13.623,3.717,2.06,1.092,7.196,14.732,7.179,19.491,19.91,294.278,5.489,3.292,5.469,7.096,8,7.735,9.241,9.896,3.929,2.179,4.389,11.389,2.915,1.77,35.75,11.404,5.976,3.017,21.02,25.859,3.65,2.323,2.323,4.284,4.97,3.072,1.081,4.131,3.534,5.083,4.37,4.854,3.601,1,3.032,0.029,19.5,50.833,2.406,2.819,2.999,0.0,3.714,40.0,9.589
5.95,0.598,4.1,-0.901,0.0,1.122,30.608,18.321,0.012,-0.656,-0.656,0.204,1.249,17,13.406,3.593,1.937,1.111,7.029,12.584,5.161,19.509,19.91,294.278,5.192,3.13,5.17,6.863,9,6.77,8.019,9.286,3.889,2.047,4.198,9.815,2.82,1.649,27.25,10.238,5.712,2.921,18.543,20.139,3.518,2.228,2.228,4.06,4.745,2.901,1.128,3.776,3.371,4.962,4.014,4.61,3.454,1,2.941,0.031,13.5,43.0,2.426,2.5,2.912,0.0,3.497,32.0,8.439
5.7,0.604,4.1,-0.864,0.0,1.138,30.725,16.998,0.011,0.907,0.907,0.226,1.272,20,13.204,3.587,1.95,1.156,6.775,12.256,5.548,18.524,34.87,282.506,5.179,3.157,5.17,6.851,3,6.881,8.28,9.343,3.889,2.047,4.166,10.296,2.827,1.759,28.0,10.374,5.735,2.975,17.658,33.249,3.35,2.228,2.228,4.06,4.745,2.901,1.083,3.775,3.399,4.927,3.972,4.61,3.466,1,2.988,0.032,13.5,50.167,2.642,2.5,3.006,0.0,3.526,33.0,8.572
4.76,0.625,4.3,-0.823,0.0,1.207,23.593,11.171,0.011,-0.194,-0.194,0.245,1.148,14,8.87,3.573,2.023,1.177,5.868,7.949,6.243,11.807,19.91,247.193,4.836,3.032,5.168,6.888,3,6.499,7.777,9.425,3.882,2.081,3.838,10.12,2.872,1.126,30.0,8.974,5.759,2.942,10.581,34.458,3.293,2.209,2.209,4.094,4.779,2.923,1.184,3.728,3.432,4.564,3.791,4.62,3.425,0,2.958,0.026,15.0,51.5,2.69,2.686,2.926,0.0,3.555,34.0,8.066
6.523,0.639,8.6,-0.334,0.0,1.149,10.617,6.223,0.003,-2.021,-2.021,0.246,0.917,6,5.214,3.391,1.5,1.186,4.533,3.99,4.569,8.136,51.582,176.567,4.125,2.969,4.868,6.605,4,5.219,6.307,8.741,3.898,1.638,3.37,7.756,2.5,0.838,23.5,6.891,4.742,2.715,5.938,23.271,2.948,2.025,2.025,3.829,4.511,2.634,0.986,3.109,3.082,3.911,3.071,4.344,3.176,0,2.735,0.031,12.0,34.667,2.489,2.098,2.687,0.0,3.296,26.0,6.445
5.959,0.606,4.0,0.593,0.0,0.932,74.051,38.884,0.007,2.966,2.966,0.198,1.766,36,26.244,3.729,2.722,0.937,13.891,27.352,9.389,37.949,57.157,576.784,6.041,3.679,5.517,7.243,7,14.286,17.222,9.469,4.002,2.735,4.934,21.416,3.531,3.397,51.0,23.511,6.754,3.573,39.562,61.65,3.736,2.855,2.855,4.6,5.288,3.648,0.965,4.688,3.729,5.793,4.814,5.026,4.135,2,3.565,0.039,22.5,98.417,3.49,3.434,3.645,0.0,4.159,63.0,17.583
5.0,0.625,6.3,-0.835,0.0,0.469,8.797,4.92,0.0,-4.464,-4.464,0.241,0.922,3,6.88,3.266,0.193,0.478,4.621,5.128,2.639,10.684,19.91,188.338,4.158,2.76,4.405,6.123,0,4.365,5.2,6.931,3.694,0.903,3.506,6.249,1.218,0.881,14.75,6.577,4.844,2.563,8.009,16.08,2.808,1.427,1.427,3.418,4.094,1.973,0.413,2.888,2.93,4.233,2.86,3.927,2.972,0,2.581,0.04,6.0,25.667,1.863,0.747,2.563,0.0,2.944,18.0,5.405
5.8,0.667,5.9,-0.346,0.0,1.024,25.692,12.197,0.005,1.601,1.601,0.265,1.202,3,11.195,3.7,1.97,0.953,6.283,10.114,6.415,16.072,39.219,270.735,4.944,3.156,5.113,6.851,5,7.57,9.233,9.651,3.93,2.228,4.007,12.417,2.84,1.409,33.0,10.428,5.683,2.91,14.656,42.667,3.49,2.553,2.553,4.143,4.828,3.163,1.086,3.729,3.411,4.85,3.715,4.615,3.53,0,2.941,0.031,15.0,61.167,3.06,2.817,2.983,0.0,3.638,37.0,9.36
5.184,0.632,2.6,-0.923,0.0,1.012,14.53,9.293,0.01,-2.347,-2.347,0.208,1.192,7,7.995,3.157,1.5,1.018,5.924,6.726,2.489,11.652,3.124,247.193,4.521,3.073,4.529,6.193,4,5.728,6.992,7.972,3.912,2.0,3.59,8.931,2.5,0.952,16.75,10.607,4.869,2.78,9.576,17.964,3.0,2.0,2.0,3.651,4.331,2.876,0.961,3.027,3.039,4.232,3.313,4.073,3.251,2,2.801,0.049,6.0,28.0,2.19,1.78,2.758,0.0,3.178,23.0,7.151
5.261,0.639,2.6,-0.873,0.0,1.059,16.672,8.754,0.017,-2.175,-2.175,0.236,1.192,6,8.02,3.175,1.74,1.027,5.67,6.766,2.693,11.492,18.084,235.422,4.544,3.073,4.621,6.33,3,5.777,7.086,8.126,3.92,2.0,3.587,9.342,2.665,1.035,17.5,10.673,4.985,2.784,9.373,27.085,3.168,2.0,2.0,3.726,4.407,3.0,1.529,3.125,3.039,4.247,3.34,4.147,3.265,2,2.8,0.047,6.0,35.667,2.224,1.781,2.833,0.0,3.219,24.0,7.226
5.0,0.667,14.8,2.105,0.0,1.032,13.411,3.021,0.009,-2.303,-2.303,0.347,0.75,3,5.03,3.676,1.57,1.394,1.805,3.902,5.193,5.132,83.254,81.267,3.844,2.715,5.428,7.101,2,4.193,5.079,9.797,3.834,1.931,3.311,6.967,2.547,0.737,27.0,4.343,5.21,2.577,4.465,15.614,3.42,2.406,2.406,4.073,4.758,2.8,2.347,3.474,3.274,3.87,2.996,4.755,3.064,0,2.568,0.021,15.0,42.917,2.197,2.199,2.793,0.0,3.367,28.0,5.215
5.0,0.681,13.3,1.197,0.0,1.217,12.353,5.308,0.01,-1.754,-1.754,0.301,0.96,4,5.049,3.321,1.5,1.135,2.827,4.393,5.591,6.838,83.254,82.398,4.204,2.78,5.408,7.044,0,4.415,5.29,9.771,3.84,1.768,3.435,7.006,2.5,0.791,27.25,4.271,5.152,2.664,6.212,17.802,3.451,2.178,2.178,4.039,4.723,2.683,1.28,3.318,3.072,4.122,3.144,4.728,3.078,0,2.674,0.02,15.0,40.0,2.171,2.236,2.697,0.0,3.367,28.0,5.423
5.153,0.681,14.8,2.105,0.0,0.942,10.39,2.843,0.009,-2.303,-2.303,0.347,0.747,3,4.442,3.411,1.57,0.985,1.831,3.527,5.443,4.954,83.254,35.313,3.854,2.699,5.428,7.101,2,4.193,5.079,9.797,3.836,1.931,3.279,6.967,2.547,0.71,27.25,4.182,5.237,2.568,4.369,16.059,3.42,2.406,2.406,4.073,4.758,2.8,1.614,3.331,3.212,3.874,2.976,4.755,3.055,0,2.554,0.02,15.0,44.278,2.197,2.199,2.762,0.0,3.367,28.0,5.196
5.0,0.65,10.6,0.391,0.0,1.138,29.672,11.285,0.011,-0.475,-0.475,0.313,1.16,2,8.605,3.872,1.658,1.126,5.646,7.929,5.21,11.006,70.866,223.651,4.877,3.201,4.974,7.071,6,6.605,7.993,8.208,3.982,1.931,3.858,10.99,2.613,1.235,28.25,10.114,5.843,2.91,9.789,20.442,3.8,2.18,2.18,4.119,4.804,2.938,0.972,4.117,3.497,4.663,3.755,4.525,3.44,0,2.941,0.041,12.0,59.278,2.683,2.527,3.217,0.0,3.555,34.0,8.339
5.575,0.639,5.9,0.231,0.0,1.025,33.796,14.177,0.007,1.697,1.697,0.272,1.167,7,14.2,3.785,2.052,0.945,6.436,12.662,5.782,18.455,39.146,291.184,4.986,3.096,5.197,6.931,5,7.542,9.2,10.208,3.943,2.436,4.194,12.336,2.883,1.593,31.75,12.886,5.611,2.953,17.063,65.066,3.47,2.514,2.514,4.174,4.86,3.325,1.079,4.025,3.469,4.859,3.886,4.673,3.575,1,3.027,0.042,14.5,56.778,2.7,2.712,3.236,0.0,3.638,37.0,9.493
6.971,0.611,1.8,-0.419,0.0,1.015,29.538,14.784,0.009,1.765,1.765,0.222,1.342,10,14.709,3.729,1.63,0.963,7.875,12.284,5.834,20.259,0.0,341.362,5.077,3.251,5.039,6.843,7,8.153,9.793,8.242,3.998,1.908,4.203,11.939,2.63,1.733,30.0,13.301,5.98,3.066,16.982,34.181,3.558,2.175,2.175,4.094,4.779,2.781,1.166,3.976,3.447,5.018,3.944,4.59,3.576,1,3.083,0.04,13.5,58.25,2.577,2.5,3.062,0.0,3.611,36.0,10.003
9.772,0.606,3.1,0.742,0.0,1.078,47.822,24.364,0.012,2.435,2.435,0.221,1.526,23,19.381,3.75,2.333,1.058,8.541,18.613,7.847,27.51,36.022,341.362,5.571,3.441,5.379,7.185,10,9.104,10.967,9.463,3.971,2.655,4.564,14.417,3.196,2.456,40.5,14.214,6.348,3.272,26.305,25.6,3.736,2.88,2.88,4.401,5.088,3.509,1.026,4.27,3.729,5.393,4.408,4.888,3.764,1,3.269,0.032,20.5,72.667,2.829,2.972,3.323,0.0,3.85,46.0,11.331
4.523,0.648,5.2,-0.346,0.0,0.816,35.124,17.918,0.01,1.349,1.349,0.242,1.212,5,11.992,3.64,1.788,0.781,7.887,12.122,4.988,18.192,24.259,353.133,5.318,3.143,4.735,6.582,5,8.037,9.713,8.254,3.943,2.014,4.143,12.668,2.792,1.601,26.5,11.659,5.777,2.999,18.633,40.992,3.507,2.253,2.253,3.98,4.663,2.861,0.966,3.802,3.394,5.052,3.945,4.379,3.556,0,3.019,0.041,9.0,58.833,3.069,2.545,3.065,0.0,3.555,34.0,9.966
