pXC50,P_VSA_LogP_1,MATS2v,SsCH3,NsCH3,GATS5i,MATS3v,CATS2D_06_AL,Eta_betaS_A,H.051,N.072,GATS5p,GNar,DECC,MATS3p,Eta_sh_p,ICR,GATS3v,P_VSA_LogP_2,SpMAD_AEA.ed.,C.001,HNar,PDI,NsssN,SsssN,Vindex,X0A,Yindex,BAC,CATS2D_06_DA,P_VSA_MR_3,X1A,MATS5i,C.019,MATS2p,N.074,Xindex,nCp,Eig02_EA.bo.,SM12_AEA.ri.,LOC,nCrs,MCD,SsOH,SM02_EA.dm.,SM04_EA.dm.,HVcpx,IDE,ATS6m,NdssC,nCONN,nR.Cs,C.041,CATS2D_05_DL,MATS2m,ATS5m,SM06_EA.dm.,SM08_EA.dm.,SM10_EA.dm.,SM12_EA.dm.,SM14_EA.dm.,SpAD_EA.dm.,SpDiam_EA.dm.
6.305,42.171,0.223,7.282,4,1.092,-0.007,14,0.633,0,0,1.174,1.974,1.418,0.036,0.209,2.656,1.019,4.211,1.596,1,1.8,0.938,2,4.218,0.272,0.728,0.82,64,0,50.747,0.448,-0.04,1,0.273,0,0.405,1,3.945,3.945,1.41,1,0.567,0.0,3.842,6.021,3.12,3.3,4.401,3,0,1,0,0,0.123,4.425,8.457,10.97,13.514,16.074,18.642,20.656,7.163
5.469,40.113,0.286,6.934,4,1.161,0.017,8,0.656,3,0,1.097,1.902,1.073,-0.077,0.274,2.402,0.959,4.592,1.598,2,1.714,0.916,1,1.697,0.335,0.744,1.007,61,0,50.747,0.454,-0.049,0,0.275,0,0.499,2,3.928,3.928,1.467,0,0.5,0.0,2.932,4.381,2.979,3.127,3.858,1,0,0,0,0,0.26,3.907,6.057,7.844,9.691,11.572,13.471,10.174,4.612
7.456,24.841,0.151,4.874,3,1.014,0.191,10,0.625,3,0,1.006,1.893,1.073,0.086,0.241,2.22,0.739,4.592,1.592,2,1.704,0.937,0,0.0,0.354,0.746,1.092,61,0,0.0,0.452,0.066,0,0.038,0,0.521,3,3.865,3.865,1.467,0,0.5,0.0,3.781,5.974,2.854,3.008,4.142,1,0,0,0,0,0.156,4.124,8.416,10.959,13.556,16.184,18.834,16.899,6.775
6.921,32.569,0.221,4.75,3,1.117,-0.017,7,0.636,3,0,1.171,1.919,1.045,-0.06,0.241,2.22,0.892,0.0,1.602,1,1.737,0.924,0,0.0,0.341,0.74,1.031,47,0,50.747,0.455,-0.07,0,0.051,0,0.506,1,3.925,3.925,1.309,0,0.545,0.0,3.561,5.442,2.897,3.027,3.832,1,0,0,0,0,0.088,3.886,7.465,9.548,11.661,13.79,15.928,14.474,5.9
7.921,39.336,0.151,7.006,4,1.042,0.077,11,0.625,3,0,1.071,1.902,1.104,0.065,0.264,2.418,0.843,0.0,1.594,3,1.714,0.917,0,0.0,0.331,0.744,0.99,61,0,50.747,0.453,0.02,0,-0.031,0,0.495,3,3.925,3.925,1.467,0,0.5,0.0,3.561,5.442,2.996,3.153,4.009,1,0,0,0,0,0.142,3.98,7.465,9.548,11.661,13.79,15.928,14.474,5.9
8.585,39.336,0.118,7.246,4,0.983,0.126,11,0.62,3,0,1.0,1.906,1.264,0.077,0.253,2.483,0.818,2.535,1.592,3,1.724,0.916,0,0.0,0.324,0.742,0.962,62,0,50.747,0.456,0.051,0,-0.045,0,0.487,3,3.925,3.925,1.624,0,0.48,0.0,3.561,5.442,3.088,3.231,4.052,1,0,0,0,0,0.132,4.025,7.465,9.548,11.661,13.79,15.928,14.474,5.9
7.638,30.511,0.084,5.315,3,1.008,0.042,8,0.63,0,0,1.033,1.922,1.081,-0.006,0.23,2.403,0.913,4.592,1.577,2,1.747,0.917,0,0.0,0.335,0.738,1.005,48,2,50.747,0.457,0.009,1,-0.051,1,0.499,2,3.865,3.865,1.479,1,0.522,0.0,3.854,6.012,2.97,3.107,3.937,4,0,1,1,1,0.066,3.951,8.432,10.932,13.462,16.007,18.56,20.452,7.135
9.594,43.029,0.221,6.266,4,1.184,0.092,12,0.625,3,0,1.152,1.889,1.006,0.063,0.282,2.333,0.898,4.592,1.635,3,1.696,0.889,0,0.0,0.354,0.747,1.095,79,2,61.747,0.456,-0.145,1,0.208,1,0.522,3,3.929,3.929,1.529,0,0.462,10.381,3.259,4.501,2.918,3.079,4.156,6,0,1,0,2,0.219,4.175,6.093,7.853,9.694,11.573,13.472,16.597,4.612
4.523,7.19,-0.048,1.231,1,0.928,-0.026,9,0.641,0,2,0.877,2.12,2.357,-0.003,0.097,3.257,0.991,40.554,1.55,0,1.979,0.988,1,1.931,0.146,0.698,0.384,18,1,0.0,0.426,0.034,0,-0.088,0,0.234,0,3.815,3.815,0.688,7,0.781,0.0,3.232,5.105,3.719,3.923,4.0,1,1,0,1,3,-0.017,4.092,7.207,9.354,11.513,13.676,15.839,12.3,5.9
4.827,26.476,0.094,6.596,3,0.759,-0.28,0,0.61,0,1,0.658,1.897,2.006,-0.258,0.287,2.863,1.273,33.682,1.536,3,1.714,0.912,1,2.185,0.245,0.745,0.644,53,0,0.0,0.448,0.263,0,0.111,0,0.394,3,3.106,3.106,1.257,2,0.48,0.0,1.435,1.379,3.419,3.671,3.699,1,0,0,0,3,0.069,3.891,1.406,1.462,1.533,1.613,1.698,3.717,2.117
4.553,8.396,-0.009,1.886,1,0.934,-0.031,10,0.662,2,2,0.921,2.189,2.5,-0.001,0.072,3.278,0.989,35.485,1.572,0,2.071,1.006,1,1.862,0.127,0.685,0.333,10,1,0.0,0.423,0.027,0,-0.032,0,0.206,0,3.831,3.831,0.459,5,0.853,0.0,2.414,2.93,3.79,4.01,4.029,2,1,0,1,2,0.032,4.088,3.666,4.531,5.476,6.47,7.493,8.955,2.979
4.585,8.396,-0.032,1.859,1,0.883,-0.052,9,0.671,2,2,0.872,2.184,2.71,-0.019,0.071,3.411,1.004,35.485,1.558,0,2.069,1.004,1,1.857,0.123,0.686,0.32,10,1,0.0,0.425,0.064,0,-0.063,0,0.2,0,3.817,3.817,0.45,5,0.829,0.0,2.443,2.933,3.846,4.079,4.046,2,1,0,1,3,0.031,4.124,3.666,4.531,5.476,6.47,7.493,9.755,2.979
4.523,0.0,-0.087,0.0,0,0.938,-0.033,6,0.67,2,2,0.908,2.191,2.0,-0.01,0.051,3.053,0.985,35.485,1.557,0,2.087,0.992,1,1.845,0.153,0.684,0.404,5,1,0.0,0.426,0.02,0,-0.118,0,0.245,0,3.626,3.626,0.444,5,0.857,0.0,2.414,2.93,3.567,3.743,3.687,2,1,0,1,2,-0.007,3.789,3.666,4.531,5.476,6.47,7.493,8.955,2.979
4.699,0.0,-0.093,0.0,0,0.924,-0.031,6,0.667,2,2,0.899,2.222,2.011,-0.009,0.026,3.069,0.988,38.019,1.542,0,2.146,0.995,1,1.952,0.151,0.677,0.398,2,1,0.0,0.427,0.021,0,-0.118,0,0.243,0,3.626,3.626,0.352,6,0.889,0.0,2.069,2.596,3.579,3.739,3.639,1,1,0,1,2,-0.016,3.692,3.415,4.365,5.374,6.409,7.458,6.4,2.972
7.403,46.184,0.13,8.723,5,1.093,0.114,21,0.622,5,0,1.0,2.022,1.414,0.107,0.173,2.743,0.866,14.254,1.57,4,1.872,0.935,0,0.0,0.216,0.716,0.642,67,4,11.0,0.45,-0.052,1,0.104,1,0.326,4,3.973,3.973,1.304,0,0.59,11.084,2.792,3.349,3.337,3.556,4.775,6,0,1,0,0,0.149,4.63,4.119,5.006,5.958,6.944,7.949,13.092,3.349
4.523,0.0,-0.08,0.0,0,0.807,-0.045,7,0.675,1,2,0.763,2.207,2.293,-0.075,0.024,3.273,1.031,38.019,1.512,0,2.143,0.999,1,1.91,0.139,0.678,0.359,2,0,0.0,0.434,0.153,0,-0.082,0,0.226,0,3.816,3.816,0.327,6,0.9,0.0,1.863,2.511,3.743,3.915,3.734,1,1,0,1,3,-0.004,3.85,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,8.396,-0.045,1.977,1,0.819,-0.07,4,0.677,1,2,0.881,2.161,1.917,-0.096,0.074,2.907,1.074,32.95,1.529,0,2.057,0.978,1,1.938,0.173,0.688,0.455,5,0,0.0,0.434,0.137,0,-0.006,0,0.278,0,3.626,3.626,0.49,4,0.833,0.0,1.863,2.511,3.42,3.622,3.387,1,1,0,1,3,-0.028,3.547,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,7.19,-0.076,1.174,1,0.757,-0.031,4,0.659,1,2,0.658,2.123,2.685,-0.043,0.095,3.415,1.01,32.95,1.531,0,1.99,0.994,1,1.859,0.129,0.697,0.33,18,0,0.0,0.429,0.211,0,-0.098,0,0.213,0,3.965,3.965,0.675,4,0.788,0.0,3.172,5.099,3.869,4.098,3.893,1,1,0,1,3,-0.041,3.937,7.206,9.354,11.513,13.676,15.839,10.58,5.9
4.523,0.0,-0.132,0.0,0,0.797,0.008,9,0.698,1,2,0.767,2.215,2.335,-0.027,0.025,3.263,0.981,32.95,1.507,0,2.148,0.994,1,1.883,0.138,0.677,0.355,2,0,0.0,0.433,0.159,0,-0.133,0,0.224,0,3.626,3.626,0.335,4,0.897,0.0,1.863,2.511,3.735,3.915,3.678,1,1,0,1,3,-0.034,3.78,3.388,4.358,5.372,6.409,7.458,4.68,2.972
5.167,0.0,-0.117,0.0,0,0.838,0.007,12,0.674,1,2,0.782,2.242,2.597,-0.024,0.021,3.4,0.97,32.95,1.52,0,2.176,1.023,1,1.902,0.118,0.673,0.303,2,0,0.0,0.427,0.162,0,-0.121,0,0.194,0,3.87,3.87,0.306,4,0.909,0.0,1.863,2.511,3.881,4.067,3.862,1,1,0,1,3,-0.028,3.927,3.388,4.358,5.372,6.409,7.458,4.68,2.972
5.523,0.0,-0.103,0.0,0,0.897,0.021,11,0.674,1,2,0.791,2.242,2.479,-0.008,0.021,3.242,0.962,32.95,1.526,0,2.176,1.023,1,1.903,0.122,0.673,0.314,2,0,0.0,0.428,0.128,0,-0.096,0,0.198,0,3.787,3.787,0.306,4,0.909,0.0,1.863,2.511,3.807,4.016,3.871,1,1,0,1,3,-0.034,4.003,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,8.825,-0.065,1.817,1,0.926,-0.052,5,0.66,1,2,0.897,2.13,1.974,-0.089,0.1,2.919,1.049,32.95,1.555,1,2.0,0.949,1,1.877,0.171,0.696,0.449,10,0,0.0,0.433,0.04,0,-0.076,0,0.275,1,3.626,3.626,0.553,4,0.8,9.556,1.863,2.511,3.491,3.673,3.487,1,1,0,1,5,0.016,3.622,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,0.0,-0.136,0.0,0,0.783,0.0,7,0.681,1,2,0.742,2.215,2.335,-0.036,0.024,3.263,0.983,32.95,1.507,0,2.148,0.997,1,1.896,0.138,0.677,0.355,2,0,0.0,0.433,0.199,0,-0.139,0,0.224,0,3.626,3.626,0.335,4,0.897,0.0,1.863,2.511,3.735,3.915,3.672,1,1,0,1,3,-0.042,3.78,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.921,0.0,-0.125,0.0,0,0.758,-0.004,4,0.667,1,2,0.785,2.231,2.132,-0.034,0.026,3.087,0.971,32.95,1.518,0,2.16,1.015,1,1.93,0.145,0.675,0.378,2,0,0.0,0.428,0.24,0,-0.128,0,0.235,0,3.626,3.626,0.352,4,0.889,0.0,1.863,2.511,3.604,3.786,3.599,1,1,0,1,3,-0.041,3.644,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.824,0.0,-0.091,0.0,0,0.719,-0.048,5,0.683,1,2,0.651,2.079,2.38,-0.144,0.088,3.289,1.063,30.416,1.523,0,1.946,0.987,1,1.615,0.155,0.705,0.398,18,0,0.0,0.436,0.076,0,-0.041,0,0.252,1,3.838,3.838,0.715,2,0.767,0.0,3.269,5.469,3.73,3.952,3.721,1,1,0,1,1,0.09,3.832,8.067,10.736,13.417,16.1,18.783,12.33,5.335
4.523,0.0,-0.121,0.0,0,0.688,-0.015,4,0.681,1,2,0.71,2.215,2.335,-0.055,0.024,3.263,1.005,32.95,1.507,0,2.148,0.997,1,1.9,0.138,0.677,0.355,2,0,0.0,0.433,0.291,0,-0.11,0,0.224,0,3.626,3.626,0.335,4,0.897,0.0,1.863,2.511,3.735,3.915,3.67,1,1,0,1,3,-0.049,3.788,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,0.0,-0.121,0.0,0,0.788,-0.003,7,0.698,1,2,0.76,2.215,2.335,-0.036,0.025,3.263,0.992,32.95,1.507,0,2.148,0.994,1,1.886,0.138,0.677,0.355,2,0,0.0,0.433,0.157,0,-0.122,0,0.224,0,3.626,3.626,0.335,4,0.897,0.0,1.863,2.511,3.735,3.915,3.671,1,1,0,1,3,-0.042,3.785,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,0.0,-0.149,0.0,0,0.882,-0.013,5,0.663,0,2,0.919,2.196,1.875,-0.001,0.03,2.914,0.975,32.95,1.489,0,2.123,0.986,1,1.945,0.174,0.68,0.458,2,1,0.0,0.435,0.052,0,-0.144,0,0.28,0,3.582,3.582,0.393,5,0.87,0.0,1.863,2.511,3.421,3.593,3.326,1,1,0,1,2,-0.09,3.457,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,0.0,-0.113,0.0,0,0.76,-0.026,5,0.664,1,2,0.716,2.154,2.625,-0.083,0.067,3.421,1.026,32.95,1.535,0,2.043,0.972,1,1.86,0.131,0.69,0.334,11,0,0.0,0.433,0.238,0,-0.096,0,0.214,0,3.63,3.63,0.633,4,0.813,9.016,2.358,3.037,3.871,4.069,3.783,2,1,0,1,4,-0.019,3.873,3.854,4.74,5.671,6.636,7.627,7.553,3.138
4.523,0.0,-0.128,0.0,0,0.733,-0.031,4,0.685,1,2,0.787,2.196,1.875,-0.053,0.031,2.914,1.034,32.95,1.489,0,2.123,0.976,1,1.9,0.174,0.68,0.458,2,0,0.0,0.435,0.205,0,-0.092,0,0.28,0,3.582,3.582,0.393,4,0.87,0.0,1.863,2.511,3.421,3.593,3.323,1,1,0,1,3,-0.07,3.473,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,0.0,-0.129,0.0,0,0.767,-0.031,4,0.674,1,2,0.771,2.196,1.875,-0.055,0.031,2.914,1.033,32.95,1.489,0,2.123,0.977,1,1.896,0.174,0.68,0.458,2,0,0.0,0.435,0.177,0,-0.091,0,0.28,0,3.582,3.582,0.393,4,0.87,0.0,1.863,2.511,3.421,3.593,3.32,1,1,0,1,3,-0.065,3.468,3.388,4.358,5.372,6.409,7.458,4.68,2.972
5.699,0.0,-0.114,0.0,0,0.748,0.01,5,0.667,1,2,0.715,2.123,2.492,-0.076,0.079,3.242,1.008,32.95,1.537,0,1.99,0.995,1,1.771,0.136,0.697,0.353,18,0,0.0,0.43,0.219,0,-0.057,0,0.222,1,3.652,3.652,0.675,4,0.788,0.0,3.269,5.469,3.74,3.996,3.94,1,1,0,1,3,0.051,4.138,8.067,10.736,13.417,16.1,18.783,12.33,5.335
4.523,0.0,-0.136,0.0,0,0.783,0.0,7,0.681,1,2,0.742,2.215,2.335,-0.036,0.024,3.263,0.983,32.95,1.507,0,2.148,0.997,1,1.896,0.138,0.677,0.355,2,0,0.0,0.433,0.199,0,-0.139,0,0.224,0,3.626,3.626,0.335,4,0.897,0.0,1.863,2.511,3.735,3.915,3.672,1,1,0,1,3,-0.042,3.78,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.959,8.396,-0.058,1.887,1,0.861,-0.06,4,0.656,1,2,0.83,2.161,1.958,-0.061,0.074,2.939,1.058,32.95,1.522,0,2.057,0.976,1,1.938,0.171,0.688,0.448,5,0,0.0,0.433,0.097,0,-0.039,0,0.275,0,3.626,3.626,0.49,4,0.833,0.0,1.863,2.511,3.498,3.656,3.414,1,1,0,1,3,-0.026,3.536,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,0.0,-0.085,0.0,0,0.799,-0.012,7,0.669,1,2,0.774,2.2,2.333,-0.038,0.023,3.284,1.004,40.554,1.506,0,2.138,0.994,1,1.921,0.137,0.679,0.354,2,0,0.0,0.436,0.137,0,-0.089,0,0.223,0,3.805,3.805,0.32,7,0.903,0.0,1.863,2.511,3.76,3.947,3.779,1,1,0,1,3,-0.006,3.905,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,0.0,-0.123,0.0,0,0.862,-0.032,4,0.685,0,2,0.876,2.196,1.875,-0.032,0.031,2.914,1.019,32.95,1.489,0,2.123,0.982,1,1.924,0.174,0.68,0.458,2,1,0.0,0.435,0.057,0,-0.087,0,0.28,0,3.582,3.582,0.393,5,0.87,0.0,1.863,2.511,3.421,3.593,3.328,1,1,0,1,2,-0.087,3.464,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,8.825,-0.093,1.828,1,0.79,-0.022,4,0.677,4,2,0.79,2.161,1.958,-0.031,0.074,2.939,1.0,32.95,1.522,1,2.057,0.971,1,1.903,0.171,0.688,0.448,5,0,0.0,0.433,0.182,0,-0.105,0,0.275,1,3.626,3.626,0.49,4,0.833,0.0,1.863,2.511,3.498,3.656,3.412,1,1,0,1,3,0.014,3.533,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.721,0.0,-0.121,0.0,0,0.78,-0.026,5,0.681,1,2,0.742,2.215,2.335,-0.077,0.024,3.263,1.016,32.95,1.507,0,2.148,0.997,1,1.898,0.138,0.677,0.355,2,0,0.0,0.433,0.195,0,-0.11,0,0.224,0,3.626,3.626,0.335,4,0.897,0.0,1.863,2.511,3.735,3.915,3.664,1,1,0,1,3,-0.049,3.785,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,0.0,-0.146,0.0,0,0.862,-0.009,4,0.663,0,2,0.876,2.196,1.875,-0.002,0.031,2.914,0.988,32.95,1.489,0,2.123,0.98,1,1.924,0.174,0.68,0.458,2,1,0.0,0.435,0.057,0,-0.137,0,0.28,0,3.582,3.582,0.393,5,0.87,0.0,1.863,2.511,3.421,3.593,3.328,1,1,0,1,2,-0.08,3.464,3.388,4.358,5.372,6.409,7.458,4.68,2.972
4.523,28.956,0.073,4.233,3,1.036,-0.11,8,0.638,0,2,0.914,1.985,1.6,-0.005,0.182,2.886,1.052,12.872,1.545,0,1.822,0.949,2,2.836,0.224,0.725,0.626,47,0,0.0,0.445,-0.06,0,0.015,0,0.348,0,3.731,3.731,1.144,1,0.586,0.0,2.297,2.708,3.423,3.605,4.03,1,1,0,1,3,-0.033,4.08,3.464,4.397,5.406,6.445,7.499,8.643,2.981
7.284,52.951,0.214,10.808,6,1.258,0.255,17,0.625,8,0,1.176,1.889,0.938,0.241,0.306,2.224,0.747,11.719,1.64,6,1.696,0.885,0,0.0,0.371,0.747,1.172,82,4,11.0,0.458,-0.153,1,0.126,1,0.54,6,3.889,3.889,1.633,0,0.423,10.535,2.697,3.31,2.823,2.99,4.38,6,0,1,0,0,0.28,4.27,4.106,5.002,5.957,6.944,7.949,11.372,3.349
7.102,44.126,0.093,9.279,5,1.12,0.21,20,0.61,5,0,1.006,1.977,1.235,0.176,0.198,2.561,0.791,19.323,1.575,5,1.821,0.916,0,0.0,0.277,0.725,0.848,78,4,11.0,0.457,-0.043,1,0.046,1,0.41,5,3.973,3.973,1.696,0,0.5,10.947,2.697,3.31,3.106,3.313,4.693,6,0,1,0,0,0.161,4.544,4.106,5.002,5.957,6.944,7.949,11.372,3.349
6.914,57.067,0.39,9.649,6,1.312,0.041,15,0.641,9,0,1.24,1.874,0.809,0.054,0.35,1.931,0.962,0.0,1.706,4,1.663,0.883,0,0.0,0.39,0.753,1.262,73,4,11.0,0.451,-0.256,1,0.334,1,0.56,4,3.879,3.879,1.339,0,0.478,10.213,2.697,3.31,2.6,2.746,4.194,6,0,1,0,0,0.345,4.143,4.106,5.002,5.957,6.944,7.949,11.372,3.349
7.567,52.951,0.249,10.579,6,1.265,0.214,17,0.63,9,0,1.181,1.884,0.973,0.234,0.32,2.215,0.779,9.185,1.657,6,1.685,0.884,0,0.0,0.372,0.749,1.177,77,4,11.0,0.455,-0.191,1,0.154,1,0.541,6,3.879,3.879,1.586,0,0.44,10.462,2.697,3.31,2.773,2.955,4.319,6,0,1,0,0,0.308,4.218,4.106,5.002,5.957,6.944,7.949,11.372,3.349
6.38,52.951,0.171,11.075,6,1.142,0.161,18,0.617,4,0,1.048,1.958,1.047,0.124,0.245,2.35,0.832,9.185,1.619,6,1.778,0.912,0,0.0,0.289,0.732,0.903,82,4,11.0,0.45,-0.043,1,0.118,1,0.425,6,3.978,3.978,1.476,0,0.531,10.871,2.697,3.31,2.999,3.17,4.662,6,0,1,0,0,0.222,4.504,4.106,5.002,5.957,6.944,7.949,11.372,3.349
