pXC50,CATS2D_08_PP,SsssN,SpMin3_Bh.e.,SM05_EA.dm.,SdO,SpMax7_Bh.p.,SpMin1_Bh.s.,ATSC6p,Yindex,Vindex,ATS6p,SM13_EA.dm.,ATS8i,SM11_EA.dm.,ATSC6m,ATSC7p,ATSC7v,ATSC8m,ATSC6i,ATS8e,ATS6v,ATSC7m,ATS6i,Infective.50,ATS5p,ATS7e,ATS5i,ATS2i,Eta_C,ON1V,SM15_EA.dm.,ATSC6v,Eta_L,ATSC5i,ATS7p,ATS5e,DLS_04,SpMin8_Bh.v.,ATSC8i,Inflammat.80,ATS5v,SM03_EA.dm.,ATSC5v,ATSC5p,ATSC7i,MATS1i,ATS2e,ATS3e,ATS7i,ATS7v,ATS4e,ATSC4v,ATSC5m,Se,ATS4v,ATSC8v,ATSC3i,SpMax8_Bh.s.,ATS4p,Si,ATS6e,SM07_EA.dm.,SpMin8_Bh.p.,ATS4i,ATSC8p,ON0V,ATS1i,ATS8p,CATS2D_08_DP
4.177,0,0.0,1.494,0.0,0.0,2.746,1.107,5.738,0.54,0.204,3.498,0.0,4.214,0.0,17.04,5.084,7.197,11.863,0.885,4.0,3.403,15.084,4.578,1,3.641,4.177,4.743,4.426,14.992,2.139,0.0,8.108,4.424,1.026,3.331,4.52,0.6,1.107,0.609,1,3.574,0.0,8.701,6.596,0.726,-0.002,4.282,4.394,4.426,3.244,4.481,8.343,20.969,41.473,3.671,6.079,0.957,3.712,3.712,46.03,4.332,0.0,1.105,4.659,4.422,7.933,3.932,3.235,0
4.733,0,0.0,1.659,0.0,0.0,2.967,1.124,10.627,0.46,0.172,4.098,0.0,4.79,0.0,32.5,10.826,12.284,33.254,1.493,4.565,3.953,27.511,4.925,0,4.104,4.629,4.837,4.61,25.096,2.691,0.0,11.266,6.683,1.427,4.045,4.663,0.6,1.274,1.182,0,3.992,0.0,10.018,9.189,1.295,-0.061,4.477,4.608,4.834,3.859,4.701,10.685,21.981,49.28,4.013,12.477,1.272,3.681,4.148,54.308,4.72,0.0,1.208,4.877,11.409,9.276,4.093,3.891,0
4.177,0,0.0,1.439,0.0,0.0,2.69,1.138,3.792,0.75,0.26,3.504,0.0,4.38,0.0,13.935,5.578,7.979,18.542,0.841,4.117,3.45,17.657,4.436,1,3.518,4.291,4.499,4.4,14.847,1.995,0.0,5.406,4.185,0.843,3.497,4.265,0.6,1.008,0.581,1,3.444,0.0,7.288,5.127,0.782,-0.237,4.2,4.32,4.548,3.373,4.403,7.766,17.298,36.353,3.555,6.88,0.962,3.661,3.638,41.01,4.221,0.0,0.992,4.624,4.709,7.526,3.847,3.269,0
4.052,0,0.0,1.256,0.0,12.288,2.402,1.232,4.449,1.016,0.323,3.006,0.0,3.42,0.0,10.84,3.022,3.913,6.83,0.5,3.099,2.869,6.698,4.019,1,3.279,3.438,4.082,3.974,10.927,1.571,0.0,4.874,3.421,0.532,2.579,3.956,0.4,0.565,0.274,1,3.213,0.0,4.508,4.614,0.344,0.144,3.878,4.115,3.678,2.401,4.15,7.075,10.502,27.149,3.477,3.185,0.633,3.244,3.593,29.415,3.811,0.0,0.577,4.287,2.519,5.283,3.484,1.899,0
4.903,0,0.0,1.587,5.466,13.313,2.808,1.361,15.559,0.946,0.299,4.45,14.368,5.045,12.157,35.344,17.146,13.595,38.36,2.692,4.826,4.434,48.904,5.21,0,4.412,5.136,5.126,4.59,34.822,2.528,16.579,12.356,7.959,2.485,4.313,5.017,0.6,1.092,1.872,0,4.397,3.075,11.649,14.594,2.871,0.048,4.495,4.802,5.312,4.267,4.964,11.527,32.139,48.825,4.285,11.93,1.789,4.708,4.314,52.955,5.093,7.721,1.103,5.102,13.416,8.305,4.038,3.961,0
4.177,0,2.251,1.904,3.128,25.722,3.123,1.192,14.471,0.457,0.17,4.316,8.682,5.169,7.324,42.342,11.889,17.261,31.796,2.012,4.949,4.204,37.786,5.46,0,4.373,5.081,5.422,4.979,30.647,4.237,10.031,21.019,7.736,2.033,4.23,5.192,0.8,1.343,1.657,0,4.264,1.668,20.827,14.789,1.824,-0.193,4.79,5.05,5.333,4.145,5.11,17.862,41.072,65.65,4.274,15.761,1.91,4.042,4.354,74.308,5.198,4.557,1.375,5.327,11.16,12.6,4.395,4.221,0
4.177,0,1.415,1.805,3.032,38.818,3.125,1.427,13.103,0.569,0.21,4.115,8.374,5.023,7.068,37.879,11.9,15.334,33.957,1.536,4.813,3.977,33.475,5.248,0,4.144,4.857,5.169,4.868,27.115,3.594,9.674,17.741,7.254,1.576,4.045,4.97,1.0,1.349,1.34,1,4.045,1.593,15.344,11.84,1.394,-0.157,4.696,4.962,5.087,3.903,5.086,17.207,37.953,57.076,4.1,13.881,1.659,3.974,4.207,64.152,5.004,4.409,1.305,5.304,11.159,10.95,4.224,3.972,0
4.676,0,0.0,1.86,2.262,25.113,2.953,1.251,8.32,0.487,0.179,3.962,6.319,4.814,5.326,22.275,7.928,8.709,25.265,1.272,4.613,3.927,24.288,4.87,0,3.991,4.671,4.894,4.613,22.801,2.816,7.305,9.867,5.884,1.328,3.925,4.715,0.6,1.127,1.138,0,3.961,1.195,9.609,8.203,1.22,0.111,4.479,4.736,4.847,3.892,4.766,11.29,24.075,50.454,4.013,9.519,1.365,4.244,4.062,55.678,4.68,3.301,1.108,4.957,8.056,9.26,4.127,3.838,0
4.6,0,2.363,1.803,0.393,0.0,2.853,1.495,13.35,0.495,0.182,4.152,0.273,4.998,0.312,37.257,11.922,16.161,31.051,1.631,4.744,4.007,38.554,5.264,0,4.176,4.879,5.215,4.773,26.611,3.162,0.236,18.217,7.152,1.694,4.083,4.973,0.8,1.168,1.296,0,4.038,0.325,17.676,13.026,1.412,-0.055,4.604,4.941,5.12,3.93,5.108,20.036,36.302,51.971,4.089,14.744,1.755,3.948,4.233,58.472,4.999,0.384,1.15,5.382,10.98,9.136,4.153,3.95,0
4.453,0,0.0,1.615,0.0,0.0,2.731,1.19,5.306,0.841,0.27,3.476,0.0,4.044,0.0,12.933,5.215,7.366,10.188,0.753,3.734,3.332,11.587,4.362,0,3.575,3.969,4.436,4.265,11.618,2.15,0.0,7.291,3.832,0.881,3.235,4.222,0.6,0.862,0.456,1,3.482,0.0,6.639,4.948,0.597,-0.203,4.105,4.312,4.226,3.028,4.257,6.739,13.718,31.723,3.598,6.331,0.992,3.384,3.66,35.571,4.132,0.0,0.82,4.45,4.372,6.267,3.707,2.815,0
4.414,0,0.0,1.824,5.6,21.648,2.735,1.243,8.812,0.497,0.182,3.994,16.392,4.68,13.69,23.056,8.569,10.695,19.043,1.292,4.454,3.89,21.681,4.787,0,4.036,4.585,4.787,4.486,18.338,2.55,19.084,10.256,5.244,1.264,3.91,4.604,0.6,1.107,1.01,0,3.925,2.933,10.611,9.594,1.231,0.114,4.374,4.601,4.799,3.801,4.646,11.208,24.607,45.222,3.933,10.061,1.226,3.674,4.059,49.74,4.59,8.28,1.062,4.831,7.689,7.983,4.013,3.752,0
4.404,0,1.204,1.455,0.0,12.587,2.376,1.395,5.825,0.776,0.256,3.464,0.0,3.858,0.0,15.973,4.901,5.307,13.233,0.812,3.626,3.317,13.478,4.323,1,3.639,3.872,4.407,4.314,18.559,2.107,0.0,5.377,5.762,0.963,3.159,4.239,0.8,0.806,0.472,1,3.514,0.0,6.042,6.973,0.589,0.193,4.179,4.395,4.103,2.969,4.37,7.704,21.766,33.204,3.658,5.362,1.081,3.157,3.765,36.62,4.141,0.0,0.855,4.535,4.801,5.983,3.74,3.022,0
4.177,0,0.0,1.452,0.0,11.876,2.376,0.984,5.185,0.546,0.208,3.221,0.0,3.589,0.0,14.817,3.214,2.862,9.924,0.562,3.45,3.041,7.123,3.917,0,3.37,3.465,4.096,4.037,13.968,1.64,0.0,4.727,4.769,0.665,3.106,3.92,0.4,0.692,0.412,0,3.21,0.0,4.63,4.963,0.405,0.151,3.957,4.06,3.583,2.953,3.916,4.093,10.83,30.295,3.325,3.095,0.773,3.153,3.475,32.627,3.728,0.0,0.66,4.046,3.652,5.483,3.585,3.017,0
4.052,0,0.0,1.508,4.506,22.634,2.617,1.278,5.672,0.967,0.306,3.518,12.452,3.585,10.509,12.525,5.345,4.894,12.196,0.786,3.33,3.523,18.214,4.463,0,3.641,4.098,4.392,4.059,12.273,1.67,14.386,4.562,3.529,0.782,3.134,4.282,0.4,0.836,0.255,1,3.665,2.361,4.68,5.169,0.57,0.185,3.982,4.234,4.273,3.08,4.278,5.313,9.294,31.044,3.672,3.296,0.78,3.808,3.661,33.23,4.329,6.556,0.844,4.395,2.958,5.493,3.624,2.284,0
4.959,0,0.0,1.567,0.0,0.0,2.679,1.224,5.575,0.841,0.271,3.396,0.0,3.873,0.0,15.132,4.296,6.011,8.238,0.787,3.6,3.248,9.338,4.455,0,3.578,3.799,4.47,4.27,11.928,1.951,0.0,7.843,3.632,0.892,3.132,4.254,0.6,0.868,0.402,1,3.461,0.0,7.423,5.468,0.506,-0.203,4.104,4.273,4.036,2.948,4.338,7.293,14.148,31.723,3.63,5.27,0.954,3.357,3.701,35.571,4.173,0.0,0.837,4.549,3.695,6.683,3.707,2.8,0
4.177,0,1.495,1.709,4.336,38.986,2.88,1.236,12.458,0.579,0.211,4.296,11.754,5.279,9.934,40.003,13.067,18.158,37.297,1.907,5.092,4.238,42.03,5.378,0,4.21,5.18,5.23,4.94,32.182,3.626,13.57,17.733,7.574,1.72,4.288,5.049,1.0,1.308,1.796,0,4.183,2.283,14.586,10.709,1.861,-0.175,4.76,5.02,5.406,4.243,5.165,18.405,35.834,64.203,4.156,16.306,1.692,4.111,4.214,72.228,5.155,6.246,1.239,5.408,12.002,12.567,4.351,4.281,0
4.052,0,2.043,1.776,0.268,12.833,2.806,1.234,7.3,0.539,0.196,3.685,0.054,4.213,0.082,16.907,5.681,7.798,10.91,0.869,4.01,3.562,12.495,4.58,0,3.851,4.123,4.681,4.415,15.727,2.363,0.035,9.505,4.517,0.989,3.53,4.487,0.6,1.045,0.641,0,3.748,0.325,10.102,7.882,0.7,0.065,4.277,4.521,4.339,3.416,4.573,10.275,17.869,40.716,3.883,6.236,1.059,3.665,3.962,45.112,4.358,0.188,1.003,4.759,4.698,7.867,3.92,3.386,0
4.177,0,0.0,1.448,0.0,11.694,2.376,1.012,3.519,0.817,0.297,2.944,0.0,3.639,0.0,9.041,3.217,3.588,9.641,0.433,3.46,2.829,9.833,3.829,1,3.085,3.52,4.225,4.056,10.472,1.537,0.0,4.334,3.523,0.578,2.916,3.944,0.6,0.575,0.403,1,2.921,0.0,6.614,5.207,0.426,0.018,3.888,3.955,3.693,2.794,3.997,5.861,14.705,28.025,3.149,3.319,0.658,3.028,3.287,31.202,3.62,0.0,0.591,4.188,3.211,5.733,3.529,2.78,0
4.052,0,0.0,1.772,0.0,25.12,2.796,1.213,5.414,0.55,0.198,3.626,0.0,4.16,0.0,10.983,5.6,6.553,12.096,0.671,3.977,3.536,14.084,4.31,0,3.675,4.125,4.438,4.277,16.855,2.147,0.0,5.761,4.797,0.797,3.558,4.297,0.4,1.012,0.583,0,3.621,0.0,5.948,6.15,0.652,0.085,4.196,4.47,4.29,3.453,4.458,7.694,15.638,37.458,3.802,5.919,0.93,3.665,3.874,40.272,4.164,0.0,0.977,4.587,4.956,6.81,3.803,3.417,0
4.177,0,0.0,1.536,0.0,12.185,2.718,1.101,4.56,0.509,0.188,3.387,0.0,3.957,0.0,9.961,4.601,4.005,11.335,0.633,3.787,3.345,9.953,4.074,1,3.4,3.938,4.08,4.242,16.224,1.932,0.0,4.036,4.866,0.645,3.343,3.953,0.4,1.05,0.564,1,3.358,0.0,3.754,4.457,0.601,-0.059,4.146,4.235,4.077,3.26,4.173,4.872,10.267,34.647,3.495,4.202,0.883,3.627,3.568,37.415,3.956,0.0,1.003,4.322,4.417,6.65,3.754,3.195,0
4.398,0,2.221,1.667,0.268,12.649,2.824,1.21,9.767,0.574,0.204,3.868,0.054,4.527,0.082,28.217,7.267,9.099,16.728,1.235,4.319,3.781,20.159,5.012,0,4.027,4.493,5.052,4.666,20.46,3.136,0.035,13.024,5.714,1.38,3.704,4.824,0.8,1.128,0.827,1,3.924,0.325,14.943,10.982,0.962,-0.26,4.488,4.687,4.685,3.635,4.772,12.739,27.806,46.912,4.002,8.651,1.331,3.892,4.08,52.651,4.768,0.188,1.115,4.96,6.667,9.6,4.066,3.551,0
4.35,0,0.0,1.726,0.0,12.612,2.795,1.246,5.576,0.528,0.187,3.582,0.0,4.151,0.0,12.015,5.076,6.315,10.639,0.684,3.959,3.501,11.272,4.345,0,3.714,4.088,4.541,4.329,14.209,2.229,0.0,6.854,4.369,0.828,3.459,4.354,0.4,1.026,0.579,0,3.631,0.0,8.302,6.935,0.658,0.046,4.235,4.491,4.278,3.38,4.485,8.304,15.576,37.058,3.803,5.444,0.925,3.623,3.86,40.408,4.167,0.0,0.984,4.64,4.518,6.833,3.834,3.28,0
4.395,0,1.807,1.482,0.268,12.156,2.595,1.283,4.271,0.897,0.296,3.141,0.054,3.942,0.082,11.487,3.176,4.154,8.955,0.569,3.671,3.045,7.798,4.149,1,3.326,3.633,4.226,4.203,10.911,1.765,0.035,5.097,3.501,0.612,2.922,4.074,0.6,0.815,0.447,1,3.288,0.325,5.276,4.781,0.433,-0.165,4.049,4.211,3.836,2.802,4.299,8.214,12.557,31.058,3.455,5.094,0.736,3.421,3.513,34.408,3.958,0.188,0.782,4.51,3.596,6.367,3.643,2.808,0
4.177,0,4.708,1.78,0.479,0.0,2.826,1.303,8.174,0.492,0.177,3.796,0.104,4.401,0.158,23.918,6.369,9.11,13.831,1.246,4.168,3.672,18.075,4.906,0,3.922,4.378,4.941,4.604,17.209,2.678,0.068,11.459,5.188,1.314,3.573,4.709,0.8,1.107,0.761,1,3.819,0.57,12.145,9.011,0.966,-0.292,4.437,4.678,4.644,3.448,4.694,11.733,24.571,42.92,3.894,7.768,1.338,3.674,3.975,48.109,4.649,0.346,1.062,4.907,5.589,7.8,4.008,3.455,0
4.177,0,0.0,1.706,3.675,24.133,2.98,1.208,7.548,0.435,0.164,3.988,8.997,5.041,7.701,26.928,8.053,11.402,27.506,1.432,4.827,3.959,26.543,5.024,0,3.976,4.807,5.059,4.862,26.343,3.397,10.286,11.056,7.328,1.481,4.009,4.833,0.8,1.374,1.398,0,3.956,2.179,11.353,7.425,1.421,-0.073,4.687,4.901,5.018,3.973,4.909,11.567,27.949,58.647,3.998,12.247,1.594,4.128,4.014,65.853,4.805,5.057,1.403,5.14,8.857,10.55,4.299,4.003,0
4.177,0,0.0,1.475,0.0,0.0,2.376,0.928,3.242,0.785,0.27,3.16,0.0,3.431,0.0,6.4,3.314,3.442,7.014,0.508,3.241,3.048,8.124,3.873,1,3.265,3.523,3.973,3.946,9.435,1.461,0.0,3.807,3.318,0.65,3.022,3.798,0.4,0.647,0.327,1,3.2,0.0,2.805,3.091,0.449,-0.214,3.825,3.937,3.728,2.855,3.832,2.755,7.982,26.251,3.268,2.885,0.722,3.133,3.303,28.744,3.685,0.0,0.627,3.996,2.658,4.883,3.491,2.693,0
4.052,0,0.0,1.576,3.522,12.458,2.937,1.171,8.812,0.37,0.142,3.903,13.65,4.526,11.074,25.456,6.174,5.579,19.34,1.219,4.356,3.77,14.804,4.558,0,4.0,4.318,4.747,4.578,24.86,2.654,16.206,6.759,6.787,1.403,3.727,4.565,0.4,1.237,1.063,0,3.882,1.593,8.537,9.368,1.076,-0.072,4.458,4.583,4.484,3.652,4.619,10.104,25.601,47.585,3.941,7.318,1.333,3.785,4.088,52.035,4.412,5.91,1.179,4.805,7.657,9.0,4.082,3.734,0
4.177,0,1.542,1.708,4.991,24.408,2.746,1.077,5.005,0.505,0.187,3.384,16.132,4.165,13.415,10.924,4.424,4.326,11.136,0.668,3.988,3.354,9.517,4.267,1,3.488,3.988,4.375,4.322,16.351,2.064,18.825,4.841,4.845,0.811,3.31,4.257,0.4,0.973,0.611,1,3.477,2.048,4.878,6.066,0.609,-0.098,4.237,4.438,4.128,3.276,4.441,6.654,16.62,38.007,3.696,5.248,0.999,3.736,3.722,40.83,4.111,7.867,0.942,4.576,4.786,6.767,3.83,3.278,0
4.319,0,2.114,1.657,4.987,12.054,2.735,1.196,6.769,0.588,0.217,3.574,16.133,4.267,13.416,18.099,6.022,7.11,14.754,0.866,4.066,3.461,17.258,4.55,1,3.737,4.163,4.578,4.482,17.837,2.399,18.826,8.162,5.483,0.998,3.434,4.387,0.8,1.107,0.683,1,3.595,2.048,9.871,8.739,0.742,-0.172,4.319,4.483,4.366,3.317,4.485,11.335,25.868,40.003,3.64,6.682,1.064,3.603,3.815,44.657,4.353,7.867,1.062,4.717,5.479,7.483,3.885,3.348,0
4.177,0,0.0,1.549,0.0,0.0,2.651,1.26,4.104,0.651,0.227,3.276,0.0,3.852,0.0,9.166,3.949,4.755,7.593,0.567,3.636,3.2,10.336,4.073,0,3.419,3.88,4.322,4.205,11.526,1.939,0.0,5.376,3.655,0.717,3.172,4.105,0.4,0.931,0.435,1,3.326,0.0,6.471,5.09,0.569,-0.115,4.079,4.246,4.093,3.093,4.263,6.623,12.608,31.949,3.517,4.469,0.816,3.395,3.587,35.282,3.889,0.0,0.902,4.452,3.352,6.317,3.691,3.015,0
4.412,0,0.0,1.653,3.791,23.333,2.926,1.32,8.558,0.486,0.187,3.758,9.541,4.658,8.139,25.102,7.686,10.147,19.292,1.14,4.435,3.675,21.716,4.899,0,3.896,4.534,4.972,4.626,19.668,2.833,10.936,11.382,5.52,1.243,3.663,4.748,0.6,1.173,0.911,1,3.8,2.179,13.011,9.815,1.003,-0.022,4.47,4.726,4.761,3.573,4.737,13.577,26.471,49.022,3.879,9.413,1.292,3.946,3.983,54.777,4.67,5.284,1.157,4.953,7.112,9.25,4.082,3.611,0
4.177,0,0.0,1.862,0.0,37.874,2.816,1.188,6.449,0.462,0.172,3.761,0.0,4.541,0.0,15.618,6.524,6.62,13.414,0.993,4.396,3.773,14.892,4.609,0,3.811,4.399,4.715,4.519,20.914,2.462,0.0,5.596,5.502,1.126,3.802,4.581,0.4,1.08,0.922,0,3.833,0.0,6.027,7.947,0.906,0.057,4.432,4.686,4.537,3.758,4.705,8.232,24.389,47.418,3.927,6.985,1.309,4.607,3.975,51.186,4.487,0.0,1.044,4.863,6.761,8.16,4.045,3.801,0
4.177,0,0.0,1.564,0.0,0.0,2.666,1.183,4.07,0.819,0.267,3.321,0.0,3.728,0.0,9.893,3.883,4.979,9.885,0.547,3.455,3.199,11.552,4.085,0,3.434,3.7,4.246,4.156,11.682,1.73,0.0,5.219,3.598,0.701,3.095,4.046,0.4,0.751,0.322,1,3.356,0.0,4.855,4.124,0.41,-0.217,4.018,4.207,3.901,2.908,4.184,5.196,11.254,29.164,3.528,4.756,0.85,3.356,3.594,32.1,3.884,0.0,0.721,4.371,3.469,5.826,3.618,2.673,0
4.301,0,1.557,1.357,6.477,23.932,2.769,1.093,5.88,0.891,0.311,3.457,19.176,4.159,16.069,15.473,6.079,6.395,13.138,0.751,3.987,3.358,16.544,4.321,1,3.485,4.062,4.438,4.243,16.393,1.675,22.261,5.563,4.618,0.818,3.403,4.275,0.6,0.944,0.65,1,3.435,3.054,5.869,6.419,0.719,-0.056,4.107,4.214,4.254,3.286,4.382,7.219,18.391,34.858,3.559,5.217,0.895,3.876,3.652,38.039,4.162,9.745,0.841,4.521,5.143,6.7,3.74,3.28,0
4.177,0,0.0,1.859,0.0,38.303,2.969,1.209,9.907,0.462,0.172,3.947,0.0,4.698,0.0,28.003,8.376,9.108,18.938,1.26,4.517,3.897,21.831,4.872,0,4.011,4.637,4.935,4.627,20.159,2.697,0.0,10.194,5.436,1.376,3.89,4.77,0.6,1.146,1.088,1,3.96,0.0,10.639,10.347,1.15,-0.086,4.516,4.743,4.801,3.84,4.789,10.306,29.096,50.76,4.008,9.695,1.409,4.348,4.06,55.574,4.698,0.0,1.129,4.953,8.117,9.2,4.112,3.858,0
4.052,0,2.99,1.69,3.205,40.908,2.969,1.29,12.141,0.46,0.162,4.228,8.895,5.054,7.507,34.795,12.504,15.336,28.209,1.778,4.831,4.145,36.208,5.189,0,4.22,5.009,5.153,4.848,26.514,3.337,10.276,14.566,7.123,1.737,4.179,4.992,0.8,1.336,1.431,0,4.177,1.668,11.862,11.426,1.723,-0.306,4.701,4.965,5.231,4.084,5.021,12.481,33.349,53.636,4.226,13.941,1.839,4.211,4.26,59.361,4.987,4.676,1.309,5.182,11.018,9.583,4.21,4.038,0
4.177,0,0.0,1.679,0.0,12.647,2.776,1.162,8.38,0.528,0.194,3.546,0.0,4.174,0.0,23.939,5.454,6.631,11.438,0.865,3.969,3.371,14.589,4.476,0,3.714,4.044,4.551,4.381,16.369,2.204,0.0,9.096,4.877,0.976,3.346,4.364,0.6,1.1,0.687,1,3.546,0.0,8.398,7.795,0.724,0.013,4.248,4.425,4.266,3.252,4.443,8.681,20.95,38.011,3.696,4.254,1.062,3.627,3.808,42.116,4.255,0.0,1.06,4.64,3.758,7.2,3.863,3.279,0
4.177,0,0.0,1.503,0.0,12.382,2.715,1.102,6.401,0.591,0.218,3.55,0.0,4.226,0.0,17.131,5.618,5.599,12.138,0.878,4.029,3.5,16.982,4.528,0,3.693,4.22,4.67,4.382,16.167,2.118,0.0,7.586,4.898,1.009,3.4,4.468,0.6,1.024,0.651,1,3.621,0.0,8.91,7.62,0.774,0.021,4.257,4.384,4.397,3.354,4.449,8.28,21.049,40.447,3.697,5.167,0.966,3.654,3.768,44.451,4.336,0.0,0.987,4.604,4.387,7.867,3.887,3.259,0
4.177,0,0.0,1.505,0.0,0.0,2.571,1.294,3.587,0.837,0.281,3.212,0.0,3.875,0.0,9.962,3.061,3.895,7.812,0.623,3.623,3.158,7.659,4.121,1,3.401,3.718,4.29,4.117,10.231,1.747,0.0,4.254,3.336,0.736,3.052,4.099,0.4,0.828,0.465,1,3.347,0.0,5.393,4.483,0.518,-0.085,3.98,4.141,3.923,2.97,4.161,5.602,11.418,30.167,3.483,4.013,0.764,3.41,3.517,33.365,3.917,0.0,0.836,4.322,2.954,5.9,3.625,2.812,0
4.177,0,0.0,1.451,0.0,0.0,2.521,1.094,4.903,0.827,0.277,3.452,0.0,3.892,0.0,13.012,4.286,4.69,11.077,0.818,3.637,3.363,10.883,4.278,1,3.594,3.918,4.287,4.047,11.381,1.649,0.0,5.184,3.645,0.862,3.255,4.117,0.4,0.818,0.484,1,3.518,0.0,4.846,4.442,0.687,0.061,3.93,4.111,4.144,3.111,4.083,4.991,10.816,30.134,3.546,4.779,0.825,3.535,3.621,33.159,4.077,0.0,0.8,4.239,4.092,5.517,3.621,2.931,0
4.364,0,2.075,1.572,0.268,0.0,2.789,1.162,8.907,0.722,0.25,3.871,0.054,4.606,0.082,22.15,8.402,9.807,23.931,1.019,4.411,3.749,20.668,4.663,0,3.966,4.395,4.776,4.496,18.957,2.342,0.035,11.101,5.22,1.11,3.768,4.567,0.8,1.107,0.935,0,3.828,0.325,12.77,10.119,0.944,-0.059,4.335,4.428,4.562,3.633,4.555,12.414,24.279,42.785,3.9,9.484,0.993,3.674,4.051,47.574,4.472,0.188,1.062,4.735,8.497,8.817,3.942,3.605,0
4.301,0,1.79,1.867,2.487,26.432,3.043,1.334,17.65,0.406,0.15,4.545,6.926,5.549,5.84,48.322,19.221,25.502,51.172,2.239,5.319,4.459,52.129,5.53,0,4.475,5.387,5.447,5.048,38.42,4.205,8.004,22.985,9.243,2.062,4.526,5.27,0.7,1.429,2.131,0,4.424,1.305,19.133,15.816,2.341,-0.114,4.9,5.165,5.621,4.419,5.229,19.185,46.193,70.418,4.387,21.63,1.938,4.366,4.443,78.216,5.334,3.628,1.42,5.408,16.79,12.676,4.443,4.413,0
4.453,0,0.0,1.719,0.0,0.0,2.735,1.195,9.05,0.679,0.23,3.946,0.0,4.607,0.0,26.34,8.19,11.711,17.623,1.448,4.31,3.811,21.085,5.022,1,4.001,4.526,4.915,4.484,17.03,2.471,0.0,12.959,4.554,1.474,3.733,4.7,0.6,1.107,0.832,1,3.928,0.0,10.145,7.252,1.089,0.073,4.318,4.519,4.8,3.559,4.6,10.41,22.888,41.592,3.929,10.476,1.224,3.674,3.989,46.9,4.756,0.0,1.062,4.792,7.257,8.267,3.967,3.491,0
4.177,0,0.0,1.43,2.579,11.784,2.735,1.095,5.286,0.548,0.207,3.371,7.405,3.828,6.232,13.979,4.479,3.985,10.633,0.672,3.681,3.227,11.792,4.026,1,3.501,3.756,4.196,4.159,13.942,1.753,8.567,4.322,4.368,0.768,3.209,4.038,0.4,0.905,0.526,1,3.363,1.305,5.011,5.957,0.568,-0.043,4.064,4.203,3.911,3.097,4.116,4.996,15.118,33.647,3.458,3.571,0.851,3.621,3.563,36.415,3.878,3.828,0.857,4.267,4.176,5.867,3.716,3.182,0
4.177,0,3.405,1.668,4.3,24.081,2.896,1.275,8.644,0.457,0.179,3.757,13.706,4.603,11.182,26.68,7.703,9.998,22.897,1.095,4.363,3.608,24.041,4.768,0,3.853,4.473,4.957,4.703,22.037,3.05,16.242,11.073,6.593,1.238,3.649,4.732,1.0,1.107,0.894,1,3.728,2.364,11.464,9.507,0.991,-0.19,4.528,4.744,4.717,3.509,4.753,11.21,32.598,49.418,3.835,8.232,1.365,3.828,3.922,55.278,4.531,6.393,1.062,4.946,6.546,9.05,4.098,3.525,0
4.436,0,0.0,1.63,0.0,0.0,2.793,1.11,6.632,0.572,0.212,3.716,0.0,4.52,0.0,19.51,6.461,9.145,16.106,1.084,4.284,3.646,20.005,4.74,0,3.791,4.464,4.818,4.49,16.351,2.26,0.0,9.245,4.566,1.157,3.601,4.606,0.6,1.131,0.826,1,3.737,0.0,9.31,7.093,0.978,-0.114,4.341,4.476,4.711,3.517,4.55,8.951,21.754,44.574,3.783,7.805,1.074,4.051,3.817,49.528,4.517,0.0,1.142,4.721,5.535,8.467,4.003,3.469,0
4.417,0,0.0,1.679,0.0,27.309,3.032,1.288,10.899,0.617,0.205,4.161,0.0,4.968,0.0,28.046,11.37,10.485,25.46,1.791,4.751,4.131,29.874,5.037,0,4.158,4.785,4.982,4.641,23.45,2.747,0.0,10.609,5.673,1.756,4.097,4.827,0.4,1.233,1.421,0,4.135,0.0,9.372,10.303,1.719,-0.108,4.514,4.723,4.944,4.037,4.848,10.475,28.553,47.836,4.158,11.379,1.638,4.278,4.186,52.578,4.871,0.0,1.176,5.002,9.964,9.36,4.079,3.928,0
4.495,0,2.106,1.762,0.393,12.971,2.831,1.247,8.372,0.565,0.201,3.916,0.273,4.426,0.312,18.966,7.786,10.539,14.737,1.057,4.182,3.802,17.657,4.748,0,3.993,4.42,4.7,4.43,16.47,2.49,0.236,10.773,4.799,1.012,3.729,4.536,0.6,1.035,0.771,0,3.911,0.325,9.978,7.931,0.95,-0.106,4.296,4.542,4.652,3.593,4.558,9.507,17.198,41.716,3.938,8.244,1.094,3.811,4.0,46.112,4.546,0.384,1.0,4.732,6.12,7.817,3.932,3.441,0
4.177,0,0.0,1.419,0.0,12.119,2.376,1.163,4.308,0.583,0.209,3.469,0.0,3.782,0.0,8.187,5.365,4.383,9.587,0.587,3.644,3.303,12.897,3.91,0,3.552,3.836,4.016,4.128,18.164,1.672,0.0,3.9,5.558,0.697,3.369,3.908,0.4,0.829,0.496,1,3.38,0.0,3.597,5.478,0.602,0.02,4.057,4.078,3.972,3.221,4.062,3.925,13.33,31.589,3.559,3.437,0.776,3.408,3.701,33.63,3.794,0.0,0.8,4.154,4.175,6.15,3.652,3.26,0
