pXC50,RBN,nCsp2,nBM,nCsp3,nBT,H.,nSK,nHet,nDB,RBF,Se,Si,nO,nAT,nH,Mv,nBO
5.744,23,26,28,18,120,49.6,59,15,6,0.192,117.196,132.832,7,117,58,0.601,62
6.577,20,26,28,16,114,48.6,57,15,6,0.175,111.428,126.002,7,111,54,0.606,60
5.724,9,16,18,15,79,50.0,37,6,2,0.114,73.309,83.182,3,74,37,0.61,42
5.377,18,23,26,16,103,49.0,51,12,5,0.175,100.239,113.092,7,100,49,0.607,54
6.538,24,27,29,18,121,48.3,61,16,7,0.198,118.748,133.753,9,118,57,0.608,64
6.754,6,21,21,9,74,46.5,38,8,3,0.081,70.967,79.793,3,71,33,0.633,41
7.553,23,28,30,16,118,47.0,61,17,8,0.195,116.083,130.421,9,115,54,0.615,64
8.114,22,30,34,15,119,45.2,63,18,7,0.185,116.527,130.215,10,115,52,0.625,67
7.409,22,29,33,15,117,46.0,61,17,7,0.188,114.199,128.005,9,113,52,0.621,65
7.301,23,27,29,15,113,46.4,59,17,8,0.204,111.174,124.427,9,110,51,0.621,62
7.854,22,31,34,15,119,46.1,62,16,7,0.185,115.981,129.922,9,115,53,0.623,66
6.602,7,16,20,12,78,48.0,39,11,3,0.09,75.167,85.427,3,75,36,0.609,42
7.854,22,29,33,15,118,45.6,62,18,7,0.186,115.527,129.215,10,114,52,0.622,66
6.222,7,22,26,10,83,45.6,43,11,3,0.084,79.167,89.427,3,79,36,0.629,47
5.959,9,22,24,11,87,46.4,45,12,6,0.103,84.57,94.726,6,84,39,0.625,48
7.26,23,29,30,15,116,46.9,60,16,8,0.198,113.981,127.922,9,113,53,0.617,63
6.886,23,29,30,15,116,45.1,62,18,8,0.198,114.629,127.81,9,113,51,0.631,65
7.409,25,29,32,15,121,44.9,65,21,10,0.207,120.367,133.68,13,118,53,0.625,68
6.31,7,16,20,15,86,48.8,42,11,3,0.081,81.934,93.258,3,82,40,0.607,46
7.244,24,29,32,15,118,45.2,63,19,10,0.203,116.854,130.424,11,115,52,0.623,66
6.284,8,16,18,16,90,49.4,44,12,6,0.089,87.338,98.557,6,87,43,0.605,47
7.721,23,31,34,15,121,46.2,63,17,8,0.19,118.083,132.421,9,117,54,0.622,67
6.387,24,27,29,17,118,47.0,61,17,7,0.203,116.188,130.282,9,115,54,0.618,64
7.886,25,29,32,15,121,44.9,65,21,10,0.207,120.367,133.68,13,118,53,0.625,68
7.42,25,29,30,17,124,47.1,64,18,8,0.202,122.403,137.172,11,121,57,0.613,67
8.469,24,32,35,17,128,46.0,67,18,8,0.188,125.403,140.172,11,124,57,0.622,71
5.921,18,23,26,16,103,49.0,51,12,5,0.175,100.239,113.092,7,100,49,0.607,54
5.538,18,19,21,15,93,49.5,46,12,5,0.194,91.472,103.261,7,91,45,0.601,48
5.68,12,29,29,18,112,45.2,57,10,5,0.107,104.036,116.095,7,104,47,0.641,65
5.854,16,23,26,17,105,48.5,52,12,5,0.152,101.239,114.092,7,101,49,0.611,56
5.268,17,23,26,19,111,49.5,54,12,5,0.153,107.007,120.922,7,107,53,0.605,58
5.301,18,19,21,16,96,50.0,47,12,5,0.188,94.356,106.677,7,94,47,0.598,49
6.284,19,23,26,18,109,50.0,53,12,5,0.174,106.007,119.922,7,106,53,0.601,56
5.678,16,23,26,18,108,49.0,53,12,5,0.148,104.123,117.507,7,104,51,0.608,57
5.42,11,25,27,13,92,43.0,49,11,5,0.12,86.945,96.229,8,86,37,0.648,55
5.62,17,29,32,12,102,45.9,53,12,5,0.167,98.472,110.261,7,98,45,0.629,57
5.65,11,25,27,13,92,43.0,49,11,5,0.12,86.694,95.939,7,86,37,0.654,55
5.59,11,24,27,13,92,41.9,50,13,5,0.12,87.45,96.94,7,86,36,0.65,56
6.509,8,22,22,10,80,46.8,41,9,4,0.1,77.181,86.683,5,77,36,0.625,44
5.5,11,25,27,10,86,43.9,46,11,5,0.128,82.836,92.102,7,82,36,0.64,50
5.097,17,25,27,13,98,47.4,50,12,5,0.173,95.472,107.261,7,95,45,0.617,53
6.04,11,24,35,10,91,40.0,51,17,3,0.121,86.538,97.013,3,85,34,0.654,57
5.89,11,25,35,13,99,41.8,53,15,3,0.111,91.69,103.005,3,91,38,0.651,61
6.004,16,29,32,11,99,45.3,52,12,5,0.162,95.589,106.846,7,95,43,0.633,56
5.456,17,29,32,13,105,46.5,54,12,5,0.162,101.356,113.677,7,101,47,0.625,58
7.31,23,29,30,15,116,45.1,62,18,8,0.198,114.629,127.81,9,113,51,0.631,65
7.481,23,29,30,15,118,46.1,62,18,8,0.195,116.636,130.341,11,115,53,0.619,65
5.55,11,24,27,13,93,42.5,50,13,5,0.118,88.265,97.81,8,87,37,0.647,56
7.469,8,22,26,10,83,45.6,43,11,3,0.096,79.167,89.427,3,79,36,0.629,47
5.08,4,14,14,15,70,48.4,33,4,2,0.057,63.338,71.355,3,64,31,0.626,39
5.377,7,22,22,9,77,45.9,40,9,4,0.091,74.298,83.268,5,74,34,0.629,43
6.208,7,22,26,9,80,44.7,42,11,3,0.088,76.283,86.012,3,76,34,0.634,46
5.09,5,15,15,19,85,48.7,40,6,3,0.059,77.418,87.308,4,78,38,0.62,47
5.13,11,24,27,10,85,42.0,47,13,5,0.129,82.567,91.525,7,81,34,0.647,51
6.085,11,27,28,13,95,43.8,50,10,5,0.116,89.501,99.434,7,89,39,0.647,56
7.4,18,33,35,11,112,44.4,60,16,7,0.161,109.105,121.966,8,108,48,0.634,64
7.1,18,33,35,10,109,42.9,60,17,7,0.165,106.545,118.494,8,105,45,0.645,64
7.284,23,29,33,16,121,46.2,63,18,7,0.19,118.41,132.63,10,117,54,0.619,67
7.149,23,29,30,15,116,46.0,61,17,8,0.198,114.305,127.866,9,113,52,0.624,64
7.2,18,33,35,11,112,44.4,60,16,7,0.161,109.105,121.966,8,108,48,0.634,64
7.523,24,27,29,18,122,47.9,62,17,7,0.197,120.076,134.962,10,119,57,0.609,65
6.409,24,27,29,18,121,45.8,64,19,7,0.198,120.286,134.772,9,118,54,0.618,67
7.149,23,29,30,16,119,47.4,61,16,8,0.193,116.865,131.338,9,116,55,0.614,64
5.77,8,17,19,18,89,49.4,42,7,3,0.09,82.403,93.221,4,83,41,0.614,48
8.42,22,27,29,15,114,45.9,60,18,7,0.193,112.523,125.949,9,111,51,0.622,63
7.032,23,27,29,17,120,47.9,61,17,7,0.192,117.967,132.836,9,117,56,0.609,64
5.812,9,16,18,15,79,47.3,39,8,2,0.114,73.956,83.07,3,74,35,0.633,44
8.796,7,21,21,12,83,50.0,40,7,3,0.084,79.294,90.095,3,80,40,0.609,43
7.638,23,27,29,18,123,48.3,62,17,7,0.187,120.85,136.251,9,120,58,0.606,65
8.886,7,21,21,12,83,50.0,40,7,3,0.084,79.294,90.095,3,80,40,0.609,43
7.092,25,28,32,19,131,45.7,69,22,10,0.191,129.236,144.009,13,127,58,0.621,73
7.292,22,27,29,15,114,45.9,60,18,7,0.193,112.523,125.949,9,111,51,0.622,63
8.097,22,27,29,16,117,44.7,63,20,7,0.188,116.621,130.44,9,114,51,0.622,66
9.174,28,28,32,19,132,46.5,69,22,10,0.212,131.119,146.424,13,129,60,0.615,72
9.114,29,28,32,19,132,46.5,69,22,10,0.22,131.119,146.424,13,129,60,0.615,72
6.4,8,28,28,6,78,43.2,42,8,4,0.103,74.087,82.644,4,74,32,0.653,46
8.0,7,27,27,8,82,44.9,43,8,3,0.085,77.85,87.209,3,78,35,0.647,47
8.409,21,27,29,14,111,46.3,58,17,7,0.189,109.316,122.59,9,108,50,0.617,61
8.959,7,27,27,9,85,46.9,43,7,3,0.082,80.41,90.68,3,81,38,0.632,47
7.387,21,26,30,14,111,46.3,58,18,8,0.189,109.392,122.51,9,108,50,0.619,61
5.819,11,17,19,16,85,48.8,41,8,3,0.129,79.847,90.016,5,80,39,0.614,46
8.237,26,28,32,15,120,44.4,65,22,10,0.217,119.585,132.763,13,117,52,0.626,68
8.0,7,27,27,9,85,46.9,43,7,3,0.082,80.41,90.68,3,81,38,0.632,47
7.678,22,21,23,21,120,49.6,59,17,7,0.183,117.85,133.251,9,117,58,0.596,62
5.216,7,16,18,13,73,48.5,35,6,2,0.096,67.541,76.351,3,68,33,0.619,40
8.268,21,27,29,17,121,48.3,61,17,7,0.174,118.741,134.125,8,118,57,0.606,64
5.516,11,17,19,16,83,46.2,42,9,3,0.133,78.392,87.405,5,78,36,0.638,47
5.42,11,15,15,16,80,50.0,38,7,3,0.138,75.745,85.517,5,76,38,0.607,42
5.199,8,22,24,5,64,44.3,34,7,2,0.125,60.989,68.338,2,61,27,0.65,37
5.5,9,16,18,15,79,47.3,39,8,2,0.114,73.956,83.07,3,74,35,0.633,44
5.347,8,17,19,11,71,48.5,35,7,3,0.113,67.869,76.561,4,68,33,0.615,38
6.097,22,27,29,17,120,47.9,61,17,7,0.183,117.967,132.836,9,117,56,0.609,64
8.42,22,27,29,15,114,45.9,60,18,7,0.193,112.523,125.949,9,111,51,0.622,63
8.319,20,27,29,14,110,46.7,57,16,7,0.182,107.988,121.381,8,107,50,0.616,60
8.229,20,27,29,14,112,46.8,58,17,7,0.179,110.09,123.879,8,109,51,0.614,61
6.013,11,22,22,10,80,46.8,41,9,4,0.138,77.181,86.683,5,77,36,0.625,44
8.959,7,21,21,12,83,50.0,40,7,3,0.084,79.294,90.095,3,80,40,0.609,43
6.252,7,21,21,11,80,49.4,39,7,3,0.088,76.41,86.68,3,77,38,0.613,42
5.602,7,21,21,12,83,46.3,43,10,3,0.084,80.832,91.114,3,80,37,0.623,46
8.0,7,21,21,11,80,49.4,39,7,3,0.088,76.41,86.68,3,77,38,0.613,42
7.585,22,27,29,15,114,46.8,59,17,7,0.193,112.199,126.005,9,111,52,0.614,62
5.983,11,17,19,16,85,46.3,43,10,3,0.129,80.494,89.904,5,80,37,0.635,48
8.0,8,21,23,11,82,46.8,42,10,5,0.098,79.283,89.182,5,79,37,0.622,45
8.854,22,27,29,18,122,48.7,61,16,7,0.18,119.523,135.042,8,119,58,0.606,64
9.0,7,21,21,11,80,48.1,40,8,3,0.088,76.923,87.02,3,77,37,0.618,43
6.602,8,16,16,12,76,47.9,38,10,4,0.105,73.4,82.767,5,73,35,0.611,41
5.467,11,15,15,16,80,48.7,39,8,3,0.138,75.974,85.359,5,76,37,0.62,43
8.959,21,27,29,17,119,48.3,60,16,7,0.176,116.639,131.626,8,116,56,0.608,63
8.959,7,27,27,8,82,44.9,43,8,3,0.085,77.85,87.209,3,78,35,0.647,47
7.721,22,27,29,24,137,48.9,67,16,7,0.161,131.174,148.287,8,131,64,0.608,73
8.208,23,33,35,14,122,45.8,64,17,7,0.189,119.083,133.421,9,118,54,0.625,68
8.42,22,27,29,16,117,47.4,60,17,7,0.188,115.083,129.421,9,114,54,0.612,63
6.194,12,18,20,16,90,50.6,43,9,4,0.133,86.716,98.344,5,87,44,0.6,46
5.699,7,15,15,11,67,50.8,32,6,3,0.104,64.541,73.351,3,65,33,0.602,34
6.622,13,19,23,12,78,50.7,37,6,2,0.167,74.083,84.47,2,75,38,0.606,40
6.699,12,17,19,17,91,52.3,42,8,3,0.132,87.272,99.55,4,88,46,0.591,45
5.959,9,21,23,9,75,45.8,39,9,5,0.12,72.272,80.69,5,72,33,0.635,42
5.377,13,16,18,12,74,51.4,35,7,2,0.176,71.407,81.414,2,72,37,0.601,37
7.77,22,27,29,23,135,48.1,67,17,7,0.163,129.617,146.081,9,129,62,0.611,73
8.0,9,21,21,17,98,52.6,45,7,3,0.092,93.712,107.171,3,95,50,0.593,48
5.9,7,28,28,5,77,42.5,42,9,4,0.091,73.305,81.727,4,73,31,0.655,46
5.886,9,21,21,10,76,47.9,38,7,3,0.118,72.752,81.976,4,73,35,0.621,41
7.292,13,19,23,12,79,50.0,38,7,2,0.165,75.41,85.68,3,76,38,0.608,41
4.836,13,15,18,12,71,52.2,33,6,2,0.183,68.199,78.055,2,69,36,0.593,35
8.155,14,12,14,13,70,50.7,34,9,3,0.2,69.407,78.395,6,69,35,0.591,35
8.0,8,21,21,16,94,51.1,44,7,3,0.085,88.945,101.341,3,90,46,0.603,48
7.745,22,33,35,14,121,46.2,63,16,7,0.182,117.756,132.211,8,117,54,0.624,67
4.854,19,20,22,14,96,47.9,49,15,6,0.198,95.119,107.052,8,94,45,0.605,51
8.387,22,33,35,13,119,45.2,63,17,7,0.185,116.199,130.005,9,115,52,0.628,67
6.301,9,21,21,9,75,47.2,38,8,3,0.12,71.97,81.059,4,72,34,0.623,41
7.0,22,34,36,13,121,44.4,65,18,8,0.182,118.527,132.215,10,117,52,0.632,69
5.854,7,23,25,8,74,45.7,38,7,3,0.095,69.76,78.434,3,70,32,0.637,42
6.323,13,16,18,12,72,51.4,34,6,2,0.181,69.305,78.916,2,70,36,0.604,36
6.409,13,19,23,12,79,50.0,38,7,2,0.165,75.41,85.68,3,76,38,0.608,41
6.092,7,25,29,4,65,42.6,35,6,2,0.108,60.781,67.979,2,61,26,0.661,39
6.367,13,18,22,12,77,51.4,36,6,2,0.169,73.083,83.47,2,74,38,0.601,39
7.959,13,19,23,12,79,50.0,38,7,2,0.165,75.41,85.68,3,76,38,0.608,41
7.886,23,28,30,15,116,46.0,61,18,8,0.198,114.527,128.215,10,113,52,0.619,64
6.7,18,29,32,11,99,45.3,52,12,5,0.182,95.589,106.846,7,95,43,0.633,56
5.9,18,25,27,11,92,43.8,50,14,5,0.196,90.352,100.319,7,89,39,0.643,53
6.4,7,21,22,7,70,44.8,37,9,4,0.1,67.196,75.6,3,67,30,0.636,40
6.921,13,19,23,12,78,50.7,37,6,2,0.167,74.083,84.47,2,75,38,0.606,40
6.222,7,25,29,4,65,42.6,35,6,2,0.108,60.781,67.979,2,61,26,0.661,39
5.824,16,25,31,12,92,46.6,47,10,4,0.174,87.799,98.723,4,88,41,0.632,51
5.237,13,19,23,12,78,50.7,37,6,2,0.167,74.083,84.47,2,75,38,0.606,40
6.783,10,26,30,5,71,41.8,39,8,3,0.141,67.32,74.813,4,67,28,0.661,43
6.432,13,16,18,12,72,51.4,34,6,2,0.181,69.305,78.916,2,70,36,0.604,36
6.456,7,25,29,3,62,41.4,34,6,2,0.113,57.898,64.564,2,58,24,0.669,38
6.7,16,29,32,14,106,45.5,55,12,5,0.151,101.541,113.807,6,101,46,0.632,60
5.0,13,16,18,13,77,53.3,35,6,2,0.169,73.967,84.886,2,75,40,0.587,37
5.602,13,16,18,13,77,53.3,35,6,2,0.169,73.967,84.886,2,75,40,0.587,37
8.745,7,21,21,11,80,48.1,40,8,3,0.088,76.923,87.02,3,77,37,0.618,43
6.085,7,21,21,11,80,49.4,39,7,3,0.088,76.41,86.68,3,77,38,0.613,42
6.032,22,27,29,17,120,47.9,61,17,7,0.183,117.967,132.836,9,117,56,0.609,64
5.629,10,16,20,15,81,47.4,40,9,4,0.123,76.181,85.683,5,76,36,0.62,45
6.658,22,27,29,16,117,47.4,60,17,7,0.188,114.832,129.131,8,114,54,0.616,63
7.3,5,22,22,6,68,42.2,37,9,4,0.074,64.538,71.896,4,64,27,0.653,41
5.506,10,16,18,16,83,50.0,39,7,2,0.12,77.519,87.806,4,78,39,0.608,44
8.658,8,21,21,12,84,49.4,41,8,3,0.095,80.621,91.304,4,81,40,0.61,44
8.071,22,27,29,15,114,45.0,61,19,7,0.193,112.847,125.893,9,111,50,0.629,64
7.222,22,27,29,15,114,45.9,60,18,7,0.193,112.523,125.949,9,111,51,0.622,63
8.357,7,21,21,15,91,50.6,43,7,3,0.077,86.061,97.925,3,87,44,0.607,47
7.796,22,31,34,15,121,46.2,63,17,7,0.182,118.083,132.421,9,117,54,0.622,67
8.553,7,21,21,11,80,48.1,40,8,3,0.088,76.923,87.02,3,77,37,0.618,43
5.878,12,17,19,17,88,49.4,42,8,3,0.136,82.73,93.431,5,83,41,0.61,47
5.4,18,30,33,13,109,45.7,57,14,6,0.165,105.785,118.384,8,105,48,0.628,61
6.5,19,29,32,14,110,46.2,57,14,5,0.173,106.894,119.511,9,106,49,0.624,61
5.77,10,26,30,5,71,41.8,39,8,3,0.141,67.32,74.813,4,67,28,0.661,43
5.85,5,21,21,12,80,45.9,40,7,3,0.063,73.643,82.849,3,74,34,0.637,46
5.8,19,30,33,13,110,45.3,58,15,6,0.173,107.112,119.594,9,106,48,0.629,62
6.3,17,29,32,12,102,44.9,54,13,5,0.167,98.796,110.205,7,98,44,0.637,58
4.7,7,15,15,17,80,48.6,38,6,3,0.088,73.534,82.893,4,74,36,0.62,44
7.1,18,29,32,13,106,46.1,55,13,5,0.17,102.683,114.886,8,102,47,0.626,59
6.842,6,21,21,8,71,45.6,37,8,3,0.085,68.083,76.378,3,68,31,0.639,40
5.0,13,16,18,12,74,51.4,35,7,2,0.176,71.407,81.414,2,72,37,0.601,37
8.688,19,21,23,13,94,46.7,49,15,7,0.202,93.236,104.637,8,92,43,0.613,51
5.3,18,30,33,12,106,45.1,56,14,6,0.17,102.901,114.969,8,102,46,0.631,60
6.5,17,29,32,12,104,46.0,54,13,5,0.163,100.574,112.76,7,100,46,0.627,58
4.83,7,16,16,20,92,48.2,44,8,4,0.076,84.73,95.431,5,85,41,0.619,51
6.0,17,29,32,11,98,42.6,54,14,5,0.173,95.799,106.656,6,94,40,0.644,58
5.09,5,15,15,19,85,48.7,40,6,3,0.059,77.418,87.308,4,78,38,0.62,47
5.08,4,14,14,15,70,48.4,33,4,2,0.057,63.338,71.355,3,64,31,0.626,39
7.2,18,29,32,13,106,46.1,55,13,5,0.17,102.683,114.886,8,102,47,0.626,59
6.2,18,30,33,14,112,46.3,58,14,6,0.161,108.668,121.799,8,108,50,0.624,62
8.585,19,20,22,16,100,49.0,50,14,6,0.19,98.785,111.384,8,98,48,0.601,52
7.161,6,21,21,8,71,44.1,38,9,3,0.085,68.407,76.322,3,68,30,0.651,41
5.9,18,29,32,13,106,46.1,55,13,5,0.17,102.683,114.886,8,102,47,0.626,59
6.495,6,21,21,8,71,44.1,38,9,3,0.085,68.407,76.322,3,68,30,0.651,41
7.301,7,21,21,9,73,47.1,37,7,3,0.096,69.869,78.561,4,70,33,0.626,40
4.69,6,15,15,16,77,47.9,37,6,3,0.078,70.65,79.477,4,71,34,0.624,43
8.585,16,19,21,12,85,48.2,43,12,5,0.188,83.596,94.305,6,83,40,0.607,45
6.399,6,21,21,8,71,45.6,37,8,3,0.085,68.083,76.378,3,68,31,0.639,40
4.755,8,16,16,22,98,49.5,46,8,4,0.082,90.498,102.261,5,91,45,0.612,53
6.252,6,15,15,15,80,50.6,38,8,3,0.075,76.618,87.039,3,77,39,0.604,41
7.824,18,20,22,14,95,48.4,48,14,6,0.189,93.792,105.843,7,93,45,0.604,50
7.469,7,21,21,9,73,45.7,38,8,3,0.096,70.192,78.505,4,70,32,0.638,41
5.39,10,22,22,18,98,47.3,48,8,4,0.102,90.614,101.846,5,91,43,0.628,55
6.03,11,29,29,17,109,43.6,57,11,5,0.101,101.665,113.02,7,101,44,0.649,65
5.43,8,23,23,19,103,45.3,52,10,5,0.078,95.269,106.265,7,95,43,0.638,60
5.02,13,29,29,19,115,45.8,58,10,5,0.113,106.919,119.51,7,107,49,0.637,66
5.36,7,16,16,20,92,48.2,44,8,4,0.076,84.73,95.431,5,85,41,0.619,51
5.69,11,29,29,14,102,44.8,53,10,5,0.108,96.269,107.265,7,96,43,0.642,59
5.58,7,16,16,20,92,48.2,44,8,4,0.076,84.73,95.431,5,85,41,0.619,51
6.44,6,21,21,9,74,46.5,38,8,3,0.081,70.967,79.793,3,71,33,0.633,41
5.92,10,28,28,17,106,45.9,53,8,4,0.094,97.498,109.261,5,98,45,0.64,61
6.21,10,24,26,18,103,46.3,51,9,4,0.097,94.716,106.344,5,95,44,0.634,59
5.942,6,21,21,9,74,47.9,37,7,3,0.081,70.643,79.849,3,71,34,0.622,40
6.542,6,21,21,8,71,44.1,38,9,3,0.085,68.407,76.322,3,68,30,0.651,41
7.143,6,15,15,12,72,50.0,35,8,3,0.083,69.85,79.209,3,70,35,0.607,37
6.38,6,21,21,10,77,47.3,39,8,3,0.078,73.85,83.209,3,74,35,0.628,42
5.68,12,29,29,18,112,45.2,57,10,5,0.107,104.036,116.095,7,104,47,0.641,65
5.59,10,29,29,16,106,43.9,55,10,5,0.094,98.269,109.265,7,98,43,0.649,63
5.68,11,29,29,17,109,44.6,56,10,5,0.101,101.152,112.68,7,101,45,0.645,64
5.569,17,20,22,17,102,48.5,51,14,6,0.167,99.785,112.384,8,99,48,0.605,54
5.84,11,29,29,17,109,43.6,57,11,5,0.101,101.665,113.02,7,101,44,0.649,65
5.39,11,29,29,13,99,44.1,52,10,5,0.111,93.385,103.85,7,93,41,0.646,58
5.78,12,29,29,18,113,44.8,58,11,5,0.106,105.363,117.305,8,105,47,0.642,66
5.87,11,29,29,17,109,44.6,56,10,5,0.101,101.152,112.68,7,101,45,0.645,64
5.678,15,20,22,14,93,46.7,48,14,6,0.161,91.134,102.139,8,90,42,0.615,51
5.64,11,21,23,13,93,45.6,49,15,7,0.118,91.352,102.222,8,90,41,0.62,52
6.246,22,27,29,17,120,47.9,61,17,7,0.183,117.967,132.836,9,117,56,0.609,64
6.319,15,9,9,18,80,55.7,35,8,3,0.188,78.388,90.135,4,79,44,0.563,36
6.0,16,9,9,15,70,54.3,32,8,3,0.229,69.843,79.75,4,70,38,0.575,32
6.602,14,9,9,17,76,54.7,34,8,3,0.184,74.501,85.454,3,75,41,0.574,35
4.0,11,20,22,15,95,47.8,48,13,6,0.116,92.69,104.344,7,92,44,0.61,51
6.201,14,9,9,13,64,53.1,30,8,3,0.219,64.076,72.92,4,64,34,0.581,30
6.567,11,20,22,14,94,46.2,49,15,6,0.117,91.96,102.769,7,91,42,0.626,52
6.77,22,27,29,17,120,47.9,61,17,7,0.183,117.967,132.836,9,117,56,0.609,64
4.495,14,11,13,13,67,53.0,31,7,3,0.209,65.752,74.976,4,66,35,0.581,32
4.959,14,12,14,13,68,52.2,32,7,3,0.206,66.752,75.976,4,67,35,0.587,33
7.169,22,27,29,17,120,47.9,61,17,7,0.183,117.967,132.836,9,117,56,0.609,64
8.276,22,27,29,18,123,48.3,62,17,7,0.179,120.85,136.251,9,120,58,0.606,65
5.959,17,30,33,11,103,44.4,55,14,6,0.165,100.018,111.554,8,99,44,0.635,59
6.602,25,28,29,17,123,48.3,62,17,7,0.203,120.85,136.251,9,120,58,0.606,65
7.398,25,28,29,16,120,47.9,61,17,7,0.208,117.967,132.836,9,117,56,0.609,64
5.796,24,26,28,18,123,49.2,61,17,6,0.195,120.625,136.54,8,120,59,0.601,64
8.42,22,27,29,16,115,47.3,59,16,7,0.191,112.981,126.922,9,112,53,0.613,62
6.0,10,18,21,5,58,42.9,32,9,4,0.172,56.963,62.74,6,56,24,0.648,34
6.21,7,17,19,14,77,48.6,37,6,2,0.091,71.425,80.766,3,72,35,0.62,42
5.88,7,17,19,12,71,47.0,35,6,2,0.099,65.658,73.936,3,66,31,0.63,40
5.66,7,18,19,13,75,48.6,36,5,2,0.093,69.323,78.268,3,70,34,0.623,41
6.25,7,11,13,19,80,52.0,36,6,2,0.088,74.192,84.597,3,75,39,0.596,41
6.4,8,17,19,14,77,48.6,37,6,2,0.104,71.425,80.766,3,72,35,0.62,42
5.4,10,18,21,5,57,43.6,31,8,4,0.175,55.636,61.531,5,55,24,0.647,33
6.3,10,16,17,4,51,44.0,28,8,5,0.196,50.753,56.116,5,50,22,0.641,29
5.68,7,18,19,12,72,47.8,35,5,2,0.097,66.44,74.853,3,67,32,0.628,40
5.0,7,17,19,14,77,48.6,37,6,2,0.091,71.425,80.766,3,72,35,0.62,42
9.032,32,29,33,23,149,47.3,77,25,11,0.215,148.41,166.002,15,146,69,0.609,80
5.857,41,31,35,30,179,48.3,91,30,13,0.229,178.781,200.533,18,176,85,0.601,94
5.903,26,31,33,30,173,49.1,86,25,11,0.15,170.512,192.36,14,169,83,0.599,90
5.7,41,31,35,30,179,48.3,91,30,13,0.229,178.781,200.533,18,176,85,0.601,94
10.0,34,31,35,23,155,46.1,82,28,13,0.219,155.167,172.919,17,152,70,0.614,85
7.658,25,29,32,16,124,45.5,66,21,10,0.202,123.25,137.095,13,121,55,0.622,69
6.036,20,26,28,15,111,48.1,56,15,6,0.18,108.545,122.587,7,108,52,0.609,59
5.532,4,31,35,1,66,35.0,39,7,3,0.061,60.567,66.069,4,60,21,0.711,45
6.275,7,11,13,17,75,50.0,35,7,2,0.093,69.752,78.976,4,70,35,0.605,40
7.796,19,26,28,17,116,48.2,58,15,6,0.164,112.428,127.002,7,112,54,0.61,62
6.2,11,18,21,6,62,41.7,35,11,4,0.177,61.498,67.309,7,60,25,0.656,37
6.5,4,22,26,2,58,37.0,34,10,3,0.069,54.771,60.896,2,54,20,0.681,38
5.5,10,25,27,9,83,43.0,45,11,5,0.12,79.952,88.687,7,79,34,0.645,49
4.6,8,16,16,22,98,49.5,46,8,4,0.082,90.498,102.261,5,91,45,0.612,53
5.6,11,27,28,13,97,44.0,51,11,5,0.113,91.603,101.933,7,91,40,0.644,57
5.6,11,27,28,13,97,44.0,51,11,5,0.113,91.603,101.933,7,91,40,0.644,57
7.2,18,29,32,13,106,46.1,55,13,5,0.17,102.683,114.886,8,102,47,0.626,59
4.98,9,23,23,17,98,45.1,50,10,5,0.092,91.385,101.85,7,91,41,0.638,57
5.975,9,17,19,18,91,45.9,46,11,3,0.099,85.705,95.528,6,85,39,0.635,52
6.921,24,27,29,17,119,47.4,61,17,7,0.202,117.192,131.547,10,116,55,0.612,64
6.569,22,27,29,15,114,45.9,60,18,7,0.193,112.272,125.66,8,111,51,0.626,63
7.0,22,27,29,15,114,45.9,60,18,7,0.193,112.272,125.66,8,111,51,0.626,63
4.921,30,36,38,19,148,45.8,78,23,10,0.203,146.014,163.331,13,144,66,0.62,82
5.9,18,30,33,12,106,44.1,57,15,6,0.17,103.225,114.913,8,102,45,0.639,61
5.495,17,25,27,13,98,47.4,50,12,5,0.173,95.472,107.261,7,95,45,0.617,53
6.151,22,27,29,18,123,48.3,62,17,7,0.179,120.85,136.251,9,120,58,0.606,65
4.921,21,21,23,15,103,47.5,53,17,7,0.204,102.432,115.175,9,101,48,0.605,55
9.194,33,30,34,19,143,44.3,78,29,12,0.231,143.458,158.889,16,140,62,0.628,81
6.046,27,32,37,17,133,45.0,71,22,10,0.203,131.236,146.009,13,129,58,0.627,75
5.538,28,31,35,29,174,47.6,89,29,13,0.161,172.686,193.493,17,170,81,0.606,93
6.137,10,28,30,10,95,45.1,50,12,6,0.105,91.454,102.142,6,91,41,0.638,54
7.398,25,29,30,17,124,47.1,64,18,8,0.202,122.403,137.172,11,121,57,0.613,67
7.4,18,33,35,11,112,44.4,60,16,7,0.161,109.105,121.966,8,108,48,0.634,64
6.495,8,22,24,10,84,42.0,47,15,6,0.095,83.225,92.33,6,81,34,0.644,50
6.959,23,29,30,15,117,46.5,61,17,8,0.197,115.308,129.132,10,114,53,0.618,64
8.921,34,31,35,22,152,45.6,81,28,13,0.224,152.283,169.504,17,149,68,0.616,84
9.194,33,30,34,19,143,44.3,78,29,12,0.231,143.458,158.889,16,140,62,0.628,81
7.018,32,29,33,24,152,47.7,78,25,11,0.211,151.294,169.417,15,149,71,0.607,81
7.569,22,26,28,18,120,49.6,59,15,6,0.183,117.196,132.832,7,117,58,0.601,62
6.796,22,27,29,15,114,45.0,61,19,7,0.193,112.847,125.893,9,111,50,0.629,64
7.569,21,26,28,17,117,49.1,58,15,6,0.179,114.312,129.417,7,114,56,0.604,61
6.854,28,28,32,20,135,47.0,70,22,10,0.207,134.003,149.839,13,132,62,0.613,73
5.824,28,31,35,29,174,47.6,89,29,13,0.161,172.686,193.493,17,170,81,0.606,93
