pXC50,Eig03_AEA.dm.,P_VSA_s_5,H.051,NssNH,X2A,SM02_EA.dm.,SM04_EA.dm.,Eig02_EA.bo.,MATS4s,NaasC,SM08_EA.bo.,SM12_AEA.ri.,MCD,SM11_EA.bo.,SM12_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,X1A,SM07_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,C.008,Eta_beta_A,C.026,C.039,DBI,nArCO,nArOH,nCb.,CATS2D_04_DD,SM03_EA.dm.,Eig01_EA.bo.,SM06_EA.bo.,SM11_AEA.ri.,SpMax1_Bh.e.,SpMax_EA.bo.,Eig01_AEA.bo.,SpDiam_AEA.bo.,SpMax_AEA.bo.,MATS4e,SM03_EA.bo.,Mv,MPC09,nCIC,nCIR,Rperim,TRS,NsssCH,C.040,nDB,Eta_C_A,Eta_FL_A,O.057,NdssC,GNar,ATS6i,SpMax1_Bh.s.,DLS_05,GATS1v,N.072,D.Dtr10,nR10,Eig03_EA.ed.,Qindex,SM12_AEA.dm.
4.27,3.101,0.0,0,0,0.281,1.598,1.256,3.95,0.186,8,12.394,3.95,0.759,16.532,18.009,20.878,22.308,0.432,10.803,13.662,15.174,0,1.267,5,1,2.646,1,4,8,1,0.57,4.358,9.714,4.358,4.05,4.358,4.647,5.647,4.647,0.236,4.977,0.639,5.323,4,5,22,24,0,0,2,0.84,0.258,4,2,2.049,4.911,7.428,0.5,0.902,0,122.614,1,8.635,24,8.635
4.361,3.122,0.0,0,0,0.278,1.698,1.422,3.95,0.143,8,12.409,3.95,0.733,16.54,18.015,20.882,22.311,0.432,10.824,13.675,15.183,2,1.233,5,1,2.739,1,4,8,1,0.325,4.359,9.734,4.359,4.053,4.359,4.649,5.649,4.649,0.137,5.017,0.638,5.371,4,5,22,24,2,0,2,0.929,0.245,4,2,2.028,5.146,7.428,1.0,0.906,0,124.396,1,9.235,25,9.235
4.299,2.988,0.0,0,0,0.281,1.698,1.422,3.792,0.243,7,12.291,3.792,0.815,16.418,17.903,20.777,22.208,0.434,10.681,13.544,15.066,0,1.287,4,1,2.449,1,3,7,1,0.325,4.357,9.621,4.357,4.047,4.357,4.646,5.646,4.646,0.275,4.832,0.653,5.204,4,5,22,24,0,0,2,0.786,0.264,3,2,2.097,4.823,7.428,0.5,0.872,0,110.974,1,8.596,22,8.596
4.28,2.988,0.0,0,0,0.282,1.382,1.115,3.792,0.26,7,12.296,3.792,0.786,16.42,17.904,20.777,22.209,0.433,10.69,13.547,15.068,0,1.241,4,1,2.55,1,3,7,1,0.325,4.357,9.631,4.357,4.051,4.357,4.646,5.646,4.646,0.305,4.879,0.635,5.268,4,5,22,24,1,0,2,0.892,0.236,3,2,2.072,5.03,7.428,0.5,0.912,0,116.153,1,8.613,23,8.613
4.312,3.042,0.0,0,0,0.281,1.702,1.388,3.792,0.258,8,12.416,3.792,0.824,16.468,17.96,20.814,22.232,0.434,10.771,13.612,15.152,0,1.324,4,1,2.828,1,3,8,1,0.57,4.357,9.792,4.357,4.055,4.357,4.646,5.646,4.646,0.308,4.977,0.649,5.438,5,6,28,30,0,0,2,0.844,0.269,3,2,2.127,5.221,7.428,0.5,0.887,0,154.531,1,8.602,27,8.602
4.192,3.139,0.0,0,0,0.279,1.923,1.705,3.793,0.126,7,12.312,3.793,0.759,16.428,17.91,20.781,22.212,0.433,10.713,13.562,15.078,0,1.25,4,1,2.646,1,3,7,2,0.325,4.358,9.653,4.358,4.048,4.358,4.647,5.647,4.647,0.139,4.924,0.656,5.298,4,5,22,24,2,0,2,0.836,0.261,3,2,2.049,4.917,7.428,0.0,0.83,0,119.198,1,9.042,24,9.042
4.338,2.988,0.0,0,0,0.281,1.382,1.115,3.792,0.257,8,12.416,3.792,0.824,16.468,17.96,20.814,22.232,0.434,10.771,13.612,15.152,0,1.301,4,1,2.828,1,3,8,1,0.325,4.357,9.792,4.357,4.059,4.357,4.646,5.646,4.646,0.326,4.977,0.647,5.438,5,6,28,30,1,0,2,0.892,0.253,3,2,2.127,5.26,7.428,0.5,0.88,0,154.531,1,8.602,27,8.602
4.342,2.992,0.0,0,0,0.282,1.382,1.115,3.792,0.191,7,12.296,3.792,0.786,16.42,17.904,20.777,22.209,0.433,10.69,13.547,15.068,1,1.25,4,1,2.55,1,3,7,1,0.325,4.357,9.631,4.357,4.05,4.357,4.646,5.646,4.646,0.241,4.879,0.644,5.268,4,5,22,24,1,0,2,0.85,0.246,3,2,2.072,4.936,7.428,0.5,0.866,0,116.153,1,8.613,23,8.613
4.389,2.987,0.0,0,0,0.279,1.382,1.115,3.792,0.173,7,12.297,3.792,0.759,16.42,17.904,20.777,22.209,0.436,10.691,13.548,15.069,0,1.224,4,1,2.739,1,3,7,1,0.325,4.357,9.635,4.357,4.051,4.357,4.646,5.646,4.646,0.228,4.879,0.637,5.288,4,5,22,24,1,0,2,0.884,0.24,3,2,2.07,4.96,7.428,0.5,0.893,0,124.095,1,8.6,23,8.6
4.351,2.986,0.0,0,0,0.279,1.382,1.115,3.792,0.259,7,12.291,3.792,0.808,16.418,17.903,20.777,22.208,0.432,10.683,13.544,15.066,0,1.298,4,1,2.449,1,3,7,1,0.325,4.357,9.62,4.357,4.05,4.357,4.646,5.587,4.646,0.338,4.832,0.652,5.159,4,5,21,23,0,0,2,0.789,0.255,3,2,2.101,4.804,7.428,0.5,0.857,0,106.343,1,8.597,22,8.597
4.302,3.047,0.0,0,0,0.276,1.382,1.115,3.792,0.177,7,12.304,3.792,0.75,16.424,17.907,20.779,22.21,0.435,10.702,13.555,15.074,1,1.25,4,1,2.739,1,3,7,1,0.325,4.358,9.641,4.358,4.053,4.358,4.647,5.59,4.647,0.237,4.879,0.644,5.273,4,5,21,23,1,0,2,0.852,0.247,3,2,2.072,4.929,7.428,0.5,0.866,0,115.577,1,8.991,23,8.991
6.387,3.537,18.011,4,1,0.318,3.343,4.693,2.93,-0.09,0,10.228,2.93,0.238,13.612,14.787,17.118,18.289,0.465,8.995,11.298,12.484,3,0.833,0,0,4.416,0,0,0,0,3.08,3.338,8.051,3.338,3.951,3.338,4.244,5.207,4.244,-0.034,4.205,0.571,2.944,1,1,5,5,5,3,3,1.098,0.162,1,3,1.792,5.226,7.474,1.0,1.255,1,0.0,0,7.465,11,7.465
5.796,2.799,0.0,1,0,0.304,2.75,3.914,3.09,-0.061,0,10.202,3.09,0.294,13.695,14.892,17.269,18.46,0.463,8.951,11.323,12.531,2,0.824,0,0,3.808,0,0,0,1,2.525,3.368,7.941,3.368,3.932,3.368,4.233,5.194,4.233,-0.06,4.007,0.551,1.946,1,1,5,5,3,1,2,1.013,0.158,1,2,1.777,4.81,7.474,1.0,1.299,2,0.0,0,6.681,10,6.681
4.301,3.235,0.0,1,0,0.327,2.93,4.258,3.134,-0.013,0,10.286,3.134,0.313,13.739,14.919,17.264,18.44,0.45,9.061,11.399,12.589,1,0.828,0,0,3.808,0,0,0,1,2.692,3.333,8.035,3.333,3.919,3.333,4.234,5.191,4.234,0.009,4.205,0.562,1.946,1,1,5,5,2,1,2,0.977,0.159,1,2,1.751,4.2,7.474,1.0,1.245,1,0.0,0,7.773,11,7.773
4.721,3.595,0.0,3,0,0.318,3.186,4.463,3.091,-0.097,0,10.316,3.091,0.238,13.762,14.951,17.312,18.497,0.464,9.072,11.413,12.613,2,0.857,0,0,4.416,0,0,0,1,3.04,3.37,8.096,3.37,3.937,3.37,4.235,5.212,4.235,-0.103,4.205,0.566,3.045,1,1,5,5,3,2,3,1.036,0.17,2,3,1.792,5.008,7.477,1.0,1.23,2,0.0,0,6.725,11,6.725
5.886,2.83,0.0,3,0,0.302,2.75,3.914,3.362,-0.073,1,10.902,3.362,0.478,14.238,15.656,18.064,19.14,0.454,9.332,11.787,13.264,2,1.043,0,0,4.0,0,0,0,1,2.525,3.452,8.597,3.452,3.953,3.452,4.236,5.211,4.236,-0.043,4.227,0.585,3.714,2,2,11,11,3,1,2,0.958,0.206,1,2,1.922,5.057,7.474,1.0,1.139,2,0.0,0,7.009,14,7.009
5.033,3.265,36.022,4,2,0.308,2.802,4.055,3.105,-0.061,1,10.823,3.105,0.455,14.395,15.701,18.207,19.452,0.451,9.392,11.889,13.233,3,0.955,0,0,4.0,0,0,0,0,2.591,3.629,8.507,3.629,4.01,3.629,4.287,5.249,4.287,-0.041,4.227,0.582,3.892,2,2,10,10,5,2,2,1.055,0.179,1,2,1.919,5.267,7.474,1.0,1.137,1,0.0,0,7.898,14,7.898
5.721,3.167,36.022,3,2,0.329,2.856,4.062,2.939,-0.03,0,10.222,2.939,0.238,13.504,14.691,16.978,18.114,0.462,8.936,11.218,12.435,3,0.774,0,0,4.416,0,0,0,0,2.591,3.284,8.08,3.284,3.979,3.284,4.186,5.149,4.186,-0.02,4.205,0.552,2.944,1,1,5,5,5,2,3,1.233,0.135,1,3,1.792,5.417,7.474,1.0,1.265,1,0.0,0,6.717,11,6.717
4.886,2.999,0.0,1,0,0.315,2.897,3.969,3.201,-0.063,0,10.535,3.201,0.238,14.011,15.232,17.623,18.816,0.459,9.234,11.621,12.865,3,0.869,0,0,4.528,0,0,0,0,2.592,3.424,8.276,3.424,3.948,3.424,4.285,5.251,4.285,-0.02,4.29,0.555,3.367,1,1,5,5,4,1,3,1.106,0.171,1,3,1.768,5.288,7.474,1.0,1.263,2,0.0,0,7.064,12,7.064
5.398,2.88,0.0,1,0,0.309,2.75,3.914,3.115,-0.007,0,10.287,3.115,0.278,13.804,15.008,17.404,18.604,0.458,9.034,11.417,12.631,3,0.806,0,0,4.062,0,0,0,1,2.525,3.401,8.015,3.401,3.938,3.401,4.269,5.234,4.269,-0.005,4.111,0.548,2.197,1,1,5,5,4,1,2,1.102,0.148,1,2,1.76,5.042,7.474,1.0,1.313,2,0.0,0,7.034,11,7.034
4.0,3.146,36.022,3,2,0.322,2.802,4.055,2.892,-0.048,0,9.995,2.892,0.25,13.251,14.421,16.69,17.822,0.467,8.719,10.983,12.184,3,0.8,0,0,4.183,0,0,0,0,2.591,3.234,7.886,3.234,3.967,3.234,4.167,5.129,4.167,-0.042,4.007,0.577,2.833,1,1,5,5,5,2,3,1.146,0.145,1,2,1.808,5.18,7.474,1.0,1.14,1,0.0,0,6.503,10,6.503
6.553,3.721,18.011,1,1,0.307,3.726,5.755,3.449,-0.083,0,10.923,3.449,0.2,14.56,15.796,18.261,19.496,0.456,9.65,12.103,13.346,3,0.84,0,0,5.099,0,0,0,2,4.174,3.511,8.562,3.511,3.967,3.511,4.384,5.355,4.384,-0.09,4.575,0.581,3.892,1,1,5,5,4,2,3,1.125,0.174,1,3,1.754,5.231,8.516,1.0,1.224,3,0.0,0,9.547,15,9.547
8.547,3.32,36.022,3,2,0.315,2.726,3.405,3.037,-0.067,0,10.649,3.037,0.261,14.168,15.428,17.884,19.109,0.464,9.314,11.73,13.01,5,0.913,0,0,4.472,0,0,0,2,1.755,3.545,8.378,3.545,3.941,3.545,4.303,5.246,4.303,-0.056,4.369,0.588,3.466,1,1,6,6,5,2,4,0.974,0.208,1,4,1.787,5.192,7.475,1.0,1.006,1,0.0,0,7.893,12,7.893
4.796,3.57,18.011,3,1,0.3,3.077,4.21,3.103,-0.108,0,10.5,3.103,0.217,14.006,15.214,17.619,18.828,0.467,9.244,11.62,12.835,3,0.837,0,0,4.583,0,0,0,2,2.798,3.456,8.244,3.456,3.967,3.456,4.347,5.313,4.347,-0.112,4.29,0.554,3.555,1,1,5,5,4,2,3,1.154,0.159,1,3,1.787,5.273,7.474,1.0,1.292,3,0.0,0,7.596,12,7.596
4.337,2.803,0.0,1,0,0.309,2.75,3.914,3.091,-0.058,0,10.211,3.091,0.263,13.7,14.898,17.276,18.467,0.467,8.953,11.326,12.538,2,0.803,0,0,4.062,0,0,0,1,2.525,3.369,7.958,3.369,3.936,3.369,4.235,5.206,4.235,-0.041,4.007,0.546,2.833,1,1,5,5,3,1,2,1.048,0.156,1,2,1.799,4.989,7.474,1.0,1.28,2,0.0,0,6.723,10,6.723
6.097,3.146,36.022,3,2,0.322,2.802,4.055,2.892,-0.048,0,9.995,2.892,0.25,13.251,14.421,16.69,17.822,0.467,8.719,10.983,12.184,3,0.8,0,0,4.183,0,0,0,0,2.591,3.234,7.886,3.234,3.967,3.234,4.167,5.129,4.167,-0.042,4.007,0.577,2.833,1,1,5,5,5,2,3,1.146,0.145,1,2,1.808,5.18,7.474,1.0,1.14,1,0.0,0,6.503,10,6.503
4.578,3.265,52.807,4,2,0.308,2.802,4.055,3.105,-0.06,1,10.823,3.105,0.455,14.395,15.701,18.207,19.452,0.451,9.392,11.889,13.233,3,0.966,0,0,4.0,0,0,0,1,2.591,3.629,8.507,3.629,4.022,3.629,4.287,5.249,4.287,-0.04,4.227,0.576,3.892,2,2,10,10,5,2,2,1.056,0.178,1,2,1.919,5.314,7.474,1.0,1.144,1,0.0,0,7.898,14,7.898
5.886,3.596,0.0,3,0,0.319,3.186,4.463,3.091,-0.082,0,10.318,3.091,0.227,13.762,14.951,17.312,18.497,0.465,9.072,11.413,12.614,2,0.841,0,0,4.528,0,0,0,1,3.04,3.369,8.102,3.369,3.939,3.369,4.235,5.215,4.235,-0.084,4.205,0.562,3.135,1,1,5,5,3,2,3,1.072,0.162,2,3,1.801,5.077,7.477,1.0,1.246,2,0.0,0,6.724,11,6.724
5.276,3.265,52.807,4,2,0.308,2.802,4.055,3.105,-0.058,1,10.823,3.105,0.455,14.395,15.701,18.207,19.452,0.451,9.392,11.889,13.233,3,0.966,0,0,4.0,0,0,0,0,2.591,3.629,8.507,3.629,4.019,3.629,4.287,5.249,4.287,-0.043,4.227,0.576,3.892,2,2,10,10,5,2,2,1.054,0.178,1,2,1.919,5.313,7.474,1.0,1.144,1,0.0,0,7.898,14,7.898
9.301,3.275,18.011,3,1,0.322,2.791,3.5,3.083,-0.127,0,10.666,3.083,0.273,14.17,15.447,17.901,19.121,0.465,9.279,11.718,13.029,4,0.898,0,0,4.243,0,0,0,0,1.755,3.544,8.392,3.544,3.958,3.544,4.275,5.221,4.275,-0.116,4.29,0.57,3.367,1,1,6,6,4,2,4,1.059,0.184,1,4,1.801,5.243,7.475,1.0,1.153,1,0.0,0,6.901,11,6.901
8.023,3.252,18.011,3,1,0.318,2.626,3.41,2.938,-0.108,0,10.453,2.938,0.316,13.998,15.272,17.74,18.969,0.466,9.09,11.535,12.836,4,0.842,0,0,3.742,0,0,0,0,1.593,3.526,8.164,3.526,3.948,3.526,4.25,5.195,4.25,-0.11,4.111,0.565,2.773,1,1,6,6,4,2,3,1.04,0.164,1,3,1.799,5.001,7.475,1.0,1.19,1,0.0,0,6.465,10,6.465
8.638,3.32,36.022,3,2,0.315,2.726,3.405,3.037,-0.067,0,10.649,3.037,0.261,14.168,15.428,17.884,19.109,0.464,9.314,11.73,13.01,5,0.913,0,0,4.472,0,0,0,2,1.755,3.545,8.378,3.545,3.941,3.545,4.303,5.246,4.303,-0.056,4.369,0.588,3.466,1,1,6,6,5,2,4,0.974,0.208,1,4,1.787,5.192,7.475,1.0,1.006,1,0.0,0,7.893,12,7.893
6.577,3.516,18.011,3,1,0.288,2.54,3.322,3.403,-0.056,0,10.922,3.403,0.455,14.546,15.813,18.298,19.538,0.448,9.582,12.062,13.35,3,0.83,0,0,3.808,0,0,0,0,1.668,3.576,8.565,3.576,4.026,3.576,4.479,5.479,4.479,-0.049,4.443,0.562,4.111,2,2,10,10,3,2,3,1.163,0.146,1,3,1.883,5.181,7.475,1.0,1.188,1,0.0,0,8.013,16,8.013
7.585,3.284,18.011,3,1,0.307,2.54,3.322,2.983,-0.045,0,10.527,2.983,0.636,14.075,15.352,17.825,19.057,0.456,9.149,11.606,12.911,3,0.83,0,0,3.082,0,0,0,0,1.668,3.543,8.24,3.543,3.981,3.543,4.288,5.288,4.288,-0.049,4.111,0.562,3.97,2,2,14,14,3,2,3,1.138,0.147,1,3,1.944,5.34,7.475,1.0,1.188,1,0.0,0,7.413,13,7.413
6.585,3.291,18.011,3,1,0.304,2.65,3.361,2.984,-0.07,0,10.526,2.984,0.6,14.077,15.353,17.826,19.058,0.452,9.151,11.608,12.912,3,0.888,0,0,3.082,0,0,0,0,1.668,3.544,8.233,3.544,3.974,3.544,4.288,5.288,4.288,-0.046,4.111,0.577,3.761,2,2,12,12,3,2,3,0.977,0.187,1,3,1.938,5.108,7.475,1.0,1.139,1,0.0,0,7.418,13,7.418
7.495,3.445,18.011,3,1,0.286,2.54,3.322,3.146,-0.044,0,10.702,3.146,0.636,14.259,15.527,17.994,19.225,0.436,9.345,11.797,13.089,5,0.852,0,0,3.24,0,0,0,0,1.668,3.561,8.404,3.561,4.04,3.561,4.355,5.355,4.355,-0.046,4.29,0.575,4.595,3,4,13,17,5,2,3,1.145,0.145,1,3,2.017,5.281,7.475,1.0,1.108,1,0.0,0,7.908,18,7.908
7.398,3.289,18.011,3,1,0.302,2.54,3.322,2.989,-0.04,0,10.566,2.989,0.522,14.097,15.369,17.836,19.066,0.455,9.2,11.64,12.938,3,0.815,0,0,3.464,0,0,0,0,1.668,3.544,8.294,3.544,3.995,3.544,4.289,5.289,4.289,-0.027,4.205,0.559,4.263,2,2,12,12,4,2,3,1.177,0.141,1,3,1.922,5.395,7.475,1.0,1.204,1,0.0,0,7.537,14,7.537
7.602,3.285,18.011,3,1,0.304,2.54,3.322,2.984,-0.061,0,10.526,2.984,0.6,14.077,15.353,17.826,19.058,0.452,9.151,11.608,12.912,3,0.863,0,0,3.082,0,0,0,0,1.668,3.544,8.233,3.544,3.983,3.544,4.288,5.288,4.288,-0.056,4.111,0.569,3.761,2,2,12,12,3,2,3,1.041,0.162,1,3,1.938,5.147,7.475,1.0,1.149,1,0.0,0,7.418,13,7.418
4.089,2.629,0.0,0,0,0.368,1.598,1.088,2.957,0.082,0,9.941,2.957,0.0,12.975,14.216,16.379,17.397,0.504,8.474,10.742,12.068,0,0.672,0,0,4.123,0,0,0,0,0.0,3.053,7.848,3.053,3.867,3.053,3.798,4.592,3.798,0.059,3.611,0.537,1.946,0,0,0,0,0,0,3,1.098,0.126,0,3,1.738,4.754,6.458,1.0,1.333,0,0.0,0,5.134,3,5.134
7.284,3.289,18.011,3,1,0.3,2.54,3.322,2.988,-0.049,0,10.562,2.988,0.545,14.096,15.368,17.836,19.066,0.453,9.199,11.638,12.935,3,0.83,0,0,3.317,0,0,0,0,1.668,3.544,8.287,3.544,3.993,3.544,4.289,5.289,4.289,-0.035,4.205,0.562,4.174,2,2,12,12,4,2,3,1.143,0.147,1,3,1.919,5.282,7.475,1.0,1.188,1,0.0,0,7.522,14,7.522
7.292,3.289,18.011,3,1,0.304,2.54,3.322,2.988,-0.046,0,10.551,2.988,0.571,14.09,15.363,17.833,19.064,0.449,9.187,11.63,12.928,3,0.845,0,0,3.162,0,0,0,0,1.668,3.544,8.272,3.544,3.989,3.544,4.289,5.289,4.289,-0.03,4.205,0.565,4.007,2,2,12,12,4,2,3,1.106,0.154,1,3,1.915,5.164,7.475,1.0,1.17,1,0.0,0,7.471,14,7.471
8.097,3.358,18.011,3,1,0.299,2.54,3.322,3.035,-0.053,0,10.6,3.035,0.565,14.145,15.415,17.883,19.114,0.456,9.238,11.685,12.98,4,0.826,0,0,3.317,0,0,0,0,1.668,3.55,8.315,3.55,3.991,3.55,4.31,5.293,4.31,-0.066,4.205,0.565,4.078,2,2,13,13,4,2,3,1.163,0.154,1,3,1.922,5.456,7.475,1.0,1.162,1,0.0,0,7.872,14,7.872
7.456,3.284,18.011,3,1,0.305,2.54,3.322,2.983,-0.05,0,10.525,2.983,0.619,14.076,15.352,17.825,19.057,0.454,9.151,11.607,12.911,3,0.845,0,0,3.082,0,0,0,0,1.668,3.543,8.235,3.543,3.981,3.543,4.288,5.271,4.288,-0.056,4.111,0.565,3.892,2,2,13,13,3,2,3,1.094,0.154,1,3,1.941,5.222,7.475,1.0,1.17,1,0.0,0,7.414,13,7.414
4.658,2.732,0.0,2,0,0.298,2.788,4.027,3.061,-0.079,0,10.118,3.061,0.313,13.596,14.787,17.151,18.335,0.469,8.866,11.233,12.438,1,0.797,0,0,3.536,0,0,0,1,2.619,3.342,7.864,3.342,3.939,3.342,4.208,5.162,4.208,-0.05,3.892,0.554,1.609,1,1,5,5,3,2,2,1.001,0.138,1,2,1.795,4.683,7.474,1.0,1.251,1,0.0,0,5.927,9,5.927
4.678,2.805,0.0,1,0,0.307,2.75,3.914,3.091,-0.077,0,10.208,3.091,0.278,13.7,14.897,17.275,18.467,0.466,8.953,11.326,12.536,2,0.819,0,0,3.937,0,0,0,1,2.525,3.369,7.951,3.369,3.933,3.369,4.235,5.201,4.235,-0.07,4.007,0.556,2.565,1,1,5,5,3,1,2,0.996,0.166,1,2,1.788,4.865,7.474,1.0,1.262,2,0.0,0,6.719,10,6.719
5.699,2.804,0.0,1,0,0.312,2.75,3.914,3.091,-0.049,0,10.216,3.091,0.238,13.7,14.899,17.276,18.467,0.47,8.953,11.326,12.54,2,0.774,0,0,4.301,0,0,0,1,2.525,3.369,7.971,3.369,3.939,3.369,4.235,5.214,4.235,-0.046,4.007,0.547,3.045,1,1,5,5,3,1,2,1.115,0.143,1,2,1.817,5.104,7.474,1.0,1.306,2,0.0,0,6.724,10,6.724
4.602,2.743,0.0,1,0,0.298,2.75,3.914,3.061,-0.121,0,10.118,3.061,0.313,13.596,14.787,17.151,18.335,0.469,8.866,11.233,12.438,1,0.844,0,0,3.536,0,0,0,1,2.525,3.342,7.864,3.342,3.927,3.342,4.208,5.162,4.208,-0.129,3.892,0.555,1.609,1,1,5,5,2,1,2,0.924,0.169,1,2,1.795,4.643,7.474,1.0,1.283,2,0.0,0,5.927,9,5.927
4.495,2.747,0.0,1,0,0.305,2.75,3.914,3.064,-0.093,0,10.131,3.064,0.278,13.604,14.797,17.162,18.346,0.473,8.87,11.239,12.448,1,0.806,0,0,3.808,0,0,0,1,2.525,3.344,7.884,3.344,3.932,3.344,4.21,5.176,4.21,-0.106,3.892,0.548,2.833,1,1,5,5,2,1,2,1.016,0.148,1,2,1.817,4.972,7.474,1.0,1.313,2,0.0,0,6.101,9,6.101
6.509,3.289,18.011,3,1,0.302,2.54,3.322,2.986,-0.073,0,10.525,2.986,0.579,14.081,15.355,17.828,19.06,0.449,9.16,11.613,12.914,3,0.882,0,0,3.082,0,0,0,0,1.668,3.544,8.228,3.544,3.985,3.544,4.289,5.27,4.289,-0.056,4.111,0.574,3.497,2,2,11,11,3,2,3,0.991,0.17,1,3,1.935,5.065,7.475,1.0,1.125,1,0.0,0,7.429,13,7.429
5.125,3.516,18.011,4,1,0.306,3.077,4.21,3.102,-0.073,0,10.47,3.102,0.227,13.983,15.192,17.602,18.812,0.464,9.217,11.593,12.809,3,0.852,0,0,4.472,0,0,0,2,2.798,3.455,8.213,3.455,3.965,3.455,4.347,5.311,4.347,-0.064,4.29,0.557,3.332,1,1,5,5,4,2,3,1.12,0.169,1,3,1.778,5.212,7.474,1.0,1.28,3,0.0,0,7.594,12,7.594
5.721,3.295,18.011,3,1,0.304,2.613,3.339,2.988,-0.05,0,10.551,2.988,0.571,14.09,15.363,17.833,19.064,0.449,9.187,11.63,12.928,3,0.881,0,0,3.162,0,0,0,0,1.738,3.544,8.272,3.544,3.982,3.544,4.289,5.289,4.289,-0.026,4.205,0.567,4.007,2,2,12,12,3,2,3,1.024,0.183,1,3,1.915,5.151,7.475,1.0,1.19,1,0.0,0,7.471,14,7.471
5.398,3.316,18.011,3,1,0.309,2.626,3.351,3.024,-0.097,0,10.545,3.024,0.3,14.089,15.354,17.816,19.043,0.464,9.199,11.636,12.924,5,0.863,0,0,4.0,0,0,0,2,1.593,3.534,8.251,3.534,3.924,3.534,4.287,5.218,4.287,-0.072,4.205,0.593,2.833,1,1,6,6,5,2,3,0.948,0.195,1,3,1.783,4.893,7.475,1.0,1.031,1,0.0,0,7.728,11,7.728
5.456,3.499,18.011,4,1,0.309,3.232,4.364,3.148,-0.107,0,10.656,3.148,0.407,14.058,15.266,17.627,18.808,0.449,9.364,11.706,12.936,2,0.861,0,0,4.472,0,0,0,0,2.918,3.421,8.456,3.421,4.002,3.421,4.294,5.294,4.294,-0.115,4.511,0.566,4.277,2,2,11,11,6,3,4,1.246,0.154,1,4,1.873,5.557,7.474,1.0,1.177,2,0.0,0,7.815,17,7.815
6.143,3.479,36.022,4,2,0.321,3.228,4.353,3.058,-0.176,0,10.463,3.058,0.217,13.824,15.025,17.356,18.519,0.468,9.163,11.492,12.722,2,0.935,0,0,4.637,0,0,0,0,2.897,3.362,8.276,3.362,3.979,3.362,4.248,5.215,4.248,-0.188,4.29,0.581,3.332,1,1,5,5,4,3,5,0.986,0.2,1,4,1.81,5.218,7.474,1.0,1.089,2,0.0,0,7.049,11,7.049
7.222,3.497,18.011,4,1,0.315,3.232,4.364,3.135,-0.156,0,10.591,3.135,0.192,14.009,15.218,17.583,18.764,0.469,9.293,11.649,12.883,2,0.856,0,0,5.05,0,0,0,0,2.918,3.414,8.374,3.414,3.987,3.414,4.288,5.266,4.288,-0.17,4.369,0.558,3.738,1,1,5,5,4,3,4,1.204,0.16,1,4,1.81,5.578,7.474,1.0,1.233,2,0.0,0,7.575,12,7.575
6.699,3.498,18.011,4,1,0.305,3.232,4.364,3.142,-0.154,0,10.657,3.142,0.296,14.055,15.26,17.618,18.797,0.454,9.371,11.709,12.935,2,0.861,0,0,5.0,0,0,0,0,2.918,3.417,8.455,3.417,4.003,3.417,4.291,5.291,4.291,-0.171,4.511,0.566,4.025,2,2,8,8,5,3,4,1.203,0.154,1,4,1.893,5.598,7.474,1.0,1.177,2,0.0,0,7.821,16,7.821
5.004,3.479,36.022,4,2,0.322,3.206,4.349,3.057,-0.155,0,10.459,3.057,0.208,13.823,15.023,17.355,18.518,0.469,9.163,11.492,12.719,2,0.875,0,0,4.743,0,0,0,0,2.897,3.362,8.27,3.362,3.981,3.362,4.248,5.222,4.248,-0.153,4.29,0.564,3.497,1,1,5,5,4,3,4,1.096,0.168,1,4,1.817,5.294,7.474,1.0,1.172,2,0.0,0,7.049,11,7.049
6.328,3.497,18.011,3,1,0.309,3.277,4.436,3.329,-0.166,0,11.006,3.329,0.185,14.666,15.933,18.446,19.706,0.465,9.688,12.17,13.447,2,0.852,0,0,5.292,0,0,0,0,2.918,3.652,8.645,3.652,3.992,3.652,4.556,5.534,4.556,-0.171,4.575,0.561,3.829,1,1,5,5,3,3,4,1.234,0.162,1,4,1.79,5.598,7.476,1.0,1.209,2,0.0,0,8.429,14,8.429
7.398,3.498,18.011,4,1,0.308,3.288,4.378,3.137,-0.173,0,10.599,3.137,0.44,14.012,15.223,17.587,18.768,0.453,9.295,11.652,12.888,2,0.91,0,0,4.359,0,0,0,0,2.918,3.415,8.386,3.415,3.988,3.415,4.288,5.288,4.288,-0.154,4.369,0.579,4.06,2,2,11,11,4,3,4,1.068,0.186,1,4,1.906,5.344,7.474,1.0,1.134,2,0.0,0,7.582,15,7.582
6.004,3.497,18.011,4,1,0.309,3.232,4.364,3.136,-0.129,0,10.598,3.136,0.462,14.01,15.221,17.585,18.766,0.455,9.295,11.651,12.887,2,0.875,0,0,4.359,0,0,0,0,2.918,3.415,8.388,3.415,3.993,3.415,4.288,5.288,4.288,-0.137,4.369,0.569,4.127,2,2,12,12,4,3,4,1.169,0.16,1,4,1.91,5.406,7.474,1.0,1.161,2,0.0,0,7.58,15,7.58
