pXC50,MW,nBO,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT,nB,nBM,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3
5.1,363.19,19,24.0,11.35,31.3,43.8,1.02,1.147,0.7,0.64,15.6,10,32,0,10,0,33,10,0,0,6,4
5.1,283.29,23,32.5,9.138,45.2,32.3,1.032,1.138,0.7,0.703,16.1,17,31,0,18,0,33,14,0,0,14,0
5.1,348.2,25,34.0,10.241,47.1,32.4,1.03,1.114,0.748,0.729,8.8,12,34,0,15,0,36,16,2,0,15,1
5.2,218.27,17,24.5,10.394,38.1,28.6,1.033,1.139,0.747,0.729,28.6,15,21,0,15,0,23,8,0,0,8,0
5.1,419.56,34,45.0,7.361,40.4,45.6,1.001,1.14,0.659,0.628,12.3,22,57,0,22,0,60,23,0,0,16,7
5.1,234.28,21,31.0,8.367,50.0,35.7,1.002,1.116,0.725,0.702,14.3,20,28,0,20,0,31,14,0,0,14,0
5.6,439.36,30,42.0,10.461,47.6,35.7,1.008,1.106,0.763,0.718,9.5,22,42,0,23,1,45,20,0,0,20,0
5.1,347.45,28,38.0,7.393,44.7,44.7,0.998,1.12,0.676,0.643,6.4,18,47,0,19,0,49,21,0,0,18,3
5.1,281.39,23,31.0,7.035,42.5,47.5,0.993,1.126,0.664,0.625,7.5,16,40,0,16,0,42,17,0,0,12,5
5.1,333.3,26,35.5,9.803,44.1,29.4,1.056,1.158,0.687,0.708,14.7,17,34,0,18,0,36,15,0,0,14,1
5.1,410.42,34,46.5,8.922,43.5,34.8,1.035,1.143,0.682,0.684,13.0,25,46,0,25,0,50,20,0,0,16,4
5.1,288.37,24,34.0,7.589,50.0,42.1,0.993,1.108,0.705,0.67,5.3,18,38,0,19,0,40,19,0,0,18,1
5.1,500.63,40,54.5,8.344,43.3,40.0,1.01,1.121,0.698,0.67,10.0,27,60,0,28,0,64,26,0,0,23,3
5.1,360.46,30,41.5,7.669,42.6,42.6,1.003,1.13,0.677,0.65,12.8,21,47,0,22,0,50,20,0,0,16,4
5.1,338.12,19,26.0,14.088,45.8,29.2,1.024,1.115,0.819,0.757,16.7,12,24,0,13,0,26,11,0,0,11,0
5.1,380.44,32,42.5,8.27,43.5,39.1,1.018,1.143,0.679,0.665,13.0,21,46,0,21,0,50,20,0,0,14,6
5.1,381.44,29,35.0,8.871,39.5,39.5,1.034,1.141,0.674,0.66,7.0,6,43,0,9,0,46,17,0,0,10,7
5.1,275.33,21,29.5,9.494,44.8,34.5,1.026,1.125,0.728,0.705,10.3,15,29,0,16,0,31,13,0,0,12,1
5.1,300.77,23,32.0,8.846,44.1,38.2,1.014,1.124,0.71,0.684,11.8,16,34,0,17,0,36,15,1,0,14,1
5.1,415.55,35,46.5,7.421,41.1,44.6,1.0,1.133,0.667,0.636,12.5,21,56,0,22,0,60,23,0,0,16,7
5.1,460.54,34,46.0,8.689,37.7,39.6,1.03,1.14,0.67,0.656,11.3,18,53,0,21,0,55,20,0,0,17,3
5.1,424.5,34,45.0,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,22,53,0,22,0,56,22,0,0,16,6
6.7,331.43,26,34.5,8.286,40.0,42.5,1.014,1.124,0.684,0.652,7.5,11,40,0,14,0,43,16,0,0,11,5
5.7,540.7,46,63.5,7.407,49.3,43.8,0.992,1.108,0.696,0.659,2.7,33,73,0,34,0,78,36,0,0,31,5
5.4,340.41,30,42.0,8.105,50.0,38.1,1.001,1.112,0.715,0.69,9.5,22,42,0,23,0,46,21,0,0,20,1
5.3,406.45,33,45.0,8.295,44.9,38.8,1.02,1.128,0.682,0.67,8.2,22,49,0,23,0,52,22,0,0,20,2
5.3,362.34,28,37.5,9.291,43.6,33.3,1.049,1.152,0.675,0.688,10.3,17,39,0,18,0,41,17,0,0,15,2
5.1,347.32,27,36.0,9.387,45.9,32.4,1.049,1.147,0.684,0.697,8.1,12,37,0,15,0,39,17,0,0,15,2
5.1,378.19,22,30.5,12.2,45.2,35.5,1.011,1.116,0.78,0.717,12.9,11,31,0,13,0,33,14,0,1,11,2
5.1,354.49,30,42.0,7.234,46.9,44.9,0.987,1.117,0.691,0.65,8.2,22,49,0,23,0,52,23,0,0,20,3
5.1,449.55,35,48.0,8.645,44.2,38.5,1.016,1.125,0.704,0.679,9.6,22,52,0,24,0,55,23,0,0,21,2
5.1,455.63,36,50.0,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,22,58,0,24,0,61,26,0,2,20,4
5.1,466.59,38,53.0,7.649,44.3,42.6,1.002,1.124,0.681,0.653,9.8,22,61,0,25,0,64,27,0,1,21,5
5.7,455.63,36,50.0,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,22,58,0,24,0,61,26,0,2,20,4
5.1,317.33,25,34.0,8.815,41.7,36.1,1.036,1.152,0.671,0.673,13.9,16,36,0,17,0,38,15,0,0,12,3
5.4,400.31,30,39.5,10.534,44.7,26.3,1.082,1.177,0.676,0.717,10.5,17,38,0,18,0,40,17,0,0,15,2
5.4,418.52,33,46.0,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,48,0,24,0,51,21,0,0,20,1
5.1,327.41,28,39.5,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,23,42,0,23,0,45,21,0,0,20,1
5.1,488.59,39,53.5,8.725,44.6,37.5,1.016,1.125,0.707,0.685,10.7,27,56,0,28,0,60,25,0,0,23,2
5.5,356.81,28,37.5,9.149,46.2,35.9,1.022,1.128,0.714,0.697,10.3,17,39,0,18,0,42,18,1,0,16,2
5.1,313.76,24,33.0,9.228,47.1,35.3,1.021,1.116,0.723,0.705,8.8,12,34,0,15,0,36,16,1,0,15,1
5.3,393.5,31,43.0,8.372,44.7,40.4,1.009,1.114,0.705,0.673,6.4,18,47,0,21,0,50,21,0,0,19,2
5.1,366.75,27,36.5,10.479,45.7,28.6,1.058,1.15,0.713,0.726,11.4,17,35,0,18,0,37,16,1,0,15,1
5.1,345.46,29,41.5,8.636,47.5,37.5,1.0,1.112,0.737,0.698,12.5,25,40,0,25,0,44,19,0,0,17,2
5.2,473.8,31,43.0,11.281,47.6,33.3,1.016,1.105,0.783,0.738,9.5,22,42,0,23,1,45,20,1,0,19,1
5.1,474.62,39,49.5,7.302,40.0,46.2,1.003,1.132,0.654,0.625,9.2,17,65,0,19,0,69,26,0,0,17,9
5.1,331.76,25,34.5,9.758,44.1,32.4,1.036,1.137,0.715,0.71,14.7,17,34,0,18,0,36,15,1,0,15,0
5.1,455.49,36,47.0,8.594,41.5,37.7,1.031,1.152,0.668,0.665,13.2,18,53,0,20,0,56,22,0,0,18,4
5.1,265.3,22,31.5,8.558,45.2,35.5,1.016,1.127,0.702,0.69,16.1,17,31,0,18,0,33,14,0,0,14,0
5.1,612.77,52,70.0,7.757,45.6,41.8,1.002,1.126,0.688,0.66,10.1,34,79,0,35,0,85,36,0,0,30,6
5.1,335.21,24,33.0,9.859,44.1,35.3,1.024,1.123,0.735,0.709,11.8,16,34,0,17,0,36,15,2,0,14,1
5.4,475.51,37,46.5,8.198,41.4,41.4,1.03,1.144,0.651,0.645,5.2,17,58,0,18,0,61,24,0,0,15,9
5.1,361.5,29,40.0,8.033,46.7,42.2,0.995,1.11,0.716,0.671,6.7,22,45,0,22,0,48,21,0,0,18,3
5.1,401.53,33,45.0,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,22,48,0,23,0,52,22,0,0,19,3
5.1,297.31,24,33.0,8.744,47.1,35.3,1.026,1.127,0.696,0.692,8.8,12,34,0,15,0,36,16,0,0,15,1
5.1,435.56,35,46.0,7.51,39.7,44.8,1.007,1.141,0.656,0.63,12.1,22,58,0,22,0,61,23,0,0,16,7
5.5,497.67,40,54.0,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,22,63,0,24,0,67,28,0,2,20,6
5.6,454.6,37,51.5,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,27,55,0,28,0,59,25,0,0,23,2
5.1,258.25,21,28.5,8.905,44.8,34.5,1.036,1.121,0.685,0.69,6.9,11,29,0,13,0,31,13,0,0,11,2
5.1,420.54,34,45.0,7.51,41.1,44.6,1.005,1.137,0.661,0.634,10.7,22,56,0,22,0,59,23,0,0,16,7
5.1,371.57,20,27.5,14.863,48.0,28.0,1.027,1.105,0.851,0.78,12.0,11,25,0,13,0,27,12,1,0,12,0
5.3,362.34,28,37.5,9.291,43.6,33.3,1.049,1.152,0.675,0.688,10.3,17,39,0,18,0,41,17,0,0,15,2
5.1,271.72,21,30.0,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,29,0,17,0,31,14,1,0,14,0
5.1,314.8,24,32.5,8.508,43.2,40.5,1.01,1.125,0.7,0.67,10.8,17,37,0,17,0,39,16,1,0,13,3
5.1,403.52,34,46.5,8.586,46.8,38.3,1.006,1.12,0.722,0.689,10.6,25,47,0,25,0,52,22,0,0,18,4
5.3,343.41,29,41.0,7.986,48.8,39.5,1.003,1.112,0.704,0.679,7.0,22,43,0,23,0,46,21,0,0,20,1
6.1,313.38,27,39.0,8.035,51.3,38.5,0.998,1.108,0.719,0.691,7.7,22,39,0,23,0,42,20,0,0,20,0
5.1,432.37,31,41.0,8.315,44.2,44.2,1.006,1.115,0.697,0.657,1.9,16,52,0,18,0,54,23,2,0,17,6
5.1,277.75,20,28.0,10.683,46.2,30.8,1.026,1.108,0.779,0.745,11.5,16,26,0,16,0,28,12,1,0,12,0
5.4,483.69,38,52.0,7.558,43.8,45.3,0.992,1.119,0.692,0.646,7.8,22,64,0,24,0,67,28,0,2,20,6
5.7,474.54,38,46.0,8.043,39.0,42.4,1.026,1.152,0.646,0.636,10.2,12,59,0,14,0,63,23,0,0,12,11
6.5,376.45,31,42.5,7.843,43.8,41.7,1.01,1.124,0.677,0.655,8.3,21,48,0,22,0,51,21,0,0,17,4
5.1,348.83,25,34.0,9.69,44.4,36.1,1.025,1.111,0.735,0.705,5.6,16,36,0,17,0,38,16,1,0,14,2
5.1,307.38,25,34.0,7.684,45.0,42.5,1.004,1.121,0.681,0.655,7.5,12,40,0,15,0,42,18,0,0,15,3
5.1,317.44,26,37.0,8.354,50.0,39.5,0.992,1.103,0.743,0.695,7.9,22,38,0,22,0,41,19,0,0,18,1
5.1,375.53,31,40.5,7.085,39.6,47.2,0.994,1.136,0.658,0.621,13.2,17,53,0,18,0,56,21,0,0,15,6
5.7,373.23,25,34.5,10.368,44.4,36.1,1.02,1.12,0.725,0.699,11.1,17,36,0,18,1,38,16,0,0,15,1
5.1,383.49,32,45.0,7.67,46.0,42.0,0.998,1.12,0.691,0.661,10.0,22,50,0,24,0,53,23,0,0,21,2
5.1,359.42,30,42.0,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,22,44,0,23,0,47,20,0,0,19,1
5.3,545.66,43,58.0,8.268,43.9,40.9,1.014,1.116,0.69,0.665,4.5,24,66,0,27,0,70,29,0,0,25,4
5.1,453.58,38,52.0,7.436,45.9,44.3,0.998,1.116,0.681,0.648,4.9,26,61,0,27,0,65,28,0,0,22,6
5.1,352.48,28,37.0,7.05,40.0,48.0,0.998,1.131,0.651,0.616,8.0,16,50,0,17,0,52,20,0,0,14,6
5.1,527.69,44,57.0,7.329,40.3,45.8,1.003,1.132,0.657,0.627,9.7,26,72,0,26,0,77,29,0,0,18,11
5.1,291.15,21,29.5,10.783,48.1,29.6,1.026,1.116,0.779,0.753,14.8,17,27,0,17,0,29,13,2,0,13,0
5.9,424.45,36,50.5,8.843,47.9,33.3,1.021,1.119,0.713,0.706,12.5,23,48,0,26,0,52,23,0,0,23,0
5.1,374.45,31,43.0,7.967,46.8,40.4,1.007,1.125,0.692,0.668,8.5,22,47,0,23,0,50,22,0,0,20,2
5.1,376.52,30,41.5,8.011,44.7,42.6,0.997,1.116,0.707,0.664,8.5,21,47,0,22,0,50,21,0,0,18,3
5.1,359.42,30,42.0,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,22,44,0,23,0,47,20,0,0,19,1
5.1,339.45,26,35.5,8.279,43.9,41.5,1.005,1.116,0.705,0.668,7.3,17,41,0,18,0,43,18,0,0,15,3
5.1,454.53,36,47.0,7.974,40.4,42.1,1.02,1.145,0.657,0.642,10.5,22,57,0,22,0,60,23,0,0,16,7
5.1,425.54,34,42.5,7.337,37.9,46.6,1.009,1.136,0.642,0.617,8.6,17,58,0,17,0,61,22,0,0,13,9
5.1,372.86,29,38.0,8.474,43.2,40.9,1.015,1.132,0.69,0.664,9.1,16,44,0,17,0,47,19,1,0,14,5
5.1,278.78,20,26.5,9.613,44.8,37.9,1.012,1.108,0.751,0.704,6.9,11,29,0,12,0,31,13,1,0,10,3
5.9,377.85,30,41.5,8.787,48.8,37.2,1.011,1.111,0.724,0.698,7.0,23,43,0,23,0,46,21,1,0,21,0
5.7,439.54,37,53.0,8.97,46.9,34.7,1.011,1.116,0.734,0.708,14.3,30,49,0,31,0,54,23,0,0,22,1
5.1,315.35,25,34.0,8.299,44.7,39.5,1.022,1.139,0.676,0.664,7.9,16,38,0,17,0,40,17,0,0,14,3
5.1,261.75,19,27.0,10.47,48.0,32.0,1.014,1.104,0.792,0.746,12.0,16,25,0,16,0,27,12,1,0,12,0
5.1,273.37,21,27.0,7.009,38.5,48.7,1.001,1.134,0.641,0.608,7.7,6,39,0,9,0,40,15,0,0,9,6
5.2,342.46,26,34.0,8.154,40.5,42.9,1.008,1.125,0.688,0.652,9.5,12,42,0,14,0,44,17,0,0,13,4
6.8,348.39,29,40.5,8.295,45.2,38.1,1.016,1.122,0.689,0.676,9.5,21,42,0,22,0,45,19,0,0,17,2
5.1,384.45,33,46.5,8.358,47.8,37.0,1.009,1.127,0.707,0.689,13.0,27,46,0,27,0,50,22,0,0,21,1
5.1,448.55,37,47.0,7.734,41.4,43.1,1.011,1.136,0.664,0.642,10.3,12,58,0,16,0,62,24,0,0,15,9
5.1,505.6,40,55.0,8.569,42.4,39.0,1.02,1.122,0.692,0.671,8.5,22,59,0,26,0,63,25,0,0,21,4
5.1,451.56,35,47.5,8.52,39.6,39.6,1.018,1.131,0.686,0.664,13.2,21,53,0,23,0,56,21,0,0,17,4
5.1,420.49,35,46.5,8.086,42.3,40.4,1.016,1.136,0.673,0.657,11.5,21,52,0,22,0,56,22,0,0,16,6
5.1,367.49,28,39.5,9.671,44.7,34.2,1.014,1.111,0.759,0.719,13.2,21,38,0,22,0,41,17,0,0,16,1
6.0,343.85,27,35.0,8.187,40.5,42.9,1.008,1.132,0.683,0.651,11.9,16,42,0,16,0,45,17,1,0,11,6
5.1,390.49,32,43.5,7.657,41.2,43.1,1.007,1.132,0.667,0.643,11.8,21,51,0,22,0,54,21,0,0,16,5
5.1,340.49,27,35.5,7.738,40.9,45.5,0.997,1.124,0.687,0.641,9.1,15,44,0,16,0,47,18,0,0,12,6
5.1,363.47,29,40.5,8.453,46.5,39.5,1.005,1.11,0.719,0.683,7.0,21,43,0,22,0,46,20,0,0,18,2
6.5,475.36,31,44.0,10.804,40.9,34.1,1.03,1.124,0.732,0.707,13.6,18,44,0,21,1,46,18,0,1,16,1
5.1,355.48,28,35.5,6.97,39.2,49.0,1.0,1.131,0.642,0.608,5.9,11,51,0,13,0,53,20,0,0,12,8
5.1,285.75,22,31.0,8.93,46.9,37.5,1.012,1.116,0.723,0.695,9.4,16,32,0,17,0,34,15,1,0,14,1
5.1,400.47,34,46.0,8.009,46.0,40.0,1.009,1.119,0.69,0.669,8.0,22,50,0,23,0,54,23,0,0,20,3
5.6,435.55,37,51.5,7.509,50.0,43.1,0.995,1.105,0.698,0.664,1.7,27,58,0,28,0,62,29,0,0,25,4
5.1,428.47,33,45.0,9.522,46.7,33.3,1.034,1.134,0.717,0.707,8.9,22,45,0,23,0,48,21,0,0,20,1
5.1,358.39,29,38.0,8.335,46.5,39.5,1.024,1.139,0.677,0.666,4.7,16,43,0,17,0,46,20,0,0,16,4
5.5,469.58,38,53.0,8.696,48.1,37.0,1.009,1.116,0.725,0.696,9.3,28,54,0,29,0,58,26,0,0,25,1
5.1,377.37,29,39.5,10.483,47.2,27.8,1.055,1.137,0.728,0.735,8.3,21,36,0,21,0,39,17,0,0,15,2
5.4,365.45,29,42.0,8.913,43.9,36.6,1.016,1.12,0.717,0.692,12.2,22,41,0,24,0,44,18,0,0,18,0
6.1,425.97,31,42.0,8.693,44.9,40.8,1.006,1.113,0.72,0.679,6.1,18,49,0,20,0,51,22,1,0,20,2
5.1,383.51,32,46.0,8.522,48.9,37.8,0.997,1.109,0.739,0.699,11.1,26,45,0,27,0,49,22,0,0,22,0
5.9,506.58,40,54.5,9.046,44.6,35.7,1.026,1.131,0.706,0.692,10.7,27,56,0,28,0,60,25,0,0,23,2
5.2,386.51,31,44.0,8.402,47.8,39.1,1.0,1.109,0.727,0.689,8.7,22,46,0,24,0,49,22,0,0,21,1
5.1,368.86,28,38.0,9.707,50.0,34.2,1.015,1.099,0.763,0.728,5.3,18,38,0,19,0,41,19,1,0,18,1
5.3,404.49,32,45.0,8.989,44.4,35.6,1.017,1.12,0.72,0.697,13.3,22,45,0,24,0,48,20,0,0,20,0
5.1,375.42,31,43.0,8.343,44.4,37.8,1.018,1.125,0.688,0.676,11.1,16,45,0,20,0,48,20,0,0,18,2
5.1,492.51,40,54.5,8.955,43.6,34.5,1.034,1.148,0.684,0.686,14.5,27,55,0,28,0,59,24,0,0,22,2
5.1,428.52,32,44.0,8.57,38.0,40.0,1.024,1.133,0.677,0.657,12.0,18,50,0,21,0,52,19,0,0,17,2
5.1,380.39,32,44.5,9.057,45.2,33.3,1.033,1.142,0.695,0.696,14.3,25,42,0,25,0,46,19,0,0,16,3
5.1,269.33,22,29.5,7.695,42.9,42.9,1.007,1.126,0.671,0.647,8.6,11,35,0,13,0,37,15,0,0,12,3
5.1,363.45,28,34.0,8.452,39.5,41.9,1.022,1.133,0.676,0.651,7.0,6,43,0,9,0,46,17,0,0,10,7
5.1,254.29,21,29.5,8.476,46.7,36.7,1.015,1.133,0.7,0.686,13.3,17,30,0,17,0,32,14,0,0,13,1
5.1,241.32,19,26.0,7.313,42.4,45.5,0.998,1.127,0.668,0.635,9.1,12,33,0,13,0,34,14,0,0,12,2
5.1,304.39,26,36.5,7.805,43.6,41.0,1.001,1.13,0.688,0.661,15.4,21,39,0,21,0,42,17,0,0,15,2
5.1,498.66,40,54.5,8.043,43.5,41.9,1.003,1.121,0.697,0.662,9.7,27,62,0,28,0,66,27,0,0,23,4
6.5,380.41,30,42.0,9.754,46.2,30.8,1.034,1.113,0.732,0.724,10.3,10,39,0,16,0,42,18,0,1,16,1
5.2,264.35,22,30.5,7.343,47.2,44.4,0.992,1.114,0.689,0.651,5.6,17,36,0,17,0,38,17,0,0,15,2
5.1,317.42,26,36.0,7.382,46.5,44.2,0.993,1.117,0.688,0.651,7.0,18,43,0,19,0,45,20,0,0,18,2
5.1,399.46,34,47.5,8.322,47.9,37.5,1.011,1.124,0.703,0.685,10.4,27,48,0,27,0,52,23,0,0,21,2
5.1,289.32,25,36.5,8.767,48.5,33.3,1.015,1.12,0.72,0.709,15.2,21,33,0,22,0,36,16,0,0,16,0
5.2,358.23,27,36.5,9.682,51.4,35.1,1.016,1.1,0.756,0.724,2.7,17,37,0,18,0,40,19,2,0,16,3
5.1,238.27,20,29.0,8.51,46.4,35.7,1.014,1.123,0.706,0.692,14.3,16,28,0,17,0,30,13,0,0,13,0
5.1,461.61,39,53.5,7.445,46.8,43.5,0.993,1.117,0.691,0.655,8.1,23,62,0,26,0,66,29,0,0,25,4
5.2,427.58,35,47.0,7.01,45.9,47.5,0.991,1.114,0.673,0.632,1.6,22,61,0,23,0,64,28,0,0,21,7
5.1,390.45,32,44.0,8.134,45.8,39.6,1.013,1.127,0.687,0.669,8.3,22,48,0,23,0,51,22,0,0,20,2
5.1,398.53,31,39.5,7.117,39.3,48.2,1.003,1.138,0.643,0.611,7.1,11,56,0,14,0,58,22,0,0,14,8
5.1,360.43,31,42.0,8.192,45.5,38.6,1.01,1.132,0.694,0.674,13.6,22,44,0,22,0,48,20,0,0,16,4
5.1,265.34,22,30.5,7.581,45.7,42.9,0.998,1.12,0.687,0.655,8.6,17,35,0,17,0,37,16,0,0,14,2
5.3,427.36,32,43.0,8.722,44.9,40.8,1.007,1.119,0.715,0.677,8.2,22,49,0,22,0,52,22,2,0,18,4
5.8,454.53,38,52.5,8.117,44.6,39.3,1.012,1.124,0.687,0.669,10.7,27,56,0,28,0,60,25,0,0,22,3
5.1,453.64,39,50.0,6.979,43.1,47.7,0.99,1.125,0.667,0.626,7.7,22,65,0,22,0,70,28,0,0,18,10
5.3,339.8,27,36.5,8.942,47.4,36.8,1.015,1.114,0.72,0.697,7.9,17,38,0,18,0,41,18,1,0,16,2
5.1,380.45,30,40.0,7.764,44.9,42.9,1.011,1.125,0.672,0.65,4.1,18,49,0,19,0,51,22,0,0,18,4
5.2,429.9,32,42.0,8.598,40.0,40.0,1.024,1.132,0.676,0.66,10.0,12,50,0,15,0,52,20,1,1,12,7
5.1,290.34,25,34.5,8.065,50.0,38.9,1.004,1.109,0.708,0.684,5.6,17,36,0,18,0,39,18,0,0,17,1
5.1,392.48,32,43.0,7.85,42.0,42.0,1.01,1.137,0.67,0.649,12.0,22,50,0,22,0,53,21,0,0,16,5
5.7,585.74,49,67.5,8.368,47.1,38.6,1.004,1.114,0.717,0.686,10.0,33,70,0,35,0,76,33,0,0,29,4
5.1,388.23,26,35.0,10.217,47.4,36.8,1.022,1.107,0.724,0.7,2.6,12,38,0,15,1,40,18,0,0,16,2
5.1,343.85,27,35.0,8.187,40.5,42.9,1.008,1.132,0.683,0.651,11.9,16,42,0,16,0,45,17,1,0,11,6
5.1,424.5,34,45.0,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,22,53,0,22,0,56,22,0,0,16,6
5.1,479.63,40,54.5,7.379,44.6,44.6,0.996,1.121,0.678,0.644,7.7,27,65,0,28,0,69,29,0,0,23,6
5.1,446.58,37,48.0,7.443,41.7,45.0,1.003,1.135,0.663,0.634,10.0,22,60,0,22,0,64,25,0,0,16,9
5.1,373.51,30,42.0,8.12,47.8,41.3,0.995,1.108,0.722,0.678,6.5,22,46,0,23,0,49,22,0,0,20,2
5.2,430.42,33,44.0,8.967,43.8,35.4,1.042,1.145,0.673,0.679,8.3,18,48,0,20,0,50,21,0,0,19,2
5.1,220.62,17,24.0,11.031,50.0,25.0,1.047,1.109,0.765,0.768,10.0,10,20,0,12,0,22,10,1,0,10,0
5.1,330.45,25,35.0,8.06,39.0,43.9,1.008,1.128,0.681,0.644,9.8,16,41,0,18,0,43,16,0,0,13,3
5.1,348.39,29,40.0,8.295,45.2,38.1,1.016,1.122,0.689,0.676,9.5,16,42,0,19,0,45,19,0,0,17,2
5.1,407.44,32,46.5,9.701,45.2,31.0,1.034,1.117,0.727,0.72,11.9,21,42,0,25,0,45,19,0,0,19,0
5.1,273.14,18,26.0,10.926,52.0,36.0,0.999,1.1,0.776,0.727,8.0,16,25,0,16,1,27,13,0,0,13,0
5.1,429.53,34,43.0,7.67,37.5,44.6,1.016,1.152,0.643,0.623,12.5,16,56,0,17,0,59,21,0,0,12,9
5.5,284.35,23,31.0,7.685,40.5,43.2,1.01,1.133,0.662,0.64,10.8,16,37,0,16,0,39,15,0,0,12,3
6.0,269.29,22,32.0,8.687,41.9,35.5,1.026,1.134,0.685,0.681,16.1,16,31,0,18,0,33,13,0,0,12,1
5.1,353.43,28,38.0,8.836,45.0,37.5,1.017,1.113,0.715,0.689,7.5,16,40,0,18,0,43,18,0,0,16,2
5.4,379.48,30,43.0,8.625,43.2,38.6,1.012,1.121,0.708,0.679,11.4,22,44,0,24,0,47,19,0,0,18,1
5.1,289.79,21,28.0,8.05,41.7,44.4,1.004,1.127,0.685,0.647,8.3,12,36,0,13,0,37,15,1,0,12,3
5.1,371.47,31,43.0,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,22,49,0,23,0,52,23,0,0,20,3
7.4,479.99,34,45.0,8.889,37.0,40.7,1.028,1.132,0.679,0.656,9.3,18,54,0,20,0,56,20,1,0,16,4
5.6,405.42,33,46.0,8.813,45.7,34.8,1.028,1.129,0.693,0.691,10.9,22,46,0,24,0,49,21,0,0,21,0
5.1,361.48,29,39.0,7.23,44.0,46.0,0.996,1.121,0.671,0.635,6.0,18,50,0,19,0,52,22,0,0,18,4
5.1,486.62,39,53.5,8.39,44.8,39.7,1.008,1.124,0.706,0.675,10.3,27,58,0,28,0,62,26,0,0,23,3
5.1,450.54,37,48.0,7.904,42.1,42.1,1.014,1.141,0.666,0.647,10.5,22,57,0,22,0,61,24,0,0,16,8
5.1,273.14,18,26.0,10.926,52.0,36.0,0.999,1.1,0.776,0.727,8.0,16,25,0,16,1,27,13,0,0,13,0
6.7,370.22,25,36.0,10.578,48.6,34.3,1.017,1.109,0.745,0.719,8.6,16,35,0,18,1,37,17,0,1,15,1
5.7,505.67,38,54.0,8.718,43.1,39.7,1.01,1.115,0.716,0.679,8.6,22,58,0,26,0,61,25,0,2,20,3
5.1,247.38,19,23.0,6.343,35.9,53.8,0.989,1.14,0.624,0.577,7.7,6,39,0,7,0,40,14,0,0,6,8
5.1,333.3,26,35.5,9.803,44.1,29.4,1.056,1.158,0.687,0.708,14.7,17,34,0,18,0,36,15,0,0,14,1
5.3,387.5,32,44.0,8.611,46.7,37.8,1.005,1.114,0.727,0.693,11.1,22,45,0,23,0,49,21,0,0,19,2
5.1,344.8,26,36.5,10.775,46.9,28.1,1.035,1.11,0.773,0.753,12.5,21,32,0,21,0,35,15,1,0,15,0
5.1,293.35,24,33.0,7.928,45.9,40.5,1.007,1.119,0.689,0.666,8.1,12,37,0,15,0,39,17,0,0,15,2
5.1,482.44,33,45.5,9.649,44.0,40.0,1.004,1.116,0.731,0.685,10.0,21,50,0,23,1,53,22,0,0,19,3
5.1,235.09,15,20.5,11.755,50.0,35.0,1.004,1.104,0.782,0.732,10.0,11,20,0,11,1,22,10,0,0,9,1
5.1,350.46,29,38.0,7.301,41.7,45.8,1.0,1.128,0.662,0.63,8.3,16,48,0,17,0,51,20,0,0,14,6
5.1,377.38,31,43.0,8.776,46.5,34.9,1.029,1.117,0.694,0.693,7.0,18,43,0,21,0,46,20,0,0,19,1
5.9,308.43,26,34.0,7.173,39.5,46.5,0.995,1.137,0.66,0.624,14.0,16,43,0,16,0,46,17,0,0,11,6
5.1,440.5,35,46.0,8.157,40.7,40.7,1.023,1.145,0.661,0.649,11.1,22,54,0,22,0,57,22,0,0,16,6
5.1,280.79,20,25.5,7.8,36.1,47.2,1.007,1.14,0.657,0.62,11.1,11,36,0,11,0,37,13,1,0,8,5
5.1,317.4,26,38.5,9.335,50.0,32.4,1.007,1.108,0.764,0.732,14.7,21,34,0,22,0,37,17,0,1,16,0
5.1,346.43,29,40.5,7.873,43.2,40.9,1.005,1.129,0.683,0.659,13.6,21,44,0,22,0,47,19,0,0,16,3
5.1,316.41,25,31.0,7.358,34.9,46.5,1.01,1.147,0.634,0.61,14.0,12,43,0,12,0,45,15,0,0,9,6
5.1,421.54,37,50.5,7.664,47.3,41.8,0.996,1.117,0.697,0.665,9.1,27,55,0,27,0,60,26,0,0,21,5
5.1,410.47,33,44.0,8.209,42.0,40.0,1.021,1.144,0.669,0.656,12.0,22,50,0,22,0,53,21,0,0,16,5
5.1,410.47,34,44.5,8.209,42.0,40.0,1.021,1.144,0.669,0.656,12.0,21,50,0,21,0,54,21,0,0,14,7
5.1,359.2,20,25.0,11.225,34.4,43.8,1.01,1.141,0.717,0.649,15.6,10,32,0,10,0,34,11,0,0,5,6
