pXC50,nS,nCsp2,nAB,Sp,nBT,Sv,Si,nH,nBO,nHet,nBM,nC,nHM,Se,nDB,MW,nCsp3,SCBO,C.,nSK,RBF,nO,nAT,AMW
4.523,1,13,12,27.801,41,26.755,43.162,15,26,6,16,18,1,39.673,3,341.41,3,37.0,46.2,24,0.073,4,39,8.754
4.523,1,19,18,37.352,56,37.2,59.636,18,38,10,22,25,1,55.189,3,501.51,4,52.0,47.2,35,0.071,5,53,9.462
4.523,1,9,6,21.04,32,20.229,34.747,13,19,6,10,12,1,31.789,4,267.33,3,26.0,38.7,18,0.094,4,31,8.624
4.523,2,11,11,24.688,36,23.416,37.667,13,23,7,14,14,2,34.865,3,323.42,3,31.5,41.2,21,0.083,4,34,9.512
4.523,1,13,12,24.04,36,23.229,37.747,13,23,6,15,15,1,34.789,3,303.36,2,32.0,44.1,21,0.083,4,34,8.922
4.237,0,14,12,21.182,32,20.821,34.701,12,20,5,14,14,0,31.604,2,256.28,0,28.0,45.2,19,0.094,3,31,8.267
4.398,0,13,16,22.733,35,22.128,36.99,13,22,5,17,15,0,33.378,1,267.31,2,31.0,45.5,20,0.086,2,33,8.1
4.672,0,14,12,21.08,32,21.208,33.123,10,22,5,14,15,0,31.055,2,270.25,1,30.0,50.0,20,0.094,5,30,9.008
4.74,0,11,6,23.154,36,22.568,39.242,15,21,5,10,15,0,35.596,4,273.31,4,28.0,42.9,20,0.111,4,35,7.809
4.184,1,16,16,33.642,50,32.373,53.644,19,31,9,20,20,2,49.193,4,434.93,4,43.0,41.7,29,0.1,5,48,9.061
6.824,0,13,12,19.58,28,18.913,29.937,10,18,4,13,13,1,27.498,1,247.69,0,25.0,48.1,17,0.107,2,27,9.174
4.39,0,16,16,30.534,46,29.449,49.017,18,28,6,18,20,1,44.687,2,371.84,4,38.0,45.5,26,0.087,4,44,8.451
4.345,0,16,16,30.131,47,29.337,50.282,19,28,6,18,20,0,45.691,2,353.4,4,38.0,44.4,26,0.106,5,45,7.853
4.447,0,16,16,29.489,46,29.772,50.092,16,30,8,18,20,0,45.902,2,391.37,4,40.0,45.5,28,0.087,4,44,8.895
4.71,0,16,16,29.489,46,29.772,50.092,16,30,8,18,20,0,45.902,2,391.37,4,40.0,45.5,28,0.087,4,44,8.895
5.208,0,16,16,26.494,39,26.064,41.317,13,26,6,18,18,1,38.105,2,345.77,2,36.0,48.6,24,0.077,3,37,9.345
5.106,0,16,16,27.21,42,27.913,45.807,13,29,8,18,19,0,42.203,2,379.33,3,39.0,47.5,27,0.071,3,40,9.483
4.361,0,16,16,31.438,49,30.149,52.488,21,28,5,18,21,0,47.247,2,351.43,5,38.0,44.7,26,0.102,4,47,7.477
4.0,0,16,16,31.25,49,31.299,53.507,18,31,8,18,21,0,48.785,2,405.4,5,41.0,44.7,29,0.102,4,47,8.626
4.0,0,16,16,31.892,50,30.863,53.697,21,29,6,18,21,0,48.574,2,367.43,5,39.0,43.8,27,0.12,5,48,7.655
4.092,1,16,16,33.455,50,33.523,54.664,16,34,12,20,20,2,50.731,4,488.9,4,46.0,41.7,32,0.1,5,48,10.185
4.868,0,16,16,28.256,42,27.591,44.732,15,27,6,18,19,1,40.989,2,359.8,3,37.0,47.5,25,0.095,3,40,8.995
4.62,0,15,16,25.102,37,23.966,38.768,14,23,4,17,17,1,35.265,1,299.77,2,32.0,48.6,21,0.054,2,35,8.565
4.0,0,16,16,28.773,43,27.923,45.602,16,27,6,18,19,1,41.804,2,357.81,3,37.0,46.3,25,0.116,4,41,8.727
4.0,0,16,16,26.091,40,25.952,42.582,14,26,6,18,18,0,39.109,2,327.33,2,36.0,47.4,24,0.1,4,38,8.614
4.0,0,16,16,27.727,43,28.245,46.677,14,29,8,18,19,0,43.018,2,377.34,3,39.0,46.3,27,0.093,4,41,9.203
4.0,0,16,16,27.727,43,28.245,46.677,14,29,8,18,19,0,43.018,2,377.34,3,39.0,46.3,27,0.093,4,41,9.203
4.634,0,16,16,24.733,36,24.537,37.901,11,25,6,18,17,1,35.222,2,331.74,1,35.0,50.0,23,0.083,3,34,9.757
4.778,1,16,16,31.881,47,30.846,50.229,17,30,9,20,19,2,46.309,4,420.9,3,42.0,42.2,28,0.106,5,45,9.353
4.3,1,16,16,31.693,47,31.996,51.248,14,33,12,20,19,2,47.847,4,474.87,3,45.0,42.2,31,0.106,5,45,10.553
4.369,1,22,22,39.403,58,37.899,61.06,21,37,9,26,25,2,56.076,4,497.0,3,52.0,45.5,34,0.103,5,55,9.036
4.774,1,26,27,42.403,62,40.899,64.06,21,41,9,31,28,2,59.076,4,533.03,2,58.5,48.3,37,0.097,5,58,9.19
4.816,1,22,22,39.403,58,37.899,61.06,21,37,9,26,25,2,56.076,4,497.0,3,52.0,45.5,34,0.103,5,55,9.036
4.418,1,22,22,39.216,58,39.049,62.079,18,40,12,26,25,2,57.614,4,550.97,3,55.0,45.5,37,0.103,5,55,10.018
4.226,1,22,22,39.67,59,39.764,63.288,18,41,13,26,25,2,58.942,4,566.97,3,56.0,44.6,38,0.119,6,56,10.124
4.821,2,20,21,37.386,52,35.86,54.093,16,36,11,25,22,4,50.709,4,523.44,2,50.5,44.9,33,0.115,5,49,10.682
4.762,1,23,22,40.858,60,39.614,63.269,21,39,10,27,26,2,58.404,5,525.01,3,55.0,45.6,36,0.117,6,57,9.211
5.102,1,22,22,42.926,64,40.953,67.89,25,39,9,26,27,2,61.843,4,525.06,5,54.0,44.3,36,0.109,5,61,8.608
4.399,1,22,22,39.858,59,38.614,62.269,21,38,10,26,25,2,57.404,4,513.0,3,53.0,44.6,35,0.119,6,56,9.161
4.399,1,22,22,37.58,55,36.756,57.984,18,37,10,26,24,2,53.705,4,500.96,2,52.0,46.2,34,0.109,5,52,9.634
4.482,1,22,22,38.886,56,37.867,58.728,18,38,10,27,25,2,54.411,4,507.98,2,55.0,47.2,35,0.107,5,53,9.585
4.399,1,22,22,38.994,55,37.398,57.486,18,37,10,26,24,3,53.422,4,561.86,2,52.0,46.2,34,0.109,5,52,10.805
4.716,1,22,22,40.79,61,41.726,66.513,17,44,15,26,26,2,62.036,4,618.97,4,59.0,44.8,41,0.098,5,58,10.672
4.0,0,10,10,22.154,35,21.568,38.242,15,20,5,12,14,0,34.596,2,261.3,4,27.0,41.2,19,0.114,4,34,7.685
4.0,0,10,10,23.915,38,23.095,41.658,17,21,5,12,15,0,37.48,2,275.33,5,28.0,40.5,20,0.132,4,37,7.441
4.84,0,16,16,30.534,46,29.449,49.017,18,28,6,18,20,1,44.687,2,371.84,4,38.0,45.5,26,0.109,4,44,8.451
4.305,0,16,16,32.296,49,30.976,52.432,20,29,6,18,21,1,47.571,2,385.87,5,39.0,44.7,27,0.122,4,47,8.21
5.008,0,16,16,34.057,52,32.503,55.847,22,30,6,18,22,1,50.454,2,399.9,6,40.0,44.0,28,0.096,4,50,7.998
4.911,0,16,16,32.296,49,30.976,52.432,20,29,6,18,21,1,47.571,2,385.87,5,39.0,44.7,27,0.102,4,47,8.21
4.032,1,16,16,35.404,53,33.899,57.06,21,32,9,20,21,2,52.076,4,448.96,5,44.0,41.2,30,0.113,5,51,8.803
4.912,1,22,22,42.926,64,40.953,67.89,25,39,9,26,27,2,61.843,4,525.06,5,54.0,44.3,36,0.109,5,61,8.608
4.141,1,26,27,45.926,68,43.953,70.89,25,43,9,31,30,2,64.843,4,561.09,4,60.5,46.9,39,0.103,5,64,8.767
4.675,1,22,22,42.926,64,40.953,67.89,25,39,9,26,27,2,61.843,4,525.06,5,54.0,44.3,36,0.109,5,61,8.608
4.472,1,22,22,42.739,64,42.103,68.909,22,42,12,26,27,2,63.382,4,579.03,5,57.0,44.3,39,0.109,5,61,9.492
4.393,1,22,22,43.193,65,42.818,70.119,22,43,13,26,27,2,64.709,4,595.03,5,58.0,43.5,40,0.123,6,62,9.597
4.563,1,23,22,44.381,66,42.668,70.099,25,41,10,27,28,2,64.171,5,553.07,5,57.0,44.4,38,0.121,6,63,8.779
4.257,1,22,22,46.449,70,44.007,74.72,29,41,9,26,29,2,67.611,4,553.12,7,56.0,43.3,38,0.114,5,67,8.256
4.27,0,16,16,31.534,48,30.449,50.017,18,30,6,18,21,1,45.687,2,383.85,5,40.0,46.7,27,0.063,4,45,8.53
4.0,0,16,16,32.25,51,32.299,54.507,18,33,8,18,22,0,49.785,2,417.41,6,43.0,45.8,30,0.059,4,48,8.696
4.0,1,16,16,36.403,55,34.899,58.06,21,34,9,20,22,2,53.076,4,460.97,6,46.0,42.3,31,0.073,5,52,8.865
4.317,0,16,16,31.534,48,30.449,50.017,18,30,6,18,21,1,45.687,2,383.85,5,40.0,46.7,27,0.063,4,45,8.53
4.523,1,7,6,28.637,46,26.642,49.697,22,24,6,9,16,1,44.098,3,322.47,9,30.0,36.4,22,0.065,3,44,7.329
4.523,1,7,6,28.637,46,26.642,49.697,22,24,6,9,16,1,44.098,3,322.47,9,30.0,36.4,22,0.065,3,44,7.329
4.523,1,7,6,28.637,46,26.642,49.697,22,24,6,9,16,1,44.098,3,322.47,9,30.0,36.4,22,0.065,3,44,7.329
4.523,1,7,6,28.637,46,26.642,49.697,22,24,6,9,16,1,44.098,3,322.47,9,30.0,36.4,22,0.065,3,44,7.329
4.523,1,7,6,30.398,49,28.169,53.112,24,25,6,9,17,1,46.982,3,336.5,10,31.0,36.2,23,0.061,3,47,7.16
4.523,1,7,6,27.33,44,25.83,47.491,20,24,7,9,15,1,42.542,3,324.44,8,30.0,35.7,22,0.068,4,42,7.725
4.523,1,7,6,27.33,44,25.83,47.491,20,24,7,9,15,1,42.542,3,324.44,8,30.0,35.7,22,0.068,4,42,7.725
4.523,1,7,6,26.875,43,25.116,46.282,20,23,6,9,15,1,41.214,3,308.44,8,29.0,36.6,21,0.07,3,41,7.523
4.523,1,7,6,30.398,49,28.169,53.112,24,25,6,9,17,1,46.982,3,336.5,10,31.0,36.2,23,0.061,3,47,7.16
4.523,1,6,6,27.881,45,26.137,48.78,21,24,7,9,15,1,43.316,3,323.46,9,30.0,34.9,22,0.067,3,43,7.522
4.523,1,7,6,31.159,50,28.696,55.527,26,24,6,9,17,1,48.865,3,338.52,10,30.0,34.7,23,0.08,3,49,6.909
4.523,2,6,6,29.739,47,27.544,50.826,22,25,8,10,15,2,45.502,4,358.53,9,32.0,33.3,23,0.064,4,45,7.967
4.129,1,15,12,26.148,36,24.759,38.506,13,23,6,16,16,2,35.8,4,381.26,1,33.0,45.7,22,0.111,4,35,10.893
4.114,0,15,12,27.063,42,26.699,46.124,17,25,6,14,18,0,42.102,2,332.35,3,33.0,43.9,24,0.143,5,41,8.106
4.616,0,19,17,29.671,45,28.6,47.574,18,27,4,19,21,0,43.262,2,334.39,2,37.5,48.8,25,0.111,4,43,7.777
4.385,1,15,12,23.887,34,22.304,36.245,14,20,3,14,16,1,32.916,2,270.37,1,28.0,48.5,19,0.118,2,33,8.193
4.599,1,16,12,27.256,40,26.47,43.372,15,25,7,17,17,1,40.0,5,345.4,1,36.0,43.6,24,0.125,5,39,8.856
4.564,1,15,12,24.744,34,23.132,36.189,13,21,4,14,16,2,33.24,2,304.81,1,29.0,48.5,20,0.118,2,33,9.237
4.57,1,15,12,25.653,36,24.561,38.608,13,23,6,16,16,2,35.895,4,336.81,1,33.0,45.7,22,0.111,4,35,9.623
4.682,1,15,12,24.744,34,23.132,36.189,13,21,4,14,16,2,33.24,2,304.81,1,29.0,48.5,20,0.118,2,33,9.237
4.636,1,15,12,25.653,36,24.561,38.608,13,23,6,16,16,2,35.895,4,336.81,1,33.0,45.7,22,0.111,4,35,9.623
6.42,0,13,12,20.483,31,19.612,33.408,13,18,3,13,14,0,30.058,1,227.28,1,25.0,46.7,17,0.097,2,30,7.576
5.503,0,13,12,20.296,31,20.762,34.427,10,21,6,13,14,0,31.596,1,281.25,1,28.0,46.7,20,0.097,2,30,9.375
6.357,0,13,12,18.722,28,18.085,29.993,11,17,3,13,13,0,27.174,1,213.25,0,24.0,48.1,16,0.107,2,27,7.898
5.222,0,15,12,24.909,38,24.074,41.159,16,22,4,14,17,0,37.378,2,284.33,2,30.0,45.9,21,0.158,4,37,7.685
5.706,0,13,12,19.523,27,18.804,28.546,9,18,4,13,13,1,26.629,1,293.12,0,25.0,50.0,17,0.074,3,26,11.274
5.381,0,14,12,20.631,31,20.515,33.412,11,20,5,14,14,0,30.829,2,257.26,0,28.0,46.7,19,0.129,4,30,8.575
4.185,0,13,12,23.034,36,21.918,36.697,14,22,3,13,16,0,32.833,1,250.32,3,29.0,48.5,19,0.028,1,33,7.585
7.06,0,13,12,19.523,27,18.804,28.546,9,18,4,13,13,1,26.629,1,293.12,0,25.0,50.0,17,0.074,3,26,11.274
4.463,1,15,12,24.796,36,23.734,38.664,14,22,5,16,16,1,35.571,4,302.37,1,32.0,45.7,21,0.111,4,35,8.639
4.351,1,15,12,24.733,36,24.117,39.004,13,23,6,16,16,1,36.084,4,320.36,1,33.0,45.7,22,0.111,4,35,9.153
7.086,0,7,6,13.352,16,12.775,17.557,4,12,5,7,7,2,17.091,1,295.91,0,16.0,43.8,12,0.063,3,16,18.494
7.155,0,7,6,12.364,16,12.38,17.762,4,12,5,7,7,2,17.28,1,207.01,0,16.0,43.8,12,0.063,3,16,12.938
4.745,0,4,0,20.216,33,18.886,37.365,18,15,3,3,12,0,32.934,3,210.3,8,18.0,36.4,15,0.152,3,33,6.373
4.0,0,16,16,27.011,40,26.396,42.186,14,26,6,18,18,1,38.92,2,343.78,2,36.0,47.4,24,0.1,4,38,9.047
5.058,0,13,12,22.199,31,21.267,33.296,11,20,5,13,14,2,30.705,1,296.16,1,27.0,46.7,19,0.097,2,30,9.872
4.488,0,13,12,21.176,32,20.501,34.665,13,19,3,13,15,0,31.353,1,244.28,2,26.0,48.4,18,0.094,2,31,7.88
4.125,0,16,16,28.773,43,27.923,45.602,16,27,6,18,19,1,41.804,2,357.81,3,37.0,46.3,25,0.093,4,41,8.727
5.157,0,13,12,22.245,34,21.139,36.824,15,19,3,13,15,0,32.942,1,241.31,2,26.0,45.5,18,0.088,2,33,7.312
5.387,0,5,0,38.762,65,35.815,69.896,34,31,4,4,24,0,61.33,4,386.58,19,35.0,38.7,28,0.046,4,62,6.235
4.0,0,16,16,30.534,46,29.449,49.017,18,28,6,18,20,1,44.687,2,371.84,4,38.0,45.5,26,0.109,4,44,8.451
