pXC50,nPyrroles,SaaNH,Chi0_EA.dm.,SpMax2_Bh.i.,Chi1_EA.dm.,SpMin4_Bh.v.,P_VSA_LogP_6,NaaNH,SpMin4_Bh.p.,SpMax2_Bh.e.,SpMax1_Bh.e.,CATS2D_06_DL,Hy,D.Dtr09,H.050,nHDon,GMTI,N.073,SpMin3_Bh.v.,IC5,Eta_beta,C.025,SpMax1_Bh.p.,P_VSA_e_3,SaaaC,SpMax6_Bh.m.,Eig07_AEA.bo.,ATSC5p,SpMin3_Bh.p.,Eig07_EA.bo.,CATS2D_02_DL,XMOD,SpMax8_Bh.p.,X2sol,SpMin7_Bh.s.,SpMax8_Bh.m.,ATSC5m,Eig09_EA.ed.,SM04_AEA.ri.,SpMin7_Bh.m.,C.034,piPC09,piPC06,piPC07,ATS5i,CATS2D_04_DD,SpMAD_EA.ri.,piPC08,GATS4p,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e
5.2,0,0.0,15.702,3.661,22.096,1.319,7.143,0,1.32,3.595,3.937,3,1.309,0.0,3,3,1851.0,0,1.7,4.454,22.75,1,3.801,98.753,0.0,2.694,1.594,3.045,1.706,0.282,4,51.418,2.113,6.919,0.0,2.219,12.233,-0.897,-0.897,0.839,0,4.427,5.358,5.385,4.228,1,1.34,5.482,0.882,1.685,7.059,0.866,0.751,63.784,7.558,0.353,3.514,3.646,3.055,2.945,4.781,2.954,3.988,4.178,3.348,3.227,5.199,3.213,4.168
5.2,0,0.0,15.889,3.921,20.315,1.407,5.634,0,1.432,3.884,4.111,1,-0.241,162.162,1,1,5682.0,1,1.838,4.948,32.0,3,4.057,70.021,0.0,2.922,2.795,5.045,1.871,1.876,2,74.78,2.498,11.094,0.031,2.604,15.084,2.62,2.62,1.008,1,7.867,6.57,7.048,4.458,0,1.473,7.498,1.288,1.733,8.391,2.887,8.333,86.049,8.984,0.593,3.753,3.858,3.545,3.387,4.864,3.362,4.298,4.442,3.993,3.832,5.409,3.781,4.507
5.2,1,0.0,35.77,4.154,42.239,1.97,7.229,0,1.986,4.115,4.174,6,0.712,424.832,3,3,42662.0,2,2.022,5.747,58.25,3,4.063,111.066,3.409,3.46,3.721,20.379,2.021,3.06,2,140.494,3.063,20.488,0.825,3.216,64.02,5.666,5.666,1.665,2,8.307,7.106,7.556,5.867,0,1.473,8.016,1.159,1.558,17.304,3.775,14.253,177.706,7.316,0.5,4.553,4.684,4.114,4.052,5.618,4.042,5.127,5.317,4.51,4.481,6.135,4.453,5.399
6.4,1,6.316,11.017,4.14,9.41,1.826,16.672,2,1.825,4.104,4.144,4,1.564,255.999,4,4,14270.0,2,1.905,5.525,41.75,5,4.058,99.794,4.406,3.244,3.141,10.186,1.907,2.319,6,91.078,2.821,13.308,0.389,2.852,27.045,3.709,3.709,1.286,2,7.636,6.668,7.117,5.047,0,1.468,7.522,1.036,1.47,12.733,3.506,12.29,118.181,7.5,0.765,4.084,4.209,3.668,3.66,5.193,3.641,4.588,4.746,4.023,4.064,5.621,4.026,4.818
5.2,0,0.0,14.557,3.851,19.474,1.658,2.328,0,1.653,3.81,4.178,3,-0.284,67.681,1,1,4850.0,1,1.856,4.979,30.25,2,4.067,53.236,2.878,2.952,2.867,5.244,1.856,2.028,2,69.724,2.596,9.778,0.224,2.681,17.549,1.79,1.79,1.174,0,8.156,6.78,7.323,4.608,0,1.455,7.813,0.78,1.588,8.435,3.159,9.979,86.763,7.57,0.6,3.812,3.936,3.392,3.346,4.947,3.332,4.336,4.515,3.759,3.71,5.457,3.677,4.564
5.5,0,0.0,4.452,3.859,3.014,1.243,17.064,0,1.228,3.838,4.105,1,0.393,66.818,2,2,2990.0,0,1.68,4.736,27.25,3,4.111,49.683,1.718,2.796,2.626,4.957,1.696,1.686,0,61.202,2.074,8.535,0.0,2.239,10.832,1.292,1.292,0.92,2,7.488,6.405,6.83,4.196,0,1.452,7.261,1.091,1.813,7.105,2.559,6.547,72.996,9.726,0.762,3.472,3.556,3.316,3.182,4.775,3.146,3.908,4.005,3.728,3.578,5.287,3.518,4.104
5.2,0,0.0,28.774,3.981,43.022,1.63,4.276,0,1.659,3.95,4.079,8,0.853,138.647,3,3,13820.0,0,1.876,5.118,42.25,7,4.018,54.032,0.0,3.244,3.232,10.401,1.876,2.481,6,95.355,2.918,13.157,0.34,2.941,27.121,4.62,4.62,1.286,0,7.406,6.427,6.78,5.107,0,1.475,7.13,1.088,1.701,11.813,4.918,24.183,115.715,8.451,0.514,4.065,4.175,3.717,3.632,5.281,3.637,4.6,4.746,4.183,4.032,6.237,4.025,4.791
7.5,0,0.0,35.803,4.009,56.529,1.837,4.227,0,1.846,3.981,4.089,2,0.889,0.0,3,3,20636.0,2,1.931,5.464,49.5,0,4.065,138.2,0.0,3.608,3.478,14.593,1.943,2.786,2,128.906,2.941,18.399,0.708,3.033,48.126,4.038,4.038,1.563,0,7.346,6.296,6.651,5.454,2,1.387,6.978,1.061,1.833,13.973,3.428,11.753,145.845,9.086,0.45,4.284,4.397,4.118,3.804,5.38,3.779,4.828,5.002,4.464,4.18,6.076,4.141,5.047
5.2,0,0.0,16.973,3.954,24.07,1.57,4.276,0,1.604,3.922,4.025,7,1.659,0.0,4,4,8714.0,0,1.89,5.164,37.75,4,3.97,68.919,0.0,2.966,3.069,7.733,1.889,2.251,5,77.308,2.735,11.426,0.238,2.687,21.959,2.585,2.585,1.181,0,6.895,5.984,6.328,4.812,0,1.464,6.638,1.102,1.498,11.846,3.53,12.459,101.249,7.676,0.643,3.891,4.011,3.47,3.487,5.097,3.465,4.34,4.485,3.806,3.849,5.596,3.799,4.594
5.2,0,0.0,17.322,3.901,21.88,1.847,46.347,0,1.857,3.866,4.161,1,0.27,128.86,2,2,12438.0,1,1.96,5.234,43.75,1,4.015,86.439,0.501,3.033,3.189,8.907,1.964,2.441,2,96.62,2.733,13.586,0.469,2.869,24.543,3.574,3.574,1.409,1,8.322,6.9,7.408,5.029,1,1.453,7.932,0.643,1.776,10.875,3.995,15.962,113.463,8.432,0.629,4.076,4.19,3.731,3.582,5.339,3.603,4.582,4.748,4.146,3.968,5.9,3.984,4.83
5.2,0,0.0,17.439,3.943,30.662,1.67,43.158,0,1.708,3.876,4.17,1,0.282,0.0,2,2,10046.0,1,1.901,4.959,38.5,1,3.997,87.665,0.459,2.996,2.904,6.875,1.915,2.097,4,87.147,2.735,11.762,0.32,2.728,21.906,3.027,3.027,1.348,1,8.123,6.743,7.264,4.887,1,1.425,7.684,0.857,1.668,10.607,3.052,9.313,103.571,8.052,0.656,3.996,4.117,3.639,3.506,5.122,3.521,4.535,4.702,4.016,3.911,5.665,3.902,4.774
5.3,0,0.0,24.418,4.016,40.887,1.857,16.427,0,1.859,3.967,4.147,2,0.884,129.411,3,3,14955.0,2,1.935,5.33,45.25,0,3.995,108.8,0.629,3.077,3.267,10.243,1.946,2.357,2,97.837,2.873,14.27,0.486,2.904,32.107,3.817,3.817,1.513,1,7.9,6.722,7.162,5.218,0,1.435,7.624,1.081,1.556,12.531,3.213,10.325,122.951,7.653,0.611,4.147,4.283,3.747,3.648,5.268,3.65,4.671,4.861,4.117,4.04,5.782,4.026,4.905
5.2,0,0.0,18.954,3.957,20.542,1.854,1.899,0,1.862,3.923,4.041,5,0.791,0.0,3,3,13751.0,0,1.947,5.349,42.75,4,3.963,87.603,0.0,3.089,3.242,11.601,1.939,2.349,1,96.0,2.887,13.807,0.55,2.912,32.653,3.036,3.036,1.418,0,7.336,6.296,6.689,5.218,0,1.439,7.047,0.876,1.439,11.844,3.316,10.998,127.827,7.213,0.514,4.156,4.287,3.697,3.727,5.268,3.694,4.66,4.842,4.033,4.11,5.704,4.052,4.917
5.2,0,0.0,17.267,3.976,22.095,1.601,19.236,0,1.628,3.943,4.09,4,1.629,0.0,4,4,12090.0,0,1.945,5.241,43.75,3,4.012,102.49,1.374,3.041,3.268,8.106,1.945,2.559,4,87.505,2.752,12.304,0.218,2.785,23.186,3.604,3.604,1.281,0,7.774,6.518,6.938,4.921,0,1.445,7.373,1.128,1.623,12.552,3.451,11.907,108.978,8.244,0.719,3.966,4.086,3.61,3.546,5.209,3.546,4.422,4.568,3.976,3.916,5.677,3.899,4.671
5.2,0,0.0,16.976,3.871,27.733,1.527,19.616,0,1.489,3.846,3.997,3,0.497,0.0,2,2,3159.0,1,1.644,4.536,25.0,0,3.895,65.974,0.0,2.708,2.5,4.939,1.646,1.5,3,65.207,2.231,8.121,0.173,2.333,17.94,0.363,0.363,0.928,0,6.23,5.269,5.582,4.401,0,1.371,5.93,0.876,1.863,9.0,3.052,9.315,77.64,8.305,0.55,3.631,3.752,3.423,3.149,4.754,3.121,4.133,4.319,3.616,3.463,5.392,3.407,4.328
5.2,0,0.0,14.962,3.799,26.208,1.257,2.328,0,1.26,3.759,4.001,0,0.512,0.0,2,2,1856.0,1,1.39,4.502,25.25,1,3.886,69.348,0.0,2.537,2.529,3.373,1.435,1.478,4,49.408,1.524,6.962,0.0,1.768,10.082,-0.281,-0.281,0.61,0,6.692,5.656,6.024,4.089,0,1.443,6.366,1.014,1.666,5.75,1.256,1.577,59.761,8.843,0.667,3.349,3.465,3.063,2.91,4.612,2.935,3.785,3.912,3.41,3.271,5.054,3.279,4.075
5.6,1,2.967,23.916,3.981,38.556,1.767,88.139,1,1.763,3.944,4.117,2,1.768,118.608,4,4,10024.0,2,1.843,4.998,41.0,2,3.998,118.05,1.21,3.065,3.232,7.071,1.871,2.481,5,88.557,2.73,12.133,0.072,2.913,19.21,4.963,4.963,1.055,0,7.53,6.472,6.795,4.703,1,1.387,7.262,1.042,1.926,10.464,4.448,19.786,102.632,9.825,0.71,3.88,3.988,3.657,3.402,5.194,3.444,4.339,4.472,4.081,3.761,5.725,3.801,4.544
5.2,0,0.0,21.7,3.968,25.957,1.891,53.182,0,1.896,3.934,4.121,7,1.463,155.504,4,4,21094.0,0,1.968,5.544,53.0,6,4.129,102.49,1.87,3.382,3.466,10.768,1.964,2.774,5,109.56,2.984,15.898,0.301,2.972,28.249,4.59,4.59,1.346,1,8.351,6.901,7.398,4.973,0,1.434,7.928,1.074,1.549,15.257,4.989,24.894,142.353,8.493,0.718,4.132,4.24,3.85,3.802,5.34,3.766,4.578,4.712,4.2,4.181,5.772,4.119,4.788
5.2,0,0.0,26.632,3.977,39.846,1.664,8.932,0,1.69,3.928,4.092,3,0.309,0.0,2,2,12291.0,0,1.847,5.069,39.75,2,4.012,72.717,-0.034,3.228,3.118,8.491,1.856,2.427,3,92.57,2.704,11.694,0.29,2.842,24.853,3.531,3.531,1.211,0,7.31,6.345,6.724,5.001,0,1.4,7.058,1.067,1.838,11.933,3.429,11.758,104.359,8.696,0.515,4.014,4.126,3.692,3.489,5.219,3.527,4.571,4.724,4.13,3.861,6.206,3.89,4.763
5.2,1,3.28,13.045,4.052,11.877,1.896,13.915,1,1.893,4.03,4.132,6,2.19,162.841,5,5,20982.0,1,1.977,5.668,50.25,6,4.051,99.365,2.275,3.259,3.216,12.268,1.971,2.474,6,105.5,2.889,15.228,0.389,2.964,32.082,3.964,3.964,1.293,1,7.494,6.58,6.984,5.208,0,1.467,7.32,1.015,1.454,14.714,4.237,17.951,138.85,7.583,0.718,4.207,4.324,3.79,3.813,5.362,3.789,4.691,4.833,4.134,4.207,5.782,4.162,4.966
5.2,1,3.085,7.745,3.968,9.649,1.686,11.771,1,1.692,3.934,4.118,3,0.194,101.42,2,2,8123.0,1,1.876,5.154,37.25,5,4.025,51.582,1.914,2.903,2.924,7.272,1.885,2.095,4,75.697,2.669,10.77,0.245,2.687,18.326,2.511,2.511,1.195,0,7.489,6.335,6.809,4.67,0,1.467,7.224,0.981,1.428,10.88,3.342,11.171,98.166,7.795,0.786,3.842,3.955,3.459,3.478,4.99,3.454,4.313,4.456,3.788,3.859,5.445,3.81,4.546
6.4,0,2.826,11.544,4.036,16.058,1.695,2.757,1,1.747,3.989,4.138,0,0.882,109.427,3,3,9784.0,2,1.962,5.089,42.0,4,4.034,101.203,1.716,2.94,2.977,7.065,1.946,2.167,2,85.437,2.735,12.268,0.218,2.687,20.885,3.093,3.093,1.181,1,8.156,6.713,7.252,4.868,0,1.48,7.776,0.976,1.422,9.286,4.512,20.354,112.615,7.967,0.844,3.959,4.087,3.601,3.565,5.131,3.55,4.421,4.569,3.951,3.958,5.514,3.925,4.637
5.2,0,0.0,17.429,3.932,19.551,1.795,0.0,0,1.763,3.88,3.975,0,-0.851,0.0,0,0,5749.0,0,1.834,4.985,26.25,2,3.894,19.91,0.0,2.874,2.5,8.354,1.825,1.5,0,66.926,2.726,9.226,0.392,2.687,24.388,2.136,2.136,1.19,0,5.987,5.069,5.296,4.947,0,1.399,5.599,1.103,1.333,10.273,3.722,13.855,89.932,6.445,0.5,3.893,4.023,3.35,3.439,4.843,3.386,4.465,4.664,3.636,3.823,5.312,3.738,4.717
5.2,0,2.902,13.507,4.0,13.959,1.836,4.472,1,1.829,4.01,4.137,7,0.981,119.985,3,3,8760.0,1,1.867,5.094,36.0,3,4.057,67.742,1.649,3.218,2.975,9.18,1.855,2.193,6,89.295,2.735,13.292,0.343,2.728,27.007,2.275,2.275,1.239,1,7.684,6.438,6.955,4.913,0,1.442,7.412,1.078,1.705,12.185,3.575,12.778,107.34,7.888,0.552,3.986,4.099,3.745,3.558,5.066,3.511,4.517,4.675,3.998,3.926,5.807,3.861,4.763
5.3,0,3.108,16.406,3.903,18.273,1.566,54.88,1,1.584,3.874,4.13,1,-0.342,74.128,1,1,6166.0,1,1.642,4.982,36.75,5,4.052,81.171,0.0,3.054,3.093,6.518,1.654,1.859,2,73.302,2.602,10.226,0.091,2.631,15.782,2.275,2.275,1.133,1,8.037,6.659,7.195,4.635,0,1.465,7.604,1.128,1.511,9.917,4.443,19.738,90.978,8.676,0.63,3.72,3.815,3.43,3.362,5.006,3.364,4.188,4.314,3.788,3.748,5.339,3.742,4.338
5.2,0,0.0,6.973,3.856,7.519,1.453,0.0,0,1.448,3.817,3.954,1,0.341,0.0,2,2,3536.0,0,1.837,4.725,25.75,2,3.868,66.468,0.0,2.687,2.5,5.138,1.82,1.5,1,58.55,2.48,7.476,0.053,2.566,14.554,1.205,1.205,0.997,0,6.415,5.341,5.705,4.396,0,1.334,6.009,1.0,1.48,9.895,0.732,0.536,76.477,7.093,0.6,3.658,3.787,3.176,3.187,4.79,3.16,4.127,4.306,3.391,3.496,5.173,3.437,4.328
5.2,0,3.216,18.827,3.914,26.405,1.74,4.472,1,1.719,3.862,4.131,2,1.698,113.501,4,4,9068.0,1,1.943,5.058,33.75,1,4.012,104.389,1.333,3.155,2.888,9.95,1.936,1.98,4,81.864,2.802,11.254,0.465,2.837,31.637,2.853,2.853,1.355,1,7.645,6.433,6.925,5.187,0,1.408,7.347,1.087,1.498,11.852,2.797,7.824,108.521,6.915,0.552,4.049,4.197,3.543,3.535,5.121,3.509,4.577,4.787,3.871,3.897,5.628,3.843,4.809
6.6,0,0.0,7.232,3.87,5.133,1.149,0.0,0,1.192,3.857,3.979,4,1.996,0.0,4,4,2783.0,0,1.473,4.574,26.0,2,3.916,0.0,0.0,2.765,2.395,4.566,1.47,1.119,6,53.56,1.696,7.994,0.0,2.054,12.149,-0.891,-0.891,0.86,0,6.579,5.564,5.755,4.175,1,1.41,6.079,1.041,1.429,8.111,2.747,7.544,68.289,8.142,0.632,3.522,3.593,3.111,3.071,4.881,3.078,3.881,3.967,3.445,3.409,5.251,3.401,4.188
5.2,0,0.0,5.977,3.978,4.836,1.675,2.104,0,1.628,4.007,4.135,1,0.393,86.276,2,2,4579.0,0,1.681,4.595,32.0,3,4.145,49.683,1.736,2.854,2.848,7.245,1.696,1.991,0,77.547,2.47,12.501,0.03,2.477,16.962,2.275,2.275,1.075,2,7.702,6.535,7.006,4.529,0,1.46,7.412,1.09,1.841,8.682,1.879,3.531,86.534,9.777,0.667,3.653,3.718,3.655,3.391,4.847,3.313,4.141,4.229,3.962,3.779,5.63,3.697,4.341
5.2,0,2.779,9.121,3.933,11.333,1.409,11.771,1,1.455,3.912,4.093,1,0.393,75.878,2,2,3544.0,1,1.655,4.582,28.0,2,3.986,51.337,1.818,2.758,2.575,3.981,1.7,1.595,4,60.437,2.128,8.771,0.005,2.321,11.09,1.128,1.128,0.944,0,6.523,5.961,6.261,4.124,0,1.431,6.599,1.129,1.71,8.632,3.06,9.364,73.883,9.37,0.762,3.505,3.61,3.265,3.14,4.735,3.132,3.948,4.065,3.633,3.513,5.205,3.486,4.158
5.2,0,0.0,4.313,3.85,4.651,1.391,0.0,0,1.372,3.812,3.95,0,-0.795,0.0,0,0,2125.0,0,1.549,4.352,24.0,2,3.866,33.571,0.0,2.595,2.306,3.992,1.535,0.984,0,49.403,2.194,6.388,0.0,2.212,11.26,-0.979,-0.979,0.938,0,6.306,5.259,5.606,4.14,0,1.354,5.883,1.212,1.481,7.875,1.499,2.246,63.662,7.581,0.706,3.421,3.528,3.013,2.995,4.61,2.977,3.856,4.016,3.229,3.283,4.965,3.247,3.956
6.0,0,0.0,24.83,3.981,32.993,1.633,18.375,0,1.666,3.947,4.07,1,2.452,141.027,5,5,13878.0,0,1.928,5.069,44.75,3,4.046,120.5,1.206,3.289,3.395,8.689,1.948,2.694,8,95.065,2.735,13.84,0.218,2.841,26.006,3.576,3.576,1.181,0,7.06,6.32,6.646,4.86,0,1.426,7.004,1.193,1.735,13.967,2.729,7.446,117.735,8.719,0.667,3.994,4.11,3.724,3.59,5.229,3.571,4.444,4.582,4.094,3.959,5.713,3.918,4.652
5.7,1,0.0,33.225,4.154,40.174,1.97,7.229,0,1.984,4.115,4.172,7,0.718,406.52,3,3,39724.0,2,2.024,5.605,56.25,3,4.062,111.066,3.538,3.458,3.716,19.287,2.021,2.975,3,133.687,3.054,19.767,0.825,3.206,59.701,5.666,5.666,1.665,2,8.206,7.054,7.496,5.804,0,1.483,7.945,1.139,1.528,17.341,3.792,14.377,171.243,7.306,0.52,4.504,4.638,4.066,4.022,5.56,4.007,5.078,5.268,4.467,4.457,6.082,4.421,5.369
5.2,0,0.0,16.025,4.041,17.39,1.706,0.0,0,1.689,4.015,4.099,5,0.157,0.0,2,2,9522.0,0,1.762,5.354,35.5,6,4.059,34.551,2.225,3.088,3.118,10.666,1.772,2.414,3,80.849,2.769,11.75,0.543,2.78,29.257,2.833,2.833,1.339,0,7.196,6.318,6.61,5.097,0,1.477,6.896,1.185,1.408,11.111,4.607,21.228,107.157,7.316,0.567,3.98,4.092,3.534,3.599,5.09,3.56,4.493,4.649,3.888,4.005,5.54,3.94,4.777
5.2,0,0.0,14.19,3.886,17.04,1.263,0.0,0,1.341,3.874,4.05,2,0.378,81.114,2,2,3852.0,0,1.521,4.44,31.0,3,3.956,3.124,0.0,2.814,2.726,4.885,1.599,1.803,3,63.404,2.302,9.366,0.0,2.491,12.656,2.21,2.21,0.957,0,6.847,5.996,6.368,4.33,1,1.514,6.68,1.091,1.615,7.905,1.776,3.154,71.446,9.442,0.522,3.561,3.619,3.295,3.142,4.955,3.181,3.998,4.066,3.711,3.529,5.522,3.559,4.257
5.8,1,3.294,8.592,4.087,7.94,1.866,16.019,1,1.86,4.075,4.134,3,0.857,245.443,3,3,13207.0,1,1.946,5.492,41.25,4,4.105,83.254,4.693,3.252,3.045,9.189,1.943,2.298,4,92.288,2.814,13.435,0.386,2.875,23.423,3.701,3.701,1.28,3,7.552,6.635,7.066,4.879,0,1.431,7.471,1.146,1.564,12.621,3.582,12.83,116.579,8.174,0.788,4.011,4.119,3.711,3.658,5.129,3.616,4.507,4.644,4.088,4.071,5.555,4.001,4.733
5.2,0,0.0,8.912,4.087,6.882,1.69,56.219,0,1.728,4.035,4.198,1,-0.25,104.558,1,1,10709.0,2,1.882,5.099,40.75,1,4.018,69.225,0.739,3.04,3.109,6.664,1.877,2.349,1,92.464,2.645,12.753,0.363,2.753,19.942,4.411,4.411,1.34,1,8.64,7.104,7.651,4.931,0,1.472,8.161,0.58,1.829,10.0,3.977,15.818,104.357,8.922,0.735,3.999,4.103,3.712,3.494,5.267,3.535,4.511,4.653,4.145,3.906,5.771,3.946,4.721
5.2,0,0.0,13.776,3.914,15.016,1.524,0.693,0,1.518,3.885,3.968,2,-0.31,0.0,1,1,5285.0,0,1.614,4.816,31.25,1,3.909,34.796,0.0,2.917,2.794,6.942,1.651,1.826,1,71.041,2.617,10.026,0.161,2.687,18.887,2.136,2.136,1.1,0,6.778,5.742,6.138,4.371,0,1.372,6.467,0.927,1.648,9.955,3.763,14.16,89.416,8.622,0.5,3.692,3.782,3.44,3.344,4.882,3.302,4.145,4.266,3.811,3.679,5.341,3.618,4.286
5.2,0,0.0,10.189,3.705,8.549,1.37,0.0,0,1.326,3.7,3.953,1,0.526,0.0,2,2,2189.0,0,1.518,4.518,21.5,1,3.901,18.011,0.0,2.812,1.74,5.411,1.507,0.63,2,58.227,1.76,8.613,0.0,2.237,13.654,-0.883,-0.883,0.516,0,6.055,5.338,5.641,4.05,0,1.357,5.921,0.817,1.88,7.235,2.558,6.541,72.369,10.283,0.333,3.394,3.455,3.276,3.049,4.683,3.004,3.827,3.912,3.77,3.414,5.147,3.337,3.936
5.2,0,0.0,11.831,3.624,15.227,1.277,2.104,0,1.265,3.589,4.097,3,1.306,67.037,3,3,2098.0,0,1.623,4.441,22.75,1,4.123,50.908,1.278,2.872,2.313,4.199,1.641,1.199,2,62.767,1.879,9.508,0.0,2.243,9.596,-0.409,-0.409,0.679,2,6.778,6.258,6.537,4.044,1,1.394,6.831,1.25,2.083,5.833,2.435,5.927,72.492,11.661,0.526,3.395,3.47,3.372,3.099,4.703,3.053,3.843,3.934,3.848,3.505,5.259,3.429,4.037
5.2,0,0.0,20.473,3.967,29.218,1.588,20.274,0,1.617,3.932,4.097,7,3.356,122.805,6,6,10960.0,0,1.895,5.159,41.75,4,4.081,135.387,1.539,3.047,3.333,9.139,1.916,2.613,5,88.276,2.735,13.179,0.218,2.793,28.239,3.492,3.492,1.213,0,7.654,6.554,6.951,4.863,1,1.429,7.414,1.118,1.676,12.429,3.237,10.478,114.23,8.489,0.71,3.95,4.074,3.662,3.555,5.164,3.527,4.396,4.54,4.046,3.936,5.64,3.883,4.601
6.0,0,0.0,27.434,3.968,33.376,1.793,53.182,0,1.791,3.935,4.119,7,1.463,157.728,4,4,21411.0,0,1.931,5.361,47.25,5,4.127,88.829,1.988,3.382,3.465,12.106,1.929,2.656,5,109.672,2.985,15.898,0.612,2.983,33.628,4.594,4.594,1.478,1,8.075,6.778,7.24,5.098,0,1.428,7.733,0.988,1.525,15.314,5.156,26.586,145.456,7.769,0.564,4.221,4.343,3.864,3.844,5.319,3.796,4.735,4.904,4.218,4.245,5.798,4.167,4.958
5.2,1,3.277,14.646,4.051,12.518,1.894,13.915,1,1.889,4.031,4.132,5,2.19,168.468,5,5,22437.0,1,1.965,5.8,51.0,6,4.051,99.365,2.261,3.374,3.44,12.53,1.962,2.743,6,111.039,2.891,16.27,0.389,3.06,33.642,4.0,4.0,1.292,1,7.531,6.617,7.01,5.207,0,1.45,7.343,0.984,1.554,14.833,4.901,24.023,143.655,8.148,0.7,4.212,4.324,3.853,3.832,5.379,3.808,4.697,4.832,4.222,4.232,5.814,4.187,4.975
6.9,1,3.248,11.835,3.89,17.894,1.609,14.099,1,1.617,3.843,4.137,4,0.304,77.201,2,2,4814.0,1,1.868,4.622,29.5,3,4.027,53.481,1.917,2.866,2.705,7.133,1.889,1.744,4,67.474,2.661,9.591,0.218,2.687,20.901,2.275,2.275,1.181,0,7.531,6.385,6.857,4.797,0,1.444,7.291,0.883,1.508,8.364,2.057,4.23,87.396,7.36,0.64,3.811,3.935,3.381,3.353,4.875,3.337,4.352,4.527,3.74,3.774,5.359,3.73,4.625
5.2,0,0.0,20.633,3.95,28.555,1.508,6.604,0,1.572,3.909,4.086,3,0.388,0.0,2,2,9482.0,0,1.685,4.998,37.25,2,4.008,69.593,0.215,3.115,3.109,5.577,1.724,2.375,3,84.977,2.545,9.748,0.076,2.641,13.912,3.639,3.639,0.979,0,7.308,6.339,6.721,4.67,0,1.405,6.965,1.107,1.926,11.179,4.411,19.455,86.145,10.534,0.567,3.808,3.904,3.612,3.292,5.195,3.373,4.352,4.468,4.152,3.637,6.493,3.729,4.482
7.4,1,2.947,15.046,4.06,15.28,1.734,5.218,1,1.752,4.075,4.197,4,0.94,233.655,3,3,14893.0,1,1.938,5.306,48.5,2,4.157,83.547,3.441,3.271,3.217,9.441,1.938,2.54,5,106.541,2.735,15.995,0.291,2.752,25.719,3.519,3.519,1.181,2,8.24,6.97,7.47,4.78,0,1.433,7.929,1.08,1.845,12.742,4.01,16.076,121.292,9.773,0.743,3.986,4.062,3.939,3.658,5.19,3.623,4.456,4.55,4.263,4.038,5.882,3.995,4.655
5.2,0,0.0,15.547,3.741,14.7,1.275,0.0,0,1.329,3.722,4.045,1,1.201,0.0,3,3,2944.0,0,1.483,4.624,28.75,1,3.969,81.967,0.0,2.778,3.088,3.918,1.524,1.761,3,63.342,2.13,9.38,0.0,2.31,5.411,0.304,0.304,0.707,0,7.181,6.254,6.517,4.22,1,1.449,6.873,0.979,1.888,5.95,1.001,1.002,69.79,11.064,0.273,3.444,3.51,3.314,3.064,4.87,3.108,3.886,3.946,3.755,3.467,5.353,3.5,4.158
5.2,0,2.861,9.121,3.933,11.333,1.425,2.144,1,1.46,3.912,4.099,1,0.393,75.878,2,2,3544.0,1,1.597,4.582,28.0,2,3.991,51.337,1.887,2.785,2.575,3.931,1.647,1.595,5,60.437,2.053,8.771,0.0,2.233,10.518,1.128,1.128,0.966,1,6.523,5.961,6.261,4.096,0,1.431,6.599,1.074,1.71,8.632,2.923,8.543,74.133,9.37,0.762,3.505,3.61,3.265,3.14,4.737,3.132,3.948,4.065,3.633,3.513,5.199,3.486,4.159
5.2,0,0.0,7.215,3.823,11.409,1.443,25.87,0,1.398,3.808,4.098,3,0.341,0.0,2,2,3362.0,0,1.632,4.923,26.25,4,4.064,34.796,2.271,2.711,2.394,6.471,1.623,1.356,1,62.802,2.362,8.457,0.135,2.351,16.978,1.372,1.372,1.066,0,7.582,6.262,6.723,4.417,0,1.386,7.174,0.847,1.593,8.526,2.577,6.639,81.244,8.193,0.762,3.605,3.707,3.316,3.267,4.723,3.206,4.076,4.216,3.594,3.634,5.144,3.547,4.272
5.2,0,2.878,12.295,4.0,13.234,1.77,4.472,1,1.803,4.01,4.136,6,1.012,114.45,3,3,7901.0,1,1.861,5.012,35.5,3,4.057,67.742,1.631,3.206,2.975,8.669,1.836,2.193,6,86.067,2.735,13.172,0.342,2.687,25.369,2.275,2.275,1.204,1,7.665,6.427,6.942,4.856,0,1.456,7.394,1.123,1.735,11.577,2.908,8.455,102.713,8.098,0.571,3.931,4.041,3.717,3.506,5.033,3.464,4.454,4.605,3.973,3.872,5.787,3.816,4.69
5.4,0,2.851,18.955,3.953,24.276,1.708,4.276,1,1.754,3.919,4.14,9,2.467,121.988,5,5,10800.0,1,1.9,5.203,40.5,4,4.059,148.199,1.777,3.325,3.169,8.766,1.891,2.385,6,92.011,2.735,13.326,0.218,2.725,27.877,3.601,3.601,1.181,0,7.631,6.536,6.94,4.883,0,1.439,7.386,1.016,1.634,11.929,4.435,19.667,114.011,9.486,0.71,3.945,4.068,3.716,3.558,5.132,3.535,4.402,4.544,4.134,3.957,5.585,3.907,4.637
