pXC50,P_VSA_e_1,P_VSA_m_1,P_VSA_MR_1,P_VSA_p_1,P_VSA_s_2,P_VSA_v_1,SpMin4_Bh.m.,ATSC3v,P_VSA_LogP_7,SpMin5_Bh.m.,SpMin6_Bh.s.,ATSC1v,ATSC2v,SpMin3_Bh.v.,SpMin8_Bh.m.,CATS2D_07_LL,SpMin2_Bh.m.,SpMin2_Bh.s.,SpMin2_Bh.v.,GATS5s,DECC,SpMin4_Bh.v.,ATS4p,ATS5i,ATS5p,ATSC3p,ATSC4i,ATSC4p,ATSC5i,ATSC5p,ATSC6i,X4v,X5v,SM10_EA.bo.,SpDiam_AEA.dm.,X3Av,C.002,H.046,SpMin6_Bh.m.,CATS2D_06_LL,ATS2p,ATS3p,ATS3v,ATSC2i,ATSC2p,ATSC3i,P_VSA_MR_5,ATS4v,ATS5e,ATS5v,ATS6e,ATS6i,ATS6p,ATS6v,ATS7e,ATS7i,ATS7p,ATS7v,ATS8e,ATS8i,ATS8p,ATSC1p,ATSC2s,ATSC6p
6.347,188.338,188.338,218.258,218.258,188.338,188.338,1.631,8.934,188.338,1.559,0.571,4.529,7.705,1.975,1.143,11,2.011,1.121,2.018,1.1,2.562,1.669,4.015,4.929,3.914,9.291,1.689,9.884,1.521,9.27,1.357,3.252,2.139,15.527,5.636,0.074,1,0,1.535,10,3.981,4.068,4.082,1.282,7.582,1.636,27.709,4.018,4.747,3.924,4.614,4.772,3.808,3.823,4.51,4.67,3.738,3.744,4.427,4.605,3.72,4.724,65.169,7.997
5.601,176.567,176.567,191.527,191.527,176.567,176.567,1.619,9.254,176.567,1.536,0.342,4.306,7.431,1.985,1.181,13,2.017,1.105,2.018,0.994,2.556,1.654,3.923,4.752,3.812,8.795,1.324,8.946,1.107,7.731,1.038,3.007,2.023,15.348,5.636,0.078,1,0,1.307,14,3.943,4.013,3.987,1.081,6.783,1.377,27.709,3.885,4.572,3.794,4.475,4.631,3.742,3.721,4.405,4.585,3.672,3.636,4.313,4.49,3.634,4.204,41.869,6.922
5.601,200.109,200.109,200.109,200.109,200.109,200.109,1.641,9.789,200.109,1.555,0.562,4.727,8.12,1.977,1.154,14,2.017,1.11,2.018,1.247,2.613,1.665,4.07,4.901,3.993,9.29,1.302,9.984,1.201,9.457,1.072,3.501,2.259,15.457,5.636,0.081,1,0,1.536,14,4.017,4.123,4.087,1.037,7.39,1.262,27.709,4.027,4.726,3.95,4.606,4.759,3.908,3.867,4.541,4.714,3.839,3.778,4.423,4.59,3.763,4.505,46.83,8.224
6.522,153.024,153.024,182.945,182.945,153.024,153.024,1.621,8.291,153.024,1.536,0.335,3.709,6.563,1.971,1.108,8,1.993,1.096,2.011,1.11,2.586,1.652,3.957,4.774,3.84,9.014,1.547,9.314,1.334,8.086,1.194,3.301,2.138,15.55,5.636,0.076,1,0,1.302,11,3.974,4.05,4.056,1.186,6.655,1.523,27.709,3.959,4.621,3.855,4.508,4.644,3.765,3.777,4.439,4.598,3.69,3.699,4.357,4.51,3.656,4.061,66.863,7.063
6.456,153.024,153.024,153.024,153.024,153.024,153.024,1.606,8.527,153.024,1.536,0.341,3.551,6.424,1.962,1.099,12,1.984,1.108,2.005,1.336,2.582,1.646,4.065,4.744,3.93,8.812,1.156,9.518,1.028,8.211,0.92,3.858,2.398,15.524,5.636,0.086,1,0,1.304,15,4.041,4.154,4.102,0.91,6.005,1.149,27.709,4.012,4.596,3.893,4.496,4.618,3.858,3.832,4.431,4.571,3.815,3.754,4.332,4.474,3.76,3.569,45.967,7.011
5.0,211.88,211.88,211.88,211.88,211.88,211.88,1.638,10.435,211.88,1.573,0.574,5.083,8.558,1.985,1.185,13,2.017,1.131,2.018,1.13,2.523,1.666,4.029,4.923,3.956,9.158,1.347,9.603,1.273,9.017,1.132,3.212,2.121,15.397,5.636,0.078,1,0,1.535,13,3.986,4.075,4.045,1.054,7.476,1.288,27.709,3.988,4.736,3.918,4.645,4.828,3.876,3.827,4.527,4.712,3.778,3.714,4.386,4.583,3.727,4.655,45.862,8.653
5.458,129.482,129.482,129.482,129.482,129.482,129.482,1.635,7.107,148.989,1.447,0.294,3.026,5.555,1.743,1.082,7,1.918,1.059,1.934,1.162,2.473,1.667,4.034,4.671,3.963,8.43,1.05,8.465,0.976,8.461,0.824,4.462,2.565,15.181,5.636,0.095,1,0,1.25,11,4.027,4.097,4.038,0.873,5.737,1.081,24.232,3.997,4.539,3.889,4.401,4.522,3.855,3.794,4.399,4.527,3.876,3.794,4.384,4.514,3.851,3.264,49.148,6.79
6.158,164.795,164.795,179.756,179.756,164.795,164.795,1.623,8.873,164.795,1.536,0.336,3.944,6.954,1.976,1.112,9,2.011,1.106,2.015,1.112,2.563,1.653,3.96,4.765,3.843,8.921,1.385,9.218,1.249,8.03,1.104,3.286,2.139,15.438,5.636,0.079,1,0,1.302,11,3.976,4.055,4.029,1.062,6.598,1.38,27.709,3.938,4.607,3.842,4.493,4.636,3.767,3.764,4.427,4.591,3.693,3.687,4.344,4.503,3.659,4.026,48.795,7.037
6.7,153.024,153.024,167.984,167.984,153.024,153.024,1.621,8.4,153.024,1.535,0.28,3.636,6.508,1.957,1.105,13,2.01,1.121,2.015,1.269,2.553,1.656,4.014,4.763,3.859,8.943,1.385,9.501,1.222,8.079,1.073,3.574,2.284,15.521,5.636,0.081,1,0,1.273,11,4.008,4.098,4.074,1.042,6.355,1.328,27.709,3.985,4.607,3.868,4.496,4.628,3.803,3.796,4.445,4.593,3.746,3.728,4.323,4.487,3.717,3.825,54.745,7.13
5.522,211.88,211.88,211.88,211.88,211.88,211.88,1.64,10.306,211.88,1.568,0.573,5.083,8.558,1.985,1.185,14,2.017,1.131,2.018,1.217,2.563,1.67,4.023,4.905,3.929,9.14,1.338,9.741,1.235,8.978,1.096,3.175,2.111,15.36,5.636,0.079,1,0,1.535,13,3.986,4.075,4.041,1.054,7.476,1.288,27.709,3.972,4.714,3.891,4.594,4.764,3.847,3.808,4.519,4.712,3.778,3.716,4.399,4.583,3.727,4.655,45.826,7.867
5.601,141.253,141.253,141.253,141.253,141.253,141.253,1.635,7.596,160.76,1.447,0.295,3.347,6.034,1.743,1.089,8,1.946,1.062,1.946,1.132,2.472,1.667,3.976,4.672,3.933,8.527,1.081,8.472,0.993,8.477,0.837,4.026,2.487,15.056,5.636,0.094,1,0,1.25,10,3.996,4.048,3.989,0.892,6.063,1.104,24.232,3.938,4.529,3.863,4.393,4.523,3.818,3.756,4.384,4.53,3.825,3.746,4.371,4.516,3.802,3.52,43.639,6.902
6.128,176.567,176.567,176.567,176.567,176.567,176.567,1.62,9.676,176.567,1.536,0.346,4.188,7.389,1.979,1.15,13,2.014,1.115,2.018,1.309,2.527,1.652,3.987,4.744,3.865,9.392,1.222,9.59,1.065,8.46,0.961,3.46,2.234,15.354,5.636,0.086,1,0,1.31,14,3.997,4.081,4.017,0.936,6.624,1.199,27.709,3.92,4.574,3.82,4.468,4.62,3.787,3.741,4.4,4.573,3.711,3.663,4.301,4.476,3.684,3.987,38.854,7.239
4.602,94.169,94.169,94.169,94.169,94.169,94.169,1.417,4.742,113.675,1.104,0.16,2.166,3.904,1.666,0.697,3,1.696,0.911,1.743,0.766,1.599,1.474,3.603,4.148,3.491,5.917,0.636,5.435,0.588,5.227,0.484,3.22,1.82,14.817,5.636,0.1,1,0,1.04,3,3.662,3.677,3.603,0.588,4.14,0.699,6.221,3.55,4.021,3.4,3.86,3.991,3.273,3.194,3.781,3.905,3.248,3.165,3.689,3.806,3.165,2.325,38.465,4.279
5.601,176.567,176.567,191.527,191.527,176.567,176.567,1.634,9.254,176.567,1.535,0.278,4.306,7.431,1.98,1.181,14,2.017,1.131,2.018,0.981,2.524,1.662,3.923,4.753,3.818,8.795,1.324,8.946,1.127,7.711,1.021,3.007,2.025,15.348,5.636,0.078,1,0,1.274,13,3.943,4.013,3.987,1.081,6.783,1.377,27.709,3.885,4.573,3.796,4.47,4.624,3.752,3.73,4.403,4.579,3.69,3.645,4.292,4.481,3.647,4.204,41.869,6.993
6.399,164.795,164.795,179.756,179.756,164.795,164.795,1.608,9.101,164.795,1.536,0.334,3.933,6.973,1.975,1.129,9,2.005,1.113,2.014,1.098,2.6,1.649,3.967,4.765,3.839,9.463,1.395,9.737,1.266,8.08,1.108,3.315,2.353,15.432,5.636,0.084,1,0,1.297,12,3.995,4.078,4.038,1.053,6.681,1.385,27.709,3.932,4.6,3.837,4.491,4.634,3.783,3.77,4.423,4.589,3.716,3.689,4.343,4.5,3.666,4.021,46.262,7.314
5.822,188.338,188.338,188.338,218.258,198.51,188.338,1.635,9.64,176.567,1.535,0.303,4.529,7.643,1.983,1.181,14,2.017,1.131,2.018,1.158,2.72,1.667,4.018,4.927,3.915,9.19,1.49,9.792,1.478,9.256,1.245,3.193,2.129,15.356,5.636,0.076,1,0,1.294,13,3.983,4.073,4.054,1.4,7.617,1.396,37.882,3.997,4.741,3.913,4.599,4.763,3.811,3.804,4.476,4.649,3.744,3.709,4.415,4.598,3.723,4.724,114.311,7.939
5.398,188.338,188.338,188.338,188.338,188.338,188.338,1.703,10.768,188.338,1.536,0.372,4.457,8.305,1.976,1.172,14,2.017,1.176,2.018,1.235,2.57,1.708,4.068,4.864,3.968,10.434,1.295,10.811,1.158,9.428,1.038,3.797,2.669,15.428,5.636,0.093,3,2,1.32,15,4.06,4.167,4.092,1.005,7.273,1.285,32.778,3.998,4.684,3.91,4.585,4.74,3.917,3.853,4.511,4.675,3.862,3.773,4.371,4.531,3.765,4.171,45.596,8.718
5.0,141.253,141.253,141.253,141.253,141.253,141.253,1.536,8.122,141.253,1.35,0.228,3.321,6.063,1.941,1.087,13,1.992,1.111,2.016,1.523,2.329,1.585,3.941,4.661,3.84,8.593,1.116,8.961,0.971,7.389,0.82,3.469,2.364,15.465,5.636,0.087,1,0,1.197,17,3.963,4.063,4.011,0.852,5.751,1.086,27.709,3.904,4.511,3.812,4.38,4.495,3.814,3.775,4.357,4.501,3.786,3.7,4.262,4.433,3.663,3.392,42.972,6.395
6.0,129.482,129.482,129.482,129.482,129.482,129.482,1.635,7.091,148.989,1.446,0.289,3.026,5.555,1.743,1.068,9,1.92,1.06,1.934,1.049,2.502,1.666,4.014,4.67,3.958,8.441,1.064,8.431,0.971,8.455,0.824,4.234,2.613,15.163,5.636,0.098,1,0,1.242,8,4.027,4.1,4.039,0.873,5.737,1.083,24.232,3.973,4.541,3.893,4.401,4.522,3.843,3.78,4.392,4.529,3.862,3.784,4.386,4.513,3.854,3.264,49.657,6.799
5.522,176.567,176.567,176.567,176.567,176.567,176.567,1.638,9.523,176.567,1.535,0.293,4.216,7.386,1.974,1.181,14,2.017,1.131,2.018,1.199,2.483,1.664,3.977,4.748,3.853,8.808,1.205,9.244,1.06,7.93,0.937,3.21,2.142,15.388,5.636,0.082,1,0,1.283,14,3.979,4.062,4.015,0.946,6.541,1.195,27.709,3.92,4.578,3.826,4.466,4.615,3.781,3.743,4.396,4.57,3.721,3.655,4.287,4.471,3.692,3.992,39.058,7.025
5.399,141.253,141.253,141.253,141.253,141.253,141.253,1.636,7.499,160.76,1.452,0.316,3.354,6.029,1.743,1.106,10,1.958,1.071,1.958,1.079,2.502,1.667,4.007,4.704,3.963,8.359,1.176,8.451,1.056,8.486,0.93,4.029,2.424,15.098,6.058,0.089,1,0,1.298,10,3.999,4.058,4.013,0.926,6.13,1.165,55.291,3.982,4.564,3.908,4.433,4.571,3.836,3.779,4.405,4.557,3.845,3.778,4.394,4.535,3.83,3.612,48.605,6.938
6.399,164.795,164.795,164.795,164.795,164.795,164.795,1.641,8.911,184.302,1.601,0.53,3.866,6.886,1.743,1.156,9,1.966,1.101,1.973,1.004,2.762,1.668,4.068,4.755,4.006,9.852,1.147,9.82,1.069,9.405,0.958,4.29,2.742,15.026,5.636,0.1,1,0,1.427,8,4.076,4.137,4.053,0.943,6.683,1.189,24.232,3.999,4.601,3.923,4.494,4.64,3.867,3.799,4.445,4.595,3.856,3.786,4.42,4.551,3.883,3.863,38.296,8.028
5.601,211.88,211.88,211.88,211.88,211.88,211.88,1.643,10.306,211.88,1.555,0.562,5.083,8.558,1.988,1.181,13,2.017,1.111,2.018,1.199,2.594,1.667,4.023,4.903,3.931,9.14,1.338,9.723,1.228,9.052,1.095,3.178,2.117,15.36,5.636,0.079,1,0,1.536,14,3.986,4.075,4.041,1.054,7.476,1.288,27.709,3.974,4.712,3.892,4.592,4.761,3.847,3.8,4.521,4.717,3.759,3.704,4.408,4.592,3.706,4.655,45.826,8.01
5.7,164.795,164.795,179.756,224.636,172.555,164.795,1.634,9.002,164.795,1.536,0.341,4.088,7.118,1.987,1.158,9,2.017,1.133,2.018,1.045,2.776,1.672,3.992,4.891,3.859,9.499,1.906,10.325,1.572,8.795,1.304,3.26,2.166,15.506,6.46,0.074,1,0,1.305,11,3.991,4.076,4.092,1.9,7.711,1.794,35.469,4.016,4.717,3.893,4.536,4.677,3.781,3.805,4.516,4.687,3.723,3.74,4.443,4.607,3.68,4.681,182.053,7.316
5.458,141.253,141.253,141.253,186.134,149.013,141.253,1.636,7.737,160.76,1.452,0.354,3.52,6.258,1.743,1.112,10,1.957,1.09,1.962,1.06,2.706,1.667,4.017,4.809,3.961,9.15,1.628,9.91,1.371,9.751,1.057,4.11,2.468,15.162,6.46,0.087,1,0,1.298,10,4.01,4.069,4.055,1.737,7.378,1.481,31.991,4.026,4.654,3.922,4.438,4.568,3.833,3.797,4.505,4.645,3.84,3.809,4.466,4.619,3.821,4.259,174.758,7.362
6.221,176.567,176.567,176.567,176.567,176.567,176.567,1.608,9.676,176.567,1.536,0.345,4.188,7.389,1.979,1.181,13,2.015,1.115,2.018,1.292,2.556,1.649,3.971,4.748,3.843,9.392,1.222,9.647,1.075,8.004,0.961,3.271,2.328,15.348,5.636,0.087,1,0,1.305,15,3.997,4.081,4.017,0.936,6.624,1.199,27.709,3.905,4.569,3.808,4.468,4.62,3.787,3.741,4.398,4.574,3.721,3.657,4.303,4.475,3.674,3.987,38.812,7.239
5.785,612.097,612.097,588.555,612.097,613.895,612.097,1.919,37.038,553.242,1.893,1.232,15.974,26.987,1.985,1.635,0,1.961,1.312,2.003,1.005,3.223,1.96,4.966,6.347,5.014,24.245,3.13,25.374,3.292,26.906,3.577,8.195,5.652,13.265,5.579,0.09,6,13,1.873,1,4.709,4.918,4.943,2.403,19.206,2.982,28.625,4.977,6.163,5.012,6.199,6.382,5.096,5.095,6.299,6.482,5.166,5.166,6.377,6.57,5.167,12.291,279.185,29.28
4.824,164.795,164.795,164.795,164.795,164.795,164.795,1.576,8.539,164.795,1.458,0.255,3.959,6.795,1.952,1.127,10,2.005,1.092,2.006,1.414,2.022,1.587,3.879,4.704,3.774,7.356,1.149,7.439,0.988,7.761,0.827,3.07,1.967,15.39,5.583,0.081,0,0,1.241,15,3.871,3.952,3.911,0.926,5.87,1.119,39.268,3.814,4.499,3.69,4.295,4.478,3.69,3.598,4.263,4.455,3.626,3.531,4.252,4.474,3.464,3.452,17.956,6.491
6.041,211.88,211.88,211.88,211.88,211.88,211.88,1.932,11.587,211.88,1.575,0.497,5.155,8.987,1.99,1.181,16,2.011,1.104,2.014,1.526,2.84,1.941,4.207,5.033,4.126,10.455,1.605,10.867,1.413,11.64,1.211,4.261,2.719,15.531,5.586,0.084,0,0,1.467,24,4.165,4.265,4.217,1.224,7.855,1.534,57.279,4.139,4.833,4.045,4.662,4.836,4.074,3.986,4.671,4.864,4.044,3.943,4.665,4.886,3.907,4.576,23.915,9.439
5.658,211.88,211.88,188.338,211.88,211.88,211.88,1.877,11.604,211.88,1.461,0.462,5.121,9.025,1.958,1.181,11,2.005,1.118,2.006,1.43,2.283,1.826,3.997,4.781,3.952,9.813,1.277,9.205,1.107,9.297,1.018,3.469,2.351,15.391,5.583,0.088,1,3,1.349,19,3.989,4.064,3.996,1.065,7.375,1.307,55.22,3.912,4.587,3.85,4.509,4.69,3.938,3.805,4.509,4.725,3.85,3.699,4.395,4.63,3.631,4.204,17.92,9.187
6.824,211.88,211.88,211.88,211.88,211.88,211.88,1.994,12.254,211.88,1.589,0.502,5.472,9.932,2.009,1.274,18,2.022,1.118,2.028,1.649,2.731,1.987,4.179,5.05,4.076,9.555,1.764,9.83,1.527,9.482,1.282,4.118,2.755,15.925,5.562,0.077,0,3,1.483,22,4.171,4.248,4.197,1.384,7.697,1.699,87.362,4.114,4.822,4.0,4.659,4.864,4.031,3.946,4.641,4.845,4.004,3.904,4.675,4.924,3.879,4.448,20.074,9.008
4.959,211.88,211.88,211.88,211.88,211.88,211.88,1.867,11.648,211.88,1.576,0.491,5.337,9.075,1.994,1.181,12,2.017,1.114,2.02,1.048,2.182,1.862,4.161,5.026,4.135,9.609,1.529,10.065,1.43,10.597,1.323,3.72,2.581,15.559,5.579,0.078,0,0,1.458,19,4.092,4.196,4.155,1.144,7.601,1.438,39.268,4.103,4.823,4.063,4.758,4.939,4.103,4.025,4.767,4.974,4.008,3.922,4.682,4.914,3.835,4.601,20.178,10.227
4.824,164.795,164.795,179.756,179.756,164.795,164.795,1.576,8.389,164.795,1.458,0.255,4.038,6.814,1.958,1.127,8,2.006,1.091,2.007,1.372,2.022,1.588,3.812,4.73,3.718,7.298,1.308,7.241,1.211,7.423,0.916,2.812,1.85,15.39,5.583,0.075,0,0,1.242,15,3.832,3.9,3.884,1.058,6.026,1.299,39.268,3.782,4.512,3.661,4.3,4.488,3.657,3.583,4.268,4.464,3.576,3.504,4.262,4.494,3.381,3.638,20.093,6.516
6.638,235.422,235.422,235.422,235.422,235.422,235.422,1.936,13.194,235.422,1.579,0.576,5.796,9.978,1.991,1.22,16,2.012,1.107,2.014,1.274,2.802,1.944,4.229,5.093,4.148,10.999,1.663,11.604,1.479,12.484,1.261,4.297,2.791,15.488,5.582,0.089,0,0,1.536,24,4.175,4.28,4.208,1.272,8.254,1.58,41.374,4.125,4.863,4.032,4.683,4.88,4.087,3.978,4.687,4.894,4.057,3.935,4.689,4.928,3.924,4.798,20.005,9.946
4.824,188.338,188.338,188.338,188.338,188.338,188.338,1.596,10.222,188.338,1.485,0.446,4.57,7.786,1.955,1.127,10,2.009,1.104,2.008,0.972,2.041,1.609,3.941,4.778,3.843,8.41,1.218,8.766,1.067,9.833,0.869,3.448,2.134,15.338,5.25,0.092,0,0,1.375,15,3.904,3.997,3.91,0.967,6.397,1.168,23.363,3.81,4.535,3.678,4.324,4.537,3.723,3.593,4.276,4.48,3.668,3.531,4.287,4.551,3.528,3.683,14.974,7.304
4.824,188.338,188.338,188.338,188.338,188.338,188.338,1.612,9.709,188.338,1.507,0.473,4.53,7.916,1.973,1.13,11,2.007,1.111,2.007,1.675,2.143,1.646,3.984,4.797,3.88,8.604,1.248,9.213,1.103,9.86,0.931,3.599,2.179,15.352,5.63,0.09,1,0,1.417,15,3.944,4.037,3.968,0.993,6.693,1.217,41.803,3.881,4.589,3.756,4.414,4.616,3.731,3.645,4.314,4.508,3.693,3.58,4.332,4.563,3.616,3.832,18.605,7.447
5.398,164.795,164.795,164.795,164.795,164.795,164.795,1.576,8.639,164.795,1.457,0.256,3.933,6.805,1.95,1.127,10,2.005,1.094,2.005,1.452,2.022,1.587,3.913,4.697,3.803,7.861,1.16,8.013,1.003,8.706,0.829,3.352,2.096,15.39,5.582,0.086,0,0,1.241,15,3.891,3.978,3.922,0.92,5.998,1.121,39.268,3.829,4.493,3.702,4.293,4.475,3.707,3.605,4.26,4.452,3.652,3.542,4.246,4.469,3.506,3.458,17.185,6.735
6.032,223.651,223.651,223.651,223.651,223.651,223.651,1.928,12.277,200.109,1.579,0.576,5.433,9.254,1.972,1.22,12,1.991,1.097,2.0,1.242,2.802,1.943,4.206,5.069,4.13,10.451,1.644,11.229,1.443,12.182,1.269,4.201,2.708,15.488,5.582,0.087,0,0,1.536,18,4.147,4.254,4.191,1.296,7.849,1.576,59.469,4.109,4.841,4.018,4.677,4.876,4.068,3.963,4.675,4.885,4.025,3.912,4.659,4.897,3.889,4.611,21.876,9.754
4.824,164.795,164.795,164.795,164.795,164.795,164.795,1.574,8.639,164.795,1.463,0.255,3.933,6.805,1.949,1.127,12,2.006,1.093,2.005,1.588,2.06,1.589,3.902,4.698,3.817,7.861,1.157,7.913,1.006,8.851,0.81,3.357,2.038,15.389,5.574,0.086,0,0,1.239,15,3.891,3.978,3.922,0.92,5.998,1.121,39.268,3.823,4.492,3.698,4.289,4.469,3.707,3.622,4.272,4.459,3.661,3.552,4.235,4.461,3.516,3.458,17.185,6.684
6.824,235.422,235.422,235.422,235.422,235.422,235.422,1.996,13.227,235.422,1.592,0.646,6.069,11.064,2.02,1.36,20,2.037,1.164,2.034,1.61,2.759,1.99,4.257,5.145,4.15,10.116,1.909,10.719,1.667,10.374,1.371,4.341,2.877,16.016,5.562,0.078,0,6,1.585,24,4.214,4.306,4.253,1.454,8.382,1.777,96.187,4.187,4.913,4.062,4.734,4.953,4.087,3.996,4.696,4.893,4.075,3.971,4.774,5.03,3.963,4.802,20.672,9.939
6.0,176.567,176.567,176.567,176.567,176.567,176.567,1.93,10.351,164.795,1.496,0.464,4.507,8.107,1.99,1.181,14,2.01,1.104,2.012,1.673,2.696,1.968,4.064,4.93,3.972,8.433,1.566,8.362,1.37,8.262,1.198,3.786,2.54,15.824,5.562,0.074,0,0,1.431,16,4.096,4.15,4.112,1.343,6.622,1.615,89.299,4.015,4.709,3.917,4.564,4.758,3.937,3.869,4.549,4.757,3.894,3.809,4.539,4.775,3.767,3.901,20.132,7.62
7.125,282.506,282.506,282.506,282.506,282.506,282.506,1.996,15.153,282.506,1.582,0.648,7.244,13.214,2.026,1.534,24,2.06,1.217,2.052,1.423,2.909,1.991,4.387,5.37,4.257,11.289,2.125,13.375,1.967,12.781,1.577,4.529,3.168,16.003,5.562,0.084,0,12,1.579,24,4.294,4.414,4.351,1.592,9.702,1.93,113.837,4.289,5.101,4.163,4.847,5.064,4.163,4.066,4.744,4.958,4.115,4.019,4.784,4.995,4.096,5.51,24.249,10.203
5.569,235.422,235.422,200.109,235.422,235.422,235.422,1.784,11.89,235.422,1.671,0.472,5.705,10.148,1.955,1.232,14,2.016,1.119,2.026,1.301,2.233,1.733,4.147,5.023,4.083,9.971,1.494,10.162,1.389,11.244,1.113,3.816,2.678,15.679,5.582,0.089,0,6,1.42,20,4.042,4.154,4.092,1.133,8.073,1.365,70.336,4.055,4.799,3.957,4.597,4.792,3.989,3.851,4.593,4.819,3.922,3.784,4.555,4.795,3.775,4.574,17.936,10.172
5.215,211.88,211.88,211.88,211.88,211.88,211.88,1.888,11.792,200.109,1.576,0.492,5.306,9.042,1.997,1.25,12,2.018,1.116,2.022,1.342,2.251,1.89,4.228,5.065,4.188,9.632,1.663,10.266,1.511,10.867,1.422,4.189,2.848,15.889,5.579,0.076,0,0,1.465,19,4.161,4.26,4.217,1.288,7.599,1.559,64.979,4.171,4.863,4.118,4.8,4.979,4.171,4.1,4.837,5.044,4.102,4.027,4.754,4.981,3.949,4.518,19.871,10.381
5.796,211.88,211.88,176.567,211.88,211.88,211.88,1.784,10.912,211.88,1.569,0.447,5.121,9.073,1.955,1.181,12,2.015,1.118,2.021,1.396,2.166,1.732,4.04,4.854,3.97,9.404,1.317,9.489,1.186,9.739,1.034,3.575,2.453,15.444,5.582,0.088,0,3,1.407,17,3.991,4.085,4.02,1.064,7.396,1.286,61.511,3.946,4.646,3.863,4.513,4.704,3.896,3.762,4.438,4.659,3.784,3.663,4.366,4.571,3.666,4.204,17.896,9.063
5.921,188.338,188.338,153.024,188.338,188.338,188.338,1.784,10.024,188.338,1.46,0.265,4.53,7.949,1.954,1.127,10,2.005,1.095,2.006,1.413,2.115,1.732,3.959,4.754,3.906,8.895,1.193,8.263,1.071,9.069,0.945,3.412,2.309,15.391,5.582,0.086,0,0,1.253,16,3.938,4.015,3.956,0.993,6.693,1.213,52.686,3.877,4.556,3.8,4.442,4.63,3.84,3.707,4.37,4.585,3.718,3.597,4.288,4.504,3.559,3.832,17.387,8.686
5.638,211.88,211.88,176.567,211.88,211.88,211.88,1.784,10.943,211.88,1.586,0.434,5.121,9.073,1.955,1.181,12,2.015,1.119,2.021,1.369,2.181,1.733,4.055,4.88,3.993,9.417,1.343,9.227,1.219,9.994,1.038,3.635,2.431,15.542,5.582,0.087,0,3,1.391,18,3.991,4.087,4.026,1.064,7.396,1.288,61.511,3.968,4.673,3.876,4.535,4.74,3.907,3.77,4.442,4.648,3.811,3.687,4.43,4.66,3.673,4.204,17.846,9.652
6.06,235.422,235.422,235.422,235.422,235.422,235.422,1.981,12.15,235.422,1.581,0.581,5.876,10.158,2.0,1.408,16,2.004,1.112,2.015,1.546,2.859,1.983,4.263,5.204,4.212,9.827,1.849,10.388,1.756,10.795,1.535,4.331,2.902,16.03,5.562,0.074,0,0,1.58,16,4.192,4.284,4.263,1.472,8.503,1.751,78.537,4.227,4.984,4.147,4.85,5.057,4.155,4.072,4.796,5.007,4.082,4.005,4.766,4.981,3.998,5.017,29.716,10.561
6.046,164.795,164.795,164.795,164.795,164.795,164.795,1.929,9.418,117.711,1.499,0.472,4.146,7.28,1.973,1.181,8,1.998,1.1,2.001,1.636,2.696,1.967,4.042,4.887,3.953,7.915,1.568,8.173,1.312,7.986,1.203,3.704,2.467,15.824,5.562,0.073,0,0,1.44,8,4.067,4.131,4.101,1.359,6.161,1.596,114.726,3.999,4.673,3.902,4.565,4.757,3.928,3.861,4.557,4.775,3.855,3.781,4.497,4.733,3.707,3.705,21.332,7.644
6.538,223.651,223.651,223.651,223.651,223.651,223.651,1.922,12.192,211.88,1.579,0.576,5.433,9.341,1.977,1.22,12,2.011,1.099,2.013,1.293,2.802,1.937,4.188,5.048,4.101,10.389,1.653,10.814,1.436,11.703,1.254,4.178,2.689,15.488,5.582,0.087,0,0,1.535,16,4.146,4.243,4.183,1.302,7.894,1.577,50.421,4.097,4.823,3.997,4.648,4.846,4.027,3.935,4.645,4.852,3.994,3.891,4.633,4.866,3.878,4.611,22.068,9.129
4.824,164.795,164.795,164.795,164.795,164.795,164.795,1.568,8.928,164.795,1.449,0.414,3.918,6.947,1.963,1.126,10,1.999,1.104,2.012,1.508,2.0,1.667,4.025,4.776,3.891,9.269,1.278,10.359,1.104,10.414,0.887,4.591,3.142,16.09,6.687,0.106,0,0,1.181,14,3.953,4.061,3.983,0.995,6.818,1.216,21.258,3.916,4.595,3.797,4.368,4.535,3.762,3.657,4.302,4.475,3.714,3.595,4.343,4.549,3.582,4.055,49.699,7.391
5.939,211.88,211.88,211.88,211.88,211.88,211.88,1.982,11.717,211.88,1.581,0.508,5.379,9.474,2.002,1.289,16,2.011,1.111,2.016,1.614,2.753,1.983,4.182,5.083,4.11,9.413,1.732,9.645,1.572,9.701,1.367,4.113,2.767,15.932,5.562,0.075,0,0,1.491,18,4.16,4.237,4.202,1.396,7.792,1.686,78.537,4.136,4.862,4.046,4.723,4.922,4.067,3.986,4.695,4.906,4.008,3.922,4.671,4.897,3.898,4.565,24.285,9.329
4.824,200.109,200.109,200.109,200.109,200.109,200.109,1.639,9.62,200.109,1.564,0.445,4.558,7.669,1.95,1.136,10,2.007,1.096,2.007,1.328,2.036,1.66,4.042,4.877,3.972,8.412,1.292,9.024,1.197,10.329,1.046,3.583,2.194,15.421,5.716,0.087,0,0,1.417,15,3.939,4.058,4.004,1.013,6.542,1.196,24.382,3.956,4.667,3.852,4.527,4.748,3.88,3.752,4.415,4.61,3.791,3.663,4.387,4.606,3.62,3.844,15.976,8.932
