pXC50,P_VSA_LogP_4,SsssCH,TPSA.NO.,TPSA.Tot.,P_VSA_p_2,IC1,LLS_01,MATS4s,BAC,CATS2D_08_AL,Eta_FL,Eta_sh_p,HNar,HVcpx,JGI5,JGT,nDB,NdssC,SM05_EA.bo.,JGI6,C.040,N.072,NdO,O.058,Psi_e_A,Psi_i_A,P_VSA_e_5,P_VSA_v_2,SAacc,SdO,SpMax2_Bh.s.,IC3,SpMax7_Bh.s.,ZM1Kup,AECC,ATSC5s,BIC3,Eig01_AEA.dm.,Eig04_AEA.dm.,Eig05_AEA.bo.,Eig05_EA.bo.,Eig06_EA.bo.,Eta_epsi_A,Eta_F_A,GGI1,GNar,IVDE,JGI1,SM03_EA.bo.,SM15_AEA.ri.,SpDiam_AEA.dm.,SPI,SpMax_AEA.dm.,X0A,ZM2Kup,ZM2MulPer,ZM2Per,ZM2V,ICR,IDE,MSD,AAC
5.554,84.844,-0.945,116.76,116.76,183.15,3.263,0.0,-0.035,87.0,9,7.492,0.177,1.778,3.755,0.022,0.463,3,3,7.441,0.019,2,3,3,3,7.829,2.329,129.118,183.15,183.15,39.82,7.429,5.092,4.567,534.09,15.025,201.008,0.771,4.075,3.167,3.763,2.999,2.54,0.542,0.931,9.5,1.916,1.533,0.232,4.771,2.999,6.075,24.61,4.075,0.736,461.612,467.901,667.22,436.0,3.273,4.0,8.694,1.415
4.9,197.159,-3.604,149.92,149.92,213.05,3.533,0.33,-0.112,51.0,17,12.477,0.1,1.975,3.793,0.025,0.405,6,5,8.243,0.017,6,5,6,6,7.881,2.381,150.87,213.05,211.15,80.994,7.44,5.587,4.902,818.347,14.868,275.207,0.809,4.036,3.584,3.908,3.245,3.099,0.591,1.263,10.0,2.111,1.412,0.169,5.316,3.245,6.036,26.776,4.036,0.699,747.332,754.832,1106.53,711.0,3.194,4.016,9.315,1.539
5.1,149.248,-3.302,132.85,132.85,187.905,3.464,0.33,-0.116,50.0,17,11.924,0.109,1.975,3.797,0.026,0.411,5,5,8.232,0.017,5,5,5,5,7.792,2.292,125.725,187.905,186.006,69.046,7.43,5.563,4.764,762.612,14.846,257.94,0.805,4.036,3.584,3.908,3.244,3.096,0.576,1.217,10.0,2.113,1.42,0.172,5.316,3.244,6.036,26.375,4.036,0.699,715.9,724.767,1062.98,683.0,3.201,4.015,9.254,1.504
4.9,247.836,-3.931,187.22,187.22,280.878,3.598,0.17,-0.128,86.0,21,13.336,0.117,1.933,3.821,0.024,0.418,7,7,8.325,0.017,7,5,7,7,7.974,2.474,218.698,280.878,278.979,94.15,7.442,5.763,7.42,930.232,15.121,338.214,0.821,4.036,3.723,3.91,3.258,3.192,0.599,1.312,11.5,2.08,1.455,0.18,5.427,3.258,6.036,32.677,4.036,0.706,830.259,833.113,1220.12,786.0,3.207,4.08,9.847,1.56
5.8,167.31,-4.812,149.84,149.84,227.464,3.602,0.17,-0.072,95.0,12,11.778,0.163,1.84,3.604,0.023,0.435,5,4,8.108,0.018,5,4,5,5,8.007,2.507,168.408,227.464,225.565,64.847,7.438,5.456,4.901,723.116,12.957,234.235,0.814,3.885,3.473,3.873,3.186,3.022,0.594,1.296,9.5,1.993,1.497,0.194,5.156,3.186,5.885,28.086,3.885,0.722,632.447,641.96,926.19,601.0,2.994,3.823,8.318,1.553
8.301,139.415,-2.731,149.34,149.34,210.684,3.79,0.17,-0.144,26.0,24,13.068,0.075,2.026,3.995,0.021,0.38,3,3,8.448,0.016,3,3,3,3,7.756,2.256,118.118,210.684,192.244,42.511,7.425,5.875,4.885,773.893,17.058,207.653,0.852,3.919,3.11,3.92,3.439,3.266,0.588,1.24,9.0,2.136,1.31,0.155,5.373,3.439,5.919,22.132,3.919,0.693,760.251,769.201,1120.63,724.0,3.51,4.229,10.085,1.54
4.6,208.947,-6.184,315.11,315.11,434.352,3.63,0.17,-0.187,204.0,14,12.924,0.175,1.803,4.245,0.022,0.441,8,8,8.17,0.016,7,7,7,7,8.041,2.541,176.014,434.352,417.567,93.301,7.434,6.057,7.421,928.685,20.82,409.927,0.85,3.903,3.697,3.9,3.14,3.057,0.586,1.249,12.5,1.958,1.509,0.195,5.33,3.14,5.903,42.001,3.903,0.729,807.455,809.013,1168.81,762.0,3.742,4.464,11.799,1.6
4.6,208.947,-7.006,306.32,306.32,419.466,3.564,0.17,-0.184,204.0,16,13.006,0.166,1.829,4.224,0.021,0.426,8,8,8.234,0.016,7,7,7,7,7.982,2.482,176.014,419.466,402.68,95.985,7.434,5.991,7.42,955.997,20.719,431.195,0.831,4.011,3.728,3.955,3.22,3.103,0.579,1.245,12.5,1.985,1.507,0.184,5.387,3.22,6.011,43.025,4.011,0.724,847.933,848.883,1235.83,801.0,3.714,4.44,11.616,1.58
5.1,263.942,-7.789,297.32,297.32,416.187,3.483,0.17,-0.139,307.0,16,13.717,0.198,1.788,4.24,0.023,0.466,9,9,8.334,0.018,8,9,9,9,8.04,2.54,237.304,416.187,399.401,121.431,7.435,6.004,7.424,1099.27,20.536,526.567,0.822,4.011,3.777,4.058,3.257,3.198,0.587,1.299,16.0,1.958,1.626,0.219,5.539,3.257,6.011,50.109,4.011,0.731,949.859,947.037,1375.58,890.0,3.729,4.472,11.999,1.583
5.0,268.646,-6.087,331.5,356.8,470.981,3.559,0.17,-0.146,268.0,20,13.504,0.183,1.771,4.064,0.02,0.442,10,10,7.826,0.015,9,9,9,9,8.102,2.602,226.304,470.981,470.981,121.8,7.434,5.921,7.423,1060.04,18.657,501.196,0.818,4.093,3.79,3.875,3.183,3.0,0.591,1.342,15.0,1.921,1.502,0.217,5.247,3.183,6.093,47.065,4.093,0.736,866.46,874.862,1248.27,818.0,3.573,4.272,10.821,1.66
5.0,238.797,-5.65,302.4,327.7,427.825,3.491,0.17,-0.131,239.0,21,12.522,0.174,1.784,4.07,0.019,0.424,9,9,7.768,0.016,8,8,8,8,8.018,2.518,201.159,427.825,427.825,109.135,7.434,5.915,7.423,985.969,18.667,433.683,0.816,4.093,3.789,3.875,3.182,2.99,0.576,1.255,14.0,1.928,1.479,0.206,5.182,3.182,6.093,45.135,4.093,0.734,817.134,827.363,1180.81,774.0,3.579,4.276,10.819,1.613
6.0,238.797,-5.636,302.4,327.7,427.825,3.468,0.17,-0.124,239.0,22,12.522,0.171,1.787,4.077,0.019,0.419,9,9,7.768,0.015,8,8,8,8,8.002,2.502,201.159,427.825,427.825,109.233,7.434,5.928,7.422,989.969,18.761,452.387,0.815,4.093,3.789,3.875,3.183,2.996,0.572,1.244,14.0,1.929,1.471,0.203,5.182,3.183,6.093,45.598,4.093,0.733,821.134,831.526,1186.61,778.0,3.567,4.285,10.924,1.603
6.06,307.535,-9.723,356.36,381.66,536.438,3.525,0.17,-0.098,475.0,11,10.849,0.258,1.661,4.35,0.023,0.504,9,9,7.72,0.017,9,8,9,9,8.266,2.766,311.671,536.438,536.438,116.364,7.447,5.988,7.424,1009.05,22.435,569.88,0.84,4.093,3.803,3.894,3.11,2.975,0.593,1.192,15.0,1.831,1.576,0.242,5.173,3.11,6.093,51.405,4.093,0.757,777.724,782.941,1119.72,730.0,3.859,4.58,12.597,1.663
4.328,179.097,-4.646,197.03,222.33,276.945,3.412,0.17,-0.116,164.0,18,9.726,0.168,1.82,4.001,0.023,0.421,6,6,7.689,0.017,6,6,6,6,7.907,2.407,150.87,276.945,276.945,81.762,7.433,5.781,5.007,770.187,17.389,341.401,0.828,4.093,3.759,3.851,3.133,3.03,0.564,1.08,10.5,1.973,1.5,0.184,5.037,3.133,6.093,35.147,4.093,0.726,665.368,676.919,983.17,635.0,3.482,4.196,9.958,1.565
5.085,179.097,-4.646,197.03,222.33,276.945,3.412,0.17,-0.116,164.0,18,9.726,0.168,1.82,4.001,0.023,0.421,6,6,7.689,0.017,6,6,6,6,7.907,2.407,150.87,276.945,276.945,81.762,7.433,5.781,5.007,770.187,17.389,341.401,0.828,4.093,3.759,3.851,3.133,3.03,0.564,1.08,10.5,1.973,1.5,0.184,5.037,3.133,6.093,35.147,4.093,0.726,665.368,676.919,983.17,635.0,3.482,4.196,9.958,1.565
4.523,179.097,-4.646,197.03,222.33,276.945,3.412,0.17,-0.116,164.0,18,9.726,0.168,1.82,4.001,0.023,0.421,6,6,7.689,0.017,6,6,6,6,7.907,2.407,150.87,276.945,276.945,81.762,7.433,5.781,5.007,770.187,17.389,341.401,0.828,4.093,3.759,3.851,3.133,3.03,0.564,1.08,10.5,1.973,1.5,0.184,5.037,3.133,6.093,35.147,4.093,0.726,665.368,676.919,983.17,635.0,3.482,4.196,9.958,1.565
4.0,0.0,0.943,15.27,15.27,21.135,3.073,0.5,0.041,11.0,1,7.518,0.055,2.031,3.234,0.016,0.365,0,0,7.537,0.01,0,0,0,0,7.841,2.341,0.0,66.015,66.015,0.0,7.999,4.442,4.428,570.311,9.727,120.425,0.713,4.471,2.822,3.654,2.855,2.38,0.58,0.966,5.5,2.142,1.416,0.149,4.691,2.855,6.471,13.215,4.471,0.692,452.873,445.289,675.34,421.0,2.661,3.466,6.346,1.402
4.0,0.0,1.991,24.5,24.5,32.135,3.011,0.5,0.035,3.0,3,7.323,0.033,2.138,3.213,0.014,0.282,0,0,7.314,0.009,0,0,0,0,7.355,1.855,11.0,32.135,32.135,0.0,4.8,4.613,3.83,341.714,9.581,36.195,0.738,3.592,2.456,3.249,2.381,2.17,0.522,0.892,3.5,2.2,1.058,0.1,4.443,2.381,5.592,7.539,3.592,0.679,359.419,371.126,544.46,351.0,2.66,3.411,6.089,1.269
7.244,59.699,0.0,43.86,43.86,59.663,3.147,0.33,-0.078,39.0,7,8.816,0.149,1.924,3.749,0.028,0.471,2,2,7.94,0.021,2,2,2,2,7.616,2.116,50.29,59.663,59.663,25.981,7.426,5.251,4.399,542.813,14.262,86.686,0.794,3.999,3.416,3.719,3.064,2.747,0.552,0.948,9.5,2.062,1.565,0.207,5.066,3.064,5.999,22.18,3.999,0.708,529.097,561.29,822.73,528.0,3.121,3.965,8.605,1.46
4.0,0.0,2.17,15.27,15.27,21.135,2.977,0.5,-0.017,2.0,1,6.935,0.045,2.133,3.376,0.013,0.283,0,0,7.299,0.009,0,0,0,0,7.347,1.847,0.0,21.135,21.135,0.0,4.806,4.711,3.835,328.181,11.25,34.896,0.75,3.591,2.456,3.25,2.381,2.158,0.52,0.809,3.5,2.194,1.043,0.097,4.443,2.381,5.591,7.721,3.591,0.68,353.736,375.014,551.03,357.0,2.816,3.616,6.802,1.263
4.0,0.0,2.16,15.27,15.27,21.135,2.888,0.5,0.024,2.0,1,6.879,0.034,2.143,3.177,0.014,0.289,0,0,7.299,0.01,0,0,0,0,7.3,1.8,0.0,21.135,21.135,0.0,4.741,4.442,3.83,293.978,9.5,33.761,0.713,3.592,2.439,3.248,2.381,2.169,0.506,0.848,3.5,2.207,1.075,0.103,4.443,2.381,5.592,7.179,3.592,0.678,328.873,342.055,502.03,325.0,2.644,3.367,5.918,1.17
6.7,59.699,0.425,80.91,80.91,105.459,3.371,0.33,-0.039,21.0,11,8.55,0.085,2.0,3.732,0.024,0.374,2,2,7.884,0.016,2,2,2,2,7.557,2.057,61.29,105.459,88.673,26.229,7.426,5.548,4.323,530.808,14.341,77.925,0.835,3.688,3.121,3.742,2.843,2.765,0.541,0.912,7.5,2.105,1.282,0.167,4.913,2.843,5.688,17.485,3.688,0.698,500.156,507.781,736.7,477.0,3.168,3.974,8.651,1.427
4.0,0.0,1.982,15.27,15.27,21.135,2.99,0.5,0.043,2.0,1,6.911,0.048,2.143,3.177,0.014,0.289,0,0,7.299,0.01,0,0,0,0,7.37,1.87,0.0,21.135,21.135,0.0,4.805,4.506,3.83,320.181,9.5,33.423,0.73,3.592,2.458,3.248,2.381,2.169,0.529,0.852,3.5,2.207,1.075,0.103,4.443,2.381,5.592,7.179,3.592,0.678,345.736,367.175,540.43,349.0,2.644,3.367,5.918,1.285
4.0,0.0,2.177,15.27,15.27,21.135,2.81,0.5,0.045,0.0,1,6.822,0.0,2.203,3.163,0.014,0.251,0,0,7.083,0.009,0,0,0,0,7.305,1.805,0.0,21.135,21.135,0.0,4.751,4.216,3.674,285.978,9.448,30.154,0.683,3.591,2.405,3.246,2.38,2.168,0.51,0.854,3.0,2.237,0.85,0.091,4.27,2.38,5.591,0.0,3.591,0.671,317.873,329.83,484.1,314.0,2.66,3.343,5.798,1.178
4.0,29.85,0.971,32.34,32.34,46.28,3.14,0.5,0.124,5.0,5,7.404,0.068,2.09,3.192,0.015,0.314,1,1,7.44,0.013,1,1,1,1,7.541,2.041,25.145,46.28,46.28,13.237,4.918,4.617,3.884,379.917,9.484,53.754,0.748,3.665,2.893,3.42,2.637,2.367,0.553,0.946,4.0,2.18,1.215,0.114,4.575,2.637,5.665,10.013,3.665,0.684,389.936,409.739,604.21,389.0,2.638,3.358,5.908,1.397
5.2,234.092,-7.848,350.46,350.46,482.01,3.669,0.17,-0.084,348.0,16,15.137,0.196,1.787,4.359,0.022,0.462,11,9,8.426,0.017,7,8,10,8,8.084,2.584,262.906,482.01,459.677,132.072,7.449,6.101,7.424,1226.63,22.486,558.335,0.825,4.011,3.777,4.058,3.286,3.256,0.598,1.347,17.0,1.953,1.615,0.218,5.629,3.286,6.011,54.239,4.011,0.731,1064.33,1053.92,1523.86,988.0,3.844,4.583,12.879,1.628
4.699,388.045,-12.392,510.34,535.64,709.398,3.475,0.17,-0.16,666.0,25,17.762,0.195,1.767,4.744,0.024,0.453,14,14,8.32,0.016,13,13,13,13,8.108,2.608,326.884,709.398,709.398,179.782,7.435,6.275,7.428,1505.52,29.708,737.858,0.808,4.093,3.913,4.058,3.325,3.225,0.588,1.428,20.5,1.931,1.542,0.205,5.682,3.325,6.093,74.631,4.093,0.735,1249.72,1254.52,1813.2,1177.0,4.278,4.963,16.282,1.644
5.1,208.947,-5.949,233.48,258.78,333.762,3.587,0.17,-0.145,144.0,16,11.003,0.167,1.82,3.72,0.022,0.444,7,7,8.079,0.014,7,7,7,7,8.031,2.531,176.014,333.762,316.976,94.449,7.434,5.714,7.421,846.652,14.407,370.034,0.824,4.093,3.763,3.881,3.132,2.968,0.593,1.245,12.0,1.973,1.5,0.211,5.239,3.132,6.093,34.31,4.093,0.726,721.849,732.791,1055.98,687.0,3.043,3.874,8.634,1.65
7.041,388.045,-13.752,519.13,544.43,724.285,3.566,0.17,-0.155,666.0,28,19.487,0.184,1.788,4.738,0.023,0.438,14,14,8.479,0.015,13,13,13,13,8.079,2.579,326.884,724.285,724.285,181.31,7.435,6.285,7.428,1564.21,29.842,729.43,0.802,4.093,3.897,4.059,3.298,3.264,0.588,1.507,20.5,1.95,1.533,0.193,5.77,3.298,6.093,76.753,4.093,0.731,1325.53,1333.94,1933.56,1254.0,4.266,4.959,16.345,1.636
6.77,388.045,-12.524,519.13,569.73,724.285,3.386,0.17,-0.147,844.0,23,15.358,0.235,1.704,4.74,0.023,0.494,14,14,8.238,0.016,13,13,13,13,8.141,2.641,326.884,724.285,724.285,177.837,7.435,6.225,7.428,1457.07,29.731,755.197,0.805,4.737,3.913,4.057,3.242,3.221,0.584,1.326,22.0,1.876,1.633,0.232,5.651,3.242,6.737,77.807,4.737,0.748,1184.24,1200.32,1725.05,1121.0,4.278,4.972,16.353,1.665
5.6,417.894,-16.424,431.8,482.4,607.978,3.74,0.17,-0.136,521.0,46,23.412,0.158,1.859,4.692,0.023,0.435,16,14,8.88,0.016,14,14,14,14,7.974,2.474,352.029,607.978,574.407,203.813,7.435,6.008,7.428,1788.55,29.246,782.102,0.751,4.313,3.998,4.235,3.486,3.486,0.593,1.633,23.5,2.017,1.505,0.191,6.021,3.486,6.313,79.044,4.313,0.718,1581.74,1604.32,2343.04,1510.0,3.984,4.94,16.913,1.638
4.77,388.045,-14.023,519.13,544.43,724.285,3.527,0.17,-0.153,666.0,28,19.583,0.184,1.777,4.723,0.021,0.433,14,14,8.314,0.015,13,13,13,13,8.086,2.586,326.884,724.285,724.285,181.418,7.435,6.181,7.428,1550.21,29.663,730.926,0.788,4.093,3.892,4.058,3.298,3.25,0.585,1.524,20.5,1.934,1.523,0.195,5.682,3.298,6.093,76.717,4.093,0.734,1295.53,1303.74,1879.43,1224.0,4.259,4.946,16.212,1.63
5.721,388.045,-12.379,510.34,535.64,709.398,3.475,0.17,-0.16,666.0,27,17.762,0.195,1.767,4.751,0.024,0.453,14,14,8.32,0.015,13,13,13,13,8.108,2.608,326.884,709.398,709.398,179.89,7.435,6.3,7.428,1505.52,29.677,737.285,0.811,4.093,3.911,4.067,3.361,3.223,0.588,1.427,20.5,1.931,1.542,0.205,5.682,3.361,6.093,74.62,4.093,0.735,1249.72,1254.52,1813.2,1177.0,4.28,4.963,16.285,1.644
5.0,388.045,-13.139,519.13,544.43,724.285,3.465,0.17,-0.154,666.0,26,17.65,0.192,1.769,4.749,0.024,0.454,14,14,8.314,0.015,13,13,13,13,8.1,2.6,326.884,724.285,724.285,179.499,7.435,6.259,7.428,1504.21,29.753,744.301,0.804,4.093,3.868,4.061,3.292,3.223,0.585,1.41,21.0,1.932,1.539,0.208,5.682,3.292,6.093,75.106,4.093,0.735,1246.53,1252.03,1806.28,1175.0,4.277,4.965,16.357,1.637
5.0,179.097,-4.694,205.82,231.12,291.831,3.386,0.17,-0.126,166.0,15,9.61,0.171,1.797,4.009,0.021,0.417,6,6,7.588,0.015,6,6,6,6,7.937,2.437,150.87,291.831,291.831,80.616,7.433,5.667,5.007,750.875,17.434,339.064,0.815,4.093,3.756,3.82,3.117,2.971,0.562,1.079,10.5,1.943,1.482,0.191,4.956,3.117,6.093,34.875,4.093,0.731,636.171,647.689,932.17,607.0,3.481,4.204,10.045,1.565
5.658,388.045,-13.914,519.13,544.43,724.285,3.527,0.17,-0.153,666.0,28,19.583,0.184,1.777,4.737,0.021,0.433,14,14,8.314,0.015,13,13,13,13,8.086,2.586,326.884,724.285,724.285,181.239,7.435,6.181,7.428,1550.21,29.842,731.12,0.788,4.093,3.883,4.058,3.298,3.251,0.585,1.519,20.5,1.934,1.523,0.195,5.682,3.298,6.093,76.753,4.093,0.734,1295.53,1303.74,1879.43,1224.0,4.266,4.958,16.348,1.63
5.721,388.045,-12.515,519.13,544.43,724.285,3.443,0.17,-0.161,666.0,25,17.658,0.195,1.756,4.761,0.023,0.448,14,14,8.209,0.015,13,13,13,13,8.116,2.616,326.884,724.285,724.285,178.373,7.435,6.154,7.428,1488.21,29.854,736.699,0.792,4.093,3.855,4.031,3.257,3.224,0.585,1.412,20.5,1.915,1.531,0.207,5.613,3.257,6.093,74.754,4.093,0.738,1220.53,1225.09,1760.86,1149.0,4.28,4.976,16.5,1.637
4.6,234.092,-7.528,318.63,318.63,440.724,3.56,0.17,-0.136,313.0,16,14.061,0.194,1.794,4.288,0.022,0.457,9,9,8.339,0.018,7,8,8,8,7.989,2.489,212.159,440.724,423.939,110.384,7.435,6.024,7.422,1094.49,21.225,518.966,0.819,4.011,3.777,4.058,3.256,3.198,0.58,1.288,16.0,1.959,1.613,0.213,5.539,3.256,6.011,51.117,4.011,0.73,963.181,962.013,1396.68,904.0,3.768,4.514,12.341,1.58
5.0,388.045,-12.509,519.13,544.43,724.285,3.443,0.17,-0.161,666.0,25,17.658,0.195,1.756,4.752,0.023,0.448,14,14,8.209,0.014,13,13,13,13,8.116,2.616,326.884,724.285,724.285,178.384,7.435,6.138,7.428,1488.21,29.823,736.726,0.789,4.093,3.854,4.045,3.268,3.223,0.585,1.412,20.5,1.915,1.531,0.207,5.613,3.268,6.093,74.749,4.093,0.738,1220.53,1225.09,1760.86,1149.0,4.283,4.972,16.47,1.637
5.796,388.045,-13.422,519.13,544.43,724.285,3.53,0.17,-0.153,666.0,29,18.831,0.184,1.788,4.736,0.023,0.447,14,14,8.553,0.015,13,13,13,13,8.069,2.569,326.884,724.285,724.285,181.028,7.435,6.401,7.428,1554.21,29.743,736.884,0.816,4.093,3.879,4.063,3.384,3.251,0.585,1.46,21.5,1.95,1.533,0.203,5.811,3.384,6.093,76.798,4.093,0.731,1312.53,1320.71,1911.0,1241.0,4.266,4.956,16.343,1.63
4.8,110.367,-3.16,92.96,92.96,144.277,3.49,0.33,-0.135,37.0,16,11.367,0.111,1.97,3.664,0.023,0.408,4,3,8.166,0.016,3,3,3,3,7.769,2.269,118.118,144.277,142.378,41.831,7.425,5.537,4.75,621.312,13.386,204.126,0.831,4.022,3.311,3.868,3.22,2.884,0.575,1.231,8.0,2.109,1.423,0.163,5.19,3.22,6.022,21.784,4.022,0.7,599.041,610.659,896.9,576.0,3.029,3.865,8.219,1.465
4.0,0.0,1.991,24.5,24.5,32.135,3.011,0.5,0.035,3.0,3,7.323,0.033,2.138,3.213,0.014,0.282,0,0,7.314,0.009,0,0,0,0,7.355,1.855,11.0,32.135,32.135,0.0,4.8,4.613,3.83,341.714,9.581,36.195,0.738,3.592,2.456,3.249,2.381,2.17,0.522,0.892,3.5,2.2,1.058,0.1,4.443,2.381,5.592,7.539,3.592,0.679,359.419,371.126,544.46,351.0,2.66,3.411,6.089,1.269
5.0,238.797,-5.788,302.4,327.7,427.825,3.557,0.17,-0.142,239.0,21,12.517,0.183,1.775,4.043,0.02,0.44,9,9,7.768,0.016,8,8,8,8,8.066,2.566,201.159,427.825,427.825,108.675,7.434,5.827,7.422,973.969,18.444,458.095,0.814,4.093,3.789,3.875,3.182,2.998,0.586,1.287,14.0,1.925,1.502,0.215,5.182,3.182,6.093,43.751,4.093,0.735,805.134,814.882,1163.63,762.0,3.599,4.259,10.553,1.644
4.301,208.947,-6.2,273.3,298.6,384.67,3.514,0.17,-0.134,263.0,16,11.527,0.196,1.765,4.12,0.02,0.441,8,8,7.756,0.016,7,7,7,7,8.014,2.514,176.014,384.67,384.67,94.328,7.434,5.727,7.421,893.9,18.883,407.559,0.806,4.093,3.788,3.914,3.188,3.031,0.576,1.191,13.0,1.921,1.524,0.21,5.147,3.188,6.093,42.89,4.093,0.737,755.159,766.582,1098.35,717.0,3.604,4.328,10.908,1.615
4.7,59.699,0.425,80.91,80.91,105.459,3.371,0.33,-0.039,21.0,11,8.55,0.085,2.0,3.732,0.024,0.374,2,2,7.884,0.016,2,2,2,2,7.557,2.057,61.29,105.459,88.673,26.229,7.426,5.548,4.323,530.808,14.341,77.925,0.835,3.688,3.121,3.742,2.843,2.765,0.541,0.912,7.5,2.105,1.282,0.167,4.913,2.843,5.688,17.485,3.688,0.698,500.156,507.781,736.7,477.0,3.168,3.974,8.651,1.427
4.824,388.045,-14.776,510.34,535.64,709.398,3.518,0.17,-0.156,663.0,31,19.57,0.178,1.803,4.725,0.022,0.431,14,14,8.526,0.016,13,13,13,13,8.042,2.542,326.884,709.398,709.398,184.297,7.435,6.145,7.428,1591.52,29.865,754.484,0.779,4.093,3.913,4.114,3.384,3.298,0.584,1.506,20.5,1.967,1.531,0.186,5.807,3.384,6.093,77.885,4.093,0.728,1366.01,1373.7,2000.34,1293.0,4.247,4.953,16.272,1.622
6.0,238.797,-5.596,302.4,327.7,427.825,3.443,0.17,-0.122,239.0,22,12.522,0.168,1.789,4.088,0.02,0.414,9,9,7.768,0.015,8,8,8,8,7.988,2.488,201.159,427.825,427.825,109.389,7.434,5.97,7.423,993.969,18.838,430.555,0.817,4.093,3.789,3.875,3.182,2.991,0.57,1.234,14.0,1.93,1.463,0.2,5.182,3.182,6.093,46.041,4.093,0.733,825.134,835.686,1192.33,782.0,3.561,4.292,11.031,1.594
4.9,179.097,-3.631,149.92,149.92,213.05,3.352,0.17,-0.096,72.0,20,12.438,0.106,1.957,3.943,0.023,0.389,6,6,8.295,0.017,6,5,6,6,7.781,2.281,150.87,213.05,211.15,83.687,7.43,5.827,4.901,850.347,17.083,277.779,0.816,4.036,3.715,3.909,3.257,3.188,0.563,1.209,10.5,2.087,1.4,0.159,5.373,3.257,6.036,31.433,4.036,0.703,789.593,795.707,1168.84,752.0,3.424,4.187,10.323,1.469
8.201,473.147,-13.375,434.29,484.89,648.568,3.714,0.17,-0.115,595.0,15,16.306,0.217,1.726,4.549,0.021,0.476,12,12,8.135,0.016,12,10,12,12,8.212,2.712,387.106,648.568,631.782,160.413,7.472,5.822,7.428,1406.44,25.702,728.244,0.773,4.093,3.846,4.003,3.255,3.22,0.607,1.438,20.0,1.891,1.554,0.233,5.527,3.255,6.093,66.9,4.093,0.744,1125.85,1140.27,1629.5,1063.0,4.026,4.786,14.634,1.708
6.2,388.045,-14.587,550.71,550.71,757.856,3.591,0.17,-0.152,709.0,31,21.612,0.183,1.8,4.739,0.022,0.448,14,14,8.785,0.016,13,13,13,13,8.04,2.54,326.884,757.856,724.285,184.378,7.435,6.097,7.428,1642.01,29.731,744.224,0.766,3.969,3.837,4.14,3.384,3.287,0.583,1.567,23.5,1.963,1.53,0.206,5.941,3.384,5.969,81.422,3.969,0.729,1423.72,1426.13,2067.0,1343.0,4.247,4.968,16.596,1.592
6.347,388.045,-14.457,519.13,544.43,724.285,3.572,0.17,-0.149,666.0,30,19.454,0.18,1.802,4.73,0.023,0.436,14,14,8.568,0.015,13,13,13,13,8.053,2.553,326.884,724.285,724.285,182.801,7.435,6.36,7.428,1584.21,29.777,737.789,0.808,4.093,3.908,4.082,3.298,3.291,0.586,1.5,20.5,1.966,1.534,0.188,5.829,3.298,6.093,77.522,4.093,0.728,1357.53,1366.2,1987.93,1286.0,4.258,4.95,16.243,1.629
4.0,0.0,0.825,33.29,33.29,47.021,3.063,0.83,-0.028,3.0,2,5.225,0.047,2.063,3.156,0.018,0.285,0,0,6.884,0.013,0,0,0,0,7.417,1.917,11.0,47.021,47.021,0.0,4.76,4.7,3.665,248.401,8.773,25.772,0.817,3.295,2.087,2.917,2.077,1.965,0.525,0.76,2.5,2.125,1.023,0.104,3.98,2.077,5.295,5.982,3.295,0.691,247.362,254.965,369.07,240.0,2.517,3.281,5.458,1.333
4.9,208.947,-7.375,315.11,340.41,434.352,3.666,0.17,-0.166,281.0,15,12.524,0.195,1.781,4.228,0.022,0.452,8,8,8.209,0.016,7,7,7,7,7.992,2.492,176.014,434.352,417.567,95.718,7.434,6.119,7.421,963.546,20.831,423.678,0.846,4.093,3.794,3.952,3.2,3.099,0.578,1.226,14.0,1.943,1.534,0.206,5.387,3.2,6.093,46.735,4.093,0.733,840.765,853.26,1231.77,800.0,3.74,4.454,11.771,1.623
4.7,234.092,-7.248,254.23,254.23,358.144,3.446,0.17,-0.138,259.0,15,12.856,0.202,1.793,4.206,0.023,0.466,8,8,8.303,0.017,7,8,8,8,7.986,2.486,212.159,358.144,341.359,108.528,7.435,5.833,7.422,1018.22,20.246,494.998,0.807,4.011,3.776,4.051,3.249,3.198,0.581,1.251,15.0,1.964,1.631,0.217,5.491,3.249,6.011,46.727,4.011,0.73,894.378,892.348,1299.91,839.0,3.698,4.436,11.633,1.564
5.762,109.989,-0.964,151.65,151.65,216.52,3.339,0.17,-0.049,105.0,10,8.347,0.19,1.762,3.844,0.022,0.477,4,4,7.509,0.019,2,5,4,4,7.901,2.401,111.58,216.52,216.52,50.641,7.436,5.116,4.74,589.321,15.976,212.227,0.77,4.075,3.466,3.763,2.999,2.71,0.554,0.988,10.5,1.906,1.578,0.244,4.868,2.999,6.075,27.365,4.075,0.738,512.269,517.785,735.46,482.0,3.348,4.125,9.388,1.484
5.8,174.393,-3.809,159.15,159.15,224.049,3.525,0.33,-0.124,50.0,17,14.755,0.087,2.0,3.921,0.024,0.389,6,6,8.354,0.017,5,5,6,6,7.836,2.336,161.869,224.049,222.15,83.635,7.432,5.586,4.911,938.083,16.41,283.397,0.786,4.036,3.727,3.918,3.45,3.255,0.59,1.346,11.0,2.124,1.368,0.162,5.434,3.45,6.036,29.212,4.036,0.696,869.047,876.847,1288.16,826.0,3.332,4.168,10.325,1.52
