pXC50,P_VSA_MR_7,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,Br.094,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.007,C.008,C.009,C.011,C.012
5.0,16.786,1.781,14.0,5.126,26.275,142.371,8.237,0.5,4.305,4.42,3.979,3.839,5.432,3.824,4.882,5.053,4.445,4.25,6.339,4.225,5.081,5.26,4.476,4.406,6.175,4.345,5.233,5.449,4.486,4.459,6.363,4.371,5.253,5.486,4.449,4.41,6.462,4.328,5.122,5.328,4.368,4.368,6.288,4.284,5.089,5.295,4.428,4.346,6.281,4.281,5.093,5.291,4.487,4.302,6.332,4.253,0.146,1.213,12.176,6.276,25.48,7.263,1.048,2.299,27.961,10.371,153.195,12.329,0.631,2.227,36.147,13.907,55.298,16.555,0.855,2.571,45.904,17.185,97.719,20.983,1.474,2.549,49.52,16.836,147.462,19.783,0.948,2.313,42.715,15.232,117.928,17.04,0.727,2.187,40.393,13.693,80.509,16.586,0.783,2.434,41.697,13.851,82.239,15.347,54,62,0.281,0.61,0.759,0.821,0.856,0.861,3.668,0.932,-4.6,-4.52,-4.25,0,40.9,1,0,0,0,1,5,0,1,0,0,0
7.319,26.262,1.503,13.5,3.328,11.073,132.718,6.979,0.297,4.265,4.401,3.774,3.783,5.32,3.752,4.844,5.048,4.12,4.201,5.813,4.138,5.129,5.356,4.19,4.389,6.129,4.279,5.226,5.479,4.177,4.391,6.2,4.275,5.188,5.43,4.146,4.364,6.187,4.261,5.159,5.396,4.153,4.392,6.14,4.276,5.238,5.501,4.101,4.409,6.093,4.27,5.236,5.509,4.051,4.347,6.12,4.207,0.035,1.005,14.504,5.794,10.727,8.282,0.316,1.619,27.893,9.817,25.899,14.536,0.511,1.97,38.107,14.189,61.819,20.389,0.358,2.026,42.966,15.222,66.898,22.212,0.49,1.968,41.722,13.786,85.309,20.083,0.372,2.01,39.397,14.14,71.509,20.777,0.343,2.071,43.402,15.464,58.696,22.954,0.434,1.991,44.144,15.101,72.165,22.404,32,51,0.238,0.596,0.789,0.834,0.843,0.843,3.561,0.971,-3.56,-3.54,-3.37,0,39.4,0,6,1,0,2,3,0,0,0,0,0
5.114,33.571,1.725,13.882,3.467,12.019,127.926,8.286,0.595,4.179,4.273,3.865,3.695,5.365,3.691,4.676,4.82,4.21,4.029,5.836,4.019,4.81,4.952,4.267,4.128,5.969,4.117,4.908,5.054,4.256,4.189,6.087,4.155,5.014,5.2,4.236,4.199,6.198,4.144,4.963,5.171,4.112,4.147,6.037,4.08,4.901,5.101,4.059,4.096,5.988,4.024,4.825,5.018,4.052,4.041,5.849,3.962,0.12,0.839,10.643,5.373,9.758,5.983,0.542,1.287,23.313,8.563,38.93,9.636,0.646,1.464,26.135,9.446,43.65,10.616,0.671,1.578,29.749,11.1,45.753,12.502,1.021,1.662,33.575,11.797,80.173,14.557,0.681,1.573,32.873,11.964,57.179,15.044,0.762,1.482,30.187,10.886,69.801,13.307,0.632,1.381,29.803,10.812,44.617,12.91,35,51,0.279,0.614,0.773,0.835,0.848,0.877,3.56,0.911,-1.72,-1.79,-1.81,0,41.4,1,0,0,0,3,0,0,1,0,0,0
6.252,35.616,1.472,11.68,2.724,7.42,100.285,7.388,0.571,3.911,4.039,3.483,3.483,4.988,3.457,4.433,4.608,3.812,3.874,5.459,3.825,4.685,4.91,3.823,3.981,5.672,3.893,4.685,4.917,3.663,3.874,5.729,3.773,4.528,4.765,3.498,3.747,5.542,3.635,4.405,4.635,3.443,3.711,5.33,3.589,4.418,4.68,3.334,3.628,5.309,3.496,4.195,4.446,3.138,3.439,5.085,3.309,0.056,0.685,9.145,3.907,6.95,5.242,0.163,1.109,16.808,6.318,14.143,8.8,0.19,1.317,23.453,8.784,25.75,12.338,0.264,1.236,24.534,8.639,46.309,11.83,0.283,1.045,21.099,7.671,42.677,10.556,0.095,0.972,17.651,7.21,22.002,10.165,0.154,0.962,18.868,6.932,25.382,10.013,0.117,0.767,14.848,5.646,18.257,8.044,2,38,0.251,0.576,0.695,0.809,0.831,0.831,3.266,0.913,-3.62,-3.59,-3.42,0,44.4,0,0,0,0,0,4,0,0,0,0,0
6.886,39.256,2.109,11.074,2.35,5.521,95.039,10.113,0.586,3.831,3.929,3.765,3.35,5.175,3.377,4.294,4.403,4.067,3.692,5.973,3.726,4.516,4.664,4.096,3.74,6.069,3.787,4.554,4.712,4.082,3.625,6.416,3.691,4.417,4.611,3.837,3.475,5.937,3.54,4.269,4.458,3.821,3.419,5.905,3.466,4.198,4.384,3.609,3.348,5.662,3.355,4.157,4.363,3.564,3.28,5.69,3.266,0.28,0.806,5.893,3.296,51.983,2.568,0.606,1.202,9.485,5.675,100.388,5.195,0.899,1.4,14.956,6.625,134.378,5.539,1.301,1.388,16.792,6.27,212.248,5.613,0.974,1.096,15.43,4.543,144.126,4.411,0.731,1.1,12.195,4.218,95.054,4.437,0.721,0.9,10.559,3.884,97.31,3.563,0.71,0.783,13.325,4.612,102.648,5.149,51,43,0.369,0.67,0.765,0.826,0.826,0.826,3.34,0.913,-4.08,-4.02,-3.81,0,38.5,0,0,0,0,0,0,0,0,0,0,0
4.523,78.297,1.747,13.083,4.215,17.768,145.678,8.038,0.289,4.306,4.432,3.955,3.84,5.368,3.787,4.878,5.079,4.388,4.26,5.91,4.181,5.157,5.342,4.612,4.5,6.242,4.383,5.366,5.607,4.497,4.495,6.402,4.349,5.216,5.454,4.408,4.347,6.321,4.252,5.117,5.31,4.47,4.368,6.411,4.278,5.258,5.476,4.478,4.446,6.359,4.327,5.245,5.465,4.45,4.444,6.325,4.315,0.059,1.013,14.18,6.381,9.28,8.399,0.519,1.615,31.551,10.671,36.135,14.564,0.545,2.022,48.31,15.67,57.618,19.791,0.93,2.186,70.352,19.818,109.104,25.137,0.875,1.915,51.753,14.837,102.195,19.716,0.895,1.922,44.427,13.781,125.689,17.56,0.875,2.059,57.972,16.549,116.708,20.308,0.856,1.988,52.55,16.046,108.245,20.557,107,55,0.277,0.56,0.732,0.802,0.823,0.823,3.616,1.051,-4.11,-4.05,-3.84,0,36.2,3,1,0,1,2,5,0,0,0,0,0
5.0,50.234,1.681,17.459,3.771,14.22,139.919,7.577,0.55,4.307,4.435,3.872,3.771,5.458,3.774,4.827,5.009,4.192,4.127,5.96,4.108,5.066,5.289,4.202,4.231,6.134,4.185,5.098,5.335,4.193,4.241,6.171,4.167,5.13,5.377,4.134,4.209,6.206,4.136,5.077,5.331,4.092,4.138,6.191,4.06,4.929,5.166,3.994,4.054,5.984,3.995,4.815,5.039,3.982,4.027,5.903,3.96,0.144,1.088,13.616,5.607,16.068,7.417,0.443,1.651,25.778,8.954,42.252,12.355,0.745,1.9,35.981,10.775,73.434,15.28,0.757,1.89,37.31,12.071,69.112,17.533,0.771,1.811,39.939,12.191,98.061,17.545,0.945,1.666,38.803,11.702,116.811,17.129,0.766,1.581,32.383,9.258,76.09,13.442,0.524,1.523,26.96,8.899,47.555,13.035,27,53,0.264,0.627,0.817,0.91,0.91,0.91,3.641,0.908,-4.34,-4.28,-4.04,0,38.8,1,2,0,0,0,5,0,0,0,0,0
5.0,56.042,1.793,9.417,1.184,1.403,92.917,8.249,0.615,3.858,3.978,3.672,3.388,4.983,3.358,4.382,4.55,3.996,3.772,5.757,3.74,4.599,4.773,4.011,3.941,5.784,3.851,4.786,5.035,3.935,3.915,5.974,3.802,4.555,4.732,3.755,3.73,5.891,3.678,4.409,4.605,3.674,3.679,5.595,3.583,4.465,4.727,3.582,3.534,5.574,3.452,4.14,4.331,3.453,3.376,5.438,3.285,0.14,0.713,10.59,3.7,19.014,4.451,0.428,1.085,17.255,6.268,61.24,7.902,0.369,1.284,22.996,7.869,40.246,9.497,0.631,1.264,39.369,11.063,83.669,13.55,0.599,1.031,22.412,6.971,104.184,8.052,0.288,1.007,18.874,6.69,31.617,8.488,0.458,0.933,23.478,5.923,58.252,8.491,0.408,0.745,13.471,4.631,39.779,6.219,40,40,0.312,0.663,0.755,0.783,0.783,0.783,3.229,1.008,-2.85,-2.86,-2.77,0,35.7,3,0,0,0,0,0,0,0,0,1,0
5.0,33.571,1.567,8.696,1.372,1.883,87.831,7.266,0.4,3.858,3.998,3.408,3.334,4.964,3.324,4.432,4.643,3.762,3.746,5.408,3.709,4.697,4.92,3.855,3.924,5.691,3.859,4.853,5.103,3.837,3.998,5.874,3.897,4.905,5.183,3.72,4.009,5.772,3.869,4.827,5.104,3.663,3.916,5.78,3.789,4.681,4.945,3.517,3.743,5.755,3.62,4.465,4.769,3.189,3.443,5.493,3.305,0.02,0.693,9.09,3.332,9.916,4.976,0.278,1.085,18.121,5.65,22.406,8.677,0.25,1.31,24.153,7.443,39.951,11.503,0.483,1.411,29.517,9.021,72.937,13.754,0.428,1.405,31.822,9.981,54.136,15.511,0.334,1.307,29.314,8.631,58.293,13.766,0.462,1.106,25.547,7.42,68.581,11.408,0.26,0.837,21.112,5.624,40.757,9.33,20,35,0.274,0.644,0.86,0.876,0.876,0.876,3.189,0.933,-3.0,-3.01,-2.9,0,37.2,1,2,1,0,1,2,0,1,0,0,0
5.854,16.663,1.634,11.429,4.169,17.383,107.914,8.162,0.71,3.95,4.077,3.584,3.517,5.182,3.516,4.409,4.555,3.957,3.901,5.658,3.881,4.647,4.824,4.0,4.007,5.876,3.969,4.721,4.936,3.93,3.963,5.904,3.912,4.667,4.882,3.863,3.86,6.017,3.812,4.591,4.828,3.641,3.733,5.779,3.668,4.397,4.639,3.447,3.569,5.514,3.493,4.231,4.463,3.433,3.458,5.408,3.397,0.108,0.782,7.914,3.697,11.726,4.413,0.223,1.204,13.556,6.439,22.404,8.066,0.344,1.489,19.254,7.879,40.825,9.722,0.337,1.507,23.161,8.716,48.52,11.124,0.537,1.362,22.441,7.743,80.827,10.011,0.435,1.257,22.255,7.478,67.431,9.409,0.323,1.008,18.15,6.136,46.423,8.048,0.256,0.927,15.067,5.878,32.921,7.568,17,44,0.276,0.606,0.745,0.86,0.877,0.877,3.374,0.84,-5.45,-5.33,-4.98,0,45.7,1,0,0,0,0,0,0,0,0,0,0
5.0,67.142,1.675,7.885,2.637,6.954,95.202,8.659,0.793,3.843,3.954,3.515,3.384,5.164,3.411,4.25,4.376,3.905,3.754,5.605,3.767,4.496,4.657,3.98,3.858,5.801,3.863,4.507,4.696,3.942,3.821,5.799,3.817,4.496,4.674,3.931,3.849,5.791,3.846,4.514,4.684,3.954,3.893,5.791,3.878,4.559,4.734,3.901,3.861,5.867,3.837,4.566,4.771,3.675,3.667,5.923,3.619,0.151,0.65,6.242,2.923,22.572,3.025,0.206,0.992,9.428,4.932,19.459,5.714,0.38,1.197,14.477,5.901,42.394,6.727,0.385,1.197,16.05,6.158,47.359,7.601,0.445,1.192,15.109,5.438,53.866,6.345,0.349,1.188,15.003,6.25,38.169,7.587,0.335,1.202,15.847,6.594,35.346,7.887,0.528,1.095,18.861,6.686,68.064,8.135,17,42,0.29,0.593,0.706,0.801,0.81,0.827,3.306,0.797,-3.67,-3.64,-3.47,0,45.0,0,0,0,0,0,0,0,0,0,0,0
8.523,0.0,1.547,7.727,3.097,9.588,120.91,8.139,0.6,4.166,4.257,3.825,3.754,5.256,3.76,4.761,4.88,4.355,4.261,5.837,4.266,5.105,5.244,4.581,4.502,6.247,4.5,5.272,5.421,4.66,4.645,6.369,4.624,5.354,5.532,4.675,4.696,6.412,4.657,5.343,5.511,4.583,4.661,6.447,4.604,5.32,5.527,4.257,4.47,6.426,4.363,5.075,5.343,3.604,4.018,6.113,3.844,0.099,0.784,9.631,4.91,17.601,5.507,0.341,1.418,19.436,8.823,35.052,10.31,0.718,1.945,30.363,12.462,77.919,14.241,0.757,2.287,36.384,14.993,73.412,17.333,0.663,2.483,41.505,17.22,56.009,21.179,0.509,2.417,39.468,17.223,55.808,20.833,0.759,2.258,43.8,17.535,98.068,21.867,0.716,1.704,40.317,14.344,102.389,18.88,18,67,0.249,0.619,0.763,0.835,0.859,0.883,3.535,0.847,-3.29,-3.28,-3.14,0,48.1,1,1,0,0,0,2,0,0,1,1,1
7.584,0.0,1.495,10.884,5.28,27.873,161.613,7.818,0.588,4.432,4.533,4.067,4.023,5.496,4.016,5.025,5.167,4.544,4.493,6.056,4.483,5.333,5.485,4.773,4.738,6.359,4.721,5.534,5.691,4.914,4.904,6.564,4.88,5.692,5.865,4.973,5.013,6.721,4.969,5.784,5.982,4.947,5.063,6.789,4.989,5.803,6.024,4.802,5.003,6.787,4.902,5.655,5.887,4.571,4.828,6.63,4.71,0.025,1.045,13.58,6.639,11.439,8.089,0.432,1.864,28.35,11.59,33.192,14.33,0.591,2.488,40.031,16.026,47.117,19.605,0.59,3.015,49.661,19.899,68.572,24.119,0.87,3.522,59.91,23.293,83.434,28.77,0.845,3.793,68.123,27.096,96.013,34.924,0.914,3.759,73.598,28.599,122.862,37.189,0.723,3.236,64.383,24.864,97.084,32.687,27,81,0.226,0.55,0.729,0.82,0.857,0.873,3.789,0.868,-4.65,-4.57,-4.3,0,47.9,1,1,0,0,2,1,0,2,1,0,1
5.0,22.831,1.775,12.281,3.008,9.046,120.544,8.436,0.514,4.101,4.194,3.89,3.697,5.258,3.666,4.641,4.78,4.197,4.077,5.963,4.05,4.912,5.053,4.377,4.265,6.181,4.239,5.045,5.215,4.292,4.265,6.462,4.212,5.016,5.222,4.14,4.206,6.289,4.124,4.905,5.114,4.054,4.118,5.977,4.029,4.915,5.144,4.098,4.044,6.218,3.979,4.764,4.95,3.993,3.982,5.982,3.907,0.139,0.856,11.416,5.525,24.253,5.828,0.466,1.368,22.143,9.201,62.132,10.208,0.59,1.792,27.651,11.63,79.184,12.539,1.002,1.989,33.059,13.221,165.036,14.525,1.009,1.833,36.728,13.236,145.877,15.662,0.535,1.574,30.372,11.9,87.51,15.037,0.978,1.636,33.206,11.587,140.952,14.293,0.725,1.462,29.88,10.658,90.796,11.604,51,52,0.291,0.647,0.809,0.869,0.883,0.883,3.503,1.012,-4.25,-4.19,-3.96,0,42.6,1,0,0,0,1,3,0,0,0,0,0
5.0,33.571,1.715,12.633,5.087,25.882,118.666,8.804,0.515,4.096,4.21,3.809,3.624,5.183,3.608,4.654,4.831,4.207,4.022,5.692,3.985,4.896,5.087,4.303,4.185,5.942,4.112,5.0,5.239,4.249,4.119,5.993,4.028,4.9,5.149,4.082,4.02,5.885,3.947,4.725,4.904,4.108,4.046,5.806,3.985,4.877,5.093,4.17,4.064,5.938,3.991,4.807,5.035,4.136,4.001,5.805,3.888,0.058,0.853,9.037,4.983,7.077,6.16,0.356,1.361,21.772,8.436,26.488,10.434,0.51,1.694,35.268,11.548,40.534,14.399,0.653,1.701,43.941,12.799,59.27,16.162,0.799,1.495,35.628,10.733,59.961,14.498,0.337,1.441,25.124,9.744,30.079,12.223,0.614,1.604,31.754,10.393,58.941,13.134,0.6,1.394,30.973,10.363,50.053,13.272,18,46,0.284,0.627,0.815,0.857,0.857,0.857,3.44,0.972,-5.0,-4.9,-4.6,1,40.7,0,2,1,0,2,3,0,0,0,0,0
5.0,51.582,1.437,7.316,1.761,3.1,76.664,7.093,0.714,3.69,3.839,3.224,3.19,4.767,3.172,4.205,4.411,3.589,3.567,5.202,3.531,4.386,4.615,3.648,3.681,5.395,3.624,4.446,4.695,3.586,3.681,5.378,3.609,4.341,4.568,3.465,3.618,5.314,3.534,4.36,4.611,3.224,3.548,5.303,3.415,4.271,4.552,2.73,3.342,5.081,3.119,4.082,4.442,2.203,2.933,4.749,2.65,0.039,0.587,7.979,2.761,7.893,4.178,0.141,0.905,14.364,4.628,14.081,7.141,0.278,1.037,17.776,5.514,24.113,8.461,0.179,1.047,19.171,5.597,21.424,9.019,0.184,0.966,16.879,5.178,20.287,8.103,0.242,0.914,17.665,5.385,25.449,8.387,0.123,0.74,16.434,5.646,19.862,8.709,0.137,0.509,14.76,4.658,20.489,7.463,13,30,0.261,0.653,0.786,0.86,0.86,0.86,3.013,0.913,-2.81,-2.82,-2.73,0,38.9,2,0,0,0,0,2,0,0,0,0,0
5.0,67.142,1.716,14.769,5.084,25.849,140.252,8.681,0.674,4.236,4.35,3.921,3.781,5.478,3.8,4.739,4.893,4.349,4.15,6.333,4.161,4.908,5.077,4.326,4.265,6.178,4.25,5.037,5.246,4.309,4.247,6.287,4.228,5.006,5.216,4.393,4.231,6.329,4.226,4.99,5.176,4.366,4.232,6.37,4.24,5.048,5.25,4.376,4.214,6.634,4.208,4.881,5.068,4.22,4.165,6.205,4.141,0.17,1.169,8.678,4.973,20.21,5.501,0.955,2.17,18.501,8.284,141.288,9.406,0.491,2.047,21.562,9.741,36.543,11.338,0.855,2.22,30.557,11.422,98.132,13.327,1.003,2.211,29.88,10.502,81.361,13.362,0.867,2.306,26.91,10.516,89.115,11.17,1.472,2.324,32.789,11.889,229.403,13.493,0.573,1.98,23.789,10.394,53.249,12.151,38,62,0.271,0.601,0.777,0.884,0.9,0.9,3.693,0.824,-4.91,-4.82,-4.52,0,45.9,2,0,0,0,0,0,0,0,0,0,0
5.0,72.72,1.805,12.382,6.167,38.036,123.999,9.732,0.632,4.038,4.122,3.816,3.667,5.347,3.681,4.508,4.617,4.228,4.057,5.92,4.061,4.792,4.932,4.383,4.222,6.131,4.224,4.87,5.039,4.381,4.18,6.355,4.184,4.817,4.98,4.353,4.193,6.118,4.187,4.846,5.019,4.384,4.181,6.209,4.165,4.792,4.977,4.335,4.091,6.219,4.054,4.613,4.797,4.07,3.902,6.046,3.858,0.191,0.819,4.764,3.856,24.096,3.682,0.415,1.332,8.932,6.355,53.058,6.425,0.585,1.774,17.729,8.989,73.495,8.972,1.019,2.073,21.224,9.337,133.233,9.046,0.701,1.794,18.749,9.09,97.64,9.039,0.853,1.966,20.823,9.764,104.276,9.633,0.951,1.667,27.385,10.125,113.46,10.879,0.83,1.414,22.3,8.175,96.873,9.093,27,55,0.297,0.632,0.764,0.856,0.865,0.865,3.561,0.832,-5.59,-5.46,-5.09,0,51.0,0,0,0,0,0,1,0,0,0,0,0
5.0,33.571,1.588,12.778,3.127,9.779,106.122,7.479,0.621,3.994,4.11,3.552,3.474,5.177,3.477,4.473,4.635,3.859,3.811,5.61,3.797,4.61,4.764,3.924,3.939,5.724,3.903,4.754,4.963,3.786,3.943,5.791,3.858,4.764,5.007,3.693,3.901,5.695,3.8,4.633,4.857,3.695,3.83,5.638,3.746,4.618,4.854,3.676,3.765,5.626,3.681,4.53,4.751,3.531,3.647,5.563,3.56,0.069,0.705,10.086,4.218,12.468,5.389,0.345,1.035,18.562,7.05,31.217,8.841,0.307,1.2,20.517,7.862,27.304,10.287,0.384,1.288,25.704,9.14,45.5,12.349,0.426,1.239,27.512,9.309,43.763,12.999,0.384,1.141,23.149,8.032,36.626,11.286,0.387,1.072,23.357,8.165,37.643,11.531,0.442,0.961,21.488,7.238,39.423,9.947,21,39,0.269,0.587,0.734,0.816,0.842,0.862,3.339,0.867,-3.7,-3.67,-3.49,0,40.8,0,1,0,0,2,1,0,0,0,0,0
5.0,33.571,1.58,9.16,4.187,17.527,93.158,8.497,0.821,3.793,3.892,3.47,3.418,5.047,3.416,4.233,4.354,3.825,3.783,5.498,3.769,4.469,4.641,3.834,3.853,5.686,3.817,4.469,4.667,3.758,3.797,5.606,3.755,4.441,4.651,3.757,3.818,5.496,3.768,4.394,4.568,3.776,3.841,5.609,3.782,4.432,4.607,3.713,3.845,5.621,3.768,4.486,4.72,3.503,3.718,5.586,3.604,0.063,0.605,5.82,3.203,9.196,3.519,0.097,0.963,9.518,5.109,10.667,5.835,0.231,1.2,15.399,6.858,35.399,7.893,0.284,1.193,16.451,6.485,38.946,7.622,0.248,1.127,16.154,6.323,27.589,8.008,0.302,1.097,13.838,6.402,31.866,8.047,0.196,1.122,14.591,7.218,24.109,8.907,0.201,1.15,18.786,8.18,30.925,10.643,5,39,0.275,0.541,0.692,0.796,0.813,0.813,3.268,0.832,-4.77,-4.68,-4.4,0,51.3,0,0,0,0,0,0,0,0,0,0,0
6.72,95.083,1.692,14.556,4.883,23.847,142.137,8.162,0.436,4.273,4.384,3.916,3.784,5.376,3.77,4.831,5.013,4.276,4.168,5.83,4.139,5.047,5.227,4.462,4.366,6.1,4.306,5.171,5.39,4.438,4.411,6.182,4.3,5.173,5.417,4.323,4.353,6.121,4.252,5.067,5.27,4.381,4.327,6.127,4.251,5.082,5.292,4.382,4.291,6.218,4.216,4.969,5.165,4.319,4.22,6.095,4.143,0.069,0.928,12.114,5.76,11.444,7.328,0.459,1.455,27.478,9.309,28.265,11.987,0.67,1.759,37.048,12.412,44.354,16.176,0.747,1.885,48.447,15.391,65.448,20.506,0.786,1.823,47.666,15.1,61.843,20.601,0.545,1.697,38.227,13.209,51.397,17.233,0.835,1.649,44.73,12.79,81.487,16.75,0.591,1.526,34.875,12.092,61.341,15.781,46,54,0.269,0.578,0.758,0.819,0.844,0.858,3.616,0.956,-2.61,-2.63,-2.56,0,40.0,0,1,0,0,3,6,0,0,0,0,0
5.0,33.571,1.706,11.8,2.284,5.216,101.699,7.767,0.37,3.979,4.1,3.665,3.55,4.99,3.47,4.551,4.736,4.127,3.973,5.51,3.851,4.782,4.99,3.999,4.025,5.719,3.878,4.895,5.161,3.92,3.959,5.827,3.792,4.614,4.87,3.825,3.766,5.612,3.614,4.288,4.455,3.875,3.739,5.319,3.56,4.388,4.617,3.622,3.732,5.218,3.493,4.129,4.299,3.55,3.559,5.096,3.378,0.023,0.759,11.51,5.054,7.549,6.286,0.278,1.247,28.591,9.346,26.577,11.26,0.297,1.401,33.279,10.879,34.528,13.753,0.565,1.39,39.808,11.762,59.771,14.875,0.453,1.155,31.374,8.604,47.285,10.791,0.28,0.985,24.271,7.881,25.889,8.452,0.298,1.03,34.79,10.196,21.236,10.966,0.13,0.81,20.114,6.957,17.688,7.67,18,38,0.292,0.602,0.762,0.769,0.769,0.769,3.266,1.141,-3.55,-3.52,-3.36,0,34.7,3,2,1,1,0,3,0,0,0,0,0
5.0,16.786,1.463,13.769,4.534,20.558,151.757,7.583,0.578,4.333,4.449,3.937,3.93,5.403,3.909,4.891,5.057,4.336,4.371,5.922,4.332,5.159,5.356,4.405,4.538,6.128,4.466,5.263,5.477,4.438,4.597,6.268,4.508,5.31,5.525,4.491,4.613,6.325,4.532,5.321,5.528,4.488,4.613,6.389,4.535,5.332,5.549,4.383,4.562,6.387,4.469,5.254,5.487,4.229,4.439,6.266,4.338,0.024,1.003,13.098,5.962,8.409,7.762,0.268,1.73,25.55,10.038,25.517,13.473,0.279,2.148,35.731,14.257,33.073,19.155,0.361,2.339,40.757,16.439,61.46,22.531,0.425,2.439,43.258,16.985,51.945,23.08,0.414,2.432,43.587,16.945,64.64,22.641,0.47,2.42,45.411,17.217,83.853,22.682,0.493,2.205,43.594,15.829,86.688,20.961,10,66,0.225,0.565,0.719,0.796,0.832,0.85,3.694,0.897,-4.04,-3.99,-3.78,0,47.1,0,2,0,0,1,3,0,1,0,0,0
5.0,82.196,1.772,13.382,4.038,16.303,128.881,8.237,0.459,4.189,4.302,3.832,3.687,5.339,3.692,4.727,4.89,4.185,4.051,5.872,4.039,4.974,5.173,4.295,4.187,6.14,4.149,4.987,5.209,4.153,4.174,6.024,4.1,4.981,5.213,4.15,4.173,6.025,4.098,4.966,5.177,4.196,4.161,6.05,4.111,4.953,5.157,4.23,4.162,6.137,4.106,4.887,5.09,4.185,4.122,6.058,4.065,0.126,0.934,10.471,5.109,13.648,6.243,0.499,1.442,22.228,8.341,37.702,10.315,0.855,1.704,34.269,10.812,80.994,13.657,0.767,1.674,34.53,11.419,69.915,15.23,0.746,1.619,35.318,11.901,69.817,16.304,0.759,1.615,32.606,10.923,68.483,14.343,0.913,1.625,32.179,10.748,81.979,14.076,0.567,1.61,30.95,10.087,61.965,13.165,20,50,0.287,0.648,0.808,0.875,0.875,0.875,3.56,0.915,-4.06,-4.01,-3.8,0,40.7,0,1,0,0,0,6,0,0,0,0,0
5.0,33.449,1.737,10.667,3.998,15.98,99.425,8.053,0.667,3.969,4.075,3.595,3.442,5.155,3.465,4.486,4.641,3.993,3.812,5.66,3.837,4.673,4.828,4.062,3.886,5.958,3.901,4.729,4.929,3.971,3.855,5.902,3.848,4.586,4.771,3.866,3.781,5.811,3.768,4.608,4.805,3.857,3.815,5.79,3.786,4.648,4.862,3.806,3.755,5.861,3.727,4.533,4.767,3.644,3.611,5.74,3.565,0.152,0.756,8.482,4.074,13.139,4.746,0.381,1.172,16.916,6.524,31.722,8.026,0.805,1.343,21.689,7.604,60.193,8.969,0.757,1.404,25.402,8.334,56.999,10.3,0.713,1.27,20.691,6.914,54.499,8.53,0.552,1.336,21.105,7.571,47.249,9.541,0.686,1.316,23.28,7.274,62.388,9.311,0.779,1.072,22.034,6.623,72.722,8.856,29,44,0.295,0.697,0.839,0.879,0.879,0.879,3.341,0.853,-4.07,-4.02,-3.81,0,41.3,3,0,0,0,0,1,0,1,0,0,0
5.0,33.449,1.447,11.889,3.212,10.318,107.094,7.316,0.733,3.988,4.113,3.548,3.566,5.096,3.538,4.486,4.649,3.875,3.946,5.513,3.897,4.722,4.921,3.882,4.052,5.728,3.964,4.797,5.045,3.741,3.999,5.685,3.879,4.677,4.916,3.705,3.912,5.619,3.805,4.661,4.897,3.667,3.85,5.636,3.748,4.59,4.847,3.557,3.746,5.517,3.64,4.42,4.66,3.467,3.656,5.379,3.548,0.07,0.719,10.103,4.355,11.923,5.765,0.115,1.123,17.865,7.253,18.259,9.74,0.292,1.358,24.012,9.183,34.729,12.615,0.244,1.398,27.58,10.137,34.748,14.244,0.171,1.263,23.926,8.953,31.875,12.626,0.236,1.23,23.868,8.561,36.542,11.871,0.274,1.148,22.792,7.822,32.595,11.064,0.24,0.97,18.622,6.861,27.527,9.772,5,41,0.242,0.6,0.775,0.866,0.875,0.875,3.339,0.901,-3.58,-3.55,-3.39,0,44.9,1,1,0,0,0,1,0,1,0,0,0
