pXC50,Sv,X.,MW,nSK,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT,nB
6.195,19.702,3.6,287.17,17,10.256,50.0,39.3,0.995,1.104,0.756,0.704,7.1,16,28,0
7.987,22.25,3.0,316.22,19,9.582,45.5,42.4,0.995,1.116,0.725,0.674,9.1,16,33,0
6.0,19.698,0.0,223.3,17,7.443,46.7,43.3,0.991,1.119,0.694,0.657,10.0,16,30,0
8.357,22.106,0.0,270.38,19,8.193,45.5,42.4,0.997,1.11,0.718,0.67,6.1,16,33,0
8.155,20.579,0.0,256.35,18,8.545,46.7,40.0,1.001,1.107,0.731,0.686,6.7,16,30,0
7.959,22.885,0.0,279.39,20,8.466,48.5,39.4,0.994,1.106,0.742,0.693,9.1,16,33,0
8.066,21.359,0.0,265.36,19,8.845,50.0,36.7,0.997,1.103,0.757,0.712,10.0,16,30,0
8.398,21.391,0.0,254.38,18,7.949,46.9,43.8,0.987,1.106,0.726,0.668,6.3,16,32,0
8.143,19.362,3.8,305.21,17,11.739,50.0,34.6,1.002,1.093,0.81,0.745,7.7,16,26,0
8.022,19.864,0.0,240.35,17,8.288,48.3,41.4,0.99,1.103,0.74,0.685,6.9,16,29,0
7.432,18.337,0.0,226.32,16,8.705,50.0,38.5,0.993,1.099,0.758,0.705,7.7,16,26,0
8.46,20.579,0.0,256.35,18,8.545,46.7,40.0,1.001,1.107,0.731,0.686,6.7,16,30,0
7.194,19.832,0.0,251.33,18,9.309,51.9,33.3,1.001,1.099,0.776,0.735,11.1,16,27,0
7.959,19.864,0.0,240.35,17,8.288,48.3,41.4,0.99,1.103,0.74,0.685,6.9,16,29,0
7.337,19.052,0.0,242.32,17,8.975,48.1,37.0,1.005,1.103,0.747,0.706,7.4,16,27,0
8.31,22.106,0.0,270.38,19,8.193,45.5,42.4,0.997,1.11,0.718,0.67,6.1,16,33,0
