pXC50,MW,nSK,nBO,nAT,nBT,nCsp3,nC,nHet,Sp,nH,SCBO
7.479,433.53,33,39,56,62,5,29,4,39.745,23,52.5
6.796,385.64,27,30,58,61,13,21,6,37.574,31,35.5
9.036,475.77,34,38,71,75,13,28,6,46.859,37,46.5
7.39,432.53,27,30,58,61,13,21,6,38.069,31,35.5
6.726,367.6,27,30,60,63,13,22,5,37.688,33,35.5
8.304,399.67,28,31,61,64,13,22,6,39.336,33,36.5
8.224,429.7,30,33,65,68,14,23,7,41.552,35,38.5
8.743,468.55,30,33,61,64,13,22,8,41.052,31,38.5
7.907,427.73,30,33,67,70,15,24,6,42.859,37,38.5
8.149,464.51,30,33,57,60,11,22,8,39.529,27,40.5
7.331,367.6,27,30,60,63,13,22,5,37.688,33,35.5
6.81,368.58,27,30,59,62,13,22,5,37.137,32,35.5
6.595,368.58,27,30,59,62,13,22,5,37.137,32,35.5
7.523,327.41,24,27,45,48,7,19,5,29.438,21,33.0
10.367,436.68,31,34,63,66,11,25,6,41.785,32,43.0
9.194,466.76,33,36,71,74,15,27,6,46.069,38,43.5
9.131,504.81,36,40,76,80,16,30,6,49.83,40,49.0
8.658,518.84,37,41,79,83,17,31,6,51.592,42,50.0
7.638,558.91,40,45,86,91,20,34,6,56.114,46,54.0
8.119,448.69,32,36,64,68,12,26,6,42.785,32,45.0
9.292,480.74,34,38,70,74,15,27,7,45.762,36,46.5
9.248,490.78,35,39,73,77,15,29,6,48.069,38,48.0
6.996,439.63,31,34,60,63,8,24,7,39.926,29,44.5
7.036,497.52,32,37,65,70,16,27,5,43.455,33,43.5
9.0,439.38,28,31,51,54,6,23,5,35.648,23,40.5
7.046,417.38,26,29,51,54,10,21,5,34.41,25,35.5
7.24,281.38,21,24,40,43,6,18,3,26.767,19,30.0
7.458,425.66,30,33,61,64,12,23,7,40.029,31,40.5
7.049,391.61,29,33,62,66,13,25,4,39.893,33,39.0
6.133,391.61,29,33,62,66,13,25,4,39.893,33,39.0
9.034,475.77,34,38,71,75,13,28,6,46.859,37,46.5
7.827,391.61,29,33,62,66,13,25,4,39.893,33,39.0
6.728,460.49,31,35,62,66,13,25,6,41.608,31,41.0
7.886,483.49,31,36,62,67,15,26,5,41.694,31,42.5
6.367,445.44,28,31,57,60,12,23,5,37.932,29,37.5
8.959,453.41,29,32,54,57,7,24,5,37.409,25,41.5
9.398,483.49,31,36,62,67,15,26,5,41.694,31,42.5
8.62,459.47,29,32,60,63,13,24,5,39.694,31,38.5
8.244,497.74,37,42,76,81,15,32,5,49.631,39,51.5
10.398,493.48,32,36,61,65,10,27,5,41.932,29,45.5
6.476,445.44,28,31,57,60,12,23,5,37.932,29,37.5
8.495,445.44,28,31,57,60,12,23,5,37.932,29,37.5
7.237,459.47,29,32,60,63,13,24,5,39.694,31,38.5
8.854,453.41,29,32,54,57,7,24,5,37.409,25,41.5
7.167,497.52,32,37,65,70,16,27,5,43.455,33,43.5
8.538,445.44,28,31,57,60,12,23,5,37.932,29,37.5
5.844,485.51,31,35,64,68,15,26,5,42.455,33,41.5
7.836,453.41,29,32,54,57,7,24,5,37.409,25,41.5
8.602,417.38,26,29,51,54,10,21,5,34.41,25,35.5
7.68,375.9,26,28,49,51,8,21,5,32.847,23,35.0
8.244,431.41,27,30,54,57,11,22,5,36.171,27,36.5
7.125,417.38,26,29,51,54,10,21,5,34.41,25,35.5
6.046,431.41,27,30,54,57,11,22,5,36.171,27,36.5
6.5,205.33,15,16,34,35,7,13,2,21.313,19,19.0
6.5,203.31,15,16,32,33,5,13,2,20.551,17,20.0
7.284,431.41,27,30,54,57,11,22,5,36.171,27,36.5
8.125,485.51,31,35,64,68,15,26,5,42.455,33,41.5
9.699,445.44,28,31,57,60,12,23,5,37.932,29,37.5
9.097,431.41,27,30,54,57,11,22,5,36.171,27,36.5
10.398,520.45,30,33,59,62,11,24,6,40.694,29,40.0
8.317,446.7,33,37,71,75,14,28,5,45.421,38,45.0
8.281,461.66,34,38,69,73,13,28,6,44.563,35,47.0
8.429,460.68,34,38,70,74,13,28,6,45.114,36,47.0
8.412,446.7,33,37,71,75,14,28,5,45.421,38,45.0
8.699,432.67,32,36,68,72,13,27,5,43.66,36,44.0
9.252,460.68,34,38,70,74,13,28,6,45.114,36,47.0
9.1,366.43,26,28,47,49,10,18,8,29.904,21,34.0
8.644,460.68,34,38,70,74,13,28,6,45.114,36,47.0
8.092,391.51,28,31,55,58,13,21,7,34.699,27,36.0
8.441,460.68,34,38,70,74,13,28,6,45.114,36,47.0
8.772,477.73,34,38,69,73,13,28,6,45.756,35,47.0
6.6,247.42,18,19,43,44,10,16,2,26.597,25,22.0
8.548,461.67,34,38,69,73,13,27,7,44.358,35,47.0
8.286,472.69,35,39,71,75,13,29,6,46.114,36,48.5
8.777,460.68,34,38,70,74,13,28,6,45.114,36,47.0
8.652,450.72,32,36,66,70,13,25,7,43.341,34,44.0
7.041,373.52,27,30,55,58,13,21,6,34.762,28,35.0
7.533,260.42,19,20,43,44,9,16,3,26.841,24,24.0
7.633,153.2,11,11,22,22,2,8,3,13.722,11,14.0
8.689,545.34,32,34,60,62,10,23,9,41.108,28,41.0
9.578,462.48,30,33,55,58,8,23,7,38.972,25,42.0
6.504,412.58,30,32,62,64,11,24,6,39.25,32,39.0
7.088,439.38,28,31,51,54,6,23,5,35.648,23,40.5
6.973,527.5,34,37,65,68,10,27,7,43.603,31,46.5
6.898,499.44,32,35,59,62,8,25,7,40.08,27,44.5
8.409,487.43,31,34,58,61,8,24,7,39.08,27,42.5
7.991,565.37,34,37,62,65,9,26,8,43.654,28,46.5
6.115,287.81,20,22,38,40,5,17,3,26.171,18,28.0
9.398,483.49,31,36,62,67,15,26,5,41.694,31,42.5
7.67,479.41,30,32,57,59,9,22,8,37.534,27,39.0
8.62,344.94,23,26,44,47,7,19,4,31.131,21,32.0
5.425,384.52,28,30,56,58,9,22,6,35.728,28,37.0
6.312,449.38,28,30,53,55,8,21,7,35.319,25,37.0
5.817,264.4,20,23,40,43,6,18,2,26.864,20,29.0
6.508,389.32,24,26,45,47,6,19,5,30.887,21,33.0
7.679,344.94,23,26,44,47,7,19,4,31.131,21,32.0
7.432,270.46,20,22,46,48,10,18,2,29.148,26,27.0
6.701,480.47,33,37,60,64,8,27,6,42.086,27,47.0
8.699,522.51,36,40,65,69,9,29,7,45.301,29,51.0
8.585,463.42,31,34,56,59,8,23,8,38.267,25,43.0
7.469,480.47,33,37,60,64,8,27,6,42.086,27,47.0
9.222,483.48,33,36,61,64,8,26,7,42.091,28,46.0
7.174,284.49,21,23,49,51,11,19,2,30.91,28,28.0
7.721,492.48,34,38,61,65,7,28,6,43.086,27,49.0
8.319,432.38,29,32,52,55,8,22,7,36.017,23,40.0
6.857,480.47,33,37,60,64,8,27,6,42.086,27,47.0
7.301,282.47,21,24,47,50,11,19,2,30.148,26,29.0
5.237,401.58,28,31,55,58,9,21,7,36.165,27,39.0
7.538,423.66,31,34,68,71,16,26,5,42.87,37,41.0
9.444,249.34,18,20,37,39,8,14,4,23.222,19,23.0
7.367,295.47,22,24,47,49,10,19,3,30.393,25,31.0
7.367,318.5,24,27,50,53,8,22,2,33.148,26,35.0
7.108,316.46,23,25,48,50,10,19,4,30.54,25,31.0
7.377,374.57,28,31,58,61,10,25,3,38.125,30,40.0
7.854,288.45,21,23,46,48,10,18,3,29.086,25,28.0
7.284,302.48,22,24,49,51,11,19,3,30.847,27,29.0
6.701,318.5,24,27,50,53,8,22,2,33.148,26,35.0
6.266,344.52,25,27,54,56,12,21,4,34.063,29,33.0
7.638,286.46,21,23,47,49,11,18,3,29.603,26,27.0
8.26,338.56,24,27,50,53,9,21,3,33.796,26,34.5
7.26,316.46,23,25,48,50,10,19,4,30.54,25,31.0
5.995,312.5,23,25,51,53,11,20,3,32.364,28,31.0
6.243,330.49,24,26,51,53,11,20,4,32.302,27,32.0
8.886,404.37,27,29,50,52,6,21,6,34.563,23,37.0
6.67,490.46,34,38,59,63,7,28,6,42.324,25,50.0
6.495,312.5,23,25,51,53,11,20,3,32.364,28,31.0
6.947,242.4,18,20,40,42,8,16,2,25.625,22,25.0
5.967,490.46,34,38,59,63,7,28,6,42.324,25,50.0
6.588,270.41,20,22,42,44,8,17,3,27.08,22,28.0
7.201,313.46,23,25,47,49,10,19,4,30.33,24,32.0
7.41,312.48,22,25,42,45,6,17,5,28.762,20,31.5
8.456,509.52,35,39,65,69,9,28,7,44.853,30,49.0
7.292,298.47,22,24,48,50,10,19,3,30.603,26,30.0
6.785,310.48,23,26,49,52,11,20,3,31.603,26,32.0
6.955,330.54,24,26,55,57,13,21,3,34.37,31,31.0
7.114,264.43,19,20,44,45,10,16,3,27.086,25,23.0
5.921,352.52,26,29,54,57,10,22,4,34.819,28,35.0
6.405,402.35,27,29,48,50,6,21,6,33.801,21,38.0
6.408,295.47,22,24,47,49,10,19,3,30.393,25,31.0
8.31,404.37,27,29,50,52,6,21,6,34.563,23,37.0
6.873,352.49,25,27,52,54,12,20,5,32.484,27,32.0
7.319,366.57,26,29,52,55,9,22,4,35.25,26,37.5
7.745,332.53,25,28,53,56,9,23,2,34.91,28,36.0
5.613,147.24,11,12,24,25,4,10,1,15.574,13,15.0
6.0,227.36,15,16,32,33,7,11,4,20.654,17,20.0
7.208,337.4,22,23,40,41,8,14,8,25.443,18,28.0
4.699,327.41,24,28,45,49,10,19,5,29.438,21,33.0
6.62,340.48,25,28,50,53,9,21,4,32.54,25,34.0
6.0,195.39,14,15,39,40,13,13,1,23.143,25,15.0
5.538,401.58,28,31,55,58,9,21,7,36.165,27,39.0
6.0,164.28,12,13,28,29,7,10,2,17.341,16,15.0
7.284,205.33,15,16,34,35,7,13,2,21.313,19,19.0
6.0,239.39,18,20,39,41,7,17,1,25.62,21,25.5
5.602,189.33,14,15,33,34,7,13,1,20.858,19,18.0
6.658,352.52,26,29,54,57,10,22,4,34.819,28,35.0
8.408,361.57,27,31,58,62,13,25,2,37.881,31,37.0
7.377,233.39,17,18,40,41,9,15,2,24.836,23,21.0
7.971,438.62,33,37,63,67,11,28,5,42.375,30,48.5
7.213,299.84,20,20,42,42,7,14,6,26.398,22,24.0
8.034,347.27,22,23,42,43,8,15,7,27.705,20,27.0
6.699,464.0,33,36,59,62,6,26,7,40.375,26,47.0
7.481,442.0,31,34,59,62,10,24,7,39.137,28,42.0
7.26,456.03,32,35,62,65,11,25,7,40.898,30,43.0
8.328,413.94,29,31,53,55,6,22,7,35.614,24,40.0
8.824,434.03,30,33,62,65,15,23,7,39.659,32,38.0
6.232,387.95,27,29,53,55,8,21,6,34.921,26,36.0
8.77,472.08,33,38,67,72,18,26,7,43.421,34,43.0
7.824,429.99,30,32,58,60,9,23,7,38.137,28,40.0
8.229,415.96,29,31,55,57,8,22,7,36.375,26,39.0
6.0,373.92,26,28,50,52,7,20,6,33.159,24,35.0
5.877,233.39,17,18,40,41,9,15,2,24.836,23,21.0
8.658,460.07,32,36,66,70,17,25,7,42.421,34,41.0
6.824,456.03,32,35,62,65,11,25,7,40.898,30,43.0
7.444,416.01,29,31,59,61,10,23,6,38.444,30,38.0
6.699,470.06,33,36,65,68,12,26,7,42.659,32,44.0
8.357,420.0,29,32,59,62,14,22,7,37.898,30,37.0
8.432,434.03,30,33,62,65,15,23,7,39.659,32,38.0
5.523,337.84,23,25,43,45,8,16,7,28.091,20,30.0
6.921,423.53,30,33,58,61,14,22,8,36.398,28,38.0
7.444,265.41,18,20,37,39,8,14,4,24.415,19,23.0
