pXC50,O.059,nROR,SpDiam_EA.ed.,ATS6s,Eig01_AEA.ed.,SpMax_AEA.ed.,nBnz,Mi,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,SpDiam_EA.bo.,Chi1_EA.bo.,ATS8m,Eig01_AEA.ri.,SpMax_AEA.ri.,Eta_betaS,SpMin6_Bh.i.,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Eig14_AEA.ri.,CATS2D_02_AA,Chi0_EA.ri.,SpMaxA_EA.ri.,SpMin5_Bh.m.,SpMin6_Bh.e.,Eig15_AEA.ri.,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,C.,X1Per,IDM,X1Kup,CID,X1,SpMin6_Bh.p.,IVDM,Psi_i_0,Eig15_EA,SM09_AEA.dm.,RDSQ,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Eig15_EA.bo.,SpMaxA_AEA.ed.,S0K,HDcpx,X1Mad,MPC01,MWC01,nBO,SRW02,SM15_EA.ed.,SM14_EA.ed.,Eig14_AEA.ed.,BID,SpMaxA_AEA.bo.,nN.C.N.,SpMaxA_AEA.ri.,P_VSA_MR_5,ATS7m,GMTI,ATSC7m,SM13_EA.ed.,CATS2D_06_LL,LPRS,Psi_i_1,MPC07,Xu,IDDM,Eig06_EA.ri.,nSK,MPC08,P_VSA_e_3,Eig09_EA.ed.,SM04_AEA.ri.,ATS7v,Psi_e_0,SMTI,nRNHR,Eig11_EA.ed.,SM06_AEA.ri.,Eig02_EA.bo.,SM12_AEA.ri.,Eig11_AEA.ri.,SpAD_EA.ri.,SpDiam_AEA.ri.,X0,VvdwZAZ,CATS2D_05_LL,ATS7p,SpMin5_Bh.e.,X0sol,Psi_e_1,GGI10,GGI6,SpMax7_Bh.p.,N.067,Eig11_AEA.bo.,ATSC8s,C.027,SpMaxA_EA.bo.,CATS2D_08_AA,Eig11_AEA.ed.,IC4,S1K,SpMax7_Bh.v.,MWC10,N.074,ON0,MW,ATSC6i,TWC,ATS6v,Eig06_EA.ed.,SM15_AEA.dm.,Eig11_EA.bo.,IC5,piPC06,Eig01_AEA.dm.,SpMax_AEA.dm.,SpMin3_Bh.s.,D.Dtr06,TIC3,Eig09_AEA.dm.,SpDiam_AEA.dm.
5.058,0,0,20.845,6.058,7.263,7.263,2,1.114,12.933,12.933,12.933,3.486,3.486,5.486,3.486,7.594,12.324,4.061,4.449,4.449,19.0,1.071,19.008,19.008,19.008,19.008,19.008,16.86,0.95,4,19.483,0.105,1.436,1.113,0.731,4.594,4.594,4.594,46.7,7.258,8.376,9.155,4.083,13.507,1.406,4.722,19.782,-0.25,-0.25,281.974,15.684,15.684,15.684,15.684,15.684,-0.288,0.227,134.606,1.722,12.571,3.497,3.497,32,4.174,38.501,35.963,3.09,3.377,0.148,0,0.139,36.5,4.304,8258.0,32.391,33.421,11,134.552,17.39,5.557,25.492,4.778,1.855,28,5.799,23.034,3.533,3.533,4.041,10.448,7819.0,0,2.753,2.753,3.92,3.92,2.035,47.191,5.515,19.577,334.6,9,4.135,1.255,20.577,4.78,0.032,1.141,2.833,0,2.382,77.258,0,0.144,0,3.607,5.297,18.043,2.832,12.668,0,14.333,414.31,1.505,13.153,4.156,6.579,6.579,1.325,5.297,6.634,4.149,4.149,1.036,159.933,234.379,1.879,6.149
6.523,0,0,20.845,6.058,7.263,7.263,2,1.114,12.933,12.933,12.933,3.486,3.486,5.486,3.486,7.594,12.324,4.061,4.449,4.449,19.0,1.071,19.008,19.008,19.008,19.008,19.008,16.86,0.95,4,19.483,0.105,1.436,1.113,0.731,4.594,4.594,4.594,46.7,7.258,8.376,9.155,4.083,13.507,1.406,4.722,19.782,-0.25,-0.25,281.974,15.684,15.684,15.684,15.684,15.684,-0.288,0.227,134.606,1.722,12.571,3.497,3.497,32,4.174,38.501,35.963,3.09,3.377,0.148,0,0.139,36.5,4.304,8258.0,32.391,33.421,11,134.552,17.39,5.557,25.492,4.778,1.855,28,5.799,23.034,3.533,3.533,4.041,10.448,7819.0,0,2.753,2.753,3.92,3.92,2.035,47.191,5.515,19.577,334.6,9,4.135,1.255,20.577,4.78,0.032,1.141,2.833,0,2.382,77.258,0,0.144,0,3.607,5.297,18.043,2.832,12.668,0,14.333,414.31,1.505,13.153,4.156,6.579,6.579,1.325,5.297,6.634,4.149,4.149,1.036,159.933,234.379,1.879,6.149
6.229,0,0,21.641,6.21,7.515,7.515,2,1.117,13.562,13.562,13.562,3.585,3.585,5.585,3.585,7.595,13.412,4.246,4.542,4.542,20.0,1.09,19.61,19.61,19.61,19.61,19.61,17.462,1.017,4,20.062,0.101,1.441,1.129,0.868,4.595,4.595,4.595,45.1,7.771,8.581,9.858,4.142,14.181,1.431,4.796,21.274,-0.156,-0.156,313.476,16.767,16.767,16.767,16.767,16.767,-0.206,0.221,142.452,1.741,13.219,3.555,3.555,34,4.234,39.315,36.735,3.233,3.443,0.14,0,0.134,52.044,4.344,9572.0,42.347,34.152,16,147.192,18.765,5.642,26.928,4.878,2.08,30,5.9,23.034,5.245,5.245,4.204,11.224,9147.0,0,3.072,3.072,3.959,3.959,2.296,50.994,5.608,21.37,369.2,11,4.318,1.278,22.37,5.149,0.057,1.748,2.841,0,2.733,70.984,0,0.135,0,3.988,4.981,19.921,2.84,12.797,0,16.083,442.37,1.687,13.276,4.315,6.799,6.799,1.735,4.981,6.659,4.209,4.209,1.143,174.419,252.009,2.099,6.209
5.83,0,0,21.641,6.21,7.515,7.515,2,1.117,13.562,13.562,13.562,3.585,3.585,5.585,3.585,7.595,13.412,4.246,4.542,4.542,20.0,1.09,19.61,19.61,19.61,19.61,19.61,17.462,1.017,4,20.062,0.101,1.441,1.129,0.868,4.595,4.595,4.595,45.1,7.771,8.581,9.858,4.142,14.181,1.431,4.796,21.274,-0.156,-0.156,313.476,16.767,16.767,16.767,16.767,16.767,-0.206,0.221,142.452,1.741,13.219,3.555,3.555,34,4.234,39.315,36.735,3.233,3.443,0.14,0,0.134,52.044,4.344,9572.0,42.347,34.152,16,147.192,18.765,5.642,26.928,4.878,2.08,30,5.9,23.034,5.245,5.245,4.204,11.224,9147.0,0,3.072,3.072,3.959,3.959,2.296,50.994,5.608,21.37,369.2,11,4.318,1.278,22.37,5.149,0.057,1.748,2.841,0,2.733,70.984,0,0.135,0,3.988,4.981,19.921,2.84,12.797,0,16.083,442.37,1.687,13.276,4.315,6.799,6.799,1.735,4.981,6.659,4.209,4.209,1.143,174.419,252.009,2.099,6.209
5.383,0,0,21.641,6.21,7.515,7.515,2,1.117,13.562,13.562,13.562,3.585,3.585,5.585,3.585,7.595,13.412,4.246,4.542,4.542,20.0,1.09,19.61,19.61,19.61,19.61,19.61,17.462,1.017,4,20.062,0.101,1.441,1.129,0.868,4.595,4.595,4.595,45.1,7.771,8.581,9.858,4.142,14.181,1.431,4.796,21.274,-0.156,-0.156,313.476,16.767,16.767,16.767,16.767,16.767,-0.206,0.221,142.452,1.741,13.219,3.555,3.555,34,4.234,39.315,36.735,3.233,3.443,0.14,0,0.134,52.044,4.344,9572.0,42.347,34.152,16,147.192,18.765,5.642,26.928,4.878,2.08,30,5.9,23.034,5.245,5.245,4.204,11.224,9147.0,0,3.072,3.072,3.959,3.959,2.296,50.994,5.608,21.37,369.2,11,4.318,1.278,22.37,5.149,0.057,1.748,2.841,0,2.733,70.984,0,0.135,0,3.988,4.981,19.921,2.84,12.797,0,16.083,442.37,1.687,13.276,4.315,6.799,6.799,1.735,4.981,6.659,4.209,4.209,1.143,174.419,252.009,2.099,6.209
7.155,0,0,21.641,6.21,7.515,7.515,2,1.117,13.562,13.562,13.562,3.585,3.585,5.585,3.585,7.595,13.412,4.246,4.542,4.542,20.0,1.09,19.61,19.61,19.61,19.61,19.61,17.462,1.017,4,20.062,0.101,1.441,1.129,0.868,4.595,4.595,4.595,45.1,7.771,8.581,9.858,4.142,14.181,1.431,4.796,21.274,-0.156,-0.156,313.476,16.767,16.767,16.767,16.767,16.767,-0.206,0.221,142.452,1.741,13.219,3.555,3.555,34,4.234,39.315,36.735,3.233,3.443,0.14,0,0.134,52.044,4.344,9572.0,42.347,34.152,16,147.192,18.765,5.642,26.928,4.878,2.08,30,5.9,23.034,5.245,5.245,4.204,11.224,9147.0,0,3.072,3.072,3.959,3.959,2.296,50.994,5.608,21.37,369.2,11,4.318,1.278,22.37,5.149,0.057,1.748,2.841,0,2.733,70.984,0,0.135,0,3.988,4.981,19.921,2.84,12.797,0,16.083,442.37,1.687,13.276,4.315,6.799,6.799,1.735,4.981,6.659,4.209,4.209,1.143,174.419,252.009,2.099,6.209
5.728,0,0,21.617,6.141,7.513,7.513,2,1.117,13.538,13.538,13.538,3.582,3.582,5.582,3.582,7.594,13.405,4.219,4.539,4.539,20.0,1.09,19.61,19.61,19.61,19.61,19.61,17.462,1.002,4,20.049,0.101,1.436,1.128,0.877,4.594,4.594,4.594,45.1,7.773,8.578,9.858,4.142,14.181,1.431,4.796,21.274,-0.108,-0.108,312.138,16.751,16.751,16.751,16.751,16.751,-0.137,0.221,142.452,1.741,13.252,3.555,3.555,34,4.234,39.274,36.695,3.233,3.443,0.14,0,0.133,52.044,4.422,9672.0,43.496,34.113,15,147.49,18.765,5.638,26.982,4.878,2.087,30,5.886,23.034,5.151,5.151,4.225,11.218,9239.0,0,3.185,3.185,3.925,3.925,2.305,51.016,5.605,21.37,369.2,11,4.337,1.278,22.37,5.142,0.057,1.538,2.838,0,2.735,79.705,0,0.135,0,4.032,4.981,19.921,2.839,12.782,0,16.083,442.37,1.709,13.262,4.29,6.852,6.852,1.738,4.981,6.653,4.208,4.208,1.143,175.418,250.009,2.103,6.208
5.195,0,0,21.617,6.141,7.513,7.513,2,1.117,13.538,13.538,13.538,3.582,3.582,5.582,3.582,7.594,13.405,4.219,4.539,4.539,20.0,1.09,19.61,19.61,19.61,19.61,19.61,17.462,1.002,4,20.049,0.101,1.436,1.128,0.877,4.594,4.594,4.594,45.1,7.773,8.578,9.858,4.142,14.181,1.431,4.796,21.274,-0.108,-0.108,312.138,16.751,16.751,16.751,16.751,16.751,-0.137,0.221,142.452,1.741,13.252,3.555,3.555,34,4.234,39.274,36.695,3.233,3.443,0.14,0,0.133,52.044,4.422,9672.0,43.496,34.113,15,147.49,18.765,5.638,26.982,4.878,2.087,30,5.886,23.034,5.151,5.151,4.225,11.218,9239.0,0,3.185,3.185,3.925,3.925,2.305,51.016,5.605,21.37,369.2,11,4.337,1.278,22.37,5.142,0.057,1.538,2.838,0,2.735,79.705,0,0.135,0,4.032,4.981,19.921,2.839,12.782,0,16.083,442.37,1.709,13.262,4.29,6.852,6.852,1.738,4.981,6.653,4.208,4.208,1.143,175.418,250.009,2.103,6.208
5.636,0,0,21.617,6.141,7.513,7.513,2,1.117,13.538,13.538,13.538,3.582,3.582,5.582,3.582,7.594,13.405,4.219,4.539,4.539,20.0,1.09,19.61,19.61,19.61,19.61,19.61,17.462,1.002,4,20.049,0.101,1.436,1.128,0.877,4.594,4.594,4.594,45.1,7.773,8.578,9.858,4.142,14.181,1.431,4.796,21.274,-0.108,-0.108,312.138,16.751,16.751,16.751,16.751,16.751,-0.137,0.221,142.452,1.741,13.252,3.555,3.555,34,4.234,39.274,36.695,3.233,3.443,0.14,0,0.133,52.044,4.422,9672.0,43.496,34.113,15,147.49,18.765,5.638,26.982,4.878,2.087,30,5.886,23.034,5.151,5.151,4.225,11.218,9239.0,0,3.185,3.185,3.925,3.925,2.305,51.016,5.605,21.37,369.2,11,4.337,1.278,22.37,5.142,0.057,1.538,2.838,0,2.735,79.705,0,0.135,0,4.032,4.981,19.921,2.839,12.782,0,16.083,442.37,1.709,13.262,4.29,6.852,6.852,1.738,4.981,6.653,4.208,4.208,1.143,175.418,250.009,2.103,6.208
7.921,0,0,21.617,6.141,7.513,7.513,2,1.117,13.538,13.538,13.538,3.582,3.582,5.582,3.582,7.594,13.405,4.219,4.539,4.539,20.0,1.09,19.61,19.61,19.61,19.61,19.61,17.462,1.002,4,20.049,0.101,1.436,1.128,0.877,4.594,4.594,4.594,45.1,7.773,8.578,9.858,4.142,14.181,1.431,4.796,21.274,-0.108,-0.108,312.138,16.751,16.751,16.751,16.751,16.751,-0.137,0.221,142.452,1.741,13.252,3.555,3.555,34,4.234,39.274,36.695,3.233,3.443,0.14,0,0.133,52.044,4.422,9672.0,43.496,34.113,15,147.49,18.765,5.638,26.982,4.878,2.087,30,5.886,23.034,5.151,5.151,4.225,11.218,9239.0,0,3.185,3.185,3.925,3.925,2.305,51.016,5.605,21.37,369.2,11,4.337,1.278,22.37,5.142,0.057,1.538,2.838,0,2.735,79.705,0,0.135,0,4.032,4.981,19.921,2.839,12.782,0,16.083,442.37,1.709,13.262,4.29,6.852,6.852,1.738,4.981,6.653,4.208,4.208,1.143,175.418,250.009,2.103,6.208
5.638,0,0,20.516,6.407,7.208,7.208,2,1.113,12.755,12.755,12.755,3.435,3.435,5.435,3.435,7.594,12.159,4.17,4.401,4.401,19.0,1.071,19.585,19.585,19.585,19.585,19.585,17.388,1.04,2,20.166,0.104,1.523,1.146,0.832,4.594,4.594,4.594,45.7,7.029,8.495,8.944,4.101,13.956,1.399,4.765,20.103,-0.017,-0.017,284.505,15.636,15.636,15.636,15.636,15.636,-0.021,0.225,140.881,1.735,12.61,3.497,3.497,32,4.174,38.263,35.736,2.732,3.41,0.147,0,0.138,25.294,4.562,8308.0,44.447,33.205,12,140.837,16.967,5.375,26.202,4.829,1.856,29,5.561,19.91,3.537,3.537,4.179,10.797,8173.0,0,2.803,2.803,3.948,3.948,2.071,45.27,5.446,20.706,359.96,10,4.279,1.333,22.206,4.804,0.02,1.51,2.902,0,2.415,93.022,0,0.144,0,3.609,5.333,20.542,2.901,12.525,0,15.5,451.75,1.591,13.017,4.332,5.926,5.926,1.385,5.333,6.6,4.017,4.017,1.021,193.278,243.329,1.889,6.017
6.42,0,0,20.516,6.407,7.208,7.208,2,1.113,12.755,12.755,12.755,3.435,3.435,5.435,3.435,7.594,12.159,4.17,4.401,4.401,19.0,1.071,19.585,19.585,19.585,19.585,19.585,17.388,1.04,2,20.166,0.104,1.523,1.146,0.832,4.594,4.594,4.594,45.7,7.029,8.495,8.944,4.101,13.956,1.399,4.765,20.103,-0.017,-0.017,284.505,15.636,15.636,15.636,15.636,15.636,-0.021,0.225,140.881,1.735,12.61,3.497,3.497,32,4.174,38.263,35.736,2.732,3.41,0.147,0,0.138,25.294,4.562,8308.0,44.447,33.205,12,140.837,16.967,5.375,26.202,4.829,1.856,29,5.561,19.91,3.537,3.537,4.179,10.797,8173.0,0,2.803,2.803,3.948,3.948,2.071,45.27,5.446,20.706,359.96,10,4.279,1.333,22.206,4.804,0.02,1.51,2.902,0,2.415,93.022,0,0.144,0,3.609,5.333,20.542,2.901,12.525,0,15.5,451.75,1.591,13.017,4.332,5.926,5.926,1.385,5.333,6.6,4.017,4.017,1.021,193.278,243.329,1.889,6.017
6.585,0,0,20.947,6.36,7.334,7.334,2,1.118,12.953,12.953,12.953,3.503,3.503,5.503,3.503,7.595,13.878,4.258,4.466,4.466,20.5,1.162,20.264,20.264,20.264,20.264,20.264,18.092,1.367,2,20.704,0.096,1.573,1.207,0.97,4.595,4.595,4.595,44.4,8.111,8.675,10.301,4.174,14.664,1.419,4.846,22.091,0.064,0.064,325.612,17.267,17.267,17.267,17.267,17.267,0.076,0.21,148.825,1.749,13.692,3.584,3.584,35,4.263,38.783,36.251,3.321,3.474,0.135,0,0.128,54.15,4.382,10498.0,44.371,33.716,13,154.068,19.428,5.624,27.732,4.925,2.181,31,5.875,23.034,5.254,5.254,4.244,11.606,10031.0,0,3.123,3.123,3.95,3.95,2.296,52.435,5.535,22.077,386.5,11,4.356,1.39,23.077,5.284,0.144,1.501,2.912,0,2.76,71.314,0,0.131,0,4.009,5.064,20.866,2.903,12.743,0,16.583,456.4,1.921,13.229,4.368,6.971,6.971,1.771,5.064,6.653,4.1,4.1,1.146,228.234,271.48,2.104,6.1
6.137,0,0,20.675,6.46,7.249,7.249,2,1.113,12.911,12.911,12.911,3.451,3.451,5.451,3.451,7.596,12.138,4.01,4.414,4.414,19.0,1.071,19.637,19.637,19.637,19.637,19.637,17.412,1.041,2,20.192,0.104,1.523,1.147,0.82,4.596,4.596,4.596,45.7,7.038,8.504,8.95,4.101,13.973,1.399,4.765,20.103,-0.019,-0.019,287.066,15.626,15.626,15.626,15.626,15.626,-0.023,0.227,134.881,1.736,12.644,3.497,3.497,32,4.174,38.449,35.911,2.733,3.41,0.148,0,0.138,25.294,4.669,8116.0,52.242,33.37,12,140.228,16.972,5.384,26.069,4.831,1.787,29,5.557,19.91,3.511,3.511,4.202,10.809,7994.0,0,2.747,2.747,4.052,4.052,2.072,45.254,5.459,20.706,359.96,9,4.303,1.334,22.206,4.823,0.0,1.651,2.893,0,2.423,83.513,0,0.144,0,3.609,5.159,20.542,2.889,12.556,0,15.5,451.75,1.565,13.045,4.377,5.571,5.571,1.395,5.159,6.604,4.023,4.023,1.021,190.848,232.574,1.888,6.023
7.301,0,0,20.586,6.141,7.222,7.222,2,1.114,12.802,12.802,12.802,3.453,3.453,5.453,3.453,7.595,12.369,3.992,4.419,4.419,19.0,1.039,18.792,18.792,18.792,18.792,18.792,16.619,0.984,2,19.232,0.104,1.433,1.122,0.542,4.595,4.595,4.595,46.7,7.12,8.383,9.018,4.083,13.452,1.413,4.722,19.782,-0.408,-0.408,283.011,15.772,15.772,15.772,15.772,15.772,-0.458,0.226,132.606,1.723,12.474,3.497,3.497,32,4.174,38.329,35.8,3.215,3.377,0.148,0,0.138,27.674,4.247,8173.0,33.72,33.267,10,134.119,17.398,5.509,25.412,4.78,1.873,28,5.749,23.034,3.996,3.996,4.034,10.45,7712.0,0,2.794,2.794,3.949,3.949,2.057,47.338,5.488,19.577,334.6,8,4.13,1.208,20.577,4.78,0.02,1.357,2.859,0,2.406,68.78,0,0.144,0,3.613,5.297,18.043,2.86,12.624,0,14.333,414.31,1.513,13.111,4.202,6.247,6.247,1.366,5.297,6.633,4.057,4.057,1.049,198.353,236.379,1.969,6.057
5.921,0,0,20.586,6.141,7.222,7.222,2,1.114,12.802,12.802,12.802,3.453,3.453,5.453,3.453,7.595,12.369,3.992,4.419,4.419,19.0,1.039,18.792,18.792,18.792,18.792,18.792,16.619,0.984,2,19.232,0.104,1.433,1.122,0.542,4.595,4.595,4.595,46.7,7.12,8.383,9.018,4.083,13.452,1.413,4.722,19.782,-0.408,-0.408,283.011,15.772,15.772,15.772,15.772,15.772,-0.458,0.226,132.606,1.723,12.474,3.497,3.497,32,4.174,38.329,35.8,3.215,3.377,0.148,0,0.138,27.674,4.247,8173.0,33.72,33.267,10,134.119,17.398,5.509,25.412,4.78,1.873,28,5.749,23.034,3.996,3.996,4.034,10.45,7712.0,0,2.794,2.794,3.949,3.949,2.057,47.338,5.488,19.577,334.6,8,4.13,1.208,20.577,4.78,0.02,1.357,2.859,0,2.406,68.78,0,0.144,0,3.613,5.297,18.043,2.86,12.624,0,14.333,414.31,1.513,13.111,4.202,6.247,6.247,1.366,5.297,6.633,4.057,4.057,1.049,198.353,236.379,1.969,6.057
6.071,0,0,20.586,6.141,7.222,7.222,2,1.114,12.802,12.802,12.802,3.453,3.453,5.453,3.453,7.595,12.369,3.992,4.419,4.419,19.0,1.039,18.792,18.792,18.792,18.792,18.792,16.619,0.984,2,19.232,0.104,1.433,1.122,0.542,4.595,4.595,4.595,46.7,7.12,8.383,9.018,4.083,13.452,1.413,4.722,19.782,-0.408,-0.408,283.011,15.772,15.772,15.772,15.772,15.772,-0.458,0.226,132.606,1.723,12.474,3.497,3.497,32,4.174,38.329,35.8,3.215,3.377,0.148,0,0.138,27.674,4.247,8173.0,33.72,33.267,10,134.119,17.398,5.509,25.412,4.78,1.873,28,5.749,23.034,3.996,3.996,4.034,10.45,7712.0,0,2.794,2.794,3.949,3.949,2.057,47.338,5.488,19.577,334.6,8,4.13,1.208,20.577,4.78,0.02,1.357,2.859,0,2.406,68.78,0,0.144,0,3.613,5.297,18.043,2.86,12.624,0,14.333,414.31,1.513,13.111,4.202,6.247,6.247,1.366,5.297,6.633,4.057,4.057,1.049,198.353,236.379,1.969,6.057
7.301,0,0,20.586,6.141,7.222,7.222,2,1.114,12.802,12.802,12.802,3.453,3.453,5.453,3.453,7.595,12.369,3.992,4.419,4.419,19.0,1.039,18.792,18.792,18.792,18.792,18.792,16.619,0.984,2,19.232,0.104,1.433,1.122,0.542,4.595,4.595,4.595,46.7,7.12,8.383,9.018,4.083,13.452,1.413,4.722,19.782,-0.408,-0.408,283.011,15.772,15.772,15.772,15.772,15.772,-0.458,0.226,132.606,1.723,12.474,3.497,3.497,32,4.174,38.329,35.8,3.215,3.377,0.148,0,0.138,27.674,4.247,8173.0,33.72,33.267,10,134.119,17.398,5.509,25.412,4.78,1.873,28,5.749,23.034,3.996,3.996,4.034,10.45,7712.0,0,2.794,2.794,3.949,3.949,2.057,47.338,5.488,19.577,334.6,8,4.13,1.208,20.577,4.78,0.02,1.357,2.859,0,2.406,68.78,0,0.144,0,3.613,5.297,18.043,2.86,12.624,0,14.333,414.31,1.513,13.111,4.202,6.247,6.247,1.366,5.297,6.633,4.057,4.057,1.049,198.353,236.379,1.969,6.057
8.699,0,0,20.601,6.217,7.224,7.224,2,1.115,12.81,12.81,12.81,3.455,3.455,5.455,3.455,7.595,12.814,4.089,4.421,4.421,19.5,1.162,19.662,19.662,19.662,19.662,19.662,17.49,1.178,2,20.138,0.101,1.557,1.207,0.953,4.595,4.595,4.595,45.8,7.598,8.483,9.598,4.117,13.99,1.419,4.774,20.599,0.029,0.029,295.782,16.21,16.21,16.21,16.21,16.21,0.034,0.219,140.881,1.732,13.011,3.526,3.526,33,4.205,38.343,35.814,3.24,3.41,0.143,0,0.134,38.605,4.294,8944.0,37.478,33.282,11,140.828,18.052,5.549,26.224,4.829,1.921,29,5.793,23.034,4.009,4.009,4.109,10.839,8477.0,0,2.797,2.797,3.949,3.949,2.058,48.322,5.49,20.284,351.9,9,4.211,1.32,21.284,4.931,0.061,1.377,2.909,0,2.408,69.949,0,0.139,0,3.701,5.361,18.981,2.898,12.647,0,14.833,428.34,1.652,13.134,4.261,6.521,6.521,1.368,5.361,6.64,4.061,4.061,1.091,208.314,255.323,2.025,6.061
6.585,0,0,20.601,6.217,7.224,7.224,2,1.115,12.81,12.81,12.81,3.455,3.455,5.455,3.455,7.595,12.814,4.089,4.421,4.421,19.5,1.162,19.662,19.662,19.662,19.662,19.662,17.49,1.178,2,20.138,0.101,1.557,1.207,0.953,4.595,4.595,4.595,45.8,7.598,8.483,9.598,4.117,13.99,1.419,4.774,20.599,0.029,0.029,295.782,16.21,16.21,16.21,16.21,16.21,0.034,0.219,140.881,1.732,13.011,3.526,3.526,33,4.205,38.343,35.814,3.24,3.41,0.143,0,0.134,38.605,4.294,8944.0,37.478,33.282,11,140.828,18.052,5.549,26.224,4.829,1.921,29,5.793,23.034,4.009,4.009,4.109,10.839,8477.0,0,2.797,2.797,3.949,3.949,2.058,48.322,5.49,20.284,351.9,9,4.211,1.32,21.284,4.931,0.061,1.377,2.909,0,2.408,69.949,0,0.139,0,3.701,5.361,18.981,2.898,12.647,0,14.833,428.34,1.652,13.134,4.261,6.521,6.521,1.368,5.361,6.64,4.061,4.061,1.091,208.314,255.323,2.025,6.061
6.004,0,0,20.601,6.217,7.224,7.224,2,1.115,12.81,12.81,12.81,3.455,3.455,5.455,3.455,7.595,12.814,4.089,4.421,4.421,19.5,1.162,19.662,19.662,19.662,19.662,19.662,17.49,1.178,2,20.138,0.101,1.557,1.207,0.953,4.595,4.595,4.595,45.8,7.598,8.483,9.598,4.117,13.99,1.419,4.774,20.599,0.029,0.029,295.782,16.21,16.21,16.21,16.21,16.21,0.034,0.219,140.881,1.732,13.011,3.526,3.526,33,4.205,38.343,35.814,3.24,3.41,0.143,0,0.134,38.605,4.294,8944.0,37.478,33.282,11,140.828,18.052,5.549,26.224,4.829,1.921,29,5.793,23.034,4.009,4.009,4.109,10.839,8477.0,0,2.797,2.797,3.949,3.949,2.058,48.322,5.49,20.284,351.9,9,4.211,1.32,21.284,4.931,0.061,1.377,2.909,0,2.408,69.949,0,0.139,0,3.701,5.361,18.981,2.898,12.647,0,14.833,428.34,1.652,13.134,4.261,6.521,6.521,1.368,5.361,6.64,4.061,4.061,1.091,208.314,255.323,2.025,6.061
8.0,0,0,20.601,6.217,7.224,7.224,2,1.115,12.81,12.81,12.81,3.455,3.455,5.455,3.455,7.595,12.814,4.089,4.421,4.421,19.5,1.162,19.662,19.662,19.662,19.662,19.662,17.49,1.178,2,20.138,0.101,1.557,1.207,0.953,4.595,4.595,4.595,45.8,7.598,8.483,9.598,4.117,13.99,1.419,4.774,20.599,0.029,0.029,295.782,16.21,16.21,16.21,16.21,16.21,0.034,0.219,140.881,1.732,13.011,3.526,3.526,33,4.205,38.343,35.814,3.24,3.41,0.143,0,0.134,38.605,4.294,8944.0,37.478,33.282,11,140.828,18.052,5.549,26.224,4.829,1.921,29,5.793,23.034,4.009,4.009,4.109,10.839,8477.0,0,2.797,2.797,3.949,3.949,2.058,48.322,5.49,20.284,351.9,9,4.211,1.32,21.284,4.931,0.061,1.377,2.909,0,2.408,69.949,0,0.139,0,3.701,5.361,18.981,2.898,12.647,0,14.833,428.34,1.652,13.134,4.261,6.521,6.521,1.368,5.361,6.64,4.061,4.061,1.091,208.314,255.323,2.025,6.061
5.873,0,0,20.508,6.154,7.199,7.199,2,1.115,12.717,12.717,12.717,3.444,3.444,5.444,3.444,7.593,12.807,4.166,4.412,4.412,19.5,1.162,19.662,19.662,19.662,19.662,19.662,17.49,1.174,2,20.125,0.101,1.557,1.206,0.94,4.593,4.593,4.593,45.8,7.601,8.48,9.598,4.117,13.99,1.418,4.774,20.599,0.098,0.098,294.485,16.194,16.194,16.194,16.194,16.194,0.116,0.218,140.881,1.732,13.044,3.526,3.526,33,4.205,38.235,35.714,3.234,3.41,0.143,0,0.134,38.605,4.357,9040.0,35.975,33.188,10,141.127,18.052,5.549,26.279,4.828,1.96,29,5.784,23.034,3.545,3.545,4.132,10.834,8565.0,0,2.815,2.815,3.915,3.915,2.066,48.378,5.481,20.284,351.9,9,4.232,1.319,21.284,4.924,0.061,1.243,2.909,0,2.399,80.328,0,0.139,0,3.701,5.361,18.981,2.901,12.629,0,14.833,428.34,1.67,13.118,4.231,6.761,6.761,1.357,5.361,6.633,4.058,4.058,1.091,209.655,253.323,2.025,6.058
