pXC50,nX,nF,Mi,Si,nBT,nAT,nHet,Se,Sp,MW,X.,nC,nCsp,RBN,N.,SCBO,nTB,nCsp3,nN,nBO,nH,Sv,nSK,Mp,nS,nBM,C.,nHM
4.301,0,0,1.13,83.646,79.0,74.0,14,74.88,50.296,608.82,0.0,28,0,10,10.8,59.0,0,11,8,47,32,47.726,42,0.68,2,23,37.8,2
4.833,0,0,1.122,90.852,88.0,81.0,13,81.436,56.603,666.9,0.0,34,0,7,9.9,69.0,0,11,8,54,34,53.538,47,0.699,2,29,42.0,2
4.301,0,0,1.13,85.852,81.0,76.0,13,76.436,51.603,606.85,0.0,29,0,8,10.5,59.0,0,12,8,47,34,48.538,42,0.679,2,23,38.2,2
6.959,2,2,1.14,74.114,68.0,65.0,9,65.785,41.921,484.6,3.1,26,0,9,6.2,47.5,0,10,4,38,30,40.372,35,0.645,0,18,40.0,0
6.538,2,2,1.139,78.572,72.0,69.0,8,69.559,43.648,488.63,2.9,27,0,9,2.9,45.0,0,14,2,38,34,41.624,35,0.633,0,13,39.1,0
4.301,0,0,1.129,79.022,75.0,70.0,13,70.669,48.08,578.79,0.0,27,0,9,11.4,57.0,0,10,8,45,30,45.485,40,0.687,2,23,38.6,2
5.759,1,1,1.133,47.575,44.0,42.0,6,42.542,27.955,327.39,2.4,18,0,4,7.1,34.0,0,4,3,26,18,27.092,24,0.666,0,14,42.9,0
5.951,2,2,1.141,51.33,47.0,45.0,7,45.938,29.654,359.41,4.4,19,0,4,6.7,36.0,0,5,3,28,19,29.002,26,0.659,0,14,42.2,0
7.427,2,2,1.136,54.539,50.0,48.0,8,49.265,32.108,399.43,4.2,21,2,3,6.3,41.0,1,5,3,31,19,31.716,29,0.669,0,15,43.8,0
7.699,2,2,1.136,61.37,56.0,54.0,8,55.032,35.631,427.49,3.7,23,2,6,5.6,43.0,1,7,3,33,23,34.77,31,0.66,0,15,42.6,0
5.886,2,2,1.141,67.323,60.0,59.0,6,59.138,37.216,404.55,3.4,23,0,9,3.4,37.0,0,10,2,30,30,35.141,29,0.631,0,13,39.0,0
6.699,2,2,1.141,74.153,66.0,65.0,6,64.905,40.739,432.61,3.1,25,0,9,3.1,39.0,0,12,2,32,34,38.195,31,0.627,0,13,38.5,0
6.959,2,2,1.141,54.745,50.0,48.0,7,48.821,31.415,373.44,4.2,20,0,5,6.3,37.0,0,6,3,29,21,30.528,27,0.654,0,14,41.7,0
6.276,2,2,1.14,61.576,56.0,54.0,7,54.589,34.938,401.5,3.7,22,0,7,5.6,39.0,0,8,3,31,25,33.582,29,0.647,0,14,40.7,0
6.66,4,4,1.157,53.219,48.0,46.0,10,48.291,29.983,411.39,8.7,19,0,5,6.5,39.0,0,5,3,31,17,30.483,29,0.652,0,14,41.3,0
7.398,4,4,1.156,56.634,51.0,49.0,10,51.174,31.745,425.42,8.2,20,0,6,6.1,40.0,0,6,3,32,19,32.01,30,0.648,0,14,40.8,0
4.301,1,0,1.128,75.551,72.0,67.0,14,68.109,47.176,599.2,1.5,26,0,8,11.9,57.0,0,9,8,45,27,44.785,40,0.704,2,23,38.8,3
6.673,2,2,1.14,61.576,56.0,54.0,7,54.589,34.938,401.5,3.7,22,0,6,5.6,39.0,0,8,3,31,25,33.582,29,0.647,0,14,40.7,0
6.569,5,5,1.16,59.179,53.0,51.0,10,53.243,32.989,441.44,9.8,21,0,6,5.9,41.0,0,7,3,33,20,33.205,31,0.647,0,14,41.2,0
6.824,4,4,1.155,60.049,54.0,52.0,10,54.058,33.506,439.45,7.7,21,0,7,5.8,41.0,0,7,3,33,21,33.537,31,0.644,0,14,40.4,0
5.921,5,5,1.163,56.974,51.0,49.0,11,51.687,31.682,443.41,10.2,20,0,6,6.1,41.0,0,6,3,33,18,32.393,31,0.647,0,14,40.8,0
6.009,2,2,1.139,66.074,61.0,58.0,8,58.69,37.944,440.54,3.4,24,0,9,6.9,44.5,0,8,4,35,26,36.603,32,0.654,0,18,41.4,0
6.119,2,2,1.138,70.532,65.0,62.0,7,62.465,39.671,444.57,3.2,25,0,9,3.2,42.0,0,12,2,35,30,37.856,32,0.64,0,13,40.3,0
7.174,2,2,1.139,55.828,51.0,49.0,8,50.04,32.659,398.45,4.1,21,1,6,8.2,41.0,1,6,4,31,20,32.023,29,0.667,0,15,42.9,0
7.049,3,3,1.146,57.294,52.0,50.0,9,51.661,32.807,419.44,6.0,21,0,6,6.0,41.0,0,6,3,32,20,32.627,30,0.656,0,15,42.0,0
7.427,2,2,1.139,56.955,53.0,50.0,8,51.149,32.87,401.45,4.0,21,0,6,6.0,40.0,0,7,3,32,21,32.243,29,0.657,0,14,42.0,0
6.611,4,4,1.158,49.804,45.0,43.0,10,45.407,28.222,397.36,9.3,18,0,4,7.0,38.0,0,4,3,30,15,28.956,28,0.656,0,14,41.9,0
5.886,5,5,1.154,66.927,60.0,58.0,9,59.792,37.267,468.51,8.6,24,0,9,3.4,43.0,0,9,2,35,25,36.764,33,0.643,0,14,41.4,0
6.538,3,3,1.144,72.078,65.0,63.0,7,63.534,39.915,448.58,4.8,25,0,9,3.2,41.0,0,12,2,34,31,38.051,32,0.634,0,13,39.7,0
7.705,3,3,1.143,58.294,53.0,51.0,9,52.661,33.807,431.45,5.9,22,2,4,5.9,43.0,1,6,3,33,20,33.627,31,0.663,0,15,43.1,0
7.62,3,3,1.139,54.67,51.0,48.0,8,49.451,32.591,413.43,6.3,22,2,3,6.3,43.0,1,6,3,33,18,32.385,30,0.679,0,15,45.8,0
6.569,4,4,1.154,58.84,53.0,51.0,9,52.73,33.052,423.45,7.8,21,0,6,5.9,40.0,0,7,3,32,21,32.822,30,0.648,0,14,41.2,0
7.398,3,3,1.145,56.085,51.0,49.0,8,50.334,32.353,403.44,6.1,21,0,5,6.1,40.0,0,5,3,31,20,31.912,29,0.66,0,15,42.9,0
7.262,4,4,1.157,53.219,48.0,46.0,10,48.291,29.983,411.39,8.7,19,0,5,6.5,39.0,0,5,3,31,17,30.483,29,0.652,0,14,41.3,0
7.078,5,5,1.164,53.558,48.0,46.0,11,48.803,29.921,429.38,10.9,19,0,5,6.5,40.0,0,5,3,32,16,30.866,30,0.65,0,14,41.3,0
6.638,4,4,1.149,72.417,65.0,63.0,8,64.047,39.853,466.57,6.3,25,0,9,3.2,42.0,0,12,2,35,30,38.434,33,0.633,0,13,39.7,0
6.409,4,4,1.149,72.417,65.0,63.0,8,64.047,39.853,466.57,6.3,25,0,9,3.2,42.0,0,12,2,35,30,38.434,33,0.633,0,13,39.7,0
6.824,2,2,1.141,47.915,44.0,42.0,7,43.054,27.892,345.38,4.8,18,0,3,7.1,35.0,0,4,3,27,17,27.475,25,0.664,0,14,42.9,0
7.678,3,3,1.139,58.085,54.0,51.0,8,52.334,34.353,427.46,5.9,23,2,3,5.9,44.0,1,7,3,34,20,33.912,31,0.674,0,15,45.1,0
6.921,4,4,1.152,56.425,51.0,49.0,9,50.847,32.29,421.43,8.2,21,0,5,6.1,41.0,0,5,3,32,19,32.295,30,0.659,0,15,42.9,0
6.456,2,2,1.135,56.745,53.0,50.0,7,50.821,33.415,397.46,4.0,22,0,5,6.0,41.0,0,6,3,32,21,32.528,29,0.668,0,15,44.0,0
7.301,4,4,1.156,56.634,51.0,49.0,10,51.174,31.745,425.42,8.2,20,0,6,6.1,40.0,0,6,3,32,19,32.01,30,0.648,0,14,40.8,0
6.523,5,5,1.159,57.974,52.0,50.0,11,52.687,32.682,455.42,10.0,21,0,7,6.0,43.0,0,5,3,34,18,33.393,32,0.654,0,15,42.0,0
6.215,2,2,1.139,75.153,68.0,66.0,6,65.905,41.739,444.62,3.0,26,0,9,3.0,41.0,0,13,2,34,34,39.195,32,0.632,0,13,39.4,0
5.77,4,4,1.149,75.833,68.0,66.0,8,66.93,41.614,480.6,6.1,26,0,9,3.0,43.0,0,13,2,36,32,39.961,34,0.631,0,13,39.4,0
7.722,3,3,1.143,54.879,50.0,48.0,9,49.778,32.046,417.42,6.3,21,2,4,6.3,42.0,1,5,3,32,18,32.1,30,0.668,0,15,43.8,0
6.658,3,3,1.142,57.085,53.0,50.0,8,51.334,33.353,415.45,6.0,22,0,5,6.0,42.0,0,6,3,33,20,32.912,30,0.667,0,15,44.0,0
5.27,3,3,1.142,57.085,53.0,50.0,8,51.334,33.353,415.45,6.0,22,0,5,6.0,42.0,0,6,3,33,20,32.912,30,0.667,0,15,44.0,0
7.373,4,4,1.153,57.634,52.0,50.0,10,52.174,32.745,437.43,8.0,21,0,7,6.0,42.0,0,5,3,33,19,33.01,31,0.655,0,15,42.0,0
7.339,5,5,1.163,56.974,51.0,49.0,11,51.687,31.682,443.41,10.2,20,0,5,6.1,41.0,0,6,3,33,18,32.393,31,0.647,0,14,40.8,0
7.549,2,2,1.139,56.955,52.0,50.0,8,51.149,32.87,401.45,4.0,21,0,6,6.0,40.0,0,5,3,31,21,32.243,29,0.657,0,15,42.0,0
7.549,2,2,1.139,60.37,55.0,53.0,8,54.032,34.631,415.48,3.8,22,0,7,5.7,41.0,0,6,3,32,23,33.77,30,0.653,0,15,41.5,0
7.741,2,2,1.132,57.745,54.0,51.0,7,51.821,34.415,409.47,3.9,23,2,3,5.9,43.0,1,7,3,33,21,33.528,30,0.675,0,15,45.1,0
7.699,4,4,1.149,54.009,49.0,47.0,9,48.963,31.529,419.41,8.5,21,2,3,6.4,42.0,1,5,3,32,17,31.768,30,0.671,0,15,44.7,0
7.262,2,2,1.14,58.16,53.0,51.0,7,51.705,33.177,387.47,3.9,21,0,6,5.9,38.0,0,7,3,30,23,32.055,28,0.651,0,14,41.2,0
7.151,2,2,1.139,63.785,58.0,56.0,8,56.916,36.392,429.51,3.6,23,0,8,5.4,42.0,0,7,3,33,25,35.297,31,0.65,0,15,41.1,0
7.151,2,2,1.139,56.955,52.0,50.0,8,51.149,32.87,401.45,4.0,21,0,6,6.0,40.0,0,5,3,31,21,32.243,29,0.657,0,15,42.0,0
4.699,0,0,1.122,70.69,68.0,63.0,10,63.029,44.404,517.74,0.0,26,0,8,11.1,53.0,0,9,7,41,27,41.507,36,0.705,2,23,41.3,2
5.77,0,0,1.127,76.603,73.0,68.0,11,68.014,47.171,546.79,0.0,27,0,9,11.8,55.0,0,10,8,43,30,44.055,38,0.694,2,23,39.7,2
7.222,2,2,1.139,60.37,55.0,53.0,8,54.032,34.631,415.48,3.8,22,0,7,5.7,41.0,0,6,3,32,23,33.77,30,0.653,0,15,41.5,0
5.503,2,2,1.134,46.5,43.0,41.0,7,42.171,28.131,355.37,4.9,19,2,3,7.3,38.0,1,3,3,28,15,27.948,26,0.686,0,15,46.3,0
7.538,3,3,1.142,60.5,55.0,53.0,8,54.218,35.114,429.48,5.7,23,2,4,5.7,43.0,1,7,3,33,22,34.438,31,0.663,0,15,43.4,0
7.675,4,4,1.148,57.425,52.0,50.0,9,51.847,33.29,433.44,8.0,22,2,4,6.0,43.0,1,6,3,33,19,33.295,31,0.666,0,15,44.0,0
5.752,0,0,1.132,67.899,64.0,60.0,11,60.356,40.858,485.7,0.0,22,0,9,11.7,46.0,0,11,7,37,27,38.222,33,0.681,2,17,36.7,2
6.921,0,0,1.126,73.188,70.0,65.0,11,65.131,45.409,532.76,0.0,26,0,8,12.3,54.0,0,9,8,42,28,42.528,37,0.699,2,23,40.0,2
7.658,2,2,1.134,49.915,46.0,44.0,7,45.054,29.892,369.4,4.5,20,2,3,6.8,39.0,1,4,3,29,17,29.475,27,0.679,0,15,45.5,0
7.248,2,2,1.135,53.33,49.0,47.0,7,47.938,31.654,383.43,4.3,21,2,3,6.4,40.0,1,5,3,30,19,31.002,28,0.673,0,15,44.7,0
7.387,3,3,1.142,50.254,46.0,44.0,8,45.567,29.83,387.39,6.8,20,2,3,6.8,40.0,1,4,3,30,16,29.858,28,0.678,0,15,45.5,0
5.523,0,0,1.128,81.228,77.0,72.0,12,72.225,49.387,576.82,0.0,28,0,11,11.1,57.0,0,11,8,45,32,46.297,40,0.686,2,23,38.9,2
6.658,2,2,1.135,56.745,52.0,50.0,7,50.821,33.415,397.46,4.0,22,2,4,6.0,41.0,1,6,3,31,21,32.528,29,0.668,0,15,44.0,0
6.481,3,3,1.142,50.254,46.0,44.0,8,45.567,29.83,387.39,6.8,20,2,3,6.8,40.0,1,4,3,30,16,29.858,28,0.678,0,15,45.5,0
6.161,0,0,1.129,73.397,70.0,65.0,12,65.458,44.864,536.75,0.0,25,0,9,12.3,53.5,0,10,8,42,28,42.243,37,0.69,2,22,38.5,2
6.432,4,4,1.148,55.092,51.0,48.0,10,50.181,32.773,444.42,8.3,22,0,4,8.3,46.0,0,3,4,35,16,33.263,32,0.683,0,20,45.8,0
6.886,3,3,1.142,53.67,49.0,47.0,8,48.451,31.591,401.42,6.4,21,2,3,6.4,41.0,1,5,3,31,18,31.385,29,0.672,0,15,44.7,0
7.277,3,3,1.142,60.5,55.0,53.0,8,54.218,35.114,429.48,5.7,23,2,5,5.7,43.0,1,7,3,33,22,34.438,31,0.663,0,15,43.4,0
5.548,0,0,1.127,80.018,76.0,71.0,11,70.898,48.932,560.82,0.0,28,0,8,11.3,56.0,0,11,8,44,32,45.582,39,0.689,2,23,39.4,2
7.569,3,3,1.141,54.753,51.0,48.0,9,49.669,32.836,426.43,6.3,22,0,4,8.3,45.0,0,3,4,34,17,32.88,31,0.684,0,20,45.8,0
7.5,2,2,1.135,56.745,52.0,50.0,7,50.821,33.415,397.46,4.0,22,2,3,6.0,41.0,1,6,3,31,21,32.528,29,0.668,0,15,44.0,0
7.602,2,2,1.132,54.33,51.0,48.0,7,48.938,32.654,395.44,4.2,22,2,3,6.3,42.0,1,6,3,32,19,32.002,29,0.68,0,15,45.8,0
4.301,0,0,1.127,80.018,76.0,71.0,11,70.898,48.932,560.82,0.0,28,0,8,11.3,56.0,0,11,8,44,32,45.582,39,0.689,2,23,39.4,2
6.783,2,2,1.141,44.5,41.0,39.0,7,40.171,26.131,331.35,5.1,17,0,3,7.7,34.0,0,3,3,26,15,25.948,24,0.67,0,14,43.6,0
6.854,1,1,1.127,54.073,51.0,48.0,7,48.643,32.961,390.45,2.1,22,0,4,8.3,43.0,0,3,4,32,19,32.113,29,0.687,0,20,45.8,0
5.365,2,2,1.133,64.576,60.0,57.0,7,57.589,37.938,437.53,3.5,25,2,3,5.3,45.0,1,9,3,35,25,36.582,32,0.666,0,15,43.9,0
7.699,2,2,1.136,54.539,50.0,48.0,8,49.265,32.108,399.43,4.2,21,2,4,6.3,41.0,1,5,3,31,19,31.716,29,0.669,0,15,43.8,0
4.699,1,1,1.128,77.86,74.0,69.0,11,69.309,47.864,563.79,1.4,28,0,8,10.1,56.0,0,11,7,44,30,44.944,39,0.694,2,23,40.6,2
6.495,2,2,1.134,57.828,54.0,51.0,8,52.04,34.659,422.47,3.9,23,0,5,7.8,45.0,0,4,4,34,20,34.023,31,0.68,0,20,45.1,0
5.848,3,3,1.15,44.839,41.0,39.0,8,40.683,26.068,349.34,7.7,17,0,3,7.7,35.0,0,3,3,27,14,26.331,25,0.668,0,14,43.6,0
7.699,2,2,1.136,57.955,53.0,51.0,8,52.149,33.87,413.46,3.9,22,2,5,5.9,42.0,1,6,3,32,21,33.243,30,0.664,0,15,43.1,0
7.699,2,2,1.136,54.539,50.0,48.0,8,49.265,32.108,399.43,4.2,21,2,4,6.3,41.0,1,5,3,31,19,31.716,29,0.669,0,15,43.8,0
5.827,0,0,1.119,60.438,59.0,54.0,6,53.789,37.336,409.53,0.0,25,0,4,9.3,49.0,0,5,5,36,23,35.563,31,0.691,0,26,46.3,0
5.638,1,0,1.118,89.461,84.0,80.0,8,79.592,54.591,604.27,1.3,34,0,12,3.8,60.0,0,10,3,46,38,50.706,42,0.682,1,26,42.5,2
5.721,1,0,1.118,89.461,84.0,80.0,8,79.592,54.591,604.27,1.3,34,0,12,3.8,60.0,0,10,3,46,38,50.706,42,0.682,1,26,42.5,2
5.268,2,0,1.121,82.99,78.0,74.0,9,74.032,50.688,588.65,2.7,30,0,11,4.1,54.0,0,12,3,43,35,47.006,39,0.685,1,20,40.5,3
5.328,2,0,1.121,82.99,78.0,74.0,9,74.032,50.688,588.65,2.7,30,0,11,4.1,54.0,0,12,3,43,35,47.006,39,0.685,1,20,40.5,3
5.201,1,0,1.117,86.046,81.0,77.0,8,76.709,52.83,590.24,1.3,33,0,11,3.9,59.0,0,9,3,45,36,49.179,41,0.686,1,26,42.9,2
5.268,1,0,1.117,86.046,81.0,77.0,8,76.709,52.83,590.24,1.3,33,0,11,3.9,59.0,0,9,3,45,36,49.179,41,0.686,1,26,42.9,2
5.292,0,0,1.119,89.517,84.0,80.0,7,79.269,53.733,569.83,0.0,34,0,12,3.8,59.0,0,10,3,45,39,49.878,41,0.672,1,26,42.5,1
5.161,0,0,1.119,89.517,84.0,80.0,7,79.269,53.733,569.83,0.0,34,0,12,3.8,59.0,0,10,3,45,39,49.878,41,0.672,1,26,42.5,1
5.222,0,0,1.117,55.831,53.0,50.0,10,52.225,33.398,442.4,0.0,22,0,4,0.0,45.0,0,3,0,35,18,33.889,32,0.668,0,19,44.0,0
4.596,0,0,1.119,39.163,37.0,35.0,6,36.149,23.057,290.29,0.0,15,0,1,0.0,29.0,0,3,0,23,14,22.976,21,0.659,0,12,42.9,0
5.62,0,0,1.121,40.372,38.0,36.0,7,37.476,23.511,306.29,0.0,15,0,1,0.0,30.0,0,3,0,24,14,23.691,22,0.653,0,12,41.7,0
6.854,0,0,1.144,163.54,143.0,143.0,23,144.632,87.183,995.35,0.0,46,0,33,5.6,82.0,0,30,8,69,74,82.75,69,0.61,1,16,32.2,1
6.081,0,0,1.143,106.301,93.0,93.0,13,93.567,56.415,619.85,0.0,31,0,18,5.4,53.0,0,19,5,44,49,53.415,44,0.607,0,12,33.3,0
6.284,0,0,1.143,109.716,96.0,96.0,13,96.45,58.177,633.88,0.0,32,0,18,5.2,54.0,0,20,5,45,51,54.942,45,0.606,0,12,33.3,0
4.041,0,0,1.146,120.341,105.0,105.0,18,106.636,63.552,735.94,0.0,34,0,23,6.7,63.0,0,20,7,52,53,61.129,52,0.605,0,14,32.4,0
5.854,0,0,1.143,109.716,96.0,96.0,13,96.45,58.177,633.88,0.0,32,0,19,5.2,54.0,0,20,5,45,51,54.942,45,0.606,0,12,33.3,0
5.027,0,0,1.153,106.092,91.0,92.0,16,93.214,54.12,615.83,0.0,27,0,20,7.6,49.0,0,20,7,42,49,51.646,43,0.588,0,7,29.3,0
5.699,0,0,1.146,138.71,121.0,121.0,20,122.599,73.057,835.09,0.0,39,0,26,6.6,71.0,0,24,8,59,62,69.972,59,0.604,0,15,32.2,0
7.337,0,0,1.147,157.082,137.0,137.0,24,139.334,82.711,964.22,0.0,44,0,31,6.6,82.0,0,27,9,68,69,79.719,68,0.604,0,17,32.1,0
6.276,0,0,1.153,117.63,101.0,102.0,18,103.41,60.103,686.92,0.0,30,0,22,7.8,55.0,0,22,8,47,54,57.436,48,0.589,0,8,29.4,0
6.051,0,0,1.14,117.467,103.0,103.0,14,103.294,63.347,694.01,0.0,34,0,21,4.9,57.0,0,22,5,48,55,59.182,48,0.615,1,12,33.0,1
6.721,0,0,1.14,103.756,92.0,91.0,11,90.803,56.296,596.86,0.0,32,0,16,6.6,54.0,0,17,6,44,48,52.765,43,0.619,0,16,35.2,0
4.21,0,0,1.115,52.405,49.0,47.0,4,47.029,31.193,338.43,0.0,21,0,6,0.0,36.0,0,6,0,27,22,29.654,25,0.664,0,14,44.7,0
6.456,0,0,1.116,74.766,71.0,67.0,2,65.45,44.404,425.66,0.0,30,0,7,1.5,45.0,0,12,1,36,35,40.692,32,0.663,0,18,44.8,0
5.0,2,2,1.13,100.533,92.0,89.0,14,91.181,58.688,717.78,2.2,38,0,15,3.4,72.0,0,9,3,55,37,57.746,52,0.659,0,29,42.7,0
5.398,2,2,1.13,107.363,98.0,95.0,14,96.949,62.211,745.84,2.1,40,0,17,3.2,74.0,0,11,3,57,41,60.8,54,0.655,0,29,42.1,0
5.376,0,0,1.104,70.661,69.0,64.0,10,65.993,44.92,566.54,0.0,32,0,5,0.0,63.0,0,2,0,47,22,44.943,42,0.702,0,28,50.0,0
4.301,1,1,1.113,56.787,54.0,51.0,9,51.687,38.046,475.61,2.0,24,1,7,9.8,50.5,1,3,5,36,18,36.267,33,0.746,2,25,47.1,2
4.0,0,0,1.133,27.199,24.0,24.0,2,23.731,15.029,151.23,0.0,9,0,2,4.2,14.0,0,3,1,11,13,13.897,11,0.626,0,6,37.5,0
5.569,0,0,1.14,96.889,85.0,85.0,11,85.479,51.642,563.77,0.0,29,0,19,3.5,48.0,0,18,3,40,45,48.845,40,0.608,0,11,34.1,0
5.77,0,0,1.14,93.474,82.0,82.0,11,82.596,49.881,549.74,0.0,28,0,18,3.7,47.0,0,17,3,39,43,47.319,39,0.608,0,11,34.1,0
4.158,0,0,1.14,93.471,82.0,82.0,9,81.825,49.733,519.76,0.0,28,0,17,3.7,44.0,0,18,3,37,45,46.416,37,0.607,0,10,34.1,0
6.022,1,0,1.118,61.495,58.0,55.0,7,55.203,37.722,480.46,1.8,22,0,6,1.8,40.0,0,10,1,32,26,34.941,29,0.686,1,14,40.0,2
6.824,0,0,1.129,88.062,81.0,78.0,9,78.032,49.853,544.78,0.0,29,0,10,2.6,50.0,0,16,2,41,40,46.528,38,0.639,1,15,37.2,1
7.495,0,0,1.128,95.849,88.0,85.0,10,84.909,55.41,606.86,0.0,33,0,14,4.7,59.0,0,13,4,46,42,51.856,43,0.652,1,22,38.8,1
7.523,0,0,1.129,134.297,122.0,119.0,14,119.061,76.87,842.17,0.0,46,0,21,4.2,81.0,0,18,5,63,59,72.236,60,0.646,1,30,38.7,1
7.301,0,0,1.129,121.972,111.0,108.0,15,108.487,70.234,796.12,0.0,40,0,13,4.6,73.0,0,18,5,58,53,65.843,55,0.65,2,24,37.0,2
6.62,0,0,1.125,129.387,119.0,115.0,15,115.37,75.995,858.19,0.0,45,0,14,4.3,82.0,0,17,5,64,55,71.37,60,0.661,2,30,39.1,2
5.432,0,0,1.129,109.513,100.0,97.0,12,97.214,62.603,692.96,0.0,37,0,10,4.1,66.0,0,16,4,52,48,58.866,49,0.645,1,23,38.1,1
5.0,0,0,1.128,99.268,91.0,88.0,12,88.563,57.319,650.87,0.0,34,0,8,4.5,63.0,0,13,4,49,42,54.285,46,0.651,1,23,38.6,1
5.509,0,0,1.13,114.138,104.0,101.0,13,101.425,64.819,722.99,0.0,38,0,11,4.0,68.0,0,17,4,54,50,61.107,51,0.642,1,23,37.6,1
5.721,0,0,1.136,113.553,102.0,100.0,13,100.308,62.58,688.98,0.0,35,0,13,4.0,61.0,0,20,4,50,52,58.634,48,0.626,1,17,35.0,1
5.0,0,0,1.136,111.347,100.0,98.0,14,98.752,61.273,690.95,0.0,34,0,13,4.1,61.0,0,19,4,50,50,57.822,48,0.625,1,17,34.7,1
5.0,0,0,1.135,116.885,105.0,103.0,12,102.974,64.097,690.01,0.0,36,0,13,2.9,60.0,0,22,3,50,55,59.666,48,0.622,1,16,35.0,1
6.367,0,0,1.144,108.717,97.0,95.0,18,96.658,59.637,708.87,0.0,33,0,18,10.5,67.5,0,14,10,53,44,57.888,51,0.628,0,23,34.7,0
6.398,0,0,1.144,112.132,100.0,98.0,18,99.541,61.398,722.9,0.0,34,0,19,10.2,68.5,0,15,10,54,46,59.415,52,0.627,0,23,34.7,0
5.854,0,0,1.144,112.132,100.0,98.0,18,99.541,61.398,722.9,0.0,34,0,19,10.2,68.5,0,15,10,54,46,59.415,52,0.627,0,23,34.7,0
6.167,0,0,1.143,116.547,105.0,102.0,18,103.425,64.16,748.94,0.0,36,0,18,9.8,71.5,0,17,10,57,48,61.942,54,0.629,0,23,35.3,0
5.0,0,0,1.139,116.132,105.0,102.0,18,103.541,65.398,770.94,0.0,38,0,20,9.8,76.5,0,13,10,59,46,63.415,56,0.641,0,29,37.3,0
5.0,0,0,1.139,116.132,105.0,102.0,18,103.541,65.398,770.94,0.0,38,0,20,9.8,76.5,0,13,10,59,46,63.415,56,0.641,0,29,37.3,0
5.0,0,0,1.144,115.547,103.0,101.0,18,102.425,63.16,736.93,0.0,35,0,21,9.9,69.5,0,16,10,55,48,60.942,53,0.625,0,23,34.7,0
5.0,0,0,1.144,115.547,103.0,101.0,18,102.425,63.16,736.93,0.0,35,0,20,9.9,69.5,0,16,10,55,48,60.942,53,0.625,0,23,34.7,0
5.0,0,0,1.144,115.547,103.0,101.0,18,102.425,63.16,736.93,0.0,35,0,20,9.9,69.5,0,16,10,55,48,60.942,53,0.625,0,23,34.7,0
5.0,0,0,1.144,112.132,100.0,98.0,18,99.541,61.398,722.9,0.0,34,0,19,10.2,68.5,0,15,10,54,46,59.415,52,0.627,0,23,34.7,0
5.0,0,0,1.14,103.76,92.0,91.0,13,91.574,56.444,626.84,0.0,32,0,17,6.6,57.0,0,15,6,46,46,53.668,45,0.62,0,17,35.2,0
5.0,0,0,1.143,110.843,99.0,97.0,18,98.767,60.847,723.88,0.0,34,0,19,9.3,68.5,0,15,9,54,45,59.108,52,0.627,0,23,35.1,0
5.0,0,0,1.143,110.843,99.0,97.0,18,98.767,60.847,723.88,0.0,34,0,19,9.3,68.5,0,15,9,54,45,59.108,52,0.627,0,23,35.1,0
6.357,0,0,1.152,94.471,83.0,82.0,18,84.007,50.353,618.74,0.0,26,0,16,12.2,56.5,0,13,10,45,38,49.308,44,0.614,0,17,31.7,0
5.523,0,0,1.153,91.056,80.0,79.0,18,81.123,48.591,604.71,0.0,25,0,15,12.7,55.5,0,12,10,44,36,47.781,43,0.615,0,17,31.6,0
5.0,0,0,1.148,86.099,75.0,75.0,13,76.04,45.398,522.68,0.0,24,0,14,8.0,45.0,0,13,6,37,38,43.561,37,0.605,0,11,32.0,0
5.0,0,0,1.146,84.81,74.0,74.0,13,75.265,44.847,523.66,0.0,24,0,14,6.8,45.0,0,13,5,37,37,43.254,37,0.606,0,11,32.4,0
5.0,0,0,1.152,94.471,83.0,82.0,18,84.007,50.353,618.74,0.0,26,0,16,12.2,56.5,0,13,10,45,38,49.308,44,0.614,0,17,31.7,0
5.0,0,0,1.151,89.767,79.0,78.0,18,80.349,48.04,605.69,0.0,25,0,15,11.5,55.5,0,12,9,44,35,47.474,43,0.616,0,17,32.1,0
6.06,0,0,1.151,93.262,82.0,81.0,17,82.68,49.898,602.74,0.0,26,0,16,12.3,55.5,0,13,10,44,38,48.593,43,0.616,0,17,32.1,0
5.0,0,0,1.151,93.262,82.0,81.0,17,82.68,49.898,602.74,0.0,26,0,16,12.3,55.5,0,13,10,44,38,48.593,43,0.616,0,17,32.1,0
5.0,0,0,1.15,91.973,81.0,80.0,17,81.905,49.347,603.72,0.0,26,0,16,11.3,55.5,0,13,9,44,37,48.286,43,0.617,0,17,32.5,0
5.215,0,0,1.161,78.933,68.0,68.0,16,69.811,40.37,499.61,0.0,19,0,14,13.2,42.5,0,13,9,35,33,39.518,35,0.594,0,10,27.9,0
5.0,0,0,1.15,91.973,81.0,80.0,17,81.905,49.347,603.72,0.0,26,0,16,11.3,55.5,0,13,9,44,37,48.286,43,0.617,0,17,32.5,0
5.357,0,0,1.161,66.185,57.0,57.0,13,58.287,33.932,412.52,0.0,16,0,11,14.0,35.5,0,11,8,29,28,33.013,29,0.595,0,9,28.1,0
7.699,1,1,1.131,53.156,50.0,47.0,8,47.862,32.205,391.44,2.1,21,0,4,10.6,43.0,0,3,5,32,18,31.608,29,0.685,0,20,44.7,0
5.745,0,0,1.124,64.069,59.0,57.0,6,56.858,37.131,403.59,0.0,22,0,6,1.8,38.0,0,10,1,30,29,34.443,28,0.651,1,14,38.6,1
