pXC50,P_VSA_LogP_4,SaaN,N.075,NaaN,C.039,nArCO,D.Dtr10,nArOCON,C.041,H.051,SM10_EA.dm.,SM12_EA.dm.,X5A,X4A,NaaaC,NNRS,nR10,Rbrid,RCI,RFD,SaaaC,SpMin1_Bh.p.,SpMin1_Bh.v.,JGI6,Eig01_EA.dm.,SM03_EA.dm.,SM05_EA.dm.,SM07_EA.dm.,SM09_EA.dm.,SM11_EA.dm.,SM13_EA.dm.,SM14_EA.dm.,SM15_EA.dm.,SpMax_EA.dm.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax1_Bh.p.,SpMax_EA.bo.,C.034,MATS2i,SpMAD_EA.dm.,GATS4e,MATS4p,JGI7,GATS2p,GATS2v,MATS2p,SIC5,nOxazoles,SM04_EA.dm.,SM06_EA.dm.,SM08_EA.dm.,SpDiam_EA.dm.,JGI2,Eta_sh_p,SpMin1_Bh.m.,GATS2i,Eig01_AEA.bo.,SpMax_AEA.bo.,SM09_EA.bo.,SM10_EA.bo.,CIC5
4.0,92.412,7.773,2,2,1,1,0.0,0,0,2,13.417,16.1,0.082,0.125,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.014,3.825,3.903,6.69,9.388,12.074,14.758,17.441,18.783,20.124,3.825,4.066,4.066,7.066,3.884,4.066,1,0.176,0.329,1.033,-0.029,0.012,1.124,1.08,-0.103,0.912,1,5.444,8.06,10.735,5.335,0.074,0.089,2.084,0.828,4.485,4.485,13.128,14.645,0.495
4.0,92.412,8.332,2,2,1,1,0.0,0,0,2,3.203,3.667,0.085,0.129,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.142,0.0,1.277,4.035,4.035,7.035,3.879,4.035,1,-0.104,0.147,0.986,-0.073,0.01,1.106,1.034,-0.086,0.914,1,2.004,2.352,2.759,2.555,0.06,0.065,2.084,1.165,4.365,4.365,12.927,14.472,0.485
4.0,92.412,8.017,2,2,1,1,0.0,0,0,2,3.184,3.658,0.085,0.13,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.013,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.032,4.032,7.032,3.879,4.032,1,-0.179,0.091,0.931,-0.019,0.009,1.195,1.104,-0.188,0.923,1,1.845,2.271,2.72,2.555,0.062,0.051,2.084,1.137,4.362,4.362,12.91,14.456,0.426
4.0,92.412,8.258,2,2,1,1,0.0,0,0,2,3.184,3.658,0.085,0.13,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.013,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.032,4.032,7.032,3.88,4.032,1,-0.183,0.091,1.058,-0.026,0.009,1.199,1.102,-0.164,0.92,1,1.845,2.271,2.72,2.555,0.062,0.059,2.084,1.253,4.362,4.362,12.91,14.456,0.449
4.0,121.606,3.956,1,1,1,1,0.0,0,1,2,5.341,6.283,0.083,0.129,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.014,1.671,1.195,2.324,3.434,4.52,5.584,6.634,7.259,7.675,1.671,3.977,3.977,6.977,3.875,3.977,1,-0.1,0.281,0.852,-0.03,0.011,1.219,1.129,-0.179,0.925,1,2.943,3.642,4.452,2.967,0.058,0.08,2.084,1.199,4.373,4.373,12.795,14.284,0.417
4.0,132.593,3.695,1,1,1,1,0.0,0,0,2,4.596,5.265,0.091,0.135,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.011,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,3.93,3.93,6.93,3.873,3.93,1,-0.171,0.236,0.838,-0.022,0.008,1.25,1.154,-0.19,0.909,1,2.698,3.306,3.941,2.873,0.069,0.098,2.084,1.257,4.309,4.309,12.577,14.079,0.488
4.0,118.85,3.95,1,1,1,1,0.0,0,1,2,5.341,6.283,0.082,0.128,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.016,1.671,1.195,2.324,3.434,4.52,5.584,6.634,7.259,7.675,1.671,4.013,4.013,7.013,3.876,4.013,1,-0.04,0.281,0.819,-0.024,0.009,1.188,1.112,-0.148,0.925,1,2.943,3.642,4.452,2.967,0.07,0.08,2.084,1.141,4.423,4.423,12.875,14.36,0.417
4.0,80.457,3.803,1,1,1,1,0.0,0,0,2,7.807,9.221,0.095,0.138,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.01,2.035,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2.035,3.89,3.89,6.89,3.873,3.89,1,-0.175,0.301,0.896,-0.007,0.006,1.229,1.139,-0.2,0.903,1,3.704,5.021,6.401,4.069,0.058,0.074,2.084,1.202,4.275,4.275,12.459,13.983,0.513
4.0,96.191,3.823,1,1,1,1,0.0,0,0,2,5.915,6.918,0.09,0.135,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.013,1.674,0.0,0.0,0.0,0.0,0.0,0.0,7.932,0.0,1.674,3.936,3.936,6.936,3.873,3.936,1,-0.075,0.246,1.004,-0.026,0.007,1.129,1.063,-0.082,0.897,1,3.093,3.985,4.933,3.349,0.074,0.109,2.084,1.146,4.319,4.319,12.597,14.097,0.563
4.0,93.705,4.089,1,1,1,1,0.0,0,0,2,3.25,3.698,0.084,0.127,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.162,0.0,1.277,4.053,4.053,7.053,3.922,4.053,1,-0.097,0.15,1.167,-0.04,0.011,1.166,1.092,-0.13,0.926,1,2.1,2.439,2.827,2.555,0.068,0.08,2.084,1.148,4.38,4.38,13.044,14.572,0.423
4.0,92.412,8.302,2,2,1,1,0.0,0,0,2,3.475,3.904,0.084,0.126,0,1.0,0,0,1.0,0.0,0.0,2.037,2.048,0.008,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.343,0.0,1.277,4.006,4.006,7.006,3.913,4.006,1,-0.136,0.152,1.41,-0.066,0.009,1.096,1.016,-0.142,0.92,1,2.286,2.663,3.061,2.555,0.063,0.024,2.07,1.15,4.347,4.347,13.026,14.601,0.449
4.0,92.412,8.286,2,2,1,1,0.0,0,0,2,3.203,3.667,0.083,0.125,0,1.0,0,0,1.0,0.0,0.0,2.033,2.038,0.013,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.142,0.0,1.277,4.006,4.006,7.006,3.902,4.006,1,-0.2,0.138,1.445,-0.009,0.01,1.152,1.035,-0.213,0.921,1,2.004,2.352,2.759,2.555,0.06,0.025,2.051,1.205,4.347,4.347,13.034,14.61,0.435
4.0,92.412,8.306,2,2,1,1,0.0,0,0,2,3.184,3.658,0.081,0.123,0,1.0,0,0,1.0,0.0,0.0,2.064,2.079,0.014,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.006,4.006,7.006,3.972,4.006,1,-0.129,0.085,1.25,-0.098,0.007,1.076,1.008,-0.147,0.919,1,1.845,2.271,2.72,2.555,0.072,0.026,2.105,1.124,4.348,4.348,13.159,14.726,0.444
4.721,80.457,3.811,1,1,1,1,0.0,0,0,2,7.81,9.222,0.087,0.13,0,1.0,0,0,1.0,0.0,0.0,2.037,2.048,0.006,2.035,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2.035,3.89,3.89,6.89,3.907,3.89,1,-0.113,0.331,1.224,-0.057,0.011,1.106,1.016,-0.139,0.9,1,3.787,5.051,6.412,4.069,0.063,0.062,2.07,1.09,4.276,4.276,12.787,14.333,0.537
4.0,149.379,8.023,2,2,1,1,0.0,0,0,2,4.675,5.319,0.081,0.124,0,1.0,0,0,1.0,0.0,0.0,2.037,2.048,0.009,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.982,0.0,1.437,4.053,4.053,7.053,3.915,4.053,1,-0.159,0.221,1.225,-0.067,0.012,1.104,1.011,-0.136,0.926,1,2.91,3.463,4.054,2.873,0.071,0.067,2.07,1.184,4.381,4.381,13.239,14.781,0.423
4.0,149.379,8.027,2,2,1,1,0.0,0,0,2,4.596,5.265,0.079,0.121,0,1.0,0,0,1.0,0.0,0.0,2.064,2.079,0.014,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,4.053,4.053,7.053,3.972,4.053,1,-0.152,0.164,1.079,-0.096,0.01,1.084,1.005,-0.139,0.925,1,2.698,3.306,3.941,2.873,0.079,0.071,2.105,1.16,4.381,4.381,13.348,14.887,0.417
4.0,63.855,3.866,1,1,1,1,0.0,0,0,2,3.184,3.658,0.085,0.129,0,1.0,0,0,1.0,0.0,0.0,2.064,2.079,0.015,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,3.889,3.889,6.889,3.969,3.889,0,-0.079,0.111,1.006,-0.125,0.006,1.06,1.02,-0.114,0.893,1,1.845,2.271,2.72,2.555,0.074,0.033,2.105,1.07,4.246,4.246,12.725,14.282,0.556
4.0,130.507,19.931,5,5,1,1,0.0,0,0,2,3.184,3.658,0.081,0.125,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.01,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.078,4.078,7.078,3.885,4.078,1,-0.09,0.077,1.022,-0.01,0.008,1.189,1.084,-0.168,0.933,1,1.845,2.271,2.72,2.555,0.062,0.024,2.084,1.167,4.393,4.393,13.209,14.739,0.385
4.0,132.593,3.706,1,1,1,1,0.0,0,0,2,4.596,5.265,0.082,0.124,0,1.0,0,0,1.0,0.0,0.0,2.064,2.079,0.014,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,3.932,3.932,6.932,3.97,3.932,1,-0.089,0.209,0.906,-0.086,0.008,1.09,1.018,-0.124,0.903,1,2.698,3.306,3.941,2.873,0.083,0.089,2.105,1.098,4.311,4.311,13.027,14.552,0.513
4.0,130.507,19.955,5,5,1,1,0.0,0,0,2,3.475,3.904,0.079,0.122,0,1.0,0,0,1.0,0.0,0.0,2.037,2.048,0.008,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.343,0.0,1.277,4.078,4.078,7.078,3.917,4.078,1,-0.041,0.128,1.274,-0.063,0.009,1.091,0.992,-0.123,0.929,1,2.286,2.663,3.061,2.555,0.065,0.021,2.07,1.081,4.394,4.394,13.377,14.919,0.407
4.0,132.593,3.703,1,1,1,1,0.0,0,0,2,4.675,5.319,0.085,0.128,0,1.0,0,0,1.0,0.0,0.0,2.037,2.048,0.007,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.982,0.0,1.437,3.931,3.931,6.931,3.907,3.931,1,-0.106,0.276,1.097,-0.062,0.01,1.117,1.026,-0.128,0.906,1,2.91,3.463,4.054,2.873,0.072,0.083,2.07,1.134,4.311,4.311,12.873,14.402,0.512
4.0,149.379,8.007,2,2,1,1,0.0,0,0,2,4.6,5.267,0.08,0.122,0,1.0,0,0,1.0,0.0,0.0,2.033,2.038,0.013,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.946,0.0,1.437,4.053,4.053,7.053,3.905,4.053,1,-0.221,0.21,1.263,-0.014,0.013,1.158,1.031,-0.204,0.927,1,2.769,3.335,3.953,2.873,0.068,0.069,2.051,1.238,4.381,4.381,13.246,14.789,0.408
4.699,80.457,3.801,1,1,1,1,0.0,0,0,2,7.807,9.221,0.086,0.128,0,1.0,0,0,1.0,0.0,0.0,2.033,2.038,0.012,2.035,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2.035,3.89,3.89,6.89,3.896,3.89,1,-0.189,0.321,1.264,0.016,0.012,1.177,1.042,-0.228,0.9,1,3.731,5.027,6.402,4.069,0.059,0.065,2.051,1.152,4.277,4.277,12.797,14.345,0.526
4.194,80.457,3.814,1,1,1,1,0.0,0,0,2,7.807,9.221,0.084,0.126,0,1.0,0,0,1.0,0.0,0.0,2.064,2.079,0.013,2.035,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2.035,3.896,3.896,6.896,3.97,3.896,1,-0.102,0.265,0.977,-0.096,0.008,1.083,1.009,-0.145,0.896,1,3.704,5.021,6.401,4.069,0.074,0.067,2.105,1.053,4.278,4.278,12.953,14.493,0.541
4.0,132.593,3.694,1,1,1,1,0.0,0,0,2,4.6,5.267,0.084,0.126,0,1.0,0,0,1.0,0.0,0.0,2.033,2.038,0.012,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.946,0.0,1.437,3.931,3.931,6.931,3.896,3.931,1,-0.18,0.265,1.142,0.011,0.012,1.182,1.05,-0.207,0.906,1,2.769,3.335,3.953,2.873,0.068,0.086,2.051,1.198,4.311,4.311,12.883,14.413,0.5
4.0,63.855,3.863,1,1,1,1,0.0,0,0,2,3.475,3.904,0.089,0.134,0,1.0,0,0,1.0,0.0,0.0,2.037,2.048,0.006,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.343,0.0,1.277,3.703,3.703,6.703,3.906,3.703,0,-0.095,0.194,1.256,-0.09,0.009,1.09,1.03,-0.118,0.897,1,2.286,2.663,3.061,2.555,0.063,0.031,2.07,1.109,4.161,4.161,12.512,14.08,0.55
4.886,63.855,3.907,1,1,1,1,0.0,0,0,2,3.184,3.658,0.098,0.139,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.011,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,3.839,3.839,6.839,3.873,3.839,0,-0.18,0.122,0.864,0.032,0.006,1.046,1.078,-0.168,0.9,1,1.845,2.271,2.72,2.555,0.06,0.16,2.084,1.231,4.233,4.233,12.349,13.869,0.526
4.0,63.855,3.401,1,1,1,1,0.0,0,0,2,13.417,16.1,0.087,0.132,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,3.825,3.903,6.69,9.388,12.074,14.758,17.441,18.783,20.124,3.825,3.977,3.977,6.977,3.873,3.977,1,0.2,0.425,0.71,-0.024,0.009,1.188,1.139,-0.137,0.887,1,5.444,8.06,10.735,5.335,0.076,0.114,2.084,0.805,4.49,4.49,12.71,14.198,0.604
4.0,92.412,8.032,2,2,1,1,0.0,0,0,2,9.671,11.564,0.084,0.127,0,1.0,0,0,1.0,0.0,0.0,2.077,2.043,0.012,2.612,2.361,4.506,6.556,8.548,10.509,12.452,13.468,14.386,2.612,4.1,4.1,7.1,3.883,4.1,1,-0.183,0.259,1.06,-0.024,0.011,1.209,1.109,-0.171,0.92,1,4.235,5.97,7.8,4.612,0.068,0.077,2.084,1.252,4.396,4.396,13.245,14.758,0.449
4.0,108.168,4.042,1,1,1,1,0.0,0,0,2,3.184,3.658,0.082,0.125,0,1.0,0,0,1.0,0.0,0.0,2.029,2.063,0.014,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.668,4.668,7.668,4.065,4.668,1,-0.074,0.082,1.122,-0.014,0.012,1.144,1.082,-0.119,0.921,1,1.845,2.271,2.72,2.555,0.074,0.1,2.084,1.135,4.808,4.808,14.149,15.7,0.453
4.0,109.197,12.269,3,3,1,1,0.0,0,0,2,3.22,3.675,0.082,0.125,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.016,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.146,0.0,1.277,4.14,4.14,7.14,3.877,4.14,1,0.105,0.193,0.964,0.042,0.009,0.972,0.941,0.051,0.905,1,2.142,2.426,2.796,2.555,0.067,0.099,2.084,0.969,4.449,4.449,13.168,14.697,0.546
4.0,93.705,4.023,1,1,1,1,0.0,0,0,2,3.49,3.924,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.015,1.277,0.325,0.653,1.001,1.37,1.754,2.143,4.369,2.535,1.277,3.952,3.952,6.952,3.876,3.952,1,-0.116,0.191,1.183,0.002,0.008,1.202,1.136,-0.146,0.868,1,2.288,2.666,3.069,2.555,0.066,0.052,2.084,1.246,4.356,4.356,12.663,14.156,0.764
4.0,130.507,19.958,5,5,1,1,0.0,0,0,2,3.184,3.658,0.077,0.12,0,1.0,0,0,1.0,0.0,0.0,2.064,2.079,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.078,4.078,7.078,3.973,4.078,1,-0.018,0.071,1.1,-0.097,0.008,1.071,0.986,-0.125,0.929,1,1.845,2.271,2.72,2.555,0.073,0.022,2.105,1.05,4.394,4.394,13.473,15.011,0.4
4.0,73.644,7.64,2,2,1,1,0.0,0,0,2,3.184,3.658,0.086,0.13,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.011,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.014,4.014,7.014,3.874,4.014,1,-0.204,0.098,0.936,-0.022,0.007,1.238,1.129,-0.207,0.917,0,1.845,2.271,2.72,2.555,0.061,0.029,2.084,1.25,4.351,4.351,12.83,14.341,0.455
4.0,132.593,4.058,1,1,1,1,0.0,0,0,2,4.596,5.265,0.084,0.127,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,4.053,4.053,7.053,3.919,4.053,1,-0.117,0.181,1.133,-0.023,0.011,1.163,1.097,-0.137,0.931,1,2.698,3.306,3.941,2.873,0.068,0.076,2.084,1.167,4.38,4.38,13.044,14.572,0.392
4.0,63.855,3.853,1,1,1,1,0.0,0,0,2,3.203,3.667,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.033,2.038,0.013,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.142,0.0,1.277,3.707,3.707,6.707,3.895,3.707,0,-0.174,0.178,1.295,-0.018,0.01,1.156,1.053,-0.2,0.896,1,2.004,2.352,2.759,2.555,0.057,0.032,2.051,1.175,4.163,4.163,12.526,14.094,0.541
4.602,83.452,7.171,2,2,1,1,0.0,0,0,2,3.184,3.658,0.1,0.145,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.009,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,3.697,3.697,6.697,3.872,3.697,0,-0.084,0.128,0.806,-0.042,0.004,1.241,1.172,-0.186,0.896,0,1.845,2.271,2.72,2.555,0.056,0.037,2.084,1.172,4.155,4.155,12.054,13.601,0.541
4.0,97.8,7.43,2,2,1,1,0.0,0,0,2,5.915,6.918,0.09,0.135,0,1.0,0,0,1.0,0.0,0.0,2.019,2.043,0.013,1.674,0.0,0.0,0.0,0.0,0.0,0.0,7.932,0.0,1.674,3.936,3.936,6.936,3.877,3.936,0,-0.159,0.246,0.797,-0.019,0.007,1.06,1.03,-0.026,0.894,0,3.093,3.985,4.933,3.349,0.074,0.105,2.084,1.204,4.319,4.319,12.597,14.097,0.576
4.0,75.376,7.56,2,2,1,1,0.0,0,0,2,3.184,3.658,0.1,0.146,0,1.0,0,0,1.0,0.0,0.0,2.023,2.045,0.009,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,3.67,3.67,6.67,3.874,3.67,0,-0.241,0.122,1.052,-0.037,0.004,1.255,1.191,-0.208,0.906,0,1.845,2.271,2.72,2.555,0.053,0.035,2.084,1.301,4.14,4.14,11.936,13.612,0.5
4.222,80.145,10.706,3,3,1,1,0.0,0,0,2,3.184,3.658,0.1,0.145,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.009,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,3.697,3.697,6.697,3.872,3.697,0,-0.03,0.128,0.702,-0.06,0.004,1.276,1.201,-0.186,0.896,0,1.845,2.271,2.72,2.555,0.056,0.037,2.084,1.149,4.155,4.155,12.054,13.601,0.541
4.0,120.822,3.649,1,1,1,1,0.0,0,0,2,4.596,5.265,0.091,0.135,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.011,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,3.93,3.93,6.93,3.873,3.93,0,-0.193,0.236,0.771,-0.02,0.008,1.234,1.151,-0.174,0.909,1,2.698,3.306,3.941,2.873,0.069,0.098,2.084,1.277,4.309,4.309,12.577,14.079,0.488
4.0,159.168,11.503,3,3,1,1,0.0,0,0,2,4.596,5.265,0.084,0.127,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,4.053,4.053,7.053,3.877,4.053,0,-0.234,0.181,0.98,-0.022,0.011,1.232,1.124,-0.195,0.927,0,2.698,3.306,3.941,2.873,0.068,0.077,2.084,1.303,4.38,4.38,13.044,14.572,0.408
4.0,80.641,8.465,2,2,1,1,0.0,0,0,2,3.184,3.658,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.006,4.006,7.006,3.879,4.006,0,-0.205,0.095,1.066,-0.017,0.006,1.182,1.114,-0.173,0.923,1,1.845,2.271,2.72,2.555,0.059,0.028,2.084,1.258,4.347,4.347,12.777,14.345,0.426
5.0,52.084,3.195,1,1,1,1,0.0,0,0,2,13.417,16.1,0.087,0.132,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,3.825,3.903,6.69,9.388,12.074,14.758,17.441,18.783,20.124,3.825,3.977,3.977,6.977,3.873,3.977,0,0.19,0.425,0.658,-0.005,0.009,1.173,1.135,-0.121,0.887,1,5.444,8.06,10.735,5.335,0.076,0.114,2.084,0.815,4.49,4.49,12.71,14.198,0.604
4.523,68.686,3.806,1,1,1,1,0.0,0,0,2,7.807,9.221,0.095,0.138,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.01,2.035,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2.035,3.89,3.89,6.89,3.873,3.89,0,-0.196,0.301,0.915,-0.006,0.006,1.213,1.135,-0.183,0.903,1,3.704,5.021,6.401,4.069,0.058,0.074,2.084,1.222,4.275,4.275,12.459,13.983,0.513
4.0,157.204,11.73,3,3,1,1,0.0,0,0,2,4.596,5.265,0.084,0.127,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,4.053,4.053,7.053,3.877,4.053,0,-0.22,0.181,0.921,-0.021,0.011,1.23,1.124,-0.196,0.927,0,2.698,3.306,3.941,2.873,0.068,0.077,2.084,1.3,4.38,4.38,13.044,14.572,0.408
4.0,96.992,12.324,3,3,1,1,0.0,0,0,2,7.807,9.221,0.086,0.132,0,1.0,0,0,1.0,0.0,0.0,2.045,2.047,0.015,2.035,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2.035,3.979,3.979,6.979,3.888,3.979,0,-0.282,0.221,1.089,-0.002,0.009,1.207,1.116,-0.202,0.929,0,3.704,5.021,6.401,4.069,0.064,0.055,2.084,1.299,4.319,4.319,12.882,14.468,0.4
4.0,108.702,15.977,4,4,1,1,0.0,0,0,2,3.184,3.658,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.006,4.006,7.006,3.875,4.006,0,-0.14,0.095,0.936,-0.017,0.006,1.247,1.154,-0.221,0.921,0,1.845,2.271,2.72,2.555,0.059,0.028,2.084,1.234,4.347,4.347,12.777,14.345,0.435
4.0,91.706,7.102,2,2,1,1,0.0,0,0,2,3.184,3.658,0.1,0.145,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.009,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,3.697,3.697,6.697,3.872,3.697,0,-0.124,0.128,0.806,-0.042,0.004,1.226,1.168,-0.167,0.896,0,1.845,2.271,2.72,2.555,0.056,0.037,2.084,1.197,4.155,4.155,12.054,13.601,0.541
4.0,122.766,11.818,3,3,1,1,0.0,0,0,2,5.915,6.918,0.083,0.127,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.013,1.674,0.0,0.0,0.0,0.0,0.0,0.0,7.932,0.0,1.674,4.054,4.054,7.054,3.878,4.054,0,-0.154,0.19,1.135,-0.015,0.01,1.126,1.044,-0.095,0.916,0,3.093,3.985,4.933,3.349,0.072,0.086,2.084,1.213,4.383,4.383,13.056,14.583,0.476
4.0,105.981,7.06,2,2,1,1,0.0,0,0,2,5.915,6.918,0.09,0.135,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.013,1.674,0.0,0.0,0.0,0.0,0.0,0.0,7.932,0.0,1.674,3.936,3.936,6.936,3.872,3.936,0,-0.115,0.246,0.843,-0.053,0.007,1.159,1.078,-0.099,0.894,0,3.093,3.985,4.933,3.349,0.074,0.11,2.084,1.186,4.319,4.319,12.597,14.097,0.576
4.0,104.017,7.237,2,2,1,1,0.0,0,0,2,5.915,6.918,0.09,0.135,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.013,1.674,0.0,0.0,0.0,0.0,0.0,0.0,7.932,0.0,1.674,3.936,3.936,6.936,3.873,3.936,0,-0.1,0.246,0.749,-0.06,0.007,1.157,1.078,-0.1,0.894,0,3.093,3.985,4.933,3.349,0.074,0.11,2.084,1.182,4.319,4.319,12.597,14.097,0.576
4.0,157.204,11.68,3,3,1,1,0.0,0,0,2,4.596,5.265,0.084,0.127,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,4.053,4.053,7.053,3.877,4.053,0,-0.22,0.181,0.892,-0.029,0.011,1.23,1.124,-0.196,0.927,0,2.698,3.306,3.941,2.873,0.068,0.077,2.084,1.3,4.38,4.38,13.044,14.572,0.408
4.0,59.765,4.04,1,1,1,1,0.0,0,0,2,3.184,3.658,0.1,0.145,0,1.0,0,0,1.0,0.0,0.0,2.019,2.043,0.009,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,3.697,3.697,6.697,3.88,3.697,0,-0.199,0.128,1.023,-0.051,0.004,1.146,1.134,-0.141,0.9,0,1.845,2.271,2.72,2.555,0.056,0.035,2.084,1.232,4.155,4.155,12.054,13.601,0.526
4.0,88.321,8.578,2,2,1,1,0.0,0,0,2,3.184,3.658,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.019,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.006,4.006,7.006,3.94,4.006,1,-0.158,0.095,1.041,-0.003,0.006,1.064,1.065,-0.079,0.923,0,1.845,2.271,2.72,2.555,0.059,0.027,2.084,1.187,4.347,4.347,12.777,14.345,0.426
4.0,89.742,7.279,2,2,1,1,0.0,0,0,2,3.184,3.658,0.1,0.145,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.009,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,3.697,3.697,6.697,3.872,3.697,0,-0.106,0.128,0.653,-0.05,0.004,1.224,1.168,-0.168,0.896,0,1.845,2.271,2.72,2.555,0.056,0.037,2.084,1.193,4.155,4.155,12.054,13.601,0.541
4.0,100.237,12.052,3,3,1,1,0.0,0,0,2,3.184,3.658,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.006,4.006,7.006,3.876,4.006,0,-0.2,0.095,0.948,-0.028,0.006,1.223,1.134,-0.205,0.921,0,1.845,2.271,2.72,2.555,0.059,0.028,2.084,1.266,4.347,4.347,12.777,14.345,0.435
