pXC50,RBN,PHI,DBI,GGI1,Eig11_AEA.dm.,SAtot,MAXDP,ATSC8e,Eta_alpha,S1K,SpMaxA_EA.ri.,Eig03_EA.ed.,SM12_AEA.dm.,SM05_EA.bo.,MATS8p,RDCHI,MATS8v,SpAD_EA.bo.,S3K,Chi0_EA.ri.,Chi1_EA.ri.,SMTI,X1,SpMax8_Bh.e.,MSD,TIC2,MDDD,SssO,S2K,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Eig03_EA,SM11_AEA.bo.,AMR,ON0V,CENT,SpMax7_Bh.i.,TIC1,LOC,X0v,SM02_AEA.bo.,TIC3,SMTIV,SpAD_AEA.dm.,Chi1_EA.ed.,Eig08_AEA.ed.,IDMT,Xu,SpAD_AEA.bo.,MPC01,MWC01,nBO,SRW02,IDET,Eig07_AEA.ed.,MW,piPC01,SCBO,GMTI,S0K,JGT,DLS_03,Chi0_EA.ed.
6.602,10,8.458,4.69,10.5,1.818,677.183,6.184,0.622,19.419,28.163,0.069,9.077,9.077,8.494,0.047,5.053,0.071,87.909,7.436,27.443,23.265,26872.0,19.168,3.294,9.144,324.864,58.775,11.835,12.013,21.73,21.73,21.73,21.73,21.73,2.899,2.899,153.707,12.676,3850.0,3.351,259.408,1.076,23.52,5.355,356.918,47162.0,69.188,7.4,5.003,57849.5,36.409,66.934,3.807,3.807,44,4.489,3188.64,5.23,578.73,4.103,59.5,28602.0,198.877,0.474,0.67,15.446
6.051,10,8.224,5.196,11.5,1.612,697.343,6.102,0.515,18.133,27.501,0.082,9.148,9.148,8.457,0.05,4.681,0.019,78.282,7.501,24.628,21.155,20794.0,17.413,3.263,8.44,329.043,49.778,11.85,11.064,19.75,19.75,19.75,19.75,19.75,2.95,2.95,147.02,13.95,3025.0,3.345,259.69,1.268,23.333,5.259,346.694,34196.0,63.984,6.521,4.878,44737.7,34.012,61.749,3.714,3.714,40,4.394,2626.75,5.251,540.76,3.98,52.5,21528.0,177.995,0.547,0.67,13.641
6.921,9,7.463,4.583,9.5,1.819,598.176,5.765,0.599,16.467,24.525,0.082,7.853,7.853,8.327,0.028,4.517,0.062,71.681,6.73,23.127,19.618,16591.0,16.202,3.145,7.898,278.602,43.46,11.673,10.346,18.276,18.276,18.276,18.276,18.276,2.712,2.712,130.273,11.033,2428.0,3.325,224.753,1.19,20.371,5.176,296.253,29745.0,62.018,6.234,4.661,34366.6,31.739,56.064,3.638,3.638,37,4.317,2154.75,4.879,500.64,3.912,49.0,17313.0,162.974,0.5,0.67,13.001
7.045,9,7.458,4.637,10.0,1.612,626.806,5.948,0.519,16.7,25.179,0.08,8.635,8.635,8.434,-0.055,4.561,-0.061,75.024,6.604,23.508,19.886,17855.0,16.612,3.153,8.043,302.716,45.316,11.786,10.367,18.744,18.744,18.744,18.744,18.744,2.864,2.864,135.839,12.733,2614.0,3.336,237.25,1.197,21.055,5.205,332.98,29703.0,60.582,6.296,4.874,37486.1,32.476,57.956,3.664,3.664,38,4.344,2300.06,5.023,495.65,3.942,50.5,18574.0,169.525,0.52,0.83,13.171
6.783,9,7.537,4.583,9.5,1.612,618.617,5.894,0.616,16.7,24.902,0.08,7.758,7.758,8.352,0.034,4.598,0.021,74.739,6.907,23.737,19.94,18010.0,16.702,3.164,8.109,294.979,46.091,11.754,10.594,18.759,18.759,18.759,18.759,18.759,2.664,2.664,132.691,12.067,2639.0,3.338,234.78,1.169,20.633,5.201,322.896,30502.0,59.979,6.448,4.866,37748.9,32.541,57.237,3.664,3.664,38,4.344,2313.99,4.897,493.63,3.951,51.0,18779.0,169.525,0.49,0.83,13.454
6.0,9,7.115,4.637,9.0,1.612,616.361,6.165,0.65,17.6,25.156,0.074,9.078,9.078,8.567,-0.023,4.777,-0.01,83.037,6.08,25.549,21.616,20984.0,17.791,3.248,8.218,309.407,47.202,11.83,10.465,20.258,20.258,20.258,20.258,20.258,2.915,2.915,138.724,11.933,2941.0,3.342,249.037,1.094,21.235,5.296,329.059,35550.0,64.81,6.856,4.877,43699.3,33.909,62.388,3.738,3.738,41,4.419,2589.74,5.162,518.64,4.043,56.0,22463.0,182.75,0.45,0.67,14.408
7.022,9,9.025,4.637,10.0,1.802,682.726,6.015,0.67,17.933,28.019,0.078,8.635,8.635,8.423,-0.044,4.761,-0.021,79.282,7.319,25.705,21.453,22393.0,18.112,3.156,8.646,337.766,51.889,17.095,12.24,20.244,20.244,20.244,20.244,20.244,2.864,2.864,146.298,13.767,3264.0,3.385,262.903,1.14,22.748,5.254,368.03,37903.0,63.875,7.018,4.869,48612.5,34.776,61.786,3.738,3.738,41,4.419,2805.69,5.023,540.7,3.998,53.5,23214.0,187.421,0.495,0.67,14.657
6.527,9,8.794,4.583,9.5,1.801,656.65,5.904,0.712,17.433,27.046,0.08,7.85,7.85,8.358,-0.011,4.717,0.024,77.287,7.28,25.198,20.979,20924.0,17.702,3.155,8.502,328.163,49.604,17.051,12.03,19.776,19.776,19.776,19.776,19.776,2.711,2.711,141.457,12.85,3026.0,3.375,255.743,1.13,21.825,5.227,350.163,35879.0,61.808,6.956,4.66,44885.1,34.055,60.058,3.714,3.714,40,4.394,2642.96,4.875,526.67,3.98,52.5,21751.0,180.75,0.476,0.67,14.487
7.349,9,9.492,4.743,12.0,2.093,738.276,6.19,0.646,18.933,29.97,0.075,8.635,8.635,8.445,-0.065,4.848,-0.043,82.609,7.816,26.583,22.451,25599.0,18.9,3.348,8.984,372.049,54.99,17.563,12.669,21.227,21.227,21.227,21.227,21.227,2.864,2.864,155.134,15.433,3672.0,3.452,282.592,1.149,24.488,5.305,402.313,42197.0,67.403,7.187,5.023,56830.9,36.211,65.594,3.784,3.784,43,4.466,3154.69,5.144,568.76,4.034,55.5,26400.0,198.877,0.544,0.67,14.964
6.577,9,9.258,4.69,11.5,1.98,712.2,6.169,0.687,18.433,28.994,0.077,7.861,7.861,8.381,-0.039,4.804,-0.006,80.613,7.779,26.077,21.977,23990.0,18.489,3.336,8.84,362.083,52.644,17.52,12.453,20.759,20.759,20.759,20.759,20.759,2.713,2.713,150.293,14.517,3398.0,3.452,275.841,1.146,23.565,5.279,384.083,40033.0,65.337,7.125,4.861,52676.6,35.499,63.891,3.761,3.761,42,4.443,2980.69,5.143,554.73,4.016,54.5,24801.0,190.131,0.527,0.67,14.794
6.842,9,8.452,4.743,11.5,2.093,702.153,6.218,0.658,18.933,28.526,0.073,8.635,8.635,8.451,-0.066,4.955,-0.047,84.525,6.846,26.995,22.94,26379.0,19.062,3.159,8.981,364.215,54.623,17.689,11.852,21.744,21.744,21.744,21.744,21.744,2.865,2.865,153.178,14.433,3658.0,3.39,279.421,1.105,23.902,5.329,394.48,42977.0,69.225,7.316,5.023,56752.8,36.259,67.166,3.807,3.807,44,4.489,3154.83,5.259,566.74,4.052,56.5,28056.0,198.877,0.51,0.67,15.182
6.616,9,8.214,4.69,11.0,1.98,676.076,6.197,0.7,18.433,27.563,0.075,8.25,8.25,8.388,-0.037,4.911,-0.007,82.529,6.776,26.488,22.466,24734.0,18.651,3.159,8.837,354.367,52.276,17.646,11.623,21.276,21.276,21.276,21.276,21.276,2.775,2.775,148.337,13.517,3384.0,3.379,272.419,1.093,22.98,5.305,376.367,40777.0,67.175,7.254,4.879,52599.2,35.545,65.46,3.784,3.784,43,4.466,2980.88,5.245,552.71,4.034,55.5,26387.0,192.131,0.493,0.67,15.012
7.2,9,8.686,4.69,11.0,1.806,670.444,5.996,0.727,17.886,27.994,0.079,8.635,8.635,8.436,-0.048,4.739,-0.03,79.752,7.1,25.341,21.332,22356.0,18.006,3.156,8.645,340.204,51.834,11.775,11.79,20.227,20.227,20.227,20.227,20.227,2.864,2.864,144.39,13.576,3262.0,3.386,263.21,1.164,22.588,5.264,374.469,38660.0,64.21,6.852,4.971,48601.4,34.758,62.274,3.738,3.738,41,4.419,2805.66,5.023,542.69,3.998,53.5,23131.0,191.421,0.531,0.67,14.296
7.078,9,8.451,4.637,10.5,1.804,644.368,5.885,0.772,17.386,27.021,0.08,7.854,7.854,8.372,-0.014,4.695,0.016,77.757,7.053,24.835,20.857,20888.0,17.595,3.155,8.502,330.665,49.546,11.736,11.572,19.759,19.759,19.759,19.759,19.759,2.712,2.712,139.549,12.66,3024.0,3.376,255.897,1.158,21.665,5.238,356.665,36601.0,62.148,6.79,4.837,44874.2,34.037,60.547,3.714,3.714,40,4.394,2642.91,4.972,528.66,3.98,52.5,21670.0,184.75,0.513,0.67,14.126
6.337,10,9.822,4.796,11.0,1.811,736.578,6.109,0.746,18.933,29.97,0.075,8.635,8.635,8.436,-0.031,4.903,-0.035,82.115,7.816,27.042,22.312,26013.0,19.044,3.209,9.158,378.803,57.038,17.239,13.109,21.137,21.137,21.137,21.137,21.137,2.864,2.864,155.699,15.1,3750.0,3.39,284.592,1.213,24.325,5.295,409.068,42899.0,66.792,7.195,5.023,57729.0,36.335,64.521,3.784,3.784,43,4.466,3196.64,5.234,568.76,4.034,55.5,26836.0,200.877,0.514,0.67,15.242
6.309,10,9.592,4.743,10.5,1.81,710.501,6.088,0.787,18.433,28.994,0.077,7.851,7.851,8.372,-0.002,4.859,0.001,80.12,7.779,26.535,21.838,24392.0,18.633,3.209,9.018,368.838,54.617,17.196,12.902,20.669,20.669,20.669,20.669,20.669,2.711,2.711,150.858,14.183,3473.0,3.379,277.841,1.207,23.402,5.269,390.838,40719.0,64.742,7.133,4.87,53540.3,35.625,62.804,3.761,3.761,42,4.443,3021.33,5.228,554.73,4.016,54.5,25225.0,194.131,0.497,0.67,15.071
7.435,11,9.167,4.583,8.0,1.634,634.274,5.922,0.971,15.8,25.378,0.081,7.681,7.681,7.592,0.097,4.46,0.061,67.194,7.941,23.165,18.577,16121.0,16.334,3.146,7.908,294.921,43.183,17.159,12.282,17.777,17.777,17.777,17.777,17.777,2.64,2.64,126.401,11.817,2452.0,3.3,227.284,1.281,19.355,5.085,328.141,28102.0,54.512,6.515,4.556,34491.4,31.757,53.029,3.611,3.611,36,4.29,2164.64,4.787,464.56,3.871,47.0,16326.0,168.974,0.44,0.83,13.699
7.699,9,7.985,4.359,8.0,1.485,593.082,5.821,0.76,14.967,23.455,0.085,7.669,7.669,7.587,0.105,4.298,0.043,64.736,7.176,21.427,17.45,13814.0,15.296,2.968,7.664,256.505,38.152,11.88,10.895,16.828,16.828,16.828,16.828,16.828,2.64,2.64,120.106,11.15,2030.0,3.144,205.629,1.015,18.24,5.047,290.479,23795.0,52.008,6.087,4.359,28762.3,30.244,50.707,3.555,3.555,34,4.234,1900.12,4.635,434.53,3.829,45.0,14040.0,152.0,0.458,0.83,12.624
7.222,7,7.605,3.536,7.0,1.971,667.519,5.156,0.735,18.114,26.025,0.076,9.032,9.032,7.86,-0.068,4.78,-0.09,76.253,5.204,26.866,22.382,22504.0,18.512,3.191,8.306,384.838,43.997,11.491,11.105,21.174,21.174,21.174,21.174,21.174,2.863,2.863,150.139,12.91,2734.0,3.376,284.526,0.704,22.415,5.242,403.102,35021.0,66.944,7.067,5.094,46097.9,34.475,65.409,3.784,3.784,43,4.466,2785.02,5.207,539.14,3.951,51.0,24652.0,195.421,0.392,0.83,15.117
5.259,9,7.936,4.416,7.5,1.0,542.914,5.631,1.029,12.8,21.828,0.1,7.57,7.57,7.456,0.091,3.855,0.019,53.095,6.898,18.752,15.114,9114.0,13.278,2.874,6.865,236.774,30.393,16.57,10.179,14.294,14.294,14.294,14.294,14.294,2.55,2.55,101.782,10.4,1414.0,3.143,190.549,1.632,16.262,4.86,253.139,16633.0,44.555,5.156,4.023,18817.7,26.9,42.875,3.401,3.401,29,4.078,1383.71,4.368,388.46,3.638,37.0,8841.0,132.606,0.502,0.83,10.921
6.022,8,7.399,4.243,7.5,1.159,567.005,5.8,0.754,14.467,22.477,0.088,8.225,8.225,7.608,0.055,4.177,0.002,63.811,6.383,20.765,16.917,12396.0,14.813,2.874,7.312,243.471,34.81,11.849,10.205,16.306,16.306,16.306,16.306,16.306,2.753,2.753,115.351,10.65,1832.0,3.143,195.893,1.033,17.533,5.027,280.955,21655.0,50.875,5.822,4.171,25531.7,29.313,49.647,3.526,3.526,33,4.205,1746.1,4.405,420.5,3.807,44.0,12571.0,147.58,0.46,1.0,12.148
6.215,9,7.936,4.416,7.5,1.0,542.914,5.631,1.029,12.8,21.828,0.1,7.57,7.57,7.456,0.091,3.855,0.019,53.095,6.898,18.752,15.114,9114.0,13.278,2.874,6.865,236.774,30.393,16.57,10.179,14.294,14.294,14.294,14.294,14.294,2.55,2.55,101.782,10.4,1414.0,3.143,190.549,1.632,16.262,4.86,253.139,16633.0,44.555,5.156,4.023,18817.7,26.9,42.875,3.401,3.401,29,4.078,1383.71,4.368,388.46,3.638,37.0,8841.0,132.606,0.502,0.83,10.921
4.77,2,3.439,2.449,4.0,-0.612,293.564,4.772,0.055,8.181,11.396,0.166,5.924,5.924,7.11,-0.233,2.866,-0.305,34.252,2.956,10.952,9.153,2008.0,7.648,1.933,4.453,103.342,8.797,0.0,4.829,8.394,8.394,8.394,8.394,8.394,2.213,2.213,65.335,4.843,262.0,2.366,91.732,0.703,10.101,4.391,111.342,3962.0,26.074,3.011,2.641,3118.84,16.258,25.675,2.89,2.89,17,3.555,358.235,3.269,252.74,3.199,23.5,1962.0,64.0,0.485,1.0,6.265
6.726,5,5.952,3.937,8.0,1.747,525.139,5.795,0.808,14.733,21.565,0.089,8.55,8.55,8.137,0.144,4.268,-0.025,71.348,4.828,21.593,17.992,13705.0,15.296,3.017,7.459,244.648,37.402,5.939,8.832,17.25,17.25,17.25,17.25,17.25,2.751,2.751,112.025,11.0,1978.0,3.134,202.997,0.922,17.911,5.133,263.403,24209.0,55.332,5.839,4.811,27813.9,30.016,53.582,3.584,3.584,35,4.263,1885.99,4.899,432.48,3.892,48.0,14218.0,152.0,0.482,1.0,12.201
6.666,5,5.952,3.937,8.0,1.747,525.139,5.791,0.776,14.733,21.565,0.089,8.55,8.55,8.137,0.145,4.268,-0.015,71.348,4.828,21.598,18.0,13705.0,15.296,3.018,7.459,248.648,37.402,5.89,8.832,17.25,17.25,17.25,17.25,17.25,2.751,2.751,113.829,11.0,1978.0,3.136,204.997,0.922,17.911,5.133,269.403,24177.0,55.332,5.839,4.811,27813.9,30.016,53.582,3.584,3.584,35,4.263,1885.99,4.899,432.48,3.892,48.0,14218.0,158.0,0.482,1.0,12.201
5.967,7,6.212,4.528,8.0,0.884,474.295,5.785,1.152,12.357,20.562,0.099,8.02,8.02,7.585,-0.071,3.884,-0.004,54.928,5.438,18.618,15.814,9035.0,13.219,2.869,6.485,222.104,27.214,0.0,8.459,14.845,14.845,14.845,14.845,14.845,2.746,2.746,92.867,8.262,1450.0,3.127,186.411,1.092,14.893,4.909,239.323,18091.0,45.057,5.082,4.298,17946.5,26.649,46.113,3.434,3.434,30,4.111,1339.91,4.468,399.42,3.638,37.0,9097.0,125.851,0.52,1.0,10.573
5.0,6,5.997,4.416,7.5,0.959,466.107,5.754,1.16,12.357,20.284,0.099,8.234,8.234,7.589,-0.067,3.869,0.008,55.593,5.092,18.685,15.789,9036.0,13.236,2.869,6.477,210.11,27.0,0.0,8.278,14.797,14.797,14.797,14.797,14.797,2.776,2.776,90.12,8.012,1440.0,3.064,177.945,0.92,14.686,4.918,227.329,18412.0,45.529,4.993,3.841,17900.9,26.646,46.129,3.434,3.434,30,4.111,1340.1,4.45,397.4,3.651,37.5,9122.0,125.851,0.512,1.0,10.508
6.943,5,5.549,4.062,7.0,0.69,446.826,5.764,0.704,11.79,18.756,0.106,7.344,7.344,7.467,-0.069,3.717,-0.053,51.258,4.792,17.417,14.722,7268.0,12.326,2.869,5.948,212.337,22.805,0.0,7.693,13.829,13.829,13.829,13.829,13.829,2.613,2.613,90.932,8.529,1184.0,3.059,170.488,0.819,14.461,4.834,229.556,13292.0,42.181,4.734,3.76,13901.4,24.906,42.894,3.367,3.367,28,4.043,1102.03,4.438,366.43,3.57,34.5,7372.0,113.457,0.506,1.0,9.873
7.046,6,6.045,4.416,7.5,0.959,471.426,5.781,1.071,12.457,20.347,0.099,8.234,8.234,7.589,-0.065,3.869,-0.003,55.593,5.121,18.629,15.693,9036.0,13.236,2.869,6.477,217.092,27.0,0.0,8.319,14.797,14.797,14.797,14.797,14.797,2.776,2.776,92.649,8.145,1440.0,3.072,184.072,0.92,14.816,4.918,234.311,18086.0,45.529,4.993,3.841,17900.9,26.646,46.129,3.434,3.434,30,4.111,1340.1,4.45,396.41,3.651,37.5,9122.0,125.851,0.512,1.0,10.508
5.0,6,6.045,4.416,7.5,0.957,471.426,5.813,1.046,12.457,20.347,0.099,8.476,8.476,7.589,-0.03,3.838,-0.008,55.676,5.121,18.627,15.719,8796.0,13.236,2.869,6.252,214.337,25.5,0.0,8.319,14.813,14.813,14.813,14.813,14.813,2.802,2.802,92.277,8.145,1410.0,3.138,181.317,0.92,14.816,4.918,234.311,17550.0,45.49,5.02,3.837,17453.8,26.482,46.123,3.434,3.434,30,4.111,1307.08,4.448,396.41,3.651,37.5,8870.0,125.851,0.507,1.0,10.549
5.0,6,6.045,4.416,7.5,0.957,471.426,5.813,1.046,12.457,20.347,0.099,8.476,8.476,7.589,-0.03,3.838,-0.008,55.676,5.121,18.638,15.716,8796.0,13.236,2.869,6.252,217.092,25.5,0.0,8.319,14.813,14.813,14.813,14.813,14.813,2.802,2.802,92.649,8.145,1410.0,3.131,184.072,0.92,14.816,4.918,234.311,17560.0,45.49,5.02,3.837,17453.8,26.482,46.123,3.434,3.434,30,4.111,1307.08,4.448,396.41,3.651,37.5,8870.0,125.851,0.507,1.0,10.549
6.248,7,6.587,4.528,8.0,0.965,497.503,5.847,0.956,12.957,21.322,0.096,7.582,7.582,7.545,-0.059,3.981,-0.028,56.817,5.801,19.284,16.226,10138.0,13.719,2.869,6.834,236.219,30.231,0.0,8.959,15.329,15.329,15.329,15.329,15.329,2.68,2.68,97.199,8.645,1592.0,3.14,194.916,1.071,15.523,4.94,253.438,19942.0,46.537,5.288,4.377,20394.3,27.584,47.386,3.466,3.466,31,4.143,1478.76,4.464,410.44,3.676,38.5,10227.0,132.127,0.505,1.0,11.022
5.604,6,6.205,4.743,9.0,1.0,485.801,5.793,1.275,13.124,21.601,0.097,10.035,10.035,8.206,-0.052,3.904,0.002,59.27,5.491,19.047,16.46,9932.0,13.537,2.869,6.667,222.104,28.633,0.0,8.33,15.303,15.303,15.303,15.303,15.303,2.988,2.988,96.513,8.229,1550.0,3.123,191.084,0.929,15.949,4.989,239.323,20767.0,48.559,5.002,4.427,19985.9,27.441,47.771,3.466,3.466,31,4.143,1454.81,4.596,432.47,3.701,39.5,10003.0,130.127,0.567,1.0,10.504
5.0,6,6.378,4.743,9.0,0.958,495.634,5.807,1.233,13.29,21.83,0.107,10.035,10.035,7.871,-0.043,3.904,0.001,57.819,5.599,18.889,16.194,9932.0,13.537,2.869,6.667,227.147,28.633,0.0,8.473,15.303,15.303,15.303,15.303,15.303,2.988,2.988,97.16,8.295,1550.0,3.114,196.127,0.929,16.105,4.968,244.366,20324.0,48.057,5.002,4.427,19985.9,27.441,48.122,3.466,3.466,31,4.143,1454.81,4.596,432.38,3.676,38.5,10003.0,130.127,0.567,1.0,10.504
6.547,6,5.826,4.123,7.0,0.972,471.423,5.953,0.963,13.39,20.492,0.09,9.062,9.062,7.687,-0.058,4.167,-0.004,62.39,4.874,20.555,17.321,11546.0,14.398,2.869,6.973,231.147,31.28,0.0,8.529,16.317,16.317,16.317,16.317,16.317,2.869,2.869,101.645,8.629,1686.0,3.157,198.127,0.715,15.802,5.017,248.366,22133.0,49.861,5.599,4.403,22528.5,28.428,50.639,3.526,3.526,33,4.205,1595.29,4.501,420.45,3.761,42.0,12184.0,138.452,0.445,1.0,11.725
6.341,7,7.089,4.848,8.5,1.0,518.858,5.883,1.148,13.69,22.921,0.09,7.951,7.951,7.655,-0.055,4.134,-0.01,60.961,6.125,20.524,17.209,12382.0,14.63,2.894,7.377,243.32,35.213,0.0,9.587,16.27,16.27,16.27,16.27,16.27,2.762,2.762,100.768,8.812,1856.0,3.168,205.545,1.219,16.224,5.016,262.539,25409.0,50.359,5.537,4.443,25612.8,29.288,50.727,3.526,3.526,33,4.205,1748.78,4.961,439.44,3.75,41.5,12465.0,144.825,0.512,1.0,11.61
6.004,5,5.908,3.937,8.0,1.716,525.073,5.798,0.749,14.7,21.503,0.088,8.55,8.55,8.137,0.135,4.268,-0.023,71.348,4.802,21.684,18.146,13705.0,15.296,3.017,7.459,249.139,37.402,5.897,8.792,17.25,17.25,17.25,17.25,17.25,2.751,2.751,114.809,10.983,1978.0,3.137,206.997,0.922,17.897,5.133,269.403,24189.0,55.364,5.839,4.811,27813.9,30.016,53.582,3.584,3.584,35,4.263,1885.99,4.899,432.49,3.892,48.0,14218.0,158.0,0.482,0.83,12.201
6.208,5,5.908,3.937,8.0,1.747,525.073,5.792,0.732,14.7,21.503,0.087,8.55,8.55,8.137,0.132,4.268,-0.02,71.348,4.802,21.701,18.171,13705.0,15.296,3.026,7.459,249.403,37.402,5.89,8.792,17.25,17.25,17.25,17.25,17.25,2.751,2.751,114.339,10.983,1978.0,3.136,205.752,0.922,17.897,5.133,263.403,24156.0,55.332,5.839,4.811,27813.9,30.016,53.582,3.584,3.584,35,4.263,1885.99,4.899,432.49,3.892,48.0,14218.0,158.0,0.482,0.83,12.201
6.149,5,5.996,3.937,8.0,1.716,535.712,5.826,0.628,14.9,21.628,0.088,8.55,8.55,8.137,0.065,4.268,-0.062,71.348,4.854,21.567,17.949,13705.0,15.296,3.022,7.459,249.97,37.402,6.071,8.872,17.25,17.25,17.25,17.25,17.25,2.751,2.751,119.181,11.25,1978.0,3.139,206.95,0.922,18.157,5.133,275.744,23441.0,55.364,5.839,4.811,27813.9,30.016,53.582,3.584,3.584,35,4.263,1885.99,4.899,430.51,3.892,48.0,14218.0,150.0,0.482,1.0,12.201
5.714,5,5.483,3.937,9.0,1.089,506.546,5.773,0.595,14.667,20.978,0.091,8.55,8.55,8.518,0.01,4.161,-0.091,72.067,4.738,20.78,17.831,12431.0,14.686,2.946,7.166,244.418,34.058,5.973,8.102,16.8,16.8,16.8,16.8,16.8,2.751,2.751,114.562,10.133,1775.0,3.128,201.624,0.778,17.843,5.145,257.928,22701.0,55.231,5.561,4.747,24861.2,29.147,52.193,3.555,3.555,34,4.234,1736.33,4.899,437.52,3.892,48.0,12923.0,147.58,0.529,1.0,11.555
6.009,6,5.962,4.062,9.0,1.149,532.623,5.807,0.633,15.167,21.94,0.088,8.55,8.55,8.534,0.054,4.237,-0.066,73.023,4.823,21.886,18.297,13592.0,15.246,3.058,7.388,263.805,36.586,6.007,8.695,17.176,17.176,17.176,17.176,17.176,2.752,2.752,119.31,10.633,1956.0,3.203,213.487,0.922,18.55,5.162,277.315,24315.0,56.198,5.661,4.793,27584.0,29.959,52.908,3.584,3.584,35,4.263,1877.05,4.899,451.55,3.912,49.0,14094.0,154.0,0.521,1.0,12.008
6.292,6,5.394,4.0,9.0,1.627,527.967,5.843,0.652,15.667,21.567,0.083,8.55,8.55,8.578,0.079,4.429,-0.049,76.747,4.609,22.557,19.365,15337.0,15.791,3.061,7.572,267.744,38.404,6.049,8.254,18.258,18.258,18.258,18.258,18.258,2.752,2.752,121.772,10.467,2123.0,3.316,218.671,0.565,18.834,5.218,281.254,26513.0,59.915,5.962,4.899,30356.5,30.807,57.12,3.638,3.638,37,4.317,2017.38,5.109,463.56,3.951,51.0,16513.0,158.465,0.506,1.0,12.473
6.357,6,6.173,4.301,9.5,1.376,552.742,5.833,0.718,15.567,22.867,0.088,8.55,8.55,8.565,0.082,4.285,-0.049,75.218,4.883,22.006,18.645,14761.0,15.629,3.06,7.572,259.181,38.478,6.02,8.908,17.724,17.724,17.724,17.724,17.724,2.752,2.752,123.157,11.333,2125.0,3.247,218.161,0.933,19.29,5.19,280.955,26461.0,57.179,5.8,4.899,30367.7,30.733,55.384,3.611,3.611,36,4.29,2016.86,5.065,466.57,3.932,50.0,15269.0,154.465,0.538,1.0,12.204
6.056,6,5.936,4.062,9.0,1.001,523.919,5.8,0.682,15.067,21.903,0.088,8.55,8.55,8.534,0.041,4.237,-0.073,73.023,4.808,21.61,18.054,13592.0,15.246,3.057,7.388,252.648,36.586,5.987,8.672,17.176,17.176,17.176,17.176,17.176,2.752,2.752,117.862,10.383,1956.0,3.191,211.854,0.922,18.343,5.162,272.158,24835.0,55.106,5.661,4.793,27584.0,29.959,52.908,3.584,3.584,35,4.263,1877.05,4.899,452.54,3.912,49.0,14094.0,154.0,0.521,1.0,12.008
5.635,5,5.458,3.937,9.0,1.0,495.095,5.76,0.646,14.567,20.941,0.091,8.55,8.55,8.518,-0.004,4.161,-0.098,72.067,4.723,20.692,17.663,12431.0,14.686,2.939,7.166,240.101,34.058,5.932,8.079,16.8,16.8,16.8,16.8,16.8,2.751,2.751,114.149,9.467,1775.0,3.128,202.817,0.778,17.42,5.145,253.611,23217.0,54.088,5.561,4.747,24861.2,29.147,52.193,3.555,3.555,34,4.234,1736.33,4.899,438.51,3.892,48.0,12923.0,147.58,0.529,1.0,11.555
6.398,5,6.144,4.0,8.5,1.722,533.226,6.476,0.937,15.086,22.466,0.086,8.55,8.55,8.218,0.09,4.288,-0.04,73.165,4.875,22.17,18.626,14592.0,15.706,3.022,7.473,256.786,37.747,5.849,9.024,17.734,17.734,17.734,17.734,17.734,2.751,2.751,116.869,11.176,2115.0,3.139,215.889,0.933,18.327,5.162,276.56,26405.0,57.385,5.928,4.899,30049.9,30.673,55.288,3.611,3.611,36,4.29,2007.41,5.022,449.49,3.912,49.0,15089.0,164.465,0.5,1.0,12.411
6.469,5,5.781,3.674,8.0,1.722,523.179,6.637,0.923,15.586,22.084,0.081,8.55,8.55,8.226,0.079,4.509,0.001,75.388,4.543,23.326,19.673,16515.0,16.368,3.046,7.704,277.744,40.242,5.889,8.901,18.754,18.754,18.754,18.754,18.754,2.752,2.752,119.765,10.676,2302.0,3.17,225.828,0.556,18.449,5.207,289.254,28862.0,59.64,6.288,4.899,33157.5,31.563,57.428,3.664,3.664,38,4.344,2162.14,5.086,461.5,3.951,51.0,17743.0,170.974,0.464,1.0,13.128
6.041,5,5.908,3.937,8.0,1.716,525.073,5.802,0.785,14.7,21.503,0.088,8.55,8.55,8.137,0.124,4.268,-0.041,71.348,4.802,21.678,18.138,13705.0,15.296,3.017,7.459,245.139,37.402,5.946,8.792,17.25,17.25,17.25,17.25,17.25,2.751,2.751,113.006,10.983,1978.0,3.135,204.997,0.922,17.897,5.133,263.403,24221.0,55.364,5.839,4.811,27813.9,30.016,53.582,3.584,3.584,35,4.263,1885.99,4.899,432.49,3.892,48.0,14218.0,154.0,0.482,0.83,12.201
6.114,6,5.962,4.062,9.0,1.09,532.623,5.843,0.56,15.167,21.94,0.088,8.567,8.567,8.523,0.002,4.232,-0.055,73.138,4.984,21.696,18.284,13404.0,15.224,3.015,7.253,263.805,36.73,6.018,8.695,17.227,17.227,17.227,17.227,17.227,2.756,2.756,119.31,10.633,1970.0,3.231,213.487,0.859,18.55,5.162,277.315,24107.0,56.072,5.716,4.892,27254.3,29.887,53.007,3.584,3.584,35,4.263,1857.16,4.944,451.55,3.912,49.0,13884.0,154.0,0.515,1.0,12.062
