pXC50,RBF,nC,Sp,Sv,nCsp3,nBT,Si,nN,Se,nAT,nH,nSK,MW,nO,C.
9.658,0.067,37,62.398,58.378,21,104.0,111.334,8,97.352,98.0,50.0,48.0,654.95,3,37.8
10.959,0.063,34,57.972,54.625,18,95.0,101.032,8,89.025,89.0,43.0,46.0,647.3,3,38.2
7.569,0.061,35,58.876,55.325,19,98.0,104.503,8,91.585,92.0,46.0,46.0,626.89,3,38.0
10.921,0.061,35,58.876,55.325,19,98.0,104.503,8,91.585,92.0,46.0,46.0,626.89,3,38.0
7.731,0.069,26,43.625,42.603,12,72.0,77.904,6,69.432,68.0,30.0,38.0,528.62,4,38.2
8.658,0.056,26,42.983,43.038,12,71.0,77.714,6,69.643,67.0,27.0,40.0,566.59,3,38.8
7.756,0.046,24,39.648,38.834,10,65.0,69.865,6,62.338,61.0,26.0,35.0,484.56,3,39.3
8.611,0.08,27,45.387,44.129,13,75.0,81.32,6,72.316,71.0,32.0,39.0,542.65,4,38.0
8.777,0.066,28,45.932,44.415,14,76.0,81.11,6,71.989,71.0,32.0,39.0,538.66,3,39.4
8.333,0.044,25,41.409,40.361,11,68.0,73.28,6,65.221,64.0,28.0,36.0,498.59,3,39.1
8.421,0.056,26,43.171,41.888,12,71.0,76.695,6,68.105,67.0,30.0,37.0,512.62,3,38.8
7.824,0.056,26,43.046,42.654,12,71.0,77.374,6,69.13,67.0,28.0,39.0,548.6,3,38.8
6.057,0.045,24,40.228,38.782,10,66.0,70.395,6,62.64,62.0,28.0,34.0,464.58,4,38.7
9.361,0.08,27,45.199,45.279,13,75.0,82.339,6,73.854,71.0,29.0,42.0,596.62,4,38.0
7.423,0.046,24,39.711,38.451,10,65.0,69.525,6,61.825,61.0,27.0,34.0,466.57,3,39.3
5.004,0.047,23,39.017,37.562,10,64.0,68.268,7,60.531,60.0,27.0,33.0,449.57,3,38.3
6.227,0.048,22,38.659,36.728,10,62.0,65.69,6,58.505,58.0,26.0,32.0,454.61,3,37.9
5.77,0.058,25,41.989,40.309,11,69.0,73.81,6,65.523,65.0,30.0,35.0,478.61,4,38.5
5.959,0.044,25,41.534,39.594,11,68.0,72.6,6,64.196,64.0,30.0,34.0,462.61,3,39.1
6.328,0.048,21,37.534,35.594,13,63.0,68.6,6,60.196,60.0,30.0,30.0,414.57,3,35.0
6.126,0.059,25,41.534,39.594,11,68.0,72.6,6,64.196,64.0,30.0,34.0,462.61,3,39.1
6.713,0.046,24,39.711,38.451,10,65.0,69.525,6,61.825,61.0,27.0,34.0,466.57,3,39.3
6.282,0.062,25,40.279,40.405,7,65.0,69.999,6,63.294,61.0,23.0,38.0,528.54,4,41.0
6.192,0.063,24,39.068,39.185,7,63.0,67.872,7,61.185,59.0,22.0,37.0,513.53,3,40.7
6.68,0.063,25,39.824,39.691,7,64.0,68.789,6,61.967,60.0,23.0,37.0,512.54,3,41.7
6.721,0.066,23,38.71,38.351,7,61.0,65.294,6,59.16,57.0,21.0,36.0,518.57,3,40.4
6.513,0.092,23,39.716,38.772,8,65.0,69.561,8,62.076,61.0,26.0,35.0,478.57,4,37.7
5.924,0.09,25,41.472,40.277,8,67.0,71.478,7,63.858,63.0,27.0,36.0,489.59,4,39.7
6.444,0.081,30,46.29,44.1,9,74.0,77.517,5,68.978,69.0,31.0,38.0,509.66,3,43.5
5.816,0.062,25,40.466,39.256,7,65.0,68.979,6,61.756,61.0,26.0,35.0,474.57,4,41.0
6.339,0.092,24,41.114,39.443,8,65.0,68.899,6,61.832,61.0,26.0,35.0,494.63,4,39.3
6.924,0.063,25,39.762,40.074,7,64.0,69.129,6,62.48,60.0,22.0,38.0,530.53,3,41.7
5.046,0.063,25,40.159,39.444,6,64.0,67.774,6,61.2,60.0,24.0,36.0,488.55,5,41.7
5.998,0.088,26,42.103,41.549,8,68.0,73.074,6,65.665,64.0,26.0,38.0,524.58,4,40.6
7.758,0.063,25,39.699,40.457,7,64.0,69.469,6,62.992,60.0,21.0,39.0,548.52,3,41.7
6.481,0.052,22,37.137,35.674,6,58.0,60.86,6,54.738,54.0,22.0,32.0,450.57,3,40.7
6.497,0.049,24,38.188,37.397,6,61.0,64.695,6,58.058,57.0,23.0,34.0,462.53,3,42.1
6.397,0.052,21,35.739,35.003,7,58.0,61.521,8,54.982,54.0,22.0,32.0,434.51,3,38.9
5.721,0.051,22,36.739,36.003,6,59.0,62.521,8,55.982,55.0,22.0,33.0,446.52,3,40.0
6.304,0.049,24,38.25,37.014,6,61.0,64.355,6,57.545,57.0,24.0,33.0,444.54,3,42.1
6.641,0.049,24,38.188,37.397,6,61.0,64.695,6,58.058,57.0,23.0,34.0,462.53,3,42.1
5.347,0.202,56,102.137,99.034,30,168.0,189.866,12,169.155,166.0,80.0,86.0,1209.48,18,33.7
4.347,0.212,58,104.137,101.034,27,170.0,191.866,12,171.155,168.0,80.0,88.0,1233.5,18,34.5
4.0,0.205,53,97.614,94.981,28,161.0,182.035,12,162.388,159.0,76.0,83.0,1169.41,18,33.3
4.0,0.201,54,99.376,96.508,29,164.0,185.45,12,165.272,162.0,78.0,84.0,1183.44,18,33.3
7.538,0.175,60,104.529,100.395,30,171.0,190.154,11,168.955,167.0,81.0,86.0,1196.52,15,35.9
8.046,0.226,130,253.627,243.222,82,424.0,484.965,42,426.721,421.0,214.0,207.0,2925.86,35,30.9
5.097,0.203,52,95.853,93.454,27,158.0,178.62,12,159.505,156.0,74.0,82.0,1155.38,18,33.3
6.208,0.174,60,104.984,101.11,30,172.0,191.364,11,170.283,168.0,81.0,87.0,1212.52,16,35.7
8.699,0.23,161,319.474,307.761,102,531.0,607.944,51,537.698,528.0,263.0,265.0,3793.89,51,30.5
5.523,0.204,54,98.37,95.486,29,162.0,182.952,11,163.17,160.0,77.0,83.0,1168.42,18,33.8
4.155,0.193,59,104.438,100.825,29,171.0,191.573,11,170.61,168.0,81.0,87.0,1216.51,17,35.1
6.836,0.208,65,122.638,115.99,39,202.0,228.05,18,200.275,199.0,102.0,97.0,1375.92,13,32.7
5.0,0.21,68,128.484,123.64,40,214.0,242.3,19,214.148,211.0,105.0,106.0,1492.92,19,32.2
5.0,0.211,63,121.717,117.092,41,204.0,232.386,18,205.162,202.0,102.0,100.0,1415.83,19,31.2
4.745,0.218,44,81.125,79.348,21,133.0,151.129,10,135.228,132.0,62.0,70.0,987.16,16,33.3
6.688,0.187,60,104.984,101.11,29,171.0,191.364,11,170.283,168.0,81.0,87.0,1212.52,16,35.7
5.0,0.228,53,102.575,99.539,33,171.0,196.613,13,174.679,171.0,85.0,86.0,1224.51,20,31.0
5.369,0.193,55,100.717,97.594,28,166.0,186.613,14,165.937,163.0,78.0,85.0,1191.47,16,33.7
4.022,0.204,55,101.137,98.034,30,167.0,188.866,12,168.155,165.0,80.0,85.0,1197.47,18,33.3
6.497,0.048,24,38.705,37.729,6,62.0,65.564,6,58.872,58.0,24.0,34.0,460.54,4,41.4
7.212,0.048,24,38.705,37.729,6,62.0,65.564,6,58.872,58.0,24.0,34.0,460.54,4,41.4
6.37,0.048,24,38.705,37.729,6,62.0,65.564,6,58.872,58.0,24.0,34.0,460.54,4,41.4
6.662,0.087,26,42.682,41.497,8,69.0,73.604,6,65.967,65.0,28.0,37.0,504.6,5,40.0
8.129,0.224,138,269.116,257.855,88,450.0,514.871,44,452.881,447.0,228.0,219.0,3096.1,37,30.9
6.328,0.187,56,100.677,97.298,31,166.0,186.158,11,165.726,163.0,79.0,84.0,1178.46,17,34.4
5.068,0.192,55,100.989,97.132,31,167.0,188.862,12,167.384,165.0,82.0,83.0,1167.49,16,33.3
4.77,0.078,26,40.375,38.058,11,64.0,67.512,2,60.065,60.0,28.0,32.0,455.01,2,43.3
5.284,0.075,27,41.154,39.524,12,67.0,71.663,2,63.65,63.0,29.0,34.0,470.58,2,42.9
4.018,0.078,26,39.58,36.848,11,64.0,67.228,2,59.229,60.0,30.0,30.0,402.58,2,43.3
4.387,0.091,26,40.733,38.772,11,66.0,69.73,3,62.101,62.0,29.0,33.0,447.58,4,41.9
4.0,0.088,27,41.796,39.089,12,68.0,71.853,2,63.44,64.0,32.0,32.0,432.61,3,42.2
8.328,0.125,37,66.256,62.353,16,104.0,113.519,9,100.683,100.0,47.0,53.0,857.73,5,37.0
7.409,0.067,24,38.83,37.862,5,60.0,61.654,6,56.182,55.0,20.0,35.0,488.57,4,43.6
7.301,0.062,26,40.762,41.373,6,65.0,68.666,7,62.629,60.0,20.0,40.0,551.53,4,43.3
6.745,0.063,27,40.574,40.474,5,64.0,66.745,5,60.796,59.0,21.0,38.0,517.53,4,45.8
7.482,0.06,25,42.017,40.851,9,67.0,69.82,5,63.385,62.0,25.0,37.0,523.62,6,40.3
7.62,0.067,24,38.83,37.862,5,60.0,61.654,6,56.182,55.0,20.0,35.0,488.57,4,43.6
5.42,0.052,31,47.921,48.421,9,77.0,83.054,6,75.156,72.0,26.0,46.0,644.63,3,43.1
4.854,0.201,58,103.376,100.508,27,169.0,189.45,12,169.272,166.0,78.0,88.0,1231.48,18,34.9
5.481,0.058,21,32.625,32.347,5,52.0,53.947,4,49.229,48.0,18.0,30.0,406.43,5,43.8
6.959,0.065,25,39.188,38.697,5,62.0,64.232,7,58.207,57.0,21.0,36.0,483.53,4,43.9
6.349,0.053,30,47.353,46.766,9,76.0,81.118,7,72.836,71.0,28.0,43.0,591.65,3,42.3
6.367,0.056,28,44.836,44.733,8,72.0,76.786,8,69.17,67.0,25.0,42.0,578.61,3,41.8
5.658,0.054,30,46.347,45.744,8,74.0,78.62,6,70.734,69.0,27.0,42.0,576.63,3,43.5
8.569,0.117,37,65.495,61.826,16,103.0,111.104,9,98.799,98.0,45.0,53.0,855.71,5,37.8
7.501,0.065,31,48.353,47.766,8,77.0,82.118,7,73.836,72.0,28.0,44.0,603.66,3,43.1
5.161,0.052,31,48.108,47.271,9,77.0,82.035,6,73.618,72.0,29.0,43.0,590.66,3,43.1
5.538,0.071,27,43.495,43.647,8,70.0,75.623,6,68.505,66.0,25.0,41.0,570.58,5,40.9
6.883,0.082,28,45.256,45.174,9,73.0,79.038,6,71.389,69.0,27.0,42.0,584.61,5,40.6
5.699,0.063,31,49.114,48.292,10,79.0,84.533,7,75.719,74.0,30.0,44.0,605.68,3,41.9
6.433,0.049,34,51.108,50.271,8,81.0,85.035,6,76.618,75.0,29.0,46.0,626.69,3,45.3
5.194,0.054,30,47.205,46.572,8,74.0,78.564,6,71.058,69.0,26.0,43.0,611.07,3,43.5
6.523,0.187,51,91.478,88.267,27,150.0,168.995,10,150.319,148.0,72.0,76.0,1065.33,15,34.5
5.0,0.19,56,101.683,98.32,31,168.0,188.656,12,167.828,165.0,80.0,85.0,1193.48,17,33.9
5.854,0.055,29,45.591,45.239,8,73.0,77.703,7,69.952,68.0,26.0,42.0,577.62,3,42.6
7.293,0.065,31,48.353,47.766,8,77.0,82.118,7,73.836,72.0,28.0,44.0,603.66,3,43.1
6.276,0.057,21,33.176,32.654,5,53.0,55.236,5,50.003,49.0,19.0,30.0,405.45,4,42.9
5.273,0.066,29,46.87,45.798,11,76.0,82.45,6,73.501,72.0,31.0,41.0,568.66,3,40.3
8.626,0.073,33,51.324,50.513,9,82.0,87.659,6,78.829,77.0,31.0,46.0,632.7,4,42.9
5.945,0.055,29,45.591,45.239,8,73.0,77.703,7,69.952,68.0,26.0,42.0,577.62,3,42.6
6.598,0.054,30,47.205,46.572,8,74.0,78.564,6,71.058,69.0,26.0,43.0,611.07,3,43.5
5.949,0.074,33,50.87,49.798,9,81.0,86.45,6,77.501,76.0,31.0,45.0,616.7,3,43.4
5.553,0.054,30,46.284,46.128,8,74.0,78.959,6,71.247,69.0,26.0,43.0,594.62,3,43.5
5.977,0.064,31,48.807,48.48,8,78.0,83.327,7,75.163,73.0,28.0,45.0,619.66,4,42.5
7.426,0.073,33,51.199,51.279,9,82.0,88.339,6,79.854,77.0,29.0,48.0,668.68,4,42.9
5.187,0.201,55,101.995,98.153,31,169.0,191.36,13,169.486,167.0,83.0,84.0,1182.51,16,32.9
6.63,0.046,24,39.711,38.451,10,65.0,69.525,6,61.825,61.0,27.0,34.0,466.57,3,39.3
8.461,0.071,30,50.915,49.204,16,85.0,91.648,7,81.185,80.0,37.0,43.0,597.74,4,37.5
8.35,0.064,30,48.177,46.909,11,78.0,83.193,7,74.207,73.0,31.0,42.0,575.68,3,41.1
8.611,0.078,27,47.489,46.031,13,77.0,83.449,6,74.72,73.0,32.0,41.0,590.72,5,37.0
8.301,0.079,27,47.034,45.316,13,76.0,82.24,6,73.392,72.0,32.0,40.0,574.72,4,37.5
8.301,0.056,26,43.108,42.271,12,71.0,77.035,6,68.618,67.0,29.0,38.0,530.61,3,38.8
7.69,0.066,28,46.057,43.648,14,76.0,80.431,6,70.963,71.0,34.0,37.0,502.68,3,39.4
5.357,0.047,23,39.017,37.562,10,64.0,68.268,7,60.531,60.0,27.0,33.0,449.57,3,38.3
6.469,0.046,24,39.711,38.451,10,65.0,69.525,6,61.825,61.0,27.0,34.0,466.57,3,39.3
5.0,0.19,52,95.705,92.551,28,158.0,178.616,12,158.734,156.0,76.0,80.0,1125.4,16,33.3
6.41,0.088,26,42.228,40.782,8,68.0,72.395,6,64.64,64.0,28.0,36.0,488.6,4,40.6
6.474,0.066,22,37.313,37.68,7,61.0,65.955,8,59.403,57.0,21.0,36.0,502.51,3,38.6
5.469,0.081,30,46.29,44.1,9,74.0,77.517,5,68.978,69.0,31.0,38.0,509.66,3,43.5
5.972,0.05,23,37.495,36.509,6,60.0,63.438,7,56.763,56.0,23.0,33.0,445.53,3,41.1
6.645,0.072,27,42.773,41.068,9,69.0,72.185,6,64.312,64.0,28.0,36.0,484.61,3,42.2
4.62,0.204,48,91.398,88.739,29,152.0,173.411,12,154.177,151.0,74.0,77.0,1091.34,17,31.8
5.398,0.196,54,98.921,95.793,29,163.0,184.241,12,163.945,161.0,78.0,83.0,1167.44,17,33.5
6.444,0.19,55,99.256,95.858,28,163.0,182.905,13,162.508,160.0,77.0,83.0,1160.45,15,34.4
6.119,0.065,31,48.256,48.174,8,77.0,82.038,6,74.389,72.0,27.0,45.0,620.64,5,43.1
6.622,0.063,31,50.665,49.888,9,80.0,85.374,6,77.349,75.0,29.0,46.0,654.73,5,41.3
5.0,0.212,51,99.086,96.76,30,165.0,188.74,15,168.021,164.0,79.0,85.0,1206.45,19,31.1
4.0,0.201,54,99.376,96.508,29,164.0,185.45,12,165.272,162.0,78.0,84.0,1183.44,18,33.3
4.495,0.2,54,99.83,97.222,29,165.0,186.66,12,166.599,163.0,78.0,85.0,1199.44,19,33.1
6.799,0.187,58,101.768,97.869,28,166.0,185.739,11,165.072,163.0,79.0,84.0,1170.48,15,35.6
5.347,0.183,55,99.222,95.583,31,164.0,183.949,11,163.399,161.0,79.0,82.0,1150.45,16,34.2
5.469,0.191,54,98.16,95.266,29,162.0,181.826,12,162.061,159.0,76.0,83.0,1165.42,17,34.0
5.046,0.2,54,99.83,97.222,29,165.0,186.66,12,166.599,163.0,78.0,85.0,1199.44,19,33.1
5.523,0.202,54,98.921,95.793,29,163.0,184.241,12,163.945,161.0,78.0,83.0,1167.44,17,33.5
5.569,0.202,55,101.541,97.438,31,168.0,190.151,13,168.159,166.0,83.0,83.0,1166.51,15,33.1
6.553,0.186,56,101.228,97.605,31,167.0,187.447,12,166.501,164.0,80.0,84.0,1177.48,16,34.1
4.721,0.201,54,99.376,96.508,29,164.0,185.45,12,165.272,162.0,78.0,84.0,1183.44,18,33.3
5.0,0.191,54,98.16,95.266,29,162.0,181.826,12,162.061,159.0,76.0,83.0,1165.42,17,34.0
7.638,0.055,29,45.591,45.239,8,73.0,77.703,7,69.952,68.0,26.0,42.0,577.62,3,42.6
10.301,0.121,39,68.256,64.353,16,107.0,115.519,9,102.683,102.0,47.0,55.0,881.75,5,38.2
5.0,0.21,57,106.609,103.813,30,176.0,199.57,15,177.788,174.0,83.0,91.0,1282.55,19,32.8
7.631,0.222,136,263.792,252.979,87,441.0,504.171,41,444.019,438.0,223.0,215.0,3041.0,38,31.1
5.757,0.06,25,42.568,41.157,7,67.0,71.109,6,64.16,63.0,26.0,37.0,522.64,5,39.7
4.0,0.201,54,99.376,96.508,29,164.0,185.45,12,165.272,162.0,78.0,84.0,1183.44,18,33.3
4.097,0.201,54,99.376,96.508,29,164.0,185.45,12,165.272,162.0,78.0,84.0,1183.44,18,33.3
4.292,0.205,53,97.614,94.981,28,161.0,182.035,12,162.388,159.0,76.0,83.0,1169.41,18,33.3
8.638,0.226,134,261.826,251.253,85,438.0,501.128,43,441.128,435.0,221.0,214.0,3026.98,37,30.8
5.32,0.189,58,103.228,99.605,28,169.0,189.447,12,168.501,166.0,80.0,86.0,1201.5,16,34.9
6.77,0.183,59,103.529,99.395,29,169.0,189.154,11,167.955,166.0,81.0,85.0,1184.51,15,35.5
5.688,0.052,21,35.739,35.003,7,58.0,61.521,8,54.982,54.0,22.0,32.0,434.51,3,38.9
7.895,0.225,136,266.048,255.516,86,445.0,509.25,44,448.441,442.0,224.0,218.0,3084.04,38,30.8
5.523,0.181,66,112.052,107.449,30,182.0,200.985,11,178.723,177.0,85.0,92.0,1272.62,15,37.3
9.699,0.227,163,322.849,309.912,105,537.0,614.771,51,542.695,534.0,269.0,265.0,3791.97,49,30.5
7.921,0.224,136,266.321,255.054,89,446.0,511.499,42,449.888,444.0,228.0,216.0,3060.06,38,30.6
7.746,0.227,124,242.633,232.389,80,406.0,465.43,39,409.321,404.0,207.0,197.0,2788.7,34,30.7
5.0,0.189,55,99.467,96.078,30,164.0,184.032,12,163.617,161.0,78.0,83.0,1163.45,16,34.2
4.0,0.194,53,96.915,93.771,29,160.0,180.743,11,160.843,158.0,77.0,81.0,1140.41,17,33.5
5.0,0.187,57,103.444,99.846,32,171.0,192.071,12,170.712,168.0,82.0,86.0,1207.51,17,33.9
8.398,0.08,27,46.58,44.602,13,75.0,81.03,6,72.065,71.0,32.0,39.0,558.72,3,38.0
5.86,0.055,29,45.591,45.239,8,73.0,77.703,7,69.952,68.0,26.0,42.0,577.62,3,42.6
5.161,0.2,54,99.927,96.814,29,165.0,186.739,13,166.046,163.0,79.0,84.0,1182.46,17,33.1
5.245,0.078,26,40.438,37.675,11,64.0,67.172,2,59.552,60.0,29.0,31.0,437.02,2,43.3
6.041,0.172,61,106.291,101.922,31,174.0,193.57,11,171.839,170.0,83.0,87.0,1210.55,15,35.9
7.394,0.052,31,48.108,47.271,9,77.0,82.035,6,73.618,72.0,29.0,43.0,590.66,3,43.1
5.509,0.058,26,42.347,41.744,10,69.0,74.62,6,66.734,65.0,27.0,38.0,528.59,3,40.0
5.855,0.054,30,46.284,46.128,8,74.0,78.959,6,71.247,69.0,26.0,43.0,594.62,3,43.5
4.301,0.188,31,53.04,49.257,10,80.0,87.861,5,77.97,78.0,37.0,41.0,687.53,3,39.7
6.553,0.053,30,47.353,46.766,9,76.0,81.118,7,72.836,71.0,28.0,43.0,591.65,3,42.3
5.155,0.195,56,102.2,98.352,32,169.0,190.988,11,169.494,167.0,83.0,84.0,1182.5,17,33.5
6.73,0.063,25,39.762,40.074,7,64.0,69.129,6,62.48,60.0,22.0,38.0,530.53,3,41.7
5.523,0.187,60,104.529,100.395,30,171.0,190.154,11,168.955,167.0,81.0,86.0,1196.52,15,35.9
6.699,0.186,49,88.262,85.025,26,145.0,163.371,10,145.108,143.0,70.0,73.0,1023.29,14,34.3
6.22,0.046,24,39.773,38.068,10,65.0,69.185,6,61.312,61.0,28.0,33.0,448.58,3,39.3
5.0,0.179,54,98.012,94.363,30,162.0,181.822,12,161.29,159.0,78.0,81.0,1135.44,15,34.0
6.675,0.073,33,51.137,51.663,9,82.0,88.678,6,80.367,77.0,28.0,49.0,686.67,4,42.9
5.0,0.211,52,99.842,97.265,31,166.0,189.656,14,168.803,165.0,80.0,85.0,1205.46,19,31.5
8.204,0.076,28,47.699,45.963,14,79.0,86.024,7,75.974,75.0,35.0,40.0,555.7,3,37.3
5.0,0.209,69,129.24,124.146,41,215.0,243.217,18,214.93,212.0,106.0,106.0,1491.93,19,32.5
8.638,0.225,139,271.332,260.096,89,454.0,519.496,44,457.091,451.0,230.0,221.0,3126.13,38,30.8
4.62,0.203,49,89.87,87.664,25,148.0,167.082,11,149.308,146.0,69.0,77.0,1084.29,17,33.6
5.523,0.201,54,99.376,96.508,29,164.0,185.45,12,165.272,162.0,78.0,84.0,1183.44,18,33.3
8.735,0.205,163,322.088,309.385,105,536.0,612.355,51,540.811,532.0,267.0,265.0,3789.95,49,30.6
5.979,0.063,31,49.114,48.292,10,79.0,84.533,7,75.719,74.0,30.0,44.0,605.68,3,41.9
6.513,0.049,24,38.125,37.781,6,61.0,65.034,6,58.571,57.0,22.0,35.0,480.52,3,42.1
10.699,0.073,36,58.319,54.997,18,96.0,101.716,6,89.708,90.0,44.0,46.0,624.86,4,40.0
10.793,0.061,35,58.813,55.708,19,98.0,104.843,8,92.097,92.0,45.0,47.0,644.88,3,38.0
10.658,0.072,35,58.262,55.401,19,97.0,103.554,7,91.323,91.0,44.0,47.0,645.86,4,38.5
4.398,0.198,33,56.563,52.311,12,86.0,94.692,5,83.738,84.0,41.0,43.0,715.59,3,39.3
10.244,0.073,36,58.256,55.38,18,96.0,102.056,6,90.221,90.0,43.0,47.0,642.85,4,40.0
11.0,0.072,35,58.324,55.018,19,97.0,103.215,7,90.81,91.0,45.0,46.0,627.87,4,38.5
8.444,0.051,23,36.636,36.39,6,59.0,60.943,6,55.433,54.0,20.0,34.0,460.49,5,42.6
6.658,0.048,24,38.398,37.917,7,62.0,64.358,6,58.316,57.0,22.0,35.0,474.52,5,42.1
6.921,0.087,26,42.682,41.497,9,69.0,73.604,6,65.967,65.0,28.0,37.0,504.6,5,40.0
9.612,0.063,34,57.114,53.798,18,95.0,101.088,8,88.701,89.0,44.0,45.0,612.86,3,38.2
10.77,0.061,35,58.876,55.325,19,98.0,104.503,8,91.585,92.0,46.0,46.0,626.89,3,38.0
7.904,0.044,26,41.921,40.97,9,68.0,71.189,6,64.083,63.0,26.0,37.0,502.58,5,41.3
7.572,0.097,27,44.443,43.024,10,72.0,77.019,6,68.851,68.0,30.0,38.0,518.63,5,39.7
7.766,0.046,25,40.159,39.444,8,65.0,67.774,6,61.2,60.0,24.0,36.0,488.55,5,41.7
8.603,0.059,28,42.46,41.234,8,68.0,69.481,5,62.654,62.0,25.0,37.0,495.58,4,45.2
7.62,0.056,29,45.415,43.233,9,71.0,72.607,5,65.287,65.0,27.0,38.0,525.68,3,44.6
8.507,0.043,29,43.216,41.74,9,69.0,70.398,4,63.436,63.0,26.0,37.0,494.59,4,46.0
7.018,0.066,26,38.938,38.181,5,61.0,62.651,5,56.887,56.0,21.0,35.0,467.52,4,46.4
5.569,0.062,27,41.006,39.519,7,65.0,67.272,5,60.327,60.0,25.0,35.0,467.57,3,45.0
6.638,0.067,25,38.182,37.675,4,60.0,61.734,6,56.105,55.0,20.0,35.0,468.51,4,45.5
6.569,0.065,26,39.245,37.993,6,62.0,63.857,5,57.443,57.0,23.0,34.0,453.54,3,45.6
8.352,0.061,29,42.489,41.487,4,66.0,66.94,6,60.662,60.0,22.0,38.0,502.57,3,48.3
9.292,0.048,24,38.398,37.917,7,62.0,64.358,6,58.316,57.0,22.0,35.0,474.52,5,42.1
8.523,0.063,35,58.512,54.469,18,95.0,100.427,6,88.458,89.0,44.0,45.0,628.92,3,39.3
7.307,0.057,21,33.114,33.037,5,53.0,55.575,5,50.516,49.0,18.0,31.0,423.44,4,42.9
7.638,0.051,23,36.699,35.707,7,59.0,62.066,5,55.771,55.0,23.0,32.0,433.51,4,41.8
7.308,0.054,22,34.938,34.181,6,56.0,58.651,5,52.887,52.0,21.0,31.0,419.48,4,42.3
7.632,0.057,21,34.034,33.481,5,53.0,55.18,5,50.327,49.0,18.0,31.0,439.89,4,42.9
5.357,0.07,22,35.392,34.895,6,57.0,59.86,5,54.214,53.0,21.0,32.0,435.48,5,41.5
6.229,0.054,22,34.938,34.181,6,56.0,58.651,5,52.887,52.0,21.0,31.0,419.48,4,42.3
7.523,0.057,21,34.034,33.481,5,53.0,55.18,5,50.327,49.0,18.0,31.0,439.89,4,42.9
6.886,0.072,30,44.495,43.509,4,69.0,70.438,7,63.763,63.0,23.0,40.0,529.6,3,47.6
8.432,0.061,29,42.489,41.487,4,66.0,66.94,6,60.662,60.0,22.0,38.0,502.57,3,48.3
7.35,0.045,26,40.671,39.454,10,66.0,68.607,4,61.763,61.0,26.0,35.0,474.56,5,42.6
5.585,0.075,28,42.25,41.014,7,67.0,68.355,6,61.545,61.0,24.0,37.0,492.58,3,45.9
7.464,0.065,25,39.188,38.697,5,62.0,64.232,7,58.207,57.0,21.0,36.0,483.53,4,43.9
6.854,0.076,25,40.921,39.97,8,66.0,70.189,6,63.083,62.0,26.0,36.0,490.57,5,40.3
6.824,0.057,21,33.114,33.037,5,53.0,55.575,5,50.516,49.0,18.0,31.0,423.44,4,42.9
6.886,0.054,22,34.938,34.181,6,56.0,58.651,5,52.887,52.0,21.0,31.0,419.48,4,42.3
7.471,0.077,25,40.369,39.664,8,65.0,68.9,5,62.309,61.0,25.0,36.0,491.55,6,41.0
7.194,0.057,21,34.034,33.481,5,53.0,55.18,5,50.327,49.0,18.0,31.0,439.89,4,42.9
5.824,0.07,22,35.392,34.895,6,57.0,59.86,5,54.214,53.0,21.0,32.0,435.48,5,41.5
6.475,0.057,21,34.034,33.481,5,53.0,55.18,5,50.327,49.0,18.0,31.0,439.89,4,42.9
8.465,0.088,26,42.131,41.191,9,68.0,72.315,5,65.192,64.0,27.0,37.0,505.58,6,40.6
6.371,0.058,28,43.466,42.256,7,69.0,71.979,6,64.756,64.0,26.0,38.0,510.6,4,43.8
7.411,0.085,27,43.892,42.717,10,71.0,75.73,5,68.076,67.0,29.0,38.0,519.61,6,40.3
10.276,0.074,36,57.557,54.47,16,94.0,99.301,6,87.825,88.0,42.0,46.0,622.84,4,40.9
9.745,0.074,36,57.864,54.282,18,95.0,100.507,6,88.381,89.0,44.0,45.0,608.86,3,40.4
8.745,0.075,31,49.267,46.868,13,80.0,84.557,5,75.072,75.0,35.0,40.0,541.71,4,41.3
10.357,0.063,36,58.319,54.997,18,96.0,101.716,6,89.708,90.0,44.0,46.0,624.86,4,40.0
10.167,0.082,36,59.324,56.018,18,98.0,104.215,7,91.81,92.0,45.0,47.0,639.88,4,39.1
6.553,0.076,25,40.921,39.97,8,66.0,70.189,6,63.083,62.0,26.0,36.0,490.57,5,40.3
9.886,0.078,36,55.972,53.8,12,90.0,94.81,6,84.57,84.0,37.0,47.0,636.79,4,42.9
7.367,0.106,25,40.921,39.97,8,66.0,70.189,6,63.083,62.0,26.0,36.0,490.57,5,40.3
10.77,0.073,36,58.319,54.997,18,96.0,101.716,6,89.708,90.0,44.0,46.0,624.86,4,40.0
10.201,0.079,35,55.279,52.911,12,89.0,93.554,7,83.276,83.0,37.0,46.0,619.79,4,42.2
10.959,0.072,35,58.262,55.401,19,97.0,103.554,7,91.323,91.0,44.0,47.0,645.86,4,38.5
7.509,0.095,24,39.159,38.444,7,63.0,66.774,6,60.2,59.0,24.0,35.0,476.54,5,40.7
9.381,0.048,26,39.182,38.675,5,62.0,62.734,6,57.105,56.0,20.0,36.0,480.52,4,46.4
6.284,0.06,30,43.245,41.993,4,67.0,67.857,5,61.443,61.0,23.0,38.0,501.58,3,49.2
9.369,0.067,30,46.989,45.309,9,75.0,78.81,6,70.523,70.0,30.0,40.0,538.66,4,42.9
7.469,0.071,31,45.25,44.014,4,70.0,71.355,6,64.545,64.0,24.0,40.0,528.61,3,48.4
