pXC50,GGI3,ATS7s,ATS7i,ATS8s,ATS5e,SpMin5_Bh.v.,GGI5,ATS6e,SM06_EA.ri.,SM04_EA.ri.,ATS5m,ATS6s,ATS7m,SpMin3_Bh.s.,CATS2D_07_AL,SpMin5_Bh.p.,SM05_EA.ri.,ATSC6p,SM05_AEA.ed.,ATS5i,ATS6m,Eig12_EA,SM06_AEA.dm.,TIE,Eig03_EA.ri.,P_VSA_e_5,P_VSA_m_3,Pol,CIC0,ATSC4p,SM10_EA.ri.,nO,ATSC3v,SM04_AEA.ed.,Eig12_AEA.ri.,ATSC7v,SM06_AEA.ed.,Eig12_EA.ri.,SM03_EA.ri.,TPSA.NO.,SM02_EA.ed.,SpMin8_Bh.p.,Eig13_EA.ri.,SM03_AEA.ed.,ATSC8e,SM12_EA.ri.,Eig11_AEA.ri.,ATSC1p,Eig14_AEA.dm.,SM11_EA.ri.,GGI6,SM02_AEA.ed.,ATSC5p,Eig12_AEA.ed.,IC5,X1MulPer,Eig14_EA.ed.,SM09_AEA.ri.,Eig11_EA.ri.,SpMax6_Bh.e.,NsssCH,Eig13_EA.ed.,SM08_AEA.ri.,ATSC7e,DELS,Eig13_EA,SM07_AEA.dm.,HDcpx,ATS3s,Ram,Eig12_EA.bo.,C.008,GGI7,Eig11_EA,SM05_AEA.dm.,Eig08_AEA.dm.,Eig04_AEA.dm.,ATSC5s,SM13_EA.ri.,SIC0,GGI8,SsOH,SpMin7_Bh.p.,Eig03_EA,SM11_AEA.bo.,nC,VvdwZAZ,P_VSA_p_2,P_VSA_v_2,SAacc,GGI4,Eig12_EA.ed.,SM07_AEA.ri.,IC4,Eig09_AEA.ri.,SM04_EA,ATSC5e,S1K,SpMaxA_EA.bo.,Eig03_AEA.ri.,SPI,Eig15_EA.ri.,TIC4,ATS1p,Eig15_EA,SM09_AEA.dm.,P_VSA_s_6,Uindex,Eta_epsi,Eig11_EA.bo.,Eig11_AEA.bo.,Eig11_AEA.dm.,TIC3,SpMax7_Bh.i.,ATSC6v,Eig15_EA.bo.,ATSC7s,NsOH,Eig15_AEA.ri.,SAdon,Psi_e_1,TIC5,Eig12_AEA.bo.,SM05_AEA.bo.,SpMax8_Bh.v.,ATS1v,BIC0,SpMin8_Bh.e.,SM04_AEA.bo.,P_VSA_MR_2,DLS_06,P_VSA_MR_7,ATSC4s,SpMax8_Bh.p.,Psi_i_s,Eig06_AEA.dm.,Sv,N.
5.3,1.944,4.733,3.964,3.78,4.033,1.317,1.042,3.938,7.673,5.743,3.997,5.042,2.757,0.928,2,1.354,6.278,5.117,11.017,4.171,3.826,-0.356,-0.356,19.466,2.454,0.0,0.0,37,2.94,6.54,12.019,0,5.522,9.208,0.51,3.661,12.864,-0.299,3.824,60.38,6.777,0.485,-0.477,7.458,0.127,14.292,1.119,2.539,-0.767,13.133,0.284,5.808,4.204,2.684,4.593,6.03,-2.836,-2.836,0.19,2.595,0,-1.507,-1.507,0.233,14.015,-0.578,-0.578,1.63,5.292,10,-0.452,0,0.083,0.214,0.214,1.144,2.808,13.432,15.433,0.388,0.0,0.0,0.763,2.775,2.775,11,199.15,69.225,69.225,66.652,1.467,-0.916,-0.916,4.522,1.801,6.08,0.255,11.776,0.215,3.662,7.247,-1.048,126.606,3.264,-1.216,-1.216,143.779,23.402,19.6,0.257,1.445,0.572,124.606,2.543,3.058,-1.536,25.972,0,-0.346,0.0,3.348,128.606,0.988,8.926,2.144,3.206,0.349,0.197,7.493,0.0,0.83,66.652,14.09,2.131,42.111,2.152,21.217,21.4
5.6,1.819,5.933,5.076,5.851,4.824,1.593,1.097,4.738,7.879,6.005,3.995,5.896,3.96,1.131,5,1.643,6.441,6.888,10.886,5.066,4.048,0.917,0.917,45.283,2.575,25.145,25.145,44,4.117,9.423,12.066,1,12.068,9.141,1.888,13.031,12.67,0.887,4.031,79.7,6.718,1.239,0.442,7.458,0.344,14.262,1.99,4.269,0.445,13.125,0.914,5.878,7.984,3.247,4.999,8.775,0.746,0.746,0.987,3.225,1,1.089,1.089,0.397,20.979,0.455,0.455,1.719,5.778,10,1.186,1,0.546,1.0,1.0,1.534,2.683,58.191,15.36,0.271,0.368,0.0,1.397,2.699,2.699,21,327.21,96.575,96.575,78.136,1.569,2.136,2.136,4.999,2.262,6.107,0.398,18.392,0.143,3.652,13.28,-0.069,249.928,3.551,-0.071,-0.071,75.011,42.003,29.367,1.5,2.5,1.036,247.173,3.11,9.824,-0.089,48.24,0,0.917,16.663,4.383,249.928,2.298,8.895,2.757,3.533,0.254,0.934,7.54,95.772,1.0,49.867,61.0,2.758,61.0,2.206,32.058,12.0
6.4,1.319,5.314,4.414,5.116,4.431,1.472,0.451,4.341,7.526,5.722,3.725,5.423,3.66,0.907,3,1.457,5.993,6.23,10.523,4.655,3.78,0.484,0.484,25.842,2.476,0.0,0.0,35,3.777,6.861,11.622,0,9.057,8.828,1.427,6.927,12.262,0.455,3.608,53.6,6.45,0.992,-0.248,7.197,0.133,13.791,1.556,2.981,-0.189,12.652,0.437,5.666,7.145,3.093,5.029,7.445,-1.119,-1.119,0.575,2.889,0,-0.943,-0.943,0.22,13.129,-0.364,-0.364,1.669,5.473,7,0.694,0,0.277,0.613,0.613,1.46,2.403,21.596,14.871,0.285,0.152,0.0,1.062,2.511,2.511,19,277.03,68.367,68.367,51.582,1.072,1.171,1.171,5.029,2.0,5.872,0.144,15.034,0.168,3.5,5.996,-0.613,196.131,3.423,-0.665,-0.665,72.72,33.877,23.586,0.744,1.975,0.812,193.376,2.925,7.918,-0.873,24.897,0,0.256,34.796,3.718,196.131,1.822,8.712,2.691,3.4,0.263,0.838,7.373,0.0,1.0,51.582,20.583,2.666,50.278,1.6,27.074,10.3
5.1,1.917,5.486,4.599,5.091,4.611,1.429,0.695,4.485,7.66,5.817,3.723,5.602,3.333,1.014,3,1.381,6.184,6.895,10.665,4.841,3.562,0.448,0.448,36.835,2.45,53.683,53.683,39,3.855,9.001,11.855,2,10.77,8.948,1.394,8.639,12.424,0.422,3.795,85.17,6.555,1.038,0.07,7.294,0.217,14.081,1.68,3.711,0.148,12.926,0.522,5.74,7.953,2.921,4.915,7.971,-0.711,-0.711,0.688,3.111,0,0.178,0.178,0.323,23.19,0.074,0.074,1.678,5.69,8,0.742,0,0.247,0.714,0.714,1.983,2.616,42.018,15.196,0.29,0.206,10.281,1.251,2.533,2.533,19,292.94,121.438,121.438,104.652,1.352,0.782,0.782,4.915,1.959,5.958,0.283,15.952,0.166,3.499,9.028,-0.602,211.329,3.43,-0.64,-0.64,101.528,36.06,26.033,1.0,2.075,1.0,211.329,3.058,9.38,-0.766,54.635,1,0.31,59.469,3.965,211.329,2.0,8.773,2.637,3.428,0.271,0.821,7.426,42.683,1.0,16.786,42.824,2.605,56.667,2.232,28.203,9.3
5.1,2.104,5.944,4.978,5.902,4.724,1.44,1.146,4.765,8.005,6.061,4.137,6.042,4.144,0.984,5,1.46,6.621,7.505,11.062,4.935,4.262,0.752,0.752,56.857,2.572,42.683,57.643,49,3.884,10.435,12.324,1,11.525,9.292,1.647,12.053,12.871,0.662,4.207,88.23,6.853,1.239,0.613,7.585,0.592,14.571,2.0,4.091,0.766,13.423,0.74,5.984,8.256,3.453,5.054,8.922,0.477,0.477,1.0,3.117,0,1.607,1.607,0.438,34.798,0.705,0.705,1.735,5.967,11,1.05,0,0.663,1.0,1.0,1.558,2.879,37.124,15.696,0.312,0.463,9.466,1.299,2.728,2.728,21,348.49,129.123,144.083,142.796,2.078,1.971,1.971,5.054,2.218,6.271,0.408,20.517,0.143,3.659,16.371,-0.056,252.683,3.567,-0.069,-0.069,163.934,46.711,31.967,1.5,2.5,1.141,252.683,3.063,9.77,-0.087,37.68,1,0.823,60.694,4.761,252.683,2.184,9.023,2.715,3.568,0.293,0.925,7.646,0.0,1.0,85.153,95.41,2.735,72.194,2.351,33.268,12.0
5.1,1.688,5.983,4.759,5.566,4.679,1.318,0.854,4.621,7.573,5.786,3.781,5.869,3.628,0.964,5,1.359,6.064,8.632,10.482,4.893,3.732,0.394,0.394,59.967,2.591,67.828,82.788,38,3.932,9.595,11.543,2,11.546,8.797,1.285,8.93,12.208,0.346,3.716,62.22,6.405,1.062,-0.04,7.174,0.286,13.622,1.984,4.166,0.319,12.518,0.588,5.652,9.033,2.822,5.047,8.073,-0.598,-0.598,0.983,3.019,1,-0.111,-0.111,0.622,32.973,-0.043,-0.043,1.689,5.811,7,0.412,1,0.38,1.0,1.0,1.528,2.666,91.924,14.646,0.284,0.193,9.531,1.068,2.614,2.614,21,321.33,102.625,117.585,117.585,1.076,0.579,0.579,5.047,2.001,5.849,0.454,17.937,0.145,3.605,10.962,-0.512,227.133,3.485,-0.549,-0.549,99.574,44.452,27.348,1.479,2.5,1.0,222.379,2.957,10.485,-0.711,109.81,1,0.391,60.694,4.143,227.133,1.459,8.62,2.715,3.465,0.267,0.886,7.31,48.687,1.0,16.786,94.096,2.735,64.833,1.835,29.597,4.4
5.1,0.917,4.949,4.26,4.559,4.38,1.429,0.348,4.11,7.425,5.64,3.359,5.135,3.087,0.825,0,1.427,5.932,3.665,10.368,4.665,3.289,-0.109,-0.109,22.885,2.486,11.0,11.0,28,3.676,6.609,11.384,1,10.537,8.69,0.837,5.576,12.084,-0.103,3.546,68.62,6.319,1.068,-0.645,7.071,0.046,13.455,1.366,3.355,-0.629,12.362,0.321,5.549,4.752,2.761,4.669,7.069,-2.251,-2.251,0.382,3.065,1,-1.743,-1.743,0.295,12.229,-0.651,-0.651,1.626,5.398,6,-0.119,0,0.122,0.394,0.394,1.2,2.321,24.318,14.479,0.299,0.056,0.0,1.178,2.533,2.533,15,233.87,79.306,79.306,60.866,0.769,-0.288,-0.288,4.669,1.969,5.753,0.334,12.839,0.183,3.515,0.0,-0.884,177.421,3.278,-0.946,-0.946,60.866,28.192,22.567,0.587,1.888,0.397,177.421,2.987,5.71,-1.044,20.211,0,0.009,16.663,3.306,177.421,1.009,8.501,2.266,3.272,0.281,0.791,7.17,58.856,1.0,49.867,25.373,2.262,42.5,1.534,23.983,13.2
5.1,1.625,5.728,4.947,5.51,4.915,1.563,0.903,4.83,7.527,5.677,3.686,5.743,3.469,0.813,3,1.534,6.145,8.452,10.672,5.19,3.618,-0.186,-0.186,38.138,2.505,67.828,67.828,36,3.824,8.679,11.633,2,11.881,8.918,0.806,11.276,12.463,-0.181,3.769,85.35,6.482,1.123,-0.559,7.223,0.446,13.767,1.164,3.318,-0.502,12.669,0.448,5.631,9.451,2.491,5.019,7.158,-2.428,-2.428,0.22,3.141,2,-1.49,-1.49,0.477,22.797,-0.608,-0.608,1.65,5.735,8,-0.203,1,0.268,0.245,0.245,1.425,2.382,61.154,14.833,0.295,0.131,9.079,1.281,2.605,2.605,15,268.56,124.433,124.433,107.648,1.217,-0.391,-0.391,5.019,1.865,5.866,0.539,15.254,0.186,3.568,11.261,-0.931,215.82,3.298,-1.0,-1.0,101.399,34.261,25.233,0.272,1.471,0.458,215.82,3.097,13.687,-1.29,60.799,1,-0.067,59.469,3.461,215.82,0.964,8.524,2.537,3.293,0.282,0.869,7.181,60.458,1.0,33.571,50.851,2.522,50.833,1.614,25.751,11.6
5.1,1.875,5.451,4.734,5.499,4.715,1.489,0.757,4.705,7.777,5.843,3.795,5.811,3.587,0.927,3,1.477,6.414,8.55,10.88,4.95,3.599,-0.301,-0.301,44.108,2.646,44.313,44.313,37,3.599,7.931,12.052,2,8.732,9.088,0.643,9.654,12.715,-0.283,4.025,117.0,6.624,1.01,-0.441,7.363,0.335,14.268,1.377,3.537,-0.305,13.136,0.433,5.753,8.939,2.681,5.023,6.864,-1.894,-1.894,0.413,3.161,0,-1.139,-1.139,0.381,29.712,-0.476,-0.476,1.672,5.742,9,-0.385,0,0.375,0.445,0.445,1.153,2.308,53.725,15.376,0.333,0.34,0.0,1.349,2.728,2.728,15,281.89,147.096,147.096,130.311,1.547,-0.8,-0.8,5.023,1.851,6.052,0.443,16.706,0.175,3.702,13.604,-0.78,210.968,3.379,-0.889,-0.889,110.781,39.162,26.4,0.556,1.727,0.599,208.968,2.955,11.653,-1.183,51.028,0,0.092,67.693,3.988,210.968,1.056,8.915,2.599,3.354,0.312,0.815,7.502,44.313,1.0,57.389,53.438,2.614,59.417,2.04,26.906,14.3
5.1,2.535,6.038,4.71,5.456,4.706,1.536,1.091,4.657,7.941,6.069,3.956,5.857,3.679,0.997,1,1.595,6.506,8.495,11.039,4.903,3.721,1.0,1.0,60.778,2.638,25.145,70.025,47,3.837,9.456,12.124,1,9.451,9.269,2.0,9.163,12.853,1.0,4.148,69.81,6.828,1.099,0.71,7.567,0.419,14.322,2.092,4.072,0.625,13.182,0.655,5.974,8.399,3.414,5.182,8.784,0.233,0.233,1.078,3.272,0,1.751,1.751,0.9,42.833,0.721,0.721,1.722,5.937,11,1.5,0,0.308,1.111,1.111,1.844,2.69,82.573,15.42,0.309,0.294,0.0,1.283,2.717,2.717,22,338.08,94.492,139.373,122.71,1.506,2.275,2.275,5.139,2.41,6.256,0.764,19.994,0.14,3.688,16.433,-0.224,241.556,3.544,-0.226,-0.226,86.688,47.434,31.81,1.6,2.57,1.189,232.046,3.117,10.147,-0.296,135.509,0,0.775,52.685,5.42,243.556,2.5,9.027,2.715,3.557,0.288,0.894,7.658,70.025,1.0,16.663,90.736,2.735,81.75,2.352,32.165,8.5
5.1,2.778,6.28,4.87,5.918,4.922,1.566,1.57,4.827,8.142,6.264,4.386,6.421,4.102,1.082,2,1.614,6.722,10.604,11.29,5.1,4.257,1.25,1.25,88.962,2.808,25.145,84.985,62,3.913,11.999,12.32,1,9.657,9.515,2.198,9.23,13.107,1.177,4.354,92.93,7.072,1.236,1.0,7.806,0.724,14.511,2.359,4.583,1.0,13.377,1.046,6.205,12.433,4.068,5.334,10.486,2.275,2.275,1.331,3.313,0,2.702,2.702,0.991,61.183,1.061,1.061,1.776,6.184,14,1.833,0,0.508,1.387,1.387,2.047,3.094,152.012,15.606,0.32,0.349,0.0,1.353,2.837,2.837,26,411.68,127.635,187.475,187.475,2.401,3.175,3.175,5.334,2.638,6.482,1.122,24.82,0.115,3.824,20.7,0.983,288.009,3.751,1.0,1.0,151.454,57.147,38.49,1.922,2.81,1.722,286.009,3.285,10.051,1.5,149.244,0,1.984,68.919,6.863,288.009,2.729,9.257,2.888,3.755,0.298,0.913,7.884,70.025,0.83,33.571,139.542,2.896,103.083,2.578,38.756,9.3
5.9,1.799,5.012,4.356,4.753,4.497,1.376,0.639,4.267,8.039,5.995,3.457,5.213,3.095,0.967,2,1.419,6.644,4.854,10.921,4.77,3.358,-0.599,-0.599,25.097,2.757,0.0,0.0,35,3.953,8.881,12.528,0,10.781,9.125,0.38,6.602,12.757,-0.585,4.15,57.36,6.671,1.077,-0.777,7.393,0.058,14.845,1.357,3.484,-0.848,13.666,0.524,5.771,7.203,2.812,4.49,7.073,-2.195,-2.195,0.386,2.89,0,-2.021,-2.021,0.143,11.407,-0.791,-0.791,1.644,5.532,9,-0.819,0,0.214,0.407,0.407,1.367,2.236,23.399,16.006,0.257,0.22,0.0,1.239,2.852,2.852,18,249.8,66.897,66.897,33.449,1.206,-1.688,-1.688,4.49,1.972,6.08,0.154,13.382,0.184,3.82,10.033,-0.912,179.593,3.391,-0.935,-0.935,33.449,29.946,22.4,0.601,1.891,0.418,177.593,3.009,7.235,-1.097,15.222,0,0.043,33.449,3.492,179.593,0.83,8.875,2.57,3.358,0.239,0.914,7.477,0.0,1.0,33.449,33.278,2.618,43.917,1.546,25.773,10.0
5.1,2.653,5.958,5.093,6.033,5.107,1.634,1.439,4.946,8.155,6.299,4.342,6.023,4.165,1.082,5,1.636,6.747,11.4,11.175,5.329,4.169,1.076,1.076,69.506,2.728,50.29,50.29,62,4.379,13.528,12.3,2,14.461,9.441,2.025,14.695,12.946,1.012,4.375,126.96,7.024,1.381,1.0,7.766,0.47,14.483,2.389,5.526,1.0,13.352,0.997,6.188,14.385,4.037,5.495,11.477,2.275,2.275,1.372,3.446,1,2.275,2.275,0.261,32.942,1.0,1.0,1.784,6.128,14,1.582,1,0.569,1.414,1.414,2.29,2.896,66.266,15.577,0.273,0.471,0.0,1.532,2.776,2.776,28,452.79,172.444,172.444,170.668,2.229,2.949,2.949,5.464,2.823,6.418,0.496,25.89,0.113,3.76,21.408,0.799,355.189,3.864,0.889,0.889,116.636,59.442,39.3,1.951,2.839,1.576,349.189,3.352,14.597,1.208,38.005,0,1.8,86.929,5.995,357.189,2.557,9.223,2.986,3.834,0.257,1.244,7.864,85.603,0.67,33.449,70.703,3.0,86.667,2.654,43.034,10.8
5.1,2.035,5.243,4.367,3.951,4.358,1.25,1.118,4.286,7.621,5.67,3.891,5.796,2.559,0.716,3,1.246,6.184,4.859,10.717,4.537,3.875,-0.532,-0.532,32.91,2.412,11.0,11.0,35,3.205,6.178,12.024,1,6.054,8.933,0.338,5.72,12.54,-0.43,3.724,87.72,6.497,0.927,-0.73,7.212,0.185,14.331,0.692,2.35,-0.683,13.151,0.364,5.595,5.978,2.337,4.736,5.766,-2.538,-2.538,-0.213,2.922,1,-1.903,-1.903,0.42,21.404,-0.791,-0.791,1.631,5.442,8,-0.696,0,0.098,-0.234,-0.234,1.401,2.803,40.629,15.489,0.353,0.0,0.0,1.021,2.565,2.565,14,238.76,108.282,108.282,91.619,1.728,-1.338,-1.338,4.736,1.507,5.844,0.312,13.042,0.193,3.514,10.274,-1.145,146.825,3.17,-1.349,-1.349,130.768,29.461,20.352,-0.298,0.989,0.429,144.825,2.921,5.489,-1.558,60.168,0,-0.439,49.56,3.169,146.825,0.802,8.671,2.277,3.171,0.325,0.697,7.298,11.0,1.0,55.812,56.246,2.269,48.611,2.026,21.735,12.9
5.1,2.75,5.71,4.685,5.545,4.739,1.557,0.806,4.658,7.816,6.021,3.924,5.811,3.775,0.949,4,1.554,6.409,8.772,10.836,4.937,3.845,1.0,1.0,56.134,2.625,50.29,50.29,47,3.962,10.026,11.854,2,9.878,9.137,1.943,8.536,12.573,0.926,4.13,122.03,6.742,1.25,0.581,7.493,0.246,13.988,2.0,4.188,0.778,12.875,0.656,5.943,8.935,3.414,5.015,9.025,0.492,0.492,1.0,3.266,0,1.746,1.746,0.45,31.748,0.707,0.707,1.73,5.905,11,1.5,0,0.344,1.016,1.016,2.129,2.882,81.146,15.055,0.302,0.313,0.0,1.3,2.699,2.699,22,366.53,170.79,170.79,170.79,1.939,2.275,2.275,4.898,2.68,6.159,0.628,21.066,0.136,3.674,16.785,-0.156,249.784,3.637,-0.161,-0.161,116.758,49.888,31.9,1.502,2.522,1.14,243.784,3.199,11.005,-0.202,57.364,0,0.819,86.929,4.883,255.784,2.5,8.997,2.819,3.613,0.282,0.94,7.649,50.29,0.83,33.571,45.055,2.825,73.667,2.248,34.433,11.8
6.1,1.75,5.543,4.784,5.42,4.799,1.515,0.924,4.69,7.685,5.854,3.7,5.641,3.445,0.945,5,1.49,6.229,9.648,10.596,5.036,3.532,0.427,0.427,42.58,2.687,36.145,36.145,40,4.171,10.076,11.723,2,12.049,8.892,1.292,11.283,12.336,0.366,3.865,51.22,6.479,1.062,-0.095,7.246,0.129,13.824,1.895,4.49,0.092,12.723,0.486,5.7,10.723,2.713,5.121,8.114,-1.129,-1.129,0.888,3.152,1,-0.219,-0.219,0.271,17.922,-0.098,-0.098,1.686,5.703,8,0.48,1,0.321,0.887,0.887,1.494,2.689,50.726,14.863,0.253,0.185,0.0,1.331,2.693,2.693,22,332.56,70.941,70.941,70.941,1.267,0.621,0.621,5.121,2.061,5.911,0.304,18.0,0.144,3.693,13.077,-0.618,245.814,3.529,-0.617,-0.617,52.93,44.605,27.133,1.191,2.299,1.0,241.814,3.19,13.25,-0.854,39.001,0,0.403,18.011,3.94,245.814,1.583,8.69,2.715,3.494,0.239,0.886,7.362,71.458,1.0,16.786,40.917,2.735,57.0,1.851,30.74,4.2
5.1,1.25,5.27,4.383,5.138,4.273,1.293,0.799,4.23,7.592,5.711,3.511,5.465,3.073,0.652,2,1.284,6.126,5.421,10.477,4.472,3.319,-0.565,-0.565,28.727,2.361,25.145,25.145,32,3.541,6.165,11.782,1,7.311,8.75,0.424,6.656,12.242,-0.557,3.744,82.0,6.34,0.747,-0.81,7.083,0.185,13.979,0.548,2.609,-0.808,12.836,0.346,5.517,5.948,2.0,4.923,6.002,-2.202,-2.202,-0.401,2.849,0,-2.0,-2.0,0.164,18.215,-0.82,-0.82,1.624,5.469,7,-0.811,0,0.271,-0.418,-0.418,1.117,2.285,21.295,15.074,0.298,0.094,0.0,0.98,2.346,2.346,16,233.61,107.725,107.725,107.725,1.409,-1.562,-1.562,4.923,1.7,5.74,0.071,12.486,0.206,3.356,9.205,-1.046,162.465,3.232,-1.0,-1.0,107.725,29.717,19.867,-0.528,0.946,-0.239,162.465,2.868,6.897,-1.524,38.083,0,-0.022,65.794,3.144,162.465,0.902,8.609,2.362,3.216,0.275,0.513,7.251,25.145,1.0,16.786,34.577,2.37,47.667,1.552,22.413,9.1
5.1,2.5,5.74,4.861,5.69,4.822,1.586,1.279,4.684,7.98,6.138,4.194,5.989,3.855,1.043,3,1.608,6.543,8.814,11.011,5.016,4.054,1.066,1.066,54.26,2.625,25.145,40.105,52,3.967,10.673,12.13,1,9.886,9.287,2.011,10.434,12.775,1.0,4.186,97.86,6.887,1.181,0.998,7.623,0.257,14.327,2.172,4.269,0.849,13.186,0.737,6.057,11.152,3.584,5.417,9.69,2.058,2.058,1.166,3.266,0,2.275,2.275,0.383,31.709,1.0,1.0,1.748,5.939,12,1.577,0,0.492,1.182,1.182,2.239,2.88,62.263,15.427,0.304,0.276,0.0,1.309,2.733,2.733,24,372.51,129.289,144.249,142.472,1.864,2.586,2.586,5.378,2.67,6.282,0.522,21.407,0.128,3.697,15.707,0.6,279.668,3.698,0.675,0.675,106.451,48.15,33.348,1.729,2.658,1.275,274.913,3.224,10.156,0.988,45.25,0,1.577,68.919,5.278,281.668,2.553,9.113,2.755,3.68,0.282,0.892,7.755,25.145,1.0,33.449,37.379,2.775,78.167,2.379,36.101,11.5
5.1,1.41,5.038,3.923,4.007,3.992,1.131,0.445,3.959,7.478,5.562,3.208,5.117,2.607,0.359,2,1.142,5.99,4.011,10.386,4.175,2.99,-0.942,-0.942,20.71,2.081,52.417,52.417,26,3.16,4.751,11.794,2,5.372,8.642,0.056,4.083,12.172,-0.939,3.546,72.28,6.232,0.678,-1.159,6.963,0.188,14.055,0.394,2.252,-1.207,12.888,0.246,5.389,4.171,2.0,4.681,5.034,-3.407,-3.407,-0.554,2.779,0,-3.198,-3.198,0.342,15.259,-1.215,-1.215,1.576,5.273,6,-1.404,0,0.111,-0.574,-0.574,0.71,1.982,20.26,15.185,0.335,0.0,9.496,0.792,2.16,2.16,13,184.78,104.911,104.911,104.911,0.746,-2.525,-2.525,4.681,0.612,5.617,0.164,10.173,0.243,3.126,6.624,-1.697,126.382,3.033,-1.716,-1.716,104.911,23.537,17.233,-0.756,0.782,-0.484,122.382,2.572,4.89,-2.33,39.588,1,-0.728,75.581,2.679,126.382,0.553,8.479,1.854,3.041,0.306,0.295,7.11,52.417,1.0,19.597,20.762,1.771,40.5,1.215,18.58,7.4
5.1,1.507,5.521,4.427,5.319,4.556,1.55,0.868,4.405,7.809,5.943,3.674,5.812,3.469,0.828,6,1.555,6.382,5.183,10.736,4.784,3.641,0.554,0.554,46.329,2.73,60.024,60.024,38,3.699,7.845,11.898,3,10.625,9.013,1.585,5.393,12.492,0.566,3.973,118.11,6.597,1.179,0.371,7.347,0.371,14.016,1.726,3.474,0.213,12.916,0.47,5.778,6.499,3.253,5.154,7.859,-1.57,-1.57,0.725,3.128,1,0.955,0.955,0.486,30.938,0.382,0.382,1.677,5.796,9,0.786,0,0.231,0.737,0.737,1.534,2.701,64.875,15.068,0.314,0.224,0.0,1.267,2.743,2.743,17,280.77,148.968,148.968,132.305,1.206,1.411,1.411,5.154,2.02,6.004,0.497,16.001,0.157,3.739,11.026,-0.665,216.477,3.383,-0.672,-0.672,129.181,36.053,26.9,1.048,2.132,1.008,216.477,3.017,6.621,-0.855,51.439,0,0.333,49.56,4.091,216.477,2.04,8.761,2.608,3.396,0.294,0.841,7.415,83.566,1.0,36.26,95.518,2.591,61.0,1.988,27.412,11.9
5.1,1.792,5.426,4.291,5.351,4.266,1.424,0.674,4.224,7.273,5.57,3.704,5.441,3.499,0.63,3,1.406,5.811,6.558,10.403,4.437,3.638,-0.077,-0.077,37.277,2.45,78.828,78.828,32,3.501,6.546,11.029,3,7.052,8.729,0.863,5.708,12.11,-0.072,3.586,74.68,6.34,0.982,-0.347,7.107,0.344,12.989,1.043,3.374,0.079,11.926,0.47,5.58,7.26,2.782,4.865,6.597,-1.776,-1.776,0.126,2.95,0,-0.891,-0.891,0.388,23.677,-0.385,-0.385,1.655,5.614,7,-0.098,0,0.334,0.142,0.142,1.545,3.034,31.531,13.939,0.328,0.173,9.605,1.062,2.531,2.531,17,286.9,113.624,113.624,113.624,0.929,-0.198,-0.198,4.865,2.0,5.784,0.291,15.654,0.158,3.5,10.503,-0.804,179.995,3.353,-0.848,-0.848,95.614,36.95,23.667,0.166,1.414,0.941,177.24,2.925,6.677,-1.164,41.396,1,0.115,60.694,3.558,179.995,1.242,8.602,2.595,3.326,0.306,0.788,7.272,78.828,1.0,11.027,36.659,2.618,55.5,2.244,25.535,5.4
5.1,0.882,5.148,4.093,4.84,4.116,1.309,0.399,3.964,7.219,5.509,3.43,5.219,3.347,0.686,0,1.303,5.711,4.307,10.208,4.361,3.445,-0.315,-0.315,26.413,2.363,25.145,25.145,27,3.374,6.494,11.028,1,7.562,8.564,0.619,4.869,11.886,-0.268,3.448,69.81,6.192,0.892,-0.748,6.971,0.169,13.034,0.787,2.638,-0.684,11.949,0.33,5.468,5.039,2.247,4.793,6.227,-2.511,-2.511,-0.085,2.911,0,-2.323,-2.323,0.304,14.884,-0.857,-0.857,1.624,5.408,6,-0.413,0,0.227,-0.123,-0.123,1.131,2.577,29.834,14.015,0.337,0.072,0.0,1.062,2.47,2.47,15,249.23,94.492,94.492,77.829,0.911,-0.752,-0.752,4.793,1.624,5.659,0.261,14.108,0.19,3.43,8.089,-0.995,162.974,3.252,-1.0,-1.0,41.808,32.503,21.033,-0.147,1.153,0.483,162.974,2.925,4.531,-1.464,34.131,0,0.0,52.685,3.213,162.974,1.094,8.512,2.322,3.233,0.312,0.669,7.186,25.145,1.0,16.663,32.291,2.37,47.75,1.534,23.46,11.8
5.1,1.5,5.267,4.3,5.14,4.036,1.274,0.66,4.04,6.899,5.155,3.192,5.394,2.759,0.711,1,1.289,5.545,3.696,10.018,4.228,3.134,-1.132,-1.132,39.028,1.861,36.145,36.145,23,3.27,3.953,10.853,2,5.504,8.318,-0.187,5.527,11.757,-1.107,3.334,101.03,5.911,0.75,-1.327,6.678,0.29,12.933,0.096,2.312,-1.263,11.855,0.385,5.142,3.045,1.19,4.454,4.918,-4.583,-4.583,-1.051,2.887,0,-3.537,-3.537,0.309,22.735,-1.387,-1.387,1.576,5.422,5,-1.454,0,0.153,-1.0,-1.0,0.628,2.434,44.248,13.969,0.34,0.049,0.0,0.909,2.026,2.026,11,221.34,134.898,134.898,134.898,0.964,-2.424,-2.424,4.454,0.568,5.342,0.304,13.274,0.243,2.94,10.876,-1.659,138.07,2.945,-1.842,-1.842,116.887,37.755,19.233,-1.233,0.374,-0.254,138.07,2.724,5.68,-2.201,55.72,0,-0.913,50.908,2.454,138.07,0.026,8.227,2.131,2.954,0.323,0.41,6.895,59.687,1.0,16.786,56.478,2.113,45.833,1.657,19.149,12.9
