pXC50,H.047,Eig03_EA.bo.,SM13_AEA.ri.,P_VSA_s_4,P_VSA_p_3,P_VSA_v_3,P_VSA_e_2,SpMaxA_EA.ed.,ALOGP,ALOGP2,D.Dtr06,P_VSA_MR_6,Chi1_EA.dm.,HVcpx,Eta_beta,SpMin2_Bh.i.,SpMin3_Bh.e.,X3A,SpMin2_Bh.e.,S3K,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,NaasC,SpMax3_Bh.i.,H.051,SaasC,C.034,BLTA96,BLTD48,BLTF96,MATS1e,MLOGP,MLOGP2,SaaaC,SM11_EA.bo.,SM12_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,P_VSA_i_2,SpMaxA_EA.dm.,MATS5i,Eta_FL,Eig03_AEA.bo.,D.Dtr10,IDE,AECC,SpMax1_Bh.m.,SpMin2_Bh.p.,SpMax3_Bh.e.,RBN,SpMaxA_EA,Eta_F_A,S2K,SpMax1_Bh.e.,nCsp2,nPyrroles,SM09_EA.bo.,SM10_EA.bo.,SpMax1_Bh.i.,SpMin3_Bh.i.,nAB,Eta_L_A,nCar
4.884,17,3.445,3.445,112.311,103.301,103.301,160.083,0.374,5.366,28.791,312.642,80.707,30.044,3.46,38.0,1.837,1.819,0.169,1.886,3.932,4.824,4.824,4.824,5,3.861,2,5.041,2,-4.94,-4.85,-4.54,0.046,3.711,13.768,1.912,17.359,18.939,20.484,22.057,23.618,103.301,0.06,0.037,6.652,3.903,0.0,3.678,11.9,10.695,2.019,3.795,4,0.101,0.789,8.721,4.169,12,1,14.25,15.852,4.211,1.776,16,0.27,12
4.638,17,3.467,3.467,64.148,113.717,113.717,113.717,0.373,3.843,14.769,317.775,85.841,26.916,3.492,39.75,1.835,1.819,0.169,1.885,3.476,4.807,4.807,4.807,4,3.861,2,3.494,2,-3.69,-3.65,-3.48,0.007,2.457,6.037,1.777,17.338,18.912,20.451,22.019,23.574,113.717,0.06,-0.021,7.46,4.053,0.0,3.686,11.867,4.144,2.015,3.795,4,0.1,0.954,8.086,4.168,13,1,14.241,15.838,4.212,1.775,16,0.243,12
4.301,14,3.389,3.389,51.547,102.722,102.722,102.722,0.392,3.86,14.899,251.579,71.292,30.629,3.435,36.75,1.819,1.803,0.168,1.873,3.159,4.8,4.8,4.8,5,3.746,2,5.63,2,-4.04,-3.99,-3.78,0.007,2.809,7.89,1.793,17.342,18.912,20.448,22.013,23.565,102.722,0.064,-0.079,6.743,3.936,113.471,3.608,11.25,4.139,2.055,3.676,4,0.106,0.869,7.449,4.163,12,1,14.249,15.844,4.206,1.767,16,0.254,12
5.235,16,3.467,3.467,63.719,115.406,115.406,115.406,0.342,4.572,20.903,314.115,84.996,27.877,3.576,42.0,1.838,1.823,0.166,1.891,3.407,4.807,4.807,4.807,4,3.891,2,4.286,3,-3.84,-3.8,-3.61,0.011,2.608,6.801,4.44,17.655,19.219,20.749,22.304,23.848,115.406,0.055,-0.017,7.717,4.055,0.0,3.794,12.719,4.148,2.021,3.817,4,0.092,0.906,8.239,4.176,14,2,14.566,16.155,4.219,1.777,20,0.254,14
4.747,16,3.467,3.467,54.671,144.291,144.291,105.142,0.373,4.943,24.432,316.946,74.732,29.489,3.504,38.25,1.835,1.819,0.17,1.885,3.784,4.807,4.807,4.807,5,3.86,2,4.956,2,-4.73,-4.65,-4.37,0.016,3.503,12.271,1.874,17.335,18.909,20.448,22.017,23.573,105.142,0.06,-0.02,6.955,4.041,0.0,3.725,11.967,4.145,2.014,3.797,4,0.1,0.863,8.453,4.168,12,1,14.236,15.834,4.212,1.775,16,0.26,12
5.016,17,3.445,3.445,64.148,111.118,111.118,111.118,0.384,4.279,18.306,302.088,80.707,27.877,3.477,37.5,1.835,1.819,0.17,1.886,3.469,4.807,4.807,4.807,4,3.861,2,4.306,2,-4.25,-4.19,-3.96,0.052,3.024,9.143,1.9,17.313,18.892,20.434,22.005,23.564,111.118,0.062,-0.019,6.882,3.903,0.0,3.681,11.862,4.144,2.02,3.795,4,0.103,0.866,8.046,4.168,12,1,14.203,15.808,4.212,1.775,16,0.257,12
5.305,17,3.575,3.575,82.242,138.315,138.315,138.315,0.3,4.445,19.755,520.58,89.809,39.61,3.816,49.0,1.835,1.851,0.173,1.883,5.043,4.818,4.818,4.818,7,3.909,2,2.319,2,-4.68,-4.6,-4.33,-0.031,3.454,11.933,1.614,17.426,18.995,20.523,22.087,23.637,138.315,0.025,-0.009,9.469,4.12,0.0,4.023,15.158,4.153,2.023,3.861,6,0.08,1.044,10.761,4.177,18,1,14.353,15.946,4.219,1.813,22,0.24,17
4.783,20,3.445,3.445,75.031,112.591,112.591,112.591,0.369,4.255,18.105,323.268,82.18,29.04,3.527,37.5,1.835,1.82,0.17,1.886,3.949,4.818,4.818,4.818,4,3.861,2,4.016,2,-4.52,-4.44,-4.18,0.013,3.288,10.81,1.732,17.344,18.923,20.467,22.039,23.599,112.591,0.048,-0.053,7.183,3.903,0.0,3.733,12.452,4.148,2.02,3.796,6,0.098,0.887,8.975,4.173,13,1,14.236,15.837,4.214,1.78,16,0.26,12
4.971,22,3.446,3.446,111.529,150.217,150.217,150.217,0.324,5.804,33.684,458.303,119.806,27.47,3.67,45.5,1.894,1.886,0.17,1.925,4.341,4.823,4.823,4.823,5,3.916,2,4.996,2,-5.52,-5.39,-5.03,0.038,4.288,18.385,1.853,17.396,18.974,20.508,22.078,23.633,150.217,0.02,0.027,8.646,3.93,0.0,3.864,13.714,4.158,2.027,3.886,6,0.086,0.982,9.83,4.182,19,1,14.304,15.909,4.222,1.834,22,0.247,18
4.301,18,3.445,3.445,91.719,124.415,124.415,124.415,0.341,4.241,17.985,420.989,73.582,26.27,3.6,43.75,1.837,1.858,0.169,1.886,3.976,4.826,4.826,4.826,5,3.87,2,5.649,2,-4.78,-4.69,-4.41,0.051,3.55,12.604,2.155,17.381,18.964,20.502,22.076,23.633,124.415,0.021,-0.057,8.2,3.904,0.0,3.797,13.091,4.156,2.024,3.807,5,0.091,0.933,9.11,4.18,16,1,14.276,15.889,4.224,1.815,22,0.248,16
5.036,16,3.467,3.467,54.671,144.291,144.291,105.142,0.373,4.943,24.432,318.897,74.732,28.518,3.55,38.25,1.835,1.819,0.171,1.885,3.784,4.807,4.807,4.807,5,3.86,2,4.984,2,-4.73,-4.65,-4.37,0.016,3.503,12.271,1.878,17.331,18.906,20.446,22.015,23.571,105.142,0.06,-0.014,6.955,4.013,0.0,3.758,12.6,4.145,2.014,3.797,4,0.1,0.863,8.453,4.168,12,1,14.232,15.83,4.212,1.775,16,0.26,12
4.796,9,3.386,3.386,57.899,102.695,102.695,102.695,0.464,3.968,15.743,168.31,77.583,19.787,3.212,33.5,1.814,1.799,0.17,1.866,2.748,4.8,4.8,4.8,4,3.726,2,3.967,2,-4.14,-4.09,-3.86,-0.011,2.912,8.478,1.767,17.29,18.87,20.412,21.983,23.54,102.695,0.075,-0.153,6.192,3.89,0.0,3.38,9.625,4.138,2.001,3.658,4,0.126,0.887,6.529,4.162,12,1,14.178,15.786,4.205,1.764,16,0.237,12
4.625,21,3.468,3.468,102.259,162.205,162.205,162.205,0.289,5.019,25.189,526.65,129.259,37.635,3.698,51.75,1.892,1.859,0.17,1.924,5.278,4.83,4.83,4.83,7,3.943,5,6.277,2,-5.0,-4.9,-4.59,0.003,3.766,14.184,1.754,17.443,19.016,20.547,22.115,23.668,162.205,0.046,0.015,9.723,4.029,0.0,3.936,14.231,4.162,2.025,3.909,6,0.078,1.066,11.182,4.184,19,1,14.363,15.961,4.225,1.808,22,0.24,18
5.432,17,3.445,3.445,72.973,110.689,110.689,110.689,0.341,4.051,16.407,341.028,64.106,27.741,3.598,42.0,1.835,1.821,0.168,1.886,3.939,4.828,4.828,4.828,6,3.869,5,5.948,2,-5.53,-5.4,-5.04,0.145,4.295,18.451,2.076,17.416,18.989,20.527,22.096,23.653,110.689,0.021,-0.048,7.88,3.915,0.0,3.797,13.091,4.16,2.02,3.811,5,0.091,0.899,8.886,4.182,14,1,14.324,15.919,4.225,1.777,21,0.254,14
4.854,17,3.466,3.466,62.542,113.185,113.185,113.185,0.362,3.532,12.476,332.875,80.707,33.316,3.487,41.75,1.836,1.822,0.167,1.886,3.667,4.807,4.807,4.807,4,3.872,2,3.304,2,-3.19,-3.19,-3.06,0.112,1.964,3.857,1.623,17.747,19.306,20.841,22.395,23.941,107.377,0.058,-0.011,7.549,4.049,0.0,3.68,11.806,4.731,2.028,3.83,4,0.098,1.01,8.146,4.175,12,1,14.661,16.237,4.215,1.778,16,0.243,12
5.32,17,3.534,3.534,54.02,109.441,109.441,109.441,0.34,4.368,19.075,366.703,68.1,34.61,3.674,39.5,1.835,1.826,0.171,1.883,4.571,4.818,4.818,4.818,6,3.867,2,1.86,2,-5.06,-4.96,-4.65,-0.025,3.83,14.667,1.71,17.407,18.974,20.511,22.076,23.629,109.441,0.028,-0.043,7.514,4.099,0.0,3.881,13.824,4.15,2.022,3.802,6,0.091,0.914,9.971,4.175,13,1,14.322,15.908,4.217,1.785,16,0.266,12
4.301,15,3.489,3.489,120.587,214.225,214.225,214.225,0.281,1.96,3.84,311.301,111.386,21.371,3.763,47.0,1.893,1.788,0.192,1.918,10.405,3.625,3.625,3.625,3,3.873,0,1.514,0,-1.57,-1.64,-1.68,-0.112,0.339,0.115,0.0,15.339,16.724,17.852,19.205,20.373,153.861,0.052,-0.064,8.558,4.053,0.0,3.951,14.932,4.226,2.021,3.841,7,0.075,1.088,15.498,3.984,17,0,12.833,14.266,4.019,1.759,12,0.273,12
5.174,22,3.507,3.507,110.02,222.775,222.775,144.477,0.36,3.61,13.035,409.291,101.397,37.641,3.798,43.5,1.88,1.713,0.179,1.902,5.905,4.082,4.082,4.082,5,3.893,3,3.593,0,-4.23,-4.17,-3.94,-0.034,2.999,8.996,0.0,15.931,17.367,18.658,20.069,21.4,144.477,0.049,0.001,8.716,3.99,0.0,4.043,15.028,4.116,1.989,3.852,7,0.089,0.966,11.089,4.032,16,0,13.218,14.705,4.065,1.656,17,0.242,15
5.77,24,3.616,3.616,129.621,167.547,167.547,167.547,0.293,5.69,32.375,436.906,147.478,48.445,3.82,43.25,1.895,1.869,0.185,1.924,5.622,4.575,4.575,4.575,5,3.914,0,3.983,1,-5.86,-5.72,-5.32,-0.001,4.629,21.427,2.065,16.858,18.396,19.855,21.377,22.866,167.547,0.023,0.029,8.554,4.009,0.0,4.023,15.265,4.104,2.044,3.885,8,0.084,0.943,10.584,4.138,19,0,13.878,15.461,4.184,1.842,22,0.239,19
4.301,9,1.899,1.899,25.84,85.55,85.55,85.55,0.505,0.61,0.372,0.0,29.225,10.416,3.161,19.75,1.498,1.389,0.217,1.572,5.115,3.814,3.814,3.814,2,3.497,3,2.21,1,-2.05,-2.1,-2.09,-0.151,0.821,0.674,0.0,14.787,16.157,17.45,18.799,20.114,53.331,0.192,-0.081,3.728,3.38,0.0,3.345,9.0,3.988,1.795,3.426,7,0.166,0.623,7.99,3.938,4,0,12.119,13.541,3.998,1.314,5,0.267,3
5.886,28,3.751,3.751,143.552,185.123,185.123,185.123,0.271,5.323,28.339,515.084,155.428,51.735,3.725,48.0,1.941,1.873,0.177,1.964,5.379,4.119,4.119,4.119,8,3.918,0,7.546,0,-5.0,-4.91,-4.6,0.02,3.774,14.241,0.0,16.401,17.862,19.193,20.626,21.989,185.123,0.03,0.045,9.517,4.169,346.624,3.912,13.842,4.018,2.07,3.883,9,0.077,1.065,11.69,4.064,20,0,13.611,15.127,4.098,1.845,18,0.238,18
6.522,27,3.663,3.663,167.034,216.634,216.634,216.634,0.228,5.42,29.372,689.323,205.247,46.247,4.081,54.25,1.92,1.908,0.186,1.944,6.798,4.078,4.078,4.078,9,3.939,0,7.432,0,-4.76,-4.67,-4.39,-0.024,3.531,12.467,0.0,16.276,17.743,19.027,20.456,21.78,216.634,0.024,0.113,11.12,4.123,214.098,4.285,17.8,3.987,2.05,3.91,9,0.07,1.146,12.928,4.045,26,0,13.524,15.061,4.077,1.882,24,0.21,24
5.77,29,3.772,3.772,133.218,213.227,213.227,174.078,0.278,5.29,27.986,494.529,166.245,48.84,3.666,47.75,1.94,1.865,0.176,1.962,5.25,4.154,4.154,4.154,9,3.906,0,7.675,0,-4.81,-4.72,-4.44,-0.003,3.583,12.841,0.0,16.463,17.922,19.261,20.695,22.065,174.078,0.031,0.073,9.638,4.176,333.42,3.843,13.243,4.071,2.067,3.876,7,0.079,1.1,10.839,4.062,20,0,13.669,15.18,4.095,1.841,18,0.223,18
5.301,26,3.745,3.745,139.881,166.753,166.753,166.753,0.316,4.659,21.703,408.643,158.92,37.644,3.481,43.0,1.94,1.867,0.177,1.968,4.186,4.119,4.119,4.119,6,3.906,0,6.326,0,-5.49,-5.37,-5.01,0.041,4.26,18.148,0.0,16.141,17.607,18.908,20.339,21.678,166.753,0.035,0.092,8.581,4.155,274.535,3.652,11.563,4.011,2.066,3.873,5,0.09,1.05,8.797,4.056,20,0,13.372,14.906,4.092,1.84,18,0.219,18
7.192,31,4.078,4.078,178.895,243.699,243.699,243.699,0.196,5.573,31.059,960.598,221.121,55.892,4.18,65.25,1.953,1.931,0.181,1.979,7.599,4.353,4.353,4.353,11,3.983,0,7.461,0,-3.3,-3.29,-3.15,-0.032,2.073,4.298,1.618,17.003,18.487,19.864,21.325,22.733,243.699,0.02,0.052,13.391,4.403,515.765,4.397,19.333,4.051,2.094,3.963,11,0.059,1.267,15.073,4.093,29,0,14.148,15.682,4.12,1.91,29,0.208,27
4.854,16,3.227,3.227,98.851,126.298,126.298,126.298,0.38,5.051,25.508,284.97,114.644,26.095,3.188,33.25,1.842,1.864,0.178,1.881,3.735,4.119,4.119,4.119,4,3.901,0,3.621,0,-5.68,-5.54,-5.17,0.043,4.445,19.762,0.0,15.887,17.352,18.67,20.105,21.46,126.298,0.042,0.099,6.038,3.882,118.284,3.36,9.296,4.007,2.011,3.857,4,0.108,0.888,7.757,4.049,14,0,13.107,14.633,4.083,1.824,12,0.263,12
5.301,19,3.445,3.445,128.821,192.929,192.929,192.929,0.233,5.309,28.182,694.424,131.823,26.992,3.83,52.0,1.856,1.867,0.19,1.894,9.188,4.158,4.158,4.158,6,3.921,0,3.183,0,-3.27,-3.26,-3.12,-0.009,2.041,4.165,0.0,16.032,17.499,18.796,20.234,21.577,192.929,0.053,0.021,10.196,3.962,0.0,4.075,14.977,3.961,2.02,3.878,16,0.068,1.089,17.008,4.007,19,0,13.286,14.812,4.033,1.829,18,0.256,16
5.377,37,3.745,3.745,156.702,199.376,199.376,199.376,0.247,3.832,14.687,673.763,189.866,51.569,3.878,53.5,1.888,1.867,0.178,1.899,6.289,4.147,4.147,4.147,8,3.907,0,5.082,0,-3.31,-3.29,-3.16,-0.01,2.078,4.319,0.0,16.5,17.959,19.302,20.736,22.109,199.376,0.027,0.088,11.124,4.155,223.945,4.112,15.738,4.013,2.049,3.873,9,0.071,1.185,13.154,4.054,21,0,13.704,15.213,4.088,1.84,18,0.219,18
6.222,29,3.856,3.856,138.888,173.334,173.334,173.334,0.265,4.52,20.432,531.722,165.501,53.342,3.69,52.25,1.943,1.879,0.176,1.966,5.446,4.211,4.211,4.211,9,3.939,0,6.172,0,-4.5,-4.43,-4.17,0.107,3.271,10.696,0.0,16.639,18.092,19.443,20.876,22.255,173.334,0.061,0.078,10.592,4.251,357.661,3.874,13.385,4.048,2.082,3.907,8,0.076,1.212,11.246,4.082,20,0,13.84,15.338,4.113,1.853,18,0.21,18
5.097,25,3.633,3.633,132.253,169.981,169.981,169.981,0.307,4.464,19.924,422.773,159.023,38.413,3.539,44.25,1.938,1.854,0.175,1.961,4.265,4.113,4.113,4.113,7,3.872,0,6.375,0,-4.99,-4.89,-4.58,0.005,3.756,14.108,0.0,16.319,17.788,19.119,20.557,21.921,169.981,0.034,0.135,8.988,4.078,286.721,3.713,12.0,4.01,2.066,3.844,6,0.088,1.068,9.381,4.055,20,0,13.518,15.048,4.088,1.828,18,0.218,18
5.678,33,3.457,3.457,152.481,176.827,176.827,176.827,0.291,4.541,20.622,531.38,165.211,45.27,3.708,45.25,1.888,1.867,0.182,1.922,5.42,4.119,4.119,4.119,5,3.907,0,4.867,0,-5.11,-5.01,-4.69,0.049,3.882,15.069,0.0,15.968,17.448,18.734,20.175,21.508,176.827,0.032,0.121,9.155,3.941,173.181,3.924,13.971,4.007,2.049,3.873,7,0.083,1.037,10.635,4.049,20,0,13.209,14.762,4.086,1.84,18,0.226,18
4.301,6,3.296,3.296,54.904,78.495,78.495,78.495,0.589,1.642,2.696,138.214,13.453,19.901,3.052,23.0,1.779,1.711,0.156,1.803,2.104,4.166,4.166,4.166,0,3.623,0,0.0,0,-3.08,-3.08,-2.97,-0.073,1.855,3.439,0.0,16.256,17.663,19.061,20.469,21.874,78.495,0.075,-0.101,3.472,4.093,153.146,3.152,8.857,4.066,1.937,3.599,2,0.132,0.694,5.842,4.131,6,0,13.463,14.875,4.158,1.672,0,0.339,0
4.301,4,3.077,3.077,27.127,58.321,58.321,58.321,0.599,1.217,1.481,125.669,13.453,26.654,3.067,20.25,1.772,1.66,0.158,1.8,2.239,4.024,4.024,4.024,0,3.615,2,0.0,0,-2.85,-2.86,-2.77,-0.082,1.618,2.619,0.0,15.82,17.192,18.553,19.926,21.295,58.321,0.08,-0.074,2.692,3.951,139.176,3.165,8.846,4.039,1.935,3.589,2,0.136,0.534,5.735,4.119,4,0,13.099,14.475,4.15,1.624,0,0.365,0
5.971,30,3.745,3.745,142.694,180.054,180.054,180.054,0.284,4.626,21.398,476.934,172.221,48.199,3.659,47.0,1.94,1.867,0.176,1.963,4.927,4.119,4.119,4.119,8,3.906,0,7.444,0,-4.62,-4.54,-4.27,0.011,3.391,11.497,0.0,16.396,17.857,19.189,20.622,21.985,180.054,0.031,0.082,9.565,4.155,322.0,3.835,13.194,4.016,2.069,3.873,7,0.081,1.101,10.434,4.061,20,0,13.606,15.122,4.095,1.84,18,0.22,18
5.87,29,3.768,3.768,133.218,213.227,213.227,174.078,0.277,5.29,27.986,494.614,166.245,50.106,3.673,47.75,1.94,1.865,0.176,1.962,5.25,4.153,4.153,4.153,9,3.906,0,7.705,0,-4.81,-4.72,-4.44,-0.003,3.583,12.841,0.0,16.461,17.921,19.259,20.692,22.062,174.078,0.031,0.089,9.638,4.172,333.622,3.85,13.27,4.071,2.067,3.876,7,0.079,1.1,10.839,4.062,20,0,13.669,15.179,4.095,1.841,18,0.223,18
6.498,23,3.815,3.815,173.268,217.098,217.098,217.098,0.223,5.639,31.795,765.009,194.52,35.692,4.073,57.25,1.953,1.936,0.184,1.985,6.085,4.352,4.352,4.352,7,3.98,0,6.09,0,-5.57,-5.44,-5.08,-0.025,4.338,18.82,1.702,16.717,18.214,19.571,21.038,22.434,217.098,0.024,0.083,11.423,4.229,410.979,4.275,17.675,4.044,2.091,3.95,7,0.068,1.168,11.731,4.087,29,0,13.87,15.43,4.116,1.91,29,0.205,27
5.796,30,3.775,3.775,142.694,180.054,180.054,180.054,0.284,4.626,21.398,470.092,172.221,48.199,3.617,47.0,1.94,1.867,0.175,1.963,4.927,4.124,4.124,4.124,8,3.905,0,7.404,0,-4.62,-4.54,-4.27,0.011,3.391,11.497,0.0,16.41,17.871,19.206,20.639,22.005,180.054,0.031,0.123,9.565,4.181,316.187,3.789,12.694,4.017,2.069,3.873,7,0.081,1.107,10.434,4.062,20,0,13.615,15.132,4.095,1.84,18,0.22,18
6.071,27,4.075,4.075,151.206,194.079,194.079,194.079,0.271,5.372,28.858,538.508,183.122,38.413,3.665,50.75,1.948,1.926,0.173,1.972,4.499,4.365,4.365,4.365,7,3.974,0,6.355,0,-5.62,-5.49,-5.12,0.009,4.392,19.287,2.297,16.893,18.383,19.773,21.239,22.657,194.079,0.03,0.091,10.194,4.381,455.282,3.826,13.216,4.073,2.087,3.95,6,0.077,1.131,10.006,4.116,24,0,14.014,15.556,4.141,1.903,23,0.215,22
4.745,19,3.54,3.54,120.928,157.478,157.478,157.478,0.316,3.124,9.761,458.773,124.827,38.018,3.67,49.75,1.901,1.769,0.158,1.93,3.956,4.634,4.634,4.634,3,3.914,1,3.25,1,-3.71,-3.68,-3.5,-0.058,2.481,6.154,2.263,17.13,18.645,20.117,21.631,23.129,157.478,0.045,-0.022,9.432,4.315,283.399,3.863,13.302,4.15,2.039,3.881,4,0.077,1.1,9.586,4.191,19,1,14.176,15.707,4.221,1.728,16,0.261,14
7.301,27,3.956,3.956,176.082,230.398,230.398,230.398,0.205,5.606,31.426,859.28,207.82,46.247,4.194,61.25,1.953,1.935,0.182,1.979,6.842,4.352,4.352,4.352,9,3.98,0,7.227,0,-4.42,-4.35,-4.1,-0.026,3.191,10.181,1.687,16.869,18.358,19.725,21.188,22.59,230.398,0.022,0.071,12.407,4.348,459.407,4.401,19.273,4.047,2.094,3.954,9,0.062,1.204,13.398,4.09,29,0,14.018,15.564,4.118,1.91,29,0.207,27
4.815,19,3.547,3.547,129.753,166.303,166.303,166.303,0.313,4.226,17.859,488.111,124.827,38.018,3.655,50.75,1.901,1.781,0.156,1.93,4.178,4.634,4.634,4.634,3,3.916,1,3.257,1,-4.08,-4.02,-3.81,-0.049,2.845,8.094,2.266,17.153,18.666,20.137,21.649,23.146,166.303,0.043,0.016,9.41,4.398,303.761,3.846,13.2,4.151,2.039,3.884,5,0.075,1.097,10.344,4.192,19,1,14.201,15.73,4.222,1.741,16,0.271,14
4.301,19,3.478,3.478,68.496,122.772,122.772,122.772,0.268,0.91,0.828,440.016,97.393,58.968,3.513,45.5,1.814,1.783,0.164,1.822,4.654,4.211,4.211,4.211,8,3.881,1,3.21,0,-1.36,-1.45,-1.5,-0.116,0.133,0.018,0.0,16.428,17.875,19.243,20.676,22.069,122.772,0.051,0.024,9.112,4.2,284.952,3.7,12.31,4.072,2.024,3.877,5,0.072,1.085,10.976,4.117,13,0,13.631,15.107,4.127,1.767,12,0.266,12
5.0,19,3.443,3.443,106.388,154.04,154.04,154.04,0.377,5.587,31.216,334.92,110.441,27.348,3.632,38.25,1.881,1.748,0.174,1.91,6.296,4.401,4.401,4.401,4,3.816,2,2.9,1,-5.69,-5.56,-5.18,-0.005,4.463,19.915,2.065,16.649,18.14,19.556,21.031,22.472,154.04,0.064,-0.05,7.219,4.128,181.369,3.882,13.472,4.069,2.009,3.758,12,0.092,0.85,11.747,4.113,14,0,13.752,15.281,4.157,1.689,16,0.28,13
5.194,14,3.581,3.581,90.975,172.92,172.92,126.966,0.332,4.47,19.979,349.528,65.213,36.749,3.59,43.25,1.776,1.777,0.153,1.822,4.203,4.701,4.701,4.701,3,3.887,1,3.328,1,-4.29,-4.23,-3.99,-0.051,3.063,9.38,2.216,17.261,18.783,20.283,21.809,23.328,172.92,0.046,0.036,7.266,4.398,284.748,3.777,12.674,6.881,2.012,3.84,5,0.079,0.907,10.228,4.193,13,1,14.272,15.798,4.22,1.737,10,0.305,8
4.456,18,3.462,3.462,119.052,139.11,139.11,139.11,0.258,1.652,2.73,305.42,40.001,58.247,3.455,35.0,1.797,1.815,0.184,1.825,9.584,3.581,3.581,3.581,0,3.9,3,0.0,0,-1.09,-1.19,-1.27,-0.067,-0.139,0.019,0.0,15.183,16.419,17.648,18.886,20.124,139.11,0.046,-0.1,5.715,4.46,0.0,3.679,11.608,3.926,2.022,3.868,7,0.067,0.814,17.132,4.016,2,0,12.731,13.97,4.043,1.779,0,0.347,0
4.896,14,3.37,3.37,200.021,134.772,134.772,248.336,0.358,7.239,52.402,197.763,89.783,16.212,3.522,34.5,1.855,1.73,0.18,1.867,5.959,4.624,4.624,4.624,6,3.81,2,4.927,2,-6.34,-6.17,-5.73,0.019,5.106,26.066,1.667,17.095,18.625,20.108,21.628,23.13,134.772,0.026,0.002,5.879,3.922,0.0,3.747,12.29,10.699,1.958,3.736,11,0.1,0.671,11.882,4.135,15,0,14.091,15.65,4.137,1.682,16,0.294,14
4.481,9,3.624,3.624,86.105,155.052,155.052,115.903,0.458,4.34,18.836,93.549,93.597,19.987,2.831,32.75,1.814,1.579,0.168,1.84,2.313,4.371,4.371,4.371,7,3.757,3,4.34,1,-5.5,-5.38,-5.02,-0.017,4.27,18.232,0.0,16.595,18.08,19.485,20.951,22.381,115.903,0.031,-0.154,6.611,4.007,69.273,2.949,7.13,4.111,1.945,3.726,1,0.127,1.0,5.413,4.103,16,0,13.709,15.238,4.141,1.528,17,0.197,15
4.301,12,2.943,2.943,49.426,65.091,65.091,65.091,0.676,1.387,1.923,98.815,38.963,25.864,2.573,22.25,1.749,1.516,0.147,1.768,1.265,4.372,4.372,4.372,4,3.643,0,3.278,0,-3.16,-3.15,-3.03,-0.087,1.931,3.729,0.0,16.307,17.789,19.228,20.704,22.16,65.091,0.034,-0.09,3.902,3.808,125.421,2.61,6.0,4.099,1.899,3.589,0,0.154,0.699,3.763,4.149,8,0,13.401,14.904,4.17,1.454,6,0.296,6
4.747,30,3.451,3.451,115.804,173.696,173.696,173.696,0.245,4.349,18.912,462.357,161.881,43.02,3.8,48.75,1.908,1.879,0.166,1.928,5.506,4.606,4.606,4.606,7,3.934,1,4.647,2,-2.99,-2.99,-2.88,-0.034,1.758,3.089,2.268,17.131,18.645,20.115,21.624,23.115,173.696,0.05,-0.005,9.829,4.336,251.645,3.989,14.818,4.142,2.021,3.923,10,0.069,1.067,12.889,4.186,16,1,14.171,15.705,4.22,1.873,16,0.262,14
5.699,11,3.483,3.483,85.47,267.237,267.237,110.643,0.372,5.646,31.872,182.906,86.278,15.551,3.182,32.25,1.864,1.587,0.19,1.879,4.972,3.931,3.931,3.931,6,3.883,0,3.993,0,-6.13,-5.98,-5.56,-0.036,4.9,24.014,0.0,15.78,17.221,18.492,19.897,21.204,110.643,0.048,0.19,6.452,3.928,0.0,3.345,9.48,4.119,1.936,3.85,6,0.112,0.872,8.537,4.003,15,0,13.064,14.571,4.041,1.529,17,0.223,15
