pXC50,D.Dtr07,nR07,X5A,Eig04_AEA.bo.,nCrs,SM06_AEA.bo.,SM07_AEA.bo.,SM04_EA.bo.,X4A,ATS7m,SM05_AEA.bo.,X3A,Eig06_EA.bo.,ZM2Per,Eig03_EA.bo.,SM13_AEA.ri.,Chi1_EA.ed.,ZM2MulPer,Chi0_EA.ed.,ZM2V,SpMax1_Bh.e.,IC4,Eig06_AEA.bo.,ZM1Per,ATS6m,IC3,SM02_AEA.bo.,ZM2Kup,SpAD_EA.bo.,ATS5m,SM03_EA.ri.,P_VSA_LogP_7,Eig04_AEA.ri.,SpMax3_Bh.p.,Eig04_EA.ri.,SssCH2,Eta_F,Eig01_AEA.ri.,SpMax_AEA.ri.,nCsp3,ZM1MulPer,CATS2D_07_NL,CATS2D_08_AL,ATS8i,CATS2D_08_DL,SpMax6_Bh.e.,MWC03,ZM2,GGI4,ZM1Mad,SpMax3_Bh.v.,SpAD_EA.ed.,ZM1V,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,SRW04,D.Dtr05,CATS2D_07_AL,NssCH2,CATS2D_05_LL,CATS2D_02_LL,piPC04,Eta_beta,BBI,MPC02,SM02_EA,ZM1Kup
4.678,0.0,0,0.066,3.739,3,10.501,11.949,7.374,0.104,3.924,9.078,0.172,2.752,696.2,3.353,3.353,5.419,474.486,11.518,445.0,4.173,5.162,3.524,656.5,4.129,5.162,5.094,473.439,66.965,4.206,4.429,282.506,3.373,3.597,2.309,1.939,30.81,4.536,4.536,9,491.83,0,7,5.125,0,3.31,6.023,206.0,1.973,187.412,3.602,162.636,456.0,13.69,13.69,13.69,5.609,56.881,6,4,6,13,5.626,37.0,51,3.951,4.635,536.667
5.167,0.0,0,0.065,3.773,5,10.568,12.031,7.403,0.101,3.91,9.132,0.164,2.773,718.1,3.382,3.382,5.52,484.314,11.791,457.0,4.177,5.222,3.542,668.14,4.119,5.222,5.124,485.439,68.282,4.195,4.498,258.964,3.395,3.633,2.331,3.574,30.007,4.71,4.71,9,496.601,0,7,5.06,0,3.352,6.08,218.0,1.903,193.412,3.636,168.939,462.0,15.349,15.349,15.349,5.645,56.555,6,6,6,12,5.668,37.5,53,3.989,4.673,542.667
5.143,0.0,0,0.064,3.92,4,10.757,12.26,7.48,0.099,4.08,9.284,0.159,2.872,754.32,3.458,3.458,5.7,507.939,12.148,477.0,4.181,5.271,3.601,691.54,4.249,5.271,5.193,505.439,72.22,4.335,4.735,306.049,3.524,3.678,2.489,2.708,31.903,5.096,5.096,11,512.591,0,7,5.387,0,3.382,6.168,238.0,2.508,207.412,3.676,187.798,476.0,18.5,18.5,18.5,5.727,61.562,8,5,10,17,5.722,38.5,58,4.078,4.762,556.667
5.143,0.0,0,0.065,3.765,6,10.549,12.005,7.402,0.101,4.0,9.119,0.164,2.768,723.82,3.374,3.374,5.714,488.474,12.254,461.0,4.176,5.293,3.539,673.9,4.185,5.293,5.142,489.439,69.326,4.267,4.429,282.506,3.392,3.64,2.328,4.556,30.777,4.653,4.653,10,500.763,0,7,5.209,0,3.372,6.098,222.0,2.097,197.412,3.641,170.83,466.0,15.188,15.188,15.188,5.694,58.935,7,7,8,14,5.682,38.0,54,4.007,4.691,546.667
5.143,0.0,0,0.066,3.761,7,10.545,11.999,7.401,0.102,4.082,9.12,0.165,2.765,729.58,3.371,3.371,5.955,492.635,12.754,465.0,4.176,5.263,3.537,679.66,4.247,5.263,5.159,493.439,71.355,4.334,4.429,306.049,3.39,3.647,2.326,5.539,31.548,4.635,4.635,11,504.924,0,7,5.339,0,3.392,6.116,226.0,2.063,201.412,3.645,175.307,470.0,15.166,15.166,15.166,5.687,148.119,8,8,10,17,5.699,38.5,55,4.025,4.71,550.667
5.143,0.0,0,0.067,3.759,5,10.547,11.999,7.405,0.103,4.158,9.124,0.166,2.764,761.74,3.369,3.369,6.205,514.416,13.254,485.0,4.175,5.297,3.536,724.78,4.324,5.297,5.176,517.076,72.635,4.41,4.429,306.049,3.388,3.614,2.323,3.994,33.78,4.629,4.629,11,542.071,0,8,5.388,0,3.39,6.133,230.0,2.035,208.29,3.62,177.863,506.0,15.163,15.163,15.163,5.707,63.317,7,8,6,13,5.702,39.5,56,4.043,4.727,598.403
5.428,0.0,0,0.066,3.704,4,10.578,12.063,7.523,0.103,3.926,9.121,0.17,2.551,740.22,3.414,3.414,5.132,503.803,10.876,473.0,4.194,5.189,3.39,691.12,4.131,5.149,5.063,468.555,65.61,4.203,4.265,235.422,3.334,3.631,2.271,1.55,30.792,4.463,4.463,6,521.023,0,6,4.888,0,3.194,5.964,194.0,1.813,217.616,3.616,153.141,478.0,13.681,13.681,13.681,5.549,50.847,4,4,9,10,5.64,37.0,48,3.892,4.575,549.618
4.664,0.0,0,0.066,3.704,3,10.578,12.063,7.523,0.103,3.921,9.121,0.17,2.551,739.98,3.414,3.414,5.132,503.641,10.876,473.0,4.196,5.189,3.39,691.1,4.127,5.149,5.063,468.555,65.61,4.217,4.265,235.422,3.335,3.628,2.3,1.55,30.832,4.462,4.462,6,520.977,0,6,4.891,0,3.193,5.964,194.0,1.813,217.616,3.614,153.141,478.0,13.681,13.681,13.681,5.549,50.847,10,4,7,9,5.64,37.0,48,3.892,4.575,549.618
6.052,0.0,0,0.064,3.841,3,10.628,12.116,7.568,0.102,3.964,9.168,0.169,2.58,797.19,3.416,3.416,5.197,541.154,11.051,508.0,4.199,5.189,3.434,763.09,4.241,5.134,5.094,512.888,67.349,4.286,4.323,223.651,3.395,3.628,2.342,0.853,32.876,4.464,4.464,6,582.997,0,4,4.896,0,3.195,6.004,202.0,2.209,227.447,3.616,159.694,534.0,13.682,13.682,13.682,5.587,52.222,10,4,6,7,5.694,37.75,50,3.932,4.615,643.729
5.728,0.0,0,0.065,3.832,3,10.619,12.102,7.561,0.102,4.059,9.164,0.17,2.641,793.55,3.415,3.415,5.216,540.29,11.015,507.0,4.198,5.189,3.469,762.47,4.201,5.094,5.094,511.888,67.344,4.284,4.323,223.651,3.397,3.628,2.348,1.042,32.74,4.462,4.462,6,583.134,0,6,4.907,0,3.205,5.999,201.0,2.084,227.447,3.616,159.266,534.0,13.681,13.681,13.681,5.587,52.741,9,4,6,7,5.675,37.75,50,3.932,4.615,643.729
5.188,0.0,0,0.063,3.872,3,10.854,12.359,7.77,0.102,4.328,9.373,0.169,2.969,907.58,4.554,4.554,5.504,623.563,11.656,581.0,4.226,5.28,3.68,855.63,4.411,5.231,5.215,556.28,75.46,4.433,4.496,258.964,3.537,3.892,2.458,0.902,38.791,4.462,4.462,7,654.154,0,8,5.207,0,3.497,6.098,222.0,2.284,278.576,3.8,180.251,594.0,13.681,13.681,13.681,5.694,59.185,11,4,6,7,5.75,42.5,56,4.043,4.727,671.95
6.138,0.0,0,0.065,3.836,3,10.619,12.102,7.561,0.102,4.022,9.164,0.17,2.664,793.56,3.414,3.414,5.216,540.29,11.015,507.0,4.198,5.189,3.466,762.47,4.201,5.094,5.094,511.888,67.375,4.281,4.323,223.651,3.421,3.628,2.37,1.042,32.766,4.462,4.462,6,583.134,0,4,4.908,0,3.204,5.999,201.0,2.084,227.447,3.616,159.328,534.0,13.681,13.681,13.681,5.587,52.696,9,4,5,8,5.675,37.75,50,3.932,4.615,643.729
5.404,0.0,0,0.065,3.836,3,10.619,12.102,7.561,0.102,4.106,9.164,0.17,2.664,793.56,3.414,3.414,5.216,540.29,11.015,507.0,4.197,5.189,3.466,762.47,4.264,5.189,5.094,495.418,67.375,4.336,4.299,223.651,3.403,3.633,2.33,1.369,31.799,4.462,4.462,6,583.134,1,5,4.888,1,3.199,5.999,201.0,2.084,239.136,3.62,159.328,534.0,13.681,13.681,13.681,5.587,52.696,10,4,6,10,5.675,37.75,50,3.932,4.615,583.821
5.819,0.0,0,0.063,3.872,3,10.748,12.234,7.622,0.102,4.231,9.286,0.169,2.925,928.89,3.678,3.678,5.504,618.598,11.656,579.0,4.203,5.209,3.644,911.15,4.371,5.209,5.182,602.555,72.742,4.397,4.478,223.651,3.539,3.64,2.461,0.362,38.396,4.463,4.463,7,709.552,0,6,5.165,0,3.339,6.098,222.0,2.284,258.633,3.634,180.287,648.0,13.681,13.681,13.681,5.694,59.003,10,4,7,9,5.721,39.75,56,4.043,4.727,833.951
5.146,0.0,0,0.065,3.87,3,10.668,12.146,7.589,0.103,4.05,9.218,0.171,2.76,803.05,3.443,3.443,5.363,549.686,11.518,515.0,4.2,5.226,3.569,757.79,4.225,5.226,5.159,511.963,69.885,4.293,4.346,223.651,3.484,3.641,2.441,1.217,35.321,4.462,4.462,6,574.955,0,7,4.968,0,3.273,6.023,206.0,2.124,228.31,3.633,162.378,526.0,13.681,13.681,13.681,5.609,54.798,12,4,7,9,5.721,41.25,51,3.951,4.635,601.263
5.14,0.0,0,0.063,3.872,3,10.854,12.359,7.77,0.102,4.278,9.373,0.169,2.968,907.59,4.554,4.554,5.504,623.563,11.656,581.0,4.226,5.28,3.681,855.63,4.404,5.231,5.215,556.28,75.476,4.435,4.496,258.964,3.539,3.894,2.462,0.902,38.881,4.463,4.463,7,654.154,0,6,5.208,0,3.485,6.098,222.0,2.284,278.576,3.8,180.287,594.0,13.681,13.681,13.681,5.694,59.003,13,4,5,8,5.75,42.5,56,4.043,4.727,671.95
5.539,0.0,0,0.066,3.871,3,10.732,12.205,7.702,0.104,4.24,9.287,0.171,2.968,866.65,3.773,3.773,6.346,589.906,13.375,555.0,4.209,5.394,3.651,795.88,4.363,5.302,5.26,550.555,80.624,4.409,4.421,282.506,3.536,3.828,2.461,1.44,40.737,4.462,4.462,6,592.558,1,9,5.24,1,3.511,6.155,235.0,2.035,251.616,3.823,184.18,546.0,13.681,13.681,13.681,5.74,62.41,12,4,14,19,5.874,46.5,58,4.078,4.762,617.618
6.143,0.0,0,0.064,3.868,3,10.667,12.15,7.602,0.101,4.148,9.209,0.171,2.751,851.53,3.595,3.595,5.289,578.069,11.191,542.0,4.2,5.189,3.521,834.52,4.27,5.149,5.124,556.222,69.415,4.344,4.377,211.88,3.51,3.628,2.432,0.533,34.792,4.462,4.462,6,645.261,0,4,4.923,0,3.215,6.038,209.0,2.355,237.278,3.619,166.341,590.0,13.681,13.681,13.681,5.624,54.589,8,4,4,6,5.709,38.5,52,3.97,4.654,737.84
6.017,0.0,0,0.063,3.87,3,10.675,12.163,7.609,0.101,4.183,9.214,0.17,2.688,855.43,3.567,3.567,5.265,579.023,11.21,543.0,4.202,5.189,3.485,835.16,4.278,5.134,5.124,557.222,69.226,4.346,4.377,211.88,3.525,3.628,2.452,0.345,34.956,4.465,4.465,6,645.151,0,4,4.929,0,3.205,6.043,210.0,2.48,237.278,3.618,166.424,590.0,13.682,13.682,13.682,5.624,54.04,7,4,4,6,5.728,38.5,52,3.97,4.654,737.84
5.876,0.0,0,0.063,3.861,3,10.668,12.153,7.604,0.102,4.175,9.209,0.167,2.681,851.11,3.447,3.447,5.314,577.942,11.237,542.0,4.199,5.189,3.467,834.48,4.448,5.189,5.124,523.28,69.144,4.451,4.331,211.88,3.443,3.637,2.349,1.123,32.756,4.464,4.464,6,645.22,1,3,4.887,1,3.2,6.038,209.0,2.48,260.655,3.624,165.867,590.0,13.682,13.682,13.682,5.624,54.071,11,4,6,11,5.735,38.5,52,3.97,4.654,618.025
5.735,0.0,0,0.064,3.868,3,10.667,12.15,7.602,0.101,4.223,9.209,0.171,2.751,851.53,3.595,3.595,5.289,578.069,11.191,542.0,4.199,5.189,3.521,834.52,4.329,5.189,5.124,539.751,69.415,4.396,4.354,211.88,3.504,3.633,2.4,0.86,33.759,4.462,4.462,6,645.261,1,5,4.904,1,3.211,6.038,209.0,2.355,248.967,3.622,166.341,590.0,13.681,13.681,13.681,5.624,54.589,9,4,5,7,5.709,38.5,52,3.97,4.654,677.933
5.667,0.0,0,0.064,3.858,3,10.628,12.116,7.568,0.102,4.097,9.168,0.169,2.62,797.45,3.414,3.414,5.197,541.234,11.051,508.0,4.199,5.189,3.438,763.11,4.21,5.134,5.094,512.888,67.32,4.286,4.323,223.651,3.473,3.628,2.415,0.853,32.905,4.464,4.464,6,583.03,0,6,4.912,0,3.194,6.004,202.0,2.209,227.447,3.615,159.634,534.0,13.682,13.682,13.682,5.587,52.192,8,4,6,7,5.694,37.75,50,3.932,4.615,643.729
6.37,0.0,0,0.063,3.866,3,10.668,12.153,7.604,0.102,4.215,9.209,0.167,2.653,851.36,3.446,3.446,5.314,578.022,11.237,542.0,4.202,5.189,3.47,834.5,4.278,5.149,5.124,556.222,69.221,4.349,4.377,211.88,3.497,3.628,2.431,0.345,34.906,4.464,4.464,6,645.253,0,6,4.927,0,3.206,6.038,209.0,2.48,237.278,3.618,166.04,590.0,13.682,13.682,13.682,5.624,54.086,7,4,5,6,5.735,38.5,52,3.97,4.654,737.84
7.963,0.0,0,0.068,3.691,3,10.523,11.999,7.499,0.105,3.809,9.075,0.168,2.541,714.43,3.396,3.396,5.087,488.153,10.674,459.0,4.192,5.172,3.344,674.48,4.045,5.129,5.03,455.343,63.441,4.138,4.195,200.109,3.332,3.614,2.3,1.488,28.964,4.342,4.342,5,510.82,0,6,4.733,0,3.163,5.911,184.0,1.613,207.915,3.598,144.37,468.0,12.513,12.513,12.513,5.509,48.744,9,4,7,9,5.622,36.25,46,3.85,4.533,538.306
5.669,0.0,0,0.066,3.707,3,10.586,12.071,7.528,0.105,4.014,9.13,0.166,2.561,751.16,3.416,3.416,5.284,509.062,11.42,480.0,4.197,5.261,3.408,698.26,4.206,5.223,5.081,475.907,66.47,4.296,4.265,258.964,3.335,3.636,2.3,1.873,31.306,4.476,4.476,7,524.55,0,6,5.044,0,3.365,5.989,199.0,1.813,221.949,3.624,155.664,482.0,13.899,13.899,13.899,5.572,53.166,10,5,10,9,5.664,37.5,49,3.912,4.595,553.618
6.044,0.0,0,0.067,3.708,3,10.597,12.078,7.538,0.105,4.28,9.146,0.169,2.565,769.17,3.416,3.416,6.149,521.844,13.059,492.0,4.198,5.458,3.415,715.6,4.414,5.426,5.136,487.907,70.584,4.44,4.265,329.591,3.335,3.652,2.3,4.651,33.093,4.477,4.477,10,537.161,0,7,5.477,0,3.513,6.047,211.0,1.973,233.949,3.642,163.787,494.0,13.91,13.91,13.91,5.638,61.146,13,8,11,11,5.678,39.0,52,3.97,4.654,565.618
5.913,0.0,0,0.065,3.726,5,10.643,12.119,7.559,0.101,4.171,9.195,0.165,2.71,783.59,3.417,3.417,5.833,530.209,12.263,500.0,4.201,5.307,3.635,723.36,4.348,5.271,5.159,495.907,71.362,4.444,4.421,282.506,3.502,3.789,2.448,4.153,32.246,4.482,4.482,9,541.065,0,6,5.274,0,3.513,6.084,219.0,2.043,237.949,3.775,170.766,498.0,13.925,13.925,13.925,5.666,57.849,10,7,12,9,5.685,39.0,54,4.007,4.691,569.618
5.804,0.0,0,0.067,3.87,3,10.726,12.193,7.695,0.104,4.445,9.287,0.17,2.969,905.13,3.617,3.617,6.593,616.157,13.836,580.0,4.201,5.407,3.681,859.12,4.542,5.274,5.276,585.24,81.599,4.549,4.399,270.735,3.503,3.835,2.444,1.213,42.789,4.481,4.481,6,650.098,0,6,5.417,0,3.513,6.168,238.0,2.475,259.78,3.829,185.789,598.0,13.925,13.925,13.925,5.759,67.546,12,5,12,13,5.837,47.25,59,4.094,4.779,707.729
5.867,0.0,0,0.067,3.859,3,10.697,12.176,7.578,0.101,4.315,9.243,0.165,2.963,908.0,3.42,3.42,5.736,606.631,12.041,570.0,4.198,5.261,3.679,902.44,4.47,5.223,5.17,593.907,72.025,4.597,4.408,223.651,3.522,3.636,2.366,-1.692,38.369,4.491,4.491,7,704.581,0,6,5.086,0,3.468,6.075,217.0,2.693,256.966,3.626,175.532,644.0,13.954,13.954,13.954,5.68,60.68,10,5,7,9,5.685,39.75,55,4.025,4.71,829.951
4.674,0.0,0,0.066,3.69,3,10.587,12.077,7.528,0.104,3.936,9.126,0.167,2.543,744.26,3.431,3.431,5.151,504.694,10.961,474.0,4.196,5.349,3.362,691.76,4.09,5.189,5.063,469.555,65.596,4.204,4.265,235.422,3.327,3.628,2.3,1.405,31.083,4.486,4.486,6,520.921,0,7,4.885,0,3.19,5.969,195.0,1.831,217.616,3.613,153.548,478.0,13.928,13.928,13.928,5.549,50.028,10,4,6,9,5.666,37.0,48,3.892,4.575,549.618
5.253,0.0,0,0.066,3.69,3,10.587,12.077,7.528,0.104,3.918,9.126,0.167,2.543,705.62,3.431,3.431,5.151,479.571,10.961,450.0,4.197,5.36,3.362,632.84,4.076,5.209,5.063,436.222,65.596,4.204,4.29,270.735,3.332,3.642,2.302,1.794,29.974,4.489,4.489,7,467.538,0,7,5.048,0,3.191,5.969,195.0,1.831,213.785,3.62,153.548,430.0,13.928,13.928,13.928,5.549,50.028,11,4,7,12,5.666,36.75,48,3.892,4.575,463.507
5.152,0.0,0,0.067,3.699,3,10.578,12.064,7.523,0.103,3.931,9.121,0.169,2.546,740.29,3.417,3.417,5.155,503.779,10.915,473.0,4.196,5.349,3.379,691.12,4.082,5.254,5.063,468.555,65.721,4.244,4.265,235.422,3.331,3.628,2.3,1.49,30.94,4.464,4.464,6,521.042,0,7,4.892,0,3.192,5.964,194.0,1.911,217.616,3.614,153.356,478.0,13.692,13.692,13.692,5.549,50.415,9,4,7,10,5.648,37.0,48,3.892,4.575,549.618
5.253,0.0,0,0.067,3.699,3,10.578,12.064,7.523,0.103,3.914,9.121,0.169,2.546,703.15,3.417,3.417,5.155,478.986,10.915,449.0,4.196,5.36,3.379,632.32,4.079,5.27,5.063,435.222,65.721,4.224,4.29,270.735,3.353,3.654,2.326,1.794,29.925,4.464,4.464,7,467.806,0,8,5.037,0,3.21,5.964,194.0,1.911,213.785,3.628,153.356,430.0,13.692,13.692,13.692,5.549,50.415,10,4,7,13,5.648,36.75,48,3.892,4.575,463.507
5.152,0.0,0,0.067,3.683,3,10.535,12.024,7.483,0.104,3.859,9.076,0.169,2.543,686.72,3.127,3.127,5.094,467.131,10.79,439.0,4.195,5.189,3.352,619.75,4.03,4.997,5.03,425.222,63.884,4.156,4.205,247.193,3.322,3.629,2.3,1.797,29.05,4.461,4.461,6,458.884,0,7,4.874,0,3.19,5.927,187.0,1.639,207.785,3.611,146.987,422.0,13.681,13.681,13.681,5.509,47.912,10,4,7,11,5.616,36.25,46,3.85,4.533,455.507
5.983,0.0,0,0.066,3.704,3,10.578,12.063,7.523,0.103,3.974,9.121,0.17,2.551,739.98,3.414,3.414,5.132,503.641,10.876,473.0,4.195,5.189,3.39,691.1,4.208,5.149,5.063,452.084,65.61,4.269,4.24,235.422,3.325,3.641,2.3,1.708,29.99,4.461,4.461,6,520.977,0,6,4.871,0,3.192,5.964,194.0,1.813,229.305,3.619,153.141,478.0,13.681,13.681,13.681,5.549,50.847,10,4,7,11,5.64,37.0,48,3.892,4.575,489.71
5.674,0.0,0,0.065,3.738,3,10.712,12.201,7.586,0.104,4.211,9.249,0.169,2.828,875.34,3.757,3.757,5.399,581.95,11.507,545.0,4.197,5.209,3.525,839.78,4.283,5.171,5.153,559.222,70.996,4.274,4.429,235.422,3.51,3.658,2.429,1.174,36.111,4.464,4.464,7,647.394,0,7,4.932,0,3.266,6.066,215.0,1.933,248.803,3.637,174.103,592.0,13.682,13.682,13.682,5.659,59.987,10,4,7,11,5.687,39.0,54,4.007,4.691,739.84
5.149,0.0,0,0.066,3.71,3,10.586,12.071,7.53,0.104,3.997,9.13,0.171,2.558,744.22,3.45,3.45,5.271,507.669,11.374,475.0,4.196,5.245,3.398,680.1,4.159,5.208,5.081,465.767,66.886,4.232,4.274,270.735,3.389,3.631,2.318,1.716,31.953,4.462,4.462,7,505.185,0,7,4.985,0,3.241,5.989,199.0,1.853,220.664,3.616,156.197,466.0,13.681,13.681,13.681,5.572,53.894,10,4,7,9,5.656,38.25,49,3.912,4.595,511.242
5.253,0.0,0,0.066,3.71,3,10.586,12.071,7.53,0.104,3.997,9.13,0.171,2.558,712.06,3.45,3.45,5.271,483.939,11.374,455.0,4.197,5.28,3.398,638.98,4.146,5.245,5.081,441.222,66.886,4.222,4.29,294.278,3.419,3.676,2.379,2.66,30.495,4.462,4.462,8,471.455,0,7,5.008,0,3.325,5.989,199.0,1.853,217.785,3.643,156.197,434.0,13.681,13.681,13.681,5.572,53.894,13,5,7,14,5.656,37.25,49,3.912,4.595,467.507
5.241,0.0,0,0.068,3.707,3,10.557,12.025,7.509,0.105,4.021,9.114,0.172,2.665,729.16,3.589,3.589,5.391,500.666,11.322,469.0,4.193,5.261,3.403,692.9,4.166,5.223,5.081,467.869,66.721,4.249,4.29,258.964,3.413,3.74,2.354,1.45,31.012,4.379,4.379,7,525.268,0,8,5.008,0,3.222,5.974,196.0,1.893,218.276,3.699,154.458,482.0,12.647,12.647,12.647,5.572,54.19,10,5,6,11,5.615,37.5,49,3.912,4.595,553.618
5.547,0.0,0,0.066,3.697,3,10.571,12.06,7.506,0.102,4.008,9.109,0.168,2.544,769.79,3.451,3.451,4.928,520.462,10.429,488.0,4.194,5.241,3.371,716.44,4.154,5.198,5.035,453.827,63.895,4.31,4.211,243.158,3.323,3.638,2.3,1.727,26.472,4.453,4.453,6,540.41,0,7,4.695,0,3.179,5.943,190.0,1.881,263.027,3.602,151.028,496.0,13.694,13.694,13.694,5.525,121.791,9,4,7,11,5.63,34.5,47,3.871,4.554,490.571
5.144,0.0,0,0.066,3.697,3,10.571,12.06,7.506,0.102,3.876,9.109,0.168,2.544,724.94,3.451,3.451,4.928,495.28,10.429,463.0,4.197,5.254,3.371,654.61,4.049,5.214,5.035,455.331,63.895,4.163,4.275,223.651,3.334,3.584,2.3,1.733,28.689,4.466,4.466,7,485.174,0,6,4.888,0,3.197,5.943,190.0,1.881,213.255,3.583,151.028,446.0,13.694,13.694,13.694,5.525,121.791,10,4,5,7,5.63,35.0,47,3.871,4.554,486.797
5.152,0.0,0,0.065,3.696,3,10.63,12.126,7.554,0.103,3.943,9.161,0.164,2.543,772.57,3.65,3.65,4.991,526.423,10.656,493.0,4.198,5.234,3.362,694.15,4.096,5.195,5.067,491.245,65.72,4.193,4.362,258.964,3.362,3.586,2.318,1.654,29.206,4.525,4.525,8,513.284,0,6,5.012,0,3.19,5.989,199.0,1.836,221.049,3.584,158.157,472.0,14.239,14.239,14.239,5.565,126.906,12,4,5,7,5.705,35.5,49,3.912,4.595,520.888
5.144,0.0,0,0.067,3.683,3,10.535,12.024,7.483,0.104,3.863,9.076,0.169,2.543,709.68,3.127,3.127,5.094,482.427,10.79,453.0,4.194,5.314,3.352,642.15,4.034,5.217,5.03,441.686,63.884,4.159,4.198,223.651,3.321,3.605,2.3,1.711,29.38,4.456,4.456,6,476.032,0,10,4.839,0,3.19,5.927,187.0,1.639,210.063,3.597,146.987,438.0,13.681,13.681,13.681,5.509,47.912,9,4,6,8,5.616,36.75,46,3.85,4.533,475.152
7.215,0.0,0,0.068,3.995,0,10.763,12.222,7.744,0.111,4.184,9.329,0.178,3.01,918.56,3.754,3.754,6.676,630.67,14.1,586.0,4.15,5.242,3.689,832.18,4.339,5.035,5.306,560.922,83.793,4.404,4.51,372.64,3.64,3.834,2.609,0.781,43.033,4.325,4.325,7,617.541,0,8,5.447,3,3.516,6.168,238.0,2.629,278.595,3.822,187.028,568.0,12.497,12.497,12.497,5.778,98.927,9,2,14,28,5.895,49.0,60,4.111,4.796,588.974
5.337,0.0,0,0.084,3.451,0,9.661,11.01,6.724,0.127,3.225,8.33,0.199,1.997,389.36,2.884,2.884,3.864,274.926,8.23,256.0,4.002,4.76,2.858,386.46,3.403,4.628,4.575,254.381,40.785,3.405,3.366,208.786,3.07,3.381,1.983,0.8,17.263,3.892,3.892,2,292.588,2,2,4.242,2,2.97,5.371,107.0,0.924,119.37,3.394,79.338,272.0,9.174,9.174,9.174,5.017,0.0,2,1,14,20,4.918,26.5,27,3.332,4.007,274.746
6.046,0.0,0,0.083,3.476,0,9.76,11.126,6.802,0.124,3.501,8.413,0.198,1.995,443.05,2.894,2.894,3.778,308.675,7.898,289.0,4.004,4.938,2.855,469.51,3.55,4.75,4.595,281.392,41.555,3.474,3.386,129.482,3.073,3.379,1.899,0.664,17.745,3.905,3.905,1,370.506,2,2,4.022,2,2.878,5.398,110.0,0.996,133.467,3.394,83.276,340.0,9.196,9.196,9.196,5.043,0.0,2,1,13,18,4.951,26.5,28,3.367,4.043,316.292
4.0,0.0,0,0.071,3.945,2,10.394,11.782,7.328,0.115,4.364,9.025,0.179,2.892,758.32,3.52,3.52,6.565,519.472,14.388,488.0,4.078,5.613,3.607,715.5,4.32,5.514,5.173,513.585,72.738,4.315,4.314,353.133,3.572,3.801,2.55,3.432,39.001,4.164,4.164,10,529.704,2,10,5.548,2,3.479,6.084,219.0,1.939,203.31,3.798,164.674,496.0,10.948,10.948,10.948,5.687,0.0,12,6,22,19,5.597,44.5,54,4.007,4.691,558.382
6.47,0.0,0,0.074,3.686,2,10.085,11.491,7.065,0.114,3.452,8.698,0.181,2.343,541.73,3.229,3.229,4.085,374.964,8.657,351.0,4.053,4.978,3.158,523.51,3.493,4.805,4.779,376.864,49.358,3.632,3.904,141.253,3.256,3.336,2.224,1.912,23.364,4.103,4.103,4,401.251,0,6,4.416,5,2.938,5.666,144.0,1.711,136.209,3.355,110.993,366.0,10.433,10.433,10.433,5.273,0.0,4,3,7,9,5.2,31.0,36,3.611,4.29,419.898
7.721,0.0,0,0.081,3.541,5,10.193,11.56,7.173,0.123,4.123,8.853,0.19,2.522,667.24,3.588,3.588,7.3,459.919,15.215,434.0,4.053,5.527,3.478,634.58,4.172,5.145,5.131,455.174,71.16,4.135,3.99,388.446,3.521,3.801,2.521,12.104,31.46,4.076,4.076,13,471.349,2,12,5.326,5,3.566,6.019,205.0,1.331,194.071,3.783,151.942,440.0,10.348,10.348,10.348,5.645,102.912,14,12,17,30,5.433,40.75,51,3.951,4.635,489.334
6.854,0.0,0,0.068,3.746,3,10.211,11.623,7.222,0.106,3.947,8.822,0.171,2.585,607.42,3.395,3.395,4.816,413.04,10.112,390.0,4.156,5.096,3.354,593.5,3.976,5.005,4.92,405.201,57.638,3.953,3.94,200.109,3.322,3.754,2.234,2.833,23.6,4.262,4.262,6,451.218,3,4,4.987,3,3.069,5.832,170.0,1.731,170.635,3.748,131.411,418.0,11.77,11.77,11.77,5.425,110.941,3,4,13,12,5.518,32.25,42,3.761,4.443,461.49
3.92,0.0,0,0.074,3.557,1,10.117,11.53,7.09,0.113,3.586,8.723,0.179,2.516,597.46,3.336,3.336,4.328,409.72,9.748,380.0,4.027,4.502,3.285,561.49,3.671,4.397,4.804,404.063,50.461,3.83,3.856,200.109,3.202,3.303,2.137,1.285,25.836,4.1,4.1,5,415.657,0,6,4.695,2,3.205,5.74,155.0,2.022,146.673,3.321,116.77,390.0,10.454,10.454,10.454,5.333,0.0,5,2,4,5,5.318,33.0,38,3.664,4.344,447.484
4.79,0.0,0,0.074,3.876,2,10.286,11.679,7.264,0.114,4.219,8.915,0.18,2.604,680.06,3.446,3.446,6.009,467.542,13.211,435.0,4.06,4.992,3.355,635.97,4.182,4.687,5.072,457.162,66.555,4.193,4.074,341.362,3.504,3.818,2.481,4.22,34.159,4.172,4.172,9,467.507,0,8,5.507,4,3.303,6.014,204.0,2.484,187.258,3.826,152.933,440.0,11.015,11.015,11.015,5.609,0.0,5,5,12,16,5.492,41.25,50,3.932,4.615,495.151
